категорија	kategooria
римјаните	roomlased
родени	sündis
родени	sündinud
натпревари	tikud
натпревари	sobib
натпревари	võistlustel
натпревари	võistlused
натпревари	võistlused
албанија	albaania
книга	raamatu
книга	raamat
речиси	peaaegu
азија	aasia
песна	pala
песна	raja
песна	rada
песна	rööbastee
песна	laulu
песна	laul
всушност	tegelikult
всушност	tegelt
боја	värv
боја	värvi
боја	värvus
боја	värv
боја	värvi
прави	paneb
прави	teeb
понекогаш	mõnikord
понекогаш	vahel
понекогаш	vahest
води	juhatab
води	juhib
води	viib
води	veed
води	plii
поглед	vaade
заедница	ühendus
заедница	kogukond
стил	stiil
рок	kalju
рок	rock
рок	kivi
мухамед	muhammad
мухамед	muhammed
комитет	komitee
африка	aafrika
населени	asustatud
континент	mandri
животот	life
животот	elu
регион	regioon
регион	piirkond
моќ	power
моќ	võimu
моќ	võim
моќ	võimsus
моќ	jõud
сила	jõudu
сила	tugevus
сила	force
сила	jõud
сила	jõuga
исток	idas
исток	itta
исток	ida
извештај	aruanne
извештај	raport
извештај	raporti
извештај	ettekanne
лондон	london
кина	hiina
права	õigused
елементи	elemendid
елементи	kirjed
теорија	teooria
најголем	suurim
значење	tähendus
значење	olulisus
орбита	orbiidi
орбита	orbiidile
орбита	orbiidil
езеро	järve
езеро	järv
езеро	lake
руски	vene
руски	venelane
соодветната	vastav
нешто	midagi
црна	mustad
црна	black
црна	musta
црна	must
натпревар	konkurents
натпревар	võistlus
натпревар	konkurentsi
натпревар	sobivus
натпревар	match
натпревар	võistlus
натпревар	konkurss
смрт	surma
смрт	surm
мислења	arvamused
културни	kultuurilised
културни	kultuuriline
милениум	aastatuhande
пари	raha
средината	mid
најголема	suurim
најголема	suurim
најголема	suurim
веб	veebi
петар	peter
петар	peeter
царство	kuningriik
царство	impeerium
царство	impeeriumi
влада	valitsus
јазикот	keele
човек	inimene
човек	inimlik
човек	mehel
човек	mees
човек	man
направи	make
направи	tehtud
мека	meka
мека	pehme
мека	pehmed
мал	väikesed
мал	väike
мал	little
мал	väike
мал	vähe
мал	mal
изградена	ehitatud
системи	süsteemid
семејство	pere
семејство	perekond
услови	nõuded
услови	tingimused
услови	terminid
пол	sugu
пол	paul
кралот	king
кралот	kuningas
кралот	kunn
поголем	suuremad
поголем	suurem
поголем	suurem
поголем	suuremad
поголем	suurem
заштита	kaitse
сан	san
лав	lõvi
лав	leo
општествени	ühiskondlikud
општествени	ühiskondlik
општествени	sotsiaalsed
општествени	sotsiaalne
турција	kalkun
турција	türgi
најмногу	enamikul
најмногу	enamus
најмногу	enamik
најмногу	enim
најмногу	peamiselt
најмногу	enamjaolt
најмногу	enamasti
победа	win
победа	võida
победа	võidu
победа	võitu
победа	võit
мајка	ema
мајка	ema
малку	little
малку	väike
малку	vähe
дава	annab
надвор	väljaspool
надвор	väljas
надвор	välja
надвор	väljas
надвор	out
клуб	klubi
клуб	club
слики	piltide
слики	pildid
слики	pildid
слики	pilte
слики	fotode
слики	fotod
војска	sõjaväe
војска	sõjaline
војска	sõjalise
војска	sõjalised
војска	sõjavägi
војска	armee
војска	sõjavägi
одредени	teatud
уметност	kunst
уметност	art
уметност	kunsti
уметност	kunst
помалку	vähem
географија	geograafia
ниту	ega
растојание	kaugus
растојание	vahemaa
растојание	vahekaugus
растојание	nihe
растојание	kompenseerida
втор	teine
втор	teiseks
покраина	provints
медина	medina
височина	kõrgus
рем	remus
рем	rem
себе	ennast
себе	ise
јован	jovan
јован	john
извори	allikad
жени	naised
должина	pikkus
големо	suured
големо	big
големо	suure
големо	suur
знаме	lipp
знаме	lipu
живи	elusana
живи	elus
живи	elusalt
избран	valitud
избран	valitud
функции	funktsioonid
нирвана	nirvana
вели	ütleb
секогаш	alati
она	ta
вкупно	kokku
прво	kõigepealt
прво	esmalt
прво	esimene
итн	jms
итн	jne
итн	etc
факултет	kolleegium
факултет	kolledž
факултет	õppejõud
факултет	teaduskonna
тип	kutt
тип	guy
тип	tüüp
половина	pool
софија	sofia
софија	sophia
месеци	kuud
месеци	kuude
знаменитости	vaatamisväärsusi
жена	naise
жена	naine
жена	naise
жена	naine
проблеми	probleemid
претходно	eelnevalt
претходно	varem
претходно	varasem
претходно	varem
претходно	eelmised
претходно	varasem
претходно	eelmine
контрола	kontroll
контрола	tõrje
училишта	koole
училишта	koolid
север	põhi
север	põhja
север	põhjas
простор	vahekaugus
простор	kosmos
простор	ruum
простор	ruumi
стана	sai
отколку	than
војни	sõjad
војни	sõdu
доаѓа	tuleb
доаѓа	tulekul
доаѓа	tulemas
доаѓа	tuleb
поголема	suurem
поголема	suuremad
поголема	suurem
нивното	nende
сојуз	sojuz
сојуз	liit
ниска	madal
ниска	madala
ниска	madalad
источна	ida
шест	kuus
никогаш	kunagi
линија	liin
линија	joone
линија	joon
линија	rida
види	vaata
види	vt
види	näed
види	vaata
види	vaadake
орбитата	orbiidile
орбитата	orbiidil
верзија	versioon
верзија	versiooni
тело	keha
историски	ajalooline
историски	ajalooliselt
историски	ajalooline
книги	raamatud
процес	protsess
процес	protsessi
центарот	kesklinna
центарот	kesklinn
центарот	kesklinnas
дом	kodu
дом	koju
дом	kodus
дом	dom
индија	india
исламска	islami
успеал	õnnestus
главна	põhi
главна	peamised
главна	main
главна	peamine
јапонија	jaapani
јапонија	jaapan
советски	nõukogude
советски	nsv
грчки	kreeka
возраст	age
возраст	vanust
возраст	vanus
југ	lõuna
југ	lõunasse
југ	lõunas
музеј	muuseumi
музеј	muuseum
запад	west
запад	lääs
запад	lääne
писател	kirjutaja
писател	kirjanik
поп	popp
поп	pop
награди	auhinnad
награди	auhinnad
зборови	sõnad
зборови	sõnu
официјално	ametlik
официјално	ametnik
официјално	ametlikult
музички	muusikal
музички	musical
единици	ühik
единици	ühikud
единици	üksused
состав	essee
состав	koosseis
состав	koostis
полска	poola
полска	poola
издание	väljaanne
економија	majandus
економија	majandus
фаза	etapp
фаза	faasi
фаза	faas
фаза	lava
фаза	staadium
фаза	etapp
средства	fondid
втора	teine
втора	teiseks
најдобар	parima
најдобар	parimad
најдобар	parimat
најдобар	parim
парк	pargi
парк	park
физика	füüsika
стадион	staadion
марија	maria
куп	coop
куп	kamp
куп	punt
куп	kuhi
куп	kuhja
куп	karikavõistlused
куп	cup
куп	tops
куп	tass
куп	karikas
народ	inimesed
народ	rahvas
народ	people
седиште	iste
седиште	istet
седиште	istekoht
цели	eesmärgid
успех	edu
официјална	ametlik
официјална	ametnik
долари	usd
долари	dollarid
долари	dollari
долари	dollar
долари	kulli
ракета	rakett
ракета	rakett
интернет	internet
општи	üldine
општи	kindral
општи	üldist
општи	üldised
белград	belgradi
храна	toit
храна	toitu
храна	söök
банка	pank
банка	bank
југославија	jugoslaavia
архитектура	arhitektuur
централна	kesksed
централна	kesk
централна	keskosa
централна	keskne
манастир	kloostri
манастир	klooster
манастир	klooster
односи	suhted
односи	suhted
врвот	top
врвот	ülal
врвот	ülalt
врвот	ülemine
италијански	itaalia
можност	võimalus
можност	võimaluse
премиер	premier
дополнителни	täiendavad
дополнителни	täiendav
големина	suurus
уредување	edit
уредување	muuda
уредување	redigeerimine
уредување	redigeerimine
борба	lahing
борба	võitlus
борба	võitlemine
борба	võitlus
борба	võitle
борба	võitlus
цркви	kirikud
редовни	korrapärane
редовни	regulaarsed
редовни	tavaline
редовни	korrapärased
редовни	regulaarne
планината	mount
планината	ühendamine
производство	valmistamine
производство	tootmine
производство	tootmine
производство	toodang
производство	valmistamine
производство	tootmine
извор	allika
извор	allikat
извор	allikas
маса	laua
маса	laud
маса	tabel
маса	missa
маса	massi
маса	mass
планетата	planet
планетата	planeet
иван	ivan
карта	kaart
карта	pilet
карта	kaardiga
карта	kaart
карта	kaardi
брег	kalda
брег	kaldal
брег	shore
брег	bragg
брег	rannik
брег	ranniku
посебно	eriti
посебно	erilised
посебно	special
посебно	eriline
главни	põhi
главни	peamised
главни	main
главни	peamine
средина	keskkond
средина	keskmine
средина	keskus
средина	keskele
средина	center
средина	keskel
средина	keskus
територија	territoorium
територија	territooriumi
создавање	loomine
создавање	looming
создавање	loomine
имаше	oli
единица	ühik
единица	üksus
брат	bro
брат	vend
брат	venna
хрватска	horvaatia
поделен	jagatud
поделен	pooleks
армија	armee
армија	sõjavägi
рамнина	tasandikud
уметноста	art
уметноста	kunsti
уметноста	kunst
случаи	juhud
случаи	juhtumid
роман	roman
роман	romaan
роман	romaani
востание	ülestõus
европски	euroopa
медал	medal
постојано	pidevalt
постојано	pidevalt
постојано	pidev
џамија	mošee
животни	loomi
животни	loomad
портал	portaali
портал	portaal
шлезвиг	schleswig
закон	seadus
закон	seadused
мрежа	võrk
мрежа	võrgu
мрежа	võrgustik
пристап	juurdepääs
пристап	ligipääs
оддалеченост	kaugus
оддалеченост	vahemaa
користење	kasutamine
користење	kasutus
користење	kasutamine
користење	kasutades
канада	kanada
среден	keskmine
среден	keskmise
среден	keskmine
среден	keskmised
среден	andmekandja
окрузи	piirkonnad
окрузи	maakondades
војници	sõdurid
војници	väed
активности	tegevus
активности	tegevused
активности	tegevusalad
активности	toimingud
активности	meetmed
активности	tegevused
активности	teod
активности	tegevus
активности	aktiivsus
финалето	finaal
финалето	finaali
материјал	materjal
жените	naised
победи	win
победи	võida
победи	võidetud
победи	võitsid
победи	võitis
победи	võidab
последниот	viimasena
последниот	viimane
зад	taga
птици	linnud
организации	organisatsioonid
организации	organisatsioone
организации	organisatsioonid
организации	organisatsioone
писмо	kirja
писмо	kiri
гол	paljas
гол	paljalt
гол	alasti
гол	eesmärk
совет	nõuanded
совет	nõuanne
совет	nõu
совет	vihje
совет	tip
совет	nõukogu
човекот	mehel
човекот	mees
човекот	man
национален	siseriiklikud
национален	riiklik
национален	riiklikud
национален	siseriiklik
поголеми	suuremad
поголеми	suurem
поголеми	suuremad
поголеми	suurem
носи	seljas
носи	kannab
носи	toob
носи	kanna
носи	kanda
носи	kanda
михаил	mihhail
михаил	michael
михаил	mihail
џејмс	james
холштајн	holstein
брзо	ruttu
брзо	kiire
брзо	kiire
брзо	kiiresti
брзо	ruttu
брзо	kiiresti
солун	thessaloníki
форми	vormid
страни	küljed
архитектурата	arhitektuur
куќи	majad
австрија	austria
победата	võitmine
роберт	robert
шведска	rootsi
шведска	rootsi
унгарија	ungari
играч	mängija
националност	kodakondsus
националност	rahvus
модел	mudel
модел	modell
модел	näidis
скоро	peaaegu
учество	osalus
учество	osalemine
наса	nasa
поезија	luule
позиција	asukoht
позиција	positsioon
позиција	asend
аеродром	lennujaam
личности	isikuid
личности	isikud
личности	arvud
екваторот	ekvaatori
студии	uuringud
региони	regioonid
региони	piirkonnad
холандија	madalmaad
холандија	holland
холандија	holland
професор	professor
професор	õpetaja
планина	mäe
планина	mägi
римско	roman
бара	nõuab
карактеристики	omadused
карактеристики	karakteristikud
карактеристики	iseloomustus
карактеристики	omadused
овозможува	lubab
овозможува	võimaldab
овозможува	lubab
овозможува	võimaldab
локалитети	alade
врати	taastamine
врати	taasta
врати	uksed
чело	laup
чело	tšello
девица	neitsi
девица	neitsi
константин	konstantin
константин	constantine
ѕвезда	täht
ѕвезда	tähe
ѕвезда	staar
паша	pasha
економски	majanduslik
економски	majanduslikult
можеби	ehk
можеби	võibolla
можеби	äkki
можеби	ehk
зборува	rääkimine
зборува	räägib
зборува	kõneleb
москва	moskva
фудбалер	jalgpallur
коло	vooluring
производи	tooted
причина	põhjus
унија	liit
унија	liidu
наука	teadus
наука	teadust
работел	töötatud
работел	töötas
работел	töötanud
пишува	kirjutab
живееле	elasin
живееле	elatud
живееле	elanud
живееле	elas
освои	võidetud
освои	võitsid
освои	võitis
ново	novo
ново	uued
ново	uus
ново	new
науки	teadus
науки	teadust
автор	autor
охрид	ohridi
лансиран	käivitatud
украина	ukraina
тема	teema
тема	teema
тема	teema
тема	subjekti
тема	subjekt
турски	türgi
династија	dünastia
територии	territooriumide
територии	territooriumid
стефан	stefan
стефан	stephan
промена	muutused
промена	muuda
промена	muudatus
промена	muutus
лице	näoga
лице	näo
лице	nägu
лице	face
океанија	okeaania
седум	seitse
напад	ründa
напад	rünnak
напад	kallaletung
напад	rünnak
напад	ründamine
наклонетост	kiindumus
наклонетост	kiindumust
близу	lähedal
носач	vedaja
носач	kandja
станала	sai
станица	jaamas
станица	jaam
станица	jaama
структура	struktuur
структура	ülesehitus
процесот	protsess
процесот	protsessi
планини	mäed
мажи	meestele
мажи	mehed
статус	staatus
статус	seisund
статус	oleku
статус	olek
градби	ehitised
градби	hooned
градби	struktuurid
науката	teadus
науката	teadust
филип	phillip
филип	philip
филип	philippe
филип	filip
романија	rumeenia
орбитални	orbiidi
џорџ	jüri
џорџ	george
сателитите	satelliidid
претставуваат	esindavad
претставуваат	esindab
претставуваат	esinda
претставуваат	poos
света	sveta
света	pühak
света	saint
света	püha
света	pühal
анхалт	anhalt
слични	sarnased
слични	sarnane
соработка	koostöö
соработка	koostöö
камен	kivi
камен	kalju
камен	rock
камен	kivi
заврши	lõpeta
заврши	lõpetatud
заврши	lõpetatud
заврши	tehtud
грб	vapi
грб	vapp
