大主教	aartsbisschop
花瓣	blaadjes
蜥蜴	hagedissen
蜥蜴	hagedis
蜥蜴	hagedissen
袍	gewaad
袍	gewaden
總和	sum
總和	som
著作權	auteurschap
著作權	auteursrechten
著作權	auteursrecht
著作權	copyright
熱心	enthousiasme
熱心	geestdrift
熱心	enthousiaste
熱心	enthousiast
安倍	abe
放射	radiologie
放射	radioactiviteit
放射	straling
放射	bestraling
放射	radioactief
小熊	welpen
小熊	cubs
開支	uitgaven
開支	onkosten
平板	tafelen
平板	tabletten
平板	tablet
摩擦	wrijven
摩擦	wrijven
摩擦	wrijving
敵方	vijand
理工學院	polytechnic
繁榮	voorspoed
繁榮	welvaart
繁榮	boem
繁榮	boom
繁榮	welvarende
繁榮	voorspoedig
繁榮	welvarend
輪胎	banden
輪胎	banden
延期	uitbreidingen
延期	extensies
延期	verlengingen
延期	extensie
延期	verlenging
延期	uitbreiding
蟬	cicade
肺炎	longontsteking
肺炎	pneumonie
波長	golflengte
波長	golflengten
親屬	verwanten
親屬	familieleden
衍生物	derivaten
擴散	verspreiding
擴散	wildgroei
擴散	proliferatie
醬	saus
二手	tweedehands
珠寶	juwelen
珠寶	sieraden
珠寶	juwelen
珠寶	sieraden
珠寶	juwelen
珠寶	sieraden
斧	bijl
斧	axe
尼加拉瓜	nicaragua
非凡	buitengewone
非凡	buitengewoon
非凡	uitzonderlijk
焊接	lassen
焊接	gelaste
焊接	gelast
焊接	lassen
國防軍	idf
獎學金	studiebeurzen
獎學金	beurzen
獎學金	studiebeurs
獎學金	beurs
偵查	verkenning
偵查	verkenning
視訊	filmpje
視訊	video
阻礙	belemmering
阻礙	hinderen
阻礙	obstructie
阻礙	tegenwerking
侄子	neef
侄子	neefje
墳	grave
墳	graf
資本主義	kapitalistische
資本主義	kapitalisme
辛苦	moeilijk
辛苦	hard
辛苦	harde
有毒	toxische
有毒	toxisch
有毒	giftig
有毒	giftig
排水	drain
排水	afvoer
排水	drainage
奇異	exotisch
奇異	exotische
奇異	enkelvoud
雉	fazant
慢性	chronisch
馬達	motors
馬達	motoren
馬達	motorische
馬達	motor
光榮	glorieus
光榮	glorieuze
光榮	glorie
光榮	roem
光榮	heerlijkheid
光榮	glory
胡椒	paprika
胡椒	peper
自信	zelfverzekerde
自信	zelfverzekerd
自信	zelfvertrouwen
自信	vertrouwen
邊疆	grenzen
邊疆	grens
殖民者	kolonisten
染色體	chromosomen
染色體	chromosoom
枕	kussen
寺廟	tempel
寺廟	tempels
相交	kruispunten
相交	kruisen
相交	snijden
鈾	uranium
伴侶	partner
伴侶	metgezel
電荷	opladen
電荷	charge
溫柔	tender
溫柔	offerte
溫柔	zachtaardig
溫柔	zacht
紳士	gentleman
潮汐	getij
潮汐	tij
潮汐	vloed
潮汐	getijden
潮汐	getijden
事變	voorval
事變	incident
陀螺	gyro
抒情	lyrische
愛麗絲	alice
申訴	klachten
申訴	klachten
申訴	klacht
蔓延	sloppen
蔓延	verspreiden
蔓延	spread
蔓延	verspreiding
蔓延	verspreid
蔓延	verspreiden
漂流	drijven
漂流	driften
漂流	drijvend
燈塔	vuurtoren
燈塔	beacon
燈塔	baken
加勒比	caribische
加勒比	caraïben
陡	steile
陡	steil
無名	naamloos
血腥	bloedig
血腥	bloederig
血腥	bloedige
血腥	bloody
粉碎	smash
醜聞	schandaal
醜聞	schandalen
插圖	illustraties
骨頭	bones
骨頭	botten
骨頭	beenderen
骨頭	botten
骨頭	bot
骨頭	botje
骨頭	bone
經理人	manager
經理人	bedrijfsleider
堡壘	bastion
堡壘	bolwerk
堡壘	burcht
堡壘	vesting
堡壘	fort
堡壘	fort
工資	salaris
工資	loon
工資	loon
工資	salarissen
工資	lonen
工資	lonen
工資	salarissen
憲兵	gendarmerie
憲兵	gendarmes
犀牛	neushoorn
犀牛	neushoorns
犀牛	neushoorn
思想家	denker
思想家	denkers
乘車	ride
乘車	rit
寂寞	eenzaamheid
寂寞	eenzaamheid
寂寞	eenzame
寂寞	eenzaam
叢	bundel
花卉	bloemen
花卉	bloemetjes
庭院	binnenplaats
樞紐	hubs
樞紐	hub
仙女	feeën
仙女	fee
仙女	elfje
蘇維埃	sovjets
蘇維埃	sovjet
煙花	vuurwerk
煙花	vuurwerk
筋	pezen
安藤	ando
和諧	harmonie
和諧	harmony
撤消	intrekken
撤消	herroepen
室外	buiten
室外	buitenkant
室外	buiten
室外	buiten
室外	buitenshuis
鵝	goose
鵝	gans
鵝	ganzen
鵝	ganzen
刺殺	moord
刺殺	moordaanslag
彈劾	afzetting
坐標	coördinaat
坐標	coördineren
坐標	coördinaten
永恆	eeuwigheid
永恆	tijdloze
永恆	tijdloos
永恆	eeuwige
永恆	eeuwig
津貼	vergoedingen
津貼	emissierechten
津貼	toelagen
津貼	toelage
津貼	zakgeld
破解	barst
破解	kraken
破解	crack
甲殼類	schaaldieren
捲	rollen
捲	rol
卡車	vrachtauto
卡車	truck
卡車	vrachtwagen
卡車	vrachtwagens
卡車	trucks
麻雀	mussen
麻雀	mus
麻雀	sparrow
阻力	verslepen
阻力	drag
阻力	sleep
阻力	slepen
阻力	tegenstand
阻力	weerstand
阻力	resistentie
阻力	verzet
關懷	zorgzame
關懷	zorgzaam
沙拉	salade
耳朵	oor
耳朵	oren
耳朵	oortjes
熔岩	lava
啟發	inspirerend
啟發	bezield
啟發	geïnspireerd
啟發	geïnspireerde
盧森堡	luxemburgs
盧森堡	luxemburgse
盧森堡	luxemburg
疼痛	pijn
鷗	gull
佔有	bezetenheid
佔有	bezit
獨家	exclusieve
獨家	exclusief
冥王星	pluto
約束	beperking
掩護	cover
掩護	dekking
掩護	omslag
掩護	dekken
鈍	blunt
鈍	stomp
鈍	botte
鈍	stompe
復原	restauratie
復原	restaureren
復原	herstel
復原	herstel
真主	allah
清潔	netheid
清潔	reinheid
清潔	reiniging
清潔	reinigen
清潔	schoonmaken
清潔	schoonmaak
清潔	schoon
清潔	proper
清潔	schoonmaken
清潔	clean
長壽	levensduur
友誼	vriendschap
多元化	diversificatie
多元化	pluralisme
多元化	diversiteit
多元化	verscheidenheid
多元化	diversificatie
多元化	pluriformiteit
多元化	pluralisme
友善	vriendschappelijk
友善	vriendelijke
友善	vriendelijk
山麓	piëmont
甜蜜	lieve
甜蜜	sweet
甜蜜	zoet
甜蜜	lief
瘦	mager
瘦	skinny
瘦	magere
瘦	slank
瘦	slim
瘦	mager
瘦	leunen
瘦	mager
瘦	thin
瘦	dun
學界	academia
甲烷	methaan
優質	kwaliteit
書法	kalligrafie
船員	bemanning
船員	crew
前衛	voorhoede
稀少	schaars
稀少	schaarse
稀少	schaars
稀少	karig
山羊	geiten
山羊	geit
山羊	geiten
丟	gooien
丟	gooi
雪梨	sydney
財團	consortium
批量	bulk
鳳蝶	papilio
消化	verteerd
消化	spijsvertering
消化	spijsvertering
消化	verteren
成效	effectiviteit
成效	doeltreffendheid
成效	werkzaamheid
成效	doelmatigheid
樹木	boom
樹木	boomstructuur
樹木	bomen
陶器	aardewerk
租賃	leasing
租賃	lease
租賃	verhuur
租賃	huurcontract
租賃	lease
凱撒	caesar
馬達加斯加	madagaskar
馬達加斯加	madagascar
告別	vaarwel
告別	afscheid
胖	vet
胖	dikke
胖	dik
狹窄	stenose
狹窄	smalle
狹窄	smal
裁決	uitspraak
裁決	oordeel
裁決	vonnis
裁決	uitspraak
無力	machteloos
節省	spaargeld
節省	besparingen
節省	besparing
節省	besparingen
節省	besparing
節省	opslaan
節省	sparen
節省	redden
磚	baksteen
磚	bakstenen
磚	stenen
磚	baksteen
磚	brick
利率	tarief
高大	tall
水下	onderwater
意向	intenties
意向	bedoelingen
意向	voornemens
意向	neiging
意向	intentie
意向	bedoeling
意向	intentie
壓制	onderdrukking
壓制	repressie
壓制	onderdrukken
壓制	onderdrukking
進度	progress
進度	vorderingen
進度	vooruitgang
進度	voortgang
重溫	herleven
指稱	beschuldigingen
指稱	aantijgingen
指稱	beweringen
指稱	bewering
指稱	beschuldiging
哺乳動物	zoogdieren
哺乳動物	zoogdier
哺乳動物	zoogdieren
爺爺	grootvader
爺爺	opa
突襲	raid
突襲	inval
突襲	invallen
情侶	stellen
情侶	paren
情侶	stelletjes
情侶	echtparen
情侶	koppels
情侶	paar
情侶	koppel
情侶	liefhebbers
情侶	geliefden
情侶	minnaars
交接	overdracht
示範	model
示範	betoging
示範	demonstratie
示範	demo
保全	bewaren
保全	behouden
保全	behoud
保全	bewaring
保全	conservering
宮殿	paleis
智力	inlichtingen
智力	inlichtingendienst
智力	intelligentie
智力	intellectuele
智力	intellectueel
羽田	haneda
渡口	ferry
渡口	veerboot
糾紛	geschillen
糾紛	geschillen
糾紛	geschil
糾紛	betwisten
發光	shine
發光	glans
發光	schijnen
發光	gloeien
發光	gloeiende
發光	lichtgevende
發光	gloeien
發光	gloed
結盟	alliance
結盟	verbond
結盟	bondgenootschap
結盟	alliantie
阿拉伯語	arabische
阿拉伯語	arabisch
異議	bezwaren
異議	bezwaar
異議	bezwaarschrift
係數	coëfficiënt
係數	coëfficiënten
抱怨	klagen
抱怨	klaag
抱怨	klagen
抱怨	beklagen
窮	arme
窮	arm
投球	worp
投球	pek
投球	werpen
投球	pitch
銀色	zilver
銀色	zilveren
銀色	silver
鞘	schede
小牛	kalveren
小牛	kalf
小牛	kuit
訪談	interview
訪談	sollicitatiegesprek
訪談	sollicitatie
訪談	interviewen
訪談	interviews
口味	smaken
口味	smaakt
口味	smaken
宗派	sektarische
揚州	yangzhou
就職	inauguratie
人性	menselijkheid
人性	mensheid
噴發	uitbarsting
噴發	uitbarstingen
饒	rao
失誤	fouten
失誤	vergissingen
溶解	opgeloste
溶解	ontbonden
溶解	opgelost
溶解	ontbinden
溶解	oplossen
公報	communiqué
公報	communiqué
主觀	subjectieve
主觀	subjectief
主觀	subjectiviteit
桃源	taoyuan
天平	weegschalen
天平	schubben
天平	weegschaal
天平	schalen
外國人	aliens
外國人	vreemdelingen
外國人	buitenlander
外國人	vreemdeling
外國人	buitenlanders
外國人	vreemdelingen
反感	afkeer
神仙	feeën
神仙	fee
神仙	elfje
李子	pruim
李子	plum
李子	pruimen
李子	pruimen
腸	worstjes
腸	worst
腸	darmen
腸	darm
腸	darmen
腸	darm
腸	ingewanden
腸	darmen
鹼	alkali
鹼	alkalische
石板	lei
石板	leien
石板	leisteen
石板	tablet
秋山	akiyama
液晶	lcd
福爾摩斯	holmes
君主制	monarchie
野心	ambities
野心	ambitieus
野心	ambitieuze
野心	ambities
野心	ambitie
別墅	vakantiewoning
幅度	marges
印地安人	indianen
印地安人	indiërs
籠	kooi
監管	supervisie
監管	toezicht
顯示器	weergave
顯示器	weergeven
顯示器	display
顯示器	monitors
顯示器	monitoren
有害	schadelijke
有害	schadelijk
銀河系	sterrenstelsel
銀河系	melkwegstelsel
銀河系	galaxy
銀河系	melkweg
罰款	boetes
罰款	geldboetes
罰款	boeten
葡萄糖	glucose
鋰	lithium
千秋	chiaki
劍橋	cambridge
詛咒	vloek
詛咒	vervloeken
詛咒	vloeken
達拉斯	dallas
草莓	aardbeien
草莓	strawberry
草莓	aardbei
草莓	aardbeien
奶奶	oma
奶奶	grootmoeder
蚊	mug
蚊	muggen
補償	vergoeding
補償	compensatie
補償	schadeloosstelling
補償	schadevergoeding
補償	compenserende
補償	herstelbetalingen
教父	peetvader
教父	godfather
蝙蝠俠	batman
肽	peptide
廁所	toilet
廁所	wc
廁所	badhuis
廁所	badkamer
葉子	bladeren
葉子	blaadjes
葉子	blaadje
葉子	blad
葉子	yoko
激進	radicaal
激進	radicale
乙醇	ethanol
有罪	schuldigen
有罪	schuldig
有罪	schuldige
禮拜	aanbidding
禮拜	verering
禮拜	aanbidden
樣式	styles
樣式	stijlen
樣式	stijl
樣式	style
遷徙	migreren
遷徙	migratie
遷徙	migraties
遷徙	migraties
交響樂團	symfonie
抄襲	plagiaat
海倫	helena
海倫	hellen
海倫	helen
螢	ying
讀音	uitspraak
聖殿	basiliek
聖殿	tempel
空格	ruimtes
空格	spaties
空格	ruimten
郵票	stamp
郵票	stempel
郵票	postzegel
郵票	postzegels
郵票	stempels
郵票	zegels
多瑙河	donau
阿爾及利亞	algerije
騷擾	lastigvallen
騷擾	pesterijen
騷擾	intimidatie
騷擾	lastigvallen
冷卻	koeling
冷卻	afkoeling
冷卻	koelen
攝影機	camera
攝影機	fototoestel
皇宮	paleis
法老	farao
微小	piepklein
微小	tiny
出版商	uitgeverij
出版商	uitgever
出版商	uitgeverij
出版商	uitgeverijen
出版商	uitgevers
精美	voortreffelijk
溫和	zachtaardig
溫和	zacht
溫和	matiging
溫和	matige
溫和	matig
溫和	gematigde
溫和	gematigd
溫和	mild
溫和	milde
公升	liter
公升	liters
公升	liter
公升	liter
相對論	relativisme
相對論	relativiteit
相對論	relativiteitstheorie
對面	tegengesteld
對面	tegenovergesteld
對面	tegenovergestelde
對面	tegenover
香料	kruiden
香料	specerijen
香料	specerijen
香料	kruiden
香料	kruid
香料	spice
悼念	eerbetoon
悼念	hulde
悼念	tributen
悼念	rouw
悼念	rouwen
辣椒	paprika
辣椒	peper
賭場	casino
國徽	embleem
悲劇	tragische
悲劇	tragisch
悲劇	tragedie
鎖定	slot
鎖定	sluis
鎖定	vergrendelen
鎖定	opgesloten
鎖定	gesloten
鎖定	vergrendeld
租金	verhuur
租金	verhuur
租金	huurt
光輝	shining
喀麥隆	kameroen
誤解	misvatting
誤解	misverstanden
誤解	onbegrip
誤解	misverstand
誤解	misverstanden
誤解	onbegrepen
彎曲	gebogen
彎曲	buigen
彎曲	buig
彎曲	bend
溫暖	warm
溫暖	warme
溫暖	warmte
解剖	anatomie
解剖	ontleden
解剖	ontleding
解剖	autopsie
解剖	lijkschouwing
神像	gato
手套	handschoenen
手套	wanten
手套	handschoenen
手套	handschoen
硬幣	muntstukken
硬幣	munten
硬幣	munt
硬幣	munten
纜車	gondel
朝代	dynastie
朝代	dynasty
你好	hallo
你好	hello
耕地	akkerland
皂	zeep
皂	soap
承包商	aannemers
承包商	aannemer
草坪	grasveld
草坪	gazon
草坪	gazons
方舟	ark
編譯	compileren
編譯	gecompileerd
編譯	opgesteld
編譯	samengesteld
編譯	compilatie
編譯	compileren
編譯	samenstellen
鉛	leiden
鉛	lood
鉛	loden
鉛	lead
鞭	zweep
錐	kegel
界定	definiëren
界定	definieer
界定	definiëren
氣溫	temperatuur
氣溫	temperaturen
氣溫	temperatuur
概括	veralgemening
日光	daglicht
馬賽	marseille
彈性	soepel
彈性	flexibel
彈性	flexibele
彈性	soepelheid
彈性	flexibiliteit
彈性	elasticiteit
彈性	elastisch
彈性	elastiek
彈性	elastische
彈性	flex
長老	oudere
長老	elder
長老	oudsten
野牛	buffalo
野牛	buffels
野牛	bizons
野牛	buffel
野牛	bison
野牛	bizons
特許	concessies
特許	concessie
特許	concessie
特許	tegemoetkoming
盾牌	schilden
盾牌	afschermen
盾牌	afscherming
盾牌	schild
盾牌	schermen
盾牌	schilden
走私	smokkel
走私	smokkelen
走私	gesmokkeld
走私	binnengesmokkeld
走私	smokkelen
紀念館	herdenking
紀念館	memorial
紀念館	gedenkteken
戒指	ring
戒指	rings
戒指	ringen
祭司	priester
握手	handdruk
酒井	sakai
乘法	vermenigvuldiging
乘法	vermeerdering
乘法	vermenigvuldigen
繪圖	mapping
繪圖	tekeningen
繪圖	grafieken
繪圖	grafisch
繪圖	graphics
繪圖	tekenen
繪圖	tekening
調任	herplaatsing
乙酸	acetaat
大屠殺	massamoord
大屠殺	slachting
大屠殺	slachtpartij
大屠殺	bloedbad
大屠殺	holocaust
食堂	kantine
食堂	kantine
食堂	cafetaria
劫持	ontvoering
劫持	kapen
劫持	kaping
劫持	kapen
劫持	kaping
誓	gelofte
誓	eed
誓	eed
誓	ede
基座	voetstuk
損壞	corrupt
損壞	bedorven
損壞	beschadigd
損壞	beschadigd
損壞	beschadigde
損壞	beschadiging
損壞	beschadigingen
損壞	schade
損壞	schade
損壞	schadevergoeding
損壞	schadevergoedingen
專長	niche
專長	specialiteit
專長	specialisme
專長	specialiteit
專長	specialisme
專長	specialiteiten
專長	vakkennis
專長	expertise
專長	deskundigheid
羅素	russell
基底	substraat
基底	ondergrond
基底	souterrain
基底	kelder
骨架	geraamte
骨架	skelet
更正	correcties
更正	correctie
特種部隊	swat
特種部隊	arrestatieteam
音速	sonic
音速	sonische
叻	lat
密西西比州	mississippi
標語	slogans
標語	leuzen
標語	slogan
標語	leus
摩天大樓	wolkenkrabber
摩天大樓	wolkenkrabbers
雙邊	bilateraal
雙邊	bilateraal
迷失	kwijt
迷失	verloren
迷失	lost
迷失	verdwaald
警務	politie
仙女座	andromedae
仙女座	andromeda
橘子	sinaasappel
橘子	oranje
橘子	sinaasappels
橘子	sinaasappelen
川口	kawaguchi
死亡率	sterfelijkheid
死亡率	sterftecijfer
死亡率	sterfte
死亡率	mortaliteit
歌聲	gezang
歌聲	zang
歌聲	zingen
散射	verstrooiing
散射	verstrooien
散射	verspreiden
散射	verstrooien
症候群	syndroom
布加勒斯特	boekarest
污水	afvalwater
污水	rioolwater
污水	riolering
污水	riolering
存款	storten
存款	deposito
存款	storting
存款	stortingen
獨裁	autocratie
獨裁	dictatuur
獨裁	dictatoriale
朝倉	asakura
宮廷	paleis
想象	verbeelding
想象	verbeeldingskracht
想象	fantasie
祈禱	bidden
祈禱	bid
祈禱	gebed
祈禱	bidden
祈禱	bidden
祈禱	gebed
祈禱	gebeden
相容	compatibel
相容	verenigbaar
相容	compatibiliteit
廚師	chef
廚師	kok
廚師	kook
廚師	koken
廚師	kok
廚師	cook
天王星	uranus
王冠	kroon
王冠	kronen
營養	voeding
營養	nutriënten
營養	voedingsstoffen
愛媛	ehime
凝聚	samenhang
凝聚	cohesie
橡膠	rubber
橡膠	rubberen
教義	geloofsovertuiging
教義	creed
教義	credo
教義	doctrine
扳機	trigger
扳機	trekker
探險	expedities
探險	avontuur
探險	avontuurlijk
探險	adventure
探險	avonturen
探險	expeditie
區塊	blokken
區塊	blokkering
區塊	blokkeren
區塊	blok
區塊	block
亞熱帶	subtropische
地道	tunnel
地道	tunnels
所羅門	salomon
所羅門	solomon
所羅門	salomo
腕	pols
附上	bijvoegen
附上	bijgevoegd
附上	bijgesloten
附上	ingesloten
機長	captain
機長	kapitein
機長	gezagvoerder
聲援	solidariteit
核子	nucleaire
核子	nucleair
殘餘	overblijfsel
莖	stengel
莖	stam
雨林	regenwoud
雨林	regenwouden
雨林	regenwoud
雨林	regenwouden
廢棄	stopzetting
廢棄	achtergelaten
廢棄	verlaten
檢視	bezichtiging
檢視	bekijken
檢視	weergave
檢視	uitzicht
檢視	bekijk
檢視	bekijken
學說	doctrines
學說	doctrine
大提琴	cello
加熱	warmte
加熱	hitte
加熱	verwarmen
加熱	verwarming
加熱	verhit
加熱	verwarmde
加熱	verhitte
加熱	verwarmd
加熱	opgewarmd
還原	terugzetten
還原	herstellen
還原	terugzetten
還原	terugdraaien
還原	terugvallen
暴風	noodweer
暴風	onweer
暴風	storm
巴頓	patton
華沙	warschau
誘惑	verleiden
誘惑	verleiding
誘惑	verleiding
誘惑	verleidingen
掃描	scannen
掃描	scanning
掃描	scans
掃描	scannen
掃描	scan
法典	codex
壺	pot
壺	wiet
壺	ketel
壺	potten
壺	pannen
壺	kruik
電報	telegram
電報	telegraaf
蒸	stomen
蒸	gestoomde
蒸	gestoomd
升降機	liften
升降機	liften
升降機	lift
機密	vertrouwelijke
機密	vertrouwelijk
城牆	muren
城牆	wanden
芭蕾舞	ballet
諾曼	norman
環礁	atol
散布	verspreiden
散布	verstrooien
斐濟	fiji
潛在	potentieel
潛在	potentie
潛在	potentiële
呼叫	oproep
呼叫	bellen
呼叫	bel
呼叫	roeping
呼叫	bellen
硝酸	nitraat
硝酸	nitraten
嵌入	ingebed
嵌入	ingesloten
嵌入	inbedding
嵌入	insluiten
出血	bloeding
出血	bloeden
出血	bloedingen
出血	bloeding
出血	bloeden
烤	bakken
烤	roosteren
