মরমী	мистик
সন্ত্রাস	террор
সন্ত্রাস	терроризм
উত্তরসূরি	преемник
উত্তরসূরি	преемника
মঙ্গলবার	вторник
ম্যারাথন	марафон
হারানোর	проиграть
হারানোর	теряем
হারানোর	потеря
হারানোর	проигрывать
হারানোর	потерять
কিনতে	купить
কিনতে	покупать
আলাস্কা	аляска
সাইবার	кибер
ক্যান্ডি	кэнди
ক্যান্ডি	конфеты
রিচি	ричи
রিচি	ричи
কাসিম	касим
মৌমাছি	пчелы
মৌমাছি	пчела
ওক	дуба
ওক	дуб
পলিমার	полимер
জিরো	ноль
জিরো	зеро
জিরো	нулевой
চোর	воров
চোর	воры
চোর	воровка
চোর	вор
চোর	воровство
চোর	кража
চোর	кражи
অব্যাহতি	побег
অব্যাহতি	сбежать
অভ্র	avro
অভ্র	мика
মেঝে	полы
মেঝে	пол
মেঝে	этаж
চেন	чен
চেন	чэнь
শরৎ	осенний
শরৎ	осень
উজবেক	узбекистана
পরিণতি	судьбу
পরিণতি	судьба
পরিণতি	судьбы
পরিণতি	последствия
উপার্জন	заработок
উপার্জন	прибыль
উপার্জন	заработок
উপার্জন	зарабатывать
ব্যাটালিয়ন	батальона
ব্যাটালিয়ন	батальон
বলেছে	саид
বলেছে	сказал
বাস্তবায়িত	осуществлена
স্রোত	прилив
স্রোত	течения
কাদা	грязь
কাদা	грязи
কাদা	клей
কাদা	клэй
কাদা	глины
টেম্পল	храм
নমনীয়	гибкость
নমনীয়	гибко
নমনীয়	гибкий
নমনীয়	гибкой
নমনীয়	гибкие
ওষুধের	наркотики
বন্দীদের	заключенных
বন্দীদের	заключенные
বন্দীদের	заложников
বন্দীদের	заложники
বন্দীদের	задержанные
বন্দীদের	задержанных
বন্দীদের	заключенные
আযম	азам
হারায়	проигрывает
হারায়	теряет
পটাসিয়াম	калия
ডেনিশ	дании
ডেনিশ	датский
ত্রিভুজ	треугольник
ট্রিলিয়ন	трлн
ফার	далеко
মানসিকভাবে	мысленно
মানসিকভাবে	психически
মানসিকভাবে	морально
মানসিকভাবে	умственно
মানসিকভাবে	психологически
লুনা	луна
ডেটা	данные
ডেটা	данных
ডেটা	data
গ্রাস	трава
গ্রাস	травы
গ্রাস	траве
গ্রাস	траву
প্লাজা	площадь
প্লাজা	plaza
প্লাজা	плаза
পাল্টে	перемены
পাল্টে	изменение
পাল্টে	изменения
পাল্টে	изменить
পাল্টে	сменить
ওরফে	aka
এট	ел
এট	съел
এট	съели
এট	ели
ক্যাপ	кэп
ক্যাপ	кап
ট্যাংক	танк
ট্যাংক	цистерны
ট্যাংক	цистерна
ট্যাংক	танки
ট্যাংক	цистерны
ট্যাংক	танков
ইউরেনিয়াম	уран
শ্রুতি	шрути
গিল্ড	гильдии
অবাধ	повстанцев
আকর্ষণের	влечение
মনিকা	моника
মনিকা	моника
ঝামেলা	беспорядок
ঝামেলা	бардак
ঝামেলা	неприятности
ঝামেলা	беда
সমীর	самир
জজ	судья
বেথুন	бетюн
কমান্ডো	commando
আয়েশা	аиша
সামঞ্জস্যপূর্ণ	совместим
সামঞ্জস্যপূর্ণ	совместимость
সামঞ্জস্যপূর্ণ	совместимы
সামঞ্জস্যপূর্ণ	совместимо
সামঞ্জস্যপূর্ণ	совместима
মণি	мони
ঐতিহ্যগতভাবে	традиционно
মিখাইল	михаил
ব্রুনাই	бруней
অনুদিত	перевел
অনুদিত	перевели
অনুদিত	перевела
দোষ	винить
দোষ	вини
দুরে	милые
দুরে	милый
গঠনমূলক	конструктивные
গঠনমূলক	конструктивно
গঠনমূলক	конструктивный
গঠনমূলক	конструктивное
অন্যায়	несправедливость
অন্যায়	несправедливости
ছদ্মনাম	псевдоним
স্টেইন	штайн
চিকন	тонкий
চিকন	тонкая
চিকন	тонкие
রূপা	серебро
রূপা	серебряный
রূপা	сильвер
শিখা	пламя
সোমালি	сомали
মুফতি	муфтий
সমর	самар
জেরি	джерри
অপেক্ষায়	ожидание
অপেক্ষায়	ждём
অপেক্ষায়	жду
অপেক্ষায়	ждем
অপেক্ষায়	ждать
নিবেদিত	посвященный
নিবেদিত	выделенный
ইতি	уже
বারি	бари
আভিধানিক	лексико
রিচার্ডসন	ричардсон
দামী	дорогое
দামী	дорого
দামী	дорогие
এডি	эдди
আংশিকভাবে	частично
আংশিকভাবে	отчасти
ভুট্টা	кукурузы
ভুট্টা	кукуруза
ভুট্টা	кукурузу
ভুট্টা	кукуруза
ভুট্টা	кукурузы
ইয়াকুব	иакова
ইয়াকুব	якоб
ইয়াকুব	джейкоб
ইয়াকুব	яков
কভার	обложки
কভার	прикрытие
কভার	обложка
কভার	обложку
কভার	покрытия
কভার	охватывает
কভার	покрывает
কভার	обложки
প্রতিযোগীতা	конкурс
প্রতিযোগীতা	евровидение
গর্ভবতী	беременная
গর্ভবতী	беременные
গর্ভবতী	беременна
বারাক	барак
বারাক	барака
বারাক	барак
বারাক	барака
কবে	когда
কবে	when
পরিদর্শক	рецензент
ব্যতিক্রমী	исключительных
ব্যতিক্রমী	исключительное
ব্যতিক্রমী	исключительные
ব্যতিক্রমী	исключительный
ব্যতিক্রমী	исключительная
ভূমধ্যসাগরীয়	средиземноморья
ভূমধ্যসাগরীয়	средиземноморье
প্রতিনিয়ত	постоянно
পেইজ	пейдж
পেল	яблоко
পেল	яблочный
পেল	apple
এবিসি	abc
গাইতে	пой
গাইতে	петь
সার্কাস	цирк
প্রতীকী	символическое
জাহিদ	захид
গিনেস	гиннесса
ফর্মুলা	formula
ফর্মুলা	формулы
ফর্মুলা	формула
আইভরি	айвори
ভিসা	визы
ভিসা	визы
ভিসা	визу
ভিসা	виза
ভিসা	visa
কমিকস	comics
কমিকস	комиксы
কমিকস	комикс
আঙুল	палец
আঙুল	пальцем
আঙুল	пальцы
সভ্য	цивилизованного
লক্ষাধিক	миллионов
লক্ষাধিক	миллионы
ইউটিউব	youtube
মোক্ষ	мокшанский
শাল	шаль
ঠাণ্ডা	холодная
ঠাণ্ডা	холодное
ঠাণ্ডা	холодный
ঠাণ্ডা	холодно
ঠাণ্ডা	холод
ঠাণ্ডা	замораживание
ঠাণ্ডা	замораживания
উইসকনসিন	висконсин
আরোপিত	введенных
কোকা	кока
কোকা	коки
আরু	ару
শিশুরা	kids
শিশুরা	детки
শিশুরা	дети
শিশুরা	детей
শিশুরা	дети
শিশুরা	малыши
শিশুরা	детки
শিশুরা	дети
প্রত্যেকে	всем
প্রত্যেকে	всем
প্রত্যেকে	всех
প্রত্যেকে	все
প্রত্যেকে	каждый
বাদাম	орех
বাদাম	миндаль
বাদাম	орехи
বাদাম	орешки
ভালবাসার	любить
ভালবাসার	love
ভালবাসার	люблю
ভালবাসার	любовь
ভালবাসার	любим
অগণিত	бесчисленные
দাবির	претензия
দাবির	требования
দাবির	требует
দাবির	претензии
দত্তক	принятия
দত্তক	принятие
দত্তক	усыновление
মাইলফলক	ориентир
মাইলফলক	вехой
হ্যারল্ড	гарольд
প্রোগ্রামার	программистов
প্রোগ্রামার	программист
টিকিট	билеты
টিকিট	билет
নিরাপদে	безопасно
অ্যালুমিনিয়াম	алюминия
অ্যালুমিনিয়াম	алюминия
চক	чок
বলল	саид
বলল	сказал
ময়ূর	павлин
হুগো	хьюго
হুগো	уго
রুটি	хлеба
রুটি	хлеб
ভয়ঙ্কর	пугает
ভয়ঙ্কর	страшные
ভয়ঙ্কর	страшная
ভয়ঙ্কর	страшный
ভয়ঙ্কর	страшно
ভয়ঙ্কর	ужасный
ভয়ঙ্কর	ужасно
মুলার	мюллер
পুঁজি	капитализм
প্রিক্স	prix
বমি	рвота
বমি	рвота
বিসর্জন	жертвоприношения
বিসর্জন	жертва
বিসর্জন	жертву
বেটা	бета
পাগলা	сумасшедшая
পাগলা	сумасшествие
পাগলা	безумие
পাগলা	безумно
পাগলা	сумасшедший
আইনী	юридический
আইনী	правовая
আইনী	правовой
আইনী	юридическая
ডেম	дем
ডেম	dem
ডেম	дама
কূটনীতিবিদ	дипломата
কূটনীতিবিদ	дипломат
মুষ্টিযুদ্ধ	бокс
ল্যান্ড	земли
ল্যান্ড	земельный
ল্যান্ড	land
ল্যান্ড	земля
সিনা	сина
সিনা	sina
শামুক	улиток
শামুক	улитка
পাইন	пайн
লিঃ	ltd
কম্পন	вибрацию
কম্পন	вибрации
ক্রু	экипаж
ক্রু	команда
ক্রু	экипажа
নীহারিকা	туманность
এনজিও	нпо
এনজিও	нпо
কম্পানি	компания
কম্পানি	company
কম্পানি	рота
কম্পানি	компании
সীমারেখা	границы
যাকাত	закят
যাকাত	благотворительность
যাকাত	благотворительная
সুতা	пряжа
আরবরা	арабов
আরবরা	арабы
বিক্রেতা	продавцы
বিক্রেতা	поставщики
বিক্রেতা	продавец
বিক্রেতা	поставщик
বিক্রেতা	продавец
বিক্রেতা	продавца
মিসাইল	ракеты
মিসাইল	ракет
মিসাইল	ракета
বেবি	baby
বেবি	ребёнок
বেবি	малышка
বেবি	детка
বেবি	малыш
সুফিয়ান	суфьян
অনানুষ্ঠানিক	неофициальный
অনানুষ্ঠানিক	неофициальная
অনানুষ্ঠানিক	неформальный
অনানুষ্ঠানিক	неофициальных
ক্লোরাইড	хлорид
আক্রমণকারী	нападающий
আক্রমণকারী	нападавшего
আক্রমণকারী	нападавших
ক্যাম্ব্রিয়ান	кембрийского
ডিপ	соус
ডিপ	глубокую
ডিপ	глубокое
ডিপ	глубокая
ডিপ	глубокие
ডিপ	глубоко
ডিপ	глубокий
রাজনৈতিকভাবে	политически
ফুসফুস	лёгкие
ফুসফুস	легкие
ফুসফুস	легкое
ফুসফুস	легких
ফুসফুস	лёгкое
ফুসফুস	лёгкие
ফুসফুস	легкие
ট্রাম্প	бродяга
ট্রাম্প	трамп
ট্রাম্প	трампа
মাইক্রোপ্রসেসর	микропроцессор
প্রফুল্ল	веселые
প্রফুল্ল	жизнерадостный
প্রফুল্ল	радостная
প্রফুল্ল	весёлый
অবিবাহিত	сингл
কেন্দ্রীভূত	централизованного
কেন্দ্রীভূত	централизованное
পাদটীকা	сноска
পাদটীকা	сноску
সত্যিকারের	real
সত্যিকারের	настоящий
সত্যিকারের	настоящие
সত্যিকারের	настоящая
সত্যিকারের	реальные
সত্যিকারের	true
সত্যিকারের	правда
আফ্রো	афро
মাদাগাস্কার	мадагаскар
মাদাগাস্কার	мадагаскара
অসন্তোষ	недовольство
আমের	амер
লোম	пушистые
নেটিভ	родной
আইফোন	iphone
আনসার	ансар
দিয়া	диа
একত্রীকরণ	объединение
একত্রীকরণ	слияние
একত্রীকরণ	мер
ছাই	прах
ছাই	пепел
ছাই	аш
ছাই	эш
ছাই	пепел
ফিজি	фиджи
শিখদের	сикхов
সম্রাজ্ঞী	императрица
চর্বি	жиров
জুনিয়র্স	юниоров
জুনিয়র্স	юниоры
ধারন	захвачены
ধারন	захвачен
ধারন	пойман
ধারন	захватили
পোর্টাল	портал
সতেরো	семнадцать
সতেরো	seventeen
ঘৃণা	ненависть
ঘৃণা	ненавидеть
ঘৃণা	ненависть
ঘৃণা	ненавистью
ঘৃণা	ненавижу
ঘৃণা	ненависти
জ্যোতির্বিদ্যা	астрономии
গলফ	гольф
শিশির	роса
হাবল	хаббл
মীমাংসা	решимость
কাঠমান্ডু	катманду
ঝোঁক	акцент
ফ্যাট	толстый
ফ্যাট	толстая
ফ্যাট	жир
ফ্যাট	жирный
বন্টন	распространение
বন্টন	распределение
বন্টন	распределения
ওর	орр
অ্যাক্সেস	доступа
অ্যাক্সেস	доступ
বাল	бал
অজস্র	многочисленные
কেমিক্যাল	химического
কেমিক্যাল	химический
কেমিক্যাল	химическая
কেমিক্যাল	химикаты
ফাহাদ	фахад
বিশ্লেষণী	аналитический
বিশ্লেষণী	аналитическая
বিশ্লেষণী	аналитических
ভীত	испугался
ভীত	страшно
ভীত	напуган
ভীত	боится
ভীত	боюсь
গিবস	гиббс
অভিবাসন	миграции
অভিবাসন	миграция
রেসলিং	борьба
স্কেচ	скетч
স্কেচ	набросок
ইফেক্ট	последствия
ইফেক্ট	эффекты
ইফেক্ট	эффект
শীতকাল	зимняя
শীতকাল	зимний
শীতকাল	зима
শীতকাল	винтер
শীতকাল	зимние
রাদারফোর্ড	резерфорд
বসন্তে	spring
বসন্তে	весна
বসন্তে	весенний
উইলিস	уиллис
অয়লার	эйлера
নারিকেল	кокосовое
আসক্তি	зависимость
আসক্তি	привыкание
আশ্চর্য	удивительно
আশ্চর্য	потрясающая
আশ্চর্য	поразительно
আশ্চর্য	изумительно
আশ্চর্য	потрясающе
আশ্চর্য	странная
আশ্চর্য	странное
আশ্চর্য	странный
আশ্চর্য	странно
আশ্চর্য	странные
আশ্চর্য	чудо
উইলিয়ামসন	уильямсон
ফিলাডেলফিয়া	филадельфии
ব্যবসায়ীদের	торговцы
ব্যবসায়ীদের	торговцев
তলার	наверх
তলার	наверху
গায়ত্রী	гаятри
চিন	подбородок
চিন	чин
চিন	china
চিন	китай
ফ্রেডরিক	фредерик
ওয়াইন	вина
ওয়াইন	вино
সংকুচিত	рухнул
অস্পষ্ট	неясно
অস্পষ্ট	неясным
অস্পষ্ট	непонятно
অস্পষ্ট	размыто
নৃতাত্ত্বিক	антрополог
দন্ড	палочки
দন্ড	палки
আর্নল্ড	арнольд
দৌড়বাজী	атлетика
দৌড়বাজী	атлетике
লিন	линн
লিন	лин
লিন	лин
ছাড়	скидка
ছাড়	скидки
ছাড়	скидки
পনেরো	пятнадцать
রবার্টস	робертс
ব্রেট	бретт
কল্পিত	сказочный
কল্পিত	представляла
ঘনিষ্ঠভাবে	тесно
ডলি	долли
প্রাইড	гордыня
প্রাইড	гордость
ভিলহেল্ম	вильгельм
ডায়ানা	диана
জোহানেসবার্গ	йоханнесбурге
জোহানেসবার্গ	йоханнесбург
ওম	ом
সচিবালয়	секретариата
সচিবালয়	секретариат
অন্তর্বর্তীকালীন	переходное
অন্তর্বর্তীকালীন	переходного
অন্তর্বর্তীকালীন	переходная
অন্তর্বর্তীকালীন	переходные
শোনার	слух
শোনার	слушание
শোনার	слушания
দরজার	двери
দরজার	дверь
হোমস	холмс
হোমস	хомс
দোকানের	shop
দোকানের	магазин
আইসল্যান্ড	исландии
আইসল্যান্ড	исландия
মডার্ন	современный
মডার্ন	современных
মডার্ন	современная
মডার্ন	современные
মডার্ন	современное
চতুর্থাংশ	квартал
চতুর্থাংশ	четверть
চতুর্থাংশ	квартале
অন্নপূর্ণা	аннапурна
তৎপরতা	активность
তৎপরতা	действия
তৎপরতা	деятельность
মল্ল	малла
জুলিয়াস	юлиус
জুলিয়াস	джулиус
জুলিয়াস	юлий
ভাতা	пособия
ভাতা	надбавки
ভাতা	пособие
ব্যাঙ্গালোর	бангалоре
তাড়া	чейз
তাড়া	погоня
তাড়া	костюмы
উপসাগরীয়	залив
উপসাগরীয়	залива
ইলেক্ট্রনিক্স	электроники
পৌঁছায়	охват
এমবিএ	мба
কবরের	могилы
লিওনেল	лайонел
স্বর্গের	рай
স্বর্গের	небеса
স্বর্গের	небо
সদস্যবৃন্দ	помним
সদস্যবৃন্দ	помню
সদস্যবৃন্দ	запомнить
সদস্যবৃন্দ	помните
সদস্যবৃন্দ	помни
সদস্যবৃন্দ	помнишь
সদস্যবৃন্দ	членов
সদস্যবৃন্দ	члены
সদস্যবৃন্দ	участники
ছাদের	крыше
ছাদের	крыша
হিশাম	хишам
ডুবিয়ে	утонуть
ডুবিয়ে	утопить
ডুবিয়ে	утонула
ডুবিয়ে	потопили
ডুবিয়ে	утонул
উদ্যোগী	инициатива
চিরন্তন	вечное
চিরন্তন	вечный
চিরন্তন	вечная
চিরন্তন	вечной
লালা	лала
কানে	ухо
কানে	уха
ইকুয়েডরের	эквадора
ম্যাথিউস	мэтьюс
এসেক্স	эссекс
জাস্টিন	джастин
ফিশার	фишер
ফিশার	полушария
ফিশার	полушарие
ফিশার	полушарии
ফিশার	фишер
মাইক্রোসফটের	microsoft
জাম্প	прыгать
জাম্প	прыжок
জাম্প	прыгнуть
বুলেট	пуля
বুলেট	пулю
কঠোরভাবে	строго
দেওয়ালে	стена
দেওয়ালে	стене
দেওয়ালে	уолл
যোদ্ধাদের	бойцы
যোদ্ধাদের	бойцов
আর্ল	эрл
পাবলিশার্স	издателей
সেলাই	шить
সেলাই	пошив
সেলাই	шов
সেলাই	швы
হজরত	хазрат
সুরা	сурат
সুরা	сура
প্রোটোকল	протокол
প্রোটোকল	протокола
প্রোটোকল	протоколу
প্রোটোকল	протоколы
ইয়াজিদ	язид
সৃষ্টিকর্তা	творец
সৃষ্টিকর্তা	создатель
দোয়া	дуа
সন্ত্রাসবাদ	терроризм
যত্ন	заботился
যত্ন	ухода
যত্ন	забота
যত্ন	уход
তাজিকিস্তান	таджикистан
তাজিকিস্তান	таджикистана
অনশন	поста
সুগার	сахар
মোদী	моди
মাননীয়	величество
ফান্ড	фонды
ফান্ড	средства
ফান্ড	фонд
নির্মম	безжалостным
নির্মম	жестоко
নির্মম	жестокие
নির্মম	суровый
নির্মম	суровые
নির্মম	суровых
তন্তু	волокон
তন্তু	волокна
তন্তু	волокна
মনি	мани
প্রবাদ	пословица
বাটলার	дворецкий
বাটলার	батлер
কৈশোর	подросток
চিনতে	признать
চিনতে	узнаешь
চিনতে	распознать
চিনতে	признаем
চিনতে	распознать
সাবান	мыло
স্বরধ্বনি	подъёма
জেনিফার	дженифер
জেনিফার	дженнифер
ক্ষেত্রগুলি	полей
ক্ষেত্রগুলি	поля
মরক্কো	марокко
সিরীয়	сирийской
সিরীয়	сирийские
সিরীয়	сирийская
এভিনিউ	проспект
এভিনিউ	avenue
এভিনিউ	авеню
হকিং	хокинг
অর্থহীন	бессмысленно
অর্থহীন	бесполезна
অর্থহীন	бесполезный
অর্থহীন	бесполезно
অর্থহীন	бесполезен
পাখনা	крылья
ক্রিশ্চিয়ান	кристиан
ক্রিশ্চিয়ান	христианин
ক্রিশ্চিয়ান	христиане
ক্রিশ্চিয়ান	христианство
ক্রিশ্চিয়ান	христиан
মাচু	мачу
অভ্যর্থনা	прием
অভ্যর্থনা	приём
ট্রিপল	тройной
ইউরেশীয়	евразийского
মস্তিষ্কে	мозг
মস্তিষ্কে	мозги
ক্রুসেড	crusade
নিবিড়	интенсивные
নিবিড়	интенсивный
প্রোডাকশন	производство
প্রোডাকশন	производства
সিন্ধি	синдхи
খলিল	халиль
একনিষ্ঠ	посвященный
একনিষ্ঠ	выделенный
অ্যাঞ্জেলো	анджело
অ্যাঞ্জেলো	анжело
এলেন	эллен
এলেন	элен
সিকিম	сикким
ব্যাঙের	лягушка
ব্যাঙের	лягушки
সম্ভাবনার	возможности
জিউস	зевс
আরেকটা	другой
আরেকটা	другая
জুরিখ	цюрих
জুরিখ	цюрихе
বাহুর	оружие
বাহুর	вооружений
বাহুর	руки
মাইক্রো	микро
ফ্লাওয়ার	цветочек
ফ্লাওয়ার	цветок
অভিযোজন	адаптация
অভিযোজন	адаптации
স্থানাংক	координировать
স্থানাংক	координации
স্থানাংক	координаты
ইব্রাহীম	ибрагим
ইব্রাহীম	ибрахим
ইব্রাহীম	авраам
ইব্রাহীম	абрахам
ইব্রাহীম	ибрахима
ইব্রাহীম	ибрахим
কোমর	талия
কোমর	талии
উদ্বাস্তু	беженцы
বিপর্যয়ের	катастрофа
বিপর্যয়ের	бедствия
বিপর্যয়ের	бедствие
মোড	режим
মোড	mode
কাঁকড়া	крабов
কাঁকড়া	краб
নিয়মাবলী	правил
নিয়মাবলী	правила
মায়ার	майи
মায়ার	майя
গন্য	считается
নেভিল	невилл
হিন্দুস্তানি	хиндустани
শত্রুদের	враги
শত্রুদের	врагам
শত্রুদের	врагов
ভিড়	толпы
ভিড়	толпа
ভিড়	толпы
ভিড়	толпа
ভিলা	вилла
গোসল	душа
গোসল	душе
গোসল	душ
গোসল	бани
গোসল	ванна
গোসল	бат
গোসল	ванной
গোসল	баня
কোটা	квот
কোটা	квота
কোটা	квоты
টার্গেট	мишени
টার্গেট	цели
বাজেয়াপ্ত	конфисковали
ফসফরাস	фосфора
গোপনীয়তা	конфиденциальности
গোপনীয়তা	конфиденциальность
ইস্তানবুল	стамбуле
ইস্তানবুল	стамбул
পিতামাতা	родители
পিতামাতা	родителям
পিতামাতা	родителей
পিতামাতা	родитель
অবিচ্ছিন্ন	непрерывный
অবিচ্ছিন্ন	непрерывно
অবিচ্ছিন্ন	постоянного
অবিচ্ছিন্ন	непрерывное
নামগুলো	названия
নামগুলো	имена
গ্রীষ্মকাল	лето
গ্রীষ্মকাল	summer
গ্রীষ্মকাল	саммер
গ্রীষ্মকাল	летний
জাকার্তা	джакарте
সিনেট	сенат
সিনেট	сенате
টুইটার	твиттер
টুইটার	twitter
বাঁক	кривые
বরখাস্ত	уволил
বরখাস্ত	отклонил
বরখাস্ত	уволен
বরখাস্ত	увольнения
বরখাস্ত	увольнение
বীরত্ব	героизм
যুগল	пара
যুগল	парочку
যুগল	пару
যুগল	парочка
জার	царя
জার	царь
জার	банку
জার	банки
লায়ন	лев
অভিযোগের	обвинения
ভাঙন	эрозии
মুজাহিদ	муджахид
বাহামা	багамских
ফিলিপস	philips
ফিলিপস	филлипс
টুকরা	кусочек
টুকরা	кусок
টুকরা	куски
টুকরা	кусочки
বরাক	барак
বরাক	барака
অসুস্থতা	болезнь
অসুস্থতা	заболевание
অসুস্থতা	болезни
অসুস্থতা	болезнь
অসুস্থতা	болезни
মালদ্বীপের	мальдивских
লাগানোর	посадки
রহমত	милосердия
রহমত	мерси
রহমত	милосердие
রহমত	милость
কিথ	кит
কিথ	кита
দেওয়াল	стена
দেওয়াল	стене
দেওয়াল	уолл
দেওয়াল	стены
দেওয়াল	стенки
দেওয়াল	стен
নোভা	нова
অ্যাক্ট	акт
টহল	патрулирование
টহল	патруль
টহল	патрулирование
টহল	патрульные
কোস্টা	коста
লাইক	нравится
লাইক	like
লাইক	как
লাইক	лайки
লাইক	любит
লাইক	нравится
জুরি	юре
জুরি	жюри
জুরি	присяжные
পিঠা	торт
পিঠা	пирог
স্থানসমূহ	места
স্থানসমূহ	местами
শার্লক	шерлок
জিনি	джинни
সি++	c++
স্পষ্টভাবে	определённо
স্পষ্টভাবে	однозначно
স্পষ্টভাবে	определенно
নিহিত	финансируемых
নিহিত	финансируется
নিহিত	финансируемые
পিটার্সবার্গ	petersburg
পিটার্সবার্গ	петербург
শ্রোতাদের	слушателей
শ্রোতাদের	слушатели
গোয়ার	гоа
ঢোল	барабан
মন্ত্রনালয়	министерство
অভিনব	модные
ভেজা	мокрый
ভেজা	мокрая
ভেজা	мокрые
কুমির	крокодил
মাওবাদী	маоистской
খুনের	убийства
খুনের	убийства
খুনের	убийство
মিছিলে	шествие
আর্কিটেকচার	архитектура
আর্কিটেকচার	архитектуры
করন	каран
তেহরান	тегеране
নিরস্ত্র	безоружных
প্রার্থীদের	кандидатов
প্রার্থীদের	кандидаты
ম্যাজিক	волшебство
ম্যাজিক	волшебная
ম্যাজিক	magic
ম্যাজিক	магия
আগ্রাসন	агрессии
আগ্রাসন	агрессия
পেনিসিলিন	пенициллин
শাহীন	шахин
রোমানদের	римляне
রোমানদের	римлян
একশ	hundred
একশ	сотня
একশ	сто
হোল	дыру
হোল	дырка
হোল	дыра
ট্রানজিস্টর	транзистор
স্প্রিং	spring
স্প্রিং	весна
স্প্রিং	весенний
ক্রেইগ	крейг
অর্থনৈতিকভাবে	экономически
কীট	насекомых
মাধব	мадхав
আদর্শে	идеалы
মিগ	миг
সারসংক্ষেপ	обзор
সারসংক্ষেপ	резюме
সারসংক্ষেপ	сводка
উদ্ভিদবিজ্ঞান	ботаника
তাক	стойка
তাক	полки
সুড়ঙ্গ	тоннель
সুড়ঙ্গ	туннель
সুড়ঙ্গ	туннели
সুড়ঙ্গ	туннелях
জুল	джулс
জুল	жюль
ফ্যাক্টর	коэффициент
ফ্যাক্টর	фактор
ফ্যাক্টর	фактором
তুই	тебя
তুই	you
তুই	вы
তুই	ты
ডেল্টা	дельта
লুসিয়া	люсии
লুসিয়া	люсия
চন্দন	сандал
চিত্রগ্রহণ	снимать
চিত্রগ্রহণ	съемки
চিত্রগ্রহণ	съёмки
চিত্রগ্রহণ	снимаю
চিত্রগ্রহণ	снимаем
চিত্রগ্রহণ	съемка
নৈতিকতা	этика
নৈতিকতা	этики
নৈতিকতা	моральная
নৈতিকতা	мораль
নৈতিকতা	моральный
নৈতিকতা	морали
নৈতিকতা	мораль
নৈতিকতা	морали
নৈতিকতা	мораль
রাজহাঁস	гусь
গ্যালিলিও	galileo
গ্যালিলিও	галилео
মুলক	мульк
গাদ্দাফি	каддафи
উষ্ণতা	тепло
উষ্ণতা	тепла
শিল্পপতি	промышленник
