the	என்ற
these	இவர்கள்
january	ஜனவரி
january	சனவரி
march	மார்ச்
august	ஆகஸ்ட்
august	ஆகஸ்டு
july	ஜூலை
being	இருப்பது
film	திரைப்படம்
him	அவருக்கு
him	அவனுக்கு
him	அவர்
him	அவரை
him	அவனை
many	பல
many	பலர்
south	தெற்கு
south	தென்
september	செப்டம்பர்
like	போல்
like	போல
like	விரும்பு
like	விருப்பம்
like	பிடித்திருக்கிறது
between	இடையிலான
between	இடையே
between	இடைப்பட்ட
october	அக்டோபர்
three	மூன்று
june	ஜூன்
well	நன்று
well	சரி
well	நன்கு
well	நலம்
use	பயன்படுத்து
war	போர்க்
war	போர்
under	அடியில்
under	கீழ்
them	அவர்கள்
them	அவர்களை
them	அவர்களுக்கு
them	இவர்களுக்கு
april	ஏப்ரல்
born	பிறந்தது
born	பிறப்பு
born	பிறந்து
december	டிசம்பர்
link	இணைப்பை
link	இணைப்பு
link	இணைப்பைப்
while	போதே
while	இருக்கும்போதே
later	பின்னர்
later	பிறகு
later	பிற்பகுதியில்
later	பின்னாளில்
part	பாகம்
part	பகுதி
november	நவம்பர்
players	விளையாடுபவர்
players	போட்டியாளர்கள்
players	விளையாடுபவர்கள்
players	வீரர்கள்
list	பட்டியல்
please	தயவு
following	பின்வரும்
february	பெப்ரவரி
february	பிப்ரவரி
known	தெரிந்தது
known	தெரிந்த
second	வினாடி
second	இரண்டாம்
second	இரண்டாவது
name	பெயர்
group	குழுவை
group	குழுவைப்
group	குழு
history	சரித்திரம்
history	வரலாறு
series	தொடர்கள்
just	வெறும்
just	சும்மா
north	வடக்கே
north	வட
north	வடக்கு
work	வேலை
work	பணி
before	முன்பு
before	முன்
before	முன்னர்
since	என்பதால்
season	சீசன்
season	காலம்
season	பருவம்
season	பருவத்தில்
both	இருவரும்
both	இரண்டும்
both	இருவருக்கும்
high	அதிகம்
high	அதிக
high	அதிகமான
high	உயர்
high	உயர்ந்த
through	மூலமாக
through	ஊடாக
district	மாவட்ட
district	மாவட்டம்
now	இப்போ
now	இப்பொழுது
now	இப்போது
now	தற்போது
now	தற்பொழுது
comments	கருத்துகளில்
comments	கருத்துக்களில்
comments	கருத்துகள்
comments	கருத்துக்கள்
because	ஏனென்றால்
because	ஏனெனில்
football	கால்பந்து
music	இசை
diff	diff
diff	வித்தியாசம்
century	நூற்றாண்டு
league	லீக்
edits	திருத்தங்கள்
title	தலைப்பு
articles	கட்டுரைகள்
articles	கட்டுரை
john	ஜான்
same	அதே
same	ஒரே
including	உட்பட
english	ஆங்கிலம்
album	ஆல்பம்
album	ஆல்பத்தை
album	ஆல்பத்தைப்
number	எண்ணி
number	எண்
number	எண்ணை
against	எதிராக
against	எதிர்த்து
against	எதிரான
against	எதிரானது
family	குடும்பத்தினர்
family	குடும்பம்
family	குடும்பத்தார்
user	பயனர்
based	சார்ந்த
area	பரப்பு
area	பரப்பளவு
area	பகுதியில்
area	பகுதி
york	யார்க்
life	வாழ்க்கை
life	உயிர்
life	ஆயுள்
british	பிரிட்டிஷ்
international	சர்வதேச
international	அனைத்துலக
game	ஆட்டம்
game	கேம்
game	விளையாட்டு
game	ஆட்டத்தில்
above	மேலே
club	மன்றம்
club	கிளப்
your	உங்கள்
your	உங்களின்
your	உனது
your	உன்
until	அதுவரை
until	வரை
until	வரையில்
early	சீக்கிரமாக
best	சிறந்தவை
best	சிறந்தது
best	சிறப்பாக
best	சிறந்த
west	வேஸ்ட்
west	மேற்கு
house	வீடு
house	இல்லம்
house	வீட்டின்
company	நிறுவனம்
company	நிறுவனமும்
general	பொதுவான
general	பொது
general	பொதுவாக
general	பொதுவானவை
left	மீதம்
left	இடது
very	மிகவும்
very	மிக
here	இங்கே
here	இதோ
here	இங்கு
don	டான்
don	don
living	வாழ்ந்து
living	வாழும்
living	வசிக்கும்
living	வாழ்வது
day	நாள்
day	தினம்
day	நாளும்
place	இடம்
place	இடத்தில்
place	இடத்தை
party	விருந்து
party	கொண்டாட்டம்
party	கட்சி
party	பார்ட்டி
college	கல்லூரியை
college	கல்லூரி
result	முடிவு
result	விளைவு
result	பலன்
keep	தொடர்ந்து
keep	கொண்டே
four	நான்கு
even	கம்பன்
even	கூட
class	வகுப்பு
government	அரசு
government	அரசாங்கம்
how	எவ்வாறு
how	எப்படி
how	எப்படிக்
called	எனப்படும்
called	அழைக்கப்படும்
called	அழைக்கப்பட்ட
did	செய்தார்கள்
did	செய்தார்
each	ஒவ்வொன்றும்
each	ஒவ்வொரு
found	கண்டு
found	கண்டேன்
found	கண்டறியப்பட்டது
center	மையம்
per	per
style	பாணி
style	தோற்றம்
style	நடை
style	ஸ்டைல்
com	com
com	காம்
long	லாங்
long	long
long	நீண்ட
country	நாடு
country	நாட்டின்
back	பின்
way	கிளியே
way	வழி
way	விதம்
end	முடி
end	இறுதி
end	முடிவு
make	செய்ய
public	பொதுவானது
public	பொதுவான
public	பொது
played	விளையாடிய
played	விளையாடியது
won	வெற்றி
won	வென்றது
won	வெற்றிபெற்று
won	வென்று
another	இன்னொரு
another	மற்றொரு
another	மற்றுமொரு
released	வெளியிடப்பட்டது
added	சேர்க்கப்பட்டனர்
added	சேர்க்கப்பட்டார்
added	சேர்க்கப்பட்டது
support	துணை
support	ஆதரவு
games	விளையாட்டுகள்
games	கேம்கள்
games	கேம்ஸ்
games	விளையாட்டுக்கள்
former	முன்னாள்
church	தேவாலயம்
church	சர்ச்
east	கிழக்கு
line	வரி
line	கோடு
major	மேஜர்
major	பிரதான
major	மிகப்பெரியது
members	உறுப்பினர்கள்
good	நன்று
good	குட்
good	நல்லது
good	நல்ல
good	நன்மை
image	உருவம்
image	பிம்பம்
image	படம்
show	காட்சி
show	காட்டு
show	காட்டுக
show	நிகழ்ச்சி
still	இன்னமும்
still	இப்போதும்
still	ஸ்டில்
still	இன்னும்
think	நினை
think	நினைக்கும்
think	யோசி
think	நினைக்கிறேன்
below	கீழே
town	ஊர்
town	ஊருக்கு
town	டவுன்
last	கடைசி
last	கடைசியாக
last	கடந்த
system	தொகுதி
system	கணினி
system	அமைப்பு
right	சரியா
right	வலது
song	பாடலை
song	பாட்டு
song	பாடலைக்
song	பாடல்
song	பாடலைப்
non	அல்லாத
section	பிரிவு
single	தனியாள்
single	ஒற்றை
included	அடங்கும்
align	ஒழுங்கு
home	முகப்பு
home	இல்ல
home	வீடு
women	பெண்களுக்கு
women	பெண்களாக
women	பெண்கள்
television	தொலைக்காட்சி
seed	விதை
seed	வித்து
member	உறுப்பினர்
goals	குறிக்கோள்கள்
goals	இலக்குகள்
sources	மூலங்கள்
book	புத்தகம்
station	நிலையம்
order	வரிசை
order	ஆர்டர்
old	பழைய
old	பழையது
information	தகவல்
information	தகவல்கள்
information	தகவலை
set	அமை
own	சொந்த
own	சொந்தம்
text	உரை
band	இசைக்குழு
band	பேண்ட்
point	புள்ளி
local	உள்ளார்ந்த
local	வட்டார
local	உள்ளூர்
local	உள்
around	சுற்றிப்
around	சுற்றி
river	நதி
river	நதிநீர்
river	ஆறு
top	டாப்
top	மேலே
top	முதன்மை
top	மேல்
main	பிரதான
main	முதன்மை
main	முக்கிய
language	மொழி
french	பிரெஞ்சு
https	https
named	பெயரிடப்பட்ட
off	முடக்கு
off	ஆஃப்
off	அணை
note	குறிப்பைப்
note	குறிப்பைக்
note	குறிப்பு
note	குறிப்பை
career	தொழிலாக
original	மூலம்
original	மூல
original	மெய்யான
original	ஒரிஜினல்
original	அசல்
age	வயது
service	சேவை
located	அமைந்துள்ள
located	அமைந்துள்ளது
located	அமைந்திருக்கும்
said	சொன்னேன்
said	சொன்னான்
said	சொன்னார்
website	இணையதளம்
website	வலைத்தளம்
website	இணையத்தளம்
website	இணையதளத்தை
population	மக்கள்தொகை
air	ஏர்
german	ஜெர்மன்
law	சட்டம்
law	சட்டத்தை
military	இராணுவ
military	இராணுவம்
military	ராணுவம்
great	பெரிய
great	பெரும்
great	சிறந்த
great	சிறப்பாக
great	உயரிய
within	க்குள்
clubs	பட்டகம்
published	வெளியிடப்பட்ட
published	வெளியிடப்பட்டது
president	தலைவர்
president	அதிபர்
president	ஜனாதிபதி
park	பூங்கா
park	பார்க்
official	அதிகாரி
official	அதிகாரப்பூர்வ
official	official
case	கேஸ்
case	வழக்கு
london	london
london	லண்டன்
london	இலண்டன்
times	காலங்கள்
times	நேரங்கள்
times	டைம்ஸ்
times	நேரங்களில்
small	சிறிய
small	சிறு
small	சிறியது
third	மூன்றாவது
different	வித்தியாசமான
different	வித்தியாசமாக
different	வெவ்வேறு
due	காரணமாக
get	கிடைப்பது
get	பெறு
get	பெறுக
get	பெறவும்
village	கிராம
village	கிராமத்து
village	கிராமம்
village	கிராமத்தில்
village	கிராமத்திற்கு
closed	மூடப்பட்ட
closed	மூடிய
closed	மூடியது
closed	மூடப்பட்டது
closed	மூடப்பட்டுள்ளது
art	ஆர்ட்
art	சித்திரம்
art	கலை
player	பிளேயர்
player	விளையாடுபவர்
player	போட்டியாளர்
final	இறுதியான
final	இறுதி
community	சமயம்
community	சமுதாய
community	சமுதாயம்
community	சமூகம்
again	மீண்டும்
again	மறுபடியும்
army	இராணுவம்
army	army
army	ராணுவம்
award	விருது
without	இல்லாத
without	இல்லாமல்
without	இல்லாமலே
death	இறப்பு
death	மரணம்
death	மறைவு
death	மரணத்தை
built	கட்டப்பட்ட
built	கட்டப்பட்டுள்ளது
built	கட்டப்பட்டது
men	ஆண்கள்
men	ஆண்
men	ஆண்களிடம்
large	பெரியது
large	மிகப்பெரிய
large	பெரிய
site	தளம்
site	தளத்தில்
using	பயன்படுத்துதல்
using	பயன்படுத்துகிறது
using	பயன்படுத்தி
using	பயன்படுத்திக்
white	ஒயிட்
white	வெள்ளை
five	ஐந்து
central	சென்ட்ரல்
central	மத்திய
road	சாலை
road	ரோடு
children	குழந்தைகளை
children	பிள்ளைகள்
children	குழந்தைகள்
children	குழந்தைகளிடம்
free	இல்லாத
free	இலவசம்
free	இலவச
took	எடுத்த
england	இங்கிலாந்து
include	சேர்க்கவும்
include	சேர்த்து
association	சங்கம்
association	கழகம்
down	கீழே
down	கீழ்
down	டவுன்
down	குறைந்து
given	கொடுத்த
given	கொடுக்கப்பட்ட
source	மூலம்
source	ஆதாரம்
california	கலிபோர்னியா
man	நாயகன்
man	மனிதா
man	மனிதனின்
man	மனிதனுக்கு
man	மனிதன்
version	பதிப்பு
written	எழுதப்பட்ட
written	எழுதப்பட்டது
written	எழுதிய
created	படைத்து
created	படைத்த
created	உருவாக்கப்பட்டது
created	உருவாக்கப்பட்ட
media	மீடியா
media	ஊடகம்
media	ஊடகங்கள்
black	கருப்பு
black	கறுப்பு
though	என்றாலும்
though	விட்டாலும்
though	இருந்தாலும்
php	php
report	அறிக்கை
building	கட்டுதல்
building	கட்டிட
building	கட்டிடம்
building	பில்டிங்
take	எடுத்துக்
take	எடுத்து
take	எடு
division	பிரிவு
division	வகுத்தல்
comment	கருத்தைப்
comment	குறிப்புரை
comment	கருத்தை
comment	கருத்து
having	இடுப்பில்
king	ராஜா
king	மன்னன்
king	கிங்
king	அரசன்
edit	தொகு
edit	தொகுக்க
edit	திருத்து
stadium	ஸ்டேடியம்
stadium	அரங்கம்
stadium	விளையாட்டரங்கம்
died	இறந்து
died	இறந்தார்கள்
died	இறந்தார்
ship	கப்பல்
research	ஆய்வு
research	ஆராய்ச்சி
record	சாதனை
record	பதிவு
archive	காப்பகம்
places	இடங்கள்
cup	கிண்ணம்
cup	கோப்பை
records	பதிவுகள்
records	சாதனைகள்
often	எப்போதாவது
often	பெரும்பாலும்
often	அடிக்கடி
few	சில
received	பெறப்பட்டது
received	பெற்றவை
received	பெறப்பட்ட
side	பக்க
side	புறம்
side	side
power	சக்தியை
power	சக்தி
power	பவர்
power	அதிகாரம்
power	power
education	கல்வி
know	தெரியுமா
know	தெரியும்
category	பிரிவு
category	வகை
water	நீர்
water	தண்ணீர்
water	தண்ணீரை
water	தண்ணீரைக்
political	அரசியல்
species	இனங்கள்
field	புலம்
field	வயல்
near	அருகில்
near	அருகே
australia	ஆஸ்திரேலியா
video	வீடியோவை
video	வீடியோ
video	வீடியோவில்
video	காணொளி
need	தேவையா
need	தேவை
need	வேண்டும்
island	தீவு
form	படிவம்
find	கண்டு
find	கண்டுபிடி
play	இயக்கு
play	விளையாடு
play	விளையாட்டைப்
play	இயக்கவும்
play	விளையாட்டை
project	திட்டம்
project	திட்டப்பணி
radio	ரேடியோ
radio	வானொலி
works	கிரியை
proposed	முன்மொழியப்பட்ட
every	ஒவ்வொரு
development	அபிவிருத்தி
development	விருத்தி
development	வளர்ச்சி
example	உதாரணம்
example	எடுத்துக்காட்டு
live	லைவ்
live	நேரலை
live	வாழ
live	நேரடி
union	கூட்டு
union	யூனியன்
union	சேர்க்கை
union	ஒன்றிய
india	இந்தியா
next	அடுத்தது
next	அடுத்து
next	அடுத்த
special	விசேஷ
special	சிறப்பு
special	சிறப்பான
court	கோர்ட்
court	நீதிமன்றம்
region	பிராந்தியம்
region	மண்டலம்
region	பகுதி
little	சிறிய
little	குட்டி
short	குறுகிய
short	குறுகியது
short	குட்டை
short	short
william	வில்லியம்
province	மாகாணம்
western	மேற்கு
son	மகனும்
son	மகனுடன்
son	மகனே
son	மகன்
france	பிரான்சு
france	பிரான்ஸ்
council	மன்றம்
council	கவுன்சில்
council	சபை
others	மற்றவை
others	மற்றவர்கள்
others	பேர்
others	பிறர்
others	பிறரை
royal	றோயல்
royal	ராயல்
current	நடப்பு
current	தற்போதைய
street	வீதி
street	தெருவில்
street	தெரு
full	நிறைந்த
full	முழுமை
full	முழுவதும்
full	முழு
red	சிவப்பு
red	சிகப்பு
too	கூட
department	துறை
san	சான்
help	உதவி
help	உதவும்
james	ஜேம்ஸ்
open	திறந்திருக்கும்
open	திற
open	திறக்கவும்
open	திறக்க
open	திறந்த
open	திறந்துள்ளது
force	படை
force	படைகள்
force	வற்புறுத்தி
position	நிலை
position	பதவி
head	தலை
head	தலையை
head	தலைக்கு
director	இயக்குநர்
director	இயக்குனர்
father	தந்தை
father	தந்தைக்கு
father	அப்பா
father	பிதா
father	தந்தையை
track	தடம்
http	http
canada	கனடா
never	ஒருபோதும்
australian	ஆஸ்திரேலிய
george	ஜார்ஜ்
jpg	jpg
level	நிலை
level	மட்டம்
late	லேட்
summer	சம்மர்
summer	கோடை
society	சமூகம்
moved	நகர்த்தப்பட்டது
moved	நகர்த்த
moved	நகர்ந்து
office	அலுவலகப்
office	அலுவலகம்
period	காலத்தில்
period	காலம்
championship	சாம்பியன்ஷிப்
round	வட்ட
story	கதை
story	செய்தி
songs	பாடல்கள்
various	பல்வேறு
file	கோப்பு
days	நாட்களை
days	நாட்களுக்கு
days	நாட்களில்
days	நாட்கள்
days	தினங்கள்
land	நிலம்
business	தொழில்
business	வணிகம்
business	வியாபாரம்
reason	காரணமும்
reason	காரணம்
reason	காரணத்தை
america	அமெரிக்கா
million	மில்லியன்
european	ஐரோப்பிய
european	ஐரோப்பியர்
term	உறுப்பு
term	குறிச்சொல்
six	ஆறு
post	இடுகையில்
post	இடுகை
post	பதிவு
why	ஏன்
why	எதற்கு
why	எதற்காக
making	செய்தல்
making	தயாரிக்கும்
making	உருவாக்குதல்
subject	பொருள்
young	இளமையான
young	இளம்
young	இளமையாக
total	மொத்த
total	மொத்தம்
david	டேவிட்
science	அறிவியலில்
science	விஞ்ஞானம்
science	அறிவியல்
related	தொடர்பான
related	தொடர்புடையவை
related	தொடர்புடையது
rock	ராக்
rock	பாறை
railway	இரயில்வே
railway	ரயில்வே
led	led
students	மாணவர்கள்
students	மாணவர்களும்
started	தொடங்கப்பட்டது
started	தொடங்கினார்
started	தொடங்கியது
started	ஆரம்பித்தது
news	செய்திகள்
news	செய்தி
role	பாத்திரம்
role	பதவி
role	பங்கு
election	தேர்தலில்
election	தேர்தல்
albums	தொகுதி
albums	ஆல்பங்கள்
present	நடப்பு
present	தற்போதைய
indian	இந்தியர்
indian	இந்தியன்
indian	இந்திய
kingdom	ஆட்சி
kingdom	கிங்டம்
books	நூல்கள்
books	புத்தகங்கள்
important	முக்கியமான
important	முக்கியமானது
important	முக்கியம்
important	முக்கிய
love	காதலை
love	அன்பு
love	அன்பை
love	அன்பும்
love	காதல்
run	ஓட்டம்
canadian	கனடிய
canadian	கனேடிய
press	அழுத்து
press	அழுத்த
press	பிரஸ்
press	அழுத்தவும்
press	பத்திரிகை
press	செய்தியாளர்
type	வகை
act	சட்டம்
act	செயல்படுங்கள்
editor	திருத்தி
editor	ஆசிரியர்
editor	எடிட்டர்
editor	தொகுப்பி
editor	தொகுப்பான்
came	வந்த
came	வந்ததும்
came	வந்தான்
came	வந்தேன்
came	வந்தது
schools	பள்ளிகள்
program	நிரல்
issue	பிரச்சனை
issue	சிக்கல்
issue	விவகாரம்
social	சமூகங்கள்
social	சோஷியல்
social	சமூகம்
social	சமூக
germany	ஜெர்மனி
germany	ஜேர்மனி
production	உற்பத்தி
production	தயாரிப்பு
male	ஆண்
awards	விருதுகள்
points	புள்ளிகள்
similar	ஒத்த
professional	தொழில்முறை
say	சொல்ல
say	சொல்
say	சொல்லி
say	சொல்லும்
background	பின்னணி
background	பின்புலம்
enough	போதுமானதாக
enough	போதுமான
enough	போதும்
lead	ஈயம்
lead	லீட்
common	பொதுவான
common	பொது
data	தரவு
data	டேட்டா
color	வண்ணம்
color	நிறம்
better	சிறப்பாக
better	பரவாயில்லை
person	நபர்
services	சேவைகள்
bgcolor	bgcolor
museum	அருங்காட்சியகம்
battle	யுத்த
battle	போரில்
battle	போர்க்களம்
battle	சண்டை
sports	விளையாட்டுகள்
sports	விளையாட்டு
sports	விளையாட்டுக்கள்
already	ஏற்கனவே
already	முன்பே
currently	தற்போது
hall	மண்டபம்
hall	ஹால்
buildings	கட்டிடங்கள்
historic	வரலாற்று
date	தேதி
deleted	நீக்கப்பட்டது
deleted	நீக்கப்பட்ட
considered	கருதப்படுகிறது
change	மாற்று
change	மாற்றம்
location	இடம்
location	இருப்பிடம்
location	அமைவிடம்
seems	தோன்றுகிறது
seems	தெரிகிறது
must	வேண்டியது
yes	ஆமாம்
yes	ஆம்
our	நம்
our	நம்முடைய
our	எங்களின்
our	எங்களது
our	எங்கள்
our	நமது
southern	தெற்கத்திய
lost	தொலைத்த
lost	தொலைந்து
lost	இழந்ததை
lost	தொலைந்த
lost	இழந்த
something	ஏதாவது
something	எதாவது
something	ஏதோ
something	எதையோ
review	மதிப்பாய்வு
review	மதிப்புரை
review	கண்ணோட்டம்
together	ஒன்றாய்
together	ஒன்றாக
robert	ராபர்ட்
robert	இராபர்ட்
fact	உண்மை
less	குறைவான
less	குறைவு
less	குறைவாக
less	குறைந்த
japanese	ஜப்பானிய
groups	குழுக்கள்
content	உள்ளடக்கம்
content	கொள்கலன்
isbn	isbn
board	வாரியம்
board	போர்டு
board	பலகை
japan	ஜப்பான்
control	கட்டுப்பாடு
control	கட்டுப்படுத்து
policy	கொள்கை
modern	நவீன
human	மனிதன்
human	மனிதரும்
human	மனித
human	மனிதர்
half	அரை
half	பாதி
design	வடிவமைப்பு
design	டிசைன்
event	நிகழ்வைப்
event	நிகழ்வு
event	நிகழ்வில்
event	நிகழ்வை
events	நிகழ்ச்சிகள்
events	நிகழ்வுகள்
available	கிடைக்கும்
available	கிடைக்க
available	உண்டு
available	இருக்கிறது
available	உள்ளது
done	முடிந்தது
done	முடிவுற்றது
washington	வாஷிங்டன்
real	ரியல்
real	உண்மையான
real	நிஜம்
start	ஆரம்பம்
start	தொடக்கம்
start	தொடங்கு
start	துவங்கு
personal	சொந்தமான
personal	சொந்த
personal	தனிப்பட்ட
personal	தனிப்பட்டது
action	செயலை
action	செயல்
action	ஆக்ஷன்
action	நடவடிக்கை
action	அதிரடி
space	வெளி
space	இடம்
space	விண்வெளி
space	இடைவெளி
areas	பகுதிகள்
areas	பகுதிகளில்
notability	notability
star	நட்சத்திர
star	நட்சத்திரம்
star	ஸ்டார்
really	உண்மையில்
really	உண்மையிலே
china	சைனா
china	சீனா
possible	சாத்தியமா
possible	சாத்தியமே
possible	சாத்தியம்
paul	பால்
taken	எடுக்கப்பட்டது
taken	எடுத்தது
taken	எடுத்துக்
taken	எடுக்கப்பட்ட
far	தொலைவில்
far	இதுவரை
going	கலந்துகொள்கிறார்
going	செல்கிறார்
going	செல்கிறேன்
going	செல்கிறது
going	போகிறது
minister	அமைச்சர்
lake	ஏரி
popular	பிரபலம்
popular	பிரபலமானவை
popular	பிரபலமானது
married	திருமணம்
founded	நிறுவல்
europe	ஐரோப்பா
author	ஆசிரியர்
author	படைப்பாளி
author	இயற்றியவர்
away	விலகி
away	தொலைவில்
away	தள்ளி
independent	சுதந்திர
process	செயல்முறை
teams	அணிகள்
character	எழுத்து
low	குறைவாக
low	குறைவு
low	குறைவான
low	தாழ்வு
low	குறைந்த
michael	மைக்கல்
michael	மைகேல்
michael	மைக்கேல்
pages	பக்கங்கள்
light	விளக்கு
light	ஒளி
light	வெளிச்சம்
light	லேசாக
big	பெரியது
big	பெரிய
seen	பார்த்தது
seen	பார்க்கப்பட்டது
seen	பார்த்த
release	ரிலீஸ்
release	வெளியீடு
want	வேணும்
want	விரும்புகிறேன்
want	வேண்டுமா
want	விரும்பும்
want	வேண்டும்
episode	எபிசோட்
episode	அத்தியாயம்
wrote	எழுதிய
wrote	எழுதியது
wrote	எழுதினார்
republic	குடியரசு
thomas	தாமஸ்
thomas	தோமஸ்
companies	நிறுவனங்கள்
via	வழியாக
via	மூலமாக
russian	ரஷ்ய
russian	ரஷியன்
thanks	நன்றி
thanks	thanks
put	போடுங்கள்
put	போட
put	போடு
put	போட்டு
race	பந்தயம்
race	இனம்
worked	பணியாற்றினார்
worked	பணிபுரிந்தார்
recorded	பதிவுசெய்யப்பட்டது
someone	யாரேனும்
someone	யாரோ
civil	சிவில்
police	காவல்துறை
police	போலீஸ்
police	காவல்துறையினர்
police	காவல்
police	போலிஸ்
charles	சார்லஸ்
charles	சார்ல்ஸ்
charles	சாள்ஸ்
listed	பட்டியலிடப்பட்டுள்ள
users	பயன்படுத்துபவர்
users	பயனர்கள்
template	வார்ப்பு
template	வார்ப்புரு
eastern	கிழக்கு
body	உடல்
body	உடலில்
body	பாடி
question	கேள்விக்கும்
question	கேள்வி
question	கேள்விக்குப்
question	கேள்விக்கு
question	கேள்வியில்
italian	இத்தாலிய
italian	இத்தாலியன்
featured	சிறப்பானது
featured	சிறப்பு
featured	சிறப்பானவை
week	வாரம்
week	வாரத்தில்
texas	டெக்சாஸ்
chief	தலைவன்
chief	தலைமை
close	மூடு
close	மூடவும்
match	போட்டி
match	ஆட்டம்
match	பொருத்தம்
roman	ருமேனியா
come	வந்து
come	வரவும்
come	வாருங்கள்
tour	சுற்றுப்பயணம்
tour	சுற்றுலா
tour	டூர்
tour	உலா
sea	கடல்
actually	உண்மையில்
cross	குறுக்கு
cross	கிராஸ்
cross	சிலுவை
playing	விளையாடி
playing	விளையாடுகிறது
playing	விளையாடுகிறார்
playing	இயக்குகிறது
playing	விளையாடும்
health	நலம்
health	சுகாதாரம்
health	ஆரோக்கியம்
health	ஹெல்த்
health	உடல்நலம்
caps	தொப்பிகள்
green	கிரீன்
green	பசுமை
green	பச்சை
rights	உரிமைகளை
rights	உரிமை
rights	உரிமைகள்
evidence	ஆதாரங்கள்
aircraft	விமானம்
aircraft	வானூர்தி
arts	கலைகள்
arts	கலை
arts	ஆர்ட்ஸ்
range	வரம்
range	வீச்சு
range	எல்லை
range	வரம்பு
probably	அநேகமாக
bar	பார்
bar	பட்டை
bar	அருந்தகம்
problem	பிரச்சனை
problem	பிரச்சினை
problem	சிக்கல்
look	பார்
look	தோற்றம்
issues	சிக்கல்கள்
issues	பிரச்சனைகள்
issues	பிரச்சினைகள்
alumni	alumni
average	சராசரி
network	நெட்வொர்க்
network	பிணையம்
network	வலையமைப்பு
network	வலைப்பின்னல்
win	வெற்றி
win	வெல்க
shows	காட்டுகிறது
wife	மனைவியின்
wife	மனைவியை
wife	மனைவிக்கும்
wife	மனைவி
night	இரவில்
night	இரவும்
night	இரவு
magazine	பத்திரிகை
