打架	kovoti
孕婦	nėščia
報刊	laikraščiai
瞳孔	mokinių
瞳孔	mokinys
密西西比	misisipės
萎縮	atrofija
環保署	epa
火器	šaunamojo
盟國	sąjungininkų
盟國	sąjungininkai
基督教徒	krikščionių
基督教徒	krikščionys
漫步	pasivaikščiojimas
健二	kenji
花紋	marmurinis
技工	technikas
技工	mechanikas
賺	uždirbti
賺	užsidirbti
橡樹	ąžuolo
橡樹	ąžuolų
信箱	dėžutė
甜點	desertas
甜點	desertai
虛假	klaidingai
虛假	netikra
虛假	netikras
快遞	kurjeris
高貴	inertinių
房客	nuomininkai
房客	nuomininkas
盲目	aklas
盲目	aklai
盲目	akla
刺青	tatuiruotė
刺青	tatuiruotę
刺青	tatuiruotės
會堂	sinagoga
攤位	gardų
帝國主義	imperializmas
洞口	skylė
傲慢	arogantiškas
匕首	durklai
匕首	durklas
方丈	abatas
世界末日	armageddon
傑作	šedevras
傑作	šedevrus
尖叫	rėkia
尖叫	rėkti
顯微鏡	mikroskopu
顯微鏡	mikroskopu
怪異	keistas
怪異	keistai
怪異	keista
熱量	karštis
熱量	šiluma
熱量	šiluminė
熱量	šilumos
熱量	kalorijų
舞弊	sukčiavimas
舞弊	sukčiavimo
引誘	pagunda
淹沒	nuskęsti
直布羅陀	gibraltaro
直布羅陀	gibraltaras
指甲	nagų
指甲	nagus
指甲	nagai
阿拉巴馬州	alabama
預約	užsakytas
預約	užsakymas
蛹	lėliukė
傅立葉	furjė
水族	akvariumas
害羞	drovumas
害羞	drovus
更深	giliau
飲酒	geria
飲酒	gert
捕魚	žvejyba
捕魚	žvejybos
馬鈴薯	bulvės
馬鈴薯	bulvių
馬鈴薯	bulves
馬鈴薯	bulvėms
馬鈴薯	bulvės
馬鈴薯	bulvių
圈子	apskritimai
獸醫	vet
獸醫	veterinaras
獸醫	veterinarijos
獸醫	veterinaras
暴風雨	tempest
暴風雨	audros
暴風雨	audra
日冕	corona
流行病	epidemiologijos
流行病	pandemijos
流行病	epidemija
溫州	vendžou
現實主義	realizmo
調停	tarpininkavimo
制動	stabdymo
制動	stabdžiai
制動	stabdymas
制動	stabdys
制動	stabdžiai
制動	stabdžių
制動	stabdymas
制動	stabdžiai
五角星	pentagrama
單簧管	klarnetas
象限	kvadrantas
雪橇	rogės
雪橇	roges
發行量	apyvartą
先天性	įgimta
錢幣	monetos
錢幣	monetos
錢幣	moneta
錢幣	monetų
悲慘	tragiška
悲慘	tragiškas
寬容	atlaidus
寬容	tolerancija
寬容	tolerancijos
感應器	jutikliai
感應器	jutiklio
列寧	leninas
海綿	kempinė
情婦	meilužė
流言	gandai
流言	gandai
屈服	išeiga
海島	sala
海島	islandija
海島	islandijos
海島	salos
訂閱	užsisakyti
訂閱	pasirašytas
過敏	alergija
過敏	alergiją
過敏	alergijos
過敏	alergija
過敏	alerginė
過敏	alerginės
氛圍	vibe
麥克風	mic
擷取	surinkimo
木匠	carpenter
丙烷	propanas
丙烷	propano
贏家	laimėtojas
鋅	cinko
鋅	cinkas
恩典	grace
黏土	molis
黏土	molio
專業人士	specialistams
專業人士	profesionalai
游擊	partizanų
甲醇	metanolis
支票	čekių
支票	čekis
獵犬	skalikas
炎症	uždegimas
訂婚	sužadėtuvių
廢墟	griuvėsiai
萌芽	pradedančiųjų
貓頭鷹	pelėda
報酬	atlyginimas
報酬	atlygis
傳訊	padavęs
火山爆發	išsiveržimas
替代品	pakaitalai
肥料	trąšų
肥料	trąšos
肥料	trąšų
肥料	trąšos
肥料	trąšoms
肥料	trąšos
嫌疑犯	įtariamieji
嫌疑犯	įtariamieji
嫌疑犯	įtariamasis
漏斗	piltuvą
圖表	diagrama
圖表	žemėlapiai
圖表	diagramos
圖表	diagrama
圖表	diagramos
小偷	vagys
馬戲團	cirko
馬戲團	cirkas
禱告	maldos
禱告	maldas
禱告	maldos
禱告	malda
腋	pažastyje
波哥大	bogota
拼圖	galvosūkiai
拼圖	molekulių
神職人員	dvasininkija
掙扎	kova
無意義	nereikalinga
無意義	beprasmis
無意義	beprasmis
串聯	kaskada
沐浴	maudytis
電線	vielos
電線	laido
電線	viela
電線	kabeliai
電線	laidai
產出	išėjimo
份量	svoris
精液	sperma
精液	spermos
精液	cum
富人	turtingas
臨界	esminė
殘障	negalia
殘障	negalią
便當	bento
錫蘭	ceilono
法理	jurisprudencija
比基尼	bikini
索馬利亞	somalio
懷舊	nostalgija
戲法	triukas
戲法	pokštas
濃縮	kondensuotas
濃縮	sodrinimo
治癒	pasveikti
治癒	gijimo
賓客	svečiai
賓客	svečias
公信力	patikimumas
代名詞	įvardis
用具	prietaisas
用具	prietaisai
碎石	griuvėsių
熱力學	termodinamika
蠟	vaškas
常設	nuolatinio
捐獻	donorystės
捐獻	aukodami
捐獻	paaukoti
捐獻	padovanoti
贖罪	išpirkimo
採礦	kasyba
採礦	kasybos
表妹	pusbrolis
幼兒園	darželio
幼兒園	darželio
牌匾	tabletės
緋聞	skandalas
計數	skaičiuoti
計數	skaičiavimo
尷尬	nepatogu
左輪手槍	revolveris
左輪手槍	revolveriai
培根	kumpis
勺	šaukštu
鏡子	veidrodžiai
鏡子	veidrodis
仙人掌	kaktusais
獵鷹	sakalas
獵鷹	sakalai
加侖	litrų
岸邊	kranto
岸邊	krantas
鴿	karvelis
下水道	kanalizacijos
印記	įspaudas
評比	reitingais
評比	reitingų
評比	reitingai
評比	reitingų
評比	reitingas
評比	įvertinimas
評比	įvertis
緩衝	pagalvėlės
水族館	akvariumas
迴路	trasa
迴路	grandinė
通風	vėdinimo
鐵拳	tekken
水牛城	buivolo
乞丐	elgetos
乞丐	elgeta
高雅	elegantiška
高雅	elegancija
口水	seilių
口水	nerija
艱難	kieta
瞎	aklas
瞎	aklai
瞎	akla
巡遊	paradas
南瓜	moliūgai
南瓜	moliūgų
佈道	preke
妓院	viešnamį
數列	seka
溶劑	tirpiklis
赫茲	hertz
直覺	intuicija
獎品	apdovanojimai
獎品	prizų
獎品	prizo
獎品	prizas
獎品	prizą
獎品	premija
季風	musonas
甲苯	toluenas
倒退	atgal
伐木	ruošos
家電	prietaisas
神威	kamui
友愛	brolija
友愛	brolijos
磁鐵	magnetas
磁鐵	magnetai
深信	įsitikinęs
程式設計	programavimo
程式設計	programavimas
農田	dirbamosios
超重	antsvorio
避孕	kontracepcijos
詩篇	psalmė
詩篇	psalmynas
關切	susirūpinimą
執政官	konsulas
絲綢	šilko
遊艇	jachta
遊艇	jachtos
匪徒	banditai
寶貴	vertinga
寶貴	vertingas
安息日	sabbath
輕度	lengvu
輕度	lengvas
洗澡	dušo
洗澡	vonia
洗澡	vonios
內衣	apatinius
內衣	lingerie
尖銳	staigus
尖銳	ūmaus
尖銳	ūminis
冷漠	abejingumo
仰慕	susižavėjimo
面孔	veidai
面孔	veidų
預訂	užsakymų
預訂	rezervacija
預訂	užsakymas
僱主	darbdavys
妨害	obstrukcija
迴圈	apyvartą
迴圈	ciklas
迴圈	linijos
無知	išauklėti
無知	nežinojimo
紀事	chronicle
疲勞	gydantis
疲勞	nuovargis
吉普	jeep
岸上	kranto
岸上	krantas
休克	šokas
間斷	pertraukomis
無聲	tyli
馬勒	mahler
遊覽	kelionių
遊覽	ekskursija
遊覽	kelione
遊覽	ekskursija
遊覽	ekskursijas
占星術	astrologija
多層	sluoksniai
悲哀	liūdesys
毯	danga
駱駝	camel
折疊	lankstymo
折疊	išrūgos
折疊	sutraukti
住家	namai
住家	namus
院子	kieme
院子	kiemas
院子	kiemo
巡防艦	fregata
惡性	žiaurus
莊嚴	iškilmingą
無用	bevertis
無用	beprasmiška
遠足	žygis
遠足	ekskursija
遠足	vaikščiojimo
拖曳	tempti
澱粉	krakmolas
澱粉	krakmolo
霸權	hegemonija
狂野	laukiniai
狂野	laukinių
阿姨	teta
乙烷	etanas
收穫	derlius
收穫	derliaus
收穫	derliaus
收穫	derlius
愛國者	patriotas
愛國者	patriotai
甲醛	formaldehido
樂趣	smagu
樂趣	smagiai
樂趣	linksma
樂趣	linksmai
購置	įsigijimai
購置	įsigijimas
購置	įsigijimų
購置	įsigijimo
購置	įsigijimas
購置	įgijimas
誘導	indukcijos
馬鞍	balnas
俾斯麥	bismarkas
侍從	ginklanešys
爭端	ginčai
爭端	ginčas
爭端	ginčai
蘭花	orchidėjos
蘭花	orchidėja
生產力	našumas
生產力	produktyvumas
章魚	aštuonkojis
牙科	dantų
暴君	tironas
苛刻	žiauri
凡人	įrengti
凡人	įrengti
午後	popietę
守護神	globėjas
跌倒	krenta
肚子	pilvo
肚子	pilvas
遺棄	apleistas
遺棄	apleista
重度	sunkus
威信	prestige
急流	rapids
增訂	atnaujina
增訂	atnaujinimas
增訂	atnaujinama
室友	kambariokas
強國	galingas
強國	galinga
強國	galingi
賓士	mercedes
賓士	benz
甘草	uogų
西裝	tinka
西裝	kostiumas
朝聖	piligrimų
用餐	valgomojo
螺絲	velniop
抗體	antikūnų
抗體	antikūnai
溫室	šiltnamiai
溫室	šiltnamių
禮服	suknelė
禮服	apranga
禮服	suknele
禮服	aprangos
奇才	burtininkų
膳食	mitybos
膳食	valgius
計量	matavimo
計量	matavimas
計量	metrologijos
計量	matavimas
計量	matavimai
計量	matavimo
計量	matavimas
計量	matavimai
計量	matavimas
燒烤	grotelės
衰老	senėjimo
欺凌	patyčias
勃起	erekcijos
液壓	hidrauliniai
獨裁者	diktatorius
獨裁者	diktatoriai
胸口	krūtinės
咽喉	gerklės
乾淨	švarus
乾淨	švari
狂人	maniakas
休息室	lounge
銷毀	naikinimo
銷毀	sunaikinimas
鯖	skumbrės
革命性	revoliucinė
母體	matrica
母體	matricos
雲雀	vieversys
假冒	netikra
假冒	netikras
新石器時代	neolitas
社論	redakcinė
皮毛	kailis
皮毛	kailiai
皮毛	kailio
皮毛	kailius
龐德	obligacijų
蠔	austrių
蠔	austrės
蠔	austrė
生殖器	genitalijas
生物化學	biochemija
不相容	nesuderinama
舒曼	schumann
惡夢	košmaras
發病	sergamumo
電視機	televizijos
電視機	televizija
主廚	šefas
演進	evoliucija
麵粉	miltus
麵粉	miltų
麵粉	miltai
加爾各答	kalkutos
收割	derliaus
收割	derliaus
收割	derlius
咖啡館	cafe
咖啡館	kavinė
堆疊	krauti
激增	antplūdį
遏制	izoliavimo
塔台	bokštas
塔台	bokšte
睡覺	miegas
睡覺	miego
睡覺	miegas
睡覺	miega
睡覺	miegu
獲救	išgelbėti
注定	pasmerktas
鬼魂	vaiduoklis
草擬	rengiant
奢侈品	prabanga
奢侈品	prabangos
養育	tėvystė
養育	garbinga
保姆	aukle
保姆	auklė
螢光	spindesio
收音機	radijas
收音機	radijo
冰箱	šaldytuvas
可信度	patikimumas
閃爍	įvartis
張力	įtampa
處女座	mergelės
熔化	lydymosi
熔化	skystą
鴛鴦	balandėliai
樹枝	filialai
樹枝	šakos
渡船	keltų
渡船	keltu
平整	išlyginimo
盎格魯	kampai
救贖	išsigelbėjimas
救贖	išpirkimo
板凳	suolai
板凳	stendo
祝賀	sveikinimai
紅花	šafranas
糖業	cukrus
糖業	cukraus
耳機	ausinės
宏觀	makro
柔軟	minkštas
柔軟	minkšta
萩	hagi
麝香	muskuso
墮胎	abortą
電離	jonizacijos
阿明	ming
子午線	meridian
滑板	raja
醫治	gijimo
忠心	ištikimas
忠心	lojalumo
擊劍	aptvarų
曖昧	dviprasmiškas
課堂	klasėje
課堂	klasės
課堂	klasė
編年史	kronikos
修繕	remonto
修繕	remontas
修繕	remontas
修繕	renovacijos
化肥	trąšų
化肥	trąšos
化肥	trąšoms
化肥	trąšos
拳王	čempione
野人	laukinis
手寫	rašysena
手寫	ranka
明知	žinant
癮	priklausomybė
字面上	tiesiogine
蜂巢	avilys
蜂巢	avilių
磁碟	diskai
磁碟	diskas
磁碟	disko
烘焙	kepimo
烘焙	skrudinimo
哮喘	astma
貝殼	shell
貝殼	apvalkalas
貝殼	kriauklės
豺狼	šakalas
文摘	virškinti
衝刺	sprintas
離岸	jūroje
氣泡	burbulas
教條	dogma
教條	creed
夏娃	ieva
禮拜堂	koplyčia
樣品	mėginys
樣品	bandinys
樣品	mėginio
樣品	ėminys
解剖學	anatominių
墓穴	kapas
墓穴	duobes
戒律	statymai
花花公子	kis
花花公子	seni
花花公子	bičas
不平衡	disbalansas
不平衡	netolygus
不平衡	disbalansas
鍍	padengti
慘劇	tragedijos
慘劇	tragedija
租約	nuoma
租約	nuomos
狼人	vilkolakis
強盜	banditas
強盜	banditai
關愛	rūpestinga
關愛	rūpinimasis
併發症	komplikacijų
併發症	komplikacijos
腰部	juosmens
食譜	receptai
食譜	receptas
用量	dozė
用量	dozės
歹徒	gangsteriai
洋蔥	svogūnai
洋蔥	svogūnas
寶劍	kardas
寶劍	kardo
寶劍	kardą
光澤	blizgesys
遺傳學	genetikos
黑猩猩	šimpanzė
貴賓	vip
盈餘	perteklius
編織	bangų
編織	mezgimo
小冊子	brošiūros
小冊子	brošiūra
專政	diktatūra
專政	diktatūros
喜悅	džiaugsmas
喜悅	džiaugsmo
慰問	užuojauta
咳嗽	kosulys
未婚夫	sužadėtinis
烏賊	kalmarų
礦工	kalnakasiai
勝地	kurortuose
煙囪	kaminai
煙囪	kaminų
骰子	kauliukai
馬耳他	maltos
馬耳他	maltiečių
即興	improvizacija
夢境	svajonė
夢境	svajone
夢境	svajones
夢境	sapnai
夢境	svajonės
機艙	salono
機艙	kabina
蘇利南	surinamas
失眠	nemiga
灌籃	dunk
眼神	akimis
眼神	akys
眼神	akis
腫	patinimas
飛鏢	dart
尿素	karbamidas
烹調	virimo
廁	do
電燈	lempa
電燈	žibintas
電燈	lempos
表弟	pusbrolis
破壞性	gilią
獨一無二	unikali
獨一無二	unikalus
文具	raštinės
良知	sąžinės
細膩	subtilus
來訪	aplankyti
公羊	ram
公羊	avinai
穀物	grūdų
穀物	javai
穀物	grūdai
穀物	grūdų
穀物	grūdai
穀物	grūdų
穀物	javai
穀物	grūdai
穀物	grūdai
朝鮮人	korėjiečiai
包子	bandelių
包子	bun
傷痕	dėmės
和服	kimono
柔和	minkštas
柔和	minkšta
用盡	išnaudojama
深情	meiliai
深情	žmogiškos
許願	norinčios
許願	norintiems
受挫	nusivylę
新郎	jaunikis
圖畫	piešiniai
圖畫	brėžiniai
深刻印象	sužavėtas
過失	aplaidumo
敘事	pasakojimo
酸酐	anhidridas
撲克	pokerio
勞動者	darbininkas
勞動者	darbuotojas
勞動者	darbininkai
勞動者	darbuotojai
勞動者	darbininkų
龍蝦	omarų
紅樹林	mangrovių
保鏢	sargybinis
焚化	deginimas
房舍	patalpose
房舍	patalpos
朝拜	piligrimų
地質學	geologija
二極體	diodas
二極體	diodai
銳利	staigus
自覺	sąmoningo
擔保	garantijos
擔保	garantija
擔保	garantijų
擔保	garantijos
擔保	garantijų
擔保	garantijos
擔保	garantija
鳳梨	ananasai
鳳梨	ananasų
慘案	tragedijos
慘案	tragedija
猛禽	raptors
水渠	akvedukas
水渠	išsenka
鍛鍊	treniruotė
鍛鍊	treniruočių
鍛鍊	treniruotės
得救	išsigelbėjimas
諒解	supratimas
韌帶	girnelės
籃網	tinklai
高粱	sorgų
祖父母	seneliai
香菜	kalendros
香菜	petražolių
少數人	mažuma
流淚	rer
流淚	ašaros
深淵	gydytojos
週二	antradienis
週二	antradienį
標識	žymėjimas
標識	ženklinimas
兵營	kareivines
柑橘	citrusinių
線圈	ritė
線圈	ritės
線圈	ritinių
線圈	ritiniai
超速	greitį
誠意	nuoširdumo
自慰	bobos
自慰	masturbacija
螢火蟲	firefly
傷寒	šiltinės
無家可歸	benamiai
漂移	drift
雪崩	lavina
聽覺	klausos
聽覺	klausymas
拱門	arkų
拱門	arkos
美人魚	undinėlė
幻覺	iliuzija
軟骨	kremzlių
收容所	priedangos
殘暴	žiauri
殘暴	žiaurus
借貸	paskolos
借貸	paskola
借貸	skolinimosi
借貸	skolinimasis
借貸	skolinimas
借貸	skolinimo
志願者	savanorišką
相撲	sumo
鼻孔	šnervės
激流	rapids
發炎	uždegimas
杏子	abrikosai
健美	bodybuilding
咪咪	mimi
多變	permaininga
腳步	pėdomis
腐蝕	korozijos
大馬士革	damaskas
達摩	dharma
嗜好	hobis
嗜好	pomėgius
黑手黨	mafija
黑手黨	mafijos
週三	trečiadienio
週三	trečiadienis
舒緩	ramina
誠信	vientisumas
誠信	vientisumą
純真	nekaltumo
倍增	daugintis
併吞	aneksija
敵意	priešiškumas
國庫	iždo
國庫	iždas
中產階級	buržuazinių
路加	lukas
觀察員	stebėtojams
觀察員	stebėtojai
海鷗	kiras
海鷗	žuvėdra
電極	elektrodai
蟑螂	tarakonai
判例	jurisprudencija
嘲諷	sarkazmas
嘲諷	parodija
家譜	genealogija
暗淡	dima
迦納	gana
追隨者	dešimtys
血栓	trombozė
門診	klinika
門診	klinikos
門診	klinikoje
下巴	chin
銷售額	pardavimai
銷售額	pardavimas
銷售額	parduotas
法新社	afp
熟練	įgudę
大元帥	generalisimas
花崗岩	granitas
錨	inkaro
錨	inkarai
友軍	draugiška
友軍	draugiškai
友軍	draugiškas
友軍	draugišką
友軍	draugiški
愛慕	padovanojo
復古	retro
節約	taupymas
節約	santaupos
節約	taupymo
節約	santaupų
岩漿	magma
岩漿	lava
射精	ejakuliacija
勘查	apsaugines
木頭	medienos
木頭	mediena
飼料	pašarų
飼料	pašaras
飼料	pašarai
飼料	pašarinių
飼料	pašaras
飼料	pašarai
閣樓	palėpėje
閣樓	apartamentai
小節	barų
陰道	makšties
陰道	makšties
語義	semantinis
語義	semantika
志向	pradedantiesiems
志向	ambicijų
結社	asociacijos
結社	asociacija
含糊	neaiški
含糊	neapibrėžtas
有形	materialusis
有形	materialus
莊家	prekiautojas
莊家	prekybininkas
香煙	cigarečių
香煙	cigaretes
香煙	cigarečių
香煙	cigaretės
蠕蟲	sliekas
蠕蟲	kirmėlių
計費	sąskaitos
鐘聲	varpai
聽證會	klausos
聽證會	klausymas
審問	apklausą
微處理器	mikroprocesoriaus
脾	blužnies
淹死	nuskęsti
安道爾	andora
赤裸	nuoga
假髮	perukas
栗子	kaštonų
裙子	sijonas
裙子	suknelė
裙子	apranga
裙子	suknele
裙子	aprangos
回聲	aidai
回聲	aidas
烏托邦	utopija
烏托邦	utopinis
復合	junginys
暴政	tironiją
杏仁	migdolų
杏仁	migdolai
精確度	tikslumas
精確度	tikslumo
精確度	tikslumas
飽	pilnas
飽	visu
尼姑	vienuolės
氘	deuterio
婦產科	akušerija
自閉症	autizmo
小豬	kiaulė
空想	utopija
空想	utopinis
過熱	perkaitimo
估價	vertinimas
斑馬	zebrai
要件	elementai
要件	elementas
肛門	anus
金庫	saugyklą
金庫	iždo
金庫	iždas
兩極	bipolinis
內褲	apatinius
內褲	kelnaitės
親吻	bučinys
風扇	išplėtimo
破曉	aušta
滑動	skaidrių
求生	išgyvenamumo
求生	išgyvenamumas
求生	išgyvenimo
商定	sutarta
舌頭	liežuvio
舌頭	liežuvį
舌頭	liežuvis
艦橋	tilto
艦橋	tiltas
樹脂	dervų
樹脂	dervos
樹脂	derva
樹脂	dervos
白痴	kvailys
白痴	idiotas
咕	goo
咕	coo
露台	balkonai
露台	terasa
露台	kiemo
露台	balkonas
勝者	laimėtojas
姑姑	teta
姑姑	teta
法會	pūdža
列印	spausdinti
部委	ministerijų
部委	ministerijos
秀美	sumi
煤油	žibalo
壯觀	įspūdingai
壯觀	įspūdinga
壯觀	nepakartojami
火車頭	lokomotyvų
架子	lentynos
遊俠	įvertinti
紀念品	memento
紀念品	suvenyrų
磁力	magnetizmas
小徑	pėdsakai
小徑	kelius
殤	elegija
差分	skirtumas
荒原	atsiremti
蒸餾	distiliavimo
蒸餾	distiliavimas
蒸餾	distiliuoti
蒸餾	distiliuotas
惰性	inercijos
惰性	inertinės
生育率	vaisingumo
平穩	ramiai
平穩	pastovus
黛安娜	diana
圓圈	apskritimai
屠宰	skerdimo
屠宰	skerdimo
圈套	spąstai
圈套	gaudyklė
圈套	gaudyklės
噗	gėjus
坦白	prisipažinti
停滯	stagnacijos
色調	atspalvis
手勢	gestų
手勢	gestas
蓬勃發展	klestinti
蓬勃發展	klesti
大笑	juoko
大笑	juokas
大笑	lol
甲狀腺	skydliaukės
閥	vožtuvas
閥	vožtuvų
閥	vožtuvai
牙醫	dantistas
牙醫	dantų
貓咪	katės
貓咪	katinas
貓咪	cat
貓咪	katė
色情片	porno
大蒜	česnakų
大蒜	česnako
綻放	žydi
綻放	žydinčių
通靈	psichinės
綠洲	oaze
大腸	žarnyną
教養	garbinga
過濾器	filtras
過濾器	filtruoti
過濾器	filtrai
吠	žievė
吠	žievės
吠	loja
鬃	karčiuotasis
石棉	asbesto
石棉	asbestas
表白	išpažinties
經銷商	prekybininkai
經銷商	prekiautojai
經銷商	pardavėjai
經銷商	firmą
經銷商	platintojas
經銷商	prekiautojas
經銷商	prekybininkas
節制	saikingai
嘴唇	lūpų
嘴唇	lūpos
嘴唇	lūpų
文盲	neraštingi
摺紙	origami
遲到	vėlai
純潔	grynumas
純潔	grynas
純潔	aiški
加權	svarstyklės
加權	svoriai
木質	medinė
木質	mediniai
雙簧管	obo
樹皮	žievė
樹皮	žievės
觀世音菩薩	bodhisatva
新奇	naujovė
知覺	suvokimas
知覺	supratimas
知覺	supratimą
反應堆	reaktoriai
反應堆	reaktorių
血色	skaisčiai
頂樓	apartamentai
蒼蠅	skristi
蒼蠅	skrenda
咖啡因	kofeino
礦石	rūdos
礦石	rūdos
曲調	melodijų
良性	doro
常春藤	ivy
小雨	yr
礦產	mineralinių
礦產	mineralinis
礦產	mineralai
礦產	mineralų
錳	mangano
精工	seiko
親親	bučinys
衝浪	surf
房東	šeimininką
女裝	couture
離別	atsisveikinimas
韻律	ritmo
韻律	ritmu
肉桂	cinamono
光環	aura
洗錢	plovimas
好奇心	smalsumo
三位一體	trinity
侵擾	užkrėtimo
放牧	ganosi
放牧	ganymo
退伍軍人	veteranų
梅毒	sifilis
準確度	tikslumo
準確度	tikslumas
藥房	vaistinėse
藥房	vaistinės
藥房	vaistinės
藥房	vaistinė
紙牌	korteles
紙牌	kortos
紙牌	kortelės
紙牌	kortelė
野性	laukiniai
野性	laukinių
突破性	proveržio
帶頭	švino
酋長國	emyratas
膠囊	kapsulė
膠囊	kapsulės
膠囊	kapsulių
膠囊	kapsulės
防腐	balzamavimo
耐用	ilgalaikio
耐用	patvarumo
耐用	ilgaamžiškumo
耐用	patvarumas
虛弱	silpnas
暴亂	riaušės
痊癒	pasveikti
名片	kortelės
名片	kortelė
下雪	sninga
下雪	sniegas
下雪	sniego
倫理學	etika
倫理學	etikos
偷竊	vagystės
偷竊	vogti
電光	žaibas
電光	žaibo
花瓶	vazas
花瓶	vaza
熱帶雨林	teritorijoms
首飾	papuošalas
首飾	papuošalai
成衣	drabužiai
成衣	drabužis
記住	prisiminti
種族隔離	apartheido
大寫	dangteliais
願景	vizijas
羔羊	ėriukų
天亮	aušra
天亮	aušros
切片	griežinėliais
切片	griežinėliai
項鍊	vėrinys
藍寶石	safyras
梵天	brahma
廢料	laužas
尿道	šlaplę
彌勒	maitrėja
友邦	aia
準確性	tikslumo
準確性	tikslumas
等值	lygiavertiškumas
