enrico	انريكو
osebje	موظفون
osebje	الموظفين
zbrane	جمعت
zbrane	جمعت
jelka	الشجرة
jelka	شجرة
izvajalci	مشغلي
izvajalci	المتعاقدين
izvajalci	المقاولين
mile	ميل
mile	الميل
mile	مايل
toto	توتو
rolling	المتداول
dodatki	ملحقات
dodatki	الملحقات
mass	الكتلة
mass	كتلة
mass	قداس
mass	القداس
dušo	الروح
dušo	روحي
dušo	روح
bih	bih
simetrija	التناسق
simetrija	التناظر
lakote	المجاعة
lakote	الجوع
lakote	جوع
bertrand	برتراند
zaščitena	محمية
zaščitena	محمي
kvalifikacije	المؤهلة
kvalifikacije	المؤهلات
kvalifikacije	مؤهلات
kvalifikacije	المؤهلات
kvalifikacije	مؤهل
kvalifikacije	المؤهل
kvalifikacije	التاهيل
pari	الازواج
pari	ازواج
pari	ازواج
irana	ايران
turbina	التوربينات
aktivist	ناشط
aktivist	ناشطة
aktivist	الناشطة
sen	صن
sen	سين
hrbet	الظهر
hrbet	عاد
hrbet	العودة
hrbet	عودة
hrbet	ارجع
hrbet	ظهر
chaplin	تشابلين
chaplin	شابلن
chaplin	تشابلن
bach	باخ
tonumber	tonumber
skriva	اخفاء
skriva	الاختباء
skriva	تخفي
televizija	تلفاز
televizija	التلفاز
televizija	التليفزيون
televizija	تلفزيون
televizija	التلفزيون
osvojitev	الفتح
osvojitev	الغزو
osvojitev	غزو
rena	الراين
rena	رينو
poj	غن
poj	اغني
poj	يغني
poj	غني
deveto	تاسعا
deveto	التاسع
deveto	التاسعة
pomanjkljivosti	القصور
pomanjkljivosti	العيوب
pomanjkljivosti	عيوب
člena	مقالة
člena	مقال
člena	المقالة
člena	المادة
upravnik	المدير
upravnik	مدير
resnico	الحقيقة
strup	سما
strup	السم
strup	سم
živčni	عصبي
živčni	متوتر
živčni	عصبية
živčni	متوترة
živčni	العصبي
novinarjev	الصحفيون
novinarjev	الصحافيين
novinarjev	صحفيين
novinarjev	الصحفيين
geoffrey	جيوفري
geoffrey	جيفري
zadaj	الظهر
zadaj	عاد
zadaj	العودة
zadaj	عودة
zadaj	ارجع
zadaj	ظهر
predavanj	محاضرات
predavanj	المحاضرات
poskusil	حاولت
poskusil	جربت
pooblastila	سلطات
pooblastila	القوى
pooblastila	الصلاحيات
pooblastila	الولاية
guido	غويدو
guido	جويدو
udeležili	حضرت
udeležili	حضر
najmanjša	الادنى
najmanjša	دنيا
najmanjša	الدنيا
metalec	قاذفة
metalec	الرامي
navade	العادات
navade	عادات
navade	عاده
navade	العادة
navade	عادة
con	يخدع
vittorio	فيتوريو
religija	الدين
religija	ديانة
religija	الديانة
častniki	ضباط
častniki	الضباط
pravokotno	عمودي
pravokotno	مستطيل
groba	الخام
groba	خشن
groba	القبر
groba	قبر
seme	المني
seme	بذور
seme	البذور
seme	البذور
seme	بذرة
verigo	سلسلة
verigo	السلسلة
izboljša	يحسن
izboljša	تحسين
poznavanje	معرفة
poznavanje	المعرفة
poznavanje	المعارف
duncan	دنكان
duncan	دانكن
duncan	دونكان
ujel	اشتعلت
ujel	مسك
preiskave	التحقيقات
preiskave	التحقيق
preiskave	تحقيق
preiskave	استفسارات
preiskave	تحريات
preiskave	للاستفسار
preiskave	التحقيقات
preiskave	الاستفسارات
preiskave	التحقيقات
preiskave	تحقيقات
nameščeni	مثبتة
dramo	دراما
dramo	الدراما
jürgen	يورغن
bin	bin
bin	بن
minute	الدقائق
minute	دقائق
gerard	جيرارد
uničiti	دمر
uničiti	تدمير
uničiti	تدمر
identiteto	هوية
identiteto	الهوية
mehansko	اليا
mehansko	ميكانيكيا
mehansko	ميكانيكي
mehansko	ميكانيكية
mehansko	الميكانيكية
izjavo	بيان
izjavo	البيان
poštna	البريدي
police	سياسات
police	السياسات
police	الرفوف
smole	راتنجات
thierry	تييري
manageryears	manageryears
organizacijsko	تنظيمي
demokratične	ديمقراطي
demokratične	ديمقراطية
demokratične	الديمقراطي
dano	نظرا
demokracije	الديمقراطيات
klobuk	القبعة
klobuk	قبعة
photo	صورة
photo	الصورة
photo	photo
uspehi	النجاحات
uspehi	نجاحات
izobraževalno	التعليمية
izobraževalno	تعليمية
izobraževalno	تربوية
varuje	يحمي
japonci	ياباني
japonci	الياباني
japonci	يابانيون
japonci	اليابانية
objavljeni	نشر
objavljeni	منشور
objavljeni	نشرت
nikdar	ابدا
elektroni	الالكترونات
predala	استسلمت
škotske	اسكتلندا
škotske	الاسكتلندي
robertson	روبرتسون
postavljeno	رفعت
postavljeno	اثير
budistični	البوذية
potniški	المسافر
potniški	الراكب
potniški	راكب
potniški	مسافر
umetni	اصطناعية
umetni	اصطناعي
umetni	الاصطناعي
glavobol	الصداع
glavobol	صداع
glavobol	الصداع
angeli	الملائكة
angeli	ملائكة
članstvo	العضوية
članstvo	عضوية
bruselj	بروكسل
razmišljanje	افكر
razmišljanje	التفكير
razmišljanje	تفكير
razmišljanje	تفكر
umetne	اصطناعية
umetne	اصطناعي
umetne	الاصطناعي
prisilil	اجبرت
prisilil	اجبر
prisilil	مجبر
prisilil	القسري
misijonar	التبشيرية
julie	جولى
julie	جولي
širitev	التوسيع
širitev	التوسع
širitev	التوسيع
širitev	توسع
širitev	توسيع
legend	اساطير
legend	الاساطير
legend	الاسطورة
legend	اسطورة
malmö	مالمو
dimenzije	الابعاد
dimenzije	ابعاد
volji	مزاج
volji	مزاجي
volji	المزاج
klein	كلين
klein	كلاين
zob	السن
zob	سن
cesarica	الامبراطورة
domovina	وطن
petja	يرددون
petja	غناء
petja	يغني
petja	اغني
petja	تغني
petja	الغناء
opisan	وصفت
lennon	لينون
žita	الحبوب
podaljšana	مددت
podaljšana	مدد
podaljšana	مطولة
podaljšana	ممدود
prispel	وصل
prispel	وصلت
kde	كدي
christoph	كريستوف
spencer	سبنسر
spencer	سبينسر
dar	دار
marta	مارتا
marta	مارثا
sadje	فواكه
sadje	فاكهة
sadje	الفاكهة
sadje	الفواكه
sadje	فواكه
sadje	الفواكه
sadje	ثمار
sadje	الثمار
presenetljivo	المستغرب
trditve	المطالبات
trditve	مطالبات
trditve	الادعاءات
trditve	ادعاءات
trditve	المزاعم
trditve	مزاعم
trditve	الحجج
trditve	المرافعات
trditve	حجج
avtomobilski	للسيارات
sara	ساره
sara	سارة
sara	سارا
nizki	منخفض
nizki	منخفضة
nizki	تدني
nizki	انخفاض
plodovi	فواكه
plodovi	الفواكه
plodovi	ثمار
plodovi	الثمار
priljubljeno	الشعبية
priljubljeno	الشعبي
priljubljeno	مشهور
priljubljeno	شعبية
priljubljeno	شائع
priljubljeno	شعبي
priljubljeno	مفضل
priljubljeno	المفضلة
priljubljeno	المفضل
priljubljeno	الرائجة
priljubljeno	مفضلة
priljubljeno	مفضل
priljubljeno	المفضلة
priljubljeno	المفضل
dale	دايل
jay	جاي
jay	جاى
jarek	الخندق
jarek	الخنادق
jarek	خندق
jarek	خندق
jarek	خندق
premera	القطر
kampanje	الحملات
kampanje	حملات
kampanje	حملة
kampanje	الحملة
zasnovana	صمم
zasnovana	صممت
doseženo	انجزت
doseženo	حققت
simbolizira	ترمز
simbolizira	يرمز
posamezna	فرد
posamezna	فردية
posamezna	فردي
posamezna	الفردية
posamezna	الفرد
motive	بواعث
motive	الدوافع
motive	دوافع
rjavo	اسمر
rjavo	البني
rjavo	بنية
rjavo	براون
izjemen	استثنائية
prehrani	تغذية
prehrani	التغذية
nielsen	نيلسن
obremenitev	حمل
obremenitev	تحميل
obremenitev	حمولة
obremenitev	التحميل
obremenitev	تحميل
obremenitev	التحميل
roll	لفة
roll	رول
čelo	جبهة
čelo	جب
čelo	الجبهة
čelo	التشيلو
zavrne	ارفض
tekmovanj	مسابقات
tekmovanj	المسابقات
pojave	ظاهرة
pojave	ظواهر
pojave	الظواهر
gašper	هنرى
gašper	هنري
lola	لولا
slavi	المجد
slavi	مجد
lesen	خشبية
lesen	خشبي
blog	بلوق
blog	مدونة
blog	المدونة
vrtovi	جنات
vrtovi	حدائق
vrtovi	الحدائق
vožnje	قيادة
imunski	مناعة
imunski	المناعة
danijel	دانيال
danijel	دانييل
danijel	دانيل
stresa	اجهاد
stresa	الاجهاد
stresa	التوتر
einstein	اينشتاين
linz	لينز
castro	كاسترو
senator	سيناتور
senator	السناتور
senator	السيناتور
podružnica	فرعية
podružnica	فرعي
podružnica	الفرع
podružnica	فرع
podružnica	برانش
izpostavljeni	مكشوف
podvozje	هيكل
kmečka	الفلاح
kmečka	فلاح
betty	بيتى
betty	بيتي
križišču	تقاطع
križišču	التقاطع
odstranjevanje	التخلص
odstranjevanje	ازالة
zaman	عبثا
prefekt	الوالي
giulio	جوليو
sodobnost	حداثة
sodobnost	الحداثة
bomba	قنبلة
bomba	بله
bomba	القنبلة
scene	المشاهد
scene	الكواليس
scene	مشاهد
navidezni	ظاهر
navidezni	الظاهر
navidezni	الافتراضي
navidezni	افتراضية
skorje	القشور
mera	mera
mera	المعدل
mera	معدل
sulfat	كبريتات
tito	تيتو
izdelane	المصنعة
izmenjavo	تبادل
izmenjavo	التبادل
deseti	عاشرا
deseti	العاشر
deseti	العاشرة
dim	ديم
dim	دخان
dim	الدخان
obred	مراسم
obred	المراسم
obred	طقوس
obred	الطقوس
veronika	فيرونيكا
skale	الصخور
skale	صخور
catherine	كاثرين
razlage	تفسيرات
razlage	التفسيرات
razlage	تفسيرات
razlage	توضيحات
razlage	التفسيرات
odkrito	بصراحة
odkrito	صراحة
odkrito	بصدق
medicinsko	الطبي
medicinsko	طبية
medicinsko	طبي
medicinsko	الطبية
realna	واقعي
realna	واقعية
mejah	حدود
mejah	الحدود
puščavi	صحراء
puščavi	الصحراء
zajec	رابيت
zajec	الارنب
pripadnost	الانتماء
pripadnost	الانتساب
pripadnost	انتماء
pripadnost	الانتماء
twin	توام
disciplina	انضباط
disciplina	الانضباط
soproga	الزوجة
soproga	زوجه
soproga	زوجة
dorothy	دوروثي
dorothy	دورثي
lars	لارس
malta	مالطة
cona	منطقة
cona	المنطقة
zaupanje	الثقة
zaupanje	ثقة
zaupanje	الثقة
zaupanje	ثقة
široki	واسعا
široki	واسعة
široki	عريض
široki	واسع
prejeti	تستلم
prejeti	استلام
prejeti	تلقي
prejeti	تستقبل
prejeti	استقبل
prejeti	تلقت
prejeti	استلام
prejeti	وردت
prejeti	ورد
izginila	تختفي
primerjavo	مقارنة
primerjavo	المقارنة
diska	قرص
diska	القرص
zgleda	نظرات
zgleda	النظرات
zgleda	يبدو
garcia	غارسيا
haas	هاس
vrhovi	القمم
vrhovi	قمم
testiranje	الاختبار
testiranje	اختبار
selena	سيلينا
navdušen	معجب
navdušen	متحمسة
navdušen	متحمسين
navdušen	متحمس
nakup	شراء
nakup	الشراء
nakup	اشتري
nakup	شراء
nakup	شراء
bishop	الاسقف
bishop	اسقف
bishop	بيشوب
modrosti	الحكمة
modrosti	حكمة
cepivo	اللقاحات
cepivo	اللقاح
cepivo	لقاح
ozračje	الجو
ozračje	الاجواء
ozračje	اجواء
kocke	مكعبات
kocke	النرد
kocke	دايس
kocke	نرد
curtis	كيرتيس
hladno	البرد
hladno	بارد
hladno	الباردة
hladno	باردة
hladno	برد
čebele	نحل
čebele	النحل
pruski	البروسية
pruski	بروسية
encimov	الانزيمات
sud	sud
sužnji	العبيد
sužnji	عبيد
rgb	rgb
ravnotežje	الرصيد
ravnotežje	التوازن
ravnotežje	الميزان
ravnotežje	رصيد
ravnotežje	توازن
zbrani	جمعت
desetletij	عقودا
desetletij	عقود
zmanjšati	تقليل
jamie	جايمي
spore	منازعات
spore	النزاعات
spore	المنازعات
spore	نزاعات
minuto	الدقيقة
minuto	دقيقة
pojasnjuje	تفسر
pojasnjuje	يشرح
pojasnjuje	يوضح
pojasnjuje	يفسر
piper	بايبر
ust	فم
ust	الفم
telefon	هاتف
telefon	تلفون
telefon	الهاتف
telefon	هاتف
telefon	تلفون
telefon	تليفون
telefon	الهاتف
razmnoževanje	تكاثر
razmnoževanje	الضرب
razmnoževanje	الاستنساخ
razmnoževanje	التكاثر
razmnoževanje	استنساخ
razmnoževanje	تكاثر
priznan	المعترف
priznan	معترف
urbana	الحضر
urbana	حضرية
urbana	الحضري
urbana	الحضرية
urbana	حضري
kovanci	عملات
kovanci	العملات
kovanci	عملة
možgani	الدماغ
možgani	دماغ
možgani	المخ
možgani	مخ
možgani	عقل
možgani	عقول
možgani	العقول
marcello	مارسيلو
kontrole	الضوابط
kontrole	ضوابط
prazen	فارغ
prazen	فارغة
prazen	فارغ
prazen	فارغة
prazen	بياض
usposabljanja	التدريب
usposabljanja	تدريب
stroji	الالات
stroji	الاليات
stroji	الالات
stroji	الات
stroji	ماكينات
izboljšati	تحسين
foster	يتبنى
turnbull	تيرنبول
dean	دين
dean	العميد
dean	عميد
junaki	الابطال
junaki	ابطال
poteze	حركات
poteze	التحركات
poteze	الحركات
premikanje	انتقال
premikanje	الانتقال
premikanje	التحرك
premikanje	الحركة
premikanje	حركة
vreden	يستحق
vreden	تستاهل
ujetništvu	الاسير
storia	storia
čevljev	احذية
čevljev	حذاء
čevljev	الحذاء
čevljev	الاحذية
povabilo	دعوة
povabilo	الدعوة
povabilo	دعوة
povabilo	الدعوة
protokol	بروتوكول
protokol	البروتوكول
prepovedi	بحظر
prepovedi	الحظر
prepovedi	حظر
nizek	منخفض
nizek	منخفضة
nizek	تدني
nizek	انخفاض
kronanje	التتويج
kronanje	تتويج
žogo	كرة
žogo	الكرة
hodi	مشي
hodi	يمشي
hodi	امشي
hodi	المشي
hodi	مشي
hodi	امشي
hodi	المشي
martini	مارتيني
pel	سانغ
pel	سانج
duhovne	روحاني
duhovne	روحانية
duhovne	الروحية
duhovne	روحية
temna	ظلام
temna	مظلم
temna	الظلام
temna	مظلمة
hollywood	هوليوود
hollywood	هوليود
pekingu	بكين
pekingu	بيجين
zidovi	اسوار
zidovi	الحوائط
zidovi	الحيطان
zidovi	جدران
zidovi	الجدران
šesta	سادس
šesta	السادسة
šesta	السادس
šesta	سادسا
kentucky	كنتاكي
lepi	جميلة
lepi	جميل
lepi	جميله
lepi	وسيم
lepi	الوسيم
zaposlene	العاملون
zaposlene	موظفين
zaposlene	الموظفون
zaposlene	الموظفين
jelen	غزال
jelen	ايل
jelen	الغزال
jelen	الغزلان
houston	هيوستن
houston	هوستون
houston	هيوستون
sullivan	سوليفان
geolog	الجيولوجي
geolog	جيولوجي
centralno	مركزية
centralno	سنترال
centralno	الوسطى
centralno	وسط
centralno	مركزي
centralno	مركزيا
ohrani	احتفظ
sanj	احلام
sanj	الاحلام
farra	الفرا
leseno	خشبية
leseno	خشبي
leseno	خشب
leseno	وود
leseno	الخشب
leseno	الحطب
petrov	بيتروف
petrov	بتروف
gene	الجين
skrivaj	سرا
trupa	الجذع
trupa	جذع
sporno	الخلافية
subjekt	الموضوع
subjekt	كيان
subjekt	الكيان
leslie	ليسلي
leslie	ليزلي
kuga	الطاعون
žile	عروق
daljnogled	منظار
daljnogled	تلسكوب
daljnogled	المنظار
specifični	محدد
specifični	محددة
rane	جرح
rane	الجرح
rane	جروح
rane	الجروح
trdne	صلبة
trdne	متين
trdne	الصلبة
trdne	صلب
kupole	القباب
profesionalno	مهنية
profesionalno	مهني
profesionalno	محترف
profesionalno	احترافية
profesionalno	المهنية
profesionalno	مهنيا
branilec	مدافع
branilec	المدافع
valentina	فالنتينا
švico	يسرا
švico	سويسرا
plesni	عفن
plesni	العفن
plesni	القالب
obrti	حرف
obrti	الحرف
akt	التصرف
akt	الفعل
akt	التمثيل
spremljanje	الرصد
spremljanje	رصد
spremljanje	الشاشة
spremljanje	رصد
demokracija	الديمقراطية
demokracija	ديمقراطية
wang	وانج
wang	وانغ
dežja	مطر
dežja	المطر
dežja	الامطار
okrogle	مستديرة
okrogle	الجولة
nika	نيكا
nika	نيكا
uporabljeno	استعمل
uporabljeno	استخدم
uporabljeno	مستخدم
uporabljeno	استخدمت
four	اربع
four	اربعة
four	اربعه
zaposlena	مشغولا
zaposlena	مشغول
zaposlena	مشغولين
zaposlena	مشغولة
oxfordu	اوكسفورد
oxfordu	اكسفورد
čista	خالص
čista	نقي
čista	نقية
biološke	البيولوجية
biološke	بيولوجية
biološke	بيولوجي
zmaja	ورقية
deseto	عاشرا
deseto	العاشر
deseto	العاشرة
flora	فلورا
nevarna	خطير
nevarna	خطر
nevarna	خطيرة
nevarna	خطرة
montgomery	مونتغمري
pekel	جحيم
pekel	جهنم
pekel	الجحيم
trgovanje	تجارة
trgovanje	التجارة
trgovanje	التداول
trgovanje	تجارة
trgovanje	المتاجرة
epizoda	حلقة
epizoda	الحلقة
ran	جروح
ran	الجروح
aluminij	الالومنيوم
aluminij	الالمنيوم
aluminij	الالومنيوم
flota	الاسطول
flota	اسطول
kanadsko	كندي
kanadsko	كندية
kanadsko	الكندي
kanadsko	الكندية
akademski	اكاديمية
akademski	الاكاديمي
akademski	الاكاديمية
akademski	اكاديمي
popotnik	المسافر
popotnik	مسافر
popotnik	المسافر
popotnik	مسافر
popotnik	المتجول
moment	اللحظة
semen	بذور
semen	البذور
standardi	معايير
standardi	المقاييس
standardi	المعايير
garden	حديقة
garden	الحديقة
težavo	مشكلة
težavo	المشكلة
težavo	مشكل
brezplačno	مجانا
brezplačno	حرة
brezplačno	مجاني
brezplačno	free
brezplačno	حر
kandidatov	المرشحين
kandidatov	المرشحون
kandidatov	مرشحين
televizijo	تلفاز
televizijo	التلفاز
televizijo	التليفزيون
televizijo	تلفزيون
televizijo	التلفزيون
glenn	جلين
odkrita	اكتشفت
bližje	اقرب
obraza	وجه
obraza	واجه
obraza	الوجه
produkti	منتجات
produkti	المنتجات
berry	بيري
železna	حديدي
železna	حديد
železna	الحديد
strehe	الاسطح
strehe	الاسطح
strehe	السقف
strehe	سقف
strehe	سطح
strehe	السطح
zastrupitev	التسمم
zastrupitev	تسمم
gas	الغاز
gas	غاز
gas	غازات
oak	البلوط
rojene	ولد
rojene	تولد
rojene	مولود
rojene	يولد
rojene	ولدت
prusija	بروسيا
zaprti	مغلقة
zaprti	مغلق
testi	اختبارات
testi	الاختبارات
rušilcev	المدمرات
brien	brien
najmočnejši	الاقوى
shimizu	شيميزو
zdravi	صحه
zdravi	صحية
zdravi	صحي
zdravi	يشفي
pariški	باريس
pariški	الباريسي
pariški	الباريسية
madison	ماديسون
privrženci	اتباع
privrženci	متابعين
privrženci	متابع
privrženci	المتابعين
operator	مشغل
operator	المشغل
pasme	سلالة
pasme	تولد
stabilen	مستقر
stabilen	مستقرة
cat	القط
cat	قطة
cat	قط
cat	القطة
cat	كات
klinični	السريرية
grafični	تصويري
oddaljeno	البعيد
oddaljeno	بعيد
oddaljeno	البعيد
kemična	كيميائية
kemična	كيميائي
spremenjena	المعدل
spremenjena	معدل
spremenjena	تعديل
spremenjena	معدلة
enotnost	وحدة
enotnost	الوحدة
prometni	المرور
globalno	عالميا
globalno	عالمي
globalno	عالمية
globalno	عالميا
globalno	العالمي
globalno	العالمية
opozorilo	التحذير
opozorilo	تحذير
katerikoli	اي
katerikoli	اية
redna	منتظم
redna	منتظمة
darilo	هدية
darilo	الهدية
darilo	هديه
jorge	خورخي
potomcev	الذرية
potomcev	نسل
potomcev	ذرية
aretiran	القبض
aretiran	التوقيف
aretiran	الاعتقال
aretiran	اعتقل
aretiran	توقيف
aretiran	اعتقال
aretiran	اعتقل
aretiran	معتقل
harper	هاربر
uporniki	المتمردين
uporniki	المتمردون
uporniki	الثوار
sloves	سمعة
sloves	السمعة
pridobijo	اكتساب
ugodno	مواتية
ugodno	موات
saška	ساكسونيا
ovire	الحواجز
ovire	حواجز
ovire	العقبات
ovire	عقبات
ovire	العراقيل
ovire	العوائق
ovira	عرقلة
ovira	اعاقة
ovira	انسداد
ovira	عائق
ovira	العقبة
ovira	عقبة
ovira	حاجز
ovira	الحاجز
cole	كول
campo	كامبو
guvernerjev	حكام
guvernerjev	الحكام
čile	شيلي
čile	تشيلي
namerava	تنوي
namerava	تعتزم
izvoljena	انتخب
izvoljena	منتخب
izvoljena	المنتخب
piva	بيرة
piva	الجعة
piva	جعة
piva	البيرة
psihološko	نفسية
psihološko	النفسية
institucije	مؤسسات
institucije	المؤسسات
zaklad	كنز
zaklad	الكنز
odstop	استقالة
odstop	الاستقالة
odstop	الانسحاب
odstop	سحب
finančna	مالي
finančna	مالية
finančna	المالية
razsežnost	البعد
zabavo	حفلة
zabavo	الطرف
zabavo	حزب
zabavo	حفل
zabavo	الحزب
zabavo	ترفيه
zabavo	للترفيه
zabavo	الترفيه
zabavo	تسلية
konvencije	الاتفاقية
konvencije	اتفاقية
konvencije	اتفاقيات
konvencije	الاتفاقيات
srbi	حكة
srbi	الحكة
srbi	صرب
srbi	الصرب
spusti	قطرة
spusti	اسقط
spusti	اسقاط
connecticut	كونيتيكت
stanford	ستانفورد
pakistan	باكستان
srečen	يسعد
srečen	سعيده
srečen	هابي
srečen	سعيد
srečen	سعيدة
pionir	رائدا
pionir	بايونير
pionir	رائدة
pionir	الرائدة
demo	تجريبي
demo	التجريبي
natančen	دقيقا
natančen	دقيق
emma	ايما
balet	الباليه
balet	باليه
balet	البالية
warwick	وارويك
mrk	الكسوف
ekonomija	اقتصاد
ekonomija	الاقتصاد
ekonomija	اقتصاد
ekonomija	الاقتصاد
trpljenje	المعاناة
trpljenje	معاناة
bello	بيلو
bello	بيلا
bogastva	ثروات
bogastva	الثروات
bogastva	الثراء
bogastva	ثروة
bogastva	الثروة
bogastva	الثروات
gole	العارية
zvest	مخلص
zvest	مخلص
zvest	المؤمنين
zvest	مخلصة
predelavo	معالجة
predelavo	التجهيز
predelavo	المعالجة
predelavo	تجهيز
lažji	اسهل
lažji	اخف
ano	ana
povprečje	متوسط
povprečje	المتوسط
gozdarstvo	الغابات
gozdarstvo	الحراجة
gozdarstvo	غابات
depresija	الكابة
depresija	اكتئاب
depresija	الاكتئاب
depresija	الكساد
sosednji	المجاورة
sosednji	مجاورة
sosednji	مجاور
sosednji	المتاخمة
hud	هد
hud	بدس
vpogled	بصيرة
vpogled	البصيرة
vpogled	الرؤى
vpogled	رؤى
športnik	رياضي
kirurg	جراح
kirurg	الجراح
škrat	قزم
škrat	قزما
škrat	قزم
škrat	القزم
aluminijev	الالومنيوم
perspektive	المنظورات
perspektive	منظورات
perspektive	المنظور
perspektive	منظور
mlajša	اصغر
mlajša	الاصغر
rjava	اسمر
rjava	البني
rjava	بنية
rjava	براون
prazno	فارغ
prazno	فارغة
prazno	فارغ
prazno	فارغة
prazno	بياض
poklicna	مهنية
poklicna	مهني
poklicna	محترف
poklicna	احترافية
poklicna	المهنية
pomočnika	مساعد
pomočnika	المساعد
pomočnika	مساعد
protein	بروتين
protein	البروتين
pričakovali	المتوقع
pričakovali	متوقع
pričakovali	المتوقعة
pričakovali	المنتظر
galaksija	غالاكسي
galaksija	مجرة
galaksija	المجرة
brooklyn	بروكلين
temple	المعبد
temple	تمبل
temple	معبد
večno	للابد
večno	الابد
večno	الابدي
večno	ابدي
španci	الاسبان
osmi	الثامن
osmi	ثامنا
osmi	الثامنة
tokov	الجداول
tokov	جداول
tokov	التدفقات
tokov	تدفقات
lokomotiva	القاطرة
sonda	مسبار
kuge	الطاعون
jakost	قوة
jakost	القوة
sončna	مشمس
sončna	سني
sončna	شمسية
sončna	شمسي
sončna	الشمسية
nositi	تحمل
nositi	احمل
nositi	ارتدي
nositi	لبس
