제레미	jeremy
도끼	kirves
월리스	wallace
재판소	oikeus
재판소	tuomioistuin
둘레	ympärysmitta
상업용	kaupallista
상업용	kaupalliset
상업용	kaupallinen
수영장	altaat
수영장	allas
이민자	maahanmuuttajien
환영	tervetuloa
환영	welcome
데이먼	damon
데이먼	damonin
자발적	vapaaehtoista
자발적	vapaaehtoiset
자발적	vapaaehtoinen
황소	härkä
황소	bull
음악원	conservatory
화랑	galleriassa
화랑	gallerian
화랑	galleria
스택	pino
스택	stack
에픽	eeppinen
블로거	bloggaaja
친구들이	ystävät
친구들이	ystäviä
친구들이	kavereita
친구들이	kaverit
파인	pine
재무	taloudellista
재무	rahoitus
치과	hammaslääkäri
치과	hammaslääkäri
치과	hammas
치과	hammaslääketiede
알렌	alan
인코딩	koodaa
인코딩	koodaus
몰리	mollie
몰리	mollyn
몰리	molly
몰리	morley
트루	tru
화살	nuolet
화살	nuolia
화살	nuoli
심리학자	psykologi
섹션	jakso
섹션	pääluokka
섹션	jaksot
햄릿	hamlet
구문	lause
구문	syntaksi
그린란드	grönlannin
루브르	louvre
초원	nurmen
초원	meadow
무시	ohita
무시	hylkää
무시	hävitä
무시	hylkää
무시	huomiotta
땅콩	pähkinä
땅콩	pähkinä
땅콩	pähkinät
땅콩	pähkinöitä
땅콩	nuts
땅콩	pähkinöitä
닐스	nils
대표자	edustava
대표자	edustaja
가끔은	joskus
가끔은	toisinaan
미러	peilit
미러	peilejä
미러	peiliä
미러	peili
결제	maksa
결제	palkka
결제	maksaa
결제	maksettava
결제	maksu
결제	maksaminen
결제	maksuja
결제	maksut
트럼프	trump
갈릴레이	galilei
브룩	brooke
브룩	brook
브룩	puro
카이사르	caesar
아름답다	kaunista
아름답다	kaunotar
아름답다	kaunis
아름답다	kauniit
단자	liitin
역설	paradoksi
역설	paradokseja
불행한	onneton
불행한	tyytymätön
불행한	valitettavaa
불행한	valitettava
안도라	andorran
마리야	marien
마리야	marie
띄어쓰기	välit
폐기물	jätettä
폐기물	jäte
폐기물	jätteen
폐기물	jätteet
폐기물	jätteet
허가서	ajokortti
허가서	lisenssi
호위함	fregatti
어린시절	lapsuuden
어린시절	lapsuus
어린시절	lapsuudesta
달빛	kuutamo
어메이징	uskomatonta
어메이징	upeaa
브렛	brett
알토	alto
올리비아	olivia
올리비아	olivian
브라질리아	brasília
켄타	kenta
급한	kiireellinen
급한	kiireellistä
솔리드	kiinteää
솔리드	kiinteät
솔리드	kiinteä
외할아버지	isoisä
캐머런	cameron
캐머런	cameronin
눈물이	kyyneleet
눈물이	kyyneleitä
눈물이	kyynel
눈물이	kyyneliä
단순하게	yksinkertaisesti
의사소통	viestintä
의사소통	tiedonanto
의사소통	tiedonannon
충전	lataus
충전	syyte
넓이	laaja
넓이	leveä
베스	beth
임상	kliiniset
임상	kliininen
최단	lyhin
전세	peruskirja
전세	peruskirjan
몽키	apina
터빈	turbiini
터빈	turbiinit
사슴	peura
사슴	hirvi
사슴	peuran
시에라	sierra
로건	logan
로건	loganin
기독교인	kristityt
기독교인	kristittyjen
기독교인	kristittyjä
소원	toivottaa
소원	toive
소원	kunpa
소원	haluaa
소원	toiveet
소원	toiveita
소원	toivoo
수다	puhelias
병행	samanaikaista
병행	samanaikainen
존경하는	arvostettu
존경하는	kunnioitettu
비례	suhteellisesti
비례	suhteellinen
비례	suhteutettu
비례	osuus
반박	vastaväite
베스트셀러	bestseller
모니터링	seuranta
모니터링	valvonta
모니터링	valvo
모니터링	valvoa
오크	örkki
엣지	reuna
엣지	edge
엣지	reunan
하모니카	huuliharppu
파이썬	python
쓸데없는	hyödytön
쓸데없는	hyödytöntä
난이도	vaikeuksia
난이도	vaikeudet
난이도	vaikeus
브룩스	brooke
브룩스	brooks
나뭇잎	lehtiä
나뭇잎	lähtee
나뭇잎	lehdet
나뭇잎	lehti
현관	kuisti
미니애폴리스	minneapolis
스바루	subaru
사담	saddam
사담	saddamin
팟캐스트	podcast
파라	farah
아이디어	ideat
아이디어	ajatuksia
아이디어	ideoita
아이디어	idean
아이디어	ajatus
아이디어	idea
아이디어	ideaa
관습	tulli
캐롤라이나	carolina
인터랙티브	interaktiivinen
부상당한	haavoittuneet
부상당한	haavoittuneita
부상당한	haavoittunut
페널티	seuraamus
페널티	rangaistus
합금	seos
합금	seokset
케이시	casey
기꺼이	mieluusti
퍼거슨	ferguson
수사관	tutkijoiden
수사관	tutkijat
우회	ohita
우회	ohittaa
드레이크	drake
애니멀	eläin
애니멀	eläintä
애니멀	eläimet
애니멀	eläinten
죄수	vankeja
죄수	vankien
죄수	vangit
기증	lahjoitus
기증	lahjoituksen
기증	luovutuksen
기증	luovutus
훔볼트	humboldt
맬컴	malcolm
푸틴	putinin
푸틴	putin
패킷	paketit
패킷	paketteja
아카기	akagi
다카기	takagi
공학자	insinööri
프리덤	vapauden
프리덤	vapautta
프리덤	vapaus
프리덤	vapauteen
서킷	piiri
서킷	circuit
동지	solstice
동지	toveri
동지	toverit
메이슨	masonin
메이슨	mason
결정하기	päätä
결정하기	päättää
침묵	hiljaista
침묵	hiljainen
침묵	äänetön
침묵	hiljaisuus
중성	puolueeton
중성	neutraali
헌트	metsästää
헌트	hunt
헌트	huntin
헌트	jahti
헌트	metsästys
괴산	siepattu
괴산	sieppasi
괴산	kaapattu
부등식	eriarvoisuutta
부등식	epätasa
부등식	eriarvoisuus
벵골	bengali
벵골	bengalin
여자들	naisten
여자들	naiset
여자들	naisia
융합	fuusio
융합	fuusion
비틀즈	beatles
니코	nico
장화	saappaat
버팔로	buffalo
커리어	uran
커리어	ura
커리어	uran
커리어	ura
커리어	uraa
공구	työkalun
공구	väline
공구	työkalu
일자리	työpaikkoja
일자리	työt
일자리	työpaikat
프로스트	frost
셰인	shane
셰인	shanen
크릭	crick
둥지	pesää
둥지	pesä
둥지	pesiä
아바타	avatar
일시적	tilapäisesti
일시적	väliaikaisesti
일시적	tilapäinen
일시적	väliaikaisesti
일시적	väliaikainen
일시적	väliaikaiset
일시적	tilapäiset
맥도널드	mcdonald
맥도널드	macdonald
마늘	valkosipulia
절벽	kalliot
절벽	kallio
절벽	kallion
절벽	cliff
유머	huumoria
유머	huumori
유머	huumorintaju
유머	huumoria
유머	huumori
유머	huumorintaju
박쥐	bat
박쥐	maila
박쥐	lepakko
박쥐	lepakoita
올림푸스	olympus
빙하	jäätiköt
푸앵카레	poincaré
듀엣	duetto
스타킹	sukat
스타킹	sukkia
스타킹	sukka
콤플렉스	monimutkaista
콤플렉스	monitahoinen
콤플렉스	monimutkainen
콤플렉스	monimutkaiset
빈곤	köyhyyden
빈곤	köyhyyteen
빈곤	köyhyys
빈곤	köyhyyttä
럭셔리	ylellinen
럭셔리	ylellisyyttä
어쨌거나	jokatapauksessa
물결	aallon
물결	aalto
스트레이트	suoraan
스트레이트	hetero
스트레이트	suorat
스트레이트	suora
이탈리아인	italialaiset
이탈리아인	italialaisia
이탈리아인	italialaiset
이탈리아인	italiaksi
이탈리아인	italialainen
이탈리아인	italia
이탈리아인	italian
생태계	ekosysteemin
생태계	ekosysteemien
듀티	velvollisuus
듀티	tulli
홀리	holly
로체스터	rochester
무작위	satunnaisuus
무작위	satunnaista
무작위	satunnainen
무작위	satunnaisia
발렌타인	valentine
처칠	churchill
랜스	lance
엑셀	excel
서스펜션	keskeytys
서스펜션	keskeyttäminen
투자가	sijoittajan
투자가	sijoittaja
스킨	ihon
스킨	iho
스킨	ihoa
지배자	määräävän
지배자	määräävä
헬레나	helena
이사벨라	isabella
각도	kulma
각도	kulmaa
도망자	karkuri
파이트	ottelut
파이트	taistelee
토네이도	tornado
토네이도	pyörremyrsky
습지	marsh
습지	kosteikkojen
습지	kosteikko
열쇠	avaimet
봄바디어	bombardier
아들들	poikia
구두	kengän
구두	kenkä
시리얼	sarja
시리얼	sarjanumero
시리얼	viljan
시리얼	vilja
시리얼	viljaa
시리얼	vilja
예언	ennustukset
예언	profeetat
예언	ennustuksen
예언	ennustus
점화	sytytys
프레스	lehdistö
프레스	paina
마스터스	mestarit
마스터스	masters
마스터스	päälliköt
마스터스	mestari
마스터스	isäntä
토양	maaperän
토양	maaperä
레이첼	rachel
레이첼	rachelin
레이첼	rachael
아론	aaron
아론	aron
신념	faith
신념	uskoa
신념	usko
신념	uskomuksia
얼티밋	äärimmäinen
플라즈마	plasma
플라즈마	plasman
복음	gospel
복음	ohjaus
복음	ohjeita
복음	opastusta
우표	leima
우표	leimaa
우표	postimerkkejä
조앤	johanna
조앤	joan
오리온자리	orion
소수점	desimaalit
타악기	lyömäsoittimet
썬더	thunder
썬더	ukkonen
마샬	marshallin
마샬	marshall
라이징	nousu
라이징	nousee
라이징	nouseva
라이징	nousussa
셰이크	sheikki
셰이크	sheikki
창문	ikkuna
창문	ikkunasta
창문	ikkunan
댄싱	tanssin
댄싱	tanssii
댄싱	tanssiminen
댄싱	tanssia
댄싱	tanssi
저수지	altaiden
저수지	säiliöt
저수지	altaat
슈가	sokeria
슈가	sokeri
관리하기	hallita
관리하기	hallinnoida
관리하기	hallitse
관리하기	hallinnoi
불쾌한	epämiellyttävää
불쾌한	epämiellyttävä
버뮤다	bermudan
피사	pisa
체스터	chester
리오넬	lionel
판도라	pandora
인터럽트	keskeyttää
인터럽트	keskeytys
인터럽트	keskeyttäminen
인터럽트	keskeyttää
매스	massaa
매스	massa
인디애나폴리스	indianapolis
주님	lordin
주님	herra
주님	lordi
마돈나	madonna
반영	kuvastaa
반영	heijastavat
반영	heijastaa
반영	harkinta
반영	heijastus
반영	pohdintaa
미화	usd
인플루엔자	influenssa
인플루엔자	flunssa
인플루엔자	flunssan
자바스크립트	javascript
마르티네스	martinez
전시관	näyttely
전시관	näyttelyyn
전시관	näyttelyä
전시관	näyttelyssä
전시관	messut
콜롬보	colombo
암살자	salamurhaajia
암살자	salamurhaaja
암살자	palkkamurhaaja
코스모스	kosmos
더럼	durham
세타	theta
시아파	shia
궁궐	palace
궁궐	palatsi
미묘한	hienovarainen
퓨전	fuusio
퓨전	fuusion
랭커스터	lancaster
일하기	töissä
일하기	työskentely
프레이저	fraser
마커스	marcus
슈테판	stefan
슈테판	stephan
아나키즘	anarkismi
사보이	savoy
애비뉴	avenue
다운타운	keskusta
다운타운	keskustaan
다운타운	keskustassa
다운타운	keskustan
입법부	lainsäätäjä
바라며	toivoen
기쁨	iloa
기쁨	ilon
기쁨	ilo
기쁨	herkkuja
기쁨	ilo
기쁨	mielihyvää
기쁨	nautinto
뉴펀들랜드	newfoundlandin
헌장	peruskirja
헌장	peruskirjan
클러스터	keskittämistä
클러스터	klusteri
핼리팩스	halifax
프록시	asiamies
프록시	proxy
바스	kylpy
바스	kylvyn
핵분열	fissio
인피니트	ääretön
인피니트	loputon
아무나	ketään
스텔라	stella
릴리즈	vapauttaa
릴리즈	vapauta
릴리즈	julkaisu
제라드	gerrard
제라드	gerard
아바스	abbas
궁수자리	jousimies
클레오파트라	kleopatra
시편	psalmi
시편	psalmit
카라카스	caracas
도도	astetta
서식	muotoilua
서식	muotoilu
산토스	santos
크라쿠프	kraków
산책	kävellä
산책	kävely
플라잉	lentäminen
플라잉	lentävä
플라잉	lentää
플라잉	lentävät
추첨	piirrä
추첨	tasapeli
추첨	piirtää
제롬	jerome
패트리어트	patriot
미학	estetiikka
미학	esteettinen
물품	tavara
물품	tavarat
물품	tavaran
물품	tavaroiden
물품	hyödyke
그리기	piirrä
그리기	tasapeli
그리기	piirtää
그리기	piirustus
그리기	piirros
그리기	piirtää
헤라클레스	herkules
헤라클레스	heracles
쥐라기	jurassic
용품	tarvikkeita
용품	tarvikkeiden
용품	tarvikkeet
용품	toimitukset
콘스탄티노스	constantine
서포터	kannattaja
서포터	tukija
마술	noituutta
마술	taikaa
마술	magic
마술	taikuutta
마술	taikuus
마술	taika
부담	rasite
부담	taakan
부담	taakka
폭력적인	väkivaltaista
폭력적인	väkivaltainen
그리니치	greenwich
바리톤	baritoni
허락	lupa
네덜란드인	alankomaat
네덜란드인	hollantilainen
네덜란드인	hollannin
네덜란드인	hollantilainen
네덜란드인	alankomaiden
네덜란드인	hollanti
본드	bondin
본드	side
본드	bond
섹터	sektori
섹터	toimiala
섹터	aloilla
섹터	sektorit
우주인	astronautti
장벽	esteitä
장벽	esteet
장벽	este
장벽	esteen
강조	korostaa
강조	korosta
강조	korostus
강조	korostaa
강조	korostetaan
강조	korostaminen
강조	korostus
강조	voimakkuus
강조	intensiteetti
리브	liv
리브	reeve
탐구	tutkimukset
탈선	raiteilta
포춘	omaisuuden
수염	parrakas
수염	parta
수염	parrat
수염	parta
수염	partaa
수염	parran
미쳐	hullua
미쳐	crazy
미쳐	hullu
트리오	trio
본질	olemus
리젠시	regency
돼지고기	sianliha
돼지고기	porsas
까다로운	hankalaa
까다로운	hankala
욕망	halua
욕망	halun
욕망	halut
욕망	halu
욕망	himo
욕망	halut
욕망	haluja
매뉴얼	käyttöohje
매뉴얼	käsikirjan
매뉴얼	käsikirja
매뉴얼	manuaalinen
챌린저	haastaja
킹덤	kuningaskunta
킹덤	valtakunta
카노	kano
안전성	turvallisuutta
안전성	turvallisuus
우산	sateenvarjo
우산	sateenvarjot
예매	varaus
삼각	kolmion
삼각	kolmio
보두앵	baldwin
남방	etelä
남방	etelän
남방	eteläinen
서커스	sirkus
서커스	sirkuksen
컴파일	koottu
컴파일	kokoaminen
컴파일	kokoelma
이브라힘	ibrahim
초과	ylimääräinen
초과	ylitti
초과	ylitetty
향수	tuoksut
향수	nostalgia
향수	tuoksu
향수	tuoksut
브라질인	brasilialaiset
국민투표	kansanäänestyksen
국민투표	kansanäänestystä
국민투표	kansanäänestys
페가수스자리	pegasus
서스펜스	jännitys
서스펜스	jännityksen
서스펜스	jännitystä
셀틱	kelttiläinen
실무	käytännöllistä
실무	käytännöllinen
실무	käytännön
수니파	sunni
케이타	keita
술집	pubeja
술집	pubissa
술집	pub
이더넷	ethernet
포브스	forbes
돌고래	delfiini
돌고래	delfiinit
고소	syytös
고소	syyte
고소	haastaa
퍼시	percy
실비아	sylvia
실비아	silvia
에볼루션	evoluution
에볼루션	evoluutio
에볼루션	kehitys
에볼루션	kehittyminen
올림피아	olympia
지니	ginny
귄터	günter
권장	suositeltava
권장	suositus
권장	suositellaan
권장	suositellut
권장	suositeltu
부관	postuumi
조슈아	joshua
우즈	metsää
우즈	metsään
우즈	metsä
우즈	woods
우즈	metsät
가이아	gaia
신탁	luottaa
신탁	luottamusta
신탁	luottamus
신탁	luota
엉덩이	perse
엉덩이	hip
엉덩이	lantio
엉덩이	lantio
엉덩이	perse
가르침	opettaa
가르침	opettaminen
가르침	opetus
가르침	opetusta
웍스	toimii
웍스	teokset
웍스	työskentelee
셀프	selli
셀프	solu
셀프	solun
가봉	gabonin
셔먼	sherman
인테리어	sisustus
상어	haita
상어	hait
상어	hai
상어	haita
상어	hain
상어	hait
블룸	kukkivat
블룸	bloom
근로자	työntekijöitä
근로자	työläiset
근로자	työntekijöiden
근로자	työntekijät
근로자	työntekijä
근로자	työntekijää
근로자	työläinen
근로자	työntekijän
근로자	työntekijöiden
응답	vastaa
응답	vastausten
응답	vastauksia
응답	vastaukset
응답	vastauksia
응답	vastaukset
응답	vastaa
응답	vastaus
응답	vastata
응답	vastaa
응답	vastaus
응답	vastata
응답	vastauksen
응답	vastaus
응답	vaste
저널리즘	journalismia
조립	koota
조립	koolla
조립	koottu
텅스텐	volframi
카불	kabulin
로사리오	rosario
장점	edut
장점	etuja
장점	etuna
장점	etu
오렌지색	orange
오렌지색	oranssi
오렌지색	appelsiini
내시	nash
검사관	tarkastaja
검사관	komisario
등대	majakka
제이콥	jacob
제이콥	jacobin
차이콥스키	tšaikovski
우디	woody
던지기	heittää
던지기	heitto
던지기	heittää
던지기	heitto
디럭스	deluxe
브롱크스	bronx
상상	mielikuvitusta
상상	mielikuvituksen
상상	mielikuvitus
상상	kuvitteellinen
상상	mielikuvitus
상상	kuvitellut
상상	kuvitteli
상상	kuvittele
밀스	tehtaat
밀스	mills
카르타고	karthagon
통계학	tilastotietoja
통계학	tilastotiedot
통계학	tilastot
통계학	tilastojen
통계학	tilastoja
통계학	tilastollinen
통계학	tilasto
커넥션	yhteyksien
커넥션	yhteyksiä
커넥션	yhteydet
커넥션	liitännät
커넥션	yhteys
커넥션	yhteyden
서프라이즈	yllätys
픽션	fiktiota
학업	akateemisen
학업	akateeminen
호화	ylellinen
포츠담	potsdam
혐오	inhoa
혐오	vihaa
혐오	viha
혐오	vihan
혐오	vihata
혐오	vihaa
혐오	vihaan
혐오	viha
혐오	vihan
블라인드	sokeita
블라인드	sokeaa
블라인드	sokea
블라인드	verhot
등산	kiivetä
레베카	rebecca
천장	katto
천장	enimmäismäärä
천장	kattoon
페라리	ferrari
슈트라우스	strauss
아우크스부르크	augsburg
하든	harden
모리셔스	mauritiuksen
신용카드	hyvitys
신용카드	luotto
신용카드	luottoa
달팽이	etanoita
달팽이	etana
달팽이	etana
소중히	vaalia
러닝	juoksee
대리석	marmoria
노르만	norman
계란	munien
계란	munat
계란	kananmunia
계란	munia
계란	munan
계란	munat
계란	muna
계란	munaa
렉스	rex
자비	armo
자비	armoa
핸드	käsi
핸드	käden
외모	ulkonäkö
외모	esiintymiset
외모	ulkonäkö
외모	ulkonäön
외모	ulkoasu
보행자	jalankulkijoiden
보행자	jalankulkijoiden
이르쿠츠크	irkutskin
미네르바	minerva
당구	biljardi
당구	biljardin
당구	biljardi
당구	biljardia
노블	jalo
노블	jaloa
형제들	veljet
형제들	veljekset
형제들	veljiä
행진곡	marssi
행진곡	maaliskuu
행진곡	maaliskuuta
행진곡	marssia
외로운	yksinäistä
외로운	yksinäiseksi
외로운	yksinäinen
라벨	etiketti
트레이시	tracy
팔이	käsi
팔이	käsivarsi
팔이	käsivarren
프레스턴	preston
벽돌	tiiliä
벽돌	brick
라이	lai
폴란드인	puolalaiset
폴란드인	puolalaisia
백금	platinaa
하인	palvelija
미완성	keskeneräinen
캘린더	kalenteri
캘린더	kalenterin
캘린더	kalenteriin
캘린더	kalenterit
사이공	saigon
재규어	jaguaarit
재규어	jaguar
걷기	kävellä
걷기	kävellen
걷기	kävelyllä
걷기	kävely
걷기	kävelee
걷기	kävelee
걷기	käveli
걷기	kävellyt
걷기	kävellä
걷기	kävely
카를스루에	karlsruhen
사바나	savannah
바지	housuja
바지	housut
바지	housuja
바지	housut
설득	suostutteli
설득	suostutella
설득	vakuuta
설득	vakuuttaa
광업	louhinta
광업	kaivostoiminta
광업	kaivos
페가수스	pegasus
부트	boot
애슬론	athlon
써니	aurinkoinen
써니	sunny
써니	aurinkoista
니카라과의	nicaraguan
어려움	vaikeuksia
어려움	vaikeudet
어려움	vaikeus
어려움	vaikeuksia
어려움	vaikeudet
어려움	vaikeaa
어려움	vaikea
어려움	vaikeat
어려움	hankala
어려움	hankalaa
껍질	shell
껍질	kuori
껍질	kuori
껍질	kuoria
오르기	kiivetä
네트워킹	verkostot
