वैभव	grandeza
विरोधियों	adversarios
विरोधियों	oponentes
विरोधियों	opositores
लुइस	luis
क्लैप्टन	clapton
आतंक	terror
आतंक	terrorismo
आतंक	terrorismo
नर्तकी	bailarina
नर्तकी	bailarina
नर्तकी	bailarín
डगलस	douglas
चालुक्य	chalukya
एलेक्स	alex
पढ़े	leído
पढ़े	lea
पढ़े	leer
पढ़े	lectura
मोटर्स	motores
मोटर्स	motors
मेनन	menon
पियानो	piano
नियोजित	planeado
नियोजित	planificado
नियोजित	previsto
नियोजित	planificada
अप्रत्याशित	inesperada
अप्रत्याशित	inesperados
अप्रत्याशित	inesperadas
अप्रत्याशित	inesperado
यूनिवर्सल	universal
यूनिवर्सल	universales
विधवा	viudo
विधवा	viuda
विधवा	viuda
असफलता	fracaso
असफलता	fallo
असफलता	falla
फॉर्म	forma
फॉर्म	formulario
पंखों	alas
पंखों	wings
पंखों	alitas
गोदावरी	godavari
मुद्रास्फीति	inflación
गज	patios
गज	yardas
दुर्बल	débiles
दुर्बल	débil
पेशवा	peshwa
स्थूल	gordos
स्थूल	grasa
स्थूल	gordo
स्थूल	gorda
स्थूल	gordas
रामचन्द्र	ramachandra
अभूतपूर्व	fenomenal
ग्रीवा	cérvix
दोषों	defectos
कमजोरी	debilidades
कमजोरी	debilidad
वैचारिक	ideológico
वैचारिक	ideológicas
वैचारिक	ideología
वैचारिक	ideológicos
वैचारिक	ideológica
सर्जन	cirujana
सर्जन	cirujano
क्षारीय	álcali
क्षारीय	alcalina
क्षारीय	alinearse
क्षारीय	alinear
क्षारीय	alineación
टीके	vacunas
गोलार्ध	hemisferio
अल्जीरिया	argelia
रोमांचक	emocionante
रोमांचक	apasionante
रोमांचक	excitante
रोमांचक	emocionante
रोमांचक	apasionante
रोमांचक	emocionantes
बढ़त	escalada
हीमोग्लोबिन	hemoglobina
गोबर	estiércol
डालना	verter
डालना	vierte
डालना	pour
उत्पादकता	productividad
कागज़	paper
कागज़	ponencia
कागज़	papel
सांप	culebra
सांप	víbora
सांप	snake
सांप	serpiente
सांप	víboras
सांप	serpientes
गंतव्य	destino
गंतव्य	destinos
गंतव्य	destinos
अम्मा	amma
संभाल	manija
संभाल	asa
संभाल	manejar
गन	gun
गन	pistola
गन	arma
उल्टी	vomito
उल्टी	vomitar
उल्टी	vómito
उल्टी	vomito
उल्टी	vomitar
उल्टी	vómitos
उल्टी	vomitando
उल्टी	vómito
रेलगाड़ी	train
रेलगाड़ी	trenes
रेलगाड़ी	entreno
रेलगाड़ी	entrenar
रेलगाड़ी	tren
ट्रेडमार्क	marca
ट्रेडमार्क	marcas
सावित्री	savitri
यादृच्छिक	azar
यादृच्छिक	aleatorio
यादृच्छिक	random
यादृच्छिक	aleatoria
क्रिस्टोफर	christopher
क्रिस्टोफर	cristóbal
सचमुच	literalmente
सचमुच	literal
सचमुच	realmente
किरन	kiran
मॉरिसन	morrison
रतन	ratán
रतन	ratan
घाटियों	valles
साँप	culebra
साँप	víbora
साँप	snake
साँप	serpiente
लड़ा	lucharon
लड़ा	luchado
लड़ा	luchó
चिप	chip
सचिवालय	secretariado
सचिवालय	secretaría
इंसुलिन	insulina
सींग	bocina
सींग	trompa
सींग	cuerno
सींग	horn
डूब	hundiendo
डूब	hundirse
डूब	hundimiento
डूब	ahogado
डूब	ahogo
डूब	ahogamiento
डूब	ahogar
डूब	ahogando
जन्मजात	congénitas
जन्मजात	congénita
पिरामिड	pirámide
पिरामिड	pirámides
खोजा	descubierto
खोजा	descubierta
खोजा	descubiertas
खोजा	descubiertos
खोजा	descubrió
खोजा	buscado
खोजा	busqué
जोली	jolie
शेयरधारकों	accionistas
ऑयल	aceite
ऑयल	petroleo
ऑयल	óleo
ऑयल	petróleo
गेंदों	cojones
गेंदों	bolas
गेंदों	pelotas
गेंदों	balones
अमित	amit
पिच	brea
झरना	catarata
झरना	cascada
झरना	caídas
झरना	cascadas
झरना	falls
झरना	cataratas
झरना	cae
झरना	cataratas
झरना	cascadas
अनुमोदित	aprobados
अनुमोदित	aprobado
अनुमोदित	aprobada
अनुमोदित	aprobadas
अनुमोदित	examinó
अनुमोदित	revisados
अनुमोदित	revisadas
अनुमोदित	revisado
अनुमोदित	revisada
सीमांत	marginal
सीमांत	marginales
सीमांत	fronterizo
सीमांत	fronteriza
सीमांत	frontera
सीमांत	fronteras
सीमांत	borde
गुणांक	coeficiente
जीभ	lengua
स्विट्जरलैंड	suiza
लॉग	troncos
लॉग	registros
लॉग	troncos
लॉग	tronco
लॉग	bitácora
अजीत	ajit
पागल	crazy
पागल	loca
पागल	loco
पागल	locura
पागल	locos
सिलिकॉन	silicon
सिलिकॉन	silicona
सिलिकॉन	silicio
बेंजामिन	benjamin
बेंजामिन	benjamín
मानदंड	criterio
समझाया	explicado
समझाया	explicó
समझाया	explicaba
होनेवाली	efímera
होनेवाली	fugaz
होनेवाली	efímero
सॉसेज	salchicha
सॉसेज	chorizo
सॉसेज	salchichas
सॉसेज	embutidos
सहानुभूति	compasión
सहानुभूति	compasión
सहानुभूति	pésame
सहानुभूति	condolencias
सहानुभूति	simpatía
सहानुभूति	empatía
लूट	botín
लूट	saqueo
न्यायपालिका	judicatura
न्यायपालिका	magistratura
विनियमित	reglamentar
विनियमित	reglamenta
विनियमित	regular
एंडरसन	anderson
मुकुट	corona
यादगार	memorable
यादगार	inolvidable
यादगार	memorables
करों	impuesto
करों	impuestos
भुजा	brazo
भुजा	arm
गिल	gill
कक्षाओं	aulas
मजबूती	fortaleza
मजबूती	fuerza
भण्डार	caldo
भण्डार	stock
भण्डार	acciones
भण्डार	existencias
ड्रग	fármaco
ड्रग	droga
ड्रग	medicamento
बॉम्बे	bombay
कॉलेजों	colegios
कॉलेजों	universidades
कंपनियाँ	compañias
कंपनियाँ	empresas
कंपनियाँ	compañías
मिशिगन	michigan
मिशिगन	míchigan
डकोटा	dakota
भूवैज्ञानिक	geólogo
जोश	celo
जोश	fervor
जोश	josh
असुर	asura
सेंटीमीटर	centímetros
सेंटीमीटर	centímetro
सीने	tórax
सीने	cofre
सीने	pecho
घर्षण	fricciones
घर्षण	fricción
पीट	pete
पीट	piet
बॉबी	bobby
भित्ति	mural
नरसंहार	masacres
नरसंहार	matanza
नरसंहार	masacre
नरसंहार	matanzas
नरसंहार	genocidio
विचारकों	pensadores
बिशप	alfil
बिशप	bishop
बिशप	obispo
दुर्भाग्य	desgracia
दुर्भाग्य	infortunio
दुर्भाग्य	desafortunadamente
दुर्भाग्य	lamentablemente
दुर्भाग्य	desgraciadamente
संतृप्त	saturación
संतृप्त	saturado
संतृप्त	saturada
संतृप्त	saturados
लैस	lacy
पड़ोस	vecindario
पड़ोस	barrio
पड़ोस	vecindad
पड़ोस	vecindarios
पड़ोस	barrios
न्यास	fundación
न्यास	cimientos
फोरम	foro
फोरम	forum
फोरम	foros
एथेंस	atenas
पूँछ	rabo
पूँछ	cola
धीमा	despacito
धीमा	lentitud
धीमा	lento
धीमा	lenta
धीमा	lentos
चिन	chin
चिन	barbilla
चिन	mentón
राज्याभिषेक	coronación
लड़का	muchacho
लड़का	boy
लड़का	niño
लड़का	chico
मनोनीत	designar
मनोनीत	nominados
मनोनीत	nominado
मनोनीत	nominada
बॉडी	cuerpo
बॉडी	corporal
बॉडी	cadáver
बॉडी	body
बॉडी	carrocería
संकोच	dudes
संकोच	dudar
पीतल	bronce
पीतल	brass
पीतल	latón
महानतम	greatest
मुक्केबाजी	boxeo
गुजर	pasando
उभरा	surgido
उभरा	emergió
उभरा	surgió
उभरा	saltones
बढ़ाना	exacerbar
बढ़ाना	mejorando
बोतल	frasco
बोतल	biberón
बोतल	botella
पिस्टन	pistón
तुम्हारा	tuya
तुम्हारा	tuyo
तुम्हारा	tuyos
तुम्हारा	suya
तुम्हारा	tuyas
तुम्हारा	suyo
सस्ता	tacaño
सस्ता	barato
सस्ता	baratas
सस्ता	baratos
सस्ता	barata
चेन	chen
चेन	cadena
आर्द्रता	humedad
ऑक्सीकरण	oxidación
समन्वित	coordinados
समन्वित	coordinado
समन्वित	coordinadas
समन्वित	coordinada
संचिका	files
संचिका	archivos
संचिका	expedientes
संचिका	ficheros
संचिका	fichero
संचिका	expediente
संचिका	archivo
स्पष्टीकरण	explicación
स्पष्टीकरण	explicaciones
स्पष्टीकरण	explicación
स्पष्टीकरण	clarificación
स्पष्टीकरण	aclaraciones
स्पष्टीकरण	aclaración
स्पष्टीकरण	esclarecimiento
निराश	decepcionados
निराश	decepcionado
निराश	decepcionada
निराश	desilusionado
निराश	asco
निराश	disgustado
निराश	frustrada
निराश	frustrado
निराश	frustrados
यूट्यूब	youtube
मारुति	maruti
श्रुति	revelación
श्रुति	apocalipsis
यथार्थवादी	realista
यथार्थवादी	realistas
शक्तियाँ	powers
शक्तियाँ	poderes
शक्तियाँ	atribuciones
शक्तियाँ	potencias
सान	san
आंकड़ा	data
आंकड़ा	dato
आंकड़ा	datos
ग़ज़ल	ghazal
शुक्ला	shukla
कारखाना	fábricas
कारखाना	fabrica
कारखाना	factoría
कारखाना	factory
कारखाना	fábrica
इब्न	ibn
किम	kim
फलक	tabla
फलक	tablón
फलक	tablero
फलक	junta
फलक	tableros
फलक	tablas
फलक	pane
फलक	panel
स्वर्गीय	celestial
स्वर्गीय	celestiales
पते	domicilios
पते	direcciones
पते	direccion
मैसाचुसेट्स	massachusetts
ध्वन्यात्मक	fonético
निपुण	maestro
निपुण	master
निपुण	máster
निपुण	amo
ताजिकिस्तान	tayikistán
मिसाल	parábola
निलंबित	suspendida
निलंबित	suspendido
निलंबित	suspendidos
डार्विन	darwin
बंदूक	gun
बंदूक	pistola
बंदूक	arma
कलश	olla
कलश	maceta
कलश	cúspide
कलश	pináculo
जुडी	judy
कंपन	vibraciones
कंपन	vibrar
कंपन	vibraciones
कंपन	vibración
एयरवेज	airways
संतुष्टि	satisfacción
संवेग	ímpetu
संवेग	impulso
बाघों	tiger
बाघों	tigres
बाघों	tigre
बाघों	tigres
वंशावली	genealogía
रहीम	rahim
निमोनिया	neumonía
बचाया	rescatado
बचाया	rescatada
बचाया	rescatados
एस्टेट	patrimonio
एस्टेट	finca
गुरुवार	jueves
वॉल्ट	walt
वॉल्ट	bóveda
विस्थापित	desplazada
विस्थापित	desplazado
विस्थापित	desplazadas
विस्थापित	desplazados
जटिलताओं	complicaciones
जटिलताओं	complicación
उत्पीड़न	acoso
उत्पीड़न	hostigamiento
उत्पीड़न	agresión
उत्पीड़न	asalto
कोकेन	cocaína
आमिर	emir
आमिर	amir
आमिर	aamir
दयाल	dayal
पापों	pecados
उमर	umar
उमर	omar
मिलर	miller
ललिता	lalita
रज़ा	raza
कोणीय	angulares
कोणीय	angular
जोन	juan
जोन	joan
जोन	juana
शाखाएं	sucursales
शाखाएं	ramas
जानबूझकर	intencional
जानबूझकर	intencionada
जानबूझकर	intencionado
जानबूझकर	intencionales
मानकीकरण	estandarización
मानकीकरण	normalización
नशे	ebrio
नशे	borracha
नशे	borracho
नशे	borrachos
पुकारा	llamados
पुकारा	llamado
पुकारा	llamé
पुकारा	llamada
झंडा	flag
झंडा	bandera
ग्लास	cristal
ग्लास	vidrio
ग्लास	vidrios
ग्लास	vaso
घेर	rodean
घेर	envolvente
घेर	rodear
आंत	intestinos
आंत	intestino
आंत	tripas
आंत	intestino
आंत	tripa
फ़ुट	pies
क्रियान्वयन	implementación
क्रियान्वयन	aplicación
निष्कासन	relegar
सिगार	cigarro
सिगार	puro
सिगार	puros
यूक्रेन	ucrania
रुपया	rupia
वाइल्ड	wilde
निसान	nissan
पाद	pedo
पाद	pedos
दैत्य	gigante
दैत्य	giant
दैत्य	gigantes
दैत्य	monstruos
दैत्य	monster
दैत्य	monstruo
प्रक्रम	procesos
प्रक्रम	proceso
प्रक्रम	procesar
गवाह	testigos
गवाह	testigo
गवाह	testigos
गवाह	testimonio
क्रिश्चियन	cristiano
क्रिश्चियन	christian
क्रिश्चियन	cristianos
क्रिश्चियन	cristiana
क्रिश्चियन	cristian
क्रिश्चियन	cristián
पत्रकारों	periodistas
पत्रकारों	periodistas
पत्रकारों	reporteros
मजाक	broma
मजाक	chiste
बेकर	panadero
बेकर	baker
बेकर	becker
कांड	escándalo
गर्व	orgullosa
गर्व	orgulloso
गर्व	proud
गर्व	orgullosos
क्लोरीन	cloro
संगीतकारों	músicos
मिठाई	dulces
मिठाई	sweet
मिठाई	dulce
मिठाई	postres
मिठाई	postre
मिठाई	dulces
मिठाई	golosinas
मिठाई	caramelos
चांद	luna
चांद	moon
बदलना	cambiar
बदलना	cambiando
बदलना	cambiante
बदलना	reemplazo
बदलना	sustitución
सड़कें	carreteras
सड़कें	caminos
सड़कें	calles
वृंदावन	vrindavan
प्रीमियम	primas
प्रीमियम	premium
प्रीमियम	prima
घेरा	perímetro
घेरा	asedio
घेरा	sitio
घेरा	circunferencia
घेरा	círculo
घेरा	circle
घेरा	circulo
एक्सेस	acceda
एक्सेस	accesos
एक्सेस	acceso
एक्सेस	access
एक्सेस	acceder
वेबसाईट	webs
वेबसाईट	sitios
सब्जियों	verduras
सब्जियों	legumbres
सब्जियों	hortalizas
सब्जियों	verdura
सब्जियों	vegetales
यूएसए	eeuu
यूएसए	usa
हाथियों	elefante
हाथियों	elefantes
स्क्रिप्ट	guiones
स्क्रिप्ट	scripts
स्क्रिप्ट	script
स्क्रिप्ट	guion
स्क्रिप्ट	guión
घूमती	rotatorio
गर्भगृह	cella
डिजाइनर	diseñadora
डिजाइनर	diseñadores
डिजाइनर	diseñador
अग्र	fachada
अग्र	frontal
अग्र	front
अग्र	frente
अग्र	delantero
विपक्षी	antagonistas
विपक्षी	antagonista
बहिष्कार	boicot
बहिष्कार	boicotear
टमाटर	tomate
टमाटर	tomates
टमाटर	tomate
खरीदारी	compra
खरीदारी	adquisición
खरीदारी	adquirir
खरीदारी	comprar
खरीदारी	tiendas
खरीदारी	shopping
खरीदारी	compras
फेयर	feria
फेयर	justa
फेयर	justo
प्रतीकात्मक	simbólica
प्रतीकात्मक	simbólico
शंकु	cono
वृद्ध	viejo
वृद्ध	antiguo
वृद्ध	viejos
वृद्ध	antigua
वृद्ध	vieja
वृद्ध	mayores
सिक्का	monedas
सिक्का	moneda
पर्दे	cortinas
पर्दे	cortina
घोटाले	escándalo
रनों	carreras
रनों	corre
लाभांश	dividendo
लाभांश	dividendos
ब्रह्मपुत्र	brahmaputra
दबा	suprime
राजी	convencer
राजी	persuadir
उत्कीर्ण	grabados
उत्कीर्ण	grabado
आटा	harinas
आटा	harina
आटा	masa
सभ्यताओं	civilizaciones
निर्णयों	sentencias
जासूस	detective
जासूस	espías
जासूस	espiar
जासूस	espía
जासूस	detectives
नमस्कार	hello
नमस्कार	hola
निर्मल	sereno
निर्मल	translúcido
कार्यक्षेत्र	alcance
कार्यक्षेत्र	ámbito
कार्यक्षेत्र	alcances
मोटरसाइकिल	motocicletas
मोटरसाइकिल	motos
मोटरसाइकिल	motocicleta
मोटरसाइकिल	motos
मोटरसाइकिल	moto
पुनरावृत्ति	repetición
गल्फ	golfo
गल्फ	abismo
अंटार्कटिक	antártica
अंटार्कटिक	antártida
अंटार्कटिक	antártica
अंटार्कटिक	antártida
अंटार्कटिक	antártico
खतरों	peligros
डैनी	danny
डैनी	dany
बेड़े	flota
बेड़े	flotas
द्वारका	dwarka
किशोरावस्था	adolescente
किशोरावस्था	adolescencia
पंद्रह	quince
पंद्रह	fifteen
महंगा	costoso
महंगा	caras
महंगा	caro
महंगा	caros
प्रबंधित	administrado
प्रबंधित	gestionada
प्रबंधित	gestionado
प्रबंधित	logrado
प्रबंधित	gestionados
मनोरंजक	fun
मनोरंजक	divertida
मनोरंजक	divertidos
मनोरंजक	diversión
मनोरंजक	divertido
मनोरंजक	entretenida
मनोरंजक	entretenidos
मनोरंजक	entretenido
सजाया	condecorado
सजाया	decorados
सजाया	decorada
सजाया	decorado
एडम	adam
एडम	adán
अनगिनत	infinita
अनगिनत	infinito
अनगिनत	infinitos
अनगिनत	infinitas
अनगिनत	innumerables
अनगिनत	sinnúmero
अनगिनत	innumerables
अनगिनत	incontables
सुन्नी	sunitas
आदर्शों	ideales
डिवाइस	dispositivos
डिवाइस	dispositivo
डिवाइस	dispositivos
डिवाइस	aparatos
लियोन	león
लियोन	leon
हीन	menor
हीन	menores
हीन	minor
ऑब्जेक्ट	objetar
ऑब्जेक्ट	objeto
ऑब्जेक्ट	objetos
पेंटिंग	cuadro
पेंटिंग	pintar
पेंटिंग	pintura
पेंटिंग	pintando
सूचियाँ	listas
एमटीवी	mtv
एवरेस्ट	everest
आतंकवादियों	militantes
आतंकवादियों	terroristas
आतंकवादियों	terrorista
बकरी	cabra
बकरी	chivo
ऋषिकेश	rishikesh
स्विफ्ट	veloz
स्विफ्ट	swift
कुर्सी	cátedra
कुर्सी	silla
सांचे	molde
सांचे	moho
सिंधी	sindhi
क्षितिज	horizonte
क्षितिज	horizon
क्षितिज	horizontes
दोहरा	dobles
दोहरा	doble
दोहरा	dual
रैली	rally
रैली	mitin
रैली	jamboree
दीपावली	diwali
कलन	cálculo
संविदा	pacto
संविदा	contractuales
संविदा	contractual
संविदा	contrato
शोधकर्ता	investigadora
शोधकर्ता	investigador
नेटस्केप	netscape
रॉबिन	robin
बैंगनी	morado
बैंगनी	moradas
बैंगनी	morada
बैंगनी	púrpura
बैंगनी	violeta
बैंगनी	violetas
बैंगनी	berenjenas
बैंगनी	berenjena
बैंगनी	violet
बैंगनी	violeta
बैंगनी	violetas
व्यू	portero
प्रक्षेपास्त्र	cohete
प्रक्षेपास्त्र	rocket
प्रक्षेपास्त्र	misiles
प्रक्षेपास्त्र	misil
बीजिंग	pekín
बीजिंग	beijing
स्वैच्छिक	voluntario
स्वैच्छिक	voluntariado
स्वैच्छिक	voluntaria
फोटोग्राफी	fotografía
फोटोग्राफी	fotografia
प्रौढ़	adulto
प्रौढ़	adulta
प्रौढ़	adultos
कैलिफ़ोर्निया	california
धड़	torso
कैलगरी	calgary
प्रतिभूति	valores
प्रतिभूति	títulos
साउंडट्रैक	soundtrack
महलों	palacios
वार्तालाप	conversación
वार्तालाप	conversaciones
टीले	dunas
बुद्धिमान	inteligentes
बुद्धिमान	inteligente
बुद्धिमान	astuta
उभरते	surgiendo
उभरते	emergiendo
उभरते	emergente
उभरते	emergentes
फोकस	enfoque
फोकस	centrar
फोकस	concentración
फोकस	focus
फोकस	foco
वन्यजीव	fauna
वर्चस्व	dominado
वर्चस्व	dominados
वर्चस्व	dominada
वर्चस्व	dominadas
जावेद	javed
रुझान	tendencias
रुझान	tendencia
रुझान	tendencias
रुझान	tendencias
रुझान	tendencia
वेशभूषा	disfraces
वेशभूषा	disfraz
वेशभूषा	traje
वेशभूषा	vestuario
वेशभूषा	disfraces
वेशभूषा	trajes
वेशभूषा	vestuario
भागीदार	participantes
भागीदार	participante
भागीदार	participantes
स्पेंसर	spencer
अस्पतालों	hospitales
विक्रेताओं	vendedores
विक्रेताओं	sellers
वान	camioneta
वान	van
वान	furgoneta
पुस्तिका	folleto
नाभि	ombligo
तुर्कमेनिस्तान	turkmenistán
देखिए	véase
देखिए	see
देखिए	ver
देखिए	vea
आधुनिकता	modernidad
रॉबर्ट्स	roberts
क्लाइंट	clienta
क्लाइंट	cliente
क्लाइंट	clientes
क्लाइंट	clientes
यन्त्र	yantra
राँची	ranchi
गर्भाधान	inseminación
डायरी	diario
डायरी	agenda
अपडेट	actualizar
अपडेट	actualización
अपडेट	actualizaciones
चैम्पियन	campeón
चैम्पियन	campeona
चैम्पियन	campeon
चैम्पियन	champ
चैम्पियन	campeón
चैम्पियन	campeona
चैम्पियन	campeon
चैम्पियन	champion
डेनिस	denise
डेनिस	dennis
डेनिस	dionisio
डेनिस	denis
जोएल	joel
मैगज़ीन	cargadores
मैगज़ीन	revistas
सीमाएं	limitaciones
शंघाई	shanghai
शंघाई	shangai
शंघाई	shanghái
आयुर्वेदिक	ayurveda
जहांगीर	jahangir
वाइस	vicepresidente
वाइस	vicios
वाइस	vice
वाइस	vicio
किट	kit
भ्रमित	confundidos
भ्रमित	confundido
भ्रमित	confuso
भ्रमित	confundida
बाप	padre
राजेंद्र	rajendra
नालंदा	nalanda
थाली	placa
थाली	placas
थाली	plato
नग्न	desnudo
नग्न	desnuda
नग्न	desnudas
नग्न	desnudos
नग्न	nudista
नग्न	desnudo
नग्न	desnuda
नग्न	desnudas
नग्न	desnudos
कार्यभार	tareas
कार्यभार	cesiones
कार्यभार	asignaciones
कार्यभार	asignación
कार्यभार	cesión
एनालॉग	análogo
एनालॉग	analógico
एनालॉग	analógica
एनालॉग	análogos
एनालॉग	análoga
युगों	yuga
रुकावट	obstrucción
प्रतिबिंब	reflejo
प्रतिबिंब	reflexionar
प्रतिबिंब	reflexión
प्रतिबिंब	espejo
प्रतिबिंब	mirror
ब्लेड	hoja
ब्लेड	blade
ब्लेड	filo
ब्लेड	espada
ब्लेड	cuchilla
ब्लेड	hojas
ब्लेड	cuchillas
ब्लेड	navajas
सदिश	vector
सदिश	vectorial
सदिश	vectores
सदिश	vectores
स्थगित	suspender
स्थगित	suspende
स्थगित	suspenda
स्थगित	aplazado
स्थगित	aplazada
स्थगित	pospuesto
स्थगित	pendiente
स्थगित	pendientes
गिरोह	pandilla
गिरोह	banda
गिरोह	gang
दायित्वों	obligaciones
पावन	santo
पावन	santísimo
पावन	holy
पावन	santa
मर्यादा	dignidad
श्रीनिवास	srinivasa
बैले	ballet
बसंत	manantial
बसंत	primavera
बसंत	resorte
शर्ट	camiseta
शर्ट	camisa
शर्ट	playera
शर्ट	camisas
शर्ट	camisetas
न्यायाधीशों	jueces
न्यायाधीशों	magistrados
तेरी	teri
सेंसर	sensores
सेंसर	censores
सेंसर	sensores
सेंसर	sensor
स्टैंड	stand
स्टैंड	stands
उपनिवेशों	colonia
बहुवचन	plural
एकाधिकार	monopolio
एकाधिकार	monopolios
एकदिवसीय	odi
विनाशकारी	desastroso
विनाशकारी	desastrosas
विनाशकारी	desastrosos
विनाशकारी	desastrosa
विनाशकारी	devastadores
विनाशकारी	devastadoras
विनाशकारी	devastador
विनाशकारी	devastadora
मिसौरी	missouri
मिसौरी	misuri
बहुराष्ट्रीय	multinacional
बहुराष्ट्रीय	multinacionales
मारी	maría
मारी	marie
मारी	mari
कार्गो	cargo
कार्गो	cargamento
कार्गो	carga
शुभारंभ	lanzamiento
शुभारंभ	lanzando
आमेर	amer
दारा	dario
दारा	darius
दारा	darío
दारा	dara
फ़्रांसीसी	francés
फ़्रांसीसी	francesa
फ़्रांसीसी	franceses
जादूगर	mago
जादूगर	hechicero
जादूगर	magos
जादूगर	maga
जादूगर	mago
प्रतिमान	patrón
प्रतिमान	patrones
प्रतिमान	patron
प्रतिमान	pauta
प्रतिमान	paradigma
सच्चा	cierto
सच्चा	true
सच्चा	verdadera
सच्चा	verdad
सच्चा	verdadero
वोल्ट	voltios
अमोनिया	amoníaco
अमोनिया	amoniaco
अमोनिया	amonio
विश्लेषणात्मक	analítico
विश्लेषणात्मक	analíticas
विश्लेषणात्मक	analíticos
विश्लेषणात्मक	analítica
प्रतिबद्धता	compromiso
डू	doo
विधायिका	legislativo
विधायिका	legislatura
विधायिका	legislador
पकड़ा	agarró
पकड़ा	agarrado
कॉफ़ी	cafetera
कॉफ़ी	coffee
कॉफ़ी	cafe
कॉफ़ी	cafetería
कॉफ़ी	café
उल्टा	reversa
उल्टा	inversa
उल्टा	reverso
उल्टा	revés
उल्टा	invertir
उल्टा	revertir
उल्टा	invertida
उल्टा	invertidos
उल्टा	invertido
एलेन	elena
एलेन	ellen
किराए	tarifas
किराए	alquiler
किराए	alquilar
किराए	renta
न्यायालयों	tribunales
न्यायालयों	cortes
न्यायालयों	juzgados
एस्टन	aston
मांसपेशी	músculo
मांसपेशी	muscular
विषाक्त	tóxicos
विषाक्त	tóxico
विषाक्त	tóxica
विषाक्त	tóxicas
तूफ़ान	tormentas
तूफ़ान	tifón
तूफ़ान	tormenta
तूफ़ान	tempestad
तूफ़ान	storm
कड़ा	apretado
कड़ा	apretada
कड़ा	ajustado
कड़ा	duro
कड़ा	duros
कड़ा	hard
कड़ा	difícil
कड़ा	dura
दुबे	dubey
बारूद	pólvora
बदली	nublado
पड़ाव	hito
एंजाइम	enzimas
एंजाइम	enzima
मूसा	moses
मूसा	moisés
मूसा	musa
पिंक	pink
पिंक	rosada
पिंक	rosado
पिंक	rosa
बैरी	barry
बैरी	antagonistas
बैरी	antagonista
कॉमर्स	comercio
राजन	rajan
जीप	jeep
चलाना	ejecución
दादी	abuela
दादी	abuela
दादी	abuelita
कमिश्नर	comisaria
कमिश्नर	comisionada
कमिश्नर	comisionado
कमिश्नर	comisario
