tożsamość	identitat
zamieszkania	habitation
nina	nina
zachowań	conductes
zachowań	comportaments
wyświęcony	ordenat
montana	montana
hansen	hansen
parametr	paràmetre
narciarstwo	esquí
eyes	ulls
eyes	eyes
terytoriów	territoris
ochotników	voluntaris
pojęć	conceptes
circle	circumferència
circle	cercle
otoczone	rodejats
otoczone	envoltades
otoczone	rodejat
absolwentów	alumni
absolwentów	llicenciats
absolwentów	titulats
równania	equacions
auf	auf
uruchomienie	llançament
imdb	imdb
gilles	gilles
diana	diana
senat	senat
zaproszenie	convida
zaproszenie	invitació
zamiar	intenció
zamiar	intencionalitat
podwozie	bastidor
iranie	iran
lane	carril
minas	minas
reggae	reggae
blog	blog
blog	bloc
zębów	dents
dziesiątki	desenes
dziesiątki	dotzenes
orbicie	òrbita
aten	atenes
lars	lars
ter	ter
fikcyjna	fictici
full	plens
full	ple
full	plena
odra	xarampió
odra	odra
afryka	àfrica
afryka	africà
afryka	african
opublikowano	publicat
opublikowano	publicat
monet	monedes
monet	monet
lufy	barrils
lufy	barril
money	diners
money	diner
korzyść	benefici
korzyść	avantatge
krotnie	plegat
calgary	calgary
bakterii	bacteriana
bakterii	bacteris
gospodarcza	econòmic
gospodarcza	econòmica
gospodarcza	econòmics
gospodarcza	economic
gospodarcza	econòmiques
przełom	avenç
texas	texas
heavy	heavy
heavy	pesats
heavy	pesada
heavy	pesant
heavy	pesades
rysunki	dibuixos
jake	jake
historycy	historiadors
portland	portland
terytoria	territoris
terytoria	territori
algorytm	algorisme
algorytm	algoritme
wróć	retornar
wróć	retorn
wróć	devolució
kamienie	pedres
kamienie	pedra
kamienie	roques
honor	honor
konkretnie	específicament
konkretnie	concretament
umiera	mor
umiera	morint
przemysłowe	industrials
przemysłowe	industrial
tunel	túnel
niewątpliwie	indubtablement
zbiorniki	embassaments
zbiorniki	tancs
niewielu	pocs
niewielu	poques
iras	iras
sprzedano	venut
sprzedano	venuda
chen	chen
konkursy	concursos
konkursy	competicions
konkursy	concursos
tygodniach	setmanes
zen	zen
ewakuacji	evacuació
jürgen	jürgen
wymiar	dimensió
bonus	bonus
bonus	gratificació
bonus	bonificació
sncf	sncf
web	web
connecticut	connecticut
rolnictwo	agrícola
rolnictwo	agricultura
rolnictwo	agricultura
zmieniona	alterades
simone	simone
juniors	juniors
poezja	poesia
litwa	lituània
pokład	baralla
pokład	coberta
sprzeciw	objecció
sprzeciw	oposició
atlanta	atlanta
sól	salt
sól	sal
traktować	tractar
traktować	tracta
kolonię	colònia
opady	precipitacions
opady	precipitació
słowacja	eslovàquia
odchodzi	deixant
usuwanie	supressió
usuwanie	supressió
usuwanie	eliminació
klein	klein
poczucie	sentit
odwrót	retirada
rany	ferida
rany	ferides
substancje	substància
substancje	substàncies
publikowane	publicat
pływak	nedador
ogromny	enorme
nagrodzony	premiada
nagrodzony	recompensat
nagrodzony	premiades
nagrodzony	premiat
schemat	diagrama
schemat	esquemàtica
schemat	esquema
oczywiste	obvi
oczywiste	evident
fotografia	foto
fotografia	fotografia
fotografia	fotografía
fotografia	fotografiar
fotografia	fotografia
teoretycznie	teòricament
przekierowanie	reorientar
przekierowanie	redireccionat
krajobraz	paisatge
elektor	elector
ted	ted
tramwaj	tramvia
zdecydowała	decidit
przekonać	convèncer
przekonać	persuadir
belgradzie	belgrad
tkanki	teixit
tkanki	teixits
podstawowego	bàsic
podstawowego	bàsics
podstawowego	bàsiques
podstawowego	basic
skuteczność	actuació
skuteczność	rendiment
skuteczność	eficàcia
skuteczność	efectivitat
skuteczność	eficàcia
skuteczność	eficiència
przypadkowo	coincident
przypadkowo	accidentalment
tryby	modes
erich	erich
dama	senyora
dama	dama
władcą	regle
władcą	governant
ślad	sender
ślad	trail
ślad	rastre
ślad	traça
przyjęte	acceptada
przyjęte	acceptats
przyjęte	acceptat
przyjęte	adoptats
przyjęte	adoptat
bloki	blocs
niska	baix
niska	baixes
twierdzą	reivindicació
twierdzą	reclamació
testament	testament
berg	berg
anhalt	anhalt
podobieństwo	semblança
podobieństwo	similitud
mitsubishi	mitsubishi
zatrudnienie	contractacions
horror	horror
technologia	tecnologia
oklahoma	oklahoma
konkretne	específics
konkretne	específic
konkretne	formigó
konflikty	conflictes
konflikty	conflicte
sophie	sophie
kings	kings
kings	reis
dokładne	precisa
dokładne	precís
dokładne	exacte
dokładne	exactes
skrzyżowanie	intersecció
skrzyżowanie	junction
skrzyżowanie	cruïlla
architektów	arquitectes
muza	muses
muza	musa
czytać	llegit
czytać	llegir
organizatorów	organitzadors
organizatorów	organitzadors
dopuszczalna	acceptables
dopuszczalna	acceptable
dopuszczalna	admissible
dopuszczalna	admissibles
spada	cascades
dramatyczny	dramàtica
siódmego	setena
siódmego	setè
zapasy	subministraments
zapasy	existències
zapasy	estocs
zapasy	lluita
zapasy	estoc
zapasy	stock
żyły	veins
żyły	venes
żyły	vena
donieck	donetsk
cesarzem	emperador
organiczny	organic
organiczny	orgànic
organiczny	orgànica
chrześcijaństwo	cristianisme
make	make
instrukcji	instruccions
hope	esperança
zgoda	consentiment
zgoda	acordats
zgoda	acordat
zgoda	pactat
face	cara
face	face
opada	cascades
genewie	ginebra
ojców	pares
zapewnienie	garantint
zapewnienie	assegurament
barwa	color
barwa	color
inżynieria	enginyeria
inżynieria	enginyers
turbo	turbo
radnego	regidor
sale	salons
sale	sales
sale	sale
sale	venda
literaturę	literatura
dat	dat
artyleria	artilleria
siatkówki	retina
siatkówki	voleibol
roślinności	vegetació
design	disseny
sklepy	botigues
sklepy	comerços
sklepy	botigues
markiz	marquès
concacaf	concacaf
maks	max
maks	màx
buffalo	buffalo
uzupełnić	reposar
prawdopodobieństwo	probabilitat
hetman	hetman
zwłoki	cadàvers
zwłoki	cadàver
pokoleń	generacions
wieczny	etern
przyznaje	admet
odkryć	destapar
odkryć	descobriments
odkryć	descobreix
stężenie	concentracions
stężenie	concentració
zrobione	pres
zrobione	fetes
zrobione	feta
zrobione	fet
przyjmując	assumint
przyjmując	suposant
rozbił	destrosses
inżynierów	enginyers
bonaparte	bonaparte
żyła	vivia
żyła	viscut
żyła	vena
uczestniczy	participa
zjednoczenie	unificació
zjednoczenie	retrobament
wnioski	aplicacions
wnioski	peticions
wnioski	concertació
wnioski	conclusió
wnioski	conclusions
podłoża	substrats
rak	càncer
luksemburga	luxemburg
radiowy	ràdio
radiowy	radio
emi	emi
sauber	sauber
somerset	somerset
atlantyku	atlantic
atlantyku	atlàntic
pytaj	ask
ronald	ronald
parki	park
parki	parc
parki	parcs
konstrukcje	construccions
konstrukcje	estructures
rain	pluja
jam	yam
jam	jam
jam	melmelada
połączyć	fusiona
połączyć	fusionar
połączyć	combinar
pozytywne	positiu
pozytywne	positiva
pozytywne	positius
pętli	bucles
pętli	repeteix
pętli	bucle
historie	històries
historie	relats
sheffield	sheffield
intensywnie	intens
intensywnie	intensament
niepełnosprawnych	discapacitats
niepełnosprawnych	inhabilitat
niepełnosprawnych	deshabilitat
magnus	magnus
przejęcia	adquisicions
libii	líbia
fizyka	física
islamu	islam
naczelnik	alcaid
sporów	controvèrsies
malarzy	pintors
jeremy	jeremy
nagrobek	làpida
nagrobek	tomba
haiti	haití
rozmieszczenie	desplegament
rozmieszczenie	disposició
calcio	calcio
przekształcenia	transformacions
dłoni	palm
wiara	fe
wiara	creença
jesień	tardor
jesień	caiguda
rejestracji	matriculació
rejestracji	inscripció
myślenia	pensant
zmiennych	variables
wywołuje	indueix
prześladowań	persecució
pułków	regiments
kolorado	colorado
mks	mks
bezpośredni	directe
bezpośredni	directa
bezpośredni	direct
bezpośredni	directes
błony	membranes
derby	derby
głębokie	deep
głębokie	profunds
głębokie	profund
przejęcie	adquisició
pieszych	vianants
laurent	laurent
przedstawiona	presentat
przedstawiona	presentats
plakat	pòster
plakat	cartell
inicjatywa	iniciativa
palermo	palerm
wdowa	vídua
cole	cole
kulturowe	cultural
kulturowe	culturals
mma	mma
prywatny	privat
prywatny	privats
gil	gil
synod	sínode
boliwii	bolivià
boliwii	bolívia
wyrażenia	frases
wyrażenia	expressions
wyrażenia	expressió
gazy	gasos
gazy	gaza
edu	edu
nasion	llavors
nasion	llavor
flora	flora
śródziemnego	mediterrània
śródziemnego	mediterrani
siódme	setena
siódme	setè
starsza	elder
esp	esp
porównania	comparació
porównania	comparacions
phillips	phillips
jiří	jiří
seine	sena
seine	seine
antwerpii	anvers
poczęcia	concepció
chaos	caos
dziób	bec
ustaw	estableix
ustaw	conjunt
dialog	diàleg
sztuczne	artificial
baltimore	baltimore
uwięziony	empresonat
uwięziony	atrapats
ogrodzie	jardí
robertson	robertson
apple	poma
apple	apple
iwona	yvonne
galaktyk	galàxies
wiosna	primavera
rządowe	govern
śpiewa	canta
śpiewa	cant
śpiewa	cantant
przekonany	convençut
przekonany	convençuts
kaliber	calibre
jessica	jessica
bibliotekę	biblioteca
moritz	moritz
din	din
wyjaśnić	expliqui
wyjaśnić	explicar
orbitę	òrbita
mohamed	mohamed
osobowość	personalitat
ciężki	heavy
ciężki	pesats
ciężki	pesada
ciężki	pesant
ciężki	pesades
zarejestrowany	registrat
zarejestrowany	inscrits
zarejestrowany	enregistrat
zależność	dependència
child	nen
child	infant
oddanie	dedicatòria
oddanie	dedicació
oddanie	devoció
podejścia	plantejaments
podejścia	plantejament
podejścia	enfocament
okładki	portada
okładki	caràtula
okładki	abasta
okładki	caràtules
okładki	fundes
podmiot	assignatura
podmiot	subjecte
podmiot	subjectes
podmiot	entitat
url	url
rzymian	romans
kość	os
sucha	secà
współpracownik	associat
lokomotywy	locomotor
zagrzeb	zagreb
bibliotek	biblioteques
kalisz	kalisz
tomáš	tomáš
skamieniałości	fòssils
księżniczki	princess
księżniczki	princesa
księżniczki	princeses
kopiowania	copiar
kopiowania	copiant
techniczna	tècnic
techniczna	tècnics
świadomość	consciència
świadomość	conscienciació
świadomość	sensibilització
miles	milles
miles	kilòmetres
miles	quilòmetres
piechota	infanteria
mongolii	mongòlia
smak	gust
smak	sabor
smak	sabor
utrata	perdent
utrata	pèrdua
weber	weber
zatwierdzony	validat
zatwierdzony	validades
zatwierdzony	aprovades
zatwierdzony	aprovat
zatwierdzony	aprovada
zatwierdzony	aprovats
potocki	potocki
michelle	michelle
baden	baden
przestępstwa	crims
przestępstwa	delictes
przestępstwa	crim
alma	alma
jutro	demà
ostre	sharp
ostre	sostingut
ostre	picant
ostre	aguda
szybkość	velocitat
podgatunki	subespècie
zrozumieć	entendre
pytań	preguntes
software	programari
wiktorii	victòria
wiktorii	victoria
giorgio	giorgio
panował	regnar
alejandro	alejandro
sandra	sandra
wallace	wallace
wellington	wellington
regionalny	regional
regionalny	regionals
zakonnica	nun
zakonnica	monja
następna	pròxima
następna	següent
następna	propera
następna	next
wyroby	articles
wyroby	productes
strategii	estratègies
strategii	estratègia
informuje	informar
świeckich	laic
świeckich	laica
emmy	emmy
nadzoru	supervisió
nadzoru	vigilància
zabawy	fun
zabawy	divertit
zabawy	diversió
operatora	operador
operatora	operari
dyskiem	discus
ćwiczeń	exercicis
nico	nico
wymiana	substitució
wymiana	intercanvi
przeznaczenia	destinació
przeznaczenia	destí
łuk	arc
łuk	arch
łuk	proa
lucie	lucie
atlancie	atlanta
regionalna	regional
regionalna	regionals
smoka	drac
kwatera	quarts
kwatera	trimestres
tajne	secret
tajne	classificades
tajne	classificat
tajne	classificats
tajne	classificada
ciepło	calor
ciepło	warm
ciepło	càlid
alexandre	alexandre
rozwiązać	resoldre
rozwiązać	resoldre
rozwiązać	resol
aniołów	àngels
aniołów	angels
wycofanie	retirada
gość	visitant
gość	guy
gość	convidat
gość	convidada
fale	ona
fale	ones
fale	onades
statut	estatuts
statut	estatut
dochodów	ingrés
dochodów	ingressos
strażnik	tutor
strażnik	guardià
strażnik	guardian
strażnik	guàrdia
koszalin	koszalin
częstotliwość	freqüència
matematyka	matemàtica
matematyka	matemàtiques
matematyka	matemàtica
matematyka	mates
matematyka	matemàtica
wbc	wbc
rydze	riga
poznaje	reconeixen
poznaje	reconèixer
wiarę	fe
kostki	turmell
kostki	turmells
kostki	cubs
rozbudowa	ampliació
rozbudowa	extensió
rozbudowa	pròrroga
rozbudowa	expansió
nowoczesne	moderna
nowoczesne	modern
analogicznie	igualment
fin	aleta
clinton	clinton
czwartek	dijous
eduard	eduard
ukraińców	ucraïnesos
nauczanie	ensenyament
nauczanie	docència
socjolog	sociòleg
rejestr	registre
koch	koch
rzadkie	rars
rzadkie	rares
syntezy	síntesi
replika	rèplica
bellona	bellona
przemysłowy	industrials
przemysłowy	industrial
słup	pilar
doradca	assessor
doradca	consultor
doradca	conseller
doradca	consellera
uderzył	encertar
uderzył	hit
audi	audi
oskarżenia	acusació
oskarżenia	acusacions
rejs	creuer
arabii	aràbia
panie	lord
panie	senyor
panie	ladies
kong	kong
tradycję	tradició
cali	cali
cali	polzades
edgar	edgar
twoja	teva
twoja	teu
dominuje	domina
jensen	jensen
chrzest	bateig
chrzest	baptisme
chrzest	bateig
fia	fia
przegrana	derrota
przegrana	perdent
potomków	descendents
england	anglaterra
dee	dee
sprzeczne	contrari
sprzeczne	contraris
sprzeczne	contradictòries
sprzeczne	contradictori
sprzeczne	contradictoris
renata	renata
płock	płock
asystenta	assistent
asystenta	ajudant
rheinland	rheinland
podkategorii	subcategories
podkategorii	subcategoria
wagon	carreta
wagon	vagó
zniszczyć	destruir
dialogu	diàleg
odkrywa	revela
missisipi	mississipí
historycznie	històricament
christine	christine
marynarka	armada
marynarka	jaqueta
stężenia	concentracions
stężenia	concentració
wyjaśnienie	explicació
wyjaśnienie	aclariment
polo	polo
czynne	actiu
odbiór	rebre
odbiór	recepció
odbiór	recollida
represji	repressió
czeskie	txeca
czeskie	txec
ashley	ashley
obywatele	ciutadans
obywatele	nacionals
obywatele	ciutadà
piętro	pis
salon	saló
salon	saló
ain	ain
mięsa	carn
czynnik	factor
mechaniczne	mecànica
mechaniczne	mecànics
mechaniczne	mecànic
nbc	nbc
wasilij	vassili
podłoże	substrat
podłoże	terreny
mauzoleum	mausoleu
butler	butler
butler	majordom
liczebności	abundància
