sneg	сніг
memorial	меморіал
uspešnosti	ефективність
uspešnosti	виступ
poškodovana	поранений
poškodovana	обстрілів
poškodovana	пошкоджені
rolls	rolls
mas	mas
mas	мас
mas	маси
trideset	тридцять
membrane	мембрана
meter	метр
meter	метр
mlado	янг
mlado	молода
mlado	молоді
mlado	молодою
mlado	молодий
mlado	молодим
vsebinsko	матеріальне
sous	су
anti	анти
anti	anti
kazalo	index
kazalo	покажчик
kazalo	індекс
situacijo	ситуацію
situacijo	ситуація
situacijo	становище
situacijo	ситуації
wayne	вейн
lats	лат
litiji	літії
osvoboditev	визволення
osvoboditev	звільнення
zasnova	проектування
zasnova	дизайн
zasnova	розробка
pomorsko	морський
howe	хау
howe	гоу
pat	пет
pat	пат
hrvati	хорвати
zaloge	акціями
zaloge	запаси
zaloge	акція
zaloge	капітал
abeceda	абетка
abeceda	письмо
abeceda	алфавіт
topovi	гарматами
topovi	гармат
topovi	зброї
topovi	зброя
topovi	зброю
zasede	засідку
mleka	молоко
mleka	молока
mleka	milk
mag	mag
poletni	літо
uživanje	зручні
uživanje	комфортом
uživanje	дивимося
molitev	молитовне
molitev	молитву
molitev	молитви
molitev	молитва
prst	пальця
prst	палець
prst	пальцем
prst	металевим
blato	бруд
postopno	поступово
postopno	прогресивна
postopno	прогресивний
postopno	прогресивні
postopno	тривалий
isonzo	ізонцо
navdih	натхненно
navdih	надихали
navdih	натхнення
tabele	столи
tabele	столики
tabele	таблиці
tabele	таблиць
abd	абд
študente	студенти
študente	учням
študente	студентів
študente	студентам
študente	учні
učbenik	підручник
učbenik	присвячена
učbenik	посібник
luč	світлі
luč	світле
luč	light
luč	світло
luč	світлий
mehiški	мексиканська
mehiški	мексиканський
aluminija	алюміній
gozdni	лісова
gozdni	ліс
bogovi	боги
kupolo	купол
razširjeno	розширені
razširjeno	розширена
razširjeno	розширений
stopenj	етапи
lambert	ламберт
cele	цілу
cele	цілий
cele	ціла
stavka	страйк
izziv	виклик
vrhovno	supreme
inšpektor	ревізор
inšpektor	інспектор
siriji	сирія
siriji	сирії
gledalci	глядачі
gledalci	спостерігачів
gledalci	глядача
gledalci	аудиторію
gledalci	аудиторія
gledalci	аудиторії
gledalci	глядачі
gledalci	глядачів
gledalci	глядачі
gledalci	глядач
primerjalno	порівняльна
andrews	ендрюс
garcía	гарсія
src	серця
src	сердець
schneider	шнайдер
trdo	hard
trdo	тяжко
trdo	важкий
trdo	складна
trdo	важка
trdo	жорсткий
čaj	tea
čaj	чаю
čaj	чай
spartak	спартак
odpoved	вихід
odpoved	вийти
odpoved	вихід
odpoved	звільнення
vzorce	зразки
vzorce	вкриває
divji	дикі
divji	дикий
divji	wild
divji	диких
beach	пляжний
beach	біч
beach	пляж
upokojeni	закріплені
upokojeni	звільнився
odgovorna	відповідальний
odgovorna	відповідальна
stanovanje	рівна
stanovanje	квартира
posode	посуд
posode	страв
posode	страви
posode	посудин
posode	контейнерів
posode	контейнери
razglasila	оголошувати
piero	piero
načrti	креслень
načrti	плани
jeff	джефф
baz	баз
murphy	мерфі
vesel	радий
vesel	раді
vesel	меррі
vesel	веселого
vesel	веселою
omembe	згадую
omembe	згадки
dostopen	доступний
suhi	сухий
suhi	суха
suhi	сухо
suhi	сухе
suhi	сухі
odgovoril	відповідає
odgovoril	відповіли
odgovoril	відповів
odgovoril	відповіла
odgovoril	відповіла
odgovoril	відповіли
spredaj	front
spredaj	спереду
spredaj	передні
spredaj	фронт
spredaj	передній
sašo	грейсон
luca	лука
pisem	листи
pisem	літер
pisem	літери
lepe	прекрасні
lepe	красивий
lepe	красива
lepe	красиві
uspehov	успіх
smiles	посмішки
smiles	посміхається
razdeli	дроблення
razdeli	розділення
razdeli	розділити
razdeli	розділена
razdeli	ділення
razdeli	поділити
pozdrav	вітання
pozdrav	салют
pozdrav	привітання
suverenosti	суверенітет
suverenosti	суверенітету
isaac	ісаак
dem	дем
siva	сірий
siva	сірі
siva	сіра
siva	сірий
siva	грей
izdelava	виробництва
izdelava	виробництво
trenutek	момент
trenutek	мить
oltarja	вівтар
oltarja	сесії
obrobju	околиці
gaj	гай
bank	банк
sinonim	синонім
sestri	сестрички
sestri	сестри
prid	перевага
prid	послугу
prid	послуга
prid	ласку
delce	частки
delce	частинок
delce	частинки
kupola	купол
sekunde	сек
sekunde	секундах
sekunde	секунд
sekunde	секунди
rossi	россі
rona	рон
auflage	auflage
psihologijo	психологія
charlie	чарлі
obsežne	масштабний
obsežne	масштабна
bron	бронза
državljani	громадяни
državljani	громадян
državljani	громадянам
poliedrov	багатогранники
walther	вальтер
komandant	комендант
weber	вебер
leonardo	леонардо
prepovedano	заборона
prepovedano	заборонено
prepovedano	заборонене
prepovedano	заборонений
prepovedano	заборонені
prepovedano	заборонено
linux	linux
kritiko	критика
kritiko	критики
razlogi	причини
razlogi	причина
razlogi	привід
razlogi	дичини
moderno	сучасні
moderno	сучасно
moderno	сучасний
moderno	сучасне
bolečino	біль
voditelji	лідери
voditelji	лідерів
jedrski	ядерної
jedrski	ядерні
jedrski	ядерна
jedrski	ядерний
hamburg	гамбург
cruz	крус
vožnjo	ride
vožnjo	проїзд
vožnjo	поїздка
vožnjo	їхали
vožnjo	водіння
poln	повна
poln	повний
poln	повне
div	div
iranu	іран
iranu	ірану
mitologija	міфологія
drugačna	different
drugačna	інше
drugačna	різні
drugačna	різних
drugačna	відмінні
oddaj	показує
teologijo	теології
zmesi	сумішей
alma	альма
alma	alma
slišal	почув
slišal	чув
slišal	почула
slišal	чули
slišal	чула
verjeli	повірила
verjeli	вірив
verjeli	здавалось
verjeli	вірила
verjeli	вірили
odhod	відправлення
odhod	виліт
odhod	залишаючи
odhod	відправляється
odhod	йдемо
koža	оболонка
koža	шкіра
koža	шкіри
proizvajalci	продюсери
proizvajalci	виробники
proizvajalci	виробники
najmanjši	найменша
najmanjši	найменший
najmanjši	найменше
odvisnost	залежність
odvisnost	залежність
odvisnost	залежність
dick	дік
theodore	теодор
renesančni	відродження
royce	royce
jupiter	юпітер
kotel	котел
kotel	казан
wade	wade
nemudoma	негайно
nemudoma	одразу
nemudoma	відразу
krogla	сфера
krogla	сфери
krogla	куля
krogla	кулю
krogla	постріли
krogla	позначки
krogla	куля
prepričal	переконані
prepričal	переконали
aero	aero
klopi	кліщі
klopi	лавки
klopi	лавці
klopi	лавка
vredno	варта
vredno	варто
vredno	варте
vredno	варті
konvencija	конвенції
konvencija	конвенція
mad	божевільна
mad	скажений
mad	mad
mad	скажені
šef	начальник
šef	boss
šef	бос
šef	босс
delitve	поділ
absolutno	абсолютна
absolutno	абсолютний
absolutno	абсолютне
poraba	витрати
poraba	видатки
poraba	споживання
žleze	залози
žleze	залози
zadetkov	hits
merila	критерії
merila	критерій
desetletju	десятиліття
jajca	яйця
jajca	яєчка
jajca	кульки
jajca	яйця
jajca	кульок
nord	nord
zemljišča	земля
povezovanje	мережу
povezovanje	мережі
povezovanje	інтеграція
povezovanje	причетність
povezovanje	підключення
prizori	краєвиди
globine	глибини
izvajati	реалізувати
nedvomno	безсумнівно
botanik	ботанік
odkrit	виявив
odkrit	виявили
odkrit	відкрив
#ffffff	#ffffff
koles	велосипеди
koles	велосипедів
col	стовп
flote	флоту
flote	флот
flote	флотів
kandidata	кандидатів
kandidata	кандидат
venec	віночок
venec	вінок
dvojna	дабл
dvojna	двічі
dvojna	дубль
dvojna	подвійна
dvojna	подвійний
dvojna	подвійне
frankov	франків
križišče	перетин
križišče	перехрестя
igralce	гравців
igralce	гравці
england	англія
palice	барів
palice	смужки
palice	бари
palice	гратами
palice	бруси
palice	пасує
palice	клуби
palice	жир
palice	клубів
palice	паличок
palice	палички
ločila	пунктуація
moška	чоловіки
moška	чоловічий
moška	самець
moška	чоловічі
moška	чоловіча
puščava	пустелі
puščava	пустеля
zmožnost	можливість
zmožnost	здатність
zmožnost	можливість
harvey	гарві
harvey	харві
metka	гретель
metka	кулю
metka	постріли
metka	позначки
metka	куля
podpis	підписують
podpis	підпис
neapelj	неаполь
vzorca	зразки
vzorca	вкриває
larry	ларрі
larry	ларі
larry	лері
obrambno	захисний
termin	термін
termin	зустріч
obrne	повороти
obrne	виповнюється
robin	робін
lesena	вуд
lesena	деревина
lesena	лісова
datotek	файли
datotek	файлів
samodejno	автоматичні
samodejno	автоматичний
samodejno	авто
samodejno	автоматично
samodejno	автоматична
samodejno	автоматичний
samodejno	автоматичне
samodejno	автоматичні
samodejno	автоматично
kvartet	квартет
kvartet	сметани
wallace	воллес
posebnosti	специфічність
pozitivni	позитивне
pozitivni	позитивні
pozitivni	позитивний
pozitivni	позитивно
pozitivni	позитив
antike	низки
nedavno	недавно
nedavno	нещодавно
nedavno	недавні
nedavno	нещодавні
piramida	піраміда
vesoljska	простору
vesoljska	пробіл
vesoljska	простір
ricardo	рікардо
eur	eur
katedrale	собори
slava	славу
slava	слави
slava	славу
slava	слава
madžari	угорці
odločno	сильно
sočasno	конкурентні
sočasno	одночасних
sočasno	одночасно
moto	девіз
moto	moto
duševno	психічний
duševno	психічно
duševno	душевно
duševno	розумово
allan	аллан
ekip	команди
lokacijo	розміщення
lokacijo	місцезнаходження
lokacijo	локація
lokacijo	місце
lokacijo	розташування
valovi	хвилі
valovi	хвилями
zvezno	федеральний
populacija	населення
dokazati	демонструють
dokazati	продемонстрували
zamenjava	поміняти
zamenjava	підстановки
zamenjava	заміна
zamenjava	замінник
kače	змій
kače	змії
kače	змія
kače	змії
skoki	переходи
skoki	скаче
delavce	робітників
delavce	працівників
delavce	працівники
delavce	робітники
napadalec	утруднення
napadalec	супротивника
srbijo	сербія
srbijo	сербії
čustveno	зворушений
čustveno	емоційні
čustveno	емоційний
čustveno	емоційно
saturn	сатурн
encima	фермент
verjame	вірить
tokio	токіо
tokio	tokyo
dream	сон
dream	dream
dream	мрія
germain	жермен
matt	мет
matt	метт
pérez	перес
slovenia	словенії
slovenia	словенія
alexandre	александр
centralne	central
centralne	центральний
centralne	центральна
oscar	оскар
ronnie	ронні
uefa	уєфа
monarhija	монархія
vlaken	fibre
propad	дум
propad	горою
propad	смерть
propad	занепад
propad	загибель
propad	згортання
propad	згорнути
propad	тягарем
turistične	туристичний
turistične	туристичні
turistične	турист
turistične	туристичне
ngc	ngc
clarke	кларк
krona	корону
krona	корона
krona	корони
uran	урану
uran	уран
resnica	істина
resnica	правда
resnica	істина
bruhanje	блювання
pripadal	належали
pripadal	належав
dodana	додано
dodana	додані
menihi	монахи
funtov	кілограми
funtov	фунтів
funtov	фунти
odziva	відповідає
odziva	відповідь
tesla	tesla
tesla	тесла
sloj	шаром
sloj	шар
padli	впала
padli	провалився
padli	падали
viktorija	вікторія
izbruhnila	спалахнули
akcija	бойовики
akcija	дії
akcija	дія
tiska	преса
tiska	натиснути
tiska	прес
tiska	press
ščiti	захищає
ščiti	щити
vickers	vickers
luknje	дірки
luknje	отвори
luknje	дір
waffen	ваффен
presega	перевищує
game	гама
game	гами
game	гамма
game	грамів
vladanje	править
andre	андре
andre	андре
ban	заборонити
ban	заборону
ban	заблокувати
ban	бан
izračuna	обчислює
opredeljuje	визначає
ema	емма
ema	ема
doktorat	докторський
doktorat	phd
listina	хартія
pljuč	легені
pljuč	легені
nasprotnikov	опонентами
nasprotnikov	суперників
nasprotnikov	суперники
okoliščine	обставин
okoliščine	обставини
altlink	altlink
krizo	криза
silver	срібла
silver	срібло
silver	silver
silver	срібний
léon	леон
planine	гори
navzven	ззовні
navzven	назовні
agent	агент
vstaja	повстання
vzpostavitev	заклад
priznana	впізнали
priznana	підтверджую
priznana	визнана
priznana	визнала
priznana	визнав
priznana	впізнав
priznana	визнано
priznana	визначив
upokojen	закріплені
upokojen	звільнився
pre	pre
pre	пре
pre	попередньо
kalibra	калібру
jason	джейсон
jason	ясон
guillaume	гійом
danny	данні
danny	денні
ravna	рівна
delec	фрагмент
delec	частка
delec	частинки
delec	частинка
negativna	негативний
negativna	негативне
negativna	негативна
negativna	негатив
negativna	негативні
konzulat	консульство
konzulat	консульства
učitelji	учителі
učitelji	вчителів
učitelji	вчителі
izkoristek	віддача
izkoristek	ефективність
zatočišče	укриття
zatočišče	притулок
zatočišče	святилище
zatočišče	притулку
zatočišče	притулок
brod	брод
zaposlitve	завдання
zaposlitve	задачі
zaposlitve	джобс
zaposlitve	працевлаштування
sivo	сірий
sivo	сірі
sivo	сіра
sivo	сірий
sivo	грей
sod	бочку
sod	бочка
prizor	сцени
prizor	сцена
vlakna	fibre
vlakna	волокна
vlakna	волокна
vlakna	слідів
keramike	кераміка
tarča	призначення
tarča	ціль
arizona	аризона
zmogljivosti	потужність
zmogljivosti	спроможність
spektra	спектр
santo	санто
dvoboj	дуель
liverpool	ліверпуль
meč	мечем
meč	меч
upanje	надії
upanje	надія
upanje	надіюсь
grumman	grumman
avtomobilska	автомобільний
avtomobilska	автомобільна
avtomobilska	автомобільні
indeks	index
indeks	покажчик
indeks	індекс
spoštovanje	respect
spoštovanje	повага
chapelle	шапель
arheološki	археологічний
kraški	карст
definira	визначає
eksplozije	вибухом
eksplozije	вибух
eksplozije	вибухи
demokratična	демократичні
demokratična	демократичний
demokratična	демократична
marin	марін
preostale	залишилося
preostale	залишилось
preostale	лишилось
razvite	розробили
razvite	розроблений
razvite	розроблено
moralno	моральності
moralno	морально
moralno	мораль
negativni	негативний
negativni	негативне
negativni	негативна
negativni	негатив
negativni	негативні
razni	різні
razni	різне
kalif	халіф
zadovoljstvo	задоволення
zadovoljstvo	ласки
zadovoljstvo	задоволенням
zadovoljstvo	задоволення
predpisi	статут
predpisi	постанов
predpisi	правила
usmerjeno	орієнтований
usmerjeno	направлена
delovalo	спрацювало
delovalo	працював
delovalo	працювали
delovalo	працювала
hribi	гори
hribi	пагорби
oblačil	одяг
administrator	адміністратор
administrator	адміністратора
administrator	адміністратором
klasifikacija	класифікація
nosila	носив
nosila	одягнений
licenca	ліцензію
licenca	ліцензія
licenca	ліцензію
licenca	ліцензія
licenca	ліцензії
ska	ска
tisoče	тисячі
ločitev	розлучення
ločitev	розділення
ločitev	відокремлення
meritev	виміри
meritev	вимірювання
mine	мін
mine	копальні
mine	міни
patent	патент
opiše	описано
opiše	описує
organizacijske	організаційний
župnijo	парафія
župnijo	парафії
glive	гриби
glive	грибів
tommy	томмі
tommy	томі
obiskala	відвідала
obiskala	відвідали
obiskala	відвідав
obiskala	відвідував
bra	бюстгальтер
videm	удіне
težavah	складності
težavah	складність
doris	доріс
primerni	підходить
auf	auf
hawker	hawker
tower	вежа
tower	tower
tower	башта
odvisni	залежні
odvisni	залежних
dodajanje	додавання
dodajanje	додавання
dodajanje	додавання
dodajanje	додавати
dodajanje	додати
serena	серена
potrebovali	потрібним
potrebovali	потреби
potrebovali	потрібен
potrebovali	потрібною
potrebovali	необхідний
običajna	звичний
običajna	звичайні
običajna	звичайна
običajna	нормальний
običajna	нормальні
običajna	звичайний
običajna	звичайне
vroče	гаряча
vroče	hot
vroče	гарячий
vroče	гаряче
vroče	гарячі
por	por
por	лік
komercialni	комерційне
komercialni	комерційного
komercialni	комерційні
komercialni	комерційна
komercialni	комерційний
trio	тріо
izbire	варіанти
manjšine	меншості
manjšine	меншин
zime	морози
duhovni	духовні
erwin	ервін
mišica	muscle
sredozemlju	середземне
algoritem	алгоритм
preberite	прочитайте
preberite	читати
preberite	прочитані
preberite	читайте
preberite	прочитати
preberite	читання
posamezno	окремо
posamezno	окремих
posamezno	індивідуальна
posamezno	індивідуальні
posamezno	індивідуальне
posamezno	окремі
posamezno	індивідуальний
kmetije	господарствах
možni	можливе
možni	можливо
možni	можлива
hudson	хадсон
ohranjeno	зберегла
ohranjeno	зберігав
doherty	догерті
blake	блейк
zlom	порушення
zlom	перелом
razglasi	задає
razglasi	оголошення
razglasi	оголосити
jezo	злість
jezo	гнів
youthclubs	youthclubs
suhoj	sukhoi
geometrija	геометрія
geometrija	геометричних
iraku	ірак
iraku	іраку
strategije	стратегії
ogljik	карбон
elektro	електро
sekundarni	вторинної
preboj	прорив
človeška	людина
človeška	людський
novosti	оновлень
novosti	оновлює
novosti	оновлення
oklep	обладунки
oklep	броні
oklep	обладунки
oklep	броня
obsežna	масштабний
obsežna	масштабна
zaščitna	захисту
ugotovitve	спостереження
ugotovitve	спостережень
geografski	географічні
geografski	географічне
barvni	колір
barvni	кольорова
barvni	колір
barvni	кольорова
otroštva	дитинство
otroštva	дитинства
definicije	визначення
pastir	вівчарка
pastir	пастир
odkrivanje	виявлення
pravoslavne	православний
pravoslavne	православної
pravoslavne	orthodox
pravoslavne	православна
pravoslavne	православні
samostojnost	автономія
samostojnost	незалежність
samostojnost	незалежності
razcvet	процвітають
enrico	енріко
sinove	сини
receptorjev	рецептори
industrijska	промислові
industrijska	промислова
industrijska	промисловий
putnam	патнем
standardna	стандартний
standardna	стандарт
standardna	стандартна
standardna	стандартне
encimi	ферменти
dassault	dassault
loke	луками
teamb	teamb
tokovi	течії
tokovi	протікає
tokovi	тече
platon	платон
lisica	фокс
lisica	лисиця
kalcijev	кальцій
kalcijev	кальцію
pogovori	розповідає
pogovori	розмовляє
pogovori	говорить
pogovori	розмови
pogovori	бесіди
pogovori	поговоримо
pogovori	розмова
pogovori	talk
pogovori	говорити
vmesnik	інтерфейс
jajčeca	яйця
jajčeca	яєчка
valle	валле
languedoc	лангедок
pištola	пістолет
pištola	рушниця
pištola	гармата
pištola	пістолет
regionalni	районної
regionalni	обласний
regionalni	регіональні
regionalni	регіональний
richardson	річардсон
razširjeni	збільшив
razširjeni	розширені
razširjeni	розширена
razširjeni	розширений
razširjeni	збільшено
razširjeni	широкий
prihodnje	майбутнє
prijateljstvo	дружби
prijateljstvo	дружба
prijateljstvo	дружбу
kancler	канцлер
alternative	альтернатива
alternative	варіант
alternative	альтернативне
alternative	альтернативні
alternative	альтернативна
alternative	альтернативний
alternative	альтернативи
alternative	варіанти
industries	industries
industries	галузі
industries	індустрії
pozni	запізнюється
pozni	пізно
pozni	запізно
pogledi	переглядів
pogledi	погляди
pogledi	перегляди
magnus	магнус
sorodniki	союзниками
sorodniki	родичі
sorodniki	рідня
podjetnik	підприємець
policist	наглядач
policist	офіцер
policist	поліцейського
policist	поліцейський
bradley	бредлі
mostovi	мости
mostovi	мостів
marseille	марсель
lastna	власне
lastna	власні
lastna	власний
posredovanje	перенесення
posredovanje	пересилання
posredovanje	втручання
zaključek	завершення
zaključek	доповнення
zaključek	закриття
zaključek	замикання
zaključek	висновки
razstavi	виставка
razstavi	виставки
lucas	лукас
gibson	гібсон
terme	spa
terme	спа
terme	терме
moon	місяця
moon	місяць
moon	мун
moon	місячні
moon	супутник
organizirano	організований
organizirano	організованого
organizirano	організована
organizirano	організовані
dama	жіночі
dama	леді
dama	пані
dama	дам
jezikovno	мовні
jezikovno	мовний
jezikovno	мова
jezikovno	мови
jezikovno	мову
nadal	надал
ščit	щит
achille	акілле
hčere	доньки
hčere	дочки
programiranje	програмування
izpostavljenost	експозиція
izpostavljenost	експозиції
biološki	біологічних
biološki	біологічна
#ffcc	#ffcc
powell	павелл
utrdbo	форт
utrdbo	fort
ted	ted
ted	тед
fam	fam
imenovanja	зустрічі
imenovanja	зустрічей
emilio	еміліо
slab	bad
slab	погана
slab	погано
slab	погане
nature	natura
izbris	вилучення
izbris	вилучення
izbris	видалення
izbris	скасування
izbris	вилучення
izbris	видалити
izbris	вилучити
biologijo	біологія
biologijo	біології
roku	roku
dedek	дідусь
dedek	дідусь
dedek	дід
dedek	дідуся
đoković	джокович
ustavil	зупинено
ustavil	зупинили
ustavil	зупинився
ustavil	зупинка
opremljen	обладнаний
epizode	епізоди
epizode	серії
epizode	епізод
izidi	єдесталу
izidi	результати
fisher	фішер
puščave	пустелях
puščave	пустелі
porto	порто
porto	порту
označen	позначено
označen	позначене
označen	відмічені
označen	позначені
realno	реал
realno	справжня
realno	справжні
realno	реальний
realno	справжній
realno	реалістична
trinajst	тринадцять
casa	каса
virusi	вірус
virusi	віруси
snega	сніг
mach	mach
leteči	польоту
hitra	швидко
hitra	швидкі
hitra	швидке
hitra	швидка
hitra	фаст
hitra	швидкий
reynolds	рейнольдс
ureditve	аранжування
priporoča	рекомендує
ekonomska	економічне
ekonomska	економічні
ekonomska	економічна
ekonomska	економічний
ekonomska	корупцію
zastrupitve	отруєння
warren	воррен
komunikacija	комунікація
komunikacija	спілкування
komunikacija	комунікації
rick	рік
commons	commons
alkohol	алкоголю
alkohol	настоянка
alkohol	алкоголю
alkohol	алкоголь
alkohol	спирт
kras	красс
terry	террі
osebje	персоналу
osebje	персонал
osebje	штаб
zbrane	зібраних
zbrane	зібрано
zbrane	зібрані
zbrane	зібралися
zbrane	зібрав
zbrane	зібрано
zbrane	зібрані
jelka	дерево
jelka	ялинки
izvajalci	оператори
izvajalci	виконавців
mile	миля
toto	тото
dodatki	бонуси
dodatki	добавки
dodatki	аксесуари
mass	маса
mass	mass
dušo	душу
dušo	душа
dušo	soul
dušo	душею
bih	bih
simetrija	симетрія
lakote	голоду
lakote	голод
bertrand	бертран
zaščitena	захищений
zaščitena	захищена
zaščitena	захищено
kvalifikacije	кваліфікації
kvalifikacije	кваліфікацію
kvalifikacije	кваліфікація
pari	пари
pari	звернення
pari	пари
pari	пар
pari	пар
irana	іран
irana	ірану
turbina	турбіна
aktivist	активіст
dominik	домінік
augusta	августа
sen	сен
hrbet	back
hrbet	назад
hrbet	ззаду
hrbet	повернулася
hrbet	спина
chaplin	чаплін
bach	бах
tonumber	tonumber
skriva	ховався
skriva	ховається
skriva	приховування
televizija	телебачення
osvojitev	завоювання
osvojitev	conquest
osvojitev	підкорення
rena	рейн
rena	рено
benečani	венеціанці
poj	співають
poj	співай
poj	співаю
deveto	ninth
pomanjkljivosti	дефекти
pomanjkljivosti	слабкості
člena	стаття
člena	статтю
upravnik	керівник
upravnik	менеджер
upravnik	ворден
gilles	жиль
uspešnica	бестселер
resnico	істина
strup	venom
strup	отрути
strup	отруту
strup	отрута
ignacij	ігнатій
preživi	пережити
preživi	виживають
preživi	вижити
preživi	виживе
živčni	нервовий
novinarjev	журналістів
novinarjev	журналісти
