क्रिस्टोफर	christopher
तुम्हारा	yours
सस्ता	kelonsong
सस्ता	murah
चेन	chen
चेन	jirah
चेन	rantai
आर्द्रता	kelembapan
संचिका	fail
संचिका	fail
स्पष्टीकरण	penjelasan
स्पष्टीकरण	penjelasan
स्पष्टीकरण	penjelasan
निराश	kecewa
निराश	jijik
निराश	meluat
जौनपुर	jaunpur
यूट्यूब	youtube
श्रुति	wahyu
श्रुति	shruti
यथार्थवादी	realistik
शक्तियाँ	kuasa
सान	san
आंकड़ा	data
ग़ज़ल	ghazal
शुक्ला	shukla
कारखाना	kilang
इब्न	ibnu
इब्न	ibn
किम	kim
फलक	papan
फलक	papan
फलक	panel
पते	alamat
मैसाचुसेट्स	massachusetts
ध्वन्यात्मक	fonetik
निपुण	mahir
निपुण	sifu
निपुण	master
ताजिकिस्तान	tajikistan
मिसाल	perumpamaan
मिसाल	bandingan
निलंबित	digantung
निलंबित	ditangguh
डार्विन	darwin
बंदूक	senapang
बंदूक	pistol
बंदूक	gun
कलश	periuk
कलश	pot
कलश	kemuncak
कलश	kalash
जुडी	judy
कंपन	getaran
कंपन	bergetar
कंपन	gegaran
कंपन	getaran
खुर्द	khurd
एयरवेज	airways
संतुष्टि	kepuasan
संवेग	momentum
बाघों	tiger
बाघों	harimau
बाघों	harimau
वंशावली	genealogi
रहीम	rahim
निमोनिया	pneumonia
बचाया	diselamatkan
एस्टेट	hartanah
गुरुवार	khamis
गुरुवार	khamis
वॉल्ट	walt
अयोग्य	ineligible
जटिलताओं	komplikasi
उत्पीड़न	gangguan
उत्पीड़न	serangan
पंचमी	panchami
कोकेन	kokain
आमिर	amir
आमिर	aamir
दयाल	dayal
पापों	dosa
उमर	umar
उमर	omar
मिलर	miller
रज़ा	raza
जोन	joan
शाखाएं	cawangan
शाखाएं	cabang
शाखाएं	dahan
जानबूझकर	disengajakan
जानबूझकर	disengaja
मानकीकरण	pemiawaian
नशे	mabuk
पुकारा	disebut
पुकारा	dipanggil
झंडा	bendera
ग्लास	gelas
ग्लास	kaca
ग्लास	glass
घेर	kepung
आंत	usus
आंत	usus
फ़ुट	kaki
क्रियान्वयन	perlaksanaan
सिगार	cerut
यूक्रेन	ukraine
रुपया	rupee
वाइल्ड	wilde
निसान	nissan
पाद	kentut
दैत्य	gergasi
दैत्य	giant
दैत्य	raksaksa
दैत्य	monster
प्रक्रम	process
प्रक्रम	proses
गवाह	saksi
गवाह	saksi
क्रिश्चियन	christian
क्रिश्चियन	kristian
पत्रकारों	wartawan
पत्रकारों	wartawan
मजाक	lawak
बेकर	baker
बेकर	becker
कांड	scandal
कांड	skandal
गर्व	bangga
गर्व	proud
क्लोरीन	klorin
संगीतकारों	pemuzik
मिठाई	sweet
मिठाई	sweets
मिठाई	manisan
चांद	bulan
चांद	moon
बदलना	menukar
बदलना	pengganti
बदलना	penggantian
वृंदावन	vrindavan
प्रीमियम	premium
घेरा	perimeter
घेरा	pengepungan
घेरा	bulatan
नागार्जुन	nagarjuna
एक्सेस	dalat
एक्सेस	capaian
सब्जियों	sayuran
सब्जियों	sayur
यूएसए	usa
हाथियों	gajah
स्क्रिप्ट	skrip
स्क्रिप्ट	skrip
गर्भगृह	cella
गर्भगृह	sanctum
डिजाइनर	pereka
अग्र	front
अग्र	depan
अग्र	hadapan
विपक्षी	antagonis
बहिष्कार	boikot
टमाटर	tomato
टमाटर	tomato
खरीदारी	pembelian
खरीदारी	belanja
खरीदारी	shopping
स्वराज	swaraj
फेयर	adil
फेयर	fair
प्रतीकात्मक	simbolik
शंकु	kon
वृद्ध	tua
वृद्ध	old
वृद्ध	older
सिक्का	coin
सिक्का	syiling
पर्दे	langsir
घोटाले	scandal
घोटाले	skandal
लाभांश	dividen
ब्रह्मपुत्र	brahmaputra
राजी	raji
राजी	pujuk
उत्कीर्ण	ukiran
आटा	tepung
आटा	doh
सभ्यताओं	tamadun
जासूस	detektif
जासूस	spy
जासूस	perisik
जासूस	detektif
नमस्कार	hello
रामदेव	ramdev
निर्मल	serene
निर्मल	nirmal
निर्मल	ketelusan
निर्मल	lutcahaya
कार्यक्षेत्र	skop
कार्यक्षेत्र	workplace
मोटरसाइकिल	motosikal
मोटरसाइकिल	motorsikal
मोटरसाइकिल	motosikal
मोटरसाइकिल	motor
मोटरसाइकिल	motorsikal
पुनरावृत्ति	replay
पुनरावृत्ति	ulangan
गल्फ	teluk
अंटार्कटिक	antartika
अंटार्कटिक	antartika
डैनी	danny
बेड़े	armada
द्वारका	dwarka
किशोरावस्था	remaja
किशोरावस्था	remaja
पंद्रह	fifteen
महंगा	mahal
प्रबंधित	diuruskan
मनोरंजक	seronok
मनोरंजक	keseronokan
मनोरंजक	asyik
मनोरंजक	menghiburkan
मनोरंजक	melayan
सजाया	dihiasi
एडम	adam
अनगिनत	infinite
अनगिनत	myriad
सुन्नी	sunni
आदर्शों	kefahaman
डिवाइस	peranti
डिवाइस	peranti
लियोन	leon
हीन	minor
ऑब्जेक्ट	object
ऑब्जेक्ट	objek
ऑब्जेक्ट	objek
पेंटिंग	melukis
पेंटिंग	lukisan
पेंटिंग	mengecat
एमटीवी	mtv
एवरेस्ट	everest
आतंकवादियों	militan
आतंकवादियों	mengganas
आतंकवादियों	pengganas
आतंकवादियों	penganas
बकरी	kambing
ऋषिकेश	rishikesh
स्विफ्ट	swift
कुर्सी	kerusi
सांचे	acuan
सिंधी	sindhi
क्षितिज	ufuk
क्षितिज	horizon
दोहरा	double
दोहरा	ganda
दोहरा	dual
रैली	perhimpunan
रैली	rally
रैली	jamboree
कलन	kalkulus
संविदा	pakatan
संविदा	kontrak
संविदा	contract
शोधकर्ता	penyelidik
नेटस्केप	netscape
रॉबिन	robin
बैंगनी	purple
बैंगनी	terung
बैंगनी	terong
बैंगनी	violet
प्रक्षेपास्त्र	rocket
प्रक्षेपास्त्र	roket
प्रक्षेपास्त्र	misil
बीजिंग	beijing
स्वैच्छिक	sukarela
फोटोग्राफी	fotografi
प्रौढ़	dewasa
कैलिफ़ोर्निया	california
कैलगरी	calgary
पैकेट	packet
साउंडट्रैक	soundtrack
वार्तालाप	perbualan
वार्तालाप	perbualan
बुद्धिमान	cerdas
उभरते	memuncul
फोकस	fokus
वन्यजीव	wildlife
वर्चस्व	didominasi
जावेद	jawed
जावेद	javed
रुझान	trend
रुझान	tren
रुझान	trend
रुझान	tren
रुझान	trend
रुझान	trending
रुझान	tren
वेशभूषा	kostum
वेशभूषा	costume
वेशभूषा	kostum
भागीदार	peserta
भागीदार	peserta
स्पेंसर	spencer
अस्पतालों	hospital
विक्रेताओं	penjual
वान	van
पुस्तिका	booklet
नाभि	pusar
तुर्कमेनिस्तान	turkmenistan
देखिए	lihat
आधुनिकता	kemodenan
रॉबर्ट्स	roberts
क्लाइंट	client
क्लाइंट	klien
क्लाइंट	klien
यन्त्र	yantra
राँची	ranchi
गर्भाधान	beradas
डायरी	diary
डायरी	diari
अपडेट	kemaskini
अपडेट	update
अपडेट	kemaskini
अपडेट	update
प्रतिरोधक	perintang
चैम्पियन	champ
चैम्पियन	juara
डेनिस	denise
डेनिस	dennis
डेनिस	denis
जोएल	joel
मैगज़ीन	majalah
सीमाएं	pengehadan
शंघाई	shanghai
आयुर्वेदिक	ayurveda
आयुर्वेदिक	ayurvedic
जहांगीर	jahangir
वाइस	timbalan
वाइस	naib
किट	kit
भ्रमित	keliru
भ्रमित	bingung
भ्रमित	confused
हिसार	hissar
हिसार	hisar
संस्मरण	memoir
बाप	ayah
बाप	bapa
बाप	father
बाप	ayahanda
राजेंद्र	rajendra
नालंदा	nalanda
थाली	plate
थाली	lempeng
थाली	plat
थाली	piring
नग्न	naked
नग्न	nude
कार्यभार	assignment
कार्यभार	tugasan
एनालॉग	analog
युगों	yuga
रुकावट	halangan
प्रतिबिंब	pantulan
प्रतिबिंब	cermin
प्रतिबिंब	mirror
ब्लेड	blade
ब्लेड	bilah
ब्लेड	bilah
सदिश	vektor
सदिश	vektor
बलिया	ballia
स्थगित	tangguh
स्थगित	ditunda
स्थगित	tertangguh
स्थगित	pending
गिरोह	geng
दायित्वों	kewajiban
दायित्वों	kewajipan
पावन	suci
पावन	kudus
पावन	holy
मर्यादा	maruah
श्रीनिवास	srinivasa
बैले	ballet
बैले	balet
बसंत	spring
शर्ट	baju
शर्ट	kemeja
शर्ट	kemeja
न्यायाधीशों	hakim
तेरी	teri
सेंसर	sensor
सेंसर	penderia
सेंसर	pengesan
सेंसर	penderia
सेंसर	sensor
स्टैंड	stand
स्टैंड	berdiri
स्टैंड	kepanjangan
स्टैंड	stand
उपनिवेशों	colony
उपनिवेशों	jajahan
बहुवचन	majmuk
बहुवचन	jamak
एकाधिकार	monopoli
एकदिवसीय	odi
मिसौरी	missouri
बहुराष्ट्रीय	multinasional
मारी	marie
मारी	mari
कार्गो	kargo
शुभारंभ	melancarkan
आमेर	amer
दारा	darius
दारा	dara
फ़्रांसीसी	perancis
जादूगर	bestari
जादूगर	wizard
जादूगर	magician
प्रतिमान	pattern
प्रतिमान	corak
प्रतिमान	pola
प्रतिमान	paradigma
सच्चा	benar
सच्चा	true
वोल्ट	volt
अमोनिया	ammonia
विश्लेषणात्मक	analytical
प्रतिबद्धता	komitmen
प्रतिबद्धता	commitment
डू	doo
विधायिका	perundangan
पकड़ा	meraih
कॉफ़ी	coffee
कॉफ़ी	kopi
वीणा	veena
उल्टा	songsang
उल्टा	disongsangkan
उल्टा	songsang
एलेन	ellen
किराए	fares
किराए	sewa
एस्टन	aston
मांसपेशी	muscle
मांसपेशी	otot
विषाक्त	beracun
विषाक्त	toksik
तूफ़ान	badai
तूफ़ान	taufan
तूफ़ान	ribut
तूफ़ान	storm
कड़ा	ketat
कड़ा	erat
कड़ा	susah
कड़ा	hard
कड़ा	keras
दुबे	dubey
बदली	mendung
पड़ाव	tonggak
एंजाइम	enzim
मूसा	musa
मूसा	moses
मूसा	musa
पिंक	pink
सत्येन्द्र	satyendra
बैरी	barry
बैरी	antagonis
कॉमर्स	dagang
कॉमर्स	perdagangan
विशालकाय	palatial
राजन	rajan
जीप	jeep
जीप	jip
चलाना	executive
चलाना	exec
चलाना	pelakuan
चलाना	pelaksanaan
दादी	neneknya
दादी	nenek
दादी	nenek
कमिश्नर	pesuruhjaya
पहाड़ियाँ	hills
मैथ्यू	matthew
गंधक	sulfur
गंधक	belerang
गंधक	belerang
स्तोत्र	stotra
षड्यंत्र	konspirasi
अंडमान	andaman
दूषित	rosak
पश्च	rear
पश्च	belakang
रीडर	pembaca
मिर्ज़ा	mirza
मिर्ज़ा	mirzapur
हीरे	berlian
प्रशिक्षक	pelatih
प्रशिक्षक	trainer
प्रशिक्षक	jurulatih
उषा	usha
नास्तिक	ateisme
नास्तिक	ateis
जासूसी	mengintip
प्रचारित	dipromosikan
प्रचारित	digalakkan
सांसारिक	duniawi
प्रवर्धक	penguat
फसलें	tanaman
डायोड	diod
अमूर्त	abstrak
सौभाग्य	mujurlah
सौभाग्य	meramal
सौभाग्य	keberuntungan
सौभाग्य	fortune
ब्रायंट	bryant
गैरी	garry
गैरी	gary
कुश	kush
साइमन	simon
साइमन	simón
कार्बोनेट	karbonat
हिब्रू	hebrew
हिब्रू	ibrani
बर्ड	burung
चैत्र	chaitra
आत्मसमर्पण	surrender
आत्मसमर्पण	menyerah
एथलेटिक्स	athletics
तैराकी	swimming
तैराकी	berenang
तैराकी	renang
हक	huck
हक	haque
हक	haq
संस्थागत	institutional
चिट्ठा	blog
ठंड	sejukkan
ठंड	sejuk
चूहे	tikus
चूहे	tikus
लीड	petunjuk
लीड	plumbum
लीड	lead
लीड	pimpin
दरार	keretakan
दरार	crack
दार्शनिकों	philosophers
नेहरु	nehru
संवेदना	takziah
सॉफ़्टवेयर	perisian
सॉफ़्टवेयर	software
परवाह	peduli
परवाह	care
परवाह	cares
परवाह	peduli
बहुविकल्पी	nyahkekaburan
महेन्द्र	mahendra
बमबारी	bombardment
बमबारी	bomb
बमबारी	bom
कीड़े	cacing
कठपुतली	boneka
कठपुतली	wayang
अधीनस्थ	bawahan
कैम्प	kem
कैम्प	perkhemahan
कैम्प	kemah
कैम्प	kem
कैम्प	perkhemahan
किस्में	helai
किस्में	kepelbagaian
विषाक्तता	keracunan
खोजी	penjelajahan
खोजी	penerokaan
सम्मेलनों	persidangan
चिंतित	cemas
चिंतित	resah
चिंतित	concern
चिंतित	prihatin
चिंतित	bimbangkan
चिंतित	cemas
चिंतित	bimbang
चिंतित	risau
स्टारबक्स	starbucks
जॉर्डन	jordan
एथलीट	atlet
एथलीट	atlit
एथलीट	atlet
मनीष	manish
बीजापुर	bijapur
विधिक	perundangan
विधिक	legal
वृन्दावन	vrindavan
रेखीय	linear
शहद	honey
शहद	madu
अम्लीय	acidic
ऑपरेटर	operator
ऑपरेटर	operator
नल	nol
नल	null
कुक	masak
कुक	cook
मनी	wang
मनी	duit
मनी	mani
नारा	slogan
चढ़	karat
सेक्टर	sektor
सेक्टर	sektor
महासागरीय	oceania
क्रियाशील	active
क्रियाशील	aktif
क्रियाशील	adjektif
बैठकों	mesyuarat
भट्ठी	relau
भट्ठी	tungku
रघुनाथ	raghunath
कारें	cars
कारें	kereta
क्योकि	kerana
क्योकि	sebab
विकलांगता	kecacatan
दरिया	darya
नोट्स	nota
विलास	vilas
सहारनपुर	saharanpur
कहें	ckp
कहें	cakap
एव	ave
सामी	sami
तिरुपति	tirupati
धर्मशास्त्र	teologi
आर्क	lengkung
आर्क	arc
आर्क	lengkok
विश्वामित्र	vishwamitra
ट्रम्प	trump
यीशु	isa
यीशु	jesus
चश्मे	goggle
चश्मे	kacamata
चश्मे	glasses
एक्यूपंक्चर	acupuncture
प्लूटो	pluto
डेनियल	daniel
डेनियल	danilo
थोक	borong
पैरिस	paris
कामयाबी	kejayaan
कामयाबी	sukses
कामयाबी	berjaya
कामयाबी	success
प्रोटोटाइप	prototaip
अभय	abhay
सिलसिले	silas
कुरु	kuru
फर्क	membezakan
फर्क	bezakan
फर्क	perbezaan
इयान	ian
दुग्ध	dairy
भयभीत	takut
भयभीत	takut
भयभीत	khuatir
वसूली	pemulihan
वसूली	recovery
मौन	senyap
मौन	bisu
मौन	tacit
मौन	senyap
डिप्लोमा	ijazah
डिप्लोमा	diploma
घटा	mengurangkan
घटा	kurangkan
पॉइंट	takat
पॉइंट	point
त्वरण	pecutan
जमैका	jamaica
स्केल	skala
मुंशी	munshi
मक्खन	butter
मक्खन	mentega
सूत	benang
सूत	kapas
सूत	cotton
इज़राइल	israel
वैधता	kesahihan
वैधता	kesahan
अनन्य	ekslusif
अनन्य	exclusive
अनन्य	eksklusif
सीना	cena
मिथक	mitos
श्रृंगार	solekan
श्रृंगार	makeup
श्रृंगार	mekap
प्रावधानों	rezeki
प्रावधानों	ketentuan
नतीजा	kejatuhan
अर्ल	earl
वेदान्त	vedanta
निर्देशिका	direktori
निर्देशिका	indeks
निर्देशिका	direktori
आंग्ल	anglo
समता	pariti
समता	persamaan
एवेन्यू	avenue
बेरोजगारी	pengangguran
लत	ketagihan
लत	ketagih
जुर्माना	sihat
जुर्माना	fine
क़ुरान	quran
क़ुरान	mengaji
पूर्णता	penyempurnaan
पूर्णता	pelengkapan
पूर्णता	kesempurnaan
ओमान	oman
लोकपाल	lokpal
मार्केटिंग	marketing
मार्केटिंग	pemasaran
पीड़ितों	mangsa
पीड़ितों	korban
शक्तियां	kuasa
बादलों	awan
चतुर्भुज	quadrilateral
चतुर्भुज	segiempat
चीता	cheetah
चीता	leopard
मूक	senyap
मूक	silent
मूक	senyap
मूक	bisu
लीन	lyn
प्रतिभाशाली	genius
प्रतिभाशाली	berbakat
प्रतिभाशाली	talented
पनीर	cheese
पनीर	keju
पनीर	paneer
स्मार्ट	smart
नियोक्ता	majikan
नियोक्ता	majikan
पश्तो	pashto
मैडोना	madonna
बराक	barack
बराक	barak
चमकदार	luminous
चमकदार	berkilat
नाड़ी	denyutan
नाड़ी	nadi
नाड़ी	denyut
कादर	kader
स्पीकर	speaker
गैसें	gas
सहभागिता	penglibatan
सहभागिता	interaksi
यों	papan
गतिविधियाँ	aktiviti
कल्कि	kalki
इसराइल	israel
वाट	watt
वाट	wat
कच्छ	kutch
कोच्चि	kochi
कृषक	petani
इंडीज़	hindia
ब्राउजर	pelayar
गुदा	anus
गुदा	dubur
गुदा	dubur
वैश्य	vaishya
टीकाकरण	pemvaksinan
मूर्तिकला	arca
शाश्वत	abadi
शाश्वत	keabadian
किरणें	sinaran
वैश्वीकरण	globalization
पूना	poona
बैग	bag
बैग	beg
बैग	beg
नर्तक	penari
नर्तक	dancer
नर्तक	penari
ग्लूकोज	glukosa
नीतियाँ	dasar
प्रतिभागियों	peserta
दत्ता	datta
दत्ता	dutta
पढ़ना	bacaan
पढ़ना	reading
पढ़ना	pembacaan
पढ़ना	membaca
आपरेशन	operasi
ब्रॉडबैंड	broadband
मैनुअल	manual
दर्जन	sedozen
दर्जन	dozen
सुखद	menyeronokkan
सुखद	seronok
सुखद	pleasant
सस्ती	berpatutan
सस्ती	murah
गन्ना	tebu
बेखम	beckham
पोषित	menyuburkan
स्याही	dakwat
रॉस	ross
हल्दी	kunyit
परम्पराओं	tradisi
पूछे	asking
पूछे	bertanya
पूछे	menanya
पूछे	ditanya
सेब	epal
सेब	apple
रो	rho
रो	menangis
पुस्तकालयों	pustaka
पुस्तकालयों	perpustakaan
पुस्तकालयों	library
पुस्तकालयों	pustaka
पुस्तकालयों	perpustakaan
बालाजी	balaji
चौकी	checkpoint
बहनों	sisters
बहनों	saudari
बहनों	beradik
अश्लील	porno
अश्लील	lucah
अश्लील	porn
आपात	kecemasan
आपात	emergency
रेसलमेनिया	wrestlemania
नामीबिया	namibia
स्त्रियाँ	wanita
स्त्रियाँ	perempuan
एनी	annie
मामा	mama
मामा	pakcik
रूपांतर	varian
रूपांतर	kepelbagaian
रूपांतर	variasi
नगरीय	urban
जैकी	jackie
जैकी	jacky
क्रोधित	furious
क्रोधित	angry
क्रोधित	marah
तात्कालिक	urgent
हुक्म	nod
हुक्म	mengangguk
हलके	ringan
कमांड	arahan
कमांड	arahan
कमांड	perintah
कोबेन	cobain
विवेकानन्द	vivekananda
धोनी	dhoni
बुराई	dajjal
बुराई	jahat
बुराई	maksiat
बुराई	evil
टाइपिंग	menaip
उत्तेजक	ghairah
उत्तेजक	perangsang
दशमलव	perpuluhan
काई	kai
क्रूर	kejam
क्रूर	brutal
जोनाथन	jonathan
हस्त	hasta
हस्त	handmade
गढ़ी	garhi
गोपीनाथ	gopinath
फ्लाइट	flight
फ्लाइट	penerbangan
निकटता	closeness
मीणा	meena
सैर	promenade
सैर	persiaran
सैर	walk
सैर	berjalanlah
चिकनी	licin
चिकनी	berminyak
कैनेडी	kennedy
टाई	tie
टाई	ikat
अनुवादित	diterjemah
करोड़ों	myriad
इंजीनियरों	jurutera
धनबाद	dhanbad
गा	sing
गा	nyanyi
पूछताछ	siasatan
पूछताछ	inquiry
पूछताछ	inquiries
पूछताछ	pertanyaan
सर्पिल	pilin
परिशिष्ट	appendix
गवाही	bersaksi
गवाही	testimoni
वॉकर	walker
लेआउट	bentangan
लेआउट	rekabentuk
अरविंद	aravind
अरविंद	arvind
फिजी	fiji
हुक	hook
हुक	cangkuk
रिटर्न	mengembalikan
प्लैटिनम	platinum
फिल	phil
फिलीपींस	filipina
दीवारें	tembok
दीवारें	dinding
सपाट	flat
नक़ल	menyalin
नक़ल	copy
नक़ल	salin
नक़ल	salinan
नक़ल	salinan
फ्रेमवर्क	framework
देशभक्ति	patriotisme
केन्या	kenya
बर्बाद	buangan
बर्बाद	membazir
बिड़ला	birla
कस्टम	kastam
कस्टम	suai
अकादमिक	akademik
शेन	shane
असीम	asim
एकजुट	bersatu
एकजुट	unite
एकजुट	menyatukan
कोलेस्ट्रॉल	kolestrol
कोलेस्ट्रॉल	kolesterol
दांते	dante
सीबीआई	cbi
किंगफिशर	pekaka
बगीचे	kebun
बगीचे	keroh
बगीचे	garden
बगीचे	taman
मुराद	morad
मुराद	murad
युग्म	digandingkan
युग्म	dipasangkan
ईमान	iman
भट्टी	relau
भट्टी	tungku
पोटैशियम	kalium
केली	kelly
लोकगीत	folklore
सर्बिया	serbia
स्प्रिंगस्टीन	springsteen
धर्मनिरपेक्ष	sekular
दृष्टिगोचर	kelihatan
दृष्टिगोचर	tampak
दृष्टिगोचर	kebolehlihatan
तोप	meriam
दूरभाष	telephone
दूरभाष	telefon
शेंगेन	schengen
दुल्हन	pengantin
जस्ता	zinc
उड़	terbang
उड़	lalat
उड़	fly
माली	maldives
माली	pekebun
परियोजनाएं	projek
सिएटल	seattle
जन्मस्थान	birthplace
प्रिया	priya
टायर	tayar
टायर	tayar
टायर	tyre
टायर	tayar
टायर	tire
टायर	tayar
बाँस	bamboo
बाँस	buluh
बाँस	rebung
उत्खनन	penggalian
उन्नयन	naiktaraf
उन्नयन	tatar
उन्नयन	ketinggian
पेंशन	pencen
गरिमा	maruah
धागे	benang
सिलेंडर	cylinder
सिलेंडर	silinder
मैक्सिकन	mexico
देशो	negara
खोपड़ी	tengkorak
कोलम्बिया	colombia
विद्रोहियों	pemberontak
पट्टिका	pallet
कैसा	caranya
स्टीवन	steven
टेल	taie
टेल	kisah
टेल	dongeng
टेल	buntut
टेल	ekor
कबीले	suku
सूर्योदय	sunrise
रणनीतिक	strategik
रणनीतिक	tactical
रणनीतिक	taktikal
झटके	shocks
रीड	reed
प्रक्षेप	unjuran
इसरो	isro
एमी	amy
एमी	emmy
रवीन्द्र	ravindra
प्लेटो	plato
मीन	pisces
कनाडाई	kanada
रिसाव	kebocoran
रिसाव	kebocoran
निषिद्ध	terlarang
निषिद्ध	dilarang
निषिद्ध	terlarang
निषिद्ध	dilarang
सेम	bean
सेम	kacang
सेम	kacang
सेम	sem
इटावा	etawah
रॉन	ron
बरसात	pancuran
बरसात	shower
बरसात	mandi
बरसात	hujan
बनर्जी	banerjee
इंटेल	intel
फास्ट	laju
यथार्थवाद	realism
उर्फ़	urf
बाह	bah
तालिबान	taliban
नेताजी	netaji
दर्शनशास्त्र	falsafah
स्वादिष्ट	lazat
स्वादिष्ट	yummy
स्वादिष्ट	sedap
स्वादिष्ट	lazat
स्वादिष्ट	sedap
ज्वाला	nyala
ज्वाला	api
ज्वाला	flame
ईंटों	bata
कर्ज	hutang
सलाद	lettuce
सलाद	salad
सलाद	salad
जलन	jealous
जलन	cemburu
जलन	radang
जलन	iritasi
शौकिया	amatur
अनूठा	mendalam
अनूठा	unik
अनूठा	unique
कैरी	carrie
कैरी	carey
पेशावर	peshawar
पहेली	puzzle
पहेली	enigma
चादर	helaian
जामा	jama
नासिक	nashik
फ्रैंकलिन	franklin
एथिलीन	etena
सेकेंड	seconds
सेकेंड	detik
सेकेंड	saat
सेकेंड	second
सेकेंड	kedua
चढ़ाव	terendah
मानविकी	kemanusiaan
प्रवीण	praveen
आयताकार	segiempat
प्रस्तावना	pengantar
प्रस्तावना	pengenalan
प्रस्तावना	perkenalan
प्रस्तावना	prolog
प्रस्तावना	mukadimah
मैनहटन	manhattan
मॉरीशस	mauritius
लावा	lava
बाधाओं	rintangan
माइग्रेन	migrain
परिधान	dress
परिधान	kostum
परिधान	garment
परिधान	pakaian
गोलीबारी	penentuan
गोलीबारी	penembakan
गोलीबारी	penggambaran
गोलीबारी	shooting
हब	hab
हब	hub
जग	world
जग	dunia
जग	jag
पम्प	pump
पम्प	pam
मातृ	keibuan
बायर	bayer
नाल	ladam
नाल	horseshoe
पवित्रता	kesucian
पवित्रता	ketulenan
पवित्रता	kesucian
पवित्रता	kesucian
लाभप्रद	menguntungkan
रोचेस्टर	rochester
श्रेष्ठता	keunggulan
मुलाक़ात	melepak
मुलाक़ात	hangout
डोनाल्ड	donald
रमन	raman
सीढ़ी	tangga
पटियाला	patiala
प्रतिकृति	pattern
प्रतिकृति	corak
प्रतिकृति	pola
प्रतिकृति	replika
प्रतिकृति	replica
घराने	genre
ताड़	kurma
धमाके	bang
सीटी	wisel
परोसा	menghidang
परोसा	dihidangkan
कार्टर	carter
उपनिवेशवाद	kolonialisme
उपनिवेशवाद	colony
उपनिवेशवाद	jajahan
सैंडविच	sandwich
सैंडविच	sandwic
सैंडविच	sandwich
सैंडविच	sandwic
चिप्स	chip
चिप्स	cip
चन्द	chand
चन्द	pemanggil
उद्योगपति	industrialist
विधियां	kaedah
बिखरे	berselerak
दार्जिलिंग	darjiling
वेस्टमिंस्टर	westminster
टिहरी	tehri
सुनाया	diucapkan
शैतान	devil
शैतान	syaitan
शैतान	syaitan
शीट	helaian
शीट	helaian
उद्धार	deliver
उद्धार	menyelamat
पैकेजिंग	packaging
पैकेजिंग	pembungkusan
म्यूनिख	munich
शरीफ	sharif
बिस्तर	katil
दोहराया	diulang
गुम्बद	kubah
गुम्बद	dome
सेवानिवृत्ति	persaraan
सेवानिवृत्ति	pencen
जश्न	perayaan
जश्न	perayaan
जश्न	jamboree
नोबल	mulia
नोबल	noble
शाहजहाँपुर	shahjahanpur
इंडीज	hindia
टायसन	tyson
लहरों	gelombang
लहरों	ombak
अस्थिरता	ketidakstabilan
