और	et
फिल्म	film
फिल्म	film
यहाँ	ici
यहाँ	voilà
यहाँ	voici
प्रसिद्ध	fameux
प्रसिद्ध	célèbre
प्रसिद्ध	célèbres
प्रसिद्ध	renommée
प्रसिद्ध	renommés
प्रसिद्ध	renommé
विकास	developpement
विकास	développement
विकास	croissance
केवल	seul
केवल	uniquement
केवल	seulement
केवल	seule
देश	pays
देश	nation
देश	pays
वेबसाइट	site
अलग	séparées
अलग	séparée
अलग	séparés
अलग	séparé
अलग	différentes
अलग	différente
अलग	différents
अलग	différent
अलग	distinct
अलग	séparés
अलग	séparé
अलग	séparées
अलग	séparer
विशेष	exclusives
विशेष	exclusive
विशेष	exclusivité
विशेष	exclusifs
विशेष	exclusif
विशेष	spéciales
विशेष	spécial
विशेष	spéciaux
विशेष	spéciale
इसकी	sa
इसकी	ses
इसकी	son
कभी	jamais
कभी	ever
दी	donné
दी	donnés
पृष्ठ	pages
पृष्ठ	page
पृष्ठ	pages
माना	considérée
माना	considéré
माना	considérées
माना	considérés
माना	mana
माना	supposé
माना	prétendument
शब्द	mot
शब्द	mots
फिर	ensuite
फिर	alors
फिर	puis
तीन	trois
तीन	three
पुरस्कार	récompenses
पुरस्कार	récompense
पुरस्कार	récompense
पुरस्कार	distinctions
पुरस्कार	trophées
पुरस्कार	récompenses
पुरस्कार	récompenser
पुरस्कार	récompense
लेख	articles
लेख	thèses
लेख	thèse
लेख	article
अब	désormais
अब	now
अब	maintenant
दौरान	durant
दौरान	pendant
दौरान	lors
अमेरिका	amerique
अमेरिका	amérique
मंदिर	temple
मंदिर	tempe
अलावा	addition
अलावा	ajout
वार्ता	pourparlers
दक्षिण	méridional
दक्षिण	sud
स्थल	lieu
विभिन्न	divers
विभिन्न	diverses
विभिन्न	diverses
विभिन्न	divers
इतिहास	histoire
इतिहास	historique
लिया	prises
लिया	taken
लिया	pris
लिया	prise
फ़िल्म	film
फ़िल्म	film
क्योंकि	parce
क्योंकि	car
क्योंकि	parceque
पास	passer
पास	passe
पास	passent
पास	pass
विस्तृत	détaillées
विस्तृत	détaillée
विस्तृत	détaillé
विस्तृत	élaboré
विस्तृत	élaborer
विस्तृत	exhaustive
विस्तृत	exhaustifs
विस्तृत	exhaustif
विस्तृत	avancés
विस्तृत	avancées
विस्तृत	avancé
विस्तृत	perfectionné
विस्तृत	avancée
दिन	journée
दिन	jour
दिन	journee
दिन	diurne
दिन	jours
दिन	journées
कृषि	agriculture
कृषि	labour
जाना	viabilité
शुरू	commencé
शुरू	démarré
शुरू	commencée
शुरू	commencez
शुरू	commencer
व्यक्ति	personne
व्यक्ति	individuelle
व्यक्ति	individuels
व्यक्ति	individuel
व्यक्ति	individualisme
उनका	leur
उनका	leurs
विज्ञान	science
विज्ञान	scientifique
विज्ञान	sciences
सदस्य	membres
सदस्य	membre
सदस्य	abonné
सदस्य	souscripteurs
सदस्य	abonnés
सदस्य	membres
सदस्य	adhérents
हालांकि	quoique
सिंह	singh
सिंह	léon
सिंह	léo
सिंह	leo
अनेक	nombreux
अनेक	beaucoup
अनेक	nombreuses
अनेक	plusieurs
अनेक	plusieurs
अनेक	multiple
अनेक	multiples
अनेक	plusieurs
यहां	ici
यहां	voilà
यहां	voici
संख्या	nombre
संख्या	numéro
संख्या	numéros
संख्या	chiffres
संख्या	nombres
अपना	propres
अपना	propre
अपना	posséder
अपना	votre
अपना	vos
बात	truc
बात	chose
बात	parler
बात	parle
बात	talk
बात	parlez
साहित्य	littérature
शिक्षा	enseignement
शिक्षा	éducation
दिल्ली	delhi
धर्म	religion
धर्म	religieux
धर्म	religions
धर्म	cultes
धर्म	dharma
मूल	origine
मूल	origines
मूल	originaux
मूल	indigènes
मूल	natif
मूल	indigène
मूल	autochtone
मूल	originale
मूल	original
मूल	originaux
मूल	basiques
मूल	élémentaire
मूल	basique
मूल	basic
तब	ensuite
तब	alors
तब	puis
बना	faites
बना	faire
बना	fait
बना	fabriqués
बना	faite
बना	fabriqué
कोड	code
कोड	codes
संयुक्त	concurrentes
संयुक्त	concomitante
संयुक्त	simultanées
संयुक्त	simultané
संयुक्त	simultanée
संयुक्त	unie
संयुक्त	unis
संयुक्त	unies
संयुक्त	combiné
संयुक्त	combinée
संयुक्त	combinées
संयुक्त	combinés
संयुक्त	joint
जुलाई	juillet
युद्ध	bataille
युद्ध	combat
युद्ध	guerre
युद्ध	war
नदी	fleuve
नदी	rivière
वाला	vala
काल	tendu
काल	tendus
काल	tendue
काल	appeler
काल	appelez
काल	appel
काल	appelle
काल	période
ऐसे	tels
ऐसे	tel
ऐसे	telle
ऐसे	telles
वर्षों	années
वर्षों	ans
प्रति	per
स्टेशन	station
स्टेशन	gare
स्टेशन	gares
स्टेशन	stations
बड़े	grands
बड़े	grande
बड़े	grandes
बड़े	grand
बड़े	gros
बड़े	grosse
बड़े	grande
बड़े	big
बड़े	grand
जनवरी	janvier
मध्य	central
मध्य	centrale
मध्य	center
मध्य	centrer
मध्य	centre
मध्य	médiane
मध्य	médian
मध्य	middle
मध्य	milieu
राजा	raja
राजा	roi
राजा	king
प्रथम	première
प्रथम	premières
प्रथम	premier
प्रथम	premiers
विश्वविद्यालय	universités
विश्वविद्यालय	université
विश्वविद्यालय	universitaire
जून	juin
जून	jun
जून	juin
उसकी	sa
उसकी	his
उसकी	ses
उसकी	son
उसकी	her
जिसके	soulage
मार्च	mar
मार्च	marche
मार्च	mars
बन	brioche
बन	bun
बन	chignon
बनी	bunny
बनी	lapin
अर्थ	signification
अर्थ	sens
अर्थ	signifiant
अप्रैल	apr
अप्रैल	avril
अप्रैल	avr
अप्रैल	avril
महत्वपूर्ण	importante
महत्वपूर्ण	important
महत्वपूर्ण	importantes
महत्वपूर्ण	importants
महत्वपूर्ण	critique
महत्वपूर्ण	critiques
प्रामाणिक	authentiques
प्रामाणिक	authentique
आप	vous
आप	tu
आप	toi
आप	you
किए	coa
अक्टूबर	octobre
अक्टूबर	octobre
अक्टूबर	oct
समूह	congrégation
समूह	groupe
समूह	groupes
वर्तमान	actuel
वर्तमान	courant
वर्तमान	actuels
वर्तमान	actuelle
वर्तमान	actuel
वर्तमान	présent
वर्तमान	présents
वर्तमान	présente
वर्तमान	présenter
अध्ययन	étudier
अध्ययन	etude
अध्ययन	étudier
अध्ययन	étude
अध्ययन	etudes
अध्ययन	études
विभाग	département
विभाग	division
विभाग	circonscription
विभाग	départements
आम	mangues
आम	mango
आम	mangue
आम	commune
आम	fréquent
आम	fréquents
आम	commun
स्थिति	état
स्थिति	statut
स्थिति	position
स्थिति	etat
स्थिति	état
स्थिति	état
स्थिति	condition
स्थिति	situation
प्रभाव	impact
प्रभाव	incidence
प्रभाव	effets
प्रभाव	influences
प्रभाव	effets
प्रभाव	effet
आदर्श	idéalisme
आदर्श	idéale
आदर्श	ideal
आदर्श	idéal
आदर्श	idol
आदर्श	idole
साल	années
साल	ans
साल	annee
साल	an
साल	année
पहली	première
पहली	premières
पहली	premier
पहली	premiers
संगीत	musiques
संगीत	musique
अमेरिकी	américaine
अमेरिकी	américain
अमेरिकी	américaines
अमेरिकी	américains
अमेरिकी	américains
सेवा	service
बनाने	créer
आज	hui
आज	aujourdhui
स्थापित	établies
स्थापित	établie
स्थापित	établi
स्थापित	établis
स्थापित	installées
स्थापित	installé
स्थापित	installés
स्थापित	installée
स्थापित	fondé
स्थापित	fondée
स्थापित	établir
उच्च	élevée
उच्च	hautes
उच्च	haut
उच्च	haute
उच्च	élevé
उच्च	sublimes
उच्च	sublime
चाहिए	devrait
चाहिए	devraient
चाहिए	devrais
उपलब्ध	dispo
उपलब्ध	disponible
उपलब्ध	disponibles
काफी	suffisamment
काफी	assez
बड़ी	grands
बड़ी	grande
बड़ी	grandes
बड़ी	grand
बड़ी	gros
बड़ी	grosse
बड़ी	grande
बड़ी	big
बड़ी	grand
चार	quatre
शक	doute
शक	doutes
शक	douter
शक	doutez
शक	saka
प्रभा	pera
श्री	sri
उदाहरण	exemple
उदाहरण	illustration
उदाहरण	exemples
उसका	sa
उसका	his
उसका	ses
उसका	son
उसका	her
ले	prend
ले	prendre
ले	prenez
ले	prends
जिससे	lesquels
जिससे	laquelle
जिससे	lequel
स्थापना	montage
स्थापना	installation
स्थापना	installations
स्थापना	installer
स्थापना	installent
स्थापना	installe
स्थापना	etablissement
स्थापना	établissement
कंपनी	compagnie
कंपनी	entreprise
कंपनी	société
अधिकांश	most
अधिकांश	principalement
अधिकांश	essentiellement
अधिकांश	surtout
सामाजिक	sociale
सामाजिक	sociaux
सामाजिक	social
प्रत्येक	chaque
प्रत्येक	chacune
प्रत्येक	chaque
प्रत्येक	chacun
बड़ा	grands
बड़ा	grande
बड़ा	grandes
बड़ा	grand
बड़ा	gros
बड़ा	grosse
बड़ा	grande
बड़ा	big
बड़ा	grand
बड़ा	super
बड़ा	grande
बड़ा	génial
बड़ा	grand
स्तर	niveaux
स्तर	niveau
बनाया	fait
बनाया	fabriqués
बनाया	faite
बनाया	fabriqué
बनाया	créée
बनाया	créé
बनाया	crée
बनाया	crées
बनाया	créés
जारी	continué
जारी	émis
जारी	émises
जारी	délivrés
जारी	émise
जारी	délivré
चित्र	photo
चित्र	image
चित्र	images
चित्र	photos
चित्र	image
चित्र	images
इससे	du
इससे	de
इससे	depuis
इससे	invente
प्रणाली	système
सरकारी	fonctionnaire
सरकारी	officielles
सरकारी	officiels
सरकारी	officielle
सरकारी	officiel
सरकारी	gouvernement
सरकारी	gouvernements
जहां	oú
जहां	où
देशों	pays
जल	eaux
जल	eau
सूची	liste
सूची	listes
सूची	listes
रखा	gardé
विचार	idée
विचार	idées
विचार	réfléchi
विचार	pensais
विचार	pensé
विचार	pensée
विचार	considération
विचार	réflexions
विचार	pensées
छोटे	petit
छोटे	petits
छोटे	petites
छोटे	petite
छोटे	petit
छोटे	peu
छोटे	petite
ऊपर	top
ऊपर	haut
आधारित	basée
आधारित	basés
आधारित	basé
पानी	eaux
पानी	eau
सामान्य	généraux
सामान्य	généralités
सामान्य	générale
सामान्य	général
सामान्य	commune
सामान्य	fréquent
सामान्य	fréquents
सामान्य	commun
सामान्य	normale
सामान्य	normaux
सामान्य	normales
सामान्य	normal
आगे	forward
आगे	transmet
कुल	totaux
कुल	agrégat
कुल	agrégats
कुल	totale
कुल	total
कुल	totaux
एक्स्प्रेस	exprès
एक्स्प्रेस	exprimer
एक्स्प्रेस	express
एक्स्प्रेस	expresse
पुलिस	policière
पुलिस	policiers
पुलिस	police
पुलिस	policier
वर्ग	catégorie
वर्ग	catégories
वर्ग	carré
वर्ग	carrés
वर्ग	square
वर्ग	carrées
वर्ग	classes
वर्ग	classe
शरीर	organisme
शरीर	carrosserie
शरीर	organe
शरीर	corps
अंग्रेजी	anglaise
अंग्रेजी	francais
अंग्रेजी	anglais
माध्यम	moyen
माध्यम	moyennes
माध्यम	médium
माध्यम	moyenne
माध्यम	milieu
मानव	humaine
मानव	humains
मानव	humain
पाकिस्तान	pakistan
भूमिका	introduction
भूमिका	rôle
हर	har
हर	chaque
हर	hur
अतिरिक्त	figurants
अतिरिक्त	extras
अतिरिक्त	suppléments
अतिरिक्त	rechange
अतिरिक्त	épargner
अतिरिक्त	supplémentaire
अतिरिक्त	supplémentaires
अतिरिक्त	additionnel
अतिरिक्त	supplémentaires
अतिरिक्त	supplémentaire
अतिरिक्त	extra
पिता	pére
पिता	pere
पिता	père
समाज	société
उत्पन्न	générés
उत्पन्न	générées
उत्पन्न	générée
उत्पन्न	généré
नीचे	down
नीचे	descendre
नीचे	dessous
नीचे	fond
दुनिया	monde
दुनिया	mondial
दुनिया	mondiale
आधुनिक	modernité
आधुनिक	moderne
आधुनिक	modernes
ध्यान	méditer
ध्यान	méditation
ध्यान	attention
हिंदी	hindi
दे	donner
दे	donne
दे	donnez
सभा	congrégation
सभा	assemblée
सभा	assemblage
सभा	rassemblement
सभा	cueillette
सभा	sabha
परिवार	familiale
परिवार	famille
परिवार	familles
विषय	thème
विषय	sujet
विषय	sujets
विषय	thèmes
विषय	sujets
विषय	objet
विषय	sujet
अधिकार	droits
रंग	couleur
रंग	coloris
रंग	couleurs
रंग	colorants
रंग	coloris
रंग	couleurs
रंग	teintes
रंग	coloris
रंग	couleurs
रंग	couleur
रंग	coloris
रंग	couleurs
बाहर	quitter
बाहर	abandonner
बाहर	arrêter
बाहर	extérieurs
बाहर	extérieur
बाहर	extérieure
बाहर	extérieur
बाहर	dehors
बाहर	exterieur
बाहर	sortir
बाहर	sortie
बाहर	dehors
बाहर	out
खेल	jouer
खेल	jouez
खेल	sport
खेल	sports
खेल	gibier
खेल	match
खेल	jeu
खेल	jeux
खेल	sportif
खेल	sportive
खेल	sport
क्षेत्रों	domaines
क्षेत्रों	zones
जहाँ	oú
जहाँ	où
समान	homogène
समान	homogènes
समान	pareil
समान	meme
समान	identique
समान	mêmes
समान	même
समान	similaires
समान	similaire
समान	semblables
समान	analogue
समान	semblable
सितंबर	septembre
दूर	far
दूर	loin
दूर	loin
दूर	distante
दूर	distants
दूर	distant
दूर	lointaine
दूर	lointain
पता	adresses
पता	allocutions
पता	allocution
पता	adresse
शक्ति	résistance
शक्ति	solidité
शक्ति	force
शक्ति	puissance
शक्ति	pouvoir
शक्ति	shakti
ब्रिटिश	britanniques
ब्रिटिश	britannique
कला	arts
कला	art
कला	artistique
देते	mentalités
घर	maison
घर	domicile
घर	accueil
घर	maison
संस्कृत	sanskrit
प्रकाशित	publier
प्रकाशित	publie
प्रकाशित	publiez
प्रकाशित	publiée
प्रकाशित	publiées
प्रकाशित	publiés
प्रकाशित	publié
मई	mai
मई	may
मई	peut
प्रक्रिया	processus
प्रक्रिया	procédé
प्रक्रिया	processus
प्रक्रिया	procédés
प्रक्रिया	procédure
सेना	armées
सेना	sena
सेना	armée
पार्टी	partie
पार्टी	parti
पार्टी	fete
पार्टी	soirée
पार्टी	fête
हम	hum
रेलवे	ferroviaire
पश्चिम	occidentale
पश्चिम	occident
पश्चिम	ouest
पश्चिम	west
अंत	end
अंत	fin
दशक	décennie
पूरी	entiers
पूरी	entier
बिना	sans
क्या	quoi
क्या	quel
क्या	quelle
अगस्त	aout
अगस्त	août
अगस्त	aout
अगस्त	août
अगस्त	aug
विकसित	développées
विकसित	développés
विकसित	développée
विकसित	développé
विकसित	évolué
संबंध	relations
संबंध	relation
संबंध	relations
संबंध	collage
संबंध	cautionnement
संबंध	relation
प्रदर्शन	performance
प्रदर्शन	performances
प्रदर्शन	rendement
प्रदर्शन	performances
प्रदर्शन	spectacles
प्रदर्शन	représentations
प्रदर्शन	afficher
प्रदर्शन	affichage
प्रदर्शन	affiche
प्रदर्शन	exposition
ऐसी	tels
ऐसी	tel
ऐसी	telle
ऐसी	telles
मार्ग	itinéraire
मार्ग	route
मार्ग	trajet
मार्ग	parcours
मार्ग	façon
मार्ग	manière
मार्ग	way
पर्यटन	tourisme
ज्ञान	connaissances
ज्ञान	savoirs
ज्ञान	savoir
ज्ञान	connaissance
लगा	sentis
लगा	feutre
लगा	senti
लगा	ressenti
लगा	sembla
लगा	semblé
लगा	semblaient
लगा	semblait
दिसम्बर	décembre
दिसम्बर	decembre
दिसम्बर	dec
दिसम्बर	déc
प्रदर्शित	vedette
प्रदर्शित	recommandés
प्रदर्शित	vedettes
प्रदर्शित	affichée
प्रदर्शित	affiché
प्रदर्शित	affichées
प्रदर्शित	affichés
प्रदर्शित	afficher
प्रदर्शित	affichage
प्रदर्शित	affiche
अक्सर	fréquent
अक्सर	souvent
अक्सर	fréquemment
अक्सर	souvent
सहायता	aidez
सहायता	aider
सहायता	aide
सहायता	soutien
सहायता	assistance
सहायता	appui
सहायता	aides
सहायता	aide
सहायता	assistance
पहला	première
पहला	premières
पहला	premier
पहला	premiers
मृत्यु	décès
मृत्यु	death
मृत्यु	mort
मृत्यु	mortalité
स्वयं	self
स्वयं	propres
स्वयं	propre
स्वयं	posséder
विकिपीडिया	wiki
विकिपीडिया	wikipédia
विकिपीडिया	wikipedia
तैयार	prête
तैयार	pret
तैयार	prêtes
तैयार	prêt
तैयार	prêts
आवश्यक	exigée
आवश्यक	exigé
आवश्यक	requise
आवश्यक	nécessaire
आवश्यक	obligatoire
आवश्यक	requis
आवश्यक	urgent
आवश्यक	urgents
आवश्यक	urgentes
आवश्यक	urgente
देखा	surveillés
देखा	regardée
देखा	regardé
देखा	regardées
देखा	vu
देखा	vus
देखा	saw
देखा	scie
उत्पादन	production
रोग	maladie
रोग	maladies
संबंधित	respectifs
संबंधित	connexe
संबंधित	connexes
संबंधित	lié
संबंधित	liés
शताब्दी	siecle
शताब्दी	siècle
शताब्दी	century
गये	allé
चीन	chine
अभी	désormais
अभी	now
अभी	maintenant
संघ	union
संघ	syndicat
संघ	syndicats
संघ	fédération
संघ	association
यात्रा	voyage
यात्रा	voyages
यात्रा	voyage
यात्रा	journey
यात्रा	parcours
यात्रा	voyage
यात्रा	trip
मात्रा	montant
मात्रा	quantités
मात्रा	quantité
रचना	création
रचना	composition
जगह	interligne
जगह	espacement
जगह	place
जगह	endroit
जगह	lieu
जगह	espace
भिन्न	discret
भिन्न	discrète
भिन्न	discrètes
भिन्न	discrets
भिन्न	différentes
भिन्न	différente
भिन्न	différents
भिन्न	différent
भिन्न	fraction
लोक	loka
लोक	publics
लोक	publiques
लोक	public
लोक	publique
लोक	folk
सब	sab
सब	toute
सब	toutes
सब	tous
सब	tout
सब	all
पूरा	complété
पूरा	terminée
पूरा	achevés
पूरा	achevé
पूरा	terminées
पूरा	terminé
पूरा	complète
पूरा	pleine
पूरा	plein
पूरा	complet
पूरा	entiers
पूरा	entier
पूरा	complète
पूरा	complets
पूरा	complètes
पूरा	complet
आवश्यकता	exigence
आवश्यकता	requiert
आवश्यकता	exige
आवश्यकता	exigent
आवश्यकता	nécessite
आवश्यकता	exiger
आवश्यकता	requièrent
प्रकाश	lumiere
प्रकाश	lumière
प्रकाश	légère
प्रकाश	léger
प्रकाश	prakash
प्रकाश	lumières
प्रकाश	lumière
प्रकाश	luminaires
नई	nouveau
नई	nouvelle
नई	nouvelles
नई	nouveaux
नई	nouveautés
चिकित्सा	médicaux
चिकित्सा	médicale
चिकित्सा	médical
चिकित्सा	thérapie
चिकित्सा	thérapeutiques
चिकित्सा	thérapies
दूसरी	second
दूसरी	deuxième
दूसरी	deuxieme
दूसरी	seconde
कार्यक्रम	programmes
कार्यक्रम	évènements
कार्यक्रम	evénements
कार्यक्रम	evenements
कार्यक्रम	événements
कार्यक्रम	programme
कार्यक्रम	évènement
कार्यक्रम	événement
कार्यक्रम	evénement
कार्यक्रम	programme
पुराने	ancienne
पुराने	anciens
पुराने	ancien
पुराने	vieux
पुराने	vieille
पुराने	âgées
पुराने	aîné
सदी	siecle
सदी	siècle
सदी	century
भगवान	god
भगवान	dieu
भगवान	lord
भगवान	seigneur
लिखा	ecrit
लिखा	écrite
लिखा	écrit
लिखा	écrites
लिखा	écrits
लिखा	écrivit
लिखा	écrit
संस्थान	institute
संस्थान	institut
संस्थान	instituts
संस्कृति	culture
अंग्रेज़ी	anglaise
अंग्रेज़ी	francais
अंग्रेज़ी	anglais
पूर्ण	parfaits
पूर्ण	parfait
पूर्ण	parfaites
पूर्ण	parfaite
पूर्ण	complète
पूर्ण	pleine
पूर्ण	plein
पूर्ण	complet
पूर्ण	complète
पूर्ण	complets
पूर्ण	complètes
पूर्ण	complet
पूर्ण	complété
पूर्ण	terminée
पूर्ण	achevés
पूर्ण	achevé
पूर्ण	terminées
पूर्ण	terminé
परिवर्तन	conversion
परिवर्तन	reconversion
परिवर्तन	transition
परिवर्तन	modifications
परिवर्तन	changements
परिवर्तन	transformation
परिवर्तन	modifier
परिवर्तन	changements
परिवर्तन	changer
परिवर्तन	changement
टीम	équipes
टीम	equipes
टीम	équipe
टीम	equipe
चर्चा	discussions
चर्चा	discussion
चर्चा	débat
संगठन	organisation
संगठन	organisation
संगठन	organismes
संगठन	organisations
अगर	agar
शैली	style
शैली	shelly
तुलना	comparatif
तुलना	comparaison
तुलना	comparaisons
स्कूल	école
स्कूल	ecoles
स्कूल	écoles
स्कूल	ecole
स्कूल	école
पुस्तक	livre
पुस्तक	réserver
लेखक	rédacteur
लेखक	auteur
लेखक	écrivain
लेखक	scénariste
लेखक	auteurs
लेखक	scénaristes
लेखक	auteurs
