εξερευνητής	துருவி
μασαχουσέτης	மாசச்சூசெட்ஸ்
μαχαίρι	கத்தி
συνήθειες	பழக்கங்கள்
συνήθειες	பழக்கவழக்கங்கள்
επενδύσεων	முதலீடு
τραγουδά	பாடுகிறார்
παράκτια	கடலோர
προσδιορίζει	குறிப்பிடுகிறது
προσδιορίζει	குறிப்பிடு
προσδιορίζει	குறிப்பிடவும்
φωτισμού	மின்னல்
φωτισμού	விளக்கில்
σκυλιά	நாய்கள்
κακός	கெட்ட
κακός	மோசமான
κακός	மோசம்
εικασία	ஊகம்
ξένος	வெளிநாட்டவர்
ξένος	அந்நியன்
ξένος	அன்னிய
ξένος	வெளிநாட்டு
ρόουζ	ரோஸ்
ρόουζ	ரோஜா
προστατεύεται	பாதுகாக்கப்பட்ட
μίσιγκαν	மிச்சிகன்
υποχρεωτικά	கட்டாய
υποχρεωτικά	கட்டாய
λιντς	லிஞ்ச்
σύνθετη	வளாகம்
δίδυμα	இரட்டையர்
δίδυμα	இரட்டையர்கள்
προορισμός	இலக்கு
προορισμός	சேருமிடம்
προορισμός	சேரும்
κηλίδες	வெள்ளத்தை
φοίνικας	பீனிக்ஸ்
σάμιουελ	சாமுவேல்
αμνηστία	amnesty
προσφέρθηκε	வழங்கப்படும்
ισλαμική	இஸ்லாமிய
ισλαμική	இஸ்லாமிக்
ισλαμική	இஸ்லாமியம்
εχθροί	பகைவர்கள்
εχθροί	எதிரிகள்
γυρισμάτων	படப்பிடிப்பு
κλάσμα	பின்னம்
νεα	புதிதாக
νεα	புதியது
νεα	புதிய
νεα	புதிது
νεα	செய்திகள்
νεα	செய்தி
καινοτομίες	கண்டுபிடிப்பு
απαγορεύτηκε	தடை
σταματά	நிறுத்தங்கள்
νόρμαν	நார்மன்
μετοχές	பகிர்வுகள்
μετοχές	பங்குகள்
δσε	cef
επαναστάσεις	revolutions
περιμένω	காத்துக்
περιμένω	காத்திருக்கிறோம்
περιμένω	காத்திருத்தல்
περιμένω	காத்திருக்கிறேன்
περιμένω	காத்திருக்கிறது
στέκεται	நிற்கும்
στέκεται	நின்று
στέκεται	நிற்கிறார்
στέκεται	நின்றுகொண்டு
στέκεται	நிற்பது
στέκεται	நிற்கிறது
στέκεται	குறிக்கிறது
αριστοκρατία	nobility
γενέθλια	பிறந்தநாளை
γενέθλια	பிறந்தநாள்
περίληψη	சுருக்கம்
αμφιβολίες	சந்தேகங்கள்
πυκνή	அடர்ந்த
ατυχήματα	விபத்துக்கள்
μάγια	மாயா
μάγια	மஜா
εργαζόμενοι	தொழிலாளர்கள்
εργαζόμενοι	பணியாளர்களின்
εργαζόμενοι	ஊழியர்களும்
εργαζόμενοι	பணியாளர்கள்
επιμονή	persistence
λούκα	லூகா
λούκα	லூக்கா
καμβά	கேன்வாஸ்
φρέντερικ	ஃபிரெடெரிக்
φρέντερικ	பிரடெரிக்
μανία	ஆவேசமாக
μανία	பித்து
ρόζα	ரோசா
οσμάν	ஒஸ்மான்
λεπτομερή	விரிவான
τυρί	சீஸ்
κίτρινη	மஞ்சள்
γρήγορο	வேகம்
γρήγορο	விரைவாக
γρήγορο	வேகமாக
γρήγορο	விரைவான
γρήγορο	வேகமானது
γρήγορο	விரைவானது
ανοχή	சகிப்புத்தன்மை
αποδέχεται	அனுமதிகள்
ισχυρότερο	வலிமையான
ερωτικό	சிற்றின்ப
καταχώρηση	நுழைவு
καταχώρηση	உள்ளீடு
καταχώρηση	பதிவுசெய்தல்
καταχώρηση	பதிவு
μέλι	தேன்
βίνσεντ	வின்சென்ட்
ναρκωτικά	மருந்துகள்
διάβρωση	அரிமானம்
διάβρωση	erosion
τζόρτζια	ஜார்ஜியா
αυξάνονται	அதிகரித்து
άλας	உப்பு
κατάρα	சாபம்
ενέδρα	கொண்டிருக்கின்றது
πατριάρχες	patriarchs
σπόροι	விதை
σπόροι	விதைகள்
σπόροι	விதை
σπόροι	வித்து
ονομαστική	மதிப்பிடப்பட்ட
υποδοχής	சேவையகம்
υποδοχής	ஹோஸ்ட்
υποδοχής	புரவலன்
υποδοχής	புரவன்
υποδοχής	வழங்குநர்
βαθμιαία	படிப்படியாக
βαθμιαία	படிப்படியாக
σκύλος	நாய்
θεραπείες	வைத்தியம்
θεραπείες	சிகிச்சைகள்
καθολικοί	கத்தோலிக்கர்கள்
καθολικοί	கத்தோலிக்க
χόρχε	ஜோர்ஜ்
ειδικότητα	specificity
κοσμική	மதச்சார்பற்ற
κοσμική	பிரபஞ்ச
σο	ஷா
τύραννος	கொடுங்கோல்
μάργκαρετ	மார்கரெட்
δοχείο	கொள்கலன்
δοχείο	பெட்டகம்
νίγηρα	நிகர்
αγιος	துறவறம்
αγιος	புனிதர்
χρήμα	பணம்
χρήμα	பணத்தை
μόδα	ஃபேஷன்
μόδα	பேஷன்
μόδα	நாகரீகம்
τουρκμενιστάν	துர்க்மெனிஸ்தான்
γράψω	எழுத
γράψω	எழுது
γράψω	எழுதவும்
μετς	மெட்சு
μετς	mets
δολοφόνος	கொலைகாரன்
δολοφόνος	கில்லர்
δολοφόνος	கொலையாளி
ωραίο	அருமை
μπάρμπαρα	பார்பரா
φωτισμό	மின்னல்
φωτισμό	விளக்கில்
αργό	மெதுவானது
αργό	மெதுவான
αργό	மெதுவாக
παραμύθι	உக்ரைனிய
παππά	பாப்பா
απασχόλησης	வேலைவாய்ப்பு
λιμένας	துறைமுகம்
λιμένας	முனையம்
λιμένας	துறை
τροπικό	வெப்பமண்டல
εκλειπτική	கிரகணம்
θειικό	sulphate
φθορά	உராய்வுப்
φθορά	அணிய
φθορά	உடுத்தும்
φθορά	உடைகள்
καταλύτη	ஊக்கி
συναίσθημα	உணர்ச்சி
συναίσθημα	உணர்வு
συναίσθημα	உணர்கிறார்
συναίσθημα	உற்சாக
συναίσθημα	உணர்கிறேன்
γουιάνα	கயானா
αλβανικά	அல்பேனிய
αποκλεισμού	தவிர்ப்புத்
συγκομιδή	அறுவடை
μπέλα	பெல்லா
προοδευτικό	முற்போக்கு
ύπνο	தூக்கம்
ύπνο	தூக்கத்தை
ύπνο	உறக்கம்
ύπνο	உறங்கும்
συντηρητική	பழமைவாத
συντηρητική	குறைந்தளவு
προβλέψεις	கணிப்புகள்
αναπνοή	சுவாசம்
αναπνοή	மூச்சை
αναπνοή	மூச்சு
αναπνοή	வாசம்
αναπνοή	மூச்சு
θρίαμβος	வெற்றியாகும்
ανασκαφή	அகழ்வாராய்ச்சி
ανασκαφή	dig
ανασκαφή	தோண்ட
γεια	ஹலோ
γεια	வணக்கம்
γεια	hello
γεια	ஹல்லோ
καρποί	பழ
καρποί	பழம்
καρποί	கொட்டைகள்
καρποί	கனி
καρποί	பழங்கள்
ρωμαίο	ரோமியோ
στοκ	இருப்பு
διαμονή	தங்குமிடம்
θανάσιμα	கொடியது
θανάσιμα	கொடிய
πυροβόλο	சுடுகலன்
κεραίες	antennae
παρτίδα	batch
παρτίδα	நிறைய
παρτίδα	lot
ανταγωνισμός	போட்டி
συμφέρον	வட்டி
συμφέρον	ஆர்வம்
οδήγηση	டிரைவ்
οδήγηση	இயக்கி
οδήγηση	ஓட்டும்
διαγωνισμούς	போட்டிகள்
δημοκρατίες	republics
ενδυμασία	ஆடை
περιορισμοί	வரம்புகள்
περιορισμοί	கட்டுப்பாடுகள்
λουτρό	குளியல்
λουτρό	பாத்
εφικτό	feasible
ουγγρική	ஹங்கேரிய
ουγγρική	ஹங்கேரியன்
καστ	எறிந்து
σενεγάλη	செனகல்
σκοράρει	மதிப்பெண்கள்
οργανωμένο	ஏற்பாடு
νίκολας	நிக்கோலஸ்
αποκλεισμός	தவிர்ப்புத்
αποκλεισμός	தடை
φάντασμα	ஆவி
φάντασμα	பேய்
φάντασμα	phantom
μιλώντας	பேசும்
μιλώντας	பேசுகிறது
μπέρναρντ	பெர்னார்ட்
εγκυκλοπαιδική	encyclopedic
αιτήματα	கோரிக்கைகள்
αιτήματα	வேண்டுகோள்கள்
αιτήματα	கோரிக்கைகளை
αιτήματα	demands
φανταστική	அட்டகாசம்
φανταστική	அருமை
σιδηρόδρομος	இரயில்வே
σιδηρόδρομος	railways
σιδηρόδρομος	இரயில்வே
σιδηρόδρομος	ரயில்வே
σιδηρόδρομος	இரயில்
χλώριο	குளோரின்
ασβέστιο	கால்சியம்
κοσμά	கோஸ்மாஸ்
μαυσωλείο	mausoleum
χθες	நேற்று
χθες	நேற்றைய
ποικίλει	தங்கியுள்ளது
διπλός	இரட்டிப்பு
διπλός	இரட்டை
χοροί	நடனங்கள்
ραντ	rand
ραντ	குறிப்பிலா
ραντ	ரட்
δέκατη	பத்தாவது
δέκατη	பத்தாம்
επιθυμητή	desirable
σίδηρο	இரும்பு
τσάι	தேநீர்
τσάι	தேயிலை
τσάι	டீ
περιφερειών	பகுதிகள்
περιφερειών	மண்டலங்கள்
όγδοο	எட்டாவது
αφίσες	சுவரொட்டிகள்
πρέσβη	ambassador
πρέσβη	தூதுவர்
πρέσβη	தூதர்
δάνεια	கடன்கள்
δάνεια	கடன்
νετρονίων	நொதுமி
πρωτεΐνη	புரதம்
εκτεταμένο	நிறைவான
εκτεταμένο	நீடிப்பு
γενοκτονία	இனப்படுகொலை
γραφές	படைப்புகள்
πρωτεύοντα	primates
πόροι	மூலங்கள்
πόροι	ஆதாரங்கள்
πόροι	வளங்கள்
πόροι	வளம்
χουσεΐν	உசேன்
σίλβα	சில்வா
στιλ	பாணி
στιλ	தோற்றம்
στιλ	நடை
στιλ	ஸ்டைல்
συνθετικό	செயற்கை
εισαγγελέα	வழக்கறிஞரை
παράμετροι	அளவுருக்கள்
παράμετροι	அளபுருக்கள்
αλάσκα	அலாஸ்கா
απίθανο	விருப்பமில்லை
έτοιμη	தயாராக
έτοιμη	தயார்
καταγράφηκε	பதிவுசெய்யப்பட்டது
καταλονία	காத்தலோனியா
δόκτωρ	மருத்துவர்
πολλαπλά	பெருக்கல்
πολλαπλά	பல
ντένις	டெனிஸ்
μποντ	இனைப்பு
όουεν	ஓவன்
συναγερμό	அலாரம்
ότο	ஓட்டோ
γκυ	பையன்
γκυ	ஆள்
γκαρσία	கார்சியா
ροές	வழங்கல்கள்
ροές	ஸ்ட்ரீம்கள்
έρνεστ	எர்னஸ்ட்
μουσουλμανική	முஸ்லிம்
μουσουλμανική	முஸ்லீம்
ακτιβιστές	ஆர்வலர்கள்
συλληφθεί	கைப்பற்றிய
συλληφθεί	கைப்பற்றி
πολύτιμο	விலைமதிப்பற்ற
πολύτιμο	பொன்னான
πολύτιμο	மதிப்பானது
πολύτιμο	மதிப்புமிக்க
οργανικά	இயல்பான
οργανικά	ஆர்கானிக்
λοιμώξεις	தொற்று
φανταστικό	அட்டகாசம்
φανταστικό	அருமை
επιθεωρητής	இன்ஸ்பெக்டர்
στρατηγικές	உத்திகள்
στρατηγικές	உத்திகளை
καθημερινές	தினமும்
καθημερινές	அன்றாடம்
καθημερινές	தினசரி
καθημερινές	அன்றாட
καθημερινές	தினந்தோறும்
ραντεβού	அனுமதி
ραντεβού	சந்திப்பு
ραντεβού	தேதி
ελικόπτερο	ஹெலிகாப்டர்
ελικόπτερο	சாப்பர்
πολυπλοκότητα	சிக்கலானது
ιβ	ஈவ்
ιβ	மாலை
όττο	ஓட்டோ
βράχος	ராக்
βράχος	பாறை
στάσεις	நிறுத்தங்கள்
προϋπολογισμού	பட்ஜெட்
κατασκευαστής	பில்டர்
κατασκευαστής	உற்பத்தியாளர்
κατασκευαστής	தயாரிப்பாளர்
σουρινάμ	சுரினாம்
ρότερνταμ	ராட்டர்டாம்
ρέμα	ஓடை
ρέμα	ஸ்ட்ரீம்
χορν	கொம்பு
δάνειο	கடன்
βέλη	அம்புகள்
γκράχαμ	கிரகாம்
δοκιμασία	சோதனையில்
δοκιμασία	பரிசோதனை
δοκιμασία	சோதனை
δικαιολογία	மன்னியுங்கள்
πρόστιμο	நலம்
πρόστιμο	நலமாக
πρόστιμο	நன்றாக
νύχια	நகங்கள்
προτεστάντες	புராட்டஸ்தாந்து
αναμενόμενο	எதிர்ப்பார்த்த
αναμενόμενο	எதிர்பார்த்த
αναμενόμενο	எதிர்பார்க்கப்படுகிறது
γιούτα	சணல்
επανένωση	ரீயூனியன்
πυρίτιο	திடமான
πυρίτιο	சிலிக்கான்
λουίτζι	luigi
τροχούς	சக்கரங்கள்
αποκλειστική	பிரத்யேக
ερωτικά	சிற்றின்ப
ανυπόγραφο	முயன்றால்
διάδρομο	ஓடுபாதை
χλωριούχο	குளோரைடு
αρμενίων	ஆர்மேனியன்
σωτήρα	மீட்பர்
σωτήρα	மீட்பர்
φοίνιξ	பீனிக்ஸ்
βρω	கண்டு
βρω	கண்டுபிடி
άποικοι	settlers
θυσίες	தியாகங்கள்
θυσίες	தியாகத்தை
θυσίες	தியாகம்
πιστή	விசுவாசமான
πιστή	விசுவாசமாக
πιστή	நம்பிக்கை
πιστή	நம்பிக்கையாக
πιστή	ஈமான்
τραγουδάει	பாடுகிறார்
τραγουδάει	பாடும்
τραγουδάει	பாடுகிறார்
στατιστικές	புள்ளிவிவரம்
στατιστικές	புள்ளியியல்
ασφαλές	பாதுகாப்பான
ασφαλές	பாதுகாப்பாக
ασφαλές	பாதுகாப்பானது
ασφαλές	பத்திரமாக
ασφαλές	பாதுகாப்பு
ασφαλές	பாதுகாப்பாக
ασφαλές	பாதுகாப்பானது
ασφαλές	பாதுகாப்பான
σέφιλντ	sheffield
φριτς	பிரிட்ஸ்
δάπεδο	மாடியில்
δάπεδο	மாடி
δάπεδο	தரை
πετάει	ஈக்கள்
πετάει	பறக்கிறது
καταστροφική	அழிவு
καταστροφική	கொடூரமாக
ανακτήσει	மீட்க
ανακτήσει	மீட்டெடுக்க
ανακτήσει	மீட்பது
αρπακτικά	ராப்டர்ஸ்
αρπακτικά	தோற்றார்
πενσυλβάνια	பென்சில்வேனியா
έντγκαρ	எட்கர்
φιλοξενία	விருந்தோம்பல்
φιλοξενία	தொகுத்து
φιλοξενία	நடத்துகிறார்
βαλκανική	பால்க்கன்
προωθήθηκε	விளம்பரப்படுத்தப்பட்டது
προωθήθηκε	விளம்பரப்படுத்தப்பட்ட
προωθήθηκε	விளம்பரப்படுத்தப்பட்டது
προβληματική	சர்ச்சைக்குரிய
βαλτικής	பால்டிக்
ρομαντική	காதல்
κόμβοι	முடிச்சுகளை
ολλανδικό	டச்சு
ολλανδικό	டச்
ενεργητικό	சொத்துக்கள்
ενεργητικό	சொத்துகள்
χαρτ	ஹார்ட்
φορτηγό	டிரக்
φορτηγό	வண்டி
φορτηγό	ட்ரக்
φορτηγό	லாரி
λιν	லின்
λιν	லின்
λιν	லின்
λιν	லின்
μαραθώνιο	மாரத்தான்
όξινο	அமில
αποτελεσματικό	சிக்கனம்
αποτελεσματικό	பயனுள்ள
αποτελεσματικό	திறம்
ποτό	குடித்தல்
ποτό	குடி
ποτό	குடிக்கும்
ποτό	குடிப்பது
ποτό	குடிக்க
ποτό	குடி
ποτό	பானம்
πλούτος	செல்வம்
πλούτος	செல்வமும்
πλούτος	வளம்
ζωντανός	உயிருடன்
ζωντανός	உயிரோடு
δημοκρατικός	ஜனநாயக
κεντ	கென்ட்
ρίβερ	நதி
ρίβερ	நதிநீர்
ρίβερ	ஆறு
επαναστάτης	புரட்சிகரமான
επαναστάτης	புரட்சிகர
επαναστάτης	போராளி
μπετόβεν	பீத்தோவன்
κρόνος	குரோனஸ்
χαρτιά	கார்டுகள்
χαρτιά	அட்டைகள்
χαρτιά	பேப்பர்ஸ்
σκοτάδι	டார்க்
σκοτάδι	இருள்
σκοτάδι	இருண்ட
σκοτάδι	இருட்டு
σκοτάδι	இருள்
σκοτάδι	இருட்டு
ιβηρική	ஐபீரிய
ετικέτα	டேக்
ετικέτα	தத்தல்
ετικέτα	குறியிடு
ετικέτα	அடையாளம்
ετικέτα	லேபிள்
ετικέτα	பெயர்
ίχνος	சுவடு
συμμορία	கும்பல்
διαγράφηκε	நீக்கப்பட்டது
διαγράφηκε	நீக்கப்பட்ட
πλατιά	விரிந்த
πλατιά	அகல
μίσος	வெறுப்பை
μίσος	வெறுப்பு
μίσος	வெறுப்பு
μίσος	வெறுக்கிறேன்
ανακοίνωσαν	அறிவிக்கப்பட்டது
πείτε	சொல்ல
πείτε	சொல்
πείτε	சொல்லி
πείτε	சொல்லும்
τρώει	உண்ணுதல்
τρώει	உண்பது
τρώει	ஈட்ஸ்
προφορική	வாய்வழி
ιατρικά	மருத்துவம்
ιατρικά	மருத்துவ
επικίνδυνα	ஆபத்தானது
επικίνδυνα	அபாயகரமானது
επικίνδυνα	ஆபத்தான
προγραμματιστές	உருவாக்குநர்கள்
προγραμματιστές	உருவாக்குவோர்
άνεμο	காற்றை
άνεμο	காற்று
νόβγκοροντ	novgorod
εμβόλιο	தடுப்பூசி
βολή	ஷாட்
άνεση	ஆறுதல்
άνεση	வசதி
ιούδα	யூதாசு
ιούδα	யூதா
κέλι	கெல்லி
αποφεύγεται	தவிர்க்க
ειδοποίηση	அறிவிப்பு
ειδοποίηση	கவனிக்க
ειδοποίηση	அறிவிப்பு
ειδοποίηση	எச்சரிக்கை
ειδοποίηση	நினைவூட்டல்
όσλο	ஒஸ்லோ
κόνραντ	கொன்ராட்
βινυλίου	வினைல்
ινών	நார்
τόμσον	தாம்சன்
τόμσον	தாம்சன்
μωρό	குழந்தை
μωρό	பேபி
μωρό	பேப்
μωρό	விந்தை
συμπόσιο	கருத்தரங்கில்
συμπόσιο	கல்யாண
οντότητες	தன்மைகள்
εξάλειψη	எலிமினேஷன்
εξάλειψη	ஒழியும்
εξάλειψη	ஒழிக்கும்
κινέζικα	சீன
κινέζικα	சீனம்
ορατά	காணக்கூடியது
ορατά	தெரியும்
αφαιρέθηκαν	நீக்கப்பட்டது
αφαιρέθηκαν	அகற்றப்பட்டது
χειρότερα	மோசமான
χειρότερα	மோசமாக
βελγική	பெல்ஜிய
αναγνωριστικό	அடையாளங்காட்டி
σαμαρά	சமராசு
κενή	காலி
κενή	காலியான
κενή	வெற்று
κενή	வெற்று
προκατόχου	predecessor
απεικόνισης	இமேஜிங்
βανκούβερ	வான்கூவர்
επιθετικό	அதிகளவு
μήλο	ஆப்பிள்
πρεσβείας	தூதரகம்
λογαριασμούς	கணக்குகள்
μαϊάμι	மியாமி
έλξη	traction
έλξη	ஈர்ப்பு
μπουλ	காளை
ευθύνες	பொறுப்புகள்
φορολογία	வரிவிதிப்பு
κρανίο	மண்டை
δεξιότητες	திறமைகள்
δεξιότητες	திறன்கள்
δεξιότητες	திறன்
δεξιότητες	திறமை
πρωτόκολλα	நெறிகள்
νηλ	நீல்
νηλ	நீல்
υπάλληλοι	பணியாளர்களின்
υπάλληλοι	ஊழியர்களும்
υπάλληλοι	பணியாளர்கள்
υπάλληλοι	அதிகாரிகள்
ιορδανία	ஜோர்டான்
κεφάλια	தலைகள்
κάρι	குழம்பு
κάρι	கறி
κάρι	கேரி
δένδρο	மரம்
δένδρο	கிளை
ιρλανδική	ஐரிஷ்
ναμίμπια	நமிபியா
πλατύ	விரிந்த
πλατύ	அகல
ξύλινη	மர
τόξα	அம்புகள்
ραλφ	ரால்ப்
παρατηρητήριο	ஆய்வகம்
εγγονή	பேத்தி
κάηκε	எழுதப்பட்டது
ορθογραφία	எழுத்து
ορθογραφία	எழுத்துப்பிழை
ορθογραφία	உச்சரிப்பு
παρατηρήσει	கவனித்தேன்
παραγωγική	உபயோகமான
ασφαλής	பாதுகாப்பான
ασφαλής	பாதுகாப்பாக
ασφαλής	பாதுகாப்பானது
ασφαλής	பத்திரமாக
ασφαλής	பாதுகாப்பு
ασφαλής	பாதுகாப்பாக
ασφαλής	பாதுகாப்பானது
ασφαλής	பாதுகாப்பான
αιθυλο	எதில்
κινέζοι	சீன
κινέζοι	சீனம்
δράκος	டிராகன்
βλέπεις	பார்
βλέπεις	பார்க்க
βλέπεις	காண்கிறேன்
εμπόρους	வர்த்தகர்கள்
εμπόρους	வணிகர்
συμπλοκή	சந்திப்பை
μάρθα	மார்தா
ρομά	ரோமா
ταξί	டாக்ஸி
ταξί	டாக்சி
ταξί	கேப்
παρακολουθούσε	பார்த்தார்
παρακολουθούσε	பார்க்கப்பட்டது
φινλανδική	பின்னிஷ்
υπάρχουσα	இருக்கும்
ισμαήλ	இஸ்மாயில்
ισμαήλ	இஸ்மாயீல்
μπακ	பக்
μπακ	bac
εμβαδόν	பரப்பு
εμβαδόν	பரப்பளவு
εμβαδόν	பகுதியில்
εμβαδόν	பகுதி
ζαχαρίας	zacharias
ημερήσια	தினமும்
ημερήσια	அன்றாடம்
ημερήσια	தினசரி
ημερήσια	அன்றாட
ημερήσια	தினந்தோறும்
μανδύα	மூடகம்
ρώτησε	கேள்
ρώτησε	கேட்க
ρώτησε	கேட்டேன்
ρώτησε	கேட்கப்பட்டது
ρώτησε	கேட்டார்
ρώτησε	கேட்டாள்
δηλητήριο	விஷத்தை
δηλητήριο	நஞ்சு
δηλητήριο	விஷம்
εξαρτήματα	துணைக்கருவிகள்
