筋	τένοντες
發光	φωτεινή
發光	λάμψη
結盟	συμμαχία
阿拉伯語	αραβικά
阿拉伯語	αραβική
阿拉伯語	αραβικό
異議	ένσταση
係數	συντελεστής
係數	συντελεστή
係數	συντελεστές
抱怨	παραπονιέται
窮	καημένε
窮	φτωχή
窮	φτωχό
窮	φτωχός
窮	φτωχοί
投球	πίσσα
銀色	ασημί
銀色	ασημένια
銀色	σίλβερ
銀色	ασήμι
銀色	silver
鞘	θήκη
小牛	μοσχάρι
訪談	συνέντευξη
訪談	συνεντεύξεις
口味	γεύσεις
口味	γούστα
口味	γεύσεις
就職	εγκαίνια
人性	ανθρωπιά
人性	ανθρωπότητας
人性	ανθρωπότητα
噴發	έκρηξη
噴發	εκρήξεις
饒	ράο
失誤	σφάλματα
失誤	λάθη
溶解	διαλυθεί
溶解	διαλυμένο
溶解	διαλύθηκε
溶解	διαλύεται
溶解	διαλύονται
公報	ανακοινωθέν
公報	ανακοινωθέν
主觀	υποκειμενική
主觀	υποκειμενικότητα
天平	κλίμακες
外國人	εξωγήινοι
外國人	εξωγήινους
外國人	ξένος
外國人	αλλοδαπός
外國人	ξένοι
外國人	αλλοδαποί
反感	απέχθεια
反感	αποστροφή
反感	αηδιασμένος
神仙	νεράιδα
李子	δαμάσκηνο
李子	δαμάσκηνα
腸	λουκάνικα
腸	λουκάνικο
腸	έντερο
腸	έντερο
腸	εντέρου
腸	έντερο
腸	έντερα
鹼	αλκαλίων
鹼	αλκαλική
石板	δισκίο
液晶	lcd
福爾摩斯	holmes
福爾摩斯	χόλμς
福爾摩斯	χολμς
君主制	μοναρχία
野心	φιλοδοξίες
野心	φιλόδοξη
野心	φιλόδοξο
野心	φιλόδοξος
野心	φιλόδοξοι
野心	φιλοδοξίες
野心	φιλοδοξίας
野心	φιλοδοξία
別墅	villa
別墅	βίλα
別墅	βίλλα
別墅	βίλες
幅度	κυμαίνεται
印地安人	ινδιάνους
印地安人	ινδιάνοι
印地安人	ινδοί
籠	κλουβί
監管	επίβλεψη
監管	επιτήρηση
監管	εποπτεία
顯示器	εμφάνιση
顯示器	προβολή
顯示器	απεικόνιση
顯示器	οθόνες
有害	επιβλαβές
有害	επιβλαβή
有害	επιβλαβείς
有害	επιβλαβής
銀河系	γαλαξίας
銀河系	γαλαξία
罰款	πρόστιμα
葡萄糖	γλυκόζη
葡萄糖	γλυκόζης
鋰	λιθίου
鋰	λίθιο
劍橋	κέιμπριτζ
劍橋	κέμπριτζ
詛咒	κατάρα
達拉斯	ντάλλας
達拉斯	ντάλας
徒步	πεζοπορία
草莓	φράουλα
草莓	φράουλας
草莓	φράουλες
奶奶	γιαγιά
蚊	κουνούπι
補償	αντιστάθμιση
補償	αποζημίωση
補償	αντισταθμιστικά
教父	νονός
教父	νονό
蝙蝠俠	μπάτμαν
輕微	ελαφρά
肽	πεπτίδιο
廁所	λεκάνη
廁所	τουαλέτα
廁所	μπάνιο
廁所	τουαλέτα
葉子	φύλλα
葉子	φύλλο
葉子	γιόκο
激進	ριζοσπαστικό
激進	ριζοσπαστική
激進	ριζική
乙醇	αιθανόλη
有罪	ένοχοι
有罪	ένοχος
有罪	ένοχη
禮拜	λατρεία
樣式	στυλ
樣式	στάιλς
樣式	στυλ
樣式	ύφος
樣式	στιλ
遷徙	μεταναστεύουν
遷徙	μετανάστευση
遷徙	μετανάστευσης
遷徙	μεταναστεύσεις
抄襲	λογοκλοπή
海倫	ελένη
海倫	ελενη
海倫	έλεν
海倫	helen
螢	γινγκ
讀音	προφορά
聖殿	βασιλική
聖殿	τεμπλ
聖殿	ναός
聖殿	ναό
空格	χώροι
空格	χώρους
郵票	σφραγίδα
郵票	γραμματόσημο
郵票	γραμματόσημα
郵票	σφραγίδες
多瑙河	δούναβη
阿爾及利亞	αλγερίας
阿爾及利亞	αλγερία
騷擾	παρενόχληση
騷擾	παρενοχλεί
冷卻	ψύξη
冷卻	ψύξης
攝影機	φωτογραφική
攝影機	κάμερα
拜訪	επισκέπτης
皇宮	ανάκτορα
皇宮	palace
皇宮	παλάτι
法老	φαραώ
微小	μικροσκοπική
微小	μικροσκοπικό
微小	μικροσκοπικά
出版商	εκδότη
出版商	εκδότης
出版商	εκδότες
出版商	εκδοτών
精美	εξαίσιο
精美	εξαιρετικό
精美	εξαίσια
溫和	ευγενική
溫和	ευγενικός
溫和	μέτρια
溫和	μέτριος
溫和	μέτριο
溫和	ήπια
溫和	ήπιο
溫和	ήπιες
公升	λίτρο
公升	λίτρα
公升	λίτρο
公升	λίτρα
相對論	σχετικισμού
相對論	σχετικότητας
對面	αντίθετο
對面	απέναντι
香料	μπαχαρικά
香料	καρυκεύματα
香料	μπαχαρικά
悼念	αφιέρωμα
悼念	αφιερώματα
悼念	διαγωνιζόμενοι
悼念	πένθος
辣椒	τσίλι
辣椒	πιπέρι
辣椒	πιπεριά
辣椒	πέπερ
賭場	καζίνο
賭場	casino
賭場	καζίνο
國徽	έμβλημα
悲劇	τραγικός
悲劇	τραγική
悲劇	τραγικό
悲劇	τραγωδία
鎖定	κλείδωμα
鎖定	λοκ
鎖定	κλειδαριά
鎖定	κλειδωμένος
鎖定	κλειδωμένη
鎖定	κλειδωμένα
鎖定	κλειδώθηκε
鎖定	κλειδωμένο
租金	ενοίκια
租金	ενοικιαζόμενα
租金	ενοικίαση
租金	μίσθωση
租金	ενοικίαση
租金	νοίκι
租金	ενοίκια
租金	ενοικίαση
租金	ενοίκιο
租金	ενοίκια
租金	νοικιάζει
光輝	λάμπει
喀麥隆	καμερούν
誤解	παρανόηση
誤解	παρανόηση
誤解	παρεξήγηση
誤解	παρεξηγήσεις
彎曲	κυρτό
彎曲	μπεντ
彎曲	λύγισε
溫暖	ζεστή
溫暖	ζεστό
溫暖	ζεστός
溫暖	ζεστά
溫暖	ζεστασιά
溫暖	θέρμη
解剖	ανατομία
解剖	ανατομή
解剖	αυτοψία
解剖	νεκροψία
神像	γκάτο
手套	γάντια
手套	γάντι
硬幣	νομίσματα
硬幣	κέρματα
硬幣	κέρμα
硬幣	νόμισμα
纜車	γόνδολα
朝代	δυναστεία
你好	γεια
你好	γειά
皂	σαπούνι
皂	σαπούνια
承包商	εργολάβους
承包商	ανάδοχο
承包商	ανάδοχος
承包商	εργολάβος
草坪	γκαζόν
草坪	γρασίδι
方舟	κιβωτός
方舟	κιβωτό
鉛	οδηγήσει
鉛	μόλυβδο
鉛	μόλυβδος
鞭	μαστίγιο
界定	καθορίζουν
氣溫	θερμοκρασία
氣溫	θερμοκρασίες
概括	γενίκευση
馬賽	μασσαλία
彈性	ευέλικτο
彈性	ευέλικτη
彈性	ελαστική
彈性	ευελιξία
彈性	ελαστικότητα
彈性	ελαστικότητα
彈性	ελαστική
彈性	ελαστικό
彈性	flex
長老	πρεσβύτερος
長老	γέροντας
長老	γέροντα
長老	γηραιοί
野牛	βουβάλι
野牛	βουβάλια
野牛	μπάφαλο
野牛	βίσωνα
特許	παραχωρήσεις
特許	παραχώρηση
特許	παραχώρησης
盾牌	ασπιδα
盾牌	ασπίδα
盾牌	ασπίδες
走私	λαθρεμπόριο
走私	λαθραία
紀念館	μνημείο
紀念館	μεμόριαλ
戒指	δακτύλιο
戒指	ρινγκ
戒指	δακτύλιος
戒指	δαχτυλίδι
戒指	δαχτυλίδια
祭司	παπάς
祭司	παπά
祭司	ιερέας
祭司	ιερέα
握手	χειραψία
乘法	πολλαπλασιασμού
乘法	πολλαπλασιασμός
乘法	πολλαπλασιασμό
繪圖	χαρτογράφηση
繪圖	σχέδια
繪圖	ζωγραφιές
繪圖	σκίτσα
繪圖	γραφικά
繪圖	ζωγραφιά
繪圖	κλήρωση
乙酸	οξικό
大屠殺	σφαγή
大屠殺	ολοκαύτωμα
食堂	καντίνα
食堂	καφετέρια
食堂	κυλικείο
劫持	απαγωγή
劫持	αεροπειρατεία
劫持	αεροπειρατεία
誓	όρκο
誓	όρκος
誓	όρκο
誓	όρκος
基座	βάθρο
損壞	διεφθαρμένη
損壞	κατεστραμμένο
損壞	κατεστραμμένα
損壞	βλάβη
損壞	κατεστραμμένο
損壞	κατεστραμμένος
損壞	ζημιά
損壞	κατεστραμμένη
損壞	ζημία
損壞	βλάβη
損壞	ζημίες
損壞	ζημιές
損壞	ζημιά
損壞	ζημίες
損壞	ζημιές
專長	κόγχη
專長	ειδικότητα
專長	σπεσιαλιτέ
專長	ειδικότητα
專長	σπεσιαλιτέ
專長	ειδικότητες
專長	εμπειρογνωμοσύνη
羅素	ράσελ
羅素	russell
基底	υπόστρωμα
基底	υπόγειο
骨架	σκελετός
骨架	σκελετό
更正	διορθώσεις
更正	διόρθωση
特種部隊	swat
音速	ηχητικό
叻	λατ
照射	ανοίγματα
密西西比州	μισισιπή
標語	σλόγκαν
標語	συνθήματα
標語	σλόγκαν
標語	σύνθημα
摩天大樓	ουρανοξύστη
摩天大樓	ουρανοξύστες
雙邊	διμερείς
雙邊	διμερές
雙邊	διμερής
雙邊	διμερή
迷失	χάθηκε
迷失	χαμένος
迷失	χάσαμε
迷失	χαμένη
迷失	χάσει
迷失	χαμένοι
警務	αστυνόμευση
警務	αστυνομία
仙女座	ανδρομέδα
橘子	πορτοκάλι
橘子	πορτοκαλί
橘子	πορτοκάλια
死亡率	θνησιμότητας
死亡率	θνησιμότητα
歌聲	τραγουδάει
歌聲	τραγουδάμε
歌聲	τραγούδι
歌聲	τραγουδώντας
歌聲	τραγουδούν
散射	scatter
症候群	σύνδρομο
布加勒斯特	βουκουρεστίου
布加勒斯特	βουκουρέστι
污水	λυμάτων
污水	λύματα
存款	κατάθεση
存款	προκαταβολή
存款	καταθέσεις
獨裁	απολυταρχία
獨裁	δικτατορία
獨裁	δικτατορικό
宮廷	ανάκτορα
宮廷	palace
宮廷	παλάτι
想象	φαντασία
想象	φαντάσου
想象	φανταστείτε
祈禱	προσευχή
祈禱	προσεύχεται
祈禱	προσευχές
相容	συμβατό
相容	συμβατά
相容	συμβατή
相容	συμβατός
相容	συμβατότητα
廚師	chef
廚師	σεφ
廚師	μάγειρα
廚師	μαγείρισσα
廚師	μάγειρας
廚師	κουκ
廚師	μαγείρεμα
王冠	κορώνα
王冠	στέμμα
王冠	κράουν
王冠	κορόνα
王冠	κορώνες
營養	διατροφή
營養	θρεπτική
營養	θρεπτικών
凝聚	συνοχής
凝聚	συνοχή
橡膠	ελαστικό
橡膠	καουτσούκ
教義	διδασκαλίες
教義	δόγμα
扳機	έναυσμα
扳機	σκανδάλη
探險	περιπέτεια
區塊	μπλοκ
區塊	τετράγωνα
區塊	τετράγωνο
區塊	μπλοκάρισμα
區塊	block
區塊	μπλοκ
亞熱帶	υποτροπικά
地道	στοά
地道	σήραγγα
地道	τούνελ
地道	σήραγγες
地道	τούνελ
所羅門	σόλομον
所羅門	σολομώντα
腕	καρπός
腕	καρπό
機長	κυβερνήτη
機長	καπετάνιος
聲援	αλληλεγγύη
核子	πυρηνικός
核子	πυρηνικά
核子	πυρηνική
殘餘	απομεινάρι
廢棄	εγκατάλειψη
廢棄	εγκαταλειμμένο
廢棄	εγκαταλείφθηκε
廢棄	εγκαταλελειμμένο
檢視	θεα
檢視	θέα
檢視	όψη
檢視	προβολή
檢視	view
學說	δόγματα
學說	δόγμα
大提琴	τσέλο
加熱	ζέστη
加熱	θερμότητα
加熱	θέρμανση
加熱	θερμότητας
加熱	θέρμανση
加熱	θέρμανσης
加熱	θερμαίνεται
還原	επαναφορά
還原	αποκαταστήσει
暴風	καταιγίδα
暴風	στορμ
暴風	θύελλα
巴頓	πάτον
華沙	βαρσοβία
華沙	βαρσοβίας
誘惑	αποπλάνηση
誘惑	πειρασμός
誘惑	πειρασμό
掃描	σάρωση
掃描	σαρώσεις
掃描	σάρωση
法典	codex
壺	ποτ
壺	χόρτο
壺	γλάστρα
壺	κατσαρόλα
壺	κανάτα
電報	τηλεγράφημα
電報	telegraph
升降機	ανελκυστήρες
升降機	ασανσέρ
升降機	ανελκυστήρας
機密	εμπιστευτική
機密	εμπιστευτικό
機密	εμπιστευτικές
機密	εμπιστευτικά
城牆	τοίχους
城牆	τείχη
城牆	τοίχοι
芭蕾舞	μπαλέτο
諾曼	νόρμαν
環礁	ατόλλη
散布	scatter
斐濟	φίτζι
潛在	δυνατότητες
潛在	δυναμικό
呼叫	καλέστε
呼叫	κλήση
呼叫	κάλεσε
呼叫	καλώ
呼叫	κλήση
呼叫	καλεί
呼叫	καλώντας
呼叫	κάλεσμα
硝酸	νιτρικά
硝酸	νιτρικό
嵌入	ενσωματωμένη
嵌入	ενσωματωμένο
嵌入	ενσωματωμένα
出血	αιμορραγία
出血	αιμορραγία
烤	ψητό
口腔	στόμα
口腔	στοματική
口腔	προφορική
口腔	στοματικό
港灣	χάρμπορ
港灣	λιμάνι
港灣	harbour
時鐘	ρολόγια
時鐘	ρολόι
牽引	έλξης
牽引	έλξη
滑翔	glide
論點	επιχειρήματα
論點	επιχειρηματολογία
論點	επιχείρημα
左邊	αριστερά
左邊	αριστερό
左邊	αριστερή
左邊	αριστερα
勇氣	κουράγιο
勇氣	θάρρος
喵	νιάου
天線	κεραίες
天線	κεραία
絕望	απόγνωση
絕望	απελπισία
絕望	απεγνωσμένη
絕望	απελπισμένη
絕望	απελπισμένοι
絕望	απελπισμένος
絕望	απόγνωση
絕望	απελπισία
摩納哥	μονακό
格言	ρητό
格言	σύνθημα
格言	μαξίμ
腐	σήψη
伏特	βολτ
敵對	εχθρότητα
敵對	εχθρικός
敵對	εχθρικά
敵對	εχθρική
敵對	εχθρικό
出處	προέλευση
出處	καταγωγή
出處	προέλευση
電磁	ηλεκτρομαγνητικό
電磁	ηλεκτρομαγνητικά
電磁	ηλεκτρομαγνητική
瘋	τρέλα
瘋	τρελή
瘋	τρελός
瘋	τρελό
金子	χρυσός
金子	χρυσό
金子	χρυσο
金子	χρυσάφι
金子	χρυσά
贏	κερδίσει
贏	νίκη
贏	κέρδισε
開除	απόλυση
災害	καταστροφές
災害	καταστροφή
持久	ανθεκτικό
持久	ανθεκτική
永久性	μονιμότητα
字元	χαρακτήρας
字元	χαρακτήρα
字元	χαρακτήρες
晚餐	βραδινό
晚餐	δείπνο
豆腐	τόφου
捐助	δωρεές
濕地	υγροτόπων
濕地	υγρότοπος
獵物	θηράματα
獵物	θήραμα
獵物	λεία
東正教	ορθοδοξία
東正教	ορθόδοξη
燕子	κατάπιε
燕子	καταπιεί
燕子	καταπίνει
燕子	χελιδόνια
鄰居	γείτονες
鄰居	γείτονες
鄰居	γείτονας
鄰居	γείτονα
鄰居	γειτόνισσα
會計師	λογιστές
會計師	λογιστή
會計師	λογιστής
橢圓	οβάλ
橢圓	ελλειπτικό
追逐	καταδίωξη
追逐	κυνηγητό
追逐	τσέις
追逐	καταδίωξη
君士坦丁	κόνσταντιν
君士坦丁	κωνσταντίνος
美式足球	φούτμπολ
美式足球	football
美式足球	ποδόσφαιρο
天然氣	αερίου
天然氣	αέριο
天然氣	αέρια
天然氣	βενζίνη
天然氣	γκάζι
方塊	κύβους
方塊	κύβο
方塊	κύβος
方塊	τετράγωνο
方塊	πλατεία
方塊	τετράγωνα
均衡	ισόρροπη
均衡	ισορροπημένο
均衡	ισορροπημένη
均衡	υπόλοιπο
均衡	ισορροπία
均衡	ισοζύγιο
均衡	εξισορρόπησης
均衡	εξισορρόπηση
均衡	ισορροπία
掃	σαρωτικές
叢林	ζούγκλα
慶典	γιορτή
慶典	εορτασμός
藏文	θιβετιανή
藏文	θιβέτ
色素	χρωστική
宣教	ντάουα
膝	γόνατο
膝	γόνατα
保管	κηδεμονία
保管	επιμέλεια
院系	σχολές
省長	νομάρχης
省長	κυβερνήτης
省長	κυβερνήτη
粗糙	τραχύ
粗糙	τραχύ
激情	παθιασμένο
激情	παθιασμένος
激情	παθιασμένη
激情	πάθος
珍貴	πολύτιμος
珍貴	πολύτιμο
珍貴	πολύτιμη
珍貴	πολύτιμοι
珍貴	πολύτιμα
嚴厲	σκληρό
嚴厲	σκληρή
門票	εισητήρια
門票	εισιτήρια
門票	εισιτήριο
門票	εισητήριο
通航	πλωτούς
毒素	τοξίνη
毒素	τοξίνες
轎車	σεντάν
轎車	λιμουζίνα
轎車	λιμουζίνα
俄亥俄	οχάιο
獅子座	λέο
獅子座	λίο
獅子座	λέων
獅子座	leo
經濟學家	οικονομολόγος
經濟學家	οικονομολόγοι
夔	κούι
約瑟	ιωσήφ
約瑟	joseph
約瑟	τζόσεφ
約瑟	τζόζεφ
愛心	φροντίδα
約旦	ιορδανία
約旦	τζόρνταν
約旦	jordan
性行為	σεξουαλικότητα
性行為	σεξ
性行為	sex
性行為	φύλο
地下室	υπόγειο
昨天	χθες
昨天	εχθές
昨天	χτες
昨天	χθές
兄妹	αδέλφια
兄妹	αδέρφια
應對	αντιμετώπισης
佛法	ντάρμα
詳情	λεπτομέρειες
詳情	λεπτομέρεια
詳情	λεπτομέρειες
生殖	αναπαραγωγική
生殖	αναπαραγωγή
十個	ten
十個	δεκα
十個	δέκα
交配	ταίρι
交配	ζευγαρώματος
交配	ζευγάρωμα
冰球	χόκεϋ
冰球	χόκεϊ
投射	προβολή
漢城	σεούλ
酸性	όξινο
酸性	οξυ
酸性	οξύ
酸性	οξύτητας
酸性	οξύτητα
展望	προνοητικότητα
展望	προοπτικές
展望	προοπτική
展望	όραση
展望	οπτασία
展望	όραμα
多明尼加	δομινικανή
週年紀念	επέτειος
週年紀念	επέτειο
世系	κάθοδο
世系	καθόδου
猴子	μαϊμού
猴子	πίθηκος
抬	ανύψωση
抬	ασανσέρ
抬	ανελκυστήρας
可信	αξιόπιστο
可信	αξιόπιστη
歐文	όουεν
歐文	owen
歐文	ίρβινγκ
俄文	ρωσική
俄文	ρώσικα
俄文	ρωσικά
俄文	ρώσος
揭示	αποκαλυπτικό
揭示	αποκαλύψει
揭示	αποκάλυψε
揭示	αποκάλυψη
揭示	αποκαλύπτει
揭示	αποκαλύπτεται
反駁	αντίκρουση
前景	προοπτική
前景	προσκήνιο
前景	προοπτικές
前景	προοπτική
妄想	παρανοϊκό
妄想	παρανοϊκή
妄想	παρανοϊκός
妄想	παραίσθηση
妄想	ψευδαίσθηση
妄想	αυταπάτη
妄想	παράνοια
妄想	παραισθήσεις
成年人	ενήλικο
成年人	ενήλικας
成年人	ενήλικα
成年人	ενήλικος
成年人	ενήλικες
成年人	ενηλίκων
成年人	ενηλίκων
成年人	ενήλικοι
成年人	ενήλικες
冬青	χόλυ
冬青	χόλι
冬青	holly
空前	πρωτοφανές
空前	πρωτοφανή
大炮	κανόνια
大炮	κανόνι
大炮	πυροβολικό
明智	σοφοί
明智	σοφό
明智	σοφή
明智	σοφός
抽籤	κλήρωση
抽籤	σχεδίαση
抽籤	επιστήσω
抽籤	ισοπαλία
椅	καρέκλες
椅	πολυθρόνα
椅	καρέκλα
聖人	αγίων
聖人	άγιοι
聖人	αγία
聖人	αγιος
聖人	άγιος
阿瑟	arthur
阿瑟	άρθουρ
捕獲	σύλληψη
捕獲	αιχμαλωσία
捕獲	συλλαμβάνει
聽眾	ακροατής
聽眾	ακροατές
蒜	σκόρδο
居所	κατοικία
居所	διαμονής
居所	οικία
優點	πλεονεκτήματα
優點	πλεονέκτημα
思維	σκέψης
思維	σκέψη
計程車	ταξί
布魯塞爾	βρυξέλλες
布魯塞爾	βρυξελλών
失業	ανέργων
失業	άνεργοι
失業	άνεργος
失業	άνεργη
失業	ανεργία
失業	ανεργίας
砷	αρσενικό
天花	ευλογιά
昂貴	ακριβά
昂貴	ακριβή
昂貴	ακριβός
昂貴	ακριβό
大麻	κάνναβη
大麻	μαριχουάνα
大麻	φούντα
大麻	χόρτο
可疑	ύποπτο
可疑	καχύποπτος
小丑	τζόκερ
小丑	καραγκιόζης
小丑	κλόουν
抗生素	αντιβιοτικά
抗生素	αντιβιοτικό
抗生素	αντιβιοτικό
專營	franchises
專營	franchise
關島	γκουάμ
自轉	περιστροφή
大通	κυνηγητό
大通	τσέις
大通	καταδίωξη
破碎	σπασμένη
破碎	σπασμένα
破碎	σπασμένο
破碎	σπασμένος
語氣	τόνο
語氣	τόνος
老年	μεγαλύτερος
老年	μεγαλύτερη
老年	μεγαλύτερο
老年	παλαιότερη
隔離	απομόνωση
隔離	καραντίνα
隔離	διαχωρισμός
隔離	διαχωρισμό
隔離	απομονωμένος
隔離	απομονωμένο
隔離	απομονωμένα
隔離	απομονωμένη
砸	σπάσιμο
生病	άρρωστος
生病	άρρωστος
生病	άρρωστοι
生病	άρρωστη
生病	άρρωστο
中位數	διάμεση
中位數	διάμεσο
摔跤	πάλη
高爾夫球	γκολφ
證書	βεβαιώσεις
證書	πιστοποιητικά
證書	πιστοποιητικό
濟南	τζινάν
山脊	κορυφογραμμή
山脊	ριτζ
惡作劇	φάρσα
佈局	διαρρύθμιση
佈局	διάταξη
日產	nissan
拳擊	πυγμαχία
拳擊	μποξ
青蛙	βατράχια
青蛙	βάτραχος
青蛙	βάτραχο
面板	πάνελ
高效	αποτελεσματική
高效	αποτελεσματικό
高效	αποδοτικό
高效	αποδοτική
探險家	εξερευνητής
探險家	εξερευνητές
拖延	καθυστέρηση
拖延	καθυστερήσεις
拖延	καθυστέρηση
拖延	αναβλητικότητα
伴隨	συνοδεύει
伴隨	συνοδευτικά
伴隨	συνοδευτικό
骨灰	στάχτες
骨灰	στάχτη
骨灰	τέφρα
安息	rip
預留	προορίζεται
商家	έμπορος
商家	έμποροι
執照	άδειες
執照	άδεια
執照	αδεια
執照	δίπλωμα
執照	άδεια
煩惱	ιδιαιτερότητες
煩惱	ενοχλημένος
鮑威爾	πάουελ
脊椎動物	σπονδυλωτά
混合物	μίγμα
混合物	μείγμα
混合物	μείγματα
粉紅色	ροζ
軍營	στρατώνα
軍營	στρατώνες
先例	προηγούμενο
頸部	λαιμό
頸部	σβέρκο
頸部	λαιμός
脆弱	εύθραυστα
脆弱	εύθραυστη
脆弱	εύθραυστο
脆弱	ευάλωτη
脆弱	ευάλωτα
脆弱	ευάλωτος
脆弱	ευάλωτοι
脆弱	ευάλωτες
定制	προσαρμοσμένο
定制	προσαρμοσμένη
定制	συνήθεια
定制	έθιμο
定制	έθιμα
定制	προσαρμοσμένο
定制	προσαρμοσμένη
火花	σπίθα
火花	σπαρκς
火花	σπίθες
火花	σπίθα
脈衝	παλμοί
脈衝	παλμούς
脈衝	παλμός
脈衝	σφυγμός
脈衝	παλμό
莽	μανγκ
電器	συσκευές
客房	αίθουσες
客房	δωμάτια
協和	ομόνοια
伸展	τέντωμα
餐飲	τραπεζαρία
餐飲	τροφοδοσίας
餐飲	τροφοδοσία
