bitk	battles
komedija	comedy
sprejema	accepts
sprejema	adopts
gsub	gsub
promocijo	promotion
slabosti	weaknesses
device	virgo
device	virgins
device	maidens
preprosta	simple
unija	union
sky	sky
dnevni	daily
julia	julia
tanja	tania
tanja	tanya
tanja	tanja
predstavljen	featured
predstavljen	presented
beck	beck
obvezno	obligatory
obvezno	mandatory
obvezno	compulsory
june	june
svobodna	free
jose	jose
jose	josé
kraljico	queen
predniki	ancestors
colin	colin
razmišljanja	thinking
nameščena	installed
garda	guard
garda	garda
ločeni	separated
ločeni	divorced
ločeni	separate
suzuki	suzuki
dansko	danish
dansko	denmark
osebah	subjects
veriga	chain
hingis	hingis
reaktor	reactor
cleveland	cleveland
usoda	destiny
usoda	fate
učinkovita	efficient
učinkovita	effective
vesnina	vesnina
opisana	described
prizadevanja	efforts
prizadevanja	effort
bistvo	essence
nicholas	nicholas
poljubno	arbitrarily
fazo	phase
izpostavljenosti	exposure
talent	talent
podrejen	submissive
podrejen	subordinate
podrejen	subordinated
začetnik	beginner
amsterdam	amsterdam
gosti	guests
redir	redir
zelandija	zealand
jez	dam
party	party
dovoljenja	licences
dovoljenja	permits
dovoljenja	permissions
regij	regions
pozitiven	positive
galerije	galleries
dež	rain
institut	institut
nasledstvo	succession
nasledstvo	legacy
nasledstvo	inheritance
tovor	cargo
tovor	freight
razporeditev	distribution
razporeditev	layout
razporeditev	arrangement
vdova	widow
izbruh	outbreak
izbruh	eruption
izbruh	outburst
trikotnika	triangle
davenport	davenport
kocka	cube
nižja	lower
nenad	nenad
ledena	icy
stabilnost	stability
grobnice	tombs
slatina	slatina
krst	baptism
krst	christening
kongo	congo
kongo	conga
šiška	bangs
konflikt	conflict
arabci	arabs
uniči	destroy
uniči	ruin
uniči	destroys
razvito	developed
umetniška	artistic
mlajše	younger
anja	anja
anja	anya
lyon	lyon
breda	breda
možen	possible
založnik	publisher
morris	morris
zlatko	zlatko
zlatko	goldy
možje	husbands
možje	men
pripravljena	ready
pripravljena	prepared
označevanje	marking
označevanje	tagging
označevanje	labelling
fokker	fokker
jap	yup
jap	yep
steven	steven
eugene	eugene
firence	florence
avtorske	copyright
ron	ron
obstoječe	existing
veleposlanik	ambassador
ista	same
državljanstvo	nationality
državljanstvo	citizenship
usta	mouth
usta	mouths
memorial	memorial
uspešnosti	performance
ločuje	separating
poškodovana	injured
poškodovana	damaged
rolls	rolls
mas	mas
mas	masses
trideset	thirty
membrane	membrane
membrane	membranes
središčem	centred
meter	meter
mlado	young
vsebinsko	conceptual
vsebinsko	substantive
sous	sous
anti	anti
kazalo	index
situacijo	situation
wayne	wayne
lats	lats
osvoboditev	liberation
zasnova	design
pomorsko	maritime
howe	howe
pat	pat
hrvati	croats
zaloge	stocks
zaloge	supplies
zaloge	inventories
zaloge	stock
abeceda	alphabet
topovi	cannons
topovi	guns
zasede	ambush
mleka	milk
mag	magus
mag	mag
poletni	summer
uživanje	enjoyment
uživanje	enjoying
molitev	praying
molitev	prayers
molitev	prayer
prst	finger
prst	toe
blato	sludge
blato	mud
blato	stool
blato	faeces
blato	stools
postopno	gradual
postopno	gradually
postopno	progressively
postopno	progressive
isonzo	isonzo
navdih	inspired
navdih	inspiration
tabele	tables
abd	abd
študente	students
disertacijo	dissertation
luč	light
mehiški	mexican
aluminija	aluminium
gozdni	forest
bogovi	gods
kupolo	dome
razširjeno	extended
lambert	lambert
cele	whole
stavka	strike
izziv	challenge
vrhovno	supreme
inšpektor	inspector
siriji	syria
gledalci	spectators
gledalci	audience
gledalci	viewers
primerjalno	comparative
andrews	andrews
keith	keith
garcía	garcía
src	hearts
schneider	schneider
trdo	hard
čaj	tea
spartak	spartacus
odpoved	quit
odpoved	quitting
odpoved	resignation
spominskega	votive
vzorce	samples
divji	wild
beach	beach
upokojeni	retired
odgovorna	responsible
stanovanje	flat
stanovanje	apartment
posode	dishes
posode	vessels
posode	containers
razglasila	declaring
piero	piero
načrti	blueprints
načrti	plans
jeff	jeff
baz	bases
baz	baz
murphy	murphy
vesel	glad
vesel	merry
omembe	mentioning
omembe	mentions
bezirk	bezirk
dostopen	accessible
suhi	dry
suhi	skinny
odgovoril	replied
odgovoril	answered
spredaj	front
sašo	grayson
luca	luca
pisem	letters
lepe	beautiful
uspehov	successes
uspehov	success
smiles	smiles
razdeli	split
razdeli	divide
pozdrav	greetings
pozdrav	salute
pozdrav	greeting
suverenosti	sovereignty
isaac	isaac
dem	dem
siva	gray
siva	grey
izdelava	manufacture
izdelava	manufacturing
trenutek	moment
oltarja	altar
obrobju	periphery
obrobju	outskirts
gaj	gaius
gaj	caius
bank	bank
sinonim	synonym
sestri	sisters
prid	favor
prid	favour
delce	particles
kupola	dome
sekunde	seconds
rossi	rossi
rona	ron
auflage	auflage
psihologijo	psychology
charlie	charlie
obsežne	extensive
bron	bronze
državljani	citizens
državljani	nationals
poliedrov	polyhedra
walther	walther
komandant	commandant
weber	weber
leonardo	leonardo
prepovedano	forbidden
prepovedano	prohibited
esejist	essayist
linux	linux
kritiko	criticism
razlogi	reasons
razlogi	reason
moderno	modern
bolečino	pain
voditelji	leaders
jedrski	nuclear
hamburg	hamburg
cruz	cruz
vožnjo	ride
vožnjo	driving
poln	full
div	div
iranu	iran
mitologija	mythology
drugačna	different
oddaj	shows
teologijo	theology
zmesi	mixtures
razglašen	proclaimed
alma	alma
juels	juels
slišal	heard
verjeli	believed
odhod	departure
odhod	leaving
koža	skin
proizvajalci	producers
proizvajalci	manufacturers
odvisnost	dependence
odvisnost	dependency
odvisnost	addiction
dick	dick
theodore	theodore
renesančni	renaissance
royce	royce
jupiter	jupiter
kotel	boiler
kotel	cauldron
wade	wade
nemudoma	immediately
krogla	sphere
krogla	bullet
prepričal	convinced
aero	aero
klopi	ticks
klopi	benches
klopi	bench
vredno	worth
konvencija	convention
mad	mad
šef	boss
delitve	divisions
absolutno	absolutely
absolutno	absolute
poraba	spending
poraba	consumption
žleze	glands
žleze	gland
zadetkov	hits
merila	criteria
desetletju	decade
jajca	eggs
jajca	balls
pretirano	exaggerated
pretirano	excessively
pretirano	excessive
nord	nord
zemljišča	land
zemeljskega	earthy
povezovanje	networking
povezovanje	integration
povezovanje	linking
povezovanje	connecting
prizori	scenes
globine	depths
izvajati	implement
nedvomno	undoubtedly
botanik	botanist
odkrit	discovered
koles	bicycles
col	col
flote	fleet
flote	fleets
kandidata	candidates
kandidata	candidate
venec	wreath
dvojna	double
frankov	francs
križišče	intersection
križišče	junction
križišče	crossroads
igralce	players
england	england
palice	bars
palice	sticks
palice	clubs
palice	wands
palice	rods
ločila	punctuation
moška	men
moška	male
puščava	desert
zmožnost	capability
zmožnost	ability
harvey	harvey
metka	gretel
metka	bullet
podpis	signing
podpis	signature
melodije	melodies
melodije	tunes
neapelj	naples
vzorca	samples
larry	larry
obrambno	defensive
termin	term
termin	appointment
obrne	turns
robin	robin
lesena	wooden
lesena	wood
datotek	files
samodejno	auto
samodejno	automatic
samodejno	automatically
kvartet	quartet
wallace	wallace
preprečili	averted
posebnosti	particularities
posebnosti	specificities
posebnosti	specificity
pozitivni	positive
antike	antiquity
nedavno	recently
nedavno	recent
piramida	pyramid
vesoljska	space
ricardo	ricardo
eur	eur
žagar	jigsaw
katedrale	cathedrals
zvočni	audible
slava	fame
slava	glory
madžari	hungarians
odločno	strongly
sočasno	concurrent
sočasno	simultaneous
sočasno	simultaneously
moto	motto
moto	moto
duševno	mental
duševno	mentally
allan	allan
ekip	teams
lokacijo	location
valovi	waves
zvezno	federal
populacija	population
dokazati	demonstrate
zamenjava	swap
zamenjava	substitution
zamenjava	replacement
kače	snakes
kače	snake
skoki	jumps
skoki	jumping
delavce	workers
odposlancev	emissaries
napadalec	attacker
napadalec	assailant
srbijo	serbia
čustveno	emotional
čustveno	emotionally
saturn	saturn
encima	enzyme
verjame	believes
tokio	tokyo
dream	dream
germain	germain
matt	matt
nasledniki	successors
pérez	pérez
slovenia	slovenia
alexandre	alexandre
centralne	central
oscar	oscar
ronnie	ronnie
uefa	uefa
monarhija	monarchy
vlaken	fibre
preprečil	foiled
mansell	mansell
propad	doom
propad	collapse
turistične	tourist
ngc	ngc
clarke	clarke
krona	crown
uran	uranium
uran	uranus
zimonjić	zimonjić
celično	cellular
resnica	true
resnica	truth
bruhanje	vomit
bruhanje	vomiting
arheologi	archaeologists
arheologi	archeologists
pripadal	belonged
dodana	added
menihi	monks
funtov	quid
funtov	pounds
odziva	responding
odziva	response
tesla	tesla
sloj	layer
padli	fallen
viktorija	victoria
akcija	action
tiska	press
razglašena	proclaimed
ščiti	protects
ščiti	shields
vickers	vickers
luknje	holes
waffen	waffen
presega	exceeds
game	gamma
vladanje	reign
andre	andre
andre	andré
ban	ban
izračuna	calculates
opredeljuje	defines
ema	emma
ema	ema
doktorat	doctorate
doktorat	phd
listina	charter
pljuč	lung
pljuč	lungs
nasprotnikov	opponents
okoliščine	circumstance
okoliščine	circumstances
altlink	altlink
krizo	crisis
silver	silver
léon	léon
planine	mountains
navzven	externally
agent	agent
vstaja	uprising
vstaja	insurrection
vzpostavitev	establishment
priznana	recognised
priznana	acknowledged
priznana	recognized
upokojen	retired
pre	pre
kalibra	calibre
jason	jason
guillaume	guillaume
danny	danny
skrajno	extreme
ravna	flat
instrument	instrument
delec	fragment
delec	particle
negativna	negative
konzulat	consulate
učitelji	teachers
izkoristek	efficacy
izkoristek	efficiency
zatočišče	shelter
zatočišče	sanctuary
zatočišče	refuge
brod	brod
zaposlitve	jobs
zaposlitve	employment
sivo	gray
sivo	grey
sod	barrel
sod	cask
prizor	scene
vlakna	fibre
vlakna	fibers
vlakna	fiber
vlakna	fibres
izdelani	fabricated
keramike	ceramics
tarča	target
panis	panis
arizona	arizona
razpadla	disintegrated
zmogljivosti	capacities
zmogljivosti	capacity
zmogljivosti	capabilities
spektra	spectrum
santo	santo
dvoboj	duel
objavlja	publishes
liverpool	liverpool
meč	sword
upanje	hope
grumman	grumman
avtomobilska	automotive
indeks	index
spoštovanje	respect
chapelle	chapelle
arheološki	archeological
arheološki	archaeological
kraški	karst
definira	defines
eksplozije	explosion
eksplozije	explosions
demokratična	democratic
marin	marin
preostale	remaining
razvite	developed
moralno	morally
moralno	moral
negativni	negative
razni	miscellaneous
kalif	caliph
zadovoljstvo	satisfaction
zadovoljstvo	pleasure
predpisi	regulations
predpisi	rules
usmerjeno	directed
delovalo	worked
hribi	mountains
hribi	hills
oblačil	clothing
administrator	administrator
klasifikacija	classification
nosila	stretcher
licenca	licence
licenca	license
ska	ska
tisoče	thousands
ločitev	divorce
ločitev	separation
meritev	measurements
meritev	measurement
mine	mines
spopadov	confrontations
patent	patent
opiše	describes
organizacijske	organisational
župnijo	parish
glive	fungi
tommy	tommy
obiskala	visited
bra	bra
videm	udine
težavah	difficulty
doris	doris
primerni	suitable
auf	auf
hawker	hawker
tower	tower
odvisni	dependent
dodajanje	addition
dodajanje	adding
dodajanje	add
serena	serena
potrebovali	needed
običajna	usual
običajna	normal
vroče	hot
por	leeks
por	leek
komercialni	commercial
trio	trio
manjšine	minority
manjšine	minorities
premiera	premiere
zime	winters
duhovni	spiritual
erwin	erwin
mišica	muscle
sredozemlju	mediterranean
algoritem	algorithm
preberite	read
posamezno	individually
posamezno	individual
ulrik	ulrik
kmetije	farms
možni	possible
hudson	hudson
ohranjeno	preserved
doherty	doherty
blake	blake
zlom	breaking
zlom	fracture
razglasi	declares
razglasi	declare
jezo	anger
suhoj	sukhoi
geometrija	geometry
geometrija	geometric
iraku	iraq
strategije	strategies
ogljik	carbon
elektro	electro
sekundarni	secondary
preboj	breakthrough
človeška	human
novosti	novelty
novosti	innovations
novosti	updates
oklep	armor
oklep	armour
obsežna	extensive
obsežna	ample
zaščitna	protective
ugotovitve	observations
ugotovitve	findings
leseni	wooden
geografski	geographic
barvni	color
barvni	colour
otroštva	childhood
definicije	definitions
pastir	shepherd
odkrivanje	detection
pravoslavne	orthodox
samostojnost	autonomy
samostojnost	independence
razcvet	flourish
enrico	enrico
sinove	sons
industrijska	industrial
putnam	putnam
standardna	standard
encimi	enzymes
dassault	dassault
loke	arches
loke	bows
nmi	nmi
teamb	teamb
tokovi	currents
tokovi	flows
platon	plato
lisica	fox
kalcijev	calcium
pogovori	talks
pogovori	conversations
pogovori	interviews
pogovori	talk
nazionale	nazionale
vmesnik	interface
jajčeca	eggs
valle	valle
languedoc	languedoc
dramatikov	playwrights
pištola	pistol
pištola	gun
regionalni	regional
richardson	richardson
razširjeni	enlarged
razširjeni	extended
razširjeni	expanded
prihodnje	future
prijateljstvo	friendship
kancler	chancellor
alternative	alternative
alternative	alternatives
industries	industries
pozni	late
pogledi	views
magnus	magnus
sorodniki	cousins
sorodniki	relatives
podjetnik	entrepreneur
policist	officer
policist	policeman
bradley	bradley
mostovi	bridges
marseille	marseille
marseille	marseilles
lastna	own
posredovanje	transmission
posredovanje	forwarding
posredovanje	mediation
posredovanje	intervention
zaključek	completion
zaključek	closure
zaključek	conclusion
razstavi	exhibition
lucas	lucas
gibson	gibson
terme	spa
terme	terme
moon	moon
organizirano	organised
organizirano	organized
dama	lady
dama	dame
jezikovno	linguistic
jezikovno	language
nadal	nadal
ščit	shield
achille	achille
hčere	daughters
dodekaeder	dodecahedron
programiranje	programming
izpostavljenost	exposure
biološki	biological
#ffcc	#ffcc
perzijci	persians
powell	powell
utrdbo	fort
mdr	mdr
ted	ted
fam	fam
imenovanja	appointments
emilio	emilio
slab	bad
nature	natura
izbris	deletion
izbris	deleting
izbris	cancellation
izbris	delete
biologijo	biology
roku	roku
dedek	grandpa
dedek	grandfather
đoković	djokovic
ustavil	stopped
alpinist	mountaineer
opremljen	equipped
epizode	episodes
epizode	episode
izidi	outcome
izidi	results
fisher	fisher
puščave	deserts
porto	porto
označen	tagged
realno	real
realno	realistic
trinajst	thirteen
virusi	virus
virusi	viruses
snega	snow
snega	snowfall
mach	mach
leteči	flying
hitra	fast
reynolds	reynolds
ureditve	arrangements
priporoča	recommends
ekonomska	economic
zastrupitve	poisoning
warren	warren
komunikacija	communication
rick	rick
commons	commons
alkohol	liquor
alkohol	alcohol
soustanovitelj	cofounder
kras	crassus
kras	kras
terry	terry
osebje	personnel
osebje	staff
zbrane	collected
zbrane	gathered
jelka	tree
izvajalci	operators
izvajalci	contractors
izvajalci	performers
mile	mile
toto	toto
rolling	rolling
dodatki	additives
dodatki	bonuses
dodatki	supplements
dodatki	accessories
dodatki	appendices
mass	mass
dušo	soul
bih	bih
simetrija	symmetry
lakote	starvation
lakote	hunger
bertrand	bertrand
zaščitena	protected
kvalifikacije	qualifying
kvalifikacije	qualifications
kvalifikacije	qualification
pari	couples
pari	pairs
pari	pari
irana	iran
turbina	turbine
aktivist	activist
dominik	dominik
augusta	augusta
sen	sen
hrbet	back
chaplin	chaplin
bach	bach
skriva	hiding
televizija	television
osvojitev	conquest
rena	rhine
rena	reno
benečani	venetians
poj	sing
gena	gena
deveto	ninth
pomanjkljivosti	shortcomings
pomanjkljivosti	deficiencies
pomanjkljivosti	defects
pomanjkljivosti	weaknesses
člena	article
upravnik	manager
upravnik	warden
gilles	gilles
uspešnica	bestseller
resnico	truth
strup	venom
strup	poison
ignacij	ignatius
preživi	survive
preživi	survives
živčni	nervous
novinarjev	journalists
geoffrey	geoffrey
zadaj	back
zadaj	rear
opisi	descriptions
predavanj	lectures
patrese	patrese
poskusil	tried
pooblastila	endorsements
pooblastila	powers
pooblastila	mandate
guido	guido
violinist	violinist
udeležili	attended
najmanjša	minimum
metalec	launcher
metalec	pitcher
kneževine	principalities
navade	habits
navade	habit
con	con
vittorio	vittorio
religija	religion
častniki	officers
pravokotno	perpendicular
pravokotno	rectangular
groba	rough
groba	grave
seme	semen
seme	seeds
seme	seed
verigo	chain
izboljša	improves
izboljša	improve
poznavanje	familiarity
poznavanje	knowledge
duncan	duncan
hansen	hansen
predvideva	anticipates
horst	horst
poznano	familiar
ujel	caught
preiskave	investigation
preiskave	inquiries
preiskave	investigations
štirinajst	fourteen
nameščeni	installed
dramo	drama
jürgen	jürgen
jürgen	jurgen
bin	bin
minute	minutes
gerard	gerard
uničiti	destroy
identiteto	identity
mehansko	mechanically
mehansko	mechanical
izjavo	statement
poštna	postal
police	policies
police	shelves
smole	resins
thierry	thierry
organizacijsko	organisational
demokratične	democratic
dano	given
demokracije	democracies
klobuk	hat
photo	photo
uspehi	successes
izobraževalno	educational
greene	greene
varuje	protects
pierce	pierce
japonci	japanese
objavljeni	published
nikdar	never
elektroni	electrons
predala	surrendered
škotske	scotland
škotske	scottish
leona	leona
robertson	robertson
postavljeno	raised
budistični	buddhist
potniški	passenger
zavira	inhibits
sonja	sonja
umetni	artificial
glavobol	headaches
glavobol	headache
angeli	angels
članstvo	membership
bruselj	brussels
razmišljanje	thinking
razmišljanje	contemplation
umetne	artificial
prisilil	forced
misijonar	missionary
sesalcev	mammalian
julie	julie
širitev	enlargement
širitev	expansion
legend	legends
legend	legend
malmö	malmö
dimenzije	dimensions
volji	mood
oblikovan	shaped
oblikovan	formulated
porta	porta
ayrton	ayrton
klein	klein
zob	tooth
cesarica	empress
domovina	motherland
domovina	homeland
domovina	fatherland
wiener	wiener
petja	chanting
petja	singing
opisan	described
lennon	lennon
vijak	screw
žita	grain
žita	cereals
podaljšana	extended
podaljšana	prolonged
podaljšana	elongated
prispel	arrived
kde	kde
christoph	christoph
spencer	spencer
dar	dar
marta	marta
marta	martha
sadje	fruit
sadje	fruits
jevgenij	yevgeny
presenetljivo	surprisingly
presenetljivo	surprising
trditve	assertions
trditve	claims
trditve	allegations
trditve	arguments
avtomobilski	automotive
čop	ponytail
tujino	abroad
sara	sarah
sara	sara
nizki	low
plodovi	fruits
priljubljeno	popular
priljubljeno	favourite
priljubljeno	trending
priljubljeno	favorite
dale	dale
jay	jay
jarek	trench
jarek	moat
jarek	ditch
premera	diameter
kampanje	campaigns
kampanje	campaign
zasnovana	designed
doseženo	reached
doseženo	accomplished
doseženo	achieved
simbolizira	symbolises
simbolizira	symbolizes
posamezna	individual
motive	motives
rjavo	brown
stosur	stosur
dukla	dukla
izjemen	exceptional
prehrani	nutrition
nielsen	nielsen
obremenitev	load
obremenitev	loading
obremenitev	debit
roll	roll
čelo	forehead
čelo	cello
zavrne	refuses
zavrne	refuse
zavrne	reject
tekmovanj	competitions
pojave	phenomena
odpovedi	cancellations
gašper	henry
lola	lola
slavi	glory
lesen	wooden
sklical	convened
blog	blog
jpl	jpl
ettore	ettore
vrtovi	gardens
potrjuje	confirms
vožnje	driving
eugen	eugen
imunski	immune
danijel	daniel
stresa	stress
einstein	einstein
linz	linz
simone	simone
castro	castro
senator	senator
vincenzo	vincenzo
podružnica	subsidiary
podružnica	branch
izpostavljeni	exposed
podvozje	chassis
kmečka	peasant
betty	betty
ilustracije	illustrations
križišču	intersection
križišču	crossroads
kirche	kirche
alabama	alabama
odstranjevanje	disposal
odstranjevanje	removing
odstranjevanje	removal
zaman	vain
prefekt	prefect
giulio	giulio
siegfried	siegfried
sodobnost	modernity
posmrtno	posthumously
bomba	bomb
bomba	bombshell
scene	scenes
navidezni	apparent
navidezni	virtual
neill	neill
skorje	crusts
mera	rate
sulfat	sulphate
sulfat	sulfate
tito	tito
izdelane	manufactured
izmenjavo	exchange
deseti	tenth
infrastrukture	infrastructures
dim	dim
dim	smoke
obred	ceremony
obred	ritual
veronika	veronika
veronika	veronica
skale	rocks
označeno	tagged
označeno	marked
ukinjena	abolished
catherine	catherine
razlage	interpretations
razlage	explanations
odkrito	honestly
medicinsko	medical
realna	realistic
mejah	borders
puščavi	desert
zajec	rabbit
vezan	bound
pripadnost	affiliation
pripadnost	belonging
zheng	zheng
stojan	stojan
twin	twin
disciplina	discipline
soproga	spouse
soproga	wife
dorothy	dorothy
teoretik	theorist
lars	lars
malta	malta
cona	zone
zaupanje	confidence
zaupanje	trust
široki	wide
konstruktor	constructor
prejeti	receive
prejeti	received
izginila	vanished
izginila	disappear
izginila	disappeared
primerjavo	comparison
primerjavo	comparing
diska	disc
zgleda	looks
garcia	garcia
haas	haas
vrhovi	peaks
testiranje	testing
selena	selenium
selena	selena
navdušen	impressed
navdušen	excited
navdušen	delighted
nakup	purchase
nakup	buy
nakup	buying
bishop	bishop
brauchitsch	brauchitsch
modrosti	wisdom
nacional	nacional
cepivo	vaccine
ozračje	atmosphere
gospodarstvu	holding
kocke	cubes
kocke	dice
curtis	curtis
hladno	cold
sls	sls
ocenjuje	evaluates
ocenjuje	assesses
prvenec	debut
čebele	bees
pruski	prussian
encimov	enzymes
sud	sud
sužnji	slaves
rgb	rgb
ravnotežje	balance
ravnotežje	equilibrium
zbrani	gathered
desetletij	decades
zmanjšati	reduce
jamie	jamie
baranja	baranja
spore	spores
spore	disputes
minuto	minute
pojasnjuje	explains
pastor	pastor
piper	piper
ust	mouth
ust	mouths
ponatis	reprint
makarova	makarova
telefon	phone
telefon	telephone
razmnoževanje	multiplication
razmnoževanje	reproduction
pojasnil	explained
priznan	recognised
priznan	acknowledged
priznan	recognized
urbana	urban
sio	sio
lah	lah
figura	figurehead
kovanci	coins
kovanci	coin
mrkos	mrkos
možgani	brain
možgani	brains
marcello	marcello
kontrole	controls
prazen	empty
prazen	blank
usposabljanja	training
usposabljanja	trainings
omenil	mention
stroji	machinery
stroji	machines
izboljšati	improve
foster	foster
organizirana	organised
organizirana	organized
turnbull	turnbull
dean	dean
junaki	heroes
poteze	moves
premikanje	moving
premikanje	movement
vreden	worth
vreden	worthy
ujetništvu	captive
ujetništvu	captivity
storia	storia
čevljev	shoes
železnico	railroad
povabilo	invite
povabilo	invitation
rotor	rotor
protokol	protocol
protipapež	antipope
prepovedi	prohibitions
prepovedi	ban
prepovedi	bans
nizek	low
kronanje	coronation
kronanje	crowning
žogo	ball
hodi	walking
hodi	walk
martini	martini
pisatelji	writers
pel	sang
hčerki	daughters
duhovne	spiritual
romain	romain
temna	dark
hollywood	hollywood
pekingu	beijing
zidovi	walls
šesta	sixth
kentucky	kentucky
lepi	beautiful
lepi	handsome
chiron	chiron
sonata	sonata
zaposlene	employees
istván	istván
jelen	deer
houston	houston
sullivan	sullivan
geolog	geologist
centralno	central
centralno	centrally
ohrani	preserve
ohrani	keep
ohrani	maintain
sanj	dreams
sigismund	sigismund
michaela	michaela
dram	dram
dram	drams
farra	farra
antibiotiki	antibiotics
leseno	wooden
leseno	wood
petrov	petrov
gene	gene
skrivaj	secretly
trupa	torso
označeni	tagged
označeni	marked
sporno	contentious
sporno	disputed
sporno	controversial
subjekt	subject
subjekt	entity
apr	apr
leslie	leslie
kuga	plague
žile	veins
daljnogled	binoculars
daljnogled	telescope
specifični	specific
rane	wound
rane	wounds
trdne	solid
kac	kac
kupole	domes
profesionalno	professional
profesionalno	professionally
branilec	defender
valentina	valentina
valentina	valentino
švico	switzerland
plesni	mould
plesni	moulds
plesni	mold
obrti	crafts
akt	act
spremljanje	monitoring
spremljanje	monitor
demokracija	democracy
wang	wang
hmcs	hmcs
leipzig	leipzig
stefano	stefano
dežja	rain
okrogle	round
nika	nika
nika	nica
uporabljeno	used
four	four
zaposlena	employed
zaposlena	busy
oxfordu	oxford
čista	pure
biološke	biological
zmaja	kite
deseto	tenth
flora	flora
nevarna	dangerous
nevarna	hazardous
ante	ante
montgomery	montgomery
barja	marshes
pekel	hell
pekel	inferno
pekel	hells
obstajal	existed
trgovanje	trade
trgovanje	trading
epizoda	episode
ran	wounds
aluminij	aluminium
aluminij	aluminum
flota	fleet
kanadsko	canadian
akademski	academic
popotnik	traveler
popotnik	traveller
popotnik	wanderer
moment	moment
semen	seeds
standardi	standards
garden	garden
težavo	problem
brezplačno	free
kandidatov	candidates
televizijo	television
glenn	glen
glenn	glenn
marussia	marussia
odkrita	discovered
odkrita	detected
obraza	face
produkti	products
fjodorovič	fyodorovich
magister	magister
berry	berry
željko	željko
železna	iron
razkol	schism
strehe	roofs
strehe	rooftops
strehe	roof
zastrupitev	poisoning
gas	gas
niki	nicki
niki	niki
oak	oak
rojene	born
prusija	prussia
polobli	hemisphere
zaprti	closed
testi	tests
rušilcev	destroyers
verstappen	verstappen
brien	brien
shimizu	shimizu
zdravi	healthy
pariški	paris
pariški	parisian
madison	madison
delle	delle
privrženci	followers
operator	operator
pasme	breed
pasme	breeds
stabilen	stable
cat	cat
klinični	clinical
grafični	graphic
oddaljeno	distant
oddaljeno	remote
kemična	chemical
spremenjena	modified
spremenjena	amended
cerro	cerro
enotnost	unity
prometni	traffic
globalno	globally
globalno	global
opozorilo	warning
katerikoli	any
avtoceste	highways
avtoceste	motorway
avtoceste	motorways
avtoceste	freeways
redna	regular
darilo	gift
jorge	jorge
potomcev	offspring
euler	euler
aretiran	arrest
aretiran	arrested
harper	harper
uporniki	insurgents
uporniki	rebels
sloves	renown
sloves	reputation
