mtv	mtv
symfoni	симфонічний
symfoni	симфонія
phillips	філліпс
gata	стріт
gata	вулиця
powell	павелл
samsvar	стандарту
scotland	шотландія
scotland	шотландії
albumene	альбомів
albumene	альбоми
klatre	сходження
klatre	лазити
klatre	підйом
klatre	лізти
personlighet	особистість
tidsskrifter	журнали
oberstløytnant	полковнику
oberstløytnant	полковник
oberstløytnant	підполковник
sjanse	шанс
sjanse	вірогідність
stanset	зупинено
stanset	зупинили
stanset	зупинився
stanset	зупинка
sakte	повільно
halve	пів
halve	півтори
halve	половина
halve	половину
halve	наполовину
skritt	крок
skritt	кроком
skritt	кроків
skritt	кроки
castilla	кастилія
organisk	органічні
organisk	органічне
hundrevis	сотні
amanda	аманда
søsteren	сестра
paulsen	паульсен
bratt	круті
rot	безлад
rot	засмічує
rot	root
rot	корінь
palmer	палмер
jennifer	дженніфер
kjerne	основний
kjerne	core
kjerne	ядро
kjerne	ядро
kjerne	ядра
dømte	засуджений
dømte	засудили
dømte	судом
opplevd	досвідчений
opplevd	досвідчені
opplevd	досвідченого
opplevd	досвідчених
made	зробила
made	made
skuespillerinnen	актриса
skuespillerinnen	акторка
tjue	двадцять
tjue	двадцяти
eksport	експорт
eksport	експортувати
sonja	соня
institut	institut
institut	інститут
roskilde	роскілле
mozart	моцарта
mozart	моцарт
opprettholdt	збережена
names	назви
names	імена
leon	леон
mater	матер
mater	сирник
mater	годують
mater	годування
jenny	дженні
tsjekkiske	чеською
tsjekkiske	чеської
tsjekkiske	чеська
tsjekkiske	чех
prinsen	принц
prinsen	принца
prinsen	князь
skulpturer	скульптура
skulpturer	скульптури
brekke	break
brekke	перерва
brekke	розбити
brekke	розрив
brekke	перерви
brekke	порушення
grey	сіра
grey	сірий
grey	грей
valencia	валенсія
egenskap	риса
pastor	пастор
forandringer	зміни
innsiden	inside
innsiden	всередині
bryst	грудне
bryst	груди
bryst	грудей
pike	щука
pike	пайк
analyser	аналізувати
analyser	проаналізувати
analyser	аналізувати
analyser	вивчено
hersket	керували
sørger	траур
sådan	такі
sektor	сектор
krysse	хрест
krysse	хрестик
krysse	крос
låt	конкурс
låt	пісня
metamorfose	метаморфоз
strukturer	структури
strukturer	структур
strukturer	конструкції
montana	монтана
serbiske	сербська
presenterer	знайомтесь
ghana	гани
tallinn	таллін
stafetten	естафета
rapporter	повідомити
rapporter	скарга
rapporter	звіт
rapporter	звітів
rapporter	звіти
romantisk	романтик
romantisk	романтична
romantisk	романтичний
romantisk	романтичні
kosovo	косова
kosovo	косово
mind	mind
mind	розум
avansert	додатковий
avansert	додаткові
avansert	додаткове
avansert	розширений
avansert	додатково
henviser	посилається
henviser	дотримуйтесь
henviser	зверніться
komponerte	створення
tórshavn	торсгавн
begrense	обмежити
begrense	обмеженням
please	please
please	прошу
biologi	біологія
biologi	біології
søstre	сестрички
søstre	сестри
bestemmelser	статут
bestemmelser	постанов
munnen	рот
munnen	рота
verdensbasis	worldwide
cameron	кемерон
rasende	форсаж
ofre	жертв
ofre	жертви
ofre	жертвами
ofre	постраждалих
ofre	постраждалим
siri	сірі
isle	острів
isle	іль
kjøper	покупець
kjøper	покупця
kjøper	купівлю
kjøper	купівля
kjøper	купувати
uka	тиждень
offer	жертв
offer	жертви
offer	жертвами
offer	постраждалих
offer	постраждалим
offer	жертва
offer	жертви
fana	фана
hanna	ганна
hanna	ханна
hanna	hanna
avhenger	залежить
avhenger	правильніше
pat	пет
pat	пат
holmes	холмс
vedbukker	ляміїни
columbus	колумб
leonardo	леонардо
inkludere	включення
inkludere	включити
inkludere	включати
besøke	відвідання
besøke	візит
besøke	завітати
besøke	відвідайте
besøke	відвідування
væske	рідина
væske	рідкий
væske	рідини
væske	рідина
graf	граф
graf	графіка
graf	графік
materiell	матеріал
materiell	матеріали
materiell	матеріали
suite	комплект
falske	false
stora	stora
sichuan	сичуань
aksel	аксель
ulrich	ульріх
fekter	фехтувальниця
fekter	мечем
spirit	колорит
spirit	дух
spirit	spirit
marsjerte	піднявся
odin	одін
variasjon	варіант
variasjon	варіація
variasjon	різноманітність
variasjon	сорти
variasjon	різноманітності
mrs	пані
macao	макао
macao	макао
spesialisert	спеціалізовані
spesialisert	спеціалізована
skatter	скарб
skatter	скарби
skatter	податки
plasseringen	розміщення
plasseringen	розташування
skillet	судження
harvey	гарві
harvey	харві
sosiologi	соціологія
stipend	стипендії
stipend	стипендію
moses	мойсей
kairo	каїр
veiledning	посібник
veiledning	провідник
veiledning	путівник
veiledning	гід
begrensninger	обмеження
begrensninger	обмежень
begrensninger	обмеження
begrensninger	границі
begrensninger	межі
begrensninger	обмеження
atferd	поведінка
atferd	поведінка
padling	мілину
bakterier	бактерії
hand	кисть
hand	хенд
hand	правиця
hand	рука
hand	руку
logo	логотип
miami	miami
miami	маямі
kalender	календар
komposisjon	будова
komposisjon	композиція
dekk	шини
dekk	обкладинку
dekk	cover
dekk	обкладинка
dekk	обкладинки
dekk	корму
dekk	колоди
dekk	колоду
bomber	бомб
bomber	бомби
portretter	портрети
innspill	вхідний
innspill	вхідні
innspill	ввід
haiti	гаїті
utløste	спричинили
spesifikt	конкретних
spesifikt	певне
spesifikt	конкретні
spesifikt	спеціально
spesifikt	конкретно
uttrykt	висловив
uttrykt	висловили
pilot	pilot
pilot	пілот
mats	потихеньку
sint	сінт
sint	злий
sint	агресивний
sint	злість
sint	божевільна
sint	скажений
sint	mad
sint	скажені
iranske	іранське
kreta	крит
ønskelig	бажану
ønskelig	бажаного
ønskelig	бажано
child	дитя
child	дитяче
child	дитяча
child	дитина
child	нащадок
progressiv	прогресивна
progressiv	прогресивний
progressiv	прогресивні
progressiv	тривалий
lært	вивчили
lært	навчився
lært	вивчив
lært	навчилися
luke	люк
bratte	круті
peters	петерс
jules	жуль
elseif	elseif
rammer	кадри
rammer	блоки
rammer	рамки
kapital	капітал
kapital	столиця
kamera	камера
kamera	фотоапарат
kamera	камери
gibraltar	гібралтар
fullføre	завершене
fullføre	завершити
fullføre	повний
fullføre	завершення
fullføre	завершений
maine	мен
roberto	роберто
distribusjon	розподіл
augusta	августа
xiii	xiii
placid	плесід
ankomst	прихід
ankomst	приїзд
ankomst	прибуття
ankomst	ета
ankomst	прибуття
høgskole	коледж
høgskole	коледжі
høgskole	внз
skriv	записати
skriv	напишіть
skriv	пишіть
skriv	виписати
skriv	написати
skriv	типу
skriv	тип
fyret	маяк
trives	процвітають
hamsun	гамсун
babylon	вавилон
fett	жирний
fett	жиру
fett	жирна
fett	жири
betaling	отримання
betaling	сплата
betaling	оплати
betaling	оплата
betaling	платіж
betaling	сплати
betaling	сплати
betaling	платежі
roosevelt	рузвельт
blokkering	блокування
blokkering	блокувати
blokkering	блок
blokkering	заблокувати
vilkår	умови
vilkår	умовами
vilkår	терміни
vilkår	умови
bølger	хвилі
bølger	хвилями
gerd	герд
masters	магістри
palass	палац
eine	eine
banker	береги
banker	банків
banker	банки
begått	вчинив
begått	скоїв
milton	мілтон
ruta	маршрут
problematisk	проблемних
forsiktig	обережно
forsiktig	обережні
forsiktig	обережним
forsiktig	обережними
forsiktig	обережніше
forsiktig	ніжно
gyldig	чинного
gyldig	дійсний
gyldig	чинний
gyldig	чинну
leire	глина
leire	клей
trekkspill	акордеон
tykk	жирна
tykk	товстий
tykk	товста
tykk	густе
talsmann	представника
naval	морська
vanskeligheter	складності
vanskeligheter	складність
vanskeligheter	труднощі
kontroversielle	фасаді
lin	лінь
kraften	примусово
kraften	примусити
kraften	сила
kraften	force
nba	нба
fylte	заповнений
fornuftig	зрозуміле
kanter	краї
bestefar	дідусь
bestefar	дідусь
bestefar	дід
bestefar	дідуся
sony	sony
beskrivelsen	опис
mesa	меса
sevilla	севілья
sevilla	севільї
innspilling	запис
forklart	пояснив
forklart	пояснила
trygg	сейф
trygg	безпечний
trygg	безпечно
handle	крамниця
handle	магазин
handle	діяти
handle	акт
heidi	гайді
vern	верн
princeton	princeton
sitat	цитати
sitat	цитата
sitat	цитування
register	зареєструватись
register	зареєструвати
register	регістр
register	реєстрація
knight	лицар
vegas	вегасі
vegas	вегас
bla	бла
bla	ля
aristoteles	арістотель
temperaturer	температури
temperaturer	температура
avløst	полегшення
lovlig	правові
lovlig	правова
lovlig	юридична
lovlig	юридичні
lovlig	юридичний
rovers	волоцюги
beslutning	рішенням
beslutning	рішення
sainte	сент
bengt	бенгт
yuan	юань
six	шість
six	шестеро
ward	палаті
kjære	сонечко
kjære	мед
kjære	голубе
speed	швидкість
creek	крік
creek	струмок
cole	коул
troll	троль
troll	тролі
peak	пік
varierte	parus
sukker	цукор
note	зауваження
note	примітки
note	зауважте
note	примітка
note	нота
ide	ide
ide	idea
ide	ідея
ide	ідею
behandler	опрацювання
behandler	обробки
behandler	обробку
behandler	обробка
behandler	трактує
behandler	ставиться
ensemble	хоткевича
ensemble	ансамбль
disk	диск
disk	диску
skall	оболонка
skall	оболонки
flying	польоту
angi	комплект
angi	встановити
angi	набір
angi	встановлено
angi	множина
angi	ввести
angi	увійти
angi	введіть
angi	enter
hoppe	стрибати
hoppe	перехід
hoppe	стрибок
hoppe	перейти
geologi	геологія
seattle	seattle
geologiske	геологічні
hjul	кермо
hjul	колесо
hjul	колеса
beskrivelser	описи
prinsipp	принцип
prinsipp	засади
prinsipp	принципи
delhi	делі
landevei	шосе
fiende	ворог
fiende	розрізнити
østlig	східна
østlig	східної
østlig	східні
pensjon	пенсія
vitne	свідки
vitne	свідок
stange	штанге
västra	västra
heaven	heaven
heaven	небеса
heaven	рай
heaven	небес
heaven	небесне
avslo	відмовились
avslo	відмовилися
avslo	відхилено
avslo	відхилити
avslo	відмовився
avslo	відмовилися
avslo	відмовив
avslo	відмовлено
yorkshire	йоркшир
rikeste	найбагатша
undersøkt	оглянув
sjøsatt	запустили
sjøsatt	розпочали
konkluderte	завершені
gylne	золотий
gylne	голден
gylne	золоті
gylne	золоте
cdu	міністр
utgiver	видавець
utgiver	видавців
øyeblikk	moments
øyeblikk	моменти
øyeblikk	моментів
øyeblikk	моментами
øyeblikk	момент
øyeblikk	мить
øyeblikk	миттєвого
øyeblikk	миттєва
utfordringer	виклики
ordinær	звичайну
ordinær	незвично
ordinær	звичайні
eksistere	існують
eksistere	існує
nora	нора
lei	лей
produksjoner	production
uganda	уганда
blanke	красунчик
samtaler	розмови
samtaler	бесіди
flatt	рівна
arrangere	поєднати
arrangere	влаштувати
elite	еліта
artikel	artikel
seksten	шістнадцять
riga	рига
riga	риги
ahmed	ахмед
kjemiker	хімік
baptiste	батіст
baptiste	батист
tegneserier	comics
tegneserier	комікси
tegneserier	комікс
woods	лісі
nacional	насьйональ
representasjon	представлення
stabil	стабільна
stabil	стійкий
kjøp	купити
kjøp	придбати
kjøp	покупка
kjøp	придбання
kjøp	покупку
kjøp	купити
kjøp	придбати
kjøp	покупок
kjøp	покупки
owen	оуен
bretagne	бріттані
bangladesh	бангладеш
bros	bros
herskere	лінійки
tykke	жирна
tykke	товстий
tykke	товста
tykke	густе
jiang	цзян
tomme	дюйм
tomme	порожнім
tomme	порожнє
tomme	порожня
tomme	порожні
tomme	порожній
cat	кіт
cat	кішка
coast	узбережжя
coast	берег
fyller	заповнення
fyller	наповнюється
fyller	заповнює
fortjener	заслуговують
fortjener	заслужила
fortjener	заслуговує
fortjener	заслужила
before	перед
before	before
mektig	могутній
mektig	міць
mektig	могутні
mektig	потужний
mektig	потужно
avslutte	фініш
avslutte	завершити
avslutte	закінчити
kontoret	офіс
kontoret	office
sporene	сперс
markedsføring	маркетинг
eugene	євген
eugene	юджин
eugene	євгеній
maur	мурашка
maur	мурашки
maur	мурахи
maur	мурахи
bombefly	бомбардувальник
bombefly	бомбардувальники
boks	скринька
boks	box
boks	ящик
boks	коробка
clarke	кларк
fattig	бідними
fattig	бідна
fattig	бідний
fattig	бідні
segl	печатка
segl	печатки
segl	емблема
segl	котик
segl	сіл
mayer	маєр
fisker	риб
fisker	риба
fisker	рибу
fisker	рибка
fisker	риби
fisker	рибалка
våpenskjold	крест
mecklenburg	мекленбург
floyd	флойд
århus	орхус
opprettes	створює
opprettes	створено
opprettes	створені
opprettes	створене
opprettes	створена
avlange	подовжена
frø	насіння
frø	потомство
frø	насіння
mercury	меркурій
vegetasjon	рослинність
policy	правила
policy	політики
policy	policy
policy	політика
policy	політикою
utvist	виключили
maksimalt	максимальний
maksimalt	максимальне
maksimalt	максимальна
maksimalt	максимум
paolo	паоло
germain	жермен
simpson	сімпсон
earl	ерл
rogers	роджерс
salget	продажів
salget	продаж
salget	продажі
kobayashi	кобаясі
forsvarer	захисник
forsvarer	захищав
produsenten	виготовлено
produsenten	виробник
produsenten	продюсер
rafael	рафаель
rafael	рафаель
overrasket	здивовані
overrasket	дивує
overrasket	здивована
overrasket	здивувався
overrasket	здивований
any	якісь
kristine	крістін
opplevelser	обставинах
opplevelser	враження
tiger	tiger
tiger	тигр
dominerer	домінує
ost	сир
ost	сиру
ost	сири
takt	язливо
takt	такт
brygge	pier
muhammed	мухаммед
muhammed	мухаммад
ambassaden	посольства
ambassaden	посольство
eduard	едуард
carnegie	карнегі
madison	медісон
survey	опитування
konsekvent	однорідного
village	село
imago	імаго
elektrisitet	електрику
elektrisitet	електрика
elektrisitet	електрики
elektrisitet	електроенергії
konkurrere	змагатися
same	збігається
same	однаковий
same	однакові
same	same
same	самий
glemt	забув
glemt	забула
glemt	забули
glemt	забуте
glemt	забути
glemt	забули
glemt	забутий
bue	уклін
bue	арку
bue	лук
bokstavelig	буквально
bokstavelig	буквальному
dypere	глибше
christen	крістен
systems	систем
systems	systems
romantiske	романтик
romantiske	романтична
romantiske	романтичний
romantiske	романтичні
sykler	велосипеди
sykler	велосипедів
sykler	велосипеди
sykler	байки
claudius	клавдій
fond	фонд
fond	фонду
pokémon	pokémon
johanna	йоганна
johanna	джоанна
philipp	філіпп
kjemper	гіганти
montgomery	монтгомері
slank	slim
slank	струнка
alba	альба
unesco	юнеско
påstand	копальні
påstand	стверджують
påstand	вимагати
påstand	володарі
hektar	акр
knust	розбитих
knust	розділили
knust	зламано
knust	broken
knust	розбите
knust	зламаний
oppfunnet	вигадав
oppfunnet	винайшов
konservativ	консервативна
display	відображення
display	дисплей
display	показати
display	показ
display	показувати
histoire	histoire
andorra	андорра
falsk	false
falsk	фальшивий
falsk	підробка
munk	монах
clements	клементс
ombygging	хроматину
ombygging	реконструкцію
tomas	томас
mali	малий
mali	малі
hals	горло
hals	шия
hals	шию
formue	фортуна
fet	жирний
fet	жирним
fet	жирний
fet	жиру
fet	жирна
fet	жири
summen	сума
summen	суму
summen	сум
inter	інтер
nikolai	микола
waters	вод
hydrogen	водню
audun	оден
tester	перевірки
tester	тести
tester	тестування
tester	випробування
imdb	imdb
curtis	кертіс
ukrainske	український
ukrainske	українець
ukrainske	українська
carlsen	карлсен
without	без
todd	тодд
todd	тод
tove	туве
nøyaktige	точні
nøyaktige	точна
nøyaktige	акуратно
castro	кастро
himmel	heaven
himmel	небеса
himmel	рай
himmel	небес
himmel	небесне
himmel	небом
himmel	небо
plasserer	розміщення
plasserer	викладання
phoenix	фенікс
ibm	ibm
rob	роб
rca	rca
manuelt	вручну
westwood	вествуд
gudinne	богиня
arms	руки
urter	трав
omgivelser	місцевість
filosofisk	філософська
velkjent	знайомі
erstatter	заміри
erstatter	заміна
erstatter	замінює
erstatter	заміна
erstatter	замінник
skarp	гострий
skarp	гострі
slåss	бійцівський
slåss	боротьба
slåss	боротьбі
slåss	боротись
slåss	бойовий
slåss	бійка
stanford	стенфорд
marcel	марсель
overgrep	зловживання
overgrep	образи
rex	рекс
gaver	дарунки
gaver	подарунки
gaver	дарують
gaver	подарунки
marseille	марсель
player	гравця
player	програвач
player	гравець
mel	мука
mel	борошно
mel	мел
muntlig	оральний
utah	юта
drøm	сон
drøm	dream
drøm	мрія
auto	автоматичні
auto	автоматичний
auto	авто
auto	автоматично
lind	лінд
edith	едіт
utøverne	спортсмени
tilbudet	пропозиція
tilbudet	пропонуємо
kamerun	камеруну
ferguson	фергюсон
ferdigheter	навички
ferdigheter	уміння
ferdigheter	навики
fremmed	незнайомця
formidle	передати
stjernene	зірки
command	наказую
command	командний
command	команда
madsen	мадсен
tolkes	розібрати
signal	сигнал
españa	españa
instrumental	інструментальний
kaster	кидати
kaster	кидає
løpere	бігунів
oppdage	discovering
oppdage	виявляти
oppdage	виявити
oppdage	виявлення
oppdage	знайдіть
tilnærming	підхід
board	дошки
board	правління
board	дошка
board	настільні
vogt	війт
jylland	ютландія
fairmaire	fairmaire
utslipp	викидів
busser	автобуси
zhou	чжоу
verb	дієслово
verb	дієслів
verb	дієслова
marina	марина
marina	маріна
satse	веселої
satse	заклад
satse	парі
løve	лев
interesserte	цікавиться
interesserte	зацікавлений
interesserte	зацікавило
interesserte	цікаво
interesserte	цікавить
interesserte	цікавляться
setninger	речення
setninger	речень
alpine	alpine
nattfly	совки
grov	грубою
margin	поле
dødelig	смертельна
dødelig	смертельна
dødelig	смертельно
dødelig	критична
dødelig	смертний
dødelig	смертельні
dødelig	mortal
krise	криза
vinduer	вікон
vinduer	windows
vinduer	вікна
richmond	річмонд
imo	imo
plukket	обрав
plukket	зірвав
krogh	крог
innsikt	інсайт
innsikt	статистика
innsikt	статистики
innsikt	статистику
innsikt	аналіз
next	наступний
next	наступна
next	next
next	наступне
next	далі
alessandro	алессандро
ideologi	ідеологія
salme	гімн
salme	псалом
salme	псалми
modifisert	змінений
modifisert	змінено
modifisert	змінене
modifisert	змінені
ekstern	зовнішнє
ekstern	зовнішні
ekstern	зовнішній
ekstern	зовнішня
sammenslåingen	злиття
sammenslåingen	злиття
symboliserer	символізує
jefferson	джефферсон
temple	храму
temple	храм
vellykkede	успішно
vellykkede	успішне
vellykkede	вдало
vellykkede	успішний
vellykkede	вдалась
shandong	шаньдун
internt	внутрішнє
internt	внутрішній
internt	внутрішня
internt	внутрішні
internt	внутрішньо
søkt	застосування
søkt	застосовано
søkt	звернулася
søkt	шукали
due	голуба
due	голуб
due	горлиця
krigene	війн
krigene	війни
jung	чон
richards	річардс
edda	едда
guyana	гвіани
guyana	гаяни
norfolk	норфолк
notert	зауважимо
notert	зауважити
heyerdahl	геєрдал
clara	клара
harper	гарпер
tunneler	тунелів
tunneler	тунелі
control	контроль
control	контрольна
control	керування
kid	малиш
emmy	еммі
elin	елін
queens	королеви
gun	рушниця
gun	гармата
gun	пістолет
enger	пасовищ
yale	єль
ifk	іфк
brød	хліба
brød	хліб
ain	ен
ain	айн
aluminium	алюміній
aluminium	алюміній
bestilt	платив
bestilt	стояла
bestilt	прописані
bestilt	замовила
bestilt	замовив
bestilt	замовили
bestilt	замовляв
bestilt	замовляли
forekomme	призначене
nebraska	небраска
brakt	привезли
brakt	принесли
brakt	приніс
cornelius	корнелій
skoger	лісі
skoger	ліси
skoger	лісах
skoger	лісами
slovakisk	словацька
sirkel	коло
sirkel	гурток
bensin	бензиновий
bensin	газова
bensin	газу
bensin	газ
bensin	бензин
sapporo	саппоро
trenge	need
trenge	треба
trenge	потрібно
trenge	потреби
trenge	потреба
stol	крісло
stol	стілець
mhz	мгц
midlertidige	тимчасове
midlertidige	тимчасові
midlertidige	тимчасова
midlertidige	тимчасово
midlertidige	тимчасовий
omgivelsene	місцевість
bryllup	весілля
bowie	боуї
registrering	реєстрація
kiel	кільський
korrupsjon	корупція
stopp	стоп
stopp	припинити
stopp	зупинки
stopp	зупинити
stopp	зупинка
stopp	зупинитись
munnspill	гармоніка
kontakter	контакти
norwich	norwich
newman	ньюман
størrelser	розміри
eiker	розділяла
aviation	авіації
aviation	авіація
nevada	невада
ulykke	аварія
tillate	дозволяти
tillate	дозволити
tillate	дозволяють
limited	обмежені
limited	обмежений
limited	обмежена
initiativet	ініціатива
legeme	тіло
legeme	тіла
nature	природа
nature	природня
thorvald	торвальд
mag	mag
lilla	фіолетовий
lilla	lilla
utlendinger	іноземців
utlendinger	іноземці
hytte	котедж
hytte	будиночок
hytte	хижі
hytte	салоні
religiøst	релігійна
religiøst	релігійні
kaffe	кава
skyldig	винен
skyldig	винним
skyldig	винний
irene	ірен
dam	ставок
dam	понд
dam	шашки
dam	гребля
heinz	гайнц
nanjing	нанкін
gallia	галлія
operation	дія
operation	операція
keramikk	керамічний
keramikk	кераміка
keramikk	кераміка
fiendtlige	ворожих
slektning	відносно
slektning	відносна
slektning	відносний
nominerte	номінантів
metropolitan	metropolitan
volvo	volvo
guitar	гітару
guitar	гітара
sinn	mind
sinn	розум
sinn	спеціалістами
sinn	свідомість
restaurering	відновлення
restaurering	реставрація
kampanjen	кампанії
kampanjen	похід
kampanjen	кампанія
registrere	зареєструватись
registrere	зареєструвати
registrere	регістр
registrere	реєстрація
need	need
need	треба
need	потрібно
need	потреби
need	потреба
tobias	тобіас
satset	веселої
satset	заклад
satset	парі
lam	ягня
lam	ягнят
wade	wade
hedret	заслужений
hedret	заслужений
hedret	поважно
måles	вимірюється
daily	щоденне
daily	щоденно
daily	щодня
daily	щоденні
fenomener	явище
fenomener	явища
hyllest	омаж
betraktelig	значно
lesning	читання
verdifulle	цінні
verdifulle	корисна
verdifulle	цінний
opus	opus
drivstoff	пальне
drivstoff	паливо
drivstoff	палива
emanuel	емануель
plast	пластмас
plast	пластик
plast	пластику
plast	купляти
følelse	почуття
følelse	відчуття
følelse	передчуття
visa	віза
visa	візи
åpnes	відкривають
åpnes	відкриває
åpnes	відкриваються
hampshire	гемпшир
utallige	незліченні
lorenzo	лоренцо
#dfffdf	#dfffdf
oppgjør	розбірки
medium	середній
medium	носій
medium	середня
medium	середні
instruktør	інструктором
instruktør	інструктор
beveget	зворушений
beveget	переїхала
beveget	переїхали
beveget	переїхав
jubileum	річниця
jubileum	ювілей
oppnevnt	призначив
hovedkvarteret	штаб
batteri	батареї
batteri	акумулятор
batteri	акумулятори
batteri	батарея
underliggende	нижніх
monumentet	монумент
bønn	молитовне
bønn	молитва
kriminelle	злочинці
kriminelle	злочинців
innså	зрозуміла
trust	довіра
joel	джоел
høyder	висоти
tomt	порожнім
tomt	порожнє
tomt	порожня
tomt	порожні
tomt	порожній
tomt	бланк
tomt	порожній
ruud	руд
pax	pax
auguste	огюст
must	мусить
must	має
must	повинен
benny	бенні
garcía	гарсія
essex	essex
presidenter	президентів
bangkok	бангкок
reform	реформи
reform	реформа
redaktører	редакторів
egon	егон
eli	елі
col	стовп
anmeldelser	огляди
anmeldelser	відгуки
prisene	ціни
restauranter	ресторани
depresjon	депресія
mus	миші
mus	мишей
mus	миша
mus	мишу
mus	мишкою
mus	миші
mus	мишка
norton	нортон
ellevte	одинадцята
ten	десять
ten	десятка
ten	десяти
ten	тен
amerikanere	американців
amerikanere	американці
prestasjoner	досягнення
marilyn	мерилін
scandinavian	скандинавський
prosjektene	проекти
prosjektene	проектів
komponenter	компоненти
komponenter	компонентів
born	народження
born	народився
born	борн
born	народилась
born	народилася
xvi	xvi
