アダムズ	адамс
共鳴	резонанс
ジュリアン	юліан
まゆみ	маюмі
湯川	юкава
シャム	сіамська
モモ	персики
モモ	момо
モモ	персик
コンボ	combo
デンバー	денвер
感度	чутливість
正午	полудень
ハント	полювати
ハント	полювання
ドレスデン	дрезден
欠席	відсутній
欠席	відсутність
欠席	відсутності
口座	рахунок
批准	ратифікація
説教	проповіді
説教	проповідувати
説教	проповіді
説教	проповідь
連想	асоціативний
フルーツ	фрукт
フルーツ	фрукти
フルーツ	плід
フルーツ	плоди
フルーツ	фруктові
フルーツ	фрукти
フルーツ	плоди
著しい	надзвичайно
カウンティ	графство
カウンティ	повіт
カウンティ	жупанія
返済	погашення
チャネル	канали
チャネル	канал
チャネル	каналом
チャネル	channel
チャネル	каналу
尾根	хребта
尾根	хребет
ウェスタン	західний
ウェスタン	західні
ウェスタン	західна
スキャン	сканування
スキャン	сканування
スキャン	сканувати
敬意	respect
敬意	повага
オリエンタル	східних
鋭い	гострий
鋭い	гострі
お茶	tea
お茶	чаю
お茶	чай
クローズ	закрити
クローズ	близький
クローズ	близько
クローズ	близькі
クローズ	закриття
ワープ	викривлення
ワープ	стрибок
ダイナマイト	вибухівку
コリンズ	коллінз
飲む	пили
飲む	пити
飲む	пиття
飲む	алкогольні
飲む	напої
飲む	пити
飲む	напій
オークション	аукціон
オークション	торги
ポータブル	портативний
モンロー	монро
産卵	нерест
トラップ	пастка
トラップ	пастки
同値	еквівалентності
ローテーション	обертання
ローテーション	поворот
プリズム	призма
フェアリー	фея
フェアリー	fairey
ポット	горщик
マッカーサー	макартур
ハチ	wasp
ハチ	бджіл
ハチ	бджоли
ミッチェル	мітчелл
カルト	культ
家事	прибирання
消える	зникають
消える	сховався
消える	пропаде
消える	зникнути
消える	зникають
テンション	напругу
テンション	напруга
個別に	окремо
ジャスト	просто
ジャスト	щойно
フォーカス	фокус
フォーカス	фокусування
フォーカス	focus
ナムコ	namco
分化	клітин
ウエスタン	західний
ウエスタン	західні
ウエスタン	західна
ラトビア	латвії
ラトビア	латвія
ラトビア	латвійська
酢酸	ацетат
スタンプ	штамп
スタンプ	марку
スタンプ	марка
スタンス	стійка
激戦	дике
おいしい	смачна
おいしい	смачно
おいしい	смачне
停滞	стаціонарний
スリップ	непомітно
照射	опромінення
照射	експозиція
照射	експозиції
クルーザー	крейсер
ハンドブック	підручник
ハンドブック	підручника
ハンドブック	довідник
江藤	ето
アーカンソー	арканзасу
パッド	виділяти
パッド	килимок
マナー	етикет
マナー	манери
太陽光	промінням
バットマン	бетмен
タイル	плитка
タイル	плиткою
タイル	плитку
タイル	плиток
タイル	плитки
螺旋	слимак
螺旋	спіраль
ホフマン	гофман
ホフマン	гоффман
ホフマン	гофманн
レジスタ	регістри
レジスタ	зареєструватись
レジスタ	зареєструвати
レジスタ	регістр
レジスタ	реєстрація
ピュア	чисте
ピュア	чисті
ピュア	чиста
ピュア	чистих
蒸留	дистиляція
フレイ	фрей
ミッドフィールダー	півзахисник
ブーツ	завантажувати
ブーツ	чоботи
ブーツ	завантаження
ブーツ	чоботи
出版物	публікаціях
出版物	публікацію
出版物	публікація
ヒューズ	хьюз
ヒューズ	запобіжник
問い合わせ	підозрою
問い合わせ	розслідуванні
問い合わせ	діалог
問い合わせ	запиту
問い合わせ	запит
問い合わせ	довідки
連帯	солідарності
連帯	солідарність
ポーター	портер
帰宅	дім
帰宅	домівка
帰宅	домашній
帰宅	додому
メイキング	творити
メイキング	внесення
エフェクト	ефекти
エフェクト	ефект
野間	нома
デス	death
デス	смерть
デス	смерті
バター	масло
教職員	факультету
教職員	факультет
結核	туберкульозу
ヨルダン	йорданський
ヨルダン	йорданії
ヨルダン	джордан
恵那	ena
コバルト	кобальт
起業	підприємець
起業	підприємництво
欠陥	дефект
未完	незакінчені
コブラ	кобра
シスター	сестра
脂肪	жирний
脂肪	жиру
脂肪	жирна
脂肪	жири
回顧	ретроспектива
アーネスト	ернест
眠る	сон
眠る	спати
天台宗	тендай
植村	уемура
彼氏	хлопець
エミー	емі
迫害	переслідували
左近	ямамото
勧誘	домагання
手数料	комісія
手数料	плату
手数料	внески
バドミントン	бадмінтон
ザック	зак
陶器	кераміка
スクリプト	скрипти
スクリプト	скрипт
スクリプト	сценарії
スクリプト	сценарій
トライアングル	трикутник
溶岩	лави
溶岩	лава
フィニッシュ	фініш
フィニッシュ	завершити
フィニッシュ	закінчити
異端	єресь
フン	hun
ハス	lotus
メグ	мег
ボールド	жирний
ボールド	жирним
トッド	тодд
トッド	тод
入浴	купання
入浴	ванна
入浴	ванни
ハング	висів
ハング	повісили
ハング	вішати
ハング	повісити
流体	рідина
流体	рідини
ジュネーヴ	женеві
ハーバート	герберт
お菓子	цукерки
お菓子	солодощі
お菓子	солодке
未完成	незакінчені
未完成	неповна
未完成	незавершений
未完成	неповним
オシ	ош
ブレーメン	бремен
チューブ	труби
チューブ	труба
変装	маскування
シグナル	сигнали
シグナル	сигнал
オリーブ	оливкова
ダイエット	дієта
ダブリン	дублін
信念	віра
信念	переконання
信念	віра
信念	переконання
信念	погляди
信念	поглядів
スチュアート	стюарт
ワイヤー	дріт
ワイヤー	дроту
ワイヤー	дроти
アルブレヒト	альбрехт
バレル	бочку
バレル	бочка
サンティアゴ	сантьяго
碑文	напис
碑文	написів
碑文	текстами
一樹	накадзіма
いろは	іроха
ブルターニュ	бріттані
審判員	арбітр
審判員	рефері
審判員	referees
スレッド	спілкування
スレッド	розмови
スレッド	розмова
スレッド	бесіда
スレッド	гілки
スレッド	нитки
スレッド	гілка
スレッド	розмови
スレッド	бесіди
ドラキュラ	дракули
ドラキュラ	дракула
ルネ	рене
ルネ	рене
桟橋	pier
亜鉛	цинку
グラハム	грем
正博	масахіро
デューク	герцог
デューク	дюк
語彙	словники
語彙	словник
語彙	словника
コーディネーター	координатор
充電	заряд
充電	зарядка
充電	перезарядки
バーミンガム	birmingham
マイヤー	меєр
マイヤー	маєр
リリー	лілі
リリー	лілія
大工	карпентер
隠岐	окі
ワクチン	вакцина
ワクチン	вакцини
監獄	тюрма
監獄	тюрми
監獄	тюрмах
デラウェア	делавер
売る	продати
売る	продавати
破片	уламки
ペーター	петро
ペーター	пітер
買い物	покупки
買い物	шопінг
既婚	одружені
既婚	заміжня
既婚	одружена
既婚	заміж
既婚	одружений
陽性	позитивне
陽性	позитивні
陽性	позитивний
陽性	позитивно
陽性	позитив
チョーク	крейда
四十	сорок
エコー	echo
エコー	ехо
エコー	відлуння
スイング	swing
クランク	адреналін
コミュニティー	громада
コミュニティー	спільнота
コミュニティー	спільноти
施策	політики
施策	правила
トラクター	трактори
トラクター	трактор
カリスマ	харизма
カリスマ	харизматичний
カリスマ	переконувати
吹く	падло
吹く	віє
下着	білизна
分泌	секреція
ドキドキ	захоплююча
ドキドキ	захоплююче
驚き	здивувати
驚き	здивування
驚き	сюрприз
驚き	несподіванка
ジェフリー	джеффрі
廃墟	руйнувати
廃墟	занепад
廃墟	руїни
深度	глибина
配当	дивіденди
配当	розподіл
故意	навмисно
故意	навмисним
故意	навмисно
ニコ	ніко
ニコ	ніко
クロム	chrome
クロム	хром
生き方	фешн
生き方	життя
預言	пророцтво
掲示	публікувати
掲示	розміщення
掲示	публікація
掲示	публікування
掲示	бюлетень
パスポート	паспорти
パスポート	паспорт
カロリー	калорій
消化	травлення
ヘビ	змія
ヘビ	змії
ヘビ	змій
ヘビ	змії
膨張	розгортання
膨張	розширення
バッジ	жетон
バッジ	значок
バッジ	значки
残酷	жорстокий
残酷	жорстока
残酷	жорстоко
残酷	жорстокі
残酷	жорстокість
ペナルティ	пенальті
ペナルティ	штраф
フェンス	огорожу
フェンス	огорожа
フェンス	паркан
船員	моряк
フォレスト	форрест
フォレスト	лісова
フォレスト	ліс
クラッチ	захват
見習い	учнів
見習い	учениця
見習い	тренувальна
黙示録	апокаліпсис
枢機卿	кількісний
メソッド	метод
メソッド	способи
メソッド	методи
スチュワート	стюарт
スギ	сідар
賭博	азарт
コップ	чашка
コップ	чаша
コップ	кубок
母国	вітчизна
母国	вітчизну
母国	вітчизни
視界	видимість
ニッケル	нікель
反響	echo
反響	ехо
反響	відлуння
プラットホーム	платформи
プラットホーム	платформу
プラットホーム	платформа
スーザン	сьюзен
ハイチ	гаїті
洗浄	мити
洗浄	очищення
不祥事	скандал
不祥事	скандал
委任	спрямування
委任	делегації
委任	делегація
委任	мандат
祭壇	вівтар
祭壇	сесії
シエラ	сьєрра
ボローニャ	болонья
ヤギ	коза
ヤギ	цап
ヤギ	козу
ヤギ	козел
ヤギ	кози
ワークショップ	семінари
ワークショップ	workshop
ワーグナー	вагнер
金庫	сейф
金庫	безпечний
金庫	безпечно
被告人	обвинувачений
被告人	звинуватили
被告人	звинуватив
被告人	відповідач
バトン	жезл
睡眠	сон
睡眠	спати
モノクロ	чорно
モノクロ	монохромний
洗濯	мити
洗濯	пральні
洗濯	прання
ツル	журавель
ツル	кран
リヒャルト	річард
裏側	back
裏側	назад
裏側	ззаду
裏側	повернулася
裏側	спина
芸者	слухали
チャップリン	чаплін
祝福	благословення
祝福	благословіння
祝福	благословення
祝福	насолоди
祝福	блаженні
祝福	благословив
祝福	милостивий
祝福	blessed
林檎	яблуко
林檎	apple
林檎	яблучко
視力	зір
星空	зоряне
ロナルド	рональд
ランニング	виконання
ランニング	виконується
ランニング	працює
ランニング	біг
高尾	такао
届出	сповіщення
届出	інформує
レスキュー	врятувати
レスキュー	рятівник
レスキュー	порятунок
土居	doi
委嘱	спрямування
委嘱	делегації
委嘱	делегація
委嘱	комісія
アンドレア	андреа
パンダ	панда
冗談	жарт
冗談	жартує
お気に入り	улюблене
お気に入り	улюблена
お気に入り	улюблений
お気に入り	улюблені
お気に入り	улюблене
お気に入り	улюблені
お気に入り	улюблений
お気に入り	улюблене
お気に入り	улюблені
お気に入り	улюблене
お気に入り	вибрані
お気に入り	вибране
お気に入り	обране
ロッカー	роздягальні
トゥルー	істина
トゥルー	правда
ヨット	яхта
ヨット	яхти
シェーン	шейн
ダイナミック	динамічний
ダイナミック	динамічні
ダイナミック	динамічна
ダイナミック	динамічне
ラバウル	рабаул
勝浦	кацуура
飛行船	дирижабль
陶芸	кераміка
エリオット	еліот
エリオット	еліот
フットサル	футзалу
フットサル	футзал
消去	стирання
消去	стерти
消去	витерти
消去	очищення
ハンプシャー	гемпшир
テント	намети
テント	наметі
テント	намет
リソース	виконавця
リソース	ресурсу
リソース	ресурс
リソース	виконавець
リソース	ресурси
リソース	виконавців
リソース	виконавці
リソース	ресурси
粛清	чистка
粛清	очистити
粛清	очищати
崇拝	знайдена
崇拝	поклоніння
崇拝	служать
ワトソン	вотсон
値段	ціна
快適	зручно
快適	зручно
快適	комфортний
快適	зручні
快適	зручне
快適	зручний
快適	затишний
足跡	слід
足跡	слідів
ロベール	роберт
ロベール	робер
バスケ	баскетбол
獣医	вет
獣医	ветеринар
ヴァージン	діва
ヴァージン	богородиці
和音	акорд
和音	акорди
帝政	імперія
動揺	засмучений
タブレット	таблички
タブレット	планшет
神学校	семінарії
麻酔	анестезія
人魚	русалка
ジュエル	прикрасу
サンチェス	sanchez
サンチェス	санчес
文字通り	буквально
目的地	призначення
マルチメディア	творів
マルチメディア	мультимедіа
オーラ	аура
ディープ	глибока
ディープ	deep
ディープ	глибоко
ディープ	глибокий
マリアナ	mariana
アマゾン	amazon
アマゾン	амазон
義雄	йосіо
年数	роки
サイコロ	кості
サイコロ	кістку
切符	квитки
切符	квиток
切符	квитків
教義	догма
教義	creed
教義	доктрина
オメガ	омега
富豪	мільйонерів
両面	двосторонній
地雷	мін
地雷	копальні
地雷	міни
ホッケー	хокей
かもめ	чайка
マダガスカル	мадагаскар
事績	досягнення
事績	досягнення
キタ	кіта
上告	заклик
上告	апеляцію
上告	звернення
カートリッジ	патрони
カートリッジ	набоїв
カートリッジ	картридж
トレイル	стежка
トレイル	сліди
臓器	органи
臓器	орган
コロンボ	коломбо
水銀	меркурій
ニース	гарно
ホモ	людина
ホモ	homo
ユニーク	унікальний
ユニーク	унікальне
ユニーク	унікальні
ステアリング	керування
敏郎	масакі
城郭	замки
アドリア	адрія
音節	склад
音節	склади
音節	складів
シダ	папороть
炎症	запалення
カッパ	kappa
摩擦	тертя
ドーン	світанок
ドーン	світанку
芝生	газон
エヴァンゲリオン	evangelion
悪役	villain
実効	ефективність
実効	результативність
実効	ефективний
実効	ефективна
実効	ефективно
セナ	сена
セナ	сенна
アルマ	альма
アルマ	alma
ルナ	луна
オリオン	оріон
謙信	кенсін
ルーシー	люсі
尼子	амаґо
ウィリー	віллі
ステータス	стан
ステータス	статус
ステータス	стану
ステータス	статусі
アロン	аарон
アロン	арон
アロン	аарон
アロン	арон
四川省	сичуань
柔軟	гнучкість
イングリッシュ	англійською
イングリッシュ	англійська
浮気	шахрайство
浮気	справі
マッサージ	масаж
劣化	псування
劣化	деградація
工具	засіб
工具	інструмент
上海市	шанхай
オナニー	мастурбація
クイック	швидкі
クイック	швидко
クイック	швидке
クイック	швидка
クイック	швидкий
リニア	лінійна
リニア	лінійний
ワタ	speciosa
ラーマ	лама
ラーマ	рама
吉備	кібі
サカ	сака
サンプリング	зразки
サンプリング	зразок
サンプリング	приклад
サンプリング	зразка
サンプリング	вибірковий
必死	відчайдушно
必死	розпачі
必死	відчайдушні
失効	застарілий
ねずみ	миша
ねずみ	мишу
ねずみ	мишкою
ねずみ	миші
ねずみ	мишка
経典	сутра
オセアニア	океанії
書体	гарнітура
書体	шрифтом
大気圏	атмосфера
不審	підозрілим
リサイクル	переробляти
リサイクル	переробки
リサイクル	переробка
チェン	чен
隠す	сховати
隠す	приховати
隠す	ховати
グラフィックス	графіки
グラフィックス	графіка
グラフィックス	графічні
グラフィックス	графіку
マニ	mani
カモ	качки
カモ	качок
カモ	качки
カモ	качка
無意味	безглуздо
ビーズ	бісер
ビーズ	бісеру
ビーズ	намистини
旋風	вихор
無敗	нескорений
精製	вишуканим
精製	уточнити
精製	вдосконалити
精製	рафінування
責め	звинувачувати
責め	гідні
責め	звинуватити
スナック	страву
グリップ	зчеплення
ペダル	педалі
アレクサンドロス	олександр
アレクサンドロス	александер
ビザ	віза
ビザ	візи
スタック	стек
ヴァルター	вальтер
ヴァルター	волтер
ヴァルター	вальтер
満期	погашення
隙間	проміжки
隙間	уразливих
隙間	пропуски
ギャンブル	азарт
ギャンブル	gamble
握手	рукостискання
オリバー	олівер
庇護	заступництва
ハリソン	гаррісон
フリート	флоту
フリート	флот
風力	гейл
強姦	зґвалтування
センチュリー	ст
センチュリー	століття
センチュリー	century
リカルド	рікардо
スルタン	султан
バッグ	мішок
バッグ	сумка
バッグ	валізи
バッグ	сумки
画質	якість
飽和	насиченість
飽和	насичені
シャア	ша
福音書	євангеліє
ユニバーシアード	універсіаді
侮辱	образа
さとみ	сатомі
ロブ	роб
ロブ	робб
平衡	рівноваги
平衡	рівновага
ダーウィン	дарвін
乗馬	їздити
乗馬	кататися
乗馬	верхи
粘土	глина
粘土	клей
占有	зберігання
占有	одержимість
占有	володіння
モナ	мона
肝臓	печінка
肝臓	печінки
アンゴラ	анголи
味噌	місо
ノック	збив
ノック	тук
ノック	стук
ジェシカ	jess
ジェシカ	джессіка
ジェシカ	джесіка
尊氏	такаудзі
真ん中	середня
真ん中	посередині
真ん中	середньої
真ん中	середина
真ん中	середній
ペイント	paint
ペイント	фарба
ペイント	малювати
ペイント	фарби
ピーチ	персик
滑らか	плавне
滑らか	згладжування
滑らか	плавні
滑らか	плавно
滑らか	гладкий
ハイランド	верховина
ハイランド	височина
完備	завершене
完備	завершити
完備	повний
完備	завершення
完備	завершений
白血病	лейкоз
アングル	кут
アングル	кути
冷たい	холодні
冷たい	холодна
冷たい	холод
冷たい	холодно
冷たい	холодний
ホノルル	гонолулу
ハンプトン	хемптон
ラウンジ	lounge
ラウンジ	лаунж
ディーラー	творами
ディーラー	дилер
除隊	видати
除隊	розряд
ナイス	гарно
ケヴィン	кевін
信条	creed
入札	заявка
シルエット	силует
エディンバラ	единбург
中性子	нейтронна
パノラマ	панорами
パノラマ	панорама
パノラマ	panorama
パノラマ	панорамний
クルト	курт
反復	повторення
反復	ітерація
反復	ітерацій
共存	співіснувати
ネイティブ	рідний
ネイティブ	рідна
ヴィレッジ	село
ロジャース	роджерс
ロジャース	роджерс
バレンタイン	валентина
パチ	паті
ボルドー	бордо
ヴァンパイア	вампір
ヴァンパイア	вампіри
受け取り	отримано
受け取り	отримані
受け取り	отриманий
受け取り	отримали
受け取り	отримала
顕微鏡	мікроскоп
検察官	звинувачення
検察官	обвинувачення
検察官	прокурор
検察官	прокурора
ボトル	пляшки
ボトル	пляшок
ボトル	пляшки
ボトル	пляшка
ダイハツ	daihatsu
神風	камікадзе
クォーター	квартал
クォーター	чверть
グリッド	сітку
グリッド	сітка
グリッド	сітки
グリッド	grid
グリッド	ґратка
リチウム	літію
ラバー	гумові
便所	туалети
インタラクティブ	інтерактивна
インタラクティブ	інтерактивний
インタラクティブ	інтерактивне
セール	розпродаж
セール	продаж
アグネス	агнес
フェルナンデス	фернандес
フェルナンデス	фернандес
用紙	папір
パラオ	палау
ミナ	міна
快楽	ласки
快楽	задоволенням
快楽	задоволення
ヒール	вистачить
ヒール	heel
しみ	пляма
しみ	пляму
均衡	рівноваги
均衡	рівновага
きれい	очистити
きれい	прибрати
きれい	почистити
きれい	чистий
気球	кулі
イケメン	красунчик
イケメン	гарний
ディラン	ділан
リンパ	лімфи
メンフィス	мемфіс
須賀	suga
フィルタ	фільтрувати
フィルタ	фільтр
フィルタ	фільтри
ヴォルフガング	вольфганг
チコ	chico
蒸発	випаровується
蒸発	випаровування
ココ	коко
ココ	коко
スクリュー	плювати
祈祷	молитва
募金	пожертва
募金	пожертву
募金	пожертвувати
募金	пожертви
オーランド	аландські
オーランド	орландо
作物	посіви
パウンド	фунт
シャーロック	шерлок
スタッド	стад
スタッド	жеребець
ギガ	гіга
リッター	ріттер
村人	селищі
村人	селяни
トカゲ	ящірки
トカゲ	ящірки
トカゲ	ящірка
参道	підхід
飢饉	голод
ピストル	пістолет
ブランチ	гілка
聖歌	гімн
漁師	рибалки
漁師	рибалок
漁師	рибалка
ガーナ	гани
ミレニアム	тисячоліття
なぜなら	адже
なぜなら	бо
塩素	хлор
釈迦	шака
ジェニファー	дженніфер
クレイグ	крейг
アイザック	ісаак
美学	естетика
筆記	писав
筆記	записано
筆記	написано
筆記	записані
筆記	написання
筆記	запис
筆記	писати
筆記	запису
セバスチャン	себастьян
レコーダー	магнітофон
ダイアナ	діана
リハビリ	реабілітація
苦情	скарг
苦情	скарги
苦情	скарга
二階	нагорі
代名詞	займенники
代名詞	займенник
静脈	вени
静脈	вена
静脈	венах
静脈	вена
チューン	мелодії
チューン	мелодію
ノルマンディー	нормандія
ハウ	хау
ハウ	гоу
合法	справжні
開示	нерозголошення
開示	приховування
信之	нобуюкі
エデン	едем
デザート	десерт
デザート	пустелі
デザート	пустеля
デザート	десерти
リバイバル	відродження
動脈	артерія
動脈	судини
ツイッター	twitter
ツイッター	тремтіння
発熱	гарячка
発熱	жар
発熱	лихоманка
リュック	рюкзак
リュック	люк
織物	текстиль
織物	злиття
織物	відкатів
織物	тканину
織物	тканина
織物	виробів
ペスト	зараза
ペスト	чума
ペスト	пешт
礼儀	етикет
礼儀	чемно
礼儀	ввічливість
ボンド	бонд
グロス	валовий
ヴィーナス	венера
ゴリラ	горила
フリッツ	фріц
ブランコ	бланко
ニトロ	nitro
ジュゼッペ	джузеппе
竜巻	торнадо
ダイヤル	набрати
ダイヤル	дзвонити
ダイヤル	набір
苦悩	муки
苦悩	тривоги
ゴリ	горі
ゴア	гоа
ゴア	гор
ネブラスカ	небраска
ポロ	polo
ポロ	поло
山東省	шаньдун
ミュラー	мюллер
ミュラー	мюллер
ミュラー	мюллер
セルティックス	селтікс
ディナー	обідів
ディナー	вечері
ディナー	обід
ディナー	вечеря
ディナー	вечерю
白金	platinum
パラグアイ	парагвай
パラグアイ	парагвайський
ブカレスト	бухарест
ジェシー	джессі
オオカミ	вовк
コンタクト	контакт
コンタクト	контактна
バスケット	кошик
ザルツブルク	зальцбург
特製	specialty
快感	ласки
快感	задоволенням
快感	задоволення
叔母	тітка
叔母	тьотя
空想	вишукана
空想	вишуканий
パーソナル	особисті
パーソナル	особисте
パーソナル	особистий
パーソナル	персональний
百姓	селяни
段落	стаття
段落	абзац
段落	абзаци
ハーモニー	гармонія
ハーモニー	harmony
葛城	кацураґі
やっと	нарешті
アイディア	idea
アイディア	ідея
アイディア	ідею
アイディア	ідеї
タイラー	тайлер
アンプ	підсилювач
宝物	скарби
宝物	скарб
マルクス主義	марксизм
サーブ	служити
サーブ	подаємо
サーブ	подавати
サーブ	saab
イワン	іван
イワン	іванко
ギフト	дарунки
ギフト	подарунки
ギフト	подарунку
ギフト	подарунок
理性	причина
理性	привід
恨み	зуба
恨み	обурення
ビスマルク	бісмарк
構文	синтаксис
構文	синтаксису
ミキ	мікі
光景	погляди
光景	приціл
光景	видовище
光景	вигляд
アインシュタイン	ейнштейн
申し立て	суперечка
エミリー	емілі
安い	дешевий
安い	дешево
スラッシュ	слеш
ハーレム	гарлем
サンズ	піски
ガイ	гай
ガイ	гі
ガイ	хлопець
プラット	платт
プラット	пратт
矯正	виправлення
バタフライ	метелик
最小限	згорнути
最小限	мінімізувати
最小限	мінімальна
最小限	мінімальне
エレナ	олена
エレナ	елена
家光	ієміцу
クイーンズ	королеви
コサック	козаки
コサック	козак
コサック	козацька
コサック	козацьку
コサック	козацької
スペル	правопису
スペル	правопис
スペル	чари
スペル	пишеться
スペル	закляття
チャレンジャー	безодня
プロポーズ	пропоную
プロポーズ	запропонувати
プロポーズ	пропозиція
パラレル	паралельний
パラレル	паралельні
パラレル	паралельно
ゴマ	кунжут
サザン	південна
サザン	південний
図形	геометрія
図形	форму
図形	форма
ゲノム	геном
デイヴ	дейв
マダム	пані
マダム	мадам
マダム	madame
トレント	трент
アーセナル	арсенал
請願	петиція
アトランティック	атлантичний
アトランティック	атлантична
アトランティック	atlantic
美保	міхо
おば	тітка
おば	тьотя
おば	тітки
視線	погляд
ベイビー	немовля
ベイビー	малятко
ベイビー	дитина
備後	бінго
キルギス	киргизстану
アダムス	адамс
ブライト	яскраві
ブライト	яскраве
ブライト	яскрава
ブライト	зійшла
トレーラー	трейлер
毛皮	хутро
コロシアム	колізей
コロシアム	колізей
シンフォニー	симфонічний
シンフォニー	симфонія
エスカレーター	ескалатор
選任	зустріч
選任	вибори
ゴールキーパー	воротар
マグマ	магма
ニクソン	ніксон
マリオン	маріон
ごみ	сміття
ごみ	маячня
ごみ	сміття
ハーブ	герб
ハーブ	трава
ハーブ	трав
フィアット	fiat
ドロシー	дороті
チェ	чхве
