jonas	jonas
kezdetek	početke
bizonyítani	dokazivanje
bizonyítani	dokazati
főnök	načelnik
főnök	šef
főnök	gazda
főnök	šef
szülő	roditelj
szülő	roditeljski
harvey	harvey
áruház	radnja
áruház	trgovina
áruház	prodavaonica
jackie	jackie
atlanta	atlanta
atlanta	atlantu
atlanta	atlante
koordináta	koordinirati
koordináta	koordinate
claudius	klaudije
átadott	prebačeno
átadott	prebacio
potenciális	potencijalna
potenciális	potencijalni
potenciális	potencijal
lambert	lambert
horror	užas
horror	horor
szaxofon	saksofon
utasok	putnici
utasok	putnika
utasok	putnicima
utasok	putnici
teológia	teologiju
eltávolították	uklonjen
eltávolították	uklonjeni
eltávolították	uklonjena
eltávolították	uklonili
diszkográfia	diskografija
hamburger	burger
hamburger	hamburger
hamburger	hamburger
reeder	reeder
szál	vlakno
szál	vlakana
szál	lanci
szál	konac
szál	nit
centrum	centrum
centrum	centar
centrum	središte
centrum	sredina
fát	drvena
fát	drva
fát	wood
fát	drvo
hatásai	učinci
hatásai	efekti
keserű	gorka
keserű	gorak
keserű	gorko
bűncselekmény	zločin
bűncselekmény	kriminal
kutatói	istraživač
kutatói	istraživači
lennon	lennon
broadway	broadway
bomba	bomba
bomba	bombe
tudatosan	svjesno
tudatosan	svjesno
pérez	pérez
abraham	abraham
abraham	abrahama
szerencsétlen	nesretni
szerencsétlen	nesretno
szerencsétlen	nesretna
felszerelve	opremljen
felszerelve	opremljena
felszerelve	opremljen
felszerelve	opremljeni
felszerelve	opremljena
madagaszkár	madagaskar
gene	gene
oslo	oslu
robbanás	eksplozija
robbanás	eksplozije
krakkó	krakowu
krakkó	kraków
diploma	diplomu
diploma	diploma
diploma	stupanj
diploma	stupnja
diploma	diploma
egyetértés	sporazum
egyetértés	dogovor
egyetértés	shvaćanje
egyetértés	razumijevanje
egyetértés	konsenzus
belseje	unutrašnjost
belseje	unutarnjih
megoldások	rješenja
hetes	sedam
hetes	sedmica
következményei	posljedica
következményei	posljedice
lucia	lucija
lucia	lucia
boszorkány	vještica
fészek	gnijezdo
fészek	gnijezda
ars	ars
pat	pat
propaganda	propagandu
propaganda	propaganda
szocializmus	socijalizam
botrány	skandal
botrány	skandalozno
webber	webber
szilveszter	sylvester
santo	santo
tök	tikvice
tök	bundeva
tök	bundeve
tök	ljubice
sheffield	sheffield
joel	joel
janeiro	janeiru
ipa	ipa
gót	goth
végrehajtási	provedbi
tengerentúli	inozemstvo
asszisztensek	asistenti
düsseldorf	düsseldorf
termelt	proizveden
csarnok	hall
csarnok	dvorana
csarnok	hodnik
spider	pauk
spider	spider
interaktív	interaktivna
sex	seks
sex	seksa
sex	sex
autóval	auto
autóval	automobil
autóval	kola
paramount	paramount
hivatkozást	veza
hivatkozást	link
hivatkozást	poveznica
alkotók	kreatori
szépség	ljepota
szépség	ljepotica
szépség	ljepote
csomag	pakovanje
csomag	pakovanje
csomag	paket
kai	kai
kazahsztán	kazahstanu
puy	puy
utazási	putovanja
utazási	putovanje
linnaeus	linnaeus
radioaktív	radioaktivni
lezárt	zapečaćena
jamaica	jamajke
vallott	priznao
kopasz	ćelavi
kopasz	ćelavi
kopasz	ćelav
kaukázusi	kavkazu
kaukázusi	bijelac
bokor	grmlje
bokor	grmlja
bokor	bush
bokor	grm
búza	žito
búza	pšenice
bónusz	bonus
hónapja	mesec
hónapja	mjesec
amy	amy
jelentéktelen	nevažno
jelentéktelen	beznačajno
jelentéktelen	besmisleno
jelentéktelen	beznačajno
jelentéktelen	beznačajan
jelentéktelen	beznačajna
alpha	alpha
alpha	alfa
sör	piva
sör	pivo
sör	pivu
sör	pive
hughes	hughes
morva	moravski
jake	jake
hopkins	hopkins
stark	stark
olivier	olivier
ned	ned
ned	nede
ned	neda
gks	gks
niger	niger
megjelölt	označena
megjelölt	označeni
megjelölt	označen
megjelölt	označeno
megjelölt	označena
megjelölt	označen
megjelölt	označeno
kizárólagos	ekskluzivni
kizárólagos	ekskluzivno
szemét	smeće
szemét	smeće
szemét	smeće
lakás	stan
lakás	ravna
lakás	ravan
lakás	ravni
lakás	stan
lakás	apartman
lakás	stanovanje
trilógia	trilogija
dakota	dakota
szombaton	subotu
szombaton	subota
julianna	julianna
évenként	godišnje
koncepció	koncept
koncepció	pojam
jeanne	joan
jeanne	jeanne
átalakított	modificirani
átalakított	pretvorena
átalakított	preobratio
átalakított	pretvorio
átalakított	prilagođen
átalakított	prilagodio
előnyös	korisno
törlése	obriši
alább	ispod
bizonyítékok	dokazi
bizonyítékok	dokaz
burgenland	burgenland
eduardo	eduardo
fizikusok	fizičari
simpson	simpson
nílus	nila
nílus	nil
vallások	religije
élőlény	organizam
élőlény	organizmi
élőlény	organizma
orange	narančasta
orange	orange
orange	narančasto
orange	naranče
számláló	kontra
számláló	brojač
elkerülése	izbjegavanje
elkerülése	izbjegava
elkerülése	izbjegavajte
elkerülése	izbjeći
elkerülése	izbjegavati
elkerülése	izbjegavanje
konszenzus	konsenzus
michelle	michelle
paula	paula
gerhard	gerhard
kapcsolatai	veze
elszenvedett	izdržao
elszenvedett	pretrpio
elszenvedett	izdržali
elszenvedett	izdržala
közreműködő	suradnici
nicaragua	nikaragvi
castro	castro
vandalizmus	vandalizam
rhône	rhône
mobile	mobilni
mobile	mobitel
glenn	glen
glenn	glenn
stein	stein
gombák	gljive
gombák	gljivica
gombák	gljivice
gombák	gljivice
ablakok	windows
ablakok	prozori
ablakok	prozore
brno	brnu
reagál	reagira
évszázad	vijek
évszázad	stoljeće
évszázad	stoljeća
armstrong	armstrong
csomópont	čvor
csomópont	junction
törvénytelen	nezakonito
aranyos	slatke
aranyos	sladak
aranyos	slatko
aranyos	slatki
aranyos	slatka
próbáltam	probala
próbáltam	probali
próbáltam	probao
próbáltam	pokušao
palermo	palermo
bezárt	zatvoreno
bezárt	zatvorena
bezárt	zatvoren
csökkentése	smanji
csökkentése	smanjenje
rain	kiša
auto	automatski
kitörés	izbijanja
kitörés	epidemija
kitörés	erupcije
kitörés	erupcija
kitörés	ispad
freddie	freddie
apache	apache
apache	apači
esküvő	svadba
esküvő	vjenčanje
hudson	hudson
utcák	ulice
utcák	ulica
utcák	ulicama
technikailag	tehnički
perui	peruanski
perui	peruu
perui	peru
koreográfus	koreograf
recept	recept
társaságok	korporacija
társaságok	korporacije
társaságok	poduzeća
társaságok	tvrtke
társaságok	kompanije
társaságok	firme
siemens	siemens
kiadások	trošenje
kiadások	potrošnje
kiadások	troškove
kiadások	troškovi
nyelvészet	lingvistike
hollywoodi	hollywood
divat	moda
divat	modni
divat	fashion
divat	mode
christoph	christoph
összeg	količina
összeg	iznos
összeg	zbroj
összeg	sum
összeg	suma
nicole	nicole
nepál	nepalu
deux	deux
távközlési	telekom
távközlési	telecom
távközlési	telekomunikacije
távközlési	telekomunikacija
kocsik	automobili
kocsik	auti
kocsik	kočije
felújítás	renoviranje
felújítás	renoviranja
felújítás	obnavljanje
felújítás	obnova
felújítás	obnovu
felújítás	renoviranje
felújítás	obnova
professzionális	profesionalni
professzionális	profesionalno
professzionális	profesionalac
professzionális	profesionalna
houston	houston
ulrich	ulrich
működés	operacija
működés	funkcioniranje
istennő	božica
istennő	boginja
hidak	mostove
hidak	mostova
hidak	mostovi
kultúrák	kulture
lombard	lombard
vívás	mačevanje
vívás	mačevanje
waters	waters
fbi	fbi
későn	kasni
későn	kasno
vert	vert
szociológus	sociolog
cape	rt
cape	cape
cape	plašt
cape	ogrtač
hallani	čuti
kimondottan	konkretno
kiadatlan	neobjavljeni
vilma	vilma
lili	lili
lili	lily
lili	lili
harald	harald
plus	plus
érvénytelen	neispravan
érvénytelen	neispravna
érvénytelen	invalid
kövér	masti
kövér	debelo
kövér	masno
kövér	debela
kövér	debeli
nézett	izgledala
nézett	pogledao
kínál	ponude
kínál	nudi
kínál	ponuda
kínál	nude
kínál	nudi
kolostorban	manastir
kolostorban	samostan
kerék	kolo
kerék	točak
kerék	kotač
kerék	kotači
kerék	kotačima
vegyész	kemičar
fejlesztések	poboljšanja
fejlesztések	poboljšanje
fejlesztések	nadogradnje
emelet	sprat
emelet	kat
szimmetrikus	simetrično
kártya	kartice
kártya	karte
kártya	karticu
kártya	kartica
tankönyv	udžbenik
holmes	holmes
kötés	obvezujući
kötés	vezivanje
kötés	vezanje
kötés	pletenje
kötés	zavoj
kötés	obveznica
kötés	bond
tulajdonság	nekretnine
tulajdonság	vlasništvo
tulajdonság	imovina
tulajdonság	svojstva
légkör	atmosfera
légkör	atmosferu
légkör	atmosferski
kurd	kurdski
kurd	kurda
szabályozza	regulira
mainz	mainz
varázsló	čarobnjak
varázsló	mađioničar
heinz	heinz
sárgás	žućkasto
producerek	producenti
nyelveket	jezike
nyelveket	jezicima
nyelveket	jezici
felmérés	anketa
felmérés	ankete
felmérés	anketu
felmérés	istraživanje
felmérés	anketa
caf	caf
gyanús	sumnjivo
gyanús	sumnjiva
gyanús	osumnjičeni
henger	cilindar
henger	cilindara
műsorok	emisije
műsorok	prikazuje
műsorok	pokazuje
venezia	venezia
todd	todd
parma	parma
infrastruktúra	infrastrukturu
infrastruktúra	infrastrukture
infrastruktúra	infrastruktura
seattle	seattle
fegyvereket	oružje
fegyvereket	pištolji
fegyvereket	puške
vágy	žudnja
vágy	želju
vágy	želja
vágy	želje
vágy	požuda
vágy	žudnja
romboló	razarač
ugrás	skok
ugrás	skoči
erotikus	erotske
homo	homo
hibrid	hibrida
hibrid	hibrid
dráva	drava
bon	bon
robbie	robija
robbie	robbie
robbie	robi
morris	morris
europa	evropa
europa	europa
cukor	slatkiš
cukor	slatkiše
cukor	slatkiši
cukor	candy
cukor	šećer
cukor	šećera
terhes	trudna
terhes	trudnica
érvek	argumenata
érvek	argumente
érvek	argumenti
városokat	gradove
városokat	gradova
városokat	gradovi
triász	trijas
tömör	kompaktan
tömör	čvrsta
tömör	solidan
tömör	čvrsto
tömör	sažet
kórházi	bolnica
komédia	komedije
komédia	komedija
komédia	farsa
ita	ita
víztározó	rezervoar
roth	roth
csont	bones
csont	kosti
csont	kostiju
csont	kosti
csont	kost
csont	bone
bennett	bennett
csőre	kljun
arizona	arizona
jegyzett	citirao
baseball	bejzbol
baseball	bejzbola
baseball	baseball
egyezik	podudaranja
egyezik	odgovara
egyezik	šibice
egyezik	meč
egyezik	podudaranje
bolond	budala
algebra	algebra
kínaiak	kinezi
kínaiak	kinesko
kínaiak	kineski
kínaiak	kinez
kínaiak	kineska
igazgatóság	ravnateljstva
tibet	tibet
őszintén	iskreno
toyota	toyota
ovális	ovalnom
megosztott	dijeli
megosztott	zajednička
megosztott	podijelili
megosztott	zajedničko
megosztott	dijelili
megosztott	podijeljeni
megosztott	podijeljena
megosztott	podijeljeno
tematikus	tematske
követői	sljedbenika
követői	pratitelja
követői	sljedbenici
egyenlítői	ekvatorijalnoj
napokban	dane
napokban	danima
napokban	dana
napokban	dani
munkahelyek	poslovi
hanna	hannah
hanna	hana
hanna	hana
hanna	hanna
halottak	mrtav
burton	burton
nacionalista	nacionalističke
csatornák	kanali
csatornák	kanale
csatornák	kanali
csatornák	kanalizaciju
csatornák	kanalizacije
csatornák	kanalizacija
kezelő	operater
kezelő	upravitelj
kezelő	menadžer
kezelő	voditelj
kezelő	rukovoditelj
vatikáni	vatikana
vatikáni	vatikan
módszertani	metodološki
porsche	porsche
haiti	haiti
haiti	haićanski
hírhedt	zloglasni
hírhedt	zloglasni
tokiói	tokyo
tokiói	tokiju
tokiói	tokio
józan	trijezan
költség	cijena
költség	trošak
költség	troškovi
költség	košta
költség	troškove
költség	troškovi
ricardo	ricardo
részleteket	detalji
részleteket	pojedinosti
mel	mel
alpesi	alpine
törtek	razlomke
galamb	golubica
galamb	golubice
galamb	dove
galamb	goluba
galamb	golub
szervező	promotor
szervező	organizator
szervező	organizator
macskák	macke
macskák	mačke
befolyásos	utjecajan
elpusztította	uništen
elpusztította	uništena
hús	mesa
hús	meso
hús	mesa
hús	meso
követelt	zahtijevao
búcsú	rastanak
bástya	bastion
bástya	vrana
bástya	kula
bástya	topa
serena	serena
vosges	vosges
felipe	felipe
hirdetett	unaprijeđen
logó	logo
katalógus	kataloge
katalógus	katalog
katalógus	kataloga
katalógus	katalog
platform	platforma
platform	platformu
platform	platforme
nyelvtan	gramatiku
kollektív	kolektiv
hazafias	patriotski
rogers	rogers
tudor	tudor
tizenegyedik	eleventh
jefferson	jefferson
meghívást	pozivnica
meghívást	pozovite
meghívást	pozivnica
meghívást	pozivnicu
meghívást	poziv
feladatai	zadaci
feladatai	zadaće
feladatai	zadatke
feladatai	dužnosti
feladatai	obaveze
vállalja	počini
glasgow	glasgow
légió	legija
gyalogság	pješaštvo
értelmezni	protumačiti
bauer	bauer
muzulmán	muslimanski
muzulmán	muslimani
muzulmán	muslimana
muzulmán	musliman
fajták	sorte
hivatkozásokat	preporuke
hivatkozásokat	reference
montana	montana
montana	montanu
stratégia	strategije
stratégia	strategiju
stratégia	strategija
nélkülözhetetlen	neizostavni
biztonság	osiguranje
biztonság	sigurnost
biztonság	sigurno
biztonság	sef
biztonság	sigurna
biztonság	sigurnost
len	len
struktúra	struktura
ismétlődő	duplikat
ismétlődő	kopija
ismétlődő	ponavljaju
ismétlődő	ponovio
felvételeket	trake
bűnös	kriv
bűnös	grešnika
elsődlegesen	primarno
elsődlegesen	prvenstveno
kiejtés	izgovor
kén	sumpora
kén	sumpor
kén	sumpora
kén	sumpor
admirális	admiral
tarka	pied
váltakozó	naizmjenično
tedd	stavi
tedd	stavite
tedd	staviti
puha	mekani
puha	mekana
puha	meko
puha	mekano
zavaros	zbunjena
zavaros	zbunjeni
zavaros	zbunjeno
zavaros	zbunjen
zavaros	oblačno
zavaros	zbunjujuće
jessica	jessica
hubert	hubert
gers	gers
hitte	vjerovala
hitte	vjerovao
hitte	vjerovali
rap	rap
januárban	siječanj
januárban	siječnja
sértő	uvredljivo
sértő	uvredljivo
sértő	vrijeđanje
iowa	iowi
medina	medina
törvényeket	zakone
törvényeket	zakoni
kölcsön	posudila
kölcsön	posudio
kölcsön	posudili
kölcsön	krediti
kölcsön	kredite
kölcsön	kredit
kölcsön	zajam
kölcsön	posudi
clarke	clarke
kezdeményezés	inicijativa
kezdeményezés	inicijative
kezdeményezés	inicijativu
túlélte	preživio
túlélte	preživjeli
régiók	regije
régiók	regija
régiók	regije
régiók	regiji
régiók	regija
módosult	modificirani
algoritmus	algoritam
hallgatta	slušao
hallgatta	slušali
marton	marton
randy	randy
ferde	pokvareni
ontario	ontario
megállapítani	uspostaviti
megállapítani	uspostavi
riporter	novinarka
riporter	novinar
riporter	reporter
esély	šanse
esély	prilika
esély	chance
esély	šansa
esély	priliku
esély	šanse
esély	izgledi
szárnyas	krilati
szárnyas	peradi
ünnepség	svečanost
ünnepség	ceremonija
ünnepség	ceremoniji
ünnepség	proslava
ünnepség	slavlje
kaliforniában	california
kaliforniában	kalifornija
kaliforniában	kaliforniji
rossi	rossi
temetkezési	pogrebnik
bis	bis
kibocsátott	izdana
kibocsátott	izdano
laboratóriumi	laboratorij
laboratóriumi	laboratorija
berg	berg
állampolgár	državljanin
állampolgár	građanin
albrecht	albrecht
gomba	gljive
gomba	gljivica
gomba	gljivice
gomba	gljivice
gomba	gljive
gomba	gljiva
szavazott	glasao
szavazott	glasali
szavazott	glasovao
nyelveken	jezike
nyelveken	jezicima
nyelveken	jezici
biztosítva	osigurano
biztosítva	osiguran
biztosítva	osigurani
afganisztán	afganistan
afganisztán	afganistanu
steiner	steiner
állítólagos	navodne
állítólagos	navodni
szándéka	namjera
szándéka	namjera
szándéka	namjere
világosabb	jasniji
világosabb	jasnije
világosabb	svjetlije
világosabb	lakši
világosabb	upaljač
elérés	doseg
elérés	dohvati
visszafelé	unazad
visszafelé	unatrag
visszafelé	unazad
visszafelé	unatrag
ptolemaiosz	ptolomej
cliff	litica
cliff	cliff
memorial	spomen
nicola	nicola
képviselt	predstavljali
képviselt	predstavljao
egyenletes	ravnomjerno
egyenletes	mirno
leveleket	pisma
leveleket	slova
brecht	brecht
martínez	martínez
növényzet	vegetacije
julien	julien
antarktisz	antarktika
üzemeltetett	operirao
törzsi	plemenski
cartman	cartman
beavatkozás	miješanje
beavatkozás	smetnje
beavatkozás	uplitanje
beavatkozás	smetnja
beavatkozás	intervencija
beavatkozás	intervencije
tolkien	tolkien
karcsú	slim
karcsú	vitak
tanít	nastava
kétséges	sumnja
kétséges	upitno
dobó	bacač
technikák	tehnike
színésznők	glumice
átjáró	portala
átjáró	portal
átjáró	prolaz
átjáró	prolaz
leslie	leslie
pusztító	destruktivna
pusztító	razarač
bolygók	planete
bolygók	planeta
bolygók	planeti
pearl	pearl
pearl	biser
pearl	bisera
átdolgozott	izmijenjeni
rétegek	slojeve
álma	dream
álma	san
álma	sanjaj
postás	poštar
postás	poštar
essen	essen
találkozni	susret
találkozni	upoznati
találkozni	upoznajte
romantika	romantike
romantika	romansa
romantika	romantika
feldolgozó	procesor
elena	elena
elena	elenu
elektron	elektrona
konferencián	konferencije
konferencián	konferencija
konferencián	konferenciji
telek	zemlja
telek	kopno
telek	land
telek	zemljište
sűrűsége	gustoća
dôme	dôme
singer	singer
singer	pjevačica
singer	pjevač
lejárt	istekla
anatómiai	anatomske
zambia	zambiji
leon	leone
leon	leon
laosz	laosu
casa	casa
vezetni	pogon
vezetni	vozi
rico	rico
haydn	haydn
felhasználás	koristi
felhasználás	iskoristi
felhasználás	upotrebi
felhasználás	upotrijebi
felhasználás	potrošnja
felhasználás	potrošnje
korong	disk
korong	puck
korong	pak
korong	diska
korong	medij
korong	disk
hűséges	odani
hűséges	vjeran
hűséges	odan
hűséges	vjerni
hűséges	odana
hűséges	vjerna
hűséges	vjeran
hűséges	vjerni
elektronikai	elektroniku
elektronikai	elektronike
venezuelai	venezuela
paradicsom	rajčica
paradicsom	paradajz
paradicsom	rajčice
paradicsom	rajčica
paradicsom	paradajz
paradicsom	raja
paradicsom	raj
paradicsom	paradise
fenntartása	održavati
álláspont	položaj
álláspont	pozicija
fenyegető	prijeteće
fenyegető	prijeteći
fenyegető	prijeteće
fenyegető	prijeteći
fenyegető	prijeti
házigazda	domaćin
házigazda	voditelj
harmadszor	treći
harmadszor	treća
harmadszor	treće
faktor	čimbenik
faktor	faktor
federico	federico
növelése	povećanje
samantha	samantha
emily	emili
emily	emily
hbo	hbo
szingapúr	singapuru
giacomo	giacomo
oszlopok	stupove
oszlopok	stupovi
oszlopok	kolone
oszlopok	stupovi
martina	martina
darwin	darwin
domenico	domenico
küld	pošalje
küld	šalje
küld	šaljem
küld	slanje
küld	pošaljite
küld	šalji
küld	pošalji
doug	dag
doug	doug
lakók	stanovnici
lakók	stanovnika
lakók	stanari
lakók	stanari
republikánus	republikanac
rosszindulatú	uvredljiv
rosszindulatú	nasilan
rosszindulatú	zlonamjerni
rosszindulatú	maligni
rövidítések	skraćenice
arabok	arapi
elemzés	analize
elemzés	analiza
tehetségét	talenti
tehetségét	talente
veronika	veronika
nomád	nomadska
nomád	nomad
járvány	izbijanja
járvány	epidemija
járvány	kuge
járvány	kuga
járvány	pandemija
járvány	epidemija
járvány	epidemiju
kötni	plesti
megfigyelő	promatrač
lille	lille
vicces	smiješno
hónapok	meseci
hónapok	mjeseci
hónapok	mjesecima
laurent	laurent
gázok	plinovi
gázok	plinova
gázok	plinove
válás	razvod
válás	rastava
chan	chan
másképpen	inace
másképpen	inače
halászat	ribarstvo
halászat	pecanje
halászat	ribolov
halászat	peca
évkönyv	godišnjak
neill	neill
lánc	lanaca
lánc	lanci
lánc	lanac
oxid	oksid
fortuna	fortuna
nielsen	nielsen
leeds	leeds
vega	vega
befejeződött	dovršeno
befejeződött	završena
befejeződött	završio
befejeződött	završeno
boris	boris
fenyegeti	prijeti
kliens	klijent
kliens	klijenta
koalíció	koalicije
koalíció	koaliciju
koalíció	koalicija
koalíció	koaliciji
tűzoltó	vatrogasac
tűzoltó	vatrogasac
szex	seks
szex	seksa
szex	sex
nagyobbak	veća
nagyobbak	veći
nagyobbak	veće
nagyobbak	veći
nagyobbak	veci
nagyobbak	veće
utazók	putnici
utazók	putnik
utazók	putnici
kőolaj	ulje
kőolaj	nafta
kőolaj	petroleum
spin	spin
spin	okret
hálózatok	mreže
krónikus	kronična
rajza	crtanje
rajza	crtež
mónika	monica
mónika	monika
evolúciós	evolucijski
logikus	logički
logikus	logično
utasítások	upute
utasítások	instrukcije
kertészeti	vrtlarstvo
hasi	abdomena
jürgen	jürgen
vád	naplaćuje
vád	optužbe
vád	optužba
vád	tužiteljstva
vád	tužiteljstvo
lábai	noge
ellenálló	otporan
ellenálló	otporna
ellenálló	otporno
ellenálló	otpor
lovagi	viteštvo
lucy	lucy
lucy	lusi
liter	litra
liter	litri
liter	litra
liter	litara
műhelyek	radionice
dylan	dylan
derek	derek
suzuki	suzuki
camp	logor
camp	kamp
camp	camp
dublin	dublinu
dublin	dublin
kontinensen	kontinentu
kontinensen	kontinent
kontinensen	kontinenta
britney	britney
