레프	lev
갑옷	zırh
갑옷	zırhlı
갑옷	zırh
평행	paralel
미드웨이	midway
현명한	akıllı
현명한	bilge
현명한	akıllıca
시온	zion
나카하라	nakahara
아스타나	astana
노부유키	nobuyuki
수잔	susan
장례	defin
장례	cenazesi
장례	cenaze
아라키	araki
프라이부르크	freiburg
그리스인	yunanlılar
열기	açık
열기	open
열기	açın
열기	aç
열기	açıl
열기	açar
열기	açılacak
열기	açılır
열기	açılıyor
셔틀	mekik
셔틀	mekikleri
순교자	şehit
순교자	şehit
피스	huzur
피스	barış
정밀	hassasiyeti
정밀	hassasiyet
정밀	hassas
정밀	kesinlik
같음	eşittir
같음	eşit
샌드위치	sandviç
샌드위치	sandviç
모의	model
모의	maket
모의	alay
센타우루스자리	erboğa
센타우루스자리	centauri
에이전시	ajansı
에이전시	ajans
에이전시	teşkilat
바리	bari
아토스	athos
디렉터리	dizin
디렉터리	dizini
디렉터리	rehberi
디렉터리	dizinleri
디렉터리	dizin
디렉터리	dizini
떨어지지	düşme
떨어지지	düşüş
떨어지지	güz
떨어지지	sonbahar
떨어지지	düşmek
리어	lear
열정	heves
열정	coşku
열정	hevesli
열정	coşkulu
열정	tutkulu
열정	tutku
열정	tutkun
열정	ihtiras
열정	tutkuları
이동식	çıkarılabilir
예배	secde
예배	ibadet
예배	kulluk
수백만	milyonlar
수백만	milyonlarca
수백만	milyon
미즈호	mizuho
글로브	küre
기린	zürafa
기린	kirin
기린	zürafalar
수년	yıllarca
수년	yıllardır
수년	yıllar
수년	yılların
수년	seneler
아이패드	ipad
파산	iflas
파산	iflas
버펄로	bufalo
버펄로	buffalo
무작위로	rasgele
무작위로	rastgele
무작위로	rasgele
배경색	geçmişi
배경색	arkaplan
이겨	alt
우울	depresyonda
우울	depresif
우울	depresyona
우울	bunalım
우울	depresif
우울	bunaltıcı
우울	hüzün
우울	melankolik
낙하산	paraşütle
낙하산	paraşüt
낙하산	paraşütü
홀로코스트	soykırım
클론	klon
클론	klon
디스커버리	keşfi
디스커버리	keşif
디스커버리	discovery
테크	teknoloji
테크	tech
테크	teknik
샐리	sally
절약	tasarruf
절약	kurtarmak
절약	kaydetme
알마티	almatı
곱셈	çarpma
스와	suwa
투르	turlar
투르	turları
교정	düzeltici
교정	kalibrasyon
교정	düzeltme
교정	düzeltiyorum
교정	düzeltti
교정	düzelttim
교정	sınama
앙투안	antoine
리히텐슈타인	lihtenştayn
리히텐슈타인	lichtenstein
변동이	varyasyon
장례식	cenazesi
장례식	cenaze
장례식	cenaze
오데사	odessa
사모아	samoalı
사모아	samoa
레이먼드	raymond
저널리스트	gazeteci
저널리스트	muhabir
저널리스트	gazeteciler
저널리스트	muhabirler
저널리스트	gazetecilerin
차드	chad
차드	cad
장학금	burs
장학금	bursu
장학금	burslu
장학금	burs
무하마드	muhammed
체르노빌	çernobil
강력	güçlü
강력	güçlüler
해석학	analitik
해석학	analizi
해석학	analiz
해석학	analizler
카사블랑카	casablanca
어디로	nereye
어디로	nerde
어디로	nere
어디로	nerede
커먼즈	commons
레지던트	yerleşik
레지던트	asistan
레지던트	ikamet
레지던트	sakinleri
레지던트	ihtisas
파라오	firavunlar
파라오	firavun
소음	ses
소음	gürültü
소음	sesler
공백	boşluklar
갇힌	kapana
제조사	satıcı
제조사	sağlayıcı
제조사	üretici
제조사	üreticisi
레슬리	lesley
레슬리	leslie
에미레이트	emirlikleri
응원	tezahürat
학대	taciz
학대	suistimal
학대	istismar
올림포스	olympus
세계화	küreselleşme
먹이	av
에리크	erik
에리크	eric
리버티	özgürlük
리버티	hürriyet
리버티	liberty
로크	locke
투르크메니스탄	türkmenistan
투르크메니스탄	türkmen
포위전	kuşatma
코카콜라	cola
코카콜라	kokain
코카콜라	kola
오스트레일리아인	avustralyalılar
화합	ahenk
화합	uyumu
화합	uyum
화합	harmony
포탈	portal
포탈	portalları
포탈	portal
포탈	geçit
히브리	ibranice
맥도날드	mcdonald
맥도날드	macdonald
맥도날드	mcdonald
맥도날드	mcdonalds
윤리학	ahlak
윤리학	etik
브레스트	brest
통치자	hükümdar
낚시	balık
낚시	balıkçılık
밀리미터	milimetre
밀리미터	milimetre
밀리미터	milimetre
밀리미터	santimetre
밀리미터	milimetre
노퍽	norfolk
기울여	eğik
커스텀	özel
비참한	perişan
비참한	sefil
디랙	dirac
호환성	uyumluluk
수마트라	sumatra
전망	prospect
전망	outlook
전망	görünüm
메콩	mekong
앨릭스	alex
보나파르트	bonaparte
선덜랜드	sunderland
동정	sempati
동정	şefkat
동정	merhamet
칼리아리	cagliari
전자공학	elektronik
수익	gelir
수익	kazanç
수익	kazançlar
수익	gelirleri
수익	gelirler
수익	kâr
수익	kar
수익	kazançlar
수익	kazanç
검토하기	inceleme
검토하기	değerlendirme
검토하기	gözden
랠프	ralph
전구	ampul
아이오딘	iyot
돌연변이	mutant
돌연변이	mutasyon
데이지	papatya
데이지	daisy
토리	tory
토리	tori
무신론	ateizm
무신론	ateist
무신론	ateist
무신론	ateistler
실험실	laboratuar
실험실	laboratuvar
실험실	laboratuvarları
실험실	laboratuar
실험실	laboratuvar
실험실	laboratuar
실험실	lab
실험실	laboratuvar
홈즈	holmes
페레스	peres
페레스	pérez
간지	kanji
플랑드르	flaman
지우	açık
지우	net
지우	temizle
지우	temiz
지우	berrak
지우	sil
반대편	karşıt
반대편	zıt
수렴	yakınsama
프로그래머	programcılar
프로그래머	programcı
관광객	turistik
관광객	turist
관광객	turizm
관광객	turistler
관광객	turist
제럴드	gerald
습작	nemli
도끼	balta
도끼	balta
월리스	wallace
재판소	saray
재판소	mahkeme
재판소	court
둘레	kalınlığı
상업용	ticari
상업용	reklam
수영장	havuzları
수영장	bilardo
수영장	havuz
수영장	havuzu
이민자	göçmen
환영	hoşgeldiniz
환영	hoşgeldin
데이먼	damon
자발적	gönüllü
황소	boğa
황소	bull
안달루시아	endülüs
안달루시아	andalucia
음악원	konservatuvarı
화랑	galeri
화랑	galerisi
스택	yığın
스택	stack
큐슈	kyushu
에픽	destansı
에픽	destan
블로거	blogger
친구들이	dostlar
친구들이	arkadaşlar
친구들이	arkadaş
친구들이	arkadaslar
파인	çam
재무	finans
재무	finansal
재무	mali
재무	finansman
재무	maliye
재무	finans
재무	finanse
치과	dişçi
치과	diş
치과	dişçilik
알렌	alan
인코딩	kodla
인코딩	kodlama
몰리	mollie
몰리	molly
몰리	morley
트루	tru
화살	okları
화살	oklar
화살	ok
화살	arrow
심리학자	psikolog
섹션	bölüm
섹션	kısım
섹션	bölümü
섹션	bölümleri
섹션	kısımlar
섹션	bölümler
햄릿	hamlet
요시노부	yoshinobu
구문	deyim
구문	sözdizimi
그린란드	grönland
루브르	louvre
초원	çayır
초원	meadow
무시	aldırma
무시	görmezden
무시	görevden
무시	gözardı
무시	görmezden
땅콩	fıstık
땅콩	ceviz
땅콩	fındık
땅콩	çatlak
땅콩	kaçık
땅콩	deli
땅콩	ceviz
땅콩	fındık
땅콩	çatlak
땅콩	fıstık
땅콩	fıstıklar
닐스	nils
대표자	temsilcisi
대표자	temsilci
가끔은	bazen
미러	aynalar
미러	ayna
미러	ayna
다카오카	takaoka
결제	ödeme
결제	öde
결제	ödeme
결제	ödeme
결제	ödemeler
트럼프	koz
트럼프	trump
갈릴레이	galilei
브룩	brooke
브룩	brook
카이사르	caesar
카이사르	sezar
아름답다	guzel
아름답다	beautiful
아름답다	güzel
아름답다	güzelim
단자	bağlayıcı
역설	paradoks
역설	çelişki
역설	paradokslar
불행한	mutsuz
불행한	talihsiz
불행한	talihsizlik
안도라	andorra
마리야	marie
띄어쓰기	boşluklar
띄어쓰기	boşluk
폐기물	boşa
폐기물	ziyan
폐기물	atık
폐기물	harcama
폐기물	israf
허가서	ehliyet
허가서	lisans
호위함	fırkateyn
어린시절	çocukluğum
어린시절	çocukluğu
어린시절	çocukluk
달빛	ayışığı
어메이징	harika
어메이징	muhteşem
어메이징	şaşırtıcı
어메이징	inanılmaz
브렛	brett
알토	alto
올리비아	olivia
브라질리아	brasilia
칼데라	caldera
켄타	kenta
급한	acil
솔리드	katı
솔리드	sağlam
외할아버지	dede
외할아버지	büyükbaba
외할아버지	dedesi
캐머런	cameron
눈물이	gözyaşları
눈물이	yaşlar
눈물이	gözyaşı
단순하게	basitçe
의사소통	haberleşme
의사소통	iletişim
의사소통	konuşkan
충전	hücum
충전	suçlama
충전	şarj
넓이	geniş
베스	beth
임상	klinik
전세	charter
몽키	maymun
터빈	türbin
터빈	türbinler
사슴	geyik
시에라	sierra
로건	logan
카와시마	kawashima
기독교인	hıristiyanlar
기독교인	hıristiyan
기독교인	hristiyan
기독교인	hristiyanlar
소원	dilek
소원	keske
소원	keşke
소원	dilekler
소원	dilek
수다	konuşkan
수다	geveze
존경하는	saygın
비례	orantılı
베스트셀러	bestseller
모니터링	izlenen
모니터링	izlenmesi
모니터링	izleme
모니터링	gözlem
모니터링	ekran
모니터링	monitör
오크	ork
엣지	kenar
엣지	edge
하모니카	mızıka
파이썬	python
쓸데없는	gereksiz
쓸데없는	faydasız
쓸데없는	yararsız
난이도	güçlük
난이도	sıkıntı
난이도	zorluk
난이도	zorluklar
오구라	ogura
브룩스	brooke
브룩스	brooks
나뭇잎	yapraklar
나뭇잎	yaprak
나뭇잎	yaprak
현관	veranda
미니애폴리스	minneapolis
스바루	subaru
사담	saddam
팟캐스트	podcast
파라	farah
아이디어	fikirler
아이디어	fikirleri
아이디어	fikri
아이디어	fikir
관습	gümrük
캐롤라이나	carolina
인터랙티브	etkileşimli
인터랙티브	interaktif
부상당한	yaralandı
부상당한	yaralılar
부상당한	yaralı
페널티	penaltı
페널티	cezası
페널티	ceza
합금	alaşım
합금	alaşımlar
케이시	casey
기꺼이	memnuniyetle
퍼거슨	ferguson
수사관	müfettişler
수사관	araştırmacılar
우회	baypas
드레이크	drake
애니멀	hayvan
죄수	mahkumlar
죄수	tutsak
죄수	esirler
기증	bağışta
기증	bağış
훔볼트	humboldt
맬컴	malcolm
푸틴	putin
패킷	paketleri
패킷	paketler
아카기	akagi
다카기	takagi
공학자	mühendis
공학자	mühendisi
공학자	makinist
프리덤	özgürlük
프리덤	özgürlüğü
프리덤	özgür
프리덤	hürriyet
서킷	devre
요시키	yoshiki
유야	yuya
동지	gündönümü
동지	yoldaş
동지	yoldaşlar
메이슨	mason
침묵	sessiz
침묵	sessizlik
침묵	sessiz
중성	tarafsız
헌트	hunt
헌트	avlanmak
헌트	av
괴산	kaçırılmış
괴산	kaçırıldı
괴산	kaçırdı
괴산	kaçırılan
부등식	eşitsizlik
벵골	bengali
벵골	bengal
여자들	kadınları
여자들	kadın
여자들	kadinlar
여자들	kadınlar
융합	füzyon
융합	erimiş
비틀즈	beatles
니코	niko
니코	nico
장화	çizmeler
장화	botlar
장화	bot
장화	botları
장화	çizme
스나이퍼	nişancı
버팔로	bufalo
버팔로	buffalo
커리어	kariyeri
커리어	kariyer
커리어	kariyer
공구	alet
공구	aracı
공구	araç
일자리	işler
일자리	görevler
일자리	iş
프로스트	buz
프로스트	frost
셰인	shane
크릭	crick
둥지	yuva
아바타	avatar
일시적	geçici
맥도널드	mcdonald
맥도널드	macdonald
맥도널드	mcdonald
마늘	sarımsak
마늘	sarımsaklı
절벽	uçurum
절벽	uçurum
절벽	cliff
유머	espri
유머	mizah
유머	espri
유머	mizah
박쥐	bat
박쥐	yarasa
박쥐	sopa
박쥐	yarasalar
박쥐	yarasa
올림푸스	olympus
빙하	buzullar
푸앵카레	poincaré
듀엣	düet
스타킹	çorap
스타킹	çoraplar
스타킹	çorap
콤플렉스	karışık
콤플렉스	kompleks
콤플렉스	karmaşık
빈곤	sefalet
빈곤	yoksulluk
빈곤	fakirlik
럭셔리	lüks
어쨌거나	herneyse
어쨌거나	neyse
보츠와나	botsvana
무늬	desenli
물결	dalgalar
물결	dalga
스트레이트	düz
이탈리아인	italyanlar
이탈리아인	italyanca
이탈리아인	italyan
생태계	ekosistem
생태계	ekosistemler
듀티	vazife
듀티	görev
홀리	holly
로체스터	rochester
무작위	rastgele
무작위	rasgele
발렌타인	sevgililer
발렌타인	valentine
처칠	churchill
랜스	lance
랜스	mızrak
보손	bozonlar
엑셀	excel
서스펜션	uzaklaştırma
투자가	yatırımcı
스킨	derisi
스킨	cildi
스킨	cilt
스킨	ten
스킨	deri
니노미야	ninomiya
지배자	baskın
헬레나	helena
이사벨라	isabella
각도	açısı
각도	açı
도망자	firari
도망자	kaçak
파이트	kavga
파이트	kavgalar
토네이도	hortum
토네이도	kasırga
습지	bataklık
습지	marsh
습지	sulak
열쇠	anahtar
열쇠	anahtarları
열쇠	anahtarlar
봄바디어	bombacı
아들들	sons
아들들	oğullar
아들들	oğulları
구두	ayakkabı
시리얼	seri
시리얼	gevrek
시리얼	tahıl
예언	kehanetler
예언	peygamberlerin
예언	kehanetler
예언	peygamberler
예언	kehanet
예언	kehaneti
점화	ateşleme
점화	kontak
프레스	press
프레스	basın
프레스	basin
프레스	basında
프레스	bas
마스터스	masters
마스터스	efendiler
마스터스	hocam
마스터스	usta
마스터스	üstad
토양	toprak
레이첼	rachel
레이첼	rachael
아론	harun
아론	aaron
아론	aron
신념	faith
신념	iman
신념	inanç
신념	inançları
신념	inanç
얼티밋	nihai
변조	modülasyonu
플라즈마	plazma
복음	incili
복음	incil
복음	hidayet
복음	rehberlik
우표	pul
우표	damga
우표	posta
우표	pul
우표	pulları
조앤	joan
조앤	jeanne
일본항공	jal
히사시	hisashi
이온화	iyonlaşma
오리온자리	orion
소수점	ondalık
소수점	ondalık
타악기	perküsyon
썬더	yıldırım
썬더	şimşek
썬더	thunder
마샬	mareşal
마샬	marshall
라이징	yükselen
라이징	yükseliyor
라이징	artıyor
셰이크	şeyh
셰이크	şeyh
아이카와	aikawa
창문	pencere
창문	pencereyi
댄싱	dans
저수지	rezervuar
슈가	şeker
슈가	şekerli
슈가	şekerim
슈가	seker
관리하기	yönet
관리하기	yönetmek
불쾌한	tatsız
불쾌한	sevimsiz
불쾌한	nahoş
버뮤다	bermuda
정보상자	bilgikutusu
피사	pisa
체스터	chester
리오넬	lionel
판도라	pandora
인터럽트	kesinti
인터럽트	kesmeler
매스	kitle
매스	ayin
매스	toplu
매스	kütle
매스	yığınak
인디애나폴리스	indianapolis
주님	lord
주님	rab
주님	rabbim
마돈나	madonna
마돈나	meryem
반영	yansıma
반영	yansıması
미화	tl
인플루엔자	grip
인플루엔자	grip
인플루엔자	nezle
자바스크립트	javascript
마르티네스	martinez
전시관	fuar
전시관	sergi
전시관	gösteri
콜롬보	colombo
암살자	suikastçılar
암살자	suikastçı
암살자	suikastçi
알랭	alain
코스모스	evren
코스모스	kainat
코스모스	cosmos
더럼	durham
세타	teta
세타	seta
시아파	shia
요시노리	yoshinori
궁궐	saray
궁궐	sarayı
궁궐	palace
미묘한	ince
미묘한	kurnazca
퓨전	füzyon
캄차카	kamçatka
랭커스터	lancaster
일하기	çalışıyorum
일하기	çalışıyor
일하기	çalışmak
일하기	çalışan
프레이저	fraser
마커스	marcus
슈테판	stefan
슈테판	stephan
아나키즘	anarşizm
사보이	savoy
애비뉴	bulvarı
애비뉴	bulvar
애비뉴	avenue
애비뉴	caddesi
알칼리	alkalin
바라며	umarak
바라며	umuyor
기쁨	sevinç
기쁨	joy
기쁨	keyif
기쁨	neşe
기쁨	zevkler
기쁨	memnuniyet
기쁨	zevk
기쁨	haz
기쁨	keyif
오자키	ozaki
뉴펀들랜드	newfoundland
헌장	charter
클러스터	küme
클러스터	kümeler
핼리팩스	halifax
첸나이	chennai
프록시	vekil
프록시	proxy
바스	banyo
바스	küvet
핵분열	füzyon
인피니트	sonsuz
아무나	kimse
스텔라	stella
릴리즈	sürüm
릴리즈	serbest
릴리즈	bültenleri
제라드	gerrard
제라드	gerard
아바스	abbas
궁수자리	yay
클레오파트라	kleopatra
시편	ilahi
시편	zebur
잉카	inka
카라카스	caracas
도도	derece
도도	dereceler
서식	biçimlendirme
산토스	santos
크라쿠프	kraków
산책	yürü
산책	yürüyüş
플라잉	uçan
플라잉	uçuyor
플라잉	uçmak
제롬	jerome
패트리어트	vatansever
미학	estetik
미학	estetik
물품	ürünler
물품	mallar
물품	mal
물품	meta
그리기	çizim
그리기	resim
헤라클레스	herkül
헤라클레스	herakles
쥐라기	jurassic
용품	erzak
용품	malzeme
용품	malzemeler
콘스탄티노스	konstantin
콘스탄티노스	constantine
서포터	destekçi
하코네	hakone
마술	büyücülük
마술	magic
마술	sihirli
마술	sihir
마술	büyü
마술	büyülü
부담	yük
각색	uyarlamalar
폭력적인	şiddet
폭력적인	şiddetli
그리니치	greenwich
매운	acılı
매운	baharatlı
바리톤	bariton
허락	izni
허락	izin
네덜란드인	hollanda
네덜란드인	hollandalı
네덜란드인	hollandalı
본드	senet
본드	bağ
본드	tahvil
본드	bond
섹터	sektörü
섹터	sektör
