euroncap	euroncap
alfons	alfonso
alfons	germo
alfons	mucikari
właściwy	kompeten
amerykanin	american
amerykanin	amerika
linux	linux
bordeaux	bordeaux
teorie	teori
teorie	teori
hierarchii	hierarki
hierarchii	hirarki
centralne	central
centralne	tengah
centralne	pusat
centralne	sentral
centralne	upt
porsche	porsche
emilia	emilia
emilia	tempuh
emilia	emilie
powiązane	dikaitkan
powiązane	diasosiasikan
powiązane	terkait
powiązane	terhubung
powiązane	terkoneksi
powiązane	tersambung
powiązane	ditautkan
powiązane	terkait
powiązane	terhubung
powiązane	berhubungan
powiązane	berkaitan
powiązane	terkait
katolicyzm	katolik
bolszewików	bolshevik
milion	juta
milion	million
milion	sejuta
powierzono	dipercayakan
etiopii	ethiopia
etiopii	etiopia
etiopii	ethiopia
etiopii	etiopia
doświadczeń	pengalaman
projektant	perancang
projektant	designer
projektant	desainer
otwór	aperture
otwór	bukaan
otwór	lubang
otwór	hole
otwór	lobang
justyna	justine
justyna	justin
propagandy	propaganda
odpowiedzialność	tanggungjawab
odpowiedzialność	pertanggungjawaban
odpowiedzialność	akuntabilitas
police	polisi
police	kepolisian
police	police
bundesligi	bundesliga
dysku	disk
dysku	diska
dysku	cakram
hokej	hockey
hokej	hoki
liu	liu
odkryty	outdoor
wyjaśnienia	penjelasan
wyjaśnienia	penjelasan
wyjaśnienia	klarifikasi
ołeksandr	oleksandr
okrążenia	lap
okrążenia	pangkuan
okrążenia	lap
wyższy	tinggi
hop	hop
współrzędnych	koordinat
marynarzy	pelaut
marynarzy	pelaut
marynarzy	mariners
avenue	avenue
gustav	gustav
samodzielne	mandiri
mobile	mobile
mobile	seluler
mobile	ponsel
mobile	handphone
filadelfii	philly
filadelfii	philadelphia
oddziaływania	dampak
kadencja	term
kadencja	istilah
kadencja	tenure
poczta	surat
poczta	mail
poczta	surel
poczta	kiriman
poczta	posting
poczta	kirimkan
poczta	kirim
poczta	post
wenus	venus
zapraszam	welcome
cosworth	cosworth
funduszu	fund
funduszu	dana
felipe	felipe
filialny	berbakti
zasług	merit
wyemigrował	berhijrah
wyemigrował	berimigrasi
wyróżnić	menyorot
wyróżnić	sorotan
wyróżnić	sorot
wyróżnić	penyorotan
wyróżnić	menyoroti
wyróżnić	menonjolkan
zurychu	zurich
pasażerski	penumpang
cia	cia
cia	pkb
cia	cia
cia	cla
pojedynczy	single
pojedynczy	lajang
pojedynczy	jomblo
pojedynczy	tunggal
sprinter	sprinter
ból	sakit
ból	kesakitan
ból	pain
ból	nyeri
rgb	rgb
pierwotne	primal
pierwotne	primer
pierwotne	utama
pierwotne	primary
grobu	kubur
grobu	kuburan
grobu	makam
więzienie	penjara
więzienie	penjara
więzienie	prison
kupił	dibeli
kupił	membeli
wycofany	ditarik
justin	justin
beck	beck
true	benar
true	true
ginie	gina
collegium	collegium
indianapolis	indianapolis
kadetów	kadet
kadetów	taruna
sprawdzone	diperiksa
sprawdzone	diverifikasi
sprawdzone	terverifikasi
sprawdzone	diperiksa
sprawdzone	diuji
sprawdzone	teruji
żużlu	speedway
rzymskie	roman
rzymskie	romawi
godło	lambang
godło	emblem
hampshire	hampshire
motywy	tema
motywy	resital
motywy	motif
tras	rute
rakieta	rocket
rakieta	roket
rakieta	rudal
rakieta	misil
rakieta	missile
hart	hart
khan	khan
wymieniona	direferensikan
wymieniona	dirujuk
podanie	lamaran
podanie	aplikasi
podanie	oper
podanie	lulus
podanie	pass
akademickie	akademik
akademickie	akademisi
akademickie	akademis
akademickie	academia
akademickie	akademisi
szt	pcs
szt	pc
dialogi	dialog
aparatu	kamera
aparatu	camera
przyszedł	came
przywilej	keistimewaan
przywilej	keistimewaan
sri	sri
lekki	cahaya
lekki	lampu
lekki	light
lekki	terang
lekki	ringan
lekki	ringan
karaibów	karibia
karaibów	caribbean
konserwatorium	konservatori
basen	kolam
basen	pool
roll	roll
roll	gulung
uchodźców	pengungsi
uchodźców	pengungsi
owoc	buah
empire	imperium
empire	empire
empire	kekaisaran
pióra	pena
pióra	bulu
ski	ski
okręgów	distrik
regularne	biasa
regularne	regular
regularne	reguler
break	istirahat
break	break
druku	percetakan
druku	pencetakan
druku	mencetak
druku	cetak
zasoby	sumberdaya
zasoby	sumberdaya
zasoby	bursa
zasoby	stock
zasoby	saham
zasoby	stok
ran	luka
objętości	volume
objętości	borongan
objętości	volum
objętości	volume
objętości	volum
objętości	jilid
radosław	radosław
czystości	kesucian
czystości	kemurnian
oskar	oscar
oskar	oskar
szczęścia	keberuntungan
szczęścia	beruntung
szczęścia	peruntungan
szczęścia	luck
szczęścia	kebahagiaan
szczęścia	happiness
szczęścia	kebahagian
modlitwa	sembahyang
modlitwa	sholat
modlitwa	berdoa
modlitwa	doa
modlitwa	sholat
modlitwa	shalat
modlitwa	doa
modlitwa	salat
modlitwa	sembahyang
marine	marinir
marine	marine
marine	laut
marine	kelautan
rasa	breed
rasa	biak
rasa	balapan
rasa	race
rasa	perlombaan
rasa	ras
rasa	lomba
tymczasowy	temporer
tymczasowy	sementara
satelita	satellite
satelita	satelit
pérez	pérez
przykładów	contoh
przykładów	contohnya
era	kala
era	epoch
era	zaman
era	era
lang	lang
królowie	kings
pascal	pascal
szóste	keenam
szóste	sixth
pomógł	terbantu
pomógł	dibantu
gridcolor	gridcolor
teatrów	teater
teatrów	teater
teatrów	bioskop
dyskografia	diskografi
koń	horse
koń	kuda
pacjenta	sabar
pacjenta	pasien
potrzebna	membutuhkan
potrzebna	perlukan
potrzebna	perlu
potrzebna	kebutuhan
potrzebna	need
potrzebna	butuh
potrzebna	diperlukan
potrzebna	dibutuhkan
proponuje	mengusulkan
uderzenie	impact
uderzenie	berdampak
uderzenie	dampak
uderzenie	benturan
uderzenie	ramaikan
uderzenie	memukul
popełnił	berkomitmen
piaski	sands
annie	annie
secret	rahasia
secret	secret
zmniejsza	mengurangi
polecenia	perintah
polecenia	perintah
polecenia	komando
fortu	benteng
fortu	fort
aleksandrii	aleksandria
aleksandrii	alexandria
praktyka	magang
praktyka	praktek
praktyka	latihan
praktyka	praktik
praktyka	berlatih
sainte	sainte
ska	ska
zaangażowany	melibatkan
zaangażowany	terlibat
zaangażowany	berkomitmen
zakończony	dihentikan
zakończony	diakhiri
pomiarów	pengukuran
renesansu	renaisans
renesansu	renaissance
częste	common
częste	sering
jelita	usus
jelita	usus
jelita	ususnya
jelita	usus
jelita	ususnya
zdrowie	kesehatan
cbs	cbs
rolnicze	pertanian
partnerem	partner
partnerem	mitra
partnerem	pasangan
partnerem	rekan
przedstawiono	disajikan
przedstawiono	dihadirkan
honoru	kehormatan
honoru	kehormatan
honoru	honor
square	square
square	persegi
square	kuadrat
odrębne	terpisah
odrębne	pisahkan
odrębne	memisahkan
odrębne	dipisah
obydwa	berdua
obydwa	keduanya
czaszki	tengkorak
czaszki	skull
fischer	fischer
białek	protein
publiczny	publik
publiczny	public
mail	surat
mail	mail
mail	surel
tronie	tahta
tronie	singgasana
tronie	arsy
tronie	takhta
kogo	siapa
kogo	who
heaven	sorga
heaven	kayangan
heaven	surga
heaven	heaven
cen	cen
rozkładu	pembusukan
rozkładu	dekomposisi
piła	minum
piła	gergaji
piła	saw
śniegu	salju
śniegu	snow
damian	damian
istoty	makhluk
istoty	mahluk
ołtarzu	altar
ołtarzu	mezbah
policjant	polisi
policjant	cop
toledo	toledo
cannes	cannes
informacyjny	informatif
geschichte	geschichte
gospodarstwo	farm
gospodarstwo	perkebunan
gospodarstwo	peternakan
gospodarstwo	ladang
gospodarstwo	pertanian
gospodarstwo	menahan
gospodarstwo	memegang
gospodarstwo	holding
czwartego	keempat
wiosce	kampung
wiosce	dusun
wiosce	desa
wiosce	village
ograniczona	limited
ograniczona	terbatas
ograniczona	dibatasi
ograniczona	terbatas
ograniczona	dibatasi
kontynuować	lanjutkan
dem	dem
potwierdzenie	konfirmasi
potwierdzenie	pengakuan
management	management
management	manajemen
management	pengelolaan
split	belah
split	pecah
split	split
split	pisah
kenneth	kenneth
sosna	pinus
sosna	pine
paragwaju	paraguay
bunt	pemberontakan
bunt	memberontak
bunt	pemberontakan
bunt	pemberontakan
bunt	pemberontak
pete	pete
suche	dry
suche	mengeringkan
suche	kering
suche	keringkan
ward	ward
ward	bangsal
baz	baz
owłosione	berbulu
promieniowanie	radiasi
eduardo	eduardo
sweet	sweet
sweet	manis
skierowane	diarahkan
skierowane	disutradarai
skierowane	sutradara
kolorów	warna
kolorów	colors
fernández	fernández
rycerz	ksatria
rycerz	knight
rycerz	kesatria
zapewnienia	pastikan
zapewnienia	memastikan
watson	watson
wyraża	mengungkapkan
wyraża	mengekspresikan
wprowadzona	diperkenalkan
wprowadzona	memperkenalkan
wprowadzona	dikenalkan
zwrot	kembali
zwrot	return
zwrot	pelunasan
przypisuje	tugaskan
funkcjonowanie	operasi
białoruś	belarus
białoruś	belarusia
socjalistyczna	sosialis
czołg	tangki
czołg	tank
egzemplarze	salinan
zboczach	lereng
słowackiej	slowakia
widział	gergaji
widział	saw
połączona	digabungkan
połączona	digabung
patrol	patroli
patrol	patrol
patrol	berpatroli
litera	surat
litera	huruf
litera	letter
oznaczony	ditandai
oznaczony	ditandai
control	control
control	kendali
control	kontrol
control	pengendalian
control	mengontrol
control	kendalikan
chóru	choir
chóru	chorus
starcia	tawuran
starcia	bentrokan
stacjonował	ditempatkan
maroka	maroko
athletic	athletic
athletic	atletik
athletic	atletis
aresztowania	penangkapan
okien	windows
okien	jendela
karen	karen
reorganizacji	reorganisasi
śledztwo	investigasi
śledztwo	penyelidikan
enwiki	enwiki
wrc	wrc
praktyczny	praktis
ograniczony	limited
ograniczony	terbatas
ograniczony	dibatasi
ograniczony	terbatas
ograniczony	dibatasi
arabskie	arab
arabskie	arab
arabskie	arabic
lewo	kiri
lewo	tersisa
dno	bawah
dno	terbawah
dno	bottom
kopenhadze	kopenhagen
kopenhadze	copenhagen
wyścigi	balapan
wyścigi	ras
wyścigi	balapan
wyścigi	balap
wyścigi	racing
wyścigi	membalap
gracze	pemain
gracze	gamers
gracze	gamer
holland	holland
holland	belanda
halle	halle
dotarły	tiba
sumy	sum
sumy	jumlah
sumy	merangkum
sumy	meringkas
sumy	total
sumy	totalnya
bractwa	persaudaraan
bractwa	persaudaraan
bractwa	persaudaraan
bractwa	brotherhood
tajemnica	misteri
tajemnica	mystery
tajemnica	rahasia
tajemnica	secret
targ	pasar
połączony	terhubung
połączony	terkoneksi
połączony	tersambung
kraina	daratan
kraina	tanah
kraina	land
szeregi	peringkat
szeregi	pangkat
szeregi	barisan
szeregi	jajaran
szeregi	deret
szeregi	series
szeregi	seri
potrzebny	membutuhkan
potrzebny	perlukan
potrzebny	perlu
potrzebny	kebutuhan
potrzebny	need
potrzebny	butuh
potrzebny	diperlukan
potrzebny	dibutuhkan
mig	mig
oryginalna	asli
oryginalna	original
kanały	kanal
kanały	saluran
kanały	kanal
kanały	kanal
kanały	channel
kanały	saluran
inicjatorem	inisiator
konklawe	conclave
konklawe	konklaf
boczny	lateral
zoo	zoo
pokryta	tertutupi
pokryta	ditutupi
pokryta	tercakup
turner	turner
ambasady	kedutaan
ambasady	kbri
ambasady	kedutaan
jefferson	jefferson
spartak	spartak
partner	partner
partner	mitra
partner	pasangan
partner	rekan
partner	afiliasi
partner	amang
transmisji	transmisi
transmisji	siarkan
transmisji	siaran
transmisji	broadcast
transmisji	penyiaran
teodora	theodora
właściciele	pemilik
właściciele	pemiliknya
albrecht	albrecht
kolonie	koloni
joão	joão
heinz	heinz
wygrana	win
wygrana	menang
wygrana	menangkan
wygrana	memenangkan
wygrana	menang
lekkie	ringan
regulamin	peraturan
regulamin	regulasi
que	que
rachel	rachel
rachel	rahel
flotylli	flotilla
wenecja	venesia
wenecja	venice
idee	gagasan
idee	ide
sierżant	sarge
sierżant	sersan
sierżant	sersan
wynalazca	penemu
bei	bei
skarb	berharga
skarb	precious
skarb	harta
skarb	treasure
ogrody	gardens
ogrody	kebun
prokurator	jaksa
piąta	kelima
piąta	fifth
piąta	seperlima
potwierdza	mengonfirmasi
potwierdza	mengkonfirmasi
potwierdza	menegaskan
pamiętnik	journal
pamiętnik	jurnal
pamiętnik	diary
stawu	kolam
stawu	tambak
stawu	pond
prawdopodobne	kemungkinan
procedury	prosedur
procedury	prosedur
disco	disco
disco	disko
barona	baron
sumę	sum
sumę	jumlah
uczestniczyło	berpartisipasi
dostaje	gets
prawny	hukum
prawny	sah
prawny	legal
cząsteczki	partikel
cząsteczki	partikulat
cząsteczki	molekul
cząsteczki	partikel
fair	adil
fair	fair
wstawić	insert
wstawić	masukkan
wstawić	sisipkan
wstawić	menyisipkan
czysto	murni
czysto	bersihkan
czysto	clear
czysto	bening
czysto	jelas
czysto	hapus
urzędy	kantor
radnych	councillors
objęcia	merangkul
objęcia	merangkul
plemiona	suku
linda	linda
musical	musik
musical	musikal
musical	musical
virginia	virginia
mistrzowie	masters
mistrzowie	master
mistrzowie	juara
mistrzowie	champions
drewno	kayu
drewno	wood
drewno	kayu
salvador	salvador
islam	islam
bloków	blok
bloków	pemblokiran
bloków	blokir
wagner	wagner
prasa	tekan
prasa	pers
prasa	press
łańcuch	untaian
łańcuch	string
łańcuch	rantai
eso	eso
grubość	ketebalan
stevens	stevens
kapitał	capital
kapitał	ibukota
kapitał	modal
monica	monica
galaktyki	galaksi
galaktyki	galaxy
galaktyki	galaksi
aktualny	current
aktualny	arus
aktualny	skrg
kontrola	control
kontrola	kendali
kontrola	kontrol
kontrola	pengendalian
kontrola	mengontrol
kontrola	kendalikan
kontrola	audit
kontrola	inspeksi
mieszane	mixed
mieszane	bercampur
mieszane	campuran
mieszane	campur
mieszane	dicampurkan
mieszane	dicampur
dodaje	menambahkan
dodaje	penambahan
typowo	biasanya
typowo	khas
typowo	tipikal
warunek	syarat
warunek	kondisi
zawieszenia	suspensi
zawieszenia	penangguhan
zawieszenia	skors
koleje	apian
stowarzyszeń	asosiasi
regina	regina
zagrożonych	terancam
sokół	elang
sokół	falcon
działka	plot
działka	alur
działka	makar
rozwiązany	diselesaikan
rozwiązany	terselesaikan
rozwiązany	terpecahkan
rozwiązany	dibubarkan
rozwiązany	memecahkan
rozwiązany	diselesaikan
rozwiązany	dipecahkan
rozwiązany	terpecahkan
rozwiązany	terjawab
znaczny	substansial
znaczny	signifikan
floryda	florida
księżnej	duchess
obniżenie	menurunkan
geograficzny	geografi
geograficzny	geographic
geograficzny	geografis
geograficzny	geografis
autobus	bus
autobus	bis
wirnika	rotor
właścicielami	pemilik
właścicielami	pemiliknya
wewnętrzny	internal
wewnętrzny	batin
wewnętrzny	inner
jeana	jean
sex	seks
sex	sex
samców	jantan
zbrodnie	kejahatan
zbrodnie	kriminalitas
zbrodnie	pidana
zbrodnie	kejahatan
zbrodnie	kriminal
zbrodnie	crime
filharmonii	philharmonic
