padaju	落下
korisne	役に立つ
twin	ツイン
twin	双生児
twin	双子
diane	ダイアン
diels	ディールス
pristupiti	アクセス
iskapanja	掘削
iskapanja	発掘
iskapanja	発掘
guarani	グアラニー
slame	ストロー
slame	わら
žuto	イエロー
žuto	黄色
unutrašnji	内側
unutrašnji	インナー
unutrašnji	内面
kancelar	宰相
memphis	メンフィス
neslaganja	不一致
kartica	タブ
kartica	カード
dijagnoza	診断
nevjerojatno	素晴らしい
nevjerojatno	凄い
nevjerojatno	すごい
ubrzano	加速度
far	ヘッドライト
dnevna	デイリー
giorgio	ジョルジョ
razmišljanje	考え
razmišljanje	思考
koristan	役に立つ
zahvat	プロシージャ
zahvat	手順
zahvat	手続き
sylvia	シルヴィア
sylvia	シルビア
bukurešt	ブカレスト
stvoreni	作成
učinci	エフェクト
učinci	効果
herodot	ヘロドトス
kave	コーヒー
pohvale	賞賛
pohvale	賛美
mete	ターゲット
predak	先祖
pereira	ペレイラ
channel	チャネル
channel	チャンネル
channel	海峡
baltimore	ボルチモア
pic	pic
kostur	スケルトン
kostur	骨格
urana	ウラン
urana	天王星
genetski	遺伝
cat	ネコ
cat	ねこ
vene	静脈
prehrana	栄養
prehrana	ダイエット
prehrana	献立
prehrana	国会
hidalgo	イダルゴ
sacramento	サクラメント
sučelje	インターフェース
sučelje	インタフェース
fiat	フィアット
čudno	オッド
čudno	奇数
organski	有機
lan	lan
lan	イアン
žitarica	シリアル
kapital	資本
kapital	首都
kapital	キャピタル
točnost	正確性
točnost	精度
katastrofe	災害
katastrofe	災害
blizanci	双子
epidemija	アウトブレイク
epidemija	伝染病
filipini	フィリピン
premijere	初演
premijere	プレミア
premijere	初演
agassiz	アガシー
vista	vista
vista	ビスタ
diva	ディーバ
viktorija	ビクトリア
viktorija	ヴィクトリア
nula	ゼロ
trans	トランス
trans	トランス
sinteza	合成
slab	弱い
gledanost	評価
vektor	ベクター
vektor	ベクトル
bijes	怒り
bijes	激怒
bijes	フューリー
bijes	レイジ
napoli	ナポリ
dai	ダイ
afc	afc
spas	救済
hepburn	ヘプバーン
unatrag	後ろ向き
unatrag	後方
floyd	フロイド
truman	トルーマン
očekivanja	期待
očekivanja	期待
stjecanje	買収
server	サーバ
server	サーバー
vraćanje	復元
vozilima	乗り物
vozilima	車両
navodnjavanje	灌漑
čvrsta	固体
komplikacije	合併症
patka	カモ
patka	アヒル
patka	ダック
praznik	祝日
praznik	休日
praznik	ホリデー
pacific	パシフィック
slap	平手打ち
fly	fly
fly	ハエ
fly	フライ
fly	飛ぶ
varijable	変数
varijable	可変
varijable	変数
sreća	ハピネス
sreća	幸福
sreća	幸せ
izgubljen	ロスト
osvoji	征服
učiteljica	教員
učiteljica	教師
učiteljica	先生
minimum	最低限
minimum	最低
minimum	最小
tron	玉座
biografije	伝記
biografije	伝記
kor	コル
june	六月
claire	クレア
ncaa	ncaa
vruće	熱い
vruće	ホット
vruće	暑い
shvaćanje	実現
shvaćanje	換価
shvaćanje	理解
tokio	東京
denver	デンバー
dim	薄暗い
dim	スモーク
kinesko	中国語
kinesko	中国人
rezolucije	解像度
rezolucije	解像度
marion	マリオン
kriterije	基準
kriterije	条件
myspace	myspace
pjesnici	詩人
veznjak	ミッドフィールダー
pal	パル
pal	pal
urednica	エディタ
urednica	エディター
legura	合金
legura	合金
financiranje	融資
financiranje	財務
financiranje	金融
financiranje	財政
financiranje	ファイナンス
izbjegavati	避ける
kugla	球体
kugla	球面
kugla	球形
kugla	ボール
kugla	オーブ
motschulsky	motschulsky
pravda	正義
korisno	有益
korisno	役に立つ
korisno	役立つ
nakita	ジュエリー
nakita	宝石
nakita	ジュエリー
baruna	男爵
tanaka	田中
neznatno	あまり
laguna	ラグナ
laguna	ラグーン
emanuel	エマニュエル
suverenitet	主権
procesor	プロセッサ
ruševina	廃墟
ruševina	遺跡
vjeran	忠実
ratnik	戦士
ilustracije	挿絵
ilustracije	イラスト
kramer	クレイマー
prijedlozi	おすすめ
prijedlozi	提案
prijedlozi	提案
prijedlozi	暗示
kornjače	カメ
face	フェイス
vrpce	リボン
korita	トラフ
bjelorusiji	ベラルーシ
titan	チタン
smeđa	褐色
smeđa	茶色
smeđa	ブラウン
sija	シャイニング
predavanje	講義
predavanje	教本
predavanje	講演
bik	ブル
pacijenti	患者
reforma	改革
reforma	革新
reforma	リフォーム
entiteta	エンティティ
entiteta	エンティティ
entiteta	実体
intenzitet	輝度
intenzitet	光度
tezu	テーゼ
tezu	論文
luksemburg	ルクセンブルク
uhvati	キャッチ
uhvati	キャッチボール
krvarenje	出血
allan	アラン
alessandro	アレッサンドロ
misionar	宣教師
svježe	フレッシュ
perez	ペレス
sinove	息子
povrća	野菜
falco	ファルコ
franšize	フランチャイズ
konkretno	コンクリート
maslina	オリーブ
maslina	オリーブ
doc	doc
doc	ドク
prilagoditi	調整
ultra	ultra
ultra	ウルトラ
humor	ユーモア
humor	ユーモア
upozorenja	警報
upozorenja	警告
upozorenja	アラート
upozorenja	警告
eko	エコ
senator	議員
chaplin	チャップリン
stockholmu	ストックホルム
betona	コンクリート
burke	バーク
mladunci	カブス
aida	アイーダ
crosby	クロスビー
boka	側面
povrće	野菜
povrće	野菜
povrće	野菜
kontinuitet	連続
svjesno	意識
koš	バスケット
koš	かご
slabost	衰弱
stati	フィット
stati	fit
plazme	プラズマ
truba	トランペット
koza	ヤギ
sklonište	シェルター
sklonište	避難所
varijacija	バリエーション
afrička	アフリカ
boki	ボカ
putanja	パス
kruha	パン
kruha	ブレッド
citat	引用
klupi	ベンチ
polo	ポロ
ventil	バルブ
levy	レヴィ
lynn	リン
pukotine	ひび割れ
valle	バジェ
valle	ヴァッレ
oporavak	回復
oporavak	リカバリ
oporavak	回収
digitalno	デジタル
magna	マグナ
ion	イオン
emi	emi
emi	えみ
letova	フライト
danju	昼間
ravan	フラット
osman	オスマン
cover	表紙
cover	被覆
cover	カバー
cover	cover
negativni	ネガティブ
negativni	マイナス
negativni	ネガ
povelje	チャーター
povelje	憲章
povelje	貸切
lucy	ルーシー
grey	灰色
grey	グレイ
grey	グレー
ville	ヴィル
organe	臓器
organe	機関
alpa	alpa
simptome	症状
simptome	徴候
kuhinja	キッチン
kuhinja	台所
reeves	リーブス
potraga	クエスト
note	注記
note	メモ
note	備考
note	ノート
ekvivalent	同等
tikader	tikader
udžbenik	教科書
vrtovi	庭園
aluminij	アルミニウム
aluminij	アルミ
aluminij	アルミニウム
tonova	音色
domaćinstva	世帯
domaćinstva	世帯
putnici	乗客
držanje	持株
držanje	姿勢
susjedstvu	近所
susjedstvu	近隣
inozemstvo	海外
inozemstvo	海外
proširenja	引き伸ばし
proširenja	拡張
proširenja	膨張
kutija	ボックス
sharon	シャロン
muslimanski	イスラム教
muslimanski	ムスリム
mayer	メイヤー
aspx	aspx
emily	エミリー
balet	バレエ
razum	正気
razum	理由
razum	理性
razgovori	会話
razgovori	スレッド
omladinac	若者
članstva	会員
predstavljanje	紹介
predstavljanje	導入
predstavljanje	プレゼン
predstavljanje	プレゼンテーション
montgomery	モンゴメリー
kristina	クリスティン
potvrda	確認
potvrda	証明書
potvrda	証書
akademske	アカデミック
napore	取り組み
napore	努力
rezanje	裁断
rezanje	切り取り
igračku	おもちゃ
igračku	オモチャ
igračku	玩具
wan	wan
inicijative	イニシアチブ
nevada	ネバダ
odgovore	回答
piper	パイパー
bowl	ボウル
menadžment	経営
menadžment	マネジメント
menadžment	マネージメント
menadžment	管理
aston	アストン
trudna	妊娠
gnaphosa	gnaphosa
duhan	タバコ
duhan	たばこ
mehanika	力学
adama	アダマ
metana	メタン
kube	キューバ
konzul	領事
konzul	執政官
maske	仮面
maske	マスク
maske	マスク
kvadrata	正方形
reper	ラッパー
sljedbenika	フォロワー
razloge	理由
vizualni	ビジュアル
primljena	受け取り
primljena	受信
bug	バグ
bug	不具合
bug	bug
dietrich	ディートリヒ
grla	咽喉
stevens	スティーヴンス
cool	クール
cool	涼しい
čarobnjak	魔法使い
čarobnjak	ウィザード
milwaukee	ミルウォーキー
teretni	貨物
boba	ボブ
boba	bob
aristotel	アリストテレス
julian	ジュリアン
sda	sda
proglašenje	布告
proglašenje	宣言
proglašenje	申告
jung	ユング
juss	juss
telefon	電話機
telefon	電話
telefon	電話機
barnes	バーンズ
metak	弾丸
metak	銃弾
oclc	oclc
gil	ギル
jata	群れ
balkanski	バルカン
prijave	アプリケーション
sretno	ハッピー
sretno	幸せ
maršal	マーシャル
maršal	元帥
svečanost	セレモニー
svečanost	儀式
svečanost	式典
svečanost	ガーラ
greška	間違い
greška	エラー
inženjering	工学
inženjering	エンジニアリング
platformi	リグ
holland	オランダ
tor	tor
tor	トール
boginja	女神
vir	vir
nuklearno	原子力
ženevi	ジュネーブ
ženevi	ジュネーヴ
lidija	リュディア
lidija	リディア
uran	ウラン
uran	天王星
tekući	液体
irc	irc
idaho	アイダホ
masakr	虐殺
milje	マイル
promocije	プロモーション
promocije	プロモーション
promocije	宣伝
rezolucija	解像度
podijelili	共有
šanse	確率
trenutna	現在
bat	bat
bat	コウモリ
bat	バット
stajalište	スタンス
kršenje	違反
kršenje	違反
hrabrosti	勇気
oskar	オスカー
oskar	オスカル
okretaja	rpm
kopije	コピー
kopije	部数
emery	エメリー
neal	ニール
lom	骨折
lom	破壊
jenkins	ジェンキンス
stolu	デスク
orijentaciju	方向
orijentaciju	向き
orijentaciju	オリエンテーション
jules	ジュール
financije	財務
financije	金融
financije	財政
financije	ファイナンス
traženje	検索
jednakosti	平等
tracy	トレイシー
komercijalne	コマーシャル
komercijalne	商用
komercijalne	商業
tata	ダディ
mihael	ミヒャエル
mihael	マイケル
woods	ウッズ
korijeni	ルーツ
thunb	thunb
trebinje	トレビニェ
memorija	メモリ
memorija	メモリー
memorija	記憶
zaustavlja	停車駅
kapelu	チャペル
iphone	iphone
duboka	ディープ
duboka	深い
marta	マーサ
slanje	送信
slanje	配送
benz	ベンツ
okupljanje	同窓会
okupljanje	再会
krumpir	ポテト
krumpir	ジャガイモ
krumpir	じゃがいも
krumpir	じゃがいも
krumpir	ジャガイモ
krumpir	ポテト
ruta	路線
ruta	ルート
ruta	経路
ruta	ルート
kartice	カード
kartice	タブ
grofica	伯爵夫人
aden	アデン
nedjeljom	日曜
nedjeljom	日曜日
spore	胞子
spore	胞子
digitalna	デジタル
agenti	エージェント
ruby	ルビ
ruby	ルビー
slijetanje	着陸
slijetanje	上陸
roditelje	両親
roditelje	保護者
najnovije	最新
najnovije	最新
prednja	フロント
prednja	表側
prednja	前面
junaci	ヒーローズ
junaci	heroes
domingo	ドミンゴ
promatrač	オブザーバー
promatrač	オブザーバ
iskorištavanje	搾取
tatjana	タチアナ
opasno	危険
napuštena	放棄された
odisej	オデュッセウス
odisej	オデッセイ
gorana	ゴラン
naveden	上場
naveden	特定
naveden	指定された
upozorenje	警報
upozorenje	警告
melbourne	メルボルン
ispuniti	埋める
kuga	疫病
kuga	ペスト
baja	バハ
kružni	円形
segment	セグメント
segment	線分
grubo	ラフ
grubo	乱暴
grubo	厳しい
fragmenti	断片
fragmenti	フラグメント
berger	ベルガー
madison	マディソン
adrian	エイドリアン
jackie	ジャッキー
elektronski	エレクトロニック
dokumentarac	ドキュメンタリー
poboljšana	改良
roosevelt	ルーズベルト
tretman	トリートメント
tretman	待遇
tretman	治療
torpeda	魚雷
andrews	アンドリュース
odaje	チェンバーズ
odaje	チェンバース
slom	内訳
omot	ラッパー
omot	wrapper
napulj	ナポリ
osobnosti	個性
osobnosti	人柄
osobnosti	性格
osobnosti	人格
osobnosti	パーソナリティ
aero	エアロ
nizak	低い
deportivo	デポルティーボ
lotus	ハス
lotus	ロータス
aaron	アロン
aaron	アーロン
doktrina	教義
doktrina	ドクトリン
crteži	図面
ravnoteža	残高
ravnoteža	バランス
zaliha	サプライ
zaliha	供給
radost	joy
radost	ジョイ
radost	喜び
xml	xml
zeppelin	ツェッペリン
popraviti	フィックス
popraviti	修正
herkul	ヘラクレス
ruže	薔薇
ruže	バラ
smeđi	褐色
smeđi	茶色
smeđi	ブラウン
pčele	ミツバチ
pčele	ハチ
frodo	フロド
ozlijeđen	怪我
lena	レナ
skidanje	ダウンロード
kriv	有罪
kriv	guilty
službenici	役員
sjeverozapad	北西
tigar	トラ
tigar	タイガー
osvete	復讐
osvete	報復
osvete	復讐
osvete	リベンジ
usporediti	比較
rušenja	解体
tokiju	東京
ljepota	美容
čudovište	怪物
čudovište	モンスター
čudovište	怪獣
prisustvo	出席
prisustvo	傍聴
lambert	ランバート
sudovi	裁判所
campo	campo
dečko	男の子
dečko	少年
dečko	ボーイ
dečko	彼氏
dečko	ボーイフレンド
ograničenje	制限
ograničenje	リミット
ograničenje	限界
aus	aus
mon	mon
moždani	ストローク
struka	ウエスト
townsend	タウンゼント
odbijen	却下
muslimanima	イスラム教
muslimanima	ムスリム
osveta	復讐
osveta	報復
osveta	復讐
osveta	リベンジ
rab	rab
kai	kai
kai	カイ
ada	エイダ
ada	ada
proslava	祝賀会
proslava	お祝い
jesse	ジェシー
močvara	沼地
močvara	ボグ
prijedloge	おすすめ
prijedloge	提案
viktora	ビクトル
inteligencija	知能
imovina	アセット
imovina	資産
imovina	アセット
imovina	資産
imovina	プロパティ
imovina	財産
jelen	シカ
jelen	シカ
oak	オーク
kanjon	峡谷
sparta	スパルタ
irsku	アイルランド
dogovoreno	同意
dogovoreno	合意
dogovoreno	ディール
dogovoreno	クーポン
java	java
sirius	シリウス
kipovi	彫像
deutschland	ドイッチュラント
molitvu	祈り
molitvu	礼拝
molitvu	祈祷
platon	プラトン
ara	ara
provedbu	実装
provedbu	実施
intel	intel
oro	オロ
najjača	最強
basel	バーゼル
žita	穀物
aleksej	アレクセイ
ncc	ncc
temple	テンプル
temple	寺院
temple	神殿
običan	普通
istraga	調査
istraga	捜査
gavran	レイヴン
morrison	モリソン
adler	アドラー
uskrsnuće	復活
dylan	ディラン
blokira	ブロッキング
ogromna	巨大
bordeaux	ボルドー
brooks	ブルックス
plašt	ケープ
plašt	クローク
plašt	マントル
žiri	裁判官
žiri	陪審制
žiri	陪審員
slijed	シーケンス
ribarstvo	漁業
vili	ウィリー
robu	商品
robu	貨物
robu	物品
borci	ファイターズ
javier	ハビエル
kubi	キューバ
gong	ゴング
bee	ビー
pljačke	強盗
theodor	テオドール
chapman	チャップマン
paket	パッケージ
prilagođena	風習
prilagođena	カスタム
alpha	alpha
alpha	アルファ
simone	シモーネ
simone	シモーヌ
simone	シモン
simone	サイモン
slavlje	祝賀会
slavlje	お祝い
mornarički	海軍
mornarički	ネイビー
torontu	トロント
spomenuto	言及
richmond	リッチモンド
tople	あったかい
tople	暖かい
tople	温かい
sumrak	夕焼け
sumrak	日没
sumrak	トワイライト
sumrak	たそがれ
sumrak	夕暮れ
teze	テーゼ
teze	論文
dah	ブレス
roxb	roxb
lira	リラ
rita	リタ
dragon	ドラゴン
kane	ケーン
strast	パッション
strast	情熱
strast	受難
opcije	オプション
alto	アルト
sastojci	材料
sastojci	食材
sastojci	成分
louise	ルイス
louise	ルイ
gnu	ヌー
gnu	gnu
lorraine	ロレーヌ
maraton	マラソン
leona	レオナ
sudova	裁判所
vijak	スクリュー
vijak	ねじ
vijak	ネジ
vijak	ボルト
chan	チャン
plaćanje	支払
plaćanje	決済
plaćanje	支払い
plaćanje	決済
plaćanje	支払い
živac	神経
rivala	ライバル
muzeji	美術館
muzeji	博物館
budizam	仏教
osjetljivost	感度
osjetljivost	感受性
rufus	ルーファス
enzim	酵素
palace	宮殿
profile	プロフィール
profile	プロファイル
profesori	教員
profesori	教師
cro	cro
darwin	ダーウィン
monarh	君主
monarh	モナーク
bubnjara	ドラマー
močvare	沼地
močvare	湿地
močvare	ボグ
močvare	沼地
lovi	ハント
lovi	狩り
lovi	狩り
lovi	ハンティング
lovi	狩猟
nasljeđe	遺産
nasljeđe	相続
nasljeđe	継承
izloženost	照射
izloženost	被曝
izloženost	露出
trenje	摩擦
kraus	クラウス
prezentacija	プレゼン
prezentacija	プレゼンテーション
konje	ウマ
vještice	魔女
vrtić	幼稚園
vrtić	保育園
vrtić	幼稚園
vrtić	保育
joel	ジョエル
concordia	コンコルディア
bajka	おとぎ話
izdano	発行
bologna	ボローニャ
mlin	ミル
plivač	競泳
plivač	水泳
nicole	ニコル
kontinenata	大陸
hladna	風邪
hladna	コールド
hladna	冷たい
hladna	寒い
aspekte	側面
beton	コンクリート
rcd	rcd
inspiraciju	インスピレーション
inspiraciju	インスパイア
veneciju	ベニス
veneciju	ヴェネツィア
veneciju	ベネチア
fokus	焦点
fokus	フォーカス
amx	amx
nagib	スロープ
nagib	斜面
nagib	傾き
boj	バトル
boj	戦闘
boj	戦い
normalna	普通
normalna	ノーマル
fletcher	フレッチャー
bundesliga	ブンデスリーガ
izdržati	耐える
germain	ジェルマン
granu	支店
granu	支社
granu	ブランチ
granu	支部
čuvari	後見人
domaćinstvo	世帯
mcdonald	マクドナルド
duo	デュオ
subotu	土曜日
eta	イータ
uvoz	輸入
uvoz	輸入
smanji	減らす
smanji	減らす
odstupanja	偏差
odbijanje	拒否
odbijanje	拒絶
odbijanje	拒絶
milost	慈悲
milost	マーシー
milost	恩寵
milost	グレース
milost	グレイス
gazi	ガザ
cher	シェール
učitelji	教員
učitelji	教師
trošak	費用
trošak	原価
trošak	コスト
hawk	ホーク
hawk	タカ
pravdu	正義
drevna	古代
narednik	軍曹
pretvorena	改宗
bremen	ブレーメン
razmjena	交換
heroji	ヒーローズ
heroji	heroes
vrelo	熱い
vrelo	ホット
vrelo	暑い
filmografija	filmography
pakao	ヘル
pakao	地獄
duhovna	スピリチュアル
browne	ブラウン
dortmund	ドルトムント
uređen	編曲
uređen	調度
funk	ファンク
razmnožavanje	伝播
razmnožavanje	布教
razmnožavanje	繁殖
razmnožavanje	模写
razmnožavanje	生殖
rutherford	ラザフォード
pau	pau
kapitalizma	資本主義
ritchie	リッチー
mast	軟膏
mast	グリース
svjetionik	灯台
lutz	ルッツ
matić	matic
planirana	予定
planirana	計画
iznimke	例外
tvrdnja	債権
tvrdnja	主張
tvrdnja	取得
složena	コンプレックス
složena	錯体
složena	複雑
isa	isa
riva	リヴァ
atletski	アスレチック
marilyn	マリリン
eseje	随筆
eseje	エッセイ
eseje	エセー
atari	atari
bishop	ビショップ
vune	ウール
pacifiku	パシフィック
predvidio	予見
predvidio	予言
komplet	集合
komplet	セット
alternativne	交互
maroku	モロッコ
lažni	フェイク
uhićenje	逮捕
intervjua	インタビュー
caroline	キャロライン
slabosti	衰弱
slabosti	弱点
vip	vip
autobus	バス
lisice	手錠
lisice	手錠
lisice	キツネ
mjehura	膀胱
naredba	指揮
naredba	コマンド
blanco	ブランコ
ris	リス
ris	lynx
radcliffe	ラドクリフ
protežu	ストレッチ
izlaganja	照射
izlaganja	被曝
izlaganja	露出
nicholas	ニコラス
liège	リエージュ
apostol	使徒
josh	ジョシュ
mgm	mgm
uspostavljen	設立
autobusa	バス
pamuk	木綿
pamuk	コットン
napredne	上級
prosvjedi	デモ
kaos	カオス
kaos	混沌
sinonimi	同義語
sinonimi	類義語
amazilia	amazilia
mag	マグ
mag	mag
krava	カウ
zatvoreno	閉店
konkurencija	競技
konkurencija	コンペ
konkurencija	競争
konkurencija	コンペティション
konkurencija	コンテスト
zadovoljstvo	満足
zadovoljstvo	快感
zadovoljstvo	喜び
zadovoljstvo	快楽
najduži	最長
blata	マッド
haagu	ハーグ
torre	トッレ
pokazatelj	インジケータ
pozitivna	陽性
pozitivna	ポジティブ
bach	バッハ
vega	ベガ
jeffrey	ジェフリー
johnston	ジョンストン
odiseja	オデュッセウス
odiseja	オデッセイ
duhovi	ゴースト
duhovi	スピリッツ
sira	チーズ
ulrich	ウルリッヒ
trud	努力
palermo	パレルモ
saveznik	アライ
saveznik	アリー
novinarstvo	ジャーナリズム
novinarstvo	報道
aids	エイズ
propaganda	プロパガンダ
dvoboj	決闘
olova	リード
iskreno	正直
valute	通貨
valute	通貨
makedoniju	マケドニア
klaus	クラウス
punjenja	カートリッジ
punjenja	チャージ
punjenja	充電
parametri	パラメータ
parametri	パラメーター
humanitarne	人道的
humanitarne	人道
osjetio	フェルト
konzole	コンソール
konzole	コンソール
bono	ボノ
kristijan	クリスチャン
kristijan	キリスト教
kristijan	キリスト教徒
dušik	窒素
nolan	ノーラン
kenneth	ケネス
nine	ニーナ
pismenosti	識字
arsenala	アーセナル
arsenala	工廠
ritter	リッター
misionari	宣教師
galaksije	銀河
galaksije	銀河系
redovnici	僧侶
aka	aka
postavke	セットアップ
postavke	設定
postavke	セッティング
postavke	設定
mozart	モーツァルト
ugovori	契約
alžiru	アルジェリア
suglasnost	同意
suglasnost	承諾
gripe	インフルエンザ
gripe	インフルエンザ
bacač	ピッチャー
bacač	投手
suhi	辛口
suhi	ドライ
suhi	乾燥
jessica	ジェシカ
rupu	ホール
