переворот	apvērsuma
крістофер	kristofers
методика	tehnika
методика	paņēmiens
пейзаж	ainava
пейзаж	ainavu
пейзаж	ainavas
джаз	jazz
джаз	džeza
уельсу	velsā
уельсу	velsa
едді	edijs
едді	eddy
бомби	bumbas
закладено	sniedz
закладено	nodrošina
німеччину	vācijas
німеччину	vācija
німеччину	vācijā
фасаді	pretrunīgi
фасаді	pretrunīgs
фасаді	strīdīgs
фасаді	pretrunīga
менеджмент	pārvaldība
менеджмент	apsaimniekošana
менеджмент	vadība
менеджмент	pārvaldības
говард	hovards
течія	pašreizējais
течія	pašreizējo
течія	pašreizējie
течія	strāva
течія	pašreizējā
течія	plūsma
робітники	strādnieki
робітники	strādājošie
розмови	sarunas
розмови	sarunas
розмови	saruna
відмовляється	atsakās
біженців	bēgļi
біженців	bēgļa
біженців	bēglis
біженців	bēgļu
біженців	bēgļi
корона	vainaga
корона	vainags
фотографій	fotogrāfijas
сантьяго	santjago
однаково	vienlīdz
однаково	vienādi
пори	poru
змій	čūskas
комуністична	komunistu
комуністична	komunistiskā
тропічні	tropu
етимологія	etimoloģija
преса	spied
преса	nospiest
преса	preses
преса	nospied
преса	prese
ціль	mērķis
ціль	mērķa
ціль	target
ціль	mērķis
добровільно	labprātīgi
добровільно	brīvprātīgi
добровільно	apzināti
добровільно	brīvprātīgs
добровільно	brīvprātīga
добровільно	brīvprātīgais
добровільно	brīvprātīgi
підтримується	atbalstīti
підтримується	atbalstīta
підтримується	atbalstītie
підтримується	atbalstīts
пізно	vēlu
пізно	novēloti
вдвічі	divreiz
вдвічі	divkāršojies
переселенців	pārvietoti
переселенців	pārvietoto
блакитний	zilais
блакитний	zils
блакитний	zila
блакитний	zilā
тель	tel
коди	kodi
пенсії	pensijā
пенсії	pensionēšanās
пенсії	pensijas
пенсії	pensija
бойове	apkarotu
гурток	loks
гурток	apļa
гурток	aplis
моменти	mirkļi
моменти	brīžiem
моменти	brīži
затемнення	aptumsums
лавки	stendi
трудова	darbaspēks
тріо	trio
гагаріна	gagarins
читача	sekotājs
трави	zāle
трави	zāli
діагностики	diagnostika
еволюція	attīstība
еволюція	attīstību
інтелектуальної	intelektuālais
інтелектуальної	intelektuālā
груповий	grupu
груповий	grupa
груповий	grupas
церковної	garīdzniecības
викладає	māca
амстердам	amsterdamā
амстердам	amsterdamas
перебіг	ietekme
клієнт	klients
клієнт	klientu
клієнт	klienti
клієнт	klients
клієнт	klientu
клієнт	klienta
сервіс	serviss
сервіс	apkalpošana
сервіс	pakalpojumu
сервіс	dienests
сервіс	pakalpojums
придбати	iegāde
придбати	pirkums
придбати	pirkšana
придбати	nopirkt
придбати	pirkt
гвардійська	apsardze
гвардійська	aizsargi
гвардійська	sargi
мінську	minskas
тварина	dzīvnieku
тварина	dzīvnieks
тварина	dzīvniekam
різдво	ziemassvētkos
різдво	ziemassvētku
різдво	ziemassvētkus
різдво	ziemassvētki
декоративні	dekoratīvo
декоративні	dekoratīvie
молитви	lūgšanas
проста	vienkārši
проста	vienkāršs
проста	vienkārša
проста	vienkāršas
проста	vienkāršā
собаки	suņiem
собаки	suņi
фантастичний	fantastiska
фантастичний	fantastiski
фантастичний	fantastisks
виробника	piegādātājs
виробника	pārdevējs
студію	studijā
студію	studija
студію	studio
студію	studijas
царі	magi
реставрація	atjaunošana
реставрація	atjaunošanu
проникнення	iekļūšana
проникнення	iespiešanās
презентація	noformējumu
презентація	prezentācija
презентація	prezentācijas
презентація	noformējums
диких	wild
диких	savvaļas
диких	savvaļā
маркса	markss
отриманий	saņemts
отриманий	saņemtas
отриманий	saņemtās
отриманий	saņemti
отриманий	saņēma
ново	novo
бад	saknē
бад	pumpuru
обстрілу	apšauda
феодосія	feodosija
перевірка	pārbaude
перевірка	pārbaudes
перевірка	pārbauda
перевірка	pārbauda
перевірка	pārbaude
перевірка	testa
перевірка	tests
перевірка	pārbaude
перевірка	apstiprināšana
заяви	apgalvojumi
заяви	paziņojumi
схем	shēmas
сидіння	sēdekļi
сидіння	sēdvietas
гості	viesi
гості	viesiem
представив	ieviesa
представив	ieviests
представив	ieviestie
розбіжності	diff
розбіжності	atšķirības
розбіжності	domstarpības
розбіжності	nesaskaņas
турецька	turku
турецька	turcijas
міфів	mītus
барон	barons
операціях	manevrus
відправляється	izbrauc
відправляється	atstājot
бруно	bruno
визнає	atzīst
визнає	atpazīt
визнає	atzīt
північне	ziemeļu
напруга	spriedze
напруга	spriedzi
залишитися	uzturēties
залишитися	paliec
залишитися	palikt
міссурі	misūri
піраміди	piramīdas
додавати	pievienot
вектор	vektora
вектор	vektoru
попереду	priekšā
братство	brālības
братство	brālība
ланцюг	ķēde
ланцюг	ķēdes
довів	pierādīts
паспорт	pase
паспорт	pasē
паспорт	pasi
паспорт	pases
позитивно	pozitīvi
позитивно	pozitīvas
позитивно	pozitīvā
позитивно	pozitīva
позитивно	pozitīvais
позитивно	pozitīvs
підродина	apakšklasi
внутрішнє	iekšēji
внутрішнє	iekšējā
внутрішнє	iekšējais
внутрішнє	iekšēja
внутрішнє	iekšējs
внутрішнє	iekšējie
внутрішнє	iekšējā
внутрішнє	iekšējais
практична	praktiska
практична	praktisks
практична	praktiski
панель	panelis
панель	žūrija
панель	paneļa
вихідні	weekends
вихідні	brīvdienas
вихідні	izejošās
вихідні	izejošo
массачусетс	masačūsetsas
лавка	stends
лавка	stenda
стрічці	barības
стрічці	barību
стрічці	barībai
стрічці	barība
настає	pārtraukumi
настає	pārtraukumus
оцінкою	reitingu
оцінкою	novērtējums
оцінкою	vērtējums
оцінкою	reitings
зазначає	uzskaitītie
зазначає	uzskaitītas
зазначає	uzskaitīti
зазначає	uzskaitīts
венесуели	venecuēlas
венесуели	venecuēla
шанс	iespēja
шанс	izdevība
арнольд	arnolds
підпілля	pazemē
підпілля	pazemes
навчальному	vieglākais
евакуації	evakuēt
виправлення	korekcijas
виправлення	labojumi
виправлення	labojumi
збільшує	palielina
гаїті	haiti
заборона	aizliegta
заборона	aizliegts
заборона	aizliegtas
заборона	aizliegums
заборона	aizliegumi
заборона	aizliegšana
пакистан	pakistāna
легіон	leģiona
полотна	audekls
позначають	norādīt
механік	mehāniķi
механік	mehāniķis
хронологія	hronoloģija
вступили	aizdomīgi
галицька	galisiešu
вебер	weber
ніде	nekur
стилів	stili
консультант	konsultants
консультант	konsultācijas
фінанси	finansiālā
фінанси	finansiālais
фінанси	finansiāls
фінанси	finanšu
фінанси	finansējums
фінанси	finanses
фінанси	finanšu
фінанси	finanses
сталь	steel
сталь	tērauds
сталь	tērauda
шахи	šaha
темні	tumša
темні	tumši
темні	tumšs
темні	tumšāka
інженери	speciālisti
інженери	tehniķi
інженери	inženieri
вюртемберг	virtemberga
вивести	izvades
вивести	izlaide
вивести	izvadi
вивести	produkcija
вивести	izvada
стандартна	standartam
стандартна	standarta
стандартна	standarts
ізраїлі	izraēla
куба	kubu
куба	kubā
куба	kuba
соціологія	socioloģija
флоренція	florence
шкіра	ādas
шкіра	āda
шкіра	ādas
шкіра	ādu
шкіра	āda
записано	rakstisks
записано	rakstveida
записано	uzrakstīts
записано	rakstiska
записано	ierakstīti
записано	reģistrētais
визначений	definēta
визначений	definētas
визначений	definē
визначений	definēti
визначений	definēts
поклоніння	dievkalpojumu
щоденник	dienasgrāmata
щоденник	dienasgrāmata
щоденник	dienasgrāmatu
делі	deli
сочі	soči
римляни	romieši
промислова	rūpnieciskais
промислова	rūpniecības
промислова	rūpnieciskie
промислова	rūpnieciska
вимогою	prasība
схожість	līdzību
сейм	saeimas
міллер	millere
спільна	kopīga
спільна	locītavu
спільна	kopīgais
бідності	nabadzība
правова	likumīgi
правова	juridiskais
феномен	fenomens
феномен	parādība
турецький	osmaņu
турецький	turku
турецький	turcijas
союзники	sabiedrotajiem
союзники	sabiedrotie
довше	ilgāku
довше	ilgāk
довше	ilgāka
довше	garāks
довше	ilgāks
моріс	moriss
сіра	pelēkā
сіра	pelēks
сіра	pelēkas
сіра	pelēkais
сіра	pelēkās
симптоми	simptomi
індіанці	indiešu
індіанці	indiāņi
присвоєння	piešķiršana
необхідне	nepieciešami
необхідне	nepieciešama
необхідне	prasīts
необхідне	pieprasīts
необхідне	nepieciešams
галактик	galaktikas
власна	pienācīga
власна	sevis
власна	sevi
вінніпег	vinipega
попов	popovs
вікон	windows
вікон	logus
вікон	logi
хребетних	zooloģija
рівно	vienmērīgu
рівно	vienmērīgs
рівно	vienmērīga
старша	vecākais
старша	vecāki
старша	vecāks
старша	vecāka
стани	valstis
розряд	gāzizlādes
казав	teica
казав	pateikts
казав	pateica
штурм	sturm
фестивалів	svētki
фестивалів	festivālos
замінили	nomainīts
замінили	aizstāts
роберто	roberto
шари	slāņi
кадри	rāmji
цех	ģilde
максимальний	maksimālais
максимальний	maksimums
максимальний	maksimālā
максимальний	maksimāli
площ	mazumtirdzniecība
нахил	slīpuma
нахил	slīpums
трупи	līķi
трупи	līķiem
трупи	līķu
легкі	viegli
легкі	viegla
легкі	viegls
легкі	mierīgi
діалект	dialekts
афганістан	afganistāna
хіп	hip
хіп	gūžas
хіп	gurnu
блог	blogā
термінології	terminoloģija
проголосували	nobalsoja
проголосували	balsoju
проголосували	balsoja
роджер	sapratu
роджер	rodžers
інструкції	pamācības
інструкції	instrukcija
інструкції	instrukcijas
інструкції	norādījumi
атлетика	vieglatlētika
атлетика	vieglatlētikas
фантастика	fantastiska
фантастика	fantastiski
фантастика	fantastisks
фантастика	izdomāts
фантастика	fantastikas
сорти	šķirne
сорти	šķirnes
процесорів	cpu
зникла	prom
виконавці	resursi
виконавці	resursus
виконавці	līdzekļi
виконавці	mākslinieku
виконавці	māksliniekiem
виконавці	izpildītāji
виконавці	mākslinieki
бульвар	boulevard
євангеліє	evaņģēlijs
борець	cīkstonis
самиць	mātītes
величин	daudzumi
профспілок	arodbiedrības
польську	poļu
польську	polijas
канд	kanda
спадкоємець	mantinieks
негативні	negatīvā
негативні	negatīvs
негативні	negatīvi
негативні	negatīvas
негативні	negatīva
заряд	uzlādes
загроза	drauds
загроза	draudi
духовна	liturģijas
перегони	sacensības
перегони	rase
перегони	skrējiens
перегони	sacīkstes
перегони	sacīkšu
перегони	racing
перегони	sacīkstes
глосарій	vārdnīca
молодим	jauni
регулярні	periodisku
ходи	kustas
ходи	pārvieto
монету	monētas
монету	monēta
монету	monētu
кімната	istaba
кімната	istabā
кімната	istabas
кімната	telpa
кімната	istabu
альянс	alianse
альянс	alianses
корпорація	korporācija
корпорація	corporation
штук	iestrēdzis
кінь	zirgs
кінь	zirga
кінь	zirgu
кінь	zirgam
сенат	senāta
сенат	senāts
батьківщина	dzimtenē
батьківщина	dzimtenes
батьківщина	dzimteni
батьківщина	dzimtene
батьківщина	tēvzemi
коробка	kaste
коробка	aile
коробка	kārba
коробка	pārnesumkārba
твердість	cietība
ланка	lanka
запалення	iekaisums
гази	gāzēm
гази	gāzes
гази	gazā
гази	gazas
оцінювання	vērtēšana
оцінювання	izvērtēšana
оцінювання	novērtējums
оцінювання	izvērtējums
оцінювання	novērtēšana
важливість	svarīgums
важливість	nozīmīgums
важливість	smaguma
важливість	smagums
важливість	smagumu
важливість	steidzamības
виживання	izdzīvošanu
виживання	dzīvildze
виживання	izdzīvošana
виживання	izdzīvošanas
дизель	dīzeļdegviela
дизель	dīzeļdegvielas
написала	rakstīja
написала	uzrakstīju
написала	uzrakstīja
багатство	bagātības
багатство	bagātības
багатство	bagātība
винограду	vīnogu
винограду	vīnogas
судану	sudāna
загреб	zagreba
сидить	sēž
сидить	sēdes
сидить	sēdi
сидить	sēž
сидить	sēde
персонал	personāls
персонал	darbinieki
обмежені	ierobežots
обмежені	limited
обмежені	ierobežota
обмежені	ierobežoti
мухаммед	muhameds
мухаммед	mohammed
обрані	izvēlētais
обрані	izraudzīts
обрані	izvēlēts
обрані	izvēlēta
нафта	eļļa
нафта	eļļas
нафта	nafta
нафта	naftas
нафта	nafta
сигнали	signālus
сигнали	signāli
розділити	galdam
розділити	dakšu
розділити	dalījums
розділити	sadalīt
сибір	sibīriju
міркувань	argumentācija
міссісіпі	misisipi
конрад	konrad
конрад	konrāds
безумовно	noteikti
род	stienis
род	air
арсенал	arsenāls
абсолютна	absolūtais
абсолютна	absolūtā
абсолютна	absolūts
маргарет	margaret
сицилії	sicīlijas
технічно	tehniski
попередня	iepriekšējā
попередня	iepriekšējais
попередня	iepriekšējās
попередня	iepriekšējie
адм	adm
мазепа	mazepa
спереду	priekšējais
спереду	fronte
спереду	priekšpusē
спереду	priekšā
спереду	priekšējie
створюючи	nodrošinot
кандидатуру	kandidatūru
інженерних	inženierijas
крус	cruz
знаючи	zinot
поховали	aprakt
подолати	pārvarēt
рівноваги	līdzsvars
пілотів	piloti
ратуша	zālē
міра	maira
міра	mira
міра	pasākuma
міра	pasākums
військах	spēkus
військах	spēki
спокою	mierīgiem
виробляють	ražot
виробляють	produkcija
мережах	tīkli
впевнений	drošs
впевнений	pārliecināts
математичні	matemātikā
математичні	matemātika
математичні	matemātisko
математичні	matemātikas
математичні	matemātika
луїза	luīze
луїза	luīze
залишатися	uzturēties
залишатися	paliec
залишатися	palikt
броні	bruņas
запитів	pieprasījumi
запитів	lūgumi
зник	prom
зник	izgaisa
зник	pazuduši
зник	pazuda
механічний	mehāniskais
механічний	mehāniskās
механічний	mehāniska
механічний	mehāniskā
кераміка	keramikas
кераміка	keramika
кераміка	keramikas
кераміка	keramika
кераміка	keramikas
астрономи	astronomi
дербі	darbijs
дербі	derby
прапором	karogs
прапором	karoga
зерно	graudi
зерно	graudu
студій	pētījumi
ставка	likme
всюди	globāli
всюди	nekur
всюди	jebkur
всюди	visur
гідності	cieņu
гідності	cieņa
відповідну	piemērota
відповідну	piemērotas
відповідну	atbilstoša
відповідну	piemēroti
відповідну	piemērots
реалізацію	īstenošana
реалізацію	ieviešana
проза	proza
вираження	izsakot
виграли	uzvarēja
виграли	uzvarējis
виграли	ieguva
путівник	rokasgrāmata
путівник	ceļvedis
матриця	matricas
матриця	matricu
матриця	matrices
матриця	matrica
формує	veidots
розчин	mīnmetēju
розчин	atrisinājums
розчин	šķīdums
розчин	risinājums
баланс	bilance
баланс	atlikums
баланс	līdzsvars
баланс	līdzsvaru
тунель	tunelis
визначена	definēta
визначена	definētas
визначена	definē
визначена	definēti
визначена	definēts
визначена	identificēti
визначена	identificēts
визначена	identificēta
розгортання	ievelkas
розгортання	paplašināšana
розгортання	izplešanās
розгортання	paplašināšanās
випускник	absolventu
випускник	absolvents
доходи	preces
мат	biedru
мат	mate
мат	draugs
ветеран	veterāns
вірогідно	domājams
герберт	herbert
похідні	atvasinājumi
змусили	piespieda
змусили	piespiedu
вирощують	augt
художниця	izpildītājs
художниця	māksliniece
художниця	mākslinieks
корінь	root
корінь	sakne
корінь	saknes
алкоголю	dzērieni
алкоголю	alkoholu
алкоголю	alkohols
алкоголю	spirts
медічі	medici
звільнили	atlaists
звільнили	novada
договори	līgumi
бурятія	burjatija
занепад	doom
арабська	arābu
процесора	gpu
процесора	procesora
процесора	procesors
процесора	cpu
симона	simona
мартин	marcin
мартин	kaija
метали	metāla
метали	metāls
метали	metāli
дені	dani
модулі	moduļi
модулі	moduļus
дозволити	ieslēgt
дозволити	atļaut
дозволити	atļauj
дозволити	pieļaut
їхньому	viņu
пшениці	kvieši
пшениці	kviešu
фірм	firmas
фірм	firmām
співдружності	sadraudzības
незалежний	neatkarīgais
незалежний	neatkarīgi
незалежний	neatkarīga
незалежний	neatkarīgs
незалежний	neatkarīgas
величезна	milzīgi
величезна	milzīgas
величезна	milzīga
величезна	milzīgs
штучний	mākslīgā
штучний	mākslīgais
штучний	mākslīgs
штучний	mākslīga
двадцяти	twenty
двадцяти	divdesmit
чернівців	čerņivcu
підтверджує	apstiprina
подією	notikums
вершину	virsotni
рука	roka
рука	roku
рука	roka
стиснення	kompresijas
реальність	realitāte
реальність	īstenība
школярів	skolēni
тридцять	trīsdesmit
подію	notikums
неправильно	nepareizi
неправильно	nepareiza
неправильно	nepareizs
аналогічний	analogas
аналогічний	analogi
аналогічний	analoga
диски	diski
диски	cds
улюблений	favorīts
улюблений	mīļākie
улюблений	mīļākās
улюблений	mīļākais
улюблений	mīļākā
іспанською	spāņu
іспанською	spānijas
доведено	pierādīts
доведено	pierādīts
доведено	pierādīta
ззаду	muguru
ззаду	atpakaļ
ззаду	mugura
жанрів	žanru
суперників	pretiniekiem
суперників	pretinieki
фернандо	fernando
шон	šons
статистичні	statistikas
статистичні	statistiskais
цвітіння	ziedēšanas
фан	ventilatora
фан	fans
фан	fanu
фан	ventilators
фан	fang
трикутник	trīsstūra
крива	līkne
радника	padomdevējs
радника	konsultants
радника	padomnieks
кіпру	kipras
кіпру	kipra
кіпру	cyprus
кіпру	kiprā
самець	vīrietis
самець	vīriešu
самець	tēviņi
самець	vīrieši
заново	pārbūve
заново	atjaunot
кримська	krimas
емілія	emīlija
емілія	emilia
емілія	amēlija
голокосту	holokausta
різновидів	garšas
гессен	hesenes
віл	hiv
леопольд	leopolds
тяжіння	gravitāciju
тяжіння	smaguma
тяжіння	smagums
тяжіння	gravitācijas
індонезія	indonēzija
прованс	provansas
вимова	izruna
наступником	sekotājam
наступником	pārņēmēja
францію	franciju
францію	francijā
францію	francija
францію	france
аверс	aversa
автономний	autonoms
автономний	autonomā
автономний	autonomais
автономний	autonoma
автономний	autonomi
алтай	altaja
включати	iekļaut
включати	ietvert
включати	ietver
арагон	aragonā
арагон	aragonas
тонкі	plānas
митці	mākslinieku
митці	māksliniekiem
митці	izpildītāji
митці	mākslinieki
сант	sant
підлітків	teen
підлітків	pusaudži
підлітків	pusaudžiem
закриті	slēgta
закриті	slēgti
закриті	slēgts
закриті	slēgtas
мідь	vara
мідь	varš
ростислав	rostislavs
воїн	spēkavīrs
уельс	velsā
уельс	velsa
хата	treehouse
духовні	garīgais
духовні	garīgā
розробник	izstrādātājs
янг	jauni
шостий	sestais
шостий	sestā
вісь	ass
