기독교인	キリスト教徒
인터럽트	割り込み
매스	ミサ
매스	質量
마돈나	マドンナ
반영	反映
반영	反射
반영	リフレクション
미화	usd
인플루엔자	インフルエンザ
인플루엔자	インフルエンザ
자바스크립트	javascript
마르티네스	マルティネス
전시관	展示
콜롬보	コロンボ
암살자	暗殺
코스모스	cosmos
코스모스	コスモス
더럼	ダラム
세타	セタ
세타	瀬田
요시노리	義教
궁궐	宮殿
미묘한	微妙
퓨전	フュージョン
일하기	働く
일하기	作業
프레이저	フレーザー
마커스	マルクス
마커스	マーカス
슈테판	シュテファン
슈테판	ステファン
슈테판	ステファン
아나키즘	アナキズム
사보이	サヴォイ
사보이	サヴォワ
애비뉴	アベニュー
다운타운	下町
기쁨	joy
기쁨	ジョイ
기쁨	喜び
기쁨	快感
기쁨	喜び
기쁨	快楽
오자키	尾崎
헌장	チャーター
헌장	憲章
헌장	貸切
클러스터	クラスタ
첸나이	チェンナイ
바스	風呂
바스	入浴
인피니트	インフィニット
릴리즈	釈放
릴리즈	リリース
릴리즈	リリース
제라드	ジェラード
제라드	ジェラード
아바스	アッバース
궁수자리	サジタリウス
시편	詩篇
시편	詩篇
카라카스	カラカス
서식	フォーマット
서식	整形
산토스	サントス
크라쿠프	クラクフ
산책	歩き
산책	ウォーク
산책	歩行
산책	歩く
산책	徒歩
플라잉	飛ぶ
플라잉	フライング
추첨	引き分け
추첨	ドロー
제롬	ヒエロニムス
제롬	ジェローム
패트리어트	パトリオット
미학	美学
물품	商品
물품	貨物
물품	物品
물품	商品
그리기	引き分け
그리기	ドロー
그리기	図面
그리기	描画
그리기	ドローイング
헤라클레스	ヘラクレス
헤라클레스	ヘーラクレース
쥐라기	ジュラ紀
서포터	サポーター
하코네	箱根
마술	魔術
마술	magic
마술	魔法
마술	マジック
부담	重荷
부담	負担
그리니치	グリニッジ
바리톤	バリトン
허락	許可
허락	許諾
네덜란드인	オランダ
네덜란드인	ダッチマン
네덜란드인	ダッチ
본드	結合
본드	ボンド
섹터	セクター
섹터	セクター
장벽	障壁
장벽	バリア
장벽	障壁
비와	琵琶
강조	ハイライト
강조	強調
강조	輝度
강조	光度
리브	リヴ
리브	リブ
포춘	フォーチュン
수염	ヒゲ
수염	ひげ
미쳐	クレイジー
트리오	トリオ
카네코	カネコ
본질	エッセンス
본질	本質
리젠시	摂政
돼지고기	豚肉
돼지고기	ポーク
까다로운	トリッキー
욕망	欲望
욕망	性欲
욕망	欲望
매뉴얼	manual
매뉴얼	手動
매뉴얼	マニュアル
챌린저	チャレンジャー
킹덤	王国
카노	カノ
안전성	安全
안전성	セーフティ
우산	アンブレラ
예매	予約
남방	サザン
남방	南部
서커스	サーカス
컴파일	コンパイル
컴파일	編纂
컴파일	コンパイル
컴파일	コンパイル
이브라힘	イブラヒム
볼링	ボウリング
볼링	ボーリング
초과	超過
향수	ノスタルジック
향수	ノスタルジア
향수	香り
향수	香水
페가수스자리	ペガサス
가와구치	川口
서스펜스	サスペンス
케이타	慶太
술집	パブ
술집	パブ
이더넷	イーサネット
포브스	フォーブス
돌고래	ドルフィン
돌고래	イルカ
돌고래	イルカ
고소	告発
고소	スー
실비아	シルヴィア
실비아	シルビア
실비아	シルビア
에볼루션	進化
에볼루션	evolution
올림피아	オリンピア
비문	銘文
비문	碑文
지니	ジニー
지니	ジニー
권장	おすすめ
권장	推奨
조슈아	ヨシュア
우즈	ウッズ
사카타	坂田
사카타	酒田
신탁	トラスト
신탁	trust
신탁	信頼
엉덩이	ass
엉덩이	股関節
엉덩이	ヒップ
엉덩이	股関節
빌뉴스	ヴィリニュス
웍스	ワークス
웍스	作品
마쓰우라	松浦
셀프	セル
가봉	ガボン
인테리어	内部
인테리어	内装
인테리어	内面
인테리어	インテリア
상어	サメ
상어	サメ
블룸	ブルーム
알타이	アルタイ
응답	応答
응답	回答
응답	レスポンス
응답	回答
응답	返信
응답	回答
응답	答え
응답	答弁
응답	返信
응답	応答
응답	レスポンス
대략적인	おおよそ
저널리즘	ジャーナリズム
저널리즘	報道
조립	集まる
조립	組み立てる
텅스텐	タングステン
카불	カブール
장점	長所
장점	利点
장점	長所
장점	利点
장점	アドバンテージ
오렌지색	orange
오렌지색	オレンジ
내시	ナッシュ
이륙	離陸
검사관	検査官
등대	灯台
제이콥	ジャコブ
차이콥스키	チャイコフスキー
우디	ウッディー
던지기	投げる
디럭스	デラックス
브롱크스	ブロンクス
상상	イマジネーション
상상	想像
상상	想像力
상상	想像
상상	イマジン
카르타고	カルタゴ
통계학	統計
커넥션	つながり
커넥션	接続
커넥션	つながり
커넥션	接続
서프라이즈	驚き
서프라이즈	サプライズ
픽션	フィクション
학업	アカデミック
포츠담	ポツダム
혐오	嫌悪
혐오	嫌悪
혐오	憎悪
혐오	憎悪
혐오	嫌い
혐오	憎しみ
블라인드	ブラインド
블라인드	盲人
블라인드	ブラインド
등산	登山
등산	クライミング
등산	登山
혼슈	本州
착용	着る
착용	摩耗
레베카	レベッカ
천장	天井
천장	天井
페라리	フェラーリ
다면체	多面体
슈트라우스	シュトラウス
아우크스부르크	アウクスブルク
신용카드	信用
신용카드	クレジット
달팽이	ナメクジ
달팽이	カタツムリ
소중히	チェリッシュ
러닝	ジョギング
대리석	大理石
대리석	marble
대리석	ビー玉
노르만	ノーマン
계란	エッグ
계란	エッグ
렉스	レックス
자비	慈悲
자비	マーシー
핸드	ハンド
외모	出演
외모	出演
외모	外観
실외	アウトドア
실외	屋外
이르쿠츠크	イルクーツク
미네르바	ミネルウァ
당구	ビリヤード
당구	ビリヤード
노블	尊い
형제들	兄弟
형제들	ブラザーズ
행진곡	マーチ
행진곡	行進曲
사치코	幸子
외로운	孤独
외로운	寂しい
라벨	ラベル
라벨	ラベル
트레이시	トレイシー
팔이	arm
벽돌	れんが
벽돌	レンガ
벽돌	煉瓦
벽돌	レンガ
벽돌	れんが
벽돌	煉瓦
백금	プラチナ
백금	白金
하인	召使
미완성	未完
미완성	未完成
캘린더	カレンダー
캘린더	カレンダー
사이공	サイゴン
재규어	ジャガー
걷기	ウォーキング
걷기	歩行
걷기	歩く
걷기	ウォーキング
걷기	歩き
걷기	ウォーク
걷기	歩行
걷기	歩く
걷기	徒歩
카를스루에	カールスルーエ
사바나	サバンナ
바지	ズボン
바지	ズボン
바지	パンツ
설득	説得
설득	説得
광업	鉱業
페가수스	ペガサス
부트	ブート
부트	ブーツ
애슬론	athlon
써니	晴れ
써니	サニー
타타르	タタール
니카라과의	ニカラグア
니카라과의	ニカラグア
아크라	アクラ
어려움	困難
어려움	困難
어려움	難しい
껍질	シェル
껍질	ピール
오르기	登る
그리드	グリッド
부록	付録
파이어니어	パイオニア
탱고	タンゴ
탱고	丹後
윌리스	ウィリス
회귀	回帰
텐서	テンソル
언리얼	unreal
떠나기	離れる
떠나기	去る
푸리에	フーリエ
농도	濃度
농도	深度
농도	奥行き
코스타	コスタ
슬롯	slot
슬롯	スロット
슬롯	スロット
폴라	ポーラ
다이오드	ダイオード
엘레나	エレナ
샘플링	サンプリング
샘플링	サンプル
샘플링	サンプリング
지평선	地平線
지평선	ホライズン
지평선	水平線
팬더	パンダ
튜브	チューブ
홍대	ホン
원더	ワンダー
카트	カート
카트	荷車
레저	台帳
레저	レジャー
레저	余暇
마르코프	マルコフ
직위	位置
직위	ポジション
직위	役職
직위	ポジション
비아	via
진흙	マッド
쿼터	クォーター
쿼터	四半期
추론	推論
추론	推論
헐리우드	ハリウッド
케리	ケリー
모모	モモ
적응	適応
적응	適応
레니	レニー
체이스	チェイス
인디아	インド
입원	入院
흡연	喫煙
흡연	スモーカー
복권	宝くじ
복권	抽選
복권	くじ
양키	ヤンキー
가이아나	ガイアナ
섀도우	シャドー
섀도우	シャドウ
피아트	フィアット
블레이크	ブレイク
이방인	よそ者
아드리안	エイドリアン
포르쉐	ポルシェ
부스	ブース
대머리	ハゲ
스미레	すみれ
마티아스	matthias
호스팅	ホスティング
호스팅	主催
호스팅	主催
스탬프	切手
스탬프	スタンプ
스탬프	切手
에메랄드	エメラルド
아프로	アフロ
색인	索引
색인	インデックス
색인	索引
색인	インデックス
파우스트	ファウスト
테두리	ボーダー
테두리	国境
카우보이	カウボーイ
카우보이	カウボーイ
부탄	ブータン
부탄	ブータン
포화	飽和
포화	彩度
포화	飽和
목차	内容
미즈시마	水島
서류	書類
국수	ヌードル
국수	麺類
국수	麺類
국수	ヌードル
결핵	結核
불평등	不平等
불평등	不等式
불평등	不平等
남용	誤用
남용	誤用
남용	虐待
화해	和睦
화해	和解
화해	調停
편집기	エディタ
편집기	エディター
편집기	エディタ
줄무늬	ストライプ
벅스	バック
벅스	バグ
벅스	不具合
벅스	バックス
니컬러스	ニコラス
모듈러	モジュール
베일	ベール
베일	ベール
베일	ヴェイル
무의미한	無意味
사드	サアド
퇴직	退職
퇴직	退職
퇴직	引退
포인터	ポインタ
포인터	ポインター
포인터	ポインタ
녹아	溶ける
무지	無知
박격포	モルタル
박격포	迫撃砲
자이	嘉義市
재활	リハビリテーション
재활	更生
재활	再生
재활	リハビリ
통증	痛み
통증	疼痛
통증	ペイン
마당	ヤード
플랫	フラット
크로스오버	クロスオーバー
복합체	コンプレックス
복합체	錯体
복합체	複雑
복합체	化合物
카누	カヌー
만찬	夜食
만찬	夕食
시그널	シグナル
시그널	信号
볼셰비키	ボリシェヴィキ
더그	ダグ
숨겨져	隠し
깔끔하게	ストレート
깔끔하게	きちんと
오타루	小樽
찾아보기	閲覧
찾아보기	ブラウズ
찾아보기	発見
생년월일	生年月日
블레어	ブレア
니콜라우스	ニコラス
댓글	コメント
댓글	コメント
댓글	コメント
댓글	コメント
카렐리야	カレリア
카렐리야	カルヤラ
아래쪽	以下
아래쪽	ボトム
플로피	フロッピー
수족관	アクアリウム
수족관	水族館
수족관	水族館
편리하다	便利
콜라	コーク
콜라	コーラ
콜라	コーラ
조달	調達
미드	ミード
미드	mid
리바운드	リバウンド
검출	検知
검출	検出
네티즌	ネチズン
걷고	ウォーキング
걷고	歩行
걷고	歩く
명성	名声
명성	評判
마티	マーティ
섀넌	シャノン
농부	農家
농부	農家
호위	エスコート
호위	護送
베니	ベニー
응급	緊急
카즈오	一夫
실린더	円柱
실린더	シリンダー
우분투	ubuntu
리타	リタ
샤이니	シャー
샤이니	shinee
손해	損失
손해	被害
손해	ダメージ
손해	損傷
손해	損害
버추얼	バーチャル
버추얼	仮想
어시스트	アシスト
브람스	ブラームス
아이비	ツタ
아이비	アイビー
스플리트	分ける
스플리트	分割
스플리트	スプリット
베이컨	ベーコン
코니	コニー
치프	チーフ
노스웨스턴	北西部
에베레스트	エベレスト
타원형	楕円
마일스	マイル
디나르	ディナール
리처드슨	リチャードソン
노래방	カラオケ
피드백	フィードバック
공지	通知
공지	告知
공지	アナウンス
공지	発表
공지	公表
공지	お知らせ
공지	告示
공지	通知
공지	告知
공지	アナウンス
공지	発表
잠금	ロック
잠금	錠前
설리번	サリバン
설리번	サリヴァン
훌리오	フリオ
루니	ルーニー
무례한	無礼
매트	マット
매트	マット
매트	マッツ
경이	マーベラス
항아리	jar
아키하바라	秋葉原
고마쓰	小松
온실	温室
우동	うどん
지불	支払う
지불	支払い
지불	支払
지불	決済
지불	支払い
감지	検知
감지	検出
감지	検知
감지	検知
감지	検出
네이션	ネーション
네이션	国民
언제부터	以来
언제부터	since
통역	インタプリタ
통역	通訳
연습생	練習
민병대	民兵
워프	ワープ
갈라	ガーラ
아브라함	イブラヒム
아리스토텔레스	アリストテレス
코다마	児玉
코다마	こだま
가까워	近い
자격증	資格
자격증	認定
가정교사	家庭教師
가정교사	チューター
가정교사	ガヴァネス
루미	瑠美
루미	るみ
매리너	マリナー
남서	南西
벤치	ベンチ
스완	白鳥
스완	スワン
흔적	トレイル
흔적	トレース
흔적	トレース
에드먼턴	エドモントン
말라위	マラウイ
말라위	マラウイ
캐치	キャッチ
캐치	キャッチボール
비자	visa
비자	ビザ
비자	査証
세르비아인	セルビア
플루트	フルート
넷스케이프	netscape
오늘도	トゥデイ
오늘도	今日
파서	パーサ
파서	parser
부모님	両親
부모님	保護者
스위프트	スイフト
스위프트	スウィフト
수류탄	手榴弾
수류탄	手榴弾
콜렉션	コレクション
단점	欠点
단점	短所
단락	段落
단락	段落
하버	ハーバー
무제한	無制限
숨김	隠し
메사	メサ
매기	マギー
카세트	カセット
귀도	グイド
거품	バブル
랠리	ラリー
랠리	ラリー
닫습니다	閉じる
닫습니다	クローズ
독립기념일	独立
스캇	スコット
배너	バナー
배너	横断幕
배너	バナー
배너	横断幕
의사당	キャピトル
방학	休暇
방학	バカンス
방학	バケーション
사우샘프턴	サウサンプトン
베네딕트	ベネディクト
도달	リーチ
가정부	メイド
플레어	フレア
인덱스	索引
인덱스	インデックス
인덱스	索引
인덱스	インデックス
플라워	flower
플라워	フラワー
아메드	アーメド
피어	ピア
리비우	リヴィウ
배운다	学習
배운다	学ぶ
멤버들	メンバー
멤버들	メンバ
애정	愛着
애정	愛情
위트레흐트	ユトレヒト
비스마르크	ビスマルク
볼륨	音量
볼륨	ボリューム
볼륨	体積
볼륨	ボリューム
볼륨	体積
파도	波動
파도	ウェーブ
엘프	エルフ
엘프	エルフ
웬디	ウェンディ
백조	白鳥
백조	白鳥
백조	スワン
심어	播種
스노우	スノー
스노우	snow
라디에이터	ラジエーター
외출	お出かけ
외출	アウティング
출판물	出版物
출판물	出版
출판물	公表
출판물	出版物
타라	タラ
마르코스	マルコス
바빌론	バビロン
발목	足首
새우	海老
새우	海老
새우	エビ
새우	シュリンプ
새우	海老
다코타	ダコタ
에식스	エセックス
페니	ペニー
혼돈	混同
혼돈	混乱
혼돈	カオス
혼돈	混沌
레딩	レディング
워렌	ウォーレン
볼프	ウルフ
볼프	オオカミ
하이라이트	ハイライト
하이라이트	見どころ
하이라이트	ハイライト
하이라이트	ハイライト
바닐라	バニラ
일관성	一貫性
알란	アラン
망치	ハンマー
망치	ハマー
주디	ジュディ
대각선	対角線
피타고라스	ピタゴラス
지리학	地理
멜로	メロ
카레	カレー
지브롤터	ジブラルタル
전자제품	エレクトロニクス
재산권	プロパティ
재산권	財産
글래스	グラス
글래스	ガラス
뱅크스	バンクス
부착	添付
부착	取り付ける
컴팩트	コンパクト
복숭아	モモ
복숭아	ピーチ
복숭아	モモ
닝보	寧波市
사용법	使い方
쿠미코	久美子
자정	ミッドナイト
자정	真夜中
분사	インジェクション
분사	注射
싸이	psy
절단	切断
프로토타입	プロトタイプ
프로토타입	プロトタイピング
프로토타입	プロトタイプ
프로토타입	プロトタイプ
템플	テンプル
템플	寺院
템플	神殿
웰스	ウェルズ
에덴	エデン
지뢰	地雷
피보나치	フィボナッチ
코브라	コブラ
플라톤	プラトン
그리피스	グリフィス
정서	感情
현미경	顕微鏡
민트	ミント
롤리	ローリー
트로이아	トロイ
트로이아	イリオス
육체	肉体
아이튠즈	itunes
컨셉	概念
컨셉	コンセプト
컨셉	概念
컨셉	コンセプト
트레이딩	取引
제우스	ゼウス
전화번호	電話機
긴장	緊張
긴장	神経質
긴장	緊張
긴장	テンション
지다	ジッダ
노구치	野口
질투	嫉妬
질투	嫉妬
안젤로	アンジェロ
안젤로	アンジェラ
지부티	ジブチ
마이코	舞子
마이코	舞妓
개선하기	改善
개선하기	向上
개선하기	改善
플라스마	プラズマ
몽골족	モンゴル
프라이스	プライス
프라이스	対価
프라이스	値段
프라이스	価格
불규칙	不定期
불규칙	不規則
사자자리	レオ
사자자리	leo
스테파니	ステファニー
스테파니	ステフ
킬로그램	キログラム
킬로그램	キログラム
두부	豆腐
볼프스부르크	ヴォルフスブルク
쿠르드	クルディスタン
복장	服装
바니	バーニー
디아스	ディアス
디아스	ディアス
볼리바르	ボリバル
천하무적	インヴィンシブル
모방	模倣
고민	トラブル
고민	悩み
그놈	ノーム
그놈	gnome
약사	薬剤師
용접	ウェルド
용접	溶接
수프	スープ
수프	スープ
측도	計測
측도	測定
사쿠라다	桜田
리라	リラ
트와일라잇	トワイライト
트와일라잇	たそがれ
나탈리	ナタリー
대문자	大文字
에밀리오	エミリオ
악용	誤用
악용	誤用
악용	虐待
콕스	コックス
초보자	初心者
초보자	初心者
초보자	初心者
초보자	ビギナー
남동	東南
남동	南東
남동	南東
카슈미르	カシミール
블리치	ブリーチ
수수	スース
버니	バーニー
에리트레아	エリトリア
명목	名目
엘비스	エルヴィス
엘비스	エルビス
귀한	レア
대리인	後見人
대리인	エージェント
대리인	代理人
성기	陰茎
성기	ペニス
복수형	複数
양수	陽性
양수	ポジティブ
어색한	気まずい
미즈사와	水沢
피카츄	ピカチュウ
불가피한	やむを得ない
바바라	バーバラ
콤보	コンボ
레아	レア
아톰	原子
마시기	飲む
류블랴나	リュブリャナ
위생	衛生
팩터	zin
팩터	ファクター
팩터	因子
팩터	係数
올라프	オラフ
사구	デューン
사구	砂丘
멸치	アンチョビ
멸치	アンチョビ
노예제	奴隷
아쉬운	イージー
아쉬운	易しい
아쉬운	やさしい
아쉬운	簡単
유미코	由美子
집착	こだわり
집착	執念
집착	執着
음주	飲む
아이누	アイヌ
스프린트	スプリント
어리석은	愚か
호프만	ホフマン
호프만	ホフマン
팍스	pax
불만	クレーム
불만	苦情
불만	不満
불만	苦情
불만	クレーム
불만	不満
패티	パティ
하룻밤	一泊
하룻밤	一晩
보일러	ボイラー
보일러	ボイラー
신선	フレッシュ
에이커	エーカー
에이커	エーカー
조차도	偶数
조차도	even
가루	粉末
가루	パウダー
구출	救助
구출	レスキュー
명소	アトラクション
세슘	セシウム
리히터	リヒター
아르곤	アルゴン
웨슬리	ウェズリー
니제르	ニジェール
숭배	カルト
숭배	崇拝
숭배	崇拝
독성	毒性
독성	毒性
트릭	トリック
트릭	トリック
코멘트	コメント
영사	領事
영사	執政官
루안다	ルアンダ
휘슬러	ウィスラー
도난	盗難
도난	窃盗
웨어	ウェア
그라츠	グラーツ
치사	殺人
탬파	タンパ
팔라우	パラオ
목장	牧草
목장	牧場
마찰음	摩擦音
카리스마	カリスマ
카리스마	カリスマ
주스	ジュース
주스	ジュース
자치령	自治領
헤이	ヘイ
매점	カフェテリア
펌웨어	ファームウェア
준수	コンプライアンス
준수	従う
티나	ティナ
핑둥	屏東
펀드	ファンド
펀드	資金
종속	依存
종속	依存
종속	依存性
종속	依存
명품	贅沢
크레인	クレーン
크레인	クレーン
크레인	ツル
소주	ソジュ
젖은	濡れ
설문	アンケート
설문	アンケート
행크	ハンク
규소	シリコン
규소	ケイ素
태평	太平
위임	委任
위임	委嘱
슈나이더	シュナイダー
걸음	step
걸음	ステップ
걸음	歩数
걸음	手順
걸음	ステップ
세븐틴	seventeen
할렐루야	ハレルヤ
주머니	ポケット
주머니	ポーチ
주머니	ポケット
덮개	表紙
덮개	被覆
덮개	カバー
덮개	cover
스펀지	スポンジ
노키아	ノキア
클리프	クリフ
톰프슨	トンプソン
파푸아	パプア
록펠러	ロックフェラー
우치	ウッチ
우치	ウッチー
이고르	イーゴリ
맑음	クリア
맑음	晴れ
맑음	サニー
직사각형	四角形
직사각형	長方形
직사각형	四角形
직사각형	矩形
직사각형	長方形
직사각형	長方形
최소화	最小限
재미	楽しい
히스	ヒース
몰수	没収
몰수	没収
몰수	没収
와카마쓰	若松
드라큘라	ドラキュラ
악화	加重
경매	競売
경매	オークション
경매	せり
경매	競売
경매	オークション
테오도시우스	テオドシウス
콘티넨탈	コンチネンタル
칵테일	カクテル
머무르고	滞在
머무르고	ステイ
도표	ダイアグラム
동남아	東南
동남아	南東
카트만두	カトマンズ
프라이	フライ
스팀	スチーム
스팀	蒸気
아사카	安積
출퇴근	通勤
출퇴근	通勤
특사	使者
하우	ハウ
네이티브	ネイティブ
손잡이	ノブ
손잡이	ハンドル
코코넛	ココナツ
코코넛	ココナッツ
코코넛	ココナッツ
고릴라	ゴリラ
고릴라	ゴリラ
하마	カバ
하마	カバ
당뇨병	糖尿病
유방	乳房
유방	母乳
웃음	笑い
웃음	笑う
웃음	笑い
웃음	笑う
웃음	笑い
루가	ルカ
여관	宿屋
여관	旅館
콜론	コロン
콜론	コロン
아이유	子供
아이유	児童
먹어	食べる
먹어	eat
브랜던	ブランドン
기병대	騎兵
리아	リア
밀어	プッシュ
밀어	押す
품격	洒落
재혼	再婚
프롬	プロム
프롬	プロムス
계몽주의	悟り
부호화	コーディング
트랜잭션	取引
트랜잭션	トランザクション
트랜잭션	取引
트랜잭션	トランザクション
우려	関心事
스미요시	住吉
루즈벨트	ルーズベルト
입국	到着
칠리	チリ
냠냠	yum
가방	バッグ
가방	かばん
가방	バッグ
소크라테스	ソクラテス
조선소	造船
나가기	終了
나가기	exit
나가기	出口
몬테	モンテ
네기시	根岸
변종	variant
리프트	rift
리프트	エレベーター
리프트	リフト
현대그룹	ヒュンダイ
도시락	昼食
도시락	ランチ
목적지	行き先
목적지	目的地
목적지	宛先
보정	矯正
보정	補正
보정	修正
보정	補正
보정	訂正
보정	校正
사랑스러운	素敵
데일	デイル
데일	デール
모리슨	モリソン
펜스	ペンス
표시하기	ディスプレイ
지킨	キーン
코다	コーダ
목걸이	ネックレス
목걸이	ネックレス
벨리즈	ベリーズ
만족	満足
만족	満足
만족	満足
코모로	コモロ
안젤라	アンジェラ
연주회	リサイタル
연주회	コンサート
연주회	コンサート
팽창	伸張
팽창	膨張
좌표계	座標
활성	アクティブ
섹시	セクシー
까마귀	カラス
까마귀	クロウ
까마귀	レイヴン
나이프	ナイフ
나이프	ナイフ
측량	サーベイヤー
측량	測量
훔쳐	盗む
캐런	カレン
일러스트레이터	イラストレーター
북동	北東
히라이	平井
조개	ハマグリ
조개	アサリ
조개	ハマグリ
지오	geo
웁살라	ウプサラ
바베이도스	バルバドス
카라치	カラチ
치앙마이	チェンマイ
플라이어스	チラシ
채팅	チャット
채팅	雑談
아디다스	アディダス
가속기	加速器
테라	テラ
테라	テラ
계산기	電卓
계산기	計算機
에디터	エディタ
에디터	エディター
에디터	エディタ
부끄러운	人見知り
부끄러운	シャイ
오마하	オマハ
엔트로피	エントロピー
하루코	春子
성교	性交
성교	性別
성교	セックス
테디	テディ
버크	バーク
클린트	クリント
스푸트니크	スプートニク
골짜기	バレー
골짜기	谷間
연구자	研究者
연구자	研究員
연구자	研究者
공작부인	公爵夫人
소프트볼	ソフトボール
커브	カーブ
커브	曲線
브르타뉴	ブルターニュ
모터스포츠	モータースポーツ
모터스포츠	モータースポーツ
펄스	パルス
펄스	脈拍
오라클	oracle
오라클	オラクル
오라클	神託
베로니카	ヴェロニカ
베로니카	ベロニカ
베로니카	ベロニカ
갈매기	かもめ
크리드	信条
크리드	教義
천연두	天然痘
셔터	シャッター
사파리	サファリ
사파리	safari
스탭	スタッフ
우울증	うつ病
키워드	キーワード
키워드	キーワード
접미사	サフィックス
접미사	サフィックス
콜라보레이션	コラボレーション
콜라보레이션	コラボ
자제	拘束
캘빈	カルヴィン
다이어트	ダイエット
다이어트	ダイエット
다이어트	献立
다이어트	国会
라이트닝	ライトニング
고다마	児玉
고다마	こだま
투명	半透明
투명	透明
투명	透明
투명	透明度
석기	ストーン
영감	インスパイア
영감	インスピレーション
영감	インスピレーション
영감	インスパイア
엔비디아	nvidia
하르툼	ハルツーム
그렉	グレッグ
애비	アビー
두려움	恐怖
두려움	恐れ
도시바	東芝
코코아	ココア
대시	ダッシュ
진술	ステートメント
진술	声明
미스테리	ミステリー
보디가드	ボディーガード
보디가드	ボディガード
프레데터	捕食
원판	ネガ
다이고	醍醐
플래그	フラグ
플래그	国旗
플래그	フラグ
플래그	国旗
미카미	マイカ
채무	債務
리턴	return
리턴	リターン
하이웨이	ハイウェイ
하이웨이	公道
동창	クラスメート
동창	同級生
동창	クラスメイト
동창	同級生
모욕을	侮蔑
모욕을	侮辱
요구사항	要件
요구사항	要件
캐롤라인	キャロライン
해고	解任
해고	免職
해고	棄却
해고	解雇
해고	却下
클랜	氏族
클랜	氏族
푸른색	青い
푸른색	ブルー
푸른색	青色
생생한	鮮やか
제이드	ヒスイ
