баку	baku
традиционна	tradisyunal
традиционна	tradisyonal
следите	track
борса	palitan
борса	palit
обичам	nagmahal
обичам	love
обичам	nagmamahal
психоанализа	sikoanalisis
панония	pannonia
панчо	pancho
погребани	ibaon
погребани	buried
тор	fertilizer
тор	pataba
тор	tor
тор	thor
мита	mito
мита	myth
мита	tungkulin
доказано	pinatunayan
доказано	napatunayan
клонове	sanga
клонове	sangay
витамин	bitamina
витамин	vitamin
духове	multo
духове	multong
спад	tanggihan
обвивка	sheath
обвивка	shell
приключване	pagkumpleto
приключване	pagsasara
публична	publiko
публична	pampubliko
вулкан	bulkan
вулкан	vulcan
бунтове	stonewall
осветление	lighting
осветление	ilaw
повторение	uulit
повторение	paguulit
повторение	replay
повторение	ulitin
хайделберг	heidelberg
папи	popes
дъблин	dublin
парламентът	parlyamento
свършва	matatapos
кодове	codes
ренесанс	renaissance
зигфрид	siegfried
шеста	ikaanim
мощен	powerful
мощен	makapangyarihang
пътуват	bumiyahe
пътуват	travel
пътуват	paglalakbay
градината	hardin
марш	marsh
търнър	turner
матиас	mathias
матиас	mattias
матиас	matias
матиас	matias
провал	pagkabigo
сухо	tuyo
сухо	tuyong
северозападния	northwestern
предна	harapan
предна	harap
предна	frontal
автобуси	bus
дъга	rainbow
дъга	bahaghari
дъга	arc
изящни	katangi
удобно	maginhawa
удобно	komportable
удобно	kumportable
двойна	dobleng
двойна	double
двойна	doble
постигането	nakamit
постигането	achievement
команди	utos
мъртви	patay
телефон	phone
телефон	telepono
телефон	telephone
телефон	telepono
фокус	focus
фокус	tuon
редиците	ranks
чести	karaniwan
чести	karaniwang
дион	dion
дион	dionne
ела	dumating
ела	darating
ела	lumapit
армстронг	armstrong
триумф	pagtatagumpay
манхатън	manhattan
томпсън	thompson
записки	notes
записки	tala
прадеш	pradesh
пепел	ashes
пепел	ash
тактика	tactics
тактика	taktika
тактика	taktika
репресии	repression
изстрелян	inilunsad
инфекция	impeksiyon
инфекция	impeksiyon
инфекция	infection
влечуги	reptilya
влечуги	reptiles
синдром	syndrome
приемник	host
приемник	pinadalhan
приемник	tatanggap
приемник	receiver
банда	banda
банда	gang
конкуренция	paligsahan
конкуренция	kompetisyon
променлива	variable
чудо	marvel
чудо	miraculous
чудо	himala
чудо	milagro
чудо	miracle
чудо	taka
чудо	nagtataka
чудо	wonder
кобург	coburg
багдад	baghdad
променено	nagbago
променено	binago
променено	pinalitan
променено	nagpabago
променено	binago
чума	salot
борд	lupon
борд	board
консумация	consumption
консумация	paggamit
дракон	dragon
посочен	tinukoy
лук	sibuyas
лук	sibuyas
младежта	kabataan
крилете	wings
крилете	pakpak
арканзас	arkansas
електричество	elektrisidad
електричество	kuryente
електричество	electric
институти	institutes
привилегии	privilege
привилегии	pribilehiyo
привилегии	pribilehiyo
седмицата	linggo
седмицата	lingguhan
седмицата	lingo
хюсеин	hussein
хюсеин	hussain
батман	batman
чужденци	dayuhan
кафяв	brown
кафяв	kayumanggi
предполагат	imungkahi
предполагат	suggest
предполагат	iminumungkahi
предполагат	magmungkahi
вселенски	ekumenikal
включено	pinapagana
включено	pinagana
включено	kasama
включено	nasama
пръстените	singsing
пръстените	rings
напредък	progreso
вековете	siglo
вековете	daantaon
рейчъл	rachel
ниши	nishi
роуз	rose
увреждания	disable
увреждания	kapansanan
съществена	mahalaga
съществена	mahahalagang
колинс	collins
дарвин	darwin
братислава	bratislava
снаряди	sigay
снаряди	shells
нели	nelly
нели	nellie
септимий	septimius
отмъщение	vengeance
отмъщение	paghihiganti
повреди	damage
повреди	pinsala
президентски	presidential
любима	minamahal
екипировка	kagamitan
депутатите	mps
стабилност	katatagan
бедни	mahirap
бедни	kawawang
бюрото	kawanihan
словашки	eslobako
царуването	reign
тръба	pipe
тръба	tubo
тръба	tube
месото	karne
такси	taxi
такси	taksi
такси	cab
такси	bayad
албумите	album
албумите	albums
лош	bad
лош	masamang
лош	masama
докторат	doctorate
разработване	development
разработване	pagpapaunlad
разработване	unlad
разработване	pagbuo
документа	dokumento
запазено	reserved
запазено	nakapreserba
математическа	matematikal
айнщайн	einstein
коридор	corridor
лора	laura
лора	lora
плячка	manghuli
плячка	booty
параклиса	kapilya
пера	feathers
къс	cus
достатъчна	sapat
кореспонденти	correspondents
лоша	bad
лоша	masamang
лоша	masama
достъпен	mapupuntahan
закрито	panloob
закрито	indoor
зигмунд	sigmund
петрол	petrol
петрол	pump
петрол	langis
петрол	oil
петрол	petroleum
лихтенщайн	liechtenstein
беатрис	sanaysay
беатрис	beatrice
беатрис	beatriz
суматра	sumatra
форуми	forums
кадафи	gaddafi
зареждане	load
зареждане	singil
зареждане	charge
зареждане	nilo
харисън	harrison
елзас	alsace
добавка	addition
добавка	karagdagan
добавка	supplement
добавка	madagdagan
интервал	pagitan
интервал	interval
лингвистика	lingguwistika
моделите	models
моделите	modelo
панорама	panorama
лидия	lydia
възможен	maaari
възможен	posible
възможен	possible
възможен	maari
възможен	posibleng
пелопонес	peloponnese
раул	raul
миграция	paglilipat
миграция	migration
митове	myths
мюзикъл	musikal
мюзикъл	musical
работилница	workshop
галактика	galaxy
клиент	customer
клиент	kustomer
клиент	kliyente
клиент	client
завой	turn
завой	lumiko
завой	bend
речи	speeches
емили	emilie
емили	emily
светкавица	flash
светкавица	kidlat
светкавица	lightning
мазнини	fats
мазнини	taba
мазнини	mataba
самоубийство	magpakamatay
самоубийство	pagpapakamatay
завършила	nagtapos
достигане	maaabot
достигане	maabot
достигане	naabot
достигане	naaabot
достигане	abot
достигане	abutin
достигане	naaabot
крайни	grabe
крайни	grave
смесена	mixed
смесена	magkahalong
проектиран	pagkakagawa
проектиран	dinisenyo
проектиран	idinisenyo
соломон	salomon
соломон	solomon
екрана	screen
джеси	jessie
джеси	jesse
гласни	vowels
съчетава	pinagsasama
преобразува	pinapalitan
преобразува	nagpalit
глазгоу	glasgow
растат	lumago
растат	paglaki
растат	paramihin
съкровище	sweetheart
съкровище	kayamanan
астероид	asteroid
кейн	cain
кейн	kane
кейн	cane
кейн	caine
унищожена	nawasak
положително	positive
положително	positibong
положително	positibo
положително	positibo
заплата	sahod
заплата	suweldo
моравия	morabya
страбон	strabo
антропология	antropolohiyang
американци	amerikano
ренесанса	renaissance
богатството	yaman
кръгли	round
кръгли	bilog
лена	lena
етажа	sahig
ограничаване	pagbabawal
ограничаване	limitasyon
ограничаване	pumipigil
ограничаване	limitasyon
ограничаване	limitahan
ограничаване	containment
конник	rider
доза	dosis
доза	dosis
хендрикс	hendricks
хендрикс	hendrix
измервания	pagsukat
емблема	sagisag
емблема	emblem
пиеро	pierrot
пиеро	piero
петра	petra
мускул	masel
мускул	kalamnan
мускул	muscle
тбилиси	tbilisi
разкрити	nagsiwalat
колонията	kolonya
сиви	gray
сиви	abo
сиви	grey
полезна	makatutulong
полезна	nakatulong
полезна	nakakatulong
показани	ipinapakita
показани	ipapakita
крайници	limbs
размножаване	breeding
размножаване	aanak
размножаване	pagpaparami
статуята	rebulto
статуята	statue
териториално	teritoryal
верни	loyal
верни	totoo
верни	true
верни	tapat
верни	faithful
алпите	alpes
демо	demo
демо	pagpapakita
архиви	records
архиви	talaan
архиви	archives
архиви	arkibo
архиви	archive
документите	dokumentong
документите	documents
документите	dokumento
вечеря	hapunan
вечеря	hapunan
вечеря	supper
померания	pomerania
накратко	dagli
унищожаването	naninira
анализи	pagsusuri
анализи	pagtatasa
съдържаща	naglalaman
бедствия	sakuna
бедствия	kalamidad
подводница	submarine
подводница	sub
подводница	rap
перо	feather
лекува	nagpapagaling
арктика	arctic
въведение	pagpapakilala
въведение	panimula
въведение	intro
бара	bara
важност	kahalagahan
торпедо	torpedo
удря	hits
конан	conan
шрифт	font
бюст	bust
пустиня	desert
пустиня	disyerto
новгород	novgorod
локомотиви	locomotives
намален	nabawasan
намален	nabawasan
зърна	butil
зърна	suso
зърна	butil
сенат	senado
апогей	apogee
съображения	turing
утре	bukas
авторитет	awtoridad
авторитет	otoridad
авторитет	authority
авторитет	kapangyarihan
японско	hapon
японско	japanese
японско	hapones
полуфинала	semifinal
преки	direktang
преки	direct
преки	direkta
шведска	swedish
шведска	suweko
цин	shih
гробници	tombs
атланта	atlanta
елит	pili
елит	elite
бомбардировач	bomber
рита	rita
директорите	direktor
рон	ron
темите	tema
темите	paksa
паскал	pascal
трио	trio
указания	tagubilin
трагедията	trahedya
бунтовниците	rebel
бунтовниците	rebelde
малцинства	minorities
фред	fred
готово	done
грозни	pangit
грозни	panget
грозни	grozny
железни	bakal
железни	iron
близнаци	kambal
близнаци	twin
близнаци	gemini
близнаци	kambal
бомбардировачи	bombers
совалка	shuttle
тигър	tiger
тигър	tigre
видя	makita
видя	see
видя	makakita
видя	tingnan
имигранти	imigrante
имигранти	imigrante
вкъщи	tahanan
вкъщи	bahay
вкъщи	makauwi
обсерватория	obserbatoryo
виолета	violet
механик	mekaniko
младост	kabataan
поддръжници	backers
поддръжници	tagasuporta
поддръжници	supporters
познато	familiar
познато	pamilyar
изолация	pagkakabukod
изолация	paghihiwalay
гробища	cemetery
гробища	libingan
гробища	sementeryo
унищожи	sirain
унищожи	wasakin
успее	nagtagumpay
успее	magtagumpay
съвместни	dugtong
съвместни	pinagsamang
момичетата	girls
заплашва	nagbabanta
придвижване	paggalaw
придвижване	kilusan
далас	dallas
съставна	pinaghalo
мода	couture
мода	moda
мода	fashion
пие	inuman
пие	inom
пие	inumin
пие	umiinom
верде	verde
преминал	lumipas
преминал	pasado
смях	tatawa
смях	laughs
смях	pagtawa
смях	tawa
смях	tawa
смях	tumatawa
смях	tawa
смях	tumawa
компилация	compilation
оттегляне	pagalis
клане	massacre
клане	pagpatay
клане	patayan
симпсън	simpsons
симпсън	simpson
образователна	educational
детектив	detective
детектив	tiktik
албанско	albanian
приключенията	adventures
редове	lines
предимства	benepisyo
предимства	pakinabang
предимства	kalamangan
римляни	romans
римляни	roma
некропол	giza
еоод	ltd
отворено	buksan
отворено	bukas
отворено	open
квалификации	rating
квалификации	ratings
квалификации	qualification
печалба	tubo
печалба	kumikita
одобрение	apruba
одобрение	pagpayag
одобрение	approval
демокрацията	demokrasya
фиат	fiat
блейк	blake
еврейско	jewish
антична	antique
русо	russo
русо	rousseau
памук	bulak
памук	cotton
ахил	achilles
четвъртък	huwebes
романтични	romantiko
батальона	battalion
алгоритъм	algorithm
партньорство	partnership
партньорство	pakikipagsosyo
партньорство	pakikipagtulungan
стрийт	kalye
пето	ikalimang
пето	panglima
геология	geology
наема	umupa
наема	upahan
наема	rent
наема	upa
конфедерация	kompederasyon
юнг	jung
юнг	yung
инвазия	pagsalakay
местообитания	tahanan
строител	builder
глина	clay
чисти	malinis
облаци	ulap
облаци	ulap
олтар	dambana
олтар	shrine
биг	big
биг	malaking
биг	malaki
бригадата	brigada
седма	pitong
седма	seven
седма	pito
седма	ikapitong
козината	fur
козината	balahibo
вале	valle
вале	jack
вале	vale
свещена	banal
смъртни	mortal
арменци	armenian
предложен	iminumungkahing
предложен	nagmungkahi
предложен	iminungkahi
предложен	iminungkahing
предложен	iminumungkahi
предложен	inaalok
предложен	inalok
предложен	inaalay
предложен	iminungkahing
джън	zheng
лил	lil
лил	lille
историография	historyograpiya
панаир	karnabal
панаир	carnival
панаир	patas
психиатър	paliitin
психиатър	psychiatrist
мембрана	balamban
конете	kabayo
травма	injury
травма	pinsala
травма	trauma
последствия	kahihinatnan
намерението	intention
сабин	sabine
университетите	unibersidad
смъртност	mortality
ленти	dawa
ленти	tapes
ленти	alisan
ленти	strip
хонорис	honoris
псевдоними	aliases
рамки	frame
вратите	pinto
кабо	cape
кабо	tangos
кабо	kabo
регулиране	regulasyon
регулиране	adjustment
скъпи	dear
есе	sanaysay
потомък	descendant
процесор	cpu
процесор	processor
трудни	mahirap
справедливост	katarungan
справедливост	hustisya
вар	var
вар	lime
доставка	pagdadala
доставка	delivery
доставка	paghahatid
доставка	pagdadala
доставка	pagpapadala
доставка	suplay
доставка	supply
бенд	bend
странно	weird
странно	kakaiba
странно	kaiba
странно	kakaiba
уста	bunganga
уста	bibig
фил	phil
хага	hague
оцветяване	pangkulay
кит	balyena
кит	kitt
кит	kit
беневенто	benevento
форест	kagubatan
форест	gubat
футуна	futuna
клиника	klinika
клиника	clinic
пиза	pisa
бин	bin
жълта	dilaw
жълта	yellow
унищожен	nawasak
тито	tito
готовност	pagpayag
мил	mill
инструктор	instructor
таланти	talents
таланти	talent
таланти	talento
дюселдорф	düsseldorf
обичай	custom
констанций	constantius
сива	gray
сива	abo
сива	grey
изкопаеми	fossil
отзиви	review
рожден	kaarawan
роджърс	rogers
скрити	nakatagong
скрити	nakatago
скрити	itinago
съхраняване	imbakan
съхраняване	storage
модула	lander
телескоп	telescope
назначение	assignment
назначение	pagtatalaga
отговорни	responsableng
отговорни	responsable
отговорни	pananagutan
ангели	angels
ангели	anghel
толкин	tolkien
кантон	pancit
насекомо	barang
рамо	balikat
билборд	billboard
нюкасъл	newcastle
изненадващо	nakakagulat
изненадващо	nakakagulat
жлеза	gland
доставя	naghahatid
доставя	deliver
доставя	ihatid
доставя	iligtas
доставя	naghahatid
янина	janina
сбор	sum
сбор	kabuuan
газа	gaza
мек	malambot
избрано	pinili
избрано	napili
избрано	pinili
избрано	piling
сигизмунд	sigismund
чувствата	nadarama
чувствата	damdamin
чувствата	feelings
упадък	tanggihan
неутрална	neutral
родригес	rodriguez
родригес	rodríguez
дъщерите	daughters
николаевич	nikolayevich
лозя	ubasan
поли	polly
поли	poly
гнездо	pugad
провери	tingnan
провери	check
лиза	lisa
лиза	liza
чужда	foreign
чужда	dayuhang
тестване	pagsubok
тестване	testing
тестване	sinusubukan
авиацията	panghimpapawid
авиацията	aviation
мичъл	mitchell
виното	alak
точна	tumpak
точна	tama
линейни	guhit
линейни	diretso
временен	pansamantala
временен	temp
аргос	argos
графичен	maliwanag
графичен	graphic
графичен	graphical
графичен	graphics
водачите	driver
ядрено	nuclear
вариации	variation
полу	semi
верди	verdi
нба	nba
разход	gastos
разход	halaga
разход	paggasta
разход	gastos
атома	atom
преместена	inilipat
клипове	clips
клипове	clip
клипове	videos
искра	spark
недостиг	deficiency
недостиг	kasalatan
земетресението	lumindol
земетресението	lindol
земетресението	paglindol
алба	alba
логически	lohikal
логически	lohika
логически	logic
пионер	pioneer
лео	leo
заем	pautang
хенриета	henrietta
цру	cia
мартинес	martinez
изключва	excludes
мой	akin
мой	mine
извънредно	overtime
извънредно	labis
наблюдавани	nagmamasid
наблюдавани	ginugunita
наблюдавани	nanood
наблюдавани	napanood
наблюдавани	pinanood
наблюдавани	sinusubaybayan
решетка	grid
решетка	lattice
пабло	pablo
читатели	mambabasa
корупция	corruption
марсел	marcel
симптомите	sintomas
заводи	halaman
предотвратяване	pigilan
предотвратяване	iniiwasan
предотвратяване	maiwasan
предотвратяване	iwasan
предотвратяване	prevention
предотвратяване	pagpigil
геоложки	geological
антични	antique
равена	ravenna
коалицията	samahan
коалицията	coalition
политики	patakaran
печатни	nakalimbag
максимален	pinakamataas
клей	clay
грубо	krudo
грубо	rough
грубо	magaspang
грубо	bastos
франки	frankie
жозе	jose
жозе	jose
жозе	josé
хармония	pagkakatugma
хармония	harmony
хармония	pagkakaisa
бъдещ	kinabukasan
бъдещ	hinaharap
декоративни	pandekorasyon
декоративни	adorno
загубите	pagkalugi
уокър	walker
регистриран	nakarehistro
предпоставка	palagay
оверн	auvergne
гущери	lizards
единбург	edinburgh
горене	kombustiyon
горене	nasusunog
пушкин	pushkin
измислен	imbento
измислен	fictional
отровни	poisonous
тежест	pasakit
тежест	timbang
тежест	bigat
тежест	kalubhaan
репутация	reputasyon
репутация	goodwill
споменаване	pagbanggit
споменаване	mention
споменаване	binabanggit
споменаване	banggitin
автобус	bus
олимпия	olympia
разследването	imbestigasyon
разследването	pagsisiyasat
вторник	tuesday
вторник	martes
омар	ulang
омар	lobster
омар	omar
изпит	exam
изпит	exams
мечта	dream
мечта	pinapangarap
мечта	panaginip
мечта	pangarap
диплома	diploma
