vajdasági	vojvodine
bond	puto
bond	bond
infravörös	infračervené
tunézia	tunisko
tunézia	tunisku
tunézia	tuniska
tunézia	tuniský
minőség	kvalitné
minőség	kvality
minőség	kvalita
minőség	vlastnosť
nézet	výhľad
nézet	zobraziť
nézet	pohľad
nézet	zobrazenie
szakértők	špecialistov
szakértők	špecialisti
szakértők	odborníci
szakértők	odborníkov
szakértők	expertov
szakértők	experti
szigeteket	ostrovov
szigeteket	ostrovy
páncélozott	obrnené
páncélozott	pancierové
racionális	racionálne
racionális	rozumný
racionális	racionálny
meghaladta	prekročené
meghaladta	prekročiť
meghaladta	prekročenie
meghaladta	prekročená
fejedelmi	kniežací
szalon	salóne
szalon	salónu
szalon	salón
szalon	sedan
szalon	salóne
szalon	salón
számítógépek	počítače
számítógépek	počítačov
egyedek	exempláre
egyedek	exemplárov
kevesen	málokto
kevesen	málo
kevesen	pár
kevesen	mála
megnyitás	otvorenie
megnyitás	otvára
megnyitás	otváranie
massa	massa
nov	nov
nov	november
támad	útokmi
támad	útoky
támad	útokov
támad	útočí
támad	útočiť
nyíl	šíp
nyíl	šípka
nyíl	arrow
koch	koch
törekvés	usilujú
törekvés	prenasledovanie
törekvés	prenasledovania
törekvés	ambície
unit	jednotka
unit	unit
füst	dym
füst	dymu
füst	fajčiť
cbs	cbs
brüsszeli	bruselu
brüsszeli	brusel
brüsszeli	bruseli
kimagasló	vynikajúce
hibákat	chyby
hibákat	chýb
hibákat	chyby
hibákat	chýb
justin	justin
justin	justina
doo	doo
szokások	návyky
szokások	zvyky
beszéde	prejav
beszéde	príhovor
beszéde	reči
beszéde	vystúpenie
beszéde	reč
esp	esp
kent	kent
meuse	meuse
cole	cole
folyóiratok	periodík
alekszej	alexej
meyer	meyer
kérés	požiadať
kérés	žiadosť
kérés	požiadavka
kérés	prosba
kérés	vyžiadať
narancs	oranžová
narancs	orange
narancs	oranžový
narancs	pomaranč
narancs	oranžové
narancs	pomaranče
cum	cum
guadalajara	guadalajara
örökre	navždy
örökre	forever
örökre	naveky
egyszerűsített	zjednodušené
egyszerűsített	zjednodušený
kognitív	poznávacie
kognitív	kognitívne
szabálytalan	nepravidelný
irányítás	kontrola
irányítás	ovládanie
irányítás	ovládať
irányítás	kontrolovať
irányítás	hospodárenie
irányítás	riadenie
irányítás	vedenie
irányítás	manažment
irányítás	spravovanie
irányítás	riadenie
zaragoza	zaragoza
kígyó	hada
kígyó	had
kígyó	had
lanka	lanky
lanka	lanka
trevor	trevor
remete	pustovník
építő	staviteľ
luc	luc
kevert	zmiešaný
kevert	zmiešaná
kevert	zmiešané
kevert	zmiešaný
tengerészeti	námornej
tengerészeti	námorné
tengerészeti	námorná
tengerészeti	námorný
ásványi	minerálnych
ásványi	minerálne
mérnökök	inžinieri
mérnökök	inžinierov
gyalog	nohu
gyalog	noha
gyalog	pešo
gyalog	chodidlo
gyalog	peši
gyalog	kráčať
gyalog	chôdza
gyalog	chodenie
gyalog	chôdzu
gyalog	prechádzka
gyalog	pešiak
gyalog	kráčať
gyalog	peši
gyalog	chôdza
gyalog	prechádzka
doboz	box
doboz	kolónka
doboz	krabica
doboz	skrinka
churchill	churchill
teljesül	splnené
teljesül	splnená
teljesül	splnila
teljesül	splnený
teljesül	splnil
formáció	tvorbe
formáció	tvorba
formáció	formácia
formáció	formovanie
szörnyű	hrozné
szörnyű	strašné
szörnyű	hrozne
szörnyű	otrasné
szörnyű	strašne
szörnyű	hrozné
szörnyű	strašné
szörnyű	hrozná
szörnyű	strašná
szörnyű	hrozne
szörnyű	strasne
szörnyű	hrozné
szörnyű	strašné
szörnyű	otrasné
szörnyű	strašná
önkormányzatok	obce
önkormányzatok	obcí
magyarázatot	vysvetlenie
magyarázatot	vysvetlivky
magyarázatot	vysvetlenia
magyarázatot	vysvetlenie
magyarázatot	vysvetlivky
classic	klasika
classic	klasická
classic	klasický
classic	klasické
wood	wood
wood	drevo
mátrix	matrix
global	globálny
global	globálna
global	globálne
könyvtári	knižnica
könyvtári	knižnici
könyvtári	knižnice
könyvtári	knižnicu
fenyő	pinus
fenyő	pine
weiss	weiss
felette	vyššie
felette	nad
békák	žaby
urak	páni
urak	pánov
koncertek	koncertov
koncertek	koncerty
austin	austin
indítás	štart
indítás	spustenie
indítás	spustiť
feloszlott	rozpustená
statisztikák	štatistiku
statisztikák	štatistiky
statisztikák	štatistika
statisztikák	štatistiky
cigányok	cigáni
kilátás	výhľad
kilátás	zobraziť
kilátás	pohľad
kilátás	zobrazenie
sophie	sophie
sophie	sophia
etióp	etiópske
barlangok	jaskýň
barlangok	jaskyne
barlangok	jaskyňa
utazik	cestuje
utazik	cestovanie
előkészítő	prípravné
schneider	schneider
élve	živá
élve	živí
élve	živý
élve	nažive
borbély	holič
edwards	edwards
leszármazottai	potomkovia
leszármazottai	potomkov
őrzött	strážené
bella	bella
adatlap	profil
adatlap	profilu
adatlap	profilové
adatlap	profile
tevékenységek	aktivít
tevékenységek	činnosť
tevékenységek	činnosti
tevékenységek	aktivity
tevékenységek	činnosť
tevékenységek	aktivity
tevékenységek	aktivita
harcosok	bojovníci
harcosok	bojovníkov
harcosok	stíhačky
harcosok	bojovníci
harcosok	bojovníkov
szintetizátor	syntetizátor
képességeit	schopnosťami
képességeit	schopností
képességeit	schopnosti
orvostudomány	medicína
orvostudomány	liek
orvostudomány	lieky
germain	germain
láz	horúčky
láz	horúčka
nitrogén	dusík
nitrogén	dusíka
jonas	jonas
szárnya	krídlo
szárnya	wing
növekedés	zvýšenia
növekedés	zvýšiť
növekedés	nárast
növekedés	zvýšenie
növekedés	zväčšiť
növekedés	rast
növekedés	nárast
növekedés	rastu
növekedés	prírastok
tanulás	štúdium
tanulás	študuje
tanulás	štúdia
tanulás	štúdium
tanulás	študijné
tanulás	štúdie
tanulás	učenie
egyenlet	rovnica
egyenlet	rovnice
flash	blesk
flash	flash
flash	záblesk
computer	počítačová
computer	počítač
computer	počítačom
computer	počítača
toszkána	toskánsku
moto	moto
börtön	väzenia
börtön	väznica
börtön	base
börtön	väzenie
börtön	basy
börtön	väzenia
börtön	väznica
börtön	väzení
börtön	väzenie
una	una
ismételten	opakovane
okos	šikovné
okos	múdry
okos	šikovný
okos	múdra
okos	inteligentné
okos	múdry
okos	šikovný
okos	smart
okos	múdra
élesen	ostro
élesen	prudko
mélység	hĺbka
mélység	hĺbku
mélység	hĺbky
lane	lane
lane	pruh
grafika	grafiku
grafika	grafické
grafika	grafika
divízió	delenie
divízió	divízia
divízió	rozdelenie
személyisége	osobnosť
személyisége	osobnosti
atlas	atlas
kalózok	piráti
kalózok	pirátov
isère	isère
brad	brad
kapcsolódott	pripojený
kapcsolódott	pripojené
kapcsolódott	prepojená
kapcsolódott	prepojený
kapcsolódott	prepojené
problémás	problematické
problémás	problémové
alexandre	alexandre
szászok	sasi
fehéroroszország	bielorusko
fehéroroszország	bieloruskej
fehéroroszország	bielorusko
versailles	versailles
sainte	sainte
tények	skutočnosti
tények	fakty
tények	faktov
gironde	gironde
ger	ger
bass	basa
bass	bass
bass	basy
spirituális	duchovný
spirituális	duchovného
spirituális	duchovné
sekély	plytké
kulcs	kľúče
kulcs	klávesy
kulcs	kľúčová
kulcs	kľúč
kulcs	kľúčové
ajánlatot	ponúknuť
ajánlatot	ponuka
ajánlatot	ponuku
újonc	nováčik
újonc	nováčik
újonc	nábor
újonc	zelenáč
újonc	nováčik
hannover	hannover
schiller	schiller
leone	leone
lmbt	lgbt
jövőbeli	budúca
jövőbeli	budúcnosti
jövőbeli	budúcnosť
jövőbeli	budúce
kezeli	rukoväte
humoros	humorné
asszonyok	ženy
asszonyok	žien
asszonyok	dámske
jogszabályok	právo
jogszabályok	zákon
jogszabályok	legislatíva
jogszabályok	legislatívu
jogszabályok	zákony
legendája	legendu
legendája	vysvetlivky
legendája	legendy
legendája	legenda
chuck	chuck
chuck	chucka
planet	planéta
planet	planéty
planet	planet
planet	planétu
planet	planéte
mer	mer
megközelítőleg	približné
megközelítőleg	približný
megközelítőleg	približne
torres	torres
hong	hong
indre	indre
miles	míľ
miles	kilometre
miles	miles
miles	míle
szárnyak	krídla
szárnyak	wings
gees	gees
műveletek	operácie
műveletek	prevádzky
műveletek	prevádzka
műveletek	akcie
műveletek	činy
szenátus	senátu
szenátus	senát
rendezvények	udalostí
rendezvények	podujatia
rendezvények	udalosti
arányos	úmerné
arányos	primeraná
arányos	proporcionálne
arányos	pomerné
arányos	primeraný
arányos	primeraná
arányos	primerané
humanista	humanista
athenaeum	athenaeum
festői	malebné
aragón	aragón
nancy	nancy
őrgróf	markgróf
filmeket	filmy
filmeket	filmy
filmeket	filmov
mesterek	majstri
mesterek	kapitánov
mesterek	majstrov
anita	anita
lausanne	lausanne
készülék	pomôcky
készülék	zariadenie
készülék	prístroj
készülék	pomôcka
készülék	spotrebič
készülék	spotrebiče
készülék	prístroj
készülék	prístroje
hétvégén	víkendy
hétvégén	víkendové
hétvégén	víkend
hétvégén	víkendu
hétvégén	vikend
házas	manželia
házas	vydatá
házas	ženatý
tirol	tirol
extrém	extrémne
extrém	extrémny
extrém	extrémna
aug	august
aug	aug
márka	značku
márka	značka
márka	značky
terra	terra
sawyer	sawyer
birkózó	wrestling
birkózó	zápasník
vladimir	vladimír
vladimir	vladimir
vincze	vincze
atom	atómové
atom	atómová
atom	atom
menő	pohode
menő	pecka
menő	super
menő	cool
hotspur	hotspur
basszusgitáros	basgitaristu
janus	janus
szabványos	štandardný
szabványos	štandard
szabványos	norma
szabványos	štandardné
októberi	októbra
októberi	október
arabul	arabčina
arabul	arabsky
arabul	arabské
milliméter	milimetrov
kábel	kábel
kábel	káblové
kábel	káble
büntetést	potrestať
büntetést	potrestaný
büntetést	potrestaná
büntetést	potrestaní
nyak	krk
nyak	šije
nyak	krku
légitársaság	airlines
érsekség	arcidiecéze
többségi	väčšina
többségi	väčšinu
spears	spears
univerzum	vesmíre
univerzum	vesmír
indulás	odlet
indulás	odklon
indulás	odchodu
indulás	odchod
kenny	kenny
jakob	jakob
műholdas	satelitné
műholdas	satelitná
műholdas	satelit
cső	fajka
cső	potrubie
cső	rúra
cső	trubica
cső	trubice
cső	rúra
könyvtárosok	knihovníci
gyümölcs	ovocia
gyümölcs	plody
gyümölcs	ovocie
gyümölcs	plodov
gyümölcs	ovocia
gyümölcs	plody
gyümölcs	ovocie
model	model
model	vzor
model	modelka
szociológiai	sociologických
elisabeth	elisabeth
elisabeth	alžbeta
specifikus	špecifické
specifikus	konkrétne
specifikus	špecifická
specifikus	osobitné
specifikus	konkrétnych
specifikus	špecifický
természettudós	prírodovedec
diktatúra	diktatúra
diktatúra	diktatúry
házassági	manželských
házassági	manželské
rachel	rachel
projektek	projektmi
projektek	projektov
projektek	projektom
projektek	projekty
viselkedése	chovanie
viselkedése	správanie
montréal	montréal
oldódik	rozpustný
oldódik	rozpustné
firenzei	florentská
csillagkép	súhvezdie
#fff	#fff
holló	vrana
holló	raven
anti	anti
hírességek	celebrita
hírességek	celebrity
hírességek	celebrity
auguste	auguste
werder	werder
térbeli	priestorový
térbeli	priestorových
térbeli	priestorové
hetente	týždenné
hetente	týždenne
hetente	týždenný
köd	opar
köd	hmla
köd	hmly
köd	hmle
köd	hmly
köd	hmla
köd	nebula
tang	tang
demográfiai	demografia
demográfiai	demografické
értékelte	ocenené
értékelte	ocenil
értékelte	cení
baptista	baptist
mostanában	nedávno
kompatibilis	kompatibilné
kompatibilis	zlučiteľné
kompatibilis	kompatibilný
edge	hrane
edge	okraja
edge	okraj
edge	hrany
fokozott	zvýšený
fokozott	zvýšená
fokozott	zvýšil
fokozott	zvýšenie
fokozott	zvýšené
jam	jam
creek	potoka
creek	creek
ajánlom	odporúčame
ajánlom	odporučiť
ajánlom	odporúčam
sarki	polárne
figyelmeztetés	výstraha
figyelmeztetés	varuje
figyelmeztetés	varovanie
figyelmeztetés	upozornenie
figyelmeztetés	upozorniť
figyelmeztetés	zápis
figyelmeztetés	upozornenie
figyelmeztetés	varovania
narancssárga	oranžová
narancssárga	orange
narancssárga	oranžový
narancssárga	pomaranč
narancssárga	oranžové
meggyilkolták	zavraždená
meggyilkolták	zavraždení
meggyilkolták	zavraždený
scooby	scooby
lent	pod
lent	nižšie
lent	prízemie
lent	dole
boldogság	štastie
boldogság	šťastie
boldogság	šťastný
boldogság	šťastne
boldogság	šťastné
szög	nechty
szög	klince
szög	klinec
szög	uhla
szög	uhol
megválasztott	zvolené
megválasztott	zvolená
megválasztott	zvolili
megválasztott	zvolených
megválasztott	zvolený
időszakos	pravidelné
időszakos	periodické
időszakos	periodicky
julian	julian
julian	juliana
biológus	biológ
vienne	vienne
trombita	trúbka
trombita	trúba
pan	pana
pan	pan
péntek	piatok
moldova	moldavsko
moldova	moldavská
monumentális	monumentálne
bányászati	banská
bányászati	ťažbu
bányászati	ťažba
poroszország	prusko
korrekt	správne
korrekt	správny
korrekt	správna
korrekt	opraviť
korrekt	spravodlivý
korrekt	fér
korrekt	spravodlivé
korrekt	veľtrh
annie	annie
kalauz	sprievodcu
kalauz	príručka
kalauz	sprievodca
kalauz	guide
kalauz	návod
kalauz	sprievodcu
kalauz	dirigent
vasutak	železnice
vasutak	železníc
vasutak	železnica
vizsgált	testovaný
vizsgált	skúša
vizsgált	testovaná
vizsgált	testované
vizsgált	skúšaný
vizsgált	preskúmala
vizsgált	preskúmané
vizsgált	skúmané
vizsgált	skúmaných
tölgy	quercus
tölgy	dub
tölgy	dub
tojás	vajcia
tojás	vajec
tojás	vajíčka
tojás	vajíčko
tojás	vajca
tojás	vajce
létesítmény	inštalácia
létesítmény	inštaláciu
létesítmény	montáž
létesítmény	zariadenie
létesítmény	inštalovanie
létesítmény	zariadenie
létesítmény	založenie
létesítmény	zriadenie
létesítmény	ustanovenie
értelmezhető	zmysluplný
értelmezhető	zmysluplné
megszállt	posadnutá
megszállt	posadnutí
megszállt	posadnutý
megszállt	obsadené
megszállt	obsadený
megszállt	obsadená
klorid	chlorid
klorid	chloridy
mialatt	kým
fix	opraviť
fix	stanovené
fix	opravené
homok	piesok
homok	piesku
homok	piesky
csók	bozky
csók	pusa
csók	bozk
csók	kiss
csók	pobozkať
veszteségeket	strát
veszteségeket	prehry
veszteségeket	straty
spontán	spontánne
spontán	spontánne
derby	derby
evolúció	evolúcia
evolúció	vývoj
evolúció	evolúcie
szurkolók	fans
szurkolók	ventilátory
szurkolók	fanúšikov
szurkolók	fanúšikovia
üzemeltető	operátor
üzemeltető	prevádzkovateľa
üzemeltető	prevádzkovateľ
conrad	conrad
analízis	rozbor
analízis	analýza
analízis	analýzy
analízis	analýzu
mongólia	mongolsko
luna	luna
privát	súkromný
privát	vojak
privát	súkromná
privát	súkromné
kezdetek	začiatok
kezdetek	začiatky
bizonyítani	dokázať
főnök	veliteľ
főnök	náčelník
főnök	šéfe
főnök	šéf
főnök	šéfka
főnök	boss
szülő	rodiča
szülő	materská
szülő	rodičovský
szülő	rodič
szülő	materskej
harvey	harvey
áruház	predajňa
áruház	uchovávať
áruház	skladovať
áruház	obchod
jackie	jackie
atlanta	atlanty
atlanta	atlante
koordináta	koordinovať
koordináta	súradnice
koordináta	súradnice
claudius	claudius
átadott	prevedená
átadott	prevedený
átadott	presunuté
átadott	prenesené
átadott	prevedené
potenciális	potenciál
potenciális	potenciálne
potenciális	potenciálu
lambert	lambert
horror	hrôza
horror	horor
szaxofon	saxofón
utasok	cestujúcich
utasok	pasažierov
utasok	pasažieri
utasok	cestujúci
utasok	cestujúcich
utasok	cestujúci
teológia	teológia
eltávolították	odstránené
eltávolították	odstránený
eltávolították	odstránená
diszkográfia	diskografia
hamburger	burger
hamburger	hamburger
hamburger	hamburger
reeder	reeder
szál	vlákno
szál	vlákniny
szál	nite
szál	vlákna
szál	vlákno
szál	niť
szál	nite
centrum	centrum
centrum	centrum
centrum	centre
centrum	stredisko
centrum	stred
fát	wood
fát	drevo
hatásai	efekty
hatásai	účinky
hatásai	vplyvy
keserű	horké
bűncselekmény	zločin
bűncselekmény	zločin
bűncselekmény	kriminalita
bűncselekmény	zločinu
kutatói	výskumník
kutatói	výskumníkov
kutatói	výskumníci
lennon	lennon
broadway	broadway
bomba	bomby
bomba	bomba
bomba	bomby
tudatosan	vedome
tudatosan	vedome
pérez	pérez
abraham	abraham
szerencsétlen	nešťastný
szerencsétlen	nešťastie
szerencsétlen	smolu
szerencsétlen	nešťastný
szerencsétlen	nešťastie
szerencsétlen	nešťastné
szerencsétlen	nešťastná
felszerelve	vybavené
felszerelve	vybavená
felszerelve	namontované
felszerelve	vybavené
felszerelve	vybavená
felszerelve	vybavený
madagaszkár	madagaskaru
gene	gén
gene	gene
oslo	oslo
robbanás	výbuchu
robbanás	explózie
robbanás	explóziu
robbanás	explózia
robbanás	výbuch
krakkó	krakow
krakkó	kraków
diploma	diplomu
diploma	diplom
diploma	stupeň
egyetértés	dohoda
egyetértés	dohodou
egyetértés	chápanie
egyetértés	pochopenie
egyetértés	porozumieť
egyetértés	pochopiť
egyetértés	porozumenie
egyetértés	konsenzu
egyetértés	konsenzus
belseje	vnútro
belseje	interiér
belseje	vnútra
megoldások	roztoky
megoldások	riešenia
hetes	siedmych
hetes	seven
hetes	siedmich
hetes	sedem
következményei	následky
következményei	dôsledky
lucia	lucia
boszorkány	čarodejnice
boszorkány	čarodejnica
boszorkány	bosorka
fészek	hniezdo
fészek	hniezda
ars	nr
ars	ars
pat	pat
propaganda	propaganda
propaganda	propagandy
szocializmus	socializmus
botrány	škandálu
botrány	škandál
webber	webber
szilveszter	sylvester
santo	santo
tök	tekvica
sheffield	sheffield
joel	joel
janeiro	janeiro
ipa	ipa
gót	goth
végrehajtási	presadzovanie
végrehajtási	vymáhanie
végrehajtási	vykonávacie
tengerentúli	zámorských
asszisztensek	asistenti
asszisztensek	asistentky
asszisztensek	asistentov
düsseldorf	düsseldorf
termelt	vyrobené
termelt	vyrobená
termelt	vyrobený
termelt	vyprodukované
csarnok	hala
csarnok	sála
csarnok	sieň
csarnok	hall
spider	pavúk
spider	pavúka
spider	spider
interaktív	interaktívne
sex	pohlavia
sex	pohlavie
sex	sex
feltöltött	nahraté
feltöltött	nahral
feltöltött	odoslané
autóval	auto
autóval	auta
autóval	car
autóval	autom
paramount	prvoradé
paramount	prvoradá
hivatkozást	spojiť
hivatkozást	spojenie
hivatkozást	súvislosť
hivatkozást	odkaz
hivatkozást	link
hivatkozást	prepojiť
alkotók	tvorcovia
alkotók	tvorcov
szépség	kráska
szépség	krása
csomag	svorka
csomag	zbaliť
csomag	balenia
csomag	balenie
csomag	zabaliť
csomag	pack
csomag	balíček
csomag	balík
csomag	balenie
kai	kai
kazahsztán	kazachstane
kazahsztán	kazachstan
kazahsztán	kazachstanu
puy	puy
utazási	cestovať
utazási	cestovné
utazási	cestovný
utazási	cestovanie
linnaeus	linné
radioaktív	rádioaktívne
radioaktív	rádioaktívnym
radioaktív	rádioaktívny
radioaktív	rádioaktívnych
jamaica	jamajka
vallott	priznal
vallott	priznala
kaukázusi	kaukaze
kaukázusi	kaukazu
kaukázusi	beloch
bokor	kríky
bokor	bush
bokor	busha
bokor	haluz
búza	pšenica
búza	pšenicu
búza	pšenice
egységesen	jednotne
bónusz	bonus
bónusz	bonusy
bónusz	prémie
hónapja	mesiaca
hónapja	mesiac
mióta	odkedy
mióta	keďže
amy	amy
jelentéktelen	nepodstatné
jelentéktelen	nezmyselné
jelentéktelen	bezvýznamná
jelentéktelen	bezvýznamné
jelentéktelen	bezvýznamný
jelentéktelen	bezvýznamná
jelentéktelen	bezvýznamné
alpha	alpha
alpha	alfa
sör	piva
sör	pivo
sör	pivko
hughes	hughes
jake	jake
sorba	front
sorba	frontu
hopkins	hopkins
stark	starka
stark	stark
olivier	olivier
ned	ned
ned	neda
gks	gks
niger	niger
megjelölt	označené
megjelölt	označená
megjelölt	označený
megjelölt	označení
megjelölt	označené
megjelölt	označená
kizárólagos	výhradné
kizárólagos	exkluzívne
kizárólagos	exkluzívny
kizárólagos	výlučné
szemét	odpadky
szemét	blbosti
szemét	hlúposť
szemét	blbosť
szemét	odpad
szemét	odpadky
szemét	kôš
lakás	byt
lakás	ploché
lakás	plochá
lakás	byte
lakás	byt
lakás	bytom
lakás	bytu
lakás	apartmán
lakás	obydlia
lakás	obydlie
lakás	bývania
lakás	ubytovanie
lakás	bývanie
trilógia	trilógia
dakota	dakota
szombaton	sobotu
szombaton	sobota
julianna	julianna
évenként	ročné
évenként	každoročne
évenként	ročný
évenként	ročne
koncepció	koncepcia
koncepció	pojem
koncepció	koncept
koncepció	koncepcie
koncepció	koncepciu
jeanne	joan
jeanne	jeanne
átalakított	modifikovaný
átalakított	zmenený
átalakított	modifikované
átalakított	zmenené
átalakított	modifikovaná
átalakított	prevedený
átalakított	prepočítané
átalakított	prispôsobené
átalakított	prispôsobený
előnyös	prospešné
előnyös	výhodné
előnyös	výhodný
törlése	odstrániť
törlése	vymazať
törlése	zmazať
alább	pod
alább	nižšie
bizonyítékok	dôkazy
bizonyítékok	dôkaz
burgenland	burgenland
bsc	bsc
ávila	ávila
eduardo	eduardo
fizikusok	fyzici
simpson	simpson
nílus	níle
vallások	náboženstvá
vallások	náboženstiev
élőlény	organizmus
élőlény	organizmu
orange	oranžová
orange	orange
orange	oranžový
orange	pomaranč
orange	oranžové
számláló	počítadlo
számláló	pult
számláló	čitateľ
elkerülése	zabrániť
elkerülése	zamedzenie
elkerülése	zabránenie
elkerülése	vyhýbanie
konszenzus	konsenzu
konszenzus	konsenzus
michelle	michelle
paula	paula
gerhard	gerhard
kapcsolatai	spojenia
kapcsolatai	pripojenia
elszenvedett	vydržala
elszenvedett	vydržali
közreműködő	prispievateľom
közreműködő	prispievateľov
nicaragua	nikarague
castro	castro
vandalizmus	vandalizmus
rhône	rhône
mobile	mobile
mobile	mobilné
mobile	mobil
mobile	mobilný
glenn	glenn
stein	stein
gombák	huby
gombák	húb
gombák	huby
gombák	huba
gombák	huby
ablakok	windows
ablakok	okná
brno	brno
reagál	reaguje
reagál	odpovedá
reagál	zareaguje
évszázad	storočia
évszázad	storočí
évszázad	storočie
armstrong	armstrong
csomópont	uzol
csomópont	križovatky
csomópont	križovatke
csomópont	križovatka
törvénytelen	nelegitímne
törvénytelen	nezákonné
törvénytelen	nezákonný
törvénytelen	protiprávne
aranyos	zlaté
aranyos	zlatý
aranyos	zlatí
aranyos	zlatá
próbáltam	skúšal
próbáltam	skúšala
próbáltam	pokúsil
próbáltam	skúšali
próbáltam	pokúšal
palermo	palermo
bezárt	uzavretá
bezárt	zatvorená
bezárt	zatvorené
bezárt	zavreté
bezárt	uzavreté
csökkentése	zredukovať
csökkentése	znížiť
csökkentése	zníženie
csökkentése	znižovanie
csökkentése	redukcia
csökkentése	zmenšenie
csökkentése	znižovanie
rain	dážď
rain	dažďa
rain	rain
auto	auto
auto	automatický
auto	automatická
auto	automatické
auto	automaticky
kitörés	ohnisko
kitörés	erupcia
kitörés	výbuch
freddie	freddie
apache	apache
esküvő	svadobná
esküvő	svadba
esküvő	sobáš
esküvő	svadobné
esküvő	svadbu
esküvő	svadby
hudson	hudson
utcák	uliciach
utcák	ulice
utcák	ulíc
technikailag	technicky
alekszandrovics	alexandrovič
perui	peru
koreográfus	choreograf
recept	predpis
recept	recept
társaságok	spoločnosti
társaságok	korporácie
társaságok	korporácií
társaságok	firmy
társaságok	spoločnosti
társaságok	spoločností
megszüntetése	vypovedanie
megszüntetése	ukončenie
siemens	siemens
kiadások	výdavky
kiadások	výdavky
kiadások	výdavok
kiadások	výdavky
kiadások	výdaje
kiadások	výdavky
nyelvészet	lingvistika
hollywoodi	hollywood
hollywoodi	hollywoode
hollywoodi	hollywoodu
divat	módne
divat	fashion
divat	móda
divat	módna
divat	módy
christoph	christoph
összeg	čiastka
összeg	množstvo
összeg	sumu
összeg	suma
összeg	súčet
összeg	suma
nicole	nicole
nepál	nepále
deux	deux
távközlési	telecom
távközlési	telekomunikácií
távközlési	telekomunikácie
távközlési	telekomunikácie
távközlési	telekomunikačných
kocsik	cars
kocsik	áut
kocsik	automobily
kocsik	autá
kocsik	vagóny
kocsik	vozy
kocsik	vozne
kocsik	vozňov
felújítás	renovácie
felújítás	obnova
felújítás	obnovenie
felújítás	rekonštrukcia
felújítás	renováciu
felújítás	rekonštrukcie
felújítás	renováciu
professzionális	profesionálne
professzionális	profesionál
professzionális	odborná
professzionális	profesionálny
