vennaskonna	братство
stepan	степан
demokraadid	демократи
näljahäda	голод
motiivid	мотиви
motiivid	мотиви
vastuvõetud	прийнято
vastuvõetud	прийняті
vastuvõetud	прийняли
vastuvõetud	прийнятий
vastuvõetud	приймається
xxiii	xxiii
teodor	теодор
baleriin	балерини
ipod	ipod
krooniline	хронічне
edwards	едвардс
kraater	кратер
leibkonna	двір
kauge	далеких
kauge	вій
kauge	далекого
istus	сб
istus	сидячи
istus	сіли
istus	сидів
istus	sat
claudio	клаудіо
coli	паличка
ajakirjad	журнали
ajakirjad	журнали
turner	тернер
nähtamatu	невидимі
nähtamatu	невидимий
nähtamatu	небачені
nähtamatu	непомітно
haamer	молоток
jätkati	тривале
jätkati	продовжив
jätkati	продовжували
jätkati	продовжується
jätkati	продовжила
luxembourg	люксембургу
luxembourg	люксембург
piip	гудок
piip	трубу
piip	труба
piip	люльку
piip	каналом
clément	клеман
tõstmine	підвищення
tõstmine	підняття
tõstmine	піднімати
connor	коннор
kilogrammi	кілограми
kilogrammi	кілограмів
kilogrammi	грамів
kilogrammi	кілограм
sas	сас
raamatukogude	бібліотек
raamatukogude	бібліотеки
raamatukogude	бібліотеках
masti	щогли
kümnes	десяту
kümnes	десятий
jahu	мука
jahu	борошно
jahu	борошно
täiustatud	покращений
täiustatud	покращена
täiustatud	додатковий
täiustatud	додаткові
täiustatud	додаткове
täiustatud	розширений
täiustatud	додатково
blu	blu
zeusi	зевс
ajad	таймс
ajad	час
ajad	часи
ajad	times
marine	морська
volõõnia	волинь
agentuur	агенція
agentuur	агентство
kõrgustik	височина
kuulis	почув
kuulis	чув
kuulis	почула
kuulis	чули
kuulis	чула
rocca	рокка
mesopotaamia	межиріччя
tuuleveski	вітряк
tuuleveski	млин
karabahhi	карабаської
prima	пріма
peegeldab	відображає
natura	natura
blackberry	blackberry
uskumused	переконання
uskumused	погляди
uskumused	поглядів
nõid	чарівниця
nõid	відьму
nõid	відьма
nõid	відьми
sõltuvust	залежність
sõltuvust	залежність
steel	сталь
isabella	ізабелла
mozilla	mozilla
teatab	оголошує
teatab	задає
eurooplaste	європейці
eurooplaste	європейців
alexis	алексіс
alexis	алена
kohtunud	зустрілись
kohtunud	зустрілися
kohtunud	зустріли
legaat	легат
mürk	venom
mürk	отрути
mürk	отруту
mürk	отрута
igavesti	назавжди
igavesti	forever
igavesti	навіки
heidi	гайді
unustatud	забуте
unustatud	забути
unustatud	забули
unustatud	забутий
reform	реформи
reform	реформа
tseremoonia	церемонія
tõlk	перекладач
tõlk	інтерпретатор
registrisse	зареєструватись
registrisse	зареєструвати
registrisse	регістр
registrisse	реєстрація
raadius	радіус
iowa	айова
kasvajate	пухлини
antonius	ентоні
antonius	антоній
jesse	джессі
walther	вальтер
murdis	розбили
murdis	розійшлися
murdis	зламав
murdis	відійшли
muudatus	поправка
muudatus	зміна
muudatus	change
muudatus	змінити
nõrgad	слабка
nõrgad	слабкий
einstein	ейнштейн
ice	лід
kann	юг
santi	санті
juur	root
juur	корінь
tundlik	чутливі
tundlik	урахуванням
diplomaatia	дипломатія
väärib	заслуговує
väärib	заслужила
tõhus	ефективна
tõhus	ефективний
tõhus	ефективна
tõhus	ефективно
hingamisteede	дихальна
täiendav	додаткові
täiendav	додатковий
täiendav	пасують
täiendav	додаткова
värvitud	намалювала
värvitud	малюють
janne	янне
tööriist	засіб
tööriist	інструмент
rikutud	пошкоджено
rikutud	пошкоджений
rikutud	зруйнували
rikutud	зруйнував
kohustuse	характеру
protesti	протест
hüppas	накинувся
tonga	тонга
edit	edit
edit	редагувати
edit	правка
edit	змінити
gaboni	габону
reageerivad	реагує
reageerivad	реагувати
