filmare	filmavimo
conducând	vykdymo
cronologic	chronologiškai
selim	selim
flaut	fleita
concertele	koncertai
turcesc	turkijoje
turcesc	turkija
turcesc	turkų
turcesc	turkijos
liniște	ramu
liniște	tyliai
hood	spinta
berry	uoga
stânca	akmuo
stânca	rokas
stânca	rock
producere	gamyba
producere	gamybos
filozofice	filosofinius
exerciții	pratybas
vancouver	vankuverio
gogh	gogo
acută	ūmaus
acută	ūminis
diagnostic	diagnozės
diagnostic	diagnozė
diagnostic	diagnostika
diagnostic	diagnostiniai
diagnostic	diagnostika
diagnostic	diagnostikos
sergio	sergio
filială	dukterinė
filială	filialas
filială	šaka
altlink	altlink
poetic	poetiškas
fbi	ftb
jamaica	jamaika
amical	draugiška
amical	draugiškai
amical	draugiškas
amical	draugišką
amical	draugiški
cercurile	apskritimai
vulturul	erelis
delaware	delavero
panouri	plokštės
auschwitz	aušvicas
baltimore	baltimorės
pagube	žala
pagube	žalos
coral	koralų
carroll	carroll
ferm	firma
ferm	tvirtai
leigh	leigh
înfrângeri	pralaimėjimus
mesopotamia	mesopotamija
adrese	adresus
adrese	adresai
struguri	vynuogės
struguri	vynuogių
struguri	vynuogės
tulpina	padermė
magie	magija
ultra	ultra
aspru	žiauri
villon	villon
finanțarea	finansavimas
forbes	forbes
holland	holland
holland	olandija
gate	vartų
gate	vartai
cooperarea	bendradarbiavimas
cooperarea	bendradarbiavimo
creare	kūryba
creare	laikinojo
premiere	premjera
pasaje	ištraukas
grădinile	sodai
iordania	jordan
iordania	jordanija
iordania	jordanijos
bacterii	bakterijų
bacterii	bakterijas
bacterii	bakterija
bacterii	bakterijos
frédéric	frédéric
cumpărată	perkami
cumpărată	įsigytas
cumpărată	pirktas
cumpărată	nupirkti
cumpărată	įsigyta
cumpărată	nusipirko
tactică	taktinis
clopot	bell
acuză	griežčiau
consumului	suvartojimas
consumului	sunaudojimas
ligue	ligue
atacată	užpuolė
guido	guido
învierea	prisikėlimo
suita	apartamentai
ignorat	ignoruoti
ignorat	ignoruojami
orizontal	horizontalus
orizontal	horizontali
orizontal	horizontaliai
întindere	siekiu
arabii	arabai
basilica	bazilika
acorduri	susitarimai
voyager	voyager
yuan	yuan
rdg	vdr
legați	pririšti
fantezie	fantazija
cena	cena
cyrus	cyrus
milă	gaila
milă	pasigailėjimo
milă	konfliktas
milă	mylios
neolitic	neolitas
claire	kler
pompei	pompėja
surpriză	staigmena
core	branduolys
ankara	ankaros
dialogul	dialogas
dialogul	dialogo
sâmbăta	šeštadienį
sâmbăta	šeštadienis
sâmbăta	šeštadieniais
pătrate	aikštės
powell	powell
maxwell	maxwell
infrastructură	infrastruktūra
infrastructură	infrastruktūrą
infrastructură	infrastruktūros
noduri	mazgų
miniștrii	ministrai
miniștrii	ministrų
descărcare	atsiųsti
asigurare	atsargumas
asigurare	draudimas
asigurare	draudimo
adela	adela
herodot	herodotas
datorie	skola
confesiune	išpažinties
lichide	skysčius
lichide	skysčiai
lichide	skystis
lichide	skystas
sand	smėlio
sand	smėlis
wimbledon	wimbledon
acustică	akustika
itunes	itunes
circus	cirko
circus	cirkas
pictează	dažai
pictează	dažų
elvețiană	šveicarijos
elvețiană	šveicarija
detectiv	detektyve
detectiv	detektyvas
valeria	valeria
apartament	buto
apartament	butas
apartament	bute
aura	aura
sensibil	jautrus
sensibil	jautri
sensibil	jautrios
scurta	trumpa
scurta	trumpi
scurta	trumpai
scurta	trumpas
zeitung	zeitung
intel	intel
batista	batista
mig	mig
med	med
tottenham	tottenham
canalizare	kanalizacijos
asti	asti
proprietarii	savininkai
moderni	moderni
decorată	papuošti
restricții	suvaržymai
restricții	apribojimai
restricții	ribojimai
restricții	apribojimas
restricții	ribojimas
amestecul	mišinys
particulele	dalelės
dorothy	doroti
municipale	buitinių
indicii	indeksai
indicii	užuominos
indicii	pėdsakus
transporturi	vežimas
transporturi	transportas
ingineria	inžinerija
ingineria	inžinieriai
ingineria	inžinerijos
aeronave	orlaivis
aeronave	orlaiviai
aeronave	lėktuvas
sârbilor	serbai
dură	kieta
wellington	wellington
scutul	skydo
scutul	skydas
formule	formulės
formule	formules
als	lps
als	vl
als	als
fecioara	mergelės
fecioara	mergelių
checkuser	checkuser
pistol	pistoletas
pistol	pistoletas
pistol	ginklą
pistol	ginklas
purtată	dėvėti
claus	klausas
pescuitul	žuvininkystė
pescuitul	žvejyba
pescuitul	žvejybos
precise	tikslios
precise	tikslūs
mese	valgius
salon	sedano
vulpe	lapė
paradis	rojų
paradis	rojus
mineral	mineralinių
mineral	mineralinis
medial	medialinę
bmw	bmw
amator	mėgėjų
custodia	globos
stânci	uolų
stânci	uolos
stânci	akmenų
stânci	akmenys
gore	gore
egalitatea	lygybės
egalitatea	lygybė
uită	pamiršti
izolată	izoliuoti
izolată	izoliacija
izolată	izoliuota
izolată	izoliuotas
izolată	izoliuota
calculatorul	kompiuteris
bancar	bankininkystė
bancar	bankininkystės
organizator	organizatorius
organizator	organizatorius
herald	herald
bienala	biennale
experimentul	eksperimentas
experimentul	bandymą
tallinn	talino
accesibil	prieinamas
condamnarea	įsitikinimas
condamnarea	pažiūrų
condamnarea	pasmerkimo
baseball	kamuoliukas
baseball	beisbolo
pavilionul	paviljone
gerald	džeraldas
valoros	vertinga
valoros	vertingas
gaură	skylė
dinamica	dinamiška
dinamica	dinaminis
dinamica	dinaminė
meserii	prekiauja
oman	omanas
manualul	rankinis
bru	bru
faima	fame
creasta	ridge
fructul	vaisiai
zamfir	zamfir
întărirea	stiprinimas
întărirea	stiprinti
hubert	hubert
stadio	stadio
claudio	claudio
analog	panašios
piper	pipirai
piper	pipirų
piper	piper
misiunile	komandiruotės
misiunile	misijų
misiunile	misijos
ura	valio
ura	nekenčiu
ura	neapykanta
ura	neapykanta
ura	valio
efectivele	pulkai
nobile	inertinių
psihologic	universiteto
psihologic	psichologiškai
chopin	šopeno
compunere	kompozitorius
jam	uogiene
acizi	rūgštys
chandra	chandra
urmărire	sekimo
urmărire	sekimas
deportarea	deportacijos
longitudine	ilguma
longitudine	ilgumos
rezolvate	išspręsta
camerele	kambariai
cehi	čekai
seattle	sietlo
dinamic	dinamiška
dinamic	dinaminis
dinamic	dinaminė
laude	pagirti
găină	višta
găină	vištiena
găină	vištos
găină	vištienos
găină	vištų
fly	skristi
coran	koranas
coran	korane
twitter	twitter
rezervele	atsargų
rezervele	rezervai
ashley	ashley
disciplina	disciplinos
disciplina	drausmė
disciplina	disciplina
responsabilitate	įsipareigojimas
responsabilitate	atsakomybė
responsabilitate	atsakomybė
responsabilitate	atskaitomybės
suferind	kančia
suferind	kančias
suferind	kančios
schimbate	keičiamasi
caf	caf
frost	frost
huang	huang
creierul	smegenys
creierul	smegenų
français	français
revenire	sugrįžimas
miloš	miloš
milton	milton
fraza	frazė
subliniază	priimtų
idol	idol
morfologice	morfologinių
spectrul	spektro
spectrul	spektras
spectrul	šmėkla
scări	kopėčios
scări	laiptai
scări	laiptų
câmpurile	laukai
roată	ratas
roată	rato
pen	pen
pensie	pensija
pensie	pensijos
angels	angelai
dispozitivul	įrenginys
freud	freud
semnale	signalus
semnale	signalai
adaptări	adaptacijos
costuri	išlaidos
costuri	savikaina
rolf	rolf
andre	andre
troian	trojos
rao	rao
apartamentul	buto
apartamentul	butas
apartamentul	bute
angelica	angelica
eliberată	išleistas
braț	sija
braț	rankos
ellis	elis
forumul	forumas
forumul	forum
accidental	atsitiktinio
regnum	regnum
introductiv	įvadinė
introductiv	įvadinis
fenomenele	reiškinius
horst	horst
descrieri	aprašymai
emblema	emblema
emblema	herbas
lavinia	lavinija
inventatorul	išradėjas
bara	bara
ramurile	filialai
ramurile	šakos
vida	vida
gaston	gastonas
geologică	geologinio
martha	marta
explorarea	nagrinėti
explorarea	tyrinėti
explorarea	žvalgyba
explorarea	žvalgybos
explorarea	žvalgymo
antipa	antipas
reclame	gq
ciumă	maras
pacificului	ramiojo
tunelul	tunelis
tunelul	tunelio
tunelul	tunelį
cristofor	christopher
protestele	protestas
protestele	protestai
teatre	teatre
centură	diržo
centură	diržas
calibru	kalibro
schimburi	mainų
imensă	didžiuliai
imensă	milžiniškas
imensă	didžiulė
imensă	dideles
imensă	didžiulis
burse	stipendijos
burse	stipendiją
burse	stipendijas
federico	federico
liberală	liberalų
oficialii	pareigūnai
oficialii	pareigūnams
accidentul	avarija
accidentul	avarijos
adâncă	gilus
adâncă	gili
adâncă	giliai
condé	condé
impuls	impuls
investigații	tyrimai
investigații	tyrimus
timisoara	timisoara
diane	diana
bender	bender
respingerea	atmetimas
respingerea	atmetimo
trois	trois
muntii	kalnai
muntii	kalnuose
egee	egėjo
matrice	matrica
matrice	matricos
tbilisi	tbilisio
entuziasm	įtampa
entuziasm	entuziazmo
entuziasm	entuziazmas
tracțiune	traukos
quest	žygis
zboară	skristi
întunecat	tamsus
întunecat	tamsi
întunecat	tamsiai
nestor	nestor
idea	idėja
idea	mintis
pavilion	paviljone
frankenstein	frankenšteinas
cilindri	balionai
cilindri	balionus
amintirile	primena
amintirile	prisiminimai
amintirile	pasirodo
holding	valda
hainele	apranga
hainele	drabužius
hainele	drabužiai
excepționale	išskirtinės
excepționale	išimtiniais
excepționale	išimtinės
willy	willy
raiduri	reidus
veri	pusbroliai
vedete	įžymybių
todd	todai
capra	ožkų
capra	ožys
chinezesc	kinų
chinezesc	kinijos
chinezesc	kinas
corps	korpusas
agresiv	agresyvus
egipteni	egiptiečiai
firul	siūlus
ursula	ursula
marilyn	marilyn
carolyn	karolina
anatol	anatol
nkvd	nkvd
vector	vektorius
davila	davila
inutile	nereikalingos
inutile	nereikalingų
inutile	nereikalingi
reputație	reputaciją
reputație	ry
reputație	reputacija
vadim	vadim
metroul	metro
sintetizator	sintezatorius
mediawiki	mediawiki
concordia	concordia
impresionant	įspūdingas
impresionant	įspūdinga
jena	jena
dispar	dingsta
félix	félix
coreean	korėjos
uniformă	vienodas
karel	karel
trăind	gyventi
trăind	gyvenimo
trăind	gyvos
prelungirea	pratęsimas
amour	amour
extraterestre	nežemiška
soccerway	soccerway
selectivă	konkrečioms
ustring	ustring
recupera	susigrąžinti
georgian	gruzijos
primera	primera
demnitatea	orumą
demnitatea	orumo
demnitatea	orumas
eficiența	veiksmingumas
rugăciuni	maldos
rugăciuni	maldas
solzi	skalės
discografia	diskografija
etnografic	etnografiniu
textcolor	textcolor
minele	kasyklų
minele	kasyklose
qatar	kataras
aluzie	užuomina
gora	gora
extremadura	extremadura
variația	variacijos
postura	laikysena
vânător	medžiotojas
fourier	furjė
lidia	lidia
balcanic	balkanų
burg	burg
uniform	vienodas
lână	vilnos
lână	vata
lână	vatos
lână	vilna
diamant	deimantas
zaragoza	saragosos
javier	javier
jura	prisiekiu
jura	juros
jura	jura
rezervor	sugebėti
rezervor	tankai
rezervor	bakas
rezervor	tvenkinys
rezervor	rezervuaras
benito	benito
excepțional	išskirtinės
excepțional	išimtiniais
excepțional	išimtinės
rute	maršrutai
rute	maršrutų
willis	willis
eliza	elzė
testele	testai
testele	bandymai
metalică	metalo
metalică	metalas
bengal	bengalijos
profesionistă	profesinės
profesionistă	profesionalus
membrele	galūnių
surprinzător	stebėtinai
surprinzător	stebina
rush	rush
iubitul	meilužis
iubitul	vaikinas
piata	rinka
alfredo	alfredo
umplut	užpildyta
mirela	mirela
tibor	tibor
combinată	kombinuotosios
maxima	didžiausias
firefox	firefox
oceania	okeanijos
baterii	baterijų
baterii	akumuliatoriai
baterii	baterijos
bomba	bombos
bomba	bomba
stie	žino
băutură	gėrimas
băutură	gerti
băutură	gėrimus
băutură	gėrimas
băutură	gėrimų
educat	išsilavinę
kemal	kemal
jurnalistul	žurnalistai
jurnalistul	žurnalistas
ciment	cementas
ciment	cemento
liniară	tiesinis
liniară	linijinis
liniară	tiesinė
orfeu	orfėjas
miturile	mitai
administrează	tvarkyti
undertaker	undertaker
mickey	mikis
mickey	miki
permisă	leidžiama
permisă	leidžiama
permisă	absoliutus
accidentat	sužeista
accidentat	nelygaus
poznań	poznanėje
monetare	piniginė
submarin	povandeninis
elo	elo
berlinul	berlynas
bucuria	džiaugsmas
bucuria	džiaugsmo
severă	sunkus
arcuri	spyruoklės
arcuri	lankai
rival	konkurentas
masterat	kapitonai
sculptat	iškaltas
concentrată	koncentruota
concentrată	koncentruotą
concentrată	koncentruotas
rod	rodai
françoise	françoise
bătăliile	mūšių
trailer	priekabos
trailer	priekabų
trailer	priekaba
sos	padažas
sos	padažu
încărcare	pakrovimo
încărcare	išsiuntimas
electromagnetice	elektromagnetinių
electromagnetice	elektromagnetinis
philips	philips
arheolog	archeologas
gâtul	gerklės
gâtul	kaklo
gâtul	kaklas
rebeliunea	maišto
kirk	kirk
neutră	neutralus
rossi	rossi
animalia	animalia
ierburi	žolelių
rapper	reperis
gânduri	mintimis
gânduri	mintys
minoră	nedideli
toxice	toksinių
cadă	vonia
evacuare	evakuacija
scafandri	narai
trup	kūno
trup	kūnas
literal	tiesiogine
decor	dekoravimas
decor	interjeras
cadou	dovana
sistematică	reklama
precisă	tikslios
precisă	tikslūs
celula	ląstelių
toxic	toksinių
prietenia	draugystė
prietenia	draugyste
prietenia	draugystės
tăcere	tyla
gazele	dujos
legislație	įstatymai
domul	kupolu
etică	etikos
etică	etika
etică	etikos
carey	carey
triunghiul	trikampis
triunghiul	trikampio
joshua	joshua
comentariul	komentaras
comentariul	komentarų
comentariul	komentuoti
pionier	pioneer
fotografiat	nufotografavo
conifere	spygliuočių
tehnologică	technologiniai
estetic	estetinės
léon	léon
motto	šūkis
înotătoare	gelbėtojas
înotătoare	plaukikas
mitică	mitinio
auxerre	auxerre
cazare	būstas
cazare	apgyvendinimo
cazare	apgyvendinimas
cazare	apgyvendinimą
cazare	būstas
săteni	kaimiečiai
woods	miškas
woods	miško
pitică	nykštukų
zinc	cinko
zinc	cinkas
silenzio	silenzio
emerson	emerson
mani	manis
humboldt	humbolto
tragedia	tragedijos
tragedia	tragedija
android	android
supraviețuire	išgyvenamumo
supraviețuire	išgyvenamumas
supraviețuire	išgyvenimo
comunism	komunizmas
impresionantă	įspūdingas
impresionantă	įspūdinga
saif	retransliacijos
uganda	uganda
incidente	incidentas
incidente	incidentų
incidente	incidentai
brut	žalios
brut	žali
brut	žalia
biologică	biologinė
abstract	abstraktus
highway	greitkelis
adjectiv	būdvardis
coastele	šonkaulių
amenințări	grėsmes
gustaf	gustaf
clone	klonų
clone	klonas
coroane	vainikus
cesare	cesare
forestiere	miškininkystė
eddy	edi
topire	lydymosi
bean	pupelių
anularea	panaikinimo
anularea	panaikinimas
anularea	atšaukimas
teatro	olimpiko
lgbt	lgbt
clienții	klientai
clienții	klientų
litoral	pajūris
răul	blogis
răul	blogio
istoriografia	istoriografija
homme	homme
romantice	romantiška
simți	jaustis
analitică	analizės
radicale	radikalių
doug	dagas
cartagina	kartagas
cartagina	kartagina
eto	eto
routledge	routledge
fernández	fernández
ilia	ilja
portocaliu	apelsinų
principat	kunigaikštystės
depeche	depeche
fcm	fcm
ceramice	keramika
tragedie	tragedijos
tragedie	tragedija
twin	dvynys
lotus	lotus
sacre	šventa
sacre	švento
orez	ryžiai
orez	ryžių
distribuitor	platintojas
preferate	mylimiausias
preferate	mėgstamiausia
preferate	mėgstamiausias
bristol	bristolio
iad	velnių
iad	pragaras
înmormântare	laidojimo
tensiuni	įtampa
tensiuni	įtampą
invalid	netinkamas
camenița	podolės
sveti	sveti
geneza	genesis
prefectură	prefektūra
preparate	ruošiniai
preparate	preparatai
preparate	paruošti
shah	shah
interacțiunea	sąveika
glumă	pokštas
faust	faust
demn	orus
demn	tinkantis
demn	vertas
demn	verta
senatorul	fantastika
senatorul	senatorius
etapele	etapai
eng	ganykla
eng	eng
cupola	kupolu
pfalz	pfalz
atp	atp
datorii	įsipareigojimai
datorii	skolos
datorii	skola
henriette	henriette
dansatoare	šokėja
amfibieni	varliagyviai
ideologie	ideologijos
ideologie	ideologija
violentă	smurtinių
violentă	smurto
fletcher	fletcher
novgorod	naugardo
etica	etika
etica	etikos
coordonare	koordinavimas
coordonare	koordinavimo
uzbekistan	uzbekistanas
catolica	katalikų
paraíba	paraiba
angajată	darbuotojui
angajată	darbuotojas
mozilla	mozilla
simbolică	simbolinę
ură	neapykanta
ură	nekenčiu
ură	neapykanta
poitiers	puatjė
sânul	krūtų
sânul	krūties
blana	kailis
blana	kailiai
blana	kailio
blana	kailius
bernardo	bernardo
mentale	psichikos
postat	nustačiusi
croix	croix
concentrația	koncentracija
horse	žirgas
horse	arklys
horse	arkliai
horse	arklio
monetar	piniginė
bergen	bergeno
prestigioase	prestižinio
daniil	daniil
liturghie	liturgija
discutie	diskusijos
discutie	aptarimas
discutie	diskusija
robotul	robotas
instruire	instrukcijos
instruire	mokymas
donețk	donecko
învățare	mokymosi
învățare	mokymuisi
învățare	mokytis
învățare	mokymasis
catapeteasma	ikonostasas
filarmonicii	filharmonijos
tristan	tristan
sfat	patarimų
sfat	patarimai
orizontale	horizontalus
orizontale	horizontali
orizontale	horizontaliai
sătenii	kaimiečiai
rodriguez	rodriguez
dixon	dixon
verbe	veiksmažodžių
faso	fasas
stern	krūtinkaulio
stern	laivagalio
faith	tikėjimą
gomez	gomez
leben	leben
broasca	varlė
diviziunea	kvadratas
lynn	lynn
procuror	prokuratūra
procuror	prokuroras
italienii	italai
ivanov	ivanovas
apără	gintis
apără	ginti
apără	apsiginti
dependența	priklausomybė
dependența	priklausomybės
oyo	ojas
medicii	gydytojai
medicii	daktarai
medicii	gydytojai
tarziu	vėlai
temporală	laiko
olaf	olaf
aristide	aristidas
organismele	organizmų
barca	barca
barca	valties
barca	valtis
bare	barų
ciclism	dviračiu
betty	betty
strictă	griežtas
strictă	griežti
goală	nuoga
chester	česteris
inele	žiedai
mercia	mercia
executare	vykdymas
clopote	varpai
aripă	korpusas
mccartney	makartnis
sexul	lytis
sexul	lytis
sic	madingas
caracal	caracal
volkswagen	volkswagen
funk	funk
mira	mira
blair	blair
coranul	koranas
coranul	korane
pitic	nykštukas
pitic	nykštukų
telescopul	teleskopo
vioara	smuikas
vioara	smuikas
rouge	rouge
telefoane	telefonai
telefoane	telefonai
patriarhia	patriarchatas
esztergom	estergomas
impozite	mokestis
impozite	mokesčiai
invitată	pakviesti
invitată	pakvietė
invitată	pakviesta
invitată	pakviestas
cancerul	vėžys
cancerul	vėžio
telefonul	telefono
telefonul	telefonas
pastor	pastorius
auriu	auksinis
auriu	auksinis
auriu	aukso
auriu	gold
auriu	auksas
gaura	skylė
feudal	feodalinė
chang	chang
andorra	andora
cornell	kornelio
continente	žemynų
wyoming	vajomingo
estoniei	estijos
estoniei	estija
operetă	operetė
vaughn	vaughn
rezervat	užsakytas
rezervat	rezervuota
senegal	senegalas
extraordinară	nepaprasto
barbus	barbus
trinity	trinity
umed	drėgnas
umed	vat
glory	šlovės
glory	garbė
gras	storas
gras	riebalų
gras	riebalai
favorit	mėgstamiausias
favorit	mylimiausias
favorit	mėgstamiausia
favorit	mėgstamiausias
groenlanda	grenlandijos
groenlanda	grenlandija
nikolaus	nikolaus
transportate	vežami
transportate	gabenama
rezolvă	išspręsti
nikola	nikola
ruble	rublių
ruble	rublis
obligațiile	įsipareigojimai
clarkson	clarkson
găgăuzia	gagaūzija
precedentă	ankstesnė
precedentă	ankstesnis
precedentă	ankstesnių
titanic	titanikas
sherman	šermanas
wrocław	wrocław
oral	žodžiu
wikitext	wikitext
urca	lipti
economii	taupymas
economii	santaupos
economii	taupymo
economii	santaupų
daune	žala
daune	žalos
turku	turku
necesitate	būtinumo
necesitate	būtinumas
necesitate	būtinybė
explorare	nagrinėti
explorare	tyrinėti
explorare	žvalgyba
explorare	žvalgybos
explorare	žvalgymo
modestă	kuklus
cădea	krenta
piero	piero
mafia	mafija
mafia	mob
mafia	mafija
mafia	mafijos
poemele	eilėraščiai
marsilia	marselio
fiat	fiat
joey	džo
foi	lakštai
supraviețui	išgyventi
bilbao	bilbao
tora	tora
gimnaziu	gimnazija
contestat	ginčijamas
contestat	ginčytina
contestat	ginčijo
primari	merai
ronaldo	ronaldo
pară	kriaušės
pară	kriaušių
onoruri	pagyrimu
degetul	pirštas
degetul	pirštą
degetul	nykščiu
osman	osman
cloud	debesis
cloud	debesys
cloud	debesų
negat	atmestas
negat	atmesta
ham	kumpio
ham	kumpis
serge	serge
allmusic	allmusic
kovács	kovács
branch	filialas
branch	šaka
uppsala	uppsala
jovkva	žovkva
fortificat	spirituotas
steiner	steiner
mental	psichikos
mental	protiškai
elicopter	sraigtasparnio
elicopter	sraigtasparnis
elicopter	sraigtasparnis
legitim	teisėtų
legitim	teisėta
legitim	teisėti
jpeg	jpeg
freeman	frimanas
consolidare	stiprinimas
consolidare	stiprinti
consolidare	konsolidacija
braun	braun
sachsen	sachsen
iubită	mergina
iubită	mylima
iubită	mylimas
martiri	kankinių
adler	adler
crawford	crawford
göttingen	göttingen
shield	skydo
shield	skydas
partizan	partizanas
barnes	barnsas
concluzii	išvados
obiecții	prieštaravimai
obiecții	protestai
obiecții	prieštaravimų
lion	liūto
lion	liūtas
fantomă	vaiduoklis
fantomă	phantom
excelsior	excelsior
felipe	felipe
augsburg	augsburg
viziuni	vizijas
hamid	hamid
euler	eulerio
sârbii	serbai
recurs	skundas
caritate	labdara
caritate	labdaros
budismul	budizmas
cehov	čechovas
scheletul	skeletas
bancare	bankininkystė
bancare	bankininkystės
fișierul	failas
laurence	laurence
depunerea	pateikimas
depunerea	pateikimo
depunerea	nusodinimo
depunerea	padavimo
dominicană	dominikos
eve	ieva
mae	mae
lungimi	ilgiai
guiscard	guiscard
barbera	barbera
mersul	vaikšto
mersul	eisena
instalate	įdiegti
instalate	įdiegtas
instalate	įdiegta
omoară	nužudyti
blană	kailis
blană	kailiai
blană	kailio
blană	kailius
aranjament	išdėstymo
aranjament	išdėstymas
aranjament	susitarimas
aranjament	susitarimo
aranjament	išdėstymas
răscoală	sukilimas
asocierea	asociacijos
asocierea	asociacija
suferință	kančia
suferință	kančias
suferință	kančios
ruină	griuvėsiai
valoroasă	vertinga
valoroasă	vertingas
constructorul	builder
pălărie	kepure
pălărie	kepurė
cox	cox
durabile	ilgalaikio
salem	salem
clinica	klinika
clinica	klinikos
clinica	klinikoje
constructiv	konstruktyvi
ratat	nevykėlis
hamlet	hamletas
flamand	flamandų
actorilor	aktoriai
actorilor	veikėjai
autorizat	įgaliotasis
instructor	instruktorius
conac	sodyba
conac	dvaras
cărămizi	plytų
cărămizi	plytos
tuberculoză	tuberkuliozė
tuberculoză	tuberkuliozės
adolescent	teen
adolescent	paauglį
oficiu	tarnyba
oficiu	biuro
oficiu	biuras
renovat	suremontuotas
renovat	renovuotas
esp}}	esp}}
extraordinare	nepaprasto
iluminat	apšvietimas
iluminat	apšvietimo
convingerea	įsitikinimas
convingerea	pažiūrų
carniola	kraina
ierusalimul	jeruzalės
executivă	generalinis
râs	juoko
râs	juokas
râs	juokiasi
modeste	kuklus
perechea	pora
faimoasă	žymi
profunzime	gylis
vasal	vasalas
uraniu	uranas
uraniu	urano
speranțe	viltis
speranțe	viltys
vernon	vernon
republicană	respublikonų
filippo	filippo
kerman	kermanas
forte	forte
călător	keliautoja
călător	keliautojas
