evans	evans
rugalmas	elastische
fennsík	hochebene
fennsík	plateau
fennsík	hochland
egyforma	identische
egyforma	identischen
egyforma	identisch
megszerzett	gekauft
megszerzett	erworbene
megszerzett	erworben
hamlet	weiler
hamlet	hamlet
passzív	passiv
passzív	passive
passzív	passiven
passzív	passives
passzív	passiver
tudatos	bewusst
tudatos	bewusstsein
tudatos	bewusste
tudatos	bewußt
tudatos	bewußtsein
lépést	geschwindigkeit
lépést	pace
lépést	tempo
allan	allan
floyd	floyd
nyerni	gewinnen
nyerni	gewinne
nyerni	sieg
nyerni	gewinn
firefox	firefox
cornelius	cornelius
cornelius	cornelis
doubs	doubs
emilia	emilia
összeesküvés	verschwörung
összeesküvés	komplott
gomb	buttons
gomb	schaltflächen
gomb	knöpfen
gomb	knöpfe
gomb	tasten
gomb	taste
gomb	knopf
gomb	button
gomb	knöpfe
gomb	schaltfläche
koppenhága	kopenhagen
sötétebb	dunkler
úttörő	bahnbrechende
úttörő	pioneer
úttörő	wegbereiter
úttörő	pionier
úttörő	vorreiter
úttörő	bahnbrechende
úttörő	vorreiterrolle
úttörő	pionier
nagysága	ausmaß
nagysága	helligkeit
nagysága	größenordnung
gyógyító	heiler
gyógyító	heilung
gyógyító	heilende
gyógyító	heilen
merénylet	attentate
merénylet	anschlag
merénylet	ermordung
merénylet	mord
merénylet	attentat
meghívott	eingeladene
meghívott	eingeladen
ásatások	ausgrabungen
tanzánia	tansania
jelentést	bericht
jelentést	berichte
jelentést	report
jelentést	meldung
jelentést	melden
rodríguez	rodriguez
rodríguez	rodríguez
megközelítés	vorgehensweise
megközelítés	konzept
megközelítés	ansatz
megközelítés	vorgehen
szomszéd	nachbarland
szomszéd	nachbarin
szomszéd	nachbarn
szomszéd	nachbar
szomszéd	nachbarin
szomszéd	nachbarn
szomszéd	nachbar
fizetni	bezahlung
fizetni	zahlen
fizetni	bezahlen
fizetni	pay
vendégek	kunden
vendégek	abnehmer
vendégek	kundschaft
vendégek	gästen
vendégek	gäste
bush	bush
bush	gebüsch
bush	bushs
bush	busch
spencer	spencer
marino	marino
eduard	eduard
pontokat	punkten
pontokat	punkte
masters	meister
masters	masters
masters	meistern
masters	master
labda	ball
labda	kugel
labda	bälle
janet	janet
megmarad	überreste
megmarad	bleibt
fra	fra
négyzet	square
négyzet	rechteck
négyzet	quadratisch
négyzet	quadrat
négyzet	platz
négyzet	quadrat
agresszív	aggressiver
agresszív	aggressive
agresszív	aggressiven
agresszív	aggressiv
agresszív	aggressivität
hihetetlen	unfassbar
hihetetlen	unglaublich
hihetetlen	unglaublichen
hihetetlen	unglaubliche
hihetetlen	unfassbar
hihetetlen	unglaublich
hercegek	prinzen
hercegek	fürsten
fénykép	foto
fénykép	fotoalbum
fénykép	fotografieren
fénykép	foto
fénykép	fotografien
fénykép	bild
rivális	rivalen
rivális	rivalen
rivális	konkurrenten
hull	hull
hull	hülle
hull	rumpf
minták	muster
minták	mustern
minták	stichproben
minták	muster
minták	proben
minták	beispiele
vajdasági	vojvodina
wanderers	wanderers
népszavazás	volksabstimmung
népszavazás	volksabstimmungen
népszavazás	referendum
népszavazás	referenden
népszavazás	referendums
felvételi	zulassungen
felvételi	besucherzahlen
felvételi	rekrutieren
felvételi	anstellung
felvételi	einstellung
felvételi	einstellungen
felvételi	rekrutierung
felvételi	aufnahme
felvételi	zulassung
felvételi	aufnahmebedingungen
felvételi	eintritt
kiváltó	auslösung
kiváltó	auslöser
kiváltó	auslösen
alessandro	alessandro
vse	vse
védi	beschützt
védi	schützt
square	square
square	rechteck
square	quadratisch
square	quadrat
square	platz
pol	pol
nagymester	großmeister
emeletes	bunk
emeletes	bett
vállalati	corporate
vállalati	konzern
vállalati	firmenkunden
pokol	teufel
pokol	hölle
pokol	hell
pokol	inferno
termelési	fertigung
termelési	produktion
termelési	herstellung
termelési	erzeugung
megakadályozza	beugt
megakadályozza	verhindert
megakadályozza	hindert
katonaság	militärische
katonaság	militär
katonaság	militärisch
katonaság	militärischen
ward	ward
leverkusen	leverkusen
garfield	garfield
naplója	veranstaltungskalender
naplója	terminkalender
naplója	tagebücher
naplója	tagebuch
fiktív	fiktiven
fiktív	fiktive
fiktív	fiktiven
fiktív	fiktive
fiktív	nominalwert
járni	gehen
járni	spazieren
járni	fußweg
járni	spaziergang
julie	heiko
julie	julie
theodor	theodor
nemzedék	generation
nemzedék	generierung
nemzedék	stromerzeugung
nemzedék	erzeugung
közepette	inmitten
közepette	inmitten
mare	mare
mare	stute
gloria	gloria
vinci	vinci
novi	novi
itf	itf
kutyák	hunden
kutyák	hund
kutyák	hunde
meghatározni	bestimmen
meghatározni	bestimmen
meghatározni	definieren
hart	hart
dordogne	dordogne
tapasztalatok	erlebnisse
tapasztalatok	erfahrung
tapasztalatok	erfahrungen
tapasztalatok	erleben
tapasztalatok	erlebnisse
tapasztalatok	erlebnis
tapasztalatok	erfahrung
tapasztalatok	erfahrungen
fernández	fernandez
fernández	fernández
császárok	kaiser
cpu	cpu
cpu	prozessor
hajós	bootsmann
hajós	seefahrer
hajós	segler
hajós	matrosen
hajós	seemann
hajós	boote
hajós	segelboot
hajós	boot
hajós	schiff
felajánlotta	angebotene
felajánlotta	angeboten
megegyező	identische
megegyező	identischen
megegyező	identisch
emlékezetes	unvergesslich
volvo	volvo
elment	gegangen
elment	verschwunden
elment	weg
amazon	amazon
amazon	amazonas
formátum	formatieren
formátum	dateiformat
formátum	formaten
formátum	formatierung
formátum	format
pokémon	pokémon
pokémon	pokemon
innsbruck	innsbruck
innsbruck	tirol
néztem	gesehen
néztem	sah
néztem	angesehen
néztem	beobachtet
néztem	beobachtete
néma	stumm
néma	stille
néma	stillen
néma	schweigen
néma	leise
néma	stumm
néma	ausschalten
monica	monica
monica	monika
fájdalom	schmerz
fájdalom	schmerzen
fehérek	weisse
fehérek	weißen
fehérek	weiße
alakulat	corps
alakulat	korps
csaták	schlachten
csaták	kämpfen
csaták	schlacht
csaták	kämpfe
leszállás	landen
leszállás	landungen
leszállás	landung
leszállás	anlandung
fender	fender
foglaló	ablagerung
foglaló	anzahlung
foglaló	kaution
foglaló	einlage
foglaló	einzahlung
meglátogatta	besucht
meglátogatta	besuchten
meglátogatta	besichtigt
meglátogatta	besuchte
geometria	geometrie
geometria	geometrische
geometria	geometrie
geometria	geometrischen
pókember	spiderman
domináns	dominante
domináns	beherrschende
domináns	dominanz
domináns	dominieren
domináns	dominant
költségek	kosten
költségek	kosten
költségek	cost
költségek	ausgaben
költségek	kosten
költségek	spesen
költségek	unkosten
költségek	aufwendungen
elhagyott	aufgegeben
elhagyott	verlassenen
elhagyott	verlassen
elhagyott	stillgelegt
elhagyott	zurückgelassen
dalmácia	dalmatien
sergio	sergio
bihari	bihari
szikla	boulder
szikla	klippe
szikla	felsen
szikla	klippen
szikla	cliff
szikla	rockmusik
szikla	rock
szikla	gestein
szikla	felsen
menekülő	flucht
mecset	moscheen
mecset	moschee
leggazdagabb	wohlhabendsten
leggazdagabb	reichste
leggazdagabb	reichsten
leggazdagabb	reichste
leggazdagabb	reichsten
richter	richter
samsung	samsung
pascal	pascal
láthatatlan	unsichtbar
láthatatlan	unsichtbaren
láthatatlan	unsichtbare
láthatatlan	unbemerkt
láthatatlan	verborgenen
birkózás	ringer
birkózás	wrestling
birkózás	ringen
férj	gatte
férj	ehemann
férj	mann
warren	warren
szuper	geil
szuper	hammer
szuper	geile
szuper	krass
szuper	super
állítható	einstellbar
állítható	verstellbare
állítható	verstellbar
állítható	einstellbare
bond	bindung
bond	anleihe
bond	kaution
bond	anleihen
bond	bond
infravörös	infrarot
tunézia	tunesien
tunézia	tunesischen
tunézia	tunesischer
tunézia	tunesische
minőség	qualitätssicherung
minőség	qualität
minőség	qualitätskontrolle
nézet	aussicht
nézet	anzeigen
nézet	blick
nézet	ansicht
szakértők	fachleute
szakértők	experten
szakértők	spezialist
szakértők	fachkräfte
szakértők	spezialisten
szakértők	fachleute
szakértők	experten
szakértők	sachverständigen
szakértők	sachverständige
szigeteket	inseln
szigeteket	inselgruppe
páncélozott	armored
páncélozott	gepanzerte
caius	caius
racionális	rationalen
racionális	rational
racionális	rationale
racionális	vernünftig
meghaladta	übertraf
meghaladta	übertroffen
meghaladta	überschritten
meghaladta	überschreitung
fejedelmi	fürstlichen
szalon	salon
szalon	stube
szalon	salon
szalon	limousine
szalon	saloon
szalon	stube
számítógépek	datenverarbeitung
számítógépek	informatik
számítógépek	computer
számítógépek	computern
számítógépek	rechner
egyedek	exemplare
egyedek	proben
kevesen	paar
kevesen	wenige
kevesen	wenigen
megnyitás	öffnungszeiten
megnyitás	öffnung
megnyitás	eröffnung
megnyitás	öffnen
massa	massa
nov	nov
nov	november
támad	angriffe
támad	anschläge
támad	angriffen
támad	angreifen
nyíl	pfeile
nyíl	pfeil
nyíl	arrow
koch	koch
törekvés	aspiration
törekvés	streben
törekvés	anstreben
törekvés	streben
törekvés	verfolgung
törekvés	ambitionen
törekvés	ehrgeiz
törekvés	ambition
unit	unit
unit	einheit
unit	maßeinheit
productions	produktionen
productions	produktion
füst	zigarette
füst	rauchen
füst	rauch
cbs	cbs
cbs	zentralbanken
brüsszeli	brüssel
kimagasló	ausstehende
kimagasló	hervorragende
kimagasló	ausstehenden
kimagasló	hervorragend
kimagasló	herausragende
hibákat	fehler
hibákat	fehlermeldungen
hibákat	fehlern
hibákat	irrtümer
hibákat	fehler
hibákat	fehlern
hibákat	irrtümer
justin	justin
doo	doo
szokások	gewohnheit
szokások	gewohnheiten
beszéde	vortrag
beszéde	ansprache
beszéde	rede
beszéde	sprache
esp	esp
kent	kent
meuse	maas
cole	cole
folyóiratok	fachzeitschriften
folyóiratok	zeitschriften
folyóiratok	veröffentlichungen
folyóiratok	periodische
alekszej	alexei
meyer	meyer
kérés	antrag
kérés	anfordern
kérés	anfragen
kérés	anforderung
kérés	anfrage
narancs	orange
narancs	orangensaft
narancs	orangen
narancs	orangen
narancs	birnen
cum	sperma
cum	cum
guadalajara	guadalajara
örökre	ewig
örökre	forever
egyszerűsített	vereinfachung
egyszerűsített	vereinfachten
egyszerűsített	vereinfacht
egyszerűsített	vereinfachen
egyszerűsített	vereinfachte
kognitív	kognitiven
kognitív	kognitive
szabálytalan	unregelmäßig
szabálytalan	unregelmäßigen
szabálytalan	unregelmäßige
irányítás	control
irányítás	steuerung
irányítás	steuern
irányítás	kontrolle
irányítás	geschäftsleitung
irányítás	geschäftsführung
irányítás	unternehmensführung
irányítás	management
irányítás	verwaltung
irányítás	regierungsführung
irányítás	unternehmensführung
irányítás	governance
irányítás	steuerung
zaragoza	saragossa
zaragoza	zaragoza
kígyó	schlange
kígyó	snake
kígyó	schlangen
kígyó	schlange
kígyó	schlangen
lanka	lanka
trevor	trevor
remete	einsiedler
remete	einsiedler
építő	builder
építő	erbauer
építő	baumeister
luc	luc
kevert	mixed
kevert	gemischte
kevert	gemischtes
kevert	gemischt
kevert	gemischten
kevert	gemischt
kevert	vermischt
tengerészeti	naval
tengerészeti	marine
tengerészeti	schiffsbau
tengerészeti	seefahrt
tengerészeti	seeverkehr
tengerészeti	maritime
ásványi	mineralische
ásványi	mineralien
ásványi	mineralwasser
ásványi	mineral
ásványi	mineralstoffe
mérnökök	ingenieuren
mérnökök	techniker
mérnökök	konstrukteure
mérnökök	ingenieure
mérnökök	ingenieur
gyalog	foot
gyalog	fuß
gyalog	fuss
gyalog	walking
gyalog	spaziergänge
gyalog	spazieren
gyalog	wanderungen
gyalog	wandern
gyalog	spaziergang
gyalog	bauer
gyalog	bauern
gyalog	gehen
gyalog	spazieren
gyalog	fußweg
gyalog	spaziergang
doboz	box
doboz	schachtel
doboz	feld
doboz	kästchen
doboz	kasten
churchill	churchill
teljesül	erfüllte
teljesül	erfüllt
formáció	gründung
formáció	bildung
formáció	formation
formáció	entstehung
szörnyű	furchtbar
szörnyű	schreckliche
szörnyű	schrecklich
szörnyű	fürchterlich
szörnyű	furchtbar
szörnyű	schreckliches
szörnyű	schrecklich
szörnyű	schreckliche
szörnyű	fürchterlich
szörnyű	furchtbar
szörnyű	schreckliche
szörnyű	schrecklich
szörnyű	grauenhaft
szörnyű	fürchterlich
önkormányzatok	gemeinden
önkormányzatok	gemeinde
magyarázatot	erläuterungen
magyarázatot	erläuterung
magyarázatot	erklärungen
magyarázatot	erklärung
magyarázatot	erklärungen
magyarázatot	erläuterungen
magyarázatot	erläuterung
magyarázatot	erklärung
classic	klassisch
classic	klassik
classic	classic
classic	klassische
classic	klassiker
classic	klassischen
wood	wald
wood	holzindustrie
wood	holz
wood	holzbearbeitung
mátrix	matrizen
mátrix	matrix
global	globalen
global	weltweite
global	global
global	globale
global	weltweit
könyvtári	bücherei
könyvtári	bibliotheken
könyvtári	bibliothek
fenyő	pinus
fenyő	kiefer
fenyő	kiefern
fenyő	kiefer
fenyő	pine
weiss	weiss
felette	oben
felette	über
felette	oberhalb
békák	frösche
urak	lords
urak	herren
urak	oberhaus
urak	herren
koncertek	konzert
koncertek	konzerte
koncertek	konzerten
austin	austin
indítás	booten
indítás	start
indítás	starten
indítás	markteinführung
indítás	einführung
feloszlott	aufgelöst
statisztikák	statistiken
statisztikák	statistik
statisztikák	statistiken
statisztikák	statistik
cigányok	zigeuner
cigányok	sinti
kilátás	aussicht
kilátás	anzeigen
kilátás	blick
kilátás	ansicht
sophie	sophie
etióp	äthiopien
etióp	äthiopischen
etióp	äthiopische
barnabás	barnabas
barlangok	grotten
barlangok	höhlen
barlangok	höhle
barlangok	höhlen
utazik	reist
utazik	reisen
utazik	reisen
előkészítő	vorbereitungen
előkészítő	vorbereitende
előkészítő	vorbereitungsphase
előkészítő	vorarbeiten
előkészítő	vorbereiten
előkészítő	vorbereitung
előkészítő	prep
schneider	schneider
élve	lebendig
élve	lebend
élve	alive
borbély	friseur
borbély	barber
edwards	edwards
leszármazottai	nachkommen
leszármazottai	nachfahren
őrzött	beschützt
őrzött	bewacht
őrzött	bewachen
bella	bella
adatlap	profil
tevékenységek	tätigkeiten
tevékenységek	aktivitäten
tevékenységek	tätigkeitsbereiche
tevékenységek	tätigkeit
tevékenységek	aktivität
tevékenységek	aktivitäten
tevékenységek	tätigkeitsbereich
harcosok	warriors
harcosok	krieger
harcosok	kämpfer
harcosok	fighter
harcosok	kämpfer
szintetizátor	synthesizer
képességeit	fertigkeiten
képességeit	fähigkeiten
orvostudomány	medikament
orvostudomány	arzneimittel
orvostudomány	medizin
orvostudomány	medikamente
germain	germain
láz	fieber
nitrogén	stickstoff
jonas	jonas
szárnya	flügel
szárnya	wing
növekedés	zunahme
növekedés	vergrößern
növekedés	erhöhen
növekedés	erhöhung
növekedés	steigerung
növekedés	wachstumsrate
növekedés	zunahme
növekedés	wachstum
növekedés	zuwachs
növekedés	zuwachs
tanulás	studieren
tanulás	studium
tanulás	studie
tanulás	arbeitszimmer
tanulás	erlernen
tanulás	lernen
egyenlet	gleichungen
egyenlet	gleichung
flash	flash
flash	blitz
támogatója	unterstützer
computer	informatik
computer	computer
computer	rechner
toszkána	toskana
toszkána	toskanischen
moto	moto
börtön	knast
börtön	gefängnis
börtön	knast
börtön	kerker
börtön	gefängnis
börtön	strafvollzug
una	una
ismételten	mehrfach
ismételten	wiederholt
okos	schlau
okos	clever
okos	klug
okos	schlau
okos	clever
okos	intelligent
okos	klug
okos	smart
élesen	drastisch
mélység	tiefe
mélység	tiefen
lane	spur
lane	lane
lane	fahrbahn
grafika	grafik
grafika	graphik
grafika	grafiken
grafika	graphiken
divízió	division
divízió	abteilung
divízió	geschäftsbereich
divízió	unternehmensbereich
személyisége	persönlichkeit
atlas	atlas
kalózok	piraten
kalózok	pirates
isère	isère
brad	brad
kapcsolódott	verbunden
kapcsolódott	angeschlossen
kapcsolódott	verbundene
kapcsolódott	verbunden
kapcsolódott	verknüpfte
kapcsolódott	verknüpft
problémás	problematisch
problémás	problematische
problémás	problematischer
problémás	gestört
problémás	beunruhigt
problémás	geplagt
problémás	betroffen
problémás	unruhigen
alexandre	alexandre
szászok	sachsen
fehéroroszország	belarus
fehéroroszország	weißrussland
versailles	versailles
sainte	sainte
tények	fakten
tények	sachverhalt
gironde	gironde
ger	ger
bass	bassisten
bass	bassist
bass	bass
spirituális	spirituellen
spirituális	spiritualität
spirituális	geistlichen
spirituális	spirituelle
spirituális	geistliche
sekély	oberflächlich
sekély	flache
sekély	flach
sekély	flachen
kulcs	keys
kulcs	schlüssel
kulcs	schlüsseln
kulcs	tasten
kulcs	taste
kulcs	schlüssel
kulcs	key
ajánlatot	bieten
ajánlatot	angebot
ajánlatot	biete
ajánlatot	anbieten
újonc	neuling
újonc	newcomer
újonc	neuling
újonc	rekrutieren
újonc	anfänger
újonc	neuling
újonc	rookie
hannover	hannover
schiller	schiller
leone	leone
lmbt	lgbt
lmbt	homosexualität
jövőbeli	künftige
jövőbeli	zukunft
jövőbeli	future
jövőbeli	zukünftige
kezeli	griffe
kezeli	henkel
kezeli	griffen
humoros	humorvoll
asszonyok	frauen
jogszabályok	gesetze
jogszabályok	recht
jogszabályok	gesetz
jogszabályok	rechtswissenschaften
jogszabályok	rechtswissenschaft
jogszabályok	gesetzgebung
jogszabályok	gesetze
jogszabályok	rechtsvorschriften
jogszabályok	gesetze
jogszabályok	gesetzen
legendája	legenden
legendája	legende
legendája	legend
chuck	chuck
planet	planet
planet	planeten
mer	mer
megközelítőleg	ungefähr
megközelítőleg	annähern
megközelítőleg	annähernd
megközelítőleg	ungefähre
megközelítőleg	ungefähr
megközelítőleg	annähernd
torres	torres
hong	hong
indre	indre
miles	meilen
miles	miles
miles	kilometer
szárnyak	schwingen
szárnyak	flügel
szárnyak	wings
szárnyak	flügeln
gees	gees
műveletek	betrieb
műveletek	operationen
műveletek	handlungen
műveletek	aktionen
műveletek	maßnahmen
szenátus	senat
szenátus	senats
rendezvények	veranstaltungen
rendezvények	ereignisse
rendezvények	anlässe
arányos	verhältnismäßig
arányos	proportional
arányos	verhältnismäßigkeit
arányos	proportionale
arányos	verhältnismäßig
humanista	humanistischen
humanista	humanist
athenaeum	athenaeum
festői	scenic
festői	malerischen
festői	landschaftlich
festői	malerische
festői	malerischen
aragón	aragón
aragón	aragonien
nancy	nancy
őrgróf	markgrafen
őrgróf	markgraf
filmeket	kino
filmeket	filme
filmeket	kinos
filmeket	filmen
filmeket	filme
filmeket	folien
mesterek	meister
mesterek	masters
mesterek	meistern
mesterek	master
anita	anita
lausanne	genf
lausanne	lausanne
készülék	device
készülék	vorrichtung
készülék	gerät
készülék	apparatur
készülék	gerät
készülék	elektrogeräte
készülék	geräte
készülék	haushaltsgeräte
készülék	gerät
készülék	apparate
készülék	geräte
készülék	apparatur
hétvégén	wochenende
hétvégén	wochenenden
hétvégén	wochenende
hétvégén	weekend
hétvégén	wochenenden
hétvégén	wochenend
házas	verheiratet
házas	verheiratete
tirol	tirol
extrém	extrem
extrém	extremer
extrém	extremen
extrém	extreme
aug	august
aug	aug
márka	marke
márka	brand
márka	marken
márka	markenname
terra	terra
sawyer	sawyer
birkózó	ringer
birkózó	wrestling
birkózó	ringen
birkózó	ringer
birkózó	wrestler
vladimir	wladimir
vladimir	vladimir
vincze	vincze
atom	atome
atom	atom
atom	atomare
atom	atomic
atom	atomenergie
atom	atome
atom	atom
menő	coole
menő	kühlen
menő	geil
menő	kühl
menő	cool
hotspur	hotspur
basszusgitáros	bassisten
basszusgitáros	bassist
janus	janus
szabványos	serienmäßig
szabványos	norm
szabványos	standard
októberi	oktober
októberi	october
arabul	arabischen
arabul	arabische
arabul	arabisch
arabul	araber
milliméter	millimeter
milliméter	millimetern
kábel	kabel
kábel	kabelfernsehen
kábel	cable
kábel	seilbahn
büntetést	geahndet
büntetést	bestraft
nyak	hals
nyak	genick
nyak	nacken
légitársaság	fluggesellschaften
légitársaság	fluglinien
légitársaság	fluggesellschaft
légitársaság	fluglinie
légitársaság	airline
légitársaság	fluggesellschaften
légitársaság	fluglinien
légitársaság	airlines
légitársaság	fluggesellschaft
érsekség	erzdiözese
érsekség	erzbistum
többségi	mehrzahl
többségi	mehrheit
spears	speer
spears	spears
univerzum	universums
univerzum	grundgesamtheit
univerzum	weltall
univerzum	universum
indulás	aufbruch
indulás	abgang
indulás	abreise
indulás	abflug
indulás	abfahrt
kenny	kenny
jakob	jakob
műholdas	satellite
műholdas	satellit
műholdas	satellitenfernsehen
műholdas	satelliten
cső	pipe
cső	rohre
cső	pfeife
cső	röhre
cső	rohr
cső	tube
cső	schlauch
cső	röhre
könyvtárosok	bibliothekare
gyümölcs	obst
gyümölcs	früchte
gyümölcs	fruchtsaft
gyümölcs	früchten
gyümölcs	frucht
gyümölcs	obst
gyümölcs	früchte
gyümölcs	früchten
gyümölcs	frucht
model	vorbild
model	model
model	modell
szociológiai	soziologische
szociológiai	soziologie
elisabeth	elisabeth
specifikus	spezifisch
specifikus	spezielle
specifikus	spezifischen
specifikus	spezifische
természettudós	naturforscher
diktatúra	militärdiktatur
diktatúra	diktatur
diktatúra	diktaturen
házassági	familienstand
rachel	rachel
projektek	projekte
projektek	vorhaben
projektek	projekten
viselkedése	benehmen
viselkedése	verhaltens
viselkedése	verhalten
viselkedése	verhaltensweisen
montréal	montréal
oldódik	löslich
firenzei	florentiner
csillagkép	konstellation
csillagkép	sternbild
#fff	#fff
holló	krähen
holló	crow
holló	krähe
holló	raben
holló	rabe
holló	raven
anti	anti
hírességek	prominenten
hírességek	berühmtheit
hírességek	berühmt
hírességek	star
hírességek	prominente
hírességek	persönlichkeiten
hírességek	prominente
hírességek	prominenten
hírességek	stars
hírességek	berühmtheit
hírességek	berühmtheiten
auguste	auguste
werder	werder
térbeli	räumlich
térbeli	räumlichen
térbeli	räumliche
térbeli	räumlicher
hetente	wochen
hetente	wöchentlichen
hetente	wöchentlich
hetente	wöchentliche
hetente	woche
köd	nebel
köd	mist
köd	nebel
köd	nebelscheinwerfer
köd	nebel
tang	tang
demográfiai	bevölkerung
demográfiai	demographie
demográfiai	einwohnerzahl
demográfiai	demografische
demográfiai	demografie
demográfiai	demographischen
demográfiai	demographische
demográfiai	bevölkerungs
demográfiai	demografie
értékelte	erwünscht
értékelte	geschätzt
értékelte	schätzen
baptista	baptist
mostanában	kürzlich
mostanában	neulich
kompatibilis	kompatible
kompatibilis	vereinbar
kompatibilis	kompatibel
kompatibilis	kompatibilität
kompatibilis	verträglich
edge	rand
edge	kante
edge	edge
edge	kanten
fokozott	erhöht
fokozott	gestiegen
fokozott	erhöhte
jam	jam
jam	marmelade
creek	creek
ajánlom	empfehle
ajánlom	empfehlen
sarki	polar
figyelmeztetés	warnungen
figyelmeztetés	achtung
figyelmeztetés	warnhinweis
figyelmeztetés	warnung
figyelmeztetés	alarm
figyelmeztetés	ausschreibung
figyelmeztetés	wachsam
figyelmeztetés	warnung
figyelmeztetés	warnungen
figyelmeztetés	warnhinweis
figyelmeztetés	warnhinweise
figyelmeztetés	warnung
narancssárga	orange
narancssárga	orangensaft
narancssárga	orangen
meggyilkolták	umgebracht
meggyilkolták	getötet
meggyilkolták	ermordet
meggyilkolták	ermordeten
scooby	scooby
lent	darunter
lent	unten
lent	unterhalb
lent	unten
boldogság	zufriedenheit
boldogság	glück
boldogság	freude
boldogság	glückseligkeit
boldogság	gerne
boldogság	fröhlich
boldogság	happy
boldogság	glücklich
boldogság	zufrieden
szög	fingernägel
szög	nagel
szög	nägel
szög	blickwinkel
szög	winkel
megválasztott	gewählte
megválasztott	gewählten
megválasztott	gewählt
megválasztott	gewählter
időszakos	regelmäßige
időszakos	periodischen
időszakos	periodisch
időszakos	periodische
időszakos	regelmäßig
időszakos	periodisch
julian	julian
biológus	biologen
biológus	biologe
vienne	vienne
trombita	trompeter
trombita	posaune
trombita	trompete
pan	pfanne
pan	schwenken
pan	pan
péntek	freitag
péntek	freitags
moldova	moldau
moldova	moldawien
monumentális	monumentale
bányászati	bergbau
poroszország	preußen
korrekt	berichtigen
korrekt	zutreffend
korrekt	korrigieren
korrekt	korrekt
korrekt	richtig
korrekt	gerecht
korrekt	messe
korrekt	fair
korrekt	jahrmarkt
annie	anni
annie	annie
kalauz	ratgeber
kalauz	führer
kalauz	reiseführer
kalauz	leitfaden
kalauz	dirigenten
kalauz	dirigent
vasutak	schiene
vasutak	bahnen
vasutak	eisenbahnen
vasutak	eisenbahn
vasutak	eisenbahnverkehr
vizsgált	geprüfte
vizsgált	geprüft
vizsgált	erprobt
vizsgált	getestet
vizsgált	untersuchte
vizsgált	untersucht
vizsgált	untersucht
vizsgált	untersuchte
tölgy	quercus
tölgy	oak
tölgy	eichen
tölgy	eiche
tojás	eier
tojás	eiern
tojás	eizellen
tojás	eiweiß
tojás	eier
tojás	ei
tojás	eiern
létesítmény	einbau
létesítmény	installation
létesítmény	installieren
létesítmény	anlage
létesítmény	gründung
létesítmény	errichtung
létesítmény	einrichtung
létesítmény	niederlassung
értelmezhető	sinnvoll
értelmezhető	bedeutsam
értelmezhető	aussagekräftig
értelmezhető	sinnvolle
megszállt	besessen
megszállt	besaß
megszállt	besetzte
