剥奪	στέρηση
コリンズ	collins
コリンズ	κόλλινς
コリンズ	κόλινς
飲む	ποτό
飲む	πίνω
飲む	πίνουμε
飲む	πίνοντας
飲む	ποτό
オークション	δημοπρασία
オークション	πλειστηριασμό
オークション	δημοπρασίες
ポータブル	φορητή
ポータブル	φορητό
ポータブル	φορητές
ポータブル	φορητότητα
モンロー	μονρόε
モンロー	μονρό
トラップ	παγίδα
トラップ	παγίδες
同値	ισοτιμία
同値	ισοδυναμίας
同値	ισοδυναμία
ローテーション	περιστροφή
プリズム	πρίσμα
フェアリー	νεράιδα
フェアリー	fairey
ポット	ποτ
ポット	χόρτο
ポット	γλάστρα
マッカーサー	μακάρθουρ
ハチ	σφήκα
ハチ	μέλισσες
ハチ	σφήκες
ミッチェル	mitchell
ミッチェル	μίτσελ
カルト	λατρεία
カルト	αίρεση
家事	νοικοκυριό
家事	καθαριότητα
消える	εξαφανίζονται
消える	εξαφανίζονται
消える	εξαφανιστεί
テンション	ένταση
個別に	μεμονωμένα
ジャスト	απλα
ジャスト	απλά
ジャスト	απλώς
フォーカス	εστίαση
ナムコ	namco
分化	διαφοροποίηση
ウエスタン	δυτικά
ウエスタン	γουέστερν
ウエスタン	δυτικό
ウエスタン	δυτική
ウエスタン	western
ラトビア	λεττονία
ラトビア	λετονία
ラトビア	λετονίας
ラトビア	λετονική
酢酸	οξικό
スタンプ	σφραγίδα
スタンプ	γραμματόσημο
スタンプ	αυτοκόλλητα
スタンプ	αυτοκόλλητο
激戦	άγριος
おいしい	νόστιμη
おいしい	νόστιμο
おいしい	νόστιμα
おいしい	νόστιμο
おいしい	νόστιμα
停滞	στασιμότητα
臼井	usui
照射	ακτινοβόληση
照射	έκθεση
照射	εκθεση
クルーザー	καταδρομικό
ハンドブック	εγχειρίδιο
江藤	eto
アーカンソー	αρκάνσας
マナー	τρόποι
マナー	τρόπους
バットマン	μπάτμαν
裁定	κυβερνών
タイル	πλακάκια
タイル	πλακίδια
タイル	πλακάκια
螺旋	έλικα
螺旋	helix
ホフマン	hoffmann
ホフマン	χόφμαν
ホフマン	χόφμαν
レジスタ	μητρώα
レジスタ	μητρώο
ピュア	καθαρή
ピュア	αγνή
ピュア	αγνό
蒸留	απόσταξη
蒸留	απεσταγμένο
フレイ	φρέι
フレイ	συμπλοκή
ブーツ	μπότα
ブーツ	μπότες
出版物	δημοσιεύσεις
出版物	εκδόσεις
出版物	εκδόσει
出版物	δημοσίευση
ヒューズ	hughes
ヒューズ	χιούζ
ヒューズ	χιουζ
ヒューズ	φυτίλι
問い合わせ	έρευνες
問い合わせ	ερώτημα
問い合わせ	έρευνες
連帯	αλληλεγγύη
ポーター	πόρτερ
帰宅	πατρίδα
帰宅	σπιτι
帰宅	σπίτι
メイキング	φτιάχνοντας
メイキング	κάνοντας
エフェクト	επιπτώσεις
エフェクト	επιδράσεις
エフェクト	εφέ
エフェクト	εφέ
エフェクト	αποτέλεσμα
エフェクト	επίδραση
デス	θάνατος
デス	θάνατο
バター	βούτυρο
結核	φυματίωση
ヨルダン	ιορδανίας
ヨルダン	ιορδανία
ヨルダン	τζόρνταν
ヨルダン	jordan
恵那	ena
コバルト	κοβάλτιο
ソフトボール	σόφτμπολ
起業	επιχειρηματίας
起業	επιχειρηματικότητας
起業	επιχειρηματικότητα
欠陥	ψεγάδι
欠陥	ελάττωμα
欠陥	ατέλεια
欠陥	ελάττωμα
欠陥	ατέλεια
未完	ημιτελή
コブラ	κόμπρα
シスター	αδελφή
シスター	αδερφή
グリル	γκριλ
グリル	σχάρα
グリル	ψησταριά
脂肪	λίπος
脂肪	χοντρός
回顧	αναδρομική
アーネスト	έρνεστ
眠る	ύπνος
眠る	ύπνο
眠る	κοιμήσου
アスレチック	αθλητικός
アスレチック	αθλητική
アスレチック	αθλητικό
エミー	amy
エミー	έιμυ
エミー	έιμι
迫害	δίωξη
迫害	διώξεις
迫害	διώκονται
勧誘	πορνεία
手数料	προμήθεια
手数料	επιτροπή
手数料	επιτροπη
手数料	τέλη
手数料	αμοιβή
手数料	τέλη
手数料	αμοιβές
バドミントン	μπάντμιντον
ザック	ζακ
陶器	κεραμικά
陶器	κεραμικής
スクリプト	σενάρια
スクリプト	σενάριο
トライアングル	τρίγωνο
溶岩	λάβα
フィニッシュ	τελείωμα
フィニッシュ	τελειώσω
異端	αίρεση
真似	μιμηθεί
真似	μιμούνται
フン	hun
ハス	lotus
メグ	meg
メグ	μεγκ
ボールド	τολμηρός
ボールド	τολμηρό
ボールド	τολμηρή
トッド	τοντ
入浴	κολύμβησης
入浴	κολύμβηση
入浴	μπάνιο
入浴	λουτρό
須磨	σούμα
ハング	κρέμασε
ハング	κρεμάσουν
流体	υγρό
流体	υγρά
ジュネーヴ	γενεύη
ハーバート	χέρμπερτ
お菓子	γλυκά
未完成	ημιτελή
未完成	ατελής
未完成	ελλιπής
未完成	ελλιπείς
未完成	ημιτελή
ブレーメン	βρέμη
共生	συμβιωτική
チューブ	σωληνάριο
チューブ	σωλήνας
チューブ	σωλήνα
ヒゲ	γένια
林業	δάση
林業	δασικές
林業	δασική
林業	δασοκομία
変装	μεταμφίεση
変装	μεταμφιεσμένος
変装	μεταμφιέσεις
軍需	οπλισμό
シグナル	σήματα
シグナル	σινιάλο
シグナル	σήμα
シグナル	σημα
オリーブ	όλιβ
オリーブ	ελιά
オリーブ	ελιές
面接	συνέντευξη
ダイエット	δίαιτα
ダイエット	δίαιτα
ダイエット	διατροφή
ダブリン	δουβλίνο
信念	πίστη
信念	φέιθ
信念	πεποίθηση
信念	πεποιθήσεις
スチュアート	στιούαρτ
スチュアート	στούαρτ
ワイヤー	σύρματα
ワイヤー	καλώδιο
ワイヤー	σύρμα
ワイヤー	σύρματα
ワイヤー	καλώδια
アルブレヒト	άλμπρεχτ
バレル	βαρέλι
サンティアゴ	σαντιάγο
サンティアゴ	σαντιάγκο
碑文	επιγραφή
碑文	επιγραφές
ブルターニュ	μπρίτανι
審判員	διαιτητή
審判員	διαιτητής
審判員	διαιτητές
スレッド	συζήτηση
スレッド	συνομιλία
スレッド	νήματα
スレッド	νήμα
スレッド	κλωστή
スレッド	συνομιλίες
ドラキュラ	δράκουλας
ドラキュラ	δράκουλα
ルネ	ρενέ
ルネ	ρενέ
桟橋	προβλήτα
桟橋	αποβάθρα
亜鉛	ψευδάργυρος
亜鉛	ψευδάργυρο
亜鉛	ψευδαργύρου
グラハム	γκράχαμ
グラハム	graham
正博	μασαχίρο
デューク	duke
デューク	ντουκ
デューク	ντιουκ
デューク	δούκας
デューク	δούκα
語彙	λεξιλόγιο
コーディネーター	συντονιστής
コーディネーター	συντονιστή
ソナー	σόναρ
充電	φόρτιση
充電	χρέωση
充電	φόρτιση
充電	χρέωσης
グラブ	πιάσε
グラブ	αρπαγή
バーミンガム	birmingham
マイヤー	μάγιερ
リリー	λίλυ
リリー	lily
リリー	λίλι
大工	ξυλουργός
大工	κάρπεντερ
大工	ξυλουργοί
停泊	πρόσδεσης
ワクチン	εμβόλια
ワクチン	εμβόλιο
監獄	φυλακή
監獄	φυλακές
監獄	φυλακές
デラウェア	ντέλαγουερ
売る	πούλα
破片	χαλάσματα
破片	συντρίμμια
破片	θραύσματα
ペーター	πέτρος
ペーター	πέτρο
ペーター	peter
ペーター	πίτερ
ペーター	πήτερ
買い物	ψώνια
既婚	παντρεμένοι
既婚	παντρεμένος
既婚	παντρεμένη
既婚	παντρεύτηκε
既婚	παντρεύτηκα
陽性	θετικές
陽性	θετικά
陽性	θετικός
陽性	θετικό
陽性	θετική
チョーク	κιμωλία
チョーク	πνίξει
四十	σαράντα
四十	forty
エコー	έκο
エコー	ηχώ
エコー	echo
同調	συμμόρφωσης
同調	συμμόρφωση
スイング	κούνια
コミュニティー	κοινοτητα
コミュニティー	κοινότητα
コミュニティー	κοινότητας
施策	πολιτικές
トラクター	τρακτέρ
トラクター	ελκυστήρες
トラクター	ελκυστήρων
トラクター	τρακτέρ
トラクター	ελκυστήρα
カリスマ	χαρισματικός
カリスマ	χάρισμα
カリスマ	χαρισματικός
吹く	χτυπήματα
吹く	φυσάει
下着	εσώρουχα
下着	εσώρουχο
分泌	έκκριση
ドキドキ	συναρπαστική
ドキドキ	συναρπαστικό
ドキドキ	συναρπαστικός
ドキドキ	συναρπαστικά
驚き	έκπληξη
ジェフリー	τζέφρι
ジェフリー	τζέφρυ
ジェフリー	jeffery
廃墟	ερείπιο
廃墟	χαλάσματα
廃墟	ερείπια
深度	βάθος
配当	μερίσματα
配当	μέρισμα
配当	διανομής
配当	κατανομή
配当	διανομή
配当	μερίσματα
故意	σκόπιμη
故意	σκόπιμη
故意	σκοπίμως
故意	σκόπιμα
ニコ	νίκο
ニコ	νίκο
クロム	chrome
クロム	χρώμιο
クロム	χρώμιο
クロム	χρωμίου
預言	προφητεία
掲示	απόσπαση
掲示	δημοσίευση
掲示	δελτίο
パスポート	διαβατήρια
パスポート	διαβατήριο
カロリー	θερμίδα
カロリー	θερμίδες
消化	πέψη
ヘビ	φίδι
ヘビ	φίδια
膨張	επέκταση
バッジ	σήμα
バッジ	σήματα
残酷	σκληρός
残酷	σκληρό
残酷	σκληρή
ペナルティ	ποινή
ペナルティ	πέναλτι
フェンス	φράκτη
フェンス	φράχτης
フェンス	φράχτη
船員	ναύτης
船員	ναύτη
船員	ναυτικός
フォレスト	φόρεστ
フォレスト	δάση
フォレスト	δάσος
クラッチ	συμπλέκτη
見習い	μαθητευόμενος
見習い	εκπαιδευόμενος
見習い	εκπαιδευόμενη
黙示録	αποκάλυψη
枢機卿	καρδινάλιος
メソッド	τροπος
メソッド	μέθοδος
メソッド	μέθοδοι
メソッド	μεθόδους
スチュワート	στιούαρτ
スチュワート	στούαρτ
スチュワート	stewart
スランプ	κάμψη
賭博	τζόγος
賭博	τζόγο
コップ	κύπελλο
コップ	κούπα
コップ	φλιτζάνι
母国	πατρίδα
視界	ορατότητα
ニッケル	νικελίου
ニッケル	νικέλιο
反響	επαναλαμβάνοντας
反響	έκο
反響	ηχώ
反響	echo
プラットホーム	πλατφόρμα
プラットホーム	εξέδρα
プラットホーム	αποβάθρα
カルチョ	κάλτσιο
スーザン	σούζαν
スーザン	susan
ハイチ	αϊτή
洗浄	πλύσιμο
洗浄	καθαρισμός
洗浄	καθαρισμού
洗浄	καθάρισμα
洗浄	καθαριότητα
不祥事	σκάνδαλα
不祥事	σκάνδαλο
不祥事	σκάνδαλα
委任	αντιπροσωπεία
委任	ανάθεση
委任	αντιπροσωπία
委任	εντολή
祭壇	βωμό
スライダー	κύλιση
シエラ	sierra
シエラ	σιέρρα
シエラ	σιέρα
手当	επίδομα
ボローニャ	μπολόνια
ヤギ	κατσίκα
ヤギ	τράγος
ヤギ	κατσίκες
ワークショップ	συνεργεία
ワークショップ	εργαστήρια
ワークショップ	ημερίδα
ワークショップ	εργαστήριο
ワークショップ	εργαστήρι
ワーグナー	βάγκνερ
金庫	χρηματοκιβώτιο
金庫	ασφαλείς
金庫	ασφαλές
金庫	ασφαλής
金庫	ασφαλή
消耗	φθορά
被告人	κατηγορούμενοι
被告人	κατηγορούμενος
被告人	κατηγορούμενη
被告人	εναγόμενος
被告人	κατηγορούμενος
バトン	σκυτάλη
睡眠	ύπνος
睡眠	ύπνο
睡眠	κοιμήσου
モノクロ	μονόχρωμη
洗濯	πλύσιμο
洗濯	μπουγάδα
洗濯	πλυντήριο
ツル	κρέιν
ツル	γερανός
リヒャルト	richard
リヒャルト	ρίτσαρντ
リヒャルト	ριχάρδος
裏側	πλάτη
裏側	πισω
裏側	πίσω
レズビアン	λεσβία
レズビアン	λεσβίες
レズビアン	λεσβίες
芸者	γκέισα
チャップリン	τσάπλιν
吸気	εισπνοή
祝福	ευλογία
祝福	ευλογία
祝福	ευλογίες
祝福	ευλογημένοι
祝福	ευλογημένος
祝福	ευλογημένο
祝福	ευλογημένη
林檎	μήλο
林檎	apple
視力	όραση
星空	έναστρη
ロナルド	ρόναλντ
ランニング	τρέχει
ランニング	τρέχοντας
ランニング	τρέχω
ランニング	τρέξιμο
届出	ειδοποίηση
届出	κοινοποίηση
届出	γνωστοποίηση
レスキュー	διάσωση
レスキュー	διάσωσης
土居	ντόι
委嘱	αντιπροσωπεία
委嘱	ανάθεση
委嘱	αντιπροσωπία
委嘱	προμήθεια
委嘱	επιτροπή
委嘱	επιτροπη
アンドレア	andrea
アンドレア	αντρέα
アンドレア	άντρεα
パンダ	panda
冗談	αστείο
冗談	ανέκδοτο
お気に入り	αγαπημένο
お気に入り	αγαπημένος
お気に入り	αγαπημένα
お気に入り	αγαπημένα
お気に入り	αγαπημένη
お気に入り	αγαπημένος
お気に入り	αγαπημένο
お気に入り	αγαπημένες
お気に入り	αγαπημένα
お気に入り	αγαπημένες
ロッカー	ντουλάπια
ロッカー	ντουλαπάκι
ロッカー	ντουλάπι
トゥルー	αληθές
トゥルー	αληθεια
トゥルー	αληθινή
トゥルー	αλήθεια
ヨット	γιοτ
ヨット	γιοτ
シェーン	shane
シェーン	σέιν
ダイナミック	δυναμικά
ダイナミック	δυναμικό
ダイナミック	δυναμικές
ダイナミック	δυναμική
ダイナミック	δυναμικός
飛行船	αερόπλοιο
陶芸	κεραμικά
陶芸	κεραμικής
エリオット	έλιοτ
エリオット	elliott
エリオット	έλιοτ
エリオット	elliot
フットサル	futsal
消去	σβήσω
消去	διαγραφή
ストライカー	επιθετικός
ストライカー	στράικερ
真木	μάκι
真木	μακί
真木	maki
バイザー	προσωπίδα
ハンプシャー	χάμσαϊρ
テント	σκηνές
テント	τέντα
テント	σκηνή
テント	σκηνη
リソース	πόρο
リソース	πόρος
リソース	πόρων
リソース	πόροι
粛清	εκκαθάριση
粛清	εξαγνιστεί
崇拝	λατρεία
ワトソン	γουάτσον
ワトソン	γουότσον
ワトソン	watson
値段	τιμή
快適	άνετα
快適	άνετο
快適	άνετα
足跡	πατημασιές
足跡	χνάρια
ロベール	robert
ロベール	ρόμπερτ
バスケ	μπάσκετ
獣医	βετεράνους
獣医	κτηνίατρος
獣医	κτηνίατρος
ヴァージン	παρθένο
ヴァージン	παρθένα
ヴァージン	παρθένος
和音	χορδή
帝政	αυτοκρατορία
帝政	empire
帝政	εμπάιρ
動揺	αναστατωμένος
動揺	αναστατωμένη
タブレット	δισκίο
神学校	ιεροδιδασκαλείο
麻酔	αναισθησία
人魚	γοργόνα
ジュエル	κόσμημα
サンチェス	sanchez
サンチェス	σάντσεζ
サンチェス	sánchez
文字通り	κυριολεκτικά
目的地	προορισμός
目的地	προορισμό
マルチメディア	πολυμέσα
マルチメディア	πολυμέσων
オーラ	αύρα
ディープ	βαθύς
ディープ	βαθιά
ディープ	βαθύ
ディープ	βαθειά
マリアナ	μαριάννα
アマゾン	αμαζόνιο
年数	χρονια
年数	ετη
年数	χρόνια
年数	έτη
サイコロ	ζάρια
不自然	αφύσικο
不自然	αφύσικη
コロナ	κορόνα
切符	εισητήρια
切符	εισιτήρια
切符	εισιτήριο
切符	εισητήριο
教義	δόγμα
教義	δόγμα
オメガ	ωμέγα
富豪	εκατομμυριούχοι
両面	δυάρι
地雷	ορυχεία
地雷	νάρκες
可愛	ομορφιά
ホッケー	χόκεϋ
ホッケー	χόκεϊ
かもめ	γλάρος
マダガスカル	μαδαγασκάρης
マダガスカル	μαδαγασκάρη
事績	επιτεύγματα
事績	επίτευξη
事績	επίτευγμα
キタ	kita
上告	έκκληση
上告	έφεση
上告	αναίρεση
カートリッジ	φυσίγγια
カートリッジ	φυσίγγιο
カートリッジ	φυσίγγια
トレイル	μονοπάτι
臓器	όργανο
コロンボ	κολόμπο
水銀	υδράργυρο
水銀	υδραργύρου
水銀	υδράργυρος
水銀	ερμής
ニース	ωραία
ニース	ωραίο
ホモ	χόμο
ユニーク	μοναδική
ユニーク	μοναδικό
ユニーク	μοναδικός
ユニーク	μοναδικοί
ステアリング	διεύθυνσης
城郭	κάστρα
アドリア	adria
浄化	καθαρισμός
浄化	εξαγνίσει
音節	συλλαβή
音節	συλλαβές
シダ	φερν
炎症	φλεγμονώδης
炎症	φλεγμονή
ダンカン	ντάνκαν
ダンカン	duncan
カッパ	κάπα
長江	γιανγκτσέ
摩擦	τριβή
摩擦	τριβής
ドーン	αυγή
ドーン	ξημέρωμα
ドーン	ντόουν
芝生	γκαζόν
芝生	γρασίδι
悪役	κακοποιός
実効	αποτελεσματικότητα
実効	αποτελεσματική
実効	αποτελεσματικός
実効	αποτελεσματικό
実効	αποτελεσματικά
セナ	senna
アルマ	άλμα
ルナ	λούνα
オリオン	ωρίωνα
ルーシー	λούση
ルーシー	λούσυ
ルーシー	λούσι
ウィリー	γουίλι
ステータス	κατάσταση
ステータス	status
ステータス	καθεστώς
ステータス	κατασταση
アロン	ααρών
アロン	aaron
アロン	άαρον
四川省	σιτσουάν
柔軟	ευελιξία
柔軟	ελαστικότητα
イングリッシュ	greek
イングリッシュ	αγγλικα
イングリッシュ	αγγλική
イングリッシュ	αγγλικό
イングリッシュ	αγγλικά
浮気	απιστία
浮気	εξαπάτηση
浮気	κλεψιά
浮気	κλέψιμο
浮気	δεσμός
マッサージ	μασάζ
マッサージ	μασάζ
捕鯨	φαλαινοθηρίας
劣化	υποβάθμιση
劣化	αλλοίωση
劣化	επιδείνωση
劣化	φθορά
劣化	υποβάθμιση
工具	εργαλείο
上海市	σαγκάη
オナニー	αυνανισμός
クイック	γρήγορα
クイック	γρήγορος
クイック	γρήγορη
リニア	γραμμική
ワタ	speciosa
ラーマ	λάμα
ラーマ	ράμα
接着	πρόσφυσης
サンプリング	δείγμα
サンプリング	δειγματοληψίας
サンプリング	δειγματοληψία
必死	απεγνωσμένα
必死	απελπιστικά
必死	απελπισμένα
必死	απεγνωσμένη
必死	απελπισμένη
必死	απελπισμένοι
必死	απελπισμένος
失効	έληξε
失効	λήξη
ねずみ	ποντικάκι
ねずみ	ποντικός
ねずみ	μάους
ねずみ	ποντίκι
経典	σούτρα
オセアニア	ωκεανία
大気圏	ατμόσφαιρα
不審	ύποπτο
不審	καχύποπτος
リサイクル	ανακύκλωσης
リサイクル	ανακύκλωση
チェン	τσενγκ
隠す	απόκρυψη
隠す	κρύψει
グラフィックス	γραφικά
マニ	μάνη
カモ	πάπιες
カモ	πάπια
カモ	ντακ
無意味	ανούσιο
無意味	άσκοπο
無意味	άσκοπη
ビーズ	χάντρα
ビーズ	χάντρες
旋風	ανεμοστρόβιλος
無敗	αήττητος
精製	εκλεπτυσμένο
精製	διύλισης
スナック	σνακ
スナック	σνακ
グリップ	λαβή
ペダル	πετάλι
ペダル	πεντάλ
アレクサンドロス	αλεξάντερ
アレクサンドロス	αλέξανδρε
アレクサンドロス	αλέξανδρος
ビザ	θεώρηση
ビザ	βίζα
ビザ	visa
トレス	tres
スタック	στοίβα
スタック	στακ
ヴァルター	walther
ヴァルター	γουόλτερ
ヴァルター	ουόλτερ
ヴァルター	walter
悪性	κακοήθη
満期	ωριμότητα
強要	παρόρμηση
強要	εξαναγκασμό
隙間	κενά
ギャンブル	τζόγος
ギャンブル	τζόγο
ギャンブル	τζόγος
握手	χειραψία
オリバー	όλιβερ
オリバー	oliver
庇護	αιγίδα
ハリソン	χάρισον
ハリソン	harrison
フリート	στόλου
フリート	στόλο
フリート	στόλος
風力	γκέιλ
強姦	βιασμός
強姦	βιασμό
強姦	βιασμοί
センチュリー	αιώνα
センチュリー	αιώνας
リカルド	ρικάρντο
スルタン	σουλτάνος
バッグ	σακούλα
バッグ	σάκο
バッグ	τσάντα
バッグ	σάκος
バッグ	τσάντες
バッグ	σακούλες
バッグ	σάκοι
画質	ποιότητας
画質	ποιότητα
飽和	κορεσμού
飽和	κορεσμένα
カヤ	kaya
福音書	ευαγγέλιο
ユニバーシアード	πανεπιστημιάδα
侮辱	προσβολή
ロブ	rob
ロブ	ρομπ
平衡	ισορροπία
ダーウィン	δαρβίνου
ダーウィン	δαρβίνος
乗馬	ιππασία
乗馬	καβάλα
粘土	κλέι
占有	κατοχή
シュウ	οξαλικού
モナ	μόνα
肝臓	ήπαρ
肝臓	συκώτι
アンゴラ	αγκόλα
ノック	τοκ
ノック	νοκ
ノック	νοκ
ジェシカ	jess
ジェシカ	τζες
ジェシカ	τζέσικα
ジェシカ	jessica
停戦	εκεχειρία
真ん中	μεση
真ん中	μεσαία
真ん中	μέση
真ん中	μεσαίο
ペイント	βαφή
ペイント	μπογιά
ピーチ	πιτς
ピーチ	ροδάκινο
滑らか	λεία
滑らか	λείο
滑らか	ομαλή
ハイランド	χάιλαντ
クッパ	bowser
完備	ολοκλήρωση
完備	πλήρη
完備	πλήρες
完備	πλήρης
完備	ολοκληρώθηκε
白血病	λευχαιμία
アングル	γωνία
アングル	γωνίες
冷たい	ψυχρή
冷たい	κρύος
冷たい	κρύο
冷たい	κρύα
ホノルル	χονολουλού
ハンプトン	χάμπτον
ラウンジ	lounge
ラウンジ	σαλόνι
ディーラー	έμπορος
ディーラー	ντίλερ
デーモン	δαίμονας
除隊	απαλλαγή
ナイス	ωραία
ナイス	ωραίο
ケヴィン	κέβιν
入札	προσφορά
シルエット	σιλουέτα
エディンバラ	εδιμβούργου
エディンバラ	εδιμβούργο
中性子	νετρονίων
パノラマ	panorama
パノラマ	πανοραμική
パノラマ	πανοραμική
クルト	κουρτ
クルト	κερτ
共存	συνυπάρχουν
修道士	μοναχός
ヴィレッジ	χωριο
ヴィレッジ	χωριό
ロジャース	ρότζερς
ロジャース	ρότζερς
バレンタイン	βαλεντάιν
パチ	pati
ボルドー	μπορντώ
ボルドー	μπορντό
ヴァンパイア	βρυκόλακας
ヴァンパイア	βρικόλακα
ヴァンパイア	βαμπίρ
ヴァンパイア	βρικόλακας
受け取り	ελήφθη
受け取り	έλαβε
風刺	σάτιρα
仲裁	διαιτησίας
仲裁	διαιτησία
顕微鏡	μικροσκόπιο
検察官	δίωξη
検察官	εισαγγελέας
検察官	εισαγγελέα
検察官	κατήγορος
ボトル	μπουκάλια
ボトル	φιάλες
ボトル	μπουκάλι
ボトル	φιάλη
ダイハツ	daihatsu
神風	καμικάζι
クォーター	quarter
クォーター	τρίμηνο
グリッド	πλέγμα
リチウム	λιθίου
リチウム	λίθιο
わがまま	εγωίστρια
わがまま	εγωιστής
わがまま	εγωιστικό
ラバー	ελαστικό
ラバー	καουτσούκ
便所	τουαλέτες
インタラクティブ	διαδραστική
セール	πώληση
アグネス	άγκνες
アグネス	αγνή
フェス	φεζ
フェルナンデス	φερνάντεζ
フェルナンデス	fernandes
用紙	χαρτί
パラオ	παλάου
ミナ	μίνα
ミナ	mina
快楽	απόλαυση
快楽	χαρα
快楽	χαρά
快楽	ευχαρίστηση
ヒール	θεραπεύσει
