retningen	dirección
plant	vexetais
plant	de
læder	coiro
læder	o
gennemførelse	execución
stalins	stalin
royale	teatro
royale	royal
royale	súa
royale	real
royale	alteza
minedrift	minería
minedrift	mineiro
spist	comemos
spist	comín
spist	comeu
spist	comiches
spist	hoxe
spist	comín
nøjagtige	preciso
nøjagtige	precisa
cambodja	camboxa
cambodja	en
bekymret	preocupa
bekymret	preocupados
bekymret	como
bekymret	preocupado
bekymret	por
bekymret	medo
bekymret	preocupada
loyalitet	lealdade
tilflugt	refuxio
smukkeste	fermoso
smukkeste	bonita
smukkeste	fermosa
smukkeste	precioso
smukkeste	fermosas
belønnet	recompensado
reporter	xornalista
reporter	reporteiro
mindesmærker	monumentos
højland	terras
højland	altas
højland	altas
favorit	favorito
favorit	favoritos
favorit	favorita
favorit	preferido
videnskabsmænd	científicos
videnskabsmænd	os
videnskabsmænd	sociólogos
utal	myriad
kusine	primo
kusine	curmán
garcía	garcía
opdagelser	descubrimentos
opdagelser	descubrimento
fornyelse	innovación
afgør	determinar
afgør	determinan
afgør	han
grupperinger	agrupacións
finger	dedo
finger	o
okay	ben
okay	vale
okay	está
okay	moi
okay	ben
okay	vale
okay	está
okay	acordo
mass	foxas
mass	masa
mass	masiva
mass	masas
mass	de
mass	misa
udenlands	estranxeiro
udenlands	fóra
indtægt	os
indtægt	ingresos
indtægt	do
indtægt	ingreso
indtægt	renda
indtægt	recurso
bønner	feixóns
bønner	xudías
bønner	oracións
udformningen	a
udformningen	modelando
afgift	impostos
afgift	cargo
afgift	mando
afgift	cargos
afgift	carga
kanonerne	canóns
julen	nadal
erhvervslivet	negocios
erhvervslivet	negocio
erhvervslivet	asunto
erhvervslivet	traballo
tvinger	a
tvinger	obrigando
overskrift	título
midtpunkt	centro
midtpunkt	center
midtpunkt	de
institutionen	institución
frekvenser	espectro
hate	odio
hate	os
hate	o
hate	a
udbud	de
udbud	subministración
spyd	arpón
spyd	spear
organisme	organismo
regning	bill
regning	billete
regning	conta
regning	dereitos
regning	contrato
afvise	non
afvise	se
båndet	cinta
synd	pecado
hælder	insistir
rente	interese
rente	interesa
skyer	nube
kunderne	clientes
plain	chaira
plain	costa
plain	plano
plain	claro
plain	tenra
kuppet	golpe
vinge	nunha
vinge	á
skabelse	creación
læserne	lectores
langsomme	lento
langsomme	lenta
langsomme	lentos
langsomme	ou
langsomme	frean
langsomme	tranquilo
heldig	afortunada
heldig	sorte
heldig	afortunado
heldig	con
heldig	de
computeren	ordenador
computeren	computador
computeren	ordenadores
fuglen	paxaro
fuglen	aves
fuglen	ave
kontinentet	continente
breaking	mesmo
indrømmede	confesei
indrømmede	mañá
poet	poeta
poet	poetas
poet	o
smerter	dor
smerter	moito
ira	ira
molekyle	molécula
molekyle	molecular
process	proceso
berørte	afectados
beføjelser	poderes
chase	persecución
overfaldet	atacado
slaveri	escravitude
fritid	libre
fritid	tempo
fritid	ocio
destination	destino
ankommet	cheguei
ankommet	á
ankommet	chegou
ankommet	chegamos
ankommet	chegaron
ankommet	a
ankommet	chegar
alfabetisk	alfabética
skibsfart	despachos
humanistiske	humanidades
clint	clint
kriger	guerreiro
kriger	forte
abstrakte	abstracta
mcdonald	mcdonald
vedligeholde	manter
vedligeholde	a
ægteskaber	casamento
ægteskaber	matrimonio
genève	xenebra
gerald	gerald
tests	exames
tests	probas
tests	tests
release	liberación
release	lanzamento
release	en
release	liberdade
release	a
deal	tratar
deal	negocio
deal	trato
poker	póquer
poker	ao
poker	de
palæet	mansión
karakteristika	características
karakteristika	as
karakteristika	características
klan	clan
klan	do
klan	dos
klan	clans
jungle	selva
bukser	pantalóns
bukser	pantalón
bukser	pantalóns
bukser	ruta
bukser	no
bukser	os
bukser	pantalón
bukser	brancos
kvaliteter	cualidades
finansiering	financiamento
finansiering	finanzas
omkostningerne	custa
omkostningerne	costa
omkostningerne	custar
omkostningerne	custos
omkostningerne	sanitarios
flow	fluxo
flow	transmisión
rotten	rata
aktivist	activista
håndfuld	unha
overfald	asalto
trappe	escaleiras
trappe	as
trappe	escaleira
trappe	escaleiras
yellow	amarelos
yellow	amarelas
yellow	amarela
yellow	marelo
yellow	taxi
kys	bico
kys	bícame
kys	bicar
kys	un
kys	biquiño
hey	ei
hey	eh
hey	oe
asiatisk	asiática
asiatisk	asiático
asiatisk	asiáticos
forsikring	seguro
forsikring	seguros
sunday	domingo
sunday	domingos
sunday	dominical
pest	peste
zoner	zonas
sømand	mariñeiro
begrænsning	restrición
begrænsning	límite
vred	enfadado
vred	anoxados
vred	anoxado
vred	enfadada
tilbragt	pasamos
tilbragt	pasei
tilbragt	pasou
tilbragt	anos
lederskab	liderado
sove	sono
sove	durmir
sove	durme
sove	durmindo
sove	durmir
sove	somníferos
observation	observación
missil	mísil
focus	centre
focus	centrarse
focus	centramos
focus	centrarme
focus	foco
focus	focalizar
lykkelig	feliz
lykkelig	contento
lykkelig	felices
lykkelig	contenta
elefanter	elefante
elefanter	elefantes
elefanter	elefante
elefanter	marchar
løgn	mentiras
løgn	mentira
løgn	mentir
løgn	xace
løgn	está
løgn	reside
løgn	mentira
løgn	mentiras
uniform	uniforme
bokse	caixas
bokse	palcos
kompetencer	habilidades
koblet	acoplados
levevis	estilo
levevis	de
levevis	vida
overenskomst	acordo
forhindret	evitou
eksperiment	experimento
eksperiment	experimentos
konstruktioner	estruturas
fastslået	decidido
fastslået	con
buddy	amigo
buddy	colega
buddy	compañeiro
tip	punta
tip	dan
tip	propinas
diabetes	diabetes
commander	comandante
lastbil	camión
billig	barato
memory	memoria
rolig	calma
rolig	acouga
rolig	mar
rolig	calmo
rolig	tranquila
rolig	tranquilo
rolig	calme
rolig	sinxelo
rolig	fácil
rolig	doado
rolig	calma
rolig	acouguen
droppet	caéronlle
droppet	caeron
droppet	aquí
droppet	caeume
droppet	baixou
slim	slim
utroligt	incrible
utroligt	incribles
utroligt	incríbel
utroligt	incrible
utroligt	incribles
utroligt	sorprendente
utroligt	abraiante
utroligt	o
utroligt	marabilloso
utroligt	asombroso
utroligt	incríbel
utroligt	incrible
bemærkning	comentar
bemærkning	comentario
bemærkning	observación
fineste	mellor
fineste	bos
silke	seda
silke	de
tobak	tabaco
belønning	recompensa
slaverne	escravos
tilhørt	á
foranstaltninger	acción
foranstaltninger	medidas
foranstaltninger	as
foranstaltninger	accións
idealer	ideais
hypotese	hipótese
tragedie	traxedia
tragedie	desgraza
snak	falar
snak	charla
snak	con
øverstbefalende	comandante
ulighed	desigualdade
klassiker	clásico
sandra	sandra
tech	tecnolóxica
tech	tecnolóxicas
retur	a
retur	volvo
retur	regresar
retur	volva
retur	cambio
retur	volver
retur	retorno
retur	volver
retur	volta
retur	atrás
milliard	millóns
milliard	mil
milliard	de
milliard	millóns
milliard	mil
milliard	miles
ødelæggelser	destrución
ødelæggelser	destrucción
patient	paciente
patient	doente
patient	pacientes
tåge	néboa
tåge	brétema
kanonen	canóns
kanonen	sobre
kanonen	os
kanonen	artillaría
kanonen	canón
klassetrin	de
klassetrin	grao
hårdere	máis
hårdere	difícil
genoprette	a
genoprette	restaurar
diskuterer	falar
diskuterer	a
sokrates	sócrates
afgørelsen	decisión
kinesere	os
kinesere	chineses
kinesere	chinés
kinesere	chinesas
kinesere	chinesa
ligevægt	equilibrio
ligevægt	balance
ligevægt	o
opfindelser	invento
opfindelser	invención
tilføj	engadir
tilføj	dous
rainbow	arco
rainbow	vella
rainbow	da
kilo	libra
kilo	kg
kilo	quilos
kilo	kilos
kilo	case
kilo	libras
kilo	tonelada
kilo	toneladas
kilo	kilos
kilo	quilos
kilo	chan
dyrearter	especie
dyrearter	especies
generations	xeración
generations	da
ventet	se
ventet	esperaba
ventet	que
ventet	agardaba
promovere	a
protestanter	protestante
katedral	catedral
regionerne	rexións
målestok	escala
understrege	estrés
manus	guión
nationen	nación
nationen	país
eksplosionen	explosión
troskab	lealdade
borgmesteren	alcalde
borgmesteren	o
borgmesteren	alcaldesa
kampagner	campañas
skriftlig	escrito
skriftlig	escrita
skriftlig	o
offentlighed	público
offentlighed	pública
offentlighed	públicos
offentlighed	públicas
udforske	explorar
nine	nove
nine	9
politikker	políticas
støj	ruido
støj	ruído
støj	son
skam	mágoa
skam	mágoa
skam	vergoña
skam	que
voldtægt	violación
voldtægt	viólanme
daggry	alborecer
daggry	amencer
bestilte	que
bestilte	atención
bestilte	pedimos
anbefaler	aconsellan
anbefaler	que
overlegen	superior
overlegen	superiores
pass	pasar
pass	pase
prøv	tentar
prøv	intentar
laser	láser
begreberne	conceptos
klage	denuncia
klage	queixarse
kingston	kingston
sats	de
sats	taxa
leader	líder
loyale	leal
indkøb	compras
indkøb	mercar
care	importa
care	igual
care	me
wonder	pregúntaste
wonder	pregúntome
wonder	me
wonder	que
regimet	réxime
roden	orixe
roden	raíz
strike	folga
strike	ataque
strike	¡
strike	que
strike	empece
bæredygtig	sostible
ideal	ideais
ideal	ideal
ideal	ideais
panik	pánico
andetsteds	outra
demokratiet	democracia
gaga	gaga
maling	cadro
maling	pintura
forme	forma
forme	dunha
forme	figura
universiteterne	universidades
eventyret	aventura
reformen	reforma
reformen	reformatorio
buck	dólar
sygehuset	hospital
kulde	frío
kulde	fría
kulde	arrefriado
lytte	escoitan
lytte	escoiten
lytte	a
lytte	escoitar
lytte	escoitando
lytte	escoitamos
akter	actos
kiste	peito
twitter	twitter
cumberland	cumberland
kappe	o
kappe	cabo
dødelig	mortal
dødelig	pecados
dødelig	fatal
næringsstoffer	nutrientes
næringsstoffer	nutrintes
varmere	máis
legion	lexión
sikkerheden	seguridade
large	grande
large	gran
large	grandes
script	guión
fortjener	merece
væbnet	armados
væbnet	armado
væbnet	armada
væbnet	armadas
terrorisme	terrorismo
rivaler	rivais
novellen	novela
joy	ledicia
joy	alegría
joy	desfrute
joy	da
jage	cazar
jage	caza
boss	xefe
boss	patrón
lykken	felicidade
lykken	a
lykken	benestar
lykken	ledicia
snit	cortar
laden	granxa
uddeling	distribución
uddeling	de
canyon	canón
aktiver	bens
statskup	golpe
kæder	cadeas
kæder	as
kæder	cadea
kæder	subministración
kæder	traballos
idag	hoxe
idag	día
transfer	transferir
transfer	traslado
berøring	tacto
berøring	toque
berøring	contacto
berøring	tocar
berøring	toques
betænkning	informe
betænkning	informar
ministeren	ministro
ministeren	ministra
ministeren	pastor
ministeren	cabinet
ministeren	o
universelle	universais
universelle	universal
cafe	café
cafe	cafetaría
supplerende	adicional
lot	moito
lot	moita
lot	moitos
lot	moitas
kommissær	comisario
kommissær	comisionado
tilhøre	pertencen
omgående	inmediato
omgående	contado
nødvendighed	necesidade
gps	gps
parade	procesión
reserver	reserva
lima	lima
indsatsen	esforzos
manual	manual
klovn	pallaso
spion	espía
feedback	de
feedback	resposta
maks	max
blokke	mazás
blokke	de
kroning	da
kroning	coroación
skjul	ocultar
skjul	agochar
knæ	xeonllo
knæ	xeonllos
auschwitz	auschwitz
florence	florence
passagererne	pasaxeiros
svaghed	debilidade
forøgelse	incremento
forøgelse	aumento
forøgelse	a
forøgelse	incrementar
forøgelse	aumenta
forøgelse	aumentar
respons	á
respons	resposta
respons	reacción
respons	respostas
respons	as
philips	phillips
root	orixe
root	raíz
kysterne	costas
korteste	curta
clay	clay
direktøren	director
direktøren	dirección
direktøren	de
luca	luca
truende	ameazando
truende	ameazan
stories	historias
stories	as
fællesskabet	comunidade
giv	dar
giv	dáme
odysseus	ulises
fejrer	celebrar
salomonøerne	solomon
opbevaret	almacénanse
opbevaret	almacenados
geometriske	xeométricas
mentale	mentais
mentale	mental
grin	risos
grin	risas
grin	rir
grin	risa
grin	rían
stella	stella
utilfreds	infeliz
politibetjent	policía
desert	deserto
desert	sobremesa
barack	barack
raske	san
raske	saúde
raske	sans
raske	saudable
sunshine	sol
sunshine	luz
sunshine	do
ure	ve
ure	reloxos
ure	mira
interval	de
interval	rango
interval	cadea
interval	montañosa
interval	abano
landmænd	labregos
landmænd	agricultores
sover	durmindo
sover	durme
sover	dorme
sover	durmido
sover	adormeceu
sover	durmir
sover	sono
sover	durmir
sover	durme
sover	durmindo
sover	durmir
sover	somníferos
opfindelsen	invento
opfindelsen	invención
clyde	clyde
sergent	sarxento
sergent	o
stang	polo
stang	poste
michele	michele
batteriet	batería
gæsterne	convidados
bomben	bomba
nobel	nobre
nobel	nobel
returnerede	volveu
trail	rastro
trail	pista
bedrift	suxeitando
bedrift	a
bedrift	aguante
bedrift	logro
dynamiske	dinámica
pind	quedarei
bed	rezar
bed	rezan
bed	rezo
lou	lou
busserne	autobuses
pub	bar
usynlige	invisibles
usynlige	invisible
plastic	plásticos
plastic	os
plastic	de
plastic	plástico
besvær	problema
besvær	problemas
komponent	compoñente
mekanisme	mecanismo
athens	atenas
twin	picos
klarinet	clarinete
klarinet	o
soft	suave
landbrugs	agrícolas
landbrugs	agrícola
anonymt	anónimos
straffes	castigada
straffes	castigado
morderen	asasino
morderen	do
morderen	asasino
messenger	mensaxeiro
udvider	expansión
udvider	expande
extra	de
extra	máis
extra	extra
extra	un
palermo	palermo
næring	nutrientes
næring	nutrintes
belastning	carguen
engagerede	cometeu
engagerede	cometido
engagerede	cometiches
engagerede	cometeses
engagerede	cometer
engagerede	compromiso
engagerede	cometidos
engagerede	comprometido
engagerede	coa
håndbog	manual
stadie	escenario
stadie	etapa
stadie	no
stadie	palco
meet	con
detalje	detalle
detalje	detalles
tilbuddet	oferta
tilbuddet	ofrecer
tilbuddet	lle
tilbuddet	unha
cash	diñeiro
cash	en
cash	efectivo
cash	contado
cash	cartos
cash	suficiente
cash	cobro
cash	cobrar
installation	aparello
installation	instalación
væggene	paredes
væggene	muros
væggene	as
væggene	defensas
bogstaveligt	literalmente
stødt	atopou
kameraer	cámaras
guard	garda
guard	de
buddha	buda
con	con
duft	cheiro
duft	a
duft	ulir
duft	cheira
duft	ules
daniels	daniels
forræderi	unha
forræderi	traizón
forræderi	deslealdade
forræderi	a
krudt	tocador
kammerater	camaradas
kammerater	dos
kammerater	compañeiros
bedstemor	avoa
bedstemor	avoa
bedstemor	a
overrasket	abraiado
overrasket	sorprendidos
overrasket	sorprendeuse
overrasket	sorprendeume
overrasket	sorprende
overrasket	sorprendido
hector	héctor
beklædning	roupa
madlavning	cociñar
madlavning	cociña
madlavning	cociñando
madlavning	comida
respekteret	respectado
pegede	recomendáronme
substans	substancia
aka	alias
kasserer	caixeiro
dårligste	peores
dårligste	peor
hjemløse	sen
hjemløse	teito
lunge	pulmón
rigeligt	moito
rigeligt	chea
rigeligt	moita
rigeligt	moitas
rigeligt	xente
mobil	móbil
rebel	rebelde
rebel	rebeldes
omsorg	coidado
omsorg	importa
omsorg	igual
omsorg	me
revolutionær	revolucionario
revolutionær	revolucionaria
neptun	neptuno
tykt	groso
satser	de
killer	asasino
killer	do
leger	xogando
leger	xogar
leger	tocando
leger	tocar
hatten	sombreiro
hatten	o
hatten	chapeu
hatten	sombreiriño
erobringer	conquista
fun	ben
fun	divertido
fun	divertida
uoverensstemmelser	diferenzas
kontoret	oficina
kontoret	despacho
kontoret	correo
holiday	de
holiday	vacacións
barney	barney
øvelse	unha
øvelse	práctica
øvelse	practicar
øvelse	exercen
øvelse	perforar
øvelse	exercicio
fortjent	gañaba
lovene	leis
lovene	as
skuffelse	decepción
overbeviste	de
overbeviste	convencido
kombinationen	combinación
kombinationen	de
studerer	estudando
studerer	estudar
lions	leóns
peak	pico
løkken	acople
løkken	volta
mama	mamá
mama	nai
skatte	impostos
harmoni	harmonía
epoke	era
minh	minh
minh	vietminh
teddy	peluche
fangst	coller
fangst	pescar
fangst	collendo
draget	afogado
sommerfugle	bolboretas
hader	odio
hader	os
hader	o
hader	a
katten	gato
katten	ao
kundskab	coñecemento
kundskab	coñecía
kundskab	coñecementos
dyreliv	vida
dyreliv	salvaxe
virkeligt	real
virkeligt	de
virkeligt	verdade
fjendtlig	inimigo
fjendtlig	inimigos
majs	millo
majs	trigo
teknologien	tecnoloxía
rwanda	ruanda
entydigt	único
entydigt	únicas
dyrs	animais
dyrs	animal
brugbar	útil
brugbar	útiles
brugbar	para
ruby	ruby
fraktion	fracción
virkningen	efecto
virkningen	efectos
parat	listos
parat	lista
parat	preparados
parat	listo
parat	preparado
skæg	barbas
skæg	tipo
skæg	barba
skæg	home
massefylde	densidade
cellerne	as
cellerne	células
beskeder	mensaxes
konferencer	conferencias
katastrofen	desastre
følsomme	sensibles
følsomme	sensible
snæver	estreito
scoring	arranxar
infektioner	infeccións
infektioner	infección
omstændighederne	circunstancias
forandret	cambiou
forandret	cambiei
forandret	de
vinduet	fiestra
vinduet	xanela
vinduet	pola
pålidelige	fiables
pålidelige	fiable
fingrene	os
fingrene	dedos
dørene	as
dørene	portas
dørene	porta
seerne	espectadores
seerne	audiencia
sagfører	avogado
sagfører	fiscal
sagfører	avogado
sagfører	avogadiño
briller	lentes
briller	gafas
briller	vasos
briller	as
henvendelse	contacto
henvendelse	coñecidos
henvendelse	en
henvendelse	con
henvendelse	podo
henvendelse	contactar
aktiviteterne	actividades
forflyttet	transferido
forflyttet	trasladado
forsvarere	defensores
reaktionen	reacción
finans	finanzas
lothar	lothar
organisering	organización
organisering	sindicato
gay	homosexuais
gay	homosexual
hydrogen	de
hydrogen	hidróxeno
turde	se
turde	atreven
turde	a
lem	fuga
takker	grazas
takker	moitas
takker	grazas
takker	moitas
takker	gracias
takker	obrigado
kontrollerer	o
tvillinger	xemelgos
kjole	traxes
kjole	vestido
kjole	roupa
virtuelle	virtual
overvåge	monitor
spar	salvar
spar	aforrar
spar	salvalo
tabeller	mesas
maske	máscara
cruise	levádeme
næsen	nariz
næsen	o
næsen	no
indvirkning	impacto
indvirkning	un
indvirkning	na
indvirkning	prazo
indvirkning	efecto
indvirkning	mellora
sjælen	alma
sov	durmiu
sov	durmiches
sov	sono
sov	durmir
sov	durme
spændt	fan
spændt	emocionado
spændt	ilusionado
bal	bola
bal	bóla
bal	pelota
bal	balón
fodspor	pegada
fodspor	pequena
fodspor	pegadas
ægtemand	marido
ægtemand	home
ægtemand	o
sensor	sensor
prinsessen	princesa
muskler	músculos
muskler	os
muskler	muscular
muskler	músculo
overførte	transferido
overførte	trasladado
funktionelle	funcionais
funktionelle	funcional
visuel	visual
visuel	visuais
fede	graxos
fede	graxa
fede	gorda
fede	gordo
fede	gordos
fede	o
efterspørgslen	demanda
efterspørgslen	pido
efterspørgslen	custar
nyttigt	útil
nyttigt	útiles
nyttigt	para
nyttigt	útil
nyttigt	axuda
efterforskning	investigación
ondskab	mal
ondskab	malo
ondskab	malvado
ondskab	maldade
ondskab	malvados
sammenligner	comparar
sammenligner	comparamos
imponeret	impresionado
ringer	chama
ringer	a
ringer	por
ringer	chamando
ringer	chamar
stien	camiño
stien	senda
stien	seu
fagligt	profesionais
fagligt	profesional
fagligt	un
fagforening	unión
fagforening	sindicato
fagforening	sindicalista
fagforening	sindical
fagforening	do
macdonald	macdonald
samspil	interacción
samspil	interaccións
samspil	cós
udryddet	extinguiron
fornuftig	sensible
fornuftig	razoable
fornuftig	razoábel
cancer	cancro
cancer	o
cancer	cáncer
konsekvenserne	consecuencias
mental	mentais
mental	mental
fotografering	fotografía
fælde	trampa
fælde	boca
mærkeligt	raro
mærkeligt	estraño
mærkeligt	estraña
mærkeligt	extraño
mærkeligt	moi
mærkeligt	rara
mærkeligt	raro
pride	orgullo
pride	orgulloso
frelse	exército
frelse	de
frelse	salvacionista
frelse	salvación
sekvens	secuencia
aber	monos
rygte	reputación
rygte	sona
indenlandske	doméstica
indenlandske	caseira
ryger	cigarros
ryger	fume
ryger	fumar
ryger	para
ryger	fumo
døende	morren
døende	morte
døende	morrendo
døende	morrer
døende	moribundos
døende	por
dracula	drácula
ruin	a
ruin	ruínas
støt	apoio
støt	apoiar
støt	de
pårørende	parentes
pårørende	familiares
understreger	estrés
imødegå	mostrador
barndommen	da
barndommen	infancia
barndommen	infantís
barndommen	nenez
startende	a
startende	comezando
startende	empezando
startende	comeza
startende	tiña
startende	iniciar
startende	comezaba
startende	comezar
venezia	venecia
overførsel	transferir
overførsel	traslado
brutale	brutal
genkende	recoñecer
genkende	te
genkende	recoñecera
monkey	mono
monkey	monos
afgørelser	tomar
afgørelser	decisións
bakkerne	outeiros
cloud	nube
ritual	ritual
ritual	rituais
stolt	orgullosa
stolt	orgullosos
stolt	de
stolt	orgulloso
stolt	fachendoso
skandale	escándalo
skandale	desgraza
skandale	deshonra
majestæt	maxestade
nætter	as
nætter	noites
nætter	noite
nætter	polas
illustrerer	ilustra
dawson	dawson
helten	heroe
objektiv	obxectivo
objektiv	obxectiva
værdighed	dignidade
spot	lugar
spot	momento
spot	punto
spot	sobre
realiseret	decateime
realiseret	decatei
realiseret	decatámonos
realiseret	de
realiseret	que
realiseret	conta
realiseret	decatamos
realiseret	na
realiseret	conta
ejerne	os
blødt	desangraron
blødt	á
blødt	ao
blødt	mataron
blødt	suave
bestilling	orde
bestilling	para
bestilling	xiro
bestilling	postal
sedler	notas
skin	pel
skin	ósos
snævert	estreito
nyttig	útil
nyttig	útiles
nyttig	para
nyttig	útil
nyttig	axuda
armen	brazo
ked	triste
ked	tristes
mave	estómago
mave	o
mave	estómago
mave	ventre
mave	barriga
skyldige	culpable
skyldige	culpábel
skyldige	culpábeis
hole	buraco
hole	burato
hole	furado
hole	hole
fremlagt	a
kloge	intelixente
kloge	intelixentes
kloge	listos
kloge	moi
kloge	listo
desperate	desesperado
desperate	e
picasso	picasso
afstemninger	votos
afstemninger	votación
assisterende	axudante
assisterende	asistente
assisterende	de
assisterende	axudante
follow	seguir
follow	seguen
follow	siga
caribiske	caribe
slaveriet	escravitude
linie	liña
linie	fila
firkantet	cadrado
firkantet	square
firkantet	cadradas
firkantet	praza
firkantet	limpo
bassin	piscina
bassin	a
visdom	a
visdom	sensatez
visdom	sabiduría
visdom	sabedoría
lotto	lotería
lotto	de
lotto	lotaría
lykkeligt	e
leopard	leopardo
drik	beber
drik	bebe
drik	copa
indenrigs	doméstica
indenrigs	caseira
stilhed	silencio
stilhed	o
spiste	comemos
spiste	comín
spiste	comeu
spiste	comiches
spiste	hoxe
observere	observar
søstrene	irmás
antropologi	antropoloxía
rhodos	rhodes
fagforeninger	sindicatos
rødderne	as
rødderne	raíces
duel	duelo
overset	de
overset	menos
interviewet	entrevista
interviewet	unha
interviewet	entrevisto
drikker	auga
drikker	café
drikker	bebendo
drikker	beber
drikker	beber
drikker	bebe
drikker	copa
sjæle	almas
elsket	me
elsket	queridos
elsket	amas
elsket	amaba
elsket	encantábache
elsket	amado
