小牛	vasika
辣椒	pepper
辣椒	pipart
辣椒	pipar
賭場	kasiinod
賭場	kasiino
國徽	vapp
悲劇	traagiline
悲劇	tragöödia
鎖定	lukku
鎖定	luku
鎖定	lukk
鎖定	lukus
鎖定	lukustatud
租金	rentimine
租金	rendi
租金	üür
租金	üüri
租金	laenutada
租金	rent
租金	rendib
光輝	särav
光輝	säravad
喀麥隆	kameruni
誤解	arusaamatus
誤解	arusaamatusi
彎曲	kumer
彎曲	painutada
溫暖	soojad
溫暖	sooja
溫暖	soe
溫暖	soojus
解剖	anatoomia
解剖	lahkamise
解剖	lahkamine
手套	kindad
手套	kinnas
手套	kinda
硬幣	mündid
硬幣	münt
硬幣	mündi
朝代	dünastia
你好	tere
你好	hello
皂	seep
承包商	töövõtjate
承包商	töövõtja
草坪	muru
方舟	ark
編譯	koostada
編譯	koostatud
編譯	koostamine
鉛	plii
鞭	piitsa
鞭	whip
錐	koonus
界定	defineeri
界定	määratleda
界定	määratlemine
氣溫	temperatuur
氣溫	temperatuuri
氣溫	temperatuurid
日光	päevavalgust
馬賽	marseille
彈性	paindlik
彈性	paindlikud
彈性	paindlikkus
彈性	elastne
彈性	flex
長老	vanem
野牛	buffalo
野牛	bison
特許	soodustused
特許	kontsessiooni
盾牌	kilp
盾牌	kilbid
走私	salakaubaveo
走私	salakaubana
紀念館	memorial
戒指	rõngas
戒指	ring
戒指	sõrmuse
戒指	sõrmus
戒指	sõrmused
戒指	ringid
戒指	rõngad
祭司	preester
乘法	korrutamine
繪圖	kaardistamise
繪圖	joonised
繪圖	joonistused
繪圖	graafika
繪圖	joonis
繪圖	joonistamine
乙酸	atsetaat
大屠殺	veresaun
大屠殺	veresauna
大屠殺	tapatalgud
大屠殺	holokausti
食堂	söökla
食堂	kohvik
劫持	inimrööv
劫持	röövimine
劫持	kaaperdada
劫持	kaaperdamine
誓	vanne
損壞	rikutud
損壞	vigastatud
損壞	kahjustatud
損壞	kahjustunud
損壞	kahjustus
損壞	kahju
損壞	kahjustused
損壞	kahjutasu
專長	nišš
專長	eriala
專長	eriala
羅素	russell
基底	substraat
基底	keldris
基底	kelder
骨架	skeleti
骨架	luukere
骨架	karkass
更正	parandused
更正	parandus
更正	korrigeerimine
更正	korrektsioon
更正	parandused
更正	parandamine
密西西比州	mississippi
標語	loosungid
標語	loosung
摩天大樓	pilvelõhkuja
雙邊	kahepoolselt
雙邊	kahepoolsed
雙邊	kahepoolne
迷失	eksinud
迷失	kaotas
迷失	kadunud
迷失	kaotatud
警務	politsei
仙女座	andromeeda
橘子	orange
橘子	apelsin
橘子	oranž
橘子	apelsinid
死亡率	suremus
歌聲	laulmine
症候群	sündroom
布加勒斯特	bukaresti
污水	heitvee
污水	reovee
污水	kanalisatsioon
存款	hoiused
獨裁	autokraatia
獨裁	diktatuuri
獨裁	diktatuur
宮廷	palee
宮廷	palace
想象	kujutlusvõime
想象	kujutlus
想象	kujutle
祈禱	palvetama
祈禱	palvetada
祈禱	palveta
祈禱	palve
祈禱	palved
祈禱	palvetanud
祈禱	palveid
祈禱	palved
相容	ühilduvad
相容	ühilduvus
廚師	peakokk
廚師	kokk
廚師	cook
廚師	kokk
天王星	uraan
天王星	uraani
王冠	krooni
王冠	crown
王冠	kroon
營養	toitumine
營養	toitumise
營養	toitainete
愛媛	ehime
凝聚	ühtekuuluvus
橡膠	kumm
橡膠	kummist
橡膠	kummi
教義	õpetused
教義	creed
教義	doktriin
扳機	päästikule
扳機	päästik
探險	ekspeditsioonid
探險	seiklus
探險	seiklused
探險	ekspeditsioon
區塊	plokid
區塊	plokkide
區塊	kvartalit
區塊	plokk
區塊	bloki
區塊	blokk
區塊	block
地道	tunnel
地道	tunnelid
所羅門	solomon
所羅門	saalomoni
腕	ranne
腕	randme
附上	kaasamine
機長	kapten
聲援	solidaarsus
核子	tuuma
核子	tuumaenergia
殘餘	jäänuk
莖	varre
莖	tüvi
雨林	vihmametsade
雨林	vihmametsa
廢棄	hülgamine
廢棄	loobumine
廢棄	mahajäetud
廢棄	hüljatud
檢視	vaatamine
檢視	vaade
學說	doktriin
大提琴	tšello
加熱	kuumus
加熱	soojus
加熱	soojuse
加熱	küte
加熱	kütte
加熱	kuumutatud
還原	taastamine
還原	taasta
暴風	torm
暴風	tormi
暴風	storm
巴頓	patton
華沙	varssavi
誘惑	kiusatus
掃描	skaneerimise
掃描	skaneerib
法典	codex
法典	koodeks
壺	pada
壺	potti
壺	pott
壺	kann
壺	kannu
電報	telegrammi
電報	telegramm
電報	telegraafi
蒸	aurutatud
升降機	liftid
升降機	lift
城牆	seinad
芭蕾舞	balletti
芭蕾舞	ballett
諾曼	norman
環礁	atoll
斐濟	fidži
潛在	potentsiaal
潛在	potentsiaali
呼叫	kõne
呼叫	helistamine
硝酸	nitraatide
嵌入	põimitud
出血	veritsus
出血	verejooks
烤	küpsetada
口腔	suu
口腔	suuline
口腔	suukaudse
港灣	harbori
港灣	sadam
港灣	harbour
時鐘	kellad
時鐘	kell
時鐘	kella
牽引	veojõu
論點	väited
論點	argumendid
論點	argument
論點	argumendi
左邊	vasak
左邊	vasakule
左邊	vasakul
勇氣	julgus
勇氣	julgust
勇氣	vaprus
天線	antenn
天線	antennid
天線	antenni
天線	antenn
絕望	meeleheide
摩納哥	monaco
格言	moto
格言	maksim
腐	mädanema
伏特	volt
敵對	vaenulikkus
敵對	vaenulik
敵對	vaenulikud
卡賓槍	karabiin
出處	päritolu
電磁	elektromagnetiline
瘋	hull
瘋	hullud
金子	kuld
金子	kulda
金子	kullast
贏	win
贏	võida
開除	vallandamise
災害	katastroofide
災害	katastroof
災害	katastroofi
持久	vastupidav
持久	kestev
持久	kestev
字元	karakter
字元	iseloomu
字元	tegelane
字元	iseloom
字元	märgid
字元	tegelased
晚餐	õhtusöök
晚餐	õhtusöök
捐助	annetused
捐助	annetusi
濕地	märgalad
濕地	märgala
東正教	õigeusu
燕子	neelata
鄰居	naabrid
鄰居	naabrid
鄰居	naaber
會計師	raamatupidaja
橢圓	ovaalne
橢圓	ellips
橢圓	elliptilised
追逐	jälitamine
追逐	tagaajamine
追逐	chase
追逐	tagaajamine
君士坦丁	constantine
美式足球	jalgpall
天然氣	gaas
天然氣	gaasi
天然氣	bensiin
方塊	cube
方塊	kuubik
方塊	kuubiku
方塊	ruudu
方塊	ruut
方塊	väljak
均衡	tasakaalustatud
均衡	saldo
均衡	tasakaalu
均衡	tasakaal
均衡	bilanss
均衡	tasakaalustamise
均衡	tasakaalustamine
均衡	tasakaalustavad
均衡	tasakaal
叢林	džungel
慶典	tähistamine
藏文	tiibeti
色素	pigmendi
膝	põlv
膝	põlve
膝	põlved
保管	hooldusõiguse
院系	teaduskondade
省長	prefekt
省長	kuberner
粗糙	karm
激情	kirglik
激情	kirge
激情	kirg
珍貴	hinnaline
嚴厲	karm
門票	piletid
門票	pilet
毒素	toksiini
毒素	toksiinide
轎車	sedaan
轎車	limusiin
轎車	limusiin
俄亥俄	ohio
獅子座	leo
經濟學家	majandusteadlane
經濟學家	majandusteadlased
輸送	konveieri
約瑟	joseph
約瑟	joosep
愛心	hoolitsev
愛心	hooliv
約旦	jordan
約旦	jordaania
性行為	seksuaalsus
性行為	sugu
性行為	seks
性行為	sex
地下室	keldris
地下室	kelder
昨天	eile
佛法	dharma
詳情	detaili
詳情	detail
詳情	üksikasjad
詳情	detailid
詳情	üksikasjad
生殖	reproduktiivse
生殖	paljundamine
十個	kümme
十個	ten
交配	mate
交配	paaritumist
冰球	hoki
投射	projektsioon
漢城	soul
酸性	happeliste
酸性	hape
酸性	happe
酸性	happesuse
展望	väljavaade
展望	väljavaated
展望	nägemus
展望	visioon
展望	nägemine
多明尼加	dominikaani
週年紀念	aastapäeva
週年紀念	aastapäev
世系	laskumine
猴子	ahv
猴子	pärdik
抬	tõsta
抬	lift
抬	tõste
歐文	owen
歐文	irving
俄文	vene
俄文	venelane
基層	rohujuuretasandi
揭示	paljastavad
揭示	paljastab
反駁	kummutada
前景	väljavaade
前景	prospekt
前景	teadmised
前景	väljavaated
前景	väljavaateid
妄想	paranoiline
妄想	paranoia
成年人	täiskasvanu
成年人	täiskasvanud
成年人	täiskasvanud
冬青	holly
空前	enneolematu
大炮	kahur
大炮	suurtükivägi
明智	tark
抽籤	joonistada
抽籤	loosimine
抽籤	viik
椅	toolid
椅	tool
椅	tooli
聖人	pühakud
聖人	pühakute
聖人	pühak
聖人	saint
阿瑟	arthur
阿瑟	artur
捕獲	püüdmine
捕獲	jäädvustades
捕獲	püüab
聽眾	kuulaja
蒜	küüslauk
居所	elukoht
居所	elukoha
居所	elamine
優點	eeliseid
優點	eelised
優點	eelis
思維	mõtlemine
思維	mõeldes
思維	mõtled
思維	mõtleb
計程車	takso
布魯塞爾	brüssel
失業	töötud
失業	töötu
失業	tööpuudus
失業	töötus
砷	arseeni
野生動物	metsloomade
天花	rõuged
水路	veetee
水路	veeteede
昂貴	kallid
大麻	kanep
大麻	marihuaana
大麻	kanep
大麻	puru
可疑	kahtlane
小丑	kloun
抗生素	antibiootikumid
抗生素	antibiootikum
專營	frantsiisi
關島	guami
字面	sõnasõnaline
自轉	rotatsiooni
自轉	pööramine
大通	chase
大通	tagaajamine
破碎	katkised
破碎	katki
破碎	murtud
破碎	murdunud
破碎	purustatud
破碎	purunenud
語氣	toon
語氣	tooni
老年	vanem
老年	vanemad
隔離	eraldatus
隔離	eraldamine
隔離	isolatsioon
隔離	isolatsiooni
隔離	karantiini
隔離	karantiin
隔離	segregatsiooni
隔離	eraldamine
隔離	isoleeritud
隔離	eraldatud
砸	puruks
生病	haige
生病	haiged
生病	haige
生病	haigeks
中位數	keskmine
中位數	mediaan
摔跤	maadelda
摔跤	maadlus
高爾夫球	golf
證書	sertifikaadid
證書	tunnistused
證書	sertifikaat
證書	tunnistus
山脊	ridge
佈局	paigutus
日產	nissan
拳擊	poks
拳擊	poksi
青蛙	konnad
青蛙	konna
青蛙	konn
面板	paneeli
面板	paneel
高效	efektiivne
高效	tõhus
高效	tõhusad
高效	efektiivselt
高效	tõhusalt
探險家	maadeavastaja
探險家	uurijad
拖延	viivitus
拖延	viivitused
拖延	viivitusi
伴隨	kaasas
伴隨	kaasas
骨灰	tuhk
安息	rip
預留	reserveeritud
商家	kaupmees
商家	kaupmehed
執照	litsentside
執照	litsentsid
執照	litsentsid
執照	litsents
執照	litsents
執照	load
煩惱	mured
煩惱	probleemid
鮑威爾	powell
脊椎動物	selgroogsete
混合物	segu
混合物	segud
粉紅色	roosa
粉紅色	roosad
先例	pretsedendi
先例	pretsedent
頸部	kaela
頸部	kael
脆弱	habras
脆弱	haavatav
脆弱	haavatavad
定制	kohandamine
定制	kohandatud
火花	sparks
火花	säde
脈衝	kaunviljad
脈衝	pulss
脈衝	impulss
莽	mang
電器	seadmed
客房	toad
客房	ruumid
協和	concord
伸展	venitada
伸展	venib
餐飲	toitlustus
亞馬遜	amazon
眼淚	pisar
眼淚	pisarad
特赦	amnesty
特赦	amnestia
電影院	teater
電影院	kino
休假	jäta
海牙	haagi
口音	aktsent
領導者	liider
領導者	juht
領導者	leader
領導者	liidrid
領導者	juhid
言語	sõnad
言語	sõnu
肢	jäseme
肢	jäsemed
王座	troon
王座	trooni
容忍	hälve
容忍	sallivust
容忍	talutav
四重奏	quartet
偏好	eelistus
偏好	eelistatud
偏好	soodustused
偏好	eelistused
糖果	maiustusi
糖果	komm
糖果	kommi
糖果	candy
山寨	suvila
擾動	häired
利潤	kasum
利潤	tasuvus
利潤	kasum
利潤	kasumid
範例	paradigma
範例	näited
範例	näiteid
範例	näidis
範例	näide
弊	vangid
施政	valitsemine
施政	juhtimine
切換	lülitamine
切換	vaheta
切換	lüliti
琮	cong
瘟疫	katk
瘟疫	katk
公關	publitsist
海邊	rannik
海邊	mereäärne
奔跑	jookseb
奔跑	jooksmine
奔跑	joostes
奔跑	jooksmas
括號	sulgudes
震驚	šokk
震驚	šokeeritud
貨櫃	konteiner
貨櫃	mahuti
貨櫃	konteinerid
貨櫃	konteinerite
貨櫃	mahutid
協作	koostöö
郵件	mail
郵件	post
郵件	kirjad
郵件	posti
無視	eiramine
無視	ignoreeritakse
無視	eirata
無視	eiratakse
無視	eiramine
無視	eiramine
無視	ignoreerides
無視	eirates
代理人	asendajad
代理人	agendid
代理人	agent
材質	materjal
美味	maitsev
美味	maitsvad
美味	maitsev
虧損	kahjum
虧損	kaotus
虧損	kahjum
虧損	kaod
虧損	puudujääk
熔	lagunemine
熔	sulatada
口袋	tasku
蜜蜂	mesilased
蜜蜂	mesilane
蜜蜂	bee
吸入	sissehingamisel
瑜伽	jooga
安第斯山脈	andid
硫磺	väävel
硫磺	väävel
硫磺	väävli
茉莉	molly
療法	teraapia
療法	ravi
療法	ravile
注意力	tähelepanu
狐狸	rebane
狐狸	rebase
狐狸	fox
石灰岩	lubjakivi
閏	hüpe
站立	seisa
風車	tuuleveski
風車	tuuleveskid
同化	assimileerida
同化	assimilatsiooni
對峙	vastasseis
對峙	vastasseis
鍋	pada
鍋	potti
鍋	pott
職責	tollimaks
職責	tollimaksud
職責	kohustused
孵化	koorunud
孵化	luuk
大連	dalian
文藝復興	renessanss
忠誠	ustav
忠誠	lojaalsed
忠誠	lojaalne
忠誠	ustavus
忠誠	lojaalsust
忠誠	lojaalsus
忠誠	truu
祖國	kodumaa
祖國	isamaa
祖國	kodumaa
祖國	isamaa
休士頓	houston
舍利	cheri
供電	elektrienergia
供電	elekter
四肢	jäsemed
莎莉	sally
視窗	aknad
視窗	windows
視窗	aken
視窗	akna
抗原	antigeeni
抗原	antigeenide
老化	vananemine
老化	vananemise
老化	vananemine
多哈	doha
守護者	eestkostja
守護者	hooldaja
守護者	kaitsja
守護者	valvur
守護者	kaitsjad
守護者	valvurid
仇恨	vihkamine
仇恨	vihkamist
仇恨	viha
仇恨	vihkamine
矮人	kääbus
矮人	päkapikk
不規則	ebaregulaarne
菩提	bodhi
穩定性	püsivus
穩定性	stabiilsus
混沌	kaos
鑰匙	võtme
鑰匙	key
鑰匙	võti
世襲	pärilik
櫻桃	kirss
櫻桃	kirsi
櫻桃	cherry
櫻桃	kirsid
執事	deacon
哀悼	kaastunne
哀悼	leina
摩托車	mootorratas
摩托車	mootorratta
摩托車	mootorrattad
加重	raskendavad
地雷	kaevandused
地雷	miinid
安慰	mugavus
空手道	karate
乾燥	kuivaks
乾燥	kuivad
乾燥	kuiv
乾燥	kuivatamine
點數	krediit
點數	krediidi
點數	punktid
警示	hoiatus
警示	häire
潛力	potentsiaal
潛力	potentsiaali
勞倫斯	lawrence
班級	klassid
班級	tunnid
班級	klass
班級	klassi
低溫	hüpotermia
奧斯汀	austin
送出	saada
管理者	manager
管理者	juhataja
管理者	haldur
管理者	haldajad
管理者	juhid
哈桑	hassan
委派	loovutamine
聚焦	keskendudes
聚焦	keskendumine
聚焦	fookus
聚焦	fookuses
全景	panorama
佐賀	saaga
佛羅里達	florida
工地	saidi
工地	ala
比丘	picchu
腎	neerud
腎	neeru
腎	neerud
腎	neeru
腎	neer
波恩	bonni
鈎	konksu
鈎	konks
大修	kapitaalremondi
觸發	päästikule
觸發	päästik
觸發	käivitatud
香水	lõhnaainete
香水	lõhna
香水	parfüüm
香水	parfüümi
美式	ameeriklane
美式	ameerika
美式	american
診所	kliinik
大膽	julge
大膽	rasvane
胚胎	embrüo
胚胎	embrüo
胚胎	embrüod
感知	ettekujutus
感知	taju
感知	tajuvad
感知	arusaamade
違規	rikkumine
鈣	kaltsium
鈣	kaltsiumi
民主化	demokratiseerimise
關節	ühine
關節	ühise
關節	liigeste
煤礦	süsi
煤礦	kivisüsi
學期	poolaasta
學期	semestri
學期	mõiste
學期	termin
侵蝕	erosiooni
後勤	logistika
後勤	logistiline
固體	tahke
固體	tahked
固體	tahked
寄宿	elamu
鼻子	nina
鼻子	ninna
瓷器	portselanist
諜	spioon
訂單	tellimus
訂單	kord
訂單	järjekord
訂單	korraldus
訂單	ordu
訂單	korraldused
訂單	käsud
訂單	tellimused
特權	privileeg
特權	privileegid
特權	õigused
漁民	kalurid
漁民	kalurid
漁民	kalamees
水解	hüdrolüüsi
痕跡	jäljed
痕跡	traces
猩猩	gorilla
猩猩	ahv
證人	tunnistajad
證人	tunnistaja
日內瓦	genfi
日內瓦	genfis
梅森	mas
梅森	mason
本體	ontoloogia
女巫	nõid
擁抱	kallistus
擁抱	kalli
西邊	west
西邊	lääs
西邊	lääne
出國	välismaale
出國	välismaal
陣列	massiivi
耐心	kannatust
耐心	kannatlikkust
耐心	kannatus
紡織	tekstiil
紡織	tekstiili
紡織	tekstiil
紡織	tekstiili
潛水	sukeldumine
潛水	sukelduda
合法性	legitiimsuse
合法性	seaduslikkuse
合法性	seaduslikkuse
竇	siinuse
竇	koera
竇	koer
吸引力	atraktiivsust
吸引力	külgetõmme
吸引力	veetlev
吸引力	atraktiivne
甘蔗	kepp
甘蔗	cane
甘蔗	suhkruroo
哭泣	nutta
哭泣	nutma
哭泣	nuta
哭泣	nutab
哭泣	nutt
賭博	hasartmängud
賭博	hasartmängude
賭博	gamble
功效	tõhusus
功效	efektiivsus
成型	moodustades
腫瘤	kasvaja
腫瘤	kasvaja
紀律	distsipliini
紀律	distsipliin
紀律	distsipliinide
酷刑	piinamine
口服	suuline
口服	suukaudse
廣東話	kantoni
嚴謹	range
嚴謹	ranged
三叉戟	kolmhark
仰光	yangon
豁免	vabastus
豁免	immuunsuse
豁免	puutumatus
豁免	immuunsus
豁免	erandid
史詩	eepiline
推斷	tuletatud
暹羅	siiami
暹羅	siiami
刪去	kustuta
刪去	kustutamine
礦物	mineraalid
礦物	mineraal
麻醉	narkoosi
加深	süvendamist
加深	süvendada
加深	süvenenud
攝政	asevalitseja
芳香	aromaatsed
芳香	aromaatsete
芳香	lõhna
芳香	aroom
民謠	rahvas
服務業	teenused
守衛	valvurid
守衛	valvur
氣球	õhupalli
氣球	õhupall
氣球	õhupallid
籃板	reb
倫理	eetiline
倫理	eetika
一幕	stseen
一幕	stseeni
摸	puuduta
摸	katsuda
摸	puudutus
摸	puutu
投放	tarne
投放	kohaletoimetamine
神學院	seminari
瀋陽	shenyang
艾瑪	emma
類比	analoogset
類比	analoog
類比	analoogia
雅加達	jakarta
通宵	üleöö
對照	kontrasti
膨脹	laiendamine
膨脹	laienemine
營利	kasum
營利	tasuvus
良心	südametunnistus
位移	veeväljasurve
招標	pakkumise
招標	pakkumine
招標	hange
波羅的海	baltic
波羅的海	balti
波羅的海	läänemere
雨傘	vihmavari
花生	pähkel
花生	pähkleid
閃光	flash
閃光	välk
和弦	akordid
子爵	vikont
子爵	vikont
削減	lõikamine
削減	lõika
削減	lõigatud
視察	ülevaatus
視察	kontrollimine
髮型	karvad
髮型	soeng
髮型	juuksed
髮型	soeng
里根	reagan
叛變	mäss
殘酷	julm
殘酷	julmus
殘酷	jõhker
牧場	karjamaa
單身	üksik
單身	ühtne
單身	valla
單身	ühtse
單身	ühekordne
單身	vallaline
大自然	loodus
犀	sarvik
九個	üheksa
雇用	palgata
雇用	palka
悲傷	kurbus
悲傷	kurbust
悲傷	kurb
僧侶	monk
僧侶	munk
僧侶	mungad
恐嚇	hirmutamine
沒收	konfiskeerimise
沒收	konfiskeeritud
粉紅	roosa
粉紅	roosad
反向	tagurpidi
反向	vastand
反向	vastupidine
原油	töötlemata
浴	vanni
浴	vann
感恩	tänud
感恩	tänulik
感恩	tänulik
感恩	tänulikud
感恩	tänupüha
生氣	vihane
星期天	pühapäeviti
星期天	pühapäev
塵埃	tolmu
塵埃	tolm
平滑	tõrgeteta
平滑	sujuv
平滑	mahe
平滑	sile
平滑	pehmendamine
加速器	kiirendi
弩	amb
側面	tiib
穆爾	moore
薄弱	nõrkus
薄弱	nõrk
薄弱	nõrga
薄弱	nõrgad
指明	täpsustada
謊言	valeta
謊言	valed
宙斯	zeusi
宙斯	zeus
野獸	elukas
野獸	koletis
填充	täitmine
填充	täida
起因	põhjused
起因	põhjustab
水分	niiskus
縫	õmmelda
縫	õmblemine
高分子	polümeerid
高分子	polümeeri
反省	peegeldus
敲	kopp
頂端	top
頂端	ülal
頂端	ülalt
頂端	ülemine
角落	nurk
角落	nurka
角落	nurgad
郵輪	cruises
燈光	tuled
燈光	hele
燈光	valgus
燈光	valgust
燈光	kerge
瑪利亞	maria
抗衡	vastukaaluks
太陽能	päikese
太陽能	päikeseenergia
儲備	reservid
儲備	reserve
儲備	varu
儲備	reserv
儲備	reservi
反對派	vastulause
反對派	opositsiooni
反對派	vastuseis
反對派	opositsioon
舵	tüür
舵	tüüri
池塘	tiigi
池塘	tiik
池塘	tiiki
講話	sõnavõtt
講話	kõne
離任	väljuvad
離任	väljuv
激發	inspire
激發	stimuleerida
禁忌	tabusid
禁忌	keelatud
禁忌	tabu
假說	hüpotees
邪教	kultus
醚	eeter
醚	eetrid
孢子	eosed
榮耀	hiilgus
偽裝	maskeering
鳩	tuvi
叛軍	mässuliste
叛軍	mässaja
家園	kodumaa
波動	kõikumine
波動	lenduvate
波動	kõikumised
層次	kihid
層次	taseme
層次	tase
層次	tasand
矽	räni
繡	tikitud
匹茲堡	pittsburghi
笨	rumal
笨	loll
少了	vähem
康復	paranemine
康復	taastusravi
康復	taastumine
康復	taaskasutamine
大院	ühendid
大院	ühend
布希	bush
布希	põõsas
莊園	mõis
欺騙	petta
欺騙	peta
欺騙	petmine
欺騙	pettus
磁性	magnet
磁性	magnetism
內政	sisustus
內政	sisemus
內政	interjöör
花朵	lilli
花朵	lilled
花朵	lill
花朵	õis
花朵	lilleke
造訪	külas
炸藥	dünamiit
炸藥	lõhkeaine
炸藥	lõhkeained
炸藥	lõhkeainete
炸藥	lõhkeaine
皮革	nahk
皮革	nahast
徒弟	õpipoiss
下限	korrus
下限	põrand
牛仔	kauboi
親戚	sugulane
親戚	suhteline
親戚	sugulased
橢圓形	ovaalne
追查	jälitamine
追查	jälgimine
疑慮	kahtlus
疑慮	kahtlused
上學	kooli
上學	koolis
上學	kool
路線圖	tegevuskava
窯	ahjudes
窯	ahjud
窯	ware
窯	ahju
乳房	rind
乳房	rinnanäärme
乳房	rinnaga
乳房	rinnad
正宗	autentne
流血	veritsus
流血	verejooks
凍	külmutamine
諾亞	noa
諾亞	noah
感興趣	huvilistel
感興趣	huvitatud
館長	kuraator
偷偷	hiilida
毫克	milligrammi
骨折	luumurdude
骨折	mõra
骨折	mõranenud
泳池	bassein
泳池	basseini
舉例	näited
舉例	näiteid
黏	kleepuv
灰姑娘	tuhkatriinu
牙買加	jamaica
主宰	domineerida
迦太基	kartaago
渡假	puhkus
偏差	hälve
偏差	kõrvalekalle
偏差	bias
陰影	varjud
陰影	varju
陰影	vari
陰影	varju
驚訝	üllatunud
驚訝	üllatas
鱷魚	krokodill
殘骸	vrakk
幾內亞	guinea
籽	seemned
籽	seeme
付款	väljamakse
付款	väljamaksed
付款	väljamaksete
付款	maksa
付款	maksed
付款	tasumine
付款	maksmine
付款	makse
白銀	hõbeda
白銀	silver
白銀	hõbe
水牛	buffalo
面部	näo
各部	ministeeriumid
共生	sümbioosi
厭惡	vastumeelsus
孫子	lapselaps
孫子	lapselapsed
孫子	lapselaps
孫子	pojapoeg
黑幫	gangster
黑幫	gängster
黑幫	jõugud
師父	meister
師父	õpetaja
師父	peremees
師父	isand
寶寶	kallis
寶寶	beebi
線索	vihje
線索	vihjed
車庫	garaaž
車庫	garaaži
綠黨	rohelised
無畏	kartmatu
損傷	vigastus
損傷	kahjustus
損傷	kahju
損傷	kahjustused
缺口	lünki
缺口	lüngad
缺口	lõhe
列舉	loendamine
精華	olemus
分流	diversioon
蟒	pythoni
發起人	algataja
口語	räägitud
口語	rääkinud
力學	mehaanika
工匠	käsitööliste
工匠	käsitöömeister
處罰	karistus
處罰	karistused
處罰	sanktsioonid
處罰	karistus
處罰	karistuse
名聲	mainet
名聲	maine
名聲	reputatsioon
序幕	proloog
醋	äädikas
代理商	agentuur
代理商	agentuuri
代理商	amet
代理商	agendid
代理商	agent
舒適	mugavus
舒適	mugav
舒適	mugavad
舒適	mugav
嘲笑	narri
充電	süüdistus
充電	laeng
充電	laadimine
鎳	nikli
飛翔	fly
飛翔	lenda
飛翔	lennata
飛翔	lendama
飛翔	kärbes
飛翔	lendamine
飛翔	lendavad
礦業	kaevandamine
地勢	maastik
人馬座	ambur
谷地	org
谷地	oru
谷地	valley
桃子	virsikud
桃子	virsiku
電纜	kaablid
電纜	kaablid
電纜	kaabel
蝨	täid
蝨	täide
蝨	täi
田野	põllud
田野	väljad
腐敗	korrumpeerunud
腐敗	korruptsioon
少數民族	vähemuste
少數民族	vähemus
少數民族	vähemuste
少數民族	vähemused
無聊	igav
無聊	igav
造船廠	laevatehas
女朋友	sõbranna
女朋友	tüdruksõber
顎	lõualuu
酒館	kõrtsi
酒館	kõrtsis
酒館	kõrts
酒館	pubi
政治學	poliitikast
政治學	poliitika
飛碟	ufo
草甸	aasad
供給	varustamine
供給	tarne
請願	petitsiooni
荒漠	kõrb
荒漠	kõrbed
潟湖	laguun
鹿角	sarved
先天	kaasasündinud
偽造	võltsimine
偽造	sepistatud
偽造	võltsimine
鹿特丹	rotterdami
