வலைப்பூக்கள்	tinklaraščių
தகராறு	ginčas
தகராறு	ginčai
சர்க்கஸ்	cirko
சர்க்கஸ்	cirkas
சகிப்புத்தன்மை	tolerancija
சகிப்புத்தன்மை	tolerancijos
அன்பளிப்பு	dovana
ஹீரா	hera
மோரி	mori
மண்ணெண்ணெய்	žibalo
அல்ட்ரா	ultra
அழுகிய	supuvę
நிருபர்	žurnalistai
நிருபர்	žurnalistas
டோரதி	doroti
குளவி	vapsvos
கூல்	jėga
கூல்	kietai
பிரமிடுகள்	piramides
பெருமையுடன்	išdidžiai
தினார்	dinaras
பீல்	žievelės
ஜூலியட்	džiuljeta
சாத்தியமற்றது	neįmanoma
செபாஸ்டியன்	sebastianas
பழக்கமான	pažįstamas
பழக்கமான	matytas
வண்ணமயமான	spalvinga
லெக்	lekas
குர்	gurų
ஓத	potvynių
சிறுநீரகங்கள்	inkstai
பீமா	bhyma
ஜாம்	uogiene
ஸ்டோர்	laikyti
ஸ்டோர்	parduotuvė
டூன்	toon
ஹேஸ்	dis
முள்ளெலி	ežys
சூனியம்	magija
டால்ஸ்டாய்	tolstojus
லினோலெனிக்	linoleno
உஸ்மான்	usman
காலக்கெடு	tvarkaraštį
தேள்	skorpionas
ஃபில்	filai
புத்ரா	putra
வசிப்பிடம்	gyventi
சர்வாதிகாரம்	diktatūra
சர்வாதிகாரம்	diktatūros
பனம்	palmyros
பிஸ்மார்க்	bismarkas
உத்தரகண்ட்	utarakhandas
விளையாட்டைப்	žaisti
விளையாட்டைப்	groti
டிரினிட்டி	trinity
கேனரி	kanarų
கத்தரிக்காய்	baklažanų
தடுப்பிகள்	inhibitorius
யூதாசு	judas
தளர்வு	poilsis
தளர்வு	atsipalaidavimo
சண்டையிடும்	kovoti
நியூட்ரினோ	neutrino
மென்மை	minkštas
மென்மை	minkšta
மென்மை	lengvesnis
விழாவுக்கு	fest
ரியால்	rialas
யுன்	yun
மறைத்தல்	slepiasi
பெறுநர்	gavėjas
பெறுநர்	gavėjas
பெறுநர்	imtuvas
அசிரிய	asirų
விரிவுரைகள்	paskaitos
மர்லின்	marilyn
தொற்றும்	užkrečiama
மரியாதையை	pagarba
சொற்பொருளியல்	semantika
மடக்கு	linijos
மேன்மையான	super
காயங்களை	žaizdos
அண்டங்கள்	sėklidės
இளமையான	jauniausias
அன்பான	mylėti
முதியவர்கள்	senoliai
ஒன்றிணைப்பு	concatenation
ஸ்பியர்ஸ்	spears
நொந்து	sudegintas
ரூசோ	russo
டோகோ	togas
டிக்கி	tikis
தூலியம்	tulis
அன்போடு	apsėstas
லாட	pasaga
ஒலிம்பிக்ஸ்	žaidynėse
தடுக்கப்பட்டது	užblokuotas
மதச்சார்பற்ற	pasaulietinės
பேஸ்புக்	facebook
கியான்	gyan
போலீசார்	policija
போலீசார்	policininkai
ஃபிரீமன்	frimanas
யெரெவான்	erewan
இலட்சுமணன்	lakšmana
பதூதா	batuta
படிக்கட்டு	laiptai
படிக்கட்டு	laiptų
தீமைகள்	pliusų
தீமைகள்	blogis
தீமைகள்	blogio
நாஸ்	nas
வெளியீட்டாளர்கள்	leidėjai
ஓமன்	omanas
செழிப்பு	klestėjimas
செழிப்பு	gerovės
செழிப்பு	gerovė
நைலான்	nailono
அவுன்ஸ்	uncijos
விவரணம்	apibūdinimas
பம்ப்	siurblys
பம்ப்	pompa
சுவாரசியமான	įdomu
சுவாரசியமான	įdomus
துன்புறுத்தல்	persekiojimo
துன்புறுத்தல்	priekabiavimas
வேலைநிறுத்தம்	streikas
கத்திகள்	peilius
கத்திகள்	peiliai
இம்சை	kankinimai
இம்சை	kankinimus
கணி	apskaičiuoti
மித்ரா	mitra
ஜென்னா	džena
பால்டிமோர்	baltimorės
கங்காரு	kengūra
குர்திஸ்தான்	kurdistano
டார்	deguto
ஏமாற்றும்	apgaudinėja
அழுகை	verkti
அழுகை	verkia
கிப்ளிங்	kiplingas
தப்பு	kaltė
சிஞ்சியாங்	sindziango
மோரிஸ்	morris
ராட்	rodai
தொகுப்பி	kompozitorius
தளர்வான	techninis
பைக்	lydeka
பைக்	dviratis
பன்	bun
யென்	jenų
தேரா	tera
வெளியிடு	publikuoti
வெளியிடு	paskelbia
அல்பேனிய	albanų
அல்பேனிய	albanijos
கேப்ரியல்	gabriel
இனிமையாக	sweet
இனிமையாக	saldus
இனிமையாக	miela
தூக்கில்	pakartas
சாப்பாடு	maistas
சாப்பாடு	miltų
சாப்பாடு	miltai
ஹராம்	haram
கட்டுக்கதை	mitas
தகர	alavo
லென்	len
கர்டிஸ்	kurtas
கர்டிஸ்	kurtis
கர்டிஸ்	kurti
ஸ்டெயினர்	steiner
வில்லிஸ்	willis
டொயோட்டா	toyota
மிருதுவான	gaivus
தூக்கும்	kėlimo
நிபந்தனையற்ற	besąlygiškai
கருத்துகளில்	komentarai
கருத்துகளில்	pastabas
கருத்துகளில்	pastabos
கருத்துகளில்	komentaruose
நேர்த்தி	elegancija
ஏணி	kopėčios
ஏணி	kils
சோதிக்கப்பட்டது	išbandyta
சோதிக்கப்பட்டது	tiriami
சோதிக்கப்பட்டது	išbandytas
பொப்பர்	popper
அவிலா	avila
ஆண்மகன்	danilo
விழுதல்	krenta
பர்ட்டன்	burton
போஸ்டர்	plakatas
பைக்கோ	biko
சாக்ஸ்	altas
மனைவிக்கும்	žmona
மரங்கொத்தி	genys
சர்ரே	surrey
டாஸ்மான்	tasmano
அவமானம்	gėda
அவமானம்	gėda
அவமானம்	įžeidimas
மெண்டல்	mendel
வீடியோவை	video
தாராள	dosnus
செனகல்	senegalas
பிரிட்னி	britney
பிராங்கோ	franco
ஜெஸ்ஸி	džesis
டானி	dani
மாடல்கள்	modelių
மாடல்கள்	modeliai
கிரிஜா	girija
அறையை	kambarys
மணப்பெண்	jaunavedžių
சைபர்	kibernetinio
வில்லியர்ஸ்	villiers
காத்தலோனியா	katalonijos
ஸ்பிரிங்	pavasario
ஸ்பிரிங்	pavasaris
புறக்கணிக்கப்பட்ட	ignoruoti
புறக்கணிக்கப்பட்ட	ignoruojami
வர்ணனை	komentaras
காசுப்பியன்	kaspijos
மனிதம்	žmoniją
மனிதம்	žmonija
கிட்டி	katytė
ஹிலாரி	hillary
எராஸ்மஸ்	erasmus
மறுக்கிறது	neigia
ஜாங்	jong
சீரியஸ்	rimti
சீரியஸ்	rimta
சீரியஸ்	rimtas
சீரியஸ்	rimtų
நச்சியல்	toksikologija
பாண்	bon
வேலைக்காரி	kambarinė
இழு	tempti
ஆர்க்கிட்	orchidėja
பெர்னதெத்	bernadeta
ரோமா	roma
ரோமா	romai
ரோமா	romų
சம்பளத்தில்	algos
போக்கர்	pokerio
கொட்டு	kraujuoti
எல்விஸ்	elvis
பீனால்	fenolio
லைசின்	lizino
பல்ஸ்	pulsas
பல்ஸ்	impulso
சுடுகலன்	šaunamojo
யாப்	japas
பற்றவைப்பு	uždegimas
பற்றவைப்பு	uždegimo
தர்மா	dharma
கேபிடல்	kapitolijaus
பிளாஷ்	flash
குணமாக்கும்	pasveikti
வோல்கா	volgos
அட்ரியன்	adrian
எலக்ட்ரானிக்ஸ்	elektronikos
தரகர்கள்	brokeriai
ரோலண்ட்	rolland
ரோலண்ட்	rowland
லிவ்	liv
வெற்றிபெறும்	laimėti
போஸ்கோ	bosco
குறுவட்டு	kompaktiškas
மூடப்பட்டுள்ளது	uždaryta
மூடப்பட்டுள்ளது	uždara
நிர்வாணமாக	nuoga
நிர்வாணமாக	nude
பெண்ணே	mergaite
பெண்ணே	mergaitė
பெண்ணே	mergina
பெண்ணே	merga
வாலஸ்	wallace
தார்மீக	moralinę
நல்லிணக்கம்	harmonija
ஏறுதல்	lipant
க்ரூப்	krupp
பித்தாகரஸ்	pitagoras
அழுகல்	puvinio
டெபாசிட்	indėlių
டெபாசிட்	indėlis
பாண்டா	panda
செண்டாரி	centauri
ஜாட்	jat
பதிவுசெய்தல்	registracija
பதிவுசெய்தல்	registracijos
பதிவுசெய்தல்	registravimas
வெளிப்படையாகவே	matyt
ரீட்டா	rita
ரூபன்	ruban
சிக்கனம்	veiksmingai
ரூமி	rumi
டிக்சன்	dixon
எழுத்துப்பிழை	rašybos
ககாரின்	gagarinas
ஹர	har
மதுபானங்கள்	spiritas
வாழ்த்துகிறேன்	norinčios
வாழ்த்துகிறேன்	norintiems
பதுங்கு	bunkeris
சாண்டோ	santo
கணக்காளர்	buhalteris
முல்தான்	multanas
நிறுவல்கள்	įrenginiai
நிறுவல்கள்	įrengimai
நெவில்	nevilis
மேன்மையை	didybės
ஸ்டான்	stan
நாட்டாரியல்	folkloro
டுவிட்டர்	twitter
ஓபரா	opera
பெயரடை	būdvardis
கரோட்டின்	karotinas
காயத்தை	žaizda
காயத்தை	žaizdos
பதிவேற்று	išsiuntimas
சூப்	sriuba
சூப்	sriubą
லீட்	švino
ரமண	ramana
போனஸ்	bonus
போனஸ்	premija
ஸ்டில்லர்	stiller
மகரம்	ožiaragis
சுற்றோட்டத்	kraujotakos
மருந்தளவு	dozė
மருந்தளவு	dozės
சுவாகிலி	suahilių
முரட்டு	rogue
டல்லாஸ்	dalasas
சல்லிவன்	sullivan
யாதும்	dolor
மேத்யூ	mathew
மேக்னா	meghna
சேவையகங்கள்	serveriai
காற்றோட்ட	vėdinimo
முள்ளங்கி	ridikas
வாகனக்	automobilių
தச்சு	dailidžių
ஜூட்	jude
அர்த்தமுள்ள	prasmingas
ஹாதவே	hathaway
ஃபேபியன்	fabian
தீர்க்கதரிசி	pranašas
சுண்ணக்கல்	klintys
பேட்டரி	baterija
பேட்டரி	akumuliatorius
பேட்டரி	baterijos
ராதை	radha
தேய்மானம்	nusidėvėjimas
பிழைப்பு	išgyvenamumo
பிழைப்பு	išgyvenamumas
பிழைப்பு	išgyvenimo
லோக	loka
இரசவாதம்	alchemija
பெருங்கடல்கள்	vandenynų
பெருங்கடல்கள்	vandenynai
பாப்டிஸ்ட்	baptistų
பாப்டிஸ்ட்	baptiste
வழுக்கும்	slidus
பெக்கான்	švyturys
சைப்ரஸ்	kipras
செல்வமும்	turtus
செல்வமும்	turtų
நாயகர்கள்	didvyriai
போனி	boni
ஆரி	ari
பிதா	tėvas
வலேரியன்	valerijono
கிறிஸ்டினா	kristina
ஆன்மாவை	siela
ஆன்மாவை	sielos
விசாலமான	erdvų
வெடிகுண்டுகள்	bombos
வெடிகுண்டுகள்	bombų
காந்த்	kanto
பிஹாரி	biharų
பேயர்ன்	bayern
சிக்கன்	višta
சிக்கன்	vištiena
சிக்கன்	vištos
சிக்கன்	vištienos
ஊடாடும்	interaktyvus
டியாகோ	diego
ஆச்சரியம்	staigmena
ஜெயில்	kalėjimas
ஜெயில்	kalėjimą
எதிர்பார்ப்புகள்	lūkesčius
மரகத	emerald
அகராதியியல்	leksikografija
டிமிட்ரி	dimitri
விரும்பத்தக்கது	pageidautina
பஷீர்	bashir
ஆஸ்திரோனீசிய	austronezinės
அத்திரி	atris
கோடின்	kodeinas
நெட்வொர்க்கிங்	tinklų
கடகம்	vėžys
கடகம்	vėžio
மேற்பூச்சு	apledėjimo
பூந்துணர்	žiedynas
பறந்தது	išskrido
உயிர்க்கோளம்	biosferos
நெகிழ்வான	lanksčiai
நெகிழ்வான	lanksčios
நெகிழ்வான	lankstus
ஒழுங்கமைவு	tarpininkavimo
கீச்சான்	medšarkė
ஜோய்	džo
லக்கி	pasisekė
மனநிலையை	nuotaikos
மனநிலையை	nuotaika
துரதிர்ஷ்டவசமாக	liūdna
துரதிர்ஷ்டவசமாக	deja
டூயட்	duetas
சாண்டி	smėlio
படைப்பாளிகள்	kūrėjų
படைப்பாளிகள்	kūrėjai
ஜெசிகா	džesika
ஜெசிகா	jessica
டோரா	dora
பாடத்தை	pamoka
அலட்சியம்	abejingumo
அலட்சியம்	aplaidumo
சுப்பர்	super
பார்பர்	barber
வால்டன்	walton
கானும்	khan
வர்ம	varma
வந்தடைந்தனர்	atvyksta
லான்	lan
எழுதுகோல்	pen
அனஸ்தாசியுஸ்	anastasijus
குஸ்டாவ்	gustav
மலட்டுத்தன்மை	nevaisingumo
ஷாட்	kadras
பிளைமவுத்	plymouth
பீஷ்ம	bhyšma
தசைநாண்	sausgyslės
காப்போம்	konfidencialumo
காப்போம்	slaptumas
ரீமிக்ஸ்	remix
அகராதியை	žodynas
கண்ணாடியை	akiniai
மியான்	mian
தோல்விக்கு	nugalėti
தணிக்கையாளர்	auditorius
துணைவர்	sutuoktinis
லஞ்சம்	kyšininkavimo
நுரை	putų
கத்தரி	baklažanų
சுவாரஸ்யமான	įdomu
சுவாரஸ்யமான	įdomus
கரையாது	netirpios
கரையாது	netirpsta
போதிக்கும்	bodhi
சோப்	muilo
சோப்	muilas
பூச்சியியல்	entomologija
சோசா	souza
சோமாலி	somalio
கடற்பறவை	kiras
போசான்	bozonas
மாக்சிமிலியன்	maximilian
டஃப்	duff
முப்தி	muftijus
பதேபூர்	fatehpur
உருவாக்குநர்	programuotojas
அலெக்சி	alexei
பெக்கெரல்	bekerelis
கத்ரீனா	katrina
டெவலப்பர்	programuotojas
ஷெல்டன்	shelton
ஏரிஸ்	arų
ஹஸன்	hasanas
உணர்ந்தேன்	veltinio
கடலோரம்	pajūris
கரோ	caro
தும்பி	dragonfly
பூநாரை	flamingas
சுத்திகரிக்கப்பட்ட	rafinuotas
சிங்கார	singh
வெகுமதி	atlygis
வெகுமதி	atlygį
வடிகட்டிகள்	filtrai
வசனத்தை	vers
வெட்கம்	drovumas
வெட்கம்	gėda
வெட்கம்	drovus
விளம்பரதாரர்கள்	remiama
விளம்பரதாரர்கள்	remiamos
டாமி	tomis
ஐரீன்	irena
யுக்தி	idėja
யுக்தி	mintis
எலோ	elo
கொள்ளையர்கள்	originalas
நிர்வாணம்	nuogumo
மேகன்	megan
ஸ்டார்டஸ்ட்	stardust
உச்சரிப்பில்	akcentas
ஆட்டோடெஸ்க்	autodesk
பிளேஸ்டேசன்	playstation
பிரிகேட்	brigada
வறண்டு	sausa
வறண்டு	sausas
வறண்டு	sausos
சரோன்	charonas
மாட்டிறைச்சி	jautiena
மாட்டிறைச்சி	jautienos
வெறுப்பை	neapykanta
கேரட்	morkų
தாசி	dasi
நட்புடன்	draugiška
நட்புடன்	draugiškai
நட்புடன்	draugiškas
நட்புடன்	draugišką
நட்புடன்	draugiški
சாஸ்	padažas
சாஸ்	padažu
காணொளிகள்	vaizdai
காணொளிகள்	videos
அன்னே	anne
ஊதி	smūgis
கண்கவர்	įspūdingai
கண்கவர்	įspūdinga
கண்கவர்	nepakartojami
கண்கவர்	žavinga
குவாங்	quang
நாகசாகி	nagasakio
ஜவுளி	tekstilės
ஜவுளி	tekstilės
செய்வான்	bus
குர்ட்	kurtas
ஆல்டோ	aldo
ட்ரில்லியன்	trln
குருத்தெலும்பு	kremzlių
தச்சர்	carpenter
கெயில்	gayle
கெயில்	gail
கொல்லர்	kalvis
மஹ்மூத்	mahmoud
ஆசைகள்	norai
பாவாடை	sijonas
விட்னி	whitney
லிங்	ling
இல்லினாய்ஸ்	ilinojaus
பெனிட்டோ	benito
தேம்ஸ்	thames
ஜேனட்	sudomino
தற்செயல்	sutapimas
தற்செயல்	atsitiktinumas
வெளிப்படுத்துதல்	atskleidimas
வெளிப்படுத்துதல்	atskleidimo
விருப்பத்தேர்வுகள்	mėgstami
விருப்பத்தேர்வுகள்	nustatymai
லாஜிக்	loginis
லாஜிக்	logika
சத்துணவு	mitybos
சத்துணவு	mityba
நதிநீர்	upės
நதிநீர்	upė
பாபிலோன்	babilonas
பூசணி	moliūgų
புவியியலாளர்	geologas
தொடரவும்	tęsti
டெமி	demi
சாஃகா	saha
ஜியோ	geo
கிரேசி	gracie
இர்பான்	irfan
பிழைத்து	išgyveno
ஓட்டுநர்கள்	vairuotojai
ஓட்டுநர்கள்	vairuotojų
கொழுப்பை	storas
கொழுப்பை	riebalų
கொழுப்பை	riebalai
எட்னா	edna
பெய்	pei
சோசலிசம்	socializmas
சைதன்ய	čaitanja
எகிப்தியர்	egiptiečiai
அபி	abi
காரகோரம்	karakorumo
சட்டபூர்வமாக	teisiškai
சட்டபூர்வமாக	teisėtai
தந்திரங்கள்	triukų
கிங்ஸ்டன்	kingston
தெலுகு	telugų
வெப்பமடைதல்	šildymo
ஒசாமா	osama
டெட்ராய்ட்	detroito
ஹைலி	haile
தசைகளை	raumenys
ஆன்ட்டி	teta
எல்பா	elba
மனதிற்கு	protas
சீரகம்	kmynų
கிரிஸ்டல்	kristalų
நரிகள்	lapės
வேலிகள்	tvoros
வேலிகள்	tvoras
ரன்னர்	bėgikė
கண்ணிவெடி	kasyklų
கண்ணிவெடி	kasyklose
குடிப்பது	geria
குடிப்பது	gert
சிரமங்களை	sunkumai
சிரமங்களை	sunkumų
அடால்ப்	adolfas
வெள்ளையர்கள்	baltieji
பலவற்றிற்கு	daugiau
பிரம்பு	cukranendrių
ஹெய்ன்ஸ்	haynes
காரணமானவர்	serbija
அளவுருக்கள்	parametrai
புதைகுழி	smegduobė
யாரென்று	kas
யாரென்று	kurie
கலிடோனியா	kaledonija
கற்பழிப்பு	rapsų
நத்தைகள்	sraigės
வால்வுகள்	vožtuvai
மணற்கல்	smiltainis
விவரக்குறிப்புகள்	akinius
நேர்மையாக	atvirai
கொறிணி	graužikų
கொறிணி	graužikai
அமர்வுகள்	užsiėmimai
அமர்வுகள்	sesijas
அமர்வுகள்	posėdžiai
அமர்வுகள்	sesijos
எராகன்	eragonas
கோமாளிகள்	klounai
பிரஜாபதி	pradžapatis
பாட்டியின்	kopenhagoje
பாட்டியின்	močiute
பாட்டியின்	močiutė
பாட்டியின்	treniruotė
தாஹிர்	tahir
மேரேஜ்	santuokos
மேரேஜ்	santuoka
வற்புறுத்தி	force
அசோகா	ašoka
ரைனா	raina
பசங்க	vaikinai
புரு	bru
ஷாப்	parduotuvėje
ஷாப்	parduotuvė
ஷாப்	apsipirkti
ஷூ	batų
வெற்றியாகும்	triumfas
கோப்பர்னிக்கஸ்	copernicus
கச்சிதமான	tobulos
கச்சிதமான	tobulas
கச்சிதமான	tobula
கனா	cana
சிரிக்க	juoktis
சட்டையை	marškiniai
சட்டையை	marškinėliai
ஜார்	jar
லேப்ஸ்	labs
டயான்	diana
எலியாஸ்	elias
காக்கி	chaki
முள்ளும்	thorn
உணர்கிறார்	jausmas
உணர்கிறார்	jausmai
உணர்கிறார்	jausmus
நற்பண்புகள்	gabumus
சல்	sal
மான்ஸ்டர்	pabaisa
மான்ஸ்டர்	monstras
கண்டிப்பு	griežtas
கண்டிப்பு	griežti
துப்பறிவாளர்	tyrėjas
