மற்றும்	ve
கொண்டுள்ளது	içerdiği
கொண்டுள்ளது	içerir
கொண்டுள்ளது	içeriyor
போது	esnasında
போது	sırasında
இணைப்புகள்	bağlantılar
இணைப்புகள்	bağlar
இணைப்புகள்	bağlantıları
இணைப்புகள்	ekleri
இணைப்புகள்	bağlantılar
இணைப்புகள்	bağlar
இணைப்புகள்	bağlantıları
இரண்டு	iki
தகவல்	bilgi
தகவல்	bilgileri
தகவல்	bilgiler
தகவல்	bilgi
தகவல்	bilgilendirme
தகவல்	bilgiler
தகவல்	ileti
தகவல்	mesajınız
தகவல்	mesaj
தகவல்	mesajı
மாவட்ட	ilçesi
மாவட்ட	bölge
மாவட்ட	semt
மாவட்ட	bahşı
மாவட்ட	ilçe
மொத்த	toplam
வளர்ச்சி	kalkınma
வளர்ச்சி	geliştirme
வளர்ச்சி	gelişme
வளர்ச்சி	gelişim
வளர்ச்சி	büyüme
வளர்ச்சி	büyümek
மாவட்டம்	ilçesi
மாவட்டம்	bölge
மாவட்டம்	semt
மாவட்டம்	bahşı
மாவட்டம்	ilçe
அந்த	bu
அந்த	bunu
மிகவும்	cok
மிகவும்	çok
திட்டம்	proje
திட்டம்	projesi
திட்டம்	plân
திட்டம்	planla
திட்டம்	plan
திட்டம்	planı
தேசிய	millî
தேசிய	national
தேசிய	milli
தேசிய	ulusal
கலந்து	katılan
கலந்து	katılacak
இலங்கை	seylan
இங்கு	burada
இங்கு	burda
கி	kyi
அமெரிக்க	amerikalı
அமெரிக்க	amerikan
அமெரிக்க	american
அடிப்படை	üs
அடிப்படை	baz
அடிப்படை	üssü
அடிப்படை	taban
அடிப்படை	temel
பெயர்	adınız
பெயர்	isim
பெயர்	ad
பெயர்	adın
பெயர்	adı
பெயர்	etiketi
பெயர்	etiket
மூன்று	üç
மூன்று	three
ஆண்கள்	erkekler
ஆண்கள்	erkekler
ஆண்கள்	men
ஆண்கள்	erkek
ஆண்கள்	adamlar
ஆண்கள்	mens
ஒன்று	topla
ஒன்று	biri
ஒன்று	bir
ஐக்கிய	birleşik
ஐக்கிய	birlik
ஐக்கிய	united
ஐக்கிய	birleşmiş
புதிய	yeni
புதிய	taze
அவரது	onunki
அவரது	onun
அவரது	onun
அவரது	onu
மொத்தம்	toplam
இவை	bunlar
இவை	bunları
இவை	şunlar
சிறந்த	harika
சிறந்த	best
சிறந்த	mükemmel
அரசு	devlet
அரசு	hükümet
வசதிகள்	tesisler
வசதிகள்	tesisleri
வசதிகள்	olanaklar
வசதிகள்	imkanlar
வசதிகள்	tesis
இந்தியா	hindistan
இந்தியா	hint
பெரிய	harika
பெரிய	big
பெரிய	buyuk
பெரிய	büyük
பெரிய	kocaman
பெரிய	geniş
பெரிய	büyük
ஊரக	kırsal
நாள்	gündüz
நாள்	gun
நாள்	gün
பிறப்பு	genel
பிறப்பு	doğan
பிறப்பு	doğuştan
பிறப்பு	doğdu
பிறப்பு	doğmuş
பிறப்பு	doğdum
பிறப்பு	doğumu
பிறப்பு	doğum
பிறப்பு	dogum
பிறப்பு	kapak
பிறப்பு	hatch
முக்கிய	main
முக்கிய	ana
முக்கிய	önemlidir
முக்கிய	onemli
முக்கிய	önemli
பல்வேறு	çeşitlilik
பல்வேறு	çeşitli
பல்வேறு	çeşitliliği
பல்வேறு	çeşitli
திரைப்படங்கள்	filmler
திரைப்படங்கள்	film
திரைப்படங்கள்	sinema
பிற	diğer
பிற	diğeri
பிற	öteki
பிற	diger
அவர்கள்	onlar
அவர்கள்	onları
அவர்கள்	onlar
மொழி	dil
மொழி	dile
மொழி	dili
மொழி	lisan
முறை	yöntemi
முறை	yöntem
முறை	prosedür
முறை	mode
முறை	modu
முறை	kip
முறை	kipi
முறை	mod
கோயில்	tapınak
கோயில்	temple
கோயில்	tapınağı
விருது	ödül
விருது	ödülü
பொதுவாக	genel
பொதுவாக	general
அக்டோபர்	ekim
அக்டோபர்	ekim
செய்து	işledi
தன்	onunki
தன்	onun
தன்	atar
தன்	atıyor
தொடர்ந்து	devam
இரண்டாம்	ikinci
இரண்டாம்	ikincisi
இரண்டாம்	ikincil
சென்னை	chennai
வரும்	geliyor
வரும்	geliyorum
மே	may
மே	mayis
மே	mayıs
ஒவ்வொரு	her
ஒவ்வொரு	herbiri
மட்டுமே	yalnızca
மட்டுமே	sadece
வரலாறு	tarihi
வரலாறு	geçmiş
வரலாறு	tarih
பகுதியில்	bölge
பகுதியில்	alanı
பகுதியில்	alan
நூல்கள்	kitapları
நூல்கள்	kitap
நூல்கள்	kitaplar
சேர்ந்த	ait
பின்	pin
பின்	iğne
பின்	sonrası
பின்	ardından
பின்	sonrasında
பின்	sonra
பின்	geri
பின்	arka
இல்லை	olmaz
இல்லை	değil
நவம்பர்	kasım
அதிக	high
அதிக	yükseklerde
அதிக	çak
அதிக	yükseğe
அதிக	yüksek
காலத்தில்	adet
காலத்தில்	nokta
காலத்தில்	dönem
மிக	cok
மிக	çok
நான்கு	four
நான்கு	dört
பிறகு	öyleyse
பிறகு	ozaman
பிறகு	sonra
பிறகு	sonradan
பிறகு	sonra
பிறகு	sonrası
பிறகு	ardından
பிறகு	sonrasında
பிறகு	sonra
அரசியல்	politika
அரசியல்	siyaset
அரசியல்	siyasi
அரசியல்	politik
அரசியல்	siyasal
பகுதி	kısmi
பகுதி	kısmen
பகுதி	bölge
பகுதி	alanı
பகுதி	alan
பகுதி	bölge
பகுதி	bölgede
பகுதி	bölgesi
பகுதி	kısım
பகுதி	parçası
பகுதி	bölüm
பகுதி	part
பகுதி	kısmen
பற்றி	hakkında
பற்றி	yaklaşık
ஆறு	six
ஆறு	alti
ஆறு	altı
ஆறு	nehri
ஆறு	river
ஆறு	nehir
ஆறு	irmak
மீண்டும்	yine
மீண்டும்	gene
மீண்டும்	yeniden
மீண்டும்	tekrar
இங்கிலாந்து	ingiltere
காலம்	sezonu
காலம்	mevsim
காலம்	sezon
காலம்	adet
காலம்	nokta
காலம்	dönem
காலம்	zaman
காலம்	vakit
காலம்	süre
காலம்	time
நிலை	konum
நிலை	mevki
நிலை	pozisyon
நிலை	state
நிலை	eyalet
நிலை	devlet
நிலை	düzey
நிலை	seviye
ஒரே	aynısından
ஒரே	aynen
ஒரே	ayni
ஒரே	aynı
ஒரே	aynısı
போர்	savaş
போர்	war
போர்	savas
காரணமாக	vadesi
காரணமாக	nedeniyle
பொருள்	madde
பொருள்	materyal
பொருள்	malzeme
பொருள்	ürün
பொருள்	cisim
பொருள்	obje
பொருள்	nesne
பொருள்	itiraz
பொருள்	denek
பொருள்	şahıs
பொருள்	konusu
பொருள்	konu
அறிவியல்	fen
அறிவியல்	bilimsel
அறிவியல்	bilim
பேச்சு	konusma
பேச்சு	konuşma
பேச்சு	konuş
பேச்சு	konuşmak
பேச்சு	talk
பேச்சு	konuşma
இதனால்	with
இதனால்	ile
அனைத்து	all
அனைத்து	hepsini
அனைத்து	tamamı
அனைத்து	hepsi
அனைத்து	tümü
கல்வி	eğitim
ஏப்ரல்	apr
ஏப்ரல்	nişan
ஏப்ரல்	nisan
உலக	world
உலக	dünya
உலக	dunya
உலக	global
உலக	evrensel
உலக	küresel
கே	gey
கே	gay
கே	eşcinsel
முடியும்	can
கீழ்	down
கீழ்	aşağıya
கீழ்	aşağı
கீழ்	alt
கீழ்	aşağı
கீழ்	altında
கீழ்	altinda
கீழ்	altına
கீழ்	altta
கீழ்	alt
கீழ்	alttaki
கீழ்	dibi
கீழ்	dibe
இடம்	yer
இடம்	yer
இடம்	konumu
இடம்	konum
இடம்	yeri
இடம்	boşluk
இடம்	space
இடம்	uzayı
இடம்	uzay
செப்டம்பர்	eylül
பேர்	diger
பேர்	diğerleri
பேர்	diğerlerini
பேர்	başkaları
பெரும்	harika
பெரும்	küstah
சி	chi
நாடுகள்	ülkeler
நாடுகள்	ülkelere
நாடுகள்	ülkeleri
தொகுதி	albüm
தொகுதி	albümleri
தொகுதி	sistem
தொகுதி	sistemi
தொகுதி	modül
தொகுதி	modülü
கிழக்கு	doğuya
கிழக்கு	doğu
கிழக்கு	doğuda
கிழக்கு	doğu
கிழக்கு	doğulu
கிழக்கு	doğu
அமைப்பு	kurulum
அமைப்பு	tuzak
அமைப்பு	kurulumu
அமைப்பு	ayarlama
அமைப்பு	sistem
அமைப்பு	sistemi
அமைப்பு	ayarlama
அமைப்பு	ayarı
அமைப்பு	ayar
அமைப்பு	organizasyon
அமைப்பு	kuruluş
அமைப்பு	örgüt
அமைப்பு	yapısı
அமைப்பு	yapı
அளவு	miktarı
அளவு	tutar
அளவு	miktar
அளவு	miktar
அளவு	miktarı
அளவு	ölçeği
அளவு	ölçek
அளவு	ölçekli
அளவு	boyut
அளவு	boy
அளவு	büyüklük
அளவு	beden
அளவு	boyu
நகர்	nagar
மற்ற	diğer
மற்ற	diğeri
மற்ற	öteki
மற்ற	diger
இந்து	hindu
இவற்றையும்	bunlar
இவற்றையும்	bunları
இவற்றையும்	şunlar
தற்போது	şimdi
தற்போது	simdi
பாடல்	song
பாடல்	sarki
பாடல்	şarkı
உண்டு	mevcuttur
உண்டு	müsait
உண்டு	mevcut
உண்டு	kullanılabilir
வாழும்	yaşamak
வாழும்	yaşayan
வாழும்	yaşıyorum
இருக்கிறது	mevcuttur
இருக்கிறது	müsait
இருக்கிறது	mevcut
இருக்கிறது	kullanılabilir
நிறுவனம்	şirket
நிறுவனம்	firma
நிறுவனம்	bölük
நிறுவனம்	işveren
நிறுவனம்	organizasyon
நிறுவனம்	kuruluş
நிறுவனம்	örgüt
நிறுவனம்	örgütü
நிறுவனம்	kuruluş
நிறுவனம்	organizasyon
நிறுவனம்	örgüt
நபர்கள்	halk
நபர்கள்	kişiler
நபர்கள்	insanlar
நபர்கள்	millet
காலனி	koloni
காலனி	kolonisi
மேற்கு	west
மேற்கு	batıya
மேற்கு	batı
மேற்கு	batıda
மேற்கு	batılı
மேற்கு	western
மேற்கு	batı
தலைவர்	başkan
தலைவர்	cumhurbaşkanı
தலைவர்	baskan
தலைவர்	önder
தலைவர்	lider
தலைவர்	lideri
முதலில்	öncelikle
முதலில்	önce
முதலில்	ilk
முதலில்	once
சார்ந்த	akrabalar
சார்ந்த	akraba
சார்ந்த	akrabası
சார்ந்த	göreceli
சார்ந்த	bağımlılık
சார்ந்த	bağımlılığı
சார்ந்த	temelli
சார்ந்த	tabanlı
மேல்	üst
மேல்	üstü
மேல்	top
மேல்	üstte
நாடு	ülke
நாடு	vatan
மட்டும்	yalnızca
மட்டும்	sadece
அடிப்படையில்	temelde
எண்	sayar
எண்	say
எண்	kont
எண்	rakam
எண்	numara
எண்	numarası
எண்	sayı
குறிப்பிட்ட	belirtilen
குறிப்பிட்ட	belirtilmiş
குறிப்பிட்ட	belirtildi
குறிப்பிட்ட	spesifik
குறிப்பிட்ட	belirli
செய்ய	yap
சிறிய	ufak
சிறிய	küçük
சிறிய	kucuk
சிறிய	minik
சிறிய	küçük
சிறிய	az
வேறு	diğer
வேறு	diğeri
வேறு	öteki
வேறு	diger
மார்ச்	mart
மார்ச்	marş
மார்ச்	yürüyüş
நிலையில்	durum
நிலையில்	condition
நிலையில்	şart
நிலையில்	durumu
நிலையில்	koşul
நிலையில்	sahne
பெண்	kız
பெண்	girl
பெண்	kızım
பெண்	kiz
பெண்	kadin
பெண்	kadın
பெண்	kadınım
பெண்	kadın
பெண்	dişi
வெற்றி	başarılar
வெற்றி	başarılı
வெற்றி	başarı
வெற்றி	galibiyet
வெற்றி	kazandı
வெற்றி	kazanıyor
வெற்றி	kazanır
வெற்றி	kazanma
வெற்றி	kazanmak
வெற்றி	kazanıyor
வெற்றி	kazanılan
வெற்றி	kazandı
வெற்றி	won
வெற்றி	zafer
வெற்றி	kazanın
வெற்றி	kazanmak
வெற்றி	galibiyet
வெற்றி	kazan
இணைப்பு	bağ
இணைப்பு	bağlantı
இணைப்பு	bağ
இணைப்பு	link
இணைப்பு	bağlantı
இணைப்பு	eklenti
இணைப்பு	eki
திரைப்படம்	film
திரைப்படம்	sinema
திரைப்படம்	filim
திரைப்படம்	film
வகை	kategori
வகை	kategorisi
வகை	tipi
வகை	tip
வகை	türü
வகை	tür
வகை	type
வகை	mode
வகை	modu
வகை	kip
வகை	kipi
வகை	mod
ஐந்து	five
ஐந்து	beş
அதே	aynısından
அதே	aynen
அதே	ayni
அதே	aynı
அதே	aynısı
சிறப்பு	seçme
சிறப்பு	ozel
சிறப்பு	özeldir
சிறப்பு	özel
சுமார்	hakkında
சுமார்	yaklaşık
கட்டுரைகள்	makaleler
கட்டுரைகள்	yazılar
கட்டுரைகள்	makale
படி	okuma
படி	okuyun
படி	oku
படி	okumak
படி	step
படி	basamak
படி	adım
படி	adımı
மனித	insani
மனித	insan
பெரும்பாலும்	nerdeyse
பெரும்பாலும்	neredeyse
பெரும்பாலும்	sıklıkla
பெரும்பாலும்	sıkça
பெரும்பாலும்	çoğunlukla
பெரும்பாலும்	genellikle
கட்சி	parti
கட்சி	party
பொது	yaygın
பொது	kamu
பொது	halk
பொது	genel
பொது	general
கல்லூரி	üniversite
கல்லூரி	kolej
கல்லூரி	college
இசை	music
இசை	müzik
முறையில்	mode
முறையில்	modu
முறையில்	kip
முறையில்	kipi
முறையில்	mod
நாட்டின்	ülke
நாட்டின்	vatan
மத்திய	merkezi
மத்திய	merkez
மில்லியன்	milyon
மில்லியன்	milyonlar
மில்லியன்	milyonlarca
மில்லியன்	milyon
நகரம்	sehir
நகரம்	city
நகரம்	şehir
எந்த	herhangi
எந்த	hangi
எந்த	hangisi
எனப்படும்	aradı
நீர்	su
செய்யும்	yapıyor
இணைந்து	katılın
இணைந்து	katılmak
இணைந்து	katıl
விக்கிப்பீடியா	wikipedia
விக்கிப்பீடியா	vikipedi
சென்று	gitti
சென்று	gitmiş
பார்க்க	gör
பார்க்க	görün
பார்க்க	görmek
அணி	matrix
அணி	team
அணி	ekip
அணி	takım
எழுதிய	yazılmış
எழுதிய	yazıldı
எழுதிய	yazan
எழுதிய	yazılı
எழுதிய	yazılan
எழுதிய	yazdı
நிலையம்	karakol
நிலையம்	station
நிலையம்	istasyonu
நிலையம்	istasyon
தொடர்பான	bağlantılı
தொடர்பான	akraba
தொடர்பான	ilgili
தொடர்பான	ilişkili
தொடர்பான	alakalı
மீட்டர்	metre
மீட்டர்	metre
மீட்டர்	metre
இடத்தில்	yer
கோவில்	tapınak
கோவில்	temple
கோவில்	tapınağı
மாதம்	ay
மாதம்	aylık
ஆய்வு	çalış
ஆய்வு	çalışma
ஆய்வு	araştırma
ஆய்வு	araştırmalar
வட	kuzey
வட	kuzeyde
வட	north
வட	kuzeye
குறைந்த	alçak
குறைந்த	düşük
குறைந்த	az
டிசம்பர்	aralık
டிசம்பர்	aralık
முன்	öne
முன்	cephe
முன்	ön
முன்	önceden
முன்	öncesi
முன்	önceki
முன்	önceden
முன்	önce
முன்	öncesi
முன்	öncesinde
வாழ்க்கை	life
வாழ்க்கை	hayat
வாழ்க்கை	yaşam
வாழ்க்கை	ömür
சனவரி	ocak
புனித	kutsal
புனித	mukaddes
ஆகியவை	vis
இரண்டாவது	ikinci
இரண்டாவது	ikincisi
இரண்டாவது	ikincil
ஆங்கிலம்	ingiliz
ஆங்கிலம்	türkçe
ஆங்கிலம்	turkish
ஆங்கிலம்	ingilizce
அங்கு	orada
அங்கு	orda
தொழில்	business
தொழில்	işletme
தொழில்	iş
தொழில்	ticaret
தொழில்	sektör
தொழில்	endüstri
தொழில்	sanayii
தொழில்	sanayi
தொழில்	meslek
தொழில்	mesleği
பழைய	eski
பழைய	yaşlı
பழைய	old
பழைய	ihtiyar
பழைய	yaşlı
ஆண்டுகள்	yıllarca
ஆண்டுகள்	yıllardır
ஆண்டுகள்	yıllar
ஆண்டுகள்	yılların
ஆண்டுகள்	seneler
குறிப்பாக	özellikle
குறிப்பாக	bilhassa
குறிப்பாக	özellikle
குறிப்பாக	özelliklede
குறிப்பாக	bilhassa
குறிப்பாக	özellikle
குறிப்பாக	özellikle
பார்க்கவும்	ziyaret
பார்க்கவும்	izle
பார்க்கவும்	izleyin
துறை	bölümü
துறை	departman
துறை	bölüm
துறை	departmanı
துறை	iskele
துறை	port
துறை	liman
கடல்	marine
கடல்	deniz
கடல்	denizcilik
கடல்	denizci
கடல்	deniz
கடல்	okyanus
கடல்	ocean
கடல்	okyanuslar
போல	like
போல	beğen
போல	gibi
இதற்கு	icin
இதற்கு	için
சிறு	ufak
சிறு	küçük
சிறு	kucuk
தென்	güney
தென்	güneye
உயர்	high
உயர்	yükseklerde
உயர்	çak
உயர்	yükseğe
உயர்	yüksek
உயர்	lüks
வடக்கு	kuzey
வடக்கு	kuzeyde
வடக்கு	north
வடக்கு	kuzeye
ஆட்சி	krallık
ஆட்சி	kural
ஆட்சி	yönetim
ஆட்சி	saltanatı
ஆட்சி	hükümdarlık
ஆட்சி	saltanat
மக்களின்	halk
மக்களின்	kişiler
மக்களின்	insanlar
மக்களின்	millet
நோய்	hastalık
நோய்	hastalıklar
நோய்	hastalık
தேர்தல்	seçim
தேர்தல்	seçimler
உற்பத்தி	imalat
உற்பத்தி	yapım
உற்பத்தி	üretim
உற்பத்தி	prodüksiyon
உற்பத்தி	imalat
உற்பத்தி	imalatı
உற்பத்தி	üretim
ஆக	aug
வந்தது	vardım
வந்தது	geldi
கலை	sanat
கலை	sanatlar
கலை	sanat
கலை	art
தங்கள்	onların
தங்கள்	onlarin
சமூக	toplumsal
சமூக	sosyal
போல்	bol
போல்	like
போல்	beğen
போல்	gibi
தர	kaliteli
தர	kalite
தர	kalitesi
நூற்றாண்டு	yüzyıl
நூற்றாண்டு	asır
அவருடைய	onunki
அவருடைய	onun
உலகின்	dünyalar
உலகின்	dünyaları
அமெரிக்கா	amerika
அமெரிக்கா	america
பகுதிகளில்	alanlar
பகுதிகளில்	alanları
பகுதிகளில்	bölgeler
வந்து	gelin
வந்து	gel
பரிசு	ödül
பரிசு	ödülü
பரிசு	hediye
பரிசு	armağan
பிரிவு	kategori
பிரிவு	kategorisi
பிரிவு	bölüm
பிரிவு	division
பிரிவு	bölünme
பிரிவு	bölüm
பிரிவு	kısım
பிரிவு	bölümü
உடல்	ceset
உடல்	vücut
உடல்	beden
இவர்கள்	bunlar
இவர்கள்	bunları
இவர்கள்	şunlar
கூட	bile
கூட	hatta
கூட	ayrica
கூட	ayrıca
எழுத்தாளர்	yazar
குழு	gurup
குழு	grup
குழு	grubu
இலக்கிய	edebiyatı
இலக்கிய	edebiyat
இலக்கிய	edebi
இலக்கிய	edebiyat
விளையாட்டு	oyun
விளையாட்டு	spor
விளையாட்டு	sporlar
விளையாட்டு	oyun
விளையாட்டு	maç
விளையாட்டு	spor
விளையாட்டு	sport
உறுப்பினர்கள்	üye
உறுப்பினர்கள்	üyeler
உறுப்பினர்கள்	üyeleri
இறப்பு	olum
இறப்பு	ölüm
இறப்பு	death
அடி	ayakları
அடி	ayak
அடி	ayaklar
அடி	hit
அடி	vur
துணை	ortak
துணை	partner
துணை	destekle
துணை	desteği
துணை	destek
துணை	ahlak
துணை	ahlaksızlık
துணை	yardımcısı
துணை	alt
துணை	denizaltı
துணை	vekil
துணை	yardımcı
துணை	yardımcısı
பதிப்பு	baskı
பதிப்பு	sürüm
பதிப்பு	versiyon
பதிப்பு	sürümü
சொல்	söyle
சொல்	de
சொல்	söyleyin
சொல்	kelime
சொல்	laf
சொல்	kelimesi
சொல்	söz
சொல்	sözcük
சொல்	söyle
சொல்	anlat
தெற்கு	güney
தெற்கு	güneye
கட்டுரை	kompozisyon
கட்டுரை	yazı
கட்டுரை	madde
கட்டுரை	makale
கட்டுரை	kompozisyon
கட்டுரை	makaleler
கட்டுரை	yazılar
கட்டுரை	makale
வட்டம்	daire
வட்டம்	çember
சராசரி	ortalama
தொலைக்காட்சி	tv
தொலைக்காட்சி	televizyon
எண்ணிக்கை	sayar
எண்ணிக்கை	say
எண்ணிக்கை	kont
எண்ணிக்கை	parça
எண்ணிக்கை	sıklık
எண்ணிக்கை	frekans
தவிர	hariç
தவிர	hariç
தவிர	dışında
நடிகர்	aktör
நடிகர்	oyuncu
பாடல்கள்	şarkı
பாடல்கள்	şarkılar
இன்று	bugün
இன்று	bugünde
இன்று	bügün
இன்று	bugun
சட்டம்	çerçevesi
சட்டம்	çerçeve
சட்டம்	kare
சட்டம்	yasa
சட்டம்	law
சட்டம்	hukuk
சட்டம்	kanun
சட்டம்	yasal
சட்டம்	kanuni
சட்டம்	hukuki
அருகில்	yakın
அருகில்	yakınında
அருகில்	yakınındaki
அருகில்	yakındaki
அருகில்	yakınlardaki
அருகில்	yakınında
அருகில்	yakınlarda
அருகில்	yakın
நேரம்	zaman
நேரம்	vakit
நேரம்	süre
நேரம்	time
முதலாவது	öncelikle
முதலாவது	önce
முதலாவது	ilk
முதலாவது	once
மூலமாக	aracılığıyla
மூலமாக	via
மூலமாக	yoluyla
மூலமாக	üzerinden
மூலமாக	aracılığıyla
மூலமாக	yoluyla
மூலமாக	geçerek
உணவு	yiyecek
உணவு	yemekler
உணவு	gıda
உணவு	yemek
குறித்து	hakkında
குறித்து	yaklaşık
பெப்ரவரி	şubat
பகுதிகள்	segmentler
பகுதிகள்	bileşeni
பகுதிகள்	bileşen
பகுதிகள்	bölgeler
பகுதிகள்	bölgeleri
பகுதிகள்	parçalar
பகுதிகள்	parçaları
பகுதிகள்	alanlar
பகுதிகள்	alanları
பகுதிகள்	bölgeler
நிறுவனங்கள்	kuruluşlar
நிறுவனங்கள்	organizasyon
நிறுவனங்கள்	firmalar
நிறுவனங்கள்	şirketleri
நிறுவனங்கள்	şirketler
ஜனவரி	ocak
எழுத்தாளர்கள்	yazarlar
நல்ல	güzel
நல்ல	iyi
அடுத்த	sonraki
அடுத்த	sırada
அடுத்த	sıradaki
படம்	fotoğraf
படம்	resim
படம்	resmi
படம்	fotograf
படம்	foto
படம்	fotoğraf
படம்	görsel
படம்	resim
படம்	görüntü
படம்	imaj
பாதுகாப்பு	defans
பாதுகாப்பு	savunma
பாதுகாப்பு	güvenlidir
பாதுகாப்பு	emniyetli
பாதுகாப்பு	güvenli
பாதுகாப்பு	kasa
பாதுகாப்பு	güvende
பாதுகாப்பு	koruma
பாதுகாப்பு	korunmak
பாதுகாப்பு	korunma
பாதுகாப்பு	güvenliği
பாதுகாப்பு	emniyet
பாதுகாப்பு	güvenlik
பாதுகாப்பு	emniyeti
பாதுகாப்பு	güvenlik
தந்தை	baba
பங்கு	rolün
பங்கு	rol
பார்க்கப்பட்ட	görüntülenen
பயன்படுத்தி	kullanıyor
பயன்படுத்தி	kullanımı
பயன்படுத்தி	kullanmak
பயன்படுத்தி	kullanma
பயன்படுத்தி	kullanarak
அவர்களின்	onların
அவர்களின்	onlarin
செய்த	yapılmış
செய்த	yapıldı
நியூ	niue
பதிவு	izlenim
பதிவு	gösterim
பதிவு	kayıt
பதிவு	kayıt
பதிவு	plak
பதிவு	rekor
பதிவு	kayıt
பதிவு	ruhsat
பதிவு	tescil
பதிவு	kayıt
பதிவு	post
பதிவு	gönderi
ஐரோப்பிய	avrupa
ஐரோப்பிய	avrupalı
முழுவதும்	tamamen
முழுவதும்	tamamiyle
முழுவதும்	tamamıyla
முழுவதும்	tamamen
முழுவதும்	tam
முழுவதும்	ful
முழுவதும்	full
முழுவதும்	dolu
முழுவதும்	tam
முழுவதும்	komple
முழுவதும்	tamamlanmış
முழுவதும்	tamamlandı
பயனர்	kullanıcı
தொடர்	seri
தொடர்	devam
போன்றவை	vb
ஜூன்	jun
ஜூன்	joon
ஜூன்	june
ஜூன்	haziran
வழியாக	aracılığıyla
வழியாக	via
வழியாக	yoluyla
வழியாக	üzerinden
உறுப்பினர்	üye
உறுப்பினர்	üyelik
உறுப்பினர்	üye
உறுப்பினர்	müşteri
உறுப்பினர்	istemci
ஆசிரியர்	editör
ஆசிரியர்	düzenleyici
ஆசிரியர்	editor
ஆசிரியர்	hocam
ஆசிரியர்	öğretmen
ஆசிரியர்	öğretmenim
ஆசிரியர்	hoca
ஆசிரியர்	yazar
ஆசிரியர்	yazarı
ஆஃப்	izin
ஆஃப்	kapalı
ஆஃப்	off
முக்கியமான	önemlidir
முக்கியமான	onemli
முக்கியமான	önemli
முக்கியமான	kritik
முக்கியமான	eleştirel
தொடர்பு	irtibat
தொடர்பு	iletisim
தொடர்பு	bağlantı
தொடர்பு	iletişim
ஜூலை	temmuz
ஆற்றல்	enerji
ஆற்றல்	enerjisi
கிலோ	kilo
வேலை	çalış
வேலை	çalışma
வேலை	iş
வேலை	çalışmak
வேலை	eyüp
வேலை	iş
இருக்கலாம்	belki
சமய	dindar
சமய	dinsel
சமய	dini
பணி	eyüp
பணி	iş
பணி	çalış
பணி	çalışma
பணி	iş
பணி	çalışmak
பணி	görev
கதை	hikâye
கதை	hikaye
கதை	öykü
கதை	masal
இடையே	arasında
இடையே	arasına
இடையே	arası
இடையே	arasındaki
பட்டம்	mezun
பட்டம்	mezuniyet
பட்டம்	derece
பட்டம்	derecesi
பட்டம்	diploma
பட்டம்	uçurtma
வழி	şekilde
வழி	yol
அப்போது	öyleyse
அப்போது	ozaman
அப்போது	sonra
விடுதலை	kurtuluş
விடுதலை	özgürlük
விடுதலை	özgürlüğü
விடுதலை	özgür
விடுதலை	hürriyet
ஆகஸ்ட்	ağustos
ஆகஸ்ட்	august
தேதி	tarihi
தேதி	randevu
தேதி	flört
தேதி	buluşma
தேதி	tarih
பிறந்த	doğumu
பிறந்த	doğum
பிறந்த	dogum
இன்னும்	ve
இன்னும்	hala
இன்னும்	hâlâ
இன்னும்	halen
ஜான்	john
ஜான்	yahya
ஜான்	jon
ஜான்	jaan
