xbox	xbox
encuesta	poll
encuesta	angket
afecta	berpengaruh
afecta	memengaruhi
afecta	mempengaruhi
afecta	pengaruhi
afecta	amaliah
afecta	memengaruhi
afecta	mempengaruhi
enciclopédico	encyclopedic
pokémon	pokémon
libertador	pembebas
libertador	pembebas
generalidad	generalitat
efectivamente	efektif
efectivamente	memang
virreinato	viceroyalty
seca	dry
seca	mengeringkan
seca	kering
seca	keringkan
seca	dikeringkan
seca	dijemur
medir	pengukuran
medir	mengukur
medir	ukur
medir	mengukur
asume	berasumsi
asume	asumsikan
asume	mengasumsikan
asume	berasumsi
asume	mengasumsikan
dieta	diet
discusiones	diskusi
discusiones	diskusi
discusiones	argumen
stanley	stanley
panorama	panorama
realistas	realistis
realistas	realistik
rin	rin
rin	rhine
animada	animasi
animada	lively
nativa	native
intensa	intens
intensa	menegangkan
duelo	duel
duelo	berduka
duelo	berduka
duelo	berkabung
duelo	duka
legend	legend
legend	legenda
seattle	seattle
acústica	akustik
acústica	acoustic
acústica	akustik
innovación	inovasi
innovación	berinovasi
hueso	bone
hueso	tulang
administrativas	administratif
donald	donald
donald	donal
rincón	pojok
rincón	corner
rincón	pojokan
rincón	sudut
rincón	rincon
rincón	rincón
jacob	jacob
jacob	yakub
ordenador	komputer
ordenador	computer
baño	toilet
baño	kloset
baño	mandi
seguros	asuransi
correr	running
correr	berjalan
correr	lari
correr	menjalankan
correr	berlari
correr	lari
correr	menjalankan
correr	jalankan
correr	joging
correr	jogging
hms	hms
telecomunicaciones	telecom
telecomunicaciones	telekomunikasi
telecomunicaciones	telekomunikasi
telecomunicaciones	telekomunikasi
arequipa	arequipa
iris	iris
eventualmente	akhirnya
maldonado	maldonado
cantando	nyanyian
cantando	menyanyi
cantando	bernyanyi
examen	tinjauan
examen	review
examen	tinjau
examen	ulasan
examen	ulas
examen	meninjau
examen	pemeriksaan
examen	ujian
depósitos	gudang
depósitos	waduk
depósitos	deposito
depósitos	setoran
depósitos	deposito
depósitos	deposit
depósitos	setoran
ocasionalmente	sesekali
ocasionalmente	sesekali
invitada	tamu
invitada	mengundang
invitada	diundang
gov	gov
homer	homer
liverpool	liverpool
rap	rap
rap	rap
respondió	membalas
respondió	dibalas
respondió	menjawab
respondió	menjawab
respondió	terjawab
respondió	dijawab
respondió	meresponnya
respondió	ditanggapi
respondió	menanggapi
respondió	tanggapi
asistir	menghadiri
asistir	assist
asistir	menghadiri
asistir	hadiri
asistir	dampingi
turistas	wisatawan
turistas	turis
turistas	wisatawan
turistas	turis
darío	darius
imdb	imdb
autobús	bus
autobús	bis
actuando	bertindak
actuando	akting
actuando	berakting
actuando	aktingnya
anuncia	mengumumkan
anuncia	umumkan
confusión	kebingungan
lituania	lithuania
lituania	lituania
lituania	lithuania
lituania	lituania
tendencias	trend
tendencias	tren
tendencias	trend
tendencias	kecenderungan
tendencias	tren
tendencias	trending
tendencias	tren
secretos	rahasia
secretos	rahasia
secretos	secret
tommy	tommy
probabilidad	probabilitas
probabilidad	kemungkinannya
probabilidad	kemungkinan
exhibición	pameran
exhibición	pameran
provinciales	kampungan
amistoso	bersahabat
amistoso	ramah
convenio	konvensi
elaborado	menguraikan
elaborado	rinci
entretenimiento	hiburan
entretenimiento	entertainment
temprano	early
temprano	dini
temprano	awal
euphorbia	euphorbia
direcciones	arah
direcciones	alamat
direcciones	alamat
soprano	sopran
now	sekarang
now	now
now	kini
delitos	kejahatan
atletas	atlet
atletas	atlit
informa	informa
sonic	sonic
sonic	sonik
semifinal	semifinal
semifinal	semifinal
asumir	berasumsi
asumir	asumsikan
asumir	mengasumsikan
espectro	specter
espectro	spectra
espectro	spektrum
espectro	spectre
serio	serius
serio	serious
conducción	konduksi
conducción	menyetir
conducción	mengemudi
conducción	berkendara
gobernantes	penguasa
capacidades	kemampuan
capacidades	kapasitas
capacidades	kapabilitas
capacidades	kemampuan
inteligente	pintar
inteligente	pandai
inteligente	cerdas
inteligente	kecerdasan
inteligente	cerdas
inteligente	pintar
inteligente	smart
introducido	dimasukkan
introducido	diperkenalkan
introducido	memperkenalkan
introducido	dikenalkan
ficticio	fiktif
ficticio	fiksi
ficticio	fiktif
manhattan	manhattan
concursos	kompetisi
concursos	kontes
concursos	lomba
partió	almarhum
cia	cia
cia	pkb
cia	cia
cia	cla
abundantes	berlimpah
abundantes	berlimpah
abundantes	melimpah
dosis	dosis
dosis	dosis
dosis	dosisnya
dosis	dosis
dosis	dosisnya
cubrir	sampul
cubrir	cover
cubrir	penutup
cubrir	tutupi
antártida	antarktika
antártida	antartika
antártida	antarktika
citas	kutipan
citas	kutipan
citas	quotes
citas	kencan
citas	dating
citas	berkencan
aprobada	disetujui
investigar	menyelidiki
investigar	selidiki
investigar	menyelidikinya
libreto	libreto
filadelfia	philly
filadelfia	philadelphia
decidido	memutuskan
decidido	diputuskan
decidido	ditentukan
decidido	bertekad
baden	baden
baden	jambore
falso	palsu
falso	false
falso	salah
falso	palsu
falso	fake
jesuitas	jesuit
jesuitas	jesuit
enfrenta	berseteru
humedad	kelembaban
humedad	kelembaban
atracción	attraction
atracción	atraksi
atracción	dkk
jurídico	juridical
jurídico	hukum
jurídico	sah
jurídico	legal
tabasco	tabasco
destruida	dihancurkan
destruida	hancur
destruida	dimusnahkan
destruida	menghancurkan
testigo	saksi
seguida	diikuti
bros	bros
kilómetro	mile
kilómetro	mil
kilómetro	kilometer
kilómetro	kilometer
bobby	bobby
lugo	lugo
reptiles	reptil
reptiles	reptil
logo	logo
sustancia	zat
sustancia	substansi
turística	wisatawan
turística	turis
holandés	dutchman
holandés	belanda
plus	ditambah
plus	plus
estocolmo	stockholm
nasa	nasa
masiva	besaran
masiva	masif
masiva	massive
viendo	melihat
viendo	ngeliat
viendo	nonton
viendo	menonton
viendo	watching
mercurio	mercury
mercurio	merkuri
mercurio	merkurius
mercurio	raksa
gilbert	gilbert
escobar	escobar
moléculas	molekul
regulación	peraturan
regulación	regulasi
regulación	regulator
sargento	sarge
sargento	sersan
sargento	sersan
alturas	height
alturas	ketinggian
alturas	heights
creencia	kepercayaan
creencia	keyakinan
aterrizaje	landing
aterrizaje	pendaratan
aterrizaje	mendarat
campbell	campbell
danny	dimas
danny	danny
ventajas	keuntungan
ventajas	tunjangan
ventajas	manfaatnya
ventajas	manfaat
ventajas	keuntungan
ventajas	keunggulan
ventajas	kelebihan
martes	tuesday
martes	selasa
martes	selasa
requieren	membutuhkan
requieren	memerlukan
requieren	mengharuskan
pretendía	dimaksudkan
pretendía	ditujukan
arsenal	persenjataan
arsenal	arsenal
sociología	sosiologi
nigeria	nigeria
nigeria	pekanbaru
nigeria	nigeria
constantinopla	konstantinopel
extrema	ekstrem
extrema	ekstrim
extrema	extreme
gibraltar	gibraltar
consola	konsol
sentimiento	merasa
sentimiento	perasaan
sentimiento	feeling
sentimiento	sentimen
cargas	beban
cargas	tagihan
cargas	biaya
cargas	unggahan
cargas	unggah
cargas	upload
cargas	beban
complutense	complutense
trato	tawar
trato	deal
trato	penawaran
trato	kesepakatan
suficientes	cukup
suficientes	kecukupan
when	kapan
when	saat
when	apabila
when	ketika
márquez	márquez
márquez	marquez
flash	flash
place	tempatkan
place	place
place	tempat
non	non
reality	kenyataan
reality	realitas
reality	reality
reality	realita
castillos	kastil
fuga	fugue
fuga	kabur
fuga	escape
fuga	jailbreak
cleveland	cleveland
dorada	golden
dorada	emas
dorada	keemasan
dorada	emas
dorada	gold
abuela	nenek
abuela	granny
abuela	nenek
abuela	grandma
experto	ahli
experto	pakar
frontal	front
frontal	depan
frontal	frontal
aprovechando	memanfaatkan
borgoña	bourgogne
borgoña	burgundy
huevo	eggs
huevo	telur
huevo	egg
huevo	telur
tragedia	tragis
tragedia	tragedi
lagunas	celah
lagunas	kesenjangan
beta	beta
contaminación	pencemaran
contaminación	kontaminasi
contaminación	pencemaran
contaminación	polusi
costera	pesisir
charlotte	charlotte
azteca	azteca
azteca	aztec
patrones	pola
patrones	pola
patrones	perusahaan
how	bagaimana
how	how
boeing	boeing
transmisiones	transmisi
transmisiones	siaran
aliado	allied
aliado	sekutu
aliado	ally
aliado	sekutu
ama	ama
ama	nyonya
ama	selingkuhan
ama	kyk
ama	loves
literarios	sastra
viejos	tua
viejos	lama
viejos	old
mediodía	siang
traducciones	translation
traducciones	terjemahan
traducciones	penerjemahan
traducciones	terjemahan
traducciones	penerjemahan
pulgadas	inch
pulgadas	inci
pulgadas	inchi
pulgadas	inchi
pulgadas	inci
arnold	arnold
ladrillo	brick
ladrillo	bata
calvo	botak
calvo	calvo
calvo	botak
barbara	barbara
creer	believe
creer	percaya
creer	percaya
creer	mempercayai
creer	yakini
creer	percaya
compartir	membagikan
compartir	bagikan
compartir	sharing
compartir	berbagi
compartir	bagikan
compartir	berbagi
compartir	share
niñas	cewek
niñas	girls
niñas	gadis
dependencia	dependensi
dependencia	ketergantungan
dependencia	ketergantungan
detective	detective
detective	detektif
probar	buktikan
probar	coba
probar	cobalah
probar	ujian
probar	pengujian
probar	menguji
probar	uji
probar	test
probar	tes
mónica	monica
arroyos	aliran
arroyos	stream
arroyos	brooks
volante	flyer
volante	selebaran
volante	brosur
volante	penerbang
sabio	bijak
sabio	sage
sabio	bijak
sabio	wise
sabio	bijaksana
budapest	budapest
beca	beasiswa
cráneo	tengkorak
cráneo	tengkorak
cráneo	skull
provocando	memicu
provocando	menyebabkan
provocando	memprovokasi
velocidades	kecepatan
gobernante	penguasa
gobernante	penggaris
madison	madison
caridad	amal
caridad	sedekah
caridad	amal
caridad	sedekah
caridad	amal
caridad	bersedekah
leftarm	leftarm
llave	kunci
llave	key
exclusiva	ekslusif
exclusiva	exclusive
exclusiva	eksklusif
estero	estero
merced	merced
armados	dipersenjatai
armados	bersenjata
manuscritos	manuskrip
manuscritos	naskah
manuscritos	manuskrip
manuscritos	naskah
rivas	rivas
major	major
major	mayor
major	jurusan
tve	tve
demonio	daemon
demonio	jurik
demonio	setan
demonio	iblis
demonio	devil
demonio	setan
demonio	siluman
demonio	iblis
demonio	demon
note	note
note	catatan
emitida	dipancarkan
carrillo	carrillo
nazis	nazi
nazis	nazi
valdivia	valdivia
luisiana	louisiana
televisa	televisa
malo	buruk
malo	jahat
malo	bad
materias	bahan
materias	materi
materias	material
materias	subyek
materias	subjek
urbanas	urban
urbanas	perkotaan
estándares	standar
básicas	dasar
básicas	basic
gases	gas
gases	gas
ferroviario	railway
boletín	newsletter
boletín	buletin
boletín	buletin
potencias	powers
ejemplar	menyalin
ejemplar	copy
ejemplar	salin
ejemplar	salinan
ejemplar	teladan
separadas	dipisahkan
separadas	dipisah
separadas	berpisah
express	ekspres
express	express
express	ungkapkan
express	mengungkapkan
portugueses	portugis
normales	biasa
normales	normal
basket	keranjang
basket	bakul
estelar	star
estelar	bintang
montaje	pemasangan
montaje	penginstalan
montaje	instalasi
montaje	mengaitkan
montaje	mengait
montaje	assembly
montaje	perakitan
montaje	majelis
montaje	menyunting
montaje	editing
montaje	penyuntingan
montaje	mengedit
demo	demo
considerando	mempertimbangkan
considerando	mengingat
considerando	resital
enviados	dikirim
enviados	terkirim
enviados	dikirimkan
fotógrafo	photographer
fotógrafo	fotografer
kent	kent
larry	larry
porción	porsi
asesinados	dibunuh
asesinados	terbunuh
asesinados	dibunuh
asesinados	dibunuh
asesinados	tewas
asesinados	terbunuh
combatientes	pejuang
combatientes	petarung
combatientes	pejuang
combatientes	petarung
combatientes	fighters
oponente	lawan
oponente	lawannya
prince	pangeran
prince	prince
giuseppe	giuseppe
pura	pura
pura	sheer
pura	murni
pura	pure
forestal	kehutanan
forestal	hutan
forestal	forest
viola	viola
track	lacak
track	trek
track	track
parodia	mengakali
parodia	parodi
evangelio	gospel
evangelio	injil
honda	slingshot
honda	honda
loira	loire
esfera	bola
esfera	lingkup
esfera	orb
muertes	kematian
román	roman
román	romawi
intenso	intensif
intenso	intens
intenso	menegangkan
vaya	wow
vaya	wah
alvarado	alvarado
litros	galon
litros	liter
litros	liter
litros	liter
penales	pidana
penales	kriminal
penales	criminal
penales	penjahat
shows	memperlihatkan
shows	menunjukkan
shows	menampilkan
shows	pertunjukan
constituido	dibentuk
constituido	terbentuk
name	nama
consulado	konsulat
consulado	konsulat
ingresar	login
ingresar	masuk
ingresar	masukkan
ingresar	enter
autorización	ijin
autorización	izin
autorización	otorisasi
autorización	otorisasi
belén	bethlehem
belén	betlehem
belén	belen
próximos	mendatang
editada	disunting
editada	diedit
discografía	diskografi
rangers	rangers
rangers	ranger
esquí	ski
esquí	ski
esquí	berseluncur
envía	mengirimkan
prisionero	tawanan
prisionero	tahanan
causando	menyebabkan
disparo	tembakan
disparo	penembakan
disparo	shooting
disparo	menembak
disparo	bidikan
disparo	shot
disparo	bidikan
disparo	tertembak
disparo	ditembak
teorema	teorema
extenso	ekstensif
golpes	sapuan
golpes	stroke
golpes	berhembus
golpes	pukulan
mega	mega
atacó	menyerang
atacó	diserang
herbert	herbert
dinosaurios	dinosaurus
dinosaurios	dinosaurus
preparar	mempersiapkan
preparar	prepare
preparar	siapkan
preparar	persiapkan
extranjera	asing
extranjera	foreign
caña	kutub
caña	pole
caña	galah
caña	tiang
caña	tebu
caña	cane
caña	rod
ética	beretika
ética	etis
ética	etika
encontrados	menemukan
encontrados	mendapati
encontrados	nemu
encontrados	ditemukan
correspondencia	korespondensi
correspondencia	menyurat
correspondencia	surat
correspondencia	mail
correspondencia	surel
monjes	biksu
monjes	biarawan
formatos	pemformatan
formatos	memformat
formatos	format
vaticano	vatikan
bombardeo	pemboman
bombardeo	pengeboman
bombardeo	pemboman
bombardeo	pengeboman
bombardeo	bom
bombardeo	mengebom
respuestas	tanggapi
respuestas	tanggapan
respuestas	respons
respuestas	jawaban
respuestas	balasan
cooper	cooper
duero	douro
duero	duero
august	august
august	agustus
cambiando	mengubah
cambiando	berubah
cambiando	beralih
típicos	khas
típicos	tipikal
lento	slow
lento	perlahan
lento	lambat
lento	lamban
summer	summer
dramaturgo	dramawan
apoyado	didukung
independientemente	independen
independientemente	terlepas
astronómico	astronomi
col	kubis
col	col
ludwig	ludwig
velázquez	velázquez
velázquez	velasquez
líbano	lebanon
líbano	libanon
líbano	lebanon
túnez	tunisia
túnez	tunisia
túnez	tunis
cena	dinner
cena	perjamuan
incluidas	disertakan
incluidas	termasuk
incluidas	menyertakan
incluidas	diikutsertakan
four	empat
four	four
pescado	ikan
republicanos	republik
republicanos	republikan
magic	sihir
magic	ajaib
magic	magic
magic	sulap
artísticas	artistik
lujo	deluxe
lujo	kemewahan
lujo	mewah
lujo	luxury
electrones	elektron
electrones	elektron
wood	kayu
wood	wood
avances	terobosan
avances	pratinjau
avances	kemajuan
avances	perkembangan
avances	progres
avances	progress
vacaciones	libur
vacaciones	holiday
vacaciones	liburan
vacaciones	liburan
vacaciones	libur
vacaciones	liburan
aerolínea	maskapai
aerolínea	airline
murallas	wall
murallas	tembok
murallas	dinding
murallas	tembok
murallas	dinding
descendiente	turunannya
descendiente	keturunan
sainte	sainte
eta	eta
cóndor	condor
cóndor	rajawali
reduce	mengurangi
reduce	kurangi
reduce	mengurangi
coronado	dimahkotai
coronado	dinobatkan
coronado	coronado
esperando	waiting
esperando	menunggu
esperando	menanti
esperando	menduga
esperando	mengharapkan
esperando	berharap
específicas	spesifik
específicas	tertentu
específicas	khusus
manifestación	manifestasi
manifestación	demonstrasi
robles	oaks
robles	robles
trajo	dibawa
bienestar	kesejahteraan
bienestar	kebugaran
bienestar	kesejahteraan
mansión	mansion
mansión	manor
suplente	alternative
suplente	alternatif
suplente	pengganti
suplente	gantikan
sueca	swedia
convencional	konvensional
philippe	philippe
