ruzveltas	roosevelt
snoop	snoop
geograph	geograph
astronomai	astronomii
pagrobti	rapire
pagrobti	rapeasca
kaštonų	chestnut
kompleksų	complexe
fulham	fulham
butas	apartamentul
butas	apartament
tarpininkas	intermediar
tarpininkas	intermediarul
iliustratorius	ilustrator
sauga	siguranta
sauga	siguranta
sauga	siguranta
kepler	kepler
ožys	capra
ožys	capra
pokalbis	conversatie
pokalbis	conversatie
stabilizatorius	stabilizator
servette	servette
aufl	aufl
tiekėjas	furnizor
tiekėjas	furnizorul
atidėti	amana
atidėti	amana
atidėti	amana
atidėti	amana
štirijos	stiria
pėstininkas	pionul
pėstininkas	pion
kano	kann
kvarco	cuart
šopeno	chopin
endriu	andrew
poznanėje	poznań
bendrieji	generalul
bendrieji	generale
bendrieji	general
samdiniai	mercenari
samdiniai	mercenarii
jahija	yahya
tao	tao
gėjų	homosexual
gėjų	homo
gėjų	gay
kurdistano	kurdistan
rašant	scrierea
rašant	scriind
rašant	scriere
rašant	scriu
chromo	crom
kostiumas	costum
firefox	firefox
uriah	urie
hablo	hubble
lježo	liège
kirpėjas	coafor
kirpėjas	frizer
naviko	tumoare
naviko	tumorii
naviko	tumora
atviri	mandate
cirkas	circ
cirkas	circus
cirkas	circul
gorkis	gorky
sąskaitos	facturare
bsd	bsd
nusikaltėlis	infractor
kriaušės	para
kriaušės	para
kriaušės	pere
kriaušės	pere
jautrus	sensibile
jautrus	sensibila
jautrus	sensibila
jautrus	sensibil
dominuoti	domina
dominuoti	domina
skola	datorie
skola	datorii
pusmėnulio	crescent
chuck	chuck
senelė	bunica
senelė	bunica
opel	opel
derry	derry
sprogmenų	explozibil
sprogmenų	exploziva
sprogmenų	explozive
sprogmenų	exploziv
lašišos	somon
fussballdaten	fussballdaten
rankraščiai	manuscrise
alyvos	butoi
alyvos	uleiuri
kamieninių	tulpina
kamieninių	stem
lingė	harrier
bilis	billy
vsc	vsc
hibernian	hibernian
vyšnios	cherry
verona	verona
eng	eng
wyd	wyd
nematomas	invizibili
nematomas	invizibila
nematomas	invizibile
nematomas	invizibil
ssc	csd
kėdės	scaune
kėdės	fotoliu
kėdės	scaun
įspūdingas	impresionant
įspūdingas	impresionanta
greita	repede
greita	rapid
greita	repede
greita	rapid
greita	rapida
paaiškinimas	explicatie
paaiškinimas	explicatia
paaiškinimas	explicatie
fortuna	fortuna
jungtys	interfetele
jungtys	conectori
nedarbas	somaj
akira	akira
idol	idolul
idol	idol
katalogo	catalog
katalogo	catalogul
altas	saxofon
verslininkai	antreprenori
verslininkai	antreprenorii
gao	gao
opus	opus
agresijos	agresiune
agresijos	agresivitate
agresijos	agresiunea
bonifacas	boniface
prostatos	prostata
prostatos	prostata
joão	joão
bonus	bonus
bonus	bonusul
electro	electro
balansas	echilibru
balansas	balanta
balansas	balans
balansas	sold
balansas	soldul
samsung	samsung
rebelde	rebelde
plytos	caramizi
faktais	garantat
faktais	garantata
faktais	garantate
idris	idris
miega	adormita
miega	adormit
miega	doarme
miega	dormind
miega	doarme
miega	dormit
tiuringijos	thuringian
tiuringijos	turingia
naikinimas	zdrobi
naikinimas	depopularea
eminem	eminem
šiitų	shia
bradley	bradley
metisai	mestizo
profesionaliai	profesional
tyrėjų	detectivii
tyrėjų	detectivi
tyrėjų	detectivilor
tikrovė	realitate
tikrovė	realitatea
griežti	strict
griežti	stricte
griežti	stricta
griežti	hardcore
onkologijos	oncologie
kirilas	kirill
horizontali	orizontal
horizontali	orizontale
horizontali	orizontala
drausmės	disciplinare
drausmės	disciplinar
drausmės	disciplinara
jerome	jerome
originalas	pirati
originalas	piratii
aliochinas	alehin
cao	cao
koordinavimo	coordonare
koordinavimo	coordonarea
porai	praz
stiprina	amplificator
stiprina	consolideaza
šiukšlių	gunoi
šiukšlių	gunoaie
šiukšlių	gunoiul
tonumber	tonumber
prisiminti	amintindu
konsultacijų	consultari
konsultacijų	consultare
konsultacijų	consultarile
konsultacijų	consultarilor
konsultacijų	consultarea
konsultacijų	consultare
jure	jure
dingsta	dispare
dingsta	dispar
kilme	origine
kilme	originea
pipirai	pepper
pipirai	piper
pipirai	ardei
pipirai	piperul
sekmadienis	duminica
sekmadienis	duminica
alisa	alice
zagora	zagora
olimpia	olimpia
šiltos	calde
šiltos	cald
šiltos	calda
buto	apartamentul
buto	apartament
būtinybė	necesitate
būtinybė	necesitatea
sundos	sunda
laimėjimai	realizari
laimėjimai	realizarile
laimėjimai	realizari
marse	marcy
bušas	bush
sochaux	sochaux
dao	dao
vankuverio	vancouver
realybė	realitate
realybė	realitatea
tobias	tobias
auguste	auguste
rojas	rojas
rowling	rowling
libertadores	libertadores
lankai	arcuri
gražu	frumoase
gražu	frumoasa
gražu	frumos
gražu	frumoasa
gražu	nice
gražu	frumos
plaučius	plamanii
plaučius	plamani
mustafa	mustafa
livonija	livonia
matavimai	masuratori
matavimai	masuratorile
matavimai	masurare
matavimai	masurarea
matavimai	masuratori
pečioros	peciora
dumbliai	algele
dumbliai	alge
janos	janos
uraganas	uragan
uraganas	uraganul
treniruotis	spar
gridcolor	gridcolor
ska	ska
mstislavas	mstislav
delavero	delaware
suopis	buzzard
birkirkara	birkirkara
stipendijos	granturi
stipendijos	subventii
stipendijos	bursele
stipendijos	burse
spektras	spectrul
spektras	spectru
wikidata	wikidata
nino	nino
gobio	gobi
nuosprendis	verdictul
nuosprendis	verdict
okb	okb
hemoglobino	hemoglobinei
hemoglobino	hemoglobina
robertson	robertson
judas	iuda
žiurkė	sobolan
žiurkė	rat
tešla	aluat
tešla	aluatul
tešla	malai
arterijų	arteriala
arterijų	arterele
arterijų	artere
baladė	balada
transformacijos	transformarea
transformacijos	transformare
pardavėjas	comerciant
pardavėjas	vanzator
pardavėjas	vanzatorul
pabėgėliai	refugiat
pabėgėliai	refugiati
pabėgėliai	refugiati
keistas	ciudat
keistas	ciudat
keistas	straniu
lingua	lingua
mafija	mob
mafija	mafia
mafija	mafiot
mafija	mafia
mafija	mafie
ertmėje	cavitatea
specializuotų	specializat
specializuotų	specializate
specializuotų	specializata
rifai	recifurile
gazos	gaza
endeminių	endemice
patiekalus	vesela
patiekalus	vase
ūmėdė	russula
vėliavas	bannere
klesti	infloritoare
dora	dora
skystas	lichide
skystas	lichid
skystas	lichida
achilo	ahile
alyvuogių	masline
ciklų	cicluri
ciklų	ciclurile
wrocław	wrocław
smithsonian	smithsonian
leben	leben
ekologinė	ecologice
ekologinė	ecologic
ekologinė	ecologica
pranešimo	notificare
pranešimo	notificari
pranešimo	notificarea
tyliai	liniste
tyliai	liniste
vandalai	vandali
porter	porter
discogs	discogs
buteo	buteo
šviesi	luminos
šviesi	bright
tiekėjų	furnizori
tiekėjų	furnizorii
strėliukė	damselfly
sligo	sligo
delle	delle
patogiau	confortabila
patogiau	confortabil
padažas	sos
padažas	sosul
potencialiai	potential
ign	ign
receptorius	receptori
receptorius	receptorii
tonos	tone
neigia	neaga
zylė	tit
esbo	osce
amour	amour
staigus	sharp
šlovė	grindina
žavėjosi	admirat
montažas	montaj
dravidų	dravidiene
sviedinys	ghiulea
cole	cole
proporcingas	proportional
proporcingas	proportionala
proporcingas	proportionale
polydor	polydor
patobulinta	modernizate
lgbt	lgbt
levadia	levadia
vadove	ghid
vadove	ghidul
ritualas	ritualul
ritualas	ritual
fabio	fabio
palestiniečių	palestinieni
balsis	vocala
balsis	vocala
įsivaizduoti	imaginat
revoliucinė	revolutionar
grunge	grunge
poseidonas	poseidon
clarkson	clarkson
sklypų	parcele
sklypų	colete
sklypų	parcele
rosenborg	rosenborg
krizių	crizele
krizių	crize
cellpadding	cellpadding
maximus	maximus
moliuskai	moluste
kolegos	colegi
kolegos	colegii
pokalbio	conversatie
pokalbio	conversatie
asirija	asiria
vakar	ieri
violetinė	purpuriu
violetinė	mov
violetinė	violet
oliveira	oliveira
aparatūra	aparate
aparatūra	aparat
akvariumas	acvariu
oksidacijos	oxidare
atari	atari
pokerio	poker
remiama	sponsorizate
remiama	sponsorizat
remiama	sponsorizata
chamberlain	chamberlain
skliaustuose	paranteze
blokavimo	blocarea
sorbų	soraba
esminė	critica
esminė	critic
esminė	critica
esminė	critice
jaguar	jaguar
jaguar	jaguarul
lamborghini	lamborghini
dirvožemį	solul
dirvožemį	sol
slyvų	plum
slyvų	prune
vadi	wadi
biologiškai	biologic
biologiškai	biodegradabile
aštrus	picante
aštrus	picanta
aštrus	picant
aštrus	condimentat
turbina	turbina
paviršiai	suprafete
paviršiai	suprafete
triukšmas	zgomote
triukšmas	zgomotul
triukšmas	galagie
triukšmas	zgomot
makaronai	macaroane
optika	optica
optika	optica
kalifas	calif
netinkamas	incorect
netinkamas	incorecte
netinkamas	incorecta
netinkamas	incorect
netinkamas	invalid
amino	amino
demonai	demonii
demonai	demoni
džiaugsmas	joy
džiaugsmas	bucurie
džiaugsmas	veselie
džiaugsmas	bucuria
višnaus	vishnu
plaukikas	inotatoare
plaukikas	inotator
švelnios	blanda
švelnios	bland
maratonas	maratonul
maratonas	maraton
coleoptera	coleoptera
pirmtakai	predecesorii
specializacijos	specializare
skiemuo	silaba
mozilla	mozilla
bora	bora
teleskopo	telescopul
teleskopo	telescop
brangi	draga
brangi	dragi
brangi	draga
klestėjimas	prosperitatea
klestėjimas	prosperitate
donatello	donatello
hermiona	hermione
cellspacing	cellspacing
postų	postarile
postų	posturi
postų	postari
robotas	robotul
robotas	robot
galingi	puternica
galingi	puternic
minerva	minerva
surinktas	asamblat
surinktas	asamblate
sprogstamosios	explozibil
sprogstamosios	exploziva
sprogstamosios	explozive
sprogstamosios	exploziv
atsparumo	rezistenta
atsparumo	rezistenta
atsparumo	rezistenta
southampton	southampton
paaukoti	dona
paaukoti	donez
paaukoti	doneaza
valyti	curatat
styga	coarda
styga	coarda
rožinio	rosé
užtvankų	baraje
starta	bunting
granada	granada
turinas	torino
diplomatinių	diplomatice
diplomatinių	diplomatic
diplomatinių	diplomatica
nirvana	nirvana
bandymą	experimentul
bandymą	experiment
bandymą	experimenteaza
braun	braun
vandeninis	apoasa
vandeninis	apoase
dublinas	dublin
udo	udo
apvalkalas	scoica
apvalkalas	shell
apvalkalas	cochilie
apvalkalas	coaja
barrichello	barrichello
tikslumas	precizie
tikslumas	precizia
tikslumas	precizie
tikslumas	precizia
kremliaus	kremlin
berger	berger
elvis	elvis
vagonų	vagoane
suprojektuota	proiectat
suprojektuota	proiectata
suprojektuota	conceput
suprojektuota	proiectate
suprojektuota	concepute
mokymasis	invatare
blokų	blocuri
svetimas	strain
svetimas	strain
ger	ger
šiaudų	paie
diktatūros	dictaturi
diktatūros	dictatura
diktatūros	dictatura
laguna	laguna
paskiria	contact
paskiria	contacteaza
paskiria	contactul
komentatorius	comentator
turkmėnų	turkmen
katalonų	catalana
adis	addis
puikų	excelent
tsv	tsv
mono	mono
plėšrūnų	pradatori
plėšrūnų	pradatorii
apgyvendinimo	cazare
vežimas	transporturile
vežimas	transporturi
dumblių	algele
dumblių	alge
ursus	ursus
forum	forum
forum	forumul
listclass	listclass
teologija	teologie
paktas	pact
paktas	pactul
paktas	pactului
paktas	dulapuri
citadelė	cetatea
citadelė	cetate
kaukazas	caucazul
kaukazas	caucaz
marselio	marseille
marselio	marsilia
brendan	brendan
tor	tor
nendrių	trestie
nendrių	reed
kančia	suferinta
kančia	suferinta
kančia	suferind
kančia	chinul
kančia	chinuri
cinkas	zinc
norimą	dorita
norimą	dorit
norimą	dorita
norimą	dorite
jūreivių	marinari
jūreivių	marinarii
jūreivių	marinarilor
laimingas	fericita
laimingas	fericita
laimingas	happy
laimingas	fericit
dirvinė	myosotis
kontaktas	contact
kontaktas	contacteaza
kontaktas	contactul
bismarkas	bismarck
sąsmauka	istm
oktavianas	octavian
gegutės	cuc
gegutės	cucu
mileris	miller
hunai	huni
elzė	eliza
dal	dal
vakarienė	cinei
vakarienė	cina
vakarienė	cina
elisabeth	elisabeth
elisabeth	elisabeta
kenkėjų	pacoste
kenkėjų	pesta
kenkėjų	daunatori
koridorius	coridoare
koridorius	coridoarele
koridorius	coridor
koridorius	coridorul
dunojus	dunare
dunojus	dunarea
dunojus	dunarii
įkvėpti	inspira
įkvėpti	inspira
lydiniai	aliaje
milžinai	giants
charleroi	charleroi
viskio	scotch
viskio	whisky
priimtų	repere
priimtų	subliniaza
važiuoklės	sasiu
kopa	kopa
dinozaurai	dinozauri
dinozaurai	dinozaurii
spiritas	spirite
spiritas	spiritele
spiritas	spiritelor
egzamino	examen
egzamino	examenul
neišvengiamai	inevitabil
finansiniai	financiara
finansiniai	financiar
finansiniai	financial
finansiniai	financiara
finansiniai	financiare
krantinės	quay
rūsys	beci
suaugusieji	adulti
suaugusieji	adulti
suaugusieji	adulti
suaugusieji	adult
suaugusieji	adulta
galija	belgica
sophia	sophia
coca	coca
konservantas	conservant
austrai	austrieci
tinklinis	volei
battista	battista
rekomenduoja	recomanda
rekomenduoja	recomanda
rekomenduoja	recomanda
rekomenduoja	recomand
elachista	elachista
šviesus	luminos
šviesus	bright
toras	thor
incidentas	incident
incidentas	incidente
incidentas	incidentul
lesa	naparlire
kaiser	kaiser
paskirstymas	alocare
paskirstymas	alocarea
paskirstymas	detaliere
paskirstymas	distributie
paskirstymas	distributia
paskirstymas	distributia
paskirstymas	distribuire
paskirstymas	distributie
tiriami	testate
tiriami	testat
tiriami	testata
moses	moise
moses	moses
eritrėja	eritreea
meteoritas	meteoritul
meteoritas	meteorit
ruiz	ruiz
derėtis	negocia
derėtis	negociaza
niufaundlando	newfoundland
maserati	maserati
rainbow	rainbow
rainbow	curcubeu
rainbow	curcubeul
bangor	bangor
persekiojami	persecutat
leto	leto
plikas	chel
plikas	chelie
plikas	cheala
laikrodžiai	ceasuri
laikrodžiai	ceasuri
krosnis	cuptor
krosnis	cuptor
krosnis	cuptorul
malcolm	malcolm
malcolm	malcom
bmg	bmg
wordpress	wordpress
kurilų	kurile
burchard	burchard
laidumas	conductivitate
butanas	butan
wow	wow
wow	uau
diktatūra	dictatura
diktatūra	dictatura
renato	renato
dancigo	danzig
owen	owen
direktoriai	directori
direktoriai	regizori
direktoriai	directorii
karcinoma	carcinom
lynn	lynn
seminaras	atelier
seminaras	atelierul
seminaras	seminar
seminaras	seminarul
čerčilis	churchill
draugės	prietenii
draugės	prieteni
aortos	aortica
legionas	legiune
legionas	legiunea
kerštas	razbunarea
kerštas	razbunare
kerštas	razbunare
kerštas	razbunarea
kerštas	razbunare
kerštas	razbunare
tibetas	tibet
miao	miao
kalvis	fierarul
kalvis	fierar
kambodža	cambodgia
romero	romero
stadio	stadio
tokelau	tokelau
konstantos	constante
buitinių	gospodarie
buitinių	municipale
buitinių	municipal
buitinių	municipala
skylė	hole
skylė	gaura
skylė	gaura
trajektorija	traiectorie
trajektorija	traiectoria
simboliškai	simbolic
kardą	spada
kardą	sabia
kardą	sabie
warcraft	warcraft
guido	guido
viskonsino	wisconsin
rimta	serioasa
rimta	serioasa
rimta	grave
rimta	seriozitate
rimta	serios
miko	miko
socializmas	socialismul
stabilus	stabil
stabilus	stabile
stabilus	grajd
stabilus	stabila
nevis	nevis
pjemonto	piemonte
mesopotamija	mesopotamia
gandras	barza
netikras	fals
netikras	falsa
netikras	fake
sapiens	sapiens
grenlandija	groenlanda
skaičiavimus	calculele
skaičiavimus	calcule
teo	theo
kor	kor
rodezijos	rhodesia
kaldera	caldera
kiūšiū	kyushu
gijos	fire
len	len
coloma	coloma
eduard	eduard
goda	goda
tres	tres
varškės	cabana
varškės	casuta
varškės	cas
norintiems	dorind
piper	piper
epa	ape
epa	epa
nerimą	alarmant
nerimą	alarmante
nerimą	ingrijoratoare
nerimą	ingrijorator
asunsjonas	asuncion
griežtą	riguroase
griežtą	riguroasa
griežtą	riguros
rogučių	sledge
rogučių	sanie
skersinis	transversala
skatinimas	promovare
skatinimas	promovarea
vulkaninė	magmatice
gangsteris	gangster
hnk	hnk
astrachanės	astrahan
jutos	utah
mayer	mayer
atkrintamųjų	playoff
baigtos	incheiat
baigtos	finalizat
baigtos	completat
baigtos	finalizata
reguliuojamas	reglabile
sunitų	sunni
aronas	aaron
antigva	antigua
įkelti	reincarca
įkelti	reincarcare
cfc	cfc
geografiniai	geografice
geografiniai	geografic
geografiniai	geografica
išdavimo	emiterea
paša	pasha
ziemi	ziemi
eksperimentus	experimentele
eksperimentus	experimente
pasėlių	decupare
pasėlių	recolta
pasėlių	recolta
technikai	tehnicienii
technikai	tehnicieni
sofi	sofi
prieštaravimų	obiectii
sekretoriatas	secretariat
sekretoriatas	secretariatul
dir	dir
dumblas	namol
saba	saba
kaupimo	partajarea
kaupimo	partajare
slepia	piei
linijinis	liniar
linijinis	liniare
linijinis	liniara
žvejys	pescar
žvejys	pescarul
juostele	dunga
niger	niger
omega	omega
genomo	genomului
jet	jet
tolo	afar
pjovimo	taiere
atlyginimas	salariu
atlyginimas	salariul
atlyginimas	salar
atlyginimas	salariile
atlyginimas	salarii
atlyginimas	remunerare
atlyginimas	remuneratie
soma	soma
angų	deschideri
sutrikimą	confuzia
sutrikimą	confuzie
sutrikimą	confuzii
patarimų	sfaturi
patarimų	sfat
patarimų	sfatul
brangus	draga
brangus	dragi
brangus	draga
raudų	jale
būgnas	toba
būgnas	toba
būgnas	tambur
morena	morena
puškinas	pushkin
skyrybos	divort
nuovargis	oboseala
nuovargis	oboseala
borgo	borgo
ofc	ofc
bethoveno	beethoven
genas	gene
genas	gena
genas	gena
vaikšto	mersul
vaikšto	mergand
vaikšto	plimbari
vaikšto	plimbarile
jachtos	iahturi
vittorio	vittorio
gipso	ipsos
gipso	ghips
gipso	gips
cenzūra	cenzura
cenzūra	cenzura
ogovės	ogooué
urdu	urdu
kroft	croft
šengeno	schengen
mega	mega
vožtuvų	supapa
vožtuvų	valva
vožtuvų	valva
ūkininkavimo	agricultura
ūkininkavimo	agricultura
diplomatinis	diplomatice
diplomatinis	diplomatic
diplomatinis	diplomatica
lira	lira
durst	durst
palladio	palladio
pelėnas	vole
aik	aik
gru	gro
guma	guma
guma	guma
skydliaukės	tiroida
valė	valais
manas	coama
katy	katy
junano	yunnan
tamsa	intunericul
tamsa	intuneric
tamsa	intuneric
taičio	tahiti
hani	hani
vargas	vargas
wisla	wisla
plėšikai	jefuitori
toma	toma
pilsudskis	piłsudski
apolonija	apollonia
martínez	martínez
chloridas	clorura
išlaikymo	pastrarea
pažintis	conectare
pažintis	conectarea
parodija	parodie
android	android
puošnioji	arlechin
virvės	funie
virvės	coarda
virvės	sfoara
virvės	franghie
virvės	corzi
virvės	franghii
virvės	funii
virvės	corzile
virvės	sfoara
virvės	sfoara
dsc	dsc
gleivių	mucus
lynai	corzi
lynai	franghii
lynai	funii
sil	sil
camila	camila
matricos	matrice
matricos	matrix
matricos	matricea
trąšos	ingrasaminte
trąšos	ingrasaminte
patikimumas	credibilitatea
patikimumas	credibilitate
skaičiavimai	calculele
skaičiavimai	calcule
valdytojų	guvernatorilor
mangrovių	mangrove
milošas	milos
vhs	vhs
graf	graf
barzda	barba
barzda	barba
priesagos	sufixe
stabdžių	frana
stabdžių	frana
hahn	hahn
specializuota	specializat
specializuota	specializate
specializuota	specializata
blanco	blanco
vielos	fir
vielos	sarma
vielos	sarma
franciskas	francisco
hinduizmas	hinduismul
atsakymai	raspuns
atsakymai	raspunde
atsakymai	raspunsuri
atsakymai	raspunsuri
atsakymai	raspunsurile
atsakymai	raspunsuri
atsakymai	raspunsurile
dviratininkų	biciclisti
panaikinimas	abrogarea
panaikinimas	abrogare
panaikinimas	anularea
panaikinimas	anulare
dumblo	namol
muitinė	obiceiuri
muitinė	vama
muitinė	vamale
muitinė	vama
pranašumas	avantaj
pranašumas	avantajul
geffen	geffen
adamavos	adamawa
drake	drake
libertas	libertas
giulio	giulio
geleris	geller
vizualiai	vizual
fussball	fussball
druskingumas	salinitate
mėsinga	carnoase
sugriuvo	prabusit
kubica	kubica
mielės	drojdii
mielės	norman
mielės	drojdie
salotos	salata
salotos	salate
salotos	salata
salotos	salata
fašistų	fascist
formatavimo	formatarea
fanai	fani
fanai	fanii
fanai	ventilatoare
fanai	fanilor
fanai	suporteri
šiongnu	xiongnu
dovanos	binecuvantarea
dovanos	binecuvantarile
dovanos	binecuvantari
epsa	epsa
pipirų	pepper
pipirų	piper
pipirų	ardei
pipirų	piperul
cementas	ciment
cementas	cimentul
epic	epic
epic	epica
taro	taro
andris	andris
svarstyklės	greutati
zimbru	zimbru
kirgizija	kargazstan
reitingus	notele
reitingus	gradele
hughes	hughes
kiurasao	curaçao
įsigijimo	achizitia
įsigijimo	achizitie
bartolomeo	bartolomeo
sietlo	seattle
thomson	thomson
sutrumpintas	scurtat
rūkyti	afumat
rūkyti	fumat
palankus	kinder
publika	audiente
įgaliotas	mandatat
pasakotojas	naratorul
atidėtas	amanata
atidėtas	amanat
atidėtas	amanata
atidėtas	amanat
atidėtas	amanate
aitvaras	zmeul
aitvaras	zmeu
jautri	sensibile
jautri	sensibila
jautri	sensibila
jautri	sensibil
res	res
res	mes
bas	bas
feyenoord	feyenoord
pareigūnams	oficiali
pareigūnams	functionarii
pareigūnams	oficialii
pareigūnams	functionari
kepenys	ficatul
kepenys	ficat
magnum	magnum
iškaltas	sculptat
kaltę	vina
kaltę	vina
zil	zil
atsparumą	rezistenta
atsparumą	rezistenta
atsparumą	rezistenta
england}}	anglia}}
patarė	sfatuit
patogus	confortabila
patogus	confortabil
karla	karla
riaušės	revoltele
riaušės	revolte
