батенберг	battenberg
коларов	kolarov
улицата	street
отрича	denies
яне	janne
отразяват	reflect
маркетинг	marketing
верона	verona
реклами	commercials
реклами	ads
реклами	advertising
разрушени	destroyed
разрушени	demolished
бейкър	baker
нула	zero
театри	theatres
театри	theaters
кризата	crisis
органите	organs
забележка	note
доналд	donald
колекции	collections
султана	sultana
султана	sultan
етика	ethics
цивилни	civilian
цивилни	civilians
путин	putin
представено	presented
представено	submitted
бит	bit
бит	beaten
плод	fruit
физици	physicists
имението	mansion
имението	manor
езиците	languages
доктрина	doctrine
еволюцията	evolution
рицар	knight
неправилно	incorrect
тото	toto
плаща	pays
оригинален	original
католици	catholics
католици	catholic
твърд	firm
твърд	solid
твърд	hard
твърд	rigid
развит	developed
вавилон	babylon
умрял	died
значения	meanings
невада	nevada
планети	planets
месопотамия	mesopotamia
молекули	molecules
марек	marek
кайзерслаутерн	kaiserslautern
наляво	left
дакота	dakota
здрави	healthy
ориз	rice
дванадесет	twelve
подчинени	subordinates
подчинени	subordinated
подчинени	subordinate
желязна	iron
ястия	meals
ястия	dishes
същността	essence
дискове	discs
дискове	disks
дискове	cds
хелзинки	helsinki
анкара	ankara
мирно	peaceful
дървена	wooden
ръсел	russel
ръсел	russell
изработен	crafted
прогрес	progress
изпратена	sent
цветни	colored
човешко	human
процесите	processes
галерии	galleries
изпълнен	filled
леля	auntie
леля	aunt
контузия	injury
контузия	contusion
скок	jump
скок	leap
цикъла	cycle
частична	partial
люк	luke
съпротивление	resistance
ресторант	restaurant
дева	virgo
дева	deva
андреас	andreas
казан	cauldron
казан	kazan
слънчеви	sunny
слънчеви	solar
лусия	lucia
победителите	winners
въздушно	aerial
въздушно	air
арагон	aragon
азиатски	asian
умерено	moderate
умерено	moderately
анатомия	anatomy
истинска	real
стан	stan
журито	jury
задвижване	propulsion
образователни	educational
формиране	formation
агенцията	agency
добави	add
разработени	developed
сиво	gray
сиво	grey
условно	conditional
сфери	spheres
сфери	orbs
установка	launcher
календара	calendar
археолог	archaeologist
археолог	archeologist
сфорца	sforza
тъмна	dark
състави	compile
състави	compositions
състави	configurations
костите	bones
слиза	descending
пръст	finger
пръст	toe
параметър	parameter
единна	unified
модена	modena
астрономия	astronomy
президентските	presidential
сокол	falcon
изкуствен	artificial
великден	easter
неочаквано	unexpectedly
неочаквано	unexpected
пациенти	patients
сейшели	seychelles
морско	maritime
агенти	agents
организирано	organised
организирано	organized
екзарх	exarch
нормандия	normandy
построено	built
спортно	sporting
спортно	sports
остро	sharp
остро	acute
стихотворение	poem
руините	ruins
финландски	finnish
дистанция	distance
клеопатра	cleopatra
пирамида	pyramid
психологията	psychology
магнус	magnus
роналд	ronald
катар	qatar
създателите	creators
създателите	makers
тясна	narrow
доминика	dominica
брабант	brabant
бонус	bonus
кеймбридж	cambridge
гренландия	greenland
аргумент	argument
спиране	stopping
спиране	braking
спиране	halt
синтез	fusion
синтез	synthesis
мускули	muscles
мускули	muscle
сив	gray
сив	grey
етапи	phases
етапи	stages
етапи	milestones
людмила	ludmilla
комитети	committees
оливър	oliver
сесия	session
вулкана	volcano
освобождаване	release
освобождаване	exemption
освобождаване	exemptions
членство	membership
железен	ferrous
железен	iron
ръкопис	manuscript
чиновник	clerk
сняг	snow
записано	recorded
реалност	reality
бестселър	bestseller
безплатно	free
интервюта	interviews
ватикана	vatican
масиви	arrays
антония	antonia
курорти	resorts
ванкувър	vancouver
консулски	consular
жител	resident
жител	inhabitant
представления	performances
еберхард	eberhard
отказ	refuse
отказ	refusal
отказ	denial
рикардо	riccardo
рикардо	ricardo
навън	outside
навън	out
присъединяване	join
присъединяване	accession
здравко	zdravko
продажбите	sales
проконсул	proconsul
мъжко	male
убеден	convinced
свидетелство	certificate
художниците	painters
покрит	covered
покрит	coated
бележка	note
бележка	memo
мероприятия	events
брод	brod
бронзови	bronze
морган	morgan
охлаждане	cooling
охлаждане	chilling
пресата	press
пиетро	pietro
доброволно	voluntary
окото	eye
костенурки	tortoises
костенурки	turtles
заменена	replaced
преса	press
уайлд	wilde
бета	beta
регистрация	registration
реймънд	raymond
мариана	marianna
мариана	mariana
сопот	sopot
сключен	concluded
ням	dumb
ням	mute
храсти	bushes
храсти	shrubs
физическо	physical
показване	display
показване	show
платна	canvases
платна	canvas
платна	sails
ирански	iranian
про	pro
мориц	moritz
износ	exports
износ	export
роналдо	ronaldo
марта	marta
марта	martha
кралско	royal
рицарите	knights
индекс	index
лодка	boat
йога	yoga
емигранти	immigrants
емигранти	emigrants
платно	canvas
родина	motherland
родина	homeland
родина	fatherland
гласът	voice
йоханес	johannes
карол	karol
карол	carol
алтернатива	alternative
парична	monetary
подчертава	highlights
тимор	timor
тайните	secrets
лидерите	leaders
бъдещи	future
чува	hears
пшеница	wheat
баланс	balance
кучето	dog
свидетел	witness
орбитата	orbit
подвид	subspecies
цвайбрюкен	zweibrücken
организъм	organism
отпадъци	waste
отпадъци	wastes
централа	central
централа	headquarters
сватба	marriage
сватба	wedding
литра	litres
литра	liters
резерв	reserves
резерв	reserve
лицата	faces
мъченици	martyrs
радванска	radwańska
отделяне	unbundling
отделяне	separation
заслужава	deserves
видях	saw
конен	equestrian
полезно	useful
полезно	helpful
извършена	performed
способен	capable
гледам	watching
траките	thracians
стивънс	stephens
стивънс	stevens
диапазон	range
напоследък	recently
напоследък	lately
алан	allan
мара	mara
превзет	pretentious
убеди	convince
бийч	beech
документация	documentation
последици	consequences
последици	implications
последици	effects
последици	consequence
ясна	jasna
пътека	path
пътека	treadmill
пътека	trail
учителите	teachers
шерлок	sherlock
осман	osman
изстрелване	launching
изстрелване	launch
орфей	orpheus
колела	wheels
федерална	federal
правомощия	powers
правомощия	authority
вълк	wolf
слаб	skinny
слаб	weak
слаб	thin
способни	capable
падуа	padua
уейн	wayne
съществувало	existed
разновидност	variety
нашия	our
брут	brutus
хърбърт	herbert
екшън	action
отдих	recreation
отдих	leisure
отдих	relaxation
духовен	spiritual
фишер	fisher
фишер	fischer
гръб	back
гръб	backs
гнездото	nest
предприемачи	entrepreneurs
предприемачи	developers
предприемачи	contractors
тетово	tetovo
моцарт	mozart
въстания	uprisings
яйцата	eggs
реконструкция	reconstruction
тухли	bricks
финалите	finals
затворници	prisoners
затворници	cons
затворници	inmates
дженифър	jennifer
правителствата	governments
неа	nea
инфо	info
записана	recorded
математици	mathematicians
елин	elin
детройт	detroit
ушите	ears
продуктите	products
министрите	ministers
хънт	hunt
дарява	donates
афера	affair
херодот	herodotus
проведено	performed
единични	singles
нормална	normal
рая	heaven
рая	paradise
политбюро	politburo
съотношение	proportion
съотношение	ratio
павлович	pavlovich
съчетание	combination
духовно	spiritual
духовно	spiritually
частно	private
разрешава	allows
стипендия	scholarship
блато	swamp
блато	marsh
блато	bog
илюстрации	illustrations
хабсбург	habsburg
гризачи	rodent
гризачи	rodents
практикува	practiced
укрепления	fortifications
нарушава	distorts
дворецът	palace
дъска	board
дъска	plank
томи	tommy
излъчването	broadcasting
блата	swamps
блата	bogs
блата	marshes
проектиране	design
проектиране	designing
мърфи	murphy
бесарабия	bessarabia
земноводни	amphibians
корен	root
кей	kay
експозиция	exposure
алпийски	alpine
модерен	modern
остра	acute
остра	sharp
наблизо	nearby
включването	incorporation
балет	ballet
трайно	durable
трайно	permanently
трайно	lasting
последователност	coherence
последователност	sequence
последователност	consistency
тънки	thin
излага	exposes
мъртъв	dead
петата	heel
заряд	charge
коло	colo
подправки	seasoning
подправки	spices
подправки	condiments
подправки	spice
разтвор	solution
ума	uma
ума	mind
дамаск	damascus
установена	established
черво	intestine
черво	bowel
черво	colon
хумор	humor
хумор	humour
интензивно	intensive
интензивно	intense
интензивно	intensely
радослав	radoslav
популация	population
одобрява	approves
подобрения	upgrades
подобрения	improvements
подобрения	enhancements
подобрения	improvement
драган	dragan
организиране	organize
организиране	organise
организиране	organising
организиране	organizing
поеми	poems
ужасите	horrors
злото	evil
силва	silva
премахва	removes
възприемат	perceive
майсен	meissen
култ	cult
трафик	traffic
трафик	trafficking
баку	baku
специфична	specific
погребението	funeral
рой	roy
живите	living
монахиня	nun
спонсор	sponsor
остатъци	residue
остатъци	leftovers
остатъци	residues
луиджи	luigi
робство	slavery
робство	bondage
остър	sharp
остър	acute
династии	dynasties
вестфалия	westphalia
долини	valleys
детство	childhood
важи	applies
стаята	room
битките	battles
струга	struga
подобие	similarity
патрон	patron
патрон	cartridge
таня	tania
таня	tanya
таня	tanja
увеличение	zoom
увеличение	increase
увеличение	magnification
възпитание	nurture
възпитание	education
възпитание	upbringing
заслужил	earned
устойчивост	stability
устойчивост	sustainability
устойчивост	resistance
устойчивост	persistence
устойчивост	resilience
бъркли	berkley
бъркли	berkeley
камери	cameras
експерти	experts
обичайно	usual
подчинение	obedience
подчинение	submission
изключен	disabled
изключен	disconnected
изключен	excluded
изключен	expelled
блокиран	blocked
затруднения	difficulty
затруднения	difficulties
приказка	tale
приказка	story
метър	meter
модификации	modifications
джан	jan
джан	zhang
саймън	simon
свързване	binding
свързване	connection
свързване	bonding
свързване	connecting
свързване	connect
променливи	variable
променливи	variables
психоаналитик	psychoanalyst
удоволствие	pleasure
лийдс	leeds
шумахер	schumacher
плутарх	plutarch
неизвестна	unknown
сок	juice
сок	sock
пейзаж	scenery
пейзаж	landscape
влияе	affects
ивици	stripes
базел	basel
затваря	closes
клетва	oath
покровител	patron
сблъсъци	clashes
сблъсъци	collisions
наталия	natalya
наталия	natalia
разделено	divided
кери	carrie
кери	cary
кери	kerry
съветници	advisers
съветници	advisors
съветници	councillors
съветници	counselors
леонард	leonard
показател	benchmark
показател	index
показател	indicator
пробив	breakthrough
пробив	breach
комунизма	communism
осъжда	condemns
църквите	churches
домашен	home
домашен	domestic
домашен	homemade
построи	build
кооперация	cooperative
ален	alain
конкурси	competitions
конкурси	contests
бук	beech
германци	germans
компютъра	computer
реализъм	realism
делегати	delegates
гуам	guam
настояване	insistence
ботове	bots
повреда	failure
повреда	damage
повреда	malfunction
оксфорд	oxford
аквитания	aquitaine
сет	seth
съдържащ	containing
дива	wild
дива	diva
девети	ninth
двоен	double
археология	archeology
археология	archaeology
ескадрила	squadron
шум	noise
опитът	experience
психологически	psychological
психологически	psychologically
бенджамин	benjamin
стълб	pillar
стълб	pole
заден	rear
опери	operas
описана	described
абдул	abdul
прием	intake
прием	reception
светлана	svetlana
пен	penn
специализирана	specialised
специализирана	specialized
луизиана	louisiana
сух	dry
кристали	crystals
сървър	server
хофман	hoffmann
хофман	hoffman
училищата	schools
мей	mei
фотограф	photographer
лого	logo
лого	logos
мирослав	miroslav
материалите	materials
почит	tribute
почит	veneration
почит	homage
атлетика	athletics
съдът	court
хирургия	surgery
отражение	reflection
вегас	vegas
влакна	fibres
влакна	fibers
влакна	fiber
влакна	fibre
бенедикт	benedict
поделение	unit
предложена	offered
предложена	proposed
насърчава	encourages
насърчава	promotes
признати	recognised
признати	acknowledged
признати	recognized
швабия	swabia
джонатан	jonathan
отдели	departments
катя	katia
катя	katya
катя	katja
никита	nikita
неуспешни	unsuccessful
илюстрация	illustration
романс	romance
дик	dick
дъно	bottom
санчес	sanchez
заплахи	threats
женско	feminine
женско	female
интерпретация	interpretation
щастлив	happy
нина	nina
изтрита	deleted
изтрита	erased
кухина	cavity
анонимен	anonymous
предупреждение	warning
успехите	successes
имущество	property
приключения	adventures
приключения	adventure
спасение	salvation
секции	sections
доклади	reports
домове	homes
белене	peeling
вагнер	wagner
олтара	altar
диленбург	dillenburg
нютон	newton
решено	resolved
решено	decided
решено	determined
оставката	resignation
винсент	vincent
реализация	realisation
реализация	realization
достъпна	accessible
достъпна	affordable
изключителна	exclusive
изключителна	extraordinary
изключителна	outstanding
изключителна	exceptional
усвояване	absorption
палма	palma
шапка	hat
татяна	tatiana
татяна	tatyana
карат	drives
парламентарна	parliamentary
сократ	socrates
сянка	shadow
сянка	shade
сребърна	silver
честта	honour
честта	honor
светло	light
светло	bright
минск	minsk
рот	roth
героиня	heroine
лисица	fox
хребет	ridge
шварцбург	schwarzburg
синя	blue
кръгла	round
ритуали	rituals
ритуали	rites
паунда	pounds
изградено	constructed
титан	titanium
титан	titan
гугъл	google
вдовицата	widow
магия	sorcery
магия	magic
палуба	deck
мусолини	mussolini
ранд	rand
уравнение	equation
включване	login
включване	include
включване	enable
включване	inclusion
остри	sharp
експерт	expert
въведени	introduced
регионално	regional
влакове	trains
алесандро	alessandro
продаден	sold
уикимедия	wikimedia
равновесие	balance
равновесие	equilibrium
подробна	detailed
процедури	procedures
служителите	employees
съюзи	unions
съюзи	alliances
възли	knots
възли	nodes
възли	nodules
индивидуално	individually
индивидуално	individual
изразен	expressed
пери	peri
пери	perry
пери	parry
групова	group
трансилвания	transylvania
фрг	frg
трън	thorn
зрителите	viewers
барабанист	drummer
червеи	worms
червеи	worm
барбароса	barbarossa
настанени	housed
положителни	positive
отбелязано	noted
мурад	murad
чака	chaka
буквите	letters
кирибати	kiribati
анатолий	anatoly
дебели	fat
конференции	conferences
баница	pie
атентат	assassination
атентат	bombing
пейзажи	scenery
пейзажи	landscapes
възрастен	adult
соли	salts
водачи	drivers
водачи	guides
водачи	leaders
бягане	running
бягане	jogging
колин	collin
колин	colin
обвинение	accusation
преден	front
комунист	communist
изгонен	evicted
шампиона	champion
мине	pass
крилото	wing
учил	studied
преработка	recast
преработка	processing
преработка	revision
фриц	fritz
папагали	parrots
озаглавена	titled
молитва	prayers
молитва	prayer
дълбок	deep
небе	sky
небе	skies
канцлер	chancellor
силезия	silesia
случаят	case
държавник	statesman
божество	deity
домейн	domain
елиът	elliott
елиът	eliot
елиът	elliot
мейн	maine
сложно	complicated
съдействие	cooperation
каринтия	carinthia
плат	platt
плат	cloth
плат	fabric
точни	accurate
съливан	sullivan
разум	sense
служил	served
телата	bodies
отсъствие	absent
отсъствие	absence
райт	wright
забранени	forbidden
забранени	prohibited
забранени	banned
ферара	ferrara
нанси	nancy
бокса	boxing
шанхай	shanghai
технологичен	technological
духовни	spiritual
душан	dusan
съвместна	joint
възникване	occurrence
съседи	neighbors
съседи	neighbours
въртене	rotate
въртене	spin
въртене	spinning
въртене	pivot
въртене	rotation
сул	sul
атоми	atoms
облак	cloud
хищници	predators
съмнения	doubt
съмнения	doubts
реагира	reacts
реагира	reacted
реагира	react
продължения	sequels
възможна	possible
ерани	errani
джоан	joan
румънска	romanian
легендите	legends
неколкократно	repeatedly
енрике	enrique
мелбърн	melbourne
синоним	synonymous
синоним	synonym
мрамор	marble
водопад	waterfall
часовник	clock
икономисти	economists
тезата	thesis
притежание	possession
притежание	ownership
отказа	refused
обединено	united
послание	message
федеративна	federative
пясък	sand
пясък	sands
вердер	werder
вселена	universe
горещо	hot
океания	oceania
споразумения	arrangements
споразумения	agreements
смесен	mixed
смесен	blended
съществени	substantial
съществени	essential
надеждата	hope
надя	nadja
надя	nadya
надя	nadia
устав	statutes
устав	statute
победители	winners
гимнастика	gymnastics
предградие	suburb
предградие	suburbs
нестор	nestor
тенденции	trend
тенденции	trends
скачване	docking
кратер	crater
въглероден	carbon
залцбург	salzburg
мак	mac
мак	mack
уникални	unique
киро	kiro
съществували	existed
осветена	lit
осветена	illuminated
осветена	sanctified
влияния	influences
лауда	lauda
паркър	parker
красив	handsome
логото	logo
унищожаване	destroy
унищожаване	disposal
унищожаване	eradication
унищожаване	destruction
тувалу	tuvalu
изчисления	calculations
алис	alice
консултант	consultant
драматични	dramatic
познание	knowledge
скулптури	sculpture
скулптури	sculptures
трансфер	transfer
пивоварна	brewery
офанзива	offensive
вдига	raises
хървати	croats
куинсланд	queensland
споменато	mentioned
баскетбол	basketball
характеризират	characterise
бирмингам	birmingham
кралици	queens
взрив	bang
взрив	blast
взрив	explosion
уникална	unique
оръдието	cannon
ралф	ralph
недостатъци	faults
недостатъци	shortcomings
недостатъци	deficiencies
недостатъци	flaws
недостатъци	defects
предложи	offer
посещения	visits
бот	bot
зърно	nipple
зърно	grain
запаси	stocks
десау	dessau
здравословни	healthy
противоречия	contradictions
противоречия	controversy
съперник	rival
съперник	opponent
поетът	poet
съгласието	consent
верен	loyal
верен	faithful
антоан	antoine
руси	blonde
руси	blond
палубата	deck
господ	god
антиохия	antioch
аякс	ajax
нервна	nervous
руда	ore
готите	goths
скоби	clamps
скоби	staples
скоби	braces
скоби	brackets
фрази	phrases
тунел	tunnel
тунел	wormhole
картофи	potatoes
картофи	potato
инфекции	infections
уолис	wallis
елита	elite
изхода	outlet
бройки	pieces
еквивалент	equivalent
експеримент	experiment
върхът	topper
арабска	arab
арабска	arabic
арабска	arabian
изпревари	overtake
батак	batak
ислям	islam
риска	risk
замени	replace
ярко	bright
агенции	agencies
иврит	hebrew
петдесет	fifty
джефри	geoffrey
джефри	jeffrey
номинирана	nominee
номинирана	nominated
иконата	icon
епидемия	outbreak
епидемия	epidemic
кореспонденция	correspondence
крус	cruz
тива	thebes
търпи	tolerate
племенница	niece
кристоф	kristoff
кристоф	christophe
кристоф	christoph
гьоте	goethe
селекция	selection
предадени	betrayed
предадени	transmitted
предадени	surrendered
отпред	front
джесика	jessica
близостта	closeness
пътувания	journeys
пътувания	travel
пътувания	trips
бай	bai
застрашени	endangered
толстой	tolstoy
ибрахим	ibrahim
постановка	setup
постановка	staging
плуване	swim
плуване	swimming
ъгъла	corner
астрономически	astronomical
свободи	freedoms
ръба	edge
лири	quid
лири	lira
лири	pounds
жозеф	joseph
науру	nauru
нож	knife
антоанета	antoinette
изключителни	exclusive
изключителни	exceptional
астронавти	astronauts
стадий	stage
арка	arch
феномен	phenomena
феномен	phenomenon
пакет	bundle
пакет	package
цецилий	caecilius
дружба	friendship
дружба	companionship
фази	phases
гигантски	giant
гигантски	gigantic
означение	notation
означение	designation
сюзън	susan
наследниците	heirs
сеул	seoul
фламандски	flemish
традиционна	traditional
бригади	brigades
следите	tracks
борса	exchange
обичам	love
психоанализа	psychoanalysis
панония	pannonia
панчо	pancho
погребани	buried
тор	fertilizer
тор	manure
тор	tor
тор	fertiliser
тор	thor
мита	myth
мита	duties
доказано	proved
доказано	demonstrated
доказано	proven
биологични	biological
клонове	branches
витамин	vitamin
плажове	beaches
духове	ghosts
духове	spirits
спад	decline
обвивка	shell
приключване	completion
приключване	closure
публична	public
агиос	agios
вулкан	volcano
вулкан	vulcan
педагогика	pedagogy
бунтове	riots
бежанците	refugees
собственици	owners
осветление	lighting
изоставя	abandoning
повторение	recurrence
повторение	repetition
повторение	replay
повторение	repeat
хайделберг	heidelberg
папи	popes
папи	papi
дъблин	dublin
парламентът	parliament
свършва	ends
кодове	codes
ренесанс	renaissance
зигфрид	siegfried
шеста	sixth
юлих	jülich
керамични	ceramic
мощен	powerful
мощен	potent
равнини	plains
пътуват	travel
градината	garden
марш	marsh
търнър	turner
матиас	mathias
матиас	mattias
матиас	matias
матиас	matthias
симфония	symphony
провал	failure
сухо	dry
северозападния	northwestern
предна	front
предна	frontal
автобуси	buses
свазиленд	swaziland
дъга	rainbow
дъга	arc
изящни	exquisite
удобно	convenient
удобно	comfy
удобно	comfortable
йован	jovan
двойна	double
постигането	achievement
команди	commands
привлече	attracted
мъртви	dead
телефон	phone
телефон	telephone
фокус	focus
светилища	shrines
редиците	ranks
чести	common
дион	dion
дион	dionne
ела	come
летец	flyer
летец	airman
устава	statutes
армстронг	armstrong
триумф	triumph
манхатън	manhattan
клиентите	customers
томпсън	thompson
записки	notes
прадеш	pradesh
пепел	ashes
пепел	ash
почвите	soils
легиони	legions
тактика	tactics
тактика	tactic
репресии	repression
репресии	reprisals
репресии	crackdown
изстрелян	launched
инфекция	infections
инфекция	infection
влечуги	reptile
влечуги	reptiles
синдром	syndrome
мелник	melnick
приемник	host
приемник	receiver
банда	band
банда	gang
конкуренция	competition
променлива	variable
чудо	marvel
чудо	miraculous
чудо	miracle
чудо	wonder
кобург	coburg
багдад	baghdad
променено	changed
променено	altered
променено	modified
чума	pestilence
чума	plague
борд	board
консумация	consumption
дракон	dragon
посочен	specified
лук	onions
лук	onion
младежта	youth
крилете	wings
арканзас	arkansas
електричество	electricity
електричество	electric
институти	institutes
привилегии	privilege
привилегии	privileges
седмицата	week
хюсеин	hussein
хюсеин	hussain
хюсеин	hüseyin
батман	batman
чужденци	foreigners
кафяв	brown
предполагат	suggest
вселенски	ecumenical
фотографии	photographs
включено	enabled
включено	included
пръстените	rings
напредък	progress
напредък	advancement
вековете	centuries
рейчъл	rachel
ниши	nishi
роуз	rose
увреждания	disabled
увреждания	disability
съществена	essential
колинс	collins
дарвин	darwin
информатика	informatics
братислава	bratislava
снаряди	projectiles
снаряди	shells
нели	nelly
нели	nellie
недоволство	discontent
недоволство	dissatisfaction
септимий	septimius
отмъщение	vengeance
отмъщение	revenge
повреди	damage
милена	milena
президентски	presidential
любима	beloved
екипировка	equipment
депутатите	lawmakers
депутатите	mps
стабилност	stability
бедни	poor
бюрото	bureau
словашки	slovak
царуването	reign
тръба	pipe
тръба	tube
месото	meat
такси	taxi
такси	cab
такси	fees
албумите	albums
лош	bad
докторат	doctorate
разработване	development
разработване	developing
документа	document
запазено	reserved
запазено	preserved
статуи	statues
математическа	mathematical
айнщайн	einstein
коридор	hallway
коридор	corridor
лора	laura
лора	lora
слухове	rumors
слухове	rumours
плячка	prey
плячка	swag
плячка	booty
параклиса	chapel
пера	feathers
къс	cus
противниците	opponents
достатъчна	sufficient
кореспонденти	correspondents
младен	mladen
лоша	bad
достъпен	accessible
закрито	indoor
зигмунд	sigmund
евдокия	eudokia
петрол	petrol
петрол	oil
петрол	petroleum
лихтенщайн	liechtenstein
лихтенщайн	lichtenstein
беатрис	beatrice
беатрис	beatriz
суматра	sumatra
лентул	lentulus
оператори	operators
слива	plum
форуми	fora
форуми	forums
кадафи	gaddafi
зареждане	load
зареждане	charge
зареждане	loading
зареждане	charging
харисън	harrison
елзас	alsace
добавка	addition
добавка	addendum
добавка	supplement
добавка	additive
рап	rap
интервал	interval
лингвистика	linguistics
обсъжда	discusses
моделите	models
панорама	panorama
хрушчов	khrushchev
сервилий	servilius
лидия	lidia
лидия	lydia
антонин	antonin
възможен	possible
пелопонес	peloponnese
преториански	praetorian
раул	raoul
раул	raul
миграция	migration
митове	myths
мюзикъл	musical
работилница	workshop
галактика	galaxy
кавалерия	cavalry
клиент	customer
клиент	client
завой	turn
завой	bend
речи	speeches
емили	emilie
емили	emily
светкавица	flash
светкавица	lightning
мазнини	fats
мазнини	fat
самоубийство	suicide
завършила	graduated
достигане	reach
достигане	reaching
крайни	extreme
смесена	mixed
таун	towne
проектиран	designed
соломон	solomon
теодорих	theuderic
екрана	screen
джеси	jessie
джеси	jesse
гласни	vowels
съчетава	combines
преобразува	converts
глазгоу	glasgow
растат	grow
съкровище	sweetheart
съкровище	treasure
астероид	asteroid
кейн	cain
кейн	kane
кейн	cane
кейн	caine
унищожена	destroyed
положително	positive
положително	positively
заплата	salary
моравия	moravia
страбон	strabo
антропология	anthropology
американци	americans
ренесанса	renaissance
подиум	catwalk
богатството	wealth
кръгли	round
лена	lena
етажа	floors
фасада	facade
ограничаване	restriction
ограничаване	limitation
ограничаване	limiting
ограничаване	limit
ограничаване	containment
конник	horseman
конник	rider
доза	dosage
доза	dose
хендрикс	hendricks
хендрикс	hendrix
измервания	measurements
измервания	measurement
емблема	emblem
пиеро	pierrot
пиеро	piero
петра	petra
мускул	muscle
тбилиси	tbilisi
разкрити	uncovered
разкрити	revealed
разкрити	disclosed
колонията	colony
сиви	gray
сиви	grey
полезна	useful
полезна	helpful
показани	displayed
крайници	limbs
крайници	extremities
размножаване	propagation
размножаване	breeding
размножаване	reproduction
статуята	statue
териториално	territorial
верни	loyal
верни	true
верни	faithful
алпите	alps
демо	demo
измества	displace
архиви	records
архиви	archives
архиви	archive
документите	documents
вечеря	dinner
вечеря	supper
померания	pomerania
накратко	briefly
унищожаването	destroying
анализи	analyses
анализи	analysis
анализи	insights
кожани	kozani
съдържаща	containing
бедствия	disasters
бедствия	disaster
фитипалди	fittipaldi
производни	derivatives
влажни	moist
подводница	submarine
подводница	sub
перо	feather
свободните	fremen
арктика	arctic
въведение	introduction
въведение	intro
известия	notifications
бара	bara
важност	importance
торпедо	torpedo
удря	hits
конан	conan
шрифт	font
бюст	cleavage
бюст	bust
пустиня	desert
новгород	novgorod
върти	spins
локомотиви	locomotives
намален	decreased
