彈劾	імпічмент
性行為	sex
地下室	підвал
昨天	вчора
昨天	учора
兄妹	родичі
佛法	дхарма
詳情	докладно
詳情	детально
詳情	подробиці
詳情	детальні
詳情	відомості
詳情	подробиці
詳情	деталі
生殖	репродуктивна
生殖	розмноження
十個	десять
十個	десятка
十個	десяти
十個	тен
交配	мате
交配	мат
交配	парування
冰球	хокей
投射	проекція
漢城	сеулі
藥用	лікарські
酸性	кислоти
酸性	кислота
酸性	кислотності
展望	передбачення
展望	outlook
展望	видіння
展望	зір
展望	vision
展望	бачення
多明尼加	домініканський
週年紀念	річниця
週年紀念	ювілей
世系	lineage
世系	спуск
猴子	мавпа
猴子	monkey
抬	підняти
抬	ліфт
抬	підібрали
可信	імовірний
歐文	оуен
歐文	ірвінг
俄文	російська
俄文	російською
俄文	російську
揭示	розкривати
揭示	розкриває
反駁	висновок
前景	prospect
前景	текст
前景	перспектив
前景	перспективи
妄想	paranoid
妄想	марення
妄想	параноя
妄想	вирішать
妄想	маячня
成年人	дорослих
成年人	доросла
成年人	дорослі
成年人	доросле
成年人	дорослий
成年人	дорослі
冬青	голлі
大炮	гармата
大炮	гармати
大炮	озброєння
大炮	артилерії
明智	мудра
明智	мудрі
明智	мудрий
明智	розумно
明智	мудрим
抽籤	намалювати
抽籤	малювати
抽籤	роздати
抽籤	нічия
椅	крісла
椅	стільці
椅	стільців
椅	крісло
椅	стілець
聖人	святі
聖人	святий
聖人	saint
聖人	сен
阿瑟	артур
捕獲	захоплення
捕獲	захопити
捕獲	захоплення
捕獲	захоплює
捕獲	ловить
捕獲	захоплено
聽眾	слухач
聽眾	слухачі
蒜	часник
居所	резиденція
優點	вчинок
優點	переваги
優點	плюси
優點	перевагу
優點	перевага
優點	перевагою
思維	роздуми
思維	мислення
計程車	таксі
布魯塞爾	брюсселі
布魯塞爾	брюссель
失業	безробіття
砷	арсен
野生動物	природу
天花	віспи
昂貴	дорого
大麻	коноплі
大麻	марихуану
可疑	підозрілим
小丑	клоун
抗生素	антибіотики
抗生素	антибіотики
字面	буквальному
自轉	обертання
自轉	поворот
破碎	зламано
破碎	broken
破碎	розбите
破碎	зламаний
破碎	розбитих
破碎	розділили
語氣	тонус
語氣	тон
語氣	тоне
老年	старші
老年	старше
老年	старіші
老年	старша
隔離	ізоляція
隔離	карантин
隔離	оброблених
隔離	самостійні
隔離	ізольовані
砸	smash
砸	smashing
生病	зле
生病	хворий
生病	хворим
生病	хворі
生病	хвора
生病	хворий
生病	захворіла
中位數	медіана
摔跤	поборотися
摔跤	боротьба
高爾夫球	гольф
證書	сертифікати
證書	сертифікат
濟南	цзінань
山脊	хребта
山脊	хребет
惡作劇	коника
惡作劇	жарт
佈局	колажі
佈局	компонування
佈局	розкладки
佈局	компонування
佈局	розкладка
日產	nissan
拳擊	бокс
青蛙	жаби
青蛙	жаба
面板	панель
高效	ефективна
探險家	explorer
探險家	дослідник
探險家	дослідники
拖延	затримка
拖延	затримок
伴隨	супроводжувати
骨灰	попіл
骨灰	прах
安息	пухом
安息	білет
安息	rip
搶救	залишкова
執照	ліцензії
執照	ліцензування
執照	ліцензію
執照	ліцензія
執照	ліцензію
執照	ліцензія
執照	ліцензії
煩惱	труднощі
鮑威爾	павелл
脊椎動物	vertebrates
混合物	суміш
混合物	сумішей
粉紅色	рожева
粉紅色	рожевий
軍營	казарми
先例	прикладом
頸部	шия
頸部	шию
脆弱	тендітна
脆弱	вразливим
定制	налаштувати
定制	змінена
定制	пристосування
定制	власний
定制	особлива
定制	нетипові
定制	індивідуально
定制	нетиповий
火花	розпалює
火花	іскри
脈衝	імпульси
脈衝	пульс
電器	техніка
電器	прилади
客房	кімнат
客房	кімнати
協和	згоди
餐飲	задача
亞馬遜	amazon
亞馬遜	амазон
微弱	слабкого
眼淚	сльозогінний
眼淚	цінують
眼淚	сльози
特赦	амністія
電影院	театрі
電影院	театр
電影院	кінематограф
電影院	cinema
電影院	кіно
休假	залиште
休假	leave
休假	залишити
海牙	гаазі
海牙	гаага
口音	акцент
領導者	ватажок
領導者	лідер
領導者	лідери
領導者	лідерів
言語	слів
言語	слова
肢	кінцівки
肢	ніжками
肢	кінцівки
王座	трон
綏	туй
容忍	толерантність
四重奏	квартет
四重奏	сметани
州際公路	interstate
偏好	основний
偏好	бажана
偏好	головна
偏好	бажаний
偏好	уподобання
偏好	налаштування
偏好	вподобання
糖果	цукерки
糖果	солодощі
糖果	солодке
糖果	цукерки
糖果	вата
糖果	кенді
糖果	прикраси
山寨	котедж
擾動	травми
利潤	прибуток
利潤	вигідно
利潤	прибутки
範例	парадигма
範例	приклади
範例	приклад
範例	прикладу
弊	cons
施政	управління
切換	перемикач
切換	перемикання
切換	перемикання
切換	перемикач
切換	перемикання
瘟疫	зараза
瘟疫	чума
蚜	попелиці
公關	публіцист
捍衛	захищатися
捍衛	захищають
捍衛	захисти
捍衛	захищав
海邊	містам
奔跑	виконання
奔跑	виконується
奔跑	працює
奔跑	біг
括號	дужки
括號	дужки
門口	прохід
震驚	шок
震驚	вражена
震驚	шокований
震驚	шокована
貨櫃	контейнер
貨櫃	контейнерів
貨櫃	контейнери
協作	співпраця
協作	колективу
協作	співпраця
郵件	мейл
郵件	пошта
郵件	поштою
無視	ігнорувати
無視	ігнорування
無視	зважати
無視	ігнорування
代理人	проксі
代理人	агенти
代理人	проксі
代理人	агент
材質	матеріал
材質	матеріали
美味	смачний
美味	смачні
美味	смачна
美味	смачно
美味	смачне
虧損	збиток
虧損	втрати
虧損	втрата
虧損	збитки
虧損	втрату
虧損	втрат
虧損	збитки
虧損	програш
虧損	дефіцит
熔	плавлення
口袋	кишені
口袋	кишеня
口袋	кишенях
口袋	кишені
蜜蜂	бджіл
蜜蜂	бджоли
蜜蜂	бджола
蜜蜂	бджоли
瑜伽	йога
瑜伽	йоги
瑜伽	yoga
安第斯山脈	анд
硫磺	сірка
硫磺	сірка
茉莉	моллі
療法	терапія
包機	присяжних
注意力	увага
狐狸	фокс
狐狸	лисиця
石灰岩	вапняку
閏	стрибок
站立	стоїть
站立	стоячи
站立	стоять
站立	стоїмо
站立	стенд
站立	stand
吞噬	пожирає
風車	вітряк
風車	млин
風車	вітряки
印度支那	індокитай
同化	асиміляція
鍋	горщик
鍋	по
鍋	горщиках
孵化	яєць
孵化	вилупилися
大連	далянь
文藝復興	відродження
忠誠	вірний
忠誠	вірність
忠誠	вірний
忠誠	вірним
祖國	вітчизна
祖國	вітчизну
祖國	вітчизни
祖國	батьківщина
祖國	вітчизна
祖國	батьківщина
休士頓	houston
供電	електрику
供電	електрика
供電	електрики
供電	електроенергії
四肢	ніжками
四肢	кінцівки
莎莉	саллі
視窗	вікон
視窗	windows
視窗	вікна
視窗	вікно
抗原	антиген
老化	старіння
老化	старіння
多哈	доха
守護者	опікун
守護者	вартові
經紀人	брокер
發育	developmental
槍口	дуло
仇恨	ненависть
仇恨	ненавиджу
仇恨	ненависть
仇恨	ненависті
矮人	карлик
矮人	гном
琵琶	піпа
不規則	неправильні
不規則	неправильне
穩定性	стабільність
混沌	хаос
鑰匙	ключ
鑰匙	клавіша
世襲	спадкове
櫻桃	сакури
櫻桃	вишенька
櫻桃	вишні
執事	диякон
哀悼	співчуття
哀悼	траур
摩托車	коляскою
摩托車	мотоцикл
摩托車	мотоцикл
摩托車	мото
摩托車	мотоциклі
地雷	мін
地雷	копальні
地雷	міни
大亨	олігарх
安慰	комфорт
安慰	затишок
空手道	карате
乾燥	сухий
乾燥	суха
乾燥	сухо
乾燥	сухе
乾燥	сухі
乾燥	сушіння
點數	подяки
點數	точки
點數	очки
點數	пункти
點數	очок
點數	балів
警示	приверне
警示	тривога
警示	попередження
警示	попередити
土佐	тоса
潛力	потенціал
開墾	реставрації
勞倫斯	лоуренс
班級	класи
班級	клас
奧斯汀	остін
吉野	йосіно
送出	надіслати
送出	відправити
送出	надсилати
送出	відіслати
送出	надсилання
管理者	керівник
管理者	менеджер
管理者	менеджерів
哈桑	хассан
委派	призначення
委派	присвоєння
卸	розвантаження
聚焦	фокусування
聚焦	фокус
聚焦	фокусування
聚焦	focus
全景	панорами
全景	панорама
全景	panorama
佐賀	saga
後宮	гарем
佛羅里達	флориді
工地	сайт
比丘	пікчу
特質	риса
腎	нирках
腎	ниркова
腎	нирки
波恩	бонн
回憶錄	мемуари
回憶錄	мемуари
鈎	застібка
鈎	гак
鈎	гук
鈎	гачок
觸發	гачок
觸發	задіяти
觸發	прицілом
觸發	спричинили
香水	пахощі
香水	парфуми
美式	американський
美式	американець
美式	американські
美式	американська
美式	американської
診所	поліклініка
診所	клініка
大膽	жирний
大膽	жирним
胚胎	ембріон
感知	сприйняття
違規	порушення
違規	штурму
鈣	кальцій
鈣	кальцію
民主化	демократизація
關節	спільна
關節	спільне
關節	суглоби
淡出	згасання
煤礦	вугілля
學期	семестр
學期	термін
占卜	пророцтва
官司	позов
侵蝕	ерозія
後勤	логістики
後勤	логістика
後勤	логістична
固體	суцільна
固體	твердий
固體	суцільний
固體	суцільне
固體	порошок
寄宿	міграційна
寄宿	житловий
寄宿	житлових
鼻子	ніс
芝麻	кунжут
瓷器	порцеляна
諜	шпигун
訂單	замовити
訂單	ордер
訂單	наказ
訂單	порядок
訂單	замовлення
特權	привілей
特權	привілеїв
特權	привілеї
漁民	рибалки
漁民	рибалок
漁民	рибалка
水解	гідроліз
痕跡	сліди
猩猩	горила
猩猩	мавпа
證人	свідки
證人	свідок
日內瓦	женеві
梅森	муляр
本體	онтологій
女巫	відьму
女巫	відьма
女巫	відьми
擁抱	обійми
擁抱	обійми
西邊	захід
西邊	вест
滑行	літає
出國	закордоном
出國	закордон
陣列	масивів
陣列	масиву
陣列	масив
陣列	масиві
耐心	терпіння
紡織	текстиль
紡織	виробів
潛水	дів
合法性	легітимність
竇	затока
竇	собака
竇	собачка
竇	пес
竇	dou
擾亂	безладдя
同源	гомологічні
事前	завчасно
吸引力	привабливість
吸引力	привабливості
吸引力	атракціон
吸引力	притягнення
吸引力	привабливою
吸引力	привабливий
吸引力	приваблива
吸引力	привабливим
甘蔗	кане
哭泣	cry
哭泣	плакати
哭泣	плачу
哭泣	плаче
哭泣	плач
哭泣	реве
賭博	азарт
賭博	gamble
功效	віддача
腫瘤	пухлина
腫瘤	пухлина
紀律	дисципліни
紀律	дисципліна
紀律	дисциплін
酷刑	тортури
酷刑	катування
口服	оральний
嚴謹	строга
嚴謹	суворий
三叉戟	trident
展品	виставку
展品	експонат
展品	експонатів
仰光	янгон
豁免	імунітет
史詩	епічний
推斷	виведення
推斷	висновок
推斷	inferred
暹羅	сіамська
鑄造	приведення
鑄造	кастинг
刪去	вилучення
刪去	видалити
刪去	вилучити
礦物	мінерали
礦物	мінеральна
麻醉	анестезія
加深	поглибити
加深	поглибили
加深	поглиблює
攝政	правителька
芳香	запашна
芳香	пахощі
芳香	ароматом
民謠	балада
民謠	народний
民謠	народного
民謠	фольклор
民謠	народні
民謠	фолк
民謠	народна
明文	відверті
明文	явні
服務業	послуги
服務業	служби
守衛	гвардійська
守衛	охорона
守衛	охоронці
守衛	охорони
守衛	охорона
守衛	гвардія
氣球	кулі
氣球	кульки
籃板	реб
籃板	rebounds
遣返	видача
倫理	етичних
倫理	етика
一幕	сцени
一幕	сцена
摸	дотик
推論	виведення
推論	висновок
投放	доставку
投放	доставка
神學院	семінарії
憲政	конституційний
憲政	конституційного
艾瑪	емма
類比	аналогічний
類比	аналог
類比	аналоговий
類比	аналогія
雅加達	джакарта
對照	контрастність
膨脹	розгортання
膨脹	розширення
營利	прибуток
良心	сумління
良心	совісті
良心	совість
位移	виселення
位移	переміщення
招標	тендер
招標	ніжна
招標	домагання
波羅的海	балтійське
雨傘	парасольку
雨傘	парасольки
花生	копійки
花生	горішки
閃光	флеш
閃光	flash
閃光	спалах
和弦	акорд
和弦	акорди
和弦	акордів
子爵	віконт
子爵	віконт
削減	вирізання
削減	різати
削減	вирізати
視察	інспекція
髮型	шерсть
髮型	волосся
髮型	зачіска
里根	рейган
叛變	заколот
殘酷	жорстокий
殘酷	жорстока
殘酷	жорстоко
殘酷	жорстокі
殘酷	жорстокість
殘酷	жорстокість
殘酷	брутальний
殘酷	шалена
牧場	пасовище
牧場	ранчо
單身	окремі
單身	single
單身	самотній
大自然	природа
大自然	природня
犀	носоріг
雇用	найняти
雇用	вооз
悲傷	печаль
悲傷	сумно
悲傷	сумні
悲傷	сумний
僧侶	монах
僧侶	монахи
恐嚇	залякування
沒收	конфіскували
粉紅	рожева
粉紅	рожевий
反向	зворотний
原油	грубо
原油	грубий
浴	купання
浴	ванна
浴	ванни
感恩	подяку
感恩	вдячність
感恩	вдячність
感恩	вдячна
感恩	вдячний
感恩	вдячних
感恩	вдячним
感恩	вдячні
感恩	вдячна
感恩	вдячний
生氣	злий
生氣	агресивний
生氣	злість
星期天	неділі
星期天	неділях
星期天	щонеділі
星期天	неділя
塵埃	пил
塵埃	зараження
平滑	плавне
平滑	згладжування
平滑	плавні
平滑	плавно
平滑	гладкий
平滑	згладжування
加速器	акселератора
弩	арбалет
側面	фланг
穆爾	мур
薄弱	слабкість
薄弱	слабкості
薄弱	слабка
薄弱	слабкий
指明	вказати
指明	вкажіть
諸葛	чжуге
謊言	лежать
謊言	брехня
謊言	брешуть
謊言	лежить
謊言	брехня
謊言	бреше
謊言	брехні
宙斯	зевс
野獸	звір
填充	заповнення
填充	заповнення
填充	заповнення
填充	заповнювати
填充	заповнити
起因	причинами
起因	причини
縫	тих
縫	шиття
高分子	полімери
反省	відбиття
敲	тук
敲	стук
頂端	згори
頂端	вгорі
頂端	топ
頂端	верхній
頂端	найпопулярніші
頂端	зверху
角落	кутку
角落	куточок
角落	куті
角落	кути
淋巴	лімфи
狂熱	фанатизм
郵輪	круз
郵輪	круїз
燈光	ліхтарі
燈光	світло
燈光	вогні
燈光	світлі
燈光	світле
燈光	light
燈光	світло
燈光	світлий
瑪利亞	марія
太陽能	сонячний
太陽能	сонячне
太陽能	сонячні
太陽能	сонячна
儲備	резервна
儲備	резерв
儲備	резервний
儲備	заповідник
反對派	протистояння
舵	стерно
舵	проведених
池塘	ставок
池塘	понд
講話	мовлення
講話	промову
離任	вихідний
離任	вихідні
激發	надихають
激發	стимулювати
禁忌	заборона
禁忌	заборонено
