アイザック	isaac
ウイスキー	scotch
ウイスキー	whiskey
ウイスキー	whisky
バッド	xấu
バッド	bad
バッド	kém
バッド	khiếp
バッド	tệ
ナシ	pear
ナシ	lê
アレクセイ	alexey
アレクセイ	alexei
アレクセイ	aleksey
アレクセイ	aleksey
アレクセイ	aleksei
アレクサンドリア	alexandria
時雨	shigure
ファゴット	bassoon
エリザベート	elisabeth
借用	mượn
聴覚	thính
むつ	mutsu
七夕	tanabata
清和	seiwa
トリガー	cò
イベリア	iberia
武内	takenouchi
古事記	kojiki
間宮	mamiya
イーグルス	eagles
石坂	ishizaka
刻印	giậm
チューリップ	tulips
チューリップ	tulip
舞子	maiko
ガッツ	guts
レニングラード	leningrad
吉見	yoshimi
リップ	xé
リップ	rip
コルト	colt
煉瓦	gạch
煉瓦	gạch
煉瓦	brick
ペイン	paine
ペイン	payne
ペイン	đau
藤野	fujino
ポツダム	potsdam
ニコル	nicol
ニコル	nicole
愛美	manami
仁科	nishina
和正	kazumasa
竜馬	ryoma
ハーグ	hague
ハーグ	hag
プロヴァンス	provence
ミーティング	họp
カーペット	thảm
カーペット	chăn
カーペット	thảm
モンタナ	montana
カビ	mốc
カビ	khuôn
高千穂	takachiho
ギャップ	gap
地層	stratum
アルス	ars
シェリー	cherie
シェリー	sherry
シェリー	shelly
乗り物	xe
ダニ	tắc
ダニ	tick
ダニ	tíc
ダニ	dani
伊奈	ina
イネ	ine
パンドラ	pandora
チャイコフスキー	tchaikovsky
カナリア	canaries
カナリア	serinus
カナリア	canary
テンプル	đền
テンプル	chùa
一成	issei
一成	ninomiya
エメラルド	chlorostilbon
エメラルド	emerald
テレサ	têrêsa
テレサ	teresa
テレサ	theresa
マッカートニー	mccartney
パタゴニア	patagonia
太い	thick
太い	dầy
太い	dày
アニー	annie
ベルン	bern
コックピット	cockpit
匂い	mùi
信彦	nobuhiko
ゴメス	gomes
ゴメス	gomez
ゴメス	gómez
ゴメス	gómez
ナラ	nala
ゲーテ	goethe
オスカル	oscar
リハーサル	rehearsal
ケニー	kenny
アスファルト	nhựa
長沢	nagasawa
木原	kihara
サラダ	salad
エクアドル	ecuador
エクアドル	ecuador
制動	phanh
和尚	osho
三橋	mitsuhashi
ルワンダ	rwanda
ドーピング	doping
シューマン	schumann
パラリンピック	paralympics
進藤	shindo
十字路	lô
島嶼	islet
レナード	leonard
グライダー	gliders
ベルナール	bernard
エンリケ	enrique
ババ	baba
ババ	margo
ババ	bubba
野手	fielder
ポーツマス	portsmouth
オスロ	oslo
ヴァンガード	vanguard
モニカ	monica
モニカ	monika
スペシャリスト	chuyên
リガ	riga
軍備	armaments
ロコ	loco
ジョシュ	josh
スカーレット	scarlet
スカーレット	scarlett
緑川	midorikawa
ペレス	perez
泣く	khốc
泣く	cry
泣く	khóc
泣く	khóc
インディー	indie
田尻	tajiri
坂城	sakaki
ペガサス	pegasus
ディエゴ	diego
叫ぶ	la
ケネス	kenneth
バタ	bata
シャドウ	bóng
シャドウ	shadow
発送	dispatch
マンガン	mangan
ポッター	potter
ハト	dua
ハト	pigeon
ハト	patagioenas
スモール	nhỏ
給料	lương
打楽器	percussion
広田	kōki
直也	naoya
エドワーズ	edwards
スズ	tin
スズ	thiếc
坪井	keisuke
ベネット	bennett
ベネット	bennet
ミミ	mimi
肩書	tựa
忠雄	tadao
ダライ	dalai
檜山	hiyama
世俗	secular
成虫	imago
ドリンク	uống
ドリンク	ly
ドリンク	uống
慶喜	yoshinobu
グラスゴー	glasgow
ワタナベ	watanabe
みやこ	miyako
太宰	osamu
下水道	cống
カザン	kazan
由良	jura
由良	yura
シアン	cyan
シェパード	shepherd
シェパード	shepard
贈り物	quà
贈り物	cải
贈り物	tặng
ラグナ	laguna
ノヴゴロド	novgorod
幕張	makuhari
オビ	obi
ベネディクト	benedict
エッチ	ecchi
検閲	censorship
オペレーション	thao
ガーディアン	guardian
物事	điều
深田	fukada
ブイ	phao
ノンストップ	nonstop
パレット	pallet
マギー	maggie
フューチャー	lai
狂気	cuồng
狂気	madness
狂気	insanity
リマ	lima
懸賞	premier
ストーカー	rình
ストーカー	rình
薬師	yakushi
千恵	chie
ロバ	lừa
ロバ	donkey
ロバ	lừa
ジュリー	julie
大麻	cannabis
村落	làng
村落	làng
大隈	okuma
信子	nobuko
生態系	ecosystems
穂積	hozumi
かわいい	ngoan
かわいい	cute
かわいい	thương
宮村	miyamura
注入	truyền
ピエモンテ	piemonte
ローラン	laurent
ファインダー	finder
ザグレブ	zagreb
ニューカッスル	newcastle
サクラメント	sacramento
ソート	xếp
サンダー	vanilla
サンダー	sấm
サンダー	sét
紅茶	trà
紅茶	tea
デア	der
ノーラン	nolan
天竜	tenryu
天竜	tenryū
名張	nabari
相原	aihara
信じる	tin
ピッコロ	piccolo
ヴィンセント	vincent
浜口	hamaguchi
ハイライト	highlight
マシーン	máy
美代子	miyoko
ポーラ	paula
船首	cung
船首	bow
暗闇	darkness
エスパーニャ	españa
マーチン	martin
八田	hatta
リラ	lira
リラ	lire
リラ	rila
刺し	đâm
せり	auctions
ゼルダ	zelda
プロローグ	prologue
明美	akemi
おじ	chú
おじ	bác
芭蕉	basho
五つ	năm
小津	ozu
税金	thuế
税金	thuế
バーレーン	bahrain
球体	cầu
ブラームス	brahms
小町	komachi
伸一	shinichi
キャメロン	cameron
染め	nhuộm
塚田	tsukada
マーキュリー	mercury
談話	discourse
ウェディング	cưới
義昭	yoshiaki
着物	kimono
神保	jimbo
花弁	petals
残党	remnants
セグメント	đoạn
ノエル	noël
ノエル	noel
ナタリー	natalie
武井	takei
三四郎	sanshiro
橿原	kashihara
トミ	tomi
カーティス	curtis
サングラス	sunglasses
美空	misora
セブ	cebu
スプリンター	splinter
加瀬	kase
ドミニク	dominic
ビルバオ	bilbao
宮古島	miyakojima
ペルソナ	persona
軍縮	disarmament
ジングル	jingle
嵐山	arashiyama
スプレー	phun
ガリレオ	galileo
木田	kida
生化学	biochemistry
ジャスティン	justin
シング	singh
デュッセルドルフ	düsseldorf
デュッセルドルフ	düsseldorf
デュッセルドルフ	dusseldorf
タスク	task
ジュピター	jupiter
キャプション	caption
鞍馬	kurama
プレイオフ	playoffs
ユヴェントス	juventus
サイレン	siren
直哉	naoya
ルーレット	roulette
小人	lùn
小人	phơ
リビング	sống
リビング	living
チャド	tchad
チャド	chad
重信	shigenobu
バイオリン	violin
ジャカルタ	jakarta
直交	orthogonal
光秀	mitsuhide
インターフェース	giao
キノ	kino
キノ	keno
即興	improvisation
ドロー	vẽ
済州	jeju
賞品	premier
カスタマイズ	customization
バングラデシュ	bangladesh
浪士	roshi
平賀	hiraga
肥料	phân
フォーチュン	fortune
フォーチュン	lường
青函	seikan
ラッパー	rapper
検知	detection
アイスクリーム	kem
義弘	yoshihiro
花序	inflorescence
野獣	beast
野獣	tã
サメ	shark
サメ	carcharhinus
フレディ	freddy
湖沼	hồ
湖沼	lakes
ソチ	sochi
レクイエム	requiem
千早	chihaya
南陽	nanyo
ゲット	lấy
ゲット	nhận
ゲット	get
富永	tominaga
レイチェル	rachel
バンクス	banks
ナット	nut
ナット	nứt
ナット	nat
三成	mitsunari
陽気	jolly
ホルヘ	jorge
遊佐	yusa
マグロ	tuna
ジョイ	joy
リーク	leaks
プッシュ	push
プッシュ	đẩy
ファンク	funk
キープ	giữ
グアテマラ	guatemala
グアテマラ	gua
グアテマラ	guatemalan
可視	bien
メタン	mêtan
メタン	metan
メタン	methane
花田	hanada
パイプライン	ống
駒場	komaba
親鸞	shinran
河南省	henan
迷路	mê
アスリート	vđv
キャラバン	caravan
ユーリ	yuri
ホルシュタイン	holstein
丸い	hiệp
丸い	vòng
梅津	umezu
ジェラルド	gerald
ライデン	leiden
秀忠	hidetada
邦子	kuniko
カーテン	màn
カーテン	curtain
カーテン	chăn
カーテン	rèm
カーテン	rèm
美馬	mima
ペレ	pele
ブルネイ	brunei
ロジェ	rõ
ロジェ	roger
課金	sạc
我慢	kiên
トスカーナ	toscana
トスカーナ	tuscany
史記	shiji
カルメン	carmen
加奈子	kanako
蕎麦	soba
林田	hayashida
蔵王	zao
蔵王	zhao
サーベル	sabre
サーベル	saber
松木	matsuki
ファウスト	faust
ファシズム	nazi
ファシズム	fascism
テナー	tenor
ハルビン	harbin
曼荼羅	mandala
組み込み	nhúng
ズボン	quần
ズボン	quần
マインツ	mainz
プラトン	platon
プラトン	plato
タップ	nhấn
欠如	vitamin
ロミオ	romeo
藤山	fujiyama
おしゃれ	stylish
ヒデ	giấu
ヒデ	trốn
ヒデ	ẩn
ブルックス	brooks
ピエトロ	pietro
久松	hisamatsu
白根	shirane
ドク	doc
雅也	masaya
ホイットニー	whitney
チタン	titanium
チタン	titan
生計	livelihood
姶良	aira
悲しい	buồn
真司	shinji
長政	nagamasa
ステロイド	steroid
ステロイド	steroid
元就	motonari
ハガキ	thiếp
アトレティコ	atlético
高座	koza
ダイス	dice
片倉	katakura
アレクサンドラ	alexandra
変調	modulation
宴会	yến
スニーカー	sneaker
スニーカー	sneakers
メル	mel
ノミ	flea
アニメイト	hoạt
偏見	prejudice
ファルコン	falcon
ウガンダ	uganda
カメルーン	cameroon
牡丹	peony
スーパースター	superstar
ダイビング	lặn
ダイビング	lặn
リンチ	lynch
長澤	nagasawa
バビロン	babylon
カーネギー	carnegie
ウェリントン	wellington
リザ	liza
マーラー	mahler
高須	takasu
カストロ	castro
ワシ	eagle
ワシ	bàng
新星	nova
テヘラン	tehran
ブロンズ	đồng
アントワーヌ	antoine
スキップ	skip
ヤシ	palm
ヤシ	sên
ヤシ	cọ
絶叫	quát
絶叫	hét
運動量	momentum
セネガル	senegal
ソーラー	solar
谷崎	tanizaki
明夫	akio
ピザ	pizza
土星	saturn
ニカラグア	nicaragua
アラー	allah
海老	tôm
海老	tôm
海老	tôm
コンパイラ	compiler
退屈	chán
退屈	chán
ダーツ	dart
コンサドーレ	consadole
シボレー	chevy
シボレー	chevrolet
あやめ	ayame
シフ	schiff
けいこ	keiko
ボギー	bogey
ウィルス	virus
ウィルス	virut
ウィルス	virus
ウィルス	virut
弁天	benten
アンジェラ	angela
噴水	fountain
噴水	fountains
リムジン	limousine
リムジン	limo
試練	trials
ガレージ	garage
ガレージ	gara
コンドル	condor
苦しむ	chịu
ヘルプ	cứu
ヘルプ	giúp
スーパーマン	superman
レンガ	gạch
レンガ	gạch
レンガ	brick
ブラント	brant
ブラント	brandt
リベンジ	thù
ミヒャエル	michael
オルレアン	orleans
オルレアン	orléans
予知	premonition
ベティ	betty
サモア	samoan
サモア	samoa
パーマー	palmer
登米	tome
切り札	trump
小石川	koishikawa
鉛筆	chì
カーリング	curling
ヒート	nhiệt
アウディ	audi
隣人	xóm
るり	ruri
千田	senda
乱暴	rough
エヴァ	eva
桜島	sakurajima
ハエ	fly
ハエ	ruồi
ハエ	bay
エセックス	essex
マーベル	marvel
悪霊	khổn
悪霊	ám
悪霊	quỷ
悪霊	quỷ
八重山	yaeyama
醍醐	daigo
江ノ島	enoshima
汚職	nhũng
服飾	costume
ジョンストン	johnston
万歳	banzai
確執	feud
散乱	scattering
信行	nobuyuki
レジスタンス	vây
レジスタンス	cự
胎児	fetus
マーカス	marcus
可児	kani
チャールストン	charleston
不知火	shiranui
好奇心	curious
好奇心	mò
エドウィン	edwin
ニャー	meow
ニャー	meo
花粉	phấn
空知	sorachi
サタン	sa
サタン	satan
御影	mikage
フレックス	flex
レゲエ	reggae
小春	koharu
タフ	mẫn
スパイス	spice
九鬼	kuki
鮮やか	vivid
ヘンダーソン	henderson
光沢	glossy
トラウマ	tổn
親指	thumb
親指	thumbs
フォロー	theo
モスラ	mothra
粉末	bột
粉末	bột
粉末	phấn
カド	caddo
ジブラルタル	gibraltar
プレイボーイ	playboy
マーズ	mars
グレゴリー	gregory
セバスティアン	sebastian
ゴダール	godard
台所	bếp
台所	bếp
ちあき	chiaki
ナシオナル	nacional
ドルトムント	dortmund
レミ	remi
モア	moa
諭吉	yukichi
パウエル	powell
ジョエル	joel
安岡	masaomi
誘発	induced
リッチー	ritchie
リッチー	richie
峡谷	gorge
峡谷	canyon
峡谷	hẻm
峡谷	hẻm
書式	format
ガードナー	gardener
ガードナー	gardner
序文	preface
ヘッドライト	pha
クワ	mulberry
朱雀	suzaku
脊椎動物	vertebrate
ブルズ	bò
ブルズ	bulls
テンソル	tensor
モーメント	moments
モーメント	lát
トムソン	thomson
リエージュ	liège
レベッカ	rebecca
ガメラ	gamera
マルティネス	martinez
マルティネス	martínez
音羽	otowa
バクー	baku
レプリカ	replica
ウィレム	willem
フーガ	fugue
叙事詩	huyền
注射	chích
注射	tiêm
ファックス	fax
平仮名	hiragana
サギ	heron
サギ	diệc
九重	kokonoe
パラマウント	paramount
譜代	fudai
プレスト	presto
トウモロコシ	maze
トウモロコシ	ngô
トウモロコシ	bắp
トウモロコシ	lúa
修司	shuji
ギネス	guinness
ギネス	gwyneth
ミューズ	muse
甲状腺	thyroid
因果	causal
シューベルト	schubert
フロイド	floyd
フェルディナンド	ferdinand
オードリー	audrey
ラインハルト	reinhard
ラインハルト	reinhardt
硝酸	nitrat
硝酸	nitrate
サバンナ	savannah
サバンナ	savanna
レイラ	leila
埋める	chôn
埋める	tô
埋める	điền
フィンガー	finger
スターズ	stars
モロ	moro
栄子	eiko
かつら	wig
リッキー	ricky
ストリング	chuỗi
ウォレス	wallace
区切り	break
区切り	phá
山西省	shanxi
なにわ	naniwa
ゲームセンター	arcade
安積	asaka
クリケット	dế
クリケット	cricket
北沢	tsuyoshi
タオル	khăn
タオル	khăn
アリストテレス	aristotle
カローラ	corolla
五木	itsuki
ハイドン	haydn
瀬田	seta
ディッシュ	dish
ディッシュ	món
みよし	miyoshi
ビスタ	vista
ワンダー	wonder
クッキー	cookies
クッキー	cookie
クッキー	cookie
アビスパ	avispa
シギ	gallinago
瞑想	thiền
ドーナツ	phong
ナショナリズム	nationalism
パイン	thông
パイン	pine
正方形	đc
正方形	square
正方形	vuông
テオドール	theodore
テオドール	theodor
パスカル	pascal
羽衣	hagoromo
タンザニア	tanzania
エーテル	aether
エーテル	ether
エーテル	ete
キャビン	chòi
キャビン	cabin
ヘリウム	helium
ヘリウム	heli
羽毛	lông
羽毛	lông
ノックアウト	knockout
ハロウィン	halloween
ウッズ	rừng
フラグ	cờ
フラグ	cờ
グリム	grimm
倉橋	kurahashi
銀河系	galaxy
やじ	xét
フィナーレ	finale
アニマル	vật
チャーチ	thờ
ロッシ	rossi
厳島	itsukushima
マグネシウム	magie
マグネシウム	magiê
マグネシウム	magnesium
仮装	costume
華やか	glamorous
磁石	magnet
窃盗	trộm
マーフィー	murphy
喋る	nói
シャーリー	shirley
不破	fuwa
ソフィー	sophie
シャロン	sharon
那智	nachi
スリム	slim
スリム	gầy
前奏曲	prelude
ディスカバリー	discovery
ドイル	doyle
妹尾	seno
パレルモ	palermo
ノストラダムス	nostradamus
康平	kohei
フレア	flare
フレア	nến
海事	maritime
三崎	misaki
みやま	miyama
塩屋	shioya
バリア	barrier
ロッテルダム	rotterdam
ダイアモンド	zô
ダイアモンド	diamond
カント	canto
ピサ	pisa
外傷	tổn
パレ	palais
パルプ	pulp
ヴェルサイユ	versailles
エイドリアン	adrian
カイル	kyle
朝食	sáng
脂質	lipid
芦田	ashida
ミネアポリス	minneapolis
湖南省	hunan
テツ	tetsu
比企	hiki
十兵衛	jubei
長谷部	hasebe
ロート	roth
式部	shikibu
コースター	coaster
宇土	uto
化身	kiếp
カルテット	tấu
ミック	mick
紫外線	ultraviolet
アルカリ	alkali
予告編	trailer
揖斐	ibi
ロウ	lowe
シルク	lụa
モザンビーク	mozambique
アフマド	ahmad
ユリア	julia
ジプシー	gipsy
ジプシー	gypsy
ヴィンチ	vinci
トゥールーズ	toulouse
綱吉	tsunayoshi
与謝野	yosano
マリーナ	marina
ロッジ	lodge
スパイラル	spiral
ラウル	raoul
ラウル	raul
サハラ	sahara
恵一	keiichi
疑念	nghi
疑念	reo
バリトン	baritone
ギル	gil
アッバース	abbas
ラガー	lager
和幸	kazuyuki
租税	thuế
租税	thuế
オウム	parrot
オウム	vẹt
天城	amagi
廊下	lang
村瀬	murase
正行	masayuki
カノ	kano
インパルス	xung
トルーマン	truman
アイデンティティ	identity
ヨーコ	yoko
ジェノヴァ	genoa
ジェノヴァ	genova
キツネ	fox
キツネ	cáo
キツネ	cáo
キツネ	foxes
フォート	fort
ハーモニカ	harmonica
イージー	nhẹ
風邪	lạnh
サンスクリット	phạn
サンスクリット	sanskrit
ティムール	timur
スノーボード	snowboarding
スノーボード	snowboard
厳重	chuỗi
青銅	đồng
スルターン	sultan
富良野	furano
乃木	nogi
キャラメル	caramel
キャラメル	caramen
船尾	stern
冊子	booklet
いくらか	cầy
渋沢	shibusawa
パラシュート	dù
アレイ	mảng
アレイ	ten
九龍	kowloon
ツバメ	nuốt
腎臓	thận
ブレスト	brest
覇権	hegemony
タリン	tallinn
ストラスブール	strasbourg
コックス	cox
義隆	yoshitaka
シャンソン	chanson
コルドバ	cordoba
ゴンザレス	gonzales
稼ぐ	giành
うつ病	depression
ダンテ	dante
ギヨーム	guillaume
ジェット機	jet
ベンゼン	benzen
シック	chic
日本酒	sake
日本酒	ngừa
接吻	hôn
接吻	hôn
接吻	kiss
メイソン	mason
アイダホ	idaho
審理	proceedings
イエメン	yemen
イエメン	ye
イエメン	ye
ボリューム	volume
セロ	cerro
セロ	cyril
ボンネット	bonnet
ボンネット	mui
ボンネット	hood
大仙	daisen
食肉	thịt
松方	matsukata
マーカー	marker
酵母	yeast
酵母	men
願望	tr
土産	niệm
土産	memorabilia
ムーンライト	moonlight
退院	tit
ジャガイモ	khoai
ゴッホ	gogh
砂丘	dune
カヌー	kano
カヌー	xuồng
カヌー	canoe
ロレーヌ	lorraine
稲妻	inazuma
新居	nii
ペイジ	paige
女帝	empress
エイズ	aids
エイズ	sida
北畠	kitabatake
川瀬	kawase
セム	shem
気絶	xỉu
気絶	ngất
花見	hanami
ハノイ	hanoi
羽黒	haguro
モルガン	morgan
ニキ	niki
ホームレス	homeless
プラネタリウム	planetarium
ハニー	thuế
アイリス	iris
白木	shiraki
ハンク	hank
焼肉	bbq
天龍	tenryu
ニックス	nix
ニックス	knicks
千鶴	chizuru
サガン	sagan
シュナイダー	schneider
ブレア	blair
ウォリアーズ	warriors
アウェイ	xa
アウェイ	phí
おっぱい	vú
おっぱい	ngực
おっぱい	zú
おっぱい	vú
おっぱい	tits
治癒	chữa
治癒	cure
小五郎	kogoro
ハインツ	heinz
大判	oban
匈奴	xiongnu
バリュー	giá
雲仙	unzen
フセイン	hussein
フセイン	hussain
セレモニー	lễ
ワイオミング	wyoming
フロート	float
フロート	nổi
台座	bệ
エピック	huyền
カイト	diều
たまごっち	tamagotchi
ノーザン	bắc
腐食	corrosion
友愛	fraternity
岸壁	quay
レイナ	reina
内面	nội
アーベル	abel
アーベル	able
裕次郎	yujiro
ブランク	trống
ブランク	blank
エリトリア	eritrea
エリトリア	eritrean
刺青	săm
刺青	tattoo
刺青	xăm
重度	nặng
ベーカー	baker
ブレット	gấp
ブレット	brett
書写	transcribed
綾乃	ayano
ヴェルナー	werner
ニジェール	niger
智美	itano
作り方	thức
作り方	recipe
乳房	vú
乳房	ngực
乳房	breast
娼婦	đĩ
クルアーン	quran
トレンド	trend
ハイキング	hiking
月島	tsukishima
佐用	sayo
オズボーン	osborne
オズボーン	osbourne
インスタント	instant
インスタント	tức
チェンバレン	chamberlain
正道	masamichi
ソーダ	soda
ヘレナ	helena
四角	đc
四角	square
四角	vuông
ミニチュア	miniature
落札	bán
ひぐらし	higurashi
悟り	enlightenment
バーニー	barney
バーニー	ticket
バーニー	bernie
刀剣	gươm
刀剣	kiếm
フュージョン	fusion
臭い	hôi
ウラル	ural
グロリア	gloria
レイノルズ	reynolds
レックス	rex
インコ	vẹt
インコ	pyrrhura
ミランダ	miranda
ヘンリク	henrik
ストリップ	strip
赤毛	redhead
タシュケント	tashkent
子安	koyasu
ウール	len
富樫	togashi
夢幻	mugen
浄土	jodo
シャトー	château
シャトー	chateau
無実	tội
アンドレアス	andreas
閉会	đóng
閉会	cận
奥野	okuno
シェフィールド	sheffield
マルグリット	marguerite
モンゴメリー	montgomery
ソケット	cắm
ソケット	socket
ソケット	socket
失調	ataxia
ヴェローナ	verona
閉じる	close
閉じる	đóng
閉じる	gần
閉じる	kín
トランジスタ	transistor
トランジスタ	transistors
ジュディ	judy
八神	yagami
プリンター	viết
城塞	thành
城塞	citadel
アーマー	giáp
チャペル	chapel
ヴィクター	victor
アブー	abu
オマージュ	homage
ジェニー	jennie
ジェニー	jenny
菌類	fungus
菌類	nấm
菌類	fungal
ハムレット	hamlet
球形	cầu
攘夷	joi
無色	colorless
サミー	sammy
メイヤー	mayer
メイヤー	meyer
水俣	minamata
両生類	amphibians
木島	kijima
ハッシュ	băm
ハッシュ	hash
美山	miyama
ジャネット	janet
答弁	tời
密輸	lậu
スロープ	dốc
スロープ	dốc
ガザ	gaza
ゼウス	zeus
コロンブス	columbus
寛子	hiroko
ジンバブエ	zimbabwe
不変	invariant
スパン	span
ヘラクレス	hercules
ビューティフル	đẹp
ナオミ	naomi
ホロコースト	holocaust
華子	hanako
タタール	tatar
早瀬	hayase
コーエン	cohen
ムアン	muang
ムアン	mueang
トワイライト	twilight
福沢	fukuzawa
サムスン	samsung
谷間	lũng
金堂	kondo
グリフィス	griffith
ダリ	dali
武士道	bushido
智頭	chizu
タブー	taboo
ニーナ	nina
執権	shikken
サーフィン	surf
サーフィン	lướt
シリウス	sirius
アンドロイド	android
サスケ	sasuke
憎悪	hat
憎悪	ghét
憎悪	hat
憎悪	ghét
シャドー	bóng
シャドー	shadow
リチャードソン	richardson
春子	haruko
花崗岩	granite
メソポタミア	mesopotamian
メソポタミア	mesopotamia
サガ	saga
球面	cầu
モリソン	morrison
まっすぐ	thẳng
まっすぐ	sảnh
フランキー	frankie
ホプキンス	hopkins
えりか	erika
手作り	handmade
手作り	homemade
あとがき	afterword
アクシデント	nạn
井手	ide
一年生	freshman
クルマ	car
クルマ	xe
傾き	dốc
傾き	tilt
傾き	nghiêng
傾き	dốc
潰し	smashing
岩下	iwashita
リョウ	ryo
エルヴィス	elvis
シリコン	silicon
お化け	ghost
お化け	ma
お化け	kozō
志田	shida
拳法	kenpo
ご飯	gạo
ご飯	cơm
五味	gomi
ビーバー	beaver
パーマ	perm
行き先	đích
敷島	shikishima
狩人	hunter
グルコース	glucose
ヒョウ	leopard
クレイジー	khùng
クレイジー	điên
黒竜江	heilongjiang
智久	tomohisa
耐久性	bền
公理	axiom
ニコン	nikon
評定	valuation
服従	obedience
ダグ	doug
種子島	tanegashima
スイート	suite
スイート	suites
二回	twice
ドルフィン	dolphin
シェイク	lắc
シェイク	rung
マラウイ	malawi
ディレクトリ	directory
障壁	barrier
スムーズ	mịn
スムーズ	mượt
スムーズ	ẩm
チューニング	trimming
チューニング	tuning
チューニング	chỉnh
レヴィ	levy
アバター	thịnh
アバター	avatar
新島	niijima
ハロゲン	halogen
酪農	dairy
アニ	ani
アニ	anni
漏洩	lens
漏洩	leak
しっぽ	đuôi
しっぽ	đuôi
利子	vốn
利子	lãi
ストーンズ	stones
ダンディ	dandy
保坂	tsukasa
高森	takamori
ゲッティンゲン	göttingen
チェイス	đuổi
チェイス	tẩu
チェイス	chase
レザー	da
ツェッペリン	zeppelin
ドーハ	doha
ウィリス	willis
ウィリス	wills
青野	aono
シンプソン	simpsons
シンプソン	simpson
レイテ	leyte
プジョー	peugeot
抗原	antigen
恵美子	emiko
ネプチューン	neptune
ガイウス	gaius
砂浜	biển
砂浜	beach
大路	oji
団子	dango
ターミネーター	terminator
分隊	squad
分隊	đội
デズモンド	desmond
ラサ	lhasa
幸村	yukimura
ガウス	gaussian
ガウス	gauss
ガウス	gauss
久光	hisamitsu
中根	nakane
探究	inquiry
石鹸	xà
太宰府	dazaifu
ホッパー	hopper
ムガル	mogul
金魚	goldfish
シーザー	ceasar
シーザー	caesar
樹里	juri
アロマ	aroma
ピーナッツ	peanut
トランク	cốp
トランク	rương
シュール	schur
被覆	bìa
被覆	cover
被覆	che
慎二	shinji
マントル	mantle
オートマチック	động
オートマチック	tự
