del	del
sfondo	background
versione	phiên
versione	bản
provincia	tỉnh
attore	diễn
coppa	cup
coppa	cốc
coppa	tách
forma	hình
forma	form
forma	mẫu
codice	codex
codice	code
codice	mã
oggi	nay
base	base
trova	tìm
trova	xạo
punto	punto
punto	beat
punto	chấm
punto	điểm
figlio	trai
figlio	nhi
figlio	son
corso	hải
corso	corso
allenatore	trainer
allenatore	hlv
allenatore	hlv
molti	nhiều
sistema	hệ
società	ty
club	club
club	clb
regione	loạt
regione	tần
regione	vùng
sud	sud
sud	nam
padre	cha
padre	padre
linea	line
linea	dòng
linea	linea
santa	saint
santa	thánh
santa	trã
santa	santa
pubblicato	đăng
carlo	charles
carlo	carl
carlo	carlo
carlo	karl
primi	trước
primi	đầu
mai	mai
mai	bao
sito	website
sito	site
lungo	lâu
lungo	dài
lungo	long
uso	dùng
tedesco	đức
uniti	united
uniti	hoa
lavoro	nghề
lavoro	việc
isbn	isbn
giorno	ngày
giorno	day
principale	chính
principale	main
ben	ben
ben	crack
specie	loài
persone	người
pagine	trang
pagine	page
pagine	trang
volte	lần
volte	times
set	đặt
set	set
inizio	khởi
jpg	jpg
episodio	tập
episodio	episode
rispetto	bai
francesco	phanxicô
francesco	francis
francesco	francesco
queste	những
cosa	gì
uomo	người
uomo	man
meno	trừ
meno	bớt
meno	ít
meno	giảm
campo	field
campo	trường
campo	campo
giorni	ngày
carriera	nghiệp
mar	mar
scritto	viết
ora	giờ
ora	ngay
gen	gen
gran	gran
antonio	anthony
antonio	antony
antonio	antonius
antonio	antonio
giuseppe	giuse
giuseppe	joseph
giuseppe	giuseppe
diversi	khác
quasi	sắp
quasi	gần
quasi	hầu
quasi	quasi
data	ngày
data	dữ
terra	đất
terra	đáp
terra	terra
allora	rồi
categoria	loại
strada	phố
strada	street
strada	đường
strada	road
corpo	thân
corpo	body
col	col
quest	quest
quest	tr
lug	lug
file	tệp
file	tệp
file	file
ultima	cuối
cura	chữa
cura	cure
cura	care
francia	pháp
lingua	lingua
lingua	ngữ
zona	zone
zona	múi
zona	vùng
zona	loạt
zona	vực
zona	vùng
livello	layer
livello	lớp
livello	mức
livello	tầng
livello	cấp
battaglia	battle
battaglia	trận
premio	premium
ott	ott
momento	lát
mag	mag
sui	sui
studio	học
studio	studio
oro	oro
oro	vàng
oro	gold
singolo	single
singolo	đơn
paese	quốc
diverse	khác
arte	art
età	tuổi
vescovo	bishop
york	york
precedente	trước
area	loạt
area	vực
area	vùng
episodi	tập
episodi	episodes
chi	chi
chi	ai
chi	who
paolo	paolo
paolo	paul
attraverso	qua
nov	nov
avere	có
avere	đã
regista	trương
punti	chấm
punti	điểm
fosse	fosse
governo	phủ
dato	tặng
originale	gốc
originale	tác
apr	apr
grandi	lớn
grandi	grandi
grandi	tuyệt
grandi	lớn
grandi	to
grandi	đúc
grandi	đại
grandi	big
palazzo	palazzo
giocatore	player
isola	đảo
quelle	những
capo	cape
capo	sếp
capo	capo
capo	sếp
capo	boss
musica	nhạc
divisione	division
luogo	nơi
luogo	chỗ
dic	dec
dic	dic
iii	iii
napoli	naples
napoli	napoli
parigi	paris
sembra	trông
gioco	game
gioco	chơi
ufficiale	quan
luigi	louis
luigi	louie
luigi	luigi
vittoria	thang
vittoria	win
vittoria	thắng
vittoria	vittoria
vittoria	victoria
centrale	trung
centrale	central
porta	cửa
porta	porta
sei	six
sei	sáu
sei	sei
america	châu
america	mỹ
origine	vạn
libro	sách
scuola	trường
scuola	học
immagine	ảnh
immagine	nh
immagine	hình
immagine	ảnh
esercito	quân
esercito	army
deve	phải
classifica	standings
personaggio	persona
importante	trọng
europa	âu
propria	chính
quelli	những
firenze	florence
giovane	trẻ
giovane	young
madre	mẹ
stazione	trạm
stazione	ga
presenta	quà
pietro	pete
pietro	pietro
pietro	peter
pietro	phêrô
fonte	nguồn
acqua	nước
torino	torino
torino	turin
cinque	năm
cinque	cinque
basso	low
basso	thấp
basso	bass
partito	đảng
partito	party
partito	tiệc
unità	unity
fonti	nguồn
marcatori	marker
lei	lôi
lei	cổ
metà	nửa
metri	mét
metri	mét
alto	alto
alto	cao
alto	cao
top	nắp
top	top
top	đỉnh
testo	chữ
usa	kỳ
usa	mỹ
usa	usa
tour	tour
tour	tours
dati	dữ
cardinale	cận
unico	unique
papa	papa
uomini	hãm
visto	thấy
visto	visa
ricerca	tìm
ricerca	bê
principali	chính
principali	main
massimo	đa
massimo	max
massimo	massimo
massimo	maximus
stile	style
germania	đức
donna	nữ
donna	donna
donna	nữ
alta	cao
alta	cao
alta	alta
castello	castello
castello	castle
castello	đài
distretto	huyện
nota	note
mesi	tháng
moglie	vợ
moglie	vơ
moglie	vk
subito	ngay
totale	tổng
canzone	song
vista	vista
vista	xem
vista	view
detto	nói
detto	bảo
detto	said
band	ban
band	band
chitarra	guitar
chitarra	ghita
robert	robert
est	đông
est	est
fiume	sông
musicale	nhạc
musicale	musical
figlia	gái
fuori	ngoài
fuori	ra
fuori	tứ
monte	núi
monte	lắp
monte	monte
contea	quận
contea	hạt
contea	shire
legge	luật
mario	mario
mario	marius
molte	nhiều
stadio	stadio
classe	hạng
classe	lớp
amore	love
amore	yêu
michael	michael
fratello	bro
fratello	huynh
prime	prime
comuni	xã
comuni	chung
pubblico	công
venezia	venice
venezia	venezia
media	media
media	vừa
media	medium
media	trung
gray	gray
gray	xám
londra	đôn
londra	london
gara	đua
gara	nhung
sopra	trên
formazione	luyện
formazione	training
marco	marcus
marco	marco
marco	mác
marco	mark
world	giới
probabilmente	chu
sant	sant
bene	ổn
bene	khỏe
bene	tốt
bene	hay
bene	ngon
bene	chà
bene	ừm
britannico	british
romano	roman
romano	đế
romano	romano
utente	dùng
james	james
video	video
video	video
video	videos
disco	đĩa
disco	đĩa
disco	disco
conte	earl
conte	lô
conte	đếm
conte	conte
giapponese	nhật
direttore	trương
peso	cân
peso	peso
meglio	nhất
avevano	nan
avevano	xịt
piccolo	nhỏ
piccolo	nhỏ
piccolo	tiểu
piccolo	piccolo
campionati	championships
unica	unique
importanti	trọng
von	von
occasione	dịp
programma	trắc
programma	chương
barra	barra
noto	quen
noto	noto
testa	testa
testa	đầu
testa	đàu
testa	head
testa	đầu
testa	vát
jean	jean
forte	forte
forte	mạnh
forte	strong
forte	fort
william	william
impero	empire
diritto	luật
start	khởi
mare	mare
mare	biển
unione	union
unione	hợp
unione	trộn
star	star
piazza	đc
piazza	square
piazza	vuông
potere	sục
potere	lực
rgb	rgb
rete	web
rete	net
rete	mạng
lato	bên
lato	phe
lato	trang
forza	buộc
superiore	upper
breve	bài
breve	ngắn
breve	short
breve	lá
van	trù
van	van
fronte	trán
ovest	tây
andrea	andreas
andrea	andrea
andrea	andrew
nato	sinh
nato	nato
dipartimento	sở
dipartimento	khu
don	don
passato	qua
passato	past
dire	nói
dire	tràng
diocesi	phận
gridcolor	gridcolor
villa	villa
lightgrey	lightgrey
pari	per
giorgio	giorgio
giorgio	george
antica	antique
darkgrey	darkgrey
problema	đề
milioni	triệu
mano	tay
chiamato	goi
migliore	nhất
pochi	vài
parti	phần
mio	mỏ
mio	mine
mio	mio
festival	festival
civile	civil
valle	lũng
luce	châm
luce	đèn
luce	nhạt
luce	luce
league	league
lista	kê
lista	list
lista	danh
sezione	phần
ultimi	cuối
ore	tiếng
ore	giờ
dio	dio
inizia	khởi
sinistra	trái
modello	model
modello	mẫu
istituto	viện
velocità	airspeed
velocità	gear
motore	tơ
motore	motor
femminile	feminine
femminile	nữ
vero	thật
vero	đúng
piccola	baby
piccola	bé
piccola	nhỏ
piccola	nhỏ
piccola	tiểu
piccola	babe
nuovi	new
nuovi	mới
nuovi	sâm
style	style
valore	giá
gruppi	nhóm
bologna	bologna
love	love
love	yêu
troppo	quá
troppo	khoáng
troppo	too
alessandro	alessandro
alessandro	alexandros
alessandro	aleksandr
alessandro	alexander
amico	mate
amico	khứa
amico	dude
amico	kiss
amico	bạn
amico	hiền
rock	đá
rock	rock
doppio	double
doppio	đôi
doppio	đôi
formato	format
vinto	won
vinto	thắng
mezzo	nửa
attacco	công
giro	giro
partita	game
partita	chơi
interpretato	interpreted
utilizzato	phơi
morì	chết
http	http
colore	nhuộm
colore	màu
colore	mầu
colore	màu
vicino	gần
vicino	xóm
orientale	đông
antico	antique
antico	cũ
antico	tuổi
antico	già
man	người
man	man
principe	hoàng
principe	prince
notte	đêm
dice	nói
mese	tháng
des	des
nuove	new
nuove	mới
nuove	sâm
cancellazione	hủy
batteria	pháo
batteria	pin
batteria	trống
immagini	ảnh
argento	bạc
poeta	thơ
tempi	lần
tempi	times
persona	người
persona	persona
rosso	đỏ
massima	maxim
russo	nga
russo	russo
occidentale	tây
occidentale	tây
comando	lệnh
comando	huy
comando	lềnh
bianco	trắng
bianco	white
bianco	bạch
bianco	trống
bianco	blank
pur	pur
template	templates
template	mẫu
template	mẫu
reti	lưới
reti	web
reti	mạng
funzione	hàm
scena	cảnh
cinema	phim
cinema	rạp
mia	mia
ragazza	girl
ragazza	gái
thomas	thomas
utenti	dùng
franco	franc
franco	franco
franco	frank
costa	costa
enrico	harry
enrico	enrico
enrico	henry
torre	torre
torre	tower
torre	tháp
reale	real
reale	thực
reale	thật
reale	thiệt
reale	royal
vol	vol
corte	corte
corte	triều
compagnia	ty
der	der
interesse	vốn
interesse	lãi
campione	sample
campione	mẫu
campione	champ
campione	cọc
campione	champion
live	sống
live	live
piuttosto	thà
parla	nói
parla	nói
possibilità	hội
lunga	lâu
lunga	dài
lunga	long
nero	đen
nero	nero
roberto	robert
roberto	roberto
destra	phải
destra	đúng
americano	americano
americano	american
americano	mỹ
accordo	chord
dimensioni	chiều
dimensioni	cỡ
dimensioni	size
radio	đài
radio	radio
records	records
sette	seven
sette	bảy
capitale	vốn
martin	martin
parole	lời
los	los
aiuto	aid
aiuto	cứu
aiuto	giúp
genova	genoa
genova	genova
greco	greco
prese	taken
prese	bắt
prese	chụp
madonna	madonna
santo	santo
intorno	khoảng
intorno	vòng
parco	viên
parco	park
resto	nghỉ
romana	roman
romana	đế
romana	romana
otto	tám
otto	eight
otto	otto
direzione	hướng
marina	marina
richiesta	inquiry
alberto	albert
alberto	alberto
risultato	quả
usato	phơi
mostra	xem
mostra	hiện
mostra	show
duca	duke
carica	nạp
carica	tải
carica	sạc
votazione	vote
votazione	bầu
maschile	buồng
maschile	đực
maschile	nam
cose	điều
prova	test
prova	thử
prova	thử
wiki	wiki
black	đen
minuti	phút
stella	stella
stella	star
porto	porto
porto	cảng
porto	cổng
porto	port
angelo	angelo
angelo	angel
lega	league
lega	lega
speciale	cống
azienda	ty
pure	sạch
anna	anne
anna	anna
record	album
record	records
mercato	chợ
chiamata	gọi
chiamata	call
chiamata	cẩm
chiamata	goi
stagioni	mùa
stagioni	seasons
sale	muối
libri	sách
border	viền
border	biên
trovare	tìm
stefano	stephen
stefano	steve
stefano	stefan
stefano	steven
stefano	stefano
tennis	tennis
capacità	capability
dare	đưa
dare	tặng
dare	cho
buona	tốt
buona	hay
buona	ngon
nave	tàu
nave	ship
estate	summer
estate	hè
pubblica	công
pubblica	đăng
giappone	japan
volume	volume
fuoco	lửa
fuoco	cháy
fuoco	lứa
gol	gol
gol	tiêu
gol	đo
composto	compound
campagna	quê
link	link
link	xích
link	links
lago	lago
lago	hồ
canale	kênh
viaggio	voyage
viaggio	du
viaggio	tý
viaggio	lượt
viaggio	trip
quarto	quarto
quarto	mùng
tappa	stage
inferiore	hạ
inferiore	inferior
ponte	cầu
ponte	boong
ponte	deck
ponte	ponte
materiale	nguyên
bruno	bruno
cancellare	xóa
cancellare	xoá
cancellare	xóa
cancellare	xoá
contiene	chứa
armi	khí
armi	súng
armi	súng
armi	tay
relazione	cáo
motivo	chi
motivo	motif
sole	nắng
sole	cn
sole	nắng
sport	sport
grafica	graphic
ottenere	lấy
ottenere	nhận
ottenere	get
creare	tạo
creare	tạo
isole	đảo
colonna	khe
colonna	cột
colonna	colonna
testi	lyrics
creato	tạo
sola	sola
tratto	stretch
tratto	duỗi
tratto	căng
vecchio	cũ
vecchio	tuổi
vecchio	già
bassa	low
bassa	thấp
matrimonio	cưới
minore	lesser
minore	nhỏ
minore	minor
aggiornamento	update
onda	sóng
onda	wave
aspetto	nhê
precedenti	trước
filippo	phillip
filippo	philip
filippo	filip
filippo	filippo
battuto	đánh
battuto	phật
nascita	sinh
mark	mác
mark	mark
naturale	chích
coppia	cặp
coppia	ghép
coppia	đôi
coppia	cặp
coppia	couple
coppia	đôi
coppia	torque
presto	sớm
presto	sớm
presto	sắp
vedere	xem
federico	frederic
federico	friedrich
federico	frederick
federico	federico
les	đọc
les	les
condizioni	tiêm
condizioni	trạng
complesso	complex
linee	lines
linee	dòng
futuro	lai
right	phải
right	đúng
camera	phòng
decise	quyết
chiusa	đóng
cup	cup
cup	cốc
cup	tách
settimana	tuần
potenza	potenza
potenza	sục
potenza	lực
atto	act
com	com
russia	nga
cappella	capella
cappella	cappella
cappella	chapel
fin	vây
fin	fin
rai	rai
giovani	trẻ
giovani	young
gare	xáo
croce	croce
croce	đuôi
croce	chinh
croce	chon
zone	zone
zone	múi
zone	vùng
posta	mail
posta	evolution
posta	thư
michele	michele
michele	michael
francesi	pháp
conosciuto	quen
regina	regina
regina	hậu
polizia	cảnh
migliori	nhất
sconfitta	bại
sconfitta	đảnh
sconfitta	bại
pace	hòa
palermo	palermo
massa	massa
massa	nhái
massa	mass
energia	lượng
rosa	pink
rosa	hồng
rosa	rose
rosa	ngợi
rosa	rosa
rosa	hồng
aria	aria
aria	khí
aria	air
tracce	vết
tracce	rãnh
marito	chồng
marito	mun
marito	husband
diretta	direct
diretta	trực
capitano	trưởng
piccoli	nhỏ
didascalia	caption
teoria	thuyết
dieci	mười
tom	tom
joseph	giuse
joseph	joseph
uscita	thoát
uscita	exit
brani	vết
brani	rãnh
pro	pro
max	đa
max	max
qualsiasi	any
africa	phi
memoria	ức
amici	bè
amici	bạn
amici	hiền
maestro	maestro
maestro	thầy
bambino	baby
bambino	bé
bambino	con
libero	free
libero	rảnh
giacomo	jacob
giacomo	james
giacomo	giacomo
armata	armada
armata	quân
armata	army
vera	vera
standard	chuẩn
standard	standard
forme	đơn
jack	bồi
jack	jack
fondo	quỹ
qualcuno	somebody
svg	svg
smith	smith
fondazione	quỹ
fondazione	foundation
fondazione	nọc
nomi	tên
festa	đảng
festa	party
festa	tiệc
cattolica	cattolica
cuore	tim
cuore	heart
villaggio	làng
cerca	tìm
scrivere	viết
scrivere	ghi
scrivere	gõ
scrivere	viết
scrivere	ghi
morto	chết
apertura	aperture
apertura	mở
vittorie	thắng
galleria	gallery
parola	lời
parola	từ
verde	lục
vince	thắng
vince	vince
sceneggiatore	screenwriter
preso	taken
preso	bắt
preso	chụp
hai	hải
bambini	bé
bambini	babies
santi	saints
santi	santi
fatti	sự
luca	luke
luca	luca
luca	lucas
accademia	accademia
passa	qua
passa	đèo
passa	pass
facendo	làm
navi	tàu
navi	thuyền
dedicato	viet
elenco	kê
elenco	list
elenco	danh
arrivo	đến
arrivo	đến
arrivo	tới
titolare	hữu
latino	latin
latino	latino
sicilia	sicilia
sicilia	sicilia
sicilia	sicily
sicilia	sicile
open	download
open	mở
open	má
lorenzo	laurence
lorenzo	lorenzo
lorenzo	lawrence
libertà	do
libertà	liberty
bronzo	đồng
fascia	fascia
evitare	tránh
evitare	tránh
frank	frank
dovrebbe	nên
pietra	đá
pietra	stone
sala	sala
show	xem
show	hiện
show	show
bandiera	cờ
national	gạt
critica	critique
vittorio	viktor
vittorio	vittorio
vittorio	victor
foto	ảnh
foto	photo
foto	foto
foto	ảnh
soltanto	chỉ
soltanto	duy
incontri	encounters
arbitro	ref
quell	quell
blocca	khoá
blocca	khóa
blocca	khối
blocca	block
blocca	chặn
vedi	xem
one	xả
one	một
one	one
tardi	sen
tardi	trễ
tardi	khuya
tardi	muộn
blu	xanh
blu	blu
nobile	nobile
american	american
american	mỹ
diritti	quyền
soldati	binh
soldati	lính
king	king
king	guy
king	vua
federazione	federation
perchè	vì
perchè	sao
off	off
off	tắt
ragazzo	boy
ragazzo	trai
ragazzo	bé
ragazzo	nhóc
ragazzo	bé
ragazzo	kid
male	xấu
male	bad
male	kém
male	khiếp
male	tệ
male	xấu
male	ác
rossi	rossi
dedicata	viet
bottom	dưới
bottom	bậc
bottom	đáy
bottom	bottom
monaco	monk
monaco	münchen
monaco	munchen
monaco	munich
monaco	khảm
monaco	monaco
angeles	angeles
nomination	nominees
operazione	thao
sorella	chị
vincitore	thang
vincitore	thắng
lee	lee
sicurezza	ninh
giornata	ngày
giornata	day
passo	bước
passo	qua
passo	đèo
passo	pass
xvi	xvi
xvi	xvii
brasile	brazil
brasile	brasil
brasile	bra
volo	bay
web	web
settentrionale	bắc
necessario	thiết
necessario	ấp
attorno	khoảng
attorno	vòng
under	dưới
under	under
punteggio	điểm
punteggio	điểm
tema	thái
animali	vật
ingresso	entry
ingresso	mục
piccole	nhỏ
val	ver
val	val
olandese	bản
olandese	hoà
olandese	dutch
deriva	trôi
caccia	hunt
caccia	săn
caccia	săn
creazione	tạo
creazione	tạo
nasce	sinh
utilizzo	dùng
noi	noi
cesare	cesare
cesare	ceasar
cesare	caesar
cesare	cesar
cesare	césar
cesare	césar
colori	màu
colori	nhuộm
colori	màu
colori	mầu
diff	diff
stampa	in
stampa	nhấn
stampa	bào
stampa	ấn
stampa	bấm
stampa	in
messo	chua
messo	norad
messo	đặt
mosca	moscow
mosca	moskva
lettera	chữ
lettera	thư
messa	nhái
messa	mass
libera	free
libera	rảnh
austria	áo
singolare	singles
singolare	singular
pos	pos
daniel	daniel
insee	insee
giulio	julius
giulio	jules
giulio	giulio
fatta	chế
berlino	berlin
onore	vinh
super	super
super	siêu
mettere	chua
mettere	norad
mettere	đặt
aperto	download
aperto	mở
aperto	má
blocco	bloc
blocco	chặn
blocco	khối
blocco	block
blocco	chặn
maglia	lưới
maglia	mesh
maglia	áo
maglia	jersey
corsa	đua
corsa	nhung
pubblicata	đăng
arco	arc
arco	arch
arco	vòm
arco	arco
arco	cung
arco	bow
autorità	bang
campi	fields
campi	trường
oggetti	mục
oggetti	tượng
domenico	dominique
domenico	dominic
domenico	domenico
origini	vạn
origini	origins
abbastanza	đủ
bob	bob
tedeschi	đức
lettere	thư
lettere	chữ
resistenza	stamina
resistenza	vây
resistenza	cự
intera	toàn
intera	hẹt
intera	whole
josé	jose
josé	jose
josé	josé
xix	xix
west	tây
canvas	canvas
scala	thang
scala	ladder
scala	phóng
scala	scala
censimento	census
chris	chris
die	die
die	chết
partecipazione	tooltip
mike	mike
vincenzo	vincent
vincenzo	valery
vincenzo	vincenzo
prendere	lấy
prendere	bắt
prendere	chụp
coppe	tách
coppe	cups
coppe	bện
canadese	canadian
scalemajor	scalemajor
timeaxis	timeaxis
imagesize	imagesize
famiglie	gia
plotarea	plotarea
svedese	swede
australia	australia
australia	úc
match	thủ
match	khớp
best	nhất
grand	grand
esterno	ngoài
esterno	ngoài
sangue	máu
sangue	huyết
dateformat	dateformat
sergio	sergio
traduzione	dịch
padova	padua
padova	padova
intero	toàn
intero	hẹt
intero	whole
pierre	pierre
ghiaccio	băng
ghiaccio	đá
ghiaccio	is
chiaro	xoã
cina	china
sino	sino
alignbars	alignbars
backgroundcolors	backgroundcolors
alpi	alps
alpi	anpơ
scaleminor	scaleminor
nicola	nicola
nicola	nicholas
difficile	cứng
difficile	khó
difficile	khổ
difficile	đắng
difficile	khó
voto	vote
voto	bầu
ragazzi	boys
ragazzi	guys
misura	đo
pianta	gieo
pianta	trồng
pianta	cấy
termini	termini
occhi	mắt
bianca	bianca
bianca	blanche
bianca	trắng
bianca	white
bianca	bạch
regioni	vùng
spacewatch	spacewatch
california	california
marcatore	marker
spettatori	spectator
premi	nhấn
premi	bào
premi	ấn
premi	bấm
premi	premier
risposta	tời
medio	trung
medio	giữa
medio	đọng
medio	vừa
medio	medium
medio	trung
commenta	luận
secondi	giây
secondi	giây
utilizzata	phơi
modelli	templates
modelli	mẫu
auto	car
auto	xe
auto	auto
sesso	sex
ragione	chi
strumenti	cụ
steve	steve
contenuto	dung
contenuto	dung
famoso	nổi
juan	juan
terreno	đất
piedi	feet
piedi	chân
piedi	mét
piedi	foot
piedi	bộ
cielo	trời
cielo	sky
rossa	redhead
rossa	đỏ
xiii	xiii
teatrale	theatrical
tempio	đền
tempio	chùa
joe	joe
sera	sera
sera	tối
concerto	concerto
concerto	concert
mani	mani
mani	tay
jones	jones
minori	nhỏ
minori	minor
vive	vive
vive	lives
williams	williams
natale	christmas
natale	xmas
aggiunta	thêm
disponibile	rảnh
vienna	viên
vienna	vienna
guardia	gác
guardia	canh
guardia	guardia
conflitto	xung
confine	viền
confine	biên
stelle	star
stelle	stars
crisi	crises
quarta	mùng
claudio	claudius
claudio	claudio
bassi	low
bassi	thấp
bassi	bass
descrizione	tả
nata	sinh
raggiunto	đa
conquista	conquest
francisco	francisco
canada	canada
anime	anime
devono	phải
regole	luật
trasmissione	phát
air	khí
air	air
cinematografico	cinematic
pianeta	tinh
segno	vẽ
romani	romani
romani	roman
romani	đế
pianoforte	piano
acque	waters
maschi	nam
maschi	buồng
maschi	đực
maschi	nam
singoli	singles
bella	đẹp
bella	bella
bella	xinh
bella	đẹp
argomento	topic
time	gian
time	thời
scott	scott
guglielmo	william
guglielmo	guglielmo
legno	gỗ
legno	củi
legno	timber
altare	altar
poche	vài
guest	khách
storie	truyện
storie	tin
terminata	xong
ospedale	viện
ospedale	xá
bordo	rim
bordo	mép
bordo	edge
bordo	rìa
bordo	cạnh
funzioni	hàm
battista	battista
battista	baptist
impianto	implant
impianto	cấy
simon	simon
red	đỏ
religione	đạo
vecchia	cũ
vecchia	tuổi
vecchia	già
arma	khí
indica	indica
paris	paris
scene	cảnh
scene	cảnh
teste	đầu
teste	vát
life	đời
royal	royal
vii	vỉ
vii	vii
mary	mary
aiutare	cứu
aiutare	giúp
signore	sếp
signore	quý
signore	huân
imperiale	imperial
cristo	christ
cristo	cristo
contatto	lạc
lascia	bỏ
white	trắng
white	white
white	bạch
big	lớn
big	to
big	đúc
big	đại
big	big
tipi	loại
dollari	đôla
gioca	play
gioca	chơi
gioca	at
amministratore	admin
walter	walter
madrid	madrid
letto	bed
letto	giường
disposizione	layout
disposizione	disposition
leone	lion
leone	leone
leone	leo
ala	wing
ala	cánh
ala	ala
genitori	song
xii	xii
quinto	fifth
quinto	quintus
ingegnere	hoạ
bgcolor	bgcolor
luna	luna
luna	nen
luna	nguyệt
luna	trăng
luna	moon
argentina	argentina
argentina	argentina
argentina	argentine
leggi	đọc
leggi	luật
scheda	thẻ
scheda	tab
morti	chết
settimane	tuần
bari	bari
sur	sur
sur	tức
ultime	cuối
harry	harry
azioni	hành
utilizzare	dùng
russa	nga
und	und
numeri	số
ferro	sắt
ferro	ferro
messico	mexico
normale	chuẩn
normale	thường
traccia	vết
traccia	rãnh
traccia	vết
traccia	trace
washington	washington
rio	rio
borgo	hamlet
borgo	borgo
out	ra
out	tứ
parma	parma
united	united
united	hoa
division	division
sonora	sonora
brasiliano	brazil
brasiliano	brazilian
brian	brian
leggere	đọc
leggere	truyện
leggere	đọc
ipotesi	hypotheses
influenza	cúm
influenza	cúm
vivo	vivo
vivo	sống
vivo	live
vivo	alive
organo	organ
capire	hiểu
capire	hieu
giallo	vàng
giallo	nhát
metropolitana	metro
grecia	greece
leader	leader
mura	mura
mura	walls
mura	tường
scienze	khoa
celebre	nổi
etichetta	thẻ
etichetta	nhãn
#aaa	#aaa
coda	đuôi
incidente	nạn
xiv	xiv
jim	jim
metal	co
verona	verona
guido	guido
femmine	nữ
femmine	nữ
musicali	nhạc
musicali	musical
valign	valign
fede	fede
prove	rehearsal
nemico	địch
nemico	thù
nemico	thù
nemico	địch
young	trẻ
young	young
istituzione	sở
concetto	concept
edit	sửa
sesto	sesto
gradi	độ
lasciare	bỏ
bill	bill
motori	motors
tiro	bắn
tiro	phát
tiro	bắn
campioni	sample
campioni	mẫu
campioni	champions
svizzero	swiss
differenti	khác
piante	cây
temperatura	nhiệt
inserire	chèn
vivere	sống
vivere	living
vivere	sống
vivere	live
perso	mất
perso	thua
brescia	brescia
americana	american
