треки	ট্র্যাক
рей	রায়
викимедиа	উইকিমিডিয়া
викимедиа	উইকিমিডিয়ার
индивидуальные	ব্যক্তিবিশেষ
спасение	উদ্ধার
спасение	মুক্তি
спасение	পরিত্রাণ
мичиган	মিশিগান
минас	মিনাস
кросс	অতিক্রম
кросс	ক্রুশ
кросс	ক্রস
нельсон	নেলসন
западное	পাশ্চাত্য
западное	পশ্চিমি
западное	পশ্চিমা
западное	পশ্চিমী
фильтр	ফিল্টার
герцогиня	ডাচেস
электроники	ইলেকট্রনিক্স
электроники	ইলেকট্রনিক
электроники	ইলেক্ট্রনিক্স
квебек	কিউবেক
квебек	quebec
колеса	চাকা
колеса	হুইল
колеса	চাকা
колеса	হুইল
аудио	অডিও
лукас	লুকাস
пал	পাল
пал	pal
мужские	পুরুষ
мужские	মালে
мужские	পুরুষের
вычисления	গণনা
вычисления	কম্পিউটিং
продал	বিক্রীত
акул	হাঙর
химическая	রাসায়নিক
химическая	কেমিক্যাল
правильный	সঠিক
операторов	অপারেটর
поляки	খুঁটি
тереза	তেরেসা
тереза	থেরেসা
держит	রাখে
четверть	চতুর্থাংশ
четверть	কোয়ার্টার
приобрести	ক্রয়
особая	স্পেশাল
особая	বিশেষ
ген	জিন
смешанные	মিশ্রিত
смешанные	মিশ্রণ
смешанные	মিক্সড
смешанные	মিশ্র
призы	পুরস্কার
призы	ট্রফি
адамс	অ্যাডামস
мятеж	বিদ্রোহ
мятеж	বিদ্রোহ
мятеж	বিদ্রোহে
мятеж	বিদ্রোহের
мятеж	বিদ্রোহ
социальное	সামাজিক
социальное	সোশ্যাল
просмотр	দেখছেন
просмотр	প্রদর্শন
просмотр	দেখুন
просмотр	ভিউ
подъёма	স্বরধ্বনি
подъёма	vowel
максимальное	সর্বোচ্চ
максимальное	সর্বাধিক
рика	রিক
рика	রিকা
неизвестный	অজ্ঞাত
неизвестный	অজানা
социалистов	socialists
буш	বুশ
тайвань	তাইওয়ান
убежище	আশ্রয়
убежище	আশ্রয়স্থল
убежище	অভয়ারণ্য
убежище	আশ্রয়স্থল
убежище	আশ্রয়
убежище	আশ্রয়স্থল
мышь	মাউস
тенденция	ট্রেন্ড
тенденция	প্রবণতা
биг	বড়
биг	বড়ো
тезис	থিসিস
потребности	প্রয়োজনে
потребности	প্রয়োজন
потребности	আবশ্যকতা
потребности	প্রয়োজনীয়তা
катера	নৌকা
катера	বোট
кен	ken
кен	কেন
дольше	দীর্ঘতর
подтверждена	নিশ্চিত
координации	স্থানাংক
рождество	ক্রিসমাস
рождество	ক্রিসমাস
стандартный	আদর্শ
стандартный	প্রমিত
стандартный	স্ট্যান্ডার্ড
отделений	শাখা
сул	সুল
поло	পোলো
чистый	নেট
чистый	পিওর
чистый	নিখাদ
чистый	বিশুদ্ধ
чистый	খাটি
чистый	খাঁটি
тепло	তাপ
тепло	উষ্ণ
тепло	উষ্ণতা
пароход	স্টিমার
мартинес	মার্টিনেজ
таджикистан	তাজিকিস্তান
погода	আবহাওয়া
удаляется	অপসারিত
герцогства	duchy
бака	বাকা
приобрел	অর্জিত
джейми	জামি
джейми	জেমি
банкноты	banknotes
раннее	প্রারম্ভিক
раннее	তাড়াতাড়ি
болота	জলার
избегать	এড়ানো
избегать	এড়িয়ে
окружности	বৃত্ত
окружности	পরিধি
пригороде	শহরতলীর
пригороде	শহরতলী
пригороде	উপশহর
празднование	উদযাপন
празднование	উদযাপন
туркменистана	তুর্কমেন
спорных	বিতর্কিত
спорных	বিতর্কিত
римлян	রোমানদের
длинная	দীর্ঘ
длинная	লম্বা
дождь	বৃষ
дождь	বৃষ্টি
рено	রেনো
рено	রেনল্ট
вов	wwii
продать	বিক্রি
продать	বিক্রয়
колесо	চাকা
колесо	হুইল
коренные	আদিবাসী
федеральное	ফেডারেল
клиент	গ্রাহক
клиент	ক্লায়েন্ট
прибыла	এসেছে
быков	বুলস
сохранять	সংরক্ষণ
ударных	সঙ্ঘাত
шум	কোলাহল
шум	শোরগোল
сталь	ইস্পাত
говард	হাওয়ার্ড
скот	স্কট
скот	গরু
кусок	টুকরা
кусок	টুকরো
органических	অর্গানিক
органических	জৈবিক
серп	কাস্তে
кальция	ক্যালসিয়াম
робот	রোবট
ева	ইভা
ева	ইভ
ева	ইভা
бурбон	বোরবন
филиппины	ফিলিপাইন
филиппины	ফিলিপাইন্স
филиппины	ফিলিপিন্স
заболевание	অসুস্থতা
заболевание	রোগে
заболевание	ডিজিজ
заболевание	রোগ
заболевание	অসুখ
ствол	ব্যারেল
ствол	বন্দুক
ствол	বন্দু
ствол	বন্দুকের
шер	cher
справедливо	মোটামুটি
справедливо	মোটামুটি
справедливо	মেলা
справедливо	ন্যায্য
справедливо	অনুকূল
тренеров	কোচ
мирза	মির্জা
запрещены	নিষিদ্ধ
братства	ব্রাদারহুডের
братства	ভ্রাতৃত্ব
цифра	সংখ্যা
цифра	আকৃতি
цифра	ফিগার
отражения	প্রতিফলন
неясно	অস্পষ্ট
кэти	ক্যাথি
кэти	ক্যাথি
кэти	কেটি
водителя	ড্রাইভার
водителя	চালক
лиссабон	লিসবন
металлургии	ধাতুবিদ্যা
серого	ধূসর
осуществление	বাস্তবায়ন
осуществление	বাস্তবায়নের
творческих	সৃজনশীল
джорджия	জর্জিয়া
спектра	বর্ণালী
норт	উত্তর
домохозяйства	গৃহস্থালী
домохозяйства	গৃহস্থালী
нести	বহন
побег	অব্যাহতি
побег	এস্কেপ
побег	escape
ввод	ইনপুট
ввод	টাইপিং
ввод	লিখুন
атомов	পরমাণু
документация	ডকুমেন্টেশন
документация	নথিপত্র
спора	বিতর
спора	বিতর্ক
производительность	কর্মক্ষমতা
производительность	উৎপাদনশীলতা
верди	ভের্দি
заняты	ব্যস্ত
существенные	তাৎপর্যপূর্ণ
регент	রিজেন্ট
двигаться	স্থানান্তরণ
двигаться	সরান
лена	লেনা
уважение	সম্মান
уважение	শ্রদ্ধা
эскадрилья	স্কোয়াড্রন
подтверждаю	নিশ্চিত
капитаны	অধিনায়কদের
самоубийство	আত্মঘাতী
самоубийство	আত্মহত্যা
самоубийство	আত্মহত্যার
самоубийство	সুইসাইড
томпсон	থম্পসন
определены	সংজ্ঞায়িত
определены	উল্লেখিত
голландский	ওলন্দাজ
голландский	ডাচ
мемуары	memoirs
блокады	অবরোধ
подземный	ভূগর্ভস্থ
живые	লিভিং
живые	জীবন্ত
живые	বসবাসকারী
живые	বসবাস
живые	প্রাণবন্ত
живые	বেঁচে
живые	বেচে
живые	জীবিত
живые	জীবন্ত
фбр	এফবিআই
винсент	ভিনসেন্ট
обитатели	বাসিন্দা
рикардо	রিকার্ডো
противостоять	বিরোধিতা
ходил	হেঁটে
змей	সাপ
змей	সাপ
авария	দুর্ঘটনায়
авария	accident
авария	দূর্ঘটনা
авария	দুর্ঘটনা
авария	ক্র্যাশ
авария	বিপর্যয়
вождь	প্রধান
вождь	নেতা
миграции	মাইগ্রেশন
миграции	অভিবাসন
предприниматели	উদ্যোক্তা
предприниматели	উদ্যোক্তাদের
квартале	চতুর্থাংশ
квартале	কোয়ার্টার
включено	included
включено	অন্তর্ভুক্ত
включено	সক্রিয়
костюмы	তাড়া
костюмы	স্যুট
бан	নিষেধাজ্ঞা
бан	নিষিদ্ধ
бан	নিষেধ
бан	বান
повстанцы	বিদ্রোহীরা
повстанцы	বিদ্রোহী
повстанцы	বিদ্রোহীদের
повстанцы	বিদ্রোহীরা
ромео	রোমিও
доводы	আর্গুমেন্ট
бронза	ব্রোঞ্জ
редактировать	সম্পাদনা
редактировать	সম্পাদন
шаги	ধাপ
шаги	ধাপগুলি
шаги	পদক্ষেপ
квартет	কোয়ার্টেট
вину	অপরাধবোধ
алжира	আলজেরিয়ার
алжира	আলজেরীয়
алжира	আলজেরিয়া
филип	ফিলিপ
николя	নিকোলা
николя	নিকোলাস
николя	নিকোলা
квалификация	qualifying
квалификация	যোগ্যতা
квалификация	যোগ্যতা
сантос	সান্তোস
организаторы	আয়োজকদের
организаторы	আয়োজকদের
организаторы	হোস্ট
организаторы	আয়োজক
переводить	অনুবাদ
грамотности	সাক্ষরতার
коллегами	সহকর্মীরা
коллегами	সহকর্মীদের
походы	ক্যাম্পিং
походы	হাইকিং
моряков	নাবিকদের
моряков	নাবিক
потеря	হারানোর
потеря	ক্ষতি
потеря	লোপ
профессионально	পেশাগতভাবে
кентукки	কেন্টাকি
получен	গৃহীত
получен	প্রাপ্ত
французское	ফরাসী
французское	আর্সেনিক
французское	ফরাসি
имеющихся	উপলব্ধ
имеющихся	অব্যবহৃত
имеющихся	বিদ্যমান
имеющихся	উপস্থিত
секрет	গোপন
секрет	গোপনীয়
электрические	ইলেকট্রিক্যাল
электрические	তড়িৎ
электрические	ইলেক্ট্রিক্যাল
электрические	বৈদ্যুতিক
иерархии	অনুক্রম
камеру	ক্যামেরা
этнических	জাতিগত
чужой	এলিয়েন
чужой	অচেনা
чужой	আগন্তুক
излучение	বিকিরণ
принести	আনতে
семян	বীজ
электрический	ইলেকট্রিক্যাল
электрический	তড়িৎ
электрический	ইলেক্ট্রিক্যাল
электрический	বৈদ্যুতিক
электрический	তড়িৎ
электрический	বৈদ্যুতিক
электрический	ইলেকট্রিক
комплект	সেট
комплект	সংকলন
комплект	নির্ধারণ
комплект	কিট
чэнь	চেন
лоуренс	লরেন্স
полицейские	পুলিশের
полицейские	পুলিশ
бутана	ভুটানের
утвержден	অনুমোদিত
сухопутные	টেরেস্ট্রিয়াল
собственная	নিজের
собственная	নিজস্ব
богиня	দেবী
проход	করিডোর
проход	গমন
проход	passage
рид	রিড
аппараты	মেশিন
отпуск	অবকাশ
отпуск	ছুটি
мэттью	ম্যাথু
мэттью	ম্যাথিউ
медицинское	চিকিৎসা
медицинское	মেডিকেল
медицинское	মেডিক্যাল
замки	তালা
эрнест	আর্নেস্ট
уверены	আত্মবিশ্বাসী
треугольник	ত্রিভুজ
дональд	ডোনাল্ড
автоматического	স্বয়ংক্রিয়
мыши	ইঁদুর
мыши	মাউস
реабилитации	পুনর্বাসন
реабилитации	পুনর্বাসনের
реабилитации	পুনর্বাসন
симона	সিমন
симона	সিমোনা
рик	রিক
оригинальная	মূল
оригинальная	প্রকৃত
оригинальная	আসল
богатый	রিচ
богатый	ধনী
богатый	সমৃদ্ধ
богатый	সম্পদশালী
богатый	ধনী
грэм	গ্রেইম
грэм	গ্রাহাম
необходимое	প্রয়োজনীয়
призыв	আবেদন
чехов	চেখভ
ибрагим	ইব্রাহিম
ибрагим	ইব্রাহীম
протокола	প্রোটোকল
канадская	কানাডিয়ান
ходит	হাটে
моисей	মূসা
моисей	মোসেস
моисей	মুসা
предки	পূর্বপুরুষ
предки	পূর্বপুরুষদের
дайте	দেই
дайте	দাও
дайте	দান
теоретические	তাত্ত্বিক
корень	মূল
корень	root
корень	রুট
черный	কাল
черный	কাজল
черный	কালো
аполлон	অ্যাপোলো
кении	কেনিয়া
иностранный	বিদেশি
иностранный	বৈদেশিক
иностранный	বিদেশ
иностранный	বিদেশী
шансы	মতভেদ
раса	দৌড়
раса	জাতি
раса	রেস
точные	সঠিক
обещал	প্রতিশ্রুত
ближнем	মধ্যম
ближнем	মধ্য
решительно	দৃঢ়ভাবে
непрерывно	ক্রমাগত
непрерывно	অনবরত
непрерывно	ক্রমাগত
непрерывно	অবিচ্ছিন্ন
низами	নিজামী
опасных	বিপদজনক
опасных	ডেঞ্জারাস
опасных	বিপজ্জনক
филиппин	ফিলিপাইন
филиппин	ফিলিপাইন্স
филиппин	ফিলিপিন্স
предпринимателей	উদ্যোক্তা
предпринимателей	উদ্যোক্তাদের
пятое	পঞ্চম
подозрения	সন্দেহের
подозрения	সন্দেহ
шеф	রাঁধুনি
шеф	বাবুর্চি
шеф	সেফ
шеф	শেফ
шеф	প্রধান
шеф	নেতা
физически	শারীরিক
физически	শারীরিকভাবে
инди	ইন্ডি
инди	ইন্ডি
пособия	ভাতা
пособия	উপকারিতা
пособия	সুবিধাসমূহ
пособия	সুবিধা
пособия	উপকার
ничто	শূণ্য
новость	খবর
новость	সংবাদ
новость	নিউজ
новость	খবরাখবর
новость	স্টোরি
новость	ঘটনা
новость	গল্প
новость	কাহিনী
петрограде	petrograd
чешской	নরওয়েজীয়
чешской	চেক
идеология	মতাদর্শের
вилла	ভিলা
нейтральной	নিরপেক্ষ
тень	ছায়া
тень	ছায়া
лауреатов	laureates
терминал	টার্মিনাল
упор	গুরুত্ব
племен	উপজাতি
племен	আদিবাসী
иртыш	ইর্তিশ
консоли	কনসোল
бин	bin
бин	বিন
бин	বিন
бин	শিম
тепла	তাপ
тепла	উষ্ণতা
традиционная	প্রথাগত
традиционная	সনাতন
купол	গম্বুজ
купол	ডোম
миссисипи	মিসিসিপি
конкуренции	প্রতিযোগিতা
бернард	বার্নার্ড
смита	স্মিথ
маска	মুখোশ
маска	ছাঁচ
маска	মাস্ক
дели	দিল্লী
дели	দিল্লি
увеличивает	বাড়ায়
референдум	গণভোট
референдум	গণভোটের
пейзаж	ল্যান্ডস্কেপ
пейзаж	ভূদৃশ্য
задних	রিয়ার
принимая	নিচ্ছে
платить	পরিশোধ
платить	pay
платить	আদায়
платить	প্রদান
враги	শত্রু
враги	শত্রুদের
враги	শত্রু
враги	শত্রুরা
мексиканский	মেক্সিকান
кошки	বিড়াল
кошки	বেড়াল
протесты	প্রতিবাদ
протесты	বিক্ষোভ
протесты	প্রতিবাদ
протесты	বিক্ষোভ
строка	লাইন
строка	রেখা
строка	স্ট্রিং
строка	পংক্তি
строка	সারি
соломон	সলোমন
сторонник	সমর্থক
мягко	আলতো
передние	সম্মুখ
передние	ফ্রন্ট
передние	সামনে
передние	সামনের
колебания	দ্বিধা
молдова	মলদোভা
листов	চাদর
мэй	সোমবার
мэй	মে
мэй	মায়
мэй	মেই
трофей	ট্রফি
содержащих	ধারণকারী
спасителя	রিডিমার
сохраняет	বাঁচায়
призрак	ভূত
призрак	ভুত
призрак	ফ্যান্টম
акцент	গুরুত্ব
акцент	উচ্চারণ
акцент	ঝোঁক
текущее	বর্তমান
ожидания	প্রত্যাশা
ожидания	প্রত্যাশা
ранены	আহত
ранены	আহত
пациента	ধৈর্যশীল
пациента	রোগীর
пациента	রোগী
серые	ধূসর
серые	ধূসর
восприятие	উপলব্ধি
джоан	জোয়ান
самец	পুরুষ
самец	মালে
самец	পুরুষের
хелен	হেলেন
симптомы	উপসর্গের
симптомы	উপসর্গ
симптомы	লক্ষণ
лошадь	ঘোড়ার
лошадь	ঘোড়া
ника	নিক
ника	উপনাম
солнечный	রৌদ্রোজ্জ্বল
солнечный	সানি
диана	ডায়ানা
диана	ডায়ান
вернер	ভের্নার
арабские	আরব
коммерческие	বানিজ্যিক
коммерческие	বাণিজ্যিক
даллас	ডালাস
миллиардов	বিলিয়ন
завершение	বিকল্প
завершение	সমাপ্তি
испанцы	স্পেনীয়রা
атаковал	আক্রান্ত
джесси	জেসি
джесси	জেসি
временные	অস্থায়ী
временные	সাময়িক
перси	পার্সি
гамильтон	হ্যামিলটন
рамон	রামোন
обзора	পর্যালোচনা
павильон	প্যাভিলিয়ন
неофициальный	informal
неофициальный	অনানুষ্ঠানিক
агентов	এজেন্টরা
агентов	এজেন্ট
баланс	ব্যালেন্স
баланс	ব্যালান্স
персии	পারস্য
разведку	স্কাউটিং
эквадора	ইকুয়েডরের
псков	pskov
разведка	ইন্টেলিজেন্স
разведка	বুদ্ধি
разведка	বুদ্ধিমত্তা
разведка	বুদ্ধির
защитники	প্রবক্তা
ткань	কাপড়
ткань	টিস্যু
ткань	ফেব্রিক
ткань	কাপড়ে
ткань	কাপড়ের
ткань	কাপড়
несоответствие	অসঙ্গতি
низ	nih
низ	নীচে
регистрация	নিবন্ধন
регистрация	রেজিস্টার
регистрация	রেজিস্ট্রেশন
регистрация	নিবন্ধন
регистрация	নিবন্ধীকরণ
архангельск	arkhangelsk
служащий	কর্মী
ужас	ভৌতিক
ужас	হরর
ужас	ভূতের
рязань	ryazan
эльст	elst
консультант	পরামর্শদাতা
консультант	পরামর্শক
консультант	কনসালটেন্ট
поступления	আয়
поступления	ইনকাম
поступления	আয়
поступления	রাজস্ব
патент	পেটেন্ট
моделирования	মডেলিং
моделирования	মডেলিং
моделирования	অনুকরণ
моделирования	সিমুলেশন
читайте	পড়ে
читайте	পড়ার
читайте	পড়ুন
читайте	পড়বেন
лоренцо	lorenzo
точной	সঠিক
отверстия	গর্ত
пятна	দাগ
зимбабве	জিম্বাবুয়ে
уши	কান
нагрузка	ভার
нагрузка	চাপ
нагрузка	লোড
андреас	আনড্রেয়াস
блюда	খাবারের
стекло	কাঁচ
стекло	কাচের
стекло	গ্লাসের
стекло	গ্লাস
запрещена	নিষিদ্ধ
запрещена	নিষিদ্ধ
запрещена	নিষিদ্ধ
совершено	প্রতিজ্ঞাবদ্ধ
совершено	প্রতিশ্রুতিবদ্ধ
бол	বোল
системные	গাঠনিক
нпо	এনজিও
нпо	এনজিও
финансово	আর্থিকভাবে
жив	বেঁচে
жив	বেচে
жив	জীবিত
жив	জীবন্ত
искусственный	কৃত্রিম
спросить	জিজ্ঞাসা
спросить	জিজ্ঞেস
эксперты	বিশেষজ্ঞরা
эксперты	বিশেষজ্ঞদের
трансляции	সম্প্রচার
трансляции	ব্রডকাস্ট
членство	সদস্যপদ
членство	সদস্যতা
майер	মেয়ার
майер	এলাচি
норман	নরম্যান
кристи	ক্রিস্টি
кристи	ক্রিস্টি
главу	অধ্যায়
голод	দুর্ভিক্ষ
голод	ক্ষুধা
алтарь	বেদী
страсти	প্যাশন
страсти	নেশা
страсти	আবেগের
страсти	আবেগ
антропологии	নৃ
слушателей	শ্রোতাদের
сет	সেট
сет	সংকলন
сет	নির্ধারণ
сет	seth
сет	সেথ
сет	শেঠ
роже	রজার
общаться	যোগাযোগ
толщина	পুরুত্ব
билет	টিকিট
билет	টিকেট
билет	টিকিটের
диски	ডিস্ক
диски	ড্রাইভ
автоматическая	স্বয়ংক্রিয়
распад	ক্ষয়
восточное	ওরিয়েন্টাল
похороны	কবর
похороны	সমাধি
похороны	শেষকৃত্য
похороны	অন্ত্যেষ্টিক্রিয়া
крыши	ছাদ
крыши	ছাদ
потребность	দরকার
потребность	লাগবে
потребность	প্রয়োজন
бег	চলমান
бег	চলছে
бег	জগিং
крещение	নামকরণ
карен	ক্যারেন
карен	কারেন
новичок	নবাগত
новичок	রুকি
песнь	গান
рауль	রাউল
рауль	রাউল
скала	ফাটিয়ে
скала	শিলা
скала	রক
тракта	নালীর
сидит	বসেছে
совместный	জয়েন্ট
совместный	যৌথ
совместный	যুগ্ম
герцеговина	হার্জেগোভিনা
улучшать	উন্নতি
абсолютная	সুনিশ্চিত
абсолютная	সুনির্দিষ্ট
абсолютная	পরম
анатомии	এনাটমি
духовный	আধ্যাত্মিক
владельцы	মালিকরা
владельцы	মালিকেরা
классицизма	classicism
математические	গাণিতিক
поблизости	কাছাকাছি
поблизости	নিকটবর্তী
простая	সহজ
простая	সরল
простая	সাধারণ
простая	সাধারন
кожа	চামড়ার
кожа	লেদার
кожа	চামড়া
кожа	ত্বকের
кожа	ত্বক
кожа	চামড়া
плену	বন্দী
дельта	ডেল্টা
сценарии	স্ক্রিপ্ট
пак	উদ্যান
пак	পার্ক
пак	পাক
террористов	সন্ত্রাসীদের
террористов	সন্ত্রাসবাদী
террористов	সন্ত্রাসী
террористов	জঙ্গিরা
террористов	সন্ত্রাসীরা
собранные	সংগৃহীত
собранные	সংগৃহিত
собранные	কম্পাইল
собранные	চাষ
собранные	তোলা
плотины	বাধ
плотины	বাঁধ
плотины	বাধ
японцы	জাপানি
японцы	জাপানী
религий	ধর্মের
интеллектуальной	বুদ্ধিজীবী
интеллектуальной	মেধা
интеллектуальной	বুদ্ধিজীবি
автоматизации	অটোমেশন
организовано	সংগঠিত
страхования	বীমা
положительный	ধনাত্মক
положительный	ইতিবাচক
положительный	পজিটিভ
положительный	পজেটিভ
бренд	ব্র্যান্ড
инфекции	ইনফেকশন
инфекции	সংক্রমণ
инфекции	ইনফেকশন
инфекции	সংক্রমণ
информатики	ইনফরমেটিক্স
пятая	পঞ্চম
отрицательно	নেগেটিভ
отрицательно	নেতিবাচক
отрицательно	ঋণাত্মক
перевели	অনূদিত
перевели	অনুদিত
синие	নীল
бегство	ফ্লাইট
бегство	উড্ডয়ন
бегство	উড়ান
хаус	বাড়ি
хаус	ঘরের
хаус	ঘর
хаус	হাউজ
хаус	হাউস
найдена	পাওয়া
нэнси	ন্যান্সি
вершину	প্রান্তবিন্দু
напишите	লিখা
напишите	লিখতে
напишите	লেখা
напишите	লিখুন
бедных	অসহায়
бедных	কম
бедных	খারাপ
гражданское	সিভিল
отдых	চিত্তবিনোদন
отдых	অবকাশ
отдых	ছুটি
отдых	বিশ্রাম
отдых	রেস্ট
отдых	ছুটি
чжоу	ঝু
забыли	বিস্মৃত
прокси	প্রক্সি
носовой	নাসিক্যধ্বনি
ирландский	আইরিশ
запасов	স্টক
совместных	জয়েন্ট
совместных	যৌথ
