жозеф	joseph
ширину	largeur
ширину	largeurs
представлений	soumissions
нации	nation
джин	jin
джин	gin
джин	jean
джин	gènes
джин	gène
джин	gene
продано	vendues
продано	vendus
продано	vendue
продано	vendu
материнская	maternel
материнская	maternels
материнская	maternelle
мощный	puissant
мощный	puissants
мощный	puissante
мощный	puissantes
кругах	cercles
записать	enregistre
записать	record
записать	enregistrer
испанская	espagnol
испанская	espagnole
испанская	espagnols
комплексы	complexes
разнообразные	varié
разнообразные	diversifié
разнообразные	diverses
мол	lta
мол	mal
мол	mol
интерпретации	interprétations
льда	verglas
льда	ice
льда	glace
северные	septentrionale
северные	nordique
северные	septentrional
северные	northern
северные	nord
сопровождении	escorté
обоснования	justifications
зимний	hiver
зимний	hivers
институты	instituts
институты	institutions
немецкое	allemand
немецкое	allemands
немецкое	allemande
норвежский	norvégiens
норвежский	norvégien
норвежский	norvégienne
командиров	commandants
взяв	prendre
взяв	prenant
лейтенанты	lieutenants
вулкан	volcan
вулкан	volcans
вулкан	vulcain
дополнительная	supplémentaire
дополнительная	supplémentaires
дополнительная	additionnel
дополнительная	supplémentaires
дополнительная	supplémentaire
дополнительная	extra
десятилетий	décennies
гостиницы	hôtels
конкретный	spécifiques
конкретный	spécifique
конкретный	concret
конкретный	concrètes
конкретный	béton
верить	croyez
верить	croire
верить	croient
верить	crois
купить	acheter
купить	achat
купить	achetez
верность	fidelity
верность	fidélité
верность	fidélisation
верность	loyauté
верность	fidélité
поднять	élever
поднять	soulever
поднять	ascenseur
поднять	élévateur
поднять	élever
плата	honoraires
плата	redevance
репутацию	renommée
репутацию	notoriété
репутацию	réputation
школьников	écoliers
коммуникации	communications
костюм	déguisements
костюм	costume
костюм	déguisement
костюм	costard
костюм	costume
избирательный	sélectif
избирательный	sélectifs
избирательный	sélective
избирательный	sélectives
избирательный	sélectivité
маяк	phare
маяк	balise
норма	norma
норма	norm
норма	norme
отдельное	distinct
отдельное	séparés
отдельное	séparé
отдельное	séparées
отдельное	séparer
воин	guerrière
воин	warrior
воин	guerrier
крус	cruz
отбора	choix
отбора	sélections
отбора	sélection
бойцы	combattants
бойцы	boxeurs
бойцы	combattants
лук	allium
лук	oignons
лук	oignon
лук	oignons
лук	oignon
лук	arc
лук	bow
ушел	partis
ушел	parti
ушел	gone
прусской	prussienne
прусской	prusse
бабушка	mémé
бабушка	mamie
бабушка	mémé
бабушка	mamie
фишер	fisher
фишер	pêcheur
фишер	fischer
симфония	symphonique
симфония	symphonie
скажите	dites
скажите	say
скажите	dire
скажите	dis
разрешено	autorisée
разрешено	autorisé
разрешено	autorisés
разрешено	agréé
разрешено	autorisées
разрешено	autorisé
разрешено	autorisés
разрешено	autorisées
разрешено	autorisées
разрешено	autorisé
разрешено	autorisés
разрешено	autorisée
гражданские	civil
гражданские	civile
гражданские	civiles
гражданские	civil
гражданские	civils
гражданские	civile
гражданские	civiles
гражданские	civils
гражданские	civiles
марино	marino
александров	alexandrov
вызвали	convoqué
вызвали	convoqués
яковлев	yakovlev
богдан	bogdan
проектирование	dessin
проектирование	design
проектирование	conception
проектирование	concevoir
функционирования	fonctionnement
низкая	basses
низкая	basse
низкая	faible
низкая	faibles
низкая	bas
краснодар	krasnodar
завершено	complété
завершено	terminée
завершено	achevés
завершено	achevé
завершено	terminées
завершено	terminé
завершено	fini
завершено	terminée
завершено	finis
завершено	terminé
сталинская	stalinien
франс	frans
франс	france
индейцы	indiens
трио	trio
польшу	pologne
толщиной	épaisse
толщиной	épais
толщиной	épaisses
достоинство	dignité
верующих	croyants
верующих	fidèle
верующих	fidèles
пустыни	désert
пустыни	désertique
пустыни	déserts
оборона	défense
оборона	défense
оборона	défensives
оборона	défensive
оборона	défensif
аллен	allen
технически	techniquement
дяди	oncles
христос	christ
героиня	héroïne
снята	retirée
снята	retirées
снята	retiré
эрика	erika
эрика	erica
требовать	requiert
требовать	exige
требовать	exigent
требовать	nécessite
требовать	exiger
требовать	requièrent
приобретает	acquière
приобретает	acquiert
согласиться	convenir
согласиться	acceptez
упомянуть	mention
упомянуть	mentionner
пещера	caverne
пещера	grotte
пещера	cave
кабардино	kabardino
снимаю	tournages
снимаю	tournage
снимаю	filmer
гости	visiteur
гости	visiteurs
гости	invités
гости	hôtes
обнаружена	découvert
обнаружена	découverts
обнаружена	découvertes
обнаружена	détectée
обнаружена	détecté
обнаружена	détectées
обнаружена	détectés
южные	méridional
южные	méridionale
афганистан	afghanistan
перри	perry
обслуживание	services
обслуживание	service
религиозный	religieux
религиозный	religieuses
религиозный	religieuse
сортов	cépages
сортов	variétés
выделение	choix
выделение	sélections
выделение	sélection
вероятности	probabilités
степанов	stepanov
банки	banques
банки	pots
банки	bocaux
банки	bidons
банки	canettes
патриархата	patriarcat
используемый	utilisées
используемый	utilisé
используемый	utilisés
используемый	utilisée
настоящие	réel
настоящие	réelle
настоящие	véritable
настоящие	vrai
настоящие	vraie
настоящие	authentiques
настоящие	authentique
тяжёлый	heavy
тяжёлый	lourde
тяжёлый	lourd
тяжёлый	lourds
сорок	forty
сорок	quarante
ларри	larry
курган	kurgan
зам	zam
временной	temporels
временной	temporal
временной	temporelle
временной	temporel
запретить	ban
запретить	bannir
запретить	bannissement
запретить	interdiction
запретить	interdire
запретить	interdire
крыша	toit
крыша	toit
крыша	toiture
промышленный	industrielle
промышленный	industriels
промышленный	industrielles
промышленный	industriel
продюсеры	producteurs
объяснение	explication
объяснение	explications
уэст	occidentale
уэст	occident
уэст	ouest
уэст	west
атмосферу	atmosphère
атмосферу	ambiance
добавления	ajouts
добавления	additions
добавления	annexes
добавления	appendices
прорыв	percée
прорыв	éveillée
прорыв	évasion
прорыв	éveillé
сложный	complexe
сложный	complexes
сложный	compliqué
сложный	compliquées
сложный	complique
сложный	compliquée
лат	lat
лат	lats
мастерство	maîtrise
мастерство	compétence
мастерство	habileté
мастерство	compétences
сущность	essence
дизель	gazole
дизель	diesel
приоритет	priorité
приоритет	priorités
приоритет	prioritaire
приоритет	prioritaires
кратко	brièvement
кратко	bref
кратко	brèves
кратко	brève
боли	souffrance
боли	douleur
боли	peine
боли	douleurs
секс	sexe
уолтер	walter
инцидент	incident
инцидент	incidents
посредничества	médiation
серый	gray
серый	gris
серый	grise
серый	gris
серый	grise
филармонии	philharmonique
точность	précision
точность	exactitude
точность	précision
точность	justesse
политбюро	politburo
альянс	alliance
альянс	alliances
заявляет	déclare
заявляет	proclame
изящных	délicate
проза	prose
упорно	obstinément
белки	protéines
белки	protéique
белки	protéine
белки	protéines
белки	écureuils
мяса	viande
мяса	viandes
управляет	gère
скандал	scandales
скандал	scandale
петровский	petrovsky
разницы	marge
разницы	marges
свадьбы	mariages
свадьбы	mariage
свадьбы	noces
свадьбы	mariages
ранение	préjudice
ранение	blessure
ранение	lésion
ранение	lésions
ранение	blessures
ранение	blessure
ранение	plaie
подразумевает	implicite
подразумевает	implicites
подразумевает	implique
фсб	fsb
пенсильвания	pennsylvanie
арбитра	arbitre
цепь	circuit
цепь	enchaîner
цепь	chaîne
цепь	chaine
видна	visible
видна	visibles
пруд	étang
звёздный	stellaire
пятой	cinquième
волгоград	volgograd
делегации	délégations
умершего	décédée
умершего	décédés
умершего	défunt
умершего	décédé
заменены	remplacé
заменены	remplacée
заменены	remplacé
заменены	remplacée
заменены	remplacées
заменены	remplacés
процессор	transformateur
процессор	processeurs
процессор	processeur
процессор	processeurs
процессор	cpu
процессор	processeur
изредка	occasionnellement
изредка	parfois
эксперименты	expérimenter
эксперименты	expériences
эксперименты	expérimentations
эксперименты	expérimentation
эксперименты	expérimentations
монах	monk
монах	moine
гражданина	citoyenne
гражданина	citoyen
флоренции	florence
занят	occupé
занят	occupés
занят	occupée
баз	bases
баз	fondements
баз	baz
добровольцев	volontaires
добровольцев	bénévole
добровольцев	bénévoles
добровольцев	volontaires
добровольцев	volontaire
добровольцев	bénévole
добровольцев	bénévolat
добровольцев	bénévoles
рождение	naissances
рождение	accouchements
рождение	naissance
отменить	annuler
отменить	annule
отменить	annuler
отменить	défaire
винтовки	fusils
винтовки	carabines
самостоятельный	autonomes
самостоятельный	autonomie
самостоятельный	autonome
доски	planches
доски	planches
отступить	retraite
очевидна	évident
очевидна	évidence
очевидна	évidente
максимович	maksimović
вступление	introduction
вступление	intro
существо	wesen
существо	créature
открытая	ouverte
открытая	ouvrez
открытая	ouvert
открытая	ouverture
открытая	ouvrir
знати	nobles
принесли	apporté
принесли	amené
принесли	amenés
единство	unité
единство	unity
восьмой	huit
восьмой	eight
восьмой	eighth
восьмой	huitième
столкновение	collisions
столкновение	collision
столкновение	abordage
столкновение	clash
столкновение	affrontement
батарея	batterie
батарея	pile
батарея	accumulateur
оценил	évalué
оценил	classé
оценил	notée
оценил	nominale
оценил	évalués
оценил	noté
оценил	appréciés
оценил	apprécié
оценил	appréciée
оценил	appréciées
топливо	combustible
топливо	carburant
топливо	combustibles
топливо	carburants
зенит	zenit
зенит	zénith
педагогических	pédagogique
кристаллическая	cristalline
кристаллическая	cristallin
рико	rico
снятие	retraits
снятие	soulever
снятие	levée
снятие	levage
снятие	lever
снятие	sevrage
снятие	retrait
снятие	rétractation
снятие	retraits
снятие	désistement
прекращения	cessation
прекращения	résiliation
прекращения	terminaison
прекращения	licenciement
купил	achetée
купил	acheté
купил	achetées
купил	achetés
купил	achetées
купил	achetée
купил	achetés
купил	acheté
срочно	urgent
срочно	urgents
срочно	urgentes
срочно	urgente
петрозаводск	petrozavodsk
похожие	similaires
похожие	similaire
похожие	semblables
похожие	analogue
похожие	semblable
похожие	sosie
врачи	médecins
врачи	docteurs
врачи	médecins
глубину	profondeur
глубину	profondeurs
галактики	galaxies
собирать	recueillir
собирать	ramasser
собирать	rassembler
собирать	collecter
собирать	collectionner
уникальный	uniques
уникальный	unique
павловна	pavlovna
массачусетс	massachusetts
мюллер	müller
мюллер	mueller
мюллер	müller
мюллер	muller
мостов	passerelles
мостов	ponts
миллион	million
миллион	millions
экспериментов	expérimentation
экспериментов	expérimentations
комнаты	salles
комнаты	chambres
ралли	rally
ралли	rallyes
ралли	rassemblement
ралли	rallye
сократить	raccourcir
сократить	réduire
сократить	cut
сократить	couper
сократить	coupé
сократить	coupez
сократить	coupe
стрельба	fusillade
стрельба	tirs
стрельба	tournage
стрельба	tir
стрельба	tirer
раскопки	excavation
раскопки	terrassement
раскопки	fouilles
раскопки	fouilles
корпорация	corporation
австрийская	autrichiennes
австрийская	autrichien
австрийская	autrichienne
вершина	apex
перестал	stoppé
стрелок	shooter
стрелок	tireur
региональный	régionales
региональный	régionaux
региональный	régional
резиденция	résidence
катание	patinage
католицизм	catholicisme
изготовление	fabrication
изготовление	fabrication
победителей	lauréats
победителей	gagnants
победителей	vainqueurs
пользователи	usagers
пользователи	utilisateurs
полу	semi
борисов	borissov
землетрясения	séismes
землетрясения	tremblement
землетрясения	séismes
землетрясения	séisme
колоний	colonies
христиане	chrétiens
христиане	christianisme
христиане	chrétienne
христиане	christian
христиане	chrétien
христиане	chrétiens
рнк	arn
тыл	arrière
тыл	arriere
тыл	arrières
кипр	chypre
мифы	mythes
мифы	mythe
судьбу	destinée
судьбу	destiny
судьбу	destin
судьбу	fatalité
судьбу	destin
глубины	profondeurs
глубины	profondeur
глубины	profondeurs
ногу	foot
ногу	pied
ногу	pieds
ногу	patte
ногу	jambes
ногу	cuisse
ногу	jambe
страх	peur
страх	fear
страх	crainte
страх	craintes
страх	crainte
интересная	intéressante
интересная	intéressant
интересная	intéressantes
интересная	intéressants
заседания	rencontres
заседания	réunions
побеждает	gagne
побеждает	victoires
разработчик	développeur
разработчик	promoteur
разработчик	développeurs
статуи	statues
активная	active
активная	actif
активная	actives
активная	actifs
оперативной	opérationnelles
оперативной	opérationnel
оперативной	opérationnels
оперативной	opérationnelle
начальное	primaire
начальное	primaires
растворяется	dissout
заметили	remarquée
заметили	remarqua
заметили	remarqué
вмешательства	interférence
вмешательства	ingérence
вмешательства	interférences
вмешательства	intervention
корона	couronnes
корона	crown
корона	couronner
корона	couronne
корона	corona
политиков	politiciens
посла	ambassadeur
посла	ambassadrice
регулярного	ordinaire
регулярного	régulière
регулярного	régulières
регулярного	régulier
нова	nova
разногласия	différences
разногласия	désaccord
разногласия	désaccords
разногласия	désaccords
операторы	exploitants
операторы	opérateurs
производственного	productives
производственного	productive
производственного	productif
производственного	productifs
эмигрировал	émigré
риа	ria
традиционный	traditionnelles
традиционный	traditionnel
традиционный	traditionnelle
традиционный	traditionnels
генералов	généraux
фонтан	fontaines
фонтан	fontaine
авторство	paternité
ресторан	restaurant
ресторан	gastronomie
присутствовали	participé
углы	coins
углы	angles
углы	angles
партизаны	partisans
отчет	signaler
отчет	reportage
отчет	rapport
экспорт	exportations
экспорт	exportation
экспорт	exportations
экспорт	exporter
экспорт	exportation
экспорт	exportateurs
экспорт	exporter
экспорт	exportateur
экспорт	exportation
антония	antonia
целое	entière
целое	entiers
целое	entières
целое	entier
целое	entiers
целое	entier
фёдоровна	feodorovna
вещь	truc
вещь	chose
учебников	manuels
подтверждено	confirmé
подтверждено	confirmées
подтверждено	confirmés
подтверждено	confirmée
лёгкий	léger
лёгкий	légèreté
лёгкий	légère
лёгкий	légères
шведская	suédoise
шведская	suédoises
шведская	suédois
товарищества	camaraderie
враг	ennemies
враг	ennemis
враг	ennemie
враг	ennemi
изменилось	changé
изменилось	changée
богдана	bohdan
наследник	héritier
наследник	héritière
коммунистическая	communisme
коммунистическая	communistes
коммунистическая	communiste
широкая	large
широкая	large
широкая	vaste
мюзикл	musicale
мюзикл	musical
резерв	réserve
резерв	réserves
резерв	réserve
резерв	réserver
репрессий	répression
репрессий	représailles
репрессий	représailles
прозвища	surnoms
прозвища	pseudonymes
поняли	compris
интересный	intéressante
интересный	intéressant
интересный	intéressantes
интересный	intéressants
реальные	réel
реальные	réelle
реальные	véritable
реальные	vrai
реальные	vraie
теннис	tennis
ключи	clés
ключи	clefs
лавры	lauriers
сделанные	fait
сделанные	fabriqués
сделанные	faite
сделанные	fabriqué
восприятия	perceptions
восприятия	perception
банды	gangs
татарский	tatars
татарский	tatar
духовное	spirituelle
духовное	spirituel
духовное	spirituelles
славу	célébrité
славу	renommée
славу	gloire
славу	fame
славу	glorieux
славу	gloire
славу	glory
таиланд	thaïlande
таиланд	thailande
финансирование	financement
финансирование	financements
финансирование	financement
финансирование	financement
финансирование	finances
финансирование	finance
глазго	glasgow
соперников	rivaux
пакистан	pakistan
робин	robin
робин	robyn
библиотек	bibliothèques
угроза	menace
угроза	malice
угроза	menaces
угроза	menace
мтс	mts
председатели	chaises
председатели	fauteuils
председатели	présidents
председатели	présidents
председатели	présidents
мозель	moselle
подростков	adolescents
подростков	ados
подростков	adolescentes
подростков	adolescents
подростков	ados
демо	démonstration
демо	demo
демо	démo
демо	démos
демо	démonstrations
демо	démos
трагедия	tragique
трагедия	tragiques
трагедия	tragédies
трагедия	drame
трагедия	tragédie
заседание	session
заседание	séance
заседание	rencontre
заседание	réunion
ушла	partis
ушла	parti
ушла	gone
теоретик	théoricien
луки	noeuds
луки	arcs
луки	luca
луки	luka
таиланда	thaïlande
таиланда	thailande
таиланда	thaï
таиланда	thaïlandaise
таиланда	thaïlandais
пройдя	passer
пройдя	passant
советники	conseillers
советники	conseillers
троллейбус	trolleybus
отправили	expédiées
отправили	expédiés
отправили	expédiée
отправили	expédié
отправили	envoyés
отправили	envoyées
отправили	envoyée
отправили	envoyé
аэропорты	aéroports
гитлер	hitler
связанный	liée
связанный	lié
связанный	relié
связанный	liés
оплаты	payement
оплаты	paiements
оплаты	paiement
организмов	organismes
присоединиться	joindre
присоединиться	rejoignez
присоединиться	adhérer
присоединиться	rejoindre
хьюстон	houston
счастье	bonheur
загрузки	télécharge
загрузки	téléchargements
загрузки	téléchargement
холл	hall
культ	secte
культ	culte
культ	cultes
лесных	forestier
лесных	forêts
лесных	forêt
лесных	foret
никитин	nikitin
поколений	générations
македония	macédoine
кондратьев	kondratiev
утверждено	approuvé
утверждено	approuvée
утверждено	approuvés
утверждено	agréée
утверждено	approuvées
утверждено	agréé
волос	cheveu
волос	cheveux
волос	coiffure
создатели	créateurs
создатели	créatrices
покрытия	couvercle
покрытия	couverture
покрытия	couvrir
покрытия	housse
покрытия	enduits
покрытия	revêtements
ферма	ferme
ферма	fermes
произносится	prononcée
произносится	prononcé
произносится	prononcés
грозный	grozny
условие	état
условие	condition
объединять	combiner
объединять	conjuguer
португальский	portugaise
португальский	portugais
низкий	basses
низкий	basse
низкий	faible
низкий	faibles
низкий	bas
древесины	bois
уменьшить	réduire
уменьшить	diminution
уменьшить	diminuer
уменьшить	réduire
уменьшить	baisse
уменьшить	rétrécir
уменьшить	psy
типичный	typiques
типичный	typique
геолог	géologue
геолог	géologues
мобильных	mobile
мобильных	portable
получены	reçu
получены	reçues
получены	reçus
получены	reçue
азота	azote
усовершенствования	amélioration
усовершенствования	améliorations
усовершенствования	améliorations
дань	hommage
дань	tribut
дань	hommages
мозг	cerveaux
мозг	cérébrale
мозг	cerveau
мозг	cervelle
мозг	cerveaux
мозг	cerveau
мозг	cervelle
поднял	élevé
поднял	soulevées
бред	brad
бред	délire
бред	délirant
дэнни	danny
дэнни	dany
дэнни	denny
секция	section
десятка	rte
десятка	dix
десятка	ten
десятка	douzaines
десятка	dizaine
десятка	dizaines
десятка	douzaine
нацистской	nazie
нацистской	nazi
нацистской	nazis
господин	mister
