вінок	vainikas
призначене	netinkama
призначене	pasireikšti
крістіна	kristina
крістіна	kristina
крістіна	christine
крістіна	kristina
ювілей	jubiliejus
відрізок	atkarpa
обоє	abi
обоє	abu
барабанщик	būgnininkas
активації	įjungimo
активації	įjungimas
еритреї	eritrėjos
еритреї	eritrėja
приведення	liejimo
приведення	liejinių
мелодія	melodija
набрати	persigrupuoti
бор	bor
бор	bohr
бор	boro
тигр	tiger
тигр	tigras
тигр	kaurė
гімнастика	gimnastika
рома	roma
рома	romai
рома	romų
стипендію	stipendiją
стипендію	stipendija
пак	pakas
пак	pak
побачення	pažintys
пояси	diržai
жах	teroro
жах	siaubo
жах	siaubas
інструкція	instrukcijos
інструкція	mokymas
санто	santo
коефіцієнти	koeficientai
власноруч	save
поло	polo
привілеїв	privilegijos
жовте	geltona
цариця	karaliene
цариця	karalienė
цариця	queen
помста	kerštas
помста	keršto
помста	keršto
помста	kerštas
робертс	roberts
пробудження	pabudimas
пробудження	energijai
пробудження	prabudimas
карпов	karpovas
пухлини	navikų
пухлини	navikai
карпатська	karpatų
хей	šieno
конвой	konvojus
мод	maud
габсбург	habsburg
зацікавленість	laikrodžiai
філософська	filosofinius
відійти	išsiuntimo
відійти	siuntimas
обережно	atsargiai
гестапо	gestapo
конан	conan
клівленд	klivlendo
термінатор	terminatorius
ватикан	vatikano
муссоліні	mussolini
зберігав	konservuota
зберігав	konservuoti
магнус	magnus
викупив	išpirkta
патріархат	patriarchatas
генералів	generolai
шматок	gabalas
шматок	vnt
шматок	gabalas
кая	kaja
спалено	sudeginamas
восток	vostok
радіації	radiacija
радіації	spinduliuotė
радіації	spinduliavimas
радіації	spinduliuotės
відгук	peržiūra
відгук	atsiliepimai
відгук	atsiliepimus
московсько	russo
романтичні	romantiška
борошно	miltus
борошно	miltų
борошно	miltai
борошно	miltų
борошно	miltai
класом	klasėje
сова	pelėda
завершені	atliktas
завершені	baigtos
одружитися	vesti
баня	bania
мемуари	memuarus
альфонс	alfons
альфонс	afonso
альфонс	alfonsas
історіографія	istoriografija
меду	meda
сін	shin
заборонити	ban
заборонити	uždrausti
заборонити	uždraudimas
нажаль	deja
змінені	redaguota
армавір	armavir
баран	baranas
вишня	prunus
зіс	zis
бред	bredas
сором	drovumas
сором	gėda
логічні	loginis
логічні	logika
андерс	anders
ман	mans
семенов	semionovas
чума	maras
японію	japonija
японію	japonijos
довший	ilgesnis
довший	ilgesnės
довший	ilgiau
мудрий	išmintinga
тріумф	triumfas
процвітання	klestėjimas
процвітання	gerovės
процвітання	gerovė
поріг	riba
поріг	slenkstis
етнології	etnologija
ефективна	veiksmingai
гідність	orumą
гідність	orumo
гідність	orumas
труп	lavonas
керч	kerčės
публій	publius
барт	bartai
сертифікації	sertifikavimo
сертифікації	sertifikavimas
пістолети	pistoletai
пил	dulkes
пил	dulkės
пил	dulkių
показання	diplomas
мрія	svajonė
мрія	svajone
хілл	kalvos
дрезден	dresden
вдячний	dėkinga
вдячний	dėkingas
вдячний	dėkingi
вдячний	dėkingas
вдячний	dėkinga
шия	kaklo
шия	kaklas
рости	auga
рости	augti
екранах	temperatūrai
ніндзя	nindzė
анд	andai
достатній	pakankamai
контролер	valdiklis
контролер	valdiklio
проповіді	pamokslų
преображення	apreiškimas
жаби	varles
сет	setas
захоплює	fotografuoja
збитки	nuostoliai
метеликів	tinklai
корисна	naudinga
корисна	vertinga
корисна	vertingas
скелях	uolos
скелях	akmenų
скелях	akmenys
ємен	jemenas
горизонт	horizontas
палець	pirštas
палець	pirštą
палець	nykščiu
споживача	vartotojas
споживача	vartotojų
прощання	atsisveikinimo
хмарочос	dangoraižis
регулюють	reguliuoti
вероніка	veronika
ханти	chanty
картопля	bulvės
картопля	bulvių
картопля	bulves
картопля	bulvėms
картопля	bulvės
картопля	bulvių
синод	sinodas
купувати	pirkti
глибокої	prinokusių
януш	jonušas
веселе	linksmas
травм	traumos
травм	žala
травм	trauma
травм	žalos
травм	sužalojimas
тітка	teta
постріл	kadras
успенська	dormition
омськ	omskas
аранжування	susitarimai
аранжування	susitarimas
аранжування	susitarimo
аранжування	išdėstymas
грегорі	gregory
рамон	ramón
тисячоліть	tūkstantmečius
лебідь	gulbė
камбоджі	kambodžos
камбоджі	kambodža
кабель	kabeliai
кабель	kabelių
галац	galați
стоп	sustabdyti
важче	sunkiau
важче	stipriau
анджело	angelo
ідеал	idealus
ідеал	idealu
севілья	sevilla
кейн	kane
параді	paradis
етьєн	étienne
змінна	kintamasis
бродіння	fermentacijos
доктрина	doktrina
тисяча	tūkst
пляшки	butelius
пляшки	buteliukai
пляшки	buteliai
пляшки	butelis
пляшки	buteliukai
транс	trance
гуманітарної	humanitarinė
гуманітарної	humanitarinės
крістоф	christophe
крістоф	christoph
нескінченно	begalinė
нескінченно	begalines
гольштейн	holstein
сегмент	atkarpa
консерваторія	konservatorijos
освітня	švietimo
сааремаа	sarema
квитків	bilietas
квитків	bilietų
квитків	bilieto
мудрості	išmintis
мудрості	išminties
більбао	bilbao
тма	tma
серйозний	rimti
серйозний	rimta
серйозний	rimtas
серйозний	rimtų
крилом	korpusas
бика	bull
височина	aukštuma
кравець	siuvėjas
віруси	virusų
віруси	virusai
єлена	jelena
бук	bukų
дюймів	cm
колонізація	kolonizacija
киснем	deguonis
познані	poznanėje
краснодар	krasnodar
ватанабе	watanabe
шрифт	šriftas
шрифт	šrifto
вишні	vyšnios
спалах	flash
випадкові	atsitiktinai
випадкові	atsitiktinė
селянська	valstiečių
спис	ietis
переходи	šokinėja
збережено	išgelbėjo
вдасться	valdo
переконав	įtikino
гліб	gleb
промо	promo
промо	skatinimo
банда	gaujos
банда	gauja
прокляття	prakeiksmas
декорації	dekoravimas
декорації	dekoracijos
окуляри	akiniai
окуляри	akiniai
реформації	reformacijos
пет	pat
милі	mielas
милі	fainas
вірити	manyti
нововведення	naujovė
нововведення	naujovės
граніт	granitas
єкатеринбург	jekaterinburgas
голосні	balses
міць	galingų
ток	tok
епідемія	sverdlovsko
епідемія	epidemija
вантаж	krovinys
вантаж	siunta
вантаж	krovinys
вантаж	siuntimas
турів	keliones
гарячі	karšti
гарячі	karšto
гарячі	karšta
гарячі	karštas
корейська	korėjos
мстислав	mstislavas
абатство	abi
винагороду	atlygis
винагороду	atlygį
котел	katilas
корисний	naudinga
каскад	kaskada
каскад	kaskadų
карате	karate
прокату	raitelis
луїзіана	luizianos
янко	janko
вала	vala
копійок	centų
феррарі	ferrari
стоун	akmens
бджоли	bitės
бджоли	bičių
бджоли	bitės
бджоли	bičių
бджоли	bi
лілі	lily
док	doc
фільтри	filtrai
теплі	šiltas
теплі	šilta
теплі	šiltai
теплі	šiltos
уподобання	patinka
уподобання	mėgsta
уподобання	nustatymai
завершує	baigiama
завершує	baigiasi
травлення	irimo
флеш	flash
арарат	ararato
сліпий	aklas
сліпий	aklai
сліпий	akla
осетії	osetijos
змішування	maišymo
змішування	maišymo
анімація	animuoti
анімація	animacija
анімація	animacinis
комуністичний	komunistų
комуністичний	komunistai
замикання	uždarymo
замикання	uždarymas
пощастило	pasisekė
спенсер	spencer
пекло	velnių
пекло	pragaras
пекло	inferno
чемпіонський	čempionatas
чемпіонський	čempionato
сервери	serveriai
привезли	atnešė
сухе	sausa
сухе	sausas
сухе	sausos
класика	klasika
класика	klasikinis
достатку	gausa
джонса	ponus
кинути	atleisti
кинути	išmesti
кинути	roll
язика	liežuvio
язика	liežuvį
язика	liežuvis
гілками	filialai
гілками	šakos
ідентичність	tapatybę
ідентичність	tapatybė
ідентичність	tapatybės
ідентичність	tapatumas
ввв	vvv
темряви	tamsa
пороги	rapids
аарон	aronas
винним	atliktų
ненависть	neapykanta
ненависть	nekenčiu
ненависть	neapykanta
парування	poravimosi
роджерс	rodgers
континент	žemynas
нерівність	nelygybė
бомба	bombos
бомба	bomba
авів	avivas
генетично	genetiškai
корм	pašarinių
закінчуючи	klevų
лимани	lagūnas
первісний	primal
вірним	atsidavusi
вірним	ištikimas
комбінація	derinys
серро	cerro
прослуховування	nusifilmuoti
казарми	kareivines
гордість	pasididžiavimas
республіканці	respublikonai
межиріччя	mesopotamija
навчився	išmoko
соборна	katedra
соборна	katedros
чистих	grynas
чистих	aiški
кольоровий	spalvoti
знищує	naikina
рушниці	pakrauti
примусово	priverstinis
примусово	force
кістка	kaulų
кістка	kaulas
кістка	kaulai
чарівна	gerbiamas
чарівна	magija
караваджо	caravaggio
декору	dekoruoti
іспанію	ispanija
іспанію	ispanijos
мудрість	išmintis
мудрість	išminties
чжу	zhu
грамів	gramo
чутливі	jautrus
чутливі	jautri
чутливі	jautrios
воллес	wallace
інструктором	instruktorius
круті	žiauri
круті	jėga
круті	kietai
кукурудза	kukurūzai
кукурудза	kukurūzų
вади	vabalai
блискуче	nuostabusis
побажання	norai
прадеш	pradešas
кипіння	virimo
близнюки	dvyniai
почув	girdėjau
борисівна	pugačiova
боїться	baimes
винятки	išimtys
померти	mirti
федеріко	federico
міна	mina
міна	mano
аркуш	lapas
електро	electro
іспанській	español
бредлі	bradley
квінт	kvintas
глибше	giliau
антонова	airlines
лінкор	kovinį
акул	rykliai
жуль	jules
хордові	chordiniai
аналітичних	analizės
лазар	lazaris
лазар	lazar
молодість	jaunimo
молодість	jaunimas
чисті	grynas
чисті	aiški
малювати	dažai
малювати	dažų
раю	rojų
раю	rojus
приховати	slėpti
судини	arterijų
гібралтар	gibraltaro
гібралтар	gibraltaras
ява	java
розумний	protinga
розумний	protingas
розумний	protingi
видача	repatriacijos
корозії	inhibitorius
розваги	pramogos
розваги	pramoga
розваги	pramogų
жарт	pokštas
асті	asti
народності	bantu
козлов	kozlov
канта	cantat
вищими	aukštesnis
швидкі	greitas
швидкі	greita
швидкі	greitai
швидкі	greitas
швидкі	greita
швидкі	greiti
швидкі	greitai
швидкі	greit
напругу	įtampa
пародія	parodija
гуманітарний	humanitarinių
слона	dramblys
мура	mura
слуга	tarnas
слуга	tarnautojas
циліндр	cilindro
циліндр	cilindras
заперечень	prieštaravimai
заперечень	protestai
заперечень	prieštaravimų
сток	stoke
ландау	landau
ліра	lira
бандура	bandūra
тринадцять	trylika
солідарності	solidarumo
солідарності	solidarumas
дік	dikas
радості	džiaugsmas
радості	džiaugsmo
зручний	būsimiems
зручний	patogu
зручний	patogi
зручний	patogiai
зручний	patogus
зручний	patogiau
протекторат	protektoratas
ешлі	ashlee
ешлі	ashley
змішаний	sumaišyti
збережений	išgelbėjo
блекберн	blackburn
спирт	alkoholio
спирт	alkoholis
стоячи	nuolatinio
тибету	tibetas
тибету	tibete
тибету	tibeto
генетика	genetikos
застаріла	deprecated
застаріла	palikimas
мертвий	miręs
спробою	bando
свині	kiaulės
свині	kiaulėms
свині	kiaulė
свині	kiaulių
лит	litų
огюст	auguste
китайці	kinų
китайці	kinijos
китайці	kinas
адміністративне	administracinis
адміністративне	administracinės
тихо	tyliai
тихо	švelniai
тихо	ramu
тихо	tyliai
стб	stb
тімоті	timothy
тімоті	timas
кері	carey
мовляв	sakau
мовляв	sako
співала	dainavo
трансляція	gyva
трансляція	live
трансляція	gyvi
трансляція	gyventi
трансляція	gyvos
трансляція	transliavimas
трансляція	transliavimo
глина	molis
глина	molio
безсмертя	nemirtingumas
неймовірно	neįtikėtina
осман	osman
лейпциг	leipcigo
коридор	koridoriaus
коридор	koridorių
коридор	koridorius
вандалізму	vandalizmo
деп	dep
штани	kelnes
штани	kelnės
штани	kelnes
штани	kelnės
вигнали	išmetė
вигнали	atleido
вражений	sužavėtas
вершники	raiteliai
зеніт	zenit
оголошені	deklaruotas
гнів	pyktis
гнів	rūstybė
мандрівники	wanderers
мандрівники	keliautojai
комплексний	integruotos
комплексний	integruota
повертаючись	grįžimas
урарту	urartija
ліве	livet
атомна	atominė
атомна	atominės
горло	gerklės
мазур	mazur
погана	blogai
погана	bloga
погана	blogas
погана	blogi
антверпен	antverpene
патрони	užtaisai
патрони	kriauklės
холл	salėje
холл	salė
бабусі	močiute
бабусі	močiutė
бабусі	senelė
бабусі	močiutės
стамбула	stambule
стамбула	stambulo
студентська	studentų
студентська	studentė
студентська	studentas
кабіна	kabina
кабіна	kabinos
підрахунку	apskaičiavimas
підрахунку	skaičiavimas
читачі	dešimtys
читачі	abonentams
кристал	kristalų
нейрони	neuronas
продає	parduoda
веселка	rainbow
жирним	drąsių
візуально	vizualiai
запалювання	uždegimas
запалювання	uždegimo
порожній	tuščia
порожній	tuščias
відтінків	atspalvių
ведуча	šeimininkė
атрибути	požymiai
динамічні	dinamiška
динамічні	dinaminis
динамічні	dinaminė
обійти	apeiti
взвод	būrys
вочевидь	matyt
чарівний	žavinga
маєр	mayer
худоба	gyvuliai
худоба	gyvulininkystė
худоба	gyvūnai
інструментами	instrumentai
орнамент	papuošalais
борисов	borisov
гете	goethe
молотова	molotovo
корови	karvės
корови	karvė
корови	karvių
виснаження	išnaudojimas
істина	tiesa
істина	tikra
істина	tiesa
істина	tiesos
збудника	stiprintuvas
ресторани	restoranai
вітамін	vitamino
вітамін	vitaminai
вітамін	vitaminas
коннор	konor
вуд	medienos
вуд	mediena
ваффен	waffen
вічне	amžina
ініціатив	iniciatyvas
ініціатив	iniciatyvos
фарбами	aliejai
фарбами	aliejus
фарбами	alyvos
пристрасті	aistra
поетичний	poetiškas
ангели	angelai
марно	bevertis
кущі	krūmų
токуґава	tokugava
буря	tempest
буря	audros
буря	audra
хижі	salono
хижі	kabina
придбали	stovi
максимальне	didžiausias
валле	valle
вірний	ištikimas
вірний	atsidavusi
вірний	ištikimas
реактивний	jet
рецептори	receptorius
рецептори	receptorių
стимулювання	stimuliacijos
подібності	panašumų
еліта	elitas
еліта	elite
клей	klijai
клей	lipni
клей	klijų
клей	molis
клей	molio
відвідувачі	lankytojai
відвідувачі	lankytojų
відвідувачі	lankytojų
аркуші	lakštai
чен	čen
чен	jong
вбудований	įtaisytas
вбудований	įterpta
вбудований	įdedamas
вбудований	įmontuotas
розбився	sudužo
магія	magija
аташе	atašė
штраф	sankcija
штраф	bausmę
штраф	bauda
штраф	bausmė
штраф	nuobauda
весняний	pavasario
весняний	pavasaris
кредиту	paskolos
кредиту	paskola
чиє	kieno
світлина	nuotraukos
світлина	foto
світлина	nuotrauka
шосте	šeštoji
шосте	šešta
шосте	šeštasis
шосте	šeštosios
яблука	obuolių
яблука	obuoliai
інвесторів	investuotojai
інвесторів	investuotojų
познань	poznanėje
аркушів	lakštai
шию	kaklo
шию	kaklas
цікаве	įdomu
цікаве	įdomus
голосний	balsis
пригодницький	nuotykiai
пригодницький	nuotykis
пригодницький	nuotykių
продавець	pardavėjo
продавець	pardavėjas
сезонні	sezoninio
відтінок	atspalvis
відтінок	šešėlis
чак	chuck
слон	dramblys
шлезвіг	schleswig
грецьке	graikų
рузвельт	ruzveltas
лінда	linda
вікові	pasaulietinės
бик	bull
справедливо	sąžiningą
лікарень	nebuvimą
лікарень	ligoninės
джазу	džiazo
гранат	granatų
індуїзм	hinduizmas
туман	rūko
міцкевича	mickevičiaus
рецепт	skyrimą
рецепт	receptas
дідусь	senelis
троянди	rožės
мальме	malmė
аромат	kvapas
аромат	kvapą
аромат	skonio
аромат	aromatas
аромат	skonis
інвентар	įrangos
інвентар	įranga
складніше	sunkiau
складніше	stipriau
завершилися	praeina
клієнти	klientai
клієнти	klientų
крішна	krišna
турку	turku
влаштувати	tinka
влаштувати	suorganizuoti
влаштувати	pasirūpinti
клапан	vožtuvas
клапан	vožtuvų
улус	rajonas
тони	atspalvių
тони	šešėlis
благодійна	labdara
благодійна	labdaros
животі	pilvo
животі	pilvas
вижили	išgyvenusiųjų
вижили	išgyveno
суворий	žiauri
суворий	griežtas
суворий	griežti
забути	pamiršti
гіпс	gipso
фармацевтична	farmacijos
ана	ana
якостями	savybes
кузня	smi
горіх	riešutų
дим	dūmai
дим	dūmų
поліцейського	policininkas
поліцейського	faras
пляма	dėmių
білла	bilas
мораль	moralinę
мораль	moralę
мораль	dėsnis
зацікавлення	interesus
кеннет	kenneth
гвинтівок	šautuvai
бані	vonios
квитки	bilietai
квитки	bilietus
квитки	bilietų
броня	šarvai
співають	dainuoti
кокс	cox
кокс	kokso
кокс	koksas
сімон	simona
сімон	saimonas
сімон	simonas
слуху	ausies
священні	šventa
священні	švento
перевищення	greitį
аварія	avarija
аварія	avarijos
терористичних	teroristų
терористичних	teroristai
окб	okb
гонсалес	gonzales
машинами	mašinos
кенія	kenijoje
кенія	kenija
кенія	kenijos
титан	titan
нападників	puolėjai
томі	tomis
ейлера	eulerio
грошовий	pinigų
грошовий	pinigai
грошовий	grynieji
пальми	delnų
лазаря	lazarus
оборонний	spirituotas
простота	paprastumas
фернандес	fernández
фернандес	fernandes
пірати	originalas
згортання	lankstymo
згортання	išrūgos
згортання	sutraukti
згортання	šešėlis
фантазії	fantasia
фантазії	fantazijų
консульства	konsulatas
дівоче	maiden
тринідад	trinidadas
балада	baladė
вечірня	vakaras
вечірня	vakaro
вечірня	vakare
вечірня	mišparai
неможливе	neįmanoma
олені	elnio
олені	elniai
фіджі	fidžis
фіджі	fidžio
ремісники	meistrams
делегати	delegatai
дублін	dubline
дублін	dublinas
пій	pijus
антонін	antoninas
господарствах	ūkiai
заміжня	vedęs
заміжня	ištekėjusi
цікавиться	domina
цікавиться	susidomėję
едвін	edvinas
поклала	įdaryti
звинувачували	dalyvavo
психологічна	universiteto
керується	pavyko
керується	valdoma
керується	valdomi
керується	kontroliuojamų
керується	kontroliuojami
керується	kontroliuojama
трофеї	trofėjai
догляд	slaugos
ветерани	veteranų
надзвичайні	nepaprasto
горе	sielvarto
аліканте	alicante
страшний	baisus
ібрагім	ibrahim
розчиняється	ištirpsta
грот	grota
острозька	ostrogas
малаві	malavio
кривих	kreivės
шапка	kepure
шапка	kepurė
змішана	sumaišyti
сильною	stiprūs
сильною	tvirtas
сильною	stipri
сильною	stiprus
йосафата	juozapatas
сантос	santos
клінтон	clinton
фей	fay
фей	fėjos
досягненні	pasiekti
ескіз	eskizas
похідна	išvestinė
похідна	išvestinių
вишневецький	višnioveckis
ноу	nou
картоплю	bulvės
картоплю	bulvių
картоплю	bulves
картоплю	bulvėms
картоплю	bulvės
картоплю	bulvių
калабрія	kalabrijos
згода	sutikimas
згода	sutikimo
графіті	graffiti
соціалізм	socializmas
морозова	morozova
вівторок	antradienis
вівторок	antradienį
тіто	tito
ящірка	driežas
вячеслав	viačeslavas
саксофон	saksofonas
ламп	žibintai
ламп	šviestuvai
ламп	lempoms
гулаг	gulago
метрах	metrų
жукова	žukovas
потепління	šildymo
грубо	žalios
грубо	žali
грубо	žalia
пити	geria
пити	gert
пити	gėrimas
пити	gerti
баритон	baritonas
оленя	elniai
льєж	lježo
ракоподібних	vėžiagyviai
вхідні	gauta
вхідні	ateinantys
вхідні	įvesties
сенегалу	senegalas
сармати	sarmatai
суперник	oponentas
виграш	laimėti
гданськ	gdansko
туристичне	turistai
туристичне	turizmo
вітряк	malūnas
неминуче	neišvengiama
неминуче	neišvengiamą
гарріс	haris
гарріс	harris
кастель	castel
міккі	mikis
міккі	miki
коми	koma
коми	komos
вокер	walker
гріхи	nuodėmes
трактор	traktorius
трактор	traktoriaus
трактор	vilkikas
трактор	traktoriai
мюррей	murray
іон	jonų
іон	yon
лібертадорес	libertadores
унікальне	unikali
унікальне	unikalus
адигея	adygėja
язик	liežuvio
язик	liežuvį
язик	liežuvis
май	mai
май	gegužė
прототипи	prototipų
вибране	mėgstamiausių
новонароджених	gelta
номінал	nominalas
захисником	puolėjas
пелюстки	žiedlapiai
перо	pen
перо	plunksna
бакалавр	bakalauro
елі	elie
фуа	foie
тато	tėti
тато	tėti
тато	tėtis
оптика	optika
долучився	pažadėjo
долучився	prisijungė
ніко	niko
організаційного	organizavimą
їстівні	valgomieji
електрики	elektra
електрики	elektros
роги	varpai
вмирає	miršta
шпенглера	spengler
винести	rankena
винести	tvarkyti
чудо	stebuklas
присяжних	atestuotas
уна	una
кіпрі	kipras
вокальний	vokalinių
больцано	bolzano
циган	čigonų
кухар	gaminti
салліван	sullivan
заборонили	uždraustos
спиною	nugarų
кермо	ratas
кермо	rato
продемонструвати	demonstravimo
знімали	filmai
знімали	filmus
заслуговують	nusipelno
заслуговують	verti
сканування	skaityti
сканування	scan
платні	perkami
платні	įsigytas
платні	pirktas
платні	nupirkti
платні	įsigyta
переносу	kėlimas
сльози	rer
сльози	ašaros
геометричні	geometrinės
камео	cameo
криві	kreivės
шансів	šansai
яскраве	šviesus
яскраве	šviesi
яскраве	spalvinga
лабораторій	laboratorijos
лабораторій	laboratorijų
поліна	polina
неллі	nelly
неллі	nellie
крісло	kėdė
крісло	kėdės
легені	plaučiai
легені	plaučių
легені	plaučiai
легені	plaučius
горіхи	riešutai
герцогиня	hercogienė
віз	vagonas
віз	vežimo
винищення	išnykimas
винищення	išnykimo
дроту	vielos
дроту	laido
дроту	viela
наставник	apmokymą
перспектив	perspektyvas
перспектив	perspektyvos
руслана	ruslana
наруто	naruto
торрес	torres
плач	verkia
виборола	konkurentų
виборола	konkurentai
взаємопов	abipusiai
поєднується	geriausia
стратегічний	strateginiai
алюміній	aliuminio
алюміній	aliuminis
алюміній	aliuminis
саїд	said
вибухові	fejerverkas
велич	didybės
касерес	cáceres
впевнені	tikras
канаду	kanada
канаду	kanadoje
канаду	kanados
чужий	ateivių
нігер	nigeris
нігер	niger
моравія	moravijos
танок	šokio
байтів	baitų
заяв	pareiškimai
горлівка	horlivka
ізотопів	izotopai
ізотопів	izotopų
наймолодший	jauniausias
вальядолід	valjadolido
баттіста	battista
оноре	honoré
кроуфорд	crawford
корнелія	cornelia
видіння	vizijas
філармонія	filharmonijos
іштван	istván
рекламні	skatinimo
ага	aha
ага	taip
ага	aga
лінзи	lęšiai
лінзи	lęšiai
шок	šokas
волга	volgos
юпітер	jupiterio
тимчасова	laikinai
азіатів	azijiečių
добрива	trąšų
добрива	trąšos
добрива	trąšoms
добрива	trąšos
нива	niva
кору	kiaulytės
ліберальна	liberalų
іжевськ	iževskas
гаї	hai
авраам	abraham
авраам	avraham
