gorovje	bergen
jasna	duidelijk
jasna	helder
hubert	hubert
opredelitev	definitie
charlotte	charlotte
bella	bella
nominiran	voorgedragen
nominiran	genomineerd
rumeni	gele
rumeni	geel
papirja	paper
papirja	papier
zaposlitev	aanwerving
zaposlitev	rekrutering
zaposlitev	werving
zaposlitev	job
zaposlitev	baan
zaposlitev	tewerkstelling
zaposlitev	werkgelegenheid
lucija	lucy
lucija	lucia
dostopna	bereikbaar
dostopna	toegankelijke
dostopna	toegankelijk
ušesa	oor
ušesa	oren
ušesa	oortjes
nataša	natasha
boljša	better
boljša	beter
shs	shs
razpad	breuk
razpad	uiteenvallen
razpad	desintegratie
razpad	ineenstorting
razpad	instorten
razpad	instorting
razpad	verval
rektor	provoost
rektor	rector
novejši	nieuwere
novejši	nieuwer
petrova	petrova
označene	gelabeld
označene	gemarkeerde
označene	gemarkeerd
označene	gemerkt
označene	gekenmerkt
kolonija	kolonie
broughton	broughton
spol	geslacht
spol	seks
spol	geslacht
spol	sex
razviti	ontwikkelden
razviti	ontwikkelde
razviti	ontwikkeld
razviti	ontwikkelen
barry	barry
oborožitev	bewapening
mcdonnell	mcdonnell
hčerke	dochters
sofija	sofia
sofija	sophia
fotografij	fotos
hong	hong
trak	hoofdband
trak	strippen
trak	uitkleden
trak	strip
trak	bandje
trak	plakband
trak	tape
trak	lint
trak	lintje
trak	riem
tennessee	tennessee
sončne	zonne
sončne	solar
vidik	aspect
učiteljev	onderwijzers
učiteljev	leraren
učiteljev	docenten
učiteljev	leerkrachten
učiteljev	leraars
dokazano	bewezen
dokazano	bewees
dokazano	bewezen
dokazano	aangetoonde
kit	walvis
kit	setje
kit	kit
västra	västra
plašč	vacht
plašč	jas
plašč	mantel
odpovedal	geannuleerd
odpovedal	afgelast
sneg	sneeuw
frentzen	frentzen
zasebni	prive
zasebni	privé
zasebni	particulier
spretnosti	vaardigheden
spretnosti	skills
bernhard	bernhard
zmagovalci	winnaars
soba	kamer
galaksije	sterrenstelsels
novinarka	journalisten
novinarka	journaliste
novinarka	journalist
novinarka	verslaggeefster
novinarka	verslaggever
novinarka	journaliste
novinarka	journalist
novinarka	reporter
mod	mod
napisi	opschriften
napisi	inscripties
napisi	onderschriften
ujeli	gevat
ujeli	gepakt
ujeli	gesnapt
ujeli	betrapt
ujeli	gevangen
ujeli	opgepakt
ujeli	kapot
ujeli	betrapt
ujeli	gevangengenomen
ujeli	gevangen
potisk	stuwkracht
švice	zwitserland
svetlana	svetlana
usmerjena	geregisseerd
usmerjena	gerichte
usmerjena	regisseerde
usmerjena	georiënteerd
usmerjena	georiënteerde
irvine	irvine
off	af
abc	abc
evrov	euros
evrov	euro
skok	jump
skok	spring
skok	springen
skok	sprong
skok	sprong
esej	essay
esej	opstel
zmožnosti	vermogen
zmožnosti	capaciteiten
huda	streng
huda	ernstige
huda	ernstig
huda	stoer
huda	bikkel
huda	stoere
mitchell	mitchell
mitchell	mitchel
nadomestila	tegemoetkomingen
nadomestila	restitutie
nadomestila	vergoeding
nadomestila	bezoldiging
nadomestila	beloning
nadomestila	vergoeding
nadomestila	compensatie
nadomestila	schadeloosstelling
nadomestila	schadevergoeding
nadomestila	vergoedingen
nadomestila	emissierechten
nadomestila	toelagen
padlo	fell
padlo	viel
padlo	gedropt
padlo	herfst
padlo	fall
padlo	vallen
padlo	gevallen
colorado	colorado
zmes	mengsel
zaslužil	verdiend
zaslužil	verdiende
zaslužil	verdiend
zaslužil	verdiende
mer	mer
zapor	gevangenis
zapor	gevangenis
paula	paula
tradicija	traditie
tradicija	tradities
tine	tine
tine	tina
praksa	praktijk
praksa	oefenen
praksa	beoefenen
praksa	oefening
komedija	comedy
komedija	komedie
sprejema	accepteert
sprejema	aanvaardt
gsub	gsub
nikjer	nergens
promocijo	bevordering
promocijo	promoten
promocijo	promotie
slabosti	zwaktes
slabosti	zwakheden
slabosti	tekortkomingen
device	virgo
device	maagd
device	maagden
device	maagden
scoreb	scoreb
preprosta	eenvoudige
preprosta	simpel
preprosta	eenvoudig
frölunda	frölunda
unija	union
unija	vakbond
unija	unie
sky	hemel
sky	lucht
sky	sky
dnevni	dagelijkse
dnevni	dagelijks
julia	julia
tanja	tania
tanja	tanya
tanja	tanja
tanja	tanja
predstavljen	uitgelicht
predstavljen	uitgelichte
predstavljen	aanbevolen
predstavljen	gepresenteerde
predstavljen	aangeboden
predstavljen	gepresenteerd
beck	beck
obvezno	verplicht
obvezno	verplichte
obvezno	verplicht
obvezno	verplichte
obvezno	verplicht
june	juni
june	june
svobodna	free
svobodna	vrij
svobodna	gratis
jose	jose
jose	josé
jose	jose
jose	josé
kraljico	koningin
kraljico	queen
predniki	voorvaderen
predniki	voorouders
predniki	voorvaders
colin	collin
colin	colin
razmišljanja	nadenken
razmišljanja	denken
razmišljanja	denkend
nameščena	gemonteerd
nameščena	uitgerust
nameščena	geïnstalleerde
nameščena	geinstalleerd
nameščena	geïnstalleerd
garda	garde
garda	bewaker
garda	garda
ločeni	gescheiden
ločeni	gescheiden
ločeni	aparte
ločeni	gescheiden
ločeni	apart
suzuki	suzuki
dansko	deens
dansko	deense
dansko	denemarken
osebah	onderdanen
osebah	onderwerpen
osebah	vakken
veriga	ketting
veriga	keten
hingis	hingis
reaktor	reactor
cleveland	cleveland
usoda	noodlot
usoda	lotsbestemming
usoda	lot
usoda	destiny
usoda	noodlot
usoda	lot
učinkovita	efficient
učinkovita	efficiënte
učinkovita	efficiënt
učinkovita	effectief
učinkovita	doeltreffend
učinkovita	effectieve
vesnina	vesnina
opisana	beschreven
opisana	beschreef
opisana	omschreven
prizadevanja	inspanningen
prizadevanja	inspanning
bistvo	essentie
nicholas	nicolaas
nicholas	nicholas
fazo	fase
izpostavljenosti	belichting
izpostavljenosti	blootstelling
talent	talent
talent	talenten
podrejen	onderdanige
podrejen	onderdanig
podrejen	ondergeschikte
podrejen	ondergeschikt
podrejen	achtergestelde
podrejen	ondergeschikt
podrejen	achtergesteld
začetnik	beginners
začetnik	beginneling
začetnik	beginner
amsterdam	amsterdam
gosti	gasten
redir	redir
zelandija	zeeland
jez	dam
jez	stuwdam
party	feest
party	partij
party	feestje
party	party
dovoljenja	vergunningen
dovoljenja	licenties
dovoljenja	vergunningen
dovoljenja	toestemmingen
regij	streken
pozitiven	positief
pozitiven	positieve
galerije	galerijen
galerije	galeries
dež	regen
ajdovščina	ajdovščina
institut	institut
nasledstvo	opvolging
nasledstvo	nalatenschap
nasledstvo	erfenis
nasledstvo	erfenis
nasledstvo	erfdeel
tovor	cargo
tovor	vracht
tovor	lading
tovor	vracht
tovor	goederenvervoer
tovor	vrachtvervoer
tovor	laadvermogen
razporeditev	distributie
razporeditev	verdeling
razporeditev	indeling
razporeditev	opmaak
razporeditev	layout
razporeditev	regeling
razporeditev	arrangement
najmanjše	kleinste
najmanjše	kleinst
vdova	weduwe
izbruh	uitbraak
izbruh	uitbarsting
izbruh	uitbarsting
trikotnika	driehoek
davenport	davenport
kocka	cube
kocka	kubus
nižja	lager
nižja	lagere
nenad	nenad
ledena	ijzige
stabilnost	stabiliteit
grobnice	graven
slatina	slatina
krst	dopen
krst	doopsel
krst	doop
krst	doop
kongo	congo
kongo	conga
šiška	knallen
konflikt	conflicten
konflikt	conflict
arabci	arabieren
uniči	verwoesten
uniči	vernietigen
uniči	vernietig
uniči	ruïneren
uniči	verpesten
uniči	ruïne
uniči	vernietigt
razvito	ontwikkelden
razvito	ontwikkelde
razvito	ontwikkeld
umetniška	artistieke
umetniška	artistiek
mlajše	younger
mlajše	jonger
mlajše	jongere
anja	anja
anja	anja
anja	anya
lyon	lyon
breda	breda
možen	mogelijke
možen	mogelijk
založnik	uitgeverij
založnik	uitgever
morris	morris
zlatko	zlatko
možje	echtgenoten
možje	mannen
pripravljena	ready
pripravljena	gereed
pripravljena	klaar
pripravljena	bereide
pripravljena	bereid
pripravljena	voorbereid
označevanje	markering
označevanje	markeren
označevanje	taggen
označevanje	etikettering
pionirski	baanbrekend
pionirski	baanbrekende
fokker	fokker
jap	yup
jap	yep
jap	jep
steven	steven
eugene	eugene
firence	florence
avtorske	auteursrechten
avtorske	auteursrecht
avtorske	copyright
ron	ron
obstoječe	bestaand
obstoječe	bestaande
veleposlanik	ambassadeur
ista	hetzelfde
ista	zelfde
ista	same
državljanstvo	nationaliteit
državljanstvo	burgerschap
državljanstvo	staatsburgerschap
usta	mond
usta	monden
memorial	herdenking
memorial	memorial
memorial	gedenkteken
uspešnosti	prestaties
uspešnosti	prestatie
poškodovana	gewond
poškodovana	gewonden
poškodovana	geblesseerd
poškodovana	beschadigd
poškodovana	beschadigde
rolls	rollen
rolls	rolls
mas	mas
mas	massa
trideset	dertig
trideset	thirty
membrane	membraan
membrane	membranen
središčem	gecentreerd
meter	meter
meter	meter
mlado	jonge
mlado	jong
mlado	young
vsebinsko	conceptueel
vsebinsko	conceptuele
sous	sous
kazalo	index
kazalo	indexcijfer
kazalo	indexeren
situacijo	situatie
situacijo	toestand
wayne	wayne
lats	lats
litiji	litiji
osvoboditev	bevrijding
zasnova	ontwerp
zasnova	design
zasnova	vormgeving
zasnova	ontwerpen
pomorsko	maritiem
howe	howe
pat	pat
hrvati	kroaten
zaloge	voorraden
zaloge	voorraad
zaloge	benodigdheden
zaloge	bevoorrading
zaloge	voorraden
zaloge	voorraad
zaloge	leveringen
zaloge	inventarissen
zaloge	voorraden
zaloge	voorraad
zaloge	stock
abeceda	alfabet
topovi	kanonnen
topovi	geweren
topovi	kanonnen
topovi	wapens
topovi	pistolen
zasede	hinderlaag
mleka	melk
mag	magus
mag	mag
damjan	damjan
poletni	zomer
uživanje	genieten
molitev	bidden
molitev	gebed
molitev	gebeden
molitev	gebed
molitev	bidden
prst	vinger
prst	teen
blato	slib
blato	modder
blato	ontlasting
blato	kruk
blato	stoelgang
blato	feces
blato	ontlasting
blato	stoelgang
blato	krukken
postopno	geleidelijk
postopno	geleidelijke
postopno	geleidelijk
postopno	vooruitstrevend
postopno	progressieve
postopno	progressief
isonzo	isonzo
navdih	inspirerend
navdih	bezield
navdih	geïnspireerd
navdih	geïnspireerde
navdih	inspiratie
tabele	tabellen
tabele	tafels
abd	abd
študente	studenten
študente	leerlingen
disertacijo	proefschrift
luč	light
luč	lichte
luč	licht
mehiški	mexicaanse
mehiški	mexicaan
mehiški	mexicaans
aluminija	aluminium
gozdni	woud
gozdni	bos
gozdni	bossen
bogovi	goden
kupolo	koepel
kupolo	dome
razširjeno	uitgebreid
razširjeno	verlengd
stopenj	niveaus
lambert	lambert
cele	hele
cele	geheel
stavka	strike
stavka	staking
izziv	uitdagen
izziv	challenge
izziv	uitdaging
vrhovno	supreme
vrhovno	opperste
inšpektor	inspecteur
siriji	syrië
gledalci	toeschouwers
gledalci	doelgroep
gledalci	publiek
gledalci	kijkers
primerjalno	vergelijkende
primerjalno	vergelijkend
andrews	andrews
keith	keith
garcía	garcía
src	harten
src	hearts
src	hartjes
schneider	schneider
trdo	moeilijk
trdo	hard
trdo	harde
čaj	thee
spartak	spartacus
odpoved	afsluiten
odpoved	stoppen
odpoved	opgeven
odpoved	stoppen
odpoved	ontslagbrief
odpoved	aftreden
odpoved	ontslag
vzorce	monsters
vzorce	stalen
divji	wild
divji	wilde
upokojeni	gepensioneerde
upokojeni	gepensioneerd
odgovorna	verantwoord
odgovorna	verantwoordelijke
odgovorna	verantwoordelijk
stanovanje	plat
posode	afwas
posode	vaartuigen
posode	containers
razglasila	verklaren
piero	piero
načrti	blauwdrukken
načrti	plannen
jeff	jef
jeff	jeff
baz	honken
baz	bases
baz	basen
baz	grondslagen
baz	baz
murphy	murphy
vesel	blij
vesel	vrolijk
vesel	merry
omembe	noemt
omembe	vermeldingen
bezirk	bezirk
dostopen	bereikbaar
dostopen	toegankelijke
dostopen	toegankelijk
suhi	droge
suhi	droog
suhi	drogen
suhi	mager
suhi	skinny
suhi	magere
odgovoril	geantwoord
odgovoril	antwoordde
odgovoril	antwoordde
odgovoril	beantwoord
odgovoril	beantwoorde
spredaj	front
spredaj	voorkant
spredaj	voorzijde
sašo	sašo
sašo	grayson
luca	luca
pisem	letteren
pisem	letters
pisem	brieven
lepe	mooi
lepe	prachtig
lepe	mooie
uspehov	successen
uspehov	succes
uspehov	success
smiles	glimlachen
smiles	lacht
razdeli	splitsen
razdeli	split
razdeli	verdelen
razdeli	verdeel
pozdrav	groetjes
pozdrav	groeten
pozdrav	groet
pozdrav	groet
pozdrav	begroeting
suverenosti	soevereiniteit
isaac	isaac
dem	dem
siva	gray
siva	grijze
siva	grijs
siva	grijze
siva	grijs
siva	grey
izdelava	vervaardiging
izdelava	fabricage
izdelava	fabricage
trenutek	moment
trenutek	ogenblik
oltarja	altaar
obrobju	periferie
gaj	gaius
gaj	caius
bank	bank
sinonim	synoniem
sinonim	synoniemen
sestri	sisters
sestri	zusters
sestri	zussen
sestri	zusjes
prid	gunsten
prid	gunst
delce	deeltjes
kupola	koepel
kupola	dome
sekunde	seconden
rossi	rossi
rona	ron
auflage	auflage
charlie	charlie
obsežne	uitgebreid
obsežne	uitgebreide
bron	bronzen
bron	brons
bron	bronze
državljani	burgers
državljani	staatsburgers
državljani	onderdanen
državljani	staatsburgers
poliedrov	veelvlakken
walther	walther
komandant	commandant
weber	weber
leonardo	leonardo
prepovedano	verboden
prepovedano	verboden
esejist	essayist
linux	linux
kritiko	kritiek
razlogi	redenen
razlogi	reden
razlogi	rede
razlogi	gronden
moderno	modern
moderno	moderne
bolečino	pijn
voditelji	leiders
jedrski	nucleaire
jedrski	nucleair
hamburg	hamburg
cruz	cruz
vožnjo	ride
vožnjo	rit
vožnjo	rijden
vožnjo	rijdend
vožnjo	autorijden
poln	vol
poln	volledig
poln	full
poln	volledige
poln	volle
div	div
iranu	iraanse
iranu	iran
mitologija	mythologie
drugačna	verschillend
drugačna	verschillende
drugačna	anders
šolal	geschoold
oddaj	toont
oddaj	shows
teologijo	theologie
zmesi	mengsels
razglašen	verkondigde
razglašen	afgekondigd
razglašen	uitgeroepen
razglašen	verkondigd
alma	alma
slišal	hoorde
slišal	gehoord
verjeli	geloofden
verjeli	geloofde
verjeli	geloofd
odhod	vertrek
odhod	vertrekken
odhod	weggaan
koža	huid
koža	skin
proizvajalci	producers
proizvajalci	producenten
proizvajalci	fabrikanten
najmanjši	kleinste
najmanjši	kleinst
sorodni	verwante
odvisnost	afhankelijkheid
odvisnost	afhankelijkheid
odvisnost	verslaving
dick	dick
dick	lul
theodore	theodore
renesančni	renaissance
royce	royce
jupiter	jupiter
kotel	boiler
kotel	ketel
kotel	ketel
wade	wade
nemudoma	onmiddellijk
nemudoma	direct
nemudoma	onmiddelijk
krogla	bol
krogla	bullet
krogla	kogel
prepričal	overtuigde
prepričal	overtuigd
aero	aero
klopi	bench
klopi	bankje
vredno	worth
vredno	waard
konvencija	conventie
konvencija	verdrag
mad	boos
mad	mad
šef	baas
šef	boss
delitve	splitsingen
delitve	afdelingen
delitve	divisies
absolutno	absoluut
absolutno	absolute
poraba	verbruik
poraba	consumptie
žleze	klieren
žleze	klier
zadetkov	hits
zadetkov	treffers
merila	criteria
desetletju	decennium
jajca	eieren
jajca	eitjes
jajca	ballen
jajca	balletjes
pretirano	overdreven
pretirano	overtrokken
pretirano	excessief
pretirano	buitensporig
pretirano	overmatig
pretirano	overdreven
pretirano	buitensporige
nord	nord
zemljišča	grond
zemljišča	land
zemeljskega	aardse
zemeljskega	aards
povezovanje	netwerken
povezovanje	integratie
povezovanje	verbinden
prizori	schermen
prizori	taferelen
prizori	scenes
prizori	scènes
globine	diepten
izvajati	implementeren
nedvomno	ongetwijfeld
botanik	botanicus
odkrit	ontdekte
odkrit	ontdekt
#ffffff	#ffffff
col	col
col	kol
flote	vloot
flote	wagenpark
flote	vloten
kandidata	sollicitanten
kandidata	kandidaten
kandidata	kandidaat
venec	krans
dvojna	dubbel
dvojna	dubbele
dvojna	tweepersoons
dvojna	verdubbelen
dvojna	double
frankov	franken
frankov	francs
križišče	kruispunt
križišče	kruising
križišče	junction
križišče	kruispunt
igralce	spelers
england	engeland
england	england
palice	bars
palice	stokken
palice	klemt
palice	sticks
palice	stokjes
palice	clubs
palice	toverstaf
palice	staven
ločila	interpunctie
moška	mannen
moška	mannelijk
moška	male
moška	mannetje
moška	mannelijke
puščava	woestijn
zmožnost	vermogen
harvey	harvey
metka	grietje
metka	bullet
metka	kogel
podpis	ondertekenen
podpis	ondertekening
podpis	handtekening
podpis	ondertekening
melodije	melodieën
neapelj	napels
vzorca	monsters
vzorca	stalen
larry	larry
obrambno	defensief
obrambno	defensieve
termin	term
termin	afspraak
termin	benoeming
termin	aanstelling
obrne	beurten
robin	robin
lesena	houten
lesena	hout
datotek	bestanden
datotek	dossiers
samodejno	automaat
samodejno	automatisch
samodejno	automaat
samodejno	automatische
samodejno	automatisch
samodejno	automatisch
kvartet	kwartet
wallace	wallace
preprečili	afgewend
posebnosti	specificiteit
pozitivni	positief
pozitivni	positieve
antike	oudheid
nedavno	kortgeleden
nedavno	recentelijk
nedavno	onlangs
nedavno	recent
nedavno	recente
nedavno	recent
piramida	piramide
vesoljska	ruimte
vesoljska	spatie
ricardo	ricardo
eur	eur
žagar	jigsaw
katedrale	kathedralen
zvočni	hoorbaar
slava	bekendheid
slava	beroemdheid
slava	roem
slava	faam
slava	glorie
slava	roem
slava	heerlijkheid
slava	glory
madžari	hongaren
tolmin	tolmin
sočasno	gelijktijdige
sočasno	gelijktijdig
sočasno	gelijktijdige
sočasno	gelijktijdig
sočasno	tegelijk
sočasno	tegelijkertijd
sočasno	gelijktijdig
moto	devies
moto	motto
moto	moto
duševno	mentaal
duševno	mentale
duševno	geestelijk
duševno	geestelijke
duševno	mentaal
duševno	geestelijk
allan	allan
ekip	ploegen
ekip	teams
lokacijo	lokatie
lokacijo	locatie
lokacijo	ligging
valovi	golven
zvezno	federale
zvezno	federaal
populacija	bevolking
populacija	populatie
dokazati	demonstreren
zamenjava	ruil
zamenjava	ruilen
zamenjava	swap
zamenjava	omwisselen
zamenjava	vervanging
zamenjava	substitutie
zamenjava	vervanging
zamenjava	vervanger
kače	slangen
kače	slangen
kače	slang
kače	snake
skoki	sprongen
skoki	springt
skoki	jumping
skoki	springende
skoki	springen
delavce	werkers
delavce	werkenden
delavce	arbeiders
delavce	werknemers
odposlancev	afgezanten
napadalec	aanvaller
napadalec	aanvaller
srbijo	servië
čustveno	emotioneel
čustveno	emotionele
čustveno	emotioneel
saturn	saturn
saturn	saturnus
encima	enzymen
encima	enzym
verjame	gelooft
postanek	tussenstop
tokio	tokyo
tokio	tokio
dream	droom
dream	dromen
dream	dream
germain	germain
matt	matt
nasledniki	opvolgers
pérez	pérez
slovenia	slovenië
opatija	opatija
alexandre	alexandre
oscar	oscar
ronnie	ronnie
uefa	uefa
monarhija	monarchie
vlaken	vezel
vlaken	vezels
preprečil	verijdeld
mansell	mansell
propad	bestraffing
propad	onheil
propad	doom
propad	ineenstorting
propad	instorten
propad	instorting
turistične	toerist
ngc	ngc
clarke	clarke
krona	kroon
uran	uranium
uran	uranus
zimonjić	zimonjić
celično	cellulaire
resnica	waar
resnica	true
resnica	klopt
resnica	truth
resnica	waarheid
bruhanje	braaksel
bruhanje	kots
bruhanje	overgeven
bruhanje	braken
arheologi	archeologen
pripadal	behoord
pripadal	behoorde
dodana	toegevoegd
dodana	toegevoegde
menihi	monniken
funtov	pond
funtov	ponden
odziva	reageren
odziva	reactie
odziva	respons
tesla	tesla
sloj	laag
padli	gevallen
viktorija	victoria
izbruhnila	uitgebarsten
akcija	action
akcija	optreden
akcija	aktie
akcija	actie
tiska	pers
tiska	druk
razglašena	verkondigde
razglašena	afgekondigd
razglašena	uitgeroepen
razglašena	verkondigd
ščiti	beschermt
ščiti	schermen
ščiti	schilden
vickers	vickers
luknje	holes
luknje	gaten
waffen	waffen
presega	overschrijdt
presega	overtreft
game	gamma
vladanje	regeren
vladanje	heerschappij
vladanje	regeerperiode
andre	andre
andre	andré
andre	andre
andre	andré
ban	ban
ban	verbod
ban	verbieden
izračuna	berekent
opredeljuje	omschrijft
opredeljuje	definieert
ema	emma
ema	ema
doktorat	doctoraat
doktorat	doctoraat
doktorat	phd
listina	handvest
pljuč	longen
pljuč	lung
pljuč	long
pljuč	longen
nasprotnikov	tegenstanders
okoliščine	omstandigheden
okoliščine	omstandigheid
okoliščine	omstandigheden
krizo	crisis
silver	zilver
silver	zilveren
silver	silver
léon	léon
planine	bergen
navzven	extern
navzven	uitwendig
agent	agent
vstaja	opstand
vstaja	opstand
vzpostavitev	vestiging
priznana	erkende
priznana	herkend
priznana	erkend
priznana	erkende
priznana	erkend
priznana	herkende
priznana	erkende
priznana	herkend
priznana	erkend
upokojen	gepensioneerde
upokojen	gepensioneerd
pre	pre
kalibra	kaliber
jason	jason
guillaume	guillaume
danny	danny
skrajno	extreme
skrajno	extreem
ravna	plat
instrument	instrument
delec	fragment
delec	deeltje
delec	deeltjes
negativna	negatieve
negativna	negatief
konzulat	consulaat
učitelji	onderwijzers
učitelji	leraren
učitelji	docenten
učitelji	leerkrachten
učitelji	leraars
izkoristek	doeltreffendheid
izkoristek	effectiviteit
izkoristek	werkzaamheid
izkoristek	efficiency
izkoristek	efficiëntie
izkoristek	doeltreffendheid
izkoristek	doelmatigheid
zatočišče	onderdak
zatočišče	opvang
zatočišče	beschutting
zatočišče	schuilplaats
zatočišče	schuilkelder
zatočišče	sanctuary
zatočišče	heiligdom
zatočišče	toevluchtsoord
zatočišče	toevluchtsoord
zatočišče	toevlucht
brod	brod
zaposlitve	klussen
zaposlitve	jobs
zaposlitve	vacatures
zaposlitve	banen
zaposlitve	tewerkstelling
zaposlitve	werkgelegenheid
sivo	gray
sivo	grijze
sivo	grijs
sivo	grijze
sivo	grijs
sivo	grey
sod	barrel
sod	vat
sod	vat
prizor	scène
prizor	scene
vlakna	vezel
vlakna	vezels
vlakna	vezels
vlakna	vezel
vlakna	vezels
vlakna	vezels
izdelani	verzonnen
izdelani	gefabriceerd
keramike	keramiek
tarča	doel
tarča	doelwit
panis	panis
arizona	arizona
zmogljivosti	capaciteiten
zmogljivosti	capaciteit
zmogljivosti	capaciteit
zmogljivosti	capaciteiten
spektra	spectrum
santo	santo
dvoboj	duel
objavlja	publiceert
liverpool	liverpool
meč	degen
meč	zwaard
upanje	hoop
upanje	hopen
upanje	hope
grumman	grumman
avtomobilska	automotive
avtomobilska	automobiel
indeks	index
indeks	indexcijfer
indeks	indexeren
spoštovanje	respecteer
spoštovanje	respect
spoštovanje	respecteren
chapelle	chapelle
arheološki	archeologisch
arheološki	archeologische
arheološki	archeologisch
arheološki	archeologische
kraški	karst
definira	omschrijft
definira	definieert
eksplozije	explosie
eksplozije	ontploffing
eksplozije	explosies
demokratična	democratische
demokratična	democratisch
marin	marin
preostale	overgebleven
preostale	resterend
preostale	resterende
razvite	ontwikkelden
razvite	ontwikkelde
razvite	ontwikkeld
moralno	moreel
moralno	morele
moralno	moreel
moralno	moraal
negativni	negatieve
negativni	negatief
razni	diversen
razni	diverse
razni	divers
kalif	kalief
zadovoljstvo	bevrediging
zadovoljstvo	tevredenheid
zadovoljstvo	voldoening
zadovoljstvo	genoegen
zadovoljstvo	plezier
zadovoljstvo	genot
predpisi	verordeningen
predpisi	reglementen
predpisi	voorschriften
predpisi	rules
predpisi	regels
usmerjeno	geregisseerd
usmerjeno	gerichte
usmerjeno	regisseerde
delovalo	werkte
delovalo	gewerkt
hribi	bergen
hribi	heuvels
hribi	hills
oblačil	kleding
oblačil	kledij
igrišče	speelveld
igrišče	speeltuin
igrišče	speelplaats
administrator	beheerder
administrator	administrateur
klasifikacija	indeling
klasifikacija	classificatie
nosila	draagbaar
nosila	brancard
nosila	droegen
nosila	droeg
licenca	rijbewijs
licenca	licentie
licenca	vergunning
licenca	rijbewijs
licenca	licentie
ska	ska
tisoče	duizenden
ločitev	scheiding
ločitev	echtscheiding
ločitev	scheiden
ločitev	scheiding
ločitev	afscheiding
meritev	metingen
meritev	meting
meritev	meten
meritev	metingen
meritev	opmeten
mine	landmijnen
mine	mijnen
mine	mijnbouw
spopadov	confrontaties
patent	octrooi
patent	patent
opiše	beschrijft
organizacijske	organisatorisch
organizacijske	organisatorische
župnijo	parish
župnijo	freguesia
župnijo	parochie
glive	schimmels
tommy	tommy
obiskala	bezochten
obiskala	bezocht
obiskala	bezochte
bra	bh
bra	bra
bra	beha
težavah	moeilijkheidsgraad
težavah	moeilijkheden
težavah	moeilijkheid
doris	doris
primerni	geschikt
primerni	geschikte
auf	auf
hawker	hawker
tower	tower
tower	toren
odvisni	afhankelijke
odvisni	afhankelijk
dodajanje	toevoeging
dodajanje	optellen
dodajanje	toevoegen
dodajanje	toevoegen
