estimació	procjena
pietat	milost
phil	phil
andreas	andreas
somme	somme
joies	dragulja
antecedents	pozadinu
antecedents	pozadina
ryan	ryan
versalles	versailles
pica	pike
qualificació	rejting
búlgar	bugarski
deutsche	deutsche
albacete	albacete
susan	susan
convidats	gostiju
convidats	gosti
bàrbara	barbara
infern	pakao
infern	pakao
revolucionaris	revolucionara
lost	izgubljeni
lost	izgubila
lost	izgubljena
lost	izgubili
lost	izgubio
mini	mini
operar	posluju
filòsofs	filozofi
rosario	rosario
salvat	spasio
permanents	trajni
permanents	trajnim
permanents	stalna
permanents	stalne
modest	skroman
segments	segmentima
nikolai	nikolaj
nikolai	nikolay
marcos	markos
marcos	marcos
gestionar	upravljanje
amplitud	amplitude
inter	inter
especialitzats	specijalizovani
geologia	geologija
banca	banca
banca	klupi
banca	klupa
llars	domaćinstva
gall	pijetao
aristocràcia	aristokratija
piscina	bazen
atles	atlas
imdb	imdb
allegro	allegro
clars	jasni
clars	jasnih
clars	jasno
clars	jasna
clars	jasan
acusats	optuženi
acusats	optuženika
artesans	zanatlija
participacions	dionica
participacions	dijeli
marató	maraton
ànimes	duše
cec	slijepa
secretària	sekretar
feliç	sretan
feliç	sretna
feliç	happy
exiliats	izbjeglih
distribuïts	distribuiran
dalí	dalí
localitzar	lociraju
marino	marino
madame	madam
emigració	emigracija
multimèdia	multimedija
creades	kreirana
creades	stvoreno
creades	stvorena
creades	stvoren
creades	stvorio
fosfat	fosfat
ipa	ipa
enclavament	enklave
enclavament	enklavi
ferrara	ferrara
mag	mag
act	ponašaju
act	čin
act	akt
autobusos	autobusa
ovelles	ovca
ovelles	ovce
confirma	potvrdi
mariner	moreplovac
matilde	matilde
matilde	matilda
gloria	gloria
logotip	logo
infinit	beskonačno
infinit	beskonačnost
jason	jason
guerrer	ratnik
pineda	pineda
hist	hist
comandants	komandanti
perfecta	savršen
perfecta	savršena
charlotte	charlotte
actualització	update
rectes	pravo
cromosoma	hromosom
coca	coke
coca	kolu
coca	koka
coca	coca
inundacions	poplave
inundacions	poplava
sanz	sanz
salts	ronjenju
salts	skokova
groeneveld	groeneveld
gregorio	gregorio
milícia	vojnica
helen	helen
sergent	narednik
excavació	iskopavanja
legions	legija
kosovo	kosovo
emès	izdat
emès	izdana
emès	izdale
emès	izdata
emès	izdali
gots	goti
vaca	krava
econòmicament	ekonomski
sebastián	sebastian
ciment	cementa
ciment	cement
cadira	stolac
cadira	stolica
transbordador	trajekt
làser	laser
claudio	claudio
apòstol	apostol
progressiva	progresivni
quaderns	bilježnice
libro	libro
evita	evita
adhesió	članstvo
fum	dim
niu	gnijezdo
niu	niu
equivalents	ekvivalentu
consolat	konzulat
consolat	konzulata
masters	masters
wallace	wallace
amos	amos
amos	masters
peó	pješak
comissionat	povjerenika
comissionat	komesar
dotzena	dvanaestu
significatius	značajne
significatius	značajnom
significatius	značajna
significatius	značajan
significatius	značajno
significatius	značajnu
mon	mon
adquirida	stekao
erosió	erozije
verona	verona
hugh	hugh
lara	lara
simpson	simpson
implementació	implementaciju
guido	guido
robinson	robinson
cabells	dlaka
bemoll	ravan
bemoll	ravne
arturo	arturo
divuit	osamnaest
bobby	bobi
bobby	bobby
revelació	otkrovenje
estrasburg	strazburu
hort	smokvama
raúl	raúl
horda	horde
horda	horda
ibáñez	ibáñez
ajuntaments	općina
ajuntaments	općine
adolfo	adolfo
gneu	gnej
budisme	budizam
cretaci	krede
volant	leteći
sostingut	oštrim
sostingut	oštre
sostingut	oštru
sostingut	oštrog
sostingut	zadobio
bakr	bekr
oceans	okeanima
oceans	okeani
consorci	konzorcij
otan	nato
strunz	strunz
honda	honda
pastures	pašnjacima
empat	tie
desena	deseti
desena	deseta
aguda	akutni
aguda	akutne
compatible	kompatibilne
pastors	shepherds
telecomunicacions	telekomunikacije
morris	morris
side	strani
side	strana
consentiment	saglasnost
pàdua	padova
charente	charente
paradís	raj
caserna	kasarnu
caserna	kasarne
caserna	kasarni
caserna	kasarna
presentant	predstavljajući
laos	laos
kara	kara
llegendari	legendarna
llegendari	legendarni
adaptada	prilagođena
cristall	kristal
duo	duo
musa	musa
musa	muza
transparent	transparentno
olimpíada	olimpijada
acusacions	optužbe
auguste	auguste
potassi	kalij
espiral	spiralna
feminista	feminist
einstein	einstein
bitllets	ulaznice
bitllets	karte
escolta	slušaj
warren	warren
forçat	primorala
forçat	prisiljeni
forçat	primorana
forçat	prisiljen
forçat	primoran
forçat	primorao
quars	kvarc
quentin	quentin
garantia	garancija
eficient	efikasno
eficient	efikasnom
eficient	efikasan
eficient	efikasna
trilogia	trilogija
tonalitat	hue
electrodomèstics	aparata
consecutives	uzastopnih
gironès	platja
palerm	palermo
mòduls	modula
publ	publ
sorprenent	iznenađujuće
arrebossat	batter
pedrera	kamenolom
nenes	djevojke
nenes	girls
xbox	xbox
gaudeix	uživaju
gaudeix	uživati
llenç	platna
llenç	platno
operatius	operativni
operatius	operativne
operatius	operativan
atòmica	atomskih
atòmica	atomski
atòmica	atomska
exiliat	prognan
vladimir	vladimir
adolescent	tinejdžera
mònaco	monako
estalvis	uštedu
erik	erik
firma	potpis
balcans	balkan
conversa	razgovor
somnis	sanja
somnis	snovi
müller	müller
palmas	palmas
yusuf	yusuf
yusuf	jusuf
yusuf	jusufa
bari	barij
bari	bari
estratègies	strategije
estratègies	strategija
heidelberg	heidelberg
concedida	dalo
concedida	dat
homo	homo
margarita	margarita
minories	manjine
esprint	sprint
visigots	vizigote
conducció	vozeći
conducció	vožnje
xocolata	čokolada
disposicions	odredbe
disposicions	namirnice
disposicions	odredbama
disposicions	odredbi
rèptils	gmizavaca
edita	uredi
edita	uređivanje
noció	pojam
quintet	quintet
descripcions	opise
descripcions	opisa
bossa	kesa
bossa	bag
bossa	kesica
processador	procesor
nan	nan
württemberg	württemberg
capitalisme	kapitalizma
delegats	delegati
delegats	delegata
ambientals	okoliša
ambientals	ekološke
springs	izvorima
yuan	juana
prešov	prešov
barbus	barbus
begudes	pića
begudes	pije
challenge	izazov
challenge	challenge
amants	ljubavnici
amants	lovers
hàbit	habitus
afer	afera
derrotes	poraza
argila	glina
tunis	tunis
dallas	dallas
criminals	zločinaca
viatgers	putnici
viatgers	putnike
patinatge	klizanje
patinatge	klizanja
dennis	dennis
reims	reims
etimologia	etimologija
panteó	pantheon
bàltic	baltička
ronald	ronald
fórmules	formule
antàrtida	antarktik
intèrprets	izvođači
pioners	pioniri
eddie	eddie
eddie	edi
sentits	čulima
calent	hot
calent	vrelo
bateries	baterije
comunisme	komunizam
irene	irena
irene	irene
positius	pozitivna
positius	pozitivan
positius	pozitivne
positius	pozitivni
strauss	strauss
cerro	cerro
fabricat	proizvedena
rècords	rekordi
rècords	zapisi
ecologia	ekologija
baltimore	baltimore
nantes	nantes
sistemàtica	sistematskog
sistemàtica	sistematsko
tit	tit
brabant	brabant
combinacions	kombinacija
colin	colin
colin	kolin
estructurals	strukturalne
estructurals	strukturalnih
estructurals	strukturnih
lliura	vaga
lliura	funta
rita	rita
cries	potomaka
finalitats	svrhe
transformada	transformacija
transformada	transformiše
simètrica	simetrična
wellington	wellington
admetre	priznati
admetre	prizna
significatives	značajne
significatives	značajnom
significatives	značajna
significatives	značajan
significatives	značajno
significatives	značajnu
bush	bush
defensiu	odbrambene
defensiu	odbrambena
recompensa	nagrada
romàntica	romantična
cavitat	šupljina
exactes	tačan
pardo	pardo
fontaine	fontaine
salsa	sos
nielsen	nielsen
mostrava	pokazao
mostrava	pokazala
mostrava	pokazali
granit	granit
corredors	trkača
vinci	vinci
franca	franca
invertebrats	beskičmenjaci
iris	iris
harrison	harrison
nicholas	nicholas
retard	odlaganje
pascal	pascal
salzburg	salzburg
brooklyn	brooklyn
repeteix	ponovi
repeteix	petlja
valeri	valery
acceleració	ubrzanje
continents	kontinente
continents	kontinenti
cohen	cohen
embarcacions	brodove
embarcacions	brodovi
enciclopedia	enciclopedia
ravenna	ravenna
degà	din
glasgow	glasgow
clube	clube
conquerit	osvojio
conquerit	osvojen
mixt	mješovite
mixt	mješovita
abel	abel
formals	formalne
formals	formalna
formals	formalni
caracas	caracas
pelegrinatge	hadždž
convocatòria	call
convocatòria	poziv
bombai	bombaj
bombai	mumbai
anglo	anglosaksonski
anglo	anglo
direccions	pravci
direccions	pravcima
direccions	pravaca
cher	cher
escàndol	skandal
proveir	obezbijedi
proveir	obezbijediti
léon	léon
bucarest	bukurešt
concursos	takmičenjima
blaus	blues
américa	américa
polinomi	polinom
reg	navodnjavanje
serbis	srbi
regal	dar
regal	poklon
seleccionat	odabran
seleccionat	odabrano
seleccionat	odabrane
seleccionat	odabrana
num	num
croat	hrvatski
yahya	jahja
metz	metz
wikidata	wikipodaci
matt	met
matt	matt
abi	ebu
sortides	izlaze
supervisió	nadzorom
progressiu	progresivni
bots	bots
poderosos	moćna
poderosos	moćan
deep	duboka
deep	duboke
deep	duboko
deep	dubok
deep	deep
reflex	refleks
botó	dugme
extret	izručen
plens	pun
plens	full
plens	puna
plens	punom
plens	puni
plens	punu
ulster	ulster
calvo	bjeloglavi
calvo	calvo
armand	armand
hampshire	hampshire
màntua	mantua
seques	suho
veterans	veterana
julián	julian
julián	juliana
julián	julijanski
julián	julián
guàrdies	čuvari
bridge	most
vuitena	osmi
vuitena	osmo
dijous	četvrtak
baby	beba
baby	baby
baby	mala
reyes	reyes
mercader	trgovački
nomenats	imenovao
nomenats	imenovani
nomenats	imenovana
nomenats	imenovalo
gala	gala
cabana	kabine
cabana	kolibe
johns	johns
extensions	produžetke
darmstadt	darmstadt
integrats	integrisani
integrats	integralne
integrats	integrirana
integrats	integralno
integrats	integralni
cilindre	cilindar
pesos	tegove
inquisició	inkvizicija
ref	ref
celler	podrumu
ploma	pen
ploma	pero
ploma	hemijsku
ploma	perje
oman	oman
innovacions	inovacije
innovacions	inovacija
continuat	nastavljena
continuat	nastavila
continuat	nastavljen
continuat	nastavio
nits	noći
donades	dat
orador	orator
joão	joao
mani	mani
express	express
gov	gov
convencionals	konvencionalna
carnaval	karneval
yang	yang
desfer	undo
dominada	dominiraju
dominada	dominirali
ametlla	badem
obaga	umbrija
ucd	ucd
domèstic	domaće
domèstic	domaćem
domèstic	domaća
domèstic	domaći
mill	mlin
mill	mill
armstrong	armstrong
sky	sky
sky	nebo
reconstruït	obnovljena
esborrany	nacrtu
esborrany	nacrt
tesis	teze
tesis	teza
tor	tor
evitant	izbjegavanje
evitant	izbjegava
politècnica	politehničkom
grams	grama
schneider	schneider
montfort	montfort
responsabilitats	nadležnosti
responsabilitats	odgovornosti
plantacions	plantaže
subdivisió	ogranak
subdivisió	grana
meyer	meyer
desde	desde
facilita	olakšava
localment	lokalno
incidents	incidenata
incidents	incidente
lents	sočiva
valent	hrabri
convençut	uvjeren
feixista	fašističke
escalada	penje
escalada	usponom
atributs	atributi
eugène	eugène
berg	berg
resistents	otporne
banks	banke
pensant	misleći
mauritània	mauritanije
convocat	pozvalo
òptic	optički
òptic	optičko
ressonància	rezonanca
embaràs	trudnoća
alegria	radost
mineria	rudarstvo
siena	siena
cromosomes	hromozoma
ain	ain
guerrero	guerrero
hegemonia	hegemonije
demandes	zahtjevi
cadascú	svaki
cadascú	svaka
judicis	suđenjima
judicis	suđenja
alcaldes	gradonačelnici
grove	grove
apollo	apolon
elevar	podigne
plànol	avion
patates	krompir
metabolisme	metabolizam
caos	haos
hunter	lovac
hunter	hunter
hunter	lovca
jefferson	jefferson
obligacions	obaveza
cecília	cecilia
polo	polo
yes	jeste
yes	da
trento	trento
français	français
floyd	floyd
seients	mjesta
frau	prevaru
frau	prevare
frau	prevara
frau	prijevara
cantonades	uglovi
llimona	limun
sentia	osjetio
nervis	nerava
tolerància	tolerancija
tolerància	tolerancije
tolerància	toleranciji
phoenix	phoenix
diables	šejtani
suecs	šveđani
born	born
born	rođen
born	rođena
born	rođeni
amenaçat	zaprijetio
definicions	definicije
directori	direktorij
funeral	sahrane
felicitat	sreća
rares	rijetki
rares	rijetko
jura	jura
subgrup	subgroup
tallat	rez
tallat	smanjila
pronunciació	pronunciation
intencions	namjere
porxo	trijem
conill	zec
navegador	pregledač
navegador	preglednik
tia	chick
tia	tetka
tia	tia
banco	banco
textura	teksturi
ismail	ismail
émile	émile
successius	uzastopne
trobant	pronalaženje
trobant	nalaženje
trobant	nalaz
júlia	julia
júlia	julija
yves	yves
violació	silovanje
administratius	upravna
heavy	heavy
heavy	teški
heavy	težak
heavy	teška
heavy	teške
fantasma	duh
fantasma	duha
impedeix	sprječava
impedeix	sprečava
adquireix	stiče
after	nakon
protagonisme	istaknut
judaisme	judaizam
cuir	koža
vegas	vegas
peticions	zahtjevi
peticions	zahtjeva
exacte	tačan
maximilià	maksimilijan
maximilià	maximilian
senadors	senatora
àlies	zvani
huelva	huelva
mites	mitova
mites	mitovi
influents	uticajan
influents	uticajne
localitza	lociraju
cometa	kometa
iss	iss
nervi	nervni
conservats	proučena
detroit	detroit
legítim	legitimne
santi	santi
perdó	oprost
cruïlla	čvorište
serguei	sergey
serguei	sergej
harvey	harvey
julian	julian
julian	juliana
julian	julijanski
théâtre	théâtre
icona	ikona
electró	elektron
combinada	združeni
combinada	kombinovane
combinada	kombinaciji
combinada	kombinovao
arkansas	arkansas
mirador	mirador
horitzó	horizont
assetjada	opkoljenom
racional	racionalno
obligatori	obavezno
obligatori	obavezni
obligatori	obavezan
autobús	autobus
transmet	prenosi
congost	gorge
fàrmacs	droga
dimoni	šejtan
dimoni	demon
dimoni	demona
philadelphia	philadelphia
creadors	kreatori
fòssil	fosili
lucre	profit
lucre	dobit
académie	académie
mandíbula	vilica
soto	soto
autèntica	autentična
terços	trećine
leningrad	lenjingradska
ombres	sjene
físicament	fizički
terrible	užasni
atletes	sportista
atletes	sportisti
emocions	emocije
emocions	emocija
pobladors	naseljenici
pib	bdp
hubert	hubert
veterinari	vet
finalitza	završava
finalitza	završiti
gabon	gabona
orella	uho
chan	chan
mason	mason
benín	benin
championship	championship
championship	šampionat
championship	prvenstvo
amagat	skriven
amagat	skriveni
amagat	skrivena
suaus	meka
suaus	meku
pce	pce
rex	rex
vita	vita
teràpia	terapija
compilació	compilation
nòrdic	nordijska
nòrdic	nordijska
yale	yale
boris	boris
bahadur	bahadur
bey	beg
boles	jaja
boles	lopte
boles	kugle
decisiu	odlučujuća
hotels	hotela
hotels	hoteli
hotels	hotelima
custòdia	staranje
custòdia	pritvoru
calàbria	kalabrija
société	société
ensenyaments	časovi
ensenyaments	lekcije
jordània	jordan
puebla	puebla
introduïda	uvedeno
introduïda	uveo
introduïda	uveden
introduïda	uvedena
organitzen	organizuju
organitzen	organizovati
bravo	bravo
dante	dante
creien	vjerovali
prohibida	zabranila
prohibida	zabranio
prohibida	zabranjena
prohibida	zabranjeno
ballarina	dancer
dedicació	posvećenost
automàtic	automatsko
loire	loara
suggerit	kazao
genoma	genom
evidentment	evidentno
evidentment	očigledno
evidentment	očito
hàbits	navika
hàbits	navike
volts	volti
neil	neil
neil	nil
obstacles	prepreka
obstacles	prepreke
platí	platina
ven	prodaje
trípoli	tripoli
lliçons	časovi
lliçons	lekcije
datació	datiraju
corral	corral
vincenzo	vincenzo
olimpíades	olimpijada
viatja	putuje
domèstics	domaće
domèstics	domaćem
domèstics	domaća
domèstics	domaći
transformat	transformirao
transformat	pretvorena
xeic	šejh
terminals	tečni
constituent	konstitutivna
constituent	konstitutivnih
constituent	konstitutivne
hard	hard
hard	teško
mayer	mayer
danny	deni
danny	danny
let	nek
let	neka
granges	farmi
granges	farme
rumors	glasine
clorur	hlorid
node	čvor
aïllats	izolovano
aïllats	izolirani
aïllats	izolovana
inversions	ulaganja
inversions	investicija
inversions	investicije
madonna	madonna
heli	helij
caçador	lovac
caçador	hunter
caçador	lovca
educat	obrazovana
educat	obrazovani
perillós	opasnu
perillós	opasna
perillós	opasne
perillós	opasan
perillós	opasni
perillós	opasno
llicències	dozvole
millorat	poboljšanje
millorat	poboljšan
millorat	pojačan
pròxima	sljedeći
pròxima	narednu
pròxima	sledeći
pròxima	slijedeći
leon	lion
leon	leon
distintiu	karakterističan
distintiu	badge
debats	diskusija
debats	debatama
ferrari	ferrari
keith	keith
repetició	ponovi
repetició	ponavljanje
salvació	spas
confiar	trust
confiar	povjerenje
restant	preostali
restant	preostalih
restant	preostala
restant	preostale
contractes	ugovore
contractes	ugovorima
contractes	ugovori
pantalons	pantalone
pantalons	hlače
tinta	ink
tibet	tibet
hassan	hassan
hassan	hasan
plànols	ravan
plànols	ravne
dot	miraz
dot	tačka
continuada	nastavljena
continuada	nastavila
continuada	nastavljen
continuada	nastavio
culpable	kriv
culpable	krivicu
culpable	krivima
culpable	kriva
culpable	krivim
mares	majke
mares	majki
greix	masti
greix	fat
greix	debela
greix	masnoća
greix	masnoće
jin	jin
anunciat	najavljeno
anunciat	najavio
anunciat	objavio
anunciat	objavili
teòrics	teoretičari
lloguer	najma
lloguer	rent
compensació	kompenzacije
compensació	kompenzaciju
compensació	naknadu
compensació	naknade
jeanne	jeanne
tel	tel
projectar	projicira
incertae	incertae
reduint	smanjenjem
reduint	smanjenje
detectiu	detektiv
trompeta	truba
organitzador	organizator
comunicat	izvijestio
comunicat	prijavljeno
comunicat	prijavili
comunicat	izvještava
rates	pacova
ruth	ruth
loir	loir
rodalies	blizini
five	pet
funcionalitat	funkcionalnost
funcionalitat	funkcionalnosti
roi	roi
enter	cijelobrojni
fractura	frakture
chopin	chopina
implicats	uključen
sean	sean
entreteniment	zabava
constava	sastojao
constava	sastojala
eritrea	eritreja
genealogia	genealogija
ran	ran
mateo	mateo
inscrits	registrovan
inscrits	registrovana
llicenciatura	bachelor
mitridates	mitridat
umar	omer
treballador	radnik
plaer	zadovoljstvo
gene	gen
navegant	jedrenje
amnistia	amnesty
antilles	antili
hui	hui
aritmètica	aritmetika
planteja	predstavlja
planteja	povećava
planteja	podiže
monopoli	monopol
jay	jay
zinc	cink
guies	vodiča
guies	upućuje
perfecció	savršenstvo
perfecció	savršenstva
antònia	antonia
mantell	omotač
adona	shvata
acosta	acosta
sei	sei
lituà	litvanski
bei	bei
indians	indijci
indians	indijanci
electric	električna
electric	električni
clade	kladus
stefan	stefan
instituts	instituta
elefant	slon
fuentes	fuentes
absent	odsutan
powell	powell
zimbabwe	zimbabve
mitchell	mitchell
palla	straw
guardiola	guardiola
intel	intel
olis	ulja
mobiliari	namještaj
constructor	graditelj
atmosfèrica	atmosferski
obertament	otvoreno
dean	din
terry	terry
agricultors	poljoprivrednici
agricultors	poljoprivrednike
agricultors	poljoprivrednicima
pub	pub
aprova	odobrava
aprova	odobri
aprova	odobriti
aprova	odobri
mausoleu	mauzolej
experimentat	iskusila
experimentat	doživjelo
experimentat	doživio
experimentat	doživjela
berna	bern
tàctica	taktika
redactat	izrađena
redactat	izrađen
redactat	izradila
discriminació	diskriminaciju
discriminació	diskriminacije
discriminació	diskriminacija
