бретань	bretagne
священики	księży
священики	księża
священики	kler
закрита	zamknięty
закрита	nieczynne
закрита	zamknięte
закрита	zamknięta
кейт	kasia
кейт	kate
максимович	maksimović
складність	trudności
складність	trudność
складність	złożoność
складність	złożoności
марс	marsie
марс	marsa
марс	mars
бтр	btr
промінь	wiązka
промінь	promień
промінь	wiązki
зима	winter
зима	zimowy
зима	zimy
зима	zima
зима	zimowe
вирішувати	zdecydować
гельсінкі	helsinkach
біографічний	biograficzny
душ	prysznic
душ	dusz
душ	dusze
литві	litwy
литві	litwa
гост	gost
вагітності	ciąży
вагітності	ciężarna
професійні	zawodowe
професійні	zawodowych
професійні	profesjonalne
професійні	profesjonalna
професійні	profesjonalny
професійні	profesjonalnie
спільне	joint
спільне	wspólnego
спільне	wspólny
спільне	wspólna
спільне	wspólnej
спільне	wspólny
спільне	częste
спільне	często
спільне	wspólne
можлива	możliwy
можлива	mozliwe
можлива	możliwa
можлива	możliwe
йосиф	iosif
ярмарки	targi
ярмарки	targach
меншин	mniejszości
бондаренко	bondarenko
міцність	siłę
міцність	siły
міцність	siła
міцність	wytrzymałość
товщина	szerokość
товщина	szerokości
товщина	grubość
товщина	grubości
атак	napastników
піч	kuchenka
піч	kuchenki
піч	piec
піч	piec
піч	piec
пряма	wiersz
пряма	linia
пряма	line
пряма	linii
пряма	bezpośrednia
пряма	bezpośredni
пряма	bezpośrednie
пряма	direct
боки	boki
вказана	wskazał
вказана	wskazała
вказана	określony
вказана	określonych
вказана	podany
вказана	określono
валюти	walutę
валюти	waluty
валюти	waluta
валюти	walut
валюти	waluty
вагу	ciężary
вагу	wagi
вагу	ważenia
вагу	ważenie
вагу	ciężar
вагу	wagi
вагу	waga
випустили	zwolnione
випустили	wydane
випустили	wydany
випустили	zwolniony
випустили	wydana
відмовилися	opuszczony
відмовилися	porzucona
відмовилися	porzucony
відмовилися	porzucone
відмовилися	opuszczona
відмовилися	odmówił
відмовилися	odrzucona
відмовилися	odmówił
відмовилися	odmówiła
мостів	mosty
мостів	mostów
зелене	zieleń
зелене	zielony
зелене	zielono
зелене	zielona
зелене	zielone
гнізда	sloty
гнізда	gniazda
гнізда	gniazda
гнізда	gniazda
гнізда	gniazdo
гнізда	socket
дистриб	dystrybutorów
дистриб	dystrybutorzy
експозиція	narażenia
експозиція	ekspozycja
експозиція	narażenie
американців	amerykanie
американців	amerykanów
повстанці	rebeliantów
повстанці	rebelianci
повстанці	buntowników
седан	sedan
низька	niska
низька	niskie
низька	niski
низька	low
низька	nisko
марш	marche
марш	bagna
марш	bagno
марш	marsh
розробники	twórcy
розробники	deweloperów
лицар	rycerz
лицар	rycerze
лицар	skoczek
лицар	knight
розвиватися	ewoluować
порода	rasy
порода	rasa
порода	bydło
порти	portów
порти	porty
додає	doda
додає	dodaje
вілсон	wilson
вілсон	wilsona
нав	obsesje
нав	obsesji
нав	obsesję
нав	obsesja
зафіксовано	zamknięty
зафіксовано	zamknięte
зафіксовано	zablokowane
екземплярів	instancji
недавно	niedawno
недавно	ostatnio
раптом	nagle
кравченко	krawczenko
ефективно	skutecznie
ефективно	efektywnie
ефективно	efektywne
ефективно	skuteczny
ефективно	efektywna
ефективно	efektywny
ефективно	skuteczne
потоки	strumienie
потоки	strumieni
сбу	sbu
учасника	członka
учасника	członkowskie
учасника	członkiem
учасника	członek
більшовики	bolszewików
вокаліст	wokalista
найближчі	najbliższy
найближчі	najbliższych
найближчі	najbliższe
найближчі	najbliżej
дозволено	dozwolone
дозволено	dozwolony
дозволено	dozwolona
дозволено	dopuszczone
дозволено	dozwolone
дозволено	dozwolony
дозволено	dozwolona
дозволено	dopuszczone
виділено	zaznaczone
виділено	podkreślono
виділено	podkreślił
виділено	przydzielony
виділено	przyznane
виділено	przydzielone
виділено	przydzielona
додано	dodany
додано	dodano
додано	dodana
додано	dodane
датою	termin
датою	randka
датою	data
рабів	niewolników
рабів	niewolnicy
постійної	powtarzalne
злочин	przestępstwo
злочин	przestępczość
злочин	przestępstwa
злочин	zbrodnie
злочин	zbrodni
злочин	zbrodnia
більшого	większy
більшого	większa
більшого	większego
більшого	większe
полотно	płótna
полотно	płótno
полотно	płótnie
пуатьє	poitier
скорочено	krótki
скорочено	krótkie
скорочено	short
скорочено	krótko
скорочено	krótka
допомагають	pomaganie
допомагають	pomagam
стокгольм	sztokholmu
стокгольм	sztokholmie
рукопис	rękopis
комерційний	komercyjny
комерційний	komercyjne
хроніки	kroniki
хроніки	chronicles
автобусів	uderzające
гарнізон	garrison
матеріально	finansowo
сьєрра	sierra
апостолів	posłańcy
апостолів	posłańców
оператори	podmioty
оператори	operatorów
оператори	operatorzy
прикраси	biżuterii
прикраси	biżuteria
прикраси	bling
прикраси	ozdoba
прикраси	biżuterii
прикраси	biżuteria
прикраси	biżuterię
прикраси	cukierki
прикраси	candy
прикраси	cukierek
прикраси	słodycze
конференцій	konferencje
витоків	przeciek
витоків	wyciek
починаються	uruchamianie
починаються	zaczyna
починаються	rozpoczęcie
починаються	zaczynamy
починаються	początek
екран	ekran
екран	ekranu
екран	ekranie
стратегія	strategia
стратегія	strategii
економічне	gospodarcza
економічне	ekonomiczne
економічне	gospodarcze
економічне	ekonomiczna
економічне	ekonomiczny
економічне	ekonomiczna
економічне	ekonomiczny
арабських	arab
арабських	arabskie
арабських	arabski
арабських	arabskich
альманах	almanach
франк	frank
франк	franka
франк	franc
франк	franck
мама	mama
мама	mama
мама	mamusia
мама	mamo
мама	mama
мама	mamuśka
мама	mamusia
богиня	bogini
публічно	publicznie
валовий	brutto
псевдо	pseudo
арешт	areszt
арешт	aresztowanie
арешт	aresztowany
підйом	wspinaczka
одесса	odessie
кримський	krym
кримський	krymskiej
сел	sala
сел	sal
льюїс	lewis
льюїс	lewisa
овернь	auvergne
заявки	oferty
носити	załóż
носити	nosić
розширити	poszerzyć
розширити	rozszerzyć
розширити	rozwinąć
підземні	podziemne
підземні	podziemny
підземні	podziemia
індустрії	industries
змінили	zmieniono
змінили	zmienione
змінили	zmieniona
змінили	zmieniony
поїздки	wyjazdy
поїздки	wycieczki
передні	front
передні	przodu
передні	przód
маяк	latarni
магістр	magister
магістр	mistrz
магістр	mistrzu
донбас	donbas
вбив	zabici
вбив	zabił
вбив	zabita
вбив	zabity
демонстрації	demos
демонстрації	demo
демонстрації	demonstracje
демонстрації	demonstracji
демонстрації	showcase
прикладу	przykładowy
прикладу	przykładowe
прикладу	przykład
приватний	private
приватний	prywatne
приватний	szeregowy
приватний	prywatna
приватний	prywatny
заборони	zabrania
заборони	zakazuje
заборони	zakazu
заборони	zakazy
заборони	zakaz
бактерії	bakterie
бактерії	bakterii
бактерії	bakteria
шаром	warstwa
шаром	warstwy
хроніка	chronicle
яно	jana
кевін	kevina
кевін	kevin
кевін	kevinem
віллі	willy
віллі	willy
віллі	willie
угод	umowy
угод	porozumienia
угод	umów
високе	wysoka
високе	wysokie
високе	high
високе	wysoki
високе	wysoko
наполеон	napoleon
космічні	kosmiczne
космічні	kosmiczna
космічні	kosmiczny
торф	torfu
марта	marta
марта	marta
марта	martha
марта	marto
розвідка	wywiad
розвідка	wywiadu
розвідка	inteligencja
розвідка	rozpoznanie
розвідка	zwiad
розвідка	rekonesans
волокна	włókna
волокна	włókno
волокна	włókna
волокна	włókien
обрана	rozbieżne
мез	meuse
мез	mez
перегляд	przeglądanie
перегляд	przeglądania
перегляд	przeglądać
перегляд	podgląd
перегляд	widok
перегляд	zobacz
ведучий	prezenter
ведучий	ołów
ведучий	prowadź
ведучий	ołowiu
прип	prypeci
приєдналися	połączone
приєдналися	dołączyła
приєдналися	dołączył
приєдналися	dołączenie
процедура	postępowanie
процедура	procedura
процедура	procedury
гамма	gamma
воїни	wojowników
воїни	wojownicy
небагато	nieliczni
небагато	kilka
небагато	niewielu
важка	twardy
важка	hard
важка	ciężko
важка	twarde
важка	twarda
щиро	szczerze
щиро	szczere
щиро	szczery
щиро	czule
дипломатичних	dyplomatycznych
дипломатичних	dyplomatyczne
дипломатичних	dyplomatyczny
дипломатичних	dyplomatycznej
композицію	ścieżka
композицію	utwór
композицію	tor
композицію	toru
норма	norma
норма	normę
норма	norma
норма	normę
норма	normy
норма	norm
продажі	sprzedaż
продажі	sprzedaży
ввести	wejdź
ввести	enter
бур	bourg
бур	boer
бур	wiertło
бур	drill
визначив	rozpoznał
визначив	uznany
визначив	uznawane
визначив	uznane
визначив	uznana
листування	dyskusyjnej
складові	składniki
складові	składników
салон	salon
дівчинка	dziewczyna
дівчинка	dziewczyny
дівчинка	dziewczynka
дівчинка	dziewczyno
спадок	dziedzictwo
голландії	holandii
голландії	holland
голландії	holandia
піски	piaski
піски	sands
виготовлено	wyprodukowane
виготовлено	wytworzone
виготовлено	wyprodukowano
виготовлено	wyprodukowany
виготовлено	produkowane
виготовлено	wytwórca
виготовлено	producent
виготовлено	producenta
боєприпасів	amunicja
боєприпасів	amunicję
боєприпасів	amunicji
ферма	farma
ферма	farmie
ферма	gospodarstwa
ферма	gospodarstwo
оперативного	operacyjny
оперативного	operacyjnych
оперативного	operacyjne
оперативного	sprawny
посиланням	łącze
посиланням	link
посиланням	ogniwo
посиланням	odnośnik
таємно	potajemnie
таємно	sekret
таємно	secret
таємно	tajne
таємно	tajemnica
незалежна	niezależny
незалежна	niezależnych
незалежна	niezależni
незалежна	niezależna
незалежна	niezależne
впав	spadł
впав	spadła
впав	upadła
впав	upadł
садів	ogrody
садів	ogrodów
гектарів	hektarów
пауль	pawel
пауль	paweł
шведська	szwedzki
шведська	szwedzkie
шведська	szwedzka
онук	wnuka
онук	wnuk
онук	wnukiem
кроком	step
кроком	krok
імператорів	cesarzy
точність	precyzji
точність	dokładność
точність	precyzyjne
точність	precyzja
точність	ułamek
точність	frakcja
точність	dokładność
точність	dokładności
прихильником	kibic
зникає	zniknie
зникає	znika
гірничо	agh
вірмени	ormian
іще	inny
бангладеш	bangladeszu
ворожих	wrogo
ворожих	wróg
ворожих	nieprzyjaciel
ворожих	wrogie
ворожих	wrogi
сприяти	ułatwić
сприяти	ułatwienia
сприяти	ułatwia
сприяти	ułatwiają
сприяти	ułatwienie
експерименти	eksperymentów
експерименти	eksperymenty
мікеланджело	michelangelo
поглинання	nabycia
поглинання	przejęcia
поглинання	nabywanie
поглинання	nabycie
поглинання	przejęć
поглинання	przejęcia
поглинання	przejęcie
покажчик	indeks
покажчик	spis
покажчик	wskaźnik
покажчик	indeksu
давній	starożytny
давній	starożytnych
давній	starożytni
давній	starożytna
давній	starożytne
спробувати	spróbuj
міграції	migracja
міграції	migracji
продажів	sprzedaż
продажів	sprzedaży
індійський	indyjskie
індійський	indian
індійський	indianin
індійський	indyjska
індійський	indyjski
еміль	emile
еміль	emil
еміль	émile
каменів	kamienie
вузли	rówieśników
вузли	gospodarzy
вузли	węzłów
вузли	węzły
літер	pisma
літер	liter
літер	listy
літер	litery
організована	zorganizowany
організована	zorganizowanej
організована	zorganizowane
організована	zorganizowana
обкладинка	okładki
обкладинка	okładka
обкладинка	pokrycie
збирати	zebrać
бурі	burze
трасі	tracy
сірі	siwy
сірі	gray
сірі	szary
сірі	szara
сірі	szare
сірі	siri
різниці	różnica
різниці	różnice
розпочати	start
розпочати	rozpoczęcie
розпочати	zacznij
розпочати	początek
розпочати	zainicjować
газетах	gazet
газетах	gazety
страх	strachu
страх	strach
страх	lęk
детектив	detektyw
детектив	detektywie
географічний	geograficzne
географічний	geograficzna
географічний	geograficzny
словники	słowniki
гине	umiera
володарі	roszczenia
володарі	roszczenie
володарі	twierdzenie
володарі	twierdzą
вбили	zabici
вбили	zabił
вбили	zabita
вбили	zabity
такао	takao
службовців	pracowników
службовців	pracownicy
перерви	break
перерви	przerwa
перерви	złamać
орла	orła
орла	eagle
орла	orzeł
класична	klasycznego
класична	klasyka
класична	klasyczna
класична	klasyczny
класична	klasyczne
класична	klasyk
класична	klasyka
класична	klasyczny
класична	classic
класична	klasyczne
помирає	umiera
гордон	gordon
гордон	gordona
кроки	kroków
кроки	stopnie
кроки	etapy
кроки	schody
кроки	kroki
поради	rady
поради	porady
поради	podpowiedzi
поради	porady
поради	końcówki
поради	wskazówki
живі	żyjący
живі	żywe
послання	list
лиман	liman
лиман	ujścia
винищувач	blaster
винищувач	zawodnik
винищувач	wojownik
винищувач	myśliwiec
косово	kosowo
косово	kosowa
землеробства	hodowla
землеробства	rolnictwo
дуглас	douglass
дуглас	douglas
девіс	davis
девіс	davisa
девіс	davies
тертя	tarcia
посуд	naczynia
накопичення	akumulacji
папуа	papua
сірки	brimstone
осінь	jesień
осінь	jesieni
осінь	upadek
осінь	jesień
юзеф	józef
рекомендується	zalecany
рекомендується	zalecana
рекомендується	zalecane
рекомендується	polecane
пфальц	palatynat
стандартний	standardowy
стандартний	standardowa
стандартний	norma
стандартний	standardowe
стандартний	standard
душа	duszę
душа	dusza
душа	dusze
душа	soul
душа	duszy
гризунів	gryzoni
прим	prim
паоло	paolo
ефір	nadawca
савченко	sawczenko
гвинтівки	strzelby
гвинтівки	karabiny
гвинтівки	karabin
гвинтівки	strzelba
закрито	zamknięty
закрито	nieczynne
закрито	zamknięte
закрито	zamknięta
алгоритми	algorytmy
кіпр	cypr
виклик	wyzwanie
виклик	challenge
виклик	wyzwania
виклик	defiance
пакистану	pakistan
пакистану	pakistanie
пакистану	pakistanu
австралійський	australian
австралійський	australii
австралійський	australijski
вклад	składka
вклад	wkład
мозок	mózg
мозок	rozum
мозок	umysł
мозок	mózgu
гніздо	slot
гніздо	gniazdo
гніздо	gniazda
гніздо	gniazdo
безкоштовно	wolne
безкоштовно	wolna
безкоштовно	wolny
безкоштовно	bezpłatne
безкоштовно	free
тепло	ciepła
тепло	ciepło
тепло	ciepły
тепло	ciepła
тепло	ciepło
прояви	rasistowskie
прояви	rasizm
осло	oslo
принесли	przyniósł
спини	sandy
ботанік	botanik
ріст	rozwój
ріст	wzrostu
ріст	wzrost
передмісті	przedmieściach
передмісті	przedmieścia
відійшли	złamał
відійшли	pękła
кристали	kryształy
кристали	kryształów
мартіна	martina
мартіна	martyna
інтерпретації	interpretacji
ковальчук	kowalczuk
комунікацій	komunikaty
комунікацій	łączności
комунікацій	komunikacja
комунікацій	komunikacji
комунікацій	łączność
мадонна	madonna
мадонна	madonny
спільну	udostępnił
спільну	udostępnione
спільну	wspólny
спільну	udostępniony
спільну	wspólne
небезпеку	niebezpieczeństwa
саксонія	saksonii
саксонія	saksonia
пожежа	ogień
пожежа	pożar
підвіска	zawiesina
підвіска	zawieszenie
підвіска	zawiesiny
підвіска	zawieszenia
дехто	niektóre
дехто	niektórzy
дехто	trochę
сумніви	wątpliwość
сумніви	wątpliwości
всеволод	wsiewołod
гребля	tamy
гребля	zapora
гребля	tama
гребля	dam
оснащений	podwójne
чоловічі	samiec
чоловічі	męskie
чоловічі	męska
чоловічі	męski
чоловічі	mężczyzna
купив	kupione
купив	kupił
купив	kupiony
купив	kupiła
політикою	polityka
політикою	polityki
бухарест	bukareszcie
вибрати	wybierz
вибрати	zaznacz
вибрати	wybierz
унікальні	unikalne
унікальні	unikatowe
унікальні	unikalny
унікальні	wyjątkowy
унікальні	niepowtarzalny
чиновників	urzędników
чиновників	urzędnicy
оцінити	ocenić
оцінити	oceni
оцінити	stawki
оцінити	stawka
оцінити	stopa
небезпеки	niebezpieczeństwie
небезпеки	zagrożenie
небезпеки	niebezpieczeństwo
архіви	archiwa
архіви	archiwum
статевий	genitaliów
статевий	seksualna
статевий	seksualny
статевий	seksualne
статевий	seksualnie
передня	przedniej
передня	przednie
передня	przedni
відійшов	dala
відійшов	odzyskane
ісус	jezu
ісус	jezus
теоретично	teoretycznie
вчителі	nauczycielom
вчителі	nauczyciele
вчителі	nauczycielki
вчителі	nauczycieli
однакові	identyczne
однакові	identyczny
однакові	identyczna
секс	płci
секс	płeć
секс	seksu
секс	seks
секс	sex
чутки	plotki
чутки	pogłoski
чутки	plotki
чутки	pogłoski
чутки	plotka
чутки	pogłoski
несуть	noszenie
несуть	przewożących
несуть	niósł
несуть	przewożonych
несуть	przewożone
крістофер	christopher
крістофер	krzysztof
методика	techniki
методика	technika
пейзаж	krajobraz
пейзаж	krajobrazy
джаз	jazz
джаз	jazzu
уельсу	walii
сантиметрів	centymetry
сантиметрів	centymetrów
сантиметрів	centymetry
сантиметрів	centymetrów
едді	eddie
едді	eddiego
едді	eddy
бомби	bomb
бомби	bomby
закладено	zapewnia
закладено	dostarcza
віки	wieki
німеччину	niemcami
німеччину	niemcy
фасаді	kontrowersyjne
менеджмент	management
менеджмент	zarządzanie
менеджмент	kierownictwo
менеджмент	zarząd
менеджмент	zarządzania
говард	howard
течія	prąd
течія	bieżące
течія	aktualne
течія	bieżący
течія	aktualny
течія	flux
робітники	pracowników
робітники	pracownicy
робітники	robotnicy
розмови	rozmów
розмови	konwersacji
розмови	rozmowy
розмови	rozmowę
розмови	rozmowy
розмови	rozmowa
розмови	konwersacji
відмовляється	odmówi
відмовляється	odmawia
бойовиків	bojowników
біженців	uchodźców
біженців	uchodźcy
біженців	uchodźców
біженців	uchodźcy
корона	koronę
корона	crown
корона	korony
корона	korona
фотографій	fotografie
сантьяго	santiago
однаково	równo
пори	porów
змій	węże
комуністична	komunistycznej
комуністична	komunistą
комуністична	komunistyczna
комуністична	komuniści
тропічні	tropikalnych
тропічні	tropikalne
етимологія	etymologia
преса	prasa
преса	prasie
преса	naciśnij
преса	prasy
ціль	cel
ціль	docelowe
ціль	cel
ціль	target
добровільно	dobrowolnie
добровільно	dobrowolnie
добровільно	umyślnie
добровільно	celowo
добровільно	dobrowolne
добровільно	wolontariat
добровільно	dobrowolnie
добровільно	dobrowolny
добровільно	dobrowolnego
підтримується	wspierany
підтримується	obsługiwany
підтримується	wspierane
підтримується	obsługiwane
пізно	późna
пізно	późny
пізно	późno
вдвічі	dwukrotnie
переселенців	przesiedlonych
блакитний	blue
блакитний	niebieski
блакитний	niebieska
блакитний	niebieskie
блакитний	cyan
тель	tel
коди	kodów
коди	kody
пенсії	emeryturę
пенсії	emerytura
пенсії	emerytury
бойове	zwalczanie
бойове	walce
бойове	zwalczania
бойове	walki
гурток	kręgu
гурток	okrąg
гурток	koło
гурток	krąg
гурток	circle
моменти	moments
моменти	chwile
моменти	chwil
моменти	momenty
моменти	momentami
вилча	vâlcea
затемнення	zaćmienie
лавки	ławy
лавки	ławki
наближення	zbliżenie
тріо	trio
гагаріна	gagarin
сорока	pica
читача	obserwujących
читача	wyznawcą
трави	trawę
трави	trawka
трави	trawy
трави	trawa
діагностики	diagnostyka
еволюція	ewolucja
еволюція	ewolucję
еволюція	ewolucji
інтелектуальної	intelektualnej
груповий	grupie
груповий	grupy
груповий	grupa
церковної	kościelnych
викладає	uczy
амстердам	amsterdam
порушує	narusza
перебіг	wpływ
перебіг	wpływy
вимагав	zażądał
жуків	robaki
жуків	błędy
жуків	owady
рів	reeve
клієнт	klienci
клієнт	klienta
клієнт	klient
клієнт	klientka
клієнт	klienta
клієнт	klient
клієнт	klientka
сервіс	usługi
сервіс	służba
сервіс	obsługa
сервіс	serwis
придбати	zakup
придбати	zakupu
придбати	kupno
придбати	kupić
придбати	kup
гвардійська	straże
гвардійська	straż
гвардійська	strażnicy
мінську	mińsku
тварина	zwierząt
тварина	zwierzak
тварина	zwierzęta
тварина	zwierzę
різдво	szopka
різдво	narodzenia
різдво	gwiazdka
різдво	święta
декоративні	ozdobnych
декоративні	ozdobne
молитви	modlitwa
молитви	modlitw
молитви	modły
молитви	modlitwy
проста	prosty
проста	prosta
проста	proste
собаки	psy
собаки	psów
собаки	pieski
фантастичний	fantastyczny
фантастичний	fantastyczne
фантастичний	fantastyczna
фантастичний	fantastycznie
виробника	sprzedawca
виробника	sprzedawcy
студію	studia
студію	studio
царі	magi
реставрація	przywrócenie
реставрація	odbudowa
реставрація	odtworzenie
реставрація	przywrócenia
проникнення	penetracji
проникнення	infiltracji
презентація	prezentacja
презентація	prezentacji
презентація	prezentacje
диких	wild
диких	dziki
диких	dziko
диких	dzika
диких	dzikie
маркса	marx
маркса	marks
отриманий	otrzymała
отриманий	otrzymana
отриманий	otrzymano
отриманий	otrzymany
отриманий	otrzymane
ново	novo
бад	pączek
бад	buda
бад	bud
обстрілу	ostrzał
чоловічого	męski
феодосія	teodozja
перевірка	sprawdzamy
перевірка	sprawdzam
перевірка	sprawdzanie
перевірка	sprawdzenie
перевірка	sprawdzenie
перевірка	weryfikacja
перевірка	weryfikacji
перевірка	test
перевірка	badanie
перевірка	testy
перевірка	próba
перевірка	zatwierdzanie
перевірка	zatwierdzenie
перевірка	walidacji
заяви	stwierdzenia
заяви	deklaracje
заяви	oświadczenia
сидіння	fotele
сидіння	siedzenia
гості	gości
гості	goście
представив	wprowadzone
представив	wprowadzono
представив	wprowadzony
представив	wprowadzona
розбіжності	diff
розбіжності	różnica
турецька	turecka
турецька	tureckie
турецька	turecki
міфів	mity
барон	baronie
барон	baron
барон	barona
операціях	manewry
відправляється	odbiega
відправляється	odejście
відправляється	odchodzi
відправляється	wyjazd
відправляється	pozostawienie
відправляється	zostawiając
відправляється	opuszczenie
бруно	bruno
визнає	przyznaje
визнає	uznać
визнає	rozpoznają
визнає	uznają
визнає	uznawać
північне	północ
північне	północna
північне	północne
північне	północnej
північне	północny
напруга	napięcia
напруга	napięcie
залишитися	zostań
залишитися	zostać
міссурі	missouri
піраміди	piramidy
додавати	dodać
додавати	dodawać
додавати	dodaj
вектор	wektor
братство	bractwa
братство	braterstwo
братство	bractwo
братство	bractwa
братство	braterstwo
братство	bractwo
ланцюг	łańcuchy
ланцюг	łańcuch
ланцюг	łańcucha
ланцюг	łańcuszek
довів	udowodniła
довів	udowodnił
паспорт	paszport
паспорт	paszportu
позитивно	pozytywna
позитивно	pozytywne
позитивно	dodatni
позитивно	pozytywnie
позитивно	pozytywny
позитивно	pozytywnie
підродина	podrodziny
внутрішнє	wewnętrzny
внутрішнє	wewnętrznego
внутрішнє	wewnętrzne
внутрішнє	wewnętrzna
внутрішнє	wewnętrzny
внутрішнє	wewnętrzna
практична	praktyczne
практична	praktyczna
практична	praktyczny
кетрін	kathryn
кетрін	katharine
кетрін	katherine
кетрін	katarzyna
сау	sau
панель	panelu
панель	panel
вихідні	weekendy
вихідні	weekendu
вихідні	weekend
вихідні	wychodzących
вихідні	wychodzące
массачусетс	massachusetts
зсу	zsu
лавка	ławki
лавка	ławkę
лавка	ławce
стрічці	aktualności
стрічці	pasza
стрічці	paszy
стрічці	pasz
настає	przerw
настає	przerwy
настає	łamie
настає	pęka
оцінкою	rating
оцінкою	ocena
оцінкою	ranking
зазначає	wymienionych
зазначає	wymienione
венесуели	wenezuela
шанс	szansę
шанс	szanse
шанс	chance
шанс	szansa
арнольд	arnold
підпілля	podziemne
підпілля	podziemny
підпілля	podziemia
навчальному	najprościej
навчальному	najłatwiej
евакуації	ewakuować
виправлення	korekt
виправлення	poprawki
виправлення	korekty
виправлення	korygowania
виправлення	ustala
виправлення	naprawia
гар	gard
збільшує	zwiększa
збільшує	podwyżki
гаїті	haiti
заборона	zabronione
заборона	zakazany
заборона	zakazane
заборона	zakazu
заборона	zakazy
заборона	zakaz
пакистан	pakistan
пакистан	pakistanie
пакистан	pakistanu
легіон	legion
легіон	legia
полотна	płótna
полотна	płótno
полотна	płótnie
позначають	wskazywać
позначають	wskazać
позначають	wskazują
