சிண்டிகேட்	sindicato
க்ரிஸ்	chris
பார்ப்பதை	ver
பார்ப்பதை	vendo
சுத்தியல்	martelo
மொசார்ட்	mozart
அவிழ்த்து	desatádeme
முயற்சிக்கிறேன்	tentando
முயற்சிக்கிறேன்	intentando
உடைத்த	a
உடைத்த	rompeu
உடைத்த	crebou
உடைத்த	entraron
உடைத்த	rompín
கேட்கப்பட்டது	pregunteille
கேட்கப்பட்டது	preguntou
கேட்கப்பட்டது	lle
விழுவது	a
விழுவது	namorarse
விழுவது	caendo
விழுவது	derrube
விழுவது	ardendo
ஜெபம்	oración
துணிச்சல்	se
துணிச்சல்	atreven
துணிச்சல்	a
தோற்றமுரண்	paradoxo
கோபமாக	enfadado
கோபமாக	anoxados
கோபமாக	anoxado
கோபமாக	enfadada
எதுவாயினும்	que
எதுவாயினும்	calquera
எதுவாயினும்	sexa
எதுவாயினும்	o
எதுவாயினும்	agarimosa
பிரகாசமாக	e
பிரகாசமாக	brillantes
பிரகாசமாக	brillante
மகனுடன்	fillo
தண்ணீரைக்	auga
சாப்பிட்ட	comemos
சாப்பிட்ட	comín
சாப்பிட்ட	comeu
சாப்பிட்ட	comiches
சாப்பிட்ட	hoxe
சாப்பிட்ட	comín
மலர்களால்	flor
இணையதளத்தை	sitio
இணையதளத்தை	web
இணையதளத்தை	páxina
சிட்டிசன்	cidadán
ரம்	ron
பிராவோ	bravo
கையகப்படுத்துதல்	adquisición
பிட்ஸ்	partes
பிட்ஸ்	pezas
ரேசிங்	de
ரேசிங்	carreiras
வீணான	improdutivo
ஆசீர்வாதம்	bendición
ஆசீர்வாதம்	beizón
மூச்சில்	abaneo
மூச்சில்	xuntas
காலியான	baleira
காலியான	baleiro
காலியான	baleiras
காலியான	valeiro
பாதிக்கப்படக்கூடிய	vulnerables
பாதிக்கப்படக்கூடிய	vulnerable
அழிய	destrúen
அழிய	os
அழிய	destruír
அழிய	destruílo
அழிய	seguros
அழிய	destrúe
டிக்கெட்	billete
டிக்கெட்	boleto
டிக்கெட்	para
டிக்கெட்	liscar
மீட்டெடுக்க	recuperar
டைவிங்	mergullar
கொள்ளைநோய்	epidemia
விருந்தாளி	convidado
விருந்தாளி	invitado
மூடியது	pechada
மூடியது	pechado
மூடியது	pechou
மூடியது	pechados
மூடியது	sondaxes
பயிற்சிபெற்ற	adestrados
பயிற்சிபெற்ற	para
பயிற்சிபெற்ற	adestrada
பயிற்சிபெற்ற	adestrado
தோள்கள்	ombros
குறிப்பிடுங்கள்	mencionar
குறிப்பிடுங்கள்	mención
குடித்துவிட்டு	bébedo
குடித்துவிட்டு	emborrachar
குடித்துவிட்டு	bébeda
குடித்துவிட்டு	un
குடித்துவிட்டு	bébedos
குடித்துவிட்டு	emborracheime
பென்ட்லி	bentley
வழக்கமானது	estándar
வழக்கமானது	de
வழக்கமானது	regularmente
வழக்கமானது	normal
வழக்கமானது	típica
வழக்கமானது	de
வழக்கமானது	taxis
வழக்கமானது	regular
உணர்ச்சிகரமான	vos
உணர்ச்சிகரமான	apaixonada
சிக்னல்கள்	sinais
அர்த்தத்தை	significado
அர்த்தத்தை	sentido
அர்த்தத்தை	que
அர்த்தத்தை	significa
அர்த்தத்தை	explican
அர்த்தத்தை	o
பிரமாண்ட	un
பிரமாண்ட	xigantes
பிரமாண்ட	xigante
ஸ்பாட்	lugar
ஸ்பாட்	momento
ஸ்பாட்	punto
ஸ்பாட்	sobre
மூக்கை	nariz
மூக்கை	o
மூக்கை	no
உணவான	envelenáronme
படுக்கையறை	dormitorio
படுக்கையறை	cuarto
சிரித்து	rir
சிரித்து	de
சிரித்து	nunca
ரஷ்யர்கள்	rusos
ரஷ்யர்கள்	os
லீமா	lima
நுழைதல்	penetrar
காணுங்கள்	ver
காணுங்கள்	mirade
காணுங்கள்	coidado
காணுங்கள்	ten
கோழை	covarde
கலோரிகள்	calorías
பெருமையாக	orgullosa
பெருமையாக	orgullosos
பெருமையாக	de
பெருமையாக	orgulloso
பெருமையாக	fachendoso
பொம்மையை	boneca
திற	aberta
திற	abertos
திற	abrir
திற	aberto
திற	abre
திற	abra
பற்றை	proba
கழிப்பறை	baño
நிழலை	sombra
தமிழச்சி	antiga
தமிழச்சி	antigas
தமிழச்சி	antigo
தமிழச்சி	antigos
பப்	bar
சாண்ட்ரா	sandra
பட்டிகள்	reixas
உற்சாகமாக	fan
உற்சாகமாக	emocionado
உற்சாகமாக	ilusionado
நண்பா	amigo
நண்பா	colega
நண்பா	compañeiro
முடியாதா	imposible
முடியாதா	imposíbel
லேட்	tarde
பிறந்தநாளை	aniversario
மோசம்	pobre
மோசம்	pobres
மோசம்	mala
மோசம்	malos
மோசம்	mal
மோசம்	malas
மோசம்	malo
மோசம்	mágoa
அழி	claro
அழி	clara
அழி	claras
ரன்னிங்	correr
ரன்னிங்	correndo
ரன்னிங்	a
அவசரம்	urxente
சேமிப்பகம்	almacenamento
சேமிப்பகம்	consigna
பயன்படுத்து	uso
பயன்படுத்து	usamos
பயன்படுத்து	usar
பயன்படுத்து	usan
விரும்பு	como
விரும்பு	coma
விரும்பு	así
இழப்பது	perdendo
இழப்பது	a
இழப்பது	perder
இழப்பது	perdeu
பாசிசம்	fascismo
பாசிசம்	o
சாத்தியமா	posible
சாத்தியமா	sexa
சாத்தியமா	posíbel
இவண்	de
இவண்	por
இவண்	pola
இவண்	polo
பயங்கரமாக	medo
பயங்கரமாக	horríbel
சம்பளப்	nómina
கொழுப்புக்கள்	fats
ஸ்கேனர்	escáner
மரியே	mary
மரியே	maría
காண்கிறேன்	ver
காண்கிறேன்	vexo
பீசா	pizza
விவரக்	permitíndonos
நகர்த்து	mover
நகர்த்து	moverse
நகர்த்து	a
ஹீரோக்கள்	heroes
ஹீரோக்கள்	son
ஹீரோக்கள்	heroínas
இருட்டு	escuras
இருட்டு	escuro
இருட்டு	escura
இருட்டு	escuridade
இருட்டு	noite
இருட்டு	escuridade
நிகழ்வைப்	acontecemento
நிகழ்வைப்	de
நிகழ்வைப்	eventos
நிகழ்வைப்	evento
நிகழ்வைப்	suceso
செதுக்கு	cultivos
ஷாப்பிங்	compras
ஷாப்பிங்	mercar
வரவேற்கிறோம்	benvida
வரவேற்கிறோம்	benvido
வரவேற்கிறோம்	benvidos
வரவேற்கிறோம்	a
வரவேற்கிறோம்	nada
வசந்தகால	primavera
வசந்தகால	a
யாருமில்லை	ninguén
யாருமில்லை	non
யாருமில்லை	a
வார்த்தைகளால்	palabras
வார்த்தைகளால்	as
வார்த்தைகளால்	verbas
மறைந்துள்ள	oculto
மறைந்துள்ள	oculta
மறைந்துள்ள	ocultas
மறைந்துள்ள	escondidos
மறைந்துள்ள	escondidas
கூட்டமும்	multitude
கூட்டமும்	masa
கூட்டமும்	vista
கூட்டமும்	xente
நீரா	resulta
நீரா	que
நீரா	volta
தலைவா	xefe
தலைவா	patrón
கிளாரினெட்	clarinete
கிளாரினெட்	o
ஹோமர்	homer
பிழைக்க	sobrevivir
பிழைக்க	sobrevivimos
பிழைக்க	á
பிழைக்க	sobreviven
பிழைக்க	sobreviva
பிழைக்க	ser
பிழைக்க	humano
இளமையாக	nova
இளமையாக	mozos
இளமையாக	mozo
இளமையாக	novo
இளமையாக	moza
கேத்தி	cathy
எள்ளி	ellie
சாக்கலேட்	chocolate
கரும்பலகை	encerado
டோரிஸ்	doris
பயனற்றது	inútiles
பயனற்றது	inútil
பிரிட்ஸ்	fritz
செத்து	morren
செத்து	morre
செத்து	morrer
அவமதிப்பு	desprezo
மாசம்	mes
மாசம்	ao
ரூடி	rudi
கிளினிக்	clínica
நிருபர்கள்	xornalistas
அச்சடிக்கப்பட்ட	impreso
விளையாடுகிறது	xogando
விளையாடுகிறது	xogar
விளையாடுகிறது	tocando
விளையாடுகிறது	tocar
தூக்கத்தை	sono
தூக்கத்தை	durmir
தூக்கத்தை	durme
டானிஷ்	danés
டானிஷ்	daneses
அனுபவி	guste
அனுபவி	gozamos
அனுபவி	a
அனுபவி	da
அனுபவி	que
அனுபவி	gozar
அனுபவி	gusta
இலட்சியம்	ambición
கஸ்	gus
பறக்கிறது	moscas
பறக்கிறது	voa
கில்லர்	asasino
கில்லர்	do
சீக்கிரமாக	cedo
சீக்கிரமாக	primeiras
உயர்த்திய	a
ஆர்வங்கள்	interesa
ஆர்வங்கள்	intereses
விழுங்க	carallo
விழுங்க	vai
விழுங்க	merda
விழுங்க	ao
விழுங்க	queres
விழுங்க	fodan
விழுங்க	malfodida
வருடு	escaneamos
வெண்ணை	manteiga
குடித்தல்	auga
குடித்தல்	café
குடித்தல்	bebendo
குடித்தல்	beber
பிரார்த்தனைகள்	oracións
பிரிக்கவும்	separar
பெனிசிலின்	penicilina
பெனிசிலின்	a
பொறிமுறைகள்	mecanismos
கூலியை	salarios
வீசுகிறது	o
இருக்கின்றான்	saber
இருக்கின்றான்	sabendo
இருக்கின்றான்	sabe
ரிட்ஜ்	cresta
கைமுறையாக	manual
சுலபம்	sinxelo
சுலபம்	fácil
சுலபம்	doado
சுலபம்	calma
சுலபம்	acouguen
அறிவார்	sabe
அறிவார்	coñece
அறிவார்	sábeo
ரசிகன்	fan
இருப்பிடங்கள்	lugares
சகோதரிகளின்	irmás
பதிப்பைப்	edición
யந்திரம்	maquinaria
யந்திரம்	máquinas
அறிக	explorar
அறிக	aprenden
அறிக	aprender
அறிக	a
இறப்பது	morren
இறப்பது	morte
இறப்பது	morrendo
இறப்பது	morrer
இறப்பது	moribundos
இறப்பது	por
பலனும்	beneficio
ரகசியங்கள்	os
ரகசியங்கள்	segredos
ரகசியங்கள்	poden
ரகசியங்கள்	adoptar
ஊதியங்கள்	examinar
கைகோர்த்து	man
கைகோர்த்து	mans
வருத்தத்தை	dor
வருத்தத்தை	pena
கேஷ்	diñeiro
கேஷ்	en
கேஷ்	efectivo
கேஷ்	contado
கேஷ்	cartos
கேஷ்	suficiente
கேஷ்	cobro
கேஷ்	cobrar
இப்போ	agora
கவர்ச்சியாக	sexy
ஆண்டுவிழா	aniversario
முகமூடிகள்	máscaras
செல்கிறேன்	vou
செல்கிறேன்	vai
செல்கிறேன்	imos
செல்கிறேன்	vas
பீரோ	despacho
எங்கிருந்தாலும்	onde
எங்கிருந்தாலும்	queira
எங்கிருந்தாலும்	alá
எங்கிருந்தாலும்	esteas
கம்யூனிசம்	comunismo
கம்யூனிசம்	o
நிஜம்	real
நிஜம்	de
நிஜம்	verdade
நிஜம்	realismo
ஆர்வமுள்ளவர்கள்	me
ஆர்வமுள்ளவர்கள்	interesaba
ஆர்வமுள்ளவர்கள்	interesábame
ஆர்வமுள்ளவர்கள்	interesados
ஆர்வமுள்ளவர்கள்	interesado
ஆர்வமுள்ளவர்கள்	interese
ஆர்வமுள்ளவர்கள்	interesa
ஆர்வமுள்ளவர்கள்	interesada
இருதயம்	corazóns
இருதயம்	corazón
தலைமுடியை	pelo
தலைமுடியை	cabelo
உரோச்சட்டர்	rochester
ஆல்பத்தைப்	ubicación
மார்டி	marty
நர்சரி	cativos
வேலைக்காரன்	servo
வேலைக்காரன்	criado
வேலைக்காரன்	bedel
எலுமிச்சம்	limóns
நேபால்	nepal
சேகன்	sagan
மேம்பட	mellorar
மேம்பட	a
பகிரவும்	compartir
பகிரவும்	comparten
பகிரவும்	compartimos
பகிரவும்	a
பகிரவும்	parte
நடத்துனர்	director
தவிர்	skip
தவிர்	mo
சத்தமாக	forte
சத்தமாக	alto
சத்தமாக	alta
சத்தமாக	voz
ஹேக்கிங்	piratería
விரல்களால்	os
விரல்களால்	dedos
கவனித்தேன்	que
கவனித்தேன்	notei
கவனித்தேன்	conta
கவனித்தேன்	de
கவனித்தேன்	decatei
குறிப்பைக்	nota
குறிப்பைக்	a
தெய்வீகம்	divino
தெய்வீகம்	divina
உறவுமுறைகள்	relación
உறவுமுறைகள்	relacións
எல்லன்	ellen
வாங்கு	mercar
வாங்கு	comprar
கண்டுபிடி	descubrir
கண்டுபிடி	que
கண்டுபிடி	descobren
கண்டுபிடி	atopar
திமிங்கலங்கள்	baleas
திமிங்கலங்கள்	as
ஏற்றப்பட்டது	cargada
பணிவு	humildade
ஜென்டில்மேன்	cabaleiro
ஜென்டில்மேன்	cabaleiros
ஜென்டில்மேன்	señor
ஜென்டில்மேன்	home
வெள்ளத்தை	manchas
நீக்ரோ	negros
நீக்ரோ	negro
இஸ்லாத்தில்	á
இஸ்லாத்தில்	en
இஸ்லாத்தில்	na
இஸ்லாத்தில்	ao
இஸ்லாத்தில்	no
இஸ்லாத்தில்	a
நேற்றைய	onte
கவனமான	consciencia
கவனமான	consciente
இடிக்க	brazo
லூகா	luca
தேசபக்தி	patriotismo
டயட்	dieta
தடுக்கப்பட்டு	prohibido
தடுக்கப்பட்டு	prohibidas
கெய்கர்	geiger
டைனோசர்	de
டைனோசர்	dinosauro
டைனோசர்	dinosauros
ஐஃபோன்	iphone
நிறுத்து	deter
நிறுத்து	de
நிறுத்து	parar
நிறுத்து	para
நிறுத்து	deixa
வெறுமை	chaira
வெறுமை	costa
வெறுமை	plano
வெறுமை	claro
வெறுமை	tenra
வெறுமை	materia
வெறுமை	materias
அறுந்து	os
அறுந்து	que
சேமி	salvar
சேமி	aforrar
சேமி	salvalo
பளபளக்கும்	brillante
பளபளக்கும்	brillantes
தொகுப்பான்	de
தொகுப்பான்	edición
லேப்	laboratorio
லேப்	no
ராக்ஸ்	rochas
ராக்ஸ்	xeo
ராக்ஸ்	pedras
செவிலியர்கள்	enfermeiros
செவிலியர்கள்	enfermeiras
நரம்பணு	neurona
நரம்பணு	neuronas
ஷிஃப்ட்	de
ஷிஃப்ட்	quenda
சாக்கிரட்டீசு	sócrates
ஆபத்தாக	fatal
சோஷியல்	social
சோஷியல்	sociais
எடு	debuxar
எடு	que
எடு	os
எடு	absorber
எடு	sur
எடு	debuxaría
எடு	recoller
எடு	a
எடு	cuberta
ஊர	dividen
பயங்கரம்	fantástica
உருவாக்கு	crear
உருவாக்கு	creamos
உருவாக்கு	unha
உருவாக்கு	crean
ஏற்கவும்	aceptar
ஏற்கவும்	aceptalo
ஏற்கவும்	acepto
நினை	que
நினை	penso
நினை	pensar
நினை	creo
ரஹ்மத்	misericordia
ரஹ்மத்	piedade
ரஹ்மத்	misericordioso
கோயிங்	imos
கோயிங்	crosstree
கோயிங்	chegar
செண்டு	centavos
செண்டு	cincuenta
செண்டு	patacóns
செண்டு	céntimos
டிரெய்லர்	remolque
கனவுகளை	soños
விரிவடைகிறது	expansión
விரிவடைகிறது	expande
கார்ட்ரைட்	cartwright
உரக்க	berrar
உரக்க	berro
டோஸ்	dose
டீச்சர்	profesor
டீச்சர்	mestra
டீச்சர்	mestre
பொன்னிற	loira
கர்ப்பிணி	embarazada
கர்ப்பிணி	preñado
பதிலில்	á
பதிலில்	resposta
பதிலில்	reacción
காந்தங்கள்	imáns
காத்திரு	agardar
காத்திரு	espera
காத்திரு	espere
காத்திரு	agarda
பீட்சா	pizza
ஹேலி	haley
டிராவிஸ்	travis
தைரியமாக	valentes
தைரியமாக	valente
நீந்த	nadar
நீந்த	baño
நீந்த	nado
பொழுதெல்லாம்	cando
பொழுதெல்லாம்	cada
பொழுதெல்லாம்	vez
குருட்டு	cegas
குருட்டு	cega
குருட்டு	cego
குருட்டு	invidentes
குருட்டு	cegos
வலிமையானது	forte
வலிமையானது	fortes
கைமுறை	manual
ஆழமானது	no
ஆழமானது	fondo
ஆழமானது	profundo
ஆழமானது	profundidade
ஆழமானது	de
அப்பாவும்	pai
அப்பாவும்	papá
மத்தியதரைக்கடல்	mediterráneo
திறக்கவும்	aberta
திறக்கவும்	abertos
திறக்கவும்	abrir
திறக்கவும்	aberto
திறக்கவும்	abre
திறக்கவும்	abra
சான்டியாகோ	santiago
கழுவ	lavado
கழுவ	lavan
கழுவ	lavar
கழுவ	lava
கழுவ	lavalo
காம்ப்பெல்	campbell
தூங்கி	durmindo
தூங்கி	durme
தூங்கி	dorme
தூங்கி	durmido
தூங்கி	adormeceu
தூங்கி	durmir
தூங்கி	durmindo
தூங்கி	durmir
தூங்கி	somníferos
பீத்தோவன்	beethoven
பீத்தோவன்	novena
ஆச்சரியமான	sorprendente
ஆச்சரியமான	sorprendentes
ஆச்சரியமான	marabilloso
ஆச்சரியமான	estupendo
கூடுமானவரை	esperanza
கூடுமானவரை	espero
விசுவாசமான	leal
பைப்	pipa
பைப்	cachimba
பைப்	con
பைப்	esta
ஜோக்	broma
ஜோக்	chiste
ஜோக்	bromas
ஜோக்	gracia
ஜோக்	conto
சுயம்	eu
சுயம்	presente
தாராளவாத	liberais
தாராளவாத	liberal
பிட்ச்	ton
காத்திருக்கிறேன்	agardando
காத்திருக்கிறேன்	espera
காத்திருக்கிறேன்	a
காத்திருக்கிறேன்	esperar
