statut	статут
prepoznati	впізнала
prepoznati	впізнати
prepoznati	визнає
prepoznati	впізнали
whitley	вітлі
milorad	милорад
cestom	дорожні
cestom	дорога
definirana	визначений
definirana	визначена
definirana	визначені
definirana	визначено
definirana	визначається
nebeski	небесної
nebeski	небесні
nebeski	небесна
nebeski	небесний
okrunjen	короновано
udaljeno	далеких
udaljeno	вій
udaljeno	далекого
udaljeno	віддалений
udaljeno	пульт
udaljeno	віддалене
fernández	фернандес
izborni	колегія
izborni	виборчий
izborni	виборна
islanda	ісландія
islanda	ісландії
smanjen	зведена
evolucija	еволюція
evolucija	evolution
prijateljstvo	дружби
prijateljstvo	дружба
prijateljstvo	дружбу
poletio	прилетіли
poletio	пролетів
poletio	полетіли
poletio	летів
poletio	прилетіла
francuza	француза
francuza	француз
jose	хосе
jose	жозе
jose	хосе
tehnološki	технологічних
tehnološki	технологічного
tehnološki	технічного
tehnološki	технологічний
blake	блейк
neuspjeh	невдача
neuspjeh	відмова
neuspjeh	провал
neuspjeh	помилка
savršeno	perfect
savršeno	ідеально
savršeno	ідеальні
savršeno	ідеальне
savršeno	ідеальна
savršeno	досконало
elvis	елвіс
carska	імператорський
carska	імперський
carska	imperial
vena	вена
ram	ram
ram	рам
narode	народ
cao	цао
rukopisa	почерк
rukopisa	рукописи
rukopisa	грамоти
rukopisa	рукопис
nedjelja	неділя
bjelokosti	айворі
doktorat	докторський
doktorat	phd
psa	собака
psa	собачка
psa	пес
vaše	твій
vaše	твоя
vaše	твої
vaše	твоє
vaše	ваша
vaše	ваші
felix	фелікс
koeficijent	коефіцієнт
ubijena	убитий
mlijeka	молоко
mlijeka	молока
mlijeka	milk
motiva	мотив
motiva	мотиви
porta	порта
snijeg	сніг
ravna	рівна
domovina	вітчизна
domovina	вітчизну
domovina	вітчизни
domovina	країни
domovina	країна
domovina	кантрі
domovina	батьківщина
objavljivanje	публікацію
objavljivanje	публікація
objavljivanje	публікувати
objavljivanje	розміщення
objavljivanje	публікація
objavljivanje	публікування
objavljivanje	видавництво
objavljivanje	оприлюднення
objavljivanje	публікацією
objavljivanje	публікація
objavljivanje	публікування
atomi	атоми
atomi	атомів
bratstva	братство
bratstva	братство
diktature	диктатура
poštovanje	respect
poštovanje	повага
nude	пропозиція
obična	звичайну
obična	незвично
obična	звичайні
imanje	майно
reich	рейх
reich	рейху
rama	рама
zatvara	закриває
bilja	трав
mons	гора
ferrari	феррарі
ferrari	ferrari
povod	нагоди
siluriformes	siluriformes
reagira	реагує
reagira	адаптивний
barnard	барнард
dokazuje	доводить
goveda	корова
goveda	порода
argentinski	аргентинське
argentinski	аргентини
komunistički	комуністичний
komunistički	комуністична
moskvu	московська
moskvu	moscow
moskvu	москва
stavi	додаю
stavi	ставимо
stavi	класти
stavi	поставити
obećao	обіцяла
obećao	обіцяв
obećao	пообіцяв
znajući	відмітили
znajući	знаючи
znajući	знати
zaštićeni	захищений
zaštićeni	захищена
zaštićeni	захищено
hughes	хьюз
vidljive	видима
vidljive	видимий
vidljive	видно
vidljive	видимі
procese	процеси
procese	процесів
curtis	кертіс
marx	маркс
marx	маркса
ujedinjeni	united
ujedinjeni	юнайтед
opcija	варіант
opcija	пункт
opcija	параметр
temeljni	основне
temeljni	фундаментальні
ovisnost	залежність
ovisnost	залежність
plinovi	гази
čuvanje	охороняє
tunela	тунелів
tunela	тунелі
dennis	деніс
dennis	денис
dennis	денніс
arterija	артерія
arterija	судини
bor	бор
bor	сосна
položio	ведуться
položio	пройшов
položio	пройдено
položio	передано
položio	перейшов
položio	минули
hendrix	hendrix
financija	фінанси
obljetnica	річниця
obljetnica	ювілей
lorenzo	лоренцо
salvador	сальвадор
građanin	житель
građanin	громадянин
dario	даріо
vjerovali	повірила
vjerovali	вірив
vjerovali	здавалось
vjerovali	вірила
vjerovali	вірили
vjerovali	довірою
vjerovali	безмежну
vjerovali	надійний
vjerovali	надійність
vjerovali	надійних
radno	роботи
radno	робота
radno	працюю
radno	працюють
radno	роботу
radno	робочий
radno	робота
radno	робочий
mirage	mirage
preživjelih	survivors
preživjelih	вижили
opisana	описано
opisana	описані
bantu	народності
zrakom	повітряно
naučiti	дізнатися
naučiti	вчити
naučiti	вчитись
naučiti	навчитися
hebrejski	єврейська
hebrejski	іврит
albanija	албанії
albanija	албанія
balada	балада
srbe	сербів
wolfgang	вольфганг
aerodrom	аеропорт
din	ад
din	дін
zastupnici	mps
zastupnici	депутатів
atom	атом
mladu	наречена
leopard	барс
lijep	гарно
pijesak	пісок
armenski	вірменська
konstantno	неодноразово
konstantno	постійно
konstantno	постійна
konstantno	стала
konstantno	постійний
vaš	твій
vaš	твоя
vaš	твої
vaš	твоє
vaš	ваша
vaš	ваші
castro	кастро
#dddddd	#dddddd
raja	раджа
raja	heaven
raja	небеса
raja	рай
raja	небес
raja	небесне
raja	рай
raja	раю
raja	paradise
manastira	монастирях
full	повна
full	повний
full	повне
povećan	зросли
povećan	збільшили
prefektura	префектура
opisati	описати
misu	маса
misu	mass
autonomna	автономна
autonomna	автономний
spremnik	танк
spremnik	контейнер
efekti	ефекти
violinu	скрипка
violinu	скрипці
violinu	сопілка
povjerenstvo	комісія
atmosfera	атмосфера
pristaše	прихильники
abraham	авраам
abraham	абрахам
zvezda	зоря
zvezda	зірочки
zvezda	зоряні
zvezda	зірка
ice	лід
atrakcija	привабливості
atrakcija	атракціон
atrakcija	притягнення
izjave	заяви
izjave	судження
izjave	виписки
izjave	заяв
lipa	губи
litve	литві
litve	литви
litve	литва
liang	лян
staklo	скло
lang	ленг
biskupi	єпископи
biskupi	єпископів
negativno	негативний
negativno	негативне
negativno	негативна
negativno	негатив
negativno	негативні
prince	принц
prince	принца
prince	князь
gov	gov
leća	лінзи
leća	лан
leća	лінзи
leća	лінз
ponudi	пропозиція
ponudi	пропонуємо
skladišta	склад
skladišta	склади
ikona	ікона
ikona	значок
pueblo	pueblo
velebit	велебіт
main	головний
main	основне
main	головна
main	головні
main	головне
magnitude	величина
usmjerena	орієнтований
usmjerena	направлена
prikazivanje	показ
prikazivanje	відображено
zaključuje	вчить
pećina	печеру
pećina	печера
preci	пращурів
mehmed	мехмед
dres	джерсі
voyager	voyager
ralph	ральф
lišće	листочки
lišće	листя
mještani	місцеві
mještani	жителів
inspiriran	натхненно
inspiriran	надихали
lubanja	череп
lubanja	черепа
proze	проза
pokrenula	запустили
pokrenula	розпочали
sfr	сфр
mare	море
projekcija	проекція
dominik	домінік
dominik	домінік
bear	ведмідь
bear	ведмедик
kraći	коротше
kraći	виступи
studiji	studios
obnavlja	відновлює
mitchell	мітчелл
kljun	дзьоб
neprijatelji	ворогів
neprijatelji	вороги
izložen	відкритий
podjelu	розділ
une	une
tan	tan
tan	тан
tan	тань
luna	луна
zvjezdana	зоряне
zvjezdana	зоряна
fotograf	фотограф
alen	аллен
alen	ален
božice	богинь
ain	ен
ain	айн
bože	божі
bože	боже
bože	бога
bože	бог
bože	богу
make	make
make	зробити
ansambl	хоткевича
ansambl	ансамбль
edo	едо
divlji	дикі
divlji	дикий
divlji	wild
divlji	диких
rijetka	рідкісна
rijetka	рідкісні
rijetka	рідкісний
rijetka	рідкість
rijetka	рідкісне
nichols	ніколс
bon	бон
singer	співак
singer	співачка
singer	співака
joan	іванна
joan	джоан
hardcore	хардкор
nila	ніла
otpornost	пружність
spisateljica	writer
spisateljica	письменник
ten	tan
ten	тан
ten	тань
otpad	брухт
otpad	відходи
otpad	переводити
spremni	готовий
spremni	напоготові
spremni	готові
spremni	готове
spremni	готовність
spremni	готова
dvorište	дворі
dvorište	backyard
dvorište	дворі
pogreške	помилки
pogreške	помилки
lisa	ліза
uporište	stronghold
oslobodio	звільнені
oslobodio	звільнено
mlečani	венеціанці
marsa	марсіанський
marsa	марс
marsa	mars
kemija	хімія
groba	могили
groba	могила
groba	могилу
rossi	россі
marketing	маркетинг
izložena	відкритий
mlijeko	молоко
mlijeko	молока
mlijeko	milk
označeni	позначено
označeni	позначене
označeni	відмічені
označeni	позначені
znakove	знаки
znakove	написи
legije	легіонів
tehničar	технік
gljiva	гриб
gljiva	гриби
generator	генератор
peruu	перу
ispit	перевірка
ispit	перевірити
ispit	test
ispit	тест
ispit	екзамен
tak	tak
poslužitelj	сервер
poslužitelj	сервера
pomak	shift
pomak	зсув
pomak	зміщення
pomak	зсув
pomak	відступ
inicijativa	ініціатива
wien	wien
wien	він
kreolski	креольська
gubitaka	втрат
gubitaka	збитки
gubitaka	програш
jabuka	яблуко
jabuka	apple
jabuka	яблучко
bihać	біхач
pearl	перл
pearl	перли
pearl	перлина
pearl	перлини
božanstvo	боги
božanstvo	божество
morris	морріс
nastava	вчить
nastava	навчальні
nastava	навчати
nastava	викладати
nastava	класи
nedavni	недавні
nedavni	нещодавні
vjerska	релігійна
vjerska	релігійні
baterije	батареї
baterije	акумулятор
baterije	акумулятори
baterije	батарея
baterije	батарейки
meksički	мексиканська
meksički	мексиканський
sicilije	сицилії
ćelija	клітинка
ćelija	комірки
ćelija	комірку
ćelija	клітини
ćelija	комірка
shvati	розумію
shvati	розуміємо
shvati	зрозуміти
shvati	зрозуміла
rothschild	ротшильд
uvjerenja	переконання
uvjerenja	погляди
uvjerenja	поглядів
brojeve	числа
brojeve	номери
brojeve	цифри
pjevao	співав
pjevao	співали
pjevao	заспівав
pjevao	співала
pjevao	заспівали
krater	кратер
vitamin	вітамін
aplikacija	програми
aplikacija	програма
aplikacija	застосунок
aplikacija	додаток
aplikacija	застосунок
aplikacija	додаток
torino	турин
igračke	іграшки
šupljine	лопатки
spašavanje	зберігається
spašavanje	заощадження
spašavanje	збереження
spašavanje	врятувати
spašavanje	рятівник
spašavanje	порятунок
wei	вей
stambene	житловий
stambene	житлових
vrhova	вершин
vrhova	вершини
glover	гловер
čuda	чудеса
čuda	дива
čuda	дива
dublje	глибше
opsada	облога
springs	пружини
prodor	прорив
turista	туристичний
turista	туристичні
turista	турист
turista	туристичне
turista	туристів
turista	туристи
kampanja	кампанії
kampanja	похід
kampanja	кампанія
obveze	вимога
puebla	puebla
mara	мара
odredište	призначення
drvena	вуд
drvena	деревина
drvena	лісова
pošta	мейл
pošta	пошта
pošta	поштою
cska	цска
fontana	фонтан
fontana	фонтана
fontana	фонтан
fontana	фонтани
sektora	сектор
sektora	секторів
sektora	сектори
faust	фауст
duke	герцог
duke	дюк
boban	бобан
andreas	андреас
piramide	піраміда
piramide	піраміди
glad	голод
glad	голод
zeleno	зелене
zeleno	зелені
zeleno	зелений
dick	дік
izbjeglice	біженців
zastupljenost	представлення
putanje	шляхи
putanje	контури
izumio	вигадав
izumio	винайшов
trogir	трогір
izvješća	звітів
izvješća	звіти
zabave	вечірок
zabave	вечірки
zabave	партій
varijacije	варіації
varijacije	варіанти
varijacije	варіант
varijacije	варіація
sánchez	санчес
siriji	сирія
siriji	сирії
napredovanje	прогресу
postojeći	існуюче
postojeći	існуючий
postojeći	існуючі
postojeći	існуючу
standardna	стандартний
standardna	стандарт
standardna	стандартна
standardna	стандартне
aluminija	алюміній
aluminija	алюміній
vozi	драйв
vozi	пристрій
vozi	привід
vozi	drive
donald	дональд
naredbe	команд
naredbe	команди
naredbe	замовлення
umjetni	штучна
umjetni	штучний
umjetni	штучне
umjetni	штучні
profesionalno	фахівець
profesionalno	професійний
profesionalno	професіонал
profesionalno	professional
profesionalno	професійні
profesionalno	професійно
okus	смак
tropske	тропічний
tropske	тропічні
canis	пес
almanah	альманах
poplava	повінь
poplava	потопу
poplava	повінь
poplava	повені
sergio	серхіо
primjeni	застосувати
tramvaj	трамвай
tramvaj	general
kraljevsko	королівська
kraljevsko	royal
kraljevsko	королівський
kraljevsko	королівське
kraljevsko	рояль
sim	снайпер
sim	sim
bosanskih	боснійська
leone	леоне
leone	леон
probiti	проникати
ukratko	коротко
ukratko	short
ukratko	короткий
ukratko	коротка
ukratko	скорочено
ukratko	коротке
ukratko	короткі
pjevala	співав
pjevala	співали
pjevala	заспівав
pjevala	співала
pjevala	заспівали
japansko	японська
japansko	японський
japansko	японці
japansko	японські
pečat	штамп
pečat	марку
pečat	марка
pečat	печатка
pečat	печатки
pečat	емблема
pečat	котик
pečat	сіл
ebert	еберт
natječaj	тендер
natječaj	ніжна
natječaj	конкурс
natječaj	євробачення
violina	скрипка
violina	скрипці
maxim	максим
maxim	maxim
maxim	максім
počinio	вчинив
počinio	скоїв
proteina	білок
proteina	білки
lyon	ліон
osvajača	invaders
danilo	данило
barcelone	барселона
augustin	augustin
miles	кілометрів
zrcala	дзеркал
zrcala	дзеркала
zaštitnika	відвідувач
zaštitnika	покровитель
esej	есе
similis	similis
izbijanja	епідемія
postizanje	досягненні
postizanje	нормальної
argumentum	звернення
konvencije	конвенції
konvencije	конвенції
konvencije	конвенція
odražava	відображаються
odražava	відображає
iznutra	inside
iznutra	всередині
grijeha	гріхом
grijeha	гріха
grijeha	гріх
karakterističan	характерні
bratstvo	братство
bratstvo	братство
dinara	динар
pgp	pgp
vlakana	fibre
krzno	хутро
satima	годин
satima	години
vuka	вовк
pokrenuta	запустили
pokrenuta	розпочали
deutsche	deutsche
glasine	чутки
glasine	чуток
glasine	чутки
glasine	чутки
radionica	workshop
camp	табір
britaniju	британія
revoluciju	революція
hampshire	гемпшир
leptir	метелик
prikazano	показана
prikazano	показані
prikazano	показано
prikazano	показаний
prikazano	показана
prikazano	показані
prikazano	відображено
prikazano	показано
prikazano	обрані
ubojice	убивці
ubojice	вбивці
ubojice	убивці
ubojice	вбивці
ubojice	убивці
ubojice	убивць
ubojice	вбивці
tvrdeći	сперечатися
glasom	голос
glasom	голосом
glasom	голосу
suha	сухий
suha	суха
suha	сухо
suha	сухе
suha	сухі
bora	бора
hunt	полювати
hunt	полювання
uši	вуха
graf	граф
graf	графіка
graf	графік
graf	граф
potpora	підтримка
potpora	підтримую
potpora	підтримати
baterija	батареї
baterija	акумулятор
baterija	акумулятори
baterija	батарея
mita	хабара
mita	хабарі
fritz	фріц
acer	клен
poznavanje	знань
poznavanje	знання
atlanta	атланти
historia	historia
petru	петра
vjenčanje	весілля
kuge	зараза
kuge	чума
kurt	курт
pomogli	допоміг
pomogli	допомагали
pomogli	допомогла
pomogli	допомагав
pomogli	допомогли
sul	sul
zahvalnosti	подяку
zahvalnosti	вдячність
gene	ген
gene	джин
bojan	боян
ekološki	екологічної
ekološki	екологічна
ekološki	екологічний
vice	віце
vice	заступник
parovi	пари
parovi	звернення
uništavanje	розірвання
uništavanje	знищення
uništavanje	руйнування
uništavanje	знищення
horor	жах
horor	жахи
linux	linux
faraon	фараон
zenit	зеніт
liječnici	лікарів
liječnici	лікарі
zamjene	поповнення
susjeda	сусід
susjeda	сусід
ahmed	ахмед
tekuće	постійну
tekuće	триває
tekuće	складну
tekuće	рідкий
tekuće	рідини
tekuće	рідина
molio	молилися
molio	молився
molio	благав
malus	яблуня
ograničeno	обмежені
ograničeno	обмежений
ograničeno	обмежена
ograničeno	обмежено
ograničeno	обмежений
testiranje	тестування
testiranje	випробування
dog	собака
dog	собачка
dog	пес
definicije	визначення
definicije	визначення
audi	audi
tokyo	токіо
tokyo	tokyo
pronađe	знаходить
pronađe	виявить
pronađe	знайде
besplatno	вільна
besplatno	безкоштовне
besplatno	вільний
besplatno	безкоштовно
besplatno	вільно
forest	лісова
forest	ліс
promatranje	спостереження
promatranje	спостереження
karen	карен
kukuruz	кукурудза
kukuruz	кукурудзи
chamberlain	чемберлен
trening	тренування
trening	тренінг
trening	тренінги
trening	вправи
trening	вправа
trening	практика
poduzetnik	підприємець
poljoprivredne	аграрна
poljoprivredne	аграрний
grebena	рифи
catherine	катерина
studentima	студенти
studentima	учням
studentima	студентів
studentima	студентам
studentima	учні
anđeli	янголи
anđeli	angels
anđeli	ангели
pita	пиріг
pita	запитує
pita	питає
prijetnje	загрози
prijetnje	погроз
prijetnje	погрози
odobrio	підтверджено
odobrio	затверджено
odobrio	надавати
snyder	снайдер
dale	дейл
pacijent	пацієнт
pacijent	пацієнта
snova	сни
snova	снів
snova	мрій
snova	мрії
snova	dreams
malta	мальта
justin	джастін
dostignuća	досягнення
dostignuća	поставлені
hoffman	гоффман
liber	liber
edgar	едгар
mučenika	мучеників
koraka	кроків
koraka	кроки
japanci	японська
japanci	японський
japanci	японці
japanci	японські
ozbiljne	суворі
ozbiljne	тяжкий
austin	остін
iznimka	виняток
iznimka	винятки
iznimka	виключення
okrenuo	перетворилися
okrenuo	перетворили
okrenuo	включили
pogreška	помилка
pogreška	помилка
kriterij	критерій
kriterij	критерії
kriterij	критерій
marijana	маріанна
opseg	приціл
opseg	обсяг
pobjedio	переміг
pobjedio	виграв
pobjedio	вон
pobjedio	виграли
povezivanje	підключитися
povezivanje	підключення
ugljik	карбон
powell	павелл
kontrolira	контролює
slaba	слабка
slaba	слабкий
konji	коней
konji	коні
pristaje	личить
odobrenje	згоду
odobrenje	схвалення
odobrenje	затвердження
odobrenje	підтвердження
odobrenje	кліренс
mostova	мости
mostova	мостів
novinarka	журналіст
novinarka	репортер
flora	флора
propast	дум
propast	горою
propast	смерть
propast	занепад
propast	загибель
promatrati	спостерігати
stilova	стилів
stilova	стилі
hbo	серіалу
opremljena	придатний
opremljena	обладнаний
izvanredno	надзвичайні
izvanredno	надзвичайна
izvanredno	визначні
izvanredno	видатним
tvoj	твій
tvoj	твоя
tvoj	твої
tvoj	твоє
tvoj	ваша
tvoj	ваші
tvoj	твій
tvoj	твоя
tvoj	твої
tvoj	твоє
tvoj	ваші
seattle	seattle
catocala	стрічкарка
planeti	планети
protokol	протокол
terra	terra
umjetna	штучна
umjetna	штучний
umjetna	штучне
umjetna	штучні
svinja	свиня
svinja	свині
tesla	tesla
tesla	тесла
luigi	луїджі
metro	метрополітен
metro	метро
metro	metro
kamenje	камені
kamenje	камінці
kamenje	каменів
kamenje	камені
kamenje	скелі
kamenje	астероїди
kamenje	каміння
kamenje	скелях
operativne	оперативного
operativne	оперативна
operativne	готовності
reinhold	рейнгольд
pumpe	помпи
vodoravno	горизонтально
vodoravno	горизонтальний
vodoravno	горизонтальна
vodoravno	горизонтальне
vodoravno	горизонтально
vela	вуаль
vela	завісу
vela	вела
golf	гольф
sklonost	орбіти
palazzo	палаццо
većinski	більшість
većinski	більшістю
optički	оптичний
optički	зоровий
napoleona	наполеона
napoleona	наполеон
ovaca	вівця
ovaca	вівці
ovaca	вівцями
beck	бек
helen	гелен
helen	хелен
manga	манго
manga	манго
manga	mango
manga	манга
sigurnošću	впевненості
organi	органи
kantona	кантон
okupljanja	зібрань
okupljanja	зібраннях
branitelji	захисникам
branitelji	захисників
teritoriji	територія
sutra	завтра
sutra	tomorrow
kariba	caribbean
maroko	марокко
unutarnja	внутрішнє
unutarnja	внутрішній
unutarnja	внутрішня
unutarnja	внутрішні
zapovjednici	командуванням
moguć	можливе
moguć	можливо
moguć	можлива
građanima	громадяни
građanima	громадян
građanima	громадянам
jačanje	посилення
jačanje	рекламувати
jačanje	boost
trinidad	тринідад
alpe	альпи
slučajevi	випадках
slučajevi	випадки
slučajevi	випадків
springer	springer
jupitera	юпітер
gif	gif
sebastian	себастьян
novinari	преса
novinari	натиснути
novinari	прес
novinari	press
novinari	журналістів
novinari	журналісти
novinari	полтавським
plaže	пляжний
plaže	біч
plaže	пляж
plaže	пляжі
masters	магістри
dekan	дін
sony	sony
privukao	приваблюють
zec	lepus
zec	заєць
zec	кролик
zec	кріль
zec	кролі
šećer	цукор
punta	пунта
sfera	сфера
sfera	сфери
sfera	куля
profesionalna	фахівець
profesionalna	професійний
profesionalna	професіонал
profesionalna	professional
profesionalna	професійні
sex	стать
sex	секс
sex	sex
invazija	вторгнення
govornici	спікерів
genocid	геноцид
imenice	іменниками
blackmore	блекмор
bare	ставок
bare	понд
preporod	відродження
potaknuti	шпори
plodovi	фрукти
plodovi	плоди
loša	bad
loša	погана
loša	погано
loša	погане
promjeru	діаметр
laboratorij	лабораторія
laboratorij	lab
laboratorij	лабораторії
rezidencija	резиденція
lange	ланге
boca	бока
boca	пляшки
boca	пляшка
minas	мінас
košarka	баскетбол
tragedija	трагедія
bavarske	баварська
bavarske	баварський
nominaciju	номінації
acronicta	acronicta
specifična	конкретних
specifična	певне
specifična	конкретні
dokazano	доведено
divlja	дикі
divlja	дикий
divlja	wild
divlja	диких
iznenađenje	здивувати
iznenađenje	здивування
iznenađenje	сюрприз
iznenađenje	несподіванка
prikupljanje	збір
prikupljanje	збирання
prikupljanje	колекція
prikupljanje	колекції
prikupljanje	collection
prikupljanje	збірка
prikupljanje	козачка
greda	промінь
greda	промені
ličnost	особистість
božanstva	боги
božanstva	божество
elongata	elongata
kukuruza	кукурудза
kukuruza	кукурудзи
izričito	явно
drukčije	different
drukčije	інше
drukčije	різні
drukčije	різних
drukčije	відмінні
tribina	мальовниче
panorama	панорами
panorama	панорама
panorama	panorama
incident	інцидент
incident	дтп
veleposlanik	посол
slovaci	словаки
pijanist	піаніст
christie	крісті
bodovi	точки
bodovi	очки
bodovi	пункти
bodovi	очок
bodovi	балів
gume	шини
gume	tyres
turističko	туристичний
turističko	туристичні
turističko	турист
turističko	туристичне
upisana	вписаний
gps	gps
mjuzikl	музична
mjuzikl	музичний
mjuzikl	мюзикл
mjuzikl	музичні
daj	віддам
daj	дайте
daj	надати
tjedno	щотижня
delaware	делавер
baca	кидає
peck	пек
mauzolej	мавзолей
torpedo	торпедо
carvalho	карвалью
zavjet	угода
zavjet	заповіт
zavjet	обітниця
dante	данте
poljaci	поляків
poljaci	поляки
englezi	англійською
englezi	англійська
tragove	доріжок
tragove	слідкує
tragove	композиції
tragove	доріжки
tragove	сліди
tragove	питань
salona	салон
hat	шапка
hat	капелюх
klan	клан
klan	рід
stvori	створення
stvori	створити
venera	венера
gggg	рррр
kopno	земля
kopno	материка
palma	пальма
prelazak	перехресті
publikacija	публікаціях
provedena	проводили
provedena	провели
provedena	реалізовано
postignuća	досягнення
postignuća	поставлені
posuda	судно
posuda	судна
dorcadion	dorcadion
planirao	запланована
planirao	заплановано
planirao	запланований
planirao	заплановане
otrov	venom
otrov	отрути
otrov	отруту
otrov	отрута
eksplozija	вибух
eksplozija	вибухом
eksplozija	вибух
berry	беррі
berry	ягода
poplave	повені
poplave	повінь
poplave	повінь
poplave	потопу
ordo	ордо
alt	ал
alt	alt
urtica	кропива
pružiti	надають
pružiti	надати
irena	irena
irena	ірена
irena	ірен
poljoprivredu	землеробство
susjedi	сусіди
susjedi	сусіди
buna	буна
alkohol	алкоголю
alkohol	алкоголь
alkohol	спирт
obiteljima	сімей
obiteljima	родин
obiteljima	родини
mustafa	мустафа
kamp	табір
dojke	грудне
dojke	груди
dojke	грудей
komentara	коментарях
komentara	коментарів
komentara	коментарі
organizirano	організований
organizirano	організованого
organizirano	організована
organizirano	організовані
naglasiti	підкреслення
naglasiti	підкреслити
kum	хрещеним
svjedok	свідок
aranžman	домовленість
aranžman	аранжування
aranžman	розташування
brojke	фігури
brojke	фігурки
brojke	показники
batman	бетмен
bacio	узяв
bacio	кинули
bacio	закинув
bacio	кинув
bacio	кинула
dijalog	діалог
dijalog	діалог
usvojen	приймається
rasti	виростають
rasti	рости
rasti	вирощують
rasti	ростуть
koloniju	колонія
pozitivan	позитивне
pozitivan	позитивні
pozitivan	позитивний
pozitivan	позитивно
pozitivan	позитив
drevne	древні
odluci	рішенням
odluci	рішення
apache	apache
prihvaćanje	згодна
prihvaćanje	прийняттям
prihvaćanje	визнання
dob	віці
dob	вік
dob	ера
dob	доба
podne	полудень
kritizirao	критикували
tina	тіна
debljina	товщина
dolar	долар
sjene	тіні
sjene	тіней
sjene	морок
sjene	shadow
sjene	тінь
staljin	сталін
lopez	лопес
jimi	джимі
jimi	jimi
rtl	rtl
poteškoća	складності
poteškoća	складність
disanje	дихає
disanje	дихання
ogroman	величезна
ogroman	величезний
ogroman	величезні
ogroman	неймовірні
software	програмний
software	програми
software	застосунок
arabije	аравія
arabije	аравії
predsjedništvo	президія
olga	ольга
jede	їли
jede	їм
jede	їсти
jede	їсть
gusto	жирна
gusto	товстий
gusto	товста
gusto	густе
rekonstrukcija	реконструкція
rekonstrukcija	реконструкції
erupcija	виверження
šesnaest	шістнадцять
nicolas	ніколя
podići	складати
podići	підняти
kan	хан
kan	кан
kan	kan
sumnja	підозрюють
sumnja	підозрюваних
sumnja	підозра
sumnja	підозри
sumnja	сумнівів
sumnja	сумнів
sumnja	сумніву
sumnja	сумніваюся
sumnja	сумніватися
sumnja	сумніви
sbc	sbc
uživa	насолоджується
uživa	зручні
