দৌড়বাজী	kergejõustik
এভিনিউ	avenue
এভিনিউ	avenüü
হকিং	hawking
অর্থহীন	mõttetu
অর্থহীন	kasutu
অর্থহীন	kasutud
পাখনা	tiibu
পাখনা	tiivad
ক্রিশ্চিয়ান	christian
ক্রিশ্চিয়ান	kristlane
মাচু	machu
অভ্যর্থনা	vastuvõtt
ট্রিপল	kolmekordne
ট্রিপল	kolmik
ইউরেশীয়	euraasia
মস্তিষ্কে	ajju
মস্তিষ্কে	aju
পলায়ন	põgene
ক্রুসেড	ristisõda
নিবিড়	mahukas
নিবিড়	intensiivne
প্রোডাকশন	tootmine
প্রোডাকশন	toodang
খলিল	khalil
একনিষ্ঠ	pühendatud
একনিষ্ঠ	pühendunud
অ্যাঞ্জেলো	angelo
এলেন	ellen
সিকিম	sikkim
ব্যাঙের	konna
ব্যাঙের	konn
সম্ভাবনার	võimalused
জিউস	zeusi
জিউস	zeus
আরেকটা	teine
জুরিখ	zürichi
জুরিখ	zürich
বাহুর	relvad
বাহুর	käed
মাইক্রো	mikro
বিভাজিত	mähitud
বিভাজিত	pakitud
ফ্লাওয়ার	lill
ফ্লাওয়ার	õis
ফ্লাওয়ার	lilleke
অভিযোজন	kohandamine
অভিযোজন	kohandus
অভিযোজন	kohanemine
স্থানাংক	koordineerida
স্থানাংক	koordinaadid
ইব্রাহীম	ibrahim
ইব্রাহীম	abraham
উদ্বাস্তু	pagulased
উদ্বাস্তু	pagulaste
বিপর্যয়ের	katastroof
বিপর্যয়ের	katastroofi
মোড	režiimi
মোড	režiim
মোড	mode
কাঁকড়া	krabi
নিয়মাবলী	reeglid
নিয়মাবলী	eeskirjad
মায়ার	maya
গন্য	loeb
শত্রুদের	vaenlased
ভিড়	rahvamassid
ভিড়	rahvas
ভিড়	publik
ভিলা	villa
গোসল	dušš
গোসল	vanni
গোসল	vann
কোটা	kvoot
কোটা	kvoodi
টার্গেট	sihtmärgid
টার্গেট	eesmärgid
বাজেয়াপ্ত	konfiskeeritud
ফসফরাস	fosforit
ফসফরাস	fosfori
গোপনীয়তা	privaatsuse
গোপনীয়তা	privaatsus
গোপনীয়তা	privaatsust
ইস্তানবুল	istanbuli
পিতামাতা	vanemad
পিতামাতা	lapsevanemad
পিতামাতা	vanem
পিতামাতা	lapsevanem
অবিচ্ছিন্ন	pidev
অবিচ্ছিন্ন	pideva
নামগুলো	nimetused
নামগুলো	nimed
গ্রীষ্মকাল	suvel
গ্রীষ্মকাল	suvi
গ্রীষ্মকাল	suve
জাকার্তা	jakarta
হেল	hel
সিনেট	senati
সিনেট	senat
টুইটার	twitter
বাঁক	kõverad
বরখাস্ত	rahuldamata
বরখাস্ত	vallandamise
বীরত্ব	kangelaslikkust
যুগল	paar
জার	tsaar
জার	tsaari
জার	purk
জার	purki
জার	purgi
জার	jar
লায়ন	lõvi
অভিযোগের	süüdistused
অভিযোগের	laengud
ভাঙন	erosiooni
বাহামা	bahama
ফিলিপস	philips
ফিলিপস	phillips
টুকরা	lõigud
টুকরা	viilud
টুকরা	tükk
টুকরা	tükid
অসুস্থতা	haigus
অসুস্থতা	haigus
লাগানোর	istutamine
রহমত	halastus
রহমত	halastust
সারের	komposti
কিথ	keith
দেওয়াল	müür
দেওয়াল	sein
দেওয়াল	seina
দেওয়াল	seinad
নোভা	nova
অ্যাক্ট	akt
অ্যাক্ট	tegutsema
অ্যাক্ট	act
টহল	patrulli
টহল	patrull
কোস্টা	costa
লাইক	nagu
লাইক	meeldib
লাইক	meeldib
জুরি	jure
জুরি	vandekohus
জুরি	žürii
পিঠা	kooki
পিঠা	kook
পিঠা	tort
স্থানসমূহ	kohad
শার্লক	sherlock
জিনি	ginny
ডেঙ্গু	dengue
সি++	c++
স্পষ্টভাবে	kindlasti
নিহিত	rahastati
নিহিত	rahastatud
পিটার্সবার্গ	peterburg
গোয়ার	goa
ঢোল	trumm
ঢোল	trummi
মন্ত্রনালয়	ministeerium
জারী	jari
অভিনব	uhke
ভেজা	märg
ভেজা	märjad
ভেজা	märjaks
কুমির	krokodill
খুনের	mõrvad
খুনের	mõrv
মিছিলে	rongkäik
আর্কিটেকচার	arhitektuur
তেহরান	teherani
নিরস্ত্র	relvastamata
প্রার্থীদের	kandidaadid
ম্যাজিক	maagiline
ম্যাজিক	võlu
ম্যাজিক	magic
ম্যাজিক	maagia
আগ্রাসন	agressiooni
রোমানদের	roomlased
একশ	sada
হোল	auk
হোল	auku
ট্রানজিস্টর	transistor
স্প্রিং	kevad
ক্রেইগ	craig
অর্থনৈতিকভাবে	majanduslikult
কীট	putukas
মিগ	mig
সারসংক্ষেপ	ülevaade
সারসংক্ষেপ	kokkuvõte
শিক্ষাগত	haridus
উদ্ভিদবিজ্ঞান	botaanika
তাক	rack
সুড়ঙ্গ	tunnel
সুড়ঙ্গ	tunnelid
জুল	jules
ফ্যাক্টর	teguri
ফ্যাক্টর	tegur
ফ্যাক্টর	faktor
তুই	sind
তুই	you
তুই	sina
ডেল্টা	delta
লুসিয়া	lucia
চন্দন	sandlipuu
চিত্রগ্রহণ	filmimine
নৈতিকতা	eetika
নৈতিকতা	moraal
নৈতিকতা	moraalne
নৈতিকতা	moraali
নৈতিকতা	moraal
নৈতিকতা	moraali
নৈতিকতা	moraal
রাজহাঁস	hani
রাজহাঁস	hane
গ্যালিলিও	galileo
গাদ্দাফি	gaddafi
উষ্ণতা	soojus
শিল্পপতি	tööstur
স্টকহোম	stockholmis
স্টকহোম	stockholmi
ভাবতে	mõelge
ভাবতে	mõtle
প্রসারণ	laiendada
প্রসারণ	laiendamine
প্রসারণ	pikendamine
প্রসারণ	laiendus
প্রসারণ	pikendamise
আংটি	rõngas
আংটি	ring
আংটি	sõrmuse
আংটি	sõrmus
আংটি	sõrmused
আংটি	ringid
আংটি	rõngad
পশ্চিমী	läänemaa
পশ্চিমী	lääne
পশ্চিমী	western
কিড	poiss
দিচ্ছে	andmine
উট	kaamelid
উট	kaameli
জামা	särgid
জামা	särk
জামা	särgi
চাওয়া	tahtmine
গ্রীষ্মের	suvel
গ্রীষ্মের	suvi
গ্রীষ্মের	suve
ফরিদ	farid
দিবালোক	päevavalgust
ইউয়ান	yuan
গল	gallia
বাঁচতে	live
বাঁচতে	elama
কলম্বাস	columbus
ট্যাঙ্ক	mahuti
ট্যাঙ্ক	paak
ট্যাঙ্ক	tanki
ট্যাঙ্ক	tank
ট্যাঙ্ক	tankid
ট্যাঙ্ক	paagid
সুত্র	vihje
স্বাভাবিকভাবেই	loomulikult
আরোগ্য	ravida
আরোগ্য	parane
আরোগ্য	ravi
আরোগ্য	paranemine
কোকিল	kägu
ক্রোয়েশীয়	horvaatia
হতাশ	pettunud
হতাশ	pettunud
উত্পাদন	valmistamine
উত্পাদন	tootmine
উত্পাদন	tootmine
উত্পাদন	toodang
উত্পাদন	valmistamine
উত্পাদন	tootmine
অযোগ্য	kõlbmatuks
অযোগ্য	sobimatu
অযোগ্য	kõlbmatu
তেরেসা	teresa
ফাতিমা	fatima
ক্রিসেন্ট	poolkuu
ভিক্ষুদের	mungad
নেচার	loodus
লিখুন	kirjutada
লিখুন	kirjuta
লিখুন	kirjutage
লিখুন	kirjutamine
লিখুন	sisesta
লিখুন	sisene
লিখুন	enter
মরিশাস	mauritiuse
ফাঁদ	lõksu
ফাঁদ	lõks
ফাঁদ	lõkse
ফাঁদ	lõksud
ব্যঞ্জনধ্বনি	konsonant
বোস্টন	boston
বোস্টন	bostonis
সুইফট	swifti
সুইফট	swift
অপশন	valikud
মার্কস	märgid
মার্কস	marks
পকেট	tasku
বোর	bohr
আনুষঙ্গিক	tarvikud
আনুষঙ্গিক	lisaseadmed
আনুষঙ্গিক	manused
কাঁধ	õla
কাঁধ	õlg
কাঁধ	õlga
কাঁধ	õlad
স্পিরিট	vaimud
স্পিরিট	hinged
স্পিরিট	vaim
টিকেট	pilet
ডিজেল	diisel
মোস্ট	enamikul
মোস্ট	enamus
মোস্ট	enamik
মোস্ট	enim
স্নেহ	kiindumus
স্নেহ	kiindumust
শান	shan
মার্ক্স	marx
ছোঁয়া	puuduta
ছোঁয়া	katsuda
ছোঁয়া	puudutus
ছোঁয়া	puutu
অঙ্গীকার	lubadus
অঙ্গীকার	pühendumus
অঙ্গীকার	kohustuse
অঙ্গীকার	pühendumine
অঙ্গীকার	kohustus
অঙ্গীকার	pant
হোস্ট	peremees
হোস্ট	võõrustaja
হোস্ট	vastuvõtva
হোস্ট	saatejuht
ইভা	eva
ইভা	eve
ইভা	eeva
বিস্ফোরিত	plahvatada
বিস্ফোরিত	plahvatas
বিস্ফোরিত	plahvatanud
সরানো	liigutatud
সরানো	liigutas
সরানো	kolis
ড্রাম	trumm
ড্রাম	trummi
দড়ি	nöör
দড়ি	köis
পাসপোর্ট	passi
পাসপোর্ট	pass
ফেরি	praam
উল্লম্ব	vertikaalne
অগ্রগামী	pioneer
ফিকে	nüri
প্রিন্টার	printer
প্রিন্টার	printeri
প্রিন্টার	printerid
জাস্টিস	õiglus
জাস্টিস	õigusemõistmine
মার্টিনেজ	martinez
ফুসফুসের	kopsud
ফুসফুসের	kopsu
বাউডেন	bowden
রেসিং	ralli
রেসিং	võidusõit
রেসিং	racing
যাদু	maagiline
যাদু	võlu
যাদু	magic
যাদু	maagia
এয়ারওয়েজ	airways
আইভি	ivy
সাম	summa
পিস্তল	püstol
কেরি	kerry
দুধের	piima
দুধের	piim
পরজীবী	parasiit
পরজীবী	parasiit
জ্যাজ	jazzi
জ্যাজ	jazz
পাজ	paz
আর্সেনিক	arseeni
আর্সেনিক	prantsuse
বিস্মিত	üllatunud
বিস্মিত	üllatas
বিস্মিত	šokeeritud
আয়না	peeglid
আয়না	peegel
আয়না	peegelda
অঞ্চলগুলি	regioonid
অঞ্চলগুলি	piirkonnad
পয়সা	münt
পয়সা	mündi
পার্কিং	parkimine
মাম্বা	mamba
কম্পটন	compton
সর্বোত্তম	kõrgeim
সর্বোত্তম	parima
সর্বোত্তম	parimad
সর্বোত্তম	parimat
সর্বোত্তম	parim
সর্বোত্তম	suurepärane
বাক্যে	lause
পরিকাঠামো	infrastruktuurid
পরিকাঠামো	infrastruktuur
পরিকাঠামো	infrastruktuuri
পরিকাঠামো	taristu
গনি	ghani
ভিজুয়াল	visuaalne
অপর্যাপ্ত	ebapiisavad
অপর্যাপ্ত	ebapiisav
অপর্যাপ্ত	ebapiisavad
অপর্যাপ্ত	ebapiisav
হি	hee
অবজেক্ট	objekti
অবজেক্ট	objekt
অবজেক্ট	objektid
পোলার	polar
মনস্তাত্ত্বিক	psühholoogiline
সিল্ক	siidi
সিল্ক	siid
সিল্ক	siidist
অনুকরণ	simulatsiooni
অনুকরণ	simulatsioon
অনুকরণ	simuleerimine
অনুকরণ	simuleeritud
রুডলফ	rudolph
কেলি	kelly
তীক্ষ্ণ	keen
তীক্ষ্ণ	teravad
তীক্ষ্ণ	sharp
তীক্ষ্ণ	terav
থিওডোর	theodore
ব্র্যাড	brad
রোভার	rover
টার্নার	turner
খরা	põud
জোরে	valjult
জোরে	valju
বক	hälve
বক	kõrvalekalle
বক	heron
বেলারুশ	valgevene
পুলিৎজার	pulitzeri
কঙ্কাল	skeleti
কঙ্কাল	luukere
ফিদে	fide
ডেরেক	derek
নুর	noor
শোষিত	imendunud
টিয়া	tia
টিয়া	papagoi
টিয়া	papagoi
রূপালী	hõbeda
রূপালী	silver
রূপালী	hõbe
ঘুড়ি	lohe
ক্যাবিনেট	kapp
উইন্ডসর	windsor
ডকুমেন্ট	dokumendi
ডকুমেন্ট	dokument
ডকুমেন্ট	dokumendid
কর্মসংস্থান	tööhõive
ঘাসের	rohi
ঘাসের	muru
বলছে	ütleb
লাফ	hüpe
লাফ	hüppas
তৃণভূমি	rohumaa
তৃণভূমি	mõdu
গানগুলি	laulud
গানগুলি	laule
আইওএস	ios
উজ্জ্বলতা	esiletõstmine
উজ্জ্বলতা	heleduse
ডেবিয়ান	debiani
যাজক	pastor
যাজক	vaimulikud
অনুভূতির	tundeid
অনুভূতির	tunded
যোগফল	summa
পাখা	ventilaator
পাখা	fänn
মাংসের	liha
ফাটল	praod
ফাটল	mõra
ফাটল	crack
জলবিদ্যুৎ	hüdroenergia
সন্ত্রাসবাদী	terrorist
সন্ত্রাসবাদী	terroristid
গ্লাসগো	glasgow
ফোটন	footon
নির্ভুল	perfektne
নির্ভুল	ideaalne
নির্ভুল	täiuslik
লক্ষণীয়	märgatav
ইসিবি	ekp
গিল	gill
সজীব	värsked
সজীব	värske
প্রাইম	prime
রোপণ	istutamine
রোপণ	istutatud
উত্তরপশ্চিম	loode
শহরতলি	äärelinna
কেনেথ	kenneth
অ্যালগোরিদম	algoritm
হোমো	homo
সন্নিবেশিত	põimitud
প্যাকেট	paketid
কাছিম	kilpkonn
আল্প	alpes
বর্গাকার	ruudu
বর্গাকার	ruut
বর্গাকার	väljak
কাঁচা	toores
কাঁচা	toor
কাঁচা	toorelt
জিব্রাল্টার	gibraltar
জিব্রাল্টার	gibraltari
নিরো	nero
রাসূল	sõnumitooja
রাসূল	apostel
অস্থির	rahutu
উড়োজাহাজ	lennuk
কালেক্টর	koguja
সংক্রামক	nakkav
গণ্ডার	sarvik
বর্ম	turvis
ফ্লোরেন্স	florence
ফ্লোরেন্স	firenze
সরিষা	sinep
ভোরের	dawn
ভোরের	koidik
ভোরের	koidu
স্লোভেনিয়া	sloveenia
চিতা	leopard
সমৃদ্ধির	heaolu
সমৃদ্ধির	jõukus
যাচ্ছেন	läheb
যাচ্ছেন	going
যাচ্ছেন	minek
প্লেটো	platon
বরো	linnaosa
খোসা	koor
খোসা	koorida
খোসা	koort
মালি	mali
ডাকাত	röövlid
ডাকাত	röövlid
ডাকাত	bandiidid
নেইমার	neymar
ঘুষি	löömine
গ্রামার	grammatika
ফ্রান্সিস্কো	francisco
অন্যান্যরা	muud
অন্যান্যরা	teised
বিচ	rand
বিচ	beach
ফেলিক্স	felix
ভ্রমন	trip
ভ্রমন	reis
ওবামা	obama
জাগ্রত	ärkvel
বান্ধবী	sõbranna
বান্ধবী	tüdruksõber
ক্রেওল	kreooli
ছোটখাটো	miniatuurne
ধারালো	teravad
ধারালো	sharp
ধারালো	terav
ভিটা	vita
পেঁয়াজ	sibul
পেঁয়াজ	sibulad
পেঁয়াজ	sibul
পেঁয়াজ	sibula
অসহায়	vaesed
অসহায়	vaene
অসহায়	abitu
হসপিটাল	haiglas
হসপিটাল	haigla
হসপিটাল	haiglasse
হিরোশিমা	hiroshima
হর	har
হর	nimetaja
ট্রি	puu
ট্রি	puud
কানের	kõrv
কানের	kõrva
রোদ	päikesepaiste
রোদ	päikesekiir
রোদ	päikest
রোদ	päikesevalgus
দেখলাম	saag
দেখলাম	nägin
প্রামাণ্যচিত্র	dokumentide
ফরওয়ার্ড	ettepoole
ফরওয়ার্ড	edasi
রেবেকা	rebecca
হিপ	hip
হিপ	puus
হিপ	puusa
চাও	chao
চাও	tahaks
চাও	tahad
ম্যাথিউ	matthew
ম্যাথিউ	mathieu
পাম্প	pumba
পাম্প	pump
পাম্প	pumpa
পাম্প	pumbad
এভিয়েশন	lennunduse
এভিয়েশন	lennundus
কাস্পিয়ান	kaspia
নিকোলা	nicolas
নিকোলা	nicola
নিকোলা	nikola
নিন	võtke
নিন	võta
মিং	mingi
মিং	ming
দৈত্য	hiiglane
দৈত্য	hiiglaslik
পোর্টল্যান্ড	portlandi
এক্সপ্লোরার	maadeavastaja
ঝর্ণা	kevad
ঝর্ণা	kose
ঝর্ণা	juga
ঝর্ণা	purskkaev
প্রদাহ	põletik
অনুভূমিক	horisontaalsed
অনুভূমিক	horisontaalne
স্বশাসিত	autonoomne
দামি	kallid
টেকসই	säästev
টেকসই	säästva
টেকসই	jätkusuutlik
টেকসই	vastupidav
ইন্টেলিজেন্স	luure
নিশ্চয়	tõepoolest
নিশ্চয়	kindlasti
মিনেসোটা	minnesota
হাডসন	hudsoni
হাডসন	hudson
স্পট	spot
গোলাবর্ষণ	pommitamist
ব্যর্থতা	ebaõnnestumine
ব্যর্থতা	rike
ব্যর্থতা	tõrge
ব্যর্থতা	läbikukkumine
সমাধিস্থ	tuhastatud
রিকো	rico
জোরালো	valjult
জোরালো	valju
আবশ্যক	nõutud
আবশ্যক	nõutavad
আবশ্যক	vajalik
আবশ্যক	nõutav
হোবার্ট	hobart
আপেল	õun
আপেল	apple
আপেল	õuna
আপেল	õunad
বারান্দা	veranda
বারান্দা	rõdu
বন্ধুরা	sõbrad
নিরীহ	rumal
নিরীহ	süütud
নিরীহ	süütu
দুনিয়া	maailma
দুনিয়া	maailm
ভেড়ার	lamb
ভেড়ার	lammas
ভেড়ার	lambaliha
সুস্বাদু	maitsev
সুস্বাদু	maitsvad
সুস্বাদু	maitsev
ইনডোর	siseruumides
ইনডোর	siseruumides
ইরাকী	iraagi
তুর্কমেনিস্তান	türkmenistani
শিকল	ahelad
শিকল	ahelad
শিকল	ketid
শারীরিকভাবে	füüsiliselt
বোল	kausi
বোল	kauss
বোল	bol
বিভ্রান্তি	segadust
বিভ্রান্তি	segadus
বিশ্লেষন	analüütiline
ভিউ	vaade
আর্ক	ark
আর্ক	kaar
পোকার	pokker
হুইল	ratas
হুইল	ratta
হুইল	rool
হুইল	veljed
হুইল	rattad
লাগবে	vaja
লাগবে	vajadus
দেখেছেন	näinud
দেখেছেন	jälgiti
দেখেছেন	vaatasin
দেখেছেন	vaatas
বাড়ে	kasvab
ঈমান	uskuma
ঈমান	usu
ঈমান	usud
খুচরা	jaemüügi
উইলি	willy
উইলি	willie
ব্রীজ	sild
প্রিজম	prisma
ডালে	dale
মেগা	mega
প্রান্তবিন্দু	tipu
জুয়েল	kalliskivi
জুয়েল	juveel
উদ্বেগ	mured
উদ্বেগ	mured
উদ্বেগ	ärevus
উদ্বেগ	muret
উদ্বেগ	mure
সমাজকে	ühiskond
নিঃশ্বাস	hingeõhk
নিঃশ্বাস	hingetõmme
সন্ধ্যার	õhtust
সন্ধ্যার	õhtu
সন্ধ্যার	õhtused
সন্ধ্যার	õhtune
হেনরিক	henrik
প্যারাগুয়ে	paraguay
রামোন	ramon
বৈধতা	kehtivus
দক্ষিণাঞ্চলীয়	lõuna
রাজকন্যা	printsess
ক্রুশ্চেভ	hruštšov
হান্টার	kütt
হান্টার	hunter
হান্টার	jahimees
হ্যাকার	häkker
চক্ষু	silm
চক্ষু	silma
লজিক	loogika
হার্ভে	harvey
বহুবচন	mitmuses
লক	lukku
লক	luku
লক	lukk
পাসওয়ার্ড	parooli
পাসওয়ার্ড	parool
পাসওয়ার্ড	salasõna
পাসওয়ার্ড	paroolid
চুন	chun
হাইব্রিড	hübriid
বার্ন	bern
তাইপেই	taipei
নর্তকী	tantsija
নর্তকী	tantsijad
তিব্বতীদের	tiibetlased
আলোকচিত্রী	fotograaf
মাল্টা	malta
শপিং	poodi
মিথেন	metaani
টিস্যু	kude
টিস্যু	koe
টিস্যু	koed
অরোরা	aurora
পাওলো	paulo
আলেপ্পো	aleppo
সন্ন্যাসীদের	mungad
গতানুগতিক	tüüpilised
গতানুগতিক	tüüpiline
শক	šokk
বোধগম্য	arusaadav
বোধগম্য	arusaadav
বোধগম্য	mõistetav
ফ্লাইং	lendamine
ফ্লাইং	lendavad
জামাইকার	jamaica
জামাইকার	jamaika
জোনস	jones
লোদি	lodi
ফ্লেচার	fletcher
চশমা	prillid
চশমা	klaasid
চশমা	prillid
ভোল্টেজ	pinge
উন্মোচিত	paljastatud
এডগার	edgar
এলিয়ট	elliott
এলিয়ট	eliot
এলিয়ট	elliot
সত্তর	seitsekümmend
সামি	sami
সামি	saami
চামচ	lusikas
লেকচার	loeng
ইসরাইল	iisraeli
ইসরাইল	iisrael
দেখেছি	näinud
হটে	haute
যুদ্ধবিরতি	relvarahu
তিমি	vaalad
তিমি	vaal
তিমি	vaala
অ্যালকোহল	alkohol
অ্যালকোহল	alkoholi
অবরুদ্ধ	blokeeritud
তত্ত্বাবধান	järelevalve
বুকার	booker
ফিতা	pael
ফিতা	paela
ফ্যাক্টরি	vabrik
ফ্যাক্টরি	tehas
চকচকে	läikiv
বিস্ময়	üllatus
বিস্ময়	imesid
বাধার	takistused
লেস	les
লেস	pits
মেটে	maksa
মেটে	maks
বাতিঘর	tuletorn
বাতিঘর	majaka
বাতিঘর	majakas
জারণ	korrosiooni
মিষ্টান্ন	magustoit
নিক্ষিপ্ত	valatud
রেস্টুরেন্ট	restoran
মুষ্টিযোদ্ধা	poksijad
হল্যান্ড	holland
কিটস	komplektid
বেলুন	õhupalli
বেলুন	õhupall
বেলুন	õhupallid
পরিসর	vahemik
পরিসর	vahemikus
রিডার	lugejad
রিডার	lugeja
ট্যাক্সি	takso
করুণ	hale
সেবন	naudib
গিলবার্ট	gilbert
অধ্যয়নরত	õppimine
লাফিয়ে	hüpe
ছুড়ে	viska
ছুড়ে	visata
সাদ্দাম	saddam
গাড়ী	auto
গাড়ী	car
জ্বলে	sära
নাইরোবি	nairobi
ডিসকভারি	discovery
ডিসকভারি	avastus
ডিসকভারি	avastamine
হীরা	diamond
হীরা	teemant
অপব্যবহার	kuritarvitamine
অপব্যবহার	kuritarvitamise
নিকারাগুয়া	nicaragua
নিকারাগুয়া	venemaa
আপিল	kaebused
আপিল	kaebuste
চিয়াং	chiang
জাজিরা	jazeera
লোকে	inimesed
লোকে	rahvas
লোকে	people
প্যালেস্টাইন	palestiina
কেনো	miks
ঘটবে	juhtub
হাজি	haji
উপকারী	abivalmis
ডো	doe
গুলিবর্ষণ	tulistamine
গুলিবর্ষণ	tulistamist
সুখের	õnn
সুখের	õnne
আর্দ্রতা	niiskus
আর্দ্রতা	niiskus
নির্জন	üksildane
নির্জন	üksik
সোমালিয়া	somaalia
বিক্ষিপ্ত	laiali
বিক্ষিপ্ত	hajutatud
মহৎ	võimas
মহৎ	võrratu
ধারণকারী	sisaldab
ধারণকারী	sisaldavad
ধারণকারী	konteiner
ধারণকারী	mahuti
তীরন্দাজ	vibukütid
মজা	lõbu
মজা	lõbus
মজা	fun
পশম	karvad
পশম	karusnaha
পশম	karv
সতর্কতা	hoiatus
সতর্কতা	hoiatus
সতর্কতা	häire
আনু	anu
কেক	kooki
কেক	kook
কেক	tort
পান্না	smaragd
সাফারি	safari
ক্রোমোজোম	kromosoomi
কোরে	corey
অবিস্মরণীয়	unustamatu
নরম্যান	norman
কনরাড	conradi
কনরাড	conrad
কনরাড	konrad
নিকোলাই	nikolai
জয়েন্ট	ühine
জয়েন্ট	ühise
কলি	kali
কলি	kolli
কলি	bud
রেজিস্টার	registrid
রেজিস্টার	registreerida
রেজিস্টার	register
রেজিস্টার	registrisse
রেজিস্টার	registreeru
স্ট্রোক	insult
ব্যাথা	valu
ব্যাথা	valutab
ফ্রাই	fry
কীটনাশক	pestitsiidide
কীটনাশক	pestitsiidid
বক্ররেখা	kõver
বক্ররেখা	kõverad
গেটস	väravad
গেটস	gates
বর্মন	baarmen
এক্সটেনশন	laiendused
এক্সটেনশন	laiendamine
এক্সটেনশন	pikendamine
এক্সটেনশন	laiendus
এক্সটেনশন	pikendamise
ব্রাউনের	brown
ব্রাউনের	pruuniks
ব্রাউনের	pruunid
ব্রাউনের	pruun
ব্রাউনের	braun
সুজা	souza
ক্রাইস্টচার্চ	christchurch
ধূমপান	suitsetamine
লুইজ	luiz
ধ্বংসাত্মক	hävitav
সমানভাবে	võrdselt
গোবর	sõnnik
ইয়োহানেস	johannes
প্রমিত	standardne
প্রমিত	standard
দই	jogurt
দই	kohupiim
লিওনার্ড	leonard
অপমান	häbi
অপমান	alandus
অপমান	alandamine
অপমান	solvav
অপমান	solvang
অপমান	solvamine
নেত্রী	liider
নেত্রী	juht
নেত্রী	leader
চেখভ	tšehhov
বিচলিত	närviline
বিচলিত	ärritunud
রাইডার	raider
রাইডার	ryder
রাইডার	ratsanik
প্রশিক্ষিত	õpetatud
প্রশিক্ষিত	koolitatud
প্রশিক্ষিত	treenitud
পূর্বাভাস	prognoos
পূর্বাভাস	ennustus
ল্যান্স	lance
সোয়ান	luik
সোয়ান	luige
কুকুরের	koera
কুকুরের	koer
মেয়ার	meyer
দাসী	teenija
দাসী	teenijanna
দাসী	neitsi
সূচী	sisu
টিনের	tin
টিনের	tina
পদ্মার	padma
ম্যাট্রিক্স	maatriks
ম্যাট্রিক্স	matrix
বিন্যাসে	vormitud
এফবিআই	fbi
ড্রামার	trummar
ম্যাডিসন	madison
ম্যাডিসন	madisoni
প্রাপ্তবয়স্কদের	täiskasvanud
টমেটো	tomati
টমেটো	tomat
প্রতিলিপি	koopiad
প্রতিলিপি	koopiaid
অং	ong
ক্লায়েন্ট	kliendi
ক্লায়েন্ট	klient
হাঁটা	kõndimine
হাঁটা	jalutades
হাঁটা	jalutamas
হাঁটা	kõnnib
হাঁটা	kõnni
হাঁটা	jalutuskäik
টানেল	tunnel
