harte	hearts
mini	mini
johns	johns
kabel	cable
igor	igor
voorvaders	ancestors
knope	knots
eksklusiewe	exclusive
wallace	wallace
ontvoer	abducted
beampte	officer
sparta	sparta
konsentrasies	concentrations
schmidt	schmidt
erectus	erectus
kapitalisme	capitalism
slawiërs	slavs
speaker	speaker
kubrick	kubrick
yslands	icelandic
jeff	jeff
voorvoegsel	prefix
osiris	osiris
onvoltooide	unfinished
pot	pot
brasília	brasília
luigi	luigi
muir	muir
philips	philips
argaïese	archaic
walvis	whale
namibia	namibia
behulpsaam	helpful
sleutels	keys
rebels	rebels
zanzibar	zanzibar
kirchner	kirchner
julia	julia
hardeware	hardware
anas	anas
imperial	imperial
voorgeskryf	prescribed
uitdaging	challenge
emmanuel	emmanuel
gelykheid	equality
dale	dale
koen	koen
lint	lint
balkan	balkan
jeffrey	jeffrey
modernisme	modernism
parade	parade
bain	bain
detroit	detroit
hun	hun
algoritme	algorithm
palm	palm
bosbou	forestry
uitgeput	exhausted
uitgeput	drained
realistiese	realistic
ajax	ajax
foster	foster
pype	pipes
pype	fireworks
linden	linden
oksitaans	occitan
battista	battista
urban	urban
opgelaai	uploaded
zur	zur
ontspanning	recreation
ontspanning	leisure
promosie	promo
promosie	promotion
acrocephalus	acrocephalus
robin	robin
simba	simba
fortuin	fortunes
fortuin	fortune
monopolie	monopoly
diamond	diamond
etiese	ethical
brandwag	sentinel
oudio	audio
lama	lama
mig	mib
vergroting	growing
geraas	noise
romp	torso
neurenberg	nuremberg
tekening	drawing
lawa	lava
swembad	pool
ritme	beat
kas	case
kas	cache
uss	uss
gewas	cyst
streef	pursue
aria	aria
orléans	orléans
deelnemer	participant
paneel	panel
formate	formats
griep	influenza
marmer	marble
alkoholiese	alcoholic
andrews	andrews
bejaardes	elderly
viëtnamese	vietnamese
beethoven	beethoven
komende	upcoming
subordo	subordo
sterna	sterna
dapperheid	bravery
bord	board
lombard	lombard
hol	hollow
haute	haute
bai	bai
versterkte	strengthened
aurora	aurora
titus	titus
plig	duty
filippynse	philippine
filippynse	filipino
lettergreep	syllable
ngr	ngr
iberiese	iberian
hiërargie	hierarchy
unix	unix
ruan	ruan
lowry	lowry
burg	burg
patriot	patriot
dyk	dyk
eksentrisiteit	eccentricity
haïti	haiti
wedersydse	mutual
calais	calais
mehmet	mehmed
sol	sol
jamestown	jamestown
connecticut	connecticut
dick	dick
batavia	batavia
shepherd	shepherd
afrodite	aphrodite
aap	monkey
beswyk	collapsing
pleistoseen	pleistocene
motivering	motivation
guillaume	guillaume
aftree	retire
simfonie	symphony
djengis	genghis
sinagoge	synagogue
blanc	blanc
proteïen	protein
tenk	tank
stoel	chair
klade	clade
herdruk	reprint
digbundel	anthology
bagheera	bagheera
reguleer	practices
sophie	sophie
miguel	miguel
oorweging	consideration
edik	edict
galaktiese	galactic
centauri	centauri
jefferson	jefferson
vertonings	displays
vertonings	shows
dickinson	dickinson
lening	loan
spesifikasies	specifications
blik	bin
opgehou	stopped
tegnies	technically
gaia	gaia
diaspora	diaspora
pont	pont
desimale	decimal
konferensies	conferences
sony	sony
sony	playstation
rogers	rogers
geweer	rifle
verdrae	treaties
gottfried	gottfried
turyn	turin
inkwisisie	inquisition
diktator	dictator
ussr	ussr
arriveer	arrives
kritieke	critical
jeremy	jeremy
kleindogter	granddaughter
herald	herald
oorblyfsel	remnant
bobby	bobby
rade	rade
naturelle	naturelle
gamma	gamma
verhuur	facilities
verhuur	lease
aankondiging	announcement
beoordeel	rate
bruno	bruno
blair	blair
hef	charge
regters	judges
diskriminasie	discrimination
verpligtinge	obligations
plymouth	plymouth
kia	kia
padda	frog
genereer	generate
reagan	reagan
volwassene	adult
kleredrag	clothing
austin	austin
asem	breath
eskader	squadron
thom	thom
sven	sweyn
namib	namib
allah	allah
sánchez	sánchez
heritage	heritage
rustige	peaceful
flieks	movies
maraton	marathon
verfyn	refine
impliseer	implies
dance	dance
sterte	tilt
sterte	tails
riefenstahl	riefenstahl
never	never
hoed	hat
onderhandelings	negotiations
implementering	implementation
hamer	hammer
versoening	reconciliation
spook	ghost
mabel	mabel
oklahoma	oklahoma
wilhelmina	wilhelmina
yellow	yellow
charadrius	charadrius
inter	inter
amazon	amazon
ren	ren
intelligente	intelligent
clarke	clarke
hel	hel
loire	loire
woordelys	glossary
njassaland	nyasaland
honduras	honduras
beale	beale
drake	drake
lus	loop
gedrink	drinking
hera	hera
vervat	contained
kobus	kobus
verkieslik	preferably
verkieslik	ideally
guardian	guardian
lessing	lessing
deurlopende	continued
pollock	pollock
albrecht	albrecht
antiogië	antioch
aanhouding	retention
elbe	elbe
bomme	bombs
ambisieuse	ambitious
hillary	hillary
kolomme	columns
erich	erich
maine	maine
joernalistiek	journalism
argiewe	archives
gebind	bound
artillerie	artillerie
stadions	stadiums
innsbruck	innsbruck
maagdenburg	magdeburg
indirek	indirectly
beslissing	ruling
beck	beck
miranda	miranda
koors	fever
agtien	eighteen
illustreer	illustrates
atlanta	atlanta
indeling	arrangement
genees	cure
mod	mod
smithfield	smithfield
uitbreidings	extensions
uitbreidings	description
lille	lille
rudi	rudi
sean	sean
afhanklikheid	dependency
potter	potter
bantoe	bantu
modernisering	modernising
botter	butter
kosbare	valuable
theodorus	theodore
balk	bar
krimp	shrink
bespeur	detected
kilometers	kilometers
michiel	michiel
arles	arles
muise	mice
bauhaus	bauhaus
temple	temple
duik	diving
duik	dive
auguste	auguste
tamil	tamil
roussillon	roussillon
verpligtend	mandatory
hester	hester
korporatiewe	corporate
bin	bini
aboe	abu
eurasië	eurasia
stilte	silence
netto	net
burundi	burundi
antille	antilles
gotha	gotha
toere	tours
hop	hop
hop	bounce
sisulu	sisulu
brunswyk	braunschweig
bars	burst
yuan	yuan
kabeljou	cod
dietrich	dietrich
falkland	falkland
veelsydige	versatile
beers	beers
bruyn	bruyn
spieël	mirror
cézanne	cézanne
karnaval	carnival
voyageur	voyageur
eagle	eagle
tegnologieë	technologies
perseus	perseus
charon	charon
verbeterings	improvements
vandalisme	vandalism
freud	freud
nineve	nineveh
abell	abell
besmet	infected
zeeland	zeeland
bevoegdhede	powers
claremont	claremont
binêre	binary
advertensie	advertisement
hitchcock	hitchcock
vandale	vandals
diagnose	diagnosis
omsingel	surround
vennote	partners
ervare	expert
australis	australis
bewustheid	awareness
simpatie	condolences
katalaanse	catalan
verdrink	drown
doodmaak	kill
valse	fake
drakensberge	drakensberg
debatte	debates
chemikalieë	chemicals
dahmer	dahmer
puin	debris
bulgare	bulgarians
antwoorde	responses
antwoorde	answers
antwoorde	replies
ontslag	discharge
lewensduur	lifetime
flatley	flatley
vierkant	square
dundee	dundee
adresse	addresses
jamaika	jamaica
indiana	indiana
redding	rescue
skaap	sheep
sewentien	seventeen
beraamde	estimated
tent	tent
panthera	panthera
verstaanbaar	understandable
omar	umar
promoveer	promote
haat	hate
korporasie	corporation
korporasie	plc
tiberius	tiberius
hannes	hannes
beheerde	managed
wikitext	wikitext
caroline	caroline
mal	crazy
demokrate	democrats
pale	pale
ongepubliseerde	unpublished
mededingende	competitive
irving	irving
afleiding	decoy
leone	leone
aflaai	download
aflaai	reload
ingevoerde	entered
ingevoerde	imported
mij	mij
slade	slade
dakota	dakota
bestry	oppose
animasie	animate
animasie	animation
animasie	definition
pionier	pioneer
sve	cpu
boulevard	boulevard
bach	bach
supernovas	supernovas
lisa	lisa
marine	marine
norfolk	norfolk
santo	santo
cardiff	cardiff
omgekeer	reversed
omgekeer	reverse
onwaarskynlik	unlikely
denver	denver
philipp	philipp
webjoernaal	blog
nasaret	nazareth
stralsund	stralsund
bel	call
bel	dial
resepte	recipes
loubser	credits
klaas	klaas
bristol	bristol
greenwich	greenwich
abc	abc
ondermyn	pushing
baha	bahá
baha	baha
skenking	donation
transliterasie	transliteration
birmaanse	burmese
boheme	bohemia
verklein	shrink
verklein	minimise
presbiteriaanse	presbyterian
christina	christina
holy	holy
internationale	internationale
kitchener	kitchener
bester	bester
romagna	romagna
helikopter	helicopter
swapo	swapo
geprys	praising
doek	canvas
resep	recipe
teikens	targets
bekommerd	worried
bankrot	broke
joel	joel
kentucky	kentucky
musical	musical
pittsburgh	pittsburgh
mowbray	mowbray
harrison	harrison
pakket	package
pakket	pack
voetbal	football
versteur	disturbed
kemp	kemp
pinyin	pinyin
gekruis	crossed
kalifaat	caliphate
plaza	plaza
gregory	gregory
panorama	panorama
vita	vita
jerewan	yerevan
berry	berry
palermo	palermo
ammoniak	ammonia
levant	levant
werker	worker
gespikkelde	coral
nagorno	nagorno
guevara	guevara
identiese	identical
carol	carol
speletjies	gaming
speletjies	games
eksperiment	experiment
medikasie	medication
geïgnoreer	ignored
geesteswetenskappe	humanities
gister	yesterday
shaun	shaun
frits	frits
liechtenstein	liechtenstein
tristan	tristan
telekommunikasie	telecommunication
telekommunikasie	telecommunications
nagte	nights
genesis	genesis
theodore	theodore
versterking	gain
numeriese	numerical
numeriese	numeric
bahrein	bahrain
wonde	wound
brett	brett
nikolai	niko
laval	laval
aantekeninge	note
eddie	eddie
hunne	huns
serie	serie
serie	serial
nsu	nsu
bom	bomb
krappe	crabs
stoot	push
uitstekend	excellent
bundy	bundy
dortmund	dortmund
ptah	ptah
silvester	sylvester
neutrino	neutrino
habsburg	habsburg
balle	balls
jon	jon
ioniese	ionian
bestek	scopes
geteister	harassed
vleuels	wings
etanol	ethanol
swakopmund	swakopmund
rostof	rostov
che	che
kansas	kansas
herhaling	recurrence
#efefef	#efefef
simbolies	symbolic
kanariese	canary
pearl	pearl
vuurpyl	rocket
upon	upon
montevideo	montevideo
loof	praise
bydraer	contributor
malaria	malaria
reisiger	traveller
afmetings	geometry
ikone	icons
macmillan	macmillan
bakoe	baku
olimpiade	olympiad
justice	justice
mexico	mexico
vashou	restrict
kwartaal	quarter
hervorm	reform
seymour	seymour
geschichte	geschichte
samestellings	compositions
samestellings	compounds
aanhalings	quotes
aanhalings	quotations
duet	duet
duet	duo
ipairs	ipairs
skakelaar	switch
speletjie	game
speletjie	gamer
branders	surge
blind	blind
koppelvlak	interface
koppelvlak	intercept
artistieke	artistic
multinasionale	multinational
ham	ham
benadeel	disadvantaged
benadeel	compromise
ossetië	ossetia
henk	henk
minnesota	minnesota
clovis	clovis
watervalle	waterfalls
kla	complain
mausoleum	mausoleum
sprekende	speaking
lotus	lotus
village	village
gardner	gardner
pat	stalemate
bissau	bissau
kweek	awesomeness
mainz	mainz
honolulu	honolulu
elektronika	electronics
elsie	elsie
moeders	mothers
merke	marks
ingewikkeld	complicated
terugvoer	feedback
versmelt	merge
hoofde	heads
stres	stress
meshid	meshid
bermuda	bermuda
inmenging	interference
inmenging	meddling
orkaan	hurricane
qing	qing
woede	anger
woede	rage
utah	utah
ledemate	limbs
registrasie	registration
skop	kicking
skop	kick
hello	hello
ongewenste	unwanted
kleine	kleine
māori	māori
chi	chi
kontant	cash
worldcat	worldcat
kassier	cashier
andes	andes
vlermuis	bat
superintendent	superintendent
ron	ron
morrison	morrison
dias	dias
alexandria	alexandria
harper	harper
koburg	coburg
avontuur	adventure
rebel	rebel
voorouer	ancestor
niels	niels
sussex	sussex
firefox	firefox
mozilla	mozilla
bekyk	universal
bekyk	viewed
bekyk	view
cite	cite
bevoordeel	benefit
uitsaai	broadcast
uitsaai	broadcasting
hokkie	hockey
vegter	warrior
maggie	maggie
metropolitan	metropolitan
verdamping	evaporation
verdun	verdun
geleidingsvermoë	conductivity
homoseksuele	gay
vrywillig	voluntarily
vrywillig	voluntary
handleiding	manual
quo	quo
nancy	nancy
reus	giant
dinosauria	dinosauria
kinetiese	kinetic
sosiologie	sociology
martelaar	martyr
egeïese	aegean
alberta	alberta
shire	shire
geometriese	vedic
geometriese	geometric
christo	christo
silesië	silesia
gletser	glacier
émile	émile
felipe	felipe
kinder	kid
buren	buren
zambia	zambia
alonso	alonso
hessen	hessen
veranderende	transforming
oorvleuel	overlap
lausanne	lausanne
grootpad	highway
gekose	selected
pol	pol
cannes	cannes
klagtes	complaints
aruba	aruba
chevrolet	chevrolet
hobhouse	hobhouse
saamgevoeg	merged
verklarings	declarations
lou	lou
butch	butch
gekopieer	copied
transport	transport
bewoonde	populated
gnome	gnome
dapper	brave
phobos	phobos
toelating	permission
lesse	lessons
cornelia	cornelia
bevredig	satisfy
gemaklik	comfortable
freiburg	freiburg
elsa	elsa
koei	cow
geloofsbelydenis	confession
versteek	hidden
versteek	hide
bewerking	operation
loodreg	perpendicular
ouderdomme	ages
samesprekings	consultations
sauer	sauer
cinnyris	cinnyris
lübeck	lübeck
uitheemse	alien
tekstiele	textiles
anjou	anjou
uitkoms	outcome
definitief	paw
gustaf	gustaf
dekking	coverage
isa	isa
verlosser	saviour
verlosser	savior
dieptes	depths
mitologiese	mythological
byt	bite
wessex	wessex
feb	tob
feb	hed
vriendelik	friendly
presteer	perform
keurvors	elector
fluit	whistle
fluit	flute
komma	comma
jonas	jonas
thibault	thibault
ingryping	constitutional
horlosie	watch
horlosie	clock
insident	incident
insident	crash
rijn	rijn
gilbert	gilbert
hoofstroom	mainstream
vakansiedae	holidays
brugge	bruges
petroleum	petroleum
modules	modules
vaart	voyage
jerry	jerry
turdus	turdus
trio	trio
apokriewe	biblical
lesing	lecture
martín	martín
tuna	tuna
hepburn	hepburn
hardy	hardy
lua	lua
akkuraatheid	accuracy
daag	arrive
raid	raid
discovery	discovery
robotte	bots
robotte	robots
fotografiese	photographic
fagan	fagan
geletterdheid	literacy
verhoudinge	relations
heidegger	heidegger
hoffman	hoffman
ingelig	educated
ingelig	informed
nuvola	nuvola
hastings	hastings
weggelaat	omitted
check	check
olaf	olaf
statige	stately
saga	saga
blyplek	lodging
aanleer	tailor
oesbekistan	uzbekistan
cleopatra	cleopatra
komposisies	compositions
liam	liam
federal	federal
tang	tang
brien	brien
inwoner	resident
dreig	threaten
dreig	threatening
groeperings	groupings
damaskus	damascus
trui	sweater
volgehou	persists
navigasie	navigation
lenings	loans
spa	spa
maryland	maryland
maree	maree
diploma	diploma
aas	terrace
aas	ace
geskenke	gifts
aux	aux
cola	cola
bailey	bailey
gis	yeast
brusselse	brussels
marino	marino
tesla	tesla
angelo	angelo
ingebring	implanted
kelte	celts
regionalliga	regionalliga
vasbeslote	determined
verweer	destroys
angus	angus
pieke	peaks
dhcp	dhcp
inspekteur	surveyor
schumacher	schumacher
jose	jose
casper	casper
protestantisme	protestantism
mangaan	manganese
giacomo	giacomo
rms	rms
astrid	astrid
cunha	cunha
toledo	toledo
byvoeging	addition
weerlig	lightning
strafskoppe	penalties
gilles	gilles
ardenne	ardennes
kroeg	bar
kroeg	pub
coetzer	coetzer
swerwer	traveler
dorothy	dorothy
roemeense	romanian
fisies	physically
casualties	casualties
seëls	stamps
bakens	landmarks
ich	ich
dylan	dylan
pali	pali
liberty	liberty
arcadia	arcadia
eaton	eaton
ekologie	ecology
taipei	taipei
rente	interest
bewonder	admire
bewonder	admired
skaduwee	shadow
skaduwee	shaded
kliniese	clinical
masjinerie	machinery
elegante	elegant
batoe	batu
vertaalde	translated
etosha	etosha
giza	giza
ekonoom	economist
veer	ble
appèl	appeal
werkende	operating
entiteite	entities
rot	rat
toespits	revitalising
bayer	bayer
diertjie	creature
riet	reed
tau	tau
pearson	pearson
anthem	anthem
verskaffers	suppliers
coca	coca
felis	felis
gekanselleer	cancelled
gekanselleer	canceled
gekanselleer	aborted
gran	gran
nobel	nobel
eweknieë	counterparts
mosie	motion
marina	marina
seuntjie	boy
ironies	ironic
simpson	simpson
sement	mortar
keramiek	ceramics
gevangenskap	captivity
liberië	liberia
navbox	navbox
geografies	geographically
routledge	routledge
lis	lis
boson	boson
verwerping	rejection
kosovo	kosovo
linnaeus	linnaeus
juwele	jewels
paddas	frogs
toneelspel	acting
lüderitz	lüderitz
interaksies	interactions
dimensie	dimension
instansies	instances
instansies	occurrences
herontdek	rediscover
tripoli	tripoli
curaçao	curaçao
versoeke	requests
waarskuwing	warning
waarskuwing	alert
pyrénées	pyrénées
eredivisie	eredivisie
bertel	bertel
berekeninge	distillation
henrik	henrik
camille	camille
relevante	relevant
reed	reed
alberto	alberto
gelos	released
cbs	cbs
matrose	sailors
rachel	rachel
augusta	augusta
homoseksualiteit	homosexuality
denkbeeldige	imaginary
bedieners	servers
aanhaling	citation
eenvormige	uniform
rennes	rennes
sale	halls
korrespondensie	correspondence
mustafa	mustafa
eon	eon
foucault	foucault
rpm	rpm
warner	warner
objekte	objects
baskiese	basque
vegters	fighters
mercury	mercury
edith	edith
vreedsaam	peaceful
voorspellings	predictions
plesier	pleasure
artemis	artemis
houers	cartridges
houers	crates
random	representing
wing	wing
prominent	prominent
zacharias	zacharias
kapelaan	chaplain
reënboog	rainbow
eksperimenteer	experiment
tekstuur	texture
kelder	cellar
kelder	winery
soöplankton	zooplankton
getuies	witnesses
doele	goals
buckingham	buckingham
kliniek	clinic
dionysos	dionysus
godheid	deity
konsekwent	consistent
matteus	matthew
borg	sponsor
auf	auf
vegas	vegas
patricia	patricia
verhore	hearings
redigering	editing
skisma	schism
gholf	golf
voorbereidings	preparations
beoog	contemplated
swaan	swan
belas	taxed
sensitief	sensitive
netherlands	netherlands
elvis	elvis
begraafplase	cemeteries
skattings	estimates
interwiki	interwiki
blokkies	squares
folk	folk
dalai	dalai
rande	edges
mare	mare
fak	fak
subkontinent	subcontinent
problem	problem
lingua	lingua
varke	pigs
eros	eros
asteekse	aztec
spesifiseer	specified
handbal	handball
danny	danny
elsevier	elsevier
belastings	taxes
mara	mara
aangaan	conclusion
jurisdiksie	jurisdiction
kabels	cables
bafta	bafta
mahayana	mahayana
hermes	hermes
waikato	waikato
aramees	aramaic
skenkings	donations
skenkings	donated
velle	sheets
oriëntasie	orientation
afrikaan	african
intel	intel
taai	sticky
clive	clive
maleise	malay
porselein	porcelain
champagne	champagne
humoristiese	humorous
hoogtepunte	highlights
ranglys	standings
pte	pte
voortsetting	continuation
terrorisme	terrorism
silikon	silicon
meel	flour
rubber	rubber
graal	grail
voorspelling	prediction
voorspelling	forecast
geduld	patience
isis	isis
saamgevat	consolidated
longontsteking	pneumonia
ifa	ifa
versiering	decoration
terminale	terminals
messina	messina
