탄산	cacbonat
아민	armin
아민	amin
숙박	stay
숙박	lodging
람보르기니	lamborghini
화강암	granite
통증이	đau
배수	drain
세례	christening
피노키오	pinocchio
스피커	loa
스피커	loa
애틀란타	atlanta
애틀란타	atl
샐러드	salad
밸런스	valance
끓는	sôi
현실적	tế
코스프레	cosplay
픽업	pickup
말레이어	malay
결함	defect
더스틴	dustin
프로방스	provence
보나	bona
오푸스	opus
블랙베리	blackberry
부수	incidental
드롭	giọt
드롭	bỏ
드롭	thả
안장	sale
할로윈	halloween
추상	abstraction
악어	alligator
악어	crocodiles
정오	noon
정오	trưa
샬롯	charlotte
교통사고	nạn
이클립스	eclipse
헝가리어	hung
헝가리어	hungary
걸작	phẩm
카시니	cassini
인삼	sâm
우상	idols
짐승	beast
짐승	tã
태즈메이니아	brisbane
태즈메이니아	tasmania
ㅋㅋ	lol
벌레	giun
벌레	worm
벌레	lỗi
벌레	bug
징병	conscription
카피	chép
카피	copy
카피	trích
가오	gao
가오	cao
세르지오	sergio
자니	johnny
아르헨티나인	argentina
아르헨티나인	argentina
아르헨티나인	argentine
소품	prop
애버딘	aberdeen
차베스	chavez
마틸다	matilda
속임수	trick
속임수	bịp
속임수	lừa
속임수	deception
도미노	domino
아발론	avalon
레게	reggae
베컴	beckham
강조하기	highlight
촉매	catalysis
촉매	catalyst
촉매	catalytic
에티하드	etihad
리보르노	livorno
암모니아	ammonia
암모니아	ammoniac
수분	pollination
스코페	skopje
이슬라마바드	islamabad
몬티	monty
찬드라	chandra
모래시계	bi
모래시계	cát
에이코	eiko
데뷔해	debut
셜리	shirley
치아	răng
치아	răng
카니예	kanye
파스텔	pastel
미망인	widows
여행자	travellers
벨벳	velvet
벨벳	nhung
차이나타운	chinatown
윙스	wings
윙스	cánh
전화기	đt
이빨	răng
이빨	răng
트랩	bẫy
트랩	tráp
트랩	bẫy
트랩	traps
고어	gore
쥬얼리	sỉ
호날두	ronaldo
협곡	gorge
협곡	canyon
협곡	hẻm
협곡	hẻm
플로렌스	florence
스틱	gậy
스틱	que
스틱	dùi
스틱	lòi
스틱	stick
다섯번째	fifth
우드로	woodrow
롤러	rollers
롤러	roller
머리카락	tóc
패러다임	paradigm
코디	cody
맘루크	mamluk
돈바스	donbass
코번트리	coventry
게이츠	gates
게이츠	cổng
냄새	mùi
냄새	mùi
냄새	thúi
놓쳤다	lỡ
꼭두각시	rối
발렌틴	valentin
발렌틴	valentín
파머	palmer
스카이라인	skyline
애완동물	pet
애완동물	nuôi
오스미	ōsumi
로미오	romeo
조교	ass
쿠미	kumi
구토	nôn
구토	spy
구토	ói
구토	nôn
아미르	emir
아미르	amir
습관	trù
루커스	lucas
사피어	saffir
그램	gam
그램	gram
그램	grams
그램	gam
그램	gram
스케줄	lịch
갈리시아	galicia
덴류	tenryū
절도	trộm
잭슨빌	jacksonville
램지	ramsey
램지	ramsay
토시오	toshio
카드뮴	cadimi
카트린	catherine
카트린	catarina
양모	fleece
양모	len
시저	ceasar
시저	caesar
체사레	cesare
스레드	threads
스레드	chuỗi
스레드	thread
창세기	genesis
위스키	whiskey
위스키	rượu
위스키	scotch
위스키	whiskey
위스키	whisky
피크	peak
깃털	plumage
깃털	lông
깃털	lông
카트리지	hộp
클립	clips
클립	clip
클립	clip
사파이어	hylocharis
사파이어	sapphire
임페리얼	imperial
열정적인	hâm
폐기	bỏ
트래비스	travis
트래비스	trav
마데이라	madeira
만하임	mannheim
만하임	mannheim
만하임	manheim
페덱스	fedex
샌더스	sanders
비숍	bishop
관계형	relational
브레시아	brescia
몰디브	maldivian
몰디브	maldives
마젤란	magellan
마젤란	magellan
비료	phân
비료	phân
율리시스	odysseus
율리시스	ulysses
약학	dược
타일	lát
타일	ngói
타일	lát
아르메니아인	armenia
아르메니아인	armenia
키트	kitts
키트	kit
롯폰기	roppongi
승천	assumption
베냉	benin
위젯	widget
종양	bướu
닉스	nix
브라이턴	brighton
보이드	boyd
규약	covenant
서른	thirty
레오폴드	léopold
레오폴드	leopold
덩컨	duncan
추출	trekking
트랙터	tractor
효자	hyo
나누기	tách
나누기	chia
나누기	chia
존스턴	johnston
데비	devi
데비	debbie
스턴트	stunt
규범	norm
플로이드	floyd
망가니즈	mangan
마감	deadline
하야카와	hayakawa
배달	giao
옥상	rooftop
옥상	mái
옥상	tèo
옥상	trần
세그먼트	đoạn
파월	powell
헬스	khỏe
페인트	sơn
베이커리	bakery
살롱	salon
살롱	salon
마사노부	masanobu
콘티	conti
카탈로그	catalog
카탈로그	catalogue
웨버	weber
웨버	webber
스플릿	tách
스플릿	chia
허니	thuế
실링	shilling
실링	schilling
실링	siling
실링	shilling
전자책	ebook
전자책	ebooks
쟈니	johnny
모리타니	mauritania
채우기	tô
채우기	điền
루벤	reuben
루벤	ruben
멘토	mentor
권위주의	authoritarian
마사토시	masatoshi
오웬	owen
타사	tasha
찬양	khen
감비아	gambia
루퍼트	rupert
매켄지	mackenzie
매켄지	mckenzie
브라우닝	browning
광대	hề
광대	hề
광대	dị
왈츠	waltz
왈츠	valse
하녀	maid
타오	tao
타오	đào
인종차별	racism
할리	harley
명왕성	pluto
도우미	helper
그레나다	grenada
트램	tram
트램	tramways
스케치북	sketchbook
와우	chà
와우	wow
와우	oi
카르멘	carmen
트레버	trevor
꽃잎	petals
그로텐디크	grothendieck
위상수학	topology
오디세이	odyssey
사진기	camera
힐스	đồi
힐스	hills
수리남	suriname
밀크	sữa
밀크	milk
비버	beaver
킨샤사	kinshasa
외상	tổn
스트롱	mạnh
스트롱	strong
잉크	mực
덴마크어	danish
프랫	pratt
전동기	motor
샌디	sandy
아멘	amen
아헨	aachen
스포일러	spoiler
양말	sock
양말	vớ
양말	socks
플러그	plug
플러그	cắm
다카시마	takashima
베르겐	bergen
천체물리학	astrophysics
천체물리학	astrophysicist
천체물리학	astrophysical
히라가나	hiragana
청문회	hearings
베르누이	bernoulli
책상	bàn
책상	bàn
천왕성	uranus
리디아	phuong
리디아	lydia
파나소닉	panasonic
리무진	limousine
리무진	limo
커튼	màn
커튼	curtain
커튼	chăn
커튼	rèm
커튼	rèm
최고경영자	ceo
콜카타	kolkata
하모니	harmony
도검	gươm
도검	kiếm
도검	gươm
도검	kiếm
걱정	lo
걱정	lo
원뿔	nón
스모	sumo
가장자리	mép
가장자리	biên
물방울	guốc
물방울	giọt
라르나카	larnaca
메이플	maple
세이셸	xê
세이셸	seychelles
마리카	marika
코인	xu
스티커	sticker
푸껫	phuket
뉴먼	newman
코트니	courtney
시러큐스	syracuse
에르미트	hermite
루디	rudy
호기심	curiosities
언데드	undead
런칭	launch
런칭	phóng
명절	holiday
햄버거	burger
햄버거	hamburger
햄버거	hamburger
햄버거	burgers
충돌구	hố
라티나	latinh
라티나	latina
척도	phóng
파트리크	patrick
카운트	đếm
카운트	đếm
앵무새	vẹt
앵무새	parrot
앵무새	vẹt
비욘세	beyonce
본회의	plenary
스파이더	nhện
스파이더	spider
감기	cúm
감기	lạnh
타카코	takako
악몽	mộng
악몽	mộng
아이돌마스터	idolmaster
이삭	isaac
크로뮴	crom
호라이즌	horizon
로터스	lotus
구획	parcel
뫼비우스	moebius
사본	chép
사본	copy
사본	trích
주전자	kettle
베스트팔렌	westphalia
힌디어	hindi
지형도	topographic
배틀필드	battlefield
삼위일체	trinity
테슬라	tesla
안티오코스	antiochos
브라가	braga
겐타	kenta
릴리스	release
릴리스	nhả
옥스포드	oxford
샐러리맨	salaryman
패드	pad
연어	salmon
자수	thêu
급여	lương
올버니	albany
서신	epistles
로빈스	robbins
가미	kami
정상회의	summit
베릴륨	berili
예카테린부르크	yekaterinburg
거북	rùa
총격	bắn
트라이	tri
포르테	forte
담장	rào
워리어스	warriors
부리	buri
브루크너	bruckner
라듐	radium
비엔티안	vientiane
아처	archer
크라이슬러	chrysler
다트머스	dartmouth
캡처	bắt
캡처	chụp
캡처	capturing
캐니언	canyon
캐니언	hẻm
윈체스터	winchester
팩스	fax
그레나딘	grenadines
스크롤	cuộn
스크롤	scrolls
뮌스터	münster
왓퍼드	watford
그람	gam
그람	gram
그람	grams
메이크업	makeup
루마니아어	rumani
루마니아어	romania
루마니아어	românia
니코시아	nicosia
명주	lụa
제철	thép
진보주의	progressive
찰스턴	charleston
몸무게가	cân
방문자	khách
방문자	khách
끌기	lôi
끌기	kéo
곤잘레스	gonzalez
소문	rumour
소문	rumor
불꽃놀이	firework
리온	leon
바이올리니스트	violinist
클라이드	clyde
반죽을	bột
헬멧	mũ
헬멧	visor
글쓰기	viết
글쓰기	ghi
글쓰기	gõ
글쓰기	viết
글쓰기	ghi
버트	bert
버트	burt
포즈난	poznań
카타리나	catalina
카타리나	catarina
사용됨	phơi
플레처	fletcher
브리스톨	bristol
사진작가	photographers
기억해	nhớ
버블	bubble
독립적	lập
곡률	cong
바늘	needles
바늘	khâu
보복	retribution
마찰	friction
사탄	sa
사탄	satan
오만의	oman
냉동	frozen
왼손잡이	lefty
용지	giấy
용지	trát
푸딩	pudding
다빈치	vinci
엡실론	epsilon
퀴리	curie
데비안	debian
점심	trưa
파인애플	dứa
파인애플	dứa
파인애플	pineapple
펄서	pulsar
브리짓	bridgette
브리짓	brigitte
브리짓	bridget
염증	gớm
인슐린	insulin
성형외과	nhựa
궤적	vết
궤적	vệt
궤적	trails
브래드퍼드	bradford
보호자	guardian
폴더	mục
연방제	federalism
마이스페이스	myspace
보훔	bochum
에디슨	edison
파도바	padua
파도바	padova
플린트	flint
살로	salo
승강기	nâng
승강기	lift
승강기	dỡ
승강기	kháng
낙타	camel
공황	panic
뚱뚱한	béo
뚱뚱한	mập
뚱뚱한	fat
사탕	kẹo
사탕	kẹo
사탕	candy
뮤즈	muse
피코	pico
코플리	copley
알라딘	aladdin
라비	ravi
코페르니쿠스	copernicus
하마드	hamad
키티	kitty
이메일로	email
쇼타임	showtime
매듭	hải
매듭	gút
매듭	knot
리베카	rebekah
리베카	rebecca
블러디	thằng
드래그	lôi
드래그	kéo
머리카락이	tóc
갈래	chill
페라라	ferrara
블레이즈	blaze
블레이즈	blades
시력	vision
스파크	sparks
타겟	đo
보디	bodie
린치	lynch
선더	vanilla
선더	sấm
선더	sét
초승달	crescent
목격자	chứng
타이타늄	titanium
타이타늄	titan
노숙자	homeless
노숙자	homelessness
노름	norm
로드리고	rodrigo
기내	inflight
울타리	rào
사운드클라우드	soundcloud
비스콘티	visconti
파울로	paul
트레일러	trailers
트레일러	trailer
셔츠	áo
존중	bai
셰프	quầy
지프	jeep
캐나디안	canadian
헤르메스	hermes
폴리네시아	polynesia
폴리네시아	polynesia
디즈니랜드	disneyland
조준	aim
조준	ngắm
조준	nhắm
식물학	cây
식물학	gieo
식물학	trồng
식물학	cấy
칼라일	carlyle
칼라일	carlisle
단테	dante
알링턴	arlington
누드	nude
목욕탕	bad
목욕탕	bath
목욕탕	tắm
컴뱃	combat
경계선	viền
경계선	viền
경계선	biên
대담	đậm
대담	bold
험프리	humphrey
마르타	marta
플렉스	flex
검투사	gladiator
헤이스	hayes
이득이	gains
기울기	tilt
기울기	nghiêng
인도네시아어	indonesia
후지오카	fujioka
에센	essen
산탄데르	santander
배포판	distro
라운지	lounge
안정화	stabilization
아담스	adams
우미	umi
설문조사	survey
델파이	delphi
신디	cindy
매크로	macro
매크로	vĩ
매크로	macros
탄환	viên
마카비	maccabi
관절	tham
슬러그	sên
슬러그	slug
방울	giọt
방울	bỏ
방울	thả
스맥다운	smackdown
연휴	holiday
레오니트	leonid
아나톨리	anatoly
인듐	indi
재구성	tái
재구성	restructure
큐티	cutie
쿼드	quad
컬트	cult
시모어	seymour
흐린	mây
흐린	cloudy
스커트	váy
스커트	dâu
스파게티	spaghetti
석호	đầm
석호	lagoon
낙원	vườn
낙원	gardens
낙원	thiên
헝가리인	hungary
고혈압	hypertension
라바트	rabat
견인	traction
견인	tow
콜리시엄	coliseum
섹시한	sexy
터보팬	turbofan
아랍인	arab
헨드릭	hendrik
헨드릭	hendrick
프레스토	presto
살림	salim
알론소	alonso
예배당	chapel
갑판	boong
갑판	boong
갑판	deck
매핑	mappings
접시	dish
접시	món
접시	đĩa
접시	dĩa
접시	đĩa
접시	saucer
밀턴	milton
아인	ain
마그누스	magnus
멘도사	mendoza
아일랜드어	irish
정사각형	đc
정사각형	square
정사각형	vuông
천둥	vanilla
천둥	sấm
천둥	sét
방사	xạ
제다이	jedi
위니펙	winnipeg
조각상	tượng
조각상	tượng
연회	yến
바닷가	biển
바닷가	beach
캥거루	kangaroo
캥거루	dipodomys
캥거루	kangaroo
즐거움	sướng
창던지기	javelin
남색	chàm
그늘	râm
그늘	khuất
톨레도	toledo
메이트	mate
세라믹	gốm
세라믹	ceramic
세라믹	gốm
로버트슨	robertson
보렐	borel
비슈케크	bishkek
벙커	bunker
벙커	boongke
벙커	cũi
하르키우	kharkiv
알렉시스	alexis
와이프	vợ
와이프	vơ
와이프	vk
죠지	george
홀랜드	holland
말콤	malcolm
말콤	malcom
단치히	danzig
프랭키	frankie
걸리버	gulliver
모더니즘	modernism
솔라리스	solaris
스기모토	sugimoto
조이스	joyce
애니메이터	animator
브렌던	brendan
브렌던	brendon
가필드	garfield
맨틀	sưởi
맨틀	mantle
헐크	hulk
지멘스	siemens
스트론튬	stronti
원반던지기	discus
줄리어스	julius
라호르	lahore
포르투나	fortuna
렉싱턴	lexington
브레이커	breaker
나디아	nadia
파울루	paulo
타이타닉	titanic
포도당	glucose
탄수화물	carbohydrate
탄수화물	carbohydrates
멜라니	melanie
오시	osh
오시	hms
크리스찬	nguyen
크리스찬	christian
아이맥스	imax
조식	sáng
아틀란티스	atlantis
각막	cornea
그리핀	griffin
킴벌리	kimberly
킴벌리	kimberley
홈스	holmes
미디	midi
유기적	organic
만델라	mandela
휴스	hughes
스티치	khâu
스티치	stitch
옐로스톤	yellowstone
요구르트	yogurt
레일리	rayleigh
주름이	nếp
할렘	harlem
팔라듐	palladium
슬레이어즈	slayers
콜트	colt
부러진	gãy
부러진	vỡ
부러진	hỏng
부러진	hư
아루바	aruba
사중주	tấu
사중주	quartets
나쁘다	xấu
나쁘다	bad
나쁘다	kém
나쁘다	khiếp
나쁘다	tệ
클리퍼드	clifford
적위	dec
인형극	puppetry
팬덤	fandom
신비주의	mysticism
카와구치	kaiji
비스무트	bitmut
뉴포트	newport
트래픽	tê
오션	biển
에디트	edith
애니메이트	hoạt
화장	makeup
모카	mocha
공부하기	học
공부하기	học
배신	phản
배신	bội
배신	betrayal
산토	santo
에이핑크	apink
패러데이	faraday
비토	vitus
비토	vito
황혼	twilight
도밍고	domingo
랩소디	rhapsody
기질	disposition
워해머	warhammer
의존	dependence
스피어	cầu
스피어	xiên
스피어	giáo
스피어	spear
타타르족	tatar
이드	eid
모서리	góc
모서리	ngách
모서리	mép
모서리	edge
모서리	rìa
모서리	cạnh
모서리	mép
모서리	biên
동창회	homecoming
동창회	reunion
파울리	pauli
라미레스	ramirez
은혜	ân
은혜	grace
은혜	tha
무손실	lossless
레이븐	quạ
레이븐	raven
잠수	lặn
잠수	lặn
크리올	creole
킬링	giết
졸라	zola
코린토스	corinth
결핍	depletion
브렌트	brent
브렌트	thiêu
부어	sưng
부어	puffy
부어	rót
부어	đổ
부어	pour
부어	sưng
부어	khổng
부어	kiêu
지르코늄	zirconium
티에리	thierry
트리거	cò
트리거	bấy
트리거	triggers
타히티	tahiti
클러치	clutch
클러치	côn
기다린다	khoan
삭스	sax
삭스	saxo
트레이	trey
트레이	thùng
트레이	khay
손바닥	palm
손바닥	sên
손바닥	cọ
손바닥	palms
구애	courtship
청량	soft
청량	mềm
아이린	irene
아비뇽	avignon
매니	manny
아르센	arsène
주룽	kowloon
드루	lê
드루	drew
교세라	kyocera
서덜랜드	sutherland
보르자	borgia
타케루	takeru
게이트웨이	cổng
게이트웨이	gateway
숙소	nhà
숙소	lodging
스캔	quét
스캔	quét
스캔	scan
블랙잭	blackjack
다름슈타트	darmstadt
듀이	dewey
하이든	haydn
콘래드	conrad
이발사	barber
평판	đồn
스티븐슨	stevenson
스티븐슨	stephenson
생쥐	chuột
생쥐	chuột
왕관	vương
휴즈	hughes
어레이	mảng
어레이	ten
클로비스	clovis
카슨	carson
혜택	lợi
믿기	tin
어댑터	adapter
표범	leopard
해리어	harrier
이스트우드	eastwood
에이리언	alien
번스	cháy
네오디뮴	neodymi
에테르	aether
에테르	ether
에테르	ete
미케네	mycenaean
호박	amber
호박	pumpkins
호박	zucchini
호박	pumpkin
구워	nướng
실크	lụa
순교	martyrdom
알리칸테	alicante
루블	rubel
하치만	hachiman
미카코	mikako
티모시	timothy
프로비던스	providence
부팅	boot
소풍	picnic
메건	megan
설계자	designer
앤드루스	andrews
브란트	brant
브란트	brandt
무서워	sợ
무서워	ex
바이러스성	viral
바이러스성	virus
켄드릭	kendrick
비키니	bikini
헨더슨	henderson
굵게	đậm
굵게	bold
우도	udo
카리나	carina
카리나	karina
카리나	galina
카리나	carina
비첸차	vicenza
나탈리아	natalia
지지자	supporter
스테로이드	steroid
스테로이드	steroid
자원봉사	nguyện
모리야	mori
라시드	rachid
라시드	rashid
아델	adele
발진	rash
푸시	push
푸시	đẩy
와이어	dây
흥미	vốn
흥미	lãi
페소	peso
페소	peso
사비	savvy
사비	xavi
스포르차	sforza
희귀	hiếm
치마	váy
치마	dâu
치마	váy
태프트	taft
커리	brisbane
커리	curry
약해	yếu
약해	nhược
그루브	groove
기다렸다	khoan
소호	soho
크룰	krull
콘도르	condor
호아킨	joaquin
허구	fiction
아라	ara
시맨틱	semantic
산드라	sandra
종착역	terminus
로메로	romero
천구	celestial
사카에	sakae
톨스토이	tolstoy
자루	bao
자주색	purple
자주색	tím
난쟁이	lùn
난쟁이	phơ
잠겨	khóa
양배추	bắp
조나스	jonas
미코	miko
입양	nuôi
섭취	intake
외할머니	bà
가부키	kabuki
리퍼	reaper
리퍼	ripper
토로	toro
코르시카	corse
코르시카	corsica
디렉토리	directory
튜더	tudor
페르난두	fernando
질러	hét
고립	isolated
시스	sith
박테리아	bacterium
이리듐	iridium
코메디	hài
버킹엄	buckingham
버킹엄	buckinghamshire
메릴	merrill
숙모	dì
앨리	allie
앨리	ally
앨리	ngõ
앨리	alley
앨리	hẻm
분대	squad
분대	đội
디터	dieter
정당화	justification
알레포	aleppo
펠레	pele
단결	unity
레시피	thức
레시피	recipe
빌려서	mượn
두샨베	dushanbe
항체	antibody
증오	hat
증오	ghét
증오	hat
극적	kịch
스타게이트	stargate
호빗	hobbit
세부사항	tiết
게이스케	fujie
불쌍한	nghèo
불쌍한	nghiệp
가난	nghèo
스프린터	splinter
예스	vâng
예스	dạ
미코얀	mikoyan
미시	missy
도넛	phong
스킵	skip
나카시마	nakashima
택배	courier
낙태	abortion
뻐꾸기	cu
클라우디아	claudia
레이몬드	raymond
피레아스	piraeus
사다리	thang
사다리	thang
사다리	ladder
발톱	nail
발톱	móng
발톱	ngứa
발톱	cào
일회용	disposable
와일드카드	wildcards
해롤드	harold
유토피아	utopia
마누라	vợ
마누라	vơ
마누라	vk
아리엘	ariel
세르비아어	serbia
세페이드	cepheid
맹세	thề
템플릿	templates
템플릿	mẫu
템플릿	mẫu
붕소	boron
쿠르디스탄	kurdistan
드라이	lau
드라이	khô
미켈란젤로	michelangelo
버티고	vertigo
슬라이더	trachemys
피터슨	peterson
피터슨	petersen
히치콕	hitchcock
도슨	dawson
길모어	gilmour
길모어	gilmore
픽사	pixar
해골	skull
해골	sọ
해골	quang
셀레늄	selen
가쓰우라	katsuura
젝스키스	bồi
젝스키스	jack
데스크	bàn
데스크	bàn
순서수	ordinal
헝거	đói
스탬퍼드	stamford
리지	lizzie
리지	lizzy
쏟아지는	trút
콘셉시온	concepción
재클린	jacqueline
재클린	jaclyn
다우니	downey
만듭니다	tạo
프랑켄슈타인	frankenstein
크로아티아인	croat
크로아티아인	croats
크로아티아인	croatia
명시적	dâm
앰버	amber
윌킨슨	wilkinson
핼리	halley
핼리	hallie
타니	thani
맨션	mansion
절친	bff
플린	flynn
보안관	sheriff
블럭	chặn
블럭	khối
블럭	block
블럭	chặn
마르첼로	marcellus
불법행위	tort
건너편	across
트롤	troll
트롤	ogre
트라이아스기	triassic
고슴도치	nhím
당근	carrot
고흐	gogh
록스타	rockstar
호킹	hawking
유투브	youtube
발가락	tâ
발가락	toe
마나마	mana
마나마	manama
섀도	bóng
섀도	bóng
섀도	shadow
트렁크	trunks
트렁크	cốp
트렁크	rương
윙크	wink
속옷	lót
속옷	underwear
대박	jackpot
대박	awesome
대박	omg
페르세우스자리	perseus
리플리	ripley
뱅가드	vanguard
로드니	rodney
모욕	xúc
모욕	xúc
웹스터	webster
로웰	lowell
계산하기	tính
오스뮴	osmi
간간	gan
간간	chay
펄프	pulp
간호	nursing
믈라카	malacca
마비	liệt
라파예트	lafayette
튀김	chiên
튀김	tempura
갤러거	gallagher
소다	soda
매니아	mania
테이트	tate
근본주의	fundamentalism
티모르	timor
헨리에타	henrietta
공격성	aggression
바르가스	vargas
느슨하게	loosely
멧돼지	boar
자넷	janet
귀납적	inductive
내셔널스	open
내셔널스	nationals
레반트	levant
루아르	loire
하트퍼드	hartford
횃불	torch
횃불	đuốc
선더버드	thunderbird
카메이	yoshiko
본머스	bournemouth
아르놀트	arnold
수신기	receiver
미즈	miz
딕슨	dixon
딕슨	dickson
푸에르토	puerto
스피카	spica
명상	meditations
명상	thiền
폴라리스	polaris
미용실	salon
미용실	salon
압바스	abbas
터코마	tacoma
잔해	tàn
고전주의	classicism
자석	magnet
연금술	alchemy
제트스타	jetstar
화살표	arrow
현수	banner
트란스니스트리아	transnistria
이리나	irina
장어	lươn
장어	lươn
식탁	bảng
식탁	bàn
온난화	ấm
파드	fahd
아스퍼거	asperger
붙여넣기	dán
붙여넣기	dã
카메론	cameron
판매하기	bán
터키인	thổ
터키인	turks
보스토크	vostok
주말에	weekend
아수라	asura
클리닉	clinic
코이케	koike
조회수	views
클라우디우스	claudius
자갈	sỏi
밸런타인	valentine
집단살해	genocide
허큘리스	hercules
녹조류	tảo
녹조류	alger
히라야마	hirayama
타밀어	tamil
모리구치	moriguchi
길러	vung
재킷	jacket
좌절	nản
유황	sulfur
바누아투	vanuatu
사용함	phơi
로리타	lolita
히라사와	shusaku
피쉬	cá
깎은	khối
아몬드	almond
바뀌기	đổi
바뀌기	thay
마일즈	myles
마일즈	miles
마일즈	phít
마일즈	km
마일즈	dặm
퍼지	fuzzy
퍼지	nhòe
퍼지	fudge
콩코드	concorde
콩코드	concord
맨스필드	mansfield
오이디푸스	oedipus
히카르두	ricardo
페르세폴리스	persepolis
커터	cutter
크리크	lạch
크리크	creek
노화	aging
고치기	fix
루앙	rouen
메타데이터	siêu
부엌	bếp
부엌	bếp
팔라비	pahlavi
런닝	chạy
런닝	chạy
콜로세움	coliseum
콜로세움	colosseum
갱스터	thug
갱스터	gangster
갱스터	gangsta
이자벨	isobel
이자벨	isabelle
셸리	shelley
셸리	shelly
비키	vicky
비키	vicki
씨엔블루	cnblue
표정	xem
표정	nhìn
옵서버	observers
옵서버	observer
모뎀	modem
모뎀	bộ
보조금	grants
꾸란	quran
세실리아	cecilia
미네랄	khoáng
플레밍	fleming
홍차	trà
홍차	tea
빨라	mau
빨라	nhanh
쿠마	kumar
쿠마	kuma
해치	hatch
키키	keys
키키	phím
키키	kiki
키키	key
키키	khóa
키키	phím
워터스	waters
서머싯	somerset
홀로그램	hologram
러쉬	rush
케어	care
칼뱅주의	calvinism
비닐	vinyl
비닐	nhựa
비닐	plastic
대마초	cannabis
멀린	merlin
신랑	bridegroom
유로로	euro
당나귀	lừa
당나귀	donkey
당나귀	lừa
당나귀	asses
스타크	stark
헬파이어	hellfire
농담	joke
농담	đùa
농담	đểu
농담	đùa
농담	đùa
농담	đùa
다람쥐	sóc
다람쥐	sóc
강릉시청	gangneung
특이점	singularity
호프먼	hoffmann
호프먼	hoffman
호프먼	hoffman
운전사	xế
예고편	trailer
젤리	thạch
젤리	jelly
곤살로	gonzalo
프라다	prada
루비듐	rubiđi
안데르센	andersen
더미	dummy
더미	nộm
트랜스포트	trans
비싸다	đắt
글로스터	gloucester
리츠	ritz
티파니	tiffany
싱가폴	singapore
랜돌프	randolph
동물학	vật
복부	abdominal
복부	bụng
복부	bụng
스피처	spitzer
엄지	thumb
엄지	thumbs
스나이더	snyder
크레딧	credit
크레딧	gmail
유니콘	unicorn
다윗	david
파이프라인	ống
티탄	titan
식민지화	colonization
노스럽	northrop
두껍게	thick
두껍게	dầy
두껍게	dày
나이오븀	niobi
테크네튬	tecneti
스페이드	bích
스페이드	bích
카를로만	carloman
리빙스턴	livingston
리빙스턴	livingstone
주사위	dice
토루	toru
브레이킹	phá
브레이킹	breaking
전보	tín
반역죄	phản
신스케	shinsuke
폴로늄	polonium
저메인	jermaine
안티모니	antimony
로브	lob
루체른	lucerne
팔리어	pali
클레이턴	clayton
경상	gyeongsang
꿈꾸고	mơ
캐피털	vốn
빙글빙글	spinner
빙글빙글	spinning
피터스	peters
워크숍	xưởng
수수료	fee
수수료	phí
수수료	phí
삭감	cắt
크롬웰	cromwell
부하라	bukhara
나이스	đẹp
스테이크	tết
튤립	tulips
튤립	tulip
스탠딩	đứng
트렌드	trend
양치기	shepherd
마쓰오카	matsuoka
율리아	julia
키미코	kimiko
재고	kho
흔들어	lắc
흔들어	rung
허벅지	đùi
허벅지	đùi
크로	crowe
테리어	terriers
테리어	terrier
이마	trán
이마	trán
해리엇	harriet
담화	discourse
무바라크	mubarak
일곱번째	seventh
삼중	ba
삼중	triple
