терминология	terminologie
слънчева	ensoleillé
слънчева	ensoleillée
слънчева	solaires
слънчева	solaire
колектив	collective
колектив	collectifs
колектив	collectif
видеоклип	vidéo
видеоклип	vidéos
видеоклип	video
линкълн	lincoln
съдилища	tribunaux
съдилища	juridictions
добавени	ajoutés
добавени	ajouté
добавени	ajout
добавени	ajoutée
дисни	disney
извършен	effectué
рисуване	peinture
рисуване	peintures
рисуване	dessin
рисуване	tirage
рисуване	dessiner
специфичен	spécifiques
специфичен	spécifique
костадинов	kostadinov
клип	pince
клип	clip
изрично	expressément
изрично	explicitement
изрично	expressément
изрично	explicite
изрично	explicitement
изрично	explicites
ефективност	efficacité
ефективност	efficience
ефективност	rendement
ефективност	efficacité
ефективност	effectivité
ефективност	efficacité
ефективност	effectivité
ефективност	performance
ефективност	performances
ефективност	rendement
мишки	souris
мишки	souris
замества	remplacera
замества	remplace
индо	indo
агрипа	agrippa
тесни	étroite
тесни	étroits
тесни	étroites
тесни	étroit
убиец	tueur
убиец	killer
убиец	meurtrier
убиец	meurtrière
убиец	meurtrier
убиец	assassin
убиец	assassin
убиец	assassine
монреал	montréal
монреал	montreal
напояване	irrigation
напояване	arrosage
емирства	émirats
емирства	emirats
емирства	emirates
комунистите	communistes
доверие	confidence
доверие	confiance
доверие	trust
доверие	fiducie
доверие	confiance
шеф	chef
шеф	cuisinier
традициите	traditions
изпълнителни	exécutif
тонга	tonga
посоки	itinéraire
посоки	directions
затворена	fermée
затворена	fermé
затворена	fermés
затворена	clos
глад	famine
глад	famines
глад	famine
глад	faim
трек	trek
белица	bjelica
триъгълник	triangulaire
триъгълник	triangle
триъгълник	triangles
комикс	comics
комикс	bd
комикс	comic
комикс	comique
болен	malades
болен	malade
тютюн	tabac
тютюн	tabagisme
лукас	lucas
лукас	lukas
царски	regal
линк	lien
хълмове	collines
изобретател	inventeur
чан	chan
пасища	herbages
пасища	pâturage
пасища	pâturages
пасища	pâture
пасища	herbages
пасища	herbages
пасища	pelouses
пасища	pâturages
изпрати	envoie
изпрати	envoyez
изпрати	envoi
изпрати	envoyer
преименувана	rebaptisée
преименувана	rebaptisé
преименувана	renommé
преименувана	renommés
преименувана	renommée
изречения	phrases
първична	primitif
първична	primitive
първична	primal
първична	primaire
първична	primaires
таймс	fois
жлези	glandes
жлези	glande
коларов	kolarov
улицата	rues
улицата	street
улицата	rue
отрича	nie
яне	janne
отразяват	reflètent
отразяват	refléter
маркетинг	marketing
маркетинг	commercialisation
верона	vérone
реклами	annonces
реклами	publicités
реклами	publicitaire
реклами	publicité
реклами	publicités
разрушени	détruite
разрушени	détruits
разрушени	détruit
разрушени	détruites
разрушени	démolis
разрушени	démoli
разрушени	démolie
бейкър	boulanger
бейкър	baker
нула	zero
нула	zéro
театри	théâtres
театри	théâtres
кризата	crise
изписана	déchargé
органите	organes
забележка	remarque
забележка	note
забележка	notez
забележка	remarque
доналд	donald
колекции	collections
султана	sultana
султана	sultan
етика	déontologie
етика	éthique
цивилни	civil
цивилни	civils
цивилни	civile
цивилни	civiles
цивилни	civils
цивилни	civiles
путин	poutine
путин	putin
представено	présentés
представено	présentées
представено	présentée
представено	présenté
представено	soumise
представено	soumises
представено	présenté
представено	soumis
бит	bit
бит	bits
бит	vaincu
бит	battues
бит	battue
бит	battu
бит	battus
плод	fruitières
плод	fruits
физици	physiciens
имението	manoir
имението	manor
езиците	langues
доктрина	doctrine
еволюцията	evolution
еволюцията	évolution
рицар	knight
рицар	chevalier
рицар	chevaliers
неправилно	incorrect
неправилно	inexacte
неправилно	incorrecte
неправилно	erroné
тото	toto
плаща	paie
плаща	paye
оригинален	originale
оригинален	original
оригинален	originaux
католици	catholiques
католици	catholique
католици	catholiques
твърд	solides
твърд	massif
твърд	solide
твърд	difficiles
твърд	dur
твърд	hard
твърд	difficile
твърд	dure
твърд	rigide
твърд	rigides
твърд	rigidité
развит	développées
развит	développés
развит	développée
развит	développé
вавилон	babylon
вавилон	babylone
умрял	morte
умрял	décédé
умрял	mort
значения	significations
невада	nevada
планети	planete
планети	planètes
месопотамия	mésopotamie
молекули	molécules
марек	marek
кайзерслаутерн	kaiserslautern
наляво	gauche
дакота	dakota
радиус	rayon
радиус	radius
здрави	sain
здрави	saine
ориз	riz
дванадесет	twelve
дванадесет	douze
подчинени	subordonnés
подчинени	subordonnées
подчинени	subordonnée
подчинени	subordonné
подчинени	subordonnés
подчинени	subalterne
подчинени	subordonnée
подчинени	subordonné
подчинени	subordonnés
желязна	fer
ястия	repas
ястия	vaisselle
ястия	plats
същността	essence
дискове	disques
дискове	disquettes
дискове	disques
дискове	cds
дискове	cd
хелзинки	helsinki
анкара	ankara
мирно	pacifique
мирно	paisible
мирно	pacifiques
мирно	paisibles
ръсел	russel
ръсел	russel
ръсел	russell
изработен	fabriqué
прогрес	progrès
прогрес	progression
прогрес	progresser
прогрес	avancement
изпратена	envoyés
изпратена	envoyées
изпратена	envoyée
изпратена	envoyé
цветни	coloré
цветни	colorée
човешко	humaine
човешко	humains
човешко	humain
процесите	processus
процесите	procédés
галерии	galeries
изпълнен	remplies
изпълнен	remplis
изпълнен	remplie
изпълнен	rempli
леля	tatie
леля	tata
леля	tante
леля	tatie
леля	tante
контузия	préjudice
контузия	blessure
контузия	lésion
контузия	lésions
контузия	blessures
контузия	contusion
скок	sauter
скок	saute
скок	jump
скок	saut
скок	bondir
скок	saut
цикъла	cycle
частична	partiel
частична	partielles
частична	partiellement
частична	partiels
частична	partielle
люк	luke
люк	luc
съпротивление	résistance
съпротивление	résistant
съпротивление	resistance
съпротивление	résistants
съпротивление	résistances
ресторант	restaurant
ресторант	gastronomie
дева	virgo
дева	vierge
дева	deva
андреас	andreas
казан	chaudron
казан	kazan
слънчеви	ensoleillées
слънчеви	ensoleillé
слънчеви	ensoleillée
слънчеви	solaires
слънчеви	solaire
лусия	lucie
лусия	lucia
победителите	lauréats
победителите	gagnants
победителите	vainqueurs
въздушно	antenne
въздушно	aérien
въздушно	aérienne
въздушно	aérien
въздушно	air
арагон	aragon
азиатски	asiatiques
азиатски	asiatique
умерено	modéré
умерено	modérée
умерено	modérées
умерено	modérés
умерено	moyennement
умерено	modérément
анатомия	anatomie
истинска	réel
истинска	réelle
истинска	véritable
истинска	vrai
истинска	vraie
стан	stan
журито	juré
журито	jury
журито	jurés
журито	jurys
задвижване	propulsion
образователни	éducatif
агенцията	agence
добави	ajout
добави	ajouter
добави	ajoute
добави	ajoutez
разработени	développées
разработени	développés
разработени	développée
разработени	développé
сиво	gray
сиво	gris
сиво	grise
сиво	gris
сиво	grise
условно	conditionnel
условно	conditionnels
условно	conditionnelle
сфери	sphères
установка	lanceur
календара	calendriers
календара	agenda
календара	calendrier
археолог	archéologue
сфорца	sforza
тъмна	noir
тъмна	foncé
тъмна	sombre
състави	compile
състави	compilation
състави	compiler
състави	compositions
състави	configurations
костите	bones
костите	os
слиза	décroissant
слиза	descendante
слиза	descendant
пръст	doigt
пръст	doigts
пръст	tep
пръст	orteil
пръст	toe
параметър	paramètre
единна	unifiée
единна	unifiées
единна	unifié
единна	unifiés
модена	modène
астрономия	astronomie
президентските	présidentielle
президентските	présidentiel
сокол	falcon
сокол	faucon
изкуствен	artificiels
изкуствен	artificiel
изкуствен	artificielle
изкуствен	artificielles
великден	pâque
великден	pâques
неочаквано	inopinément
неочаквано	inattendue
неочаквано	inattendu
неочаквано	imprévisible
неочаквано	imprévu
неочаквано	imprévus
пациенти	patients
пациенти	patientes
сейшели	seychelles
морско	maritimes
морско	maritime
агенти	agents
агенти	mandataires
организирано	organisé
организирано	organisés
организирано	organisée
организирано	organisées
организирано	organisé
организирано	organisés
организирано	organisée
организирано	organisées
дебър	debar
нормандия	normande
нормандия	normandie
построено	construite
построено	construit
построено	bâti
построено	construits
спортно	sportive
спортно	sport
спортно	sports
остро	tranchant
остро	pointu
остро	sharp
остро	aiguë
остро	aigu
остро	aigus
остро	aiguës
стихотворение	poème
руините	ruines
руините	ruine
финландски	finnoise
финландски	finlandais
финландски	finnois
финландски	finlandaise
дистанция	distance
дистанция	éloignement
дистанция	distances
клеопатра	cléopâtre
пирамида	pyramide
пирамида	pyramides
психологията	psychologie
магнус	magnus
роналд	ronald
катар	qatar
създателите	créateurs
създателите	créatrices
тясна	étroite
тясна	étroits
тясна	étroites
тясна	étroit
доминика	dominique
брабант	brabant
бонус	bonus
бонус	prime
бонус	bonification
кеймбридж	cambridge
гренландия	groenland
аргумент	argumentation
аргумент	dispute
аргумент	argument
аргумент	arguments
спиране	freinage
спиране	halte
синтез	fusion
синтез	synthèses
синтез	synthèse
мускули	muscles
мускули	musculaire
мускули	muscles
мускули	muscle
мускули	musclé
сив	gray
сив	gris
сив	grise
сив	gris
сив	grise
етапи	phases
етапи	étapes
етапи	jalons
етапи	étapes
людмила	ludmilla
комитети	commissions
комитети	comités
оливър	oliver
оливър	olivier
сесия	session
сесия	séance
вулкана	volcan
вулкана	volcans
освобождаване	release
освобождаване	libération
освобождаване	libèrent
освобождаване	dérogation
освобождаване	exonération
освобождаване	exemption
освобождаване	exemptions
освобождаване	dérogations
освобождаване	exonérations
членство	membres
членство	adhésion
железен	ferreux
железен	fer
ръкопис	manuscrit
ръкопис	manuscrits
чиновник	clerc
чиновник	greffier
чиновник	commis
сняг	neige
сняг	snow
записано	enregistrées
записано	enregistrée
записано	enregistrés
записано	enregistré
реалност	réalité
реалност	réalités
бестселър	bestseller
безплатно	gratuit
безплатно	gratuits
безплатно	free
безплатно	gratuitement
безплатно	libre
интервюта	entretiens
интервюта	entrevues
интервюта	interviews
ватикана	vatican
антония	antonia
курорти	localités
ванкувър	vancouver
консулски	consulaires
консулски	consulaire
жител	résidente
жител	résidant
жител	résident
жител	résidents
жител	habitant
представления	performances
представления	spectacles
представления	représentations
еберхард	eberhard
отказ	refuser
отказ	refusez
отказ	refus
отказ	négation
отказ	refus
отказ	déni
отказ	démenti
рикардо	riccardo
рикардо	ricardo
навън	extérieur
навън	dehors
навън	exterieur
навън	sortir
навън	sortie
навън	dehors
навън	out
присъединяване	joindre
присъединяване	rejoignez
присъединяване	adhérer
присъединяване	rejoindre
присъединяване	accession
присъединяване	adhésion
здравко	zdravko
продажбите	soldes
продажбите	ventes
продажбите	vente
проконсул	proconsul
мъжко	mâle
мъжко	masculin
мъжко	homme
убеден	persuadé
убеден	convaincue
убеден	convaincu
убеден	convaincus
свидетелство	certificats
свидетелство	attestation
свидетелство	certificat
художниците	peintres
покрит	couvert
покрит	couvertes
покрит	couverte
покрит	recouvert
покрит	couverts
покрит	enduit
покрит	recouvert
покрит	enrobé
покрит	revêtus
покрит	couché
бележка	remarque
бележка	note
бележка	notez
бележка	mémo
мероприятия	évènements
мероприятия	evénements
мероприятия	evenements
мероприятия	événements
брод	brod
бронзови	bronze
морган	morgane
морган	morgan
охлаждане	refroidissement
охлаждане	réfrigération
пресата	appuyez
пресата	presse
пиетро	pietro
доброволно	volontaire
доброволно	volontaires
окото	oculaire
окото	yeux
окото	oeil
окото	œil
костенурки	tortues
заменена	remplacé
заменена	remplacée
заменена	remplacées
заменена	remplacés
преса	appuyez
преса	presse
уайлд	wilde
бета	beta
бета	bêta
бета	béta
регистрация	inscription
регистрация	enregistrement
регистрация	immatriculation
реймънд	raymond
мариана	marianna
мариана	mariana
сопот	sopot
сключен	conclu
сключен	conclue
сключен	conclus
ням	muet
ням	muette
ням	sourdine
ням	muets
храсти	buissons
храсти	arbustes
физическо	physique
физическо	physiques
показване	afficher
показване	affichage
показване	affiche
показване	afficher
показване	montre
показване	montrer
показване	spectacle
платна	toiles
платна	canevas
платна	canvas
платна	toile
платна	toiles
платна	voiles
ирански	iraniennes
ирански	iranienne
ирански	iranien
про	pro
мориц	moritz
износ	exportations
износ	exportation
износ	exportations
износ	exporter
износ	exportation
роналдо	ronaldo
марта	marta
марта	martha
марта	marthe
кралско	royale
кралско	royal
кралско	royales
кралско	royaux
рицарите	knights
рицарите	chevaliers
индекс	index
индекс	indice
лодка	bateau
лодка	canot
йога	yoga
емигранти	immigrants
емигранти	immigrés
емигранти	émigrants
емигранти	émigrés
платно	canevas
платно	canvas
платно	toile
платно	toiles
родина	patrie
родина	patrie
родина	patrie
гласът	voix
йоханес	johannes
карол	karol
карол	carol
карол	carole
алтернатива	alternative
алтернатива	alternatif
парична	monétaire
подчертава	souligne
подчертава	souligne
тимор	timor
тайните	secrets
лидерите	meneurs
лидерите	leaders
лидерите	dirigeants
николаос	nikolaos
бъдещи	future
бъдещи	futures
бъдещи	futur
бъдещи	futurs
бъдещи	avenir
чува	entend
пшеница	froment
пшеница	blé
баланс	balance
баланс	solde
баланс	équilibre
кучето	chiens
кучето	chien
кучето	chienne
свидетел	témoins
свидетел	témoin
орбитата	orbite
орбитата	orbites
цвайбрюкен	zweibrücken
организъм	organisme
отпадъци	déchets
отпадъци	gaspillages
отпадъци	gaspillage
отпадъци	déchet
отпадъци	déchets
централа	central
централа	centrale
централа	siège
сватба	mariage
сватба	mariage
сватба	noces
сватба	mariages
литра	litres
литра	litres
резерв	réserve
резерв	réserves
резерв	réserve
резерв	réserver
лицата	faces
лицата	visages
мъченици	martyrs
отделяне	détacher
отделяне	dissociation
отделяне	dégroupage
отделяне	séparation
заслужава	mérite
видях	saw
видях	scie
конен	équestres
конен	équitation
конен	équestre
полезно	utile
полезно	utiles
полезно	serviable
полезно	utile
полезно	utiles
извършена	effectué
способен	capables
способен	capable
гледам	regardant
гледам	regarder
стивънс	stephens
стивънс	stevens
диапазон	gamme
диапазон	portée
напоследък	récent
напоследък	récemment
напоследък	dernièrement
алан	allan
мара	mara
превзет	prétentieuse
превзет	prétentieux
убеди	convaincre
убеди	convainc
бийч	hêtre
документация	documentation
последици	conséquences
последици	conséquences
последици	implications
последици	incidences
последици	effets
последици	conséquence
ясна	jasna
пътека	sentier
пътека	chemin
пътека	sillon
пътека	sentier
пътека	piste
учителите	professeurs
учителите	enseignants
учителите	enseignant
шерлок	sherlock
осман	osman
изстрелване	lancement
изстрелване	lancement
изстрелване	lancements
изстрелване	lancer
изстрелване	lancez
орфей	orphée
колела	roulettes
колела	roues
федерална	fédéral
федерална	fédérale
федерална	fédéraux
федерална	fédérales
правомощия	pouvoirs
правомощия	powers
правомощия	autorité
вълк	loup
вълк	loups
вълк	wolf
вълк	louve
слаб	maigre
слаб	maigres
слаб	faiblesse
слаб	faible
слаб	faibles
слаб	maigre
слаб	mince
слаб	minces
способни	capables
способни	capable
падуа	padoue
уейн	wayne
съществувало	existait
съществувало	existé
съществувало	existaient
разновидност	variété
нашия	notre
нашия	nos
брут	brutus
хърбърт	herbert
екшън	action
отдих	loisirs
отдих	récréation
отдих	loisirs
отдих	loisir
отдих	détente
отдих	relaxation
духовен	spirituelle
духовен	spirituel
духовен	spirituelles
фишер	fisher
фишер	pêcheur
фишер	fischer
гръб	dos
гръб	arrière
гръб	retour
гръб	revenir
гръб	dos
гнездото	nids
гнездото	nest
гнездото	nid
предприемачи	entrepreneurs
предприемачи	promoteurs
предприемачи	développeurs
предприемачи	entrepreneurs
предприемачи	contractants
тетово	tetovo
моцарт	mozart
въстания	soulèvements
въстания	révoltes
яйцата	œufs
яйцата	oeufs
реконструкция	reconstitution
реконструкция	reconstruction
тухли	briques
финалите	finale
финалите	finals
финалите	finales
затворници	prisonnières
затворници	prisonniers
затворници	détenus
затворници	cons
затворници	détenues
затворници	détenus
дженифър	jennifer
правителствата	gouvernements
неа	nea
инфо	info
инфо	infos
записана	enregistrées
записана	enregistrée
записана	enregistrés
записана	enregistré
математици	mathématiciens
елин	elin
детройт	détroit
детройт	detroit
ушите	oreilles
ушите	épis
продуктите	produits
министрите	ministres
хънт	hunt
хънт	pourchasser
хънт	chasser
хънт	chasse
проведено	mené
проведено	effectué
единични	célibataire
единични	simple
единични	simples
единични	célibataires
нормална	normale
нормална	normaux
нормална	normales
нормална	normal
рая	paradis
рая	heaven
рая	cieux
рая	ciel
рая	paradis
рая	paradisiaque
рая	paradise
политбюро	politburo
съотношение	proportions
съотношение	proportion
съотношение	ratio
съчетание	combinaison
духовно	spirituelle
духовно	spirituel
духовно	spirituelles
духовно	spirituellement
частно	privée
частно	privé
частно	privés
разрешава	permet
стипендия	bourse
блато	marécage
блато	marais
блато	marécage
блато	marais
блато	marsh
блато	marécage
илюстрации	illustrations
хабсбург	habsbourg
хабсбург	habsburg
гризачи	rongeur
гризачи	rongeurs
гризачи	rongeur
гризачи	rongeurs
практикува	pratiqué
практикува	pratiquée
укрепления	fortifications
нарушава	déforme
нарушава	viole
нарушава	enfreint
дворецът	palais
дворецът	palace
дъска	planche
дъска	planche
томи	tommy
излъчването	aérer
излъчването	radiodiffusion
излъчването	diffusion
блата	marécages
блата	tourbières
блата	marais
проектиране	dessin
проектиране	design
проектиране	conception
проектиране	concevoir
мърфи	murphy
земноводни	amphibiens
учебници	manuels
корен	root
корен	racines
корен	racine
кей	kay
експозиция	exposition
алпийски	alpin
алпийски	alpins
алпийски	alpine
модерен	modernité
модерен	moderne
модерен	modernes
остра	aiguë
остра	aigu
остра	aigus
остра	aiguës
остра	tranchant
остра	pointu
остра	sharp
наблизо	proximité
наблизо	proche
включването	incorporation
балет	ballet
трайно	durable
трайно	durables
трайно	définitivement
последователност	cohérence
последователност	séquences
последователност	séquence
последователност	consistance
последователност	homogénéité
последователност	uniformité
последователност	cohérence
тънки	maigre
тънки	mince
тънки	minces
аец	npp
мъртъв	morts
мъртъв	morte
мъртъв	dead
мъртъв	mort
петата	talon
заряд	charge
коло	colo
подправки	assaisonnement
подправки	épices
подправки	condiments
подправки	épices
подправки	spice
подправки	épice
разтвор	solution
ума	uma
ума	esprit
ума	mind
дамаск	damas
установена	établies
установена	établie
установена	établi
установена	établis
черво	intestin
черво	intestins
черво	intestin
черво	intestins
черво	côlon
черво	colon
хумор	humour
хумор	humeur
хумор	humour
интензивно	intensive
интензивно	intensives
интензивно	intensif
интензивно	intense
интензивно	intensifs
интензивно	intense
интензивно	intenses
интензивно	intensément
радослав	radoslav
популация	populations
популация	population
одобрява	approuve
подобрения	améliorations
подобрения	amélioration
подобрения	améliorations
подобрения	améliorations
подобрения	amélioration
подобрения	améliorations
драган	dragan
организиране	organisent
организиране	organiser
организиране	organisent
организиране	organiser
организиране	organiser
организиране	organisatrice
организиране	organiser
поеми	poèmes
ужасите	horreurs
злото	diaboliques
злото	mal
злото	evil
злото	diabolique
силва	silva
премахва	supprime
възприемат	percevoir
възприемат	perçoivent
майсен	meissen
култ	secte
култ	culte
култ	cultes
трафик	trafic
трафик	circulation
трафик	trafics
трафик	trafic
трафик	traite
баку	bakou
специфична	spécifiques
специфична	spécifique
погребението	funérailles
погребението	obsèques
погребението	funéraire
погребението	enterrement
рой	roy
живите	vivante
живите	vivants
живите	vivant
живите	vivre
монахиня	nonne
спонсор	commanditaire
спонсор	parrainer
спонсор	parrain
спонсор	sponsor
спонсор	promoteur
остатъци	résidus
остатъци	résidu
остатъци	restes
остатъци	résidus
луиджи	luigi
робство	esclavage
робство	esclavage
робство	servitude
робство	asservissement
робство	bondage
остър	tranchant
остър	pointu
остър	sharp
остър	aiguë
остър	aigu
остър	aigus
остър	aiguës
династии	dynasties
вестфалия	westphalie
долини	vallées
детство	enfance
важи	applique
стаята	salle
стаята	chambre
стаята	chambres
битките	batailles
струга	struga
подобие	similitude
подобие	ressemblance
подобие	ressemblances
подобие	similarité
патрон	patron
патрон	mécène
патрон	patronne
патрон	cartouche
патрон	cartouches
таня	tania
таня	tanya
таня	tanja
увеличение	agrandir
увеличение	zoom
увеличение	zoomer
увеличение	augmenter
увеличение	accroître
увеличение	augmentation
увеличение	accroissement
увеличение	grossissement
увеличение	agrandissement
възпитание	enseignement
възпитание	éducation
заслужил	méritée
заслужил	gagnés
заслужил	mérité
заслужил	gagné
заслужил	gagnées
устойчивост	stabilité
устойчивост	pérennité
устойчивост	pérennisation
устойчивост	viabilité
устойчивост	durabilité
устойчивост	résistance
устойчивост	résistant
устойчивост	resistance
устойчивост	résistants
устойчивост	résistances
устойчивост	persévérance
устойчивост	persistance
устойчивост	obstination
устойчивост	persistant
устойчивост	résilience
бъркли	berkley
бъркли	berkeley
камери	appareils
камери	caméras
експерти	experts
обичайно	habituel
обичайно	habituelle
подчинение	obéissance
подчинение	soumission
изключен	handicapé
изключен	handicapés
изключен	désactivés
изключен	désactivée
изключен	désactivé
изключен	déconnecté
изключен	déconnectés
изключен	débranché
изключен	exclus
изключен	exclu
изключен	exclues
изключен	exclue
изключен	expulsés
изключен	renvoyé
изключен	expulsé
блокиран	bloquées
блокиран	bloquée
блокиран	bloqué
блокиран	bloqués
затруднения	difficulté
затруднения	difficultés
затруднения	difficultés
приказка	récit
приказка	conte
приказка	récit
метър	mètre
метър	compteur
метър	mètre
модификации	modifications
джан	jan
джан	yann
джан	zhang
саймън	simon
свързване	liant
свързване	contraignant
свързване	reliure
свързване	branchement
свързване	raccordement
свързване	connexion
свързване	collage
свързване	cautionnement
свързване	connecter
свързване	raccordement
свързване	reliant
свързване	connexion
свързване	connecter
свързване	connexion
свързване	connectez
променливи	variable
променливи	variables
променливи	variables
психоаналитик	psychanalyste
удоволствие	plaisir
удоволствие	plaisirs
лийдс	leeds
шумахер	schumacher
неизвестна	inconnue
неизвестна	inconnu
неизвестна	inconnus
неизвестна	inconnues
сок	jus
сок	juice
сок	chaussette
пейзаж	paysage
пейзаж	paysager
пейзаж	paysage
пейзаж	paysages
влияе	affectent
влияе	affecte
ресен	resen
ивици	rayé
ивици	galons
ивици	rayures
базел	bâle
гаврил	gavril
клетва	vœu
клетва	voeu
клетва	serment
покровител	patron
покровител	mécène
покровител	patronne
сблъсъци	heurts
сблъсъци	affrontements
сблъсъци	collisions
наталия	natalia
наталия	natalia
разделено	divisé
разделено	divisée
разделено	divisées
разделено	divisés
кери	carrie
кери	cary
кери	kerry
съветници	conseillers
съветници	conseillers
леонард	léonard
леонард	leonard
показател	référentiel
показател	index
показател	indice
показател	indicateur
пробив	percée
пробив	violation
пробив	brèche
пробив	contravention
комунизма	communisme
осъжда	condamne
църквите	églises
църквите	eglises
домашен	maison
домашен	domicile
домашен	accueil
домашен	domestiques
домашен	domestique
построи	bâtir
построи	construire
кооперация	coopératifs
кооперация	coopérative
кооперация	coopératives
кооперация	coopératif
ален	alain
конкурси	concours
конкурси	compétitions
конкурси	concours
конкурси	compétitions
бук	hêtre
германци	allemands
компютъра	ordinateurs
компютъра	ordinateur
реализъм	réaliste
реализъм	réalisme
делегати	délégués
гуам	guam
настояване	insistance
повреда	échec
повреда	défaillance
повреда	dégats
повреда	dommages
повреда	dégâts
повреда	dommage
повреда	dysfonctionnement
оксфорд	oxford
аквитания	aquitaine
сет	seth
съдържащ	contenant
дива	wild
дива	sauvage
дива	sauvages
дива	diva
девети	ninth
девети	neuvième
двоен	doubler
двоен	double
двоен	doubles
археология	archéologie
археология	archéologie
ескадрила	escadrille
ескадрила	escadre
ескадрила	escadron
ескадрила	escadrons
шум	bruits
шум	bruit
опитът	expériences
опитът	expérience
психологически	psychologique
психологически	psychologiquement
бенджамин	benjamin
стълб	piliers
стълб	pilier
стълб	pôle
стълб	poteau
стълб	pole
стълб	polonais
заден	arrière
заден	arriere
заден	arrières
каменица	kamenica
опери	opéras
описана	décrites
описана	décrits
описана	décrit
описана	décrite
абдул	abdul
абдул	abdel
прием	apport
прием	réception
светлана	svetlana
пен	penn
специализирана	spécialisé
специализирана	spécialisée
специализирана	spécialisées
специализирана	spécialisés
специализирана	spécialisé
специализирана	spécialisée
специализирана	spécialisées
специализирана	spécialisés
луизиана	louisiane
сух	sèche
сух	sèches
сух	sec
сух	secs
сух	sécher
кристали	cristaux
сървър	server
сървър	serveur
хофман	hoffmann
хофман	hoffmann
хофман	hoffman
училищата	école
училищата	ecoles
училищата	écoles
мей	mei
фотограф	photographe
лого	logo
лого	logos
лого	logos
мирослав	miroslav
материалите	matières
материалите	matériaux
материалите	materiaux
почит	hommage
почит	tribut
почит	hommages
почит	hommage
атлетика	athlétisme
съдът	tribunal
съдът	cour
хирургия	chirurgie
отражение	reflet
отражение	réflexion
отражение	reflets
вегас	vegas
влакна	fibres
влакна	fibres
влакна	fibre
влакна	fibres
влакна	fibres
влакна	fibre
бенедикт	benedict
бенедикт	benoît
поделение	unité
поделение	unite
поделение	unit
предложена	offerts
предложена	offertes
предложена	offerte
предложена	offert
предложена	proposée
предложена	proposé
предложена	proposées
предложена	proposés
насърчава	encourage
насърчава	favorise
насърчава	encourage
насърчава	promeut
признати	reconnu
признати	reconnues
признати	reconnue
признати	reconnus
признати	reconnu
признати	reconnue
признати	reconnus
признати	reconnu
признати	reconnues
признати	reconnue
признати	reconnus
швабия	souabe
джонатан	jonathan
отдели	départements
катя	katia
катя	katia
катя	katya
катя	katja
никита	nikita
неуспешни	infructueuses
илюстрация	illustration
романс	romantisme
романс	idylle
романс	romance
романс	romantique
дик	bite
дик	dick
дъно	fond
