மற்றும்	in
தேசிய	nacionalno
தேசிய	nacionalni
இலங்கை	ceylon
இங்கு	tukaj
கி	kyi
அமெரிக்க	ameriške
அமெரிக்க	ameriško
அமெரிக்க	ameriški
அமெரிக்க	ameriška
அடிப்படை	osnova
அடிப்படை	podlaga
அடிப்படை	baza
அடிப்படை	osnova
அடிப்படை	oporišče
அடிப்படை	osnovno
அடிப்படை	osnovni
பெயர்	ime
பெயர்	nalepka
பெயர்	oznaka
மூன்று	tri
மூன்று	trije
மூன்று	tremi
மூன்று	three
ஆண்கள்	samci
ஆண்கள்	moške
ஆண்கள்	možje
ஆண்கள்	men
ஆண்கள்	moški
ஆண்கள்	moška
ஆண்கள்	mens
ஒன்று	bodisi
ஒன்று	enga
ஒன்று	ena
ஒன்று	en
ஒன்று	eden
ஒன்று	eno
ஐக்கிய	združeni
ஐக்கிய	združena
ஐக்கிய	združene
ஐக்கிய	united
ஐக்கிய	združeno
புதிய	novo
புதிய	nov
புதிய	novi
புதிய	nove
புதிய	nova
புதிய	sveže
புதிய	svež
புதிய	sveža
புதிய	sveži
அவரது	njegovo
அவரது	njegove
அவரது	njegov
அவரது	njegova
அவரது	njej
அவரது	njo
அவரது	njen
அவரது	her
அவரது	njena
மொத்தம்	skupaj
மொத்தம்	skupno
இவை	teh
இவை	te
இவை	tele
சிறந்த	super
சிறந்த	odlično
சிறந்த	najboljša
சிறந்த	najboljši
சிறந்த	best
சிறந்த	najboljše
சிறந்த	odličen
சிறந்த	odlično
அரசு	vladna
அரசு	vlado
அரசு	vladno
அரசு	vlada
அரசு	vladni
அரசு	vlade
அரசு	govt
வசதிகள்	objekti
இந்தியா	indija
இந்தியா	indijo
பெரிய	super
பெரிய	odlično
பெரிய	velika
பெரிய	veliki
பெரிய	velike
பெரிய	velik
பெரிய	velika
பெரிய	velike
ஊரக	podeželski
ஊரக	podeželje
ஊரக	podeželske
ஊரக	podeželska
நாள்	dan
நாள்	day
பிறப்பு	rojen
பிறப்பு	rojena
பிறப்பு	rojene
பிறப்பு	rojeni
பிறப்பு	rodil
பிறப்பு	rojstva
பிறப்பு	rojstvo
பிறப்பு	loputo
பிறப்பு	loputa
இருந்தது	bil
இருந்தது	bila
முக்கிய	glavne
முக்கிய	main
முக்கிய	glavni
முக்கிய	glavno
முக்கிய	glavna
முக்கிய	pomembno
முக்கிய	pomemben
முக்கிய	pomembna
பல்வேறு	sorta
பல்வேறு	sorte
பல்வேறு	raznolikost
பல்வேறு	različni
பல்வேறு	različne
பல்வேறு	razne
இருந்த	bili
திரைப்படங்கள்	kino
திரைப்படங்கள்	filmi
திரைப்படங்கள்	filme
பிற	drugi
பிற	drugo
பிற	druga
பிற	druge
அவர்கள்	njimi
அவர்கள்	jih
அவர்கள்	njih
அவர்கள்	so
மொழி	jezikovno
மொழி	jezikovna
மொழி	jezik
முறை	metoda
முறை	metodo
முறை	postopek
முறை	način
கோயில்	svetišče
கோயில்	tempelj
கோயில்	hram
கோயில்	temple
விருது	nagrada
விருது	nagrado
பொதுவாக	splošno
பொதுவாக	splošni
பொதுவாக	splošna
அக்டோபர்	oktobra
அக்டோபர்	oktober
செய்து	predano
செய்து	storjena
தன்	njegovo
தன்	njegove
தன்	njegov
தன்	njegova
தன்	meče
தன்	vrže
தொடர்ந்து	obdrži
தொடர்ந்து	ohrani
இரண்டாம்	sekundarno
இரண்டாம்	sekundarne
இரண்டாம்	sekundarni
இரண்டாம்	sekundarna
சென்னை	chennai
வரும்	pride
வரும்	prihaja
மே	maj
மே	maja
ஒவ்வொரு	vsak
ஒவ்வொரு	vsaka
ஒவ்வொரு	vsako
ஒவ்வொரு	vsak
ஒவ்வொரு	vsaka
மட்டுமே	le
மட்டுமே	samo
வரலாறு	zgodovina
வரலாறு	zgodovino
பகுதியில்	območje
பகுதியில்	površina
பகுதியில்	področje
நூல்கள்	knjige
நூல்கள்	knjig
சேர்ந்த	pripadnost
சேர்ந்த	pripadnosti
பின்	pin
பின்	po
பின்	zadaj
பின்	hrbet
பின்	nazaj
இல்லை	ni
இல்லை	ne
நவம்பர்	november
நவம்பர்	novembra
அதிக	visoko
அதிக	visoka
காலத்தில்	obdobje
மிக	zelo
மிக	zobobol
நான்கு	four
நான்கு	štirje
நான்கு	štiri
பிறகு	potem
பிறகு	pozneje
பிறகு	kasneje
பிறகு	po
அரசியல்	politika
அரசியல்	politiki
அரசியல்	politiko
அரசியல்	politike
அரசியல்	politični
அரசியல்	politično
அரசியல்	politična
பகுதி	delne
பகுதி	delno
பகுதி	delna
பகுதி	delni
பகுதி	območje
பகுதி	površina
பகுதி	področje
பகுதி	regiji
பகுதி	regija
பகுதி	delno
பகுதி	del
பகுதி	segmenta
பகுதி	odsek
பகுதி	segment
பற்றி	glede
ஆறு	šest
ஆறு	six
ஆறு	reka
ஆறு	reki
ஆறு	river
ஆறு	reke
மீண்டும்	spet
மீண்டும்	znova
மீண்டும்	ponovno
இங்கிலாந்து	anglija
இங்கிலாந்து	england
இங்கிலாந்து	angliji
இங்கிலாந்து	anglije
இங்கிலாந்து	anglijo
காலம்	sezono
காலம்	sezona
காலம்	obdobje
காலம்	čas
காலம்	časa
நிலை	položaj
நிலை	lega
நிலை	stališče
நிலை	pozicija
நிலை	stanje
நிலை	država
நிலை	državno
நிலை	nivo
நிலை	stopnja
நிலை	raven
ஒரே	ista
ஒரே	enaka
ஒரே	enako
ஒரே	isto
போர்	vojno
போர்	vojne
போர்	vojna
பொருள்	materialno
பொருள்	material
பொருள்	gradivo
பொருள்	produkt
பொருள்	proizvod
பொருள்	izdelek
பொருள்	predmet
பொருள்	objekt
பொருள்	sopomenke
பொருள்	predmet
பொருள்	osebek
பொருள்	subjekt
அறிவியல்	znanost
அறிவியல்	znanosti
பேச்சு	govor
பேச்சு	govori
பேச்சு	govorjenje
பேச்சு	pogovor
பேச்சு	pogovori
அனைத்து	vsi
அனைத்து	vsem
அனைத்து	vse
அனைத்து	vseh
கல்வி	izobrazba
கல்வி	izobraževanja
கல்வி	izobraževanje
ஏப்ரல்	apr
ஏப்ரல்	april
ஏப்ரல்	aprila
உலக	svet
உலக	svetovna
உலக	svetovno
உலக	world
உலக	svetovna
உலக	globalni
உலக	globalno
உலக	svetovno
கே	gej
கே	gay
முடியும்	lahko
கீழ்	dol
கீழ்	navzdol
கீழ்	spodnji
கீழ்	nižja
கீழ்	nižje
கீழ்	spodnja
கீழ்	pod
கீழ்	dno
கீழ்	spodaj
இடம்	plac
இடம்	kraj
இடம்	lokacija
இடம்	lokacijo
இடம்	vesolje
இடம்	prostor
இடம்	space
இடம்	vesoljska
செப்டம்பர்	september
செப்டம்பர்	septembra
பேர்	drugi
பேர்	drugih
பேர்	druge
பெரும்	super
பெரும்	odlično
பெரும்	nesramnost
சி	chi
சி	či
நாடுகள்	države
தொகுதி	albume
தொகுதி	albumov
தொகுதி	sistem
தொகுதி	modul
கிழக்கு	vzhodni
கிழக்கு	vzhod
கிழக்கு	vzhodna
கிழக்கு	vzhodno
கிழக்கு	orient
கிழக்கு	vzhodni
கிழக்கு	vzhodna
கிழக்கு	vzhodno
அமைப்பு	nastavitve
அமைப்பு	nastavitev
அமைப்பு	sistem
அமைப்பு	nastavljanje
அமைப்பு	nastavitev
அமைப்பு	organizacijo
அமைப்பு	organizacija
அமைப்பு	strukturo
அமைப்பு	zgradba
அமைப்பு	struktura
அமைப்பு	konstrukcija
அளவு	količina
அளவு	znesek
அளவு	količina
அளவு	količino
அளவு	merilo
அளவு	lestvici
அளவு	lestvica
அளவு	obseg
அளவு	velikost
அளவு	velikosti
நகர்	nagar
மற்ற	drugi
மற்ற	drugo
மற்ற	druga
மற்ற	druge
இந்து	hindujski
இவற்றையும்	teh
இவற்றையும்	te
இவற்றையும்	tele
தற்போது	zdaj
தற்போது	sedaj
தற்போது	trenutno
பாடல்	pesem
உண்டு	razpoložljivi
உண்டு	razpoložljiva
உண்டு	imajo
உண்டு	imeti
வாழும்	živeti
வாழும்	živel
வாழும்	živela
இருக்கிறது	razpoložljivi
இருக்கிறது	razpoložljiva
நிறுவனம்	družbo
நிறுவனம்	četa
நிறுவனம்	podjetje
நிறுவனம்	družba
நிறுவனம்	delodajalca
நிறுவனம்	delodajalec
நிறுவனம்	organizacijo
நிறுவனம்	organizacija
நிறுவனம்	organizacijo
நிறுவனம்	organizacija
நபர்கள்	ljudje
நபர்கள்	ljudstvo
நபர்கள்	osebe
நபர்கள்	ljudi
காலனி	kolonije
காலனி	kolonijo
காலனி	kolonija
மேற்கு	zahodna
மேற்கு	zahod
மேற்கு	zahodno
மேற்கு	zahodna
மேற்கு	zahodni
மேற்கு	western
மேற்கு	zahodno
தலைவர்	predsednik
தலைவர்	predsednica
தலைவர்	vodja
தலைவர்	leader
முதலில்	prva
முதலில்	prvo
முதலில்	prvi
முதலில்	najprej
சார்ந்த	sorodnik
சார்ந்த	relativna
சார்ந்த	relativno
சார்ந்த	odvisnosti
சார்ந்த	odvisnost
மேல்	top
மேல்	vrh
நாடு	dežela
நாடு	država
நாடு	državo
மட்டும்	le
மட்டும்	samo
அடிப்படையில்	osnova
அடிப்படையில்	podlaga
எண்	štetje
எண்	grof
எண்	številka
எண்	število
குறிப்பிட்ட	naveden
குறிப்பிட்ட	določeno
குறிப்பிட்ட	specifično
குறிப்பிட்ட	specifični
செய்ய	naredi
சிறிய	majhno
சிறிய	majhni
சிறிய	majhen
சிறிய	majhne
சிறிய	majhna
சிறிய	male
சிறிய	mali
வந்த	prišlo
வந்த	prišel
வேறு	drugi
வேறு	drugo
வேறு	druga
வேறு	druge
மார்ச்	marec
மார்ச்	marca
மார்ச்	pohod
நிலையில்	pogoj
நிலையில்	stanje
நிலையில்	faza
நிலையில்	oder
பெண்	punca
பெண்	deklica
பெண்	dekle
பெண்	punco
பெண்	ženska
பெண்	žensko
பெண்	ženska
பெண்	ženski
பெண்	samica
பெண்	žensko
வெற்றி	uspehov
வெற்றி	uspeh
வெற்றி	uspešnost
வெற்றி	zmaga
வெற்றி	zmaga
வெற்றி	zmagovalna
வெற்றி	zmagali
வெற்றி	zmagala
வெற்றி	zmagal
வெற்றி	zmaga
வெற்றி	zmage
வெற்றி	zmago
வெற்றி	zmaga
வெற்றி	zmagala
வெற்றி	zmagal
வெற்றி	zmago
இணைப்பு	priključitev
இணைப்பு	povezava
இணைப்பு	link
இணைப்பு	poveži
இணைப்பு	povezava
இணைப்பு	priključitev
இணைப்பு	pritrditev
இணைப்பு	prilogo
திரைப்படம்	film
திரைப்படம்	film
வகை	kategorijo
வகை	kategorija
வகை	type
வகை	vrsta
வகை	tip
வகை	način
ஐந்து	pet
ஐந்து	five
அதே	ista
அதே	enaka
அதே	enako
அதே	isto
சிறப்பு	predstavljeni
சிறப்பு	predstavljeno
சிறப்பு	predstavljene
சிறப்பு	predstavljena
சிறப்பு	predstavljenih
சிறப்பு	predstavljen
சிறப்பு	specialno
சிறப்பு	posebna
சிறப்பு	posebne
சிறப்பு	poseben
சிறப்பு	posebno
சுமார்	glede
கட்டுரைகள்	členi
கட்டுரைகள்	članki
கட்டுரைகள்	izdelki
படி	branje
படி	preberite
படி	preberi
படி	korak
மனித	človeško
மனித	človeška
மனித	človeški
பெரும்பாலும்	skoraj
பெரும்பாலும்	pogosto
பெரும்பாலும்	večinoma
பெரும்பாலும்	največkrat
கட்சி	zabava
கட்சி	zabavo
கட்சி	žur
கட்சி	party
பொது	pogosti
பொது	pogosto
பொது	javnosti
பொது	javna
பொது	javnost
பொது	javno
பொது	splošno
பொது	splošni
பொது	splošna
கல்லூரி	fakulteta
கல்லூரி	kolidž
இசை	glasba
இசை	muzika
இசை	glasbo
முறையில்	način
நாட்டின்	dežela
நாட்டின்	država
நாட்டின்	državo
மத்திய	osrednje
மத்திய	centralne
மத்திய	centralno
மத்திய	osrednji
மத்திய	centralni
மில்லியன்	milijon
மில்லியன்	milijoni
மில்லியன்	milijonov
மில்லியன்	miljon
மில்லியன்	milijoni
நகரம்	city
நகரம்	mesto
நகரம்	mestu
எந்த	katerekoli
எந்த	katerokoli
எந்த	katerikoli
எந்த	katero
எந்த	kateri
எந்த	katere
எந்த	katerih
எந்த	ki
எந்த	katerega
எனப்படும்	poklical
நீர்	vode
நீர்	vodo
நீர்	voda
விக்கிப்பீடியா	wikipedia
சென்று	odšel
பார்க்க	glej
பார்க்க	glejte
அணி	matrico
அணி	matrica
அணி	matrika
அணி	ekipno
அணி	ekipa
அணி	team
எழுதிய	pisno
எழுதிய	napisano
எழுதிய	napisana
எழுதிய	pisna
எழுதிய	zapisano
எழுதிய	napisal
எழுதிய	pisal
எழுதிய	napisala
எழுதிய	zapisal
நிலையம்	postajo
நிலையம்	postaji
நிலையம்	postaja
தொடர்பான	povezano
தொடர்பான	povezani
மீட்டர்	meter
மீட்டர்	metrov
மீட்டர்	meter
மீட்டர்	merilnik
இடத்தில்	plac
இடத்தில்	kraj
கோவில்	svetišče
கோவில்	tempelj
கோவில்	hram
கோவில்	temple
மாதம்	mesec
மாதம்	meseca
ஆய்வு	študija
ஆய்வு	raziskave
ஆய்வு	raziskava
ஆய்வு	raziskovanje
வட	severna
வட	severni
வட	severno
வட	sever
குறைந்த	manjše
குறைந்த	najnižje
குறைந்த	najnižja
குறைந்த	najnižji
குறைந்த	nizki
குறைந்த	nizka
குறைந்த	nizko
குறைந்த	nizek
குறைந்த	nizke
குறைந்த	manj
டிசம்பர்	december
டிசம்பர்	decembra
டிசம்பர்	dec
முன்	fronta
முன்	spredaj
முன்	pre
முன்	pred
முன்	preden
முன்	prej
வாழ்க்கை	zivljenje
வாழ்க்கை	life
வாழ்க்கை	življenje
சனவரி	januar
சனவரி	januarja
புனித	sveti
புனித	sveto
ஆகியவை	vis
இரண்டாவது	sekundarno
இரண்டாவது	sekundarne
இரண்டாவது	sekundarni
இரண்டாவது	sekundarna
ஆங்கிலம்	angleško
ஆங்கிலம்	angleščina
ஆங்கிலம்	angleži
ஆங்கிலம்	angleški
அங்கு	tam
தொழில்	poslovanje
தொழில்	posel
தொழில்	posli
தொழில்	industrijo
தொழில்	panoga
தொழில்	industrija
தொழில்	poklic
பழைய	stare
பழைய	star
பழைய	staro
பழைய	stara
பழைய	stari
பழைய	starejša
பழைய	starejši
பழைய	starejše
ஆண்டுகள்	leta
ஆண்டுகள்	letih
ஆண்டுகள்	let
குறிப்பாக	posebej
குறிப்பாக	zlasti
குறிப்பாக	specifično
குறிப்பாக	izrecno
குறிப்பாக	posebej
குறிப்பாக	specialno
குறிப்பாக	posebej
பார்க்கவும்	obisk
பார்க்கவும்	obiščite
பார்க்கவும்	opazuj
பார்க்கவும்	glej
பார்க்கவும்	ura
பார்க்கவும்	glejte
துறை	oddelek
துறை	pristanišče
துறை	pristanišča
துறை	port
கடல்	morskih
கடல்	marinec
கடல்	marine
கடல்	morsko
கடல்	morje
கடல்	ocean
போல	kot
இதற்கு	za
சிறு	majhno
சிறு	majhni
சிறு	majhen
சிறு	majhne
சிறு	majhna
சிறு	manjše
சிறு	manjši
சிறு	manjša
தென்	južno
தென்	jug
தென்	južna
உயர்	visoko
உயர்	visoka
உயர்	deluxe
வடக்கு	severna
வடக்கு	severni
வடக்கு	severno
வடக்கு	sever
ஆட்சி	kraljestvo
ஆட்சி	kraljevina
ஆட்சி	pravilo
ஆட்சி	upravljanje
ஆட்சி	vodenje
ஆட்சி	vladavina
ஆட்சி	vladavino
ஆட்சி	vladanje
மக்களின்	ljudje
மக்களின்	ljudstvo
மக்களின்	osebe
மக்களின்	ljudi
நோய்	bolezen
நோய்	bolezni
நோய்	bolezen
நோய்	bolezni
தேர்தல்	izvolitev
தேர்தல்	volitve
உற்பத்தி	proizvodnja
உற்பத்தி	pridelava
உற்பத்தி	produkcija
உற்பத்தி	proizvodnjo
உற்பத்தி	izdelava
உற்பத்தி	proizvodnja
ஆக	avg
வந்தது	prispele
வந்தது	prispel
வந்தது	prispela
வந்தது	prispeli
வந்தது	prišlo
வந்தது	prišel
கலை	umetnost
கலை	umetnosti
கலை	umetnost
கலை	umetnosti
கலை	art
தங்கள்	njihovi
தங்கள்	njihov
தங்கள்	njihovo
தங்கள்	njuna
தங்கள்	njihova
தங்கள்	njihove
சமூக	socialno
சமூக	družabni
சமூக	družabno
சமூக	socialne
சமூக	socialna
சமூக	družbena
போல்	kot
தர	kakovost
தர	kvaliteta
தர	kakovostno
தர	kakovosti
நூற்றாண்டு	stoletje
அவருடைய	njegovo
அவருடைய	njegove
அவருடைய	njegov
அவருடைய	njegova
உலகின்	svetov
உலகின்	svetovi
உலகின்	svetove
அமெரிக்கா	ameriki
அமெரிக்கா	amerika
அமெரிக்கா	ameriko
அமெரிக்கா	america
பகுதிகளில்	območja
பகுதிகளில்	področja
பகுதிகளில்	površine
வந்து	pridi
பரிசு	nagrada
பரிசு	nagrado
பரிசு	darilo
பிரிவு	kategorijo
பிரிவு	kategorija
பிரிவு	razdelek
பிரிவு	delitev
பிரிவு	deljenje
பிரிவு	oddelek
பிரிவு	divizija
பிரிவு	odsek
பிரிவு	poglavje
பிரிவு	razdelek
பிரிவு	oddelek
உடல்	truplo
உடல்	body
உடல்	telesa
உடல்	telo
இவர்கள்	teh
இவர்கள்	te
இவர்கள்	tele
கூட	celo
கூட	tudi
கூட	preveč
எழுத்தாளர்	pisec
எழுத்தாளர்	pisateljica
எழுத்தாளர்	pisatelj
குழு	skupino
குழு	skupinsko
குழு	skupinski
குழு	skupinska
குழு	skupina
இலக்கிய	literaturo
இலக்கிய	književnost
இலக்கிய	literatura
இலக்கிய	literarni
விளையாட்டு	igralni
விளையாட்டு	športni
விளையாட்டு	šport
விளையாட்டு	športne
விளையாட்டு	športna
விளையாட்டு	igro
விளையாட்டு	tekma
விளையாட்டு	tekmo
விளையாட்டு	igra
விளையாட்டு	šport
விளையாட்டு	sport
உறுப்பினர்கள்	člane
உறுப்பினர்கள்	poslanci
உறுப்பினர்கள்	članice
உறுப்பினர்கள்	člani
இறப்பு	smrt
இறப்பு	smrtnost
இறப்பு	umrljivost
இறப்பு	smrtnosti
அடி	noge
அடி	stopala
அடி	stopali
அடி	nogice
அடி	zadetek
அடி	hit
அடி	udaril
துணை	partnerja
துணை	partner
துணை	partnerka
துணை	podporo
துணை	podpore
துணை	podpora
துணை	vice
துணை	podpredsednik
துணை	podmornico
துணை	sub
துணை	namestnica
துணை	namestnik
பதிப்பு	izdaja
பதிப்பு	različica
பதிப்பு	različice
சொல்	povej
சொல்	beseda
சொல்	besedo
சொல்	povej
தெற்கு	južno
தெற்கு	jug
தெற்கு	južna
கட்டுரை	spis
கட்டுரை	esej
கட்டுரை	članek
கட்டுரை	člena
கட்டுரை	člen
கட்டுரை	izdelek
கட்டுரை	sestavi
கட்டுரை	sestava
கட்டுரை	členi
கட்டுரை	članki
கட்டுரை	izdelki
வட்டம்	krog
சராசரி	povprečje
சராசரி	povprečna
சராசரி	povprečno
சராசரி	zloben
சராசரி	hudoben
சராசரி	zlobno
தொலைக்காட்சி	televizijo
தொலைக்காட்சி	televizija
முன்னாள்	nekdanje
முன்னாள்	nekdanja
முன்னாள்	nekdanji
எண்ணிக்கை	štetje
எண்ணிக்கை	grof
எண்ணிக்கை	frekvenca
எண்ணிக்கை	pogostost
எண்ணிக்கை	pogostnost
தவிர	izključi
தவிர	izloči
தவிர	izključiti
தவிர	razen
நடிகர்	igralec
பாடல்கள்	pesmi
இன்று	danes
சட்டம்	okvir
சட்டம்	okvirja
சட்டம்	ogrodje
சட்டம்	pravo
சட்டம்	zakon
சட்டம்	zakonito
சட்டம்	pravna
சட்டம்	pravno
சட்டம்	pravne
சட்டம்	dejanje
சட்டம்	akt
அருகில்	blizu
அருகில்	bližnje
நேரம்	čas
நேரம்	časa
முதலாவது	prva
முதலாவது	prvo
முதலாவது	prvi
முதலாவது	najprej
மூலமாக	via
மூலமாக	skoz
மூலமாக	skozi
உணவு	hrano
உணவு	hrana
உணவு	živila
குறித்து	glede
பெப்ரவரி	februarja
பெப்ரவரி	februar
பகுதிகள்	segmentih
பகுதிகள்	komponenta
பகுதிகள்	sestavina
பகுதிகள்	regije
பகுதிகள்	regij
பகுதிகள்	deli
பகுதிகள்	območja
பகுதிகள்	področja
பகுதிகள்	površine
நிறுவனங்கள்	organizacije
நிறுவனங்கள்	organizacijami
நிறுவனங்கள்	organizacij
நிறுவனங்கள்	podjetja
நிறுவனங்கள்	družbe
ஜனவரி	januar
ஜனவரி	januarja
எழுத்தாளர்கள்	pisateljev
எழுத்தாளர்கள்	pisatelji
நல்ல	pridni
நல்ல	pridna
நல்ல	dober
அடுத்த	naslednji
அடுத்த	naslednja
படம்	sliko
படம்	slika
படம்	photo
படம்	foto
படம்	fotografijo
படம்	fotografija
படம்	sliko
படம்	podoba
படம்	slika
பாதுகாப்பு	obramba
பாதுகாப்பு	varni
பாதுகாப்பு	varen
பாதுகாப்பு	varna
பாதுகாப்பு	varno
பாதுகாப்பு	zaščita
பாதுகாப்பு	varstvo
பாதுகாப்பு	zaščito
பாதுகாப்பு	varovanje
பாதுகாப்பு	varnosti
பாதுகாப்பு	varnost
பாதுகாப்பு	varnost
பாதுகாப்பு	varovanje
தந்தை	oče
பங்கு	vloga
பார்க்கப்பட்ட	obravnavati
அவர்களின்	njihovi
அவர்களின்	njihov
அவர்களின்	njihovo
அவர்களின்	njuna
அவர்களின்	njihova
அவர்களின்	njihove
செய்த	narejena
செய்த	narejeni
செய்த	narejen
செய்த	narejeno
பதிவு	vtis
பதிவு	registrira
பதிவு	register
பதிவு	evidenca
பதிவு	plošča
பதிவு	rekord
பதிவு	zapis
பதிவு	registracija
பதிவு	evidentiranje
பதிவு	objava
பதிவு	post
பதிவு	objavi
பதிவு	objavo
ஐரோப்பிய	evropski
ஐரோப்பிய	evropska
ஐரோப்பிய	evropsko
முழுவதும்	popolnoma
முழுவதும்	poln
முழுவதும்	full
முழுவதும்	polno
முழுவதும்	polni
முழுவதும்	polna
முழுவதும்	popolna
முழுவதும்	popolno
பயனர்	uporabnika
பயனர்	uporabnik
தொடர்	serijsko
தொடர்	zaporedna
தொடர்	serijski
போன்றவை	etc
போன்றவை	itd
போன்றவை	idr
ஜூன்	jun
ஜூன்	junij
ஜூன்	june
ஜூன்	junija
வழியாக	via
உறுப்பினர்	članica
உறுப்பினர்	član
உறுப்பினர்	poslanec
உறுப்பினர்	članstvo
உறுப்பினர்	stranka
உறுப்பினர்	odjemalec
ஆசிரியர்	urednik
ஆசிரியர்	urejevalnik
ஆசிரியர்	učiteljica
ஆசிரியர்	učitelj
ஆசிரியர்	avtor
ஆஃப்	off
ஆஃப்	izklop
முக்கியமான	pomembno
முக்கியமான	pomemben
முக்கியமான	pomembna
முக்கியமான	kritični
முக்கியமான	kritična
முக்கியமான	kritičen
முக்கியமான	kritične
முக்கியமான	kritično
தொடர்பு	kontakt
தொடர்பு	stik
தொடர்பு	stika
ஜூலை	julij
ஜூலை	julija
ஆற்றல்	energija
ஆற்றல்	energijo
ஆற்றல்	energije
ஆற்றல்	energetika
கிலோ	kilogram
கிலோ	kilo
வேலை	dela
வேலை	delo
வேலை	zaposlitev
வேலை	job
வேலை	opravilo
வேலை	delo
இருக்கலாம்	mogoče
இருக்கலாம்	mogoce
இருக்கலாம்	morda
சமய	verske
சமய	verski
சமய	versko
சமய	verska
சமய	verskega
பணி	zaposlitev
பணி	job
பணி	opravilo
பணி	delo
பணி	dela
பணி	delo
பணி	naloga
பணி	opravilo
கதை	zgodba
கதை	zgodbo
அதிகமாக	komaj
அதிகமாக	komajda
இடையே	med
பட்டம்	matura
பட்டம்	maturo
பட்டம்	stopnja
பட்டம்	zmaja
பட்டம்	zmaj
வழி	sled
வழி	pot
வழி	način
அப்போது	potem
விடுதலை	osvoboditev
விடுதலை	osvoboditve
விடுதலை	svoboda
விடுதலை	prostost
விடுதலை	svobode
விடுதலை	svobodo
ஆகஸ்ட்	avgusta
ஆகஸ்ட்	august
ஆகஸ்ட்	avgust
தேதி	zmenek
தேதி	datum
பிறந்த	rojstva
பிறந்த	rojstvo
இன்னும்	in
இன்னும்	vseeno
இன்னும்	še
ஜான்	john
ஜான்	janez
ஜான்	janeza
ஜான்	jona
ஜான்	jon
ஜான்	jaan
அடுத்து	naslednji
அடுத்து	naslednja
சேவை	storitve
சேவை	storitev
சேவை	servis
கருத்து	komentar
கருத்து	temo
கருத்து	tema
காரணம்	razlog
காரணம்	razlogi
காரணம்	vzrok
தனி	zasebno
தனி	privat
தனி	zasebna
தனி	zasebnega
தனி	zasebni
தனி	ločena
தனி	ločeni
தனி	ločeno
அவருக்கு	njega
அவருக்கு	ga
நீண்ட	dolge
நீண்ட	dolg
நீண்ட	dolgo
நீண்ட	dolgi
நீண்ட	dolga
