den	the
peking	beijing
tyska	german
sätt	ways
sätt	way
egypten	egypt
wadi	wadi
stad	town
stad	city
norge	norge
norge	norway
area	area
loma	loma
york	york
makedonien	macedonia
peter	peter
franska	french
vilken	which
dominikanska	dominican
västerut	west
kallas	called
österut	east
omkring	around
göteborg	göteborg
göteborg	gothenburg
nattflyn	noctuidae
schweiz	switzerland
fall	case
fall	cases
fall	fall
tiden	time
bästa	best
style	style
artikeln	article
fil	file
brasília	brasília
främst	mainly
främst	primarily
källa	source
båda	both
kabul	kabul
malmö	malmö
delas	shared
slutet	end
olympiska	olympic
olympiska	olympian
ast	ast
annan	other
uppsala	uppsala
isbn	isbn
mätare	meters
mätare	gauges
mätare	meter
madrid	madrid
måste	must
antarktis	antarctic
antarktis	antarctica
erik	erik
erik	eric
paul	paul
skrev	wrote
film	movie
film	film
robert	robert
serien	series
bör	should
skall	shall
bra	good
fem	fem
fem	five
ryssland	russia
thomas	thomas
santiago	santiago
deltog	attended
deltog	participated
tysk	german
vilka	who
vilka	which
språk	languages
språk	language
kinesiska	chinese
lappland	lapland
nuvarande	current
nuvarande	present
officiell	official
källor	sources
stort	large
stort	big
sång	vocals
sång	singing
sång	song
amerikanska	american
samband	connection
samband	correlation
globalt	globally
globalt	global
kroatien	croatia
egen	own
egen	custom
pst	pst
pdt	pdt
utanför	outside
mestadels	mostly
kvinnor	females
kvinnor	women
tredje	third
blivit	become
charles	charles
art	art
art	species
riket	reich
wales	wales
david	david
com	com
sidan	page
sidan	side
resultat	performance
resultat	results
resultat	result
gav	gave
når	reaches
ibland	sometimes
ibland	occasionally
dessutom	additionally
enda	single
enda	sole
jabal	jabal
kända	known
kända	famous
universitet	universities
universitet	university
rgb	rgb
libanon	lebanon
paris	paris
utgör	poses
kamerun	cameroon
border	border
trots	despite
musik	music
maria	mary
maria	maria
tillbaka	back
kung	king
barat	barat
form	shape
form	form
der	der
fått	received
historia	story
historia	history
nova	nova
dal	dal
dal	valley
låten	song
fiji	fiji
tjeckien	czech
james	james
albumet	album
samtidigt	simultaneously
kring	around
män	males
män	men
lång	tall
lång	long
alger	algiers
alger	algae
alger	seaweed
gift	venom
gift	married
gift	poison
album	album
album	albums
ghar	ghar
ner	down
innehåller	contains
innehåller	contain
disk	disk
räknas	counts
little	little
wilhelm	wilhelm
gånger	times
brook	brook
övriga	other
övriga	others
professor	professor
km²	km²
las	las
division	division
martin	martin
urval	selection
urval	sample
city	city
totalt	total
alexander	alexander
arena	arena
period	period
utc	utc
grönland	greenland
dag	dag
dag	day
låg	low
bogotá	bogotá
året	year
timur	timur
europa	europe
europa	europa
kalifornien	california
aldrig	never
gruppen	group
miljoner	million
miljoner	millions
henry	henry
växter	plants
växter	plant
står	stands
seed	seed
sex	six
sex	sex
spelar	plays
spelar	playing
peak	peak
bort	away
ser	looks
ser	ser
ledamot	member
orkidéer	orchids
särskilt	particularly
särskilt	especially
djebel	djebel
friedrich	friedrich
liv	life
liv	liv
queensland	queensland
bildades	formed
kvar	left
medlemmar	members
sida	page
område	area
gustaf	gustaf
gustaf	garfield
anders	anders
fortfarande	still
min	mine
min	min
airport	airport
befolkningen	population
översättning	translation
louis	louis
ordförande	president
ordförande	chairperson
ordförande	chairman
http	http
joseph	joseph
scotia	scotia
kanske	perhaps
kanske	maybe
smith	smith
världen	world
användare	user
användare	users
varierad	varied
tar	taking
tar	takes
far	father
honduras	honduras
bolivia	bolivia
länder	countries
ytterligare	additional
guld	gold
kuba	cuba
center	center
dotter	daughter
god	good
luanda	luanda
grupp	group
väl	well
bandet	strap
lars	lars
rätt	right
rätt	correct
roll	role
svampar	mushrooms
svampar	sponges
svampar	mushroom
svampar	fungi
praktfjärilar	nymphalidae
ryska	russian
henne	her
wien	vienna
via	via
laguna	laguna
italien	italy
syrien	syria
matcher	matches
matcher	games
arter	species
hjälp	help
kriget	war
klassen	class
gustav	gustav
gustav	garfield
cdt	cdt
university	university
van	van
anna	anna
fredrik	frederick
fredrik	fredrik
fler	more
kort	cards
kort	kort
kort	short
kort	brief
kort	card
ungern	hungary
gitarr	guitar
serie	series
serie	serial
serie	serie
gjort	done
ledde	led
red	rode
guinea	guinea
ecuador	ecuador
tanjung	tanjung
michael	michael
ovan	above
rapport	report
lika	equally
lika	equal
kallad	called
tycker	think
tycker	thinks
brittisk	british
använda	using
använda	use
använda	used
fransk	french
guvernementet	governorate
ungefär	about
ungefär	roughly
ungefär	approximately
tal	tal
tal	speech
tal	number
tal	numbers
shan	shan
gäller	applies
iii	iii
sarajevo	sarajevo
människor	humans
människor	people
slutade	stopped
slutade	ended
world	world
august	august
zeeland	zealand
zeeland	zeeland
visar	showing
visar	displays
visar	displaying
visar	shows
head	head
flyttade	moved
nästan	almost
nästan	nearly
egna	own
ursprungligen	initially
ursprungligen	originally
nytt	new
sheng	sheng
brittiska	british
etiopien	ethiopia
grande	grande
vars	whose
grottor	caves
grottor	caverns
christian	christian
just	precisely
labrador	labrador
newfoundland	newfoundland
klubben	club
yta	surface
yta	area
livskraftig	viable
aires	aires
vatten	water
vatten	waters
spelare	player
spelare	players
själva	themselves
andersson	andersson
igen	again
start	start
start	startup
oftast	usually
oftast	mostly
true	true
richard	richard
reservoar	reservoir
berlin	berlin
byte	byte
studerade	studied
medlem	member
ännu	yet
jan	jan
liten	small
liten	little
liten	tiny
guatemala	guatemala
version	version
manitoba	manitoba
information	information
guyana	guiana
guyana	guyana
stränder	beaches
love	love
adt	adt
national	national
sur	sour
sur	sur
använder	using
använder	uses
typ	type
spelades	played
arbete	work
bättre	better
problem	problem
problem	problems
problem	trouble
problem	issues
grand	grand
são	são
irland	ireland
säga	say
edward	edward
bst	bst
grundades	founded
varmt	hot
varmt	warm
laget	team
botten	bottom
lilla	little
lilla	lilla
dog	died
year	year
bror	brother
bror	bror
washington	washington
hög	high
vuxna	adults
vuxna	adult
internationella	international
daniel	daniel
mark	mark
arbetade	worked
marie	marie
japan	japan
förutom	except
ville	ville
dagar	days
församlingen	congregation
församlingen	assembly
direkt	direct
direkt	directly
records	records
stift	pin
stift	diocese
lund	lund
politiska	political
bezirk	bezirk
haft	had
mitten	center
georg	george
georg	georg
alltid	always
otto	otto
united	united
aktiv	active
inget	nothing
silver	silver
henrik	henrik
henrik	henry
walker	walker
karriär	career
karriär	careers
president	president
federationen	federation
mitt	mitt
mitt	mine
kungliga	royal
kungliga	royals
alto	alto
nils	nils
slut	end
liknande	similar
belägen	located
belägen	situated
högre	higher
league	league
johannes	johannes
johannes	john
person	person
anspråk	claimed
anspråk	claims
anspråk	claiming
anspråk	claim
pointe	pointe
komma	comma
komma	coming
anses	considered
små	small
spela	play
spela	playing
pulau	pulau
bilder	images
bilder	pictures
bilder	slides
bilder	photos
nummer	number
nummer	numbers
länge	long
hand	hand
slaget	battle
spelet	game
väg	route
väg	road
rum	rooms
rum	room
pierre	pierre
djur	animals
djur	animal
central	central
färg	color
färg	colour
färg	paint
strand	shore
strand	beach
strand	strand
säsong	season
företaget	company
regi	directed
regi	directing
regi	auspices
glest	sparse
punkt	paragraph
punkt	dot
punkt	point
big	big
områden	regions
områden	areas
gifte	married
europeiska	european
skriva	write
skriva	typing
skriva	writing
international	international
börjar	begins
börjar	starts
börjar	starting
börjar	beginning
avsnitt	sections
avsnitt	section
avsnitt	episode
avsnitt	episodes
bas	base
bas	bas
bas	bass
sankt	sankt
sankt	saint
serra	serra
verkar	seems
verkar	appears
eget	own
sulawesi	sulawesi
fotboll	soccer
fotboll	football
bok	book
bok	bok
lyckades	managed
lyckades	succeeded
#aaa	#aaa
sven	sven
île	île
white	white
ord	word
ord	words
referens	reference
tall	tall
tall	pine
fortsatte	continued
delvis	partial
delvis	partly
delvis	partially
museum	museum
sju	seven
sju	sju
unit	unit
verksamhet	operations
verksamhet	activities
verksamhet	activity
lever	liver
position	position
minst	minimum
adolf	adolph
adolf	adolf
albert	albert
betyder	means
utflöde	effluent
ned	ned
belgien	belgium
böcker	books
olof	olof
texas	texas
victoria	victoria
officiella	official
bakom	behind
rev	reefs
rev	rev
rev	reef
långa	ling
långa	long
respektive	respective
heinrich	heinrich
fotbollsspelare	footballers
fotbollsspelare	footballer
solid	solid
magnus	magnus
slott	castles
slott	castle
slott	palace
familj	family
huset	house
regeringen	cabinet
regeringen	government
trummor	drums
spel	gambling
spel	game
spel	games
aten	athens
svenskt	swedish
rad	line
rad	rad
rad	row
sett	seen
länet	county
johansson	johansson
hus	house
hus	houses
långt	far
långt	long
förlorade	lost
tio	ten
par	couple
par	pairs
par	couples
par	pair
enbart	only
stefan	stephen
stefan	stefan
fast	stuck
fast	fixed
åtta	eight
arabiska	arab
arabiska	arabic
santo	santo
bern	bern
bern	berne
tror	believe
tror	think
tror	thinks
peru	peru
djibouti	djibouti
sungai	sungai
côte	côte
costa	costa
chef	manager
chef	chief
chef	boss
system	system
system	systems
stöd	aid
stöd	support
stöd	assistance
gridcolor	gridcolor
nilsson	nilsson
låt	let
brukar	usually
innehåll	content
innehåll	contents
mellersta	central
låtar	tunes
låtar	songs
varför	why
brdo	brdo
axel	shoulder
axel	axel
axel	axle
axel	axis
omfattar	covers
ackumulerade	accumulated
ackumulerade	cumulative
skolan	school
kontinent	continent
roman	roman
roman	novel
stadium	stadium
stadium	stage
gränsen	border
les	les
radio	radio
dansk	danish
dansk	dane
företag	business
företag	company
företag	companies
företag	enterprises
företag	businesses
företag	enterprise
startade	started
gunnar	gunnar
orten	city
orten	locality
tillhörde	belonged
småland	småland
nere	down
örebro	örebro
rom	rome
rom	rom
rom	rum
betydelse	importance
betydelse	meaning
betydelse	significance
imagesize	imagesize
saskatchewan	saskatchewan
timeaxis	timeaxis
plotarea	plotarea
scalemajor	scalemajor
starkt	strongly
starkt	strong
johann	johann
insee	insee
dateformat	dateformat
textcolor	textcolor
alignbars	alignbars
josé	josé
finska	finnish
köpenhamn	copenhagen
skapa	create
skapa	creating
musiker	musician
musiker	musicians
sångare	singers
sångare	singer
sångare	vocalist
mont	mont
hem	home
ursprung	origin
ursprung	origins
vet	know
vet	knows
polen	poland
håller	holds
håller	agree
håller	holding
bulgarien	bulgaria
ordning	order
srpska	srpska
förslag	proposals
förslag	proposal
förslag	suggestions
förslag	suggestion
förlag	publisher
förlag	publishing
förlag	publishers
parti	party
parti	consignment
parti	batch
parti	lot
singel	single
singel	singel
behöver	need
behöver	needs
alfred	alfred
jar	jar
icke	non
vanligen	usually
danska	danish
genre	genre
colorado	colorado
kali	kali
procent	percentages
procent	percent
procent	percentage
ernst	ernst
territorium	territory
live	live
ludwig	ludwig
sul	sul
vägen	road
gammal	old
tryckta	printed
modern	modern
centrum	downtown
centrum	centrum
centrum	center
centrum	centre
hemsida	website
hemsida	homepage
spelat	played
sådana	such
studier	study
studier	studies
filmer	films
filmer	movies
byn	village
ribeirão	ribeirão
carolina	carolina
ben	bones
ben	legs
ben	ben
ben	bone
ben	leg
snart	soon
montana	montana
fylke	shire
roller	roller
roller	roles
skopje	skopje
uppdrag	missions
uppdrag	assignment
uppdrag	mission
uppdrag	assignments
rivière	rivière
francis	francis
vita	white
vita	vita
kanal	canal
kanal	channel
ålder	age
emot	against
fjärde	fourth
club	club
bestod	comprised
bestod	consisted
flertal	multiple
morro	morro
borde	should
tidigt	early
konstnär	painter
konstnär	artist
stil	style
troligen	probably
troligen	likely
senaste	recent
senaste	last
senaste	latest
sådan	such
ändå	still
ändå	yet
kastilien	castile
kastilien	castilla
brazzaville	brazzaville
die	die
tidningen	newspaper
tidningen	magazine
isla	isla
oued	oued
gräs	pot
gräs	grass
gräs	weed
port	port
mine	mine
beirut	beirut
ledare	conductors
ledare	leader
ledare	editorial
ledare	leaders
dalarna	valleys
dalarna	dalarna
mst	mst
material	material
material	materials
don	don
norska	norwegian
folk	folk
folk	people
nästa	next
skogar	woods
skogar	forests
monte	monte
cup	cup
skottland	scotland
norte	norte
historiska	historic
historiska	historical
norsk	norwegian
norsk	norsk
längd	duration
längd	length
längd	height
brown	brown
kungen	king
skillnad	difference
petit	petit
bgcolor	bgcolor
skåne	skåne
skåne	scania
togs	taken
omfattande	comprehensive
omfattande	extensive
karta	map
insekter	insects
insekter	bugs
möjligt	possible
grekiska	greek
snabbt	quick
snabbt	fast
snabbt	quickly
armén	army
program	programs
program	programme
program	program
program	programmes
egentligen	actually
und	und
programmet	program
programmet	programme
venezuela	venezuela
visade	showed
visade	displayed
visade	featured
visade	viewed
rica	rica
gud	god
sommaren	summer
svårt	hard
svårt	difficult
mera	more
sporsäcksvampar	ascomycota
larsson	larsson
star	star
alaska	alaska
mor	mother
heller	heller
green	green
klippa	cut
klippa	cliff
klippa	shear
klippa	rock
röda	reds
röda	red
king	king
one	one
williams	williams
beach	beach
aktiva	active
max	max
list	list
list	guile
list	cunning
hösten	autumn
hösten	fall
lärare	teacher
lärare	teachers
samhället	society
oregon	oregon
goals	goals
https	https
brons	bronze
säger	saying
säger	says
mary	mary
skrivit	written
skrivit	wrote
känt	known
lagen	law
svart	black
bot	bot
vapen	weapon
vapen	arms
vapen	weapons
vapen	guns
städer	towns
städer	cities
lövfällande	deciduous
ford	ford
val	selection
val	val
val	elections
val	choice
val	election
val	whale
simon	simon
cruz	cruz
inre	interior
inre	internal
inre	inner
harry	harry
sten	stone
sten	sten
sten	rock
mängd	amount
mängd	quantity
växte	grew
nederländerna	netherlands
nhl	nhl
månader	months
moderna	modern
tom	empty
tom	tom
hålla	hold
platsen	location
skriver	writes
skriver	writing
finalen	finale
finalen	finals
ursprungliga	original
vanligt	common
vanligt	usual
rudolf	rudolf
jämtland	jämtland
vanliga	ordinary
vanliga	common
vanliga	usual
kronor	sek
kronor	crowns
viktig	important
florida	florida
dig	you
match	game
match	match
sierra	sierra
föreningen	association
parc	parc
kompositör	composer
henri	henri
arthur	arthur
hotad	endangered
hotad	threatened
oscar	oscar
värmland	värmland
livet	life
minnesota	minnesota
juvelvingar	lycaenidae
sar	sar
regional	regional
datum	date
datum	dates
tekniska	technical
tekniska	technological
leon	leon
djup	depth
djup	deep
castle	castle
medeltida	medieval
johnson	johnson
höga	high
tills	till
tills	until
alberta	alberta
villa	villa
lätt	easy
lätt	easily
kairo	cairo
titel	title
flygplats	airport
flygplats	aerodrome
makedonska	macedonian
krig	war
krig	wars
skog	woods
skog	forest
skog	forests
beroende	dependent
beroende	dependence
beroende	dependency
beroende	addicted
beroende	addiction
bygga	building
bygga	build
leder	leads
leder	joints
bayern	bavaria
bayern	bayern
texten	text
utveckling	development
utveckling	evolution
utveckling	developments
spanska	spanish
historik	history
nedan	below
indien	india
läst	read
åland	åland
åland	aland
lee	lee
lägga	put
music	music
dagen	day
pris	price
pris	prize
prefektur	prefecture
centre	centre
song	song
prag	prague
öarna	islands
bengt	bengt
frågan	question
nusa	nusa
michigan	michigan
lät	sounded
arkitekt	architect
tasmanien	tasmania
vem	who
tack	thanks
final	finale
final	final
final	finals
fel	wrong
fel	errors
fel	error
fjärilar	butterflies
medverkade	contributed
medverkade	participated
gård	farm
sidor	pages
sovjetunionen	ussr
jorden	earth
yngre	younger
yngre	young
yngre	junior
såg	spotted
såg	watched
såg	saw
producent	producer
drottning	queen
anser	considers
utbildning	training
utbildning	education
igenom	through
ses	ses
konst	arts
konst	art
jones	jones
hall	hall
valde	chose
valde	opted
jacques	jacques
italienska	italian
hör	hear
hermann	hermann
landskap	scenery
landskap	landscapes
landskap	landscape
allmänna	general
virginia	virginia
eric	eric
återvände	returned
mästare	master
mästare	champion
mästare	champions
station	station
fågel	bird
minuter	minutes
sports	sports
kungariket	kingdom
bildade	formed
röst	voice
sofia	sofia
sofia	sophia
oblast	oblast
lokala	local
precis	exactly
piano	piano
spring	run
uppslagsbok	encyclopedia
samarbete	collaboration
samarbete	cooperation
hockey	hockey
free	free
försök	try
oss	oss
eritrea	eritrea
följd	succession
tjänst	service
bidrag	subsidies
bidrag	grants
bidrag	contribution
bidrag	contributions
gärna	gladly
cot	cot
frank	frank
jesus	jesus
angeles	angeles
priset	price
visa	view
visa	display
visa	show
kalmar	kalmar
grupper	groups
tagit	taken
kontrakt	contracts
kontrakt	contract
mauricie	mauricie
fråga	ask
fråga	query
fråga	question
vår	our
vår	ours
wilson	wilson
bäst	best
projekt	project
projekt	projects
tur	lucky
tur	luck
radera	erase
radera	deleting
radera	delete
bor	bor
bor	boron
militär	military
uppgifter	information
uppgifter	tasks
uppgifter	data
piper	piper
piper	beeping
umeå	umeå
das	das
blue	blue
prince	prince
nordiska	nordic
eriksson	eriksson
sucre	sucre
frågor	issues
frågor	questions
frågor	queries
floden	river
hills	hills
björn	bjorn
björn	bear
björn	björn
code	code
nationella	national
bygger	builds
alpes	alpes
domare	judge
domare	judges
domare	referee
premiär	premiere
journalist	journalist
journalist	reporter
ridge	ridge
bukit	bukit
följer	following
följer	follow
estland	estonia
saknar	miss
saknar	missing
myror	ants
försökte	tried
zagreb	zagreb
tour	tour
arbeten	jobs
ferdinand	ferdinand
indian	indian
skalbaggar	beetle
skalbaggar	beetles
slog	punched
slog	hit
png	png
bodde	lived
svarta	black
svarta	blacks
haute	haute
byggnader	buildings
baserad	based
spår	track
spår	trail
spår	tracks
spår	traces
spår	trace
kraft	kraft
kraft	force
kraft	power
jack	jack
idaho	idaho
kategori	category
franz	franz
skapad	generated
skapad	created
unga	young
relativt	relative
relativt	relatively
våren	spring
våren	springtime
bana	runway
bana	bana
bana	orbit
francisco	francisco
eva	eva
eva	eve
beslut	decision
beslut	decisions
gabon	gabon
georgien	georgia
debuterade	debuted
scott	scott
ifk	ifk
lunds	lund
american	american
hustru	wife
moskva	moscow
guvernör	governor
dos	dos
dos	dosage
dos	dose
jackson	jackson
slutligen	finally
olsson	olsson
vanlig	common
estero	estero
utgiven	published
italiensk	italian
suva	suva
range	range
hitta	finding
hitta	find
forskning	research
jonas	jonas
klart	clear
klart	clearly
öppna	open
grundade	founded
haiti	haiti
viktigaste	main
följde	followed
skola	school
hertig	duke
tidiga	early
ledning	management
litteratur	literature
rysk	russian
metal	metal
viktiga	important
upplagan	edition
nio	nine
nio	nio
fungerar	working
fungerar	works
läkare	physician
läkare	doctors
läkare	doctor
vunnit	won
lago	lago
motsvarar	correspond
motsvarar	corresponds
warren	warren
hot	threats
hot	hot
hot	threat
resultatet	result
försöker	tries
försöker	trying
yrke	profession
yrke	occupation
katanga	katanga
fartyg	vessel
fartyg	ship
fartyg	ships
fartyg	vessels
västerås	västerås
japanska	japanese
västergötland	västergötland
universitetet	university
begreppet	concept
svt	svt
cape	cape
arbetar	works
arbetar	working
motsvarande	equivalent
motsvarande	corresponding
riksdagen	reichstag
riksdagen	parliament
klass	class
fru	mrs
fru	wife
filippinerna	philippines
etikett	label
royal	royal
rapids	rapids
euphorbia	euphorbia
saknas	missing
cypern	cyprus
herrar	gentlemen
herrar	lords
herrar	masters
herrar	gents
françois	francois
françois	françois
antonio	antonio
politisk	political
invigdes	inaugurated
speciellt	especially
speciellt	special
speciellt	specially
höll	kept
ghana	ghana
bad	prayed
bad	bad
bad	bath
media	media
damaskus	damascus
paulo	paulo
perioden	period
manus	screenplay
manus	scripts
manus	manus
manus	manuscript
manus	script
skapade	created
pass	passports
pass	passport
gått	gone
press	press
tränare	trainer
tränare	coaches
tränare	coach
kultur	culture
blå	blue
intresse	interest
tävling	race
tävling	competition
tävling	contest
karelen	karelia
walter	walter
lägre	lower
författaren	author
inklusive	including
omgivningen	surroundings
bestående	permanent
bestående	enduring
bestående	lasting
pyrénées	pyrénées
abitibi	abitibi
kvinna	woman
kvinna	female
outaouais	outaouais
andreas	andreas
andreas	andrew
témiscamingue	témiscamingue
nunavut	nunavut
ersattes	replaced
victor	victor
baie	baie
uppgift	task
air	air
persiska	persian
cañada	cañada
översatt	translated
baker	baker
georgia	georgia
bytte	swapped
döda	kill
döda	dead
döda	killing
samuel	samuel
teater	theater
teater	theatre
rosa	pink
rosa	rosa
cachoeira	cachoeira
loire	loire
kvinnliga	female
sid	sid
hamilton	hamilton
vice	deputy
vice	vice
aik	aik
anne	anne
ekonomisk	economic
betydande	substantial
betydande	significant
östergötland	östergötland
veckor	weeks
resa	travel
resa	journey
resa	travelling
resa	trip
resa	traveling
moore	moore
helst	preferably
helst	ideally
öppen	open
deltagare	attendees
deltagare	participants
deltagare	participant
gruva	mine
gruva	mines
bangui	bangui
illinois	illinois
pengar	money
julius	julius
nyland	uusimaa
priser	prices
priser	prizes
din	din
din	your
din	yours
slag	punches
slag	battles
persson	persson
alfabetisk	alphabetical
ägare	owner
ägare	owners
ägare	ownership
kasai	kasai
azerbajdzjan	azerbaijan
norrbotten	norrbotten
taylor	taylor
museet	museum
vänster	left
spelas	played
regissör	director
storlek	size
sweden	sweden
grad	grad
grad	rank
grad	degree
oslo	oslo
lån	loan
lån	loans
extra	extra
cuanza	cuanza
halvtid	halftime
valley	valley
levde	lived
