komputerów	komputer
marynarzy	kelasi
marynarzy	pelaut
marynarzy	mariners
avenue	avenue
gustav	gustav
samodzielne	kendiri
mobile	mobile
mobile	bimbit
filadelfii	philadelphia
oddziaływania	impacts
kadencja	terma
poczta	mail
poczta	pos
poczta	post
wenus	venus
zapraszam	welcome
cosworth	cosworth
funduszu	dana
funduszu	fund
felipe	felipe
filialny	berbakti
zasług	merit
wyemigrował	berhijrah
wyemigrował	immigrated
wyróżnić	highlight
wyróżnić	menyerlahkan
zurychu	zurich
pasażerski	penumpang
cia	cia
cia	cia
cia	cla
pojedynczy	single
pojedynczy	bujang
pojedynczy	singel
sprinter	sprinter
ból	kepedihan
ból	sakit
ból	keperitan
ból	kesakitan
ból	pain
rgb	rgb
pierwotne	primer
pierwotne	utama
grobu	kubur
martín	martín
więzienie	penjara
więzienie	penjara
kupił	dibeli
kupił	bought
wycofany	ditarik
justin	justin
beck	beck
true	benar
true	true
ginie	gina
collegium	collegium
indianapolis	indianapolis
kadetów	kadet
sprawdzone	checked
sprawdzone	disemak
sprawdzone	ditentusahkan
sprawdzone	disahkan
sprawdzone	diperiksa
sprawdzone	diuji
sprawdzone	teruji
żużlu	speedway
rzymskie	roman
rzymskie	rom
godło	lambang
hampshire	hampshire
motywy	tema
motywy	motif
rakieta	rocket
rakieta	roket
rakieta	misil
hart	hart
khan	khan
wymieniona	dirujuk
podanie	aturcara
podanie	aplikasi
podanie	lulus
luca	luca
akademickie	akademik
akademickie	academia
szt	pcs
dialogi	dialog
aparatu	kamera
aparatu	camera
przyszedł	came
przywilej	keistimewaan
przywilej	keistimewaan
sri	sri
lekki	ringan
lekki	cahaya
lekki	light
lekki	ringan
karaibów	carribean
karaibów	caribbean
basen	kolam
basen	pool
roll	roll
roll	gulung
uchodźców	penyeludupan
owoc	berbuah
owoc	buah
empire	empire
empire	kerajaan
empire	empayar
pióra	bulu
ski	ski
regularne	biasa
regularne	regular
regularne	teratur
break	break
break	hentian
break	rehat
druku	percetakan
druku	pencetakan
zasoby	sumber
zasoby	resources
zasoby	sumber
zasoby	stok
zasoby	stock
ran	luka
objętości	isipadu
objętości	jilid
objętości	jilid
czystości	ketulenan
czystości	kesucian
oskar	oscar
oskar	oskar
szczęścia	tuah
szczęścia	luck
szczęścia	kebahagiaan
modlitwa	berdoa
modlitwa	doa
modlitwa	sembahyang
modlitwa	doa
marine	marin
marine	marine
rasa	breed
rasa	baka
rasa	perlumbaan
rasa	race
rasa	ras
tymczasowy	sementara
satelita	satelit
pérez	pérez
przykładów	contoh
era	epok
era	era
lang	lang
królowie	kings
pascal	pascal
szóste	keenam
pomógł	dibantu
gridcolor	gridcolor
teatrów	teater
dyskografia	diskografi
koń	kuda
pacjenta	patient
pacjenta	sabar
pacjenta	pesakit
potrzebna	memerlukan
potrzebna	perlukan
potrzebna	perlu
potrzebna	need
potrzebna	diperlukan
potrzebna	needed
proponuje	proposes
uderzenie	impak
uderzenie	hentaman
uderzenie	hit
uderzenie	hentam
piaski	sands
annie	annie
secret	rahsia
zmniejsza	mengurangkan
zmniejsza	berkurangan
polecenia	arahan
polecenia	arahan
polecenia	perintah
fortu	fort
aleksandrii	iskandariah
aleksandrii	alexandria
praktyka	latihan
praktyka	latih
praktyka	amalan
sainte	sainte
środowisk	latarbelakang
środowisk	persekitaran
ska	ska
zaangażowany	terlibat
zakończony	ditamatkan
pomiarów	pengukuran
renesansu	renaissance
częste	lumrah
częste	common
częste	kerap
jelita	usus
jelita	usus
jelita	usus
zdrowie	kesihatan
cbs	cbs
rolnicze	pertanian
przedstawiono	dipersembahkan
przedstawiono	disajikan
honoru	kehormatan
honoru	honour
honoru	maruah
honoru	maruah
honoru	kehormatan
square	persegi
square	square
square	segiempat
odrębne	berasingan
czaszki	tengkorak
fischer	fischer
białek	protein
publiczny	awam
mail	mail
nieznacznie	slightly
tronie	singgahsana
tronie	takhta
kogo	sape
heaven	heaven
heaven	syurga
cen	cen
rozkładu	pereputan
piła	minum
piła	gergaji
piła	saw
śniegu	salji
damian	damian
istoty	makhluk
istoty	mahluk
ołtarzu	altar
policjant	polis
policjant	cop
toledo	toledo
cannes	cannes
informacyjny	bermaklumat
geschichte	geschichte
gospodarstwo	ladang
gospodarstwo	memegang
gospodarstwo	holding
czwartego	keempat
wiosce	kampung
teologiczne	theological
ograniczona	limited
ograniczona	terhad
ograniczona	terhad
ograniczona	dihadkan
kontynuować	teruskan
dem	dem
potwierdzenie	kepastian
potwierdzenie	pengesahan
potwierdzenie	perakuan
management	pengurusan
management	management
split	cerai
split	split
split	bahagikan
kenneth	kenneth
przeżył	terselamat
sosna	merana
sosna	pine
paragwaju	paraguay
bunt	pemberontakan
bunt	pemberontakan
pete	pete
suche	kering
ward	ward
ward	wad
baz	baz
owłosione	berbulu
promieniowanie	sinaran
struga	struga
eduardo	eduardo
sweet	sweet
skierowane	diarah
kolorów	warna
fernández	fernández
rycerz	knight
rycerz	satria
rycerz	wira
zapewnienia	pastikan
zapewnienia	memastikan
watson	watson
wprowadzona	diperkenalkan
wprowadzona	berkenalan
przypisuje	tugaskan
funkcjonowanie	operasi
białoruś	belarus
socjalistyczna	sosialis
czołg	tangki
czołg	tank
egzemplarze	salinan
zboczach	cerun
słowackiej	slovakia
słowackiej	slovak
widział	gergaji
widział	saw
połączona	digabungkan
połączona	dicantumkan
patrol	patrol
patrol	rondaan
patrol	peronda
patrol	meronda
litera	huruf
litera	letter
oznaczony	ditandakan
oznaczony	tagged
oznaczony	ditanda
oznaczony	ditag
oznaczony	ditandakan
oznaczony	ditanda
control	kawalan
chóru	koir
chóru	chorus
chóru	korus
starcia	clashes
maroka	maghribi
athletic	athletic
athletic	atlit
aresztowania	penangkapan
okien	tetingkap
bogato	wibawa
karen	karen
reorganizacji	reorganization
reorganizacji	reorganisation
odpowiedni	bersesuaian
śledztwo	siasatan
śledztwo	penyiasatan
śledztwo	penyelidikan
enwiki	enwiki
wrc	wrc
praktyczny	praktikal
praktyczny	practical
ograniczony	limited
ograniczony	terhad
ograniczony	terhad
ograniczony	dihadkan
arabskie	arab
arabskie	arab
arabskie	arabian
lewo	kiri
dno	bawah
dno	bawahnya
kopenhadze	copenhagen
wyścigi	ras
wyścigi	berlumba
wyścigi	perlumbaan
wyścigi	racing
gracze	pemain
gracze	gamers
holland	holland
holland	belanda
halle	halle
dotarły	tiba
dotarły	arrived
sumy	sum
sumy	total
bractwa	persaudaraan
bractwa	persaudaraan
bractwa	persaudaraan
bractwa	brotherhood
tajemnica	misteri
tajemnica	rahsia
targ	pasar
targ	pasaran
targ	pasar
targ	market
targ	pasaran
połączony	bersambung
połączony	disambungkan
kraina	land
kraina	tanah
kraina	darat
kraina	kontang
szeregi	peringkat
szeregi	series
szeregi	siri
szeregi	seri
potrzebny	memerlukan
potrzebny	perlukan
potrzebny	perlu
potrzebny	need
potrzebny	diperlukan
potrzebny	needed
mig	mig
oryginalna	original
kanały	saluran
kanały	canals
kanały	channel
zoo	zoo
pokryta	diliputi
pokryta	covered
turner	turner
ambasady	kedutaan
jefferson	jefferson
spartak	spartak
partner	affiliate
transmisji	penghantaran
transmisji	siaran
transmisji	penyiaran
teodora	theodora
właściciele	pemilik
właściciele	owners
albrecht	albrecht
kolonie	koloni
kolonie	jajahan
joão	joão
heinz	heinz
wygrana	win
wygrana	menang
wygrana	menang
lekkie	ringan
regulamin	peraturan
que	que
rachel	rachel
wenecja	venice
idee	idea
sierżant	sarjan
sierżant	sarjan
wynalazca	pereka
bei	bei
skarb	precious
skarb	mustika
skarb	harta
skarb	treasure
ogrody	gardens
prokurator	pendakwa
piąta	kelima
potwierdza	menegaskan
potwierdza	mengesahkan
pamiętnik	jurnal
pamiętnik	diary
pamiętnik	diari
stawu	kolam
prawdopodobne	kemungkinannya
prawdopodobne	berkemungkinan
prawdopodobne	kemungkinan
procedury	prosedur
procedury	procedure
procedury	prosedur
disco	disco
disco	disko
barona	baron
sumę	sum
dostaje	mendapat
dostaje	gets
prawny	perundangan
prawny	legal
cząsteczki	zarah
cząsteczki	zarahan
cząsteczki	molekul
cząsteczki	zarah
fair	adil
fair	fair
wstawić	selit
czysto	clear
czysto	jelas
urzędy	pejabat
objęcia	merangkul
objęcia	merangkul
plemiona	suku
nadzwyczajny	extraordinary
linda	linda
musical	muzikal
musical	musical
świętokrzyskie	świętokrzyskie
virginia	virginia
mistrzowie	sifu
mistrzowie	juara
mistrzowie	champion
drewno	kayu
drewno	wood
drewno	timber
salvador	salvador
islam	islam
bloków	blok
wagner	wagner
prasa	tekan
prasa	akhbar
łańcuch	string
łańcuch	rentetan
łańcuch	jirah
łańcuch	rantai
eso	eso
grubość	ketebalan
stevens	stevens
kapitał	modal
kapitał	capital
monica	monica
galaktyki	galaksi
galaktyki	galaxy
galaktyki	galaksi
aktualny	semasa
kontrola	kawalan
kontrola	audit
kontrola	inspection
mieszane	bercampur
mieszane	campuran
mieszane	mixed
mieszane	dicampur
dodaje	menambahkan
dodaje	menambah
typowo	kebiasaannya
typowo	biasanya
typowo	khas
warunek	syarat
warunek	kondisi
zawieszenia	suspension
zawieszenia	penggantungan
koleje	railways
stowarzyszeń	persatuan
regina	regina
zagrożonych	terancam
sokół	falcon
działka	plot
rozwiązany	terlerai
rozwiązany	dibubarkan
rozwiązany	dipecahkan
znaczny	ketara
floryda	florida
księżnej	duchess
obniżenie	menurunkan
geograficzny	geografi
autobus	bas
wirnika	rotor
właścicielami	pemilik
właścicielami	owners
wewnętrzny	dalaman
wewnętrzny	inner
wewnętrzny	batin
jeana	jean
sex	jantina
sex	seks
sex	sex
samców	jantan
zbrodnie	jenayah
zbrodnie	jenayah
filharmonii	philharmonic
bycie	being
bycie	menjadi
dar	dar
dar	hadiah
dar	pemberian
dar	anugerah
dar	gift
row	kayuh
wewnętrzna	dalaman
wewnętrzna	inner
wewnętrzna	batin
podróże	melancong
podróże	travel
podróże	pelancongan
podróże	kembara
podróże	melancong
podróże	melancong
pokrywy	meliputi
lewandowski	lewandowski
przekazano	dimajukan
przekazano	diagihkan
przekazano	diwakilkan
umieszczenie	penempatan
umieszczenie	perletakan
umieszczenie	meletak
umieszczenie	placing
umieszczenie	meletakkan
grabowski	grabowski
kapłan	imam
twierdzenia	assertions
twierdzenia	mendakwa
twierdzenia	tuntutan
aglomeracji	agglomeration
pokrewne	berkaitan
pokrewne	terkait
pokrewne	related
pokrewne	berkait
artystyczna	artistik
orlando	orlando
opinia	pendapat
opinia	pendapatnya
opinia	maklumbalas
opinia	feedback
alessandro	alessandro
pogoń	mengejar
pogoń	kejar
pogoń	chase
bycia	being
bycia	menjadi
postawy	perangai
postawy	attitude
postawy	sikap
postawy	sikap
postawy	postur
kasy	wang
kasy	duit
kasy	cash
klaus	klaus
studenci	pelajar
studenci	murid
studenci	pelajar
studenci	student
zęby	gigi
duszy	jiwa
duszy	soul
przeznaczeniem	destiny
przeznaczeniem	takdirnya
przeznaczeniem	takdir
finały	final
finały	finals
obywatel	warganegara
obywatel	citizen
irlandia	ireland
osobno	berasingan
zeszyt	notebook
ferdinand	ferdinand
act	akta
act	act
act	lakonan
act	bertindak
nationale	nationale
skała	batu
skała	rock
ponownego	pengulangan
leonarda	leonard
łaski	mercy
łaski	rahmat
łaski	grace
łaski	merahmati
wykorzystane	diguna
wykorzystane	digunakan
wykorzystane	dieksploitasi
nieliczne	jarang
nina	nina
montana	montana
hansen	hansen
parametr	parameter
narciarstwo	ski
eyes	mata
terytoriów	wilayah
ochotników	sukarelawan
pojęć	konsep
circle	bulatan
otoczone	dikelilingi
absolwentów	alumni
absolwentów	lulusan
równania	persamaan
auf	auf
uruchomienie	pelancaran
uruchomienie	launch
uruchomienie	commissioning
uruchomienie	melancarkan
imdb	imdb
gilles	gilles
diana	diana
senat	senat
zaproszenie	jemput
zaproszenie	undangan
zaproszenie	jemputan
zamiar	niat
zamiar	niat
podwozie	chassis
podwozie	casis
iranie	iran
lane	lane
lane	lorong
minas	minas
reggae	rege
blog	blog
zębów	gigi
dziesiątki	puluhan
orbicie	orbit
aten	athens
lars	lars
ter	ter
fikcyjna	fiksyen
full	full
full	kenyang
full	penuh
odra	campak
odra	odra
afryka	afrika
afryka	afrika
afryka	african
opublikowano	dikirim
opublikowano	disiarkan
opublikowano	diterbitkan
monet	syiling
monet	monet
lufy	barrel
lufy	tong
kosmiczny	kosmos
kosmiczny	kosmik
money	wang
money	duit
korzyść	benefit
korzyść	manfaat
korzyść	keuntungan
korzyść	advantage
krotnie	melipat
krotnie	lipat
calgary	calgary
szybciej	pantas
szybciej	faster
bakterii	bakteria
gospodarcza	ekonomi
przełom	diperluaskan
texas	texas
heavy	berat
słowian	slavs
rysunki	lukisan
jake	jake
historycy	sejarawan
portland	portland
terytoria	wilayah
terytoria	wilayah
algorytm	algoritma
koronę	mahkota
koronę	crown
kamienie	batu
kamienie	batu
kamienie	batuan
kamienie	rocks
honor	kehormatan
honor	honour
honor	maruah
honor	maruah
honor	kehormatan
konkretnie	khususnya
umiera	tenat
umiera	nazak
przemysłowe	industri
przemysłowe	industrial
przemysłowe	perindustrian
tunel	terowong
zbiorniki	tank
niewielu	few
sprzedano	jual
sprzedano	sold
sprzedano	terjual
chen	chen
konkursy	kejohanan
konkursy	peraduan
tygodniach	minggu
zen	zen
ewakuacji	pemindahan
jürgen	jürgen
wymiar	dimensi
wymiar	dimension
bonus	bonus
web	web
web	sesawang
connecticut	connecticut
rolnictwo	pertanian
rolnictwo	perladangan
rolnictwo	bertani
rolnictwo	pertanian
rolnictwo	pertanian
zmieniona	diubah
zmieniona	dipinda
simone	simone
juniors	juniors
poezja	puisi
litwa	lithuania
pokład	dek
pokład	deck
sprzeciw	pertentangan
atlanta	atlanta
sól	garam
kolonię	colony
kolonię	jajahan
słowacja	slovakia
usuwanie	membuang
usuwanie	memadam
usuwanie	pembuangan
usuwanie	pelupusan
usuwanie	pemadaman
usuwanie	pembuangan
usuwanie	penyingkiran
klein	klein
poczucie	deria
poczucie	akal
odwrót	berundur
rany	luka
substancje	zat
substancje	zat
ziemski	duniawi
publikowane	diterbitkan
pływak	perenang
ogromny	besaran
działek	parcel
nagrodzony	ganjaran
schemat	diagram
schemat	rajah
schemat	skematik
schemat	skema
oczywiste	obvious
fotografia	photo
fotografia	foto
fotografia	fotografi
fotografia	fotograf
gmt	gmt
przekierowanie	lencong
przekierowanie	diarahkan
przekierowanie	dilencongkan
krajobraz	landskap
krajobraz	lanskap
elektor	elector
ted	ted
tramwaj	tram
zdecydowała	diputuskan
przekonać	meyakinkan
przekonać	pujuk
belgradzie	belgrade
tkanki	tisu
tkanki	tisu
podstawowego	asas
podstawowego	basic
skuteczność	performance
skuteczność	prestasi
skuteczność	keberkesanan
skuteczność	efficacy
skuteczność	kecekapan
przypadkowo	kebetulan
tryby	mod
erich	erich
dama	lady
władcą	pembaris
władcą	penguasa
ślad	setapak
ślad	surih
ślad	jejak
przyjęte	diterima
przyjęte	accepted
przyjęte	adopted
bloki	blok
niska	rendah
niska	low
twierdzą	claim
twierdzą	tuntutan
berg	berg
anhalt	anhalt
podobieństwo	kemiripan
podobieństwo	persamaan
mitsubishi	mitsubishi
zatrudnienie	hiring
horror	seram
horror	horror
technologia	teknologi
oklahoma	oklahoma
konkretne	spesifik
konkretne	specific
konkretne	tertentu
konkretne	konkrit
konflikty	konflik
konflikty	konflik
wezwanie	saman
sophie	sophie
kings	kings
podziemia	underground
podziemia	neraka
zapobiec	mencegah
zapobiec	cegah
skrzyżowanie	persimpangan
skrzyżowanie	persilangan
skrzyżowanie	junction
skrzyżowanie	simpang
poprawę	meningkatkan
architektów	arkitek
muza	muse
czytać	baca
organizatorów	organizer
spada	terjun
spada	falls
dramatyczny	dramatik
siódmego	ketujuh
zapasy	bekalan
zapasy	stocks
zapasy	saham
zapasy	gusti
zapasy	stok
zapasy	stock
żyły	urat
żyły	urat
żyły	vena
donieck	donetsk
cesarzem	maharaja
cesarzem	kaiser
organiczny	organik
chrześcijaństwo	kristian
make	buat
instrukcji	arahan
hope	harapan
hope	harap
hope	hope
zgoda	persetujuan
zgoda	bersetuju
zgoda	setuju
zgoda	agreed
face	muka
face	wajah
opada	terjun
opada	falls
genewie	geneva
zapewnienie	memastikan
zapewnienie	pastikan
zapewnienie	memastikan
barwa	warna
barwa	colour
barwa	warna
wspomnień	kenangan
inżynieria	teknik
inżynieria	kejuruteraan
inżynieria	jurutera
turbo	turbo
radnego	alderman
sale	sale
literaturę	kesusasteraan
literaturę	sastera
dat	dat
artyleria	artileri
siatkówki	retina
siatkówki	retina
siatkówki	volleyball
roślinności	tumbuhan
design	rekaan
design	design
sklepy	kedai
sklepy	kedai
seweryn	seweryn
markiz	marquess
concacaf	concacaf
maks	max
majewski	majewski
doradcą	penasihat
doradcą	advisor
buffalo	kerbau
buffalo	buffalo
prawdopodobieństwo	kebarangkalian
hetman	hetman
zwłoki	mayat
zwłoki	mayat
zwłoki	rentung
zwłoki	mayat
pokoleń	generasi
odkryć	penemuan
odkryć	teroka
odkryć	terokai
stężenie	pengkhususan
stężenie	pengkhususan
stężenie	kepekatan
zrobione	direbut
zrobione	diambil
zrobione	taken
zrobione	diperbuat
zrobione	made
zrobione	bancuh
zrobione	done
rozbił	terhempas
rozbił	rosak
inżynierów	jurutera
bonaparte	bonaparte
odwołany	dibatalkan
odwołany	dibatalkan
żyła	urat
żyła	vena
zjednoczenie	unity
zjednoczenie	kesatuan
zjednoczenie	perpaduan
zjednoczenie	penyatuan
zjednoczenie	reunion
wnioski	aplikasi
wnioski	permintaan
wnioski	pemintaan
wnioski	kesimpulan
wnioski	kesimpulan
rak	barah
rak	kanser
luksemburga	luxembourg
radiowy	radio
emi	emi
sauber	sauber
somerset	somerset
atlantyku	atlantic
atlantyku	atlantik
pytaj	mintak
pytaj	minta
pytaj	tanyalah
pytaj	tanya
pytaj	bertanya
pytaj	ask
ronald	ronald
parki	park
parki	taman
parki	taman
konstrukcje	struktur
hong	hong
rain	hujan
jam	yam
jam	jem
połączyć	gabung
połączyć	cantuman
połączyć	cantum
połączyć	gabung
połączyć	menggabungkan
pozytywne	positive
pozytywne	positif
pętli	gelung
pętli	loop
pętli	gelung
historie	cerita
sheffield	sheffield
intensywnie	tegang
intensywnie	sengit
intensywnie	intense
niepełnosprawnych	dilumpuhkan
magnus	magnus
przejęcia	perolehan
przejęcia	pemerolehan
przejęcia	mengambilalih
libii	libya
fizyka	fizik
islamu	islam
naczelnik	warden
sporów	pertikaian
sporów	pertelingkahan
sporów	perselisihan
malarzy	pelukis
jeremy	jeremy
nagrobek	pusara
nagrobek	makam
haiti	haiti
haiti	haiti
rozmieszczenie	bentangan
rozmieszczenie	rekabentuk
calcio	calcio
spektakl	tontonan
przekształcenia	penjelmaan
przekształcenia	jelmaan
dłoni	kurma
wiara	iman
wiara	kepercayaan
jesień	autumn
jesień	luruh
jesień	fall
jesień	jatuh
rejestracji	pendaftaran
rejestracji	pendaftaran
myślenia	pemikiran
myślenia	berfikir
myślenia	fikirkan
zmiennych	pembolehubah
prześladowań	fitnah
prześladowań	penyeksaan
pułków	regimen
kolorado	colorado
mks	mks
bezpośredni	direct
błony	membran
derby	derby
głębokie	deep
przejęcie	mengambilalih
przejęcie	pemerolehan
przejęcie	perolehan
laurent	laurent
przedstawiona	dipersembahkan
przedstawiona	disajikan
plakat	poster
inicjatywa	inisiatif
bohaterka	heroin
palermo	palermo
wdowa	janda
cole	cole
kulturowe	kebudayaan
kulturowe	budaya
mma	mma
prywatny	swasta
prywatny	peribadi
prywatny	persendirian
prywatny	prebet
usuwania	pembuangan
usuwania	pelupusan
gil	gil
synod	synod
boliwii	bolivian
boliwii	bolivia
wyrażenia	frasa
wyrażenia	ungkapan
wyrażenia	ekspresi
wyrażenia	ungkapan
wyrażenia	expression
wyrażenia	ekspresi
gazy	gas
gazy	gaza
edu	edu
nasion	biji
nasion	benih
nasion	biji
nasion	benih
nasion	semai
nasion	seed
flora	flora
śródziemnego	mediterranean
siódme	ketujuh
starsza	elder
starsza	sulung
starsza	older
esp	esp
porównania	perbandingan
porównania	perbandingan
phillips	phillips
jiří	jiří
seine	seine
antwerpii	antwerp
münchen	münchen
poczęcia	conception
chaos	penganiayaan
chaos	aniaya
