ookean	océan
mehitatud	habité
mehitatud	habités
raad	raad
vaidlused	contentieux
vaidlused	litiges
vaidlused	conflits
vaidlused	différends
lugemine	lecture
lugemine	lisez
lugemine	lire
lugemine	lis
lugemine	lecture
lugemine	reading
lugemine	lire
vertikaalselt	verticalement
henning	henning
parimat	meilleure
parimat	meilleures
parimat	meilleur
parimat	best
parimat	meilleurs
marin	marin
alonso	alonso
peidetud	masquée
peidetud	cachée
peidetud	masqué
peidetud	caché
peidetud	cachés
peidetud	masqués
dünaamika	dynamiques
dünaamika	dynamique
dünaamika	dynamisme
dünaamika	dynamic
dünaamika	dynamiques
dünaamika	dynamique
domeeni	domaine
muhammad	muhammad
muhammad	mahomet
edukad	réussi
edukad	réussie
tutvustab	introduit
kinnine	fermée
kinnine	fermé
kinnine	fermés
kinnine	clos
federico	federico
lászló	lászló
kirjuta	écrivez
kirjuta	ecrire
kirjuta	écrire
kirjuta	rédiger
tüüringi	thuringe
täpsus	ponctualité
täpsus	précision
täpsus	exactitude
täpsus	précision
täpsus	justesse
kombinatsioon	combinaison
christie	christie
üliõpilane	étudiant
üliõpilane	étudiante
üliõpilane	étudiants
üliõpilane	etudiant
hapnikku	oxygène
vöö	courroie
vöö	ceinture
vöö	belt
maalitud	peintes
maalitud	peinte
maalitud	peint
maalitud	peints
arizona	arizona
komi	komi
segatud	mélangé
segatud	mixtes
segatud	mélangés
segatud	mixte
segatud	mélangé
segatud	mélangées
segatud	mélangés
kadi	kadi
valley	valley
valley	vallée
juhani	juhani
armin	armin
mars	mars
vennaskonna	confrérie
vennaskonna	fraternité
väljuvad	sortant
väljuvad	sortante
väljuvad	sortants
kõrgused	hauteurs
lõigatud	cut
lõigatud	couper
lõigatud	coupé
lõigatud	coupez
lõigatud	coupe
põhjendatud	étayées
põhjendatud	raisonné
põhjendatud	raisonnée
põhjendatud	justifié
põhjendatud	justifiées
põhjendatud	justifiés
põhjendatud	justifiée
epitsenter	épicentre
epitsenter	épicentre
samoa	samoan
samoa	samoa
seksuaalne	sexuel
seksuaalne	sexuelles
seksuaalne	sexuelle
juurdepääs	accès
juurdepääs	accéder
juurdepääs	accessibilité
igavene	eternel
igavene	éternelle
igavene	éternel
ootamatu	inattendue
ootamatu	inattendu
ootamatu	imprévisible
ootamatu	imprévu
ootamatu	imprévus
bayern	bayern
rääkides	parlant
madu	serpents
madu	vipère
madu	snake
madu	serpent
madu	serpent
tükk	piece
tükk	morceau
tasakaal	balance
tasakaal	solde
tasakaal	équilibre
tasakaal	équilibre
ühised	commune
ühised	fréquent
ühised	fréquents
ühised	commun
olend	créature
neutraalne	neutre
neutraalne	neutres
neutraalne	neutralité
inspiratsiooni	inspiration
discovery	découverte
discovery	découvertes
discovery	discovery
omavalitsused	communes
omavalitsused	municipalités
petri	petri
sööt	nourrir
sööt	fil
sööt	appâts
sööt	appât
piero	piero
tüür	gouvernail
liitrit	litres
liitrit	litre
mootorid	moteurs
mootorid	moteurs
läbipaistev	translucide
läbipaistev	transparence
läbipaistev	transparente
läbipaistev	transparent
läbipaistev	transparents
potentsiaali	potentialités
potentsiaali	potentiels
potentsiaali	potentielle
potentsiaali	potentiel
leslie	leslie
keiserlik	impérial
keiserlik	impériale
keiserlik	impérialiste
keiserlik	imperial
lineaarne	linéaires
lineaarne	linéaire
illustratsioonid	illustrations
traadita	wireless
muda	boues
muda	boue
muda	boue
mõõtmine	mesurage
mõõtmine	mesurer
mõõtmine	mesure
mõõtmine	mesures
mõõtmine	mesures
mõõtmine	mesurage
mõõtmine	mesurer
mõõtmine	mesure
krull	krull
lõhna	odeurs
lõhna	odeur
lõhna	odorat
lõhna	arôme
lõhna	senteurs
lõhna	parfum
lõhna	parfums
õnnetus	accident
suurused	grandeurs
suurused	tailles
suurused	taille
kommunismi	communisme
babüloonia	babylonien
semper	semper
tragöödia	tragédies
tragöödia	drame
tragöödia	tragédie
meeli	sens
eeldused	préalables
eeldused	prérequis
eeldused	suppositions
eeldused	hypothèses
eeldused	postulats
václav	václav
valdkond	domaine
valdkond	région
valdkond	zone
valdkond	domaine
konkurentsi	compétition
konkurentsi	concurrence
konkurentsi	concours
vulgaris	vulgaris
vicente	vicente
liu	liu
johansson	johansson
jälgib	moniteurs
jälgib	écrans
marge	marge
stein	stein
pen	stylo
pen	pen
pen	plume
pen	stylos
arendab	développe
ungarlased	hongrois
germain	germain
kommentaar	commentaire
kommentaar	commente
kommentaar	commenter
sean	sean
shanghai	shanghai
armastaja	amoureux
armastaja	amant
orange	orange
orange	orangé
orange	oranges
sõnaraamat	dictionnaire
sõnaraamat	dictionnaires
tuld	feu
tuld	incendie
tuld	incendies
viimasena	dernier
viimasena	dernière
viimasena	derniers
viimasena	dernières
ilmaliku	séculaire
ilmaliku	laïque
ilmaliku	laïcité
ilmaliku	laïques
ilmaliku	laïcs
edge	bord
edge	bordure
edge	arête
edge	edge
kiili	libellule
individuaalne	individuelle
individuaalne	individuels
individuaalne	individuel
myspace	myspace
robot	robots
robot	robot
robot	robotique
geneetiliselt	génétiquement
pilv	nuage
pilv	cloud
pilv	nuages
autosid	voitures
litsents	permis
litsents	licences
litsents	licence
litsents	permis
litsents	licence
kristlus	chrétienté
kristlus	christianisme
java	java
opel	opel
esinemise	occurrence
nero	néron
nero	nero
pakkumise	tendres
pakkumise	tendre
säilitab	conserves
säilitab	préserve
säilitab	conserve
säilitab	confitures
säilitab	maintient
säilitab	entretient
thorpe	thorpe
mir	mir
konsul	consul
allavoolu	aval
rõõm	plaisir
rõõm	plaisirs
rõõm	joy
rõõm	joie
olümpia	olympic
olümpia	olympique
olümpia	olympiques
dünaamiline	dynamisme
dünaamiline	dynamic
dünaamiline	dynamiques
dünaamiline	dynamique
owen	owen
owen	fabien
seen	champignons
seen	champignon
thor	thors
thor	thor
agentuuri	agence
sang	sang
sang	chanté
sang	chantait
terav	tranchant
terav	pointu
terav	sharp
foorum	forum
luuletus	poème
väidetud	réclamé
väidetud	prétendu
väidetud	revendiqué
orto	ortho
traditsioonilised	traditionnelles
traditsioonilised	traditionnel
traditsioonilised	traditionnelle
traditsioonilised	traditionnels
sõnumid	messages
timothy	timothy
cat	chats
cat	félin
cat	chatte
cat	chat
cat	cat
kajastab	reflète
gnu	gnu
faktid	faits
täpsed	exacte
täpsed	précises
täpsed	précis
pete	pete
diameeter	diamètre
diameeter	diamètres
gloria	gloria
kursused	cours
suomen	suomen
constantin	constantin
horisontaalselt	horizontalement
suurenemine	augmenter
suurenemine	accroître
suurenemine	augmentation
suurenemine	accroissement
triinu	ella
vassiljev	vasiliev
léon	léon
strauss	strauss
institutsioonid	institutions
romantiline	romantisme
romantiline	romantiques
romantiline	romantique
uhke	fier
uhke	fière
uhke	fiers
uhke	orgueilleux
uhke	fières
uhke	fantaisiste
uhke	chic
uhke	fantaisie
kirjutades	dactylographie
kirjutades	taper
haruldased	rareté
haruldased	rare
haruldased	saignant
haruldased	rares
vista	vista
kohvi	café
marianne	marianne
jeemeni	yémen
jeemeni	yéménite
jeemeni	yéménites
omar	omar
pinnas	terre
pinnas	sols
pinnas	sol
kodakondsus	nationalité
kodakondsus	nationalités
kodakondsus	nationalité
kodakondsus	citoyenneté
ajavahemik	période
giulio	giulio
standardid	normes
albumid	albums
pühendunud	dévouée
pühendunud	dévoués
pühendunud	dévoué
pühendunud	consacré
pühendunud	dédiée
pühendunud	dévoué
pühendunud	dédié
pühendunud	dédiés
pühendunud	dévouée
pühendunud	engagée
pühendunud	engagés
pühendunud	commis
pühendunud	engagé
tselluloosi	cellulose
liigitada	classer
liigitada	classifier
tasapisi	lentement
tasapisi	doucement
romano	romano
resolutsioon	résolution
andrzej	andrzej
philadelphia	philadelphie
philadelphia	philadelphia
oulu	oulu
mürgine	toxique
mürgine	toxiques
mürgine	venimeux
mürgine	venimeux
mürgine	toxique
mürgine	toxiques
väärt	worth
tapmine	abattages
tapmine	abattage
tapmine	abattage
tapmine	tuerie
tapmine	tuer
esa	ase
esa	esa
read	lignes
read	rangées
read	rangs
read	lignes
michele	michele
michele	michèle
korsika	corse
korsika	corse
kaksteist	twelve
kaksteist	douze
ekspert	expert
ökoloogiline	écologiques
ökoloogiline	écologique
sool	salé
sool	sel
jung	jeong
jung	jung
müük	soldes
müük	ventes
müük	vente
müük	soldes
müük	vente
vähendamine	réduction
vähendamine	réduire
vähendamine	réducteur
vähendamine	réducteurs
smithi	smith
smithi	forgeron
smart	intelligente
smart	malin
smart	intelligent
smart	smart
smart	futé
loobunud	renoncé
viljakas	fertiles
viljakas	fertile
viljakas	féconde
viljakas	fécond
viljakas	prolifique
viljakas	fructueux
viljakas	fructueuse
viljakas	fécond
viljakas	fructueuses
hell	doux
hell	douce
kokkupõrge	impact
kokkupõrge	incidence
kokkupõrge	collisions
kokkupõrge	collision
kokkupõrge	abordage
paber	papier
paber	papiers
alasti	nues
alasti	nue
alasti	nu
alasti	nus
alasti	nudité
alasti	nues
alasti	nue
alasti	nu
alasti	nus
sammas	colonne
sammas	chronique
sammas	colonnes
sammas	piliers
sammas	pilier
mitt	mitaine
mitt	mitt
mitt	gant
maatriks	matrice
maatriks	matrix
neljandaks	quatrièmement
neljandaks	quatrième
neljandaks	fourth
neljandaks	quatrièmement
parameeter	paramètre
žanr	genre
žanr	genres
stella	stella
oskuste	compétence
oskuste	habileté
oskuste	compétences
otsustanud	décidée
otsustanud	décidés
otsustanud	décidé
sinised	bleu
sinised	bleus
sinised	bleue
sinised	bleues
schultz	schultz
wales	galles
elbe	elbe
kogemata	accidentellement
hani	oie
hani	oies
hani	hani
hani	han
rex	rex
territoriaalne	territoriale
territoriaalne	territoriales
territoriaalne	territorial
jeffersoni	jefferson
bengali	bengale
harrison	harrison
maia	maia
mehaanilise	mécaniquement
ümbritsev	entourant
chicagos	chicago
turba	tourbe
hävitatud	détruite
hävitatud	détruits
hävitatud	détruit
hävitatud	détruites
hävitatud	exterminés
karistuse	punition
karistuse	châtiment
karistuse	punitions
karistuse	sanction
liigitus	classement
liigitus	classification
hävitamine	détruisez
hävitamine	anéantir
hävitamine	détruire
hävitamine	destructions
hävitamine	anéantissement
hävitamine	destruction
korrus	etage
korrus	étage
korrus	sol
korrus	plancher
beach	plage
beach	plages
õiglane	vertueux
õiglane	justes
õiglane	vertueuse
õiglane	foire
õiglane	justes
õiglane	équitable
õiglane	équitables
pööre	twist
pööre	torsion
pööre	tourne
pööre	turn
pööre	tourner
pööre	tournez
sõitja	passager
sõitja	passagère
sõitja	passagers
sõitja	voyageur
sõitja	occupant
astrofüüsik	astrophysicien
kuru	passer
kuru	passe
kuru	passent
kuru	pass
kliendi	client
kliendi	client
katoliiklased	catholiques
pidulik	festif
pidulik	festive
võrreldav	comparables
võrreldav	comparable
phillips	philips
phillips	phillips
kaas	couvercle
lennata	vole
lennata	voler
lennata	mouches
lennata	mouche
lõpetatud	complète
lõpetatud	complets
lõpetatud	complètes
lõpetatud	complet
lõpetatud	complété
lõpetatud	terminée
lõpetatud	achevés
lõpetatud	achevé
lõpetatud	terminées
lõpetatud	terminé
lõpetatud	fini
lõpetatud	terminée
lõpetatud	finis
lõpetatud	terminé
alumiiniumi	aluminium
yves	yves
ted	ted
kümmekond	douzaines
kümmekond	dizaine
kümmekond	dizaines
kümmekond	douzaine
abt	abbé
möödub	passe
möödub	passes
tõlked	traductions
tõlked	traduction
camille	camille
claus	claus
meeldis	adoré
meeldis	aimée
meeldis	aimées
meeldis	aimé
meeldis	aimés
meeldis	apprécié
meeldis	aimés
meeldis	aimées
meeldis	aimée
meeldis	aimé
liides	interface
toll	inch
toll	pouce
toll	centimètre
toll	péage
toll	péages
toll	coutumes
toll	douanes
toll	douane
toll	douanières
toll	douanier
tammeka	chênes
tammeka	oak
tammeka	chêne
kaaslased	compagnons
cook	cuisiner
cook	cuisinier
cook	cuire
cook	cook
cook	cuisinière
stressi	contrainte
stressi	stress
stressi	stressé
varad	actif
varad	actifs
amy	amy
kive	pierres
kive	roches
kive	rochers
kive	cailloux
kive	pierres
zürichi	zürich
zürichi	zurich
brüssel	bruxelles
kaltsiumi	calcium
gonzález	gonzález
gonzález	gonzalez
sigmund	sigmund
berni	berne
ahven	perches
ahven	perche
suurendatud	augmentées
suurendatud	augmenté
suurendatud	augmentation
suurendatud	augmentée
laienenud	dilatées
laienenud	élargie
laienenud	agrandi
töölised	ouvriers
töölised	travailleurs
flash	instantané
flash	flash
flash	éclair
flash	flashs
göteborgi	göteborg
projektid	projets
june	juin
parasvöötme	tempérée
parasvöötme	tempéré
parasvöötme	tempérées
gérard	gérard
konsooli	pupitre
konsooli	consoles
konsooli	console
siena	sienne
siena	siena
verner	verner
verona	vérone
singapuri	singapour
rühmitus	groupement
rühmitus	regroupement
käsitöö	artisanat
käsitöö	artisanale
käsitöö	handmade
käsitöö	artisanat
religioosne	religieux
religioosne	religieuses
religioosne	religieuse
muljet	épater
muljet	impressionne
muljet	impressionner
vincenzo	vincenzo
ülekanne	transmission
ülekanne	transmissions
ülekanne	virement
ülekanne	transfer
ülekanne	transférer
ülekanne	transfert
ülekanne	diffusion
ülekanne	radiodiffusion
ülekanne	diffuser
mõjud	effets
arvud	chiffres
määr	taux
määr	tarif
opositsioon	opposition
irene	irene
irene	irène
leidmine	trouver
üheksas	ninth
üheksas	neuvième
fourier	fourier
mošee	mosquée
benito	benito
valentina	valentina
mõistab	comprend
revolutsiooniline	révolutionnaires
revolutsiooniline	révolutionnaire
astuuria	asturies
mitmekesine	varié
mitmekesine	diversifié
mitmekesine	diverses
joonia	ionienne
tervishoid	sante
tervishoid	santé
käimine	rencontres
bauer	bauer
pidulikult	solennellement
näita	afficher
näita	montre
näita	montrer
näita	spectacle
budism	bouddhisme
koguma	recueillir
koguma	ramasser
koguma	rassembler
koguma	collecter
koguma	collectionner
laenatud	empruntée
laenatud	empruntées
laenatud	emprunté
tunnistama	reconnaissez
tunnistama	reconnaître
tunnistama	reconnaissent
ruumiline	spatiale
magma	magma
sektor	secteur
sektor	sectoriel
enterprise	enterprise
enterprise	entreprise
keskmised	moyen
keskmised	moyennes
keskmised	médium
keskmised	moyenne
keskmised	milieu
keskmised	moyennes
joone	ligne
joone	line
sõnum	message
tiigid	bassins
tiigid	étangs
beethoven	beethoven
arenema	évoluer
teadis	saviez
teadis	savait
teadis	savais
teadis	savaient
cura	cura
città	città
augusta	augusta
bio	bio
bio	biographie
biokeemia	biochimie
nielsen	nielsen
fra	fra
jános	jános
hobused	chevaux
hobused	cheval
rongi	train
rikkus	richesse
rikkus	richesses
rikkus	richesses
rikkus	richesse
rikkus	ruinés
rikkus	gâché
rikkus	ruiné
etendus	afficher
etendus	montre
etendus	montrer
etendus	spectacle
marshalli	marshall
kvalifikatsioon	qualifications
kvalifikatsioon	qualifications
kvalifikatsioon	qualification
koondatud	agrégés
koondatud	agrégée
koondatud	agrégé
koondatud	agrégées
intensiivsus	intensités
intensiivsus	intensité
marss	mars
springer	springer
teave	informations
teave	infos
teave	renseignements
teave	information
signaale	signaux
ridades	grades
ridades	rangs
kõrgele	élevée
kõrgele	hautes
kõrgele	haut
kõrgele	haute
kõrgele	élevé
dakota	dakota
rey	rey
dresdeni	dresden
dresdeni	dresde
katastroofi	sinistre
katastroofi	désastre
katastroofi	catastrophe
katastroofi	catastrophes
muusikal	musicale
muusikal	musical
nigeri	nigérien
nigeri	niger
satelliit	satellite
rick	rick
poom	boum
poom	boom
astronaut	astronaute
astronaut	astronautes
unenägu	reve
unenägu	rêves
unenägu	dream
unenägu	rêver
unenägu	rêve
suundumused	tendances
herakles	hercules
herakles	hercule
herakles	hercule
aspekte	aspects
vastastikku	mutuellement
vastastikku	mutuellement
vastastikku	réciproquement
lootes	espérant
lootes	espérer
mässulised	insurgés
andersen	andersen
firmad	sociétés
firmad	compagnies
firmad	entreprises
firmad	sociétés
michelangelo	michelangelo
võti	touche
võti	clef
võti	clé
võti	clefs
võti	clés
kliiniline	clinique
kliiniline	cliniques
väljatöötamine	élaboration
väljatöötamine	développer
välised	externe
välised	extérieurs
välised	extérieur
välised	extérieure
välised	externes
välised	extérieurs
välised	extérieur
välised	extérieures
välised	exterieur
välised	extérieure
võõras	étranger
võõras	etranger
tuttav	familières
tuttav	familière
tuttav	familier
tuttav	familiers
tuttav	connaissance
madalamad	abaisser
madalamad	inférieur
madalamad	inférieure
baltimore	baltimore
päevik	revue
päevik	journal
päevik	journal
päevik	agenda
platvorm	plate
platvorm	quai
platvorm	plateforme
platvorm	plateformes
paradigma	paradigme
nähtavad	visible
nähtavad	visibles
emilia	emilie
emilia	emilia
metallica	metallica
pidu	partie
pidu	parti
pidu	fete
pidu	soirée
pidu	fête
meeleolu	humeur
meeleolu	ambiance
sata	sata
sidus	cohérents
sidus	cohérentes
sidus	cohérente
sidus	cohérent
alternatiiv	alternative
alternatiiv	alternatif
alternatiiv	suppléant
alternatiiv	alterner
hiv	vih
tarn	tarn
disainitud	conçu
disainitud	conçues
disainitud	conçue
disainitud	conçus
geneetika	génétique
gov	gov
adolph	adolph
adolph	adolphe
täitnud	satisfaites
täitnud	accomplie
täitnud	remplies
ingel	ange
ingel	angélique
ingel	angel
ingel	anges
kohane	approprié
kohane	appropriées
kohane	appropriés
kohane	appropriée
enrico	enrico
cfg	cfg
vangistatud	incarcérés
vangistatud	emprisonnés
vangistatud	emprisonné
vangistatud	capturées
vangistatud	capturée
vangistatud	capturé
vangistatud	capturés
vaatas	surveillés
vaatas	regardée
vaatas	regardé
vaatas	regardées
rev	rév
rev	rev
akna	hublot
akna	vitre
akna	fenetre
akna	fenêtre
akna	fenêtres
maximus	maximus
meelega	délibérément
samsung	samsung
clemente	clemente
variandid	variantes
hüüdnime	surnom
hüüdnime	pseudo
hüüdnime	pseudonyme
pühak	sainte
pühak	saint
craig	craig
honda	honda
florence	florence
reporter	journaliste
reporter	reporter
geoloogiline	géologique
geoloogiline	géologiques
geoloogiline	géologiques
geoloogiline	géologique
hampshire	hampshire
jutud	histoires
atmosfäär	atmosphère
atmosfäär	ambiance
lahinguid	batailles
sissetulek	revenu
sissetulek	revenus
ületanud	dépassée
ületanud	dépassé
ületanud	dépassés
lame	plats
lame	plat
elena	elena
brand	marque
augustin	augustin
võrgus	online
kasutamata	inutilisées
kasutamata	inutilisés
kasutamata	inutilisée
kasutamata	inutilisé
hunter	chasseur
hunter	hunter
nõutud	demandée
nõutud	demandé
nõutud	sollicité
nõutud	demandés
nõutud	exigée
nõutud	exigé
nõutud	requise
nõutud	nécessaire
nõutud	obligatoire
nõutud	requis
moodul	module
han	han
chapelle	chapelle
täide	poux
mungad	moines
sauna	saunas
sauna	sauna
ameeriklane	américaine
ameeriklane	américain
ameeriklane	américaines
ameeriklane	américains
hinnad	tarifs
hinnad	prix
diktaator	dictateur
meta	meta
meta	méta
lane	lane
armastatud	aimée
armastatud	adoré
eesistuja	présidente
eesistuja	président
eesistuja	président
ragnar	ragnar
canterbury	canterbury
kulu	coût
kulu	coûts
kulu	dépense
ettepanekuid	propositions
tagajärg	conséquence
julge	audacieuse
julge	téméraire
julge	audacieux
julge	gras
julge	courageux
julge	courageuse
julge	oser
julge	ose
julge	dare
julge	osez
julge	audacieuse
julge	audace
julge	audacieux
julge	oser
tasane	plats
tasane	plat
mune	œufs
mune	oeufs
mõjuvõimu	émancipation
mõjuvõimu	autonomisation
mõjuvõimu	responsabilisation
mõjuvõimu	habilitation
konkreetsete	spécifiques
konkreetsete	spécifique
olli	olli
voyager	voyager
jõulud	noël
jõulud	noel
plus	plus
baltica	baltica
nõbu	cousin
nõbu	cousine
nõbu	cousin
klaviatuuri	clavier
klaviatuuri	claviers
ökosüsteemi	écosystèmes
ökosüsteemi	écosystème
aurora	aurora
aurora	aurores
aurora	aurore
kirgiisi	kirghizes
kirgiisi	kirghize
stanislav	stanislav
spencer	spencer
kõneleja	orateur
kõneleja	intervenant
kõneleja	enceintes
kõneleja	conférencier
terminoloogia	terminologie
nokk	bec
hirv	cerf
hirv	cerfs
hirv	daim
hirv	biche
hirv	chevreuil
jefferson	jefferson
tunnel	tunnel
mahajäetud	abandonnés
mahajäetud	abandonné
mahajäetud	abandonnées
mahajäetud	abandonnée
kiired	rayons
kiired	raies
bagdadi	bagdad
leib	pain
lendavad	volants
lendavad	battant
lendavad	volant
lendavad	voler
isabel	isabel
isabel	isabelle
edvard	edvard
secret	secrets
secret	secret
secret	secrète
laagris	camp
laagris	campement
laagris	camps
snake	serpents
snake	vipère
snake	snake
snake	serpent
avaldus	énoncé
avaldus	déclaration
kontor	bureaux
kontor	bureau
oskus	maîtrise
oskus	compétence
oskus	habileté
oskus	compétences
emily	émilie
emily	emilie
emily	emily
aldo	aldo
väljendus	expression
kattis	couvert
kattis	couvertes
kattis	couverte
kattis	recouvert
kattis	couverts
kahur	cannon
kahur	canon
kahur	canons
esitus	présentation
esitus	performances
esitus	spectacles
esitus	représentations
paas	jeûne
paas	jeûner
paas	jeun
tervist	sante
tervist	santé
toodang	production
dante	dante
bordeaux	bordeaux
nuku	poupée
nuku	poupées
nuku	doll
stsenaarium	scénario
õigustada	justifier
õigustada	justifie
õigustada	justifient
kaar	arc
kaar	voûte
kaar	arche
kaar	arch
skp	pib
autod	voitures
oranž	orange
oranž	orangé
oranž	oranges
ideaalne	parfaits
ideaalne	parfait
ideaalne	parfaites
ideaalne	parfaite
ideaalne	idéale
ideaalne	ideal
ideaalne	idéal
leedulased	lituaniens
ani	ani
serv	bord
serv	bordure
serv	arête
serv	edge
muster	motif
muster	schéma
castle	château
castle	chateau
identiteet	identité
zhang	zhang
geoffrey	geoffrey
zhou	zhou
rõivas	vêtement
ainulaadne	uniques
ainulaadne	unique
algataja	initiateur
algataja	initiateur
algataja	instigateur
sissetung	envahir
sissetung	invasion
sissetung	invasions
sissetung	intrusions
sissetung	intrusion
avastamise	détection
altari	autel
magneesiumi	magnésium
mona	mona
grey	gris
grey	grise
teresa	thérèse
teresa	teresa
luca	luca
oskused	aptitudes
oskused	compétences
oskused	compétence
oskused	habileté
oskused	compétences
solomon	salomon
solomon	solomon
intervall	intervalle
intervall	entracte
intervall	intervalles
oklahoma	oklahoma
leopard	léopard
leopard	leopard
leopard	guépard
osaka	osaka
rikkumise	violation
rikkumise	infraction
rikkumise	contrefaçon
vastused	réponses
vastused	réponses
vastused	réponses
tundeid	sentiments
hannah	hannah
trotski	trotsky
esitamine	soumission
põhjavee	souterraine
põhjavee	souterraines
järjekord	queue
järjekord	file
järjekord	ordre
järjekord	commande
järjekord	commander
geneetik	généticien
motoriseeritud	motorisé
motoriseeritud	motorisés
motoriseeritud	motorisée
franklini	franklin
karistus	pénalités
karistus	peine
karistus	pénalité
karistus	sanction
karistus	punition
karistus	châtiment
karistus	punitions
karistus	sanction
montgomery	montgomery
eripära	spécificités
kuulnud	entendu
kuulnud	entendue
kuulnud	entendues
kuulnud	entendus
aspekt	facette
aspekt	aspect
benedict	benedict
benedict	benoît
filter	filtres
filter	filtrer
filter	filtre
filter	filtrage
filter	filtrant
lindi	ruban
lindi	cassette
lindi	bande
terje	terje
milton	milton
vinci	vinci
pol	pol
pan	pan
pan	casserole
reguleeritud	régulé
reguleeritud	réglementé
reguleeritud	réglementés
reguleeritud	réglementée
lendu	vol
augsburgi	augsbourg
stephan	stéphane
stephan	stephan
abstraktne	abstraite
abstraktne	abstrait
abstraktne	abstraits
abstraktne	résumé
plaanitud	prévu
plaanitud	planifié
plaanitud	planifiés
plaanitud	planifiée
plaanitud	prévue
valle	valle
puudused	déficiences
puudused	lacunes
puudused	carences
puudused	insuffisances
puudused	déficiences
puudused	lacunes
puudused	carences
puudused	insuffisances
puudused	insuffisances
puudused	faiblesses
todd	todd
olympic	olympic
olympic	olympique
olympic	olympiques
wilde	wilde
leiba	pain
kontserdid	concerts
newcastle	newcastle
õpetlane	érudit
volinik	commissaire
pioneer	pionnier
pioneer	pioneer
pioneer	pionniers
pioneer	pionnière
ravenna	ravenne
tapab	tue
arendus	developpement
arendus	développement
raskused	difficulté
raskused	difficultés
raskused	difficultés
raskused	bourbier
raskused	quagmire
sotsialismi	socialisme
grupid	groupes
nael	ongles
nael	clou
nael	ongle
nael	clouer
nael	clous
nürnbergi	nuremberg
eraldunud	individuelle
eraldunud	isolée
eraldunud	détachée
eraldunud	détaché
eraldunud	détachés
veerand	quart
veerand	trimestre
püssi	fusil
püssi	carabine
irl	irl
konstrueeritud	construite
konstrueeritud	construit
konstrueeritud	construits
anglikaani	anglicane
mix	mix
mix	mélanger
mix	mélange
mix	mixage
vari	shadow
vari	ombre
vari	ombres
grete	grete
derek	derek
vesinik	hydrogène
usd	usd
usd	us$
reed	roseaux
reed	reed
motiiv	motif
motiiv	motif
motiiv	fonctionnalité
motiiv	caractéristique
usbeki	ouzbek
usbeki	ouzbèke
björn	bjorn
björn	björn
veebisait	site
adobe	adobe
positiivselt	positivement
oswald	oswald
galileo	galileo
galileo	galilée
värskelt	fraîchement
liigne	excessif
liigne	excessifs
