레니	லென்னி
아래쪽	கீழ
플로피	நெகிழ்வட்டு
콜라	கோக்
콜라	கோலா
미드	மீட்
검출	கண்டறிதல்
손상된	சேதமடைந்த
걷고	நடந்து
걷고	நடத்தல்
걷고	நடக்கிறார்
걷고	வாக்கிங்
걷고	நடைப்பயிற்சி
범죄자	குற்றவாளிகள்
범죄자	கிரிமினல்
범죄자	குற்றவியல்
명성	புகழ்
명성	புகழை
쏟아져	கொட்டும்
입술	உதடு
입술	உதடுகள்
입술	லிப்
입술	உதடு
입술	உதட்டு
마티	மார்டி
농부	விவசாயிகள்
농부	உழவர்
농부	விவசாயி
호위	எஸ்கார்ட்
베니	பென்னி
응급	அவசர
스무	இருபது
실린더	சிலிண்டர்
우분투	உபுண்டு
리타	ரீட்டா
샤이니	ஷா
샤이니	சா
손해	சேதம்
손해	பாதிப்பு
버추얼	மெய்நிகர்
아이비	ஐவி
스플리트	பிரி
코니	கோனி
혈관	நாளங்கள்
치프	தலைவன்
치프	தலைமை
에베레스트	எவரெஸ்ட்
마일스	மைல்கள்
마일스	மைல்
디나르	தினார்
리처드슨	ரிச்சர்ட்சன்
마인드	மனங்கள்
피드백	பின்னூட்டம்
피드백	கருத்து
공지	அறிவிப்பு
공지	அறிவிப்பு
공지	கவனிக்க
잠금	லாக்
잠금	பூட்டு
잠금	திறத்தல்
잠금	பூட்டு
바하마	பஹாமாஸ்
설리번	சல்லிவன்
훌리오	ஜூலியோ
루니	ரூனி
무례한	முரட்டுத்தனமாக
매트	மாட்
매트	மேட்
매트	mat
항아리	ஜார்
항아리	ஜாடிகள்
엘런	எல்லன்
온실	பைங்குடில்
지불	செலுத்து
지불	ஊதியம்
지불	செலுத்துகிறது
지불	கட்டணம்
감지	கண்டறிதல்
감지	கண்டறியப்பட்டுள்ளது
감지	கண்டறியப்பட்டது
감지	கண்டறியும்
네이션	தேசம்
언제부터	என்பதால்
연습생	பயிற்சி
아브라함	இப்ராஹிம்
아브라함	இப்ராஹீம்
아브라함	இப்ராகிம்
아브라함	ஆபிரகாம்
전갈자리	விருச்சிகம்
아리스토텔레스	அரிஸ்டாட்டில்
물고기자리	மீனம்
가까워	அருகாமையில்
자격증	தகுதிகள்
자격증	சான்றுகள்
가정교사	பாடம்
가정교사	பயிற்சியளித்தல்
루미	ரூமி
매리너	மரைனர்
남서	தென்மேற்கு
벤치	பெஞ்ச்
스완	அன்னம்
흔적	வழி
흔적	சுவடு
흔적	சுவடுகள்
흔적	மாதிரி
에드먼턴	எட்மன்டன்
말라위	மலாவி
캐치	பிடிக்க
캐치	பிடி
비자	விசா
세르비아인	செர்பியன்
플루트	புல்லாங்குழல்
넷스케이프	நெட்ஸ்கேப்
오늘도	இன்று
오늘도	இன்றும்
파서	பாகுபடுத்தி
부모님	பெற்றோர்
부모님	பெற்றோரும்
부모님	பெற்றோர்கள்
부모님	பெற்றோர்களே
부모님	பெற்றோர்
수류탄	கையெறி
콜렉션	சேகரிப்பு
콜렉션	சேகரிப்புகள்
콜렉션	தொகுப்பு
콜렉션	வசூல்
펀자브	பஞ்சாப்
펀자브	பஞ்சாபி
단락	பத்தி
무제한	வரம்
무제한	அளவில்லா
무제한	அளவில்லாத
무제한	எண்ணிலடங்கா
숨김	மறைத்த
숨김	மறைந்த
숨김	மறைக்கப்பட்ட
숨김	மறைந்துள்ள
숨김	மறைக்கப்பட்டது
숨김	மறைந்து
매기	மேகி
카세트	பேழை
거품	குமிழிகள்
거품	நுரை
거품	குமிழி
랠리	ஊர்வலம்
랠리	பேரணி
닫습니다	மூடு
닫습니다	மூடவும்
독립기념일	சுதந்திர
스캇	ஸ்காட்
배너	பேனர்கள்
배너	பதாகை
배너	பேனர்
의사당	கேபிடல்
억제	suppression
억제	தடுப்பிகள்
방학	விடுமுறை
베네딕트	பெனடிக்ட்
도달	அடைந்தது
도달	அடைந்து
도달	பார்வை
도달	அடையும்
가정부	வேலைக்காரி
플레어	flare
플라워	மலர்
플라워	பூ
플라워	மலர்களால்
아메드	அகமது
아메드	அஹ்மத்
피어	பீர்
리비우	லிவீவ்
배운다	கற்று
배운다	கற்க
배운다	அறிக
멤버들	உறுப்பினர்கள்
애정	பாசத்தை
애정	பாசம்
애정	பாசமும்
위트레흐트	utrecht
비스마르크	பிஸ்மார்க்
볼륨	ஒலியளவு
파도	அலைகள்
파도	அலை
파도	அலை
파도	வேவ்
엘프	விரோதமானது
웬디	வெண்டி
백조	அன்னம்
심어	நடப்பட்ட
스노우	பனி
거스	கஸ்
출판물	வெளியீடு
타라	தாரா
마르코스	மார்கோஸ்
바빌론	பாபிலோன்
발목	கணுக்கால்
중성미자	நியூட்ரினோ
베일리	பெய்லி
새우	இறால்
새우	இறால்கள்
새우	இறால்
다코타	டகோட்டா
에식스	எசெக்ஸ்
페니	பென்னி
혼돈	குழப்பம்
혼돈	குழப்பம்
혼돈	குழப்பமான
워렌	வாரன்
브라보	சபாஷ்
브라보	பிராவோ
볼프	ஓநாய்
하이라이트	சிறப்புகள்
하이라이트	சிறப்பம்சங்கள்
바닐라	வெனிலா
바닐라	வெண்ணிலா
두뇌	மூளை
일관성	coherence
일관성	நிலைத்தன்மை
알란	ஆலன்
알란	அலன்
망치	சுத்தியல்
망치	சுத்தி
주디	ஜூடி
대각선	குறுக்கு
피타고라스	பித்தாகரஸ்
지리학	புவியியல்
카레	குழம்பு
카레	கறி
지브롤터	ஜிப்ரால்டர்
전자제품	மின்னணுவியல்
전자제품	எலக்ட்ரானிக்ஸ்
재산권	பண்பு
재산권	உடைமை
재산권	சொத்து
글래스	கிளாஸ்
글래스	கண்ணாடி
뱅크스	வங்கிகள்
컴팩트	குறுவட்டு
컴팩트	காம்பேக்ட்
장애물	குதிக்கும்
장애물	தடைகள்
복숭아	பீச்
복숭아	பீச்
사용법	உபயோகம்
사용법	பயன்
사용법	பயன்பாடு
자정	நள்ளிரவு
분사	ஊசி
싸이	psy
프로토타입	prototype
템플	கோவில்
템플	கோவிலில்
템플	கோயில்
웰스	வெல்ஸ்
웰스	கிணறுகள்
에덴	ஈடன்
지뢰	கண்ணிவெடி
피보나치	ஃபிபனாச்சி
에두아르도	eduardo
코브라	நாகம்
코브라	கோப்ரா
플라톤	பிளேட்டோ
그리피스	கிரிஃபித்
그리피스	கிரிஃபித்ஸ்
정서	உணர்ச்சி
현미경	நுண்ணோக்கி
롤리	ராலே
트로이아	டிராய்
육체	சதை
아이튠즈	itunes
트레이딩	வர்த்தகம்
중요성	முக்கியத்துவம்
중요성	முக்கியத்துவத்தை
제우스	ஜீயஸ்
전화번호	பேசி
전화번호	தொலைபேசியை
전화번호	தொலைபேசி
전화번호	ஃபோன்
긴장	நரம்பு
긴장	நரம்புத்
긴장	நரம்பியல்
긴장	பதற்றம்
워털루	வாட்டர்லூ
지다	ஜித்தா
노구치	நொகுச்சி
질투	பொறாமை
질투	பொறாமை
안젤로	ஆஞ்சலோ
원예	தோட்டக்கலை
개선하기	தேறி
개선하기	மேம்பட
플라스마	பிளாஸ்மா
몽골족	mongols
몽골족	mongol
프라이스	விலை
프라이스	கட்டணம்
불규칙	வழக்கத்தில்
사자자리	சிம்மம்
킬로그램	கிலோகிராம்
타당성	validity
타당성	முறையான
쿠르드	குர்திஸ்தான்
복장	ஆடை
차분한	அமைதி
디아스	டியாஸ்
엘렌	எல்லன்
탈레반	தாலிபான்
그놈	குநோம்
용접	வெல்ட்
용접	வெல்டிங்
수프	சூப்
측도	அளக்க
리라	லிரா
나탈리	நடாலீ
에밀리오	எமிலியோ
악용	முறைகேடு
악용	வன்கொடுமை
콕스	காக்ஸ்
남동	தென்கிழக்கு
남동	southeastern
카슈미르	காஷ்மீரி
카슈미르	காஷ்மீர்
히타이트	இட்டைட்டு
히트맨	கொலைகாரன்
버니	பெர்னி
토레스	டோரஸ்
에리트레아	எரித்திரியா
엘비스	எல்விஸ்
귀한	அரிய
귀한	அரிதான
대리인	முகவர்
대리인	ஏஜென்ட்
성기	ஆண்குறி
복수형	பன்மை
양수	நல்லது
양수	நேர்மறை
양수	நேர்
바바라	பார்பரா
콤보	சேர்க்கை
레아	ரியா
레아	லியா
아톰	அணு
마시기	குடித்தல்
마시기	குடி
마시기	குடிக்கும்
마시기	குடிப்பது
위생	சுகாதாரம்
위생	சுகாதாரத்தை
위생	துப்புரவு
팩터	காரணி
노예제	அடிமை
노예제	அடிமைகள்
노예제	அடிமைத்தனம்
아쉬운	எளிதானது
아쉬운	சுலபம்
아쉬운	எளிது
아쉬운	எளிதான
아쉬운	எளிதில்
아쉬운	எளிதாக
인류학	மானிடவியல்
에어아시아	ஏர்ஏசியா
레이어	அடுக்குகள்
레이어	அடுக்கு
집착	பிரமை
집착	அன்போடு
음주	குடித்தல்
음주	குடி
음주	குடிக்கும்
음주	குடிப்பது
가입자	சந்தாதாரர்
가입자	சந்தாதாரர்கள்
아이누	ஐனு
호프만	hoffmann
팍스	pax
불만	புகார்கள்
불만	புகார்
패티	புட்டு
하룻밤	இரவில்
보일러	உலை
신선	புதிதாக
신선	புதிய
에이커	ஏக்கர்
조차도	கம்பன்
조차도	கூட
가루	பொடி
가루	பொடி
가루	பவுடர்
구출	மீட்பு
구출	தவிக்கும்
명소	ஈர்ப்புகள்
명소	அடையாளங்களை
세슘	சீசியம்
리히터	ரிக்டர்
웨슬리	வெஸ்லி
니제르	நிகர்
숭배	கல்ட்
숭배	வணங்கிக்
숭배	வழிபாடு
숭배	வணங்குகிறோம்
숭배	வணங்கும்
독성	நச்சு
트릭	தந்திரம்
트릭	தந்தி
트릭	தந்திரங்கள்
코멘트	கருத்தைப்
코멘트	குறிப்புரை
코멘트	கருத்தை
코멘트	கருத்து
루안다	லுவாண்டா
도난	திருடப்பட்டது
도난	திருட்டு
유명인	பிரபல
웨어	ware
팔라우	பலாவு
마찰음	fricative
주스	பழச்சாறு
주스	ஜூஸ்
주스	பழச்சாறுகள்
매니토바	மானிட்டோபா
헤이	ஏய்
헤이	ஹே
준수	இணக்கம்
티나	டினா
종속	சார்ந்த
명품	சொகுசு
명품	ஆடம்பர
명품	ஆடம்பரம்
크레인	கொக்கு
체코어	செக்
젖은	ஈரமான
젖은	ஈர
젖은	ஈரம்
젖은	ஈரமாக
설문	கருத்துக்கணிப்பு
설문	வாக்கெடுப்பு
행크	ஹாங்க்
싸인	ஆட்டோகிராப்
규소	திடமான
규소	சிலிக்கான்
슈나이더	ஸ்னைடர்
프린시페	பிரின்சிப்பி
걸음	step
걸음	அடியெடுத்து
걸음	வழிமுறை
걸음	படி
걸음	படிகள்
걸음	அடிகள்
세븐틴	பதினேழு
할렐루야	அல்லேலூயா
주머니	பாக்கெட்
덮개	கவர்
덮개	உறை
스펀지	பஞ்சு
노키아	நோக்கியா
클리프	கிளிஃப்
톰프슨	தாம்சன்
파푸아	பப்புவா
파푸아	papuan
록펠러	ராக்ஃபெல்லர்
이고르	இகோர்
맑음	தெளிவு
맑음	அழி
맑음	தெளிவான
맑음	சன்னி
맑음	வெயில்
맑음	வெய்யில்
직사각형	செவ்வகங்கள்
직사각형	நீள்சதுரம்
직사각형	நீள்சதுர
재미	வேடிக்கை
재미	வேடிக்கையானது
산화물	ஆக்சைடு
히스	ஹீத்
미치	மிட்ச்
몰수	பறிமுதல்
몰수	பறிமுதல்
드라큘라	குரங்குப்
악화	ஆவேசமாக
악화	மோசமாக
커크	கிர்க்
경매	ஏலம்
브릿지	பாலங்கள்
칵테일	காக்டெயில்
머무르고	இருக்கவும்
도표	வரைப்படம்
동남아	தென்கிழக்கு
프리웨어	freeware
카트만두	காத்மாண்டு
스팀	நீராவி
대백과사전	கலைக்களஞ்சியங்கள்
대백과사전	கலைக்களஞ்சியம்
하우	howe
언더우드	அண்டர்வுட்
네이티브	பிறப்பிடம்
네이티브	பூர்வீக
손잡이	கைப்பிடி
손잡이	கையாள
코코넛	தேங்காய்
코코넛	தென்னை
코코넛	தேங்காய்கள்
고릴라	கொரில்லா
당뇨병	நீரிழிவு
유방	மார்பக
유방	மார்பகம்
유방	நெஞ்சத்தை
좋아요	சரி
웃음	சிரித்து
웃음	சிரி
웃음	சிரிக்க
웃음	சிரிப்பு
웃음	சிரிப்பும்
웃음	சிரிப்பு
루가	லூக்
루가	லூக்கா
여관	சத்திரம்
콜론	பெருங்குடல்
아이유	குழந்தை
먹어	சாப்பிட
먹어	உண்
브랜던	பிராண்டன்
리아	லியா
리아	லியா
리아	லியா
밀어	தள்ளு
밀어	புஷ்
재혼	மறுமணம்
프롬	ப்ராம்
부호화	குறியீடு
트랜잭션	பரிவர்த்தனை
트랜잭션	பரிமாற்றம்
트랜잭션	பரிவர்த்தனை
트랜잭션	பரிமாற்றங்கள்
우려	கவலை
루즈벨트	ரூஸ்வெல்ட்
입국	வரவு
칠리	மிளகாய்
냠냠	யம்
가방	bag
가방	பை
가방	பைகள்
가방	பைகளை
소크라테스	சாக்கிரட்டீசு
조선소	செய்கிறீர்கள்
나가기	வெளியேற்று
나가기	வெளியேறும்
나가기	வெளியேறு
네기시	நெகிழ்சி
출판됨	வெளியிடப்பட்ட
출판됨	வெளியிடப்பட்டது
변종	பல்கேரிய
현대그룹	hyundai
목적지	இலக்கு
목적지	சேருமிடம்
목적지	சேரும்
보정	மேம்படுத்து
사랑스러운	அழகான
사랑스러운	இன்பமாக
데일	டேல்
미스틱	மிஸ்டிக்
모리슨	மோரிசன்
펜스	பென்ஸ்
표시하기	காட்சி
표시하기	காட்டு
벨리즈	பெலிஸ்
만족	திருப்தி
만족	திருப்திகரமாக
연주회	வாசிப்பு
연주회	கச்சேரிகள்
연주회	இசைநிகழ்ச்சி
연주회	கச்சேரி
팽창	dilation
좌표계	ஒருங்கிணைப்புகள்
좌표계	அச்சுகள்
활성	இயங்கும்
활성	செயல்பாட்டில்
활성	செயலில்
활성	செயல்படும்
섹시	கவர்ச்சியாக
섹시	கவர்ச்சியான
까마귀	காகம்
까마귀	காகங்கள்
까마귀	ரேவன்
나이프	கத்திகள்
나이프	கத்தி
라일리	ரெய்லி
레닌주의	லெனினிசம்
측량	சர்வேயர்
측량	surveying
훔쳐	திருட
캐런	கரேன்
일러스트레이터	illustrator
북동	வடகிழக்கு
지오	ஜியோ
지오	ஜியோ
웁살라	உப்சாலா
카라치	கராச்சி
카라치	கராச்சியில்
채팅	அரட்டை
채팅	அரட்டை
아디다스	அடிடாஸ்
가속기	முடுக்கு
가속기	முடுக்கி
테라	தேரா
테라	டெரா
계산기	கணி
계산기	கணி
계산기	கணக்கிடுகிறது
계산기	கணிப்பான்
에디터	திருத்தி
에디터	ஆசிரியர்
에디터	எடிட்டர்
에디터	தொகுப்பி
에디터	தொகுப்பான்
부끄러운	வெட்கம்
부끄러운	அவமானம்
부끄러운	வெட்கம்
시키	shiki
오마하	ஒமஹா
엔트로피	சிதறம்
성교	செக்ஸ்
성교	காமம்
성교	பாலுறவு
성교	உடலுறவு
테디	டெட்டி
버크	பர்க்
클린트	கிளின்ட்
스푸트니크	இசுப்புட்னிக்
대수학	இயற்கணிதம்
골짜기	பள்ளத்தாக்கு
연구자	ஆராய்ச்சியாளர்
연구자	ஆராய்ச்சியாளர்கள்
커브	வளைவு
브르타뉴	பிரிட்டனி
아바	அவா
펄스	பல்ஸ்
베로니카	வெரோனிகா
갈매기	கடற்பறவை
셔터	ஷட்டர்
탄산	கார்பனேட்டு
사파리	safari
스탭	பணியாளர்களின்
스탭	ஊழியர்கள்
스탭	பணியாளர்கள்
스탭	ஊழியர்
우울증	ஆளாகின்றனர்
키워드	குறிச்சொற்கள்
키워드	குறிச்சொல்
접미사	பின்னொட்டு
접미사	விகுதிகள்
콜라보레이션	கூட்டுமுயற்சி
애플렉	அஃப்லெக்
다이어트	டயட்
다이어트	உணவில்
라이트닝	மின்னல்
투명	ஊடு
투명	ஊடுருவல்
투명	ஊடுருவல்
석기	கல்
석기	ஸ்டோன்
영감	ஊக்கமளிக்கும்
영감	தூண்டல்
영감	உத்வேகம்
엔비디아	nvidia
하르툼	கார்ட்டூம்
그렉	கிரெக்
애비	அபி
두려움	அஞ்சி
두려움	அச்சம்
두려움	பயம்
두려움	பயமும்
도시바	தோஷிபா
코코아	கொக்கோ
대시	dash
진술	கூற்று
진술	அறிக்கை
미스테리	மர்மம்
미스테리	புதிர்
보디가드	மெய்க்காப்பாளர்
반란군	போராளி
영장류	primates
플래그	குறிகள்
플래그	கொடியை
플래그	கொடி
플래그	கொடிகள்
마시	மார்ஷ்
채무	கடன்களை
채무	கடன்
채무	கடனை
리턴	காட்டும்
리턴	திரும்ப
하이웨이	நெடுஞ்சாலை
동창	வகுப்புத்
모욕을	அவமதிப்பு
모욕을	அவமானம்
요구사항	தேவைகள்
캐롤라인	கரோலின்
클랜	குலம்
클랜	வாரிசுகளின்
푸른색	நீலம்
푸른색	நீல
제이드	ஜேட்
모기	கொசு
모기	கொசுக்கள்
페이퍼	பேப்பர்
페이퍼	தாள்
페이퍼	காகிதம்
페이퍼	பேப்பர்ஸ்
너구리	ரக்கூன்
음식점	உணவகம்
음식점	இடங்கள்
음식점	உணவகங்கள்
형이상학	மீவியற்பியல்
피츠제럴드	ஃபிட்ஸ்கெரால்ட்
애국	நாட்டுப்பற்று
시프트	நகர்வு
시프트	ஷிஃப்ட்
잊혀진	மறந்து
디펜스	பாதுகாப்பு
디펜스	தற்காப்பு
조언	அறிவுரை
조언	அறிவுரைகள்
조언	ஆலோசனை
계기	இசைக்கருவி
해머	சுத்தியல்
해머	சுத்தி
편집하기	தொகு
편집하기	தொகுக்க
편집하기	திருத்து
익명	anonymity
익명	அறியப்படாத
씨앗	விதை
씨앗	வித்து
씨앗	விதை
씨앗	விதைகள்
모세	மோசே
모세	மூஸா
채플린	சாப்ளின்
주먹	ஃபிஸ்ட்
프로덕션스	productions
미르	மிர்
수박	தர்பூசணி
록키	ராக்கி
파운데이션	அறக்கட்டளை
파운데이션	பவுண்டேஷன்
파운데이션	அடித்தளம்
사라왁	சரவாக்
마릴린	மர்லின்
유권자	வாக்காளர்கள்
침례교	பாப்டிஸ்ட்
단발	மட்டுமே
단발	மட்டும்
디바	திவாஸ்
디바	திவா
메디나	மதீனா
메디나	மதீனா
엘리펀츠	யானைகள்
스피리츠	மதுபானங்கள்
거절	மறு
거절	மறுக்க
거절	நிராகரிப்பு
거절	நிராகரிக்கப்பட்டது
나타납니다	தோன்றுகிறது
나타납니다	தோன்றும்
롤리팝	லாலிபாப்
홀리데이	விடுமுறை
사탕수수	கரும்பு
사탕수수	பிரம்பு
후식	இனிப்புகள்
후식	இனிப்பு
후식	இனிப்புகள்
토륨	தோரியம்
니키타	நிகிதா
아흐마드	அஹ்மத்
도나	டோனா
플러그인	அடைப்பை
플러그인	செருகல்
플러그인	செருகி
부룬디	புருண்டி
닭고기	சிக்கன்
닭고기	கோழி
침투	நுழைதல்
아흐메드	அகமது
아흐메드	அஹ்மத்
아흐메드	அஹ்மத்
로렌츠	லோரன்ஸ்
트위스트	திருப்பம்
트위스트	ட்விஸ்ட்
카스피	காசுப்பியன்
에드워즈	எட்வர்ட்ஸ்
스칼렛	scarlet
스칼렛	ஸ்கார்லெட்
어딘가	எங்கோ
표도르	பியோதர்
암초	பாறை
어벤져스	அவெஞ்சர்ஸ்
오드리	ஆட்ரி
지팡이	பிரம்பு
지팡이	கம்பியை
지팡이	ராட்
정상회담	மாநாடு
사육	இனப்பெருக்க
옥션	ஏலம்
문어	ஆக்டோபஸ்
해커	ஹேக்கர்
아민	அமின்
숙박	இருக்கவும்
숙박	தங்குமிடம்
람보르기니	லம்போர்கினி
화강암	கிரானைட்
화강암	கருங்கல்
통증이	வலியை
통증이	வலி
통증이	வலிகள்
배수	வடிகால்
세례	ஸ்நானம்
세례	ஞானஸ்நானம்
스피커	ஒலிபெருக்கி
스피커	பேச்சாளர்கள்
스피커	ஒலிபெருக்கி
스피커	பேச்சாளர்
애틀란타	அட்லாண்டா
애틀란타	atl
샐러드	சாலட்
밸런스	சமநிலை
밸런스	மீதம்
밸런스	balance
밸런스	மீதி
밸런스	இருப்பு
끓는	கொதி
끓는	கொதிக்கும்
현실적	யதார்த்தமான
싸우기	சண்டை
협동조합	கூட்டுறவு
말레이어	மலாய்
바륨	பேரியம்
더스틴	டஸ்டின்
보나	bona
경호원	மெய்க்காப்பாளர்
오푸스	opus
나열	பட்டியலிடப்பட்டுள்ள
블랙베리	பிளாக்பெர்ரி
양심적	மனசாட்சி
드롭	விடு
드롭	துளி
안장	சேணம்
교훈	பாடம்
교훈	பாடத்தை
할로윈	ஹாலோவீன்
악어	முதலை
악어	முதலை
정오	மதியம்
정오	நண்பகல்
안정성	ஸ்திரத்தன்மை
샬롯	சார்லோட்
교통사고	விபத்தில்
이클립스	கிரகணம்
헝가리어	ஹங்கேரிய
헝가리어	ஹங்கேரியன்
카시니	cassini
인삼	ஜின்செங்
유럽인	ஐரோப்பியர்கள்
유럽인	ஐரோப்பியர்
우상	சிலைகளை
우상	சிலைகள்
짐승	மிருகம்
ㅋㅋ	lol
벌레	புழு
벌레	வழு
벌레	பக்
운석	விண்வீழ்கல்
스토리지	சேமிப்பு
스토리지	சேமிப்பகம்
징병	conscription
카피	நகல்
세르지오	செர்ஜியோ
자니	ஜானி
아르헨티나인	அர்ஜென்டினா
아르헨티나인	அர்ஜென்டினா
소품	முட்டுகள்
애버딘	அபர்தீன்
차베스	சாவெசு
차베스	சாவேஸ்
속임수	தந்திரம்
속임수	தந்தி
속임수	வஞ்சகம்
경감	இன்ஸ்பெக்டர்
아발론	avalon
촉매	catalysis
촉매	ஊக்கி
촉매	catalytic
에티하드	எடிஹட்
암모니아	அமோனியா
수분	திரவம்
수분	ஈரப்பதத்தை
수분	திரவங்களை
이슬라마바드	இஸ்லாமாபாத்
몬티	மான்டி
찬드라	சந்திர
찬드라	சந்திரா
모래시계	மணல்
모래시계	மண்
데뷔해	அறிமுக
셜리	ஷிர்லி
치아	பற்கள்
치아	பல்
치아	டூத்
파스텔	pastel
미망인	கைம்பெண்கள்
연구실	ஆய்வக
연구실	ஆய்வகம்
연구실	லேப்
벨벳	வெல்வெட்
핀란드어	பின்னிஷ்
여섯번째	ஆறாவது
윙스	சிறகுகள்
윙스	சிறகு
전화기	பேசி
전화기	தொலைபேசியை
전화기	தொலைபேசி
전화기	ஃபோன்
전화기	தொலைபேசி
전화기	ஃபோன்கள்
전화기	போன்கள்
이빨	பற்கள்
이빨	பல்
이빨	டூத்
트랩	பொறி
트랩	பொறிகள்
트랩	பொறிகள்
고어	கோர்
쥬얼리	நகைகள்
쥬얼리	நகை
호날두	ரொனால்டோ
협곡	மிகுதி
플로렌스	புளோரன்ஸ்
호흡기	சுவாச
스틱	ஸ்டிக்
스틱	குச்சி
다섯번째	ஐந்தாம்
다섯번째	ஐந்தாவது
우드로	woodrow
롤러	ரோலர்
머리카락	கூந்தல்
머리카락	முடி
머리카락	கூந்தலில்
머리카락	தலைமுடி
머리카락	தலைமுடியை
패러다임	கருத்தோட்டம்
비만	பருமன்
게이츠	கேட்ஸ்
냄새	நாற்றம்
냄새	வாசனை
냄새	மணம்
놓쳤다	தவறவிட்ட
놓쳤다	தவறியது
꼭두각시	கைப்பாவைகள்
꼭두각시	கைப்பாவை
파머	பால்மர்
트랜스젠더	திருநங்கை
로미오	ரோமியோ
조교	உதவியாளர்
구토	வாந்தி
초음파	அல்ட்ராசவுண்ட்
아미르	அமீர்
부분적	பகுதி
습관	பழக்கங்கள்
습관	பழக்கவழக்கங்கள்
습관	பழக்கவழக்கங்கள்
습관	பழக்கம்
루커스	லூகாஸ்
출국	புறப்பாடு
출국	புறப்படும்
그램	கிராம்
미생물	நுண்ணுயிரி
미생물	microbes
미생물	உயிரினங்கள்
스케줄	திட்டமிடுதல்
스케줄	அட்டவணை
갈리시아	கலிசியா
발자국	சுருங்க
출석	வருகை
절도	திருட்டு
잭슨빌	ஜாக்சன்வில்
램지	ramsay
카드뮴	காட்மியம்
카트린	கேத்தரின்
양모	கம்பளி
영리	புத்திசாலி
시저	சீசர்
위스키	விஸ்கி
위스키	விஸ்கி
피크	சிகரம்
효율적	சிக்கனம்
깃털	தோகை
깃털	இறகு
깃털	சிறகுகள்
번식	இனப்பெருக்க
클립	கிளிப்
임페리얼	இம்பீரியல்
열정적인	உணர்ச்சிகரமான
폐기	காட்டப்பட்டது
트래비스	டிராவிஸ்
구강	வாய்வழி
샌더스	சாண்டர்ஸ்
비숍	பிஷப்
몰디브	திவெயி
몰디브	மாலத்தீவு
마젤란	மகலன்
참여하기	சேர்
참여하기	இணை
참여하기	சேர
참여하기	இணைந்து
비료	உரம்
비료	உரம்
비료	உரங்கள்
첨부	இணைப்பு
첨부	இணைப்புகள்
약학	மருந்தகம்
타일	ஓடு
타일	டைல்
타일	ஓடுகள்
아르메니아인	ஆர்மேனியன்
식료품	மளிகை
식료품	மளிகை
키트	kits
키트	கிட்
키트	kit
승천	மேலேற்றம்
베냉	பெனின்
라이터	மென்மை
위젯	பேட்ஜ்
기밀	ரகசியமாக
기밀	இரகசியம்
기밀	நம்பகமான
종양	கட்டி
브라이턴	பிரைட்டன்
