δικηγόροι	वकील
διαχωρισμού	जुदाई
διαχωρισμού	विरह
υγρή	नम
υγρή	तरल
υγρή	द्रव
υγρή	भीग
υγρή	गीली
υγρή	वेट
υγρή	गीला
διαγράμματα	चार्ट
κλωντ	क्लॉड
απαγωγή	अपहरण
ζάμπια	ज़ाम्बिया
ενεργοποίηση	सक्रियण
μηχανικά	यांत्रिक
μηχανικά	mechanical
σεπτέμβρη	सितम्बर
σεπτέμβρη	सितंबर
διακριτικά	तमगा
διακριτικά	सावधान
καμπύλες	वक्र
διαβάστε	पढ़ें
διαβάστε	पढ़े
διαβάστε	पढ़ा
ξίφος	तलवार
αισθήσεις	होश
καινοτομία	नवाचार
καινοτομία	नवीनता
φορτία	शिपमेंट
παράδεισο	स्वर्ग
παράδεισο	जन्नत
παράδεισο	स्वर्ग
βαρσοβία	वॉरसॉ
χωράφια	फ़ील्ड्स
χωράφια	फील्ड्स
χωράφια	फ़ील्ड
ντίζελ	डीजल
ντίζελ	डीज़ल
υπουργούς	मंत्रि
υπουργούς	मंत्री
υπουργούς	मंत्रियों
κατηγορεί	म्हारा
διάσημοι	मशहूर
διάσημοι	प्रसिद्ध
διάσημοι	हस्ती
διάσημοι	हस्तियाँ
δαπάνη	व्यय
παρουσιαστής	प्रस्तुतकर्ता
παρουσιαστής	मेज़बान
παρουσιαστής	होस्ट
παρουσιαστής	मेजबान
αϊτή	हैती
εξάρτηση	निर्भरता
κώδικες	कोड
γκάνα	घाना
κλίντον	क्लिंटन
διακριτικό	टोकन
διακριτικό	सावधान
λιμνών	झीलें
λιμνών	झीलों
ύφεση	मंदी
εξαφανιστεί	गायब
εύνοια	उपकार
εύνοια	एहसान
εύνοια	पक्ष
ανησυχίες	चिंताएं
εστιατόριο	भोजनालय
εστιατόριο	रेस्टोरेंट
εστιατόριο	रेस्तरां
ιππότη	नाईट
αλβανοί	अल्बानियाई
χειρότερο	बदतर
βάθη	गहराइयों
ύλες	पदार्थ
ύλες	सामग्री
οπίσθια	नितम्ब
οπίσθια	पीछे
οπίσθια	पश्च
κλοντ	क्लॉड
γένοβα	जेनोआ
ράιαν	रयान
νουβέλα	उपन्यास
νουβέλα	अनोखा
ψηφία	अंक
ράπερ	रैपर
ράπερ	rapper
δημογραφικά	जनसांख्यिकी
δημογραφικά	जनसांख्यिकी
άουσβιτς	auschwitz
γουέλς	कुएं
ενδιάμεση	अंतरिम
ενδιάμεση	इंटरमीडिएट
κόσοβο	कोसोवो
φθόριο	फ्लोरीन
χείλος	लिप
χέρσελ	हर्शेल
μελίνα	मलिना
σκαρφάλωσε	चढ़ाई
παραδοθεί	वितरित
μασαχουσέτης	मैसाचुसेट्स
περιγράφηκε	वर्णित
ποιητικό	काव्यात्मक
ποιητικό	काव्य
μαχαίρι	चाकू
συνήθειες	आदतें
επενδύσεων	निवेश
μόντε	मोंटे
τραγουδά	गाती
παράκτια	तटीय
προσδιορίζει	बताएँ
σκυλιά	कुत्ते
σκυλιά	कुत्तों
σκυλιά	कुत्तो
κακός	खराब
κακός	ख़राब
εικασία	आकलन
εικασία	अटकल
εικασία	अटकलें
ξένος	अजनबी
ξένος	विदेश
ξένος	विदेशी
ρόουζ	गुलाब
ρόουζ	रोज
ρόουζ	रोज़
προστατεύεται	संरक्षित
προστατεύεται	सुरक्षित
μίσιγκαν	मिशिगन
ψηλό	लंबा
ψηλό	लंबी
ψηλό	लम्बा
υποχρεωτικά	अनिवार्य
υποχρεωτικά	अनिवार्य
λιντς	लीड्स
λιντς	लिंच
σύνθετη	घटक
σύνθετη	कम्पोजिट
σύνθετη	परिसर
σύνθετη	जटिल
δίδυμα	जुड़वां
δίδυμα	जुड़वा
προορισμός	मंज़िल
προορισμός	गंतव्य
επαναλαμβάνεται	दोहराया
κηλίδες	दाग
κηλίδες	धब्बे
φοίνικας	फीनिक्स
ανέμους	हवाओं
ανέμους	हवाएँ
σάμιουελ	सैमुएल
αμνηστία	एमनेस्टी
αμνηστία	माफ़ी
ισλαμική	इस्लामिक
ισλαμική	इस्लामी
εχθροί	शत्रु
εχθροί	दुश्मनों
γυρισμάτων	फिल्मांकन
κλάσμα	हिस्से
κλάσμα	अंश
κλάσμα	भिन्न
αναψυχής	फुरसत
αναψυχής	विश्राम
αναψυχής	अवकाश
νεα	नया
νεα	नई
νεα	खबर
νεα	समाचार
νεα	न्यूज़
νεα	न्यूज
καινοτομίες	नवाचार
καινοτομίες	नवीनता
καινοτομίες	नवप्रवर्तनों
ημίχρονο	मध्यांतर
απαγορεύτηκε	प्रतिबंधित
απαγορεύτηκε	बैन
νόρμαν	नॉर्मन
βαλουά	valois
μετοχές	स्टॉक्स
μετοχές	शेयर
μετοχές	साझा
νύμφες	निम्फ
κάλπες	पोल
περιμένω	प्रतीक्षारत
στέκεται	खड़ी
στέκεται	खड़े
στέκεται	खड़ा
στέκεται	स्टैंड
κλάους	क्लाउस
αριστοκρατία	धामों
γενέθλια	जन्मदिन
γενέθλια	बर्थडे
γενέθλια	जन्मदिन
γενέθλια	जन्मदिवस
περίληψη	सारांश
αμφιβολίες	संदेह
πυκνή	सघन
πυκνή	घना
ατυχήματα	दुर्घटनाओं
μάγια	माया
μάγια	माजा
θανάτους	मौतें
θανάτους	मौतों
εργαζόμενοι	कार्यकर्त्ता
εργαζόμενοι	कार्यकर्ताओं
εργαζόμενοι	मजदुर
εργαζόμενοι	श्रमिकों
εργαζόμενοι	मजदूर
εργαζόμενοι	कर्मचारियों
εργαζόμενοι	कर्मचारी
επιμονή	दृढ़ता
επιμονή	हठ
λούκα	लुक्का
λούκα	लूका
καμβά	कैनवस
καμβά	कैनवास
φρέντερικ	फ़्रेडरिक
φρέντερικ	फ्रेडरिक
μανία	फ़्यूरी
μανία	उन्माद
λιμνοθάλασσα	लैगून
ψυχολογική	मनोवैज्ञानिक
ρόζα	रोज़ा
ρόζα	रोजा
οσμάν	उस्मान
λεπτομερή	विस्तृत
τυρί	चीज़
τυρί	पनीर
τυρί	चीज
κίτρινη	पीला
γρήγορο	तीव्र
γρήγορο	फास्ट
γρήγορο	फ़ास्ट
γρήγορο	तेज
γρήγορο	तेज़
ανοχή	सहिष्णुता
αποδέχεται	स्वीकृत
μπατίστα	बतिस्ता
καταχώρηση	एन्ट्री
καταχώρηση	एंट्री
καταχώρηση	प्रविष्टि
καταχώρηση	रजिस्ट्रेशन
καταχώρηση	पंजीकरण
μέλι	हनी
μέλι	शहद
μέλι	मधु
τόλκιν	tolkien
βίνσεντ	विन्सेंट
βίνσεντ	विंसेंट
ναρκωτικά	ड्रग्स
ναρκωτικά	दवाएँ
διάβρωση	संक्षारण
διάβρωση	अपरदन
τζόρτζια	जॉर्जिया
άλας	नमक
κατάρα	शाप
κατάρα	अभिशाप
καταδρομικό	क्रूजर
ενέδρα	घात
σπόροι	बीज
σπόροι	बीज
ονομαστική	रेटेड
ονομαστική	नाममात्र
υποδοχής	मेज़बान
υποδοχής	होस्ट
υποδοχής	मेजबान
βαθμιαία	क्रमिक
βαθμιαία	धीरे
σκύλος	डॉग
σκύλος	कुत्ता
σκύλος	कुत्ते
σκύλος	श्वान
θεραπείες	उपचार
θεραπείες	therapies
ομολογία	अपराध
ομολογία	स्वीकारोक्ति
καθολικοί	कैथोलिक
ισοδύναμο	समतुल्य
εθνικοί	नागरिकों
χόρχε	जोर्ज
κοσμική	सेक्युलर
κοσμική	धर्मनिरपेक्ष
κοσμική	ब्रह्माण्ड
κοσμική	लौकिक
κοσμική	सांसारिक
σο	शॉ
μάργκαρετ	मार्गरेट
δοχείο	पोत
δοχείο	कंटेनर
δοχείο	धारक
δοχείο	पात्र
δοχείο	संग्राहक
νίγηρα	निगर
νίγηρα	नाइजर
σηματοδότησε	चिह्नित
συμπλήρωμα	अनुपूरक
συμπλήρωμα	संपूरक
καθοριστική	निर्णायक
αγιος	संत
χρήμα	मुद्रा
χρήμα	मनी
χρήμα	पैसा
χρήμα	पैसे
χρήμα	धन
φέγενορντ	फेनूर्ड
μόδα	फैशन
μόδα	फ़ैशन
τουρκμενιστάν	तुर्कमेनिस्तान
γράψω	लिखे
γράψω	लिखें
μετς	मेट्स
δολοφόνος	जानलेवा
δολοφόνος	हत्यारा
δολοφόνος	killer
δολοφόνος	कातिलाना
δολοφόνος	कातिल
δολοφόνος	क़ातिल
δολοφόνος	हत्यारे
ωραίο	नाइस
ωραίο	nice
μπάρμπαρα	बारबरा
λίτρα	लिटर
λίτρα	लीटर
αργό	धीमे
αργό	धीमा
αργό	स्लो
αργό	मन्द
αργό	slow
παραμύθι	tale
παραμύθι	टेल
απασχόλησης	रोज़गार
απασχόλησης	रोजगार
απασχόλησης	नियुक्ति
λιμένας	पोर्ट
λιμένας	बंदरगाह
λιμένας	बंदरगाहों
διαθεσιμότητα	उपलब्धता
τροπικό	उष्ण
τροπικό	तीव्र
θειικό	सल्फ्यूरिक
φθορά	अपघर्षण
φθορά	पहनें
καταλύτη	उत्प्रेरक
βόλφγκανγκ	वुल्फगांग
ηλικίες	आयु
συναίσθημα	भावना
συναίσθημα	जज्बात
συναίσθημα	feeling
συναίσθημα	अनुभूति
συναίσθημα	भावना
συναίσθημα	अहसास
συναίσθημα	भावनाएं
συναίσθημα	भावना
γουιάνα	क्यान
γουιάνα	गुयाना
φυσιολογία	physiology
αλβανικά	अल्बानियाई
συγκομιδή	खेती
συγκομιδή	कटाई
συγκομιδή	कटाई
μπέλα	बेला
προοδευτικό	प्रगतिशील
ύπνο	निद्रा
ύπνο	नींद
συντηρητική	रूढ़िवादी
κόρδοβα	कोर्डोबा
προβλέψεις	पूर्वानुमान
βούλγαρος	बुल्गारियाई
αναπνοή	सांसे
αναπνοή	सांस
αναπνοή	साँस
αναπνοή	साँस
αναπνοή	श्वास
αναπνοή	श्वसन
πειραματική	प्रयोगात्मक
πειραματική	प्रायोगिक
κοιλότητα	गुहा
ανασκαφή	उत्खनन
ανασκαφή	खुदाई
ανασκαφή	खुदाई
γεια	नमस्कार
