디랙	דיראק
복음	הנחייה
복음	הדרכה
복음	הנחיה
우표	בול
우표	חותמת
우표	בולים
우표	חותמות
이온화	יינון
오리온자리	אוריון
소수점	העשרונית
썬더	רעם
썬더	הרעם
썬더	רעמים
마샬	מארשל
마샬	מרשל
라이징	העולה
라이징	עולה
셰이크	שייח
창문	חלון
창문	החלון
댄싱	ריקודים
댄싱	רוקדים
댄싱	ריקוד
댄싱	רוקד
저수지	המאגרים
슈가	שוגר
슈가	סוכר
관리하기	לנהל
관리하기	ניהול
관리하기	נהלי
버뮤다	ברמודה
피사	פיזה
리오넬	ליונל
판도라	פנדורה
인터럽트	להפריע
매스	מיסה
매스	מסת
매스	המסה
매스	מסה
인디애나폴리스	אינדיאנפוליס
주님	לורד
마돈나	מדונה
반영	משקפים
반영	משקף
반영	לשקף
반영	ההשתקפות
반영	השתקפות
미화	usd
인플루엔자	שפעת
인플루엔자	שפעת
자바스크립트	javascript
마르티네스	מרטינז
전시관	תערוכה
전시관	התערוכה
콜롬보	קולומבו
암살자	רוצחים
암살자	מתנקשים
암살자	מתנקש
코스모스	קוסמוס
더럼	דורהאם
세타	תטא
세타	תטה
궁궐	הארמון
궁궐	ארמון
미묘한	עדין
미묘한	עדינות
미묘한	עדינה
퓨전	היתוך
랭커스터	לנקסטר
일하기	עובדת
일하기	עובד
프레이저	פרייזר
마커스	מרכוס
마커스	מרקוס
슈테판	סטפן
슈테판	סטפן
아나키즘	אנרכיזם
사보이	סבוי
애비뉴	שדרות
애비뉴	שדרה
애비뉴	אבניו
입법부	המחוקקת
바라며	מקווה
바라며	מקווים
기쁨	שמחה
기쁨	תענוגות
기쁨	העונג
기쁨	הנאה
기쁨	תענוג
기쁨	עונג
뉴펀들랜드	ניופאונדלנד
클러스터	מקבץ
클러스터	אשכול
클러스터	אשכולות
핼리팩스	הליפקס
프록시	פרוקסי
프록시	מתווך
바스	רחצה
바스	אמבטיה
바스	אמבט
바스	מקלחת
핵분열	ביקוע
인피니트	אינסוף
인피니트	אינסופיים
인피니트	אינסופית
인피니트	אינסופי
아무나	מישהו
스텔라	סטלה
릴리즈	שחרר
릴리즈	שיחרור
릴리즈	שחררו
릴리즈	שחרור
릴리즈	משחרר
모금	התרמה
모금	התרמה
아바스	עבאס
클레오파트라	קליאופטרה
시편	מזמור
시편	תהילים
시편	תהילים
잉카	האינקה
카라카스	קראקס
도도	מעלות
도도	תארים
산토스	סנטוס
산책	הליכה
산책	ללכת
플라잉	עפה
플라잉	טיסה
추첨	לצייר
추첨	שלוף
추첨	צייר
추첨	תיקו
패트리어트	פטריוט
패트리어트	פטריוטים
미학	אסתטיקה
미학	אסתטי
물품	סחורה
물품	סחורות
그리기	לצייר
그리기	שלוף
그리기	צייר
그리기	תיקו
그리기	ציור
그리기	מציירת
그리기	מצייר
헤라클레스	הרקולס
용품	אספקה
콘스탄티노스	קונסטנטין
서포터	תומך
마술	קסם
마술	קסמים
부담	עול
부담	נטל
각색	עיבודים
폭력적인	אלימה
폭력적인	אלים
폭력적인	אלימות
폭력적인	אלימים
매운	חריפות
매운	חריף
바리톤	בריטון
허락	הרשאה
허락	אישור
허락	רשות
네덜란드인	הולנד
네덜란드인	הולנדית
네덜란드인	הולנדי
네덜란드인	ההולנדי
본드	בונד
섹터	גזרה
섹터	המגזר
섹터	מגזר
섹터	מגזרים
우주인	אסטרונאוט
장벽	מחסומים
장벽	מחסום
장벽	מחסומי
장벽	מחסום
비와	ביווה
강조	להדגיש
강조	דגש
강조	הדגשה
강조	עוצמה
리브	ליב
탐구	חקירות
탈선	המוריד
트라이스타	tristar
수염	מזוקן
수염	זקנים
수염	זקן
미쳐	מטורפת
미쳐	טירוף
미쳐	משוגעת
미쳐	מטורף
미쳐	משוגע
트리오	שלישייה
트리오	שלישיית
본질	מהות
본질	המהות
본질	תמצית
돼지고기	חזיר
까다로운	מסובך
욕망	חשק
욕망	תשוקה
욕망	רצון
욕망	תאווה
욕망	תשוקה
욕망	התאווה
욕망	רצונות
욕망	תשוקות
욕망	הרצונות
매뉴얼	ידני
매뉴얼	מדריך
챌린저	המתמודד
킹덤	ממלכה
킹덤	הממלכה
카노	קיינו
안전성	בטיחות
우산	מטריה
우산	מטרייה
우산	המטרייה
우산	מטריות
예매	הזמנה
삼각	משולש
보두앵	בולדווין
남방	דרומי
남방	דרומית
남방	דרום
남방	הדרומי
서커스	הקרקס
서커스	קרקס
서커스	קרקסים
컴파일	הידור
컴파일	אוסף
이브라힘	איברהים
볼링	כדורת
볼링	באולינג
초과	עודף
초과	חרג
향수	נוסטלגי
향수	נוסטלגיה
향수	נוסטלגיה
향수	ניחוח
향수	בושם
향수	הבושם
브라질인	ברזילאים
페가수스자리	פגסוס
페가수스자리	פגאסוס
서스펜스	מתח
셀틱	קלטי
실무	מעשית
실무	מעשי
수니파	סוני
케이타	קייטה
술집	פאבים
술집	פאב
포브스	פורבס
돌고래	דולפין
돌고래	דולפינים
고소	סו
퍼시	פרסי
실비아	סילביה
실비아	סילביה
에볼루션	האבולוציה
에볼루션	אבולוציה
올림피아	אולימפיה
동행	ללוות
동행	להתלוות
비문	הקדשה
권장	המלצת
권장	המלצה
권장	מומלץ
부관	סגן
조슈아	יהושע
우즈	יער
우즈	וודס
가이아	גאיה
신탁	לבטוח
신탁	אמון
엉덩이	תחת
엉덩이	ישבן
엉덩이	היפ
엉덩이	ירך
엉덩이	הירך
엉덩이	אחוריים
엉덩이	עכוז
엉덩이	ישבן
엉덩이	הירכיים
엉덩이	ירכיים
엉덩이	תחת
엉덩이	ישבן
빌뉴스	וילנה
가르침	הוראה
가르침	מלמד
가르침	לימוד
가르침	מלמדת
가르침	תורתו
웍스	פועל
웍스	יצירות
웍스	עובדת
웍스	עובד
웍스	ווק
셀프	תא
가봉	גבון
셔먼	שרמן
인테리어	פנים
상어	כרישים
상어	כריש
상어	הכריש
블룸	בלום
블룸	יפרח
알타이	אלטאי
근로자	עובדים
근로자	פועלות
근로자	פועלים
근로자	פועל
근로자	עובד
응답	הגיבו
응답	להגיב
응답	תגיבו
응답	משיב
응답	תשובות
응답	תשובה
응답	תענה
응답	ענה
응답	התשובה
응답	תשובה
응답	השב
응답	תשובה
응답	תגובה
대략적인	המשוער
대략적인	משוער
저널리즘	עיתונות
저널리즘	עיתונאות
조립	להרכיב
텅스텐	טונגסטן
카불	קאבול
앵글로	אנגלו
로사리오	רוסאריו
장점	יתרונות
장점	יתרון
오렌지색	תפוז
오렌지색	כתום
오렌지색	כתומה
내시	נאש
이륙	ההמראה
검사관	המפקח
검사관	מפקח
검사관	מפקחת
등대	מגדלור
등대	המגדלור
제이콥	יעקב
우디	וודי
던지기	זרוק
던지기	לזרוק
던지기	זורק
디럭스	דלוקס
브롱크스	ברונקס
상상	דמיון
상상	דימיון
상상	דמיוניים
상상	דמיוני
상상	דמיונית
상상	דמיינו
상상	תארו
밀스	מילס
카르타고	קרתגו
통계학	סטטיסטיקה
커넥션	חיבורים
커넥션	קשרים
커넥션	חיבור
커넥션	החיבור
커넥션	קשר
서프라이즈	הפתעה
픽션	בדיוני
픽션	בדיה
학업	אקדמי
학업	אקדמית
호화	מפוארת
호화	מפואר
포츠담	פוטסדאם
혐오	גועל
혐오	גועל
혐오	נגעל
혐오	שנאה
혐오	שונא
혐오	שנאה
혐오	שונאת
블라인드	עיוורון
블라인드	עיוורת
블라인드	עיוור
블라인드	עיוורים
블라인드	וילונות
블라인드	התריסים
등산	מטפס
등산	טיפוס
혼슈	הונשו
착용	תלבש
착용	לבש
착용	ללבוש
착용	לביש
레베카	רבקה
천장	תקרה
천장	התקרה
천장	תקרת
천장	תקרות
페라리	פרארי
슈트라우스	שטראוס
아우크스부르크	אאוגסבורג
하든	הרדן
모리셔스	מאוריציוס
신용카드	קרדיט
신용카드	זיכוי
신용카드	אשראי
달팽이	חלזונות
달팽이	חילזון
소중히	מוקיר
소중히	מוקירים
소중히	להוקיר
러닝	ריצות
가상화	וירטואליזציה
대리석	שיש
대리석	משיש
대리석	גולה
대리석	גולות
노르만	נורמן
계란	ביצים
계란	אגס
계란	ביצה
렉스	רקס
자비	רחמים
자비	מרסי
자비	חסד
핸드	יד
외모	הופעות
외모	מראה
외모	הופעה
이르쿠츠크	אירקוטסק
미네르바	מינרווה
당구	ביליארד
노블	אציל
노블	נובל
노블	אצילי
노블	אצולה
형제들	אחים
행진곡	מרץ
행진곡	צעדה
행진곡	במרץ
외로운	בודדים
외로운	בודדה
외로운	בודדות
외로운	בודד
라벨	תוויות
라벨	תווית
라벨	התווית
트레이시	טרייסי
팔이	זרוע
프레스턴	פרסטון
벽돌	לבנים
벽돌	בריק
벽돌	לבנה
라이	לאי
파라나	פרנה
폴란드인	מוטות
폴란드인	פולנים
백금	פלטינה
하인	משרת
사이공	סייגון
오타쿠	אוטאקו
재규어	יגוארים
재규어	יגואר
걷기	הליכה
걷기	הליכות
걷기	צעדת
걷기	הליכה
걷기	ללכת
카를스루에	קארלסרוהה
사바나	סוואנה
바지	מכנס
바지	מכנסיים
바지	מכנס
바지	מכנסיים
설득	שיכנע
설득	שכנע
설득	שכנוע
설득	לשכנע
설득	שכנע
설득	לשכנע
설득	שכנע
광업	כרייה
페가수스	פגסוס
페가수스	פגאסוס
부트	אתחול
부트	מגף
부트	המגף
써니	שמש
써니	סאני
타타르	טטרית
니카라과의	ניקרגואה
니카라과의	ניקרגואה
아크라	אקרה
어려움	קשיים
어려움	הקושי
어려움	קושי
어려움	קשיים
어려움	הקשיים
어려움	קשה
어려움	קשים
껍질	פגז
껍질	מעטפת
껍질	קליפה
껍질	לקלף
오르기	לטפס
완화	הקלת
그리드	רשת
부록	תוספתן
부록	נספח
클랜시	קלנסי
파이어니어	חלוץ
파이어니어	החלוץ
파이어니어	פיוניר
탱고	טנגו
윌리스	וויליס
윌리스	ויליס
회귀	רגרסיה
텐서	טנזור
떠나기	עזוב
떠나기	עזבו
떠나기	עוזב
떠나기	עוזבת
떠나기	עוזבים
떠나기	עזיבה
푸리에	פורייה
농도	ריכוזים
농도	ריכוז
농도	עומק
코코	אף
코코	אפו
코코	אפה
코코	האף
코스타	קוסטה
슬롯	חריץ
슬롯	חריצים
폴라	פאולה
폴라	פולה
다이오드	דיודה
다이오드	דיודות
엘레나	אלנה
엘레나	ילנה
샘플링	מדגם
샘플링	דוגמית
샘플링	דגימה
샘플링	דגימה
지평선	אופק
팬더	פנדה
팬더	פנתר
튜브	צינור
튜브	צינורות
홍대	הונג
원더	תמה
원더	פלא
원더	וונדר
원더	תוהה
카트	עגלה
레저	פנאי
레저	הפנאי
마르코프	מרקוב
직위	עמדה
직위	משרה
직위	העמדה
직위	עמדות
직위	תנוחות
비아	באמצעות
비아	דרך
비아	ויה
진흙	בוץ
진흙	הבוץ
쿼터	רבעון
쿼터	רבע
헐리우드	הוליווד
케리	קארי
케리	קרי
모모	מומו
적응	מסתגל
적응	מסתגלת
적응	הסתגלות
적응	להסתגל
레니	לני
체이스	מרדף
인디아	הודו
인디아	אינדיה
입원	אושפז
입원	מאושפז
흡연	עישון
흡연	מעשנת
흡연	מעשנים
흡연	מעשן
흡연	לעשן
흡연	מעשן
흡연	מעשנת
복권	לוטו
복권	לוטו
복권	הגרלה
양키	יאנקי
양키	ינקי
로마노프	רומנוב
가이아나	גיאנה
섀도우	הצל
섀도우	שאדו
섀도우	צל
피아트	פיאט
블레이크	בלייק
이방인	זר
아드리안	אדריאן
포르쉐	פורשה
벤처	מיזם
부스	שבות
대머리	קירח
대머리	קרחת
대머리	קירח
마티아스	מתיאס
호스팅	מארחת
호스팅	מארח
호스팅	אירוח
호스팅	מארחים
호스팅	אירח
호스팅	מתארח
스탬프	בול
스탬프	חותמת
스탬프	בולים
스탬프	חותמות
베트남어	וייטנאמים
드러낸다	מגלה
드러낸다	חושפת
드러낸다	חושף
에메랄드	הברקת
에메랄드	ברקת
아프로	האפרו
아프로	אפרו
색인	באינדקס
색인	מדד
색인	אינדקס
파우스트	פאוסט
테두리	גבול
하퍼	הרפר
하퍼	הארפר
카우보이	קאובוי
카우보이	בוקרים
부탄	בהוטן
포화	רוויה
포화	רווי
로이스	רויס
로이스	לויס
목차	תוכן
오카	אוקה
서류	ניירות
서류	עיתונים
서류	מסמכים
국수	נודלס
국수	אטריות
국수	אטריות
결핵	שחפת
남용	התעללות
화해	פיוס
편집기	העורך
편집기	עורך
편집기	עורכת
편집기	עורכים
줄무늬	פסים
줄무늬	פסים
벅스	באק
벅스	באגים
벅스	חרקים
벅스	באגס
벅스	באקס
니컬러스	ניקולאס
니컬러스	ניקולס
모듈러	מודולרי
베일	בייל
베일	הרעלה
베일	וייל
사드	סעד
퇴직	פרישה
퇴직	פרשת
퇴직	פרש
퇴직	פרשה
포인터	מצביע
녹아	נמסה
녹아	להמיס
녹아	נמס
무지	הבורות
무지	בורות
박격포	מרגמה
포괄적	מקיפה
포괄적	מקיף
재활	שיקום
재활	גמילה
재활	שיקום
통증	כאב
통증	כאבים
통증	כאבים
마당	החצר
마당	חצר
플랫	דירה
플랫	שטוחה
플랫	במול
플랫	שטוח
복합체	מורכבים
복합체	מורכב
복합체	מורכבת
복합체	מתחם
복합체	תסביך
복합체	המתחם
복합체	מתחם
복합체	תרכובת
카누	קאנו
카누	קאנו
시그널	איתות
시그널	אות
볼셰비키	הבולשביקים
더그	דאג
앵커리지	אנקורג
숨겨져	מוסתרת
숨겨져	נסתר
숨겨져	נסתרת
숨겨져	חבוי
숨겨져	מוסתר
깔끔하게	מסודר
깔끔하게	מסודרת
찾아보기	עייני
찾아보기	עיון
찾아보기	עיין
찾아보기	גלו
찾아보기	גלה
찾아보기	לגלות
찾아보기	גלי
블레어	בלייר
피처링	בהשתתפות
니콜라우스	ניקולאס
니콜라우스	ניקולס
댓글	הערה
댓글	תגובה
댓글	להעיר
댓글	הגיבו
댓글	הגיבה
댓글	הגיב
댓글	התגובות
댓글	תגובות
댓글	הערות
아래쪽	תחתון
아래쪽	מתחת
아래쪽	למטה
아래쪽	בהמשך
아래쪽	להלן
아래쪽	תחתון
아래쪽	תחתית
수족관	אקווריום
수족관	אקווריומים
편리하다	נוחה
콜라	קוקאין
콜라	קולה
콜라	קולה
미드	אמצע
리바운드	ריבאונד
리바운드	ריבאונדים
검출	גילוי
손상된	פגומה
손상된	ניזוק
손상된	פגום
손상된	נזק
손상된	נפגעה
걷고	הליכה
범죄자	פושעי
범죄자	עבריינים
범죄자	פושעים
범죄자	פושע
범죄자	פלילי
범죄자	פושעת
범죄자	פלילית
범죄자	עבריין
명성	תהילה
명성	מוניטין
쏟아져	לשפוך
쏟아져	מוזג
입술	השפתיים
입술	שפתיים
입술	ליפ
입술	שפתיים
외래	אשפוז
마티	מארטי
마티	מרטי
섀넌	שאנון
섀넌	שנון
농부	איכרים
농부	חקלאים
농부	חוואים
농부	חוואי
농부	פרמר
농부	פארמר
농부	איכר
농부	חקלאי
호위	לווה
호위	ליווי
베니	בני
응급	חירום
스무	twenty
스무	עשרים
실린더	הגליל
실린더	גליל
우분투	אובונטו
리타	ריטה
샤이니	שאה
손해	אבדות
손해	אבידות
손해	ההפסדים
손해	הפסדים
손해	נזקים
손해	נזק
버추얼	וירטואלי
버추얼	וירטואלית
어시스트	אסיסטים
브람스	ברהמס
아이비	אייבי
스플리트	לפצל
스플리트	פיצול
베이컨	בייקון
코니	קוני
치프	המפקדת
치프	ראשי
에베레스트	האוורסט
공상	בהקיץ
타원형	אליפטי
마일스	מיילס
마일스	קילומטרים
마일스	מיילים
마일스	קילומטר
디나르	דינר
마인드	מחשבות
마인드	מוחות
노래방	קריוקי
피드백	משוב
공지	הכרזה
공지	ההכרזה
공지	הודעה
공지	הכרזות
잠금	מנעול
잠금	לנעול
잠금	נעילה
잠금	נעילה
잠금	נועל
바하마	בהאמה
설리번	סאליבן
설리번	סוליבן
훌리오	חוליו
루니	רוני
무례한	חצוף
무례한	חצופה
무례한	חוצפה
무례한	גס
매트	מט
매트	מאט
매트	מאטס
항아리	צנצנת
항아리	צנצנות
엘런	אלן
고마쓰	קומטסו
온실	החממה
온실	חממה
온실	חממות
우동	אודון
지불	משלמים
지불	משלם
지불	משלמת
지불	שלם
지불	שלמי
지불	משלמת
지불	משלם
지불	משתלם
지불	תשלום
지불	התשלום
감지	גילוי
감지	זוהו
감지	זוהה
감지	אותרה
감지	זוהתה
네이션	אומה
네이션	האומה
언제부터	מאז
통역	מתורגמן
통역	מתרגם
연습생	אימון
연습생	להתאמן
연습생	תרגול
민병대	מיליציה
민병대	המיליציה
워프	עיוות
워프	פיתול
갈라	גאלה
아브라함	איברהים
아브라함	אברהם
전갈자리	עקרב
전갈자리	עקרב
아리스토텔레스	אריסטו
체계적	שיטתי
체계적	שיטתית
크로니클	כרוניקל
자격증	הסמכה
자격증	הכשרה
자격증	כישורים
자격증	מוסמכת
자격증	מוסמך
자격증	מורשה
가정교사	אומנת
루미	רומי
매리너	מארינר
벤치	ספסלים
벤치	הספסל
벤치	ספסל
스완	ברבור
스완	סוואן
흔적	שובל
흔적	עקבות
흔적	טרייס
흔적	שבילים
에드먼턴	אדמונטון
말라위	מלאווי
캐치	לתפוס
캐치	תפוס
캐치	תפיסה
캐치	מלכוד
비자	ויזה
세르비아인	סרבי
세르비아인	הסרבים
세르비아인	סרבי
플루트	חליל
넷스케이프	netscape
오늘도	היום
부모님	הורים
부모님	ההורים
부모님	הורה
스위프트	סוויפט
스위프트	מהיר
수류탄	רימון
수류탄	רימונים
콜렉션	האוסף
콜렉션	אוסף
단점	חסרונות
단점	החיסרון
단점	חיסרון
단점	חסרונות
몬테레이	מונטריי
단락	פסקה
단락	פסקאות
숨김	מוסתרת
숨김	נסתר
숨김	נסתרת
숨김	חבוי
숨김	מוסתר
매기	מאגי
매기	מגי
카세트	קלטות
행복하게	באושר
행복하게	בשמחה
귀도	גוידו
귀도	גווידו
거품	בועות
거품	קצף
거품	בועה
거품	בועות
거품	הבועה
랠리	ראלי
랠리	ללכד
닫습니다	קרוב
닫습니다	סגור
닫습니다	קרובים
닫습니다	סוגר
닫습니다	נסגרת
닫습니다	נסגר
독립기념일	עצמאות
스캇	סקוט
배너	כרזות
배너	באנרים
배너	כרזה
배너	באנר
의사당	הקפיטול
억제	מעצורים
억제	דיכוי
방학	נופש
방학	חופשה
베네딕트	בנדיקט
베네딕트	בנדיקטוס
도달	תפוצה
가정부	משרתת
가정부	העוזרת
라그나로크	ראגנארוק
플레어	הזיקוק
플레어	נור
인덱스	באינדקס
인덱스	מדד
인덱스	אינדקס
플라워	פרח
아메드	אחמד
피어	peer
리비우	לבוב
배운다	ללמוד
배운다	למדו
배운다	למד
배운다	תלמד
애정	חיבה
위트레흐트	אוטרכט
비스마르크	ביסמרק
볼륨	נפח
볼륨	כרך
볼륨	כרכים
파도	גלי
파도	גלים
파도	גל
엘프	שדון
엘프	אלפים
엘프	שדונים
웬디	ונדי
웬디	וונדי
백조	ברבורים
백조	ברבור
백조	סוואן
심어	שתל
심어	שתלה
