மற்றும்	un
பல்வேறு	šķirnes
திரைப்படங்கள்	filmas
திரைப்படங்கள்	kino
பிற	pārējie
பிற	citi
பிற	cits
பிற	citādi
பிற	citas
அவர்கள்	viņiem
அவர்கள்	viņi
அவர்கள்	tie
அவர்கள்	tās
மொழி	valoda
முறை	metode
முறை	tiesvedība
முறை	procedūru
முறை	procedūra
முறை	režīms
கோயில்	templi
விருது	apbalvošana
விருது	balva
விருது	piešķiršana
விருது	piešķiršanas
பொதுவாக	vispārējā
பொதுவாக	vispārējais
பொதுவாக	vispārīgi
பொதுவாக	vispārēji
அக்டோபர்	oktobris
அக்டோபர்	oktobrī
அக்டோபர்	azt
செய்து	apņēmusies
தன்	viņa
தொடர்ந்து	turēt
தொடர்ந்து	paturēt
இரண்டாம்	otrais
இரண்டாம்	otrs
இரண்டாம்	otrie
இரண்டாம்	otrā
இரண்டாம்	sekundārā
இரண்டாம்	sekundārais
இரண்டாம்	sekundārie
இரண்டாம்	sekundārās
இரண்டாம்	sekundāri
சென்னை	čennai
வரும்	nāk
வரும்	atnāk
வரும்	nāk
மே	var
மே	drīkst
மே	maijs
ஒவ்வொரு	katrs
ஒவ்வொரு	katru
ஒவ்வொரு	katra
மட்டுமே	tikai
வரலாறு	vēsture
வரலாறு	vēstures
வரலாறு	vēsturi
வரலாறு	vēsturē
பகுதியில்	teritorija
பகுதியில்	platība
பகுதியில்	apgabals
பகுதியில்	laukums
நூல்கள்	grāmatas
பின்	tapa
பின்	pin
பின்	pēc
பின்	muguru
பின்	atpakaļ
பின்	mugura
இல்லை	nav
இல்லை	ne
நவம்பர்	novembra
நவம்பர்	novembrī
நவம்பர்	novembris
அதிக	augstā
அதிக	augstu
அதிக	augsts
அதிக	augsta
காலத்தில்	laikposms
காலத்தில்	periods
மிக	ļoti
மிக	loti
மீது	kaislīgi
நான்கு	četri
நான்கு	četras
நான்கு	četriem
நான்கு	četrus
பிறகு	tad
பிறகு	vēlāk
பிறகு	vēlākā
பிறகு	pēc
அரசியல்	politika
அரசியல்	politikā
அரசியல்	politiskā
பகுதி	daļēja
பகுதி	daļēji
பகுதி	daļējs
பகுதி	daļējas
பகுதி	teritorija
பகுதி	platība
பகுதி	apgabals
பகுதி	laukums
பகுதி	reģions
பகுதி	daļa
பகுதி	segments
பற்றி	par
ஆறு	sešus
ஆறு	seši
ஆறு	sešas
ஆறு	upe
ஆறு	upes
மீண்டும்	atkal
மீண்டும்	vēlreiz
இங்கிலாந்து	anglija
இங்கிலாந்து	england
இங்கிலாந்து	angliju
காலம்	sezonai
காலம்	sezonu
காலம்	sezonas
காலம்	sezonā
காலம்	sezona
காலம்	laikposms
காலம்	periods
காலம்	laiks
காலம்	laika
நிலை	amats
நிலை	novietojums
நிலை	pozīcija
நிலை	valsts
நிலை	štats
நிலை	līmenis
ஒரே	pašas
ஒரே	pašu
போர்	karu
போர்	karš
போர்	kara
போர்	karā
பொருள்	materiāli
பொருள்	materiāls
பொருள்	produkta
பொருள்	izstrādājums
பொருள்	produkts
பொருள்	ražojums
பொருள்	objekts
பொருள்	iebilst
பொருள்	sinonīmi
பொருள்	subjekts
பொருள்	temats
பொருள்	objekts
பொருள்	tēma
அறிவியல்	zinātnes
அறிவியல்	zinātne
பேச்சு	runā
பேச்சு	runu
பேச்சு	runas
பேச்சு	runa
பேச்சு	runāt
இதனால்	ar
அனைத்து	visiem
அனைத்து	visu
அனைத்து	visas
அனைத்து	visi
அனைத்து	visa
கல்வி	izglītība
ஏப்ரல்	apr
ஏப்ரல்	aprīlis
ஏப்ரல்	gpl
ஏப்ரல்	aprīlis
ஏப்ரல்	aprīlī
ஏப்ரல்	aprīļa
உலக	pasaule
உலக	pasaulē
உலக	globālā
உலக	globālie
உலக	globāli
உலக	globālais
உலக	globāla
கே	gejs
கே	geju
முடியும்	var
முடியும்	varam
கீழ்	leju
கீழ்	lejā
கீழ்	lejup
கீழ்	zemākā
கீழ்	apakšējā
கீழ்	zemāka
கீழ்	zemākas
கீழ்	zemāks
கீழ்	zem
கீழ்	apakšējais
கீழ்	apakšējā
கீழ்	dibens
கீழ்	grunts
கீழ்	lejas
கீழ்	apakšā
இடம்	vieta
இடம்	vieta
இடம்	novietojums
இடம்	telpa
இடம்	kosmoss
செப்டம்பர்	septembris
செப்டம்பர்	septembrī
செப்டம்பர்	septembri
பேர்	citas
பேர்	citi
பேர்	pārējie
பெரும்	liels
பெரும்	liela
பெரும்	lieliska
பெரும்	lieliski
சி	chi
நாடுகள்	valstīm
நாடுகள்	valstis
தொகுதி	albumus
தொகுதி	sistēmu
தொகுதி	sistēma
தொகுதி	sistēmas
தொகுதி	modulis
தொகுதி	moduļa
கிழக்கு	austrumos
கிழக்கு	austrumu
கிழக்கு	austrumi
கிழக்கு	orient
கிழக்கு	austrumu
அமைப்பு	sistēmu
அமைப்பு	sistēma
அமைப்பு	sistēmas
அமைப்பு	komplektācija
அமைப்பு	organizācija
அமைப்பு	struktūra
அமைப்பு	uzbūve
அளவு	apjoms
அளவு	apmērs
அளவு	summa
அளவு	daudzums
அளவு	mērogs
அளவு	skala
அளவு	izmers
அளவு	lielums
அளவு	izmērs
மற்ற	pārējie
மற்ற	citi
மற்ற	cits
மற்ற	citādi
மற்ற	citas
மற்ற	dažādi
இவற்றையும்	šīs
இவற்றையும்	šie
தற்போது	tagad
தற்போது	pašlaik
தற்போது	pašreiz
தற்போது	šobrīd
தற்போது	patlaban
பாடல்	dziesma
உண்டு	pieejams
உண்டு	pieejami
உண்டு	pieejamas
உண்டு	pieejama
உண்டு	pieejamie
வாழும்	dzīvošana
வாழும்	dzīvo
இருக்கிறது	pieejams
இருக்கிறது	pieejami
இருக்கிறது	pieejamas
இருக்கிறது	pieejama
இருக்கிறது	pieejamie
நிறுவனம்	sabiedrība
நிறுவனம்	uzņēmums
நிறுவனம்	kompānija
நிறுவனம்	organizācija
நிறுவனம்	organizācija
நபர்கள்	cilveki
நபர்கள்	cilvēki
நபர்கள்	tauta
நபர்கள்	cilvēkiem
காலனி	koloniju
காலனி	kolonijas
மேற்கு	rietumu
மேற்கு	rietumos
மேற்கு	rietumi
மேற்கு	west
மேற்கு	rietumu
மேற்கு	western
தலைவர்	prezidents
தலைவர்	priekšsēdētāja
தலைவர்	priekšsēdētājs
தலைவர்	vadītājs
தலைவர்	vadonis
தலைவர்	līderi
தலைவர்	leader
தலைவர்	līderis
முதலில்	pirmais
முதலில்	pirmā
முதலில்	pirmās
முதலில்	pirmie
முதலில்	pirma
முதலில்	vispirms
சார்ந்த	relatīvais
சார்ந்த	radinieks
சார்ந்த	relatīvi
சார்ந்த	relatīvā
சார்ந்த	atkarību
சார்ந்த	atkarība
சார்ந்த	balstīts
மேல்	top
மேல்	tops
மேல்	augšējā
மேல்	augšējais
நாடு	valsts
மட்டும்	tikai
அடிப்படையில்	pamatā
அடிப்படையில்	būtībā
அடிப்படையில்	pamats
அடிப்படையில்	bāze
எண்	skaitīt
எண்	saskaitīt
எண்	skaits
எண்	numuru
எண்	numurs
எண்	skaitlis
எண்	skaits
குறிப்பிட்ட	precizēts
குறிப்பிட்ட	norādītā
குறிப்பிட்ட	norādīts
குறிப்பிட்ட	specifiskas
குறிப்பிட்ட	īpašie
செய்ய	padarīt
செய்ய	padarītu
செய்ய	make
செய்ய	marka
சிறிய	mazas
சிறிய	mazās
சிறிய	mazie
சிறிய	maza
சிறிய	mazs
சிறிய	maz
சிறிய	maza
சிறிய	mazais
வந்த	atnācu
வந்த	atnāca
வேறு	pārējie
வேறு	citi
வேறு	cits
வேறு	citādi
வேறு	citas
மார்ச்	marta
மார்ச்	martā
மார்ச்	marts
நிலையில்	nosacījums
நிலையில்	stāvoklis
நிலையில்	posms
நிலையில்	stadija
பெண்	meitiņa
பெண்	meitene
பெண்	meitenei
பெண்	sieviete
பெண்	sievieti
பெண்	sieviete
பெண்	sievietes
பெண்	sieviešu
வெற்றி	veiksme
வெற்றி	veiksmes
வெற்றி	panākumi
வெற்றி	veiksmīgi
வெற்றி	panākumus
வெற்றி	veiksmīga
வெற்றி	uzvar
வெற்றி	uzvaras
வெற்றி	uzvarēs
வெற்றி	uzvara
வெற்றி	uzvaras
வெற்றி	uzvaru
வெற்றி	uzvarēja
வெற்றி	uzvarējis
வெற்றி	ieguva
வெற்றி	uzvara
வெற்றி	uzvaras
வெற்றி	win
வெற்றி	laimē
வெற்றி	uzvarēt
இணைப்பு	pieslēgums
இணைப்பு	savienojums
இணைப்பு	saikne
இணைப்பு	saite
இணைப்பு	pielikumu
இணைப்பு	pielikums
திரைப்படம்	filma
திரைப்படம்	filmu
திரைப்படம்	plēve
திரைப்படம்	filma
திரைப்படம்	plēves
வகை	kategoriju
வகை	kategorija
வகை	kategorijā
வகை	tips
வகை	veids
வகை	režīms
ஐந்து	piecus
ஐந்து	piecas
ஐந்து	pieciem
ஐந்து	pieci
அதே	pašas
அதே	pašu
சிறப்பு	īpaša
சிறப்பு	īpašais
சிறப்பு	īpašs
சிறப்பு	īpašā
சிறப்பு	īpaši
தமிழர்	tamilu
விட	than
விட	nekā
சுமார்	par
கட்டுரைகள்	raksti
கட்டுரைகள்	izstrādājumi
கட்டுரைகள்	panti
படி	lasi
படி	lasīt
படி	step
படி	posms
படி	soli
படி	solis
மனித	cilvēks
மனித	cilvēka
மனித	cilvēku
பெரும்பாலும்	gandrīz
பெரும்பாலும்	teju
பெரும்பாலும்	pārsvarā
பெரும்பாலும்	galvenokārt
பெரும்பாலும்	lielākoties
கட்சி	ballīte
கட்சி	party
கட்சி	partija
கட்சி	puse
பொது	kopējo
பொது	bieži
பொது	publiski
பொது	publiskais
பொது	publiska
பொது	vispārējā
பொது	vispārējais
பொது	vispārīgi
பொது	vispārēji
கல்லூரி	koledža
கல்லூரி	kolēģija
கல்லூரி	koledžā
கல்லூரி	kolēģijas
கல்லூரி	koledžas
இசை	mūzika
இசை	music
இசை	mūzikā
முறையில்	režīms
நாட்டின்	valsts
மத்திய	centrālā
மத்திய	centrālais
மத்திய	centrālās
மில்லியன்	miljons
மில்லியன்	miljoni
மில்லியன்	miljonos
மில்லியன்	miljoniem
மில்லியன்	miljoni
நகரம்	pilsēta
எந்த	jebkuru
எந்த	jebkura
எந்த	jebkurš
எந்த	kas
எந்த	kuras
எந்த	kura
எனப்படும்	saucās
எனப்படும்	saukts
நீர்	ūdeni
நீர்	ūdenī
நீர்	ūdens
செய்யும்	dari
செய்யும்	darām
செய்யும்	dara
இணைந்து	pievienojies
இணைந்து	pievienoties
இணைந்து	pievienojos
விக்கிப்பீடியா	wikipedia
சென்று	prom
பார்க்க	redz
பார்க்க	skatīt
அணி	matricas
அணி	matricu
அணி	matrices
அணி	matrica
அணி	komanda
அணி	team
எழுதிய	rakstisks
எழுதிய	rakstveida
எழுதிய	uzrakstīts
எழுதிய	rakstiska
எழுதிய	rakstīja
எழுதிய	uzrakstīju
எழுதிய	uzrakstīja
நிலையம்	stacija
நிலையம்	stacijā
நிலையம்	stacijas
தொடர்பான	saistīts
மீட்டர்	metru
மீட்டர்	metri
மீட்டர்	skaitītāji
மீட்டர்	mērītāji
மீட்டர்	mērītājs
இடத்தில்	vieta
கோவில்	templi
மாதம்	mēnesis
மாதம்	mēnesi
ஆய்வு	pētījums
ஆய்வு	izpēte
ஆய்வு	pētījuma
ஆய்வு	pētījumi
ஆய்வு	pētniecības
ஆய்வு	pētniecība
ஆய்வு	izpēte
வட	ziemeļi
வட	ziemeļos
வட	ziemeļu
குறைந்த	mazākā
குறைந்த	mazākais
குறைந்த	zemākā
குறைந்த	zemākais
குறைந்த	zemāko
குறைந்த	zema
குறைந்த	zemā
குறைந்த	mazs
குறைந்த	zems
குறைந்த	mazāk
டிசம்பர்	decembrī
டிசம்பர்	decembris
டிசம்பர்	decembra
டிசம்பர்	decembrim
டிசம்பர்	decembris
டிசம்பர்	dec
முன்	priekšējais
முன்	fronte
முன்	priekšpusē
முன்	priekšā
முன்	priekšējie
முன்	pre
முன்	pirms
வாழ்க்கை	life
வாழ்க்கை	dzīve
வாழ்க்கை	dzīvi
வாழ்க்கை	dzīvība
சனவரி	janvāris
சனவரி	janvāra
சனவரி	janvārī
புனித	svēto
புனித	svētais
ஆகியவை	vis
இரண்டாவது	otrais
இரண்டாவது	otrs
இரண்டாவது	otrie
இரண்டாவது	otrā
இரண்டாவது	sekundārā
இரண்டாவது	sekundārais
இரண்டாவது	sekundārie
இரண்டாவது	sekundārās
இரண்டாவது	sekundāri
ஆங்கிலம்	angļu
அங்கு	tur
தொழில்	bizness
தொழில்	uzņēmējdarbība
தொழில்	nozare
தொழில்	rūpniecība
தொழில்	industrija
தொழில்	profesija
பழைய	vecā
பழைய	veca
பழைய	veci
பழைய	vecs
பழைய	vecāki
பழைய	vecāks
பழைய	vecāka
ஆண்டுகள்	gadus
ஆண்டுகள்	gadi
ஆண்டுகள்	gadiem
குறிப்பாக	īpaši
குறிப்பாக	īpaši
குறிப்பாக	konkrēti
பார்க்கவும்	apmeklējuma
பார்க்கவும்	vizīte
பார்க்கவும்	apmeklējums
பார்க்கவும்	apmeklēt
பார்க்கவும்	skatīties
பார்க்கவும்	pulkstenis
பார்க்கவும்	skaties
துறை	departamentā
துறை	departaments
துறை	ostas
துறை	portu
துறை	ostā
துறை	osta
கடல்	marine
கடல்	jūras
கடல்	jūra
கடல்	okeānā
கடல்	okeāns
கடல்	okeāna
போல	patīk
போல	like
இதற்கு	par
இதற்கு	priekš
இதற்கு	for
சிறு	mazas
சிறு	mazās
சிறு	mazie
சிறு	maza
சிறு	mazs
சிறு	maznozīmīgi
சிறு	nelielas
தென்	dienvidu
தென்	dienvidos
தென்	dienvidi
உயர்	augstā
உயர்	augstu
உயர்	augsts
உயர்	augsta
உயர்	deluxe
வடக்கு	ziemeļi
வடக்கு	ziemeļos
வடக்கு	ziemeļu
ஆட்சி	karaliste
ஆட்சி	noteikums
ஆட்சி	pārvaldība
மக்களின்	cilveki
மக்களின்	cilvēki
மக்களின்	tauta
மக்களின்	cilvēkiem
நோய்	slimība
நோய்	slimības
நோய்	slimība
தேர்தல்	ievēlēšana
தேர்தல்	vēlēšanās
தேர்தல்	vēlēšanas
உற்பத்தி	ražošana
உற்பத்தி	produkcija
உற்பத்தி	ražošana
வந்தது	ieradušies
வந்தது	ieradies
வந்தது	atnācu
வந்தது	atnāca
கலை	māksla
கலை	māksla
கலை	art
தங்கள்	viņu
சமூக	sociāla
சமூக	sociālie
சமூக	sociālais
சமூக	sociālā
சமூக	sociāls
போல்	bols
போல்	patīk
போல்	like
தர	kvalitāte
தர	kvalitātes
நூற்றாண்டு	gadsimts
அவருடைய	viņa
அமெரிக்கா	amerika
அமெரிக்கா	amerikā
அமெரிக்கா	ameriku
அமெரிக்கா	amerika
அமெரிக்கா	americas
பகுதிகளில்	jomas
பகுதிகளில்	apgabali
பகுதிகளில்	teritorijas
பகுதிகளில்	platības
வந்து	nāc
பரிசு	balva
பரிசு	balvu
பரிசு	dāvanu
பரிசு	dāvana
பிரிவு	kategoriju
பிரிவு	kategorija
பிரிவு	kategorijā
பிரிவு	divīzija
பிரிவு	rajons
பிரிவு	dalīšana
பிரிவு	iedaļa
பிரிவு	sadaļa
பிரிவு	sekcija
உடல்	ķermeņa
உடல்	ķermenis
இவர்கள்	šīs
இவர்கள்	šie
கூட	pat
கூட	arī
கூட	pārāk
எழுத்தாளர்	rakstnieks
குழு	grupu
குழு	grupa
குழு	grupas
இலக்கிய	literatūra
இலக்கிய	literatūrā
இலக்கிய	literatūras
இலக்கிய	literatūras
விளையாட்டு	spēļu
விளையாட்டு	sporta
விளையாட்டு	sports
விளையாட்டு	spēle
விளையாட்டு	sport
விளையாட்டு	sporta
விளையாட்டு	sports
உறுப்பினர்கள்	locekļi
உறுப்பினர்கள்	dalībnieki
உறுப்பினர்கள்	deputāti
உறுப்பினர்கள்	biedri
இறப்பு	nāve
இறப்பு	nāves
இறப்பு	mirstība
இறப்பு	mirstības
இறப்பு	mirstību
அடி	kājas
அடி	pēdas
அடி	kājām
அடி	hit
துணை	partnera
துணை	partneri
துணை	partneris
துணை	partnerim
துணை	atbalstīt
துணை	atbalstu
துணை	atbalsts
துணை	atbalsta
துணை	apakš
துணை	vietnieks
பதிப்பு	edition
பதிப்பு	izdevums
பதிப்பு	redakcija
பதிப்பு	versija
சொல்	pateikt
சொல்	saki
சொல்	teikt
சொல்	vārdu
தெற்கு	dienvidu
தெற்கு	dienvidos
தெற்கு	dienvidi
கட்டுரை	eseju
கட்டுரை	raksts
கட்டுரை	izstrādājums
கட்டுரை	pants
கட்டுரை	sastāvs
கட்டுரை	raksti
கட்டுரை	izstrādājumi
கட்டுரை	panti
வட்டம்	loks
வட்டம்	apļa
வட்டம்	aplis
சராசரி	vidējais
சராசரி	vidēji
சராசரி	vidējā
சராசரி	vidējais
தொலைக்காட்சி	televizors
தொலைக்காட்சி	televīzijas
தொலைக்காட்சி	televīzija
முன்னாள்	bijusī
முன்னாள்	bijušie
முன்னாள்	bijušais
எண்ணிக்கை	skaitīt
எண்ணிக்கை	saskaitīt
எண்ணிக்கை	skaits
எண்ணிக்கை	gabals
எண்ணிக்கை	gabalu
எண்ணிக்கை	biežums
எண்ணிக்கை	biežuma
எண்ணிக்கை	frekvence
தவிர	izslēgt
தவிர	izņemot
நடிகர்	aktieris
பாடல்கள்	dziesmas
இன்று	šodien
சட்டம்	rāmja
சட்டம்	kadrs
சட்டம்	rāmis
சட்டம்	rāmi
சட்டம்	tieslietas
சட்டம்	likums
சட்டம்	likumīgi
சட்டம்	juridiskais
சட்டம்	akts
சட்டம்	act
சட்டம்	rīkoties
அருகில்	tuvu
அருகில்	netālu
அருகில்	netālu
அருகில்	tuvumā
நேரம்	laiks
நேரம்	laika
முதலாவது	pirmais
முதலாவது	pirmā
முதலாவது	pirmās
முதலாவது	pirmie
முதலாவது	pirma
முதலாவது	vispirms
நாம்	ļauj
மூலமாக	caur
மூலமாக	via
மூலமாக	caur
மூலமாக	cauri
உணவு	pārtika
உணவு	ēdiens
குறித்து	par
பெப்ரவரி	februārī
பெப்ரவரி	februāra
பெப்ரவரி	februāris
பகுதிகள்	segmenti
பகுதிகள்	segmentiem
பகுதிகள்	segmentus
பகுதிகள்	komponente
பகுதிகள்	sastāvdaļa
பகுதிகள்	komponents
பகுதிகள்	reģioni
பகுதிகள்	daļas
பகுதிகள்	detaļas
பகுதிகள்	jomas
பகுதிகள்	apgabali
பகுதிகள்	teritorijas
பகுதிகள்	platības
நிறுவனங்கள்	organizācijas
நிறுவனங்கள்	uzņēmējsabiedrības
நிறுவனங்கள்	kompānijas
நிறுவனங்கள்	uzņēmumi
ஜனவரி	janvāris
ஜனவரி	janvāra
ஜனவரி	janvārī
எழுத்தாளர்கள்	rakstnieki
நல்ல	laba
நல்ல	labas
நல்ல	labi
நல்ல	labs
நல்ல	labais
அடுத்த	next
அடுத்த	nākamais
அடுத்த	nākamā
அடுத்த	nākamo
அடுத்த	nākošais
படம்	attēls
படம்	bildē
படம்	bilde
படம்	bildei
படம்	photo
படம்	foto
படம்	fotogrāfijā
படம்	attēla
படம்	attēls
படம்	attēlu
பாதுகாப்பு	aizstāvība
பாதுகாப்பு	aizsardzība
பாதுகாப்பு	drošu
பாதுகாப்பு	drošs
பாதுகாப்பு	droši
பாதுகாப்பு	droša
பாதுகாப்பு	drošībā
பாதுகாப்பு	aizsardzība
பாதுகாப்பு	drošums
பாதுகாப்பு	drošība
பாதுகாப்பு	drošības
பாதுகாப்பு	drošība
பாதுகாப்பு	drošības
தந்தை	tēvam
தந்தை	tēva
தந்தை	tēvs
பங்கு	loma
பங்கு	lomu
பார்க்கப்பட்ட	apskatāma
அவர்களின்	viņu
செய்த	izgatavots
செய்த	made
நியூ	niue
பதிவு	iespaidu
பதிவு	iespaida
பதிவு	iespaids
பதிவு	reģistrā
பதிவு	reģistrēties
பதிவு	reģistrs
பதிவு	rekords
பதிவு	ieraksts
பதிவு	reģistrēšana
பதிவு	reģistrēšanās
பதிவு	reģistrācija
பதிவு	amats
பதிவு	pasts
பதிவு	post
ஐரோப்பிய	eiropas
ஐரோப்பிய	eiropietis
முழுவதும்	pilnībā
முழுவதும்	pilnīgi
முழுவதும்	pilnīgi
முழுவதும்	pilnu
முழுவதும்	pilnas
முழுவதும்	pilns
முழுவதும்	pilnā
முழுவதும்	pilni
முழுவதும்	pilna
முழுவதும்	aizpildīt
முழுவதும்	pabeigt
முழுவதும்	pabeigts
முழுவதும்	pabeigta
முழுவதும்	pilnīga
பயனர்	lietotājs
பயனர்	lietotāja
பயனர்	lietotājam
தொடர்	turpina
தொடர்	turpināt
தொடர்	turpināt
போன்றவை	etc
போன்றவை	utt
ஜூன்	jun
ஜூன்	jūnijs
ஜூன்	jūnija
ஜூன்	jūnijā
வழியாக	caur
வழியாக	via
உறுப்பினர்	deputāts
உறுப்பினர்	loceklis
உறுப்பினர்	biedrs
உறுப்பினர்	dalība
உறுப்பினர்	klienti
உறுப்பினர்	klients
உறுப்பினர்	klientu
உறுப்பினர்	klienta
ஆசிரியர்	redaktors
ஆசிரியர்	pasniedzēja
ஆசிரியர்	skolotāju
ஆசிரியர்	skolotāja
ஆசிரியர்	skolotājs
ஆசிரியர்	autors
ஆசிரியர்	autore
ஆஃப்	nost
ஆஃப்	off
ஆஃப்	izslēgts
முக்கியமான	svarīgs
முக்கியமான	svarīga
முக்கியமான	svarīgas
முக்கியமான	svarīgi
முக்கியமான	nozīmīgs
முக்கியமான	kritiskie
முக்கியமான	kritiski
முக்கியமான	kritisko
முக்கியமான	kritiska
முக்கியமான	kritisks
தொடர்பு	saskarē
தொடர்பு	sazināties
தொடர்பு	kontakti
தொடர்பு	kontakts
செய்தார்	did
ஜூலை	jūlija
ஜூலை	jūlijs
ஜூலை	jūlijā
ஆற்றல்	enerģētika
ஆற்றல்	enerģija
கிலோ	kilogramu
வேலை	darbs
வேலை	darbs
