טרומן	ट्रूमैन
הי	हे
טבעות	छल्ले
טבעות	बजती
קרס	हुक
קרס	आँकड़ा
הבטן	पेट
הוכח	सिद्ध
חירות	आज़ादी
חירות	आजादी
חירות	स्वतंत्रता
חירות	लिबर्टी
חירות	स्वाधीनता
חירות	स्वतंत्रता
יונים	ions
אוסטרים	सर्वस
קיטור	भाप
כריסטינה	क्रिस्टीना
כריסטינה	क्रिस्टीना
בייקר	बेकर
גרג	ग्रेग
תוניסיה	ट्यूनीशिया
הברכה	वरदान
הברכה	आशीर्वाद
הברכה	आशिर्वाद
מינסוטה	मिनेसोटा
גילברט	गिल्बर्ट
האג	हेग
שועל	लोमड़ी
שועל	फॉक्स
קרבי	कॉम्बैट
פירנצה	फ्लोरेंस
חדה	शार्प
פלילית	आपराधिक
פלילית	अपराधी
פלילית	क्रिमिनल
פלילית	मुजरिम
פלילית	दण्ड
שן	दाँत
הגבלה	प्रतिबंध
הגבלה	सीमा
צילם	फिल्माया
גופני	भौतिक
גופני	शारीरिक
בסקי	बास्क
בסקי	स्कीइंग
פגיעות	चोटें
פגיעות	चोटों
רגשית	भावुक
רגשית	भावनात्मक
רגשית	इमोशनल
רגשית	emotional
אופציה	विकल्प
פירס	पियर्स
אפלטון	प्लेटो
אפלטון	एप्पलटन
מרסל	मार्सल
פינק	पिंक
פינק	गुलाबी
פינק	फिंक
ברון	सामन्त
ספריות	लाइब्रेरी
ספריות	पुस्तकालय
ספריות	पुस्तकालयों
ספריות	निर्देशिका
ווטסון	वाटसन
דאגה	चिंताजनक
דאגה	चिंता
דאגה	चिंता
נופש	रिसॉर्ट
נופש	रिज़ॉर्ट
נופש	छुट्टी
נופש	अवकाश
נופש	रिसॉर्ट्स
נופש	रिसॉर्ट
טימור	तैमूर
יריחו	जेरिको
אלמנט	अवयव
אלמנט	तत्व
גומי	रबड़
גומי	बुलबुले
גומי	रबर
הארכיון	संग्रह
הארכיון	अभिलेखागार
הארכיון	अभिलेख
חוזים	अनुबंध
ריהאנה	रिहाना
הכיוון	दिशा
משיח	मसीहा
ללבוש	पहनें
משגר	लांचर
משגר	लॉन्चर
משגר	शुभारंभ
סנטיאגו	सैंटियागो
אמיתיים	असली
אמיתיים	यथार्थ
אמיתיים	रीयल
אמיתיים	वास्तविक
אמיתיים	रियल
נוב	नवंबर
נוב	nov
נוב	नवम्बर
דורה	डोरा
דורה	ड्यूरा
ברן	बर्न
שינויי	परिवर्तन
סכסוכים	विरोध
סכסוכים	विवाद
סכסוכים	विवादों
מונעת	चलित
מונעת	निवारक
אריות	शेर
לאום	राष्ट्रीयता
ורוד	पिंक
ורוד	गुलाबी
טנסי	टेनेसी
כפוף	अधीनस्थ
כפוף	झुकी
בעלים	स्वामी
בעלים	मालिक
בעלים	पतियों
בעלים	मालिकों
בעלים	स्वामी
קמפיין	अभियान
מחמד	पालतू
מחמד	पालतु
מחמד	पालतू
מחמד	पालतु
אטומים	अणु
מונטריאול	मॉन्ट्रियल
סו	सू
סו	मुकदमा
סו	सू
סו	बेतहाशा
נשיאה	प्रदेशाध्यक्ष
נשיאה	राष्ट्रपति
נשיאה	अध्यक्ष
הנאמנים	वफादारों
אוטובוסים	बसों
אוטובוסים	बसें
ערוצי	चैनल
ערוצי	चैनलों
ערוצי	चैनल्स
קלווין	केल्विन
שובר	कूपन
שובר	ब्रेक
שובר	वाउचर
מעניקה	देता
תחזוקה	रखरखाव
תחזוקה	मेंटेनेंस
השתלטות	कब्ज़ा
בורות	अज्ञानी
בורות	अज्ञानता
בורות	अज्ञान
בורות	अनभिज्ञता
מבינה	समझो
מבינה	समझ
מבינה	समझे
מעבדה	प्रयोगशाला
מעבדה	लैब
מעבדה	lab
מיזוג	विलय
מיזוג	मिलाएं
מיזוג	मिलाएँ
מיזוג	विलय
מיזוג	विलय
מיזוג	कंडीशनिंग
מוניטין	प्रतिष्ठा
פארקר	पार्कर
הוחזר	पुनर्प्राप्त
הוחזר	लौटाया
הוחזר	लौटे
שליליות	नकारात्मक
שליליות	ऋणात्मक
שליליות	नकारात्मकता
גרנדה	ग्रेनाडा
גרנדה	हरा
גרנדה	ग्रांडे
שפע	बहुतायत
שפע	प्रचुरता
שפע	काफी
מקדונלד	मैकडोनाल्ड
מיין	मेन
מיין	maine
צינורות	पाइप
האף	नाक
ניה	निया
נוזלי	तरल
נוזלי	द्रव
ניומן	न्युमैन
בלבול	भ्रम
פסיפס	मोज़ेक
אכילה	खाने
אכילה	खाद्य
סנטר	चिन
סנטר	ठोड़ी
סנטר	chin
סנטר	केन्द्र
סנטר	केंद्र
סנטר	मध्य
סנטר	बीच
בון	बॉन
בון	बोन
בון	बॉन
בון	हड्डी
בון	बोन
בון	अस्थि
בון	बुने
בון	वरदान
בון	बून
לבוב	lviv
סקוטי	स्कॉटी
סקוטי	स्कॉटिश
יצרן	उत्पादक
יצרן	निर्माता
מאל	मल
פייסבוק	facebook
פייסבוק	फ़ेसबुक
פייסבוק	फेसबुक
קופה	कोपा
קופה	कूप
מחזאי	नाटककार
תחנה	स्टेशन
תחנה	उद्यान
תחנה	पार्क
אלמוני	गुमनाम
אלמוני	अज्ञात
אלמוני	अनाम
אלמוני	बेनाम
פצצת	बम
פצצת	बमों
פצצת	बमबारी
בנין	बेनिन
מקוריים	मूल
מקוריים	मौलिक
מקוריים	असली
מקוריים	मूल
המצלמה	कैमरा
גאורגי	ज्यार्जी
חטא	गुनाहगार
חטא	पाप
חטא	गुनाह
חטא	सिन
סולטאן	सुल्तान
סולטאן	सुलतान
שרף	राल
המעי	आंत
לפרט	जटिल
לפרט	व्यापक
לפרט	अलंकृत
לפרט	सविस्तार
לפרט	विस्तृत
לפרט	बताएँ
רצינית	गंभीर
דקר	डेकर
הורדת	डाउनलोड
סתיו	पतझड़
סתיו	गिरा
סתיו	पतझड़
סתיו	गिरना
סתיו	गिर
סתיו	पतन
צלילה	डाइविंग
צלילה	गोता
צלילה	डाइव
צלילה	डुबकी
מקורית	मूल
מקורית	मौलिक
מקורית	असली
באחריות	गारंटी
צוותי	टीम
צוותי	टीमों
חמורים	गधों
חמורים	गधे
נקשר	बंधुआ
בואי	आईये
בואי	आइये
מגנוס	मैगनस
אינדיאנים	भारतीयों
אינדיאנים	इंडियंस
מחוברים	कनेक्टेड
מחוברים	कनेक्ट
פופולריים	लोकप्रिय
פופולריים	रुझान
פופולריים	चर्चित
מתוקים	मीठा
מתוקים	मिठाई
מתוקים	मधुर
מתוקים	sweet
מתוקים	स्वीट
מתוקים	मीठी
מתוקים	मिठाई
רבייה	प्रजनन
רבייה	जनन
הקשיים	कठिनाइयों
קונגרס	कांग्रेस
קונגרס	कॉंग्रेस
איזון	बैलेंस
איזון	संतुलन
מכני	यांत्रिक
מכני	mechanical
איכרים	कृषक
איכרים	किसानों
איכרים	किसानो
ייחודיות	अनोखा
ייחודיות	अनूठा
ייחודיות	बेजोड़
ייחודיות	अद्वितीय
דוגמא	उदाहरण
מתמשך	निरंतर
מתמשך	लगातार
מתמשך	सतत
מתמשך	निरन्तर
מתמשך	जारी
מתמשך	स्थायी
ממציא	आविष्कारक
שוות	बराबर
שמיני	आठवां
שמיני	आठवीं
נקי	साफ
נקי	साफ
מקהלה	कोरस
מקהלה	कोर
מקהלה	कोरस
מיקרו	माइक्रो
מיקרו	सूक्ष्म
שפל	निम्न
שפל	कम
ורה	वेरा
ורה	वीरा
פריץ	फ्रिट्ज़
העתקה	कॉपी
העתקה	नक़ल
פלין	flynn
ספירס	स्पीयर्स
מעריכים	सराहना
מעריכים	कद्र
סטנפורד	स्टैनफोर्ड
הכספי	कैस्पियन
עלויות	खर्चा
עלויות	लागत
ברצינות	seriously
הוואי	हवाई
חסום	खंड
חסום	ब्लॉक
חסום	ब्लाक
חסום	अवरोधित
יעדים	लक्ष्य
יעדים	उद्देश्य
יעדים	लक्ष्यों
יעדים	लक्ष्य
יעדים	गंतव्य
יעדים	गंतव्यों
וימבלדון	विम्बलडन
ורד	गुलाब
ורד	रोज
ורד	रोज़
חילוץ	निकालें
חילוץ	निकालना
חילוץ	निष्कर्षण
חילוץ	उद्धार
חילוץ	बचाव
סודות	रहस्य
תפוצה	पहुँच
תפוצה	पहुँचें
ביצורים	जीव
תפוח	एप्पल
תפוח	सेब
תפוח	ठहराना
מצרית	मिस्र
מצרית	मिस्री
מצרית	मिश्र
להתאמן	प्रथा
להתאמן	अभ्यास
לאפס	रीसेट
להעיד	गवाही
מפרש	पाल
יישומים	एप्लिकेशन
יישומים	आवेदन
יישומים	अनुप्रयोग
יישומים	एप्लिकेशन
יישומים	ऐप्स
ספרייה	लाइब्रेरी
ספרייה	पुस्तकालय
ספרייה	पुस्तकालयों
פוטבול	फुटबॉल
פוטבול	फुटबाल
פוטבול	फ़ुटबॉल
מועדפת	पसंदीदा
מועדפת	वरीयता
מועדפת	पसन्दीदा
אחראים	ज़िम्मेदार
אחראים	उत्तरदायी
אחראים	जिम्मेदार
יעקובסון	जैकबसन
הגשת	दाखिल
נגזרת	डेरिवेटिव
מצריים	इजिप्ट
מצריים	मिस्त्र
מצריים	मिस्र
מצריים	मिश्र
מחסה	आश्रय
ריבר	नदी
קמפבל	कैम्पबेल
אלבניה	अल्बानिया
אלבניה	अल्बानियाई
גזים	गैसें
גזים	गैसों
נמלים	पोर्ट
נמלים	चींटियों
השרירים	मांसपेशियों
השרירים	मांसपेशियां
נוזלים	तरल
נוזלים	द्रव
אדריאן	एड्रियन
הפסחא	ईस्टर
רוברטו	रॉबर्टो
איסטנבול	इस्तांबुल
איתור	ट्रैकिंग
וליאן	जूलियन
צופן	संहिता
צופן	कोड
צופן	साइफर
גאולה	मुक्ति
גאולה	मोक्ष
גאולה	मोचन
רעה	खराब
רעה	ख़राब
המסגרת	फ्रेम
המסגרת	ढांचा
המסגרת	गठन
המסגרת	फ़्रेम
רוכב	यात्राएँ
רוכב	राइडर
רוכב	सवार
בעצמי	खुद
מצלמה	कैमरा
העמודים	खंभे
העמודים	स्तंभों
העמודים	मीनारें
יושבת	बैठा
יושבת	बैठे
עודף	परिवर्तन
עודף	बदलाव
עודף	बदलें
העצב	तंत्रिका
פוסטר	फोस्टर
הוגים	विचारकों
האבל	हबल
האבל	शोक
בלייק	ब्लेक
אסר	प्रतिबंधित
אסר	बैन
בחינה	परीक्षा
בחינה	एग्जाम
בחינה	exam
טייסים	पायलटों
התקדם	एडवांस
התקדם	अग्रिम
השדות	फ़ील्ड्स
השדות	फील्ड्स
השדות	फ़ील्ड
השתנתה	परिवर्तित
השתנתה	बदला
בלעדי	एक्सक्लूसिव
בלעדי	exclusive
בלעדי	अनन्य
בלעדי	विशेष
נשבר	टूटी
נשבר	टूटा
נשבר	बोले
סיציליה	सिसिली
איליה	एलिया
נעלמו	गए
אוילר	आयलर
טיטוס	टाइटस
לואיז	लुइज़
לואיז	लुईस
פסולת	कूड़ा
פסולת	खंडहर
פסולת	मलबा
פסולת	बरबाद
פסולת	बर्बादी
פסולת	अपशिष्ट
פסולת	बर्बाद
רגלי	पैरों
רגלי	पैर
רגלי	टाँगे
רגלי	गिरवी
רגלי	साहूकार
בארט	बार्ट
בארט	बैरेट
אימוץ	स्वीकरण
אימוץ	अपनाना
אימוץ	अपनाया
מופעל	सक्षम
מופעל	सक्रिय
מופעל	संचालित
רווחים	स्पेसेस
רווחים	कमाई
רווחים	आय
בוחן	प्रश्नोत्तरी
בוחן	क्विज़
בוחן	प्रश्नोत्तर
ויל	करेंगे
ויל	होगी
ויל	करेगा
ויל	करेगी
ויל	होगा
אוהל	तम्बू
אפריקאית	अफ्रीकी
אפריקאית	अफ़्रीकी
דיזל	डीजल
דיזל	डीज़ल
אוסטרלי	ऑस्ट्रेलियाई
אוסטרלי	ऑस्ट्रेलियाई
לוסי	लूसी
לוסי	लुसी
מוטיב	मोटिफ
ליאון	लियोन
ליאון	लिओन
יביא	लाओ
אוצרות	ख़ज़ाने
נוגע	छू
עצמאיות	स्वतंत्र
בריא	स्वास्थ्यवर्धक
בריא	स्वस्थ
תאודור	थियोडोर
ניקסון	निक्सन
סלים	पतला
סלים	सलीम
חוקיות	वैधता
חוקיות	लीगल
חוקיות	कानूनी
חוקיות	विधिक
להתחתן	निकाह
להתחתן	बुध
להתחתן	बुधवार
פיליפס	फिलिप्स
דורשים	आवश्यकता
מסובך	जटिल
ויימאר	वाइमर
תיעודי	वृत्तचित्र
דיכאון	डिप्रेशन
דיכאון	अवसाद
להרים	लिफ़्ट
להרים	वृद्धि
להרים	लिफ्ट
צאצא	संतति
צאצא	संतान
צאצא	औलाद
צאצא	उत्तराधिकारी
צאצא	वंशज
אסיר	बंदी
אסיר	क़ैदी
אסיר	कैदी
קתולי	कैथोलिक
במול	फ्लैट
במול	सपाट
במול	समतल
במול	चपटा
כוס	योनि
כוס	योनी
כוס	कप
מילוי	फिलर
מילוי	फिलिंग
מילוי	भरना
אמריקנים	अमेरिकी
סינגפור	सिंगापुर
הערבה	स्तान
השומרים	संरक्षक
יושבים	बैठा
יושבים	बैठे
מצלמות	कैमरा
מצלמות	कैमरे
התעללות	गाली
התעללות	दुरुपयोग
התעללות	दुरूपयोग
התעללות	दुर्व्यवहार
התעללות	गाली
רגש	भावना
רגש	जज्बात
רגש	भावुक
רגש	भावनात्मक
רגש	इमोशनल
רגש	emotional
תרגיל	ड्रिल
תרגיל	व्यायाम
תרגיל	exercise
תרגיל	कसरत
מחמוד	महमूद
מחמוד	महमूद
התמחות	इंटर्नशिप
לצרף	संलग्न
הנבחר	चुनी
גרי	गैरी
גרי	गेरी
המתמחה	इंटर्न
נבל	विलन
נבל	खलनायक
נבל	विलेन
כרטיסים	टिकट
כרטיסים	टिकटें
כרטיסים	कार्ड
כרטיסים	ताश
מרתון	मैराथन
המפקח	दरोगा
המפקח	इंस्पेक्टर
דרבי	डर्बी
ארליך	एलरिच
גנרלים	सेनापतियों
בורוסיה	बोरशिया
מונרו	मुनरो
מחסום	बाधाओं
מחסום	अवरोध
השרת	सर्वर
שגרירות	दूतावास
אוסבורן	ओसबोर्न
גרוסמן	ग्रॉसमैन
אוהבים	प्रेमी
אוהבים	प्रेमियों
חצות	मध्यरात्रि
מרפי	मर्फी
הפיצוץ	विस्फोटक
הפיצוץ	विस्फोट
זיכרונות	यादें
אוכלים	खाने
היוזמה	पहल
התעמולה	प्रचार
אורה	ऒर
קרתגו	कार्थेज
בירד	पंछी
בירד	पक्षी
בירד	चिड़िया
בירד	बर्ड
שיפורים	सुधार
קור	कोल्ड
קור	ठंड
קור	सर्दी
קור	ठंडा
קור	kor
סיון	सिवान
סוויפט	swift
סוויפט	स्विफ्ट
רוד	रॉड
רוד	लाठी
ציינו	उल्लेखित
תראה	देखो
תראה	dekh
נסה	कोशिश
פצצה	बम
פצצה	बमों
פצצה	बमबारी
מינימום	न्यूनतम
פנימה	अन्दर
פנימה	भीतर
פנימה	अंदर
צפה	देखा
צפה	देखी
צפה	तैरता
צפה	फ्लोटिंग
צפה	देखिये
צפה	देखना
צפה	देखें
צפה	देखें
צפה	दृश्य
טיפולים	उपचार
טיפולים	therapies
צרה	मुसीबत
צרה	परेशानी
צרה	ट्रबल
צרה	संकीर्ण
צרה	तंग
צרה	सीमित
ממדית	आयामी
ריימונד	रेमंड
סאם	सैम
סאם	sam
רוסו	rosso
רוסו	रूसो
סעד	साद
שוחד	घूसखोरी
שוחד	घूस
שוחד	रिश्वत
שוחד	रिश्वत
אוטונומיה	स्वायत्तता
ירמיהו	यिर्मयाह
להודיע	सूचित
שמאלה	बायां
שמאלה	शेष
שמאלה	बाएं
שמאלה	बाएँ
אנטארקטיקה	अंटार्कटिका
אנטארקטיקה	अंटार्कटिक
נחמה	आराम
נחמה	सुकून
נחמה	सांत्वना
נחמה	आश्वासन
נחמה	धीरज
נחמה	सांत्वना
גנטי	जेनेटिक
ורנר	वर्नर
סת	seth
סת	सेठ
אנכי	खड़ा
אנכי	अनुलंब
אנכי	खड़ा
אנכי	लंबवत
הבלטי	बाल्टिक
כוונות	मंशा
כוונות	इरादों
מתחרה	प्रतियोगी
מתחרה	प्रतिस्पर्धी
מתחרה	होड़
מתחרה	स्पर्धा
נקבות	महिलाएँ
נקבות	महिलाएं
נקבות	बेटियाँ
נקבות	महिलाओं
שוטף	धाराप्रवाह
עט	पेन
עט	लेखनी
עט	कलम
שומע	सुन
הנהג	ड्राईवर
הנהג	ड्राइवर
דרמטי	नाटकीय
מחתרת	भूमिगत
מחתרת	प्रतिरोध
ליטר	लीनियर
ליטר	लीटर
ליטר	लीनियर
נצרות	क्रिश्चियन
נצרות	क्रिस्चियन
נצרות	ईसाई
ציטוטים	उद्धरण
ציטוטים	कोटेशन
זול	सस्ता
זול	सस्ते
זול	सस्ती
גיבורים	वीरों
גיבורים	नायक
חרם	बहिष्कार
בטן	उदर
בטן	बेली
בטן	पेट
בטן	पेट
תקרית	घटना
נוגה	शुक्र
מגמות	रुझान
מרובע	क्वाड
מרובע	वर्ग
מרובע	स्क्वायर
מרובע	वर्गाकार
קלייר	क्लेयर
בציר	विंटेज
חורים	छेद
ברג	बर्ग
צייד	हंट्समैन
צייד	हंटर
צייד	शिकारी
צייד	शिकार
דמיטרי	दिमित्री
מסלולים	मार्गों
מסלולים	रूट
מסלולים	ट्रैक
מסלולים	ट्रैक्स
תקליט	रिकॉर्ड
תקליט	रेकार्ड
תקליט	रिकार्ड
ביירות	बेरूत
מסכימה	सहमति
מסכימה	सहमत
מסכימה	सहमत
דיאנה	डायना
חיטה	गेहूँ
חיטה	गेहूं
קלף	कार्ड
רוקי	रॉकी
תקוה	उम्मीद
תקוה	होप
תקוה	आशा
מוט	ध्रुव
חליל	बाँसुरी
חליל	बांसुरी
חליל	खलील
פורסט	फॉरेस्ट
משקף	परावर्तन
משקף	ग़ौर
משקף	प्रतिबिंबित
משקף	परावर्तक
אסטרטגי	सामरिक
אסטרטגי	रणनीतिक
נכחד	विलुप्त
רוחנית	आध्यात्मिक
לגדל	उठाएँ
משלוח	वितरण
משלוח	डिलीवरी
משלוח	शिपिंग
דילן	डायलन
דילן	डिलन
סטריט	सड़क
סטריט	गली
בפורטוגזית	पुर्तगाली
וגאס	वेगास
רדיוס	त्रिज्या
רדיוס	दायरा
לסטר	लीसेस्टर
לסטר	लेस्टर
אמילי	एमिली
אלכסנדריה	एलेक्जेंड्रिया
להמיר	रूपांतरित
להמיר	बदलें
אוגנדה	कैंडल
אוגנדה	युगांडा
תלונות	शिकायतें
תלונות	शिकायत
האמירויות	अमीरात
פרווה	फर
פנמה	पनामा
ייחוס	आरोपण
הבריחה	एस्केप
פיגועים	हमलों
פיגועים	हमले
התחלתי	शुरू
התחלתי	प्रारंभ
תדירות	फ़्रीक्वेंसी
תדירות	आवृत्ति
אבחון	निदान
אבחון	नैदानिक
אבחון	निदान
אבחון	निदान
אירופי	यूरोपियाई
אירופי	यूरोपीय
משתתפת	भागीदार
קרנות	निधि
התודעה	चेतना
הקיום	वजूद
הקיום	अस्तित्व
אינטרסים	रुचियाँ
אינטרסים	रुचियों
אינטרסים	रूचि
רוברטס	रॉबर्ट्स
התועלת	उपयोगिता
דלתא	डेल्टा
תואם	संगत
תואם	मैचिंग
תואם	मिलान
גולד	सोने
גולד	सोना
גולד	गोल्ड
גולד	स्वर्ण
גולד	सुनहरा
דוכסות	duchy
קית	कीथ
קית	कैथ
ציריך	ज़्यूरिख़
ציריך	ज्यूरिख
נלהב	उन्मादपूर्ण
נלהב	उत्साही
מקסימלי	अधिकतम
מסגרות	ढांचा
מסגרות	फ्रेम
מסגרות	फ़्रेम
מסגרות	गठन
מסגרות	फ्रेम्स
דקדוק	व्याकरणिक
דקדוק	व्याकरण
המגיעים	आमद
אלקטרוניקה	इलेक्ट्रॉनिक्स
קנטור	cantor
נאש	nash
אפריקני	अफ्रीकी
אפריקני	अफ़्रीकी
דלה	देला
שודדי	हमलावरों
שודדי	लुटेरों
צמיחה	वृद्धि
צמיחה	विकास
שוחט	कसाई
הרצף	सातत्यक
רוזה	रोज़ा
רוזה	रोजा
הפסנתר	पियानो
הקמפיין	अभियान
פקיד	क्लर्क
מעשיות	कथाएं
מעשיות	किस्से
להירשם	रजिस्टर
להירשם	पंजीकरण
שפם	मूंछ
שפם	मूंछ
עצר	रोका
נכשלה	असफल
נכשלה	विफल
רומנטית	रोमांटिक
תו	व्याख्या
תו	नोट
תו	कैरेक्टर
תו	वर्ण
תו	अक्षर
ברונו	ब्रूनो
אדגר	एडगर
סידן	कैल्सियम
סימטריה	सममिति
צעירות	युवा
צעירות	जवान
צעירות	यंग
זורמים	बहती
מושלמת	सही
מושלמת	परफेक्ट
מושלמת	परिपूर्ण
מושלמת	पूर्ण
לוקחת	लेने
יומני	डायरी
עמוקים	दीप
עמוקים	गहरी
עמוקים	गहरा
עמוקים	गहन
ספורטאי	एथलीट
ספורטאי	खिलाड़ी
ספין	स्पिन
כחולה	नीला
כחולה	डीलक्स
כחולה	ब्लू
לירי	गीतात्मक
שניתנו	दी
שניתנו	दिया
שניתנו	दिए
תצלומים	छायाचित्र
גרייס	कृपा
גרייס	ग्रेस
גרייס	अनुग्रह
ההתחלה	शुरुआत
ההתחלה	आरम्भ
ההתחלה	शुरूआत
מיושב	आबादी
מונד	monde
ירוקה	हरित
ירוקה	हरी
ירוקה	हरा
ירוקה	ग्रीन
נאצי	नाजी
קראוס	krauss
לחלץ	निकालें
מאכלים	भोजन
מסוכנים	खतरनाक
טקסים	कर्मकांड
טקסים	कर्मकाण्ड
טקסים	संस्कार
טקסים	संस्कार
עתידי	भविष्य
קנט	केंट
ימני	सही
סלובניה	स्लोवेनिया
סלובניה	स्लोवेनियाई
גרילה	छापामार
תם	टैम
להיטים	हिट
להיטים	हिट्स
ברוקלין	ब्रुकलीन
האשים	आरोपी
האשים	अभियुक्त
שמיעה	सुनवाई
שמיעה	सुनने
שמיעה	सुनना
מיגל	मिगुएल
וויליאם	विलियम
יואן	युआन
שמיים	आसमानी
שמיים	आकाश
שמיים	आसमां
שמיים	आसमान
שמיים	आसमान
וולפגנג	वुल्फगांग
שרמן	शरमन
משולבים	संयोजित
משולבים	संयुक्त
איגור	इगोर
ראול	राउल
סויוז	सोयुज
מיה	मिया
תסמינים	लक्षण
נכנע	आत्मसमर्पण
נכנע	उपज
החלום	ड्रीम
החלום	सपने
החלום	ख्वाब
החלום	स्वप्न
החלום	सपना
חרושת	फ़ैक्टरी
חרושת	कारखाना
חרושת	फैक्ट्री
חרושת	फैक्टरी
התבוסה	हार
התבוסה	शिकस्त
תאוצה	त्वरण
בהתנדבות	स्वैच्छिक
בהתנדבות	voluntary
מפורש	सुस्पष्ट
גולגולת	खोपड़ी
גולגולת	कपाल
אופיינית	ठेठ
קניין	खरीदार
מוטל	मोटल
הולנדית	डच
מלצר	वेटर
סוציולוגיה	समाजवाद
סוציולוגיה	समाजशास्त्र
מנות	बर्तन
הבעלות	स्वामित्व
קירוב	सन्निकटन
פרוסט	तुषार
פטיש	हथौड़ा
עורק	धमनी
עורק	धमनियों
אלימה	हिंसक
מעריך	सराहना
מעריך	कद्र
משמעותיות	सार्थक
מכריז	घोषित
