and	un
single	vienreizēja
single	vienots
single	vienotais
included	iekļāva
included	iekļauta
included	iekļauti
included	iekļautas
included	iekļauts
align	izlīdzināt
align	saskaņot
home	mājās
home	home
home	mājas
home	majas
women	sievietes
television	televizors
television	televīzijas
television	televīzija
seed	sēklu
seed	sēklas
member	deputāts
member	loceklis
member	biedrs
goals	mērķi
goals	mērķus
sources	avoti
book	grāmata
book	grāmatiņa
book	grāmatu
station	stacija
station	stacijā
station	stacijas
order	pasūtījums
order	kārtība
order	pasūtīt
order	rīkojums
order	secība
old	vecā
old	veca
old	veci
old	vecs
information	informācija
set	komplekts
set	kopa
set	uzstādīt
own	paša
own	pašu
text	teksts
band	josla
band	joslas
point	punkts
point	point
local	vietējie
local	vietējā
local	vietējais
local	lokāla
local	lokālā
around	ap
around	apkārt
river	upe
river	upes
top	top
top	tops
top	augšējā
top	augšējais
main	galvenais
main	galvenās
main	galvenā
language	valoda
french	francijas
french	franču
https	https
named	nosaukta
named	nosaukts
off	nost
off	off
off	izslēgts
note	piezīme
career	karjeru
career	karjera
career	karjeras
original	oriģināls
original	sākotnējais
original	oriģinālā
original	sākotnējā
original	oriģināli
original	oriģināla
age	vecums
service	serviss
service	apkalpošana
service	pakalpojumu
service	dienests
service	pakalpojums
established	izveidots
located	atrodas
said	teica
said	pateikts
website	mājaslapa
website	mājaslapā
population	populācija
population	iedzīvotāji
air	gaiss
german	vācijas
german	vācietis
german	vācu
law	tieslietas
law	likums
military	militāra
military	militārie
military	militārā
military	militāri
military	militāro
great	liels
great	liela
great	lieliska
great	lieliski
clubs	klubi
clubs	klubiem
clubs	klubos
published	publicēts
published	publicēta
president	prezidents
president	priekšsēdētāja
president	priekšsēdētājs
park	park
park	parkā
park	parka
park	parks
official	amatpersona
official	ierēdnis
case	gadījums
case	lieta
london	londona
london	londonā
london	london
times	laiki
small	mazas
small	mazās
small	mazie
small	maza
small	mazs
third	trešā
third	trešais
different	atšķirīgi
different	dažādi
different	atšķirīgs
different	dažādas
get	iegūsti
get	dabūt
village	ciema
village	ciemata
village	ciems
village	ciematu
village	ciemu
village	ciemats
closed	slēgta
closed	slēgti
closed	slēgts
closed	slēgtas
art	māksla
art	art
player	spēlētājs
final	galīgais
final	galīgo
final	gala
final	galīgā
community	kopienu
community	kopienas
community	kopiena
again	atkal
again	vēlreiz
began	sākās
army	armijas
army	armija
award	apbalvošana
award	balva
award	piešķiršana
award	piešķiršanas
without	bez
death	nāve
death	nāves
built	celta
built	būvēts
built	uzbūvēts
built	veidots
built	būvēti
built	būvēta
men	vīriešiem
men	vīri
men	vīrieši
large	lielie
large	liels
large	lielas
large	lieli
large	liela
large	lielā
site	vietne
site	vieta
deletion	dzēšanu
deletion	dzēšana
white	balti
white	balta
white	balts
white	baltais
white	baltā
five	piecus
five	piecas
five	pieciem
five	pieci
central	centrālā
central	centrālais
central	centrālās
road	autoceļš
road	ceļš
children	bērnus
children	bērniem
children	bērni
free	bezmaksas
free	brīva
free	free
free	brīvs
took	ieņēma
took	paņēma
took	ņēma
england	anglija
england	england
england	angliju
include	iekļaut
include	ietvert
include	ietver
association	apvienība
association	biedrība
association	asociācija
down	leju
down	lejā
down	lejup
given	dots
given	dota
given	dotas
source	avots
california	kalifornijas
man	cilvēks
man	vīrietis
man	vecīt
version	redakcija
version	versija
written	rakstisks
written	rakstveida
written	uzrakstīts
written	rakstiska
created	radīta
created	radīts
created	izveidots
created	radīti
created	izveidota
media	media
media	mediji
media	mediju
black	melnā
black	melni
black	melna
black	melnas
black	melns
report	ziņot
report	ziņojums
building	ēkas
building	ēka
take	ņemt
take	ņem
division	divīzija
division	rajons
division	dalīšana
comment	komentārs
comment	komentēt
king	king
king	karalis
king	ķēniņš
edit	labot
edit	rediģēt
stadium	stadionā
stadium	stadions
died	nomira
died	mira
ship	kuģis
research	pētījumi
research	pētniecības
research	pētniecība
research	izpēte
record	rekords
record	ieraksts
archive	arhīvā
archive	arhīvs
archive	arhīva
places	vietām
places	vietas
undo	atsaukt
cup	kauss
records	uzskaite
records	ieraksti
records	pieraksti
few	maz
received	saņemts
received	saņemtas
received	saņemtās
received	saņemti
received	saņēma
side	pusē
side	side
power	power
power	jaudas
power	jauda
power	vara
education	izglītība
know	zinu
know	zinām
know	zināt
category	kategoriju
category	kategorija
category	kategorijā
water	ūdeni
water	ūdenī
water	ūdens
political	politiskā
species	suga
species	sugas
field	lauks
field	lauka
field	laukā
near	tuvu
near	netālu
australia	austrālija
video	video
need	vajag
need	vajadzība
need	nepieciešams
need	nepieciešamība
island	sala
form	forma
find	atrodi
find	meklēt
find	atrast
served	kalpoja
play	atskaņot
play	play
play	spēlē
play	spēlēt
project	projekta
project	projekts
radio	radio
works	būvdarbi
works	darbi
proposed	ierosināts
proposed	ierosinātā
proposed	ierosināta
proposed	piedāvātais
proposed	ierosinātie
development	attīstība
development	izstrāde
development	attīstīšana
example	piemērs
live	dzīvas
live	dzīvot
live	dzīvi
live	dzīvo
live	live
live	tiešraide
union	savienības
union	savienība
india	indija
india	indijā
india	indijas
next	next
next	nākamais
next	nākamā
next	nākamo
next	nākošais
special	īpaša
special	īpašais
special	īpašs
special	īpašā
special	īpaši
court	tiesa
court	palāta
region	reģions
little	maz
little	maza
little	mazais
short	īsa
short	īsais
short	īsā
short	īsi
short	īss
william	viljams
province	province
province	ils
western	rietumu
western	western
son	dēls
france	franciju
france	francijā
france	francija
france	france
council	padomes
council	padome
council	padomi
others	citas
others	citi
others	pārējie
royal	royal
royal	karaļa
current	pašreizējais
current	pašreizējo
current	pašreizējie
current	strāva
current	pašreizējā
street	iela
full	pilnu
full	pilnas
full	pilns
full	pilnā
full	pilni
full	pilna
red	sarkani
red	sarkano
red	sarkana
red	sarkanais
red	sarkans
red	sarkanā
too	pārāk
department	departamentā
department	departaments
san	san
help	palīgā
help	palīdzība
help	palīdzēt
help	help
preserved	saglabātas
preserved	saglabāts
james	džeimss
james	džeims
open	atklāts
open	atvērts
open	atvērta
open	atvērt
force	piespiest
force	spēkā
force	spēka
force	spēks
position	amats
position	novietojums
position	pozīcija
head	vadītājs
head	galvu
head	galvas
head	galva
director	direktora
director	direktors
director	direktore
director	režisors
father	tēvam
father	tēva
father	tēvs
track	celiņš
track	celiņa
track	trases
track	celiņu
http	http
canada	kanāda
never	nekad
australian	austrālijas
george	džordžs
jpg	jpg
level	līmenis
late	vēlu
late	novēloti
summer	vasarai
summer	vasara
summer	vasarā
society	sabiedrība
moved	pārcelts
moved	pārcelta
moved	pārcelti
moved	pārvietots
office	birojs
office	biroja
office	biroju
period	laikposms
period	periods
championship	čempionāts
championship	motokrosā
championship	čempionāta
round	apaļš
round	apaļi
round	kārta
round	apaļa
story	stāsts
songs	dziesmas
file	faila
file	fails
file	failu
days	dienām
days	dienās
days	dienas
land	zemi
land	zeme
land	zemes
business	bizness
business	uzņēmējdarbība
reason	iemesls
america	amerika
america	amerikā
america	ameriku
million	miljons
million	miljoni
european	eiropas
european	eiropietis
term	termins
term	apzīmējums
six	sešus
six	seši
six	sešas
post	amats
post	pasts
post	post
why	kapēc
why	kādēļ
why	kāpēc
produced	ražoti
produced	ražota
produced	ražotas
produced	saražots
produced	ražots
making	padarot
subject	subjekts
subject	temats
subject	objekts
subject	tēma
young	jauni
total	kopā
david	deivids
david	dāvids
david	david
science	zinātnes
science	zinātne
related	saistīts
rock	akmens
rock	rock
railway	dzelzceļš
become	kļūt
become	kļuvis
led	led
led	vadīja
students	studenti
students	skolēni
students	studentiem
started	sākts
started	sākta
started	sākās
news	jaunumi
news	ziņas
described	aprakstīts
described	aprakstītas
described	aprakstīta
described	raksturotas
described	aprakstītais
role	loma
role	lomu
election	ievēlēšana
election	vēlēšanās
election	vēlēšanas
albums	albumus
present	pašreizējais
present	klāt
present	tagadni
indian	indiešu
indian	indijas
kingdom	karaliste
books	grāmatas
important	svarīgs
important	svarīga
important	svarīgas
important	svarīgi
important	nozīmīgs
northern	ziemeļu
love	mīlestība
love	mīli
love	love
love	mīla
love	mīlu
run	darbināt
run	skrien
run	palaist
canadian	kanādas
press	spied
press	nospiest
press	preses
press	nospied
press	prese
type	tips
type	veids
act	akts
act	act
act	rīkoties
editor	redaktors
came	atnācu
came	atnāca
schools	skolas
schools	skolām
program	programmā
program	programma
program	programmu
issue	emitēt
issue	izdot
social	sociāla
social	sociālie
social	sociālais
social	sociālā
social	sociāls
germany	vācijas
germany	vācija
germany	vācijā
production	ražošana
production	produkcija
male	vīrietis
male	vīriešu
male	tēviņi
male	vīrieši
awards	apbalvošana
awards	balva
awards	balvas
points	punkti
points	punktus
similar	līdzīgs
similar	līdzīgi
similar	līdzīgas
similar	līdzīga
professional	profesionālā
professional	profesionāls
professional	profesionāli
professional	profesionālais
professional	speciālists
professional	profesionāla
say	pateikt
say	saki
say	teikt
background	fons
background	fona
enough	pietiek
enough	pietiekami
enough	pietiks
lead	svins
lead	svina
lead	svinu
common	kopējo
common	bieži
overlap	pārklājas
overlap	pārklāšanās
data	dati
color	krāsu
color	krāsa
better	labāku
better	labāka
better	labāk
better	labāki
better	labāks
person	cilvēks
person	persona
services	dienesti
services	pakalpojumi
bgcolor	bgcolor
museum	muzeju
museum	muzeja
museum	muzejā
museum	muzejs
battle	kaujā
battle	kauja
battle	cīņa
battle	kaujas
sports	sporta
sports	sports
already	jau
currently	pašlaik
currently	pašreiz
currently	šobrīd
currently	patlaban
hall	zālē
buildings	ēkas
buildings	celtnes
historic	vēsturisks
historic	vēsturiska
historic	vēsturisko
historic	vēsturiski
historic	vēsturiskais
historic	vēsturiskas
date	datums
deleted	svītrots
deleted	svītroti
considered	uzskatīja
considered	uzskatīts
considered	apsvērta
considered	uzskatīta
change	mainīt
change	maiņa
change	izmaiņas
change	pārmaiņas
location	vieta
location	novietojums
seems	šķiet
yes	jā
our	mūsu
southern	dienvidu
lost	zaudēti
lost	pazaudēts
lost	zaudēja
lost	pazudis
lost	zaudēts
something	kautkas
review	pārskatīšana
review	pārskatīt
review	pārskats
together	kopā
robert	roberts
fact	fakts
less	mazāk
japanese	japānas
japanese	japāņu
groups	grupām
groups	grupas
content	saturu
content	saturs
involved	iesaistītas
involved	iesaistīts
involved	iesaistīta
isbn	isbn
board	valdi
japan	japāna
control	kontrole
control	kontroles
control	kontrolēt
policy	politika
policy	politikā
policy	politikas
modern	mūsdienu
modern	modernā
modern	moderni
modern	moderns
modern	moderna
human	cilvēks
human	cilvēka
human	cilvēku
half	pusi
design	dizaina
design	dizains
design	projektēšana
design	konstrukcija
event	notikums
events	notikumi
events	notikumiem
events	pasākumi
available	pieejams
available	pieejami
available	pieejamas
available	pieejama
available	pieejamie
done	paveikts
done	darīts
done	izdarīts
washington	vašingtonas
real	reāli
real	īstais
real	īsta
real	reālā
real	reālās
real	īstas
start	sākt
start	palaist
start	sākums
start	starts
personal	personiska
personal	personīgie
personal	personīgais
personal	personīgā
personal	personīga
action	rīcība
space	telpa
space	kosmoss
areas	jomas
areas	apgabali
areas	teritorijas
areas	platības
star	star
star	zvaigzne
really	patiešām
really	tiešām
china	ķīna
china	china
possible	iespējamie
possible	iespējams
possible	iespējamā
possible	iespējama
paul	pauls
paul	pols
working	darbs
working	strādāt
working	darba
working	strādājam
working	strādā
taken	ņemta
taken	ņemts
taken	veikti
far	tālu
going	braucam
minister	ministre
minister	ministrs
minister	ministra
lake	ezera
lake	ezers
reported	ziņoja
reported	ziņots
popular	tautas
popular	populāra
popular	populārs
married	precējusies
married	precējies
founded	dibināta
founded	dibināts
europe	eiropa
europe	europe
author	autors
author	autore
away	prom
independent	neatkarīgais
independent	neatkarīgi
independent	neatkarīga
independent	neatkarīgs
independent	neatkarīgas
process	process
process	procesā
teams	komandām
teams	komandas
character	rakstzīme
character	raksturu
character	raksturs
low	zema
low	zemā
low	mazs
low	zems
michael	maikls
michael	michael
pages	lapas
pages	lappuses
light	gaismu
light	gaišs
light	gaismas
light	gaisma
light	gaiši
big	liels
big	lielais
big	lieli
big	liela
big	lielā
seen	redzējusi
seen	redzēti
seen	redzējuši
seen	redzējis
release	atlaist
release	atbrīvot
release	izlaišana
release	atbrīvošana
want	gribu
want	gribam
want	gribi
want	grib
episode	epizode
episode	epizodi
wrote	rakstīja
wrote	uzrakstīju
wrote	uzrakstīja
republic	republika
republic	republikas
thomas	tomass
companies	uzņēmējsabiedrības
companies	kompānijas
companies	uzņēmumi
via	caur
via	via
russian	krievu
russian	krieviski
russian	krievs
russian	krievijas
thanks	pateicība
thanks	paldies
put	nolikt
put	ielikt
race	sacensības
race	rase
race	skrējiens
race	sacīkstes
worked	strādāja
route	maršruts
recorded	ierakstīti
recorded	reģistrētais
someone	kāds
someone	kādam
civil	civilā
civil	civiliem
civil	civilās
police	policija
police	policijā
police	policiju
police	policijas
charles	kārlis
charles	čārlzs
listed	uzskaitītie
listed	uzskaitītas
listed	uzskaitīti
listed	uzskaitīts
users	izmantotāji
users	lietotāji
template	sagatavi
template	paraugs
eastern	austrumu
body	ķermeņa
body	ķermenis
question	jautājums
question	jautājumu
italian	itāļu
italian	itāliešu
italian	itālijas
week	nedēļa
week	nedēļā
week	nedēļu
editors	redaktoriem
texas	teksasas
chief	priekšnieks
close	aizvērt
close	tuvu
match	atbilstība
match	atbilst
match	sakritība
match	mača
match	sakrīt
roman	romāns
roman	romans
roman	romiešu
come	nāc
tour	ekskursija
tour	tūre
tour	tour
sea	jūra
actually	patiesībā
actually	faktiski
actually	īstenībā
cross	krustu
cross	krusta
cross	krusts
playing	spēlē
playing	spēlējas
playing	spēlējot
health	veselības
health	veselību
health	veselība
institute	institūts
institute	institūtā
caps	vāciņi
forces	spēkus
forces	spēki
green	zaļas
green	zaļa
green	zaļā
green	zaļš
green	zaļi
rights	tiesības
evidence	pierādījumi
evidence	pierādījums
originally	sākotnēji
aircraft	lidmašīnas
aircraft	lidaparāti
arts	māksla
range	diapazons
consensus	vienprātība
bar	bāri
bar	bar
bar	bārs
bar	stienis
problem	problēmu
problem	problēma
problem	problēmas
look	ieskaties
look	izskaties
look	skaties
look	skatiens
issues	jautājumi
alumni	absolventi
average	vidējais
average	vidēji
average	vidējā
network	tīkls
network	tīkla
win	win
win	laimē
win	uzvarēt
shows	parāda
shows	rāda
wife	sievas
wife	sieva
night	nakts
night	naktī
night	nakti
magazine	žurnāls
magazine	magazine
centre	centrs
centre	centrā
centre	centra
usually	parasti
completed	pabeigti
completed	pabeigts
completed	pabeigta
elected	ievēlēta
elected	ievēlēti
elected	ievēlēts
significant	nozīmīga
significant	nozīmīgs
significant	ievērojams
significant	nozīmīgas
african	āfrikas
able	spējīgs
able	spēj
google	google
stage	posms
stage	stadija
addition	pievienošana
ireland	īrija
ireland	īrijā
today	šodien
academy	akadēmijas
academy	akadēmija
academy	akadēmijā
academy	academy
saint	svētais
saint	saint
self	sevis
self	sevi
continued	turpinājās
continued	turpinājums
stations	stacijas
mother	māte
mother	mātes
appeared	parādījās
africa	āfrika
culture	kultūra
spanish	spāņu
spanish	spānijas
grand	grand
committee	komiteju
committee	komiteja
things	lietas
fire	ugunsgrēks
fire	uguns
fire	uguni
changed	mainījies
changed	mainītas
changed	mainīta
changed	mainīts
gold	zeltā
gold	zelta
gold	zelts
female	sieviete
female	sievietes
female	sieviešu
course	kursa
course	kursu
course	kurss
course	kursā
directed	vērsta
directed	virzīta
directed	vērsts
months	mēnešus
months	mēnešiem
months	mēneši
chinese	ķīnas
chinese	ķīnieši
chinese	ķīnietis
chinese	ķīniešu
previous	iepriekšējā
previous	iepriekšējais
previous	iepriekšējās
previous	iepriekšējie
developed	attīstīta
developed	attīstītas
developed	izstrādāti
developed	izstrādāts
developed	attīstītajām
size	izmers
size	lielums
size	izmērs
mentioned	pieminēts
mentioned	minēts
mentioned	pieminēja
add	pievienot
festival	festivāls
festival	svētki
peter	pīters
peter	pēteris
basketball	basketbola
basketball	basketbols
basketball	basketball
move	pārvietot
move	gājiens
move	pārvietoties
performance	sniegums
performance	veiktspēja
standard	standartam
standard	standarta
standard	standarts
means	līdzekļi
means	nozīmē
give	iedot
give	dod
give	dot
give	dodiet
training	apmācības
training	apmācību
training	mācības
training	mācību
training	apmācība
artist	izpildītājs
artist	māksliniece
artist	mākslinieks
word	vārdu
blue	zilais
blue	zils
blue	zila
blue	zilā
primary	primārās
primary	primāra
primary	primārie
primary	primārā
primary	primārais
announced	paziņots
announced	paziņoja
value	vērtība
christian	kristians
christian	kristiešu
christian	kristiāns
private	privāti
private	privāta
private	privātie
private	private
private	privātais
private	privāts
catholic	katoļu
artists	mākslinieku
artists	māksliniekiem
artists	izpildītāji
artists	mākslinieki
includes	ietilpst
includes	ietver
view	skats
view	apskatīt
almost	gandrīz
almost	teju
baseball	beisbola
baseball	beisbolu
seven	septiņi
seven	septiņas
appears	rādās
ever	kādreiz
ever	ever
ever	jebkad
provide	sniegt
technology	tehnoloģija
technology	tehnoloģiju
technology	tehnoloģijas
olympics	olimpiāde
future	nākotnes
future	nākotne
future	nākotnē
future	nākotni
formed	veidojas
formed	veidoti
census	skaitīšana
images	attēli
images	attēlus
results	rezultāti
results	rezultātus
return	atdeve
return	atgriešanas
return	atgriešanās
quality	kvalitāte
quality	kvalitātes
construction	celtniecība
construction	būve
construction	uzbūve
construction	būvniecība
construction	konstrukcija
front	priekšējais
front	fronte
front	priekšpusē
front	priekšā
front	priekšējie
cover	vāks
cover	vāka
cover	segums
cover	segtu
model	modelis
model	model
model	modele
model	paraugs
read	lasi
read	lasīt
material	materiāli
material	materiāls
strong	stiprs
strong	spēcīgs
strong	stipra
strong	spēcīgi
strong	stipri
strong	spēcīga
coach	treneris
coach	treneri
henry	henrijs
footballers	futbolisti
mark	atzīmēt
mark	zīme
mark	marks
rev	rev
organization	organizācija
studies	pētījumi
federal	federālā
federal	federālais
richard	rihards
richard	ričards
html	html
virginia	virdžīnija
car	auto
car	automašīna
car	automobilis
car	mašīna
attack	uzbrukums
attack	uzbrukumu
attack	uzbrukt
attack	uzbrukumā
conference	konference
conference	konferencē
outside	ārpusē
outside	ārpus
outside	ārpuses
study	pētījums
study	izpēte
study	pētījuma
brother	brālim
brother	brālis
brother	brāli
names	nosaukumi
names	vārdi
writer	rakstnieks
characters	rakstzīmes
characters	zīmes
musical	mūzikas
musical	muzikāls
nothing	neko
nothing	nekas
border	robežas
border	robeža
medical	medicīnas
medical	medicīniskā
countries	valstīm
countries	valstis
past	pagātni
past	pagātnes
past	pagātne
writing	rakstīšana
writing	raksta
writing	rakstot
makes	padara
interest	procentiem
interest	procentus
interest	procenti
interest	interese
killed	nogalināti
killed	nogalināts
killed	nogalinājis
killed	nogalināja
medal	medaļu
medal	medaļa
signed	parakstījis
signed	parakstīta
signed	parakstīts
label	etiķetes
label	marķējums
label	etiķete
fair	godīgi
fair	taisnīgs
fair	taisnīgi
fair	taisnīga
fair	godīgu
fair	godīgs
search	meklēt
search	meklēšana
bay	līcis
bay	sekcija
reference	atsauces
reference	atsauce
especially	īpaši
removed	izņemti
removed	izņemts
removed	noņemts
library	bibliotēka
library	bibliotēkā
library	bibliotēku
library	bibliotēkas
management	pārvaldība
management	apsaimniekošana
management	vadība
management	pārvaldības
references	rekomendācijas
references	atsauces
features	pazīmes
features	iezīmes
guitar	ģitāra
hill	kalnā
sure	drošs
sure	pārliecināts
historical	vēsturisks
historical	vēsturiskā
historical	vēsturisko
historical	vēsturiski
historical	vēsturiskais
historical	vēsturiskas
lower	zemākā
lower	apakšējā
lower	zemāka
lower	zemākas
lower	zemāks
daughter	meitu
daughter	meita
appointed	iecelti
appointed	iecelta
appointed	iecelts
reading	lasīšana
reading	lasījumā
yet	vēl
systems	sistēmas
debut	pirmizrādi
movement	kustība
movement	kustību
specific	specifiskas
specific	īpašie
always	vienmēr
actor	aktieris
natural	dabīgais
natural	dabas
natural	dabīgs
natural	dabiskā
natural	dabīgi
clear	skaidra
clear	skaidri
clear	skaidrs
clear	dzidrs
coast	krasts
coast	piekraste
got	saņēmu
chicago	čikāgas
championships	hokejā
pennsylvania	pensilvānija
ten	desmit
ten	ten
performed	veikts
individual	individuāla
individual	individuālā
individual	individuāli
designed	projektēta
designed	projektēts
designed	konstruēti
rule	noteikums
etc	etc
etc	utt
lists	sarakstus
lists	saraksti
lists	sarakstiem
paris	paris
paris	parīzē
paris	parīze
paris	parīzes
thought	domāja
thought	doma
thought	domāju
thought	likās
brown	brauns
brown	brūnais
brown	brūna
brown	brūns
hand	roku
hand	roka
needs	vajadzībām
needs	vajag
needs	vajadzības
reliable	ticami
reliable	uzticams
reliable	uzticami
reliable	uzticama
smith	smith
smith	smits
generally	parasti
base	pamatne
base	pamats
base	bāze
sometimes	dažkārt
sometimes	reizēm
sometimes	dažreiz
florida	florida
capital	kapitāls
