strasbourg	strasbourg
destinatie	destinationen
destinatie	resmål
hawaii	hawaii
sunetul	sound
sunetul	ljudet
sunetul	ljud
xbox	xbox
gama	gamma
baby	bebis
baby	älskling
evaluarea	värderingen
evaluarea	värdering
evaluarea	bedömning
evaluarea	utvärdering
evaluarea	utvärdering
evaluarea	bedömning
danez	danskt
danez	dansk
danez	danska
raportat	anmälda
raportat	anmäld
raportat	rapporterade
raportat	anmält
raportat	rapporterat
raurilor	floder
raurilor	vattendrag
raurilor	floderna
raurilor	rivers
paula	paula
acoperis	tak
acoperis	taket
acoperis	tak
acoperis	taket
acoperis	tak
acoperis	taket
acoperis	tak
legala	rättsligt
legala	rättslig
legala	lagligt
legala	juridiska
legala	rättsliga
civili	civila
elisabeth	elisabet
elisabeth	elisabeth
citeste	läs
citeste	läst
citeste	läser
citeste	läsa
citeste	läste
citeste	läs
citeste	läst
citeste	läser
citeste	läsa
citeste	läste
variate	varierad
variate	varierade
variate	varierat
variate	varierande
bros	bros
prabusit	störtade
prabusit	kraschade
prabusit	kraschat
prabusit	rasat
prabusit	kollapsade
prabusit	kollapsat
clasificate	klassificerat
clasificate	klassificeras
clasificate	klassificerade
clasificate	annonser
pic	befälhavare
pic	pic
pic	plc
administrare	förvaltning
administrare	administration
cereale	säd
cereale	spannmål
cereale	spannmål
cereale	spannmål
cereale	flingor
warren	warren
parlamentara	parlamentarisk
parlamentara	parlamentariska
ferenc	ferenc
pictori	målare
stein	stein
basel	basel
doo	doo
étienne	étienne
trafic	trafik
trafic	trafiken
baraj	dam
baraj	dammen
baraj	damm
absolvent	examen
islamica	islamisk
islamica	islamistiska
islamica	islamiska
islamica	islamska
deriva	driva
deriva	drift
deriva	drivande
deriva	driver
deriva	driva
deriva	drift
balta	damm
aires	aires
roberts	roberts
kingdom	kingdom
kingdom	kungarike
kingdom	rike
kingdom	kungariket
amandoi	båda
amandoi	både
statuie	staty
tennessee	tennessee
mostenirea	arv
mostenirea	efterlevande
mostenirea	arv
oslo	oslo
turner	turners
turner	turner
adaugate	tillagda
adaugate	tillagt
adaugate	tillagd
adaugate	tillsatt
beta	beta
aripi	vingar
aripi	wings
golf	golf
golf	golfen
interzisa	förbjudna
interzisa	förbjuden
interzisa	förbjudet
interzisa	förbjudna
interzisa	förbjuden
interzisa	förbjudet
numirea	förordnande
numirea	möte
numirea	utnämning
numirea	tillsättning
contactul	kontakt
contactul	kontakta
java	java
alexandre	alexandre
siberia	sibirien
inspector	kommissarien
inspector	kommissarie
inspector	inspektör
inspector	inspektören
ocean	oceanen
ocean	havet
ocean	hav
ocean	ocean
claudia	claudia
placut	gillade
placut	gillat
placut	omtyckt
placut	behaglig
placut	behagligt
evans	evans
edge	kant
edge	edge
edge	kanten
declaratie	uttalande
declaratie	förklaring
declaratie	deklarationen
declaratie	försäkran
declaratie	deklaration
discursul	tal
discursul	anförande
discursul	talet
alabama	alabama
folosire	användning
tabel	bordet
tabel	bord
tabel	tabell
indiei	indiska
indiei	india
indiei	indiskt
indiei	indien
keith	keith
asigurata	försäkrade
corrèze	corrèze
emise	utfärdat
emise	utfärdad
emise	utfärdade
emise	utgivna
campionatele	mästerskap
campionatele	championships
louisiana	louisiana
baschet	basket
baschet	basketboll
organ	organ
organ	organet
hotelul	hotell
hotelul	hotellet
hotelul	hotel
oarecum	någorlunda
oarecum	något
finistère	finistère
tranzitie	övergång
tranzitie	övergången
distante	avstånd
distante	sträckor
distante	avstånd
distante	sträckor
cald	hett
cald	hot
cald	snygg
cald	heta
cald	varmt
cald	varma
cald	varm
cald	värma
cald	varmt
adanc	djup
adanc	djupa
adanc	deep
adanc	djupt
adanc	djup
adanc	djupa
adanc	deep
adanc	djupt
salvare	frälsning
salvare	räddning
salvare	räddning
salvare	rädda
salvare	undsättning
vacanta	helgdag
vacanta	semester
vacanta	högtid
vacanta	semester
vacanta	semester
vacanta	helgdag
vacanta	semester
vacanta	högtid
vacanta	semester
malta	malta
manifestari	yttringar
manifestari	manifestationer
fotbalul	fotboll
radical	radikal
radical	radikala
radical	radikalt
asalt	misshandel
asalt	angrepp
asalt	överfall
renault	renault
sierra	sierra
specializate	specialiserade
specializate	specialiserad
specializate	specialiserat
specializate	specialiserade
specializate	specialiserat
specializate	specialiserad
buenos	buenos
dificultati	svårighet
dificultati	svårigheter
dificultati	svårighetsgrad
dificultati	svårigheter
raurile	floder
raurile	vattendrag
raurile	floderna
raurile	rivers
tribuna	tribune
lapte	mjölk
grove	grove
grove	lunden
memoriile	memoarer
memoriile	memoarer
viteze	hastigheter
studios	studios
boemia	böhmen
oferind	skryter
oferind	erbjudande
oferind	erbjuda
oferind	erbjuder
letonia	lettland
islanda	island
hanovra	hannover
hanovra	hannover
rahman	rahman
edinburgh	edinburgh
edinburgh	kapstaden
hlist	hlist
silva	silva
democratic	demokratiskt
democratic	demokratiskt
democratic	demokratisk
democratic	demokratiska
distinge	skilja
distinge	särskilja
distinge	urskilja
vrei	want
vrei	vill
strategice	strategiska
strategice	strategisk
strategice	strategiskt
utilizand	använda
utilizand	använder
numeric	numeriska
numeric	numerisk
numeric	numeriskt
simte	feel
simte	känn
simte	känner
simte	känna
lloyd	lloyd
robinson	robinson
oldenburg	oldenburg
controverse	polemik
controverse	kontroverser
lunile	månaderna
lunile	månader
lunile	månaders
rase	raser
rase	lopp
rase	raser
bordeaux	bordeaux
lectii	lärdomar
lectii	lektioner
lectii	lärdomar
lectii	lektioner
jay	jay
teste	test
teste	testar
teste	tester
aventuri	äventyr
aventuri	äventyr
autoritati	myndigheter
autoritati	myndigheterna
estimare	uppskattning
estimare	skattning
estimare	uppskattning
estimare	skattning
comparativ	komparativa
comparativ	jämförande
comparativ	jämförelsevis
comparativ	förhållandevis
comparativ	jämförde
comparativ	jämfört
islamice	islamisk
islamice	islamistiska
islamice	islamiska
islamice	islamska
salt	jump
salt	hoppa
salt	hopp
salt	hoppar
salt	salta
salt	salt
tensiune	spänning
tensiune	spända
tensiune	spänningar
tensiune	spänt
tensiune	spänning
lycosa	lycosa
batman	batman
pius	pius
traiasca	leva
traiasca	live
traiasca	levande
exprimate	gips
exprimate	gjutna
exprimate	kasta
exprimate	kastad
exprimate	uttryckte
exprimate	uttryckta
exprimate	uttrycks
exprimate	uttryckt
instalatii	installationer
instalatii	anläggningar
instalatii	installationer
instalatii	anläggningar
romeo	romeo
concomitent	samtidig
arunca	kast
arunca	kasta
arunca	kastar
arunca	slänga
arunca	kast
arunca	kasta
arunca	kastar
arunca	slänga
conservare	bevarande
conservare	konservering
conservare	bevarande
matilda	matilda
recenta	senaste
recenta	nyligen
recenta	senaste
recenta	nyligen
accentul	brytning
accentul	uttal
accentul	accent
accentul	dialekt
trenul	träna
trenul	tåget
trenul	train
trenul	tåg
philodromus	philodromus
bate	beat
bate	slå
bate	slår
bate	fladdermöss
propuse	föreslaget
propuse	föreslagna
propuse	föreslagen
propuse	friade
propuse	friat
manuscris	manuskriptet
manuscris	manus
manuscris	manuskript
tanc	stridsvagn
tanc	tank
veliko	veliko
zguduit	skakad
zguduit	skakas
zguduit	skakat
zguduit	skakade
bolnav	sjuka
bolnav	sjuk
bolnav	sjukt
prix	prix
nguyen	nguyen
afecteaza	påverkar
afecteaza	påverkar
afecteaza	påverka
afecteaza	påverkar
fiice	döttrar
nigeria	nigeria
gust	smak
gust	smaka
gust	smakar
gust	smaken
gilbert	gilbert
minnesota	minnesota
allah	allah
joan	joan
dysdera	dysdera
vila	vila
vila	villan
vila	villa
vila	villan
vila	villa
bor	bor
bor	bor
muncitori	arbetare
muncitori	arbetstagare
györgy	györgy
gabrovo	gabrovo
strategic	strategiskt
strategic	strategiska
strategic	strategisk
strategic	strategiskt
privit	tittat
privit	tittade
privit	bevakade
privit	såg
dennis	dennis
geografia	geografi
miami	miami
lang	lang
bugetul	budgeten
bugetul	budget
matthew	matthew
matthew	matteus
intervalul	avstånd
intervalul	range
intervalul	intervall
intervalul	intervall
wisconsin	wisconsin
strazile	gator
strazile	streets
strazile	gatorna
sunete	ljud
sunete	låter
cablu	kabel
cablu	cable
cablu	kabeln
barajul	dam
barajul	dammen
barajul	damm
autonom	självständig
autonom	autonoma
autonom	självstyrande
autonom	autonom
lucas	lucas
justin	justin
laurent	laurent
lingvistice	språkliga
lingvistice	språklig
lingvistice	språkligt
northern	nordlig
northern	norra
northern	nordliga
zaharia	sakarias
astea	dessa
procedura	förfarandet
procedura	procedur
procedura	förfarande
procedura	förfarandet
procedura	procedur
procedura	förfarande
marx	marx
lector	föreläsare
aprox	ca
gandirea	tänkande
gandirea	tänka
gandirea	funderar
gandirea	tänker
gandirea	tänkte
esential	väsentliga
esential	väsentligt
esential	essentiell
esential	väsentliga
esential	väsentligt
esential	essentiell
navarra	navarra
asimov	asimov
carnivore	köttätare
carnivore	köttätande
repere	slingor
repere	höjdpunkter
repere	belyser
repere	sevärdheter
repere	landmärken
repere	milstolpar
repere	delmål
singapore	sundbyberg
singapore	singapore
interpreta	tolka
acoperire	överdrag
acoperire	beläggning
acoperire	täcka
acoperire	omslag
acoperire	täckning
wells	brunnar
wells	wells
pasare	fågel
pasare	fågeln
pasare	fågel
pasare	fågeln
ocazional	emellanåt
ocazional	ibland
dedesubt	underifrån
dedesubt	nedan
dedesubt	nedanför
atei	ateister
fundul	rumpa
fundul	häck
fundul	stjärt
fundul	rumpan
stadiul	scen
stadiul	etapp
stadiul	stadium
stadiul	skede
springs	fjädrar
springs	springs
detaliate	detaljerade
detaliate	detaljerat
detaliate	detaljerad
detaliate	utförlig
estimat	uppskattad
estimat	beräknad
estimat	uppskattade
estimat	beräknat
estimat	skattad
derivate	derivat
derivate	derivatinstrument
derivate	härledda
derivate	härrör
derivate	härleds
liban	libanon
scaune	stolar
scaune	sittplatser
scaune	platser
scaune	säten
gov	gov
béla	béla
regii	kings
regii	kungar
regii	konungar
regii	kungarna
aparand	framträder
aparand	försvarar
aparand	försvara
aparand	försvarade
emma	emma
persana	persiska
doyle	doyle
efectuarea	uppträda
efectuarea	utför
efectuarea	utförande
efectuarea	uppträder
organe	organen
organe	organ
organe	organ
organe	organet
surori	systrar
goethe	goethe
cazimir	casimir
aug	aug
eforturi	insatser
eforturi	ansträngningar
bobby	bobby
ring	ring
sever	allvarlig
sever	allvarliga
sever	svår
faze	etapper
faze	faserna
faze	faser
pielea	hud
pielea	skinn
pielea	skin
abordare	tillvägagångssätt
abordare	inflygning
vorbind	talande
vorbind	talar
bretagne	bretagne
mina	mina
mina	handen
mina	hand
pactului	pakt
pactului	pakten
cameron	cameron
revistele	tidningar
revistele	tidskrifter
decisiv	beslutsam
decisiv	avgörande
salbatice	wild
salbatice	vilt
salbatice	frilevande
salbatice	vilda
salbatice	vild
noroc	skål
definitia	definition
definitia	definitionen
stins	släcks
averea	rikedom
averea	förmögenhet
averea	välstånd
averea	rikedomar
practicat	övade
practicat	övat
dati	ge
dati	giv
dati	give
tinta	målet
tinta	target
tinta	måltavla
tinta	målet
tinta	target
tinta	måltavla
comunitatile	gemenskaperna
comunitatile	samhällen
comunitatile	gemenskaper
nenumarate	oräkneliga
nenumarate	otaliga
nenumarate	oräkneliga
nenumarate	otaliga
vanzare	försäljning
vanzare	rea
vanzare	salu
vanzare	försäljning
vanzare	rea
vanzare	salu
cunostinta	bekanta
cunostinta	bekant
cunostinta	bekanta
cunostinta	bekant
varul	kusinen
varul	kusin
automata	automat
automata	automatiskt
automata	automatiska
automata	automatisk
refugiati	flyktingar
refugiati	flyktingar
fereastra	fönstret
fereastra	fönster
fereastra	fönstret
fereastra	fönster
rector	rektorn
rector	rektor
propaganda	propaganda
propaganda	propaganda
dominat	domineras
dominat	dominerade
dominat	dominerat
creasca	odla
creasca	växa
creasca	växer
rebel	rebell
ccd	ccd
lantul	kedja
lantul	kedjan
uruguay	uruguay
pascal	pascal
iugoslaviei	jugoslavien
damian	damian
roll	rulla
roll	rulle
preluarea	hämtar
preluarea	övertagande
preluarea	övertagandet
judecator	judge
judecator	domare
judecator	judge
judecator	domare
semneaza	underteckna
semneaza	skylt
semneaza	tecken
semneaza	signera
semneaza	underteckna
semneaza	skylt
semneaza	tecken
semneaza	signera
palermo	palermo
hugh	hugh
termica	termisk
termica	termiskt
termica	termiska
laos	laos
argumentele	argument
uesac	uesac
fir	tråd
fir	ståltråd
fir	tråden
fir	tråd
legiunea	legion
legiunea	legionen
chip	marker
chip	chipset
chip	chip
chip	chips
prefect	prefekt
localizata	ligger
localizata	lokaliserad
localizata	belägen
localizata	lokaliserat
localizata	lokaliserade
localizata	lokaliserad
localizata	lokaliserat
triburile	stammar
mon	mån
mon	mon
lisa	lisa
platoul	platå
pasarile	fåglar
pasarile	fåglar
arcul	båge
arcul	bog
arcul	buga
square	torg
square	square
square	fyrkantig
square	kvadrat
square	fyrkant
square	torget
doc	doc
doc	dok
incet	långsamt
incet	sakta
call	ring
call	call
call	samtal
call	ringa
cerul	himmel
cerul	sky
cerul	himlen
esentiale	väsentliga
esentiale	väsentligt
esentiale	essentiell
transferul	transfer
transferul	överföra
transferul	överlåtelse
transferul	överföring
creatorul	skaparen
creatorul	skapare
companiile	bolag
companiile	företag
silvia	silvia
silvia	sylvia
gibson	gibson
inconjurata	omgiven
inconjurata	omringade
inconjurata	omringad
inconjurata	omringat
viktor	viktor
babes	brudar
babes	babes
babes	brudar
babes	babes
adulti	vuxna
adulti	vuxen
adulti	vuxna
adulti	vuxna
nivele	nivåer
nivele	nivåerna
nivele	nivåer
estadio	estadio
atribuita	tilldelat
atribuita	tilldelad
atribuita	tilldelade
atribuita	tilldelat
atribuita	tilldelad
wood	ved
wood	trä
wood	virke
abc	abc
geo	geo
coordonatele	koordinaterna
coordonatele	koordinater
johan	johan
santos	santos
gif	gif
armament	krigsmateriel
armament	försvarsmateriel
credit	kredit
credit	credit
simfonia	symfoni
visul	dream
visul	dröm
eddie	eddie
intreprinderi	företag
intreprinderi	företag
mir	mir
entitati	enheter
pescuit	fiskeri
pescuit	fisket
pescuit	fiske
pescuit	fiska
pescuit	fisket
pescuit	fiskar
pescuit	fiske
proportie	proportioner
proportie	proportion
proportie	andel
opozitia	motstånd
opozitia	oppositionen
opozitia	invändning
opozitia	opposition
jorge	jorge
atribuite	tilldelat
atribuite	tilldelad
atribuite	tilldelade
atribuite	tilldelat
atribuite	tilldelad
bursa	kamratskap
bursa	brödraskap
bursa	stipendium
bursa	stipendiet
bursa	bursa
bursa	stipendium
bursa	stipendiet
etaje	våningar
etaje	golv
dragomir	dragomir
reciproc	ömsesidigt
reciproc	ömsesidiga
reciproc	ömsesidig
reciproc	inbördes
extra	extra
avansate	avancerad
avansate	avancerat
avansate	avancerade
trenuri	tågen
trenuri	tåg
tratarea	behandlar
antena	maträtt
antena	antenn
antena	antenn
umbra	skugga
umbra	shadow
umbra	skuggan
umbra	skugga
umbra	skuggan
umbra	nyans
umbra	skugga
umbra	shadow
umbra	skuggan
umbra	skugga
umbra	skuggan
umbra	nyans
vocala	vokal
vocala	vokal
creuse	creuse
omorat	mördas
omorat	mördade
omorat	mördats
omorat	mördat
omorat	mördad
omorat	dödade
omorat	dödat
omorat	dödad
omorat	mördad
marturii	vittnesmål
marturii	vittnesbörd
marturii	vittnesmål
marturii	vittnesbörd
marturii	vittnesmål
aaron	aaron
aaron	aron
falls	faller
falls	falls
paraná	paraná
transformare	omvandling
transformare	förvandling
academica	akademisk
academica	akademiker
academica	akademiska
academica	akademiskt
promoveaza	marknadsför
promoveaza	främja
promoveaza	marknadsföra
promoveaza	marknadsför
promoveaza	marknadsföra
digitale	digitala
digitale	digitalt
digitale	digital
abbas	abbas
grafic	diagram
grafic	graf
grafic	grafik
grafic	grafiska
grafic	grafisk
grafic	grafiskt
grafic	diagram
antrenori	tränare
antrenori	utbildare
contul	konto
contul	kontot
pedeapsa	påföljd
pedeapsa	straff
pedeapsa	bestraffning
pedeapsa	straff
pedeapsa	påföljd
pedeapsa	straff
pedeapsa	bestraffning
pedeapsa	straff
mei	mei
sevilla	sevilla
sevilla	sevilla
domnule	sir
domnule	herrn
definite	definierad
definite	definierat
definite	definieras
definite	definierade
pauza	paus
pauza	pausa
pauza	paus
pauza	break
pauza	rast
pauza	bryta
pauza	brytning
pauza	bryt
pauza	paus
pauza	break
pauza	rast
pauza	bryta
pauza	brytning
pauza	bryt
pauza	paus
pauza	pausa
allan	allan
seminarul	seminarium
seminarul	seminariet
globala	globala
globala	global
globala	globalt
torre	torre
conan	conan
brescia	brescia
sarcini	arbetsuppgifter
sarcini	uppgifter
circuitul	kretsar
circuitul	krets
infrant	besegrade
infrant	besegrat
infrant	besegrades
infrant	besegrad
hrusciov	chrusjtjov
roxana	roxana
ferrara	ferrara
string	snöre
string	sträng
string	string
julian	julian
mandatului	mandatperiod
mandatului	mandat
mandatului	mandatet
collins	collins
ontario	ontario
valoroase	värdefullt
valoroase	värdefull
valoroase	värdefulla
pianist	pianist
viet	viet
reclama	reklamfilm
reclama	kommersiell
reclama	kommersiella
reclama	kommersiellt
reclama	annonsera
reclama	reklam
reclama	annonsering
merite	meriter
merite	förtjänster
merite	meriter
merite	förtjänster
merite	merit
tong	tong
comunicatii	kommunikation
comunicatii	meddelanden
comunicatii	kommunikationer
manga	manga
indo	indo
marketing	marknadsföring
marketing	marknadsföringen
montreal	montreal
ribbentrop	ribbentrop
scade	sänkning
scade	minska
scade	minskning
ton	tonfisk
ton	ton
ton	tonfall
cheia	tangent
cheia	nyckel
cheia	key
cheia	nyckeln
britannica	britannica
romanov	romanov
vidin	vidin
mecanice	mekaniskt
mecanice	mekaniska
mecanice	mekanisk
vrh	vrh
hogna	hogna
ascunde	dölj
ascunde	dölja
ascunde	gömma
ascunde	göm
mobil	rörlig
mobil	mobil
mobil	mobila
sean	sean
schi	skidor
schi	ski
schi	skidor
schi	skidåkning
fondarea	grundandet
fondarea	grundande
depozite	lagerlokaler
depozite	insättningar
depozite	inlåning
fictiv	fiktiv
fictiv	fiktiva
fictiv	påhittad
fictiv	fiktiv
fictiv	fiktiva
aeroport	flygplats
aeroport	flygplatsen
aeroport	airport
talentul	begåvning
talentul	talang
talentul	talanger
oklahoma	oklahoma
terestra	landlevande
terestra	markbundna
permisiunea	tillåtelse
permisiunea	behörighet
permisiunea	tillstånd
bernhard	bernhard
nepoata	barnbarn
nepoata	dotterdotter
nepoata	brorsdotter
nepoata	syskonbarn
nepoata	systerdotter
nepoata	barnbarn
nepoata	dotterdotter
nepoata	brorsdotter
nepoata	syskonbarn
nepoata	systerdotter
batut	slagna
batut	misshandlad
batut	slagen
batut	slagna
batut	misshandlad
batut	slagen
pragul	tröskeln
pragul	tröskel
oua	ägg
oua	ägg
aristotel	aristoteles
panchen	panchen
lucilia	lucilia
alpha	alpha
alpha	alfa
atlético	atlético
liudmila	ljudmila
sprijina	stöttar
sprijina	stöder
sprijina	stödjer
tiparita	tryckt
tiparita	tryckta
rica	rica
imnul	hymn
chirurgie	operation
chirurgie	kirurgi
afecta	påverkar
afecta	påverka
madison	madison
icoana	ikonen
icoana	ikon
xinglong	xinglong
amy	amy
klaus	klaus
adriana	adriana
pasi	fotsteg
pasi	steg
pasi	trappsteg
pasi	fotspår
pasi	fotsteg
pasi	fotsteg
pasi	steg
pasi	trappsteg
spatial	rumsliga
spatial	rumslig
legislatia	lagstiftningen
legislatia	lagstiftning
butler	butler
butler	betjänt
discutat	diskuterade
discutat	diskuterat
discutat	diskuterats
discutat	diskuterades
discutat	diskuteras
inutil	meningslös
inutil	meningslösa
inutil	meningslöst
inutil	värdelös
inutil	värdelöst
inutil	värdelösa
inutil	oanvändbar
rolling	rullning
rolling	rullar
rolling	rullande
explicatie	förklaring
explicatie	förklaringar
explicatie	förklaring
explicatie	förklaringar
ritm	rytm
hudson	hudson
nori	molnen
nori	moln
edmund	edmund
mercedes	mercedes
intelectuali	intellektuella
intelectuali	intellektuellt
intelectuali	intellektuell
intelectuali	intellektuella
proprietari	ägare
proprietari	ägarna
protejat	skyddas
protejat	skyddad
protejat	skyddade
protejat	skyddat
ronald	ronald
alin	alin
colective	kollektivt
colective	kollektiva
colective	kollektiv
popularitate	popularitet
gandit	tyckte
gandit	trodde
gandit	tänkte
homo	homo
homo	bög
homo	gay
castle	castle
castle	borgen
castle	slottet
castle	slott
droguri	läkemedel
droguri	droger
droguri	knark
droguri	narkotika
droguri	knark
droguri	drog
willem	willem
executie	avrättning
executie	verkställande
executie	utförande
executie	avrättning
executie	verkställande
executie	utförande
jucand	leker
jucand	spelar
jucand	spela
jucand	leka
intervenit	ingripit
intervenit	ingrep
generat	genererat
generat	genererade
generat	skapad
succese	framgångarna
succese	framgångar
succese	framgångar
succese	succé
succese	framgång
bratislava	bratislava
damasc	damaskus
nuvela	novell
nuvela	romanen
nuvela	roman
nuvela	novella
nuvela	novella
morbihan	morbihan
card	kort
card	kortet
reformei	reformer
reformei	reformera
reformei	reformering
reformei	reformen
reformei	reform
necunoscute	okända
necunoscute	okänd
necunoscute	okänt
filipine	filippinerna
secundara	sekundära
secundara	sekundär
secundara	sekundärt
carabus	carabus
promis	utlovade
promis	lovade
promis	utlovas
promis	lovat
promis	lovad
rin	rin
rin	rhen
incident	händelse
incident	incident
incident	tillbud
semnificatia	betydelse
plecare	avresa
plecare	avgång
plecare	avfärd
memorii	memoarer
memorii	memoarer
gandire	tänkande
gandire	tänka
gandire	funderar
gandire	tänker
gandire	tänkte
identificate	identifierats
identificate	identifierat
identificate	identifierades
identificate	identifierade
identificate	identifierad
anatomia	anatomi
farmacie	apotek
farmacie	apoteket
biti	bitar
biti	bits
rightarm	rightarm
mexican	mexikansk
mexican	mexikanska
mexican	mexikanskt
five	fem
five	five
portrete	porträtt
pictate	målade
pictate	målad
pictate	målas
pictate	målat
aleksandr	aleksandr
parcuri	parker
parcuri	parks
pozitiva	positivt
pozitiva	positiv
pozitiva	positiva
tiparit	tryckt
tiparit	tryckta
sangele	blodet
sangele	blod
sangele	blood
marchiz	markisen
marchiz	markis
yemen	jemen
yemen	yemen
cantand	sjungande
cantand	sjunga
cantand	sång
cantand	sjungit
cantand	sjunger
cantand	sjungande
cantand	sjunga
cantand	sång
cantand	sjungit
cantand	sjunger
stiluri	styles
stiluri	stilar
protejarea	skyddar
protejarea	skydda
norvegian	norska
norvegian	norsk
impuscat	shot
impuscat	skjutna
impuscat	skjuten
impuscat	skott
impuscat	sköt
impuscat	shot
impuscat	skjutna
impuscat	skjuten
impuscat	skott
impuscat	sköt
salbatica	wild
salbatica	vilt
salbatica	frilevande
salbatica	vilda
salbatica	vild
teama	fruktan
teama	skräck
teama	rädsla
teama	frukta
teama	fruktan
teama	skräck
teama	rädsla
teama	frukta
statui	statyer
sambata	lördag
sambata	lördag
sambata	lördagar
sambata	lördag
sambata	lördag
profesionisti	yrkesutövare
profesionisti	professionella
profesionisti	yrkesmän
profesionisti	proffs
profesionisti	yrkesverksamma
profesionisti	yrkesutövare
profesionisti	professionella
profesionisti	yrkesmän
profesionisti	proffs
profesionisti	yrkesverksamma
irlandez	irländskt
irlandez	iriska
irlandez	irländare
irlandez	irländsk
irlandez	irländska
consilieri	rådgivare
bunica	farmor
bunica	mormor
bunica	farmor
bunica	mormor
bunica	farmor
bunica	mormor
bunica	farmor
bunica	mormor
bunica	farmor
bunica	mormor
lituaniei	litauen
limitate	limited
limitate	begränsat
limitate	begränsade
limitate	begränsad
pereti	murar
pereti	väggarna
pereti	väggar
pereti	murar
pereti	väggarna
pereti	väggar
sándor	sándor
perry	perry
sept	septum
sept	sept
distinctie	åtskillnad
distinctie	distinktion
cronici	chronicles
rugaciune	böner
rugaciune	bön
rugaciune	böner
rugaciune	bön
luther	luther
personalitatea	personlighet
personalitatea	personligheten
atelierul	verkstad
atelierul	workshop
