категорія	категорија
центр	центар
центр	средина
центр	центар
захід	запад
захід	западно
захід	вест
тільки	само
франції	франс
франції	франција
століття	векови
століття	века
століття	век
рада	совет
рада	рада
відстані	далечини
схід	исток
статті	статии
статті	натписи
статті	артикли
статті	написи
склад	слог
склад	складиштето
склад	магацин
склад	складиште
міні	мини
особи	личности
особи	лица
особи	особа
особи	личност
над	над
історія	расказ
історія	сторија
історія	приказна
історія	историја
зображення	images
зображення	слики
зображення	слика
зображення	слика
зображення	слики
пункти	предмети
пункти	ставки
пункти	точки
пункти	поенти
пункти	поени
пункти	опции
пункти	ставки
пункти	елементи
код	шифра
код	код
сайт	site
сайт	сајт
разом	заедно
інші	macedonian
інші	други
інші	друѓи
інші	други
проти	наспроти
проти	против
тут	тука
український	украински
мова	јазик
історії	раскази
історії	приказни
історії	историја
всі	сите
багато	многумина
багато	многу
більше	поголема
більше	поголемо
більше	поголем
більше	поголеми
більше	поголема
більше	поголемо
більше	поголем
більше	уште
більше	повеќе
кількість	грофот
кількість	број
кількість	количина
кількість	количество
шаблони	обрасци
шаблони	шеми
шаблони	моделите
дуже	многу
два	два
два	двајца
два	две
перший	прв
перший	први
перший	прво
перший	прва
площа	плаза
площа	квадратен
площа	плоштад
площа	квадрат
площа	област
площа	подрачје
країни	земја
країни	држава
країни	кантри
країни	земји
країни	држави
назва	име
назва	титула
назва	наслов
наук	науки
розташований	лоциран
розташований	лоцирана
розташований	лоцирано
розташований	сместена
без	без
голова	главата
голова	глава
голова	претседавач
голова	претседавачот
народився	родено
народився	роди
народився	роден
народився	родени
народився	раѓа
щодо	околу
щодо	за
сторінка	страница
сторінка	страницата
той	тоа
той	дека
росії	русија
все	сè
все	се
все	све
все	сѐ
все	сите
київ	киев
зокрема	вклучувајќи
роботи	работа
роботи	дело
роботи	работно
біля	близу
біля	блиску
веб	web
веб	веб
веб	пајажина
статтю	член
статтю	статија
праворуч	десно
праворуч	надесно
праворуч	право
потім	потоа
потім	тогаш
землі	земја
землі	земјата
землі	земјо
армії	армии
армії	војски
армії	армија
армії	војска
саме	точно
північний	северно
північний	север
північний	северот
північний	северен
північний	северна
день	ден
частина	дел
південний	јужен
південний	јужна
південний	јужни
південний	југ
південний	јужно
південний	јужна
смерті	смрт
смерті	смртта
період	период
період	period
перша	прв
перша	први
перша	прво
перша	прва
такі	следење
такі	следејќи
такі	вакви
такі	таквите
такі	такви
такі	таков
такі	таква
двох	два
двох	двајца
двох	две
навіть	дури
розташування	поставување
розташування	позиционирање
розташування	локации
розташування	аранжманот
розташування	аранжман
розташування	локација
розташування	позиција
розташування	положба
кар	кариера
три	тројца
три	три
три	тројка
отримав	добивањето
отримав	стекнување
отримав	стекнува
працював	работел
працював	работев
працював	работеше
працював	функционираше
працював	работено
висота	висина
висота	височина
висота	подигнување
висота	висина
входить	влегува
входить	вклучува
себе	себе
себе	себеси
себе	самиот
себе	себе
себе	себеси
себе	самиот
різних	различен
різних	различно
різних	поинакво
різних	различна
різних	поинаку
різних	поинаков
фільми	филмови
фільми	филмови
фільми	кино
сільська	рурален
сільська	рурална
сільська	рурални
сільська	руралните
церква	црква
створення	создавање
створення	креирање
створення	креирам
створення	креирајќи
створення	генерација
створення	генерирање
створення	создај
створення	креирање
створення	создавање
створення	креирање
створення	креација
створення	составување
створення	составувањето
значення	значење
значення	вредности
значення	вредност
вул	стр
системи	систем
йому	него
йому	го
крім	освен
тоді	потоа
тоді	тогаш
ніж	нож
адреса	адреса
член	членка
член	член
член	кур
франція	франс
франція	франција
групи	групи
буде	ке
буде	вил
буде	ќе
буде	буде
там	таму
динаміка	dynamics
динаміка	динамика
національний	национални
національний	национална
національний	национален
національний	национално
управління	владеење
управління	управување
управління	управа
управління	управување
управління	менаџмент
управління	раководење
всіх	сите
всіх	сите
всіх	секого
нього	него
нього	го
річки	реки
річки	риверс
річки	реките
дата	датум
дата	дата
людей	народ
людей	луѓе
хоча	иако
хоча	иако
мови	јазици
мови	јазик
українська	украински
поселення	населба
розподіл	распределба
розподіл	дистрибуција
знаходиться	лоциран
знаходиться	лоцирана
знаходиться	лоцирано
знаходиться	сместена
пізніше	покасно
пізніше	подоцна
розвитку	развој
вулиця	улични
вулиця	улица
вулиця	уличен
кілька	малкумина
кілька	неколку
кілька	неколкумина
хімічно	хемиски
згодом	покасно
згодом	подоцна
провінції	покраини
провінції	провинции
картка	картичка
картка	картичката
картка	карта
часто	често
часто	честопати
часто	често
часто	честопати
олександр	александар
олександр	александер
офіційний	официјално
офіційний	службен
офіційний	службено
офіційний	официјална
тис	taxus
департамент	оддел
тощо	итн
тощо	сл
майже	речиси
майже	скоро
права	десно
права	надесно
права	право
права	права
муніципалітетів	заедници
церкви	цркви
стала	постојано
стала	константно
стала	константна
стала	константа
голови	главите
голови	глави
голови	трансплантација
південь	југ
південь	јужно
південь	јужна
вулиці	улици
перед	пред
сім	седум
сім	seven
сім	седма
мав	имаа
мав	имаше
яке	кои
яке	која
яке	кое
автор	создавач
автор	создателот
автор	креатор
автор	творец
автор	творецот
автор	автор
володимир	владимир
володимир	vladimir
типу	тип
академії	академија
фільм	филм
фільм	филмски
фільм	филмска
фільм	филм
карта	мап
карта	карта
карта	мапа
карта	мапата
команди	команди
команди	командите
команди	екипи
команди	тимови
іван	иван
іван	јован
іван	џон
використання	употреба
використання	користење
використання	користење
використання	користејќи
використання	употреба
використання	искористи
використання	користи
головний	шеф
головний	главен
головний	шефот
головний	началник
головний	главни
головний	главен
головний	главна
головний	главното
зоря	ѕвезден
зоря	ѕвезда
зоря	ѕвездички
деякі	некои
музей	музеј
діяльність	активности
діяльність	дејност
діяльність	активност
діяльність	активности
частини	делови
закінчив	завршив
закінчив	заврши
закінчив	завршена
закінчив	завршено
джерела	извори
джерела	провајдери
джерела	извор
кам	логори
кам	кампови
честь	чест
честь	чест
честь	честа
організації	организации
організації	организира
організації	организирање
своїх	нивната
своїх	нивните
своїх	нивното
своїх	нивна
своїх	нивно
своїх	нивни
сил	сили
сил	силите
дві	два
дві	двајца
дві	две
діяльності	активности
діяльності	дејност
діяльності	активност
діяльності	активности
клуб	клуб
ігор	игри
ігор	игор
партії	партиски
партії	партиска
партії	забава
партії	журка
партії	партија
перелік	листа
перелік	список
перелік	набројување
роль	улога
усі	сите
усі	сите
усі	секого
україна	украина
свої	нивната
свої	нивните
свої	нивното
свої	нивна
свої	нивно
свої	нивни
свої	нејзините
свої	своите
свої	својата
свої	нејзини
університет	универзитет
відомий	познат
відомий	познатата
відомий	славна
відомий	позната
відомий	познати
микола	николај
микола	николај
микола	николаи
микола	николај
італії	италија
спочатку	првично
школа	училиште
школа	школа
право	десно
право	надесно
право	право
право	закон
євро	еврото
євро	euro
євро	еуро
євро	евро
далі	понатамошно
далі	следниот
далі	следна
далі	следно
далі	следни
далі	следен
знову	повторно
знову	одново
знову	пак
стали	станав
стали	станаа
стали	постана
стали	стана
стали	станала
одна	една
одна	едната
одна	еден
одна	едно
хто	кои
хто	кој
моря	мориња
моря	морињата
стаття	член
стаття	статија
стаття	параграф
стаття	пасус
звання	редовите
звання	редови
звання	ранг
звання	ранк
звання	чин
статус	статус
помер	мртво
помер	мртов
помер	мртви
помер	мртва
помер	почина
помер	умре
помер	умрел
помер	починал
помер	умрела
родини	семејствата
родини	фамилии
родини	семејства
польщі	полска
львів	lviv
група	група
група	групно
група	групни
група	групна
новий	ново
новий	нов
новий	нови
новий	нова
зір	видот
зір	визија
великий	големо
великий	голем
великий	голема
великий	големи
великий	одлична
великий	одлично
великий	супер
назви	имиња
залізниця	железница
залізниця	железници
залізниця	железничка
залізниця	железница
система	систем
північ	полноќ
північ	северно
північ	север
північ	северот
більшість	повеќето
більшість	најмногу
більшість	мнозинство
особливо	особено
особливо	поготово
особливо	особено
особливо	посебно
народження	родено
народження	роди
народження	роден
народження	родени
народження	раѓа
народження	раѓање
народження	раѓањето
інформація	инфо
інформація	информации
інформація	информација
інформація	информации
влади	властите
влади	власти
округ	okrug
округ	реон
округ	округ
інститут	институт
інститут	институција
будинок	куќа
будинок	хаус
дослідження	истражување
дослідження	истражувања
дослідження	експлоатација
дослідження	студии
війна	војна
війна	војување
комуни	комуна
приблизно	околу
приблизно	за
приблизно	приближно
багатьох	многумина
відповідно	односно
війська	трупи
війська	војници
регіон	регион
велика	големо
велика	голем
велика	голема
велика	големи
велика	магна
видів	видови
рід	клан
рід	кланот
рід	рид
рід	родот
рід	трска
рід	рид
дітей	деца
міст	мост
міст	градови
міст	понт
мала	mala
собою	себе
собою	себеси
собою	самиот
собою	себе
собою	себеси
собою	самиот
генерал	општи
генерал	општа
генерал	општо
генерал	генерал
мали	имаа
мали	имаше
доходів	еднаквост
доходів	рамноправност
основі	ќесички
статей	статии
статей	натписи
статей	артикли
статей	написи
статей	половите
навчання	проучување
навчання	учење
навчання	студирање
навчання	учењето
навчання	изучување
навчання	студијата
навчання	проучување
навчання	студија
навчання	учење
навчання	учењето
навчання	прирачник
син	синот
син	синко
син	сине
син	син
фізична	физичко
фізична	физичка
фізична	физички
рішення	одлука
рішення	одлуки
рішення	одлуките
рішення	решенија
питання	прашање
питання	прашања
питання	прашања
питання	патоказ
досить	доста
досить	доволна
досить	доволно
досить	сосем
люди	народ
люди	луѓе
тепер	сега
ним	него
ним	го
компанії	претпријатија
компанії	компании
іншими	почестена
іншими	друѓи
іншими	други
походження	потекло
дані	податок
дані	податоци
дані	dani
дані	дани
видання	издание
видання	прашање
раніше	претходно
раніше	претходно
раніше	порано
раніше	поскоро
румунії	романија
зазвичай	обично
зазвичай	обично
зазвичай	типично
сан	san
сан	сан
використовується	искористен
використовується	користени
використовується	користена
використовується	искористена
використовується	користен
команда	команда
команда	наредба
команда	екипа
команда	тим
всього	вкупно
всього	вкупен
всього	тотал
всього	вкупна
таблиці	маси
таблиці	масите
таблиці	табела
таблиці	маса
початок	почни
початок	почеток
початок	старт
початок	почни
початок	почеток
початок	почнувам
початок	почнувајќи
початок	почетна
пояс	половината
пояс	каиш
пояс	ремен
пояс	појас
сергій	сергеј
сергій	серхиј
сергій	sergiy
сергій	сергиј
сергій	сергеј
станція	ташкент
станція	станица
станція	новосибирск
існує	постоиме
існує	постојат
існує	постои
проект	проект
мати	мајко
мати	мајката
мати	мајка
чоловік	маж
чоловік	сопруг
чоловік	мажот
чоловік	маж
чоловік	чоек
чоловік	човек
чоловік	мен
чоловік	човекот
ліворуч	лево
ліворуч	лева
ліворуч	левица
усіх	сите
усіх	секого
книги	книги
книги	книга
михайло	михаил
михайло	михаел
михайло	мајкл
михайло	михаил
михайло	michael
країн	земји
країн	држави
нагороди	награди
поштові	поштенска
поштові	поштенски
офіційна	официјално
офіційна	службен
офіційна	службено
офіційна	официјална
індекси	индекси
індекси	индексите
переважно	воглавно
переважно	главно
переважно	претежно
переважно	воглавно
переважно	најмногу
переважно	најчесто
переважно	главно
дії	операции
дії	дејства
дії	активности
дії	дејствија
дії	постапки
дії	дејност
дії	активност
дії	активности
дії	дејство
дії	акција
станції	станица
станції	станици
світі	пробал
немає	ниеден
немає	никој
немає	ниедна
освіти	образование
освіти	едукација
професор	професор
руху	преселба
руху	селење
руху	преместување
руху	движење
японії	јапонија
японії	јапан
служби	сервиси
служби	услуги
служби	служби
служби	услуги
служби	служба
служби	сервис
служби	услуга
відомі	позната
відомі	познати
відомі	познат
відомі	прочуен
виробництва	производство
орган	орган
орган	органи
різні	различен
різні	различно
різні	поинакво
різні	различна
різні	поинаку
різні	поинаков
різні	разни
різні	разно
поділ	поделби
поділ	дивизии
поділ	разделување
поділ	дивизија
поділ	поделба
треба	треба
треба	потреба
довжина	должина
сили	снага
сили	сила
сили	силата
сили	сили
сили	силите
іграх	олимпијадата
іграх	олимпијада
шевченка	рефрен
основні	основно
основні	основни
основні	башиќ
основні	основна
основні	основен
основні	основните
роботу	работа
роботу	дело
роботу	работно
іванович	иванович
неї	осуди
неї	пресуди
прапора	знаме
тих	шие
тих	тие
тих	оние
дня	ден
твори	есеи
герб	билка
герб	херб
росія	русија
василь	базил
василь	василиј
василь	василиј
василь	vasil
василь	васил
василь	васили
депутатів	пратеници
депутатів	пратеника
депутатів	заменици
іспанії	шпанија
індекс	индекс
місця	места
місця	локации
місця	места
місця	седишта
розвиток	развој
альбом	албум
товариства	општество
засновані	засновано
засновані	базирано
гравці	играчи
серії	серија
серії	серии
серії	епизоди
німеччини	germany
німеччини	германија
просто	едноставно
просто	само
нові	ново
нові	нов
нові	нови
нові	нова
письменник	романсиер
письменник	писателка
письменник	писател
інформації	инфо
інформації	информации
слова	зборови
зараз	сега
зараз	тековно
зараз	моментално
працює	трчање
працює	работи
працює	дела
батько	татка
батько	татко
декілька	неколку
декілька	повеќекратни
декілька	повеќекратна
декілька	повеќекратен
відомості	информација
відомості	информации
відомості	детали
розмір	големина
президент	претседател
президента	претседателски
президента	претседателска
президента	претседателско
москва	москва
москва	московски
москва	moskva
американський	американска
американський	американски
американський	американец
повністю	целосно
повністю	комплетно
повністю	сосема
повністю	потполно
повністю	целосно
повністю	тотално
повністю	сосема
повністю	целосно
посилання	упатува
посилання	референци
посилання	препораки
посилання	врска
посилання	референца
посилання	референтна
посилання	врските
посилання	линковите
посилання	врски
посилання	линкови
пісні	песни
члени	членки
члени	членовите
члени	членови
науки	науката
науки	наука
науки	науки
нова	ново
нова	нов
нова	нови
нова	нова
роман	римјани
роман	римјаните
роман	римска
роман	римски
роман	римјанин
роман	роман
роман	римско
річка	река
річка	ривер
річка	реката
чотири	four
чотири	четри
чотири	четири
чотири	четворица
другий	второ
другий	втор
другий	втори
другий	втората
другий	втора
належить	припадност
належить	припаѓа
обсерваторія	опсерваторијата
обсерваторія	опсерваторија
шаблон	шаблон
шаблон	шема
шаблон	шаблон
шаблон	образец
відкритий	отворено
відкритий	отворени
відкритий	отворена
відкритий	отворен
відкритий	опен
відкритий	отвори
відкритий	јавно
відкритий	јавни
відкритий	јавен
відкритий	јавна
відкритий	јавност
відкритий	public
відкритий	изложена
відкритий	изложено
відкритий	изложен
збройних	вооружена
збройних	наоружан
збройних	вооружени
збройних	вооружен
можливість	способност
можливість	можност
можливість	карактеристика
можливість	можноста
можливість	способност
текст	текст
учасники	натпреварувачи
учасники	присутни
учасники	присутните
учасники	учеснички
учасники	учесници
учасники	членки
учасники	членовите
учасники	членови
дерев	стебла
дерев	дрвја
дерев	дрва
дерев	дрвца
прапор	знаме
тел	тел
галузі	индустрии
галузі	индустрија
галузі	индустри
галузі	индустрија
стає	постанува
стає	станува
стає	станувајќи
стає	станување
ширина	ширина
чемпіон	првак
чемпіон	шампион
чемпіон	champion
гравець	играчот
гравець	играч
івана	ивана
можливо	можеби
можливо	можно
можливо	можни
можливо	возможно
можливо	можен
поблизу	близу
поблизу	блиску
поблизу	близина
термін	мандат
термін	термин
стало	станав
стало	станаа
стало	постана
стало	стана
стало	станала
стало	почувствува
стало	почуствував
випадку	случај
випадку	кејс
юрій	јуриј
юрій	јуриј
юрій	јури
великі	голем
великі	голема
великі	големи
великі	големо
великі	голем
великі	голема
великі	големи
добре	добра
добре	добро
добре	добар
добре	епа
добре	па
король	крал
король	кинг
король	кралот
лінії	линии
випускники	матуранти
випускники	дипломци
виконання	изведува
виконання	извршување
виконання	трчање
виконання	извршување
виконання	извршувањето
виконання	егзекуција
виконання	погубување
учасник	членка
учасник	член
учасник	натпреварувач
учасник	учесник
існування	егзистенција
існування	постоење
питань	прашања
питань	траги
питань	прашања
доктор	доктор
доктор	лекар
доктор	докторка
художник	сликарот
художник	сликар
художник	изведувач
художник	уметник
форми	формулари
форми	форми
форми	облици
форми	форми
собі	себе
собі	себеси
собі	самиот
собі	себе
собі	себеси
собі	самиот
підприємства	претпријатија
підприємства	претпријатие
підприємства	ентерпрајс
творів	мултимедијален
творів	мултимедија
творів	композиции
радянський	советска
радянський	советски
заснування	основањето
заснування	основање
правління	одбор
правління	даска
правління	борд
правління	влада
сен	сен
сен	сена
сен	светец
сен	свети
сен	сеинт
сен	света
поштовий	поштенски
іноді	некогаш
іноді	понекогаш
секретар	секретар
секретар	секретарка
галерея	галерија
друга	второ
друга	втор
друга	втори
друга	втората
друга	втора
друга	другарка
друга	пријател
великих	голем
великих	голема
великих	големи
містить	содржи
містить	содржат
територія	територија
політики	политика
політики	политичарите
політики	политичари
політики	политики
університеті	кампусот
університеті	кампус
формування	формирање
формування	формација
сьогодні	денес
сьогодні	денеска
проведення	развивање
проведення	развивањето
проведення	развој
анатолій	анатолиј
види	видови
види	врсти
види	видови
дружина	сопруга
дружина	жена
світ	ворлд
світ	world
світ	свет
світ	светот
світ	свету
андрій	андреј
андрій	андреј
андрій	андриј
івано	ивано
зміни	модификации
зміни	смени
зміни	промени
зміни	измени
ред	црвен
ред	црвена
ред	црвено
ред	црвени
ред	рации
днів	денови
днів	дена
наукових	научни
наукових	научен
наукових	научно
номер	број
справ	афери
програми	апликацијата
програми	примена
програми	апликација
програми	програми
програми	апликации
програми	програми
програми	софтвер
партія	партиски
партія	партиска
партія	забава
партія	журка
партія	партија
будівництво	градба
будівництво	зграда
будівництво	градење
будівництво	изградбата
будівництво	градба
будівництво	градење
будівництво	градежништво
будівництво	конструкција
будівництво	изградба
події	случка
події	настани
події	настан
події	настанот
тип	тип
зображень	images
зображень	слики
укр	eng
чемпіонат	фина
чемпіонат	фис
чемпіонат	шампионат
чемпіонат	првенство
чемпіонат	шампионски
вище	над
вище	погоре
вище	наведените
вище	одозгора
вище	повисоко
вище	повисок
вище	повисока
вище	повисоки
категорії	категории
проблеми	проблеми
проблеми	прашања
людина	хомо
людина	човечко
людина	човек
людина	човечки
людина	човечка
людина	маж
людина	чоек
людина	човек
людина	мен
людина	човекот
вікіпедія	википедија
головним	воглавно
головним	главно
число	број
альбоми	албуми
розташовані	лоциран
розташовані	лоцирана
розташовані	лоцирано
розташовані	сместена
розташовані	стациониран
розташовані	стационирани
білорусі	белорусија
петро	петр
петро	питер
петро	петар
петро	пјотр
отримала	примен
отримала	добиени
отримала	доби
отримала	примена
отримала	примиле
почали	почна
почали	започна
почали	почнал
почали	почнаа
замість	наместо
комітету	комитет
комітету	комитетот
комітету	комисија
мало	мало
рівні	нивоа
процес	процес
процес	процесот
виступав	обраќајќи
менше	помала
менше	помало
менше	помал
менше	помали
менше	помалку
менше	помалце
значно	значително
сезону	сезона
правило	владеење
правило	правило
режисер	режисер
режисер	директор
чому	зошто
чому	зашто
завжди	секогаш
загальна	генерички
загальна	општ
загальна	севкупно
загальна	општо
загальна	вкупно
загальна	вкупен
загальна	тотал
загальна	вкупна
ряд	серија
ряд	серии
погода	времето
завод	билка
завод	растение
завод	централа
вплив	влијанието
вплив	влијание
вплив	влијание
рух	иницијативата
рух	движење
рух	сообраќај
рух	движење
компанія	компанија
слід	отпечаток
площі	подрачја
площі	области
астероїд	астероид
астероїд	астероидот
віктор	виктор
віктор	виктор
будівництва	изградбата
будівництва	градба
будівництва	градење
будівництва	градежништво
будівництва	конструкција
будівництва	изградба
читати	читај
читати	читам
читати	читање
читати	читајте
читати	прочитај
читати	прочитајте
застосування	применет
застосування	применети
застосування	применета
застосування	наметнување
застосування	аплицирањето
закінчення	крај
останній	последно
останній	последни
останній	последен
останній	последна
останній	последниот
перше	прв
перше	први
перше	прво
перше	прва
скликання	рада
слово	збор
книга	книга
захисту	штити
виступи	покус
виступи	пократок
виступи	пократко
центрі	изведувач
гри	игра
призначений	наменето
тіла	тело
тіла	тела
основному	воглавно
основному	главно
сезон	сезона
жителів	мештаните
назвали	именуван
назвали	именувана
назвали	именувани
назвали	повика
марія	марија
марія	marija
марія	марија
футболіст	фудбалерот
футболіст	фудбалер
теж	премногу
кількості	побројни
джон	јован
джон	џон
джон	џон
володар	лорд
поет	поет
матчів	совпаѓања
матчів	натпревари
клуби	клубови
ігри	игри
повернувся	вратен
повернувся	вратени
відома	позната
відома	познати
відома	познат
відома	познат
відома	познатата
відома	славна
відома	позната
відома	познати
дозволяє	овозможува
дозволяє	дозволува
дозволяє	овозможува
відкриті	отворено
відкриті	отворени
відкриті	отворена
відкриті	отворен
відкриті	опен
відкриті	отвори
директор	режисер
директор	директор
народний	фолк
народний	народен
народний	народна
народний	народните
народний	народни
заступник	глумење
заступник	глумата
заступник	глума
заступник	заменик
заступник	пороци
заступник	вице
заступник	заменик
заслужений	награден
заслужений	почестен
заслужений	одликуван
заслужений	наградена
заслужений	почестен
заслужений	почестена
заслужений	почитувани
часи	пати
теорії	теории
середній	средина
середній	среден
середній	просечен
середній	просечни
середній	просечно
середній	просек
середній	просечна
