מנדלסון	мендельсон
חסד	доброта
חסד	доброту
חסד	благодать
חסד	грейс
חסד	грэйс
הולמס	холмс
גולדשטיין	гольдштейн
קיצוניים	экстремистов
קיצוניים	экстремисты
מליון	миллионов
מליון	миллион
מליון	млн
מליון	миллиона
אתגר	challenge
אתגר	задача
אתגר	вызов
נערים	парни
נערים	мальчики
נערים	мальчишки
נערים	boys
נערים	мальчиков
נערים	подростки
נערים	подростков
החשבון	счёт
החשבון	аккаунт
החשבון	счет
במעט	немного
במעט	незначительно
במעט	слегка
הדוק	крепко
צריכת	потребления
צריכת	потребление
לותר	лотар
לותר	лютер
לותר	лютера
פרוטוקול	протокол
פרוטוקול	протокола
פרוטוקול	протоколу
לחזית	передние
לחזית	передняя
לחזית	фронт
ליף	лейф
אוסטרי	австрийская
אוסטרי	австрии
אוסטרי	австрийский
המחיר	прайс
המחיר	цена
פרסומת	коммерческие
פרסומת	коммерческая
פרסומת	коммерческий
חלשה	слабая
חלשה	слабо
חלשה	слабым
חלשה	слабые
חלשה	слабый
סערה	tempest
סערה	шторм
סערה	буря
סערה	гроза
מנגן	играет
מנגן	пьесы
מנגן	играю
מנגן	играет
מנגן	марганца
מנצחים	победителей
מנצחים	победители
הורג	убивает
הורג	убийства
הורג	убийство
מל	мэл
מל	мел
מל	тза
מל	мэл
מל	мал
מל	мол
הומור	юмор
הומור	юмор
טיים	время
טיים	времени
טיים	тайм
טיים	time
אשראי	кредитная
אשראי	кредит
אשראי	кредита
רוזנברג	розенберг
ארנה	арена
ארנה	арене
זרמים	потоки
זרמים	потоков
זרמים	ручьи
זרמים	течения
גדודים	батальонов
רוצח	убийца
רוצח	киллер
רוצח	убийца
רווחה	благополучие
רווחה	благосостояние
רווחה	благосостояния
אורלינס	орлеан
הפיליפינים	филиппин
הפיליפינים	филиппины
חסידים	подписчики
חסידים	последователи
חסידים	подписчиков
חסידים	ученики
חסידים	учеников
ניסים	чудес
ניסים	чудеса
נשימה	вдох
נשימה	дыхание
נשימה	дышит
נשימה	дыхание
המשיח	христос
ריקו	рико
זירת	сцена
סטודיו	студии
סטודיו	studios
סטודיו	студии
סטודיו	studio
סטודיו	студия
מרחוק	дистанционно
נפגעה	повреждено
נפגעה	поврежден
נפגעה	повреждена
נפגעה	повреждены
פסקול	саундтрек
גורל	судьбу
גורל	судьба
גורל	судьбы
גורל	судьбу
גורל	судьба
גורל	судьбы
אריזונה	аризона
בטוחה	безопасно
בטוחה	безопасное
בטוחה	сейф
בטוחה	уверен
בטוחה	уверенность
בטוחה	уверенно
בטוחה	уверены
אסטוניה	эстонии
אסטוניה	эстония
בודק	проверяем
בודק	проверка
קונצרטים	концертов
קונצרטים	концерты
העמדה	позиция
העמדה	должность
העמדה	положение
מסעדות	рестораны
ארט	арт
ארט	art
ארט	искусство
יקום	вселенная
יקום	вселенной
מיניות	сексуальность
מיניות	сексуальное
מיניות	сексуальные
מיניות	сексуального
מיניות	сексуальный
מיניות	сексуальная
סודי	тайна
סודי	секрет
סודי	секретная
סודי	секретный
סודי	конфиденциально
סודי	конфиденциальной
להבהיר	уточнить
אחי	бро
אחי	брат
אחי	чувак
אחי	братец
אחי	брат
פאשה	паша
בהתחשב	учитывая
קדומה	предубеждения
קדומה	ущерба
קדומה	предрассудки
דיק	член
דיק	дик
עדים	свидетели
עדים	свидетелям
עדים	свидетелей
עדים	свидетель
צפויה	ожидалось
צפויה	ожидаемые
צפויה	ожидается
צפויה	ожидаемый
צפויה	ожидаемое
כיס	карман
כיס	кармане
ברמות	уровни
ברמות	уровень
ברמות	уровней
שותפות	партнерства
שותפות	партнерство
נחת	приземлился
נחת	морские
נחת	морской
נחת	морская
מיר	мир
לטביה	латвия
לטביה	латвии
לטביה	латвии
שביעי	седьмой
שביעי	седьмое
שביעי	седьмая
מנהרות	туннели
מנהרות	туннелях
ערובה	заложники
ערובה	заложник
ערובה	гарантии
ערובה	гарантировать
ערובה	гарантию
ערובה	гарантия
מוקף	окружен
מוקף	окружили
גנטית	генетически
גנטית	генетических
גנטית	генетические
גנטית	генетический
הוסף	добавить
הוסף	добавьте
בוואריה	баварский
בוואריה	баварии
אוריינות	грамотность
אוריינות	грамотности
פשוטות	простой
פשוטות	простое
פשוטות	простая
פשוטות	простые
אמנותי	художественная
אמנותי	художественных
אמנותי	художественный
אמנותי	художественные
אורחים	посетители
אורחים	посетителей
אורחים	гости
אורחים	гостей
אורחים	гости
איומים	угрозы
אטומי	атомной
אטומי	атомные
אטומי	атомная
תקלה	сбой
תקלה	неисправность
תקלה	сбой
תקלה	глюк
מישיגן	мичиган
כיסא	председатель
כיסא	кресло
כיסא	стул
הילדה	хильда
שנפלו	упал
שנפלו	пал
הורשע	осужден
הורשע	осужденным
הורשע	осужденные
הורשע	осужденный
דחף	толчок
דחף	направленность
דחף	тяга
דחף	толкнул
דחף	импульс
דאלאס	даллас
טיול	поездка
טיול	трип
טיול	путешествие
הרווח	прибыль
הרווח	прибыли
קליבלנד	кливленд
כובע	шляпы
כובע	кэп
כובע	кап
כובע	шапка
כובע	шляпу
כובע	шляпа
קורפוס	corpus
קורפוס	корпус
הצפנה	шифрования
הצפנה	шифрование
סוני	sony
סוני	сони
סוני	сонни
סוני	санни
סוני	суннитов
בחינם	свободно
בחינם	бесплатно
בחינם	свободный
בחינם	свободной
בחינם	бесплатный
בחינם	бесплатные
רחמים	жаль
רחמים	жалко
רחמים	жалость
רחמים	милосердия
רחמים	мерси
רחמים	милосердие
רחמים	милость
רפובליקה	республика
רפובליקה	республики
רומני	румынии
רומני	ромни
ברטון	бёртон
ברטון	бартон
ברטון	бартон
ברטון	бретон
זרעים	семена
נידון	приговорен
נידון	приговорил
נידון	осудил
נידון	осудила
נידון	осуждает
נידון	осудили
נירנברג	нюрнберг
מודרניות	современности
מודרניות	современный
מודרניות	современных
מודרניות	современная
מודרניות	современные
מודרניות	современное
בהינתן	учитывая
החזרה	репетиции
החזרה	репетицию
החזרה	репетиция
חגים	праздники
הנחיות	направления
הנחיות	директивы
הנחיות	директив
הנחיות	инструкция
הנחיות	инструкции
פסים	полосатый
פסים	полосы
חלקיק	частиц
חלקיק	частицы
חלקיק	частиц
חלקיק	частица
חלקיק	частицы
נזקים	ущерб
נזקים	ущерба
נזקים	убытки
נזקים	ущерб
נזקים	повреждение
נזקים	вред
נזקים	повреждения
בואנוס	буэнос
מני	мани
מני	мэнни
הכיל	содержащиеся
דגלים	флаги
מקל	держаться
מקל	палка
אטלס	atlas
אטלס	атлас
מעריצים	поклонники
מעריצים	фанаты
מנועים	двигатели
מנועים	двигателей
מיאמי	майами
מוסוליני	муссолини
קשתות	арки
קשתות	луки
מושבות	колоний
מושבות	колонии
נרשמה	отметило
נרשמה	отметила
ולס	вальс
ולס	скважины
ולס	уэллс
יריב	соперник
יריב	противник
יריב	соперник
יריב	противник
רצופים	последовательно
בקביעות	регулярно
בקביעות	постоянно
פיה	пиа
פיה	феи
פיה	фея
ליון	лион
טבלה	стол
טבלה	таблица
טבלה	диаграмма
ביתא	бета
נאפולי	неаполь
נאפולי	наполи
חולי	пациенты
חולי	пациентов
חולי	болезнь
חולי	болезни
ארגן	организовать
ארגן	организовать
ארגן	организовал
הולם	соответствующих
הולם	уместно
הולם	адекватных
הולם	адекватное
הולם	достаточное
הולם	адекватные
הולם	хольм
המונים	масс
המונים	массы
מעורר	возбуждает
מעורר	стимулирования
מעורר	стимулирование
מסת	массе
מסת	массового
מסת	масса
אחיות	сёстры
אחיות	сестры
אחיות	медсестер
אחיות	медсестры
הולנדי	голландский
יהונתן	джонатан
נכנסת	входящие
נכנסת	входящий
פין	пенис
פין	член
פין	фин
פין	финн
פין	фин
האחיות	сёстры
האחיות	сестры
מאובנים	окаменелости
ריאות	лёгкие
ריאות	легкие
ריאות	легкое
ריאות	легких
ריאות	лёгкое
ריאות	лёгкие
ריאות	легкие
שקר	ложь
שקר	врут
שקר	лгать
שקר	ложь
שקר	ложный
שקר	ложное
שקר	ложные
נפשי	психического
מציינת	отмечая
מכסה	крышкой
מכסה	крышка
מכסה	обложки
מכסה	прикрытие
מכסה	обложка
מכסה	обложку
מכסה	покрытия
מכסה	квот
מכסה	квота
מכסה	квоты
מכסה	охватывает
מכסה	покрывает
מכסה	обложки
מכסה	охватывающий
התיאור	описание
מסייע	помощник
מסייע	координатор
מסייע	посредника
מסייע	посредник
מסייע	помогает
מסייע	полезное
מסייע	полезный
מסייע	полезно
מסייע	полезные
בונים	бобры
שוחררו	выпущено
שוחררו	освобождены
שוחררו	выпустила
שוחררו	выпущен
שוחררו	выпущена
עבאס	аббас
ננסי	нэнси
סוללות	батарей
סוללות	батареи
סוללות	батарейки
כיכבה	снималась
לאבד	проиграть
לאבד	теряем
לאבד	потеря
לאבד	проигрывать
לאבד	потерять
לאבד	проиграть
לאבד	потерять
המולדת	родина
המולדת	родину
המולדת	родина
ליבה	core
ליבה	ядро
בטי	бетти
קדומות	предубеждения
קדומות	ущерба
קדומות	предрассудки
פיצוי	компенсация
פיצוי	реституции
גשרים	мосты
גשרים	мостов
רכיב	компонент
נוחות	удобства
נוחות	утешение
נוחות	комфорт
בעוצמה	интенсивно
אורז	упаковка
אורז	упаковки
אורז	упаковке
אורז	рис
השערות	гипотезы
פלסטין	палестины
פלסטין	палестину
פלסטין	палестина
לנון	леннон
ברוקולי	брокколи
האדומים	красных
האדומים	красные
אלת	богиня
מתמטי	математические
מוקדש	посвященный
מוקדש	выделенный
עוזב	оставляя
עוזב	ухожу
עוזב	оставив
לאונרדו	леонардо
מבטא	акценты
מבטא	акцент
בועז	боаз
הזמנה	оговорка
הזמנה	бронирование
הזמנה	оговорки
הזמנה	пригласить
הזמנה	приглашение
הזמנה	приглашаем
הזמנה	приглашаю
הזמנה	орден
הזמנה	заказ
הזמנה	заказать
הזמנה	приказ
הזמנה	порядок
הזמנה	бронирование
הזמנה	приглашение
מחברות	тетради
כיתה	класс
תורתו	учения
תורתו	учение
הקומוניסטים	коммунистов
הקומוניסטים	коммунисты
העיקרון	принцип
אקדח	пистолет
אקדח	пистолет
אקדח	пушка
אקדח	оружие
אקדח	ствол
פיסול	скульптуры
פיסול	скульптура
פיסול	скульптор
פיסול	лепки
נתפסו	попалась
נתפסו	поймал
נתפסו	поймали
נתפסו	пойман
נתפסו	захвачены
נתפסו	захвачен
נתפסו	пойман
נתפסו	захватили
מבטיח	обещаю
מבטיח	обещание
מבטיח	перспективный
מבטיח	перспективных
מבטיח	перспективные
הגבלות	ограничения
הגבלות	пределы
הרייך	рейха
הרייך	рейх
קברים	могил
קברים	могилы
שהו	шо
הכה	ударил
הכה	хит
דמוקרטי	демократический
דמוקרטי	демократические
דמוקרטי	демократическое
דמוקרטי	демократической
דמוקרטי	демократическая
דמוקרטי	демократ
דמוקרטי	демократы
מתחרים	гонщики
מתחרים	конкуренты
מתחרים	конкурентов
מתחרים	конкурирующих
אסד	асада
אסד	асад
ליברמן	либерман
ספציפיים	конкретных
ספציפיים	конкретное
ספציפיים	конкретный
ספציפיים	конкретная
ספציפיים	конкретные
חוקיים	юридический
חוקיים	правовая
חוקיים	правовой
חוקיים	юридическая
האנס	ханс
האנס	ганс
הזדמנויות	возможности
הבלקן	балканах
הבלקן	балкан
חובות	долги
חובות	пошлины
חובות	обязанностей
חובות	обязанности
כומר	преподобный
כומר	священника
כומר	священник
קומית	комических
ערפאת	арафат
ערפאת	арафата
ביו	биография
ביו	био
הוותיקן	ватикан
הוותיקן	ватикана
נמשכת	привлек
נמשכת	привлекает
נמשכת	привлекла
גרינברג	гринберг
צלילים	звучит
צלילים	звуки
היופי	красота
מורי	мори
מורי	мори
מורי	мюррей
לפגוש	познакомиться
לפגוש	знакомьтесь
לפגוש	встретиться
סיקור	охват
סיקור	охвата
פלילי	преступные
פלילי	преступник
פלילי	уголовное
פלילי	уголовного
קומה	пол
קומה	этаж
לדחות	отложить
לייק	озеро
לייק	лейк
המסמך	документ
בדיעבד	очевидность
חיסול	ликвидация
חיסול	ликвидации
שותפה	партнер
שותפה	напарник
שותפה	партнёр
שותפה	соседка
שותפה	ассоциированных
במימון	финансируемых
במימון	финансируется
במימון	финансируемые
נסיגה	отступить
נסיגה	отступать
נסיגה	отступление
נסיגה	вывод
נסיגה	снятие
פר	пер
רפורמה	реформирование
רפורמה	реформы
רפורמה	реформа
הומו	homo
הומו	gay
הומו	гей
הומו	геи
מעשים	деяния
מעשים	акты
מעשים	действия
מעשים	меры
אחסון	хранение
אחסון	хранения
אחסון	хранилище
אחסון	склад
אובייקט	предмет
אובייקט	объект
אובייקט	объекта
אובייקט	объектов
אובייקט	предметы
אובייקט	объекты
ביג	большая
ביג	big
ביג	большие
ביג	большой
ביג	биг
גלן	глен
גלן	глен
גלן	гленн
הארט	харт
צנחנים	десантники
תורמים	доноров
עוקב	отслеживания
עוקב	отслеживание
מחווה	дань
מחווה	должное
מחווה	жест
מחווה	почтение
מושפע	повлияла
מושפע	затронутые
פיק	пос
פיק	пик
מוצאת	находит
מוצאת	найдет
מוצאת	считает
גלילי	цилиндрической
לאונרד	леонард
מסורתיים	традиционный
מסורתיים	традиционная
מסורתיים	традиционные
מסורתיים	традиционное
מלאך	анхель
מלאך	ангел
מלאך	ангела
מהפכה	революция
מהפכה	революции
צוואר	шею
צוואר	шея
צוואר	шеи
רול	ролл
מיטשל	митчел
מיטשל	митчелл
מייצגים	представлять
מייצגים	представляя
מייצגים	представляющие
מייצגים	представляющий
מייצגים	представляющее
מייצגים	представляющих
אורנה	орна
לפתע	неожиданно
לפתע	внезапно
לפתע	вдруг
קולומבוס	колумб
מסים	налоги
אמינות	надежный
אמינות	авторитет
אמינות	достоверность
אמינות	надежные
אמינות	надежный
אמינות	надежных
אמינות	надежно
אמינות	надежная
אמינות	достоверность
אמינות	надежности
אמינות	надежность
אמינות	подлинность
אמינות	достоверность
אמינות	подлинности
נוסחה	formula
נוסחה	формулы
נוסחה	формула
קדושה	святое
קדושה	священное
קדושה	священная
קדושה	священный
קדושה	священной
קדושה	святая
קדושה	святые
קדושה	святой
קדושה	святейший
קדושה	святое
קדושה	святой
קדושה	сен
קדושה	сент
קדושה	святая
המלאכה	практикум
המלאכה	семинар
המלאכה	мастерская
נעורים	молодежи
נעורים	молодость
נעורים	молодёжь
נעורים	молодежь
דירה	квартиру
דירה	квартира
דירה	квартира
דירה	апартаменты
דירה	квартире
בקושי	еле
בקושי	едва
בקושי	едва
לאופולד	леопольд
ולטר	вальтер
ולטר	уолтер
ולטר	вальтер
השחר	рассвете
השחר	рассвет
השחר	дон
תזונה	питания
תזונה	питание
ליב	лив
ליב	либ
השקעה	инвестиции
השקעה	инвестирование
השקעה	капиталовложения
השקעה	инвестиции
השקעה	инвестирование
יוטיוב	youtube
אבירים	рыцари
בבלי	вавилонский
ממונה	высшего
פורה	производственного
פורה	продуктивным
פורה	плодородных
פורה	плодовитый
פורה	плодотворный
פורה	плодотворное
אלגברה	алгебра
ראיונות	интервью
ראיונות	собеседования
ראיונות	беседы
פטרוס	петр
פטרוס	питер
פטרוס	петер
פטרוס	пётр
הווה	настоящее
הווה	подарок
דלתות	двери
סכר	дам
סכר	плотины
סכר	гэс
תעודה	сертификат
תעודה	свидетельство
תעודה	справка
פסקי	аута
גולדמן	голдман
אוריאל	уриэль
המלווה	товарищ
אירוח	гостеприимство
אירוח	хостинг
טורקית	турецкие
טורקית	турецкая
טורקית	турецкий
טורקית	турции
הכרזה	объявление
ירה	выстрел
ירה	кадр
ירה	застрелил
ירה	застрелен
ירה	уволили
ירה	уволена
ירה	уволены
ירה	уволен
גרפי	графический
גרפי	графические
החופים	пляжи
החופים	пляжей
חוש	чувства
איירון	железа
איירון	утюг
איירון	железо
איירון	железный
אנונימי	анонимные
אנונימי	анонимность
אנונימי	анонимный
אנונימי	анонимных
אנונימי	анонимно
דרווין	дарвин
אולמות	залы
אולמות	залах
שרירים	мускулы
שרירים	мышцы
שרירים	мускулы
שרירים	мышцы
שרירים	мышца
טובי	тоби
מוג	муг
גבעות	хиллз
גבעות	холмы
היידן	хейден
היידן	гайдн
כתום	оранжевое
כתום	оранжевый
כתום	апельсин
הלוואי	желание
הלוואי	пожелание
הלוואי	желаем
פלוס	плюс
פלוס	plus
האירוויזיון	конкурс
האירוויזיון	евровидение
דודה	тетя
דודה	тётушка
דודה	тётя
דודה	тётя
דודה	тетя
דודה	тётя
בלוג	blog
בלוג	блог
בלוג	блоги
השלם	полный
השלם	полная
השלם	завершить
מתמטיקאים	математики
להפיץ	распределять
להפיץ	распространить
להפיץ	распределить
להפיץ	распространять
קה	бекка
מחליטה	постановляет
ולנסיה	валенсия
ולנסיה	валенсии
ניגריה	нигерии
ניגריה	нигерию
ניגריה	нигерия
מסייעת	помогает
טורקי	торки
טורקי	турецкие
טורקי	турецкая
טורקי	турецкий
טורקי	турции
פנייה	пена
פנייה	пенья
פנייה	пения
פנייה	пенья
מימד	измерение
מימד	аспект
ייל	йель
פלישה	вторжения
פלישה	вторжение
פתאום	неожиданно
פתאום	внезапно
פתאום	вдруг
טרנר	тернер
טרנר	тёрнер
נלחמו	сражались
נלחמו	сражался
שקול	рассмотрим
שקול	рассмотреть
דוחה	брутто
דוחה	валового
עמידה	стоя
עמידה	стою
מימוש	осуществление
מימוש	реализация
מימוש	осуществления
מימוש	выполнение
ברברוסה	барбаросса
הנחות	скидки
הנחות	предположения
הנחות	допущения
האורך	длину
האורך	протяженность
האורך	длина
האורך	продолжительность
מרפא	целитель
מרפא	вылечить
מרפא	лекарство
מרפא	исцеление
נייד	mobile
נייד	мобильные
נייד	мобильных
נייד	мобильный
נייד	переносных
קשורות	связанные
מחפשים	поиск
חשבונות	купюры
חשבונות	законопроекты
חשבונות	счета
חשבונות	счета
חשבונות	счетов
חשבונות	аккаунты
רכיבים	компонентов
רכיבים	компоненты
רכיבים	ингредиенты
איימי	эми
נרכש	приобрел
נרכש	приобретены
נרכש	приобретенного
נרכש	приобретенные
נרכש	приобретенные
נרכש	купил
נבון	умный
נבון	мудрый
נבון	мудро
נבון	мудрое
נבון	мудрые
ונצואלה	венесуэлы
ונצואלה	венесуэлы
ונצואלה	венесуэла
תפילות	молитвы
תפילות	молитва
אמנויות	arts
אמנויות	искусство
טכניים	технические
טכניים	техническое
טכניים	технический
שומרים	стража
שומרים	охранники
שומרים	охранников
שומרים	опекунов
שומרים	стражи
שומרים	хранители
הרקולס	геркулес
גופות	трупов
גופות	трупы
גופות	тел
גופות	тела
שמורות	защищены
פלסטיק	пластмасс
פלסטיק	пластик
פלסטיק	пластик
פלסטיק	пластиковый
פלסטיק	пластиковые
פלסטיק	пластика
צמצום	уменьшение
צמצום	сокращение
צמצום	уменьшение
צמצום	узких
צמצום	узкие
צמצום	узкий
צמצום	сузить
הזוכים	победителей
הזוכים	победители
מנור	поместье
בטח	уверен
בטח	конечно
בטח	уверена
קלט	вклад
קלט	ввод
חינם	свободно
חינם	бесплатно
חינם	свободный
חינם	свободной
חינם	бесплатный
חינם	бесплатные
ריגול	шпионаже
ריגול	шпион
ריגול	шпионаж
עשן	дым
סדנאות	семинары
מקסים	прелесть
מקסים	прекрасно
מקסים	прелесть
מקסים	очаровательная
מקסים	максим
מקסים	очаровательный
מקסים	очаровательная
קסטיליה	кастилия
רעות	плохо
רעות	плохой
רעות	bad
רעות	плохая
החלפה	переключатель
החלפה	переключить
החלפה	переключение
החלפה	биржа
החלפה	обмен
החלפה	exchange
החלפה	осп
החלפה	торговли
החלפה	торговля
החלפה	trade
חזן	кантор
העקרונות	принципы
פקודות	команды
פקודות	команд
פקודות	заказы
פקודות	приказы
פקודות	приказ
זיקה	родство
זיקה	близость
מינימלי	минимальные
מינימלי	минимальный
מינימלי	минимальная
מינימלי	минимальным
מינימלי	минимальное
מינימלי	минимум
בודדות	одинокая
בודדות	одиночество
בודדות	одиноко
בודדות	одинокий
בודדות	одинок
אונו	оно
אונו	uno
חימום	тепло
חימום	тепла
חימום	жара
חימום	отопление
מוכנה	готово
מוכנה	готовы
מוכנה	готов
מוכנה	готова
וינסנט	винсент
המאמינים	верующих
המאמינים	верующие
הקלטה	запись
להתנגד	сопротивляться
להתנגד	устоять
לחסל	ликвидировать
לחסל	устранить
יפים	красавица
יפים	красивые
יפים	красивая
יפים	красиво
קיצונית	радикально
קיצונית	радикальные
קיצונית	крайней
קיצונית	крайние
קיצונית	крайняя
קיצונית	крайний
מולדת	родину
מולדת	родина
זוגי	пары
זוגי	пар
זוגי	парам
זוגי	двойного
דתות	религии
דתות	религий
רוקח	фармацевт
יוטה	юта
צאצאים	потомство
צאצאים	потомки
צאצאים	потомков
צאצאים	потомство
אצבעות	пальцы
אצבעות	пальцы
צדדי	боковой
מאלו	мало
אישורים	подтверждения
אישורים	разрешения
מקדוניה	македонии
מקדוניה	македония
תוקן	отремонтированы
תוקן	стационарных
תוקן	исправлена
תוקן	коррекция
מתיישבים	колонистов
מתיישבים	поселенцев
מתיישבים	поселенцы
רויאל	королевские
רויאל	королевский
רויאל	royal
רויאל	королевской
רויאל	королевская
נחיתה	посадка
נחיתה	посадку
נחיתה	посадки
גלם	raw
גלם	сырой
יצרני	производственного
יצרני	продуктивным
יצרני	производителей
יצרני	производители
יוזמה	инициатива
ביולוגיה	биография
ביולוגיה	био
ביולוגיה	биология
ביולוגיה	биологии
אבטחה	безопасность
אבטחה	охрана
מתכנן	планирование
מתכנן	планировщик
נתקלו	возникших
הגה	руль
מרשימה	впечатляет
מרשימה	впечатляющий
זכריה	захария
מתוכנן	запланированное
מתוכנן	запланированные
מתוכנן	запланированный
מתוכנן	запланированная
מתוכנן	запланировано
מתוכנן	запланированных
מתוכנן	планируемые
מתוכנן	планируется
מתוכנן	запланированные
מתוכנן	запланированная
מתוכנן	запланировано
מתוכנן	запланированных
מתוכנן	разработан
מתוכנן	разработано
מתוכנן	предназначенные
הוחלפו	заменили
הוחלפו	заменены
הוחלפו	заменена
הוחלפו	поменяли
הוחלפו	поменялись
נדירה	редкие
נדירה	редко
נדירה	редкий
נדירה	редкая
נדירה	редкость
תחליף	заменить
תחליף	замена
תחליף	заменить
תחליף	заменять
תחליף	замена
טרומן	трумэн
אינסוף	бесконечной
אינסוף	бесконечное
אינסוף	бесконечности
שוד	ограбление
שוד	ограбление
שוד	грабеж
יוהנס	иоганн
שליטי	правители
זן	дзен
זן	видов
זן	виды
זן	вид
הריין	рейна
הריין	рейн
הידרו	гидро
ניירות	бумаги
המציא	изобрел
המציא	изобрели
המציא	изобрёл
שנאה	ненавидел
שנאה	ненавидела
שנאה	ненавидели
שנאה	ненависть
שנאה	ненавидеть
שנאה	ненависть
שנאה	ненавистью
שנאה	ненавижу
שנאה	ненависти
אפריקאי	африканский
אפריקאי	африканского
אפריקאי	африканские
אפריקאי	африканская
פרדי	фредди
פרדי	фредди
סחורות	товары
סחורות	товаров
סחורות	грузы
טלסקופ	телескопа
טלסקופ	телескоп
אסי	аси
קרניים	лучи
קרניים	рога
עומס	загрузить
עומס	нагрузка
עומס	перегрузки
עומס	перегрузка
המחוקקת	законодательная
המחוקקת	законодательные
מסכימים	согласен
מסכימים	согласна
מסכימים	согласны
מסכימים	согласиться
מעבורת	шаттл
מעבורת	паром
אדיר	круто
אדיר	классные
אדיר	классная
אדיר	классно
האר	хар
טומי	томми
אום	умм
עותק	копирование
עותק	скопировать
עותק	копировать
עותק	копия
מתקשה	борюсь
מתקשה	борется
קיסרי	imperial
תקפה	действительный
תקפה	действительное
גופה	body
גופה	тела
גופה	тело
גופה	труп
אוהדי	поклонники
אוהדי	фанаты
פיוטר	оловянные
פיוטר	петр
פיוטר	пётр
משקה	пей
